[00:00:05.615 --> 00:00:07.376]  All right, my friends.
[02:15:24.824 --> 02:15:32.346]  Another issue in my mind, if it may, is this earthquake that hit on the 26th and the tsunami.
[02:15:33.067 --> 02:15:38.708]  Has anybody brought up the possibility that it may have been an atomic bomb or something detonated?
[02:15:38.728 --> 02:15:40.029]  Yes, that's been raised.
[02:15:40.069 --> 02:15:40.789]  Thanks for the call.
[02:15:40.849 --> 02:15:41.889]  Paul, comments on that?
[02:15:43.510 --> 02:15:47.471]  Yeah, it's obvious that the experts there had foreknowledge of the earthquake.
[02:15:47.511 --> 02:15:49.351]  They knew the earthquake was going to happen.
[02:15:49.371 --> 02:15:50.872]  They didn't warn the right people.
[02:15:52.096 --> 02:16:10.301]  And then we had the article out of AFP back from 99, where the, I believe it was, well it was the US and Britain jointly with the Kiwis, New Zealand, who had developed this tsunami bomb as way back as 1944, which had the same impact as an atom bomb.
[02:16:10.561 --> 02:16:12.522]  So the technology is being in place.
[02:16:14.142 --> 02:16:19.604]  There's no real evidence so far to say that it was used in this instance, but we're keeping track of it.
[02:16:21.221 --> 02:16:22.382]  All right, well said.
[02:16:22.682 --> 02:16:25.123]  Let's talk to Sheila in Texas.
[02:16:25.143 --> 02:16:25.924]  Go ahead, Sheila.
[02:16:26.284 --> 02:16:26.844]  Hi, Alex.
[02:16:27.645 --> 02:16:31.106]  I'm just calling because a very strange thing happened on the news last night.
[02:16:31.527 --> 02:16:33.808]  My husband and I, we live just north of Austin.
[02:16:34.408 --> 02:16:36.189]  We're watching the local news at 10 o'clock.
[02:16:36.709 --> 02:16:41.012]  There's this very quick blip on the news about a U.S.
[02:16:41.132 --> 02:16:43.233]  nuclear submarine running aground.
[02:16:43.333 --> 02:16:44.394]  Yeah, it ran aground, yeah.
[02:16:44.634 --> 02:16:46.655]  Well, how does that happen exactly?
[02:16:46.695 --> 02:16:47.835]  I mean, they're in the water.
[02:16:47.895 --> 02:16:48.756]  They have sonar.
[02:16:49.543 --> 02:16:50.244]  It was so fast.
[02:16:50.344 --> 02:16:54.907]  It was maybe 10-15 seconds and we sort of looked at each other and went, like, why isn't that headline news?
[02:16:55.207 --> 02:17:02.491]  Well, it's usually because there's some type of malfunction in the equipment, in the sonar, in the different sensors.
[02:17:03.312 --> 02:17:08.455]  And they do a lot of maneuvers down low, you know, down on the bottom and have problems.
[02:17:08.475 --> 02:17:09.976]  I mean, that's happened quite a bit.
[02:17:10.877 --> 02:17:14.479]  I just thought it was odd that it was not given more coverage because it seemed like
[02:17:15.880 --> 02:17:21.442]  The only point they made was, well, the nuclear part of it was not hurt in any way, or there was no risk there.
[02:17:21.843 --> 02:17:22.383]  Just curious.
[02:17:22.783 --> 02:17:25.824]  I think you said four people were hurt, one person critically?
[02:17:26.044 --> 02:17:26.325]  Right.
[02:17:27.265 --> 02:17:27.825]  Okay, thanks.
[02:17:28.245 --> 02:17:28.766]  Thank you.
[02:17:28.786 --> 02:17:31.487]  We'll get Paul's comment on that when we get back.
[02:17:31.507 --> 02:17:35.168]  And then we'll also talk to Jerry and others.
[02:17:35.188 --> 02:17:36.969]  But then we're going to plunge into the news!
[02:17:36.989 --> 02:17:40.170]  We're going to talk about the Feds paying off the media!
[02:17:40.771 --> 02:17:43.532]  This Armstrong Williams is a great window into that world.
[02:17:46.408 --> 02:17:47.909]  Hi folks, this is Alex Jones.
[02:17:47.969 --> 02:17:50.371]  Whether you are aware or not, World War III has started.
[02:17:50.731 --> 02:17:51.612]  Let me rephrase that.
[02:17:51.972 --> 02:17:53.193]  Oil War III has started.
[02:17:53.513 --> 02:17:55.955]  Don't kid yourself, the reason we went into Iraq is oil.
[02:17:56.355 --> 02:17:59.757]  Now we are looking at the possibility of invading Iran and even Saudi Arabia.
[02:18:00.178 --> 02:18:01.018]  Why else would the U.S.
[02:18:01.038 --> 02:18:04.000]  be building 13 permanent military installations inside Iraq?
[02:18:04.260 --> 02:18:05.521]  Does it look like we're pulling out?
[02:18:05.982 --> 02:18:10.465]  The nations of the Earth are consuming oil at the rate of 83 million barrels per day and growing.
[02:18:10.885 --> 02:18:14.848]  At this rate of consumption, experts predict that oil prices will only go up.
[02:18:15.388 --> 02:18:21.290]  Ready Reserves prepared a free booklet explaining the world's oil supply and how it will impact you and how it will change the world forever.
[02:18:21.550 --> 02:18:27.632]  Call Ready Reserves at 1-800-453-2202 and ask about the free booklet and what you can do to prepare.
[02:18:28.153 --> 02:18:28.733]  That's 1-800-453-2202.
[02:18:28.753 --> 02:18:34.395]  After you read the booklet, you'll understand just how dangerous the world has become.
[02:18:34.835 --> 02:18:37.456]  That's 1-800-453-2202 or email your request to ReadyReserves at AOL.com.
[02:18:37.476 --> 02:18:37.996]  That's 1-800-453-2202.
[02:18:46.758 --> 02:18:49.079]  Hi folks, Jack Browner from Midas Resources.
[02:18:49.099 --> 02:18:50.459]  The Real Money Folks.
[02:18:53.720 --> 02:18:55.641]  Let's review a few things from the past year.
[02:18:56.141 --> 02:18:57.121]  November 2003 to November 2004.
[02:18:57.201 --> 02:18:58.401]  The DOW has ranged from $9,800 to $10,300.
[02:18:58.541 --> 02:18:59.042]  A 5% increase.
[02:18:59.662 --> 02:19:02.082]  The dollar's value has dropped from $0.96 to $0.70 against the euro.
[02:19:02.102 --> 02:19:05.283]  A 24% decrease in spending power against the gold-backed euro.
[02:19:14.989 --> 02:19:17.050]  Gold has gone from the 390s to the 440s.
[02:19:17.330 --> 02:19:20.610]  A 16% increase in real money.
[02:19:21.211 --> 02:19:24.251]  Precious metals are the safe haven in today's hectic marketplace.
[02:19:24.811 --> 02:19:31.793]  To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[02:19:32.513 --> 02:19:35.174]  Remember, gold is liquid, private, and portable.
[02:19:35.874 --> 02:19:38.795]  Call now before your buying power shrinks even more dramatically.
[02:19:39.235 --> 02:19:40.655]  That's Midas Resources at 800-686-2237.
[02:19:45.467 --> 02:19:47.088]  Hello folks, Alex Jones here.
[02:19:47.228 --> 02:19:51.331]  You know Berkey water filters have been removing pathogenic bacteria for years.
[02:19:51.471 --> 02:19:54.333]  But what about those unhealthy chemicals and heavy metals in your water?
[02:19:54.433 --> 02:20:01.138]  The powerful Black Berkey purification elements fit most gravity filters and dramatically increase their power to extract waterborne contaminants.
[02:20:01.338 --> 02:20:04.340]  Best of all, they filter much faster than ordinary gravity elements.
[02:20:04.540 --> 02:20:06.941]  This means it takes much less time to filter your water.
[02:20:07.062 --> 02:20:14.947]  Black Berkey elements not only remove pathogenic bacteria, cysts and parasites, but also remove trihalomethanes and volatile organic elements such as
[02:20:15.267 --> 02:20:26.535]  Markazine, Benzene, Chloride and Chloroform, MTBE, Radon-222, foul taste and obnoxious odors like sulfur, even nitrates, and unwanted heavy metals such as lead, mercury and aluminum are extracted.
[02:20:26.675 --> 02:20:34.441]  Supercharge your gravity filter today and order a 2-pack of Black Berkey Purification Elements for only $96 or a 4-pack for only $175 by calling New Millennium at 888-803-4438.
[02:20:34.461 --> 02:20:34.881]  That's 888-803-4438.
[02:20:34.961 --> 02:20:36.662]  Or order on the web at berkeywater.com.
[02:20:44.764 --> 02:20:50.951]  A healthylifechoice.com now offers Dr. Sid Sanford's latest homeopathic complex formulations.
[02:20:51.211 --> 02:20:55.315]  Virility for men and Venus for women can increase stamina and sensitivity.
[02:20:55.536 --> 02:20:58.779]  Helps men with erectile dysfunction and lubrication for women.
[02:20:59.079 --> 02:21:02.263]  Enhances your immune system, helps gain muscle mass and much more.
[02:21:02.663 --> 02:21:04.204]  Reverses the effects of aging.
[02:21:04.284 --> 02:21:05.465]  Improves your sex life.
[02:21:05.745 --> 02:21:07.026]  Lose wrinkles naturally.
[02:21:07.286 --> 02:21:08.286]  No more cellulite.
[02:21:08.566 --> 02:21:10.628]  Improves your vision and memory retention.
[02:21:10.968 --> 02:21:12.529]  A healthy life choice dot com.
[02:21:12.549 --> 02:21:13.729]  866-318-4578.
[02:21:14.410 --> 02:21:19.372]  Our many formulations rejuvenate HGH and athletic factor.
[02:21:19.733 --> 02:21:23.975]  For men and women can increase energy and build muscle mass while losing fat.
[02:21:24.395 --> 02:21:24.835]  Stressed?
[02:21:25.096 --> 02:21:25.836]  Anxiety ridden?
[02:21:26.596 --> 02:21:30.958]  Eliminate stress and anxiety naturally by day while promoting sleep at night.
[02:21:31.378 --> 02:21:34.380]  Help your body heal itself with our complex formulations.
[02:21:34.860 --> 02:21:36.781]  A HealthyLifeChoice.com 866-318-4578 866-318-4578 The choice is yours!
[02:21:54.739 --> 02:21:57.121]  According to callers, meet the press this weekend.
[02:21:57.141 --> 02:21:59.102]  They had somebody up there going, it's inevitable.
[02:22:00.162 --> 02:22:01.523]  Arnold will be your president.
[02:22:02.564 --> 02:22:07.867]  You know, they've got the psychics on the radio saying it's inevitable, and the media saying it's inevitable.
[02:22:09.368 --> 02:22:09.868]  Think about it.
[02:22:10.349 --> 02:22:12.390]  And Republicans will vote for him in a minute.
[02:22:13.391 --> 02:22:19.194]  There's been this big debate over, well, he's pro-abortion, anti-gun, open border.
[02:22:19.314 --> 02:22:21.295]  I mean, conservatives, he wouldn't win a primary.
[02:22:21.335 --> 02:22:21.936]  Yes, he would.
[02:22:22.688 --> 02:22:26.890]  Rush Limbaugh and Sean Hannity endorsed him for Governor over Conservatives.
[02:22:28.191 --> 02:22:30.612]  And so they'll endorse him again and they'll go, I don't care!
[02:22:32.053 --> 02:22:33.714]  Alex, you're for the Second Amendment.
[02:22:33.734 --> 02:22:34.394]  You're a liberal.
[02:22:34.434 --> 02:22:35.055]  I like Arnold.
[02:22:35.095 --> 02:22:35.895]  He wants to ban him.
[02:22:36.435 --> 02:22:37.436]  Okay, fine.
[02:22:38.156 --> 02:22:42.479]  Have a foreigner who says he wants to be a dictator as your President.
[02:22:43.199 --> 02:22:47.601]  And they're lining him up for President just as sure as... I don't want to spend all day on that.
[02:22:48.082 --> 02:22:50.403]  Again, ArnoldExposed.com is still updated daily.
[02:22:50.443 --> 02:22:51.344]  We're going to run those ads.
[02:22:51.384 --> 02:22:52.084]  We're producing them.
[02:22:53.041 --> 02:22:56.923]  Taking longer than I thought, and we're going to air them out in California, and thanks for spreading the word.
[02:22:57.263 --> 02:22:59.444]  Paul Watson, let's cover news, and we'll go to calls later.
[02:23:00.445 --> 02:23:06.668]  There is so much to cover here, but first off, let's get into this shadow government bill.
[02:23:06.688 --> 02:23:12.531]  A few years ago, they admitted that there was, quote, a shadow government running things, but now they've passed some legislation.
[02:23:14.133 --> 02:23:41.208]  Yes, out of the Boston Herald, and it states that basically under a cloak of secrecy, Congress has passed what they're calling a Doomsday Bill, whereby if a significant number of members of Congress are incapacitated by a terrorist attack, a natural disaster, or anything of that nature, they're going to hand over all legislative authority to, it said, a dozen or less lawmakers,
[02:23:42.270 --> 02:23:48.692]  And in the article, even the Commission on Continuity of Government were not even involved in the bill.
[02:23:49.232 --> 02:23:59.555]  And they're calling it unconstitutional, as is Congressman Byrd, who stated that the bill, quote, would allow less than a dozen people to declare war on another nation.
[02:24:00.515 --> 02:24:02.556]  Well, I mean, this is really the object.
[02:24:02.576 --> 02:24:09.158]  The corporate whores that run Congress are really asking for it if they sign over the rest of their authority.
[02:24:12.139 --> 02:24:18.084]  Well, we had reports over two years ago where the infrastructure had already been set up.
[02:24:18.264 --> 02:24:19.065]  They've already set up?
[02:24:19.125 --> 02:24:20.386]  Yeah, the other capital, yes.
[02:24:21.327 --> 02:24:38.042]  Yeah, with these secret bunkers built where not just prominent government officials would be, but also where it said CEOs, I think this was Newsweek, CEOs of major corporations would be hooked up to these secret teleconference channels whereby
[02:24:38.981 --> 02:24:45.443]  They would jointly have total authority over lawmaking and martial law provisions in the event of a disaster.
[02:24:46.243 --> 02:24:54.506]  So, I mean, the groundwork is already in place for the rapid takeover of America by this secret government in any case of disaster.
[02:24:54.766 --> 02:25:02.968]  Well, it's like on 9-11, Arnold's buddy Warren Buffett met with all the top CEOs, dozens of which weren't in the towers that day, but had their offices there.
[02:25:03.780 --> 02:25:06.122]  Well yeah, which shows you that they've had the facilities in place before 9-11 to do that.
[02:25:20.484 --> 02:25:22.745]  See, people ask, how are they going to put Arnold in as president?
[02:25:22.805 --> 02:25:25.326]  People ask, how are they going to do all the stuff nobody wants?
[02:25:25.807 --> 02:25:37.372]  This is how, folks, they use terror to set up a dictatorship that have staged fake elections with electronic voting machines, and for some reason the establishment wants Schwarzenegger.
[02:25:37.392 --> 02:25:37.772]  Go ahead.
[02:25:39.993 --> 02:25:45.616]  Well, yeah, with this bill, I mean, they've basically absolved themselves as if they already had.
[02:25:46.311 --> 02:25:58.013]  Well, Hardin, of any loyalty to the people of the United States and the Constitution, this is how they're going to direct the policy of the country in the aftermath of this catastrophic attack which they're all calling for, basically.
[02:25:59.454 --> 02:26:01.874]  It's going to get bigger, not a question of when.
[02:26:01.954 --> 02:26:03.835]  The country will permanently be on red alert.
[02:26:03.855 --> 02:26:04.755]  You'll have no freedoms.
[02:26:05.195 --> 02:26:07.375]  There'll be work brigades set up domestically.
[02:26:07.395 --> 02:26:08.536]  You'll all work for the government.
[02:26:09.216 --> 02:26:11.996]  And we're going to have to put millions of people in facilities.
[02:26:12.076 --> 02:26:14.737]  But, you know, this is for America, Paul.
[02:26:16.778 --> 02:26:27.606]  Well, I mean, it doesn't even have to be catastrophic in this instance, because, you know, if they just release anthrax within Congress, then that would, you know, lock down Congress.
[02:26:27.646 --> 02:26:37.614]  That's happened just before the passage of the Patriot Act, so they probably wouldn't even need a massive attack, although they might need that for the gas mileage to get the police state rolling.
[02:26:38.614 --> 02:26:41.757]  But even so, even an anthrax attack would probably get most of this done.
[02:26:43.275 --> 02:26:46.457]  And the last anthrax attack led right back to our friends.
[02:26:46.497 --> 02:26:52.960]  We even had a congressional bill that funded the study of how to mail anthrax to the mail in 1999.
[02:26:54.820 --> 02:26:56.161]  Yeah, Fort Detrick.
[02:26:56.801 --> 02:26:59.903]  And the people collared for that were completely innocent, like Hatfield.
[02:26:59.943 --> 02:27:03.204]  They were just the scapegoats, the patsies, to try and bury the story.
[02:27:03.244 --> 02:27:04.125]  That's the incredible part.
[02:27:04.185 --> 02:27:06.526]  Fort Detrick's doing drills of sending anthrax letters.
[02:27:07.282 --> 02:27:17.050]  And then the BATF's doing drills of lighter trucks full of ammonium nitrate blowing up months before, and the very guy who's there blowing the trucks up in New Mexico is there that morning.
[02:27:18.171 --> 02:27:21.614]  And it's the first report... The CIA is doing drills of flying planes into buildings.
[02:27:22.175 --> 02:27:24.997]  Just, you know, it's magic, Paul, it's just accidental.
[02:27:25.698 --> 02:27:29.341]  But I think they do these drills on purpose so if they get caught, they say it's a drill.
[02:27:29.721 --> 02:27:34.285]  Just like Putin's people got caught about to bomb a fourth building in 99, they said it's a drill.
[02:27:35.578 --> 02:27:38.586]  We're on the march, the empire's on the run.
[02:27:39.489 --> 02:27:42.196]  Alex Jones and the GCN Radio Network.
[02:27:45.194 --> 02:27:48.576]  Heart disease continues to be the leading cause of death in America.
[02:27:48.816 --> 02:27:49.156]  Why?
[02:27:49.496 --> 02:27:52.117]  Haven't people heard about the positive effects of cardivite?
[02:27:52.197 --> 02:27:57.140]  Cardivite drops and capsules were designed to improve your cardiovascular health and circulatory well-being.
[02:27:57.280 --> 02:28:06.984]  The all-natural ingredients in cardivite begin immediately working to increase metabolism in your heart muscle tissue, mitigating heart rhythm abnormalities, and improving oxygen and blood flow in the heart.
[02:28:07.164 --> 02:28:12.327]  Right now, as a special for GCN listeners, you'll get a four-month supply for only $99 plus shipping.
[02:28:12.487 --> 02:28:14.548]  A 30% savings off the regular price.
[02:28:14.748 --> 02:28:16.609]  This offer is only for a limited time.
[02:28:16.769 --> 02:28:21.431]  So call now 1-877-928-8822.
[02:28:21.571 --> 02:28:26.933]  Cardivite drops and capsules may help improve your circulation and cardiovascular health, but that's up to you.
[02:28:27.033 --> 02:28:28.473]  Take the first step with Cardivite.
[02:28:28.513 --> 02:28:29.334]  Call toll free 1-877-928-8822.
[02:28:29.354 --> 02:28:29.894]  That's 1-877-928-8822.
[02:28:29.914 --> 02:28:31.494]  Or visit heartdrop.com for more information.
[02:28:31.514 --> 02:28:32.395]  Don't let heart disease beat you.
[02:28:32.415 --> 02:28:34.215]  Beat the odds and do your body right with Cardivite.
[02:28:44.890 --> 02:28:47.912]  More than 700 chemicals have been found in our drinking water.
[02:28:48.232 --> 02:28:53.155]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[02:28:53.416 --> 02:28:57.778]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[02:28:58.059 --> 02:29:06.984]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[02:29:07.185 --> 02:29:10.807]  The media is non-toxic, environmentally sound, and is recyclable.
[02:29:11.087 --> 02:29:16.131]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[02:29:16.431 --> 02:29:23.156]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[02:29:23.636 --> 02:29:24.177]  What about you?
[02:29:24.933 --> 02:29:30.294]  Order your KDF shower filter, normally $49, for our special price of only $35, a $14 savings.
[02:29:30.334 --> 02:29:31.435]  Call now to order at 1-888-803-4438.
[02:29:31.515 --> 02:29:33.515]  Order today and save $14 by calling 1-888-803-4438.
[02:29:33.575 --> 02:29:36.196]  Those dark depressing days are here.
[02:29:48.985 --> 02:29:52.467]  Are you among the 15% of North Americans who suffer from the winter blues?
[02:29:53.088 --> 02:29:56.610]  This condition is simply caused by the lack of sunlight during the short winter days.
[02:29:57.291 --> 02:29:59.892]  Do you suffer from constant fatigue and lack of energy?
[02:30:00.333 --> 02:30:02.734]  Do you have a hard time pulling yourself out of bed in the morning?
[02:30:03.235 --> 02:30:04.656]  Do you put on weight in the winter?
[02:30:05.376 --> 02:30:07.077]  Is your life on hold till the spring?
[02:30:07.618 --> 02:30:08.578]  Check with your doctor.
[02:30:08.698 --> 02:30:13.601]  You may be suffering from the winter blues or from SADS, Seasonal Affective Disorder.
[02:30:14.062 --> 02:30:18.785]  In all likelihood, your doctor will recommend bright light therapy with one of our special lights.
[02:30:19.412 --> 02:30:20.253]  Light up your life.
[02:30:20.353 --> 02:30:23.075]  Put some sunshine on your depressing days with the Northern Light.
[02:30:23.615 --> 02:30:33.863]  Call Northern Light Technologies at 800-263-0066 and speak to one of our trained representatives or visit us at northernlighttechnologies.com.
[02:30:34.383 --> 02:30:36.525]  That's northernlighttechnologies.com.
[02:30:37.085 --> 02:30:38.306]  Our phone number again is 800-263-0066.
[02:31:03.849 --> 02:31:08.574]  A lot of people want to deny what's happening.
[02:31:09.915 --> 02:31:13.338]  A lot of people don't want to face the reality of what the New World Order is.
[02:31:13.358 --> 02:31:16.841]  They think if you just deny it, it goes away.
[02:31:16.941 --> 02:31:18.523]  Well, it doesn't, boys and girls.
[02:31:19.750 --> 02:31:27.577]  And so many people have their education paid for by the government, or so many people have power through the government that they just don't want to believe it.
[02:31:27.617 --> 02:31:28.878]  Well, I make this government up.
[02:31:28.918 --> 02:31:29.979]  Well, it's done good things for me.
[02:31:30.220 --> 02:31:31.361]  Well, it can't be bad.
[02:31:32.462 --> 02:31:40.950]  It's funny, I read some of the Roman accounts by the historians, how they'd come and kill the men, the fathers, in front of their five-year-old children.
[02:31:40.970 --> 02:31:44.493]  And they'd take the little boys and little girls,
[02:31:45.669 --> 02:32:08.230]  from Germany, what was the Visigoth kingdoms, or Gaul, what is France today, and they would take them to Rome, and by the time they were 15 years old, they loved Rome, they served the king in many cases, his inner guard, his inner praetorian, were almost all Visigothian, of a Visigothic nature, Vandal nature,
[02:32:09.651 --> 02:32:11.272]  And, uh, they just didn't care.
[02:32:11.332 --> 02:32:15.913]  They had the memory of their father being killed, but by the time they were brainwashed, you know, well, Rome gave me everything!
[02:32:18.273 --> 02:32:19.154]  Well, I'm a Roman!
[02:32:20.574 --> 02:32:23.415]  And so, of course the Empire does things for you.
[02:32:23.455 --> 02:32:25.695]  You know, the Mafia does, too.
[02:32:26.256 --> 02:32:28.176]  You want to be a kept slave?
[02:32:28.436 --> 02:32:31.477]  You want your name on all the things this evil Empire does?
[02:32:31.497 --> 02:32:34.938]  Because when you're signed on to this sucker, you're signed on to all of it.
[02:32:35.178 --> 02:32:37.239]  And, man, I don't want that on my soul!
[02:32:37.539 --> 02:32:38.699]  On my immortal soul!
[02:32:42.853 --> 02:32:45.516]  Paul Watson, any comments on that little rant?
[02:32:46.798 --> 02:32:47.258]  Well, yeah.
[02:32:47.739 --> 02:32:50.843]  People who get a taste of it and think they're part of the power structure.
[02:32:50.863 --> 02:33:00.975]  I mean, for example, the people in my country who have been through higher education and they're talking to these professors every day in these institutes of academia.
[02:33:01.713 --> 02:33:06.577]  You talk to those people, and they're the most closed-minded people you could possibly talk to.
[02:33:06.697 --> 02:33:10.360]  They're even more ignorant than somebody who doesn't know anything about anything.
[02:33:10.961 --> 02:33:19.468]  So it's brainwashed out of them to question authority, because they think that they're part of it, and they're told that you will be rewarded if you toe the company line.
[02:33:19.488 --> 02:33:21.970]  And so they get more and more closed-minded.
[02:33:22.531 --> 02:33:23.491]  And that's how it works.
[02:33:23.531 --> 02:33:25.573]  That's how people sell their souls into this.
[02:33:25.673 --> 02:33:28.876]  So, I mean, it's just a temptation which they can't refuse.
[02:33:29.972 --> 02:33:35.114]  And you know, the music, the culture, the way it's sold to us with entertainment is powerful.
[02:33:35.634 --> 02:33:36.315]  It's popular.
[02:33:37.135 --> 02:33:40.256]  You know, I think a lot of heavy metal music is very destructive.
[02:33:42.077 --> 02:33:44.878]  Some of it has actually a good political message.
[02:33:44.898 --> 02:33:51.061]  A few of the groups out there, but last night, I went out to get something to eat and stuff, and they had some heavy metal on.
[02:33:51.081 --> 02:33:53.022]  And man, it was like I was back to being 14!
[02:33:54.694 --> 02:33:56.095]  I was like singing along with it.
[02:33:56.115 --> 02:33:59.737]  I mean, you know, it's easy to get sucked into this stuff.
[02:34:00.277 --> 02:34:06.141]  You know, before I knew it, I was like, you know, singing along with the hymns.
[02:34:07.601 --> 02:34:08.822]  It's not good, folks.
[02:34:09.202 --> 02:34:12.164]  So, I mean, you know, even I lower my guard for a second.
[02:34:14.165 --> 02:34:14.785]  Well, me too.
[02:34:14.845 --> 02:34:20.889]  I mean, I found myself watching adverts and, you know, suddenly snapping out of it and realizing that I was in a complete daze.
[02:34:21.758 --> 02:34:32.283]  Well, I mean, the heavy metal music and all that kind of culture is basically designed to make people think that they can't have a difference, not only on their country or their system of government, but on their own life.
[02:34:32.483 --> 02:34:35.485]  Listen, I've heard Marilyn Manson is elevator music.
[02:34:37.085 --> 02:34:41.388]  And when Marilyn Manson is elevator music, folks, I mean, what comes after that?
[02:34:45.069 --> 02:34:46.030]  It's crazy.
[02:34:46.110 --> 02:34:49.371]  Alright, let's cover some news, then we're going to go to Jerry and Steve and Jim.
[02:34:49.391 --> 02:34:50.292]  That's going to be it for calls.
[02:34:51.061 --> 02:34:53.662]  Before we go any further, let's talk about Armstrong Williams.
[02:34:53.822 --> 02:34:57.762]  I mean, this is a small little window into the payoffs that are going on.
[02:34:57.782 --> 02:34:58.703]  Tell us about it.
[02:34:58.723 --> 02:35:07.745]  Well, yeah, this is the commentator paid by the Bush administration who now admits his error.
[02:35:08.165 --> 02:35:09.505]  But he's not giving back the $240,000.
[02:35:10.025 --> 02:35:19.527]  And the error isn't Bush paying him off with his money to go act like he's for Bill Clinton's UNESCO No Child Left Independent bill.
[02:35:21.016 --> 02:35:22.397]  No, they've shifted the focus.
[02:35:23.278 --> 02:35:33.586]  But I mean, even a bigger example here in the UK was back in 2002, 99% of parents were against the triple jab MMR vaccine.
[02:35:33.646 --> 02:35:40.992]  The British government came out immediately after and said, we're going to initiate a PR campaign to change people's minds.
[02:35:41.718 --> 02:35:49.905]  Lo and behold, a few months later, all these news reports started emerging about how good the triple jab MMR vaccine was and how it didn't work.
[02:35:49.925 --> 02:35:51.427]  Same thing, same thing here.
[02:35:52.446 --> 02:35:56.329]  I mean, it's like them selling Schwarzenegger on us.
[02:35:56.910 --> 02:36:00.713]  I have no doubt that probably somewhere the RNC has already put cash in.
[02:36:01.053 --> 02:36:05.217]  I mean, it's just everywhere, every show, every channel, how great it is, 24-7.
[02:36:06.017 --> 02:36:14.304]  But let's go back to this example from a year ago of the 70-plus million dollars for fake newscasts where he's our great leader.
[02:36:14.644 --> 02:36:15.805]  That's totally illegal.
[02:36:16.025 --> 02:36:19.688]  The Congressional Budget Office told Bush it was illegal, and he said, I'm not going to stop.
[02:36:19.909 --> 02:36:21.230]  But that's one buy
[02:36:21.830 --> 02:36:24.817]  For one initiative to get the prescription drug thing passed, Paul.
[02:36:26.501 --> 02:36:27.684]  Yeah, that was Medicare.
[02:36:28.346 --> 02:36:30.992]  It was eventually denounced as covert propaganda.
[02:36:31.915 --> 02:36:40.459]  I like how the fact that all these packaged TV reports go out to these local news television stations and they just blindly put them on air.
[02:36:40.479 --> 02:36:48.342]  They don't even check the source and we're supposed to believe that they're unknowingly and unwittingly just putting these things on without even checking them.
[02:36:48.402 --> 02:36:49.722]  I don't believe it for a second.
[02:36:49.803 --> 02:36:51.403]  I think they're well aware of what they're doing.
[02:36:51.783 --> 02:36:53.224]  Well I saw one of them and it was like
[02:36:54.290 --> 02:37:07.557]  George Bush was really appreciated by a crowd who loved his plan, and then it came out later that in the very production I saw, again, he's going on the infomercial hour, they're paying the station, but it doesn't say it's an infomercial.
[02:37:07.857 --> 02:37:14.180]  It says it's a news agency, and it turned out Bush wasn't being clapped like that, they were cutting in crowds!
[02:37:16.701 --> 02:37:19.903]  Man, folks, that just... Now go ahead.
[02:37:20.751 --> 02:37:29.042]  They have them here in the UK, but they're gracious enough to label them party political broadcasts before they put them on, but it's the same thing.
[02:37:29.442 --> 02:37:36.652]  So they're just disguising it within the news rather than in this country where they have them immediately after the news, so there's not much difference anyway.
[02:37:38.473 --> 02:37:51.477]  I mean, folks, when they go out and are paying commentators a quarter mil, or $10,000 short of a quarter mil, to go out and promote the No Child Left Behind, oh, that was to sell conservatism.
[02:37:51.737 --> 02:37:54.378]  Remember Bill Clinton was trying it, he was so evil, but Bush does it?
[02:37:54.638 --> 02:37:56.999]  Oh, but the conservative leaders are for it!
[02:37:57.819 --> 02:38:01.241]  Again, how is Limbaugh paid more than his show brings in?
[02:38:05.174 --> 02:38:06.735]  You know, how does any of this happen?
[02:38:06.975 --> 02:38:09.055]  It's just so ridiculous.
[02:38:10.656 --> 02:38:11.156]  Oh boy.
[02:38:11.316 --> 02:38:14.877]  Alright, let's shift gears here.
[02:38:14.897 --> 02:38:18.578]  85-year-old man beaten pepper-sprayed by police, CNN.
[02:38:19.519 --> 02:38:24.640]  And police are there investigating an incident in which an officer pepper-sprayed an 85-year-old man during a traffic stop.
[02:38:25.481 --> 02:38:31.002]  And it's Leon Nins, World War II, highly decorated veteran, who's 5'7", weighs 145 pounds,
[02:38:34.100 --> 02:38:38.461]  Didn't see the police car flashing its lights for a half mile!
[02:38:39.141 --> 02:38:42.502]  Man, I've been going down the road before and it takes me a quarter mile to stop if I get pulled over.
[02:38:43.083 --> 02:38:51.285]  And it's admitted, the cop slammed his legs in the door, beat him, tasered him, and began screaming and cussing at him.
[02:38:55.606 --> 02:39:02.188]  And now they're charging him, the old World War II vet, for not stopping fast enough.
[02:39:02.228 --> 02:39:02.928]  Paul, comments?
[02:39:04.804 --> 02:39:07.348]  Well, yeah, they seem to pick on the most vulnerable people.
[02:39:08.309 --> 02:39:15.019]  Um, tasering people in wheelchairs, um, beating pregnant women for talking too loudly on the cell phone.
