[00:00:00.956 --> 00:00:01.417]  Hey, Alex.
[01:12:43.251 --> 01:12:46.339]  And can we actually govern ourselves as a nation still?
[01:12:46.660 --> 01:12:51.353]  And when you think about that question, asking a propagandist to one another,
[01:12:51.826 --> 01:13:01.310]  We really have to take a step back and realize we need to get information from Alex Jones, from our own sources, from the Resistance 1776 on InfoWars on YouTube.
[01:13:01.571 --> 01:13:11.115]  There's a lot of places where you can get your information and make your own decisions, not just from the propaganda from John Brennan and Chuck Todd and everyone at George Stephanopoulos.
[01:13:11.375 --> 01:13:14.216]  Those are the ones giving you the false information, America.
[01:13:14.417 --> 01:13:14.857]  Wake up!
[01:13:14.877 --> 01:13:17.298]  I think America knows that now.
[01:13:17.358 --> 01:13:18.058]  Thank you for the call.
[01:13:18.278 --> 01:13:18.819]  Great points.
[01:13:19.799 --> 01:13:30.546]  Oh yeah, they blow up on CNN, on ABC, on NBC, whenever Republican senators or Republican House members bring up the corruption of Biden or any of these people.
[01:13:30.566 --> 01:13:31.367]  They just go, how dare you!
[01:13:31.387 --> 01:13:31.947]  That's not true!
[01:13:31.987 --> 01:13:32.807]  That's not what this is about!
[01:13:33.288 --> 01:13:36.870]  It's all about how Trump's bad because he's stopping their gravy train.
[01:13:37.370 --> 01:13:39.672]  Let's continue here with Bob in Pennsylvania.
[01:13:39.952 --> 01:13:40.612]  You're on the air, Bob.
[01:13:40.652 --> 01:13:41.213]  Thanks for calling.
[01:13:42.403 --> 01:13:49.770]  Hey Alex, the call up of the Marine Reserve is really important because they're tasked with protecting the President.
[01:13:49.810 --> 01:13:55.456]  The Army, Navy, Air Force protect the country, Marines protect the President.
[01:13:56.136 --> 01:14:02.382]  And I think it's in response to the UN troop movements that are being reported by the truckers in the Midwestern states up in Indiana.
[01:14:02.963 --> 01:14:06.927]  There's a lot of UN troops on the highways that have been living in the FEMA camps.
[01:14:07.745 --> 01:14:13.773]  That the former president authorized, I believe it was December 16th, right before he left office.
[01:14:16.186 --> 01:14:24.373]  By the way, Obama did create stay-behind networks, billions of dollars, put all these new subgroups into agencies that Trump's trying to shut down right now.
[01:14:24.393 --> 01:14:25.654]  Another reason they're pissed.
[01:14:25.954 --> 01:14:35.743]  They left stay-behind governments and they've said we want the UN to come in and occupy the US and our borders and the UN a few months ago said they agree and are ready to do that.
[01:14:35.843 --> 01:14:38.305]  So we have treaties and shadow agreements.
[01:14:38.345 --> 01:14:39.887]  There really are a lot of foreign troops
[01:14:40.707 --> 01:14:40.947]  Yes, sir.
[01:15:08.956 --> 01:15:09.356]  Yes, sir.
[01:15:10.477 --> 01:15:15.778]  Your first caller mentioned the ex-military perhaps getting together.
[01:15:15.818 --> 01:15:21.220]  They are already organizing, and a few will get in contact with his former comrades in arms.
[01:15:21.820 --> 01:15:23.761]  I'm sure some of them are organizing.
[01:15:24.321 --> 01:15:26.082]  A couple things our president needs to do.
[01:15:27.982 --> 01:15:30.263]  He has to take his case to the American people on TV.
[01:15:31.384 --> 01:15:35.525]  I think time that with accelerating Attorney General Barr's indictments.
[01:15:36.585 --> 01:15:42.310]  You know, I think all that's great.
[01:15:42.891 --> 01:15:44.172]  The indictments seem to be accelerated.
[01:15:44.192 --> 01:15:45.333]  The crimes are all out in the open.
[01:15:45.693 --> 01:15:49.977]  As soon as they start taking down some of these crooks, that'll bring the whole system down.
[01:15:49.997 --> 01:15:54.681]  But those crooks are threatening the rest of the system that if they go down, they're going to go down.
[01:15:54.701 --> 01:16:00.586]  That's why the system is so scared, because Trump is forcing this confrontation, because the Clintons and others never back down.
[01:16:00.646 --> 01:16:02.988]  So Trump can't back down because they never back down.
[01:16:04.284 --> 01:16:05.064]  I appreciate your call.
[01:16:05.104 --> 01:16:05.664]  Great point, sir.
[01:16:05.704 --> 01:16:06.045]  Thank you.
[01:16:20.851 --> 01:16:22.552]  I'm not doing enough to raise the alarm.
[01:16:22.612 --> 01:16:25.013]  I mean, third time's the charm.
[01:16:25.314 --> 01:16:30.256]  They're really trying to take Trump out this time, and they're even admitting now it'll be outside of impeachment.
[01:16:30.296 --> 01:16:33.278]  So, I don't know what we do if they kill the president or kidnap him.
[01:16:33.318 --> 01:16:37.461]  I mean, it's all going to just go to war in the streets, I think, and I just don't want that to happen.
[01:16:38.441 --> 01:16:42.604]  Well, I tell you what, me and everybody I know, good old boys, ain't going to take this lying down.
[01:16:42.624 --> 01:16:46.666]  If something does happen, then time to leave the farm behind and go take care of business.
[01:16:48.558 --> 01:16:51.779]  Well, the last caller said we only need a two million man march on D.C.
[01:16:51.819 --> 01:16:52.999]  That's all fine and dandy.
[01:16:53.379 --> 01:16:59.440]  We need everybody to go to their congressional districts while they're still out right now and go to the meetings they're having and get in their face.
[01:16:59.840 --> 01:17:00.660]  And then go to D.C.
[01:17:00.680 --> 01:17:02.521]  and go to their offices and get in their damn faces.
[01:17:02.761 --> 01:17:03.541]  They're our servants.
[01:17:03.561 --> 01:17:06.181]  They're not like holy people that you are up on some mountain.
[01:17:06.401 --> 01:17:08.222]  You go in there, their offices are open.
[01:17:08.522 --> 01:17:09.202]  Go in there.
[01:17:09.342 --> 01:17:09.682]  Shift.
[01:17:09.862 --> 01:17:10.282]  All of them.
[01:17:10.962 --> 01:17:13.503]  You know, go in there and legally and lawfully get in their damn face.
[01:17:13.543 --> 01:17:14.043]  You agree with that?
[01:17:15.299 --> 01:17:16.180]  Oh yeah, definitely.
[01:17:16.200 --> 01:17:19.282]  You know, it's a lot harder for Patriots because we actually have a life.
[01:17:19.322 --> 01:17:24.287]  You know, we're not these low-life antifas that can just go out there and waste our time every day on crap.
[01:17:25.087 --> 01:17:25.648]  I hear you, brother.
[01:17:25.668 --> 01:17:26.529]  God bless you, Demetrius.
[01:17:26.789 --> 01:17:28.190]  Real fast, Jared in Washington.
[01:17:28.210 --> 01:17:28.670]  You're on the air.
[01:17:28.690 --> 01:17:30.772]  Hey, Alex.
[01:17:30.892 --> 01:17:31.713]  Long-time listener.
[01:17:31.753 --> 01:17:32.674]  First-time caller.
[01:17:33.214 --> 01:17:33.675]  Veteran.
[01:17:33.695 --> 01:17:36.097]  I gotta say, love the show.
[01:17:36.277 --> 01:17:36.917]  Thank you.
[01:17:37.017 --> 01:17:37.458]  Always.
[01:17:38.058 --> 01:17:39.159]  I listen a lot lately.
[01:17:40.766 --> 01:17:44.389]  I gotta say, the Deep State Spiderweb, man, it runs all the way down.
[01:17:44.749 --> 01:17:47.351]  It goes into the
[01:17:47.984 --> 01:17:50.145]  Social media and everything.
[01:17:50.225 --> 01:17:53.767]  And the good thing about a spider web is they're usually pretty weak.
[01:17:53.827 --> 01:17:55.488]  You know, we can break through that.
[01:17:55.508 --> 01:17:56.828]  That's right.
[01:17:56.848 --> 01:17:57.909]  It's all intimidation.
[01:17:57.949 --> 01:18:00.050]  It's all we're going to get you if you don't do what we want.
[01:18:00.350 --> 01:18:01.751]  And finally, Trump says fine.
[01:18:02.091 --> 01:18:03.511]  He's showing he can turn the tide.
[01:18:03.571 --> 01:18:04.172]  We can too.
[01:18:04.192 --> 01:18:05.152]  And that's why they're so angry.
[01:18:05.432 --> 01:18:06.533]  Listen, I apologize.
[01:18:06.573 --> 01:18:07.193]  You make great points.
[01:18:07.213 --> 01:18:07.733]  We're out of time.
[01:18:08.074 --> 01:18:09.214]  Thank you, InfoWarrior.
[01:18:09.274 --> 01:18:10.075]  Thank you, Benjamin.
[01:18:10.095 --> 01:18:11.795]  Thank you, Dominic, Robert.
[01:18:11.835 --> 01:18:12.656]  Call me back tomorrow.
[01:18:12.696 --> 01:18:13.176]  I promise.
[01:18:13.416 --> 01:18:14.016]  Start of the show.
[01:18:14.437 --> 01:18:17.018]  I'm taking calls by the second segment tomorrow.
[01:18:17.378 --> 01:18:19.900]  I'm going to take a ton of calls tomorrow, 11 a.m.
[01:18:19.920 --> 01:18:20.400]  to 3 p.m.
[01:18:20.480 --> 01:18:22.181]  I bet David Knight does tomorrow morning.
[01:18:22.762 --> 01:18:25.783]  And this whole state we're in is incredible.
[01:18:25.803 --> 01:18:31.427]  The article about Trump calling for Marines for domestic operations is a big deal for threats in the homeland.
[01:18:31.967 --> 01:18:33.829]  And we'll come in with a little warning, close quote.
[01:18:34.149 --> 01:18:36.370]  That's at InfoWars.com and NewsWars.com.
[01:18:36.851 --> 01:18:40.233]  And then the whole live feed of the show will be reposted there.
[01:18:40.253 --> 01:18:44.255]  If you miss any of the show, it's about to be reposted in that article at InfoWars.com.
[01:18:44.275 --> 01:18:44.976]  Great job, crew.
[01:18:45.456 --> 01:19:04.261]  I'll see you guys back tomorrow, Lord willing.
[01:19:06.202 --> 01:19:06.782]  Thank you.
[01:19:06.922 --> 01:19:07.702]  InfoWars.
[01:19:08.022 --> 01:19:08.923]  Tomorrow's news.
[01:19:09.223 --> 01:19:09.563]  Today.
[01:19:22.967 --> 01:19:26.752]  Now it's easier than ever to have Band.Video on your iPhone.
[01:19:27.273 --> 01:19:30.497]  Simply go to Band.Video with your Safari browser.
[01:19:30.758 --> 01:19:33.421]  Then you click the Share button at the bottom of the screen.
[01:19:34.042 --> 01:19:36.906]  When the menu comes up, you simply click Add to Home Screen.
[01:19:37.587 --> 01:19:39.249]  It will then ask you to name the app.
[01:19:39.810 --> 01:19:41.271]  I suggest BAN.VIDEO.
[01:19:41.911 --> 01:19:46.994]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[01:19:47.374 --> 01:19:55.318]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[01:19:55.838 --> 01:20:02.221]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[01:20:02.562 --> 01:20:05.363]  However you want, be sure and share BAN.VIDEO.
