[00:00:08.671 --> 00:00:09.511]  It's April 1st, 2019.
[03:19:06.040 --> 03:19:08.081]  But right now they're pushing more than ever.
[03:19:09.042 --> 03:19:12.884]  To preemptively silence all speech that's not corporate.
[03:19:13.505 --> 03:19:15.566]  Just today, I randomly turned on CNN.
[03:19:15.946 --> 03:19:21.009]  Brian Stelter was talking about how evil free speech is and how we have to ban it for everybody but CNN.
[03:19:21.309 --> 03:19:23.030]  Then I got in the car and turned on NPR.
[03:19:23.370 --> 03:19:28.193]  They were attacking me, lying about InfoWars, and saying that we need to be shut down and silenced.
[03:19:29.682 --> 03:19:36.848]  That's just today when I randomly turned on the television to work out and got in my car to drive to the studio.
[03:19:37.389 --> 03:19:38.510]  That's because they're scared of you.
[03:19:39.010 --> 03:19:39.771]  They're scared of me.
[03:19:39.791 --> 03:19:41.533]  They're scared of this huge awakening.
[03:19:41.993 --> 03:19:52.763]  That's why now more than ever, when you spread the articles from NewsWars.com and InfoWars.com, when you spread those videos, when you tell your friends, your neighbors, your family about the Vermont broadcast, you
[03:19:53.343 --> 03:19:57.565]  Literally break the back of the globalists politically, metaphysically and spiritually.
[03:19:57.805 --> 03:19:59.886]  So keep taking action and I salute you.
[03:20:00.026 --> 03:20:01.306]  But don't let them silence you.
[03:20:06.769 --> 03:20:09.370]  You're listening to the Alex Jones Show.
[03:20:30.340 --> 03:20:32.681]  Gerald Cilente, the Trends Forecaster, is about to take over.
[03:20:33.942 --> 03:20:35.282]  Thank you so much for joining us today.
[03:20:35.302 --> 03:20:42.366]  I just briefly wanted to talk to everybody out there about something very simple.
[03:20:45.007 --> 03:20:52.911]  The power of word of mouth, the power to override the silicon iron curtain, is beyond paramount.
[03:20:53.051 --> 03:20:53.971]  It is essential.
[03:20:55.412 --> 03:20:59.334]  And you, the viewer and the listener, out of the whole spectrum
[03:21:00.669 --> 03:21:10.977]  of billions of voices and millions of programs around the world are able to decide that the information we cover here is important.
[03:21:12.158 --> 03:21:15.241]  The globalists have already decided that we are a kryptonite to their evil.
[03:21:16.602 --> 03:21:29.732]  They've already hit the panic button and said at any cost, shut him up, shut InfoWars down because of the guests and the listeners and the Paul Revere service that all of us together provide.
[03:21:30.967 --> 03:21:36.170]  We're the simple, free-market, common-sense folks that built civilization in this world.
[03:21:37.150 --> 03:21:38.931]  And we are rebooting what we know works.
[03:21:39.852 --> 03:21:45.635]  That's why I want to thank you and salute you, and encourage you all to keep using your free speech, because you are the resistance.
[03:21:46.715 --> 03:21:48.796]  Now, Gerald Cilente takes over.
[03:21:48.836 --> 03:21:49.316]  Thank you, Gerald.
[03:21:50.317 --> 03:21:52.538]  Thank you, Alex, and thank you for all that you do.
[03:21:53.358 --> 03:22:00.022]  And what Alex was saying to support InfoWars and the wonderful products that they have, like those water filters,
[03:22:00.776 --> 03:22:04.358]  And here's a story that just came out this weekend.
[03:22:05.578 --> 03:22:09.560]  Is Poland's spring water really from a spring?
[03:22:10.620 --> 03:22:15.262]  Not one drop, a lawsuit claims.
[03:22:16.663 --> 03:22:24.786]  Not one drop of Poland's spring water actually qualifies as spring water, the lawsuit says.
[03:22:26.307 --> 03:22:30.469]  It is common groundwater that has been
[03:22:30.942 --> 03:22:41.407]  Illegally mislabeled in order to reap massive undue sales.
[03:22:41.748 --> 03:22:44.989]  That's what the lawsuit says.
[03:22:46.930 --> 03:22:52.013]  So again, you know, people are talking about climate change and this and that.
[03:22:52.553 --> 03:22:57.536]  How about stopping the poisons that are killing us right now?
[03:22:58.036 --> 03:22:59.737]  And that's why you want to buy
[03:23:00.922 --> 03:23:08.266]  A water filter from InfoWars and other products to keep you healthy at this time of mass poisoning.
[03:23:09.327 --> 03:23:17.072]  What they're throwing into the ground that's polluting our food, our water, and what they're putting into the air.
[03:23:18.092 --> 03:23:30.520]  So these products are very essential, not only to keep you healthy and happy, but also to keep InfoWars to thrive
[03:23:31.152 --> 03:23:39.054]  Survive and help you as well cash in on the benefits of freedom of speech.
[03:23:39.074 --> 03:23:45.495]  I want to talk about some international going-ons at this time.
[03:23:46.215 --> 03:23:48.776]  They had an election over there in Turkey yesterday.
[03:23:50.256 --> 03:23:52.356]  Opposition claims victory in Ankara.
[03:23:53.016 --> 03:23:54.657]  Pulls ahead in Istanbul.
[03:23:55.437 --> 03:23:57.577]  Istanbul means Constantinople.
[03:23:57.677 --> 03:23:58.898]  That was a song when I was a kid.
[03:24:01.377 --> 03:24:02.678]  What's going on over there?
[03:24:05.440 --> 03:24:06.961]  An economic slowdown.
[03:24:07.801 --> 03:24:10.403]  The Turkish leader has been getting battered by the U.S.
[03:24:10.423 --> 03:24:10.843]  dollar.
[03:24:11.904 --> 03:24:29.595]  I mention this because this is the issue of virtually every election around the world, except in the U.S.S.A., where we got all these little candidates that are running in the presidential reality show.
[03:24:31.226 --> 03:24:51.519]  And the fraud of the frauds, as I see it, and you know the motto of the Trends Journal, Think for Yourself, is that Beto O'Rourke, which I had forecast on David's Night Show back in February, that he would be running and he'd be the leading contender.
[03:24:51.539 --> 03:24:54.440]  This is two months before he announced.
[03:24:55.421 --> 03:24:57.582]  So, where are we going with this?
[03:24:59.083 --> 03:25:00.164]  I was listening to him.
[03:25:01.718 --> 03:25:02.418]  Painfully.
[03:25:02.438 --> 03:25:10.283]  And what he had to say when he announced his candidacy officially in El Paso.
[03:25:14.105 --> 03:25:19.648]  The challenges before us are the greatest of our lifetime.
[03:25:21.289 --> 03:25:22.589]  What are you kidding me?
[03:25:23.950 --> 03:25:25.711]  What challenges you're talking about?
[03:25:26.357 --> 03:25:27.018]  Junior.
[03:25:27.598 --> 03:25:29.981]  Or I should say, White Obama.
[03:25:30.361 --> 03:25:33.344]  And don't call me racist for calling a white cat, cat.
[03:25:33.745 --> 03:25:34.686]  But he ain't a cat.
[03:25:35.346 --> 03:25:38.069]  I would say he's a pussy cat.
[03:25:40.892 --> 03:25:41.893]  He's a nothing.
[03:25:42.734 --> 03:25:44.716]  His head's going all over.
[03:25:45.096 --> 03:25:49.541]  Nothing more than a lot of empty garbage spewing out of the
[03:25:50.313 --> 03:25:54.495]  Privileged boy's mouth who plays like he's the common man.
[03:25:54.875 --> 03:25:56.836]  Oh, granddaddy's a billionaire.
[03:25:57.316 --> 03:25:59.757]  Yeah, my daddy, he married a rich woman, too.
[03:26:00.197 --> 03:26:01.818]  Runs in the family, doesn't it?
[03:26:02.738 --> 03:26:05.600]  Went to a privileged private school.
[03:26:06.260 --> 03:26:06.520]  Yep.
[03:26:07.941 --> 03:26:08.401]  And nothing.
[03:26:08.981 --> 03:26:09.601]  And nobody.
[03:26:10.042 --> 03:26:19.726]  And here's what else the white Obama blew out when he announced his candidacy.
[03:26:21.397 --> 03:26:25.459]  The Presidential Reality Show on Sunday.
[03:26:28.821 --> 03:26:31.882]  This is our moment of truth.
[03:26:31.902 --> 03:26:35.224]  Oh, it's your moment of truth?
[03:26:36.945 --> 03:26:38.606]  What truth are you talking about?
[03:26:39.358 --> 03:26:40.959]  Hey, give me some examples.
[03:26:41.479 --> 03:26:42.180]  Junior.
[03:26:42.200 --> 03:26:47.904]  See, I can call him Junior when I call Obama Junior, then I'm racist.
[03:26:48.144 --> 03:26:51.106]  But I'm not racist anymore, Junior.
[03:26:51.126 --> 03:26:58.671]  I call all little boys Junior, regardless of race, creed, and color.
[03:27:00.788 --> 03:27:04.830]  Or little boys, regardless of race, creed, and color.
[03:27:05.210 --> 03:27:18.995]  I'm tired of these little cowards, with cojones much smaller than mothballs, playing tough guy when they couldn't fight their way out of a paper bag, but send other people to go do their murderous killing.
[03:27:19.735 --> 03:27:24.617]  Oh yeah, you got a track record there, Beto, or is it B-O?
[03:27:26.801 --> 03:27:32.904]  Of all those military budgets that you voted for, nothing.
[03:27:33.705 --> 03:27:38.227]  Anyway, going back to elections, another one in Algeria.
[03:27:39.027 --> 03:27:42.069]  They're trying to get rid of this president that's been around since 1999.
[03:27:43.049 --> 03:27:47.772]  The cat got a stroke a number of years ago.
[03:27:48.552 --> 03:27:52.734]  He has not publicly spoken to the people in six years.
[03:27:53.655 --> 03:27:56.316]  And so the flunky crew behind him is running the show.
[03:27:57.045 --> 03:27:57.585]  Guess what?
[03:27:58.385 --> 03:27:59.886]  The people are taken to the streets.
[03:28:01.806 --> 03:28:04.486]  By the hundreds of thousands, millions!
[03:28:05.807 --> 03:28:07.467]  And they're making change happen.
[03:28:09.027 --> 03:28:09.487]  Turkey.
[03:28:10.868 --> 03:28:11.628]  Algeria.
[03:28:12.568 --> 03:28:14.108]  One nation after another.
[03:28:15.168 --> 03:28:17.429]  But not in the U.S.S.A.
[03:28:18.069 --> 03:28:18.309]  Nope.
[03:28:19.029 --> 03:28:20.569]  The country of cowards.
[03:28:22.070 --> 03:28:23.730]  Democrats and Republicans.
[03:28:24.477 --> 03:28:27.580]  Who in their right mind would support a Mitch McConnell?
[03:28:29.261 --> 03:28:30.322]  Or a Pelosi?
[03:28:31.643 --> 03:28:32.844]  A Feinstein?
[03:28:33.524 --> 03:28:34.365]  Or a Graham?
[03:28:35.506 --> 03:28:36.747]  A little Chuckie Schumer.
[03:28:38.428 --> 03:28:39.689]  No fight in America.
[03:28:40.189 --> 03:28:42.211]  That's why you have to support InfoWars.
[03:28:42.711 --> 03:28:43.692]  Keep the truth going.
[03:28:45.093 --> 03:28:47.555]  Because if you don't, you're going to take it away from us.
[03:28:49.096 --> 03:28:50.498]  We're going to be back in a little bit.
[03:28:51.018 --> 03:28:53.500]  Don't forget, buy those InfoWars products.
[03:29:03.147 --> 03:29:03.808]  It's incredible.
[03:29:04.268 --> 03:29:07.089]  We're fighting back and we're winning thanks to you.
[03:29:07.109 --> 03:29:11.250]  I've got some good news for you folks, but some bad news for the globalists.
[03:29:13.751 --> 03:29:16.893]  I've got good news for the people of America and the people of the world.
[03:29:17.673 --> 03:29:22.935]  Trump has been totally exonerated from the entire Russian gate attempted coup d'etat takedown.
[03:29:23.675 --> 03:29:27.677]  And now he's going on the offense with the big executive order of a week ago
[03:29:29.028 --> 03:29:31.631]  Trump said the meeting went well.
[03:29:31.651 --> 03:29:35.474]  And the word is, Apple and Facebook and Twitter, they're all being
[03:29:53.726 --> 03:29:59.432]  Talked to by the President over the telephone, and private meetings are being set up where he's going to lay down the law.
[03:29:59.912 --> 03:30:10.283]  That they're not going to side with authoritarian foreign powers, that they're going to either abide by the Constitution and Bill of Rights and not be authoritarians, or he's going to take action against them.
[03:30:10.583 --> 03:30:12.585]  That is everything we've needed to hear.
[03:30:13.026 --> 03:30:14.788]  Now let's make sure the President follows through.
[03:30:15.288 --> 03:30:16.709]  Now, Infowars, as you know,
[03:30:17.290 --> 03:30:17.911]  We're good to go.
[03:30:37.910 --> 03:30:41.292]  We've got to end the sale coming up early next week.
[03:30:41.692 --> 03:30:47.436]  So only leaves four or five days left in this Super Sale at InfoWarsStore.com or InfoWarsLife.com.
[03:30:47.696 --> 03:30:55.641]  Get store-wide free shipping and 50 to 60% off all these best-selling items and fund the Info War all at the same time.
[03:30:55.681 --> 03:30:56.661]  A total 360 win.
[03:30:56.982 --> 03:30:58.282]  The same for the First Amendment.
[03:30:59.043 --> 03:31:01.264]  Super Sale at InfoWarsStore.com.
[03:31:01.584 --> 03:31:02.365]  Only a few days left.
[03:31:03.069 --> 03:31:05.910]  The right wing smear machine has gotten Alex Jones a five.
[03:31:05.930 --> 03:31:07.110]  1776 will come next again if you try to take off firearms.
[03:31:07.130 --> 03:31:07.790]  That man is Alex Jones.
[03:31:07.850 --> 03:31:09.591]  He's one of those guys who believes that Bigfoot was responsible for 9-11.
[03:31:09.671 --> 03:31:10.651]  I've heard it on Alex Jones so I know it's true.
[03:31:10.671 --> 03:31:10.931]  Alex Jones.
[03:31:11.071 --> 03:31:11.471]  Alex Jones.
[03:31:11.491 --> 03:31:11.711]  Alex Jones.
[03:31:11.731 --> 03:31:12.011]  Alex Jones.
[03:31:12.071 --> 03:31:12.331]  Alex Jones.
[03:31:12.351 --> 03:31:12.592]  Alex Jones.
[03:31:12.612 --> 03:31:12.832]  Alex Jones.
[03:31:12.852 --> 03:31:13.092]  Alex Jones.
[03:31:13.112 --> 03:31:13.332]  Alex Jones.
[03:31:13.352 --> 03:31:13.692]  Alex Jones.
[03:31:13.712 --> 03:31:13.952]  Alex Jones.
[03:31:13.972 --> 03:31:14.412]  Alex Jones.
[03:31:14.432 --> 03:31:14.692]  Alex Jones.
[03:31:14.712 --> 03:31:14.932]  Alex Jones.
[03:31:14.952 --> 03:31:15.312]  Alex Jones.
[03:31:15.452 --> 03:31:15.772]  Alex Jones.
[03:31:15.792 --> 03:31:16.052]  Alex Jones.
[03:31:16.152 --> 03:31:16.713]  Alex Jones.
[03:31:16.733 --> 03:31:17.033]  Alex Jones.
[03:31:17.053 --> 03:31:17.353]  Alex Jones.
[03:31:17.393 --> 03:31:17.673]  Alex Jones.
[03:31:17.693 --> 03:31:17.893]  Alex Jones.
[03:31:17.913 --> 03:31:18.413]  Alex Jones.
[03:31:18.513 --> 03:31:18.773]  Alex Jones.
[03:31:18.793 --> 03:31:19.233]  Alex Jones.
[03:31:19.453 --> 03:31:20.073]  Alex Jones.
[03:31:20.113 --> 03:31:20.354]  Alex Jones.
[03:31:20.394 --> 03:31:21.034]  Alex Jones.
[03:31:21.214 --> 03:31:21.734]  Alex Jones.
[03:31:21.754 --> 03:31:22.034]  Alex Jones.
[03:31:22.054 --> 03:31:22.454]  Alex Jones.
[03:31:22.474 --> 03:31:23.174]  Alex Jones.
[03:31:23.194 --> 03:31:23.394]  Alex Jones.
[03:31:23.414 --> 03:31:23.674]  Alex Jones.
[03:31:23.694 --> 03:31:23.894]  Alex Jones.
[03:31:23.914 --> 03:31:24.175]  Alex Jones.
[03:31:24.195 --> 03:31:24.415]  Alex Jones.
[03:31:24.435 --> 03:31:24.915]  Alex Jones.
[03:31:24.975 --> 03:31:25.275]  Alex Jones.
[03:31:25.295 --> 03:31:25.635]  Alex Jones.
[03:31:25.655 --> 03:31:25.895]  Alex Jones.
[03:31:25.955 --> 03:31:26.275]  Alex Jones.
[03:31:26.295 --> 03:31:26.635]  Alex Jones.
[03:31:26.655 --> 03:31:26.875]  Alex Jones.
[03:31:26.935 --> 03:31:27.235]  Alex Jones.
[03:31:27.335 --> 03:31:27.595]  Alex Jones.
[03:31:27.615 --> 03:31:27.856]  Alex Jones.
[03:31:27.896 --> 03:31:28.136]  Alex Jones.
[03:31:28.156 --> 03:31:28.456]  Alex Jones.
[03:31:28.476 --> 03:31:28.676]  Alex Jones.
[03:31:28.696 --> 03:31:28.896]  Alex Jones.
[03:31:28.916 --> 03:31:29.156]  Alex Jones.
[03:31:29.216 --> 03:31:29.496]  Alex Jones.
[03:31:29.816 --> 03:31:37.785]  InfoWars.com InfoWars InfoWars Bill Clinton is a rapist InfoWars.com Bill Clinton is a rapist InfoWars.com InfoWars.com
[03:31:39.269 --> 03:31:42.932]  That's according to website InfoWars.
[03:31:43.012 --> 03:31:46.155]  InfoWars, it's a radio show hosted by Alex Jones.
[03:31:46.395 --> 03:31:47.596]  Alex Jones, nice guy.
[03:31:47.736 --> 03:31:49.237]  InfoWars.com!
[03:31:49.297 --> 03:31:50.158]  InfoWars.
[03:31:50.298 --> 03:31:50.999]  InfoWars.
[03:31:51.139 --> 03:31:51.739]  InfoWars.
[03:31:51.800 --> 03:31:52.440]  InfoWars.
[03:31:52.500 --> 03:31:54.121]  What's happened with InfoWars?
[03:31:54.262 --> 03:31:57.684]  I would love it if you would follow up also about Alex Jones and InfoWars.
[03:31:57.825 --> 03:32:01.848]  Alex Jones obviously is a well-known conspiracy theorist whose brand is bullying.
[03:32:01.988 --> 03:32:03.509]  You didn't call me to testify in America.
[03:32:03.549 --> 03:32:05.010]  I have a right to face my accusers.
[03:32:05.431 --> 03:32:07.792]  And you, Congressman Deutch, are a liar and a fraud.
[03:32:07.892 --> 03:32:12.816]  I know we had Alex Jones in the room earlier, promoting conspiracy theories.
[03:32:12.976 --> 03:32:18.120]  InfoWars founder Alex Jones is calling out alleged collusion between Google and Democrats.
[03:32:18.220 --> 03:32:21.923]  Shame on the mainstream corporate media for not defending the First Amendment.
[03:32:21.943 --> 03:32:24.966]  InfoWars just lost their war on info.
[03:32:25.026 --> 03:32:32.413]  Yesterday, Apple, iTunes, Vimeo, and Spotify, YouTube, Twitter, and Facebook have all blocked Alex Jones and InfoWars.
[03:32:32.473 --> 03:32:33.394]  Who is the most
[03:32:33.894 --> 03:32:35.736]  The most banned news network in the world.
[03:32:35.816 --> 03:32:36.857]  InfoWars comes to mind.
[03:32:37.017 --> 03:32:39.619]  Alex Jones has now been taken off Facebook, thank God.
[03:32:39.639 --> 03:32:42.281]  CNN waged a long campaign against Jones.
[03:32:42.402 --> 03:32:42.922]  It worked.
[03:32:43.442 --> 03:32:46.225]  Jeff Zucker silenced and de-platformed his show.
[03:32:46.445 --> 03:32:48.787]  It was a stunning defeat for free speech.
[03:32:49.047 --> 03:32:53.972]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[03:32:56.694 --> 03:32:59.917]  If you are receiving this transmission, you are in the resistance.
[03:33:06.232 --> 03:33:19.859]  You're listening to The Alex Jones Show.
[03:33:23.020 --> 03:33:25.061]  Waging war on corruption.
[03:33:25.442 --> 03:33:27.563]  It's Gerald Solente.
[03:33:28.143 --> 03:33:30.944]  You're listening to The Alex Jones Show.
[03:33:33.208 --> 03:33:35.529]  Hey, great being back with Alex Jones.
[03:33:35.989 --> 03:33:40.911]  And I love that little take on super male vitality.
[03:33:42.251 --> 03:33:43.912]  Keeps me alive and going.
[03:33:44.552 --> 03:33:52.855]  Got a boogie before the lights go out because tomorrow is iffy and super male vitality keeps that boogie going.
[03:33:53.215 --> 03:33:53.495]  Yeah.
[03:33:55.536 --> 03:34:00.637]  So talking about B.O., NATO, Iraq.
[03:34:01.898 --> 03:34:02.298]  Here's the
[03:34:03.174 --> 03:34:04.575]  From the toilet paper record.
[03:34:04.635 --> 03:34:06.577]  I meant said Sunday, I meant Saturday.
[03:34:07.758 --> 03:34:09.059]  That he announced, I believe.
[03:34:09.879 --> 03:34:13.923]  Immigration at core as a rock starts campaign.
[03:34:13.943 --> 03:34:22.790]  I heard Alex Jones, before I got on, say, all these people coming over the border, you want them to come over, put them in your house, feed them.
[03:34:23.050 --> 03:34:23.871]  That's what we say.
[03:34:24.531 --> 03:34:26.913]  We did a press release a number of months ago.
[03:34:27.734 --> 03:34:30.116]  Wall or no wall, let the people vote.
[03:34:31.277 --> 03:34:32.758]  Make it a national referendum.
[03:34:34.878 --> 03:34:36.259]  Yes, I want a wall.
[03:34:37.939 --> 03:34:40.821]  It will cost X billions of dollars.
[03:34:42.101 --> 03:34:43.982]  No, I don't want a wall.
[03:34:45.043 --> 03:34:52.446]  I am willing to pay more in taxes to take care of the immigrants coming into the country.
[03:34:53.987 --> 03:34:56.688]  And put out how much it would cost for each one coming in.
[03:34:58.088 --> 03:34:59.329]  So let the people vote on it.
[03:34:59.369 --> 03:35:00.409]  You want to pay more money?
[03:35:00.790 --> 03:35:01.850]  And here's what I say.
[03:35:02.871 --> 03:35:03.711]  You want to bring them in?
[03:35:04.266 --> 03:35:04.766]  Bring them in.
[03:35:05.566 --> 03:35:06.106]  House them.
[03:35:07.147 --> 03:35:07.687]  Feed them.
[03:35:08.667 --> 03:35:09.347]  Clothe them.
[03:35:10.287 --> 03:35:11.588]  Take care of their health care.
[03:35:11.608 --> 03:35:14.368]  Oh, and education.
[03:35:15.128 --> 03:35:16.088]  Oh, that's what B.O.
[03:35:16.148 --> 03:35:17.209]  wants to do, too.
[03:35:18.189 --> 03:35:21.770]  Besides, uh, better health care, which I'm more in favor of.
[03:35:21.790 --> 03:35:27.711]  He also called for better pay for teachers.
[03:35:30.618 --> 03:35:32.859]  Let's pay them what they're worth.
[03:35:32.939 --> 03:35:35.220]  Well, I'll tell you what I think they're worth.
[03:35:35.660 --> 03:35:37.001]  I think they're worth nothing.
[03:35:37.641 --> 03:35:40.262]  I can't stand the public education system.
[03:35:40.682 --> 03:35:43.343]  It's an industrial age model.
[03:35:44.364 --> 03:35:44.864]  Beethoven?
[03:35:45.924 --> 03:35:46.424]  That's right.
[03:35:46.704 --> 03:35:47.705]  Created by the Germans.
[03:35:48.845 --> 03:35:50.346]  The beginning of the industrial age.
[03:35:50.746 --> 03:35:52.667]  Took people off all their farms.
[03:35:53.618 --> 03:35:56.363]  In our hometowns and put them in centralized locations.
[03:35:56.844 --> 03:35:57.926]  Industrialization.
[03:35:58.407 --> 03:36:03.637]  Taught them how to read, write, do a little bit of arithmetic, and follow orders!
[03:36:04.963 --> 03:36:06.444]  To follow orders.
[03:36:06.764 --> 03:36:09.626]  That's all this stinking education system does.
[03:36:10.186 --> 03:36:11.207]  Follow orders.
[03:36:11.547 --> 03:36:13.048]  A general education, sir.
[03:36:13.408 --> 03:36:14.449]  General education.
[03:36:14.729 --> 03:36:16.290]  You gotta learn chemistry, biology.
[03:36:16.310 --> 03:36:19.532]  You have to learn a lot of crap that you'll never use and you have no mind for.
[03:36:19.853 --> 03:36:21.334]  Because we say so.
[03:36:21.634 --> 03:36:33.842]  We're a bunch of arrogant people that you pay a lot of money, particularly these superintendents like the clown we got over here in Kingston that makes all this money and is nothing more than a waste of money.
[03:36:34.602 --> 03:36:38.444]  And one in your country, or county, city, and state.
[03:36:39.605 --> 03:36:40.205]  More pay?
[03:36:40.765 --> 03:36:43.787]  Do away with the public education system.
[03:36:44.407 --> 03:36:45.668]  You want to have kids?
[03:36:46.429 --> 03:36:47.409]  You educate them.
[03:36:47.429 --> 03:36:48.910]  You got the internet now.
[03:36:48.950 --> 03:36:51.051]  You have the Alexandrian Library.
[03:36:51.511 --> 03:36:52.532]  People are bored.
[03:36:52.772 --> 03:36:53.773]  They're bored, man.
[03:36:54.093 --> 03:36:54.393]  And woof!
[03:36:55.256 --> 03:36:57.517]  They're on their computers already.
[03:36:57.837 --> 03:37:00.137]  That's their life in the new generation.
[03:37:00.717 --> 03:37:04.058]  Generation Z equals Generation Zero.
[03:37:04.398 --> 03:37:07.019]  Wrote about it in one of our Top Trends in 2019.
[03:37:07.319 --> 03:37:08.979]  They're addicted to these things.
[03:37:09.399 --> 03:37:14.021]  They don't like being social, so they don't have to send them to school.
[03:37:14.281 --> 03:37:15.801]  And what do these schools look like?
[03:37:16.361 --> 03:37:17.001]  Prisons!
[03:37:17.521 --> 03:37:19.562]  They're so damn ugly!
[03:37:20.702 --> 03:37:23.443]  Anyway, public education
[03:37:24.366 --> 03:37:25.626]  Only for the poorest.
[03:37:26.487 --> 03:37:27.527]  That's my vote.
[03:37:28.707 --> 03:37:30.067]  You want to have children?
[03:37:30.568 --> 03:37:32.108]  Have as many as you want.
[03:37:32.768 --> 03:37:33.768]  You pay for them.
[03:37:34.308 --> 03:37:35.349]  I'll pay some.
[03:37:36.129 --> 03:37:37.549]  Here I am at my age.
[03:37:37.909 --> 03:37:39.830]  I've still got to pay school taxes.
[03:37:40.190 --> 03:37:41.990]  Oh, and by the way, I've never had any children.
[03:37:45.711 --> 03:37:45.991]  So.
[03:37:47.592 --> 03:37:48.412]  That's Beto.
[03:37:49.232 --> 03:37:53.133]  More BS from B.O.
[03:37:54.036 --> 03:37:55.736]  And boys, the media pumping them.
[03:37:57.037 --> 03:38:00.097]  Now I want to talk about some other issues.
[03:38:00.157 --> 03:38:04.698]  I was talking about elections overseas.
[03:38:05.818 --> 03:38:06.439]  Over there.
[03:38:07.839 --> 03:38:08.319]  Over there.
[03:38:08.339 --> 03:38:09.179]  Remember over there?
[03:38:09.199 --> 03:38:22.162]  Remember over there how the United States, under the Nobel piece of crap prize winner Obama, overthrew the democratically elected government of Ukraine?
[03:38:22.782 --> 03:38:23.142]  Yeah.
[03:38:24.597 --> 03:38:25.797]  Ah, that's only history.
[03:38:26.918 --> 03:38:28.398]  You remember Victoria Nuland?
[03:38:28.998 --> 03:38:29.218]  Yep.
[03:38:29.638 --> 03:38:31.899]  Her husband, the head of that right-wing group?
[03:38:35.880 --> 03:38:38.700]  Passing out cookies over there to the protesters?
[03:38:40.661 --> 03:38:42.921]  The neo-Nazis who overthrew the government?
[03:38:44.101 --> 03:38:47.002]  They were gonna bring democracy over there!
[03:38:47.242 --> 03:38:48.602]  Hey, you heard that line before?
[03:38:48.902 --> 03:38:50.043]  Oh yeah, you're hearing it now!
[03:38:50.703 --> 03:38:50.943]  Again.
[03:38:51.727 --> 03:38:55.868]  Look at what Trump is doing with Venezuela and Pompeo and Bolton.
[03:38:55.908 --> 03:38:57.349]  Talking about bringing democracy.
[03:38:57.769 --> 03:38:58.629]  How about the oil?
[03:38:59.810 --> 03:39:02.011]  Anyway, going back to Ukraine.
[03:39:02.031 --> 03:39:05.672]  You're putting that guy Poroshenko, right?
[03:39:05.692 --> 03:39:08.473]  They had an election yesterday.
[03:39:09.673 --> 03:39:10.834]  This is before the election.
[03:39:12.714 --> 03:39:15.675]  9% of Ukrainians have confidence in their government. 9%!
[03:39:21.053 --> 03:39:22.273]  Nine percent.
[03:39:23.494 --> 03:39:23.954]  All right?
[03:39:24.594 --> 03:39:27.075]  I'm not good at math, but I can count to ten.
[03:39:29.016 --> 03:39:30.156]  Nine percent.
[03:39:33.237 --> 03:39:33.958]  That many.
[03:39:36.058 --> 03:39:38.559]  And a government that the United States put in there.
[03:39:38.579 --> 03:39:40.160]  So they had an election yesterday.
[03:39:41.100 --> 03:39:41.740]  Oh, they did?
[03:39:42.641 --> 03:39:43.781]  And who won the election?
[03:39:44.481 --> 03:39:47.082]  Well, you know who won the election, don't you?
[03:39:48.743 --> 03:39:49.243]  A comic.
[03:39:51.311 --> 03:39:51.831]  That's right.
[03:39:52.432 --> 03:39:54.493]  A clown won the election.
[03:39:55.634 --> 03:39:57.075]  They got a runoff coming on.
[03:39:58.156 --> 03:40:02.779]  But a clown ran and won the election.
[03:40:03.320 --> 03:40:05.461]  And it's no different than in the United States.
[03:40:06.902 --> 03:40:08.404]  Because what do we have over here?
[03:40:09.584 --> 03:40:15.849]  Do I care what Morlon Mayor Bill Mayer has to say?
[03:40:18.011 --> 03:40:19.672]  Or the other clowns, Kimmel,
[03:40:21.277 --> 03:40:24.518]  And they're reported every day what comics have to say?
[03:40:25.338 --> 03:40:27.898]  And that's all Saturday Night Live has become.
[03:40:29.259 --> 03:40:36.580]  Comics have become political, as my good friend Robert Ferrucci often reminds me.
[03:40:37.700 --> 03:40:39.101]  Not funny politics.
[03:40:41.301 --> 03:40:42.741]  One-sided politics.
[03:40:45.142 --> 03:40:47.082]  That's what the nation's sunk down to.
[03:40:48.162 --> 03:40:50.443]  And that's what's happened, clearly,
[03:40:51.391 --> 03:40:54.232]  As well, in Ukraine.
[03:40:55.333 --> 03:40:56.033]  A comic.
[03:40:57.054 --> 03:40:59.355]  A comic is in the lead.
[03:40:59.975 --> 03:41:01.876]  And, name the country!
[03:41:02.677 --> 03:41:04.478]  And you got the comic leading them!
[03:41:04.498 --> 03:41:05.258]  Hey!
[03:41:05.939 --> 03:41:07.680]  How about May over there, huh?
[03:41:08.100 --> 03:41:08.620]  Maybe?
[03:41:09.221 --> 03:41:10.421]  Over there in the UK?
[03:41:10.862 --> 03:41:13.403]  Hey, to the people who voted for Brexit!
[03:41:13.823 --> 03:41:15.864]  We don't care what your vote is!
[03:41:16.445 --> 03:41:17.845]  You don't matter to us!
[03:41:18.466 --> 03:41:23.969]  So what, you had a referendum, and a majority said you wanted to leave the European Union.
[03:41:24.329 --> 03:41:26.430]  The majority vote doesn't count.
[03:41:26.510 --> 03:41:34.214]  We'll tell you what to do, just like they did over there in Greece, when the people voted against the austerity measures.
[03:41:34.870 --> 03:41:35.711]  Screw you!
