[00:00:17.094 --> 00:00:21.237]  Defending the Republic from enemies, foreign and domestic.
[01:10:56.351 --> 01:11:01.395]  And he is so oppressed in America that he has to hire two Nigerians to oppress him.
[01:11:01.956 --> 01:11:02.616]  Tough stuff!
[01:11:04.638 --> 01:11:09.482]  And then he gets to go on all the television shows and cry about how he was attacked.
[01:11:09.742 --> 01:11:10.763]  All a bunch of lies.
[01:11:11.567 --> 01:11:16.149]  Well, he may be facing time in prison if he filed a fake police report, so we're gonna see what happens with that.
[01:11:16.589 --> 01:11:24.953]  But now on the back end, listen to CNN running cover and what Brian Stelter said on the air today.
[01:11:26.283 --> 01:11:28.164]  Is he going to cooperate with this investigation?
[01:11:28.624 --> 01:11:29.605]  Those are open questions.
[01:11:29.645 --> 01:11:45.915]  But because from the very beginning there were political connotations to this story that were undeniable, because sources close to Smollett said these two attackers said this is MAGA country and that they were Trump supporters, this became partisan and polarizing on day one.
[01:11:46.375 --> 01:11:48.536]  I wish it wasn't, but that is the reality.
[01:11:49.056 --> 01:11:53.159]  And that adds a layer to the story to make it even more troubling.
[01:11:54.800 --> 01:11:55.420]  Pause it right there.
[01:11:55.460 --> 01:11:55.920]  Pause it right there.
[01:11:55.960 --> 01:11:56.781]  So listen to what he's saying.
[01:11:57.781 --> 01:11:59.342]  Oh, this was a political thing.
[01:11:59.382 --> 01:12:02.244]  I mean, that's why it got so blown out of proportion.
[01:12:02.284 --> 01:12:06.306]  And now we have to look back at how it got blown out of proportion because of the political nature of it.
[01:12:07.827 --> 01:12:11.349]  It was literally hoaxed as a political stunt.
[01:12:12.918 --> 01:12:17.768]  And here's Brian Stelter saying, oh, it's the media's fault for making it political because it was political.
[01:12:18.249 --> 01:12:20.373]  It was literally staged, Brian.
[01:12:20.393 --> 01:12:23.439]  It was literally fake, Brian.
[01:12:24.443 --> 01:12:28.026]  Your news network is the one that ran with the fake news, Brian.
[01:12:28.246 --> 01:12:29.568]  But he tries to project it.
[01:12:29.808 --> 01:12:30.569]  Now, finish the clip.
[01:12:32.390 --> 01:12:36.974]  From inside, how do you think the media, you know, the media had to cover this.
[01:12:37.074 --> 01:12:37.675]  Cover this?
[01:12:38.936 --> 01:12:42.159]  And it had to cover this, you know, cautiously and responsibly.
[01:12:42.179 --> 01:12:42.960]  Because it was racist, right?
[01:12:43.120 --> 01:12:46.443]  How do you think, on the whole, the media... And she said, cover it cautiously.
[01:12:46.483 --> 01:12:47.504]  Oh, very cautious you were.
[01:12:49.406 --> 01:12:53.889]  Strong, high-quality news organizations have tried to be very careful on this story.
[01:12:54.249 --> 01:13:04.234]  But because TMZ said just a few hours after the alleged attack that this was a Trump supporter attack, you know, political connotation, like I said, it became partisan from day one.
[01:13:04.674 --> 01:13:15.320]  And when you're looking at those random websites all over the world spreading information, you can end up, I think, having this story was able to be weaponized in many different ways.
[01:13:15.600 --> 01:13:16.121]  Weaponized?
[01:13:16.641 --> 01:13:18.243]  Webanized?
[01:13:18.763 --> 01:13:19.204]  By him?
[01:13:19.264 --> 01:13:19.624]  By CNN?
[01:13:19.644 --> 01:13:19.724]  Why?
[01:13:19.784 --> 01:13:27.072]  There was a rumor a few days ago that he did this because he was afraid he would rid an official empire.
[01:13:27.092 --> 01:13:28.633]  They were going to kill off his character.
[01:13:28.673 --> 01:13:32.197]  Well, the studio Fox denied that was the case.
[01:13:32.757 --> 01:13:37.459]  So, the motive here, there's still a mystery at the heart of the story.
[01:13:37.499 --> 01:13:37.659]  Ha!
[01:13:37.760 --> 01:13:41.101]  Oh my gosh, there's a... Oh, what is the motive?
[01:13:41.201 --> 01:13:42.342]  Yes, Brian.
[01:13:43.122 --> 01:13:44.103]  Yes, Brian.
[01:13:44.243 --> 01:13:46.404]  What is the motive for Jesse Smollett?
[01:13:46.424 --> 01:13:46.804]  Let's see.
[01:13:47.224 --> 01:13:49.945]  He just marches with Democrats in anti-Trump rallies.
[01:13:50.205 --> 01:13:52.386]  He just tweets about how much he hates Trump.
[01:13:52.907 --> 01:13:54.067]  Oh, what is the motive?
[01:13:54.127 --> 01:13:55.308]  I have no idea!
[01:13:55.668 --> 01:13:56.568]  Oh my gosh!
[01:13:57.009 --> 01:13:59.070]  Wait, Jesse Smollett, who hates Trump?
[01:13:59.870 --> 01:14:17.722]  Who hates Trump, decides he's gonna stage a fake attack against him, blame white Trump supporters, just hoaxes the whole thing, and Brian Stelter says, well, we don't know what the... We don't know what the motivation was.
[01:14:18.142 --> 01:14:20.984]  Oh my gosh, we're still trying to figure this out.
[01:14:21.004 --> 01:14:21.984]  We don't know what the motivation was.
[01:14:22.164 --> 01:14:22.865]  It's a big mystery.
[01:14:24.346 --> 01:14:25.246]  Oh wow, Brian.
[01:14:26.247 --> 01:14:26.747]  Oh wow.
[01:14:27.608 --> 01:14:28.929]  I didn't even think you were that dumb.
[01:14:30.097 --> 01:14:31.437]  And then he blames TMZ.
[01:14:32.078 --> 01:14:34.038]  You ran with the hoax, Brian!
[01:14:34.798 --> 01:14:35.139]  You!
[01:14:36.839 --> 01:14:37.979]  We don't know the motivation!
[01:14:39.300 --> 01:14:42.761]  We have no idea why he would lie about Trump supporters!
[01:14:42.781 --> 01:14:43.841]  We have no idea!
[01:14:44.161 --> 01:14:45.882]  We don't know the motivation!
[01:14:46.562 --> 01:14:49.023]  Here at CNN, we're gonna do our due diligence.
[01:14:49.043 --> 01:14:49.583]  We'll find it out.
[01:14:50.905 --> 01:15:02.690]  Now, in the next 60 seconds, I'm going to read for you a stack of hoax hate crimes that was tweeted out by Andy Goh on Twitter, at Mr. Andy Goh, in Goh.
[01:15:04.051 --> 01:15:11.914]  Indiana church vandalized with slurs like Hail Trump and swastikas and other such anti-Semitic stuff.
[01:15:12.694 --> 01:15:14.195]  Fake hate crime.
[01:15:15.239 --> 01:15:16.020]  New York CBS.
[01:15:16.140 --> 01:15:22.426]  Arrest made after anti-Semitic graffiti cancels political event classes at Brooklyn Synagogue.
[01:15:23.007 --> 01:15:26.290]  Also, another fake hate crime.
[01:15:27.371 --> 01:15:28.112]  Lafayette PD.
[01:15:28.232 --> 01:15:31.996]  UL student made up story about attack and stolen hijab.
[01:15:32.416 --> 01:15:34.218]  So someone tried to claim Islamophobia.
[01:15:34.398 --> 01:15:34.658]  Hate!
[01:15:35.382 --> 01:15:35.662]  No.
[01:15:36.002 --> 01:15:36.342]  Fake.
[01:15:36.862 --> 01:15:39.663]  Man charged after swastikas found on Long Island College.
[01:15:40.063 --> 01:15:44.144]  Again, another fake hate crime initiated by a leftist Trump-hater.
[01:15:44.444 --> 01:15:46.885]  Muslim woman made up crime on subway.
[01:15:47.265 --> 01:15:50.366]  Another fake hate crime made up by the left.
[01:15:50.686 --> 01:15:53.546]  Woman made up Trump-motivated hate crime story police say.
[01:15:53.646 --> 01:15:54.487]  NBC New York.
[01:15:54.787 --> 01:15:56.407]  Another fake hate crime.
[01:15:56.887 --> 01:15:58.368]  What's the motive, Brian?
[01:15:58.648 --> 01:15:59.988]  I don't know the motive, Brian!
[01:16:00.088 --> 01:16:00.508]  Tell me!
[01:16:07.859 --> 01:16:09.600]  Let's go to Megan in Texas.
[01:16:09.680 --> 01:16:10.421]  Megan, you're on the air.
[01:16:10.461 --> 01:16:10.981]  Thanks for holding.
[01:16:11.001 --> 01:16:11.241]  Go ahead.
[01:16:11.461 --> 01:16:11.802]  Hi, Alex.
[01:16:11.822 --> 01:16:12.362]  How are you today?
[01:16:12.502 --> 01:16:12.882]  I'm awesome.
[01:16:12.902 --> 01:16:13.603]  Thank you for calling.
[01:16:13.643 --> 01:16:15.464]  I'm going to give you a little bit of my background.
[01:16:15.484 --> 01:16:17.065]  I was born and raised in California.
[01:16:17.185 --> 01:16:19.246]  I lived through the downfall of California.
[01:16:19.386 --> 01:16:25.070]  My husband and I got out of there as soon as we graduated from school, came to Texas because to us it was a bastion of freedom.
[01:16:25.230 --> 01:16:29.913]  Man, I'm looking at what's happening to Trump right now, and I'm telling you right now, this whole country's going the way of California.
[01:16:29.933 --> 01:16:31.154]  We're going to be disenfranchised.
[01:16:31.234 --> 01:16:33.336]  If they get him out, that's a gateway right there.
[01:16:33.376 --> 01:16:35.477]  There's no more middle of the country anymore.
[01:16:35.497 --> 01:16:36.458]  We're not going to have a say.
[01:16:36.478 --> 01:16:38.999]  I mean, we're killing babies, and we're poisoning the ones we're not killing.
[01:16:39.040 --> 01:16:43.242]  We're just here in Texas trying to raise our three little girls, and I just, what do you think we're going to do?
[01:16:43.463 --> 01:16:46.024]  If they manage to get him out, what's our contingency plan?
[01:16:46.044 --> 01:16:46.885]  Where do we go from there?
[01:16:47.045 --> 01:16:50.807]  Megan, I hear the earnestness in your voice, the concern, and I absolutely agree with you.
[01:16:51.127 --> 01:16:53.608]  They hit Europe with 15 million military-age men.
[01:16:53.708 --> 01:16:54.368]  It's collapsed.
[01:16:54.488 --> 01:16:55.349]  They broke their borders.
[01:16:55.389 --> 01:16:56.349]  They're breaking ours.
[01:16:56.549 --> 01:16:57.230]  It's treason.
[01:16:57.350 --> 01:17:01.211]  The governor of New Mexico, the governor of California has pulled National Guard off.
[01:17:01.371 --> 01:17:03.592]  We have tens of thousands, four caravans coming.
[01:17:03.833 --> 01:17:07.054]  Five million have announced they're coming in a major gallop pull.
[01:17:07.234 --> 01:17:08.795]  This is insane.
[01:17:08.955 --> 01:17:10.175]  I mean, it is on.
[01:17:10.576 --> 01:17:12.857]  And again, they're using these people as weapons.
[01:17:12.917 --> 01:17:13.517]  They're saying,
[01:17:14.017 --> 01:17:19.664]  No deal on government shutdown unless you get rid of the 100,000 beds and only make it 16,500.
[01:17:19.944 --> 01:17:22.727]  They're literally saying you can't hold rapists and murderers.
[01:17:23.128 --> 01:17:26.451]  They're saying you can't check who the kids are with or what diseases they have.
[01:17:26.812 --> 01:17:32.158]  This is the lawless world government breaking of America with the Democrat collaborators running it all.
[01:17:32.438 --> 01:17:33.339]  You're absolutely right.
[01:17:33.379 --> 01:17:47.890]  Yeah, um, I just, I feel like, not only that, my husband and I are both business owners, and I hate to say this, but the brain-dead masses, you try to get through to these people, they're so asleep and zombified, and I just want to say, the people who don't live in border states, they have no clue.
[01:17:47.910 --> 01:17:51.653]  They have no clue what's gonna happen when all these people come in and overrun us.
[01:17:51.733 --> 01:17:52.614]  I've seen it happen.
[01:17:52.674 --> 01:17:55.897]  You can go to the downtown area I grew up in, and it's nothing but Spanish.
[01:17:55.957 --> 01:17:58.058]  You go to the Walmart, everything's in Spanish.
[01:17:58.179 --> 01:17:59.840]  If you didn't know Spanish, you didn't get a job.
[01:17:59.960 --> 01:18:03.184]  This is the globalist plan, and it's absolutely two minutes to midnight.
[01:18:03.224 --> 01:18:05.306]  California used to be just like Texas.
[01:18:05.386 --> 01:18:07.109]  It's now a collapsing hellhole.
[01:18:07.129 --> 01:18:07.950]  God bless you, Megan.
[01:18:09.111 --> 01:18:12.355]  Megan was on fire, ladies and gentlemen, and her warning is absolutely true.
[01:18:12.415 --> 01:18:13.136]  Are you gonna listen to her?
[01:18:14.257 --> 01:18:18.082]  Because a lot of Texans, a lot of Oklahomans went out to California.
[01:18:19.506 --> 01:18:23.731]  And now they've come back because the state is gone, ladies and gentlemen.
[01:18:23.951 --> 01:18:27.696]  We have some affiliates out there, a lot of great people, a beautiful state, but it's gone.
[01:18:27.736 --> 01:18:30.940]  We have to admit, this is the mindset, this is the program into the future.
[01:18:37.688 --> 01:18:38.988]  Here's the thing, I'm not giving up.
[01:18:39.728 --> 01:18:44.349]  Because I know we've got truth and justice on our side, but it takes money to wage this war.
[01:18:44.750 --> 01:18:48.450]  You're spreading the word, you're praying for us, and you're financially supporting us.
[01:18:48.710 --> 01:18:51.811]  It's key, it's essential, it's absolute like oxygen.
[01:18:52.111 --> 01:18:55.012]  We have to have it, and we've got great products you already need.
[01:18:55.132 --> 01:18:56.052]  I mean, take fish oil.
[01:18:56.112 --> 01:18:58.132]  What it does for your heart, your brain, energy.
[01:18:58.272 --> 01:19:02.393]  I don't even usually take a nootropic, and I'm up at 10 o'clock at night, and I gotta work till 3 a.m.
[01:19:02.413 --> 01:19:03.413]  on Coast to Coast A.M.
[01:19:03.474 --> 01:19:04.074]  or some show.
[01:19:04.394 --> 01:19:05.614]  I pop five fish oils.
[01:19:05.914 --> 01:19:07.415]  Nobody calls fish oil nootropic.
[01:19:07.955 --> 01:19:09.135]  Your brain's electrochemical.
[01:19:09.275 --> 01:19:11.536]  It's basically made out of what fish oil is.
[01:19:11.716 --> 01:19:13.077]  Fish oil is what floats my boat.
[01:19:14.037 --> 01:19:15.317]  I mean, I take it every morning right now.
[01:19:15.537 --> 01:19:16.958]  First thing I get up at 6 a.m.
[01:19:17.078 --> 01:19:20.199]  with my coffee, I bang back three big old fat juicy fish oils.
[01:19:20.539 --> 01:19:22.380]  And so, our ultimate krill oil.
[01:19:22.620 --> 01:19:25.761]  It's even better than the fish oil, what it does for your brain, but there's no way to denature it.
[01:19:25.821 --> 01:19:26.581]  It gives you the burps.
[01:19:26.601 --> 01:19:29.001]  I'm not gonna lie to you, but if you can deal with it, it's it's it.
[01:19:29.021 --> 01:19:31.342]  The ultimate krill oil is rocket fuel, baby.
[01:19:31.482 --> 01:19:32.702]  I mean, it's the next level.
[01:19:32.862 --> 01:19:35.063]  Ultimate fish oil, all crafted out of the fjords.
[01:19:35.163 --> 01:19:35.583]  Amazing.
[01:19:35.603 --> 01:19:36.663]  Doesn't give you the burpees.
[01:19:36.803 --> 01:19:37.983]  Neither does honor roll.
[01:19:38.123 --> 01:19:40.844]  It's amazing for your kids, small capitalists, but I tend to like honor roll.
[01:19:40.924 --> 01:19:42.184]  Okay, I'm a fish oil addict.
[01:19:42.204 --> 01:19:42.745]  I'm not gonna lie.
[01:19:42.885 --> 01:19:43.705]  I gobble the stuff.
[01:19:43.965 --> 01:19:45.145]  Coffee's a thing of the past now.
[01:19:45.745 --> 01:19:46.965]  Brain force is a thing of the past.
[01:19:47.126 --> 01:19:48.726]  And for different people, different things.
[01:19:49.611 --> 01:19:52.612]  I'm just telling you, fish oil is numero uno.
[01:19:53.193 --> 01:19:55.454]  InfoWarsTore.com, InfoWarsLive.com, or 888-253-3139.
[01:19:55.474 --> 01:19:57.034]  You're listening to the Alex Jones Show.
[01:20:16.837 --> 01:20:21.999]  From the front lines of the information war, it's Owen Schroer.
[01:20:22.339 --> 01:20:25.280]  You're listening to the Alex Jones Show.
[01:20:25.740 --> 01:20:27.521]  Roger Stone joins me now.
[01:20:28.701 --> 01:20:34.783]  Of course, fake news loves going after Roger Stone.
[01:20:35.444 --> 01:20:41.406]  And we've got a couple brand new fake news narratives that they're trying to run against Roger today, but the first is really the big one.
[01:20:42.811 --> 01:20:45.014]  And you saw it probably all across national news.
[01:20:45.054 --> 01:20:46.836]  I was getting blown up, people asking me about it.
[01:20:47.337 --> 01:20:48.959]  Roger Stone gagged.
[01:20:49.179 --> 01:20:55.147]  Well, Roger is here to address this notion that you've been gagged, or should I say correct, the fake news.
[01:20:55.187 --> 01:20:56.849]  So, Roger Stone, what is going on?
[01:20:56.909 --> 01:20:57.910]  Have you been gagged?
[01:20:58.150 --> 01:21:00.233]  And why is the media reporting you have been gagged?
[01:21:01.377 --> 01:21:16.651]  Well, this is the first media appearance that I've had since the judge issued a gag order in which he reaffirmed my right, my First Amendment right, to speak about anything I wish anywhere except for on the courthouse steps.
[01:21:17.231 --> 01:21:28.938]  So I am not gagged, but you would not know that if you read Politico or USA Today and a number of other outlets who only read the headline and never read the judge's actual order.
[01:21:29.338 --> 01:21:35.262]  Now, ironically, all the other witnesses and the attorneys in my case are gagged.
[01:21:35.282 --> 01:21:37.183]  They are admonished not to discuss
[01:21:37.745 --> 01:21:39.807]  The case in public, so the good news.
[01:21:40.387 --> 01:21:41.288]  I am not gagged.
[01:21:41.308 --> 01:21:53.678]  That doesn't mean that I will be in judicious in the discussion of this case, but I think everybody who watches InfoWars because it was here that you first heard me immediately after my arrest.
[01:21:54.119 --> 01:22:04.928]  It was here that people heard me immediately after the security camera footage which stunned the nation was first made public by Alex Jones.
[01:22:05.368 --> 01:22:12.794]  Followed five hours later by Fox Television, that has really brought me a tsunami of public support.
[01:22:13.314 --> 01:22:20.620]  I mean, there is a sea change, Owen, of people sending contributions, praying for me, wishing me good luck.
[01:22:21.381 --> 01:22:25.164]  It's a great, great feeling to have the support of all these Americans.
[01:22:26.135 --> 01:22:34.300]  Well, I think, you know, they've already seen what Mueller has done to other people in this illegal special counsel probe that we've witnessed.
[01:22:34.760 --> 01:22:40.323]  And then, of course, the shocking FBI footage where they have rifles coming up to your door.
[01:22:40.343 --> 01:22:42.304]  They haul your wife out of there.
[01:22:42.324 --> 01:22:43.325]  I mean, the whole thing is ridiculous.
[01:22:43.345 --> 01:22:44.666]  They're taping up the cameras.
[01:22:45.126 --> 01:22:49.228]  I mean, it's just this whole big giant circus where CNN gets the leak.
[01:22:49.468 --> 01:22:51.249]  I mean, see, that's the real story, Roger.
[01:22:51.570 --> 01:22:53.371]  The real story is CNN gets the leak.
[01:22:54.392 --> 01:22:57.696]  They're going to come with drones drawn to your front door.
[01:22:58.036 --> 01:22:59.157]  Totally illegal there.
[01:22:59.477 --> 01:23:00.178]  Who leaked that?
[01:23:00.198 --> 01:23:01.459]  There's an investigation going on.
[01:23:01.479 --> 01:23:03.942]  But no, the big story is, ooh, Roger Stone is gagged!
[01:23:04.422 --> 01:23:07.926]  And we didn't even read the gag order, but we just went ahead and told you he was gagged.
[01:23:09.673 --> 01:23:10.754]  Yeah, that's the good news.
[01:23:10.794 --> 01:23:24.247]  I mean, I think I was persuasive in making the case that the manner in which I was arrested had the purpose of poisoning the jury pool, of depicting me as guilty before I've had a chance to prove my innocence.
[01:23:24.287 --> 01:23:29.933]  There I am being led out of my own home in handcuffs, as if I'm a drug kingpin.
[01:23:30.693 --> 01:23:35.997]  Uh, but now it is very clear that I do have the right to speak and I will continue to speak out.
[01:23:36.417 --> 01:23:52.068]  I learned only yesterday that two of my associates were asked by the special counsel's office if they'd be willing to wear wires and come to South Florida in an attempt to get me to talk about WikiLeaks, which would have been a waste of time because there is no further evidence.
[01:23:52.529 --> 01:23:59.774]  And then, Owen, as you know, there was the shocking second story timed six o'clock on Friday for the evening news that said,
[01:24:00.374 --> 01:24:07.617]  Special Counsel says they have information regarding Stone communications with WikiLeaks for the first time, CNN.
[01:24:08.037 --> 01:24:08.357]  Really?
[01:24:08.878 --> 01:24:24.544]  They're covering Twitter direct messages that I turned over to the House Intelligence Committee well over a year ago that are ex post facto, take place after WikiLeaks has already published their documents and prove absolutely nothing.
[01:24:24.944 --> 01:24:29.666]  But they're hyped by CNN as if this is some bombshell revelation.
[01:24:30.206 --> 01:24:43.256]  That's because the special counsel included them in a filing in which they made the case to the judge that my case is related to another case, the case of the Russian intelligence agents.
[01:24:43.637 --> 01:24:52.584]  And thereby, it is now clear that I have to go to trial in front of Judge Amy Berman Jackson, the same judge who I believe
[01:24:52.924 --> 01:24:56.687]  Has violated Paul Manafort's constitutional rights in that trial.
[01:24:57.008 --> 01:24:58.549]  She's an Obama appointee.
[01:24:58.949 --> 01:25:00.150]  She is a liberal.
[01:25:00.811 --> 01:25:05.195]  This is going to be, you know, quite a trial to say the least.
[01:25:06.052 --> 01:25:07.753]  Well, and who knows how long it could go on.
[01:25:07.794 --> 01:25:15.200]  Of course, now we know that Trump declaring this national emergency, the Democrats have already filed a lawsuit against him, just like he predicted they would.
[01:25:15.260 --> 01:25:17.082]  That could drag out for another nine months.
[01:25:17.422 --> 01:25:20.985]  So this is the obstruction techniques that the Democrats have mastered, Roger.
[01:25:21.766 --> 01:25:27.210]  But just as far as your case is concerned, obviously you have to be judicious about where you stand on this.
[01:25:28.311 --> 01:25:30.293]  I mean, you shouldn't have even been handcuffed.
[01:25:30.453 --> 01:25:32.214]  You've done nothing wrong.
[01:25:32.594 --> 01:25:34.336]  This whole thing is part of a big witch hunt.
[01:25:34.736 --> 01:25:37.118]  You know damn well it was the Democrats that colluded with Russia.
[01:25:37.218 --> 01:25:38.359]  Everybody knows it by now.
[01:25:38.879 --> 01:25:41.921]  So what level do you think it's gotten to now?
[01:25:42.382 --> 01:25:47.445]  I mean, with Adam Schiff saying, oh, even if the Mueller Counsel finds nothing, I'm going in.
[01:25:47.545 --> 01:25:48.706]  I'm staying steadfast.
[01:25:48.726 --> 01:25:51.508]  Well, what the hell is that bug-eyed freak's problem?
[01:25:51.769 --> 01:25:54.070]  He said he had evidence two years ago.
[01:25:54.130 --> 01:25:54.731]  Well, let's see it!
[01:25:56.881 --> 01:25:58.002]  No, you're absolutely right, Owen.
[01:25:58.042 --> 01:26:07.271]  In fact, the big news today, really, and this is news that was broken on InfoWars first and foremost, was the 25th Amendment play to take out Donald Trump.
[01:26:07.712 --> 01:26:15.960]  It is now absolutely clear that there are both two witnesses beyond McCabe who say that Rod Rosenstein, the Deputy Attorney General,
[01:26:16.500 --> 01:26:22.764]  Absolutely volunteered to wear a wire to try to entrap President Trump to remove him under the 25th Amendment.
[01:26:23.184 --> 01:26:31.849]  Two FBI officials have testified behind closed doors that at least two cabinet members were on board in what is a coup.
[01:26:32.169 --> 01:26:33.810]  This is sedition.
[01:26:34.110 --> 01:26:35.611]  And where did you hear about it first?
[01:26:36.031 --> 01:26:38.012]  Right here on InfoWars.
[01:26:38.433 --> 01:26:49.679]  So everything I have predicted has now been confirmed by Andrew McCabe in his new book, confirmed by two FBI officials in their formal under oath testimony before the Congress.
[01:26:50.480 --> 01:26:55.703]  And now we know that two cabinet members were in on what was really a coup attempt.
[01:26:56.063 --> 01:26:57.243]  This is treason.
[01:26:57.704 --> 01:27:04.848]  How long is the president going to put up with the duplicitous activities of Rod Rosenstein, who tried to tell us
[01:27:05.528 --> 01:27:06.349]  Oh, it was only a joke.
[01:27:06.569 --> 01:27:07.550]  I was only joking.
[01:27:07.890 --> 01:27:12.494]  It's now clear from today's media coverage that this was not a joke.
[01:27:13.795 --> 01:27:16.537]  And on a totally separate issue, Roger.
[01:27:16.557 --> 01:27:19.659]  I mean, I'm saying this is totally separate, nothing to do with what we're just talking about.
[01:27:19.679 --> 01:27:20.820]  Just a totally separate issue here.
[01:27:20.860 --> 01:27:22.962]  Just 100% totally separate, just to be clear.
[01:27:23.642 --> 01:27:25.104]  I do believe, guys, look this up.
[01:27:25.524 --> 01:27:26.204]  Would you guys look this up?
[01:27:26.505 --> 01:27:29.887]  I do believe the punishment for treason is hanging.
[01:27:30.428 --> 01:27:30.988]  I'm not sure.
[01:27:31.609 --> 01:27:32.710]  Totally separate issue, Roger.
[01:27:32.750 --> 01:27:34.291]  But isn't the punishment for treason death?
[01:27:35.922 --> 01:27:42.384]  Yes, the capital punishment, the death penalty, can be the punishment for treason.
[01:27:43.064 --> 01:27:53.748]  I argued a long time ago that the sale of missile secrets to the Chinese in return for campaign contributions was treasonous in activity by Bill Clinton.
[01:27:54.228 --> 01:27:58.850]  I believe Uranium One is treasonous activity by Bill Clinton.
[01:27:59.671 --> 01:28:05.519]  So, Donald Trump remains accused of completely fake Russian collusion.
[01:28:05.819 --> 01:28:14.191]  The Senate Intelligence Committee issued their report last week concluding that there was no evidence whatsoever of collusion between the Russian state and the Trump campaign.
[01:28:14.811 --> 01:28:16.592]  I didn't see that on CNN, did you?
[01:28:17.032 --> 01:28:19.013]  I didn't see it on the three networks, did you?
[01:28:19.333 --> 01:28:21.534]  You have to go to the newspapers, and then it's on page 12.
[01:28:22.514 --> 01:28:29.236]  So it is extraordinary the way they hide the facts, and they continue to chase an error that doesn't exist.
[01:28:29.776 --> 01:28:36.019]  Adam Schiff, who you referred to correctly as a Popeye freak, now says, Mueller isn't being tough enough.
[01:28:36.339 --> 01:28:39.600]  Mueller isn't being aggressive enough.
[01:28:40.200 --> 01:28:42.261]  Adam, you're empty-handed.
[01:28:42.901 --> 01:28:52.306]  You said well over two years ago that you'd seen more than circumstantial evidence of Russian collusion, and you have produced none whatsoever.
[01:28:52.887 --> 01:28:55.208]  Alright, there goes Roger Stone, ladies and gentlemen.
[01:28:55.308 --> 01:28:56.349]  Not gagged.
[01:28:56.949 --> 01:28:59.911]  Not gagged, except he can't speak on the steps of the court.
[01:29:09.500 --> 01:29:10.802]  Let's go ahead and talk to Jessica.
[01:29:10.822 --> 01:29:12.363]  She wants to talk about the Virginia governor.
[01:29:12.864 --> 01:29:13.765]  Jessica, you're on the air.
[01:29:13.785 --> 01:29:15.587]  Looks like he'll be resigning soon.
[01:29:15.607 --> 01:29:16.028]  What do you think?
[01:29:16.628 --> 01:29:17.469]  I hope so.
[01:29:18.250 --> 01:29:19.912]  I never liked him from the beginning.
[01:29:20.153 --> 01:29:27.982]  I remember that President Obama endorsed him, and that was a big... I thought that would be a big wake-up call to people, but apparently it wasn't.
[01:29:28.442 --> 01:29:30.604]  But we keep the babies comfortable.
[01:29:30.624 --> 01:29:34.087]  I can't really do his fake Southern accent, but it's just, I love Southerners.
[01:29:34.167 --> 01:29:43.035]  I'm from Texas, kind of Southern, but it's like the fakeness of that sicky sweet, let's stay out of the ladies area, kill that baby.
[01:29:43.055 --> 01:29:46.839]  I think because he's a pediatrician, he's used to people, you know, kind of
[01:29:47.459 --> 01:29:49.301]  Oh my gosh, it's so sickening.
[01:30:09.139 --> 01:30:14.366]  I have x2 and the selenium for my thyroid and I have to say that it's worked wonders.
[01:30:14.446 --> 01:30:16.769]  The Brain Force Plus is amazing.
[01:30:17.110 --> 01:30:27.483]  Me and my family take it every day and I mean you really can feel what it does and usually I get a lot of brain fog from the thyroid issue and that helps tremendously and the knockout
[01:30:27.543 --> 01:30:28.443]  Well, Jessica, I
[01:30:54.209 --> 01:30:56.111]  I appreciate your support, but let me be honest with you.
[01:30:56.251 --> 01:30:57.612]  Only take a half pack at the first time.
[01:30:57.732 --> 01:30:59.694]  It's just, it's kind of like good crack.
[01:30:59.834 --> 01:31:01.835]  So, I'm almost embarrassed.
[01:31:02.276 --> 01:31:03.397]  Everybody should be careful with it.
[01:31:03.417 --> 01:31:05.138]  If it gets to the next level, it's insane.
[01:31:05.398 --> 01:31:11.663]  I really am glad that I'm able to help the fight for truth and freedom and liberty.
[01:31:11.904 --> 01:31:18.509]  And I don't know where I would be and what I would think if I didn't have people like you on air, who have just stayed
[01:31:18.669 --> 01:31:18.949]  We're good.
[01:31:49.229 --> 01:31:51.231]  No, no, I totally agree.
[01:31:52.071 --> 01:31:54.993]  We put out the one gold foil female shirt and it was a big hit.
[01:31:55.113 --> 01:31:56.013]  And we're just brain dead.
[01:31:56.053 --> 01:31:57.855]  But I promise, that's our number one complaint.
[01:31:57.895 --> 01:31:58.495]  It's from women.
[01:31:58.515 --> 01:32:00.456]  We've only got a couple shirts that are cut for females.
[01:32:00.536 --> 01:32:01.497]  We will get it done for you.
[01:32:01.537 --> 01:32:03.598]  But Jessica, you give me strength to go on.
[01:32:03.738 --> 01:32:05.059]  And your husband and your family.
[01:32:05.199 --> 01:32:10.303]  Because just hearing what's in your voice, the powerful feminine energy, and then the male energy together.
[01:32:10.323 --> 01:32:14.186]  All of us focused together against the globalists is unstoppable.
[01:32:14.566 --> 01:32:19.090]  And that's why they're attacking that sacred system of the family, of all of us together.
[01:32:19.370 --> 01:32:20.291]  We are humanity.
[01:32:20.611 --> 01:32:21.572]  We are the experience.
[01:32:21.592 --> 01:32:22.373]  We are everything.
[01:32:22.793 --> 01:32:24.594]  And so you've just got my commitment to fight on.
[01:32:24.615 --> 01:32:26.876]  But let me tell you, I'm obnoxious most of the time.
[01:32:26.916 --> 01:32:27.457]  I'm burnout.
[01:32:27.837 --> 01:32:29.779]  Hearing you, I want to just say this.
[01:32:29.899 --> 01:32:30.599]  I'm not just telling you this.
