[00:00:22.884 --> 00:00:24.244]  September 8, 2019.
[01:12:55.066 --> 01:12:56.167]  They're all on InfoWars.com.
[01:12:56.167 --> 01:12:59.590]  They're powerful.
[01:12:59.590 --> 01:13:01.871]  The left openly announced the plan to repeal the Second Amendment.
[01:13:01.871 --> 01:13:02.672]  Might want to see that one.
[01:13:05.336 --> 01:13:08.438]  Governments admit geoengineering is real and live.
[01:13:08.438 --> 01:13:10.979]  Weather control, another key report.
[01:13:10.979 --> 01:13:15.581]  But they only get seen and only get shared if you take action.
[01:13:15.581 --> 01:13:16.802]  Not a spectator sport.
[01:13:16.802 --> 01:13:18.142]  Hit your email.
[01:13:18.142 --> 01:13:19.323]  Hit your private message.
[01:13:19.323 --> 01:13:20.043]  Word of mouth.
[01:13:20.043 --> 01:13:21.484]  And hit Facebook and hit Twitter.
[01:13:21.484 --> 01:13:22.925]  Share them from NewsWorks.com.
[01:13:22.925 --> 01:13:26.126]  It's not as censored as much.
[01:13:26.126 --> 01:13:34.211]  Now, let's go ahead and play Biden a short clip and then he fully described how it will be done, when it will be done.
[01:13:34.211 --> 01:13:34.691]  Here he is.
[01:13:36.078 --> 01:13:38.119]  I want you to just take a look, okay?
[01:13:38.119 --> 01:13:42.262]  You don't have to agree, but I want you to look in my eyes.
[01:13:42.262 --> 01:13:54.931]  I guarantee you, I guarantee you, we're going to end fossil fuel and I am not going to talk about it.
[01:13:54.931 --> 01:13:58.333]  He does this thing where look in my eyes.
[01:13:58.333 --> 01:14:03.757]  I was there when I pinned it on the man's chest and the helicopter blew up and he died.
[01:14:03.757 --> 01:14:04.337]  None of it happened.
[01:14:04.337 --> 01:14:05.298]  It doesn't matter.
[01:14:07.892 --> 01:14:09.813]  That's why Brian Williams is back anchoring NBC News.
[01:14:09.813 --> 01:14:14.454]  It's like, you know, I got shot down in a helicopter RPG.
[01:14:14.454 --> 01:14:15.535]  None of it ever happened.
[01:14:15.535 --> 01:14:18.015]  Hillary told the same story.
[01:14:18.015 --> 01:14:18.756]  I was in Bazaar.
[01:14:18.756 --> 01:14:21.357]  They shot up the C-130.
[01:14:21.357 --> 01:14:23.377]  None of it ever happened.
[01:14:23.377 --> 01:14:24.778]  You'd look at my eye.
[01:14:24.778 --> 01:14:31.520]  The point is, is they are coming for the fossil fuels, but only for America and Europe.
[01:14:31.520 --> 01:14:32.160]  That's right.
[01:14:32.160 --> 01:14:33.601]  They mean business.
[01:14:34.898 --> 01:14:50.425]  Because they're shutting us down and the fact that we've got enough fossil fuel to terraform the planet and bring it back to when trees live twice as long and when oxygen levels were higher and humans lived longer and they've been proving it.
[01:14:50.425 --> 01:14:57.448]  They've been digging up and carbon dating skeletons now where people were 170 years old in the Middle East.
[01:14:57.448 --> 01:14:59.769]  The truth is like Mars, we're losing our atmosphere.
[01:15:00.543 --> 01:15:06.029]  And right on time, 150 years ago, we discover fossil fuels.
[01:15:06.029 --> 01:15:09.432]  It's God's plan, and it's helping the Earth.
[01:15:09.432 --> 01:15:11.274]  They're wondrous.
[01:15:11.274 --> 01:15:18.602]  Carbon, when the fields burn, when the forest burns, it comes back 10 times better because it's releasing carbon into the atmosphere.
[01:15:18.602 --> 01:15:23.167]  Nuclei that make the rain come, and carbon dioxide, and oxygen, and all of it is verdant.
[01:15:25.913 --> 01:15:32.499]  At the end of every summer, at the end of every growing season, in Brazil, they burn their fields to have nitrogen in the soil again.
[01:15:32.499 --> 01:15:35.241]  But our media shows, oh, it's all burning!
[01:15:35.241 --> 01:15:37.063]  All lies.
[01:15:37.063 --> 01:15:38.104]  I'll tell you, look at where it's burning.
[01:15:38.104 --> 01:15:41.767]  It's all on the edge of the forest where they're growing fields.
[01:15:41.767 --> 01:15:44.129]  They're teaching you the planet needs to die.
[01:15:44.129 --> 01:15:47.792]  Whoever these people are, they're doing everything you do to kill the planet.
[01:15:47.792 --> 01:15:50.795]  They're not protecting the planet.
[01:15:50.795 --> 01:15:52.817]  They love their father, death.
[01:15:54.588 --> 01:15:57.890]  You'll never taste eternal life.
[01:15:57.890 --> 01:16:07.237]  The DNA Force 50% off sale has to end in just a few days because we're selling out of the free bottle of Carnivore Digestive Enzyme we give you with each purchase.
[01:16:07.237 --> 01:16:11.619]  Listers agree DNA Force Plus is one of the best formulas ever from InfoWarsLife.com.
[01:16:11.619 --> 01:16:16.723]  With DNA Force Plus you get more than 15 premium and patented ingredients including L of ATP.
[01:16:17.183 --> 01:16:17.624]  I think so.
[01:16:32.620 --> 01:16:35.421]  It is thought to be one of the most powerful adaptogens available.
[01:16:35.421 --> 01:16:37.001]  Coenzyme Q10.
[01:16:37.001 --> 01:16:42.623]  Found in every human cell, CoQ10 plays a key role in heart health, brain health, and even helps protect DNA.
[01:16:42.623 --> 01:16:48.405]  These amazing ingredients and others make it easy to see why so many listeners swear by DNA Force Plus.
[01:16:48.405 --> 01:16:50.485]  Take advantage of this special before you run out.
[01:16:50.485 --> 01:16:55.607]  Get DNA Force Plus for 50% off and get a free bottle of Carnivore at InfoWareStore.com.
[01:16:55.607 --> 01:16:56.827]  That's InfoWareStore.com.
[01:16:57.844 --> 01:17:01.807]  In InfoWars life, we always try to bring you game-changing products.
[01:17:01.807 --> 01:17:06.191]  Now, we've already been promoting and selling Super Silver Wound Gel for over a year.
[01:17:06.191 --> 01:17:07.231]  It's a bestseller.
[01:17:07.231 --> 01:17:08.933]  It is the best you can get.
[01:17:08.933 --> 01:17:12.055]  A 100% review rate on power reviews.
[01:17:12.055 --> 01:17:16.819]  Well, now we teamed up with them and came out with two different types of skin cream.
[01:17:17.219 --> 01:17:19.762]  One is naturally scented with grapefruit essential oils.
[01:17:19.762 --> 01:17:21.464]  The other is unscented.
[01:17:21.464 --> 01:17:26.890]  It's got hyaluronic acid, vitamin E, essential oils from grapefruit.
[01:17:26.890 --> 01:17:29.733]  It's got coconut oil and so much more.
[01:17:29.733 --> 01:17:31.936]  And this patented nano-type
[01:17:32.156 --> 01:17:32.576]  Of course!
[01:17:58.152 --> 01:18:00.253]  Josh in Washington, you're on the air, go ahead.
[01:18:00.253 --> 01:18:01.413]  Alex, God bless you.
[01:18:01.413 --> 01:18:03.994]  I have an idea for a new InfoWars t-shirt.
[01:18:03.994 --> 01:18:09.956]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[01:18:09.956 --> 01:18:10.556]  Ooh, yeah.
[01:18:10.556 --> 01:18:11.996]  Showing your brain getting fried.
[01:18:11.996 --> 01:18:13.837]  Then I have some comments on your supplements, man.
[01:18:13.837 --> 01:18:14.877]  Totally changed my life.
[01:18:14.877 --> 01:18:17.938]  I use TurboForce, BodyEase, AlphaPower, BrainForce.
[01:18:18.138 --> 01:18:18.519]  We're good.
[01:18:33.435 --> 01:18:42.544]  All of these things are known to be incredible, whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[01:18:42.544 --> 01:18:45.086]  All of these are things that are like rocket fuel on the body.
[01:18:45.086 --> 01:18:48.249]  You take these bases together, then you have your foundation.
[01:18:48.249 --> 01:18:50.011]  Now you can build the big strong temple.
[01:18:50.011 --> 01:18:52.794]  With these products I take, I religiously remember to take them.
[01:18:52.794 --> 01:18:56.798]  It makes my life so much better, and then it funds the information war, which is so critical.
[01:18:56.798 --> 01:18:57.578]  Thank you so much.
[01:18:57.578 --> 01:18:58.039]  God bless you.
[01:18:58.439 --> 01:19:03.622]  And that's why we're introducing what we know is going to be a massive bestseller, Chill Force.
[01:19:03.622 --> 01:19:06.083]  Now let's look at what's in this powerful formula.
[01:19:06.083 --> 01:19:13.427]  Ashwagandha root extract, an ancient medicinal herb used for over 3,000 years to treat stress and relax the patient.
[01:19:13.427 --> 01:19:17.670]  L-theanine, a special amino acid naturally found in some tea leaves.
[01:19:17.670 --> 01:19:22.773]  The compound has been called the stress killer because of its powerful relaxation benefits.
[01:19:22.773 --> 01:19:23.073]  GABA.
[01:19:23.633 --> 01:19:32.159]  An important neurotransmitter that controls functions of the body and mind, including nervous system relaxation, GABA is a choice for many to help reduce anxiety.
[01:19:32.159 --> 01:19:34.961]  Rhodiola Rosea Root Extract.
[01:19:34.961 --> 01:19:45.228]  Found in the mountainous regions of Europe and Asia, this root is considered a super adaptogen and is believed to help the body in the fight against emotional, mental, and physical stress.
[01:19:45.228 --> 01:19:49.771]  It's time to do what I did and take action with the Chill Force Challenge at InfoWarsLive.com.
[01:20:01.835 --> 01:20:04.424]  You're listening to The Alex Jones Show!
[01:20:17.512 --> 01:20:18.933]  Short on time today.
[01:20:18.933 --> 01:20:20.313]  But you do gotta serve somebody.
[01:20:20.313 --> 01:20:25.356]  And you gotta decide whether you're gonna serve justice and life and a better human future.
[01:20:25.356 --> 01:20:27.977]  Whether you're gonna join the system of evil.
[01:20:27.977 --> 01:20:29.878]  It's all about being selfish.
[01:20:29.878 --> 01:20:34.960]  And all about doing the most horrible things you can in this one life.
[01:20:34.960 --> 01:20:36.281]  You're gonna join Satan, you're gonna join God.
[01:20:37.705 --> 01:20:39.186]  Okay, let's boil it down right now.
[01:20:39.186 --> 01:20:44.408]  I want to play a very powerful Paul Joseph Watson report on the global social score coming to America.
[01:20:44.408 --> 01:20:58.533]  This really boils down the big story that Drudge linked to where the White House is looking with Democrats at having a red flag law extrajudicially with big tech using devices in your home to spy on you and then take your guns and other things.
[01:20:58.533 --> 01:21:05.176]  I don't think Trump's actually going to do it, but it's being proposed to him inside the administration and pushed by the Washington Post.
[01:21:06.078 --> 01:21:09.060]  And four days later, five days later, he's not decried it yet.
[01:21:09.060 --> 01:21:11.641]  So that's very, very dangerous.
[01:21:11.641 --> 01:21:21.466]  Briefly, DNA Force Plus has PQQ, CoQ10, and all the very best things for your cells, for your mitochondria, for cleaning your body out, for your telomeres, for nerve regrowth.
[01:21:21.466 --> 01:21:23.027]  This bunch of stuff's patented, proven.
[01:21:23.027 --> 01:21:24.507]  It's the best thing you can do for your body.
[01:21:24.507 --> 01:21:25.968]  Closest thing to a fountain of youth out there.
[01:21:25.968 --> 01:21:32.191]  A free bottle of Carnivore Digestive when you get it, but this is running out probably today, so this sale will have to end tomorrow.
[01:21:32.191 --> 01:21:34.913]  We'll still have DNA Force on sale, but not with a free bottle of Carnivore 90.
[01:21:35.513 --> 01:21:38.014]  We have a new product called Chill Force that goes with Brain Force.
[01:21:38.014 --> 01:21:38.875]  It doesn't make you tired.
[01:21:38.875 --> 01:21:40.455]  It's not a depressant.
[01:21:40.455 --> 01:21:47.019]  It helps you when you've already had a lot of natural stimulant and things to basically stay focused and not be jittery and then come off of it.
[01:21:47.019 --> 01:21:48.239]  Chill Force is really amazing.
[01:21:48.239 --> 01:21:50.540]  It's very proprietary, very, very special.
[01:21:50.540 --> 01:21:53.282]  Infowarslife.com is where you'll find it.
[01:21:53.282 --> 01:21:55.783]  It's 40% off by itself as introductory.
[01:21:56.643 --> 01:22:00.844]  50% off when you get it with a bottle of Brain Force Plus together, and they really do go together.
[01:22:00.844 --> 01:22:02.684]  No reviews yet, because it's a new product.
[01:22:02.684 --> 01:22:05.025]  Brain Force Plus has thousands of five-star reviews.
[01:22:05.025 --> 01:22:06.865]  What is it, like a 97% review rate?
[01:22:06.865 --> 01:22:11.847]  So check that out at InfoWarsStore.com, InfoWarsLife.com, or call toll-free, 888-253-3139.
[01:22:11.847 --> 01:22:17.908]  We're going to cover the Democrats openly calling for a global gun ban on the other side of the break, but first, Paul Joseph Watson.
[01:22:18.874 --> 01:22:26.795]  So you know how over the last 10 years we were bombarded with scandal after scandal of big tech corporations spying on us and selling our data?
[01:22:26.795 --> 01:22:29.776]  Remember how nobody really gave a damn?
[01:22:29.776 --> 01:22:46.919]  Remember how we continued to clamor for the latest iPhone, the latest smart home assistant, desperately rushing to fill the void of meaninglessness via the voracious consumption of products, completely blasé about the fact that we were literally complicit in creating the kind of surveillance dystopia that would make
[01:22:47.079 --> 01:22:49.800]  George Orwell scoff in disbelief?
[01:22:49.800 --> 01:22:50.740]  Yeah.
[01:22:50.740 --> 01:22:53.562]  Well, it might be time to start giving a damn.
[01:22:53.562 --> 01:23:02.505]  All that information you've been gleefully handing over to the guy who once literally described you as a dumb f*** for doing so will now be used against you.
[01:23:02.625 --> 01:23:22.416]  The same social credit score system that has already restricted millions of Chinese citizens from buying plane tickets, train tickets, purchasing property, sending their children to private schools, is coming soon to the good old US of A. In many ways, it's already here, thanks to our progressive overlords in Silicon Valley.
[01:23:22.416 --> 01:23:26.959]  PatronScan runs your ID through a database when you enter a bar.
[01:23:26.959 --> 01:23:30.241]  If the system decides you've been a naughty boy or girl,
[01:23:31.121 --> 01:23:32.502]  You're not getting in the bar.
[01:23:32.502 --> 01:23:37.545]  Insurance companies in New York are now basing premiums on social media posts.
[01:23:37.545 --> 01:23:43.349]  That Instagram selfie of you eating a bucket of cheese fries might end up costing you big time.
[01:23:43.349 --> 01:23:47.392]  Major fundraising sites are kicking off creators for their wrong think.
[01:23:47.392 --> 01:23:50.894]  Uber has banned conservatives for their offensive tweets.
[01:23:50.894 --> 01:23:54.857]  Airbnb has refused service to people for their online activity.
[01:23:54.957 --> 01:23:59.501]  Conservatives are being banned from entering entire countries because of their views.
[01:23:59.501 --> 01:24:06.266]  PayPal, which is taking over numerous credit card processing companies, bans people for their political opinions.
[01:24:06.266 --> 01:24:12.432]  They just banned Trump supporter and Floridian Jacob Engels right as Hurricane Dorian made landfall.
[01:24:12.432 --> 01:24:14.053]  Very pleasant people.
[01:24:14.053 --> 01:24:18.777]  Major banks are terminating customer accounts because of their political opinions.
[01:24:18.937 --> 01:24:29.402]  Imagine going to buy groceries and your card gets declined because some chicken neck in Silicon Valley didn't like what you posted on Twitter about Alexandria Ocasio-Cortez.
[01:24:29.402 --> 01:24:30.602]  No food for you!
[01:24:30.602 --> 01:24:36.105]  In China, citizens with low social credit scores are restricted from using dating websites.
[01:24:36.365 --> 01:24:43.707]  Now Facebook, as if it wasn't already a frighteningly gargantuan monopoly, just launched its own dating service!
[01:24:43.707 --> 01:24:54.750]  Turning over private intimate relationship information to a faceless amoral corporation that spies on you, sells your data, and can arbitrarily ban you for expressing the wrong opinion!
[01:24:55.390 --> 01:24:56.692]  Marvellous idea!
[01:24:56.692 --> 01:25:02.718]  You just met the love of your life, but lost all contact because you were banned for posting a spicy meme.
[01:25:02.718 --> 01:25:09.366]  Merely appearing in a photo with someone Mark Zuckerberg doesn't like is enough to get you banned by Facebook.
[01:25:09.366 --> 01:25:12.389]  That's Chinese communist style social credit score 101.
[01:25:13.590 --> 01:25:19.517]  Even if you just affiliate with a designated thought criminal, you get punished too.
[01:25:19.517 --> 01:25:26.885]  And if you think all this sounds like it was ripped straight from the plot of some nightmarish Black Mirror episode, that's because it was.
[01:25:26.885 --> 01:25:29.368]  That's reserved for members of our Prime Flight Program.
[01:25:29.368 --> 01:25:31.530]  You gotta be a 4.2 or over to qualify.
[01:25:31.530 --> 01:25:32.291]  Oh, I'm a 4.2.
[01:25:34.253 --> 01:25:37.695]  I'm afraid you're actually a 4.183.
[01:25:37.695 --> 01:25:38.595]  Well, that's not my fault.
[01:25:38.595 --> 01:25:41.257]  Um, some woman dinged me down in the counter.
[01:25:41.257 --> 01:25:42.177]  Can't you just... I'm sorry.
[01:25:42.177 --> 01:25:44.278]  Well, let me book it without the correct ranking.
[01:25:44.278 --> 01:25:46.379]  Two stars?
[01:25:46.379 --> 01:25:48.300]  Two stars?
[01:25:48.300 --> 01:25:49.301]  Wasn't a meaningful encounter.
[01:25:50.669 --> 01:25:59.999]  Everyone is a little bit heightened and false because everyone's terrified of being marked down because the consequences of that are unpleasant.
[01:25:59.999 --> 01:26:02.702]  So it's basically the world we live in.
[01:26:02.702 --> 01:26:09.850]  And now the Trump administration is considering a social credit score type program to restrict people from buying guns.
[01:26:09.850 --> 01:26:11.612]  They're talking about using Fitbits.
[01:26:11.872 --> 01:26:18.179]  Amazon Alexa and Google Home to monitor signs of, quote, neuropsychiatric violence.
[01:26:18.179 --> 01:26:26.749]  In other words, if Alexa, which totally isn't listening to and recording all your conversations, picks up some edgy chatter, no such
[01:26:26.749 --> 01:26:27.830]  Second Amendment for you.
[01:26:27.830 --> 01:26:40.699]  So while his supporters are being banned by big tech, left, right and center, the Trump administration is considering partnering with big tech to spy on Americans via their smart devices to deprive them of their basic rights.
[01:26:40.699 --> 01:26:42.020]  Thanks, Jevanka!
[01:26:42.020 --> 01:26:44.382]  And it's not like any of this is a revelation.
[01:26:44.382 --> 01:26:52.628]  Five years ago, under a project code named Weeping Angel, the CIA was already hacking into your smart TVs and recording your words.
[01:26:52.968 --> 01:26:58.109]  Seven years ago, it was revealed that Samsung Smart TVs were recording people's conversations.
[01:26:58.109 --> 01:27:05.471]  Last year, a New Hampshire judge ordered Amazon to turn over two days of recordings from an in-home Alexa device.
[01:27:05.471 --> 01:27:08.451]  But they're totally not listening to all your conversations.
[01:27:08.451 --> 01:27:19.954]  Amazon already has the patent to use Alexa to detect, quote, an excited emotional state or a sad emotional state in your voice, then prescribe you medications based on that.
[01:27:20.094 --> 01:27:23.877]  Because Jeff Bezos really wants to take care of you!
[01:27:23.877 --> 01:27:27.800]  Alexa, what is the CIA?
[01:27:27.800 --> 01:27:32.083]  The United States Central Intelligence Agency, CIA.
[01:27:32.083 --> 01:27:40.289]  Alexa, are you connected to the CIA?
[01:27:40.289 --> 01:27:44.372]  Alexa, are you connected to the CIA?
[01:27:48.018 --> 01:27:55.463]  I warned that all this was coming 13 years ago, and they called me a conspiracy theorist.
[01:27:55.463 --> 01:28:06.830]  Dissidents will be stripped of basic life amenities, deprived of the right to commerce, imprisoned in a vast digital gulag, dehumanized, rendered destitute.
[01:28:06.830 --> 01:28:13.234]  Brave protesters in Hong Kong are literally ripping down surveillance cameras to express their opposition to all this.
[01:28:13.234 --> 01:28:14.015]  What are we doing?
[01:28:14.395 --> 01:28:20.918]  Wetting our pants in anticipation of the new iPhone because it has a slightly better camera and more battery life.
[01:28:20.918 --> 01:28:27.801]  At least in China, there's still some semblance of a legal system that citizens can turn to as a redress for their grievances.
[01:28:27.801 --> 01:28:34.144]  In America, all this will be controlled by monolithic, unaccountable corporations who have blanket immunity.
[01:28:34.144 --> 01:28:38.046]  So when conservatives are left with no access to the digital public sphere,
[01:28:38.466 --> 01:28:44.653]  No right to travel, no right to own firearms, no right to bank accounts, no right to buy and sell.
[01:28:44.653 --> 01:28:50.098]  All because we suggested that there might not be more than two genders.
[01:28:50.098 --> 01:28:53.782]  At least we can comfort ourselves with the collective mantra.
[01:28:53.782 --> 01:28:55.664]  They're private companies.
[01:28:55.664 --> 01:28:56.745]  They can do what they like.
[01:28:58.021 --> 01:29:04.527]  With the daily wear and tear of the environment on our skin, it's only natural that it starts to crack and take damage.
[01:29:04.527 --> 01:29:11.274]  Wind, heat, water, and age are telltale signs that it's time to start taking care of your skin.
[01:29:11.274 --> 01:29:18.761]  With the InforWar Super Silver Cream, you can keep your skin feeling silky smooth and begin to heal the damages of the world around you.
[01:29:19.361 --> 01:29:33.444]  Created with ingredients like coconut oil, vitamin E, and the incredible Silver Sol formula, InfoWars Silver Cream works triple duty, supporting the beautifying and protecting of the skin in a fast, non-greasy formula.
[01:29:33.444 --> 01:29:41.405]  Small and easily stored, it can support dry and damaged skin to reduce fine lines and wrinkles, while smoothing and softening calluses.
[01:29:41.405 --> 01:29:44.066]  With none of the harmful ingredients found in other formulas,
[01:29:44.426 --> 01:29:48.930]  You can be sure this silver cream is hard at work, promoting the healing of your skin.
[01:29:48.930 --> 01:29:52.954]  Don't miss out on the new Silversol Powered Can't-Miss Formula.
[01:29:52.954 --> 01:29:56.297]  Get the InfoWars Super Silver Cream today.
[01:29:58.550 --> 01:30:01.152]  This is Paul Johnson for whatsomeweirdsummit.news and Action 7 News.
[01:30:01.152 --> 01:30:02.273]  We're here in Hong Kong.
[01:30:02.273 --> 01:30:04.734]  This is Savannah Hernandez for InfoWars.com.
[01:30:04.734 --> 01:30:08.757]  I'm reporting to you from Hong Kong where I'm joined by reporter Greg Rees for the next week.
[01:30:08.757 --> 01:30:11.559]  This is Greg Rees for InfoWars.com in Hong Kong.
[01:30:11.559 --> 01:30:16.442]  Our recent trip to Hong Kong was a new achievement for InfoWars.com.
[01:30:16.442 --> 01:30:24.487]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[01:30:24.487 --> 01:30:27.229]  We have Dan Lyman covering InfoWars Europe.
[01:30:27.709 --> 01:30:30.231]  Paul Joseph Watson in the UK.
[01:30:30.231 --> 01:30:33.812]  Millie Weaver and Caitlin Bennett in the American heartland.
[01:30:33.812 --> 01:30:40.976]  And from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[01:30:40.976 --> 01:30:44.698]  We are not done winning, and with your support, we will keep winning.
[01:30:44.698 --> 01:30:46.139]  We have to keep winning!
[01:30:46.139 --> 01:30:47.420]  We have to win more!
[01:30:47.600 --> 01:30:49.962]  Go to Infowarestore.com.
[01:30:49.962 --> 01:30:58.829]  You have gone to Infowarestore.com and gotten books and films, supplements and t-shirts, and water filtration, air filtration, and things you need!
[01:30:58.829 --> 01:31:04.253]  Super Mel Vitality is already in the top three of our best sellers for the six years we've had it.
[01:31:04.973 --> 01:31:13.116]  It is a award-winning formula produced in Utah by one of the top herbal companies in the nation that we've been private labeling.
[01:31:13.116 --> 01:31:14.397]  It is cold-pressed.
[01:31:14.397 --> 01:31:20.839]  It takes at least three times the herbs that are wild-crafted and organic to be able to produce this.
[01:31:20.839 --> 01:31:22.020]  It's not boiled.
[01:31:22.020 --> 01:31:22.800]  It's not heated.
[01:31:22.800 --> 01:31:23.961]  It's never been dried.
[01:31:23.961 --> 01:31:26.482]  It's taken from fresh herbs.
[01:31:26.482 --> 01:31:29.183]  That's why it's so strong.
[01:31:29.183 --> 01:31:32.604]  That's why it's so effective for libido, stamina, and energy.
[01:31:32.944 --> 01:31:46.936]  And I'm so excited about Supermelo Vitality and Carnivore 30 that I'm offering you, with every order of Supermelo Vitality, a 25% off a free bottle of Carnivore Digestive Enzyme.
[01:31:46.936 --> 01:31:53.201]  We're going to sell out of this very quickly, but it's an offer so that you experience how amazing both these products are.
[01:31:53.201 --> 01:31:57.805]  Secure yours at mfulworesstore.com today or mfulworeslife.com.
[01:31:58.465 --> 01:32:00.566]  Josh in Washington, you're on the air, go ahead.
[01:32:00.566 --> 01:32:01.747]  Alex, God bless you.
[01:32:01.747 --> 01:32:04.329]  I have an idea for a new InfoWars t-shirt.
[01:32:04.329 --> 01:32:10.312]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[01:32:10.312 --> 01:32:10.973]  Ooh, yeah.
[01:32:10.973 --> 01:32:12.293]  Showing your brain getting fried.
[01:32:12.293 --> 01:32:14.175]  Gonna have some comments on your supplements, man.
[01:32:14.175 --> 01:32:15.215]  Totally changed my life.
[01:32:15.215 --> 01:32:21.859]  I use TurboForce, BODY, AlphaPower, BrainForce, FishOil, Ultra12, Daily, X2 every several days now.
[01:32:21.859 --> 01:32:26.262]  What I've found is really combining them is totally synergistic and
[01:32:26.542 --> 01:32:32.944]  Transcendent healing that I get by combining all your products and I just want to urge all your listeners who haven't tried them I just want to say why not?
[01:32:32.944 --> 01:32:42.568]  Well you're right that all of these things are known to be incredible whether it's turmeric or whether it's the fish oil or the krill oil or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[01:32:42.888 --> 01:32:45.409]  All of these are things that are like rocket fuel in the body.
[01:32:45.409 --> 01:32:48.290]  You take these bases together, then you have your foundation.
[01:32:48.290 --> 01:32:50.331]  Now you can build the big strong temple.
[01:32:50.331 --> 01:32:53.112]  With these products I take, I religiously remember to take them.
[01:32:53.112 --> 01:32:57.113]  It makes my life so much better and then it funds the information war which is so critical.
[01:32:57.113 --> 01:32:57.893]  Thank you so much.
[01:32:57.893 --> 01:33:01.275]  God bless you.
[01:33:01.275 --> 01:33:03.916]  You're listening to the Alex Jones Show.
[01:33:09.437 --> 01:33:27.390]  From the front lines of the information war, it's Alex Jones.
[01:33:27.390 --> 01:33:31.793]  The Second Amendment is 230 years old.
[01:33:31.793 --> 01:33:38.198]  And it's facing the greatest threat to its existence since this nation was founded.
[01:33:39.286 --> 01:33:46.267]  Powerful forces of corporate globalism know that the planet is awakening to their tyranny.
[01:33:46.267 --> 01:33:55.789]  And they know that only two nations, Switzerland and the United States, still have a basic right to keep and bear arms and have truly sovereign citizens.
[01:33:55.789 --> 01:34:02.950]  Just fifty years ago, there were more than a hundred nations that had strong right to keep and bear arms.
[01:34:02.950 --> 01:34:05.751]  But using a tried and trusted formulae,
[01:34:06.835 --> 01:34:13.801]  All of those nations have been disarmed and then brought under corporate globalism.
[01:34:13.801 --> 01:34:20.746]  The crime rates have exploded, the nations have been financially looted, and have all declined.
[01:34:20.746 --> 01:34:29.013]  Award-winning journalist John Stossel has previewed an upcoming documentary with one of the top statisticians in the world, Professor John Lott.
[01:34:29.733 --> 01:34:36.196]  Detailing the facts that law enforcement supports the Second Amendment because they know it actually lowers crime.
[01:34:36.196 --> 01:34:40.578]  But that Hollywood and others are willfully brainwashing the public.
[01:34:40.578 --> 01:34:43.740]  We're going to play a preview from this upcoming film in a moment.
[01:34:43.740 --> 01:34:47.142]  But first, let's get into the current attack.
[01:34:48.581 --> 01:34:56.946]  They're going from denying that they want to register our guns to confiscate them, to admitting that it's, quote, time to repeal the Second Amendment.
[01:34:56.946 --> 01:35:00.208]  That is being put on every so-called corporate news program.
[01:35:00.208 --> 01:35:03.630]  It's being put on the front page of the New York Times, the Washington Post.
[01:35:03.630 --> 01:35:15.578]  They are getting the public ready to demonize, to attack, to sue, to harass, to arrest and imprison gun owners following the same path as other nations.
[01:35:16.178 --> 01:35:24.426]  We celebrate Independence Day, July 4th, because in 1776 the Redcoats came to confiscate the firearms.
[01:35:24.426 --> 01:35:39.419]  And the colonies rallied and met and decided to sign the Declaration of Independence because, amongst all the crimes that were taking place by the corrupt King of England against his subjects, the colonists, attempting to disarm them was the most egregious.
[01:35:40.160 --> 01:35:42.001]  And we're in the same position today.
[01:35:42.001 --> 01:35:50.564]  Now there are many ways the establishment and multinational corporations and foreign governments are lobbying to disarm us in this big offensive push.
[01:35:50.564 --> 01:35:57.086]  But one of the biggest isn't just legislative to ban and then forcibly confiscate all semi-autos.
[01:35:57.086 --> 01:35:58.667]  That's most firearms.
[01:35:58.667 --> 01:36:01.308]  And certainly the ones that are best for self-defense.
[01:36:01.308 --> 01:36:05.970]  They're also suing hundreds of gun manufacturers and Bloomberg
[01:36:07.050 --> 01:36:12.055]  And George Soros and the Democratic Party have put hundreds of millions of dollars into it.
[01:36:12.055 --> 01:36:25.088]  The Supreme Court is hearing, as we speak, a case out of Connecticut where the Supreme Court of that state said that if a criminal misuses a gun, that the manufacturer is to blame.
[01:36:25.088 --> 01:36:30.894]  It doesn't matter that the shooter at Sandy Hook, Adam Lanza, stole the gun from his mother who legally bought it.
[01:36:31.693 --> 01:36:32.613]  No.
[01:36:32.613 --> 01:36:46.837]  The big Democratic Party law firm of Koskoff and Koskoff, the same one suing me for questioning Sandy Hook, is the group that bankrupted Remington and over 3,000 employees lost their jobs.
[01:36:46.837 --> 01:36:53.179]  And the Supreme Court of Connecticut certified that, and now it's gone up to the U.S.
[01:36:53.179 --> 01:36:55.060]  Supreme Court, ladies and gentlemen.
[01:36:56.571 --> 01:37:01.075]  This is how close the Second Amendment is to being snuffed out.
[01:37:01.075 --> 01:37:14.207]  Because if the Supreme Court rules that Remington is liable for what a criminal did, illegally getting a gun, then not just the Second Amendment, not just gun manufacturers, but baseball bat, knife manufacturers, car makers,
