[00:00:00.236 --> 00:00:01.857]  Come on man!
[03:17:13.926 --> 03:17:22.152]  Hi, I'm Dan Pilla.
[03:17:22.152 --> 03:17:26.074]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:17:26.074 --> 03:17:27.615]  I sued the IRS and won.
[03:17:27.615 --> 03:17:30.577]  I beat the IRS then, and I've been beating them ever since.
[03:17:30.577 --> 03:17:35.781]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:17:36.121 --> 03:17:37.322]  I can help you too.
[03:17:37.322 --> 03:17:40.266]  If you owe taxes you can't pay, don't wait another day.
[03:17:40.266 --> 03:17:42.488]  There's no such thing as a hopeless tax case.
[03:17:42.488 --> 03:17:46.933]  Call 800-34-NO-TAX or go to my website, DanPilla.com.
[03:17:46.933 --> 03:17:48.634]  That's DanPilla.com.
[03:17:48.634 --> 03:17:49.275]  DanPilla.com.
[03:17:52.281 --> 03:17:56.522]  We sold Secret 12 for four years, and it was our number third best seller.
[03:17:56.522 --> 03:18:01.283]  We had to discontinue it because when you upgrade a formula, you are supposed to rename it.
[03:18:01.283 --> 03:18:03.523]  That new formula is Ultra 12.
[03:18:03.523 --> 03:18:07.924]  It's twice as strong as Secret 12, the very best vitamin B12 out there.
[03:18:07.924 --> 03:18:13.005]  It's got the complex system that lets your body absorb it, and it does amazing things.
[03:18:13.005 --> 03:18:14.825]  Supports healthy nerve and brain cells.
[03:18:14.825 --> 03:18:16.125]  Helps make DNA.
[03:18:16.125 --> 03:18:17.445]  Helps the body produce energy.
[03:18:17.445 --> 03:18:18.946]  Helps produce healthy blood cells.
[03:18:18.946 --> 03:18:20.946]  Essential for proper nervous system function.
[03:18:20.946 --> 03:18:21.706]  It goes on and on.
[03:18:21.946 --> 03:18:30.049]  B12 deficiency is a serious problem that can cause anemia, fatigue, weakness, constipation, weight loss, depression, poor memory loss, asthma, vision problems, and low sperm count.
[03:18:30.049 --> 03:18:32.589]  Bottom line, folks, you need Ultra 12.
[03:18:32.589 --> 03:18:39.412]  It helps fund the InfoWar, so it's a 360 win, and it's 50% off for a limited time at InfoWarStore.com.
[03:18:39.412 --> 03:18:44.733]  Again, we can only run the special for the next two weeks or so while supplies last.
[03:18:44.733 --> 03:18:49.975]  Ultra 12, twice as powerful, half the price, 50% off right now on InfoWarsLive.com.
[03:18:52.728 --> 03:19:00.156]  There are few things in this universe that are a sure bet, but I'm here to tell you, the products at Infowarslife.com are.
[03:19:00.156 --> 03:19:13.431]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature, and then we make it even stronger, even better, and lower the price.
[03:19:13.951 --> 03:19:20.596]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[03:19:20.596 --> 03:19:22.357]  It sells itself.
[03:19:22.357 --> 03:19:30.424]  But, normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[03:19:31.104 --> 03:19:32.985]  Originally, obviously, from India.
[03:19:32.985 --> 03:19:45.353]  Well, Body's Ultimate Turmeric Formula has a 95% curcuminoid level, but it's got other natural things that help boost it, help your body absorb it, and that's why people absolutely love it.
[03:19:45.353 --> 03:19:48.715]  I'm doing this offer for people that haven't tried it yet.
[03:19:48.715 --> 03:19:55.360]  50% off on Body's at InfoWarsLive.com.
[03:19:55.360 --> 03:19:58.001]  You're listening to the Alex Jones Show.
[03:20:16.138 --> 03:20:17.899]  Andrew McCabe will be indicted.
[03:20:17.899 --> 03:20:25.664]  That's the headline story coming out of Fox News is Andrew McCabe himself, his counsel, apparently is the source leaking out that fact.
[03:20:25.664 --> 03:20:26.605]  That is already going to happen.
[03:20:26.605 --> 03:20:28.186]  What will he be indicted for?
[03:20:28.186 --> 03:20:35.050]  He'll be indicted for various crimes likely related to what was in the Inspector General Horowitz's report going back almost two years ago.
[03:20:35.750 --> 03:20:49.156]  Report that detailed the ways in which McCabe illicitly leaked to the media, lied to the Office of Inspector General, lied and misled other people within the FBI, likely obstructed justice and perverted the course of justice.
[03:20:49.156 --> 03:21:01.982]  It may include illicit activities involving illicit partisan activities on behalf of his wife, receiving money from Clinton-connected political PACs while Clinton was under investigation by, purportedly, Andrew McCabe.
[03:21:02.282 --> 03:21:14.896]  Including the Clinton Foundation investigation and the Clinton email investigation, his complicit role in Spygate, his purported knowledge of Rosenstein's plan to illicitly wiretap the president inside the White House.
[03:21:14.896 --> 03:21:16.779]  All of those things can be fully disclosed.
[03:21:17.199 --> 03:21:35.413]  So you see McCabe's counsel today leaking this to the press that he's about to get indicted, which I can tell you in the past, prosecutors have interpreted as a message to his deep state co-conspirators to start deleting evidence, destroying evidence, voluntarily disappearing, maybe involuntarily disappearing those people who won't voluntarily disappear.
[03:21:35.413 --> 03:21:36.414]  That would be the nature of it.
[03:21:36.414 --> 03:21:40.718]  If this was a mob case or any other kind of case, that's how the prosecutors would interpret what he's doing.
[03:21:40.718 --> 03:21:43.820]  He's giving a heads up to all of his co-conspirators.
[03:21:43.820 --> 03:21:44.821]  I'm about to get nailed.
[03:21:44.821 --> 03:21:46.302]  He's saying, run, burn everything.
[03:21:46.562 --> 03:21:47.042]  Exactly.
[03:21:47.042 --> 03:21:49.564]  That's the message a lot of people would take out of this.
[03:21:49.564 --> 03:21:55.968]  So the why is, just ask yourself in any situation like this, why would McCabe's own counsel leak to the press?
[03:21:55.968 --> 03:21:58.789]  We started apologizing to Comey publicly two days ago.
[03:21:58.789 --> 03:21:59.430]  Exactly.
[03:21:59.430 --> 03:22:00.931]  I mean, this is just groveling.
[03:22:00.931 --> 03:22:07.535]  Well, and if I was him, I would probably start apologizing to key Deep State members because he had previously said if he goes down, everybody goes down.
[03:22:07.535 --> 03:22:09.136]  So we're lucky to have you here with the coverage.
[03:22:09.136 --> 03:22:10.176]  You're going to continue on.
[03:22:10.176 --> 03:22:11.597]  We'll both be back for sure.
[03:22:11.597 --> 03:22:12.518]  6 to 11 tonight.
[03:22:14.679 --> 03:22:16.282]  And you're going to be honchoing.
[03:22:16.282 --> 03:22:17.323]  I already had this decision tonight.
[03:22:17.323 --> 03:22:18.966]  You're going to be running the debates.
[03:22:18.966 --> 03:22:19.867]  Because you're a great talk show.
[03:22:19.867 --> 03:22:20.909]  I was a smart guy.
[03:22:20.909 --> 03:22:22.231]  You're perfect for this.
[03:22:22.231 --> 03:22:24.295]  And we're going to have everybody here.
[03:22:24.295 --> 03:22:24.795]  We're going to have...
[03:22:25.981 --> 03:22:27.182]  We're going to have Tom Papert.
[03:22:27.182 --> 03:22:28.243]  We're going to have Rob Dew.
[03:22:28.243 --> 03:22:29.585]  We're going to have Ellen Schreuer.
[03:22:29.585 --> 03:22:32.007]  We're going to have Will Johnson.
[03:22:32.007 --> 03:22:32.728]  We're going to have Millie Weaver.
[03:22:32.728 --> 03:22:33.769]  We're going to have Caitlin Bennett.
[03:22:33.769 --> 03:22:36.431]  And then I know you wanted to do this earlier and have some fun.
[03:22:36.431 --> 03:22:41.416]  The Alex Jones mask, you buy one for $9.95, you get four free.
[03:22:41.416 --> 03:22:43.098]  So we're selling you these at cost.
[03:22:43.098 --> 03:22:48.183]  We've ordered 50,000 of these to freak people out on Halloween and other times and spread the word in the third dimension.
[03:22:48.323 --> 03:22:50.904]  So buy one Alex Jones mask kit for free.
[03:22:50.904 --> 03:22:52.125]  The sale just went up today.
[03:22:52.125 --> 03:22:55.146]  We're going to sell all 50,000 of these at cost.
[03:22:55.146 --> 03:22:57.647]  Ladies and gentlemen, this is about an information war.
[03:22:57.647 --> 03:23:00.729]  Throwing free bumper stickers in there to trigger libtards in your area.
[03:23:00.729 --> 03:23:04.731]  They're trying to censor us out of the internet fake silicon division.
[03:23:04.731 --> 03:23:06.731]  We are doing it in the third dimension.
[03:23:06.731 --> 03:23:07.772]  InfoWareStore.com
[03:23:08.072 --> 03:23:08.332]  Thank you.
[03:23:35.020 --> 03:23:41.509]  Well, you know, there's an old saying, when you move to kill the king, you better kill the king.
[03:23:41.509 --> 03:23:46.255]  Because if you don't, the king's got a lot of tools and he's going to track you down.
[03:23:46.255 --> 03:23:47.276]  He better not miss.
[03:23:47.276 --> 03:23:48.858]  He's going to take you out.
[03:23:48.858 --> 03:23:49.539]  He better not miss.
[03:23:50.342 --> 03:23:55.025]  Well, I mean, Andrew McCabe is the deep state equivalent of Jeffrey Epstein.
[03:23:55.025 --> 03:23:55.806]  That's how significant he is.
[03:23:55.806 --> 03:23:58.828]  He's the inside man to what Jeffrey Epstein was on the outside.
[03:23:58.828 --> 03:24:01.370]  He's the guy with all the intel, all the info.
[03:24:01.370 --> 03:24:06.594]  He's the biggest deep state indictment in more than 40 years since Mark Felt, who ran Coca-Cola.
[03:24:06.594 --> 03:24:07.755]  I mean, we can't say how big it is.
[03:24:07.755 --> 03:24:08.415]  That's why we're talking.
[03:24:08.415 --> 03:24:10.257]  But you just made another great point while you're here, Matt.
[03:24:10.257 --> 03:24:10.697]  Take over.
[03:24:10.697 --> 03:24:11.017]  We love you.
[03:24:11.017 --> 03:24:12.458]  We're going to go eat lunch and listen to you.
[03:24:12.458 --> 03:24:12.899]  God bless you.
[03:24:13.539 --> 03:24:14.981]  Folks, spread the word about this live feed.
[03:24:14.981 --> 03:24:16.122]  Spread the word about this live feed.
[03:24:16.122 --> 03:24:17.264]  History's happening right now, folks.
[03:24:17.264 --> 03:24:18.685]  Do it.
[03:24:18.685 --> 03:24:19.286]  Band off video.
[03:24:19.286 --> 03:24:21.088]  Go ahead, my friend.
[03:24:21.088 --> 03:24:27.056]  Yeah, this is the big shift, you know, visible.
[03:24:27.056 --> 03:24:29.158]  Icebergs are good for a couple of analogies.
[03:24:29.158 --> 03:24:31.942]  Obviously, most of an iceberg is invisible.
[03:24:32.708 --> 03:24:43.134]  What we and, you know, just folks out here without inside sources like, you know, classified sources, what we see is that like 10% of the iceberg.
[03:24:43.134 --> 03:24:47.797]  But the deep state players, they know much more of what's underneath the water.
[03:24:47.797 --> 03:24:57.062]  And so if McCabe is starting to panic, you know that it's bad and all the rest of the deep state coup plotters, they're going to be in a panic also.
[03:24:57.062 --> 03:24:57.963]  And sometimes
[03:24:58.826 --> 03:25:03.988]  With an iceberg, sometimes they actually capsize or you've seen them calving off of a glacier.
[03:25:03.988 --> 03:25:11.912]  You know, when that iceberg, it looks so solid, it looks like a big solid piece of that glacier, you know, like a cliff, like a wall.
[03:25:11.912 --> 03:25:14.753]  But when that acre of ice falls off into the fjord,
[03:25:15.453 --> 03:25:17.575]  It sends out big waves.
[03:25:17.575 --> 03:25:21.739]  And today we're seeing that one of those icebergs calve off.
[03:25:21.739 --> 03:25:24.401]  You know, that glacier's been moving so slowly.
[03:25:24.401 --> 03:25:28.304]  For two years I've been saying, when's somebody going to get arrested, indicted?
[03:25:28.304 --> 03:25:33.749]  You know, when are these coup plotters, when is the shoe going to be on the other foot?
[03:25:33.749 --> 03:25:35.991]  Well, I think that today visibly it's happening.
[03:25:36.531 --> 03:25:59.826]  You know, another couple of analogies in warfare, you can sometimes see an army just on the march and it looks like it's unstoppable, but they reach their limit, they go too far, where their logistical lines are too overextended, their people are worn out, maybe they don't have the right uniforms for the environment.
[03:26:00.347 --> 03:26:03.372]  I'm thinking of Civil War, Lee at Gettysburg.
[03:26:03.372 --> 03:26:05.015]  You know, hey, they're in Pennsylvania.
[03:26:05.015 --> 03:26:07.019]  The South must be doing great.
[03:26:07.019 --> 03:26:09.564]  And within a year and a half, Richmond, it's all over.
[03:26:10.254 --> 03:26:19.239]  Or in the Second World War, the Nazis got to Stalingrad, and they were on their way to securing the Caspian oil fields.
[03:26:19.239 --> 03:26:20.839]  And that was their high watermark.
[03:26:20.839 --> 03:26:28.283]  And then the rest of the way is defense all the way back to Berlin, and Berlin being crushed.
[03:26:28.283 --> 03:26:31.645]  The Red Army just wiping them out all the way back.
[03:26:31.645 --> 03:26:38.048]  And I think this is the turning point, one of those days in history, when we're going to see this as an actual turning point.
[03:26:38.656 --> 03:26:45.942]  And I can't wait to see MSDNC and CNN today, how they're going to spin this.
[03:26:45.942 --> 03:26:53.788]  You know, the great hero McCabe being slandered and besmirched by the evil Trumpian corrupt Justice Department.
[03:26:54.088 --> 03:26:55.109]  It's going to be a joke.
[03:26:55.109 --> 03:27:03.696]  It's going to be like the election night, worth recording to savor over the coming weeks and months.
[03:27:03.696 --> 03:27:13.244]  And when I come back, I'm going to talk about another angle on this whole deep state coup that's also been ongoing this week, which is the Mike Flynn case.
[03:27:13.244 --> 03:27:15.886]  This is like another battlefront.
[03:27:15.886 --> 03:27:21.631]  While we're dealing with the Nazis in Europe, we've got the Japanese in the Pacific.
[03:27:23.126 --> 03:27:27.408]  This is another front in this deep state counterattack.
[03:27:27.408 --> 03:27:40.272]  The amazing lawyer, Sidney Powell, has been doing an unbelievable job in court trying to get this Brady material, that's the exculpatory material that should have been released, that wasn't.
[03:27:40.272 --> 03:27:43.073]  That the DOJ, even till this day, has been hiding.
[03:27:43.073 --> 03:27:48.295]  You know, even with Barr in charge, there are all these deep state moles so deeply embedded
[03:27:48.815 --> 03:27:53.938]  That it's just been almost impossible to drag anything out of the Department of Justice.
[03:27:53.938 --> 03:28:00.583]  But Mike Flynn, who went bankrupt in his first go-round with his old law firm, he should ask for a refund.
[03:28:00.583 --> 03:28:06.587]  And I believe Sidney Powell, this female attorney you've seen on TV, she's actually doing this pro bono.
[03:28:06.587 --> 03:28:08.808]  So Mike Flynn went to D.C.
[03:28:08.808 --> 03:28:13.011]  attorneys, and I'll bet they were actually not working on his behalf.
[03:28:13.291 --> 03:28:17.092]  You know, they were taking his money and letting the meter run.
[03:28:17.092 --> 03:28:20.372]  But were they actually working for General Flynn?
[03:28:20.372 --> 03:28:26.053]  Or were they working for their, you know, future business partners and legal partners in the deep state?
[03:28:26.053 --> 03:28:28.694]  It really makes you wonder how deep this goes.
[03:28:28.694 --> 03:28:35.315]  But this is going to be a day to savor the final pivot, the counterattack.
[03:28:35.315 --> 03:28:39.916]  You know, when the Germans get pushed out of Stalingrad and it's back to Berlin.
[03:28:40.496 --> 03:28:47.906]  You know, this is going to be an epic sea change coming up, and we'll have it back more in a few minutes.
[03:28:52.000 --> 03:29:03.044]  When you have a pain in the neck, a real pain in the neck, back, shoulder or legs, you now have two convenient choices to get fast relief without taking another pill.
[03:29:03.044 --> 03:29:08.846]  Because now Sunny Bay heating wraps and pillows are available at both Amazon and Wal-Mart.
[03:29:08.846 --> 03:29:09.487]  Yes.
[03:29:09.487 --> 03:29:15.369]  See Sunny Bay's four and a half to five star customer reviews on Amazon .com or Wal-Mart .com.
[03:29:15.729 --> 03:29:24.155]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support where and when you need it.
[03:29:24.155 --> 03:29:33.200]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing, hot or cold therapy to help treat temporary or chronic pain.
[03:29:33.200 --> 03:29:37.143]  And the best part, Sunny Bay quality products start at under twenty dollars.
[03:29:37.443 --> 03:29:45.467]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both Amazon and Etsy.
[03:29:45.467 --> 03:29:46.227]  It's easy.
[03:29:46.227 --> 03:29:50.109]  Click Amazon or Walmart and search today for Sunny Bay.
[03:29:52.887 --> 03:29:58.629]  Super Silver Wound Gel is a private label from the top company in the U.S.
[03:29:58.629 --> 03:30:03.351]  that has their products in hospitals and is sold over the counter and approved for that by the FDA.
[03:30:03.351 --> 03:30:06.032]  We have been blessed with their listeners and let us private label it.
[03:30:06.032 --> 03:30:08.193]  In the last two years, it's been a bestseller.
[03:30:08.193 --> 03:30:19.757]  We convinced them to let us come out with a skin cream that basically mimics the top skin creams that are already out there at a lower price with their patented Silver Sol technology in it.
[03:30:20.217 --> 03:30:29.863]  It's got the hyaluronic acid, it's got the stearic acid, it's got the grapefruit essential oil, it's got the nano silver coconut oil and so much more.
[03:30:29.863 --> 03:30:35.127]  It's in two sizes, super silver skin cream in 3.4 ounce and in the smaller one.
[03:30:35.407 --> 03:30:39.569]  You're not going to find a product this good anywhere, and you're certainly not going to find it at this price.
[03:30:39.569 --> 03:30:43.311]  And it funds the InfoWar at InfoWarsLife.com.
[03:30:43.311 --> 03:30:46.313]  Get your Super Silver Skin Cream today.
[03:30:46.313 --> 03:30:50.595]  We can only run this special for another week or so, as of taping this September 10th.
[03:30:52.631 --> 03:31:00.037]  There are few things in this universe that are a sure bet, but I'm here to tell you, the products at Infowarslife.com are.
[03:31:00.037 --> 03:31:13.329]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature, and then we make it even stronger, even better, and lower the price.
[03:31:13.849 --> 03:31:20.494]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[03:31:20.494 --> 03:31:22.255]  It sells itself.
[03:31:22.255 --> 03:31:30.282]  But, normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[03:31:31.162 --> 03:31:32.883]  Originally, obviously, from India.
[03:31:32.883 --> 03:31:45.230]  Well, Body's Ultimate Turmeric Formula has a 95% curcuminoid level, and it's got other natural things that help boost it, help your body absorb it, and that's why people absolutely love it.
[03:31:45.230 --> 03:31:48.192]  I'm doing this offer for people that haven't tried it yet.
[03:31:48.192 --> 03:31:50.413]  50% off on Body's at InfoWarsLive.com.
[03:31:51.494 --> 03:31:55.738]  We sold Secret 12 for four years, and it was our number third best seller.
[03:31:55.738 --> 03:32:00.521]  We had to discontinue it because when you upgrade a formula, you are supposed to rename it.
[03:32:00.521 --> 03:32:02.763]  That new formula is Ultra 12.
[03:32:02.763 --> 03:32:07.147]  It's twice as strong as Secret 12, the very best vitamin B12 out there.
[03:32:07.147 --> 03:32:12.251]  It's got the complex system that lets your body absorb it, and it does amazing things.
[03:32:12.251 --> 03:32:14.072]  Supports healthy nerve and brain cells.
[03:32:14.072 --> 03:32:15.373]  Helps make DNA.
[03:32:15.373 --> 03:32:16.694]  Helps the body produce energy.
[03:32:16.694 --> 03:32:18.196]  Helps produce healthy blood cells.
[03:32:18.196 --> 03:32:20.197]  Essential for proper nervous system function.
[03:32:20.197 --> 03:32:20.958]  It goes on and on.
[03:32:21.158 --> 03:32:29.263]  B12 deficiency is a serious problem that can cause anemia, fatigue, weakness, constipation, weight loss, depression, poor memory loss, asthma, vision problems, and low sperm count.
[03:32:29.263 --> 03:32:31.804]  Bottom line, folks, you need Ultra 12.
[03:32:31.804 --> 03:32:38.648]  It helps fund the InfoWar, so it's a 360 win, and it's 50% off for a limited time at InfoWarStore.com.
[03:32:38.648 --> 03:32:43.972]  Again, we can only run the special for the next two weeks or so while supplies last.
[03:32:43.972 --> 03:32:49.215]  Ultra 12, twice as powerful, half the price, 50% off right now at InfoWarsLive.com.
[03:32:54.836 --> 03:32:57.452]  You're listening to The Alex Jones Show.
[03:33:14.431 --> 03:33:18.152]  The answer to 1984 is 1776.
[03:33:18.152 --> 03:33:22.053]  It's Matt Bracken.
[03:33:22.053 --> 03:33:25.133]  You're listening to the Alex Jones Show.
[03:33:25.133 --> 03:33:31.635]  Okay, when we left, we were talking about the panic in the deep state.
[03:33:31.635 --> 03:33:36.076]  And that's exactly, I think, what we're seeing now.
[03:33:36.076 --> 03:33:40.096]  McCabe is sending out the signals to his buddies.
[03:33:40.096 --> 03:33:42.937]  The only leverage he's got is to try to warn them.
[03:33:43.901 --> 03:33:46.444]  In other words, please don't kill me.
[03:33:46.444 --> 03:33:51.388]  I don't feel like going canoeing on the Potomac or driving off a cliff.
[03:33:51.388 --> 03:33:52.749]  So forgive me.
[03:33:52.749 --> 03:33:56.672]  Now we've all got to cover our own butts as best we can.
[03:33:56.672 --> 03:34:07.762]  This is why for the past couple of months, supposedly people have been going back to the Inspector General Horowitz and amending their testimony.
[03:34:07.762 --> 03:34:08.503]  This is because
[03:34:09.455 --> 03:34:15.228]  Among the Deep State plotters, you know, the rumors will be flying about who's singing like a canary.
[03:34:15.228 --> 03:34:18.414]  And you don't want to be holding the short stick because
[03:34:19.136 --> 03:34:24.800]  The conspirators all said, we won't say a word, or we'll all agree to tell this lie.
[03:34:24.800 --> 03:34:31.845]  But then you hear one of your co-conspirators has broken ranks, and they're talking to Durham or Horowitz.
[03:34:31.845 --> 03:34:36.988]  So they're scurrying back to Horowitz to say, you know, I had some further memories.
[03:34:36.988 --> 03:34:39.290]  I remembered things a little bit differently.
[03:34:39.290 --> 03:34:42.832]  This is because they know that the axe is coming down.
[03:34:42.832 --> 03:34:44.773]  They know that it's going to happen.
[03:34:44.773 --> 03:34:46.975]  And there's no stopping it at this point.
[03:34:49.525 --> 03:34:55.226]  Corrupt people is that they think everybody is corrupt.
[03:34:55.226 --> 03:34:58.927]  You know, a thief thinks that everybody is a thief.
[03:34:58.927 --> 03:35:00.307]  That they just don't get caught.
[03:35:00.307 --> 03:35:03.328]  Like, you know, maybe they're a more careful, better thief.
[03:35:03.328 --> 03:35:06.829]  But thieves, liars think that everybody lies.
[03:35:06.829 --> 03:35:09.809]  You know, they don't think that they're uniquely sinful.
[03:35:09.809 --> 03:35:13.110]  They think that all politicians are corrupt.
[03:35:13.110 --> 03:35:16.811]  If you go and you explore this cast of characters, start with Comey.
[03:35:17.572 --> 03:35:29.300]  And look at his relationship with Mueller, with McCabe, with Rosenstein, with former Attorney General Holder and Lynch.
[03:35:29.300 --> 03:35:36.745]  You'll see that all of these players have been, they went to law school, they went to work for the Democrats.
[03:35:37.921 --> 03:35:42.328]  To enrich themselves and to further the power of the Democrat Party.
[03:35:42.328 --> 03:35:47.796]  And if you look at, it's really interesting to put on a timeline, you know, where was Mueller?
[03:35:47.796 --> 03:35:49.138]  Where was Comey?
[03:35:49.138 --> 03:35:50.280]  Where was Lynch?
[03:35:50.280 --> 03:35:51.502]  Where was Holder?
[03:35:51.502 --> 03:35:52.463]  They take turns.
[03:35:53.124 --> 03:35:54.925]  They're working as U.S.
[03:35:54.925 --> 03:35:59.367]  attorneys where they can throw favors to corporations.
[03:35:59.367 --> 03:36:13.034]  They take corporate gigs as senior legal counsel for HSBC Bank, for Lockheed Martin, and then they do deals with their U.S.
[03:36:13.034 --> 03:36:14.535]  attorney pals.
[03:36:14.535 --> 03:36:20.138]  They get contracts cleared or approved, or they get fines reduced to a slap on the wrist.
[03:36:20.718 --> 03:36:22.619]  This is how they have functioned.
[03:36:22.619 --> 03:36:31.985]  So these are, this is a cast of entirely, you know, really evilly corrupt people and finally, finally, it looks like
[03:36:32.668 --> 03:36:38.893]  There is going to be some level of justice coming down, and we might not see the justice ourselves.
[03:36:38.893 --> 03:36:43.417]  They might have a lot of security in some respects.
[03:36:43.417 --> 03:36:46.560]  You know, well, Epstein thought he was untouchable.
[03:36:46.560 --> 03:36:50.943]  Epstein thought, I've got so many blackmail tapes, they'll never touch me.
[03:36:50.943 --> 03:36:55.967]  He wound up dead under mysterious circumstances, to say the least.
[03:36:55.967 --> 03:36:58.830]  I think that the Rosensteins and the McCaves
[03:36:59.580 --> 03:37:06.226]  They probably have in a form of a parachute, which is a dead man's switch.
[03:37:06.226 --> 03:37:09.689]  You know, if I'm taken out, I'm taking all of the rest of these guys out.
[03:37:09.689 --> 03:37:26.663]  Well, to our benefit, that can lead to a cascade because all of these thumb drives and packages full of information are going to get leaked now furiously because if you look at some of the conspirators,
[03:37:27.697 --> 03:37:35.361]  If you look particularly at McCabe, Comey, and Rosenstein, they have some very serious contradictions in their testimony.
[03:37:35.361 --> 03:37:40.604]  There are cases where one or both of them have to be lying.
[03:37:40.604 --> 03:37:43.766]  It's either two plus two is four or not.
[03:37:43.766 --> 03:37:53.012]  And if you're caught on the wrong side of a provable lie, somebody is going to testify against somebody else, and you can go to jail for perjury.
[03:37:53.012 --> 03:37:55.073]  You can absolutely go to jail for perjury.
[03:37:55.686 --> 03:38:04.169]  And these guys, at their ages, and with the power that they have accumulated, they do not want to see the inside of a jail cell.
[03:38:04.169 --> 03:38:07.650]  I don't think we're going to see any G. Gordon Liddy's out of this crowd.
[03:38:07.650 --> 03:38:15.092]  If you go back to Watergate, G. Gordon Liddy was the head of the Watergate plumbers that did the break-in, but he just wouldn't talk.
[03:38:15.092 --> 03:38:19.453]  He took it like a POW, you know, name, rank, and serial number.
[03:38:20.111 --> 03:38:23.253]  This crew is not going to go the G. Gordon Liddy route.
[03:38:23.253 --> 03:38:26.954]  They are all corrupt, evil, venal men.
[03:38:26.954 --> 03:38:34.038]  And with the exception, perhaps, of Comey, and the reason I say that, I think that Comey is not
[03:38:34.614 --> 03:38:35.895]  Corrupt financially.
[03:38:35.895 --> 03:38:49.384]  Of course, he did do the gigs at Lockheed Martin and HSBC where you make three or four million in a year for approving corrupt deals or looking the other way for Uranium One deals, things like that.
[03:38:49.384 --> 03:38:51.805]  But I think he's a true believer.
[03:38:51.805 --> 03:38:56.188]  Until recently, his Twitter handle was Reinhold Niebuhr.
[03:38:56.188 --> 03:38:59.831]  Reinhold Niebuhr is a 20th century quote-unquote theologian
[03:39:00.431 --> 03:39:05.015]  Who preached, you know, that Jesus was the first Marxist, basically.
[03:39:05.015 --> 03:39:15.764]  So, Comey's book is called A Higher Loyalty, meaning a higher loyalty than to the oath that I took to, you know, defend the Constitution, obey the law.
[03:39:15.764 --> 03:39:25.272]  His higher loyalty is to further the goal of globalism, socialism, and to me, they're just synonyms for communism.
[03:39:26.493 --> 03:39:30.415]  So, I think Comey, out of this whole crew, he might fall on his sword.
[03:39:30.415 --> 03:39:35.998]  He'll just, you know, take Twitter pictures of himself staring in the woods.
[03:39:35.998 --> 03:39:46.764]  But, you know, it's not going to help him, because in the end, the Strokes and the Pages, they're not going to be willing to go to jail to protect their higher-ups.
[03:39:46.764 --> 03:39:51.947]  You know, the Carlins and the Bakers and the McCabes and the Rosensteins.
[03:39:52.587 --> 03:39:55.930]  All of these people have guilty knowledge on one another.
[03:39:55.930 --> 03:39:57.170]  They all do.
[03:39:57.170 --> 03:40:07.097]  And when they're all individually put under oath and deposed, they're going to spill their guts because they don't know what other people have said.
[03:40:07.097 --> 03:40:15.143]  So their only defense is going to be completely let it out, let it spill, and the devil take the hindmost.
[03:40:15.143 --> 03:40:17.905]  Everybody is going to be out for self-preservation.
[03:40:18.616 --> 03:40:29.698]  And at the end of the day, I hope, you know, maybe I'm just having a good day and I'm pretty naive, but I hope we see that some of these people see the inside of a prison cell.
[03:40:29.698 --> 03:40:34.919]  And I'm thinking at the very top, you know, you've got the communist Brennan.
[03:40:34.919 --> 03:40:37.220]  How did he become the head of the CIA?
[03:40:37.220 --> 03:40:40.800]  I mean, you know, it really bears studying all of these guys.
[03:40:40.800 --> 03:40:43.941]  I go back to Diana West's amazing book, The Red Thread.
[03:40:44.508 --> 03:40:50.171]  You know, how did these guys wind up in charge of the seventh floor of the FBI?
[03:40:50.171 --> 03:40:55.513]  Every night Hannity says, you know, 99% of the FBI, they're as pure as the driven snow.
[03:40:55.513 --> 03:40:57.354]  They're great patriots.
[03:40:57.354 --> 03:41:03.597]  It's just that somehow, you know, that bad 1% wound up in charge of FBI headquarters.
[03:41:03.597 --> 03:41:04.297]  I don't believe it.
[03:41:04.857 --> 03:41:09.182]  I think that we're going to see a generational struggle now.
[03:41:09.182 --> 03:41:24.097]  So even though we've had a battlefield win today, and we might even win part of a war if we root out this deep state coup and we see some of these guys thrown in prison, that's not going to end it.
[03:41:25.353 --> 03:41:31.334]  As I've been saying for quite a while now, college output is federal government input.
[03:41:31.334 --> 03:41:37.416]  If college is turning out, you know, Marxist social justice warriors, guess what?
[03:41:37.416 --> 03:41:39.956]  That's who's entering the FBI.
[03:41:39.956 --> 03:41:42.137]  That's who's going into the DOJ.
