[00:00:16.055 --> 00:00:18.077]  Hello, stupid Americans.
[02:09:19.683 --> 02:09:21.104]  That's a gun, but it's not really a gun.
[02:09:21.124 --> 02:09:21.745]  It's just like, hey!
[02:09:22.145 --> 02:09:23.166]  Or pew, pew, pew.
[02:09:23.206 --> 02:09:24.187]  That's your right to do that.
[02:09:24.207 --> 02:09:24.868]  It's not a threat.
[02:09:24.888 --> 02:09:25.869]  It's not a real threat.
[02:09:27.261 --> 02:09:30.042]  But, oh, okay, symbol, that's white supremacist.
[02:09:30.082 --> 02:09:31.543]  They know it's not a white supremacist symbol.
[02:09:31.583 --> 02:09:38.747]  Again, they are saying, we're the high priest, we have the jurisdiction, and we have the power over all language and symbols.
[02:09:38.987 --> 02:09:42.889]  Well, that's, God gives us free will and doesn't tell us what symbols to use.
[02:09:43.129 --> 02:09:44.649]  These people are trying to be above God.
[02:09:44.669 --> 02:09:45.730]  Does that make sense, Kevin?
[02:09:46.658 --> 02:09:47.739]  Absolutely, absolutely.
[02:09:48.140 --> 02:09:50.382]  But it's scary how they're coming after our kids.
[02:09:50.402 --> 02:09:56.890]  Because, you know, I'm a middle-class kind of guy in New York City, and I have to send my kid to the public school because the private schools treat you differently.
[02:09:56.910 --> 02:09:57.210]  No, I understand.
[02:09:57.230 --> 02:10:00.093]  They take your money for property taxes, and then they do it.
[02:10:00.133 --> 02:10:02.316]  And the private schools are like that too, exactly.
[02:10:03.397 --> 02:10:03.938]  Yeah, yeah.
[02:10:04.625 --> 02:10:07.106]  Well listen man, I just want to say thank you for all the hard work.
[02:10:07.306 --> 02:10:10.148]  And one thing, you were saying about we should all go to Washington.
[02:10:10.588 --> 02:10:12.989]  I think you should put a definitive date on the calendar.
[02:10:13.009 --> 02:10:18.972]  Because I think that way, we get everybody there, I'll be there, and we just, we just, we go down there and mask, you know?
[02:10:18.992 --> 02:10:19.672]  That's the only way to go.
[02:10:19.692 --> 02:10:20.833]  You know, that's a great thing to do.
[02:10:20.893 --> 02:10:21.733]  They can get ready for that.
[02:10:21.753 --> 02:10:29.917]  I think you just pick the committee you think's important, start nosing around, looking at committee things, who you want to confront, what telecom chief, what globalist, and then you just go to it.
[02:10:29.957 --> 02:10:30.838]  I appreciate your call though.
[02:10:31.678 --> 02:10:34.981]  Here's the thing, if I announce the date I'm going to be in D.C., that'll be wild, but maybe I should do that.
[02:10:36.343 --> 02:10:37.264]  Kevin, thank you so much.
[02:10:38.745 --> 02:10:42.209]  Wow, just to think how far we've come in people waking up.
[02:10:42.769 --> 02:10:45.952]  But that's because it's how far the enemies come in setting up this tyranny.
[02:10:46.573 --> 02:10:49.035]  We got four or five more calls left, and then I'm blitzing through news.
[02:10:49.075 --> 02:10:50.457]  There's so much coming up in this hour.
[02:10:50.757 --> 02:10:53.019]  Please stay with us and tell others about the broadcast.
[02:10:53.260 --> 02:10:53.540]  Thank you.
[02:10:56.567 --> 02:11:01.188]  We are back live broadcasting worldwide on this Friday transmission.
[02:11:01.228 --> 02:11:02.168]  I'm your host, Alex Jones.
[02:11:03.428 --> 02:11:09.870]  I'm going to take another segment or so of calls and then I've got just a totally jam-packed rest of the hour.
[02:11:10.630 --> 02:11:13.411]  I'm just going to get to that when I get to it, but believe me, you're going to want to stay with us.
[02:11:16.851 --> 02:11:18.532]  But right now, let's go back to your phone calls.
[02:11:19.972 --> 02:11:22.232]  Corbin in Austin, Texas, thanks for holding your own here.
[02:11:23.553 --> 02:11:24.373]  Alex, what's up, man?
[02:11:24.413 --> 02:11:24.913]  How are you today?
[02:11:25.897 --> 02:11:26.898]  I'm watching them.
[02:11:26.918 --> 02:11:27.838]  They got their knives out.
[02:11:27.858 --> 02:11:28.779]  They're coming for Trump.
[02:11:28.979 --> 02:11:31.281]  And I just don't think the public realizes how dangerous this is.
[02:11:32.041 --> 02:11:33.982]  It is so obvious and so scary.
[02:11:34.042 --> 02:11:37.905]  But, you know, I was drinking my Patriot Boat this morning and I just put it all together.
[02:11:38.305 --> 02:11:40.266]  I'm feeling really good about the impeachment.
[02:11:40.386 --> 02:11:43.809]  I think that we should all hope he gets impeached in the House.
[02:11:44.509 --> 02:11:50.013]  And I say that because that exposes them to something they never had before.
[02:11:50.353 --> 02:11:53.355]  And that's going to be public Senate hearings that are going to be televised.
[02:11:53.948 --> 02:12:01.131]  Which the President is going to have something he's never had before, and that's subpoena power to subpoena anyone him and his lawyers want.
[02:12:01.791 --> 02:12:09.294]  And that includes Glenn Simpson, Christopher Steele, Bruce Ohr, Hillary Brennan, Clapper, Page, Stork, Comey, anyone they want.
[02:12:09.944 --> 02:12:17.327]  Also, during this impeachment, the Horwitz report's going to come out, the Durham report's going to come out, the Democrats are all going to be exposed.
[02:12:17.687 --> 02:12:24.510]  It's going to provide a roadmap for how corrupt and how there is a coup on the president, and I can't see them surviving it.
[02:12:26.718 --> 02:12:36.725]  Sir, Corbyn, I totally agree with you that if Trump had warriors with him that knew how to use this and knew how to expose the enemy, that he would end up winning.
[02:12:37.185 --> 02:12:39.887]  Once they go to that, though, they're going to intensify the threats.
[02:12:39.947 --> 02:12:41.788]  They're going to have a stampede of panicking.
[02:12:42.669 --> 02:12:49.254]  They're going to have all these other people they're threatening to indict for things that aren't connected to Trump that will create a
[02:12:50.640 --> 02:12:50.900]  I don't
[02:13:14.167 --> 02:13:21.836]  It'll be just like Kavanaugh as the wheels come off, as it's all proven to be made up lies, and will blow up in their face spectacularly.
[02:13:22.296 --> 02:13:24.659]  And I agree with some of his analysts, he'll win 45 states.
[02:13:26.266 --> 02:13:27.247]  Oh, I agree.
[02:13:27.287 --> 02:13:35.593]  I think this is going to be a great awakening for the American people who are living in their bubbles and their CNN, MSNBG concubines.
[02:13:35.613 --> 02:13:38.196]  It's going to be like, wow, this is actually happening.
[02:13:38.216 --> 02:13:44.521]  And I'm very curious to see if he's going to move quickly on the 28,000 sealed indictments that he has.
[02:13:44.901 --> 02:13:48.724]  I mean, that's 27,000 more indictments than Obama had that were sealed.
[02:13:49.164 --> 02:13:53.388]  I think there could be like a Ricoh deep state move that he has to make.
[02:13:54.068 --> 02:14:02.253]  This deep state's been in since the 1930s, since we sold our country out to the Federal Reserve and the Central Bank, and they're terrified of what's going on.
[02:14:02.533 --> 02:14:04.454]  Well, Corbyn, yes, that's exactly...
[02:14:05.785 --> 02:14:10.989]  What's really going on is there's been a deep state of corruption selling us out seven ways this Sunday.
[02:14:11.009 --> 02:14:21.236]  They've gotten away with all of it and now they were going to fully implode the country and some people said let's not do that and so now there's a fight over that because the people running things really hate America.
[02:14:21.537 --> 02:14:22.257]  It's metaphysical.
[02:14:22.277 --> 02:14:22.838]  It's spiritual.
[02:14:23.098 --> 02:14:23.798]  I appreciate your call.
[02:14:23.838 --> 02:14:24.439]  Really good points.
[02:14:25.139 --> 02:14:26.420]  Okay, who's up next here?
[02:14:26.440 --> 02:14:27.481]  Who's been holding the longest now?
[02:14:28.001 --> 02:14:29.302]  Forrest in Ohio.
[02:14:29.382 --> 02:14:30.603]  Forrest, thanks for calling.
[02:14:33.265 --> 02:14:33.545]  Hello?
[02:14:33.906 --> 02:14:34.186]  Yes sir.
[02:14:36.161 --> 02:14:44.665]  Hi Alex, to piggyback off the last caller, I think it's interesting you talked about he could possibly, Trump could possibly win 45 states.
[02:14:44.825 --> 02:14:57.652]  I was thinking if he totally rips the blanket off this whole thing at the right time, it's entirely possible that this could just be an election of legendary measurements, you know?
[02:14:58.428 --> 02:15:04.649]  Oh, if he could find a few men or women who would actually follow through on the indictments, which we know there are a bunch of Sylvans.
[02:15:04.849 --> 02:15:06.010]  We know McCabe got indicted.
[02:15:06.050 --> 02:15:06.590]  That's confirmed.
[02:15:06.610 --> 02:15:08.110]  They brought it up to the Deputy Attorney General.
[02:15:08.430 --> 02:15:09.910]  It's their job to shoot something down.
[02:15:09.950 --> 02:15:12.091]  They have that failsafe for them for the deep state.
[02:15:12.371 --> 02:15:15.151]  And they said, no, we're not going to say no to the indictment.
[02:15:15.452 --> 02:15:17.232]  So the indictments are out there.
[02:15:17.612 --> 02:15:19.012]  So you're not half pregnant.
[02:15:19.432 --> 02:15:21.313]  We're pregnant with taking down the deep state.
[02:15:21.533 --> 02:15:22.693]  They want to abort the baby.
[02:15:22.893 --> 02:15:23.853]  The war is on.
[02:15:24.233 --> 02:15:27.314]  So we just need to get this thing over with, roll up our sleeves.
[02:15:28.339 --> 02:15:40.586]  Yeah, well, I think a lot of the swing states won't actually be a swing state if it all works out and everything gets uncovered and, you know, the trickle-up effect going up to Obama happens.
[02:15:40.666 --> 02:15:50.312]  I mean, there's no way that people can actually, you know, justify, and even if they're far less liberal, I mean, this is just crazy, and states that are
[02:15:50.799 --> 02:15:52.721]  Deep blue like New York, California.
[02:15:52.741 --> 02:15:55.883]  It makes me wonder, like, how far to the right are they going to go?
[02:15:55.923 --> 02:15:57.785]  Maybe them could be a swing state.
[02:15:57.885 --> 02:16:01.128]  So that's just a piggyback off the last caller, Alex.
[02:16:01.248 --> 02:16:18.483]  But about the censorship, one thing I thought of, I think it's entirely possible that Trump might be using the surrounding of the Marines
[02:16:19.201 --> 02:16:27.692]  Around the White House, and then you talked a couple days ago about him going into the media outlets and arresting some of them people.
[02:16:27.752 --> 02:16:35.402]  I think that might be like a tip-off as to how he's going to go about getting the censorship issue under control, too.
[02:16:35.442 --> 02:16:36.484]  What do you think about that?
[02:16:38.863 --> 02:16:41.145]  I know that Google and Facebook were set up by the Deep State.
[02:16:41.165 --> 02:16:42.026]  That's not even debated.
[02:16:42.046 --> 02:16:46.810]  And I know that they are sharing all the data with the NSA.
[02:16:47.350 --> 02:16:49.993]  And so Trump has the Super Trump card on all of them.
[02:16:51.194 --> 02:16:53.075]  And they just won't stop doing it.
[02:16:53.155 --> 02:16:54.837]  So at a certain point, he's complicit.
[02:16:55.457 --> 02:16:57.179]  And that's why we have to light a fire under his butt.
[02:16:57.199 --> 02:16:59.841]  Because we are hearing rhetoric from Trump and Giuliani we haven't heard about.
[02:17:00.322 --> 02:17:03.204]  Indictments, and Obama being a crook, and Hitler.
[02:17:03.224 --> 02:17:06.047]  Yeah, so Trump's moving in the right direction.
[02:17:06.087 --> 02:17:06.567]  God bless you.
[02:17:06.587 --> 02:17:07.248]  I appreciate your call.
[02:17:08.740 --> 02:17:24.383]  Okay, we've got Duncan, Tim, Greg, Robert, and a few others, but man, I have this tendency to get really prepared for the show and then just hold it all when I take calls and cover news, but I may just have to host some of the War Room today with Owen.
[02:17:25.503 --> 02:17:27.324]  I'm so, well, no.
[02:17:28.344 --> 02:17:28.804]  Let me do this.
[02:17:29.824 --> 02:17:30.224]  Let me do this.
[02:17:33.405 --> 02:17:37.566]  Let me come back, because I promised I'd do this, and let me start getting into all these reports and all these clips.
[02:17:38.382 --> 02:17:41.766]  And then if these folks want to hold, I'll get to them after that, because I promise I'll get to the news.
[02:17:41.826 --> 02:17:43.408]  Robert, Greg, Tim and Duncan.
[02:17:43.708 --> 02:17:45.350]  If not, we'll get your numbers.
[02:17:45.690 --> 02:17:46.191]  You can ask them.
[02:17:46.211 --> 02:17:47.092]  I'll call them back on Monday.
[02:17:47.112 --> 02:17:50.515]  They'll be front of the line, because Mike Adams is hosting the Sunday show, 4 to 6 p.m.
[02:17:51.476 --> 02:17:54.339]  I'm going to file some reports as well, but I'm going to do it from the woods.
[02:17:55.575 --> 02:18:04.639]  I'm taking my two middle daughters and my little daughter, taking all three of my daughters out doing some camping and shooting and stuff like that.
[02:18:04.659 --> 02:18:05.700]  I've got to have some R&R.
[02:18:05.740 --> 02:18:06.660]  I'm going to go crazy.
[02:18:06.680 --> 02:18:10.482]  I think everybody understands that I got to go do some forest bathing, as they say.
[02:18:11.162 --> 02:18:16.405]  But I'm going to come back and I'm going to pick which one of these big things I want to get to first on the other side.
[02:18:16.685 --> 02:18:17.926]  But just stay there, please.
[02:18:17.946 --> 02:18:21.347]  A lot of great callers.
[02:18:22.528 --> 02:18:23.068]  We're running.
[02:18:26.553 --> 02:18:27.394]  A huge special.
[02:18:27.734 --> 02:18:30.337]  It's the biggest special we've ever run on some items.
[02:18:30.897 --> 02:18:33.480]  I can't do storewide 50% off because a bunch of stuff sold out.
[02:18:33.500 --> 02:18:38.664]  A bunch of things are about to sell out and a bunch of products at 50% off are at cost or below.
[02:18:39.846 --> 02:18:43.929]  But I do have deals where you can get immune wall that has beta.
[02:18:44.790 --> 02:18:53.852]  Glucons and olive leaf, nothing is going to boost your body's own natural immunity to viruses and bacteria like this Immune Wall Formula.
[02:18:54.312 --> 02:18:56.512]  It's a very nice, high-quality, organic formula.
[02:18:57.533 --> 02:19:04.674]  It is $19.95 with a bottle of that, if you're going to the Fall and Winter, with a silver bullet, high-quality colloidal silver together, $19.95.
[02:19:05.134 --> 02:19:06.574]  That is an incredible deal.
[02:19:07.915 --> 02:19:09.375]  And that's so good for your immune system.
[02:19:10.595 --> 02:19:12.316]  And we've only got a few thousand bottles of the Immune Wall.
[02:19:12.336 --> 02:19:14.698]  We've got plenty of the Coiled Silver at that price.
[02:19:14.738 --> 02:19:18.701]  So get that for $19.95, the two bottles.
[02:19:18.721 --> 02:19:19.562]  It's just unprecedented.
[02:19:19.602 --> 02:19:21.303]  It's 360 Immune Defense Combo.
[02:19:21.703 --> 02:19:24.185]  No reviews yet for that combo because we just launched it yesterday.
[02:19:24.746 --> 02:19:28.328]  But both those items individually have hundreds and hundreds of five-star reviews.
[02:19:28.348 --> 02:19:29.729]  I think even more for the Coiled Silver.
[02:19:30.130 --> 02:19:35.093]  And that's just one of the specials we've got running on the site right now.
[02:19:35.273 --> 02:19:38.296]  Everything Must Go, Emergency, Super Sale, 40% to 70% off.
[02:19:40.455 --> 02:19:41.736]  Dozens of products.
[02:19:41.796 --> 02:19:43.137]  It's actually way more than dozens.
[02:19:43.197 --> 02:19:45.238]  It's more than 100 products.
[02:19:46.519 --> 02:19:48.220]  And some stuff's at 30%.
[02:19:49.160 --> 02:19:50.921]  So just be sure and check it all out.
[02:19:50.941 --> 02:19:55.664]  Survival Shield X3, you can get 70% off the 2-ounce bottle.
[02:19:56.024 --> 02:19:57.405]  That is at cost.
[02:19:57.845 --> 02:20:00.367]  You've got 360 immune defense combo.
[02:20:01.307 --> 02:20:02.888]  With Immune Wall and Silver Bullet, $19.95.
[02:20:03.008 --> 02:20:04.748]  That's 71% off.
[02:20:05.109 --> 02:20:06.309]  Gut Fusion, 50% off.
[02:20:06.349 --> 02:20:08.390]  Survival Shield, X3, 1-ounce bottle, 60% off.
[02:20:08.790 --> 02:20:09.970]  Vazo Beets is so good.
[02:20:10.010 --> 02:20:10.571]  Read about that.
[02:20:10.731 --> 02:20:12.231]  The natural nitrous oxide it creates.
[02:20:12.251 --> 02:20:13.672]  So good for your heart.
[02:20:13.692 --> 02:20:13.872]  50% off.
[02:20:13.972 --> 02:20:15.753]  Ultimate Fish and Krill Oils, 25% off.
[02:20:15.833 --> 02:20:17.073]  That's about to all sell out.
[02:20:17.393 --> 02:20:19.794]  Super Silver Skin Cream, the 1-ounce bottles, 30% off.
[02:20:20.214 --> 02:20:21.935]  Plus lots of other great items.
[02:20:22.135 --> 02:20:23.555]  Knock Out the Sleep Aid, 50% off.
[02:20:23.856 --> 02:20:25.036]  Protein Bar, 50% off.
[02:20:25.136 --> 02:20:26.276]  Ultra 12 is amazing, 50% off.
[02:20:26.717 --> 02:20:28.517]  Body's Ultimate Turmeric Formula.
[02:20:28.857 --> 02:20:29.578]  Loon Gel, 50% off.
[02:20:30.558 --> 02:20:31.599]  That's an incredible deal.
[02:20:31.639 --> 02:20:32.940]  In fact, that shouldn't even be on there.
[02:20:32.980 --> 02:20:33.901]  That's another mistake.
[02:20:35.462 --> 02:20:49.093]  I would give President Trump an A-plus for his speeches and attacking globalism and the New World Order and communism and one-sided trade deals and how the so-called American elite are actually anti-Americans hired and infiltrated in to take over.
[02:20:49.333 --> 02:20:50.054]  That's why they hate us.
[02:20:51.055 --> 02:20:57.220]  It's so obvious America should rise up and say no and embrace Trump and embrace info wars and take the nation back.
[02:20:58.334 --> 02:21:02.477]  So many people have been poisoned, they've been stunted, they've been rain washed, they've been manipulated.
[02:21:02.777 --> 02:21:06.860]  Let's play some of these incredible clips from last night.
[02:21:07.360 --> 02:21:15.446]  Here's President Trump on Biden and how the deep state's been looting America with China looting and pillaging.
[02:21:15.486 --> 02:21:15.866]  Here it is.
[02:21:17.546 --> 02:21:23.749]  President Trump made a totally unsubstantiated claim about Hunter Biden and his father.
[02:21:24.490 --> 02:21:27.711]  It's not unsubstantiated, you crooked son of a guns.
[02:21:27.991 --> 02:21:28.271]  It's 100% true.
[02:21:43.261 --> 02:21:47.767]  Even the smart guys on Wall Street, and I know all of them, they are smart.
[02:21:48.648 --> 02:21:50.911]  They've never seen anything like that one before.
[02:21:52.113 --> 02:21:52.753]  I've called them.
[02:21:53.474 --> 02:21:54.476]  Does that ever happen?
[02:21:54.516 --> 02:21:55.196]  Never happens.
[02:21:56.601 --> 02:21:59.582]  Guy walks in, no experience, no nothing.
[02:21:59.802 --> 02:22:01.202]  Walks out with a billion five.
[02:22:01.282 --> 02:22:05.143]  Gee, flies in on Air Force Two with his father, the Vice President.
[02:22:05.363 --> 02:22:07.643]  Don't forget, that's when he was Vice President.
[02:22:07.903 --> 02:22:10.964]  So China gives its son 1.5 billion.
[02:22:11.324 --> 02:22:15.525]  How would you like to have Joe Biden take over negotiations right now with China?
[02:22:15.605 --> 02:22:16.345]  I don't think so.
[02:22:20.306 --> 02:22:21.226]  I don't think so!
[02:22:24.027 --> 02:22:25.647]  These corrupt politicians
[02:22:27.105 --> 02:22:37.729]  And the radical leftists got rich, bleeding America dry, and they knew that my election would finally end their pillaging and looting of our country.
[02:22:38.030 --> 02:22:39.230]  And that's what they were doing.
[02:22:39.570 --> 02:22:41.951]  And that's what they continue to try and do.
[02:22:44.352 --> 02:22:46.133]  That is why, from day one,
[02:22:48.382 --> 02:22:59.111]  The wretched Washington swamp has been trying to nullify the results of a truly great and democratic election, the election of 2016.
[02:22:59.211 --> 02:23:01.212]  They're trying.
[02:23:01.453 --> 02:23:02.854]  They're not getting very far.
[02:23:05.771 --> 02:23:15.355]  So Trump is identifying America's number one enemy, the deep state coupled with the authoritarian nightmare land of communist China.
[02:23:15.775 --> 02:23:19.617]  And this alone, he gets a 100% in the speech.
[02:23:19.657 --> 02:23:21.598]  The speech was stratospheric.
[02:23:24.279 --> 02:23:30.181]  I might just come in this weekend and just do a four-hour special where we just analyze the whole two-hour speech.
[02:23:30.481 --> 02:23:32.082]  It's all posted at Infowars.com.
[02:23:32.682 --> 02:23:33.663]  Here he is explaining
[02:23:34.656 --> 02:23:36.477]  What would have happened if Hillary would have won?
[02:23:36.557 --> 02:23:42.761]  China would be the world's dominant economy, enslaving their own people and leveraging out our economy and others.
[02:23:43.582 --> 02:23:46.284]  And then he gets back into Biden and China trade.
[02:23:46.524 --> 02:23:47.124]  Here's the President.
[02:23:48.786 --> 02:23:54.089]  America now has the number one economy anywhere in the world and it's not even close.
[02:23:58.992 --> 02:24:00.954]  You know, I'm dealing with China right now.
[02:24:01.534 --> 02:24:02.555]  They're in Washington.
[02:24:03.413 --> 02:24:04.873]  We're going to see if we make a deal.
[02:24:06.094 --> 02:24:07.174]  But they want to make it.
[02:24:07.254 --> 02:24:09.675]  We're going to determine whether or not we want to make it.
[02:24:09.815 --> 02:24:11.055]  But they've been very nice.
[02:24:11.135 --> 02:24:15.297]  And today, I got a call from one of the top representatives.
[02:24:15.357 --> 02:24:22.299]  He said, Congratulations, Mr. President, on having a truly great, great economy.
[02:24:22.339 --> 02:24:23.079]  That's pretty nice.
[02:24:30.868 --> 02:24:40.028]  We picked up since the election trillions of dollars in value and China has lost trillions of dollars in value.
[02:24:40.148 --> 02:24:40.930]  I will say this.
[02:24:47.262 --> 02:24:51.584]  If our opponent had won that election, you know what would have happened?
[02:24:52.064 --> 02:25:03.650]  Right now, China would become the ninth, it would be the number one economy anywhere in the world, and right now I can tell you, they're not even close.
[02:25:05.751 --> 02:25:10.274]  By the way, we were slated to be like the number three economy by now, after the EU and China.
[02:25:10.634 --> 02:25:12.615]  Now we're the number one oil producer, exporter.
[02:25:14.958 --> 02:25:16.019]  It's like flipping a light switch.
[02:25:16.059 --> 02:25:16.839]  We've been set up.
[02:25:17.160 --> 02:25:18.420]  The globalists brag about this.
[02:25:18.480 --> 02:25:23.303]  I was reading Council on Foreign Relations books 30 years ago called Foreign Affairs.
[02:25:23.324 --> 02:25:24.384]  They're put out every two months.
[02:25:24.724 --> 02:25:25.665]  It's at Barnes and Nobles.
[02:25:26.446 --> 02:25:28.267]  And I mean, it's just like every other issue.
[02:25:28.347 --> 02:25:33.870]  It talks about how much America sucks and how China's the... Remember Lloyd Blankfein before he left Goldman Sachs a couple years ago?
[02:25:33.890 --> 02:25:35.571]  He said, I was just in China.
[02:25:35.611 --> 02:25:36.872]  Trump will never bring America back.
[02:25:37.333 --> 02:25:38.373]  Ah, talking crap about us.
[02:25:38.794 --> 02:25:40.134]  Then when he got us up to almost 4% growth rate,
[02:25:42.182 --> 02:25:45.725]  Federal Reserve raised interest rates eight times to teach us dirty Americans.
[02:25:46.306 --> 02:25:49.889]  You know, Trump also said something that had all the news.
[02:25:49.909 --> 02:25:56.595]  I don't need to play it here, but he got into Trump versus Biden, and he says all Biden's good at is kissing Obama's ass.
[02:25:57.509 --> 02:25:58.189]  That's really true.
[02:25:58.249 --> 02:26:01.270]  That's all Obama was good at, was kissing the globalist's butt.
[02:26:01.850 --> 02:26:05.792]  The big consortium of multinational corporations that sell out nation-states.
[02:26:05.832 --> 02:26:07.092]  Corporate raiders like Mitt Romney.
[02:26:07.432 --> 02:26:08.173]  It's the same crew.
[02:26:08.633 --> 02:26:09.933]  Romney's just lower-level vulture.
[02:26:10.553 --> 02:26:24.038]  And they sit around in committees, and they talk to the Chinese Communist Committee, that talks to the Apple Committee, and the Goldman Sachs Committee, and the Google Committee, and then they all align and agree with each other, and then they proceed to screw everyone over.
[02:26:26.132 --> 02:26:27.093]  Oh, why don't we just play the clip?
[02:26:27.113 --> 02:26:29.214]  It's still true and funny, too.
[02:26:29.234 --> 02:26:30.995]  Here it is.
[02:26:31.196 --> 02:26:32.997]  Hunter, you know nothing about energy.
[02:26:33.017 --> 02:26:34.038]  You know nothing about China.
[02:26:34.058 --> 02:26:35.699]  You know nothing about anything, frankly.
[02:26:36.159 --> 02:26:37.280]  Hunter, you're a loser.
[02:26:37.580 --> 02:26:40.322]  Why did you get 1.5 billion dollars, Hunter?
[02:26:52.410 --> 02:26:54.532]  And your father was never considered smart.
[02:26:55.291 --> 02:26:57.332]  He was never considered a good senator.
[02:26:58.513 --> 02:27:07.038]  He was only a good vice president because he understood how to kiss Barack Obama's ass.
[02:27:07.098 --> 02:27:07.359]  Wow.
[02:27:07.399 --> 02:27:15.063]  You know, Owen Schroeder can do whatever he wants in the war room coming up, but I think they ought to just re-air the whole thing.
[02:27:15.083 --> 02:27:16.164]  I mean, this is solid gold.
[02:27:19.046 --> 02:27:19.166]  So.
[02:27:23.390 --> 02:27:27.854]  Trump gets into a lot of other big points, and then he does some of the best comedy ever.
[02:27:27.914 --> 02:27:31.637]  I mean, sometimes he kind of halfway delivers the economy, the comedy.
[02:27:33.438 --> 02:27:36.761]  But last night, he was really funny and really entertaining.
[02:27:37.382 --> 02:27:47.830]  And I was just looking at him with all this energy and stamina, a bull, and all he's done and how hard he's tried, compared to a Hillary Clinton, it's night and day.
[02:27:47.890 --> 02:27:48.491]  But you know what?
[02:27:48.911 --> 02:27:49.552]  That's not enough.
[02:27:50.694 --> 02:27:52.696]  Because he has gotten into office.
[02:27:52.756 --> 02:27:53.416]  We got him there.
[02:27:54.317 --> 02:27:55.178]  This audience did.
[02:27:56.479 --> 02:28:00.022]  And now, it's not enough for him to be charming.
[02:28:00.042 --> 02:28:01.504]  It's not enough for him to try to do the right thing.
[02:28:01.884 --> 02:28:07.789]  He has to come to us and explain that he's got criminals and traitors around him that won't implement things.
[02:28:08.350 --> 02:28:09.030]  And then we'll back him.
[02:28:10.272 --> 02:28:11.513]  He's starting to get there, folks.
[02:28:13.795 --> 02:28:15.016]  But it's time to take the gloves off.
[02:28:17.435 --> 02:28:31.548]  We're going to be back on the other side, and I'm going to shift gears into the vicious leftist calls for violence and attacks, and a movie being shopped around on Netflix and others, which is meant to set up gun owners and imply that we are going to go around and murder people en masse.
[02:28:32.009 --> 02:28:37.894]  There's a lot of funding for movies like this, and obviously I'm being set up in a big way, so we're going to show you some of that.
[02:28:37.934 --> 02:28:40.397]  The video's on Infowars.com if you want to see it if you're a radio listener.
[02:28:42.353 --> 02:28:44.755]  You shouldn't have an opinion on that.
[02:28:44.956 --> 02:28:50.901]  I met with constituents of color and quite honestly, some of the feedback was that some of this wording was ridiculous.
[02:28:51.322 --> 02:28:54.345]  You have been white from birth.
[02:28:54.905 --> 02:28:58.088]  Why are you arguing what is a system of oppression?
[02:28:58.349 --> 02:29:00.511]  You've never experienced one!
[02:29:00.531 --> 02:29:01.532]  So shut up!
[02:29:01.872 --> 02:29:04.154]  I don't want to hear from you!
[02:29:09.279 --> 02:29:09.900]  Just stop.
[02:29:09.920 --> 02:29:11.741]  Just stop, Dan.
[02:29:11.801 --> 02:29:12.041]  Stop, Dino.
[02:29:12.562 --> 02:29:14.483]  You are not oppressed.
[02:29:14.903 --> 02:29:16.805]  And people in Oaks Park are.
[02:29:17.145 --> 02:29:21.348]  And we are trying to recognize that as a community.
[02:29:22.049 --> 02:29:27.233]  This mayor and this board is obviously not willing to face history.
[02:29:27.493 --> 02:29:29.754]  We have a chance to make history.
[02:29:29.935 --> 02:29:32.537]  It is time for this community
[02:29:33.997 --> 02:29:36.978]  To face equity enough!
[02:29:37.738 --> 02:29:38.679]  And you stop it!
[02:29:38.839 --> 02:29:40.179]  You are a white male!
[02:29:40.239 --> 02:29:41.039]  You stop it!
[02:29:41.259 --> 02:29:42.380]  You are a white male!
[02:29:42.520 --> 02:29:43.660]  Your skin is light enough!
[02:29:44.280 --> 02:29:44.800]  Stop it!
[02:29:48.881 --> 02:30:01.825]  I think if we reduce these conversations to nobody cares what you have to say because you're a white male, I don't think we're doing this right.
[02:30:03.345 --> 02:30:09.509]  That's Oak Park Trustee Susan Buchanan.
[02:30:10.609 --> 02:30:11.590]  You are a white male.
[02:30:11.810 --> 02:30:12.250]  Shut up.
[02:30:12.851 --> 02:30:15.712]  And you think, oh, well, that's just aberrant, you know, up in Illinois.
[02:30:15.912 --> 02:30:18.014]  No, that's what's taught at all the major universities.
[02:30:18.694 --> 02:30:30.061]  I have a stack of news this week that I never even got to, where from Paul Watson's hometown of Sheffield, England, to Texas State University just south of me in Austin,
[02:30:31.343 --> 02:30:41.945]  Where they actually teach that white people are fundamentally evil and where they teach classes that I am a white supremacist and need to be taken off the air.
[02:30:43.026 --> 02:30:46.486]  I learned about that from an old family friend I've known since I was two years old.
[02:30:46.606 --> 02:30:47.627]  My mom's best friend.
[02:30:48.267 --> 02:30:49.447]  Her granddaughter went there.
[02:30:51.527 --> 02:30:54.008]  Graduated with a journalism and social work degree.
[02:30:55.549 --> 02:30:58.051]  She said none of the, even liberals in the class even bought it.
[02:30:58.071 --> 02:31:01.574]  They all knew it was crazy, but that's what they teach, ladies and gentlemen.
[02:31:01.594 --> 02:31:03.156]  So it's not just me reading it in the newspaper.
[02:31:05.057 --> 02:31:09.201]  And black people in the classes are like, white people are inherently racist and evil?
[02:31:09.241 --> 02:31:10.863]  That's not what Martin Luther King said.
[02:31:10.903 --> 02:31:12.304]  That's not what common sense says.
[02:31:13.765 --> 02:31:15.346]  But this is what's going on.
