[00:00:04.182 --> 00:00:05.923]  Firm suspicions at Veritas.
[02:45:37.620 --> 02:45:45.486]  When you sign up for AutoShip at InfoWarsStore.com, you get an additional 10% off that product.
[02:45:46.246 --> 02:45:46.647]  Woo!
[02:45:46.847 --> 02:45:47.868]  That's what I'm talking about.
[02:45:47.888 --> 02:45:49.489]  So what are you waiting for?
[02:45:49.869 --> 02:45:51.590]  Support the InfoWars.
[02:45:52.131 --> 02:45:56.954]  Order and click on AutoShip at InfoWarsStore.com or call 1-888-253-3139.
[02:46:02.717 --> 02:46:07.485]  Serving with Info Wars is a great honor, but I still need my morning coffee.
[02:46:08.860 --> 02:46:17.464]  And luckily, our break room at the InfoWars headquarters is stocked full of high-quality InfoWars store Patriot Blend coffee.
[02:46:18.265 --> 02:46:29.230]  Grown in the high mountains of southern Mexico, the Chiapas farmers grow 100% organic, non-GMO coffee at the ideal altitude for the perfect cup.
[02:46:29.911 --> 02:46:34.093]  A robust coffee with great flavor and mild acidity.
[02:46:35.013 --> 02:46:38.214]  There has never been a more important time to support InfoWars.
[02:46:39.054 --> 02:46:44.115]  So if you love coffee, and if you want to fight for freedom, then you can help.
[02:46:45.955 --> 02:46:48.056]  Order now at the InfoWars store.
[02:46:48.876 --> 02:46:58.558]  Sign up for auto ship and get your own high quality supply of Patriot Blend coffee delivered right to your door at InfoWarsStore.com.
[02:47:06.064 --> 02:47:10.606]  You're listening to the Alex Jones Show.
[02:47:14.208 --> 02:47:19.290]  From the front lines of the Information War, it's Alex Jones.
[02:47:22.551 --> 02:47:28.494]  The elite are all moving to New Zealand in underground bunkers for the collapse of civilization.
[02:47:28.534 --> 02:47:30.015]  Well, I explained that that is a diversion.
[02:47:31.243 --> 02:47:32.864]  I told you for at least five years that my contacts
[02:47:55.103 --> 02:47:58.967]  The super-rich of Silicon Valley have a doomsday escape plan.
[02:47:58.987 --> 02:47:59.227]  Bloomberg.
[02:47:59.247 --> 02:48:02.510]  Why Silicon Valley billionaires are prepping for the apocalypse in New Zealand.
[02:48:02.530 --> 02:48:03.811]  Terminator director James Cameron.
[02:48:04.311 --> 02:48:05.352]  The machines have already won.
[02:48:18.519 --> 02:48:24.925]  And you've got, again, Elon Musk saying the end of the world's coming, they're going to depopulate us, the elites have decided to get rid of us, U.S.
[02:48:25.005 --> 02:48:28.088]  elites buying up New Zealand, we're about to escape the crack-up of civilization.
[02:48:29.529 --> 02:48:31.251]  Now what is the crack-up of civilization?
[02:48:32.111 --> 02:48:33.393]  What do they know that we don't know?
[02:48:33.473 --> 02:48:34.534]  Well, we actually do know.
[02:48:35.444 --> 02:48:42.709]  Normal cell phone radiation from the towers and the phones causes massive brain tumors, massive breakage of DNA.
[02:48:43.509 --> 02:48:45.651]  We've been spending years covering all that.
[02:48:45.771 --> 02:48:46.251]  It's a fact.
[02:48:46.611 --> 02:48:47.392]  Here's Wired Magazine.
[02:48:48.052 --> 02:48:49.573]  5G smartphones cause cancer.
[02:48:49.633 --> 02:48:51.174]  Big wireless doesn't want you to know.
[02:48:51.775 --> 02:48:52.996]  Mind control by cell phone.
[02:48:53.036 --> 02:49:00.140]  Scientific, American, and then they can put over different wavelengths to actually control your brain with the carrier web that's on it, developed by the DARPA and the CIA.
[02:49:01.201 --> 02:49:04.422]  Doctor says children particularly vulnerable to the dangers of 5G.
[02:49:05.302 --> 02:49:06.082]  5G danger.
[02:49:06.482 --> 02:49:12.224]  Hundreds of respected scientists sound the alarm about health effects of 5G networks go up nationwide.
[02:49:12.964 --> 02:49:19.086]  Cancer cluster at California Elementary School results in removal of Sprint Shell Tower.
[02:49:19.546 --> 02:49:20.506]  Even the teachers are dying.
[02:49:20.666 --> 02:49:21.767]  I'm giving you a gestalt.
[02:49:21.807 --> 02:49:24.507]  I'm giving you one one millionth of the knowledge.
[02:49:24.547 --> 02:49:24.927]  Seriously.
[02:49:25.428 --> 02:49:26.848]  But imagine, it's a lot of knowledge, isn't it?
[02:49:28.703 --> 02:49:31.604]  So how would they release a bioweapon and be safe from it?
[02:49:32.865 --> 02:49:40.387]  How would they have 5G that gives you cancer or resonates with certain viruses to actually make them replicate and turn off your immune system?
[02:49:40.407 --> 02:49:41.328]  That's in major studies.
[02:49:41.728 --> 02:49:44.169]  I've heard from Nick Begichon and others about the hundreds of patents.
[02:49:44.589 --> 02:49:49.971]  From an article that was originally in a Russian journal called Orienteer, a military journal.
[02:49:50.491 --> 02:49:53.512]  And what it talked about, and was later absolutely
[02:49:58.740 --> 02:50:13.198]  Was the idea that any electromagnetic carrier, any system that can carry a signal can carry a sub signal, a signal on it that allows you to manipulate the behavior of people within contact of that signal.
[02:50:13.238 --> 02:50:18.464]  Now, what can be used is the Internet, telephone, radio network.
[02:50:20.945 --> 02:50:30.130]  They're doing an emergency operation to save the Earth from humans.
[02:50:30.830 --> 02:50:37.393]  And so they've got to all get rich and powerful and dumb us down and turn us against each other and destroy new technologies and clean technologies.
[02:50:37.454 --> 02:50:37.594]  No.
[02:50:37.854 --> 02:50:40.775]  No, the truth is they're just sabotaging things and taking over.
[02:50:41.075 --> 02:50:43.797]  I later learned that the Silicon Valley crowd
[02:50:44.577 --> 02:50:54.741]  ...is running to Kauai, Hawaii, where the most secretive Pentagon, NSA, super weapons, space-based weapons are directed from.
[02:50:54.981 --> 02:50:56.742]  Again, they're building fortresses there.
[02:50:56.922 --> 02:50:57.902]  And that's come out in the news.
[02:50:58.743 --> 02:51:00.063]  And I mean underground bases.
[02:51:00.143 --> 02:51:04.585]  I mean rocks that pop up that have, you know, huge double .50 caliber guns in them.
[02:51:05.025 --> 02:51:07.306]  I'm talking about drone attack helicopters.
[02:51:07.746 --> 02:51:10.247]  I've talked to folks in Kauai that have worked on them.
[02:51:10.908 --> 02:51:13.969]  I got told by a high-level government individual
[02:51:15.336 --> 02:51:22.483]  And then I got told by a major Hollywood producer, within a month of each other, I ought to move to West Virginia.
[02:51:23.704 --> 02:51:29.149]  14,000 square miles, no technology allowed, but NASA bases.
[02:51:29.649 --> 02:51:31.932]  And it turns out they've got a couple of these in Canada.
[02:51:33.323 --> 02:51:38.527]  In Northern Canada, right before the Arctic Circle, they're building air bases, helicopter bases, all of it.
[02:51:38.908 --> 02:51:46.414]  And you read, and you study, that all these ultra-rich people are moving into the area, and they have been for decades.
[02:51:46.694 --> 02:51:57.002]  There's all these breakaway scientific projects that are overlapping, that are buildings towards some larger endgame, and they're going from beta tests now to operational.
[02:51:57.423 --> 02:51:59.865]  And all of it kills people!
[02:52:01.136 --> 02:52:28.084]  It's a woman's body and she should not be forced to carry anything inside of it.
[02:52:28.384 --> 02:52:29.705]  You wouldn't make her keep a tapeworm.
[02:52:30.703 --> 02:52:31.623]  Does that have a heartbeat?
[02:52:31.643 --> 02:52:33.784]  So you're comparing a baby to a tapeworm?
[02:52:34.204 --> 02:52:35.844]  A fetus is a parasite, sweetie.
[02:52:37.964 --> 02:52:39.765]  InfoWars.
[02:52:39.865 --> 02:52:44.586]  The most banned network in the world.
[02:52:45.406 --> 02:52:46.586]  What are you guys out here for?
[02:52:47.246 --> 02:52:51.247]  I'm out here to get rights for everybody who needs them.
[02:52:52.267 --> 02:52:54.227]  So who do you think needs the rights the most?
[02:52:54.788 --> 02:52:56.128]  Anybody with a uterus.
[02:52:57.615 --> 02:52:58.596]  Anyone with a uterus?
[02:52:58.616 --> 02:53:02.179]  Okay, so what about the unborn babies in the womb?
[02:53:02.239 --> 02:53:03.821]  They have uteruses, believe it or not.
[02:53:05.382 --> 02:53:10.647]  Like, female babies in the womb have uteruses.
[02:53:10.667 --> 02:53:13.450]  So you said anyone that has a uterus should have rights?
[02:53:13.770 --> 02:53:17.694]  Yes, but they are not breathing, living human beings yet, so...
[02:53:19.315 --> 02:53:20.495]  Well, they're hearts beating.
[02:53:20.615 --> 02:53:21.956]  Doesn't that count for living?
[02:53:23.517 --> 02:53:24.437]  Cells vibrating.
[02:53:24.457 --> 02:53:25.277]  It's not a heartbeat?
[02:53:25.597 --> 02:53:26.758]  It's cells vibrating.
[02:53:27.618 --> 02:53:29.899]  At what point is it not just cells vibrating?
[02:53:30.119 --> 02:53:30.479]  I don't know.
[02:53:30.519 --> 02:53:33.040]  I'm not a medical doctor, but it's not at six weeks.
[02:53:34.441 --> 02:53:38.842]  Okay, so do you think that babies should be allowed to be aborted up until whenever?
[02:53:38.862 --> 02:53:44.024]  I believe they're fetuses and it's a woman's body and she should not be forced to carry anything inside of it.
[02:53:44.044 --> 02:53:45.645]  You wouldn't make her keep a tapeworm.
[02:53:46.505 --> 02:53:47.565]  Is that how the heart beats?
[02:53:47.605 --> 02:53:49.726]  So you're comparing a baby to a tapeworm?
[02:53:50.166 --> 02:53:51.746]  A fetus is a parasite, sweetie.
[02:53:52.627 --> 02:53:58.028]  Wow, don't you think that's kind of cold and callous to think that when callous is to shove your fingers inside somebody?
[02:53:58.048 --> 02:54:05.810]  I don't think she's with any organization, so let's stop talking to them.
[02:54:06.170 --> 02:54:07.090]  Animals get killed?
[02:54:07.110 --> 02:54:09.211]  Yeah, they're living and breathing.
[02:54:09.731 --> 02:54:13.094]  Okay, so what about the rights of human beings, though?
[02:54:13.555 --> 02:54:16.898]  Should human rights matter?
[02:54:18.820 --> 02:54:20.861]  They're so small, they can't even think.
[02:54:20.881 --> 02:54:24.505]  Do you remember back to when you were that young?
[02:54:24.965 --> 02:54:30.931]  Well, some women are saying we should have abortion, like she just said, at any time in the pregnancy, even up until the day before.
[02:54:31.437 --> 02:54:33.159]  I don't agree with that.
[02:54:33.479 --> 02:54:37.302]  Whatever's best for that woman should be that woman's choice.
[02:54:37.362 --> 02:54:39.944]  It should not be no government's choice.
[02:54:40.405 --> 02:54:42.006]  It should be up to that woman.
[02:54:42.026 --> 02:54:46.430]  So that baby can survive on its own outside the womb in the third trimester?
[02:54:46.450 --> 02:54:47.551]  We're having a hard time hearing.
[02:54:47.591 --> 02:54:49.853]  Yet it's okay to kill it?
[02:54:50.093 --> 02:54:52.595]  She's gonna have to, you know, give birth to it anyway.
[02:54:53.075 --> 02:54:55.958]  Why give birth to a dead baby when you can let it live?
[02:54:56.198 --> 02:54:57.079]  Can you go over that way?
[02:54:57.159 --> 02:54:58.200]  Oh, don't touch me, ma'am.
[02:54:58.600 --> 02:54:59.120]  Don't touch me.
[02:55:00.141 --> 02:55:01.562]  This is a public area.
[02:55:01.582 --> 02:55:02.442]  I'm allowed to be here.
[02:55:02.462 --> 02:55:05.724]  Okay, alright.
[02:55:07.945 --> 02:55:09.025]  I'm being pushed right now.
[02:55:09.486 --> 02:55:10.746]  You don't have a right to touch me.
[02:55:10.846 --> 02:55:11.867]  It's my body.
[02:55:12.327 --> 02:55:12.967]  My choice.
[02:55:12.987 --> 02:55:14.328]  This is my body.
[02:55:14.708 --> 02:55:17.289]  The baby in the womb is not your body.
[02:55:17.449 --> 02:55:23.112]  Except we're concerned about the baby's body that isn't your DNA.
[02:55:23.212 --> 02:55:24.092]  It's not your body.
[02:55:24.112 --> 02:55:25.873]  It's not their body.
[02:55:28.220 --> 02:55:28.881]  No, it's not.
[02:55:29.301 --> 02:55:30.402]  It's not their body.
[02:55:30.422 --> 02:55:31.763]  It's their baby.
[02:55:31.823 --> 02:55:33.284]  That is your body.
[02:55:33.304 --> 02:55:33.945]  This is my body.
[02:55:34.025 --> 02:55:36.126]  I'm talking about the baby in the belly.
[02:55:36.527 --> 02:55:37.367]  It's not their body.
[02:55:37.427 --> 02:55:40.270]  That is not their... It's not their DNA.
[02:55:40.370 --> 02:55:41.030]  It's a fetus.
[02:55:41.050 --> 02:55:41.891]  Okay, so I have a question.
[02:55:41.911 --> 02:55:43.872]  Don't pay no attention to her.
[02:55:44.053 --> 02:55:51.078]  So why do women that have Rh negative blood have to get shots so that they don't reject the baby because they have different blood types?
[02:55:51.358 --> 02:55:52.119]  Because that's their choice.
[02:55:52.139 --> 02:55:54.541]  Because it's a different DNA, it's a different body.
[02:55:54.561 --> 02:55:55.662]  It's still their choice.
[02:55:55.702 --> 02:55:56.702]  It's still their body.
[02:55:57.723 --> 02:55:58.684]  What's going on?
[02:55:58.844 --> 02:56:03.166]  We're talking out here and people are, you know... You're actually kind of interrupting this.
[02:56:03.186 --> 02:56:04.226]  Okay?
[02:56:04.606 --> 02:56:05.787]  So go away!
[02:56:06.207 --> 02:56:10.349]  Well, you guys are talking about interrupting the lives of unborn babies.
[02:56:10.449 --> 02:56:11.149]  No, ma'am.
[02:56:11.389 --> 02:56:14.691]  I was raped and I am not going to be forced to have my rapist child.
[02:56:14.731 --> 02:56:15.871]  I would have killed myself.
[02:56:16.571 --> 02:56:18.332]  Many women would have killed themselves.
[02:56:18.592 --> 02:56:19.593]  You want death!
[02:56:19.793 --> 02:56:21.273]  Rape is the small majority.
[02:56:21.313 --> 02:56:21.974]  No, it doesn't matter.
[02:56:22.054 --> 02:56:22.654]  And you know what?
[02:56:22.674 --> 02:56:24.575]  There's a larger majority than you think.
[02:56:25.155 --> 02:56:26.035]  It's larger than you think.
[02:56:26.055 --> 02:56:26.636]  You need to go!
[02:56:26.656 --> 02:56:28.716]  You need to go!
[02:56:29.277 --> 02:56:30.097]  You need to go!
[02:56:30.117 --> 02:56:33.838]  No one's judging people that were raped.
[02:56:33.958 --> 02:56:37.259]  We're having dialogue about what limitations there should be.
[02:56:42.742 --> 02:56:44.262]  People are getting really upset right now.
[02:56:44.302 --> 02:56:47.564]  I'm just trying to ask people questions on what the limitations are.
[02:56:48.284 --> 02:56:55.067]  You know, if you're going to hold a belief, people should be allowed to ask you questions about the ideas you're holding.
[02:56:58.326 --> 02:57:01.807]  Yeah, people are just kind of coming up, pushing me, putting their hands on me.
[02:57:01.887 --> 02:57:10.771]  I'm just trying to do interviews and ask questions and people are not happy with, I guess... You're trying to get in the way of us having... I'm not interrupting them.
[02:57:10.911 --> 02:57:12.152]  I'm literally not.
[02:57:12.532 --> 02:57:14.052]  We don't mind if you're here, it's fine.
[02:57:14.553 --> 02:57:23.755]  But, like, we couldn't hear the speakers, and so if you could go to that side of the crowd, we don't mind that you're here, we just don't want you to interrupt the program.
[02:57:23.815 --> 02:57:24.676]  Is that okay?
[02:57:24.836 --> 02:57:41.861]  Yeah, I'm listening to the program, and I'm participating in the program out here with you guys, so I'm just asking people questions as to why you believe what you believe, because if you guys want to have your message out there to people, you're going to have to make convincing arguments to convince people to support the beliefs that you want.
[02:57:43.024 --> 02:57:49.267]  I'm not trying to get into it with you, I'm just asking if you could move to that side of the podium.
[02:57:49.388 --> 02:57:54.570]  Dr. Marcus is CNN.
[02:58:00.133 --> 02:58:02.575]  So here's what though, but there's good news!
[02:58:04.116 --> 02:58:10.059]  I don't just come on air, willy nilly, without something to offer ya!
[02:58:11.531 --> 02:58:16.295]  Not only is Lefto the Clown here live for this segment, but I got good news!
[02:58:17.276 --> 02:58:23.541]  You see, ladies and gentlemen, Lefto the Clown has friends out there in the political community.
[02:58:23.941 --> 02:58:25.682]  A lot of them are in the government.
[02:58:25.983 --> 02:58:31.507]  And some of them want to be President of the United States!
[02:58:33.008 --> 02:58:33.729]  That's right!
[02:58:34.550 --> 02:58:39.514]  Some of Lefto's buddies are running for President of the United States!
[02:58:40.447 --> 02:58:44.831]  Now I know you're out there probably jumping for joy, but hold your horses!
[02:58:45.832 --> 02:58:49.255]  Because there's even more to be excited about!
[02:58:49.275 --> 02:58:59.685]  Not just that Lefto's friends are running for president, but that next week, they will be hosting a clown show!
[02:59:00.816 --> 02:59:01.936]  That's right, ladies and gentlemen.
[02:59:02.417 --> 02:59:07.298]  Next week, the Democrats are having their first presidential debates.
[02:59:08.419 --> 02:59:09.699]  And you know what that means.
[02:59:10.319 --> 02:59:14.261]  It's the Clown World Show, the greatest comedy show on earth.
[02:59:14.721 --> 02:59:16.261]  The first Democrat debate.
[02:59:16.942 --> 02:59:20.523]  But ladies and gentlemen, we're so committed to your entertainment.
[02:59:21.263 --> 02:59:24.424]  We're so committed to you getting the full picture.
[02:59:25.045 --> 02:59:27.245]  We're so committed to the Clown World.
[02:59:28.006 --> 02:59:29.126]  We're gonna shake it up a bit.
[02:59:30.340 --> 02:59:45.490]  Not only do we have one night of presidential Democrat debates, we give you two nights of The Clown World, the greatest comedy show on Earth, and the best news is yet to come!
[02:59:46.711 --> 02:59:51.855]  It's all gonna be streamed live at infowars.com slash show!
[02:59:54.491 --> 02:59:58.594]  Leading a frontal assault on the lies of the New World Order.
[02:59:59.115 --> 03:00:00.436]  It's Alex Jones.
[03:00:18.450 --> 03:00:19.931]  Hi, this is Gerald Cilenti.
[03:00:20.272 --> 03:00:23.054]  It's great being on the Alex Jones Show.
[03:00:23.766 --> 03:00:24.727]  Thanks for having me.
[03:00:24.807 --> 03:00:30.230]  And all you folks, remember, do what you can to support InfoWars.
[03:00:30.971 --> 03:00:32.752]  Keep buying those products.
[03:00:32.812 --> 03:00:35.834]  They're great and need your support.
[03:00:36.815 --> 03:00:37.856]  So what's going on?
[03:00:38.896 --> 03:00:40.978]  Well, you know, I've been on saying this for years.
[03:00:42.159 --> 03:00:44.540]  I've been buying gold since 1978.
[03:00:45.201 --> 03:00:46.161]  I was a youth.
[03:00:47.322 --> 03:00:48.523]  Not quite, but pretty young.
[03:00:49.504 --> 03:00:51.225]  And here's the deal.
[03:00:52.262 --> 03:00:55.823]  As we're speaking now, gold is over $1,400 an ounce.
[03:00:57.624 --> 03:01:06.187]  On June 6th, this year, a couple of weeks ago, what happened?
[03:01:07.408 --> 03:01:10.329]  Well, we sent out a trend alert.
[03:01:11.929 --> 03:01:14.130]  The gold bull run.
[03:01:15.250 --> 03:01:17.551]  And gold is running.
[03:01:19.232 --> 03:01:19.752]  It's gone up.
[03:01:21.345 --> 03:01:28.887]  Over 25% since we sent out that trend alert, that trend alert.
[03:01:31.328 --> 03:01:31.868]  It's big.
[03:01:33.268 --> 03:01:34.249]  Here's what's going on.
[03:01:35.989 --> 03:01:49.493]  All around the world, what they're doing is giving us more monetary methadone to shoot into the systems of
[03:01:51.212 --> 03:01:52.052]  Essential Banks.
[03:01:53.753 --> 03:01:55.754]  There's a global slowdown.
[03:02:01.437 --> 03:02:03.158]  The global slowdown is real.
[03:02:04.699 --> 03:02:06.860]  You look at the numbers coming out of Germany.
[03:02:08.261 --> 03:02:10.322]  You're looking at an economy growing.
[03:02:12.143 --> 03:02:13.804]  Yeah, about 0.6%.
[03:02:14.584 --> 03:02:14.684]  Oh!
[03:02:15.245 --> 03:02:17.866]  It just came out with some business confidence levels.
[03:02:18.987 --> 03:02:19.567]  Way down.
[03:02:21.437 --> 03:02:24.159]  Look what's going on over there in India.
[03:02:26.140 --> 03:02:27.521]  They just came out with a study.
[03:02:27.541 --> 03:02:33.086]  They're fabricating how much the government is growing over there, the GDP.
[03:02:34.086 --> 03:02:35.787]  It's way below what they say it is.
[03:02:37.429 --> 03:02:37.869]  What else?
[03:02:37.889 --> 03:02:40.131]  Oh, how about Australia?
[03:02:40.771 --> 03:02:42.692]  Oh yeah, they lowered interest rates too.
[03:02:43.833 --> 03:02:46.075]  They keep propping up the economy.
[03:02:47.202 --> 03:02:48.923]  It's a global slowdown.
[03:02:49.283 --> 03:02:54.126]  It has nothing to do with trade wars and tariffs.
[03:02:54.607 --> 03:02:55.847]  That's a lot of baloney.
[03:02:56.568 --> 03:02:59.330]  The trade wars and tariffs have equaled almost nothing.
[03:03:01.751 --> 03:03:03.792]  So, what's slowing it down?
[03:03:05.073 --> 03:03:06.334]  Economic fundamentals.
[03:03:07.615 --> 03:03:11.817]  It was cheap money that boosted it following the Great Recession.
[03:03:14.639 --> 03:03:16.160]  In 2009, when they started pumping that dough in.
[03:03:17.927 --> 03:03:19.228]  And it just means more cheap money.
[03:03:20.609 --> 03:03:22.910]  So, that's what's driving gold prices up.
[03:03:24.131 --> 03:03:29.514]  Because the lower the value of the currencies go, the higher the value of gold.
[03:03:30.394 --> 03:03:32.135]  And you read the reports coming out.
[03:03:32.936 --> 03:03:38.299]  You know last year the central banks bought more gold than they did in 50 years.
[03:03:39.079 --> 03:03:39.600]  That's right.
[03:03:40.380 --> 03:03:43.682]  And now China, the world's number two economy,
[03:03:44.465 --> 03:03:46.066]  They're buying up more gold, too.
[03:03:46.166 --> 03:03:49.549]  And, of course, Russia and Kazakhstan and this stand and that stand.
[03:03:50.209 --> 03:03:51.470]  And stand around the block.
[03:03:52.431 --> 03:03:53.371]  He's buying it, too.
[03:03:54.792 --> 03:03:57.154]  Because people are looking for a safe haven asset.
[03:03:58.815 --> 03:04:00.817]  And then there's what's going on in the Middle East.
[03:04:02.718 --> 03:04:03.739]  And that's real, too.
[03:04:06.060 --> 03:04:13.426]  If oil prices, I've been saying this, go to $100 a barrel, kiss the global economy goodbye,
[03:04:14.566 --> 03:04:18.469]  And, also, kiss those equity markets goodbye.
[03:04:20.211 --> 03:04:20.872]  So, gold.
[03:04:22.213 --> 03:04:26.656]  I said, and been saying this for nearly six years, and I'm on record.
[03:04:29.038 --> 03:04:34.403]  Gold had a break over $1,385 an ounce to gain strength.
[03:04:35.864 --> 03:04:37.205]  And it's broken past that now.
[03:04:39.747 --> 03:04:41.869]  The next breakout point is $1,000.
[03:04:43.900 --> 03:04:48.404]  $450.
[03:04:43.920 --> 03:04:48.404]  And it's not far from that.
[03:04:50.827 --> 03:04:52.448]  There's a lot more to know about this.
[03:04:52.468 --> 03:04:56.132]  And when I come back, we're gonna talk more about it.
[03:04:56.972 --> 03:05:00.476]  Meanwhile, don't forget to buy those products from Info.
[03:05:09.172 --> 03:05:12.034]  Announcing the greatest show on earth!
[03:05:12.434 --> 03:05:17.559]  Reparations, free healthcare, free college, free homes, free money forever!
[03:05:17.819 --> 03:05:18.660]  Yay!
[03:05:18.980 --> 03:05:20.161]  It's Cloud World 2019!
[03:05:20.642 --> 03:05:26.807]  The Democratic Party's two-night extravaganza debate!
[03:05:27.087 --> 03:05:28.648]  Let's meet the candidates!
[03:05:29.529 --> 03:05:30.330]  All-Star!
[03:05:30.450 --> 03:05:31.371]  Beto O'Rourke!
[03:05:32.092 --> 03:05:32.872]  Oh my gosh!
[03:05:32.932 --> 03:05:33.993]  Cory Booker!
[03:05:34.454 --> 03:05:35.695]  The Amazing!
[03:05:35.815 --> 03:05:36.035]  Oh!
[03:05:36.115 --> 03:05:37.436]  Pocahontas!
[03:05:38.037 --> 03:05:39.358]  Joe Biden!
[03:05:39.899 --> 03:05:41.000]  Swallow's Whale Sizzle!
[03:05:41.100 --> 03:05:42.081]  New Gun Owners!
[03:05:42.221 --> 03:05:42.681]  Yay!
[03:05:43.081 --> 03:05:44.743]  Bernie Sanders!
[03:05:44.843 --> 03:05:46.484]  Love the Soviet Union!
[03:05:46.965 --> 03:05:47.906]  Camilla Harris!
[03:05:48.086 --> 03:05:49.347]  And so many more!
[03:05:49.807 --> 03:05:51.149]  It's the greatest show on Earth!
[03:05:51.529 --> 03:05:55.272]  Head to polewars.com forward slash show with live coverage next week!
[03:05:56.133 --> 03:06:03.259]  Next day and Thursday night.
[03:06:15.169 --> 03:06:18.091]  You're listening to The Alex Jones Show.
[03:06:18.572 --> 03:06:22.415]  And now, your host, Gerald Solente.
[03:06:23.155 --> 03:06:24.817]  G'day there.
[03:06:26.345 --> 03:06:30.008]  Great being here on the Alex Jones Show and what Alex said.
[03:06:30.028 --> 03:06:33.452]  If you don't support him, it's gonna go down.
[03:06:34.513 --> 03:06:35.654]  You don't want that to happen.
[03:06:36.715 --> 03:06:39.838]  It's not only Alex Jones, it's Trends Journal as well.
[03:06:40.538 --> 03:06:43.061]  Support us, keep the truth coming out.
[03:06:43.281 --> 03:06:48.606]  Again, I support InfoWars and my favorite of the favorites
[03:06:49.121 --> 03:06:55.526]  For an old cat like me to keep the juice going is super male vitality.
[03:06:56.047 --> 03:06:56.867]  Yes, yes, yes.
[03:06:56.887 --> 03:07:01.471]  I'm going to take a couple of shots right now because I'm getting a little tired.
[03:07:01.511 --> 03:07:02.412]  I need some energy.
[03:07:06.735 --> 03:07:07.135]  Anyway.
[03:07:08.216 --> 03:07:10.698]  So really, the mainstream media is worthless.
[03:07:11.899 --> 03:07:12.460]  Worthless.
[03:07:13.981 --> 03:07:16.643]  Look at the tragedy going on over there in Yemen.
[03:07:18.240 --> 03:07:21.481]  Ask most American people, what do you think about what's going on in Yemen?
[03:07:22.401 --> 03:07:23.482]  They'll say, what's a Yemen?
[03:07:25.723 --> 03:07:26.443]  It's a country.
[03:07:27.983 --> 03:07:30.564]  The worst humanitarian crisis on Earth.
[03:07:33.845 --> 03:07:35.386]  Launched by Saudi Arabia.
[03:07:35.606 --> 03:07:36.886]  Our ally!
[03:07:37.086 --> 03:07:40.067]  Oh, they're great, the democracy of Saudi Arabia.
[03:07:41.288 --> 03:07:41.928]  Wonderful!
[03:07:42.968 --> 03:07:45.309]  How many people did they behead yesterday, you know?
[03:07:47.541 --> 03:07:50.022]  Oh, and the women there, they have all the rights in the world!
[03:07:50.822 --> 03:07:52.642]  Hey, where's the Me Too movement over there?
[03:07:53.903 --> 03:07:54.983]  What hypocrisy!
[03:07:57.023 --> 03:07:58.444]  Media doesn't cover any of it.
[03:08:01.564 --> 03:08:01.865]  Nothing.
[03:08:03.505 --> 03:08:07.726]  So, support InfoWars, and of course, the Trends Journal at TrendsJournal.com.
[03:08:08.226 --> 03:08:10.067]  Going back to gold, this is important.
[03:08:11.947 --> 03:08:12.927]  It's very important.
[03:08:14.068 --> 03:08:15.528]  Gold is the signal
[03:08:16.966 --> 03:08:18.827]  Of what the future is going to look like.
[03:08:20.768 --> 03:08:29.253]  The higher gold goes, the lower the future of the economy and equity markets look.
[03:08:30.393 --> 03:08:33.815]  The higher gold prices, the lower stock prices.
[03:08:35.856 --> 03:08:40.079]  The higher gold prices, the lower GDP growth.
[03:08:41.640 --> 03:08:44.101]  And GDP growth, as I was mentioning earlier,
[03:08:44.949 --> 03:08:46.931]  Is slowing down around the world.
[03:08:47.471 --> 03:08:50.894]  Matter of fact, the World Bank just degraded GDP growth again.
[03:08:51.755 --> 03:08:53.716]  And again, and again, and again, and again, and again.
[03:08:53.736 --> 03:08:55.277]  IMF.
[03:08:56.318 --> 03:09:00.161]  Look what's going on there in Argentina.
[03:09:01.843 --> 03:09:04.045]  Oh, they got wonderful time going over on there.
[03:09:04.065 --> 03:09:06.006]  They only have a 23% unemployment rate.
[03:09:10.418 --> 03:09:17.023]  And they brought in that guy McCree and the Chicago Cats, who are the economic geniuses, I tells ya!
[03:09:17.043 --> 03:09:21.506]  Yeah, from that Milton Friedman school of BS.
[03:09:24.308 --> 03:09:28.451]  Yeah, they only have about, eh, 60% inflation rate.
[03:09:30.652 --> 03:09:32.774]  And then you look what's going on in Venezuela.
[03:09:33.955 --> 03:09:36.296]  Brazil, heading back into recession.
[03:09:39.158 --> 03:09:39.999]  South Africa.
[03:09:41.491 --> 03:09:42.892]  Want to go to the Congo?
[03:09:43.713 --> 03:09:44.973]  How about Sudan?
[03:09:45.834 --> 03:09:47.435]  Take a trip to Algeria.
[03:09:51.298 --> 03:09:52.959]  One country after another.
[03:09:53.819 --> 03:09:54.540]  Going down.
[03:09:56.001 --> 03:09:58.963]  The lower they go, the higher gold goes.
[03:09:59.463 --> 03:10:01.544]  I do not give financial advice.
[03:10:01.564 --> 03:10:03.546]  I'm a trend forecaster.
[03:10:04.146 --> 03:10:05.487]  I'm not telling you to do anything.
[03:10:05.527 --> 03:10:06.348]  Think for yourself.
[03:10:07.208 --> 03:10:08.369]  I just put the facts out there.
[03:10:10.150 --> 03:10:11.171]  So this is important.
