[00:00:00.089 --> 00:00:01.070]  GAMER CONDITIONING!
[03:21:48.666 --> 03:21:52.929]  Double standards, hypocrisy run rampant within the left.
[03:21:52.929 --> 03:21:57.512]  And they can be vile and nasty and mean, and they don't care.
[03:21:57.512 --> 03:22:06.357]  They see that they do no wrong because they believe that they have the moral high ground because they adhere to these principles that are being perpetuated through propaganda.
[03:22:06.357 --> 03:22:09.118]  Well, you were a contractor seven years ago for us.
[03:22:09.118 --> 03:22:10.838]  You've been here for three years.
[03:22:10.838 --> 03:22:13.879]  You just like royal flush, just like Caitlin Bennett.
[03:22:13.879 --> 03:22:18.760]  I mean, it isn't about women or men, but I'm actually telling my crew, I'm like, we need women.
[03:22:18.760 --> 03:22:20.060]  It's women that are dominating.
[03:22:20.060 --> 03:22:25.482]  And not just because you're a woman, the stuff you say, the stuff you do, what you catch, it's that magic.
[03:22:25.482 --> 03:22:28.682]  And we're trying to hire women versus CNN that's almost all men.
[03:22:28.682 --> 03:22:30.623]  It just seems like a virtue signal.
[03:22:30.623 --> 03:22:31.563]  It seems like pure crap.
[03:22:32.634 --> 03:22:34.775]  Look, you know, I don't take it personal.
[03:22:34.775 --> 03:22:37.956]  A lot of this slides off my back like water off a duck's back.
[03:22:37.956 --> 03:22:43.238]  I mean, I don't care because I know most of these people are crazy, okay?
[03:22:43.238 --> 03:22:45.479]  So who cares what a crazy person says?
[03:22:45.479 --> 03:22:47.900]  I mean, they were calling you all kinds of things, Alex.
[03:22:47.900 --> 03:22:49.561]  I mean, they were just making up stuff.
[03:22:49.561 --> 03:22:52.422]  Like, just one of them, you just said, I'll be a pedophile.
[03:22:52.422 --> 03:22:54.823]  Well, just imagine that I hire women to have sex.
[03:22:54.823 --> 03:22:58.264]  Imagine that I'm actually hiring women to have sex with them.
[03:22:58.264 --> 03:22:59.725]  Think of how insulting that is.
[03:23:01.283 --> 03:23:06.064]  Well, yeah, it was really meant to insult me as a reporter out there.
[03:23:06.064 --> 03:23:07.605]  That's what his aim was.
[03:23:07.605 --> 03:23:09.405]  I don't think they even believe half the stuff they say.
[03:23:09.405 --> 03:23:15.446]  Let's just say it, Millie, because you've got a great husband and two children, and I'm sure that's passion and it's awesome, but let's be honest.
[03:23:15.446 --> 03:23:21.888]  When you get a video that gets 20 million views and you change the course of humanity and you stand up for your children, is that not the highest thrill in your life?
[03:23:23.171 --> 03:23:27.352]  Well, you know, Caitlyn Bennett was actually the one who just recently got the 20 million.
[03:23:27.352 --> 03:23:29.293]  I think she got like 59.
[03:23:29.293 --> 03:23:31.633]  Oh, she just is off the charts.
[03:23:31.633 --> 03:23:32.813]  She is really kicking butt.
[03:23:32.813 --> 03:23:35.254]  But I'm just saying, explain to people what really matters.
[03:23:35.254 --> 03:23:36.194]  We didn't script this.
[03:23:36.194 --> 03:23:39.195]  I mean, just what's your view on that?
[03:23:39.195 --> 03:23:46.097]  Well, I mean, my view is that you're always going to have people who are haters or who love what you're doing when you're actually being
[03:23:47.799 --> 03:23:48.580]  How would I say?
[03:23:48.580 --> 03:23:51.421]  When you're actually going out there and doing something that's worth doing.
[03:23:51.421 --> 03:23:53.503]  You're going to have people that hate you or love you.
[03:23:53.503 --> 03:23:58.265]  Sure, so what I'm saying is, what are the highest points in your life?
[03:23:58.265 --> 03:24:02.048]  Probably falling around the Hillary Clinton campaign and the Trump campaign.
[03:24:02.048 --> 03:24:04.689]  And catching her falling down.
[03:24:04.689 --> 03:24:05.510]  Well, that too.
[03:24:05.510 --> 03:24:07.771]  It's not like it's the highest point in my life.
[03:24:07.771 --> 03:24:10.553]  Obviously the highest point emotionally in my life is having my son.
[03:24:10.553 --> 03:24:13.455]  No, but that's like shooting torpedoes down the Death Star Mine shaft.
[03:24:13.455 --> 03:24:13.875]  Sorry, go ahead.
[03:24:14.944 --> 03:24:17.546]  The highest point in my life was actually having my son.
[03:24:17.546 --> 03:24:26.492]  I mean, that's my moment of like, wow, I fulfilled my dreams, my hopes, and that's the highest point in my life.
[03:24:26.492 --> 03:24:35.538]  But as far as my career, I would say following the Trump campaign, the Hillary campaign, participating in what happened in 2016, that was just so amazing.
[03:24:35.538 --> 03:24:39.701]  And I hope more people will actually get out there and participate in this next upcoming election.
[03:24:39.701 --> 03:24:40.241]  Exactly.
[03:24:40.241 --> 03:24:43.564]  They want to penalize people, but they can't stop the masses.
[03:24:44.434 --> 03:24:46.075]  But you just had your new baby, too.
[03:24:46.075 --> 03:24:46.755]  That was powerful.
[03:24:46.755 --> 03:24:50.037]  But there's nothing like that first baby, is there?
[03:24:50.037 --> 03:24:52.799]  It's that first baby.
[03:24:52.799 --> 03:24:54.380]  I love my daughter all the same.
[03:24:54.380 --> 03:24:55.481]  I love her just as much.
[03:24:55.481 --> 03:24:58.302]  But just like the rite of passage into motherhood.
[03:24:58.302 --> 03:25:00.423]  Explain the switches that get flipped.
[03:25:00.423 --> 03:25:04.566]  How much did your IQ go up when you had that first baby?
[03:25:04.566 --> 03:25:07.368]  I don't even know if it's necessarily IQ.
[03:25:07.368 --> 03:25:12.991]  It's that my confidence, my strength, my authority,
[03:25:13.812 --> 03:25:14.032]  I don't
[03:25:29.178 --> 03:25:29.378]  I don't
[03:25:50.120 --> 03:25:51.340]  No, I totally agree.
[03:25:51.340 --> 03:25:52.381]  The force is with you.
[03:25:52.381 --> 03:25:56.262]  Let's go back to your huge reports on Infowars.com.
[03:25:56.262 --> 03:25:58.823]  We should get to all of it here, but Papert's coming up.
[03:25:58.823 --> 03:26:01.064]  Here's more of this guy saying, oh, you're on Infowars.
[03:26:01.064 --> 03:26:02.104]  You have sex with Alex Jones.
[03:26:02.104 --> 03:26:03.004]  Here he is.
[03:26:03.004 --> 03:26:04.985]  Who said I liked Biden?
[03:26:04.985 --> 03:26:06.826]  So what brings you out here?
[03:26:06.826 --> 03:26:07.866]  What do you like Alex Jones?
[03:26:07.866 --> 03:26:09.447]  What do you work for him?
[03:26:09.447 --> 03:26:10.307]  How much does he pay you?
[03:26:10.307 --> 03:26:11.967]  What brings you out here?
[03:26:11.967 --> 03:26:12.968]  How much does he pay you?
[03:26:12.968 --> 03:26:13.688]  Are you sleeping with him?
[03:26:15.214 --> 03:26:25.418]  That's a pretty, I would say sexist comment to make against a female reporter that I have to be sleeping with my boss in order to have a job.
[03:26:25.418 --> 03:26:27.119]  That's pretty low.
[03:26:27.119 --> 03:26:28.200]  That's pretty low.
[03:26:28.200 --> 03:26:29.920]  Do you like Biden?
[03:26:29.920 --> 03:26:33.302]  I'm looking at the field and doing my homework.
[03:26:33.302 --> 03:26:34.962]  What do you hope to hear from Biden today?
[03:26:34.962 --> 03:26:37.604]  A plan for our future.
[03:26:37.604 --> 03:26:39.004]  What do you think about Donald Trump?
[03:26:39.004 --> 03:26:41.265]  What am I on?
[03:26:44.256 --> 03:26:45.197]  Not very much.
[03:26:45.197 --> 03:26:49.861]  I think he's a piece of work.
[03:26:49.861 --> 03:26:50.922]  He wants to build the wall.
[03:26:50.922 --> 03:26:54.265]  He is anti-immigration.
[03:26:54.265 --> 03:27:00.010]  He has produced tax cuts for the wealthy.
[03:27:00.010 --> 03:27:02.793]  Let's pause again.
[03:27:02.793 --> 03:27:04.935]  Wall Street gives 99% of their money to Hillary.
[03:27:05.899 --> 03:27:09.381]  They're trying to crush our border and enslave us right now.
[03:27:09.381 --> 03:27:11.441]  And these people are just such followers.
[03:27:11.441 --> 03:27:13.402]  And I'm not being mean, but you look at them.
[03:27:13.402 --> 03:27:16.104]  They're so physically weak, Mellie.
[03:27:16.104 --> 03:27:18.044]  Like, a woman has great intuition.
[03:27:18.044 --> 03:27:20.866]  About a man, or about a... Women have intuition.
[03:27:20.866 --> 03:27:23.347]  What is your intuition about leftists when you're around them?
[03:27:23.347 --> 03:27:24.867]  I don't feel good they're so weak.
[03:27:24.867 --> 03:27:25.968]  I just feel like they're dead.
[03:27:27.697 --> 03:27:29.718]  Yeah, they're definitely lost.
[03:27:29.718 --> 03:27:34.780]  I mean, misinformed, lost, aimed in the wrong direction.
[03:27:34.780 --> 03:27:45.223]  It's like they're literally just brainwashed and it's like you can trigger them just by saying things that you know go against the mainstream media's programming, essentially.
[03:27:45.223 --> 03:27:52.706]  So it's crazy to see that these are like lemmings that all want to run off a cliff into the next Hillary, which is Biden.
[03:27:54.025 --> 03:27:55.446]  Wow, the next Venezuela.
[03:27:55.446 --> 03:27:57.267]  Well, tell people where they can find your videos.
[03:27:57.267 --> 03:27:59.969]  They're on newswars.com, they're on infowars.com.
[03:27:59.969 --> 03:28:03.111]  Only our audience can breathe life into these and get them out there.
[03:28:03.111 --> 03:28:07.374]  But tell people about your YouTube, about your Twitter, about where people can find the great work you're doing, Millie.
[03:28:08.379 --> 03:28:23.530]  Well, you can go to Millennial Millie on YouTube and what I will say is that that was just the very beginning of the videos and the other video is even more impactful where these leftists go crazy, they attack me, they slander Alex Jones, one lady threatened me.
[03:28:23.530 --> 03:28:24.491]  I haven't seen this yet.
[03:28:24.491 --> 03:28:26.272]  What's the name of that one?
[03:28:26.272 --> 03:28:29.515]  That one is called Uninformed Leftists Get Triggered by Facts.
[03:28:30.506 --> 03:28:31.766]  That was actually pretty funny.
[03:28:31.766 --> 03:28:32.887]  It's hilarious, actually.
[03:28:32.887 --> 03:28:35.507]  We're gonna have to bleep that out and air it on The War Room coming up.
[03:28:35.507 --> 03:28:36.588]  But we'll do that.
[03:28:36.588 --> 03:28:39.148]  Alright, Millie, you're awesome.
[03:28:39.148 --> 03:28:39.909]  Gavin's awesome.
[03:28:39.909 --> 03:28:41.969]  He's the guy behind the camera, your husband.
[03:28:41.969 --> 03:28:42.729]  You're awesome.
[03:28:42.729 --> 03:28:45.050]  We admire you as a human soul.
[03:28:45.050 --> 03:28:46.691]  And we love you.
[03:28:46.691 --> 03:28:49.671]  And all these idiots thinking that we're all having sex or something.
[03:28:49.671 --> 03:28:50.832]  It's a little bit deeper than that.
[03:28:50.832 --> 03:28:51.492]  It's spiritual.
[03:28:53.527 --> 03:28:55.488]  Heart disease is on the rise.
[03:28:55.488 --> 03:29:00.790]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[03:29:00.790 --> 03:29:02.370]  But the symptoms are there.
[03:29:02.370 --> 03:29:10.734]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[03:29:10.734 --> 03:29:16.416]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[03:29:16.596 --> 03:29:18.417]  My blood pressure has normalized.
[03:29:18.417 --> 03:29:20.679]  My diabetes has totally improved.
[03:29:20.679 --> 03:29:25.081]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[03:29:25.081 --> 03:29:27.283]  I recommend Heart and Body Extract to everyone.
[03:29:27.283 --> 03:29:35.028]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[03:29:35.168 --> 03:29:39.350]  Order your two-month supply today by calling 866-295-5305.
[03:29:39.350 --> 03:29:43.212]  That's 866-295-5305.
[03:29:43.212 --> 03:29:46.233]  Or order online at HBextract.com.
[03:29:46.233 --> 03:29:49.775]  Heart and Body Extract, 866-295-5305.
[03:29:49.775 --> 03:29:54.397]  Or HBextract.com.
[03:29:54.397 --> 03:29:57.459]  Our grandparents, the great-grandparents, they canned food.
[03:29:57.459 --> 03:29:59.000]  During the fall, so you have it during the winter.
[03:30:00.368 --> 03:30:03.331]  And that's what I'm talking about at InfoWarsTour.com.
[03:30:03.331 --> 03:30:07.895]  With InfoWars Select, it's the full spectrum of my Patriot Supply on the top.
[03:30:08.959 --> 03:30:10.340]  Most respected companies out there.
[03:30:10.340 --> 03:30:18.105]  But because I private label it, I'm able to go below cost on contracts that all their other distributors aren't able to do.
[03:30:18.105 --> 03:30:23.448]  But I want to be a market leader, and I want you to have storable food, so it's a total win-win.
[03:30:23.448 --> 03:30:25.729]  We have those incredible sale prices back.
[03:30:25.729 --> 03:30:29.231]  InfoWareStore.com on InfoWare Select storable foods.
[03:30:29.231 --> 03:30:30.732]  They've got special diet foods.
[03:30:30.732 --> 03:30:34.715]  They've got three-month supplies, year supplies, week emergency supplies.
[03:30:34.715 --> 03:30:36.956]  They've got so many great products there.
[03:30:36.956 --> 03:30:38.017]  And you've got a three-year supply.
[03:30:38.477 --> 03:30:40.458]  If stuff happens, you can feed your whole block.
[03:30:40.458 --> 03:30:42.979]  It's up to us to be self-sufficient.
[03:30:42.979 --> 03:30:47.981]  You're buying War Bonds, bringing you great products, and together, with God's help, we are unstoppable.
[03:30:47.981 --> 03:30:53.363]  InfoWareStore.com and InfoWare Select, high-quality, storable foods powered by my Patriot Supply.
[03:30:54.036 --> 03:30:59.621]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[03:30:59.621 --> 03:31:00.661]  Alpha Power.
[03:31:00.661 --> 03:31:04.104]  As you age, your body can lose testosterone over time.
[03:31:04.104 --> 03:31:13.031]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[03:31:13.031 --> 03:31:21.238]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[03:31:21.778 --> 03:31:27.200]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[03:31:27.200 --> 03:31:34.442]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[03:31:34.442 --> 03:31:38.123]  Let Alpha Power help bring you to the peak of your optimal health.
[03:31:38.123 --> 03:31:41.164]  Don't fall short on energy in the fight against tyranny.
[03:31:41.164 --> 03:31:45.225]  Show the world what a True Alpha Male looks like today with Alpha Power.
[03:31:45.225 --> 03:31:47.726]  Head to InfoWarsStore.com today!
[03:31:54.013 --> 03:32:00.286]  Nourish a probiotic-friendly environment in your gut with Prebiotic Fiber by InfoWars Life.
[03:32:01.164 --> 03:32:14.254]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber, a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[03:32:14.254 --> 03:32:24.742]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system.
[03:32:25.322 --> 03:32:32.684]  InfoWarsLife's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients.
[03:32:32.684 --> 03:32:47.348]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[03:32:47.348 --> 03:32:50.029]  Head to InfoWarsLife.com or call 1-888-253-3139.
[03:32:56.718 --> 03:33:07.146]  You're listening to the Alex Jones Show!
[03:33:07.146 --> 03:33:10.970]  Yeah, here's our new single record from our Highwayman 2 album.
[03:33:10.970 --> 03:33:11.990]  Silver Stallion.
[03:33:11.990 --> 03:33:15.793]  You know, few man's can do live better than they can do
[03:33:20.051 --> 03:33:24.355]  Tape, but that is definitely the high woman.
[03:33:24.355 --> 03:33:28.819]  Only Kris Kristofferson and Willie Nelson survive.
[03:33:28.819 --> 03:33:29.300]  Teach him.
[03:33:29.300 --> 03:33:31.562]  He can trust me like a brother.
[03:33:31.562 --> 03:33:36.026]  And one day, one day we'll saddle up and
[03:33:54.343 --> 03:34:08.189]  Can you use that cheesy Game of Thrones analogy?
[03:34:08.189 --> 03:34:15.511]  About those dragons that took five seasons to raise, but once you raise them, they're fire-breathing and they're ready.
[03:34:15.511 --> 03:34:19.413]  Best part of the song, I'm gonna find me a reckless woman.
[03:34:20.236 --> 03:34:46.290]  We're gonna find me a reckless woman with razor blades and dice razor blades and dice in her eyes and just a touch of sadness in her fingers just a touch of sadness in her fingers and thunder thunder and lightning in her thighs oh we're gonna ride and we're gonna ride
[03:34:52.125 --> 03:34:56.066]  Ride like the one-eyed Jack.
[03:34:56.066 --> 03:34:59.987]  This is America's defense against the globalist cancer.
[03:34:59.987 --> 03:35:01.067]  This is it.
[03:35:01.067 --> 03:35:03.788]  This is you, the audience, that are the leaders.
[03:35:03.788 --> 03:35:05.148]  You're in the arena right now.
[03:35:05.148 --> 03:35:06.109]  Tom Pappert takes over.
[03:35:06.109 --> 03:35:09.569]  I want to invite him to co-host the show soon or take it over himself.
[03:35:09.569 --> 03:35:15.471]  Just bad luck for him every time he's about to co-host and I appreciate him doing it, that I end up taking over, but there's so much going on.
[03:35:15.471 --> 03:35:17.071]  What an epic time to be alive.
[03:35:17.071 --> 03:35:18.872]  Tom, we love you and we appreciate you.
[03:35:18.872 --> 03:35:19.632]  Take it over, my friend.
[03:35:20.956 --> 03:35:21.737]  Thank you, Alex.
[03:35:21.737 --> 03:35:22.838]  Thank you so much for having me on.
[03:35:22.838 --> 03:35:24.079]  And it's okay, I understand.
[03:35:24.079 --> 03:35:27.381]  Sometimes the news is just so insane, you need to keep going.
[03:35:27.381 --> 03:35:36.729]  Someday, Alex, when we're all done with this, when you can finally retire like Bilbo Baggins, let's go create a Highwaymen cover band, because your country music singing is some of the best out there.
[03:35:36.729 --> 03:35:37.890]  No, you're awesome.
[03:35:37.890 --> 03:35:46.898]  I didn't cover transgender athlete smashes four women's powerlifting records, and then world champion powerlifting women go, this is a joke, that's a man, they're calling for their arrest.
[03:35:47.498 --> 03:35:51.640]  I mean, this is the level we've hit where every women's sport is going to be dominated by a dude!
[03:35:51.640 --> 03:35:53.841]  I mean, this is mental illness, man!
[03:35:53.841 --> 03:35:55.662]  They go, you don't like trans people!
[03:35:55.662 --> 03:35:57.563]  I don't give a damn what you're doing!
[03:35:57.563 --> 03:35:59.024]  You want to cut your Johnson off?
[03:35:59.024 --> 03:36:01.745]  Go ahead, just don't charge me for it!
[03:36:01.745 --> 03:36:09.249]  But I don't want to go to one of my daughter's sports and have some 40... You know how they have adults competing against little kids?
[03:36:09.249 --> 03:36:12.070]  They're now saying they identify themselves as young.
[03:36:12.070 --> 03:36:15.112]  So some 50-year-old dude's going to beat up your 5-year-old daughter!
[03:36:16.277 --> 03:36:17.298]  God Almighty!
[03:36:17.298 --> 03:36:17.838]  Jesus!
[03:36:17.838 --> 03:36:19.159]  Sorry.
[03:36:19.159 --> 03:36:19.779]  No, you're alright.
[03:36:19.779 --> 03:36:21.360]  You know, I've got a friend here in town.
[03:36:21.360 --> 03:36:22.921]  He's a big, muscular guy.
[03:36:22.921 --> 03:36:24.681]  He works out all summer long.
[03:36:24.681 --> 03:36:27.663]  And I keep telling him, Craig, you and I need to get together.
[03:36:27.663 --> 03:36:29.064]  You'll identify as a woman.
[03:36:29.064 --> 03:36:30.284]  You can even wear a dress.
[03:36:30.284 --> 03:36:31.345]  Oh, I think it's a stunt!
[03:36:31.345 --> 03:36:35.988]  I should try to go join, say, six-year-old girls swimming.
[03:36:35.988 --> 03:36:37.328]  And I can beat them.
[03:36:37.328 --> 03:36:39.169]  And I'll just, like, I'm a six-year-old girl.
[03:36:39.169 --> 03:36:42.251]  And I'll just, I'll be in the newspaper with all the blue ribbons.
[03:36:43.775 --> 03:36:44.856]  In fact, I'm doing it!
[03:36:44.856 --> 03:36:45.816]  That's it!
[03:36:45.816 --> 03:36:46.837]  I'm doing it!
[03:36:46.837 --> 03:36:48.178]  I am a six-year-old girl!
[03:36:48.178 --> 03:36:50.680]  I'm not going to go out the left.
[03:36:50.680 --> 03:36:52.941]  You know, the men demand to be in the showers of the girls.
[03:36:52.941 --> 03:36:54.262]  I won't go that far.
[03:36:54.262 --> 03:36:55.143]  But, you know, that's where they are.
[03:36:55.143 --> 03:36:55.423]  Go ahead.
[03:36:56.297 --> 03:36:57.698]  Well, people think we're joking.
[03:36:57.698 --> 03:37:05.404]  Just a couple years ago, there was like a 46 or a 52-year-old obese man who said, I identify as a six-year-old now.
[03:37:05.404 --> 03:37:09.687]  And he found a family to take him in and raise him as if he's a six-year-old girl.
[03:37:09.687 --> 03:37:11.849]  It's absolutely disgusting what goes on out there.
[03:37:11.849 --> 03:37:18.594]  Oh no, leftists make people, they get taxpayer money in San Francisco to be on a chain, and they take the man out and he poops in a field and they pick it up.
[03:37:21.468 --> 03:37:22.869]  It is just, it's disgusting.
[03:37:22.869 --> 03:37:24.690]  And you know, it's this full assault.
[03:37:24.690 --> 03:37:27.671]  How are you racist against that?
[03:37:27.671 --> 03:37:32.234]  We need to have convicted pedophiles in school with small children.
[03:37:32.234 --> 03:37:33.134]  Right?
[03:37:33.134 --> 03:37:34.054]  Because it's empowering.
[03:37:34.054 --> 03:37:35.555]  You know, we had an article up at Big League Politics.
[03:37:35.555 --> 03:37:36.856]  We keep the baby comfortable?
[03:37:37.913 --> 03:37:38.994]  That's right.
[03:37:38.994 --> 03:37:42.657]  Well, they actually said, we're going to groom this children.
[03:37:42.657 --> 03:37:43.998]  That's what this is all about.
[03:37:43.998 --> 03:37:48.861]  We're going to groom them to be part of the LGBT community.
[03:37:48.861 --> 03:37:50.803]  Isn't that wonderful and progressive?
[03:37:50.803 --> 03:37:56.787]  And we're just going to have our convicted pedophiles who rape eight-year-old boys come out and we're going to groom you.
[03:37:56.787 --> 03:37:57.508]  Nothing wrong with that.
[03:37:57.508 --> 03:37:59.369]  Papert, I shouldn't have taken over here today.
[03:37:59.369 --> 03:38:03.412]  What do you have in the segments you have to cover here, Jedi leader?
[03:38:04.375 --> 03:38:08.099]  I've got a lot, because I've been kind of listening to the show and I wanted to keep it in line.
[03:38:08.099 --> 03:38:12.704]  One of the big things to talk about... Are you going to keep the audience comfortable?
[03:38:12.704 --> 03:38:20.872]  And then you and I, as the host and the co-host, the guest host, we will make a decision as to whether or not we should kill the audience, obviously.
[03:38:20.872 --> 03:38:26.318]  We don't want the parents involved, we just kill the baby, all them little goody-toodies.
[03:38:27.569 --> 03:38:42.338]  You know Ralph Northam is now trying to find people to say that they were in that famous blackface KKK photo because you know not only does he like to kill babies but ostensibly he hates black people and he's trying to find a cover.
[03:38:42.338 --> 03:38:47.401]  Ralph Northam knows best.
[03:38:47.401 --> 03:38:50.462]  Why you being bad Tom?
[03:38:50.462 --> 03:38:53.344]  Just let us kill you Tom.
[03:38:53.344 --> 03:38:54.945]  Southern Loving Voice Tom.
[03:38:57.640 --> 03:39:09.409]  I wonder, did he have this moment with the ethereal George Soros telling him, if he just kills the fake- It's called Southern Lovin' Tom!
[03:39:09.409 --> 03:39:11.450]  It's out of comfort and compassion.
[03:39:11.450 --> 03:39:17.615]  We'll make them comfortable, and then we'll just put the ice pick right in the forehead, and they'll be totally comfortable.
[03:39:17.615 --> 03:39:22.579]  And then we get those little goody-woodies, oh my.
[03:39:22.579 --> 03:39:26.762]  And then you just sell it to the highest bidder, use that to fund your campaign,
[03:39:27.614 --> 03:39:32.916]  Hey, what do you think of the fact that it's coming out that Biden's a CHICOM operative?
[03:39:32.916 --> 03:39:34.397]  You know, it doesn't surprise me.
[03:39:34.397 --> 03:39:36.857]  Biden has so many disgusting things surrounding him.
[03:39:36.857 --> 03:39:42.480]  At Big League Politics, we had an exclusive story where they actually, we have a person who came forward.
[03:39:42.480 --> 03:39:43.300]  Biden's daughter.
[03:39:43.300 --> 03:39:47.602]  You're a senior writer at BigLeaguePolitics.com, a total badass.
[03:39:47.602 --> 03:39:48.242]  Tell us about this.
[03:39:49.335 --> 03:39:56.458]  So we had this article where Biden's daughter-in-law, she runs this lawyers for needy people organization that's a total sham.
[03:39:56.458 --> 03:39:59.060]  Which means they swindle the cash, yeah.
[03:39:59.060 --> 03:40:00.040]  Exactly, exactly.
[03:40:00.040 --> 03:40:01.981]  Well, it turns out one of their lawyers, they had this 19, 18 year old kid.
[03:40:06.690 --> 03:40:15.215]  They were representing another guy and he was called in as a witness and this lawyer goes into the men's room with this kid and sexually propositions him.
[03:40:15.215 --> 03:40:18.137]  This is in Joe Biden's daughter-in-law's legal group.
[03:40:18.137 --> 03:40:22.420]  And then they just sweep it under the rug, oh this never happened, yeah we're sorry if you were uncomfortable.
[03:40:22.420 --> 03:40:26.922]  You mean people associated with Biden are grabbing kids?
[03:40:26.922 --> 03:40:29.424]  You're telling me bears live in the woods?
[03:40:30.626 --> 03:40:32.507]  Who could have ever seen this happening?
[03:40:32.507 --> 03:40:35.147]  But you know, so it doesn't surprise me that he's in bed with China.
[03:40:35.147 --> 03:40:40.149]  And in fact, if you look at the company he keeps, Hillary Clinton, we all know what she does with China.
[03:40:40.149 --> 03:40:42.089]  We all know what she does with foreign governments.
[03:40:42.089 --> 03:40:44.970]  So it doesn't surprise me at all.
[03:40:44.970 --> 03:40:47.751]  Papert, you need to join me throughout the week.
[03:40:47.751 --> 03:40:49.251]  What's coming up in the next segment here?
[03:40:50.726 --> 03:40:53.808]  So I thought since we were talking about Biden, I wanted to talk about that.
[03:40:53.808 --> 03:41:02.234]  We've also got kind of, I want to give some backstory about Rod Rosenstein, because this guy has been a bad actor for a very long time.
[03:41:02.234 --> 03:41:12.382]  He interviewed Hillary Clinton way back in the day, or I'm sorry, I think it was President Bill Clinton, all the way back in Whitewater when he was impeached in the House, but not the Senate, if memory serves.
[03:41:12.382 --> 03:41:14.683]  And it was a 15 minute interview.
[03:41:14.683 --> 03:41:16.825]  It didn't happen where it was supposed to happen.
[03:41:17.515 --> 03:41:24.558]  And then, all these years later, in 2017, when he joined the Trump administration, he lied on his resume.
[03:41:24.558 --> 03:41:34.243]  And he said that at the time that he was interviewing the Clintons about whether or not they broke the law, he said that he was the Attorney General for a state.
[03:41:34.243 --> 03:41:36.464]  Chief Prosecutor for Maryland, I think it was.
[03:41:36.464 --> 03:41:38.204]  So this guy is a real piece of work.
[03:41:38.204 --> 03:41:42.746]  He's the same guy who came out- By the way, I should have led the show, and I'm glad you're going to do this next segment.
[03:41:42.746 --> 03:41:43.687]  Thank God you're here.
[03:41:44.839 --> 03:41:47.642]  Why is the head of the Air Force Academy stepping down?
[03:41:47.642 --> 03:41:49.583]  Why is the head of Guantanamo stepping down?
[03:41:49.583 --> 03:41:54.828]  Why is Rod Rosenstein stepping down?
[03:41:54.828 --> 03:42:01.614]  I'm told the Tea Leaf Show, this is not very good joo-boo-hoo-joo or whatever for the establishment.
[03:42:02.731 --> 03:42:03.431]  Right.
[03:42:03.431 --> 03:42:13.895]  Well, if you look at it, ever since that Mueller report broke, we've had like, what, 10 different top officials now, all throughout the federal government, stepping down, quote unquote.
[03:42:13.895 --> 03:42:15.115]  We all know the way this works.
[03:42:15.115 --> 03:42:18.096]  When you get to these upper echelons, you get the choice.
[03:42:18.096 --> 03:42:23.858]  They come, they bring you in the office, and they say, all right, you can either step down, or we're going to fire you, and you'll be a public disgrace.
[03:42:23.858 --> 03:42:27.159]  And if they're smart, they'll say, all right, I'll step down.
[03:42:27.159 --> 03:42:28.379]  You see how it works?
[03:42:28.379 --> 03:42:29.600]  You see how it works, Pepper?
[03:42:30.922 --> 03:42:34.665]  We're gonna get those little gizzard snippets.
[03:42:34.665 --> 03:42:36.486]  It's all liberal, though.
[03:42:36.486 --> 03:42:39.989]  Tom Pappert is on fire!
[03:42:39.989 --> 03:42:42.010]  I'm Alex Jones.
[03:42:42.010 --> 03:42:43.652]  Stay with us for one more segment.
[03:42:43.652 --> 03:42:47.695]  Then, the War Room is ready!
[03:42:47.695 --> 03:42:49.856]  Hillary loves you!
[03:42:49.856 --> 03:42:51.337]  Take the vaccines!
[03:42:51.337 --> 03:42:51.698]  Yes!
[03:42:53.112 --> 03:42:58.294]  Infowarsstore.com is how you support us, and it's not like we're selling stuff you don't need, you don't want.
[03:42:58.294 --> 03:43:06.878]  The air in the average American home is filled with toxins that put it on par with a major city.
[03:43:06.878 --> 03:43:09.860]  Some of the most polluted areas on earth are major cities.
[03:43:09.860 --> 03:43:11.580]  How can I solve that problem?
