[00:00:00.190 --> 00:00:01.838]  Offend Liberty Worldwide!
[03:16:59.452 --> 03:17:05.457]  They're pouring through everywhere, that's the number we have, it's probably worse, and then suddenly their answer is, we gotta take them all in.
[03:17:05.557 --> 03:17:06.058]  Exactly.
[03:17:06.338 --> 03:17:08.120]  You can see the premeditation of this.
[03:17:08.800 --> 03:17:29.456]  Right, and then if you don't want to take them in or if you're a bad person, you're racist or you're evil, and getting everyone to sort of fight amongst themselves and fight against these, some of these people who truly are fleeing madness, you know, to be angry at them rather than angry at the people who have instigated this chaos.
[03:17:29.696 --> 03:17:36.919]  And the policies and the war and the, you know, borders wide open policies that are bringing them all in.
[03:17:36.999 --> 03:17:40.380]  So it's, that's what we should be focusing on and fighting against.
[03:17:40.520 --> 03:17:49.364]  But instead, it's like, you're a bad person because you don't want, you know, boys to use the girls bathroom or, you know, stuff that doesn't matter.
[03:17:50.199 --> 03:17:54.402]  Well, it's all just psychiatrists on record came out with this to mess us up.
[03:17:54.422 --> 03:18:05.188]  They said in the 60s, this was the whole plan, just to create total obsessions with our wee-wees, you know, instead of like the big, giant issues of cancer viruses and the vaccines.
[03:18:05.828 --> 03:18:07.870]  You and Rob Deere are going to be hosting the rest of the show.
[03:18:07.930 --> 03:18:09.711]  I'm going to punch you out of here, but...
[03:18:11.187 --> 03:18:12.308]  These people mean business?
[03:18:13.109 --> 03:18:14.270]  They're moving on all fronts?
[03:18:14.330 --> 03:18:25.802]  And I wanted to ask Rob Dew, what do you make of Donald Trump now suddenly flip-flopping and going, yeah, we need to bring these illegals, these migrants, into the United States, and Merkel's doing a great job?
[03:18:25.822 --> 03:18:31.969]  I mean, you think conservatives are so on his hook now that they're going to now want jihadis in their bedrooms?
[03:18:32.549 --> 03:18:37.953]  I think this goes back to the fact that he signed that pledge, his loyalty pledge to the Republican Party.
[03:18:37.973 --> 03:18:41.416]  And now they're saying, look, you got to start playing ball with us or we're going to undercut you.
[03:18:41.476 --> 03:18:42.877]  We're going to get you out of this race.
[03:18:43.698 --> 03:18:44.879]  Like what they did with Ron Paul.
[03:18:45.259 --> 03:18:46.260]  You won't even get mentioned.
[03:18:46.660 --> 03:18:52.544]  And then you'll you'll go into obscurity because, you know, right now, every time they say something positive or negative, his ratings go up.
[03:18:53.025 --> 03:18:54.946]  So it doesn't matter as long as they're mentioning Trump.
[03:18:55.367 --> 03:18:56.848]  It's just like the golden goose.
[03:18:56.868 --> 03:18:58.149]  He keeps laying golden eggs for him.
[03:18:58.169 --> 03:19:02.012]  So I think he's starting to play ball because he got the message at some point on some level.
[03:19:02.472 --> 03:19:04.173]  And he probably will never admit it.
[03:19:04.833 --> 03:19:10.936]  It might come out later, like what happened with Ross Perot, when he got out of the race and then he got back in, but it was too late to really affect the outcome.
[03:19:10.956 --> 03:19:14.077]  I mean, who wants a President Trump if he's President Obama?
[03:19:14.617 --> 03:19:15.017]  Exactly.
[03:19:15.577 --> 03:19:17.258]  Or President Globalist, whoever, you know.
[03:19:17.478 --> 03:19:19.919]  They're all the same guy, they just change out the face.
[03:19:19.939 --> 03:19:31.084]  There's a great graphic you had, I believe it was an Obama deception, as the guy pops up and then it changes to the next one, changes to the next one, and it doesn't matter who's really in charge.
[03:19:31.644 --> 03:19:32.644]  Those guys aren't in charge.
[03:19:32.684 --> 03:19:34.405]  What do you and McAdoo got coming up today?
[03:19:34.785 --> 03:19:49.128]  Well, I found a video from RT put out basically echoing the same things we've been talking about with this migrant invasion that's going on in Europe and how nobody, the mainstream media here in the United States is taking the angle, oh, we have to help these people.
[03:19:49.368 --> 03:19:50.409]  What's the president going to do?
[03:19:50.469 --> 03:19:51.529]  How are we going to help these people?
[03:19:51.829 --> 03:19:55.650]  And not the focus on this is how ISIS is getting people into the country.
[03:19:56.070 --> 03:20:00.892]  You know, the only thing the American media is talking about is the Hungarian camera woman who tripped a migrant.
[03:20:01.192 --> 03:20:03.733]  Well, you know, these people are coming in illegally.
[03:20:04.353 --> 03:20:08.274]  I kind of agree with what she did, trying to stop invaders coming in.
[03:20:08.394 --> 03:20:08.874]  Stay there.
[03:20:09.234 --> 03:20:09.695]  You're hosting.
[03:20:09.735 --> 03:20:13.156]  You are an individual with your own thoughts, decisions, and actions.
[03:20:13.476 --> 03:20:18.297]  So why should you be penalized for not enrolling in the subpar health insurance mandated by the government?
[03:20:18.578 --> 03:20:19.618]  Be truly independent.
[03:20:19.898 --> 03:20:21.599]  Visit LibertyOnCall.org.
[03:20:21.999 --> 03:20:29.642]  LibertyOnCall.org is a bold, innovative alternative allowing you to take back control and make your own decisions about your health care.
[03:20:29.902 --> 03:20:31.483]  Mention this ad when you call to learn more.
[03:20:31.503 --> 03:20:31.683]  800-714-6993.
[03:20:31.743 --> 03:20:31.923]  That's 800-714-6993.
[03:20:31.963 --> 03:20:32.583]  LibertyOnCall.org.
[03:20:32.603 --> 03:20:33.023]  Call today!
[03:20:39.446 --> 03:20:52.556]  So I found out the other day that at Guns80.com a lot of people don't get the Ghost AR-15 rifle kits because they're afraid that they won't be able to do the machining work required to drill out and make ready the lower.
[03:20:52.776 --> 03:20:56.899]  Well listen, guys, gals, I am not that good of a machinist, I promise you.
[03:20:57.179 --> 03:21:03.523]  But I was able to take a drill press with an XY table and knock this out in about 45 minutes and in all honesty, mine looks really good.
[03:21:03.824 --> 03:21:05.585]  Go get yours, don't be afraid, it's easy.
[03:21:05.645 --> 03:21:05.985]  Guns80.com.
[03:21:06.005 --> 03:21:06.726]  Go to Guns80.com now.
[03:21:08.925 --> 03:21:18.813]  Most of the InfoWars radio listening audience is aware of the high quality, affordable firearms available that are made right here in America at htfirearms.com.
[03:21:19.013 --> 03:21:25.017]  One of the most exciting things about htfirearms.com is the ability to upgrade your AR-15 platform today.
[03:21:25.118 --> 03:21:27.279]  They call it their low-profile platform.
[03:21:27.379 --> 03:21:30.642]  PVX muzzle brakes, proven to help control muzzle rise.
[03:21:31.963 --> 03:21:34.505]  6061 billet material with type 3 hard coating.
[03:21:34.746 --> 03:21:38.028]  Bolt carrier group for .308 and .556 ARs.
[03:21:38.369 --> 03:21:39.630]  Custom Kydex holsters.
[03:21:39.950 --> 03:21:44.775]  Ideal for concealed carry with .080 thick Kydex to ensure durability.
[03:21:44.795 --> 03:21:46.536]  Most competitor's material use .060.
[03:21:47.097 --> 03:21:50.480]  Configure yours today at hcfirearms.com.
[03:21:50.700 --> 03:21:52.602]  And my favorite, single stage trigger.
[03:21:52.742 --> 03:21:56.145]  A home run upgrade for your AR-15 and AR-10 platforms.
[03:21:56.385 --> 03:22:00.226]  Find out more at HDfirearms.com today or call 770-485-7015.
[03:22:00.566 --> 03:22:08.087]  That's HDfirearms.com or call 770-485-7015.
[03:22:08.627 --> 03:22:13.888]  Many experts are predicting that food prices will surge this year due to the severe drought in California.
[03:22:14.428 --> 03:22:25.670]  30dayfoodsupply.com has pre-purchased a large supply of ingredients so we can continue to sell our 30-day food supply for only $99 and there's no limit to the number of boxes you can purchase.
[03:22:26.090 --> 03:22:32.432]  Our vegetarian meals are naturally high in fiber, carbs and protein and they're packed with oxygen absorbers and mylar bags.
[03:22:32.812 --> 03:22:35.633]  Oregon Trail Foods and 30dayfoodsupply.com.
[03:22:35.973 --> 03:22:41.435]  Keep prices low by buying directly from the producers in Oregon and then pass the savings on to you.
[03:22:41.795 --> 03:22:44.276]  Call 800-700-2184 and remember only $10 ships your entire order to the lower 48.
[03:22:44.376 --> 03:22:44.896]  Visit the website
[03:22:50.598 --> 03:22:52.420]  That's 30dayfoodsupply.com or call 800-700-2184.
[03:22:52.440 --> 03:22:53.461]  That's 30dayfoodsupply.com at 800-700-2184.
[03:22:53.481 --> 03:22:54.402]  800-700-2184 for 30dayfoodsupply.com.
[03:23:08.496 --> 03:23:12.740]  Most of us already know that taking a fish oil supplement to boost omega-3s is a good idea.
[03:23:12.920 --> 03:23:16.823]  But did you know that about 60% of Americans are actually deficient in omega-3s?
[03:23:16.983 --> 03:23:24.169]  Did you know that most fish oil products contain only about 25% omega-3s and the remaining 75% is undesirable fish fat?
[03:23:24.349 --> 03:23:29.373]  Heck, did you know that more than 90% of fish oil supplements sold in the USA are not even made here?
[03:23:29.593 --> 03:23:37.539]  If you want to boost your omega-3s using the finest American-made fish oil, check out Nutrigold fish oil supplements on www.fishoil.best.
[03:23:38.280 --> 03:23:43.504]  Nutrigold fish oils are independently 5-star certified and guaranteed to be exceptionally pure.
[03:23:43.644 --> 03:23:45.085]  That means no more fish burps.
[03:23:45.265 --> 03:23:51.149]  Best of all, just one Nutrigold fish oil capsule contains more Omega-3s than four standard fish oil capsules.
[03:23:51.329 --> 03:24:01.395]  Go to www.fishoil.best or call 888-920-1497 and use promo code BESTFISHOIL to get a free one-month supply.
[03:24:01.556 --> 03:24:05.018]  That's www.fishoil.best or call 888-920-1497.
[03:24:19.546 --> 03:24:20.847]  All right, we are live.
[03:24:21.167 --> 03:24:23.629]  It's the fourth hour of the Alex Jones Show.
[03:24:23.689 --> 03:24:32.134]  I'm your host Rob Dew, sitting in here in the original radio studio that we built back in January 2009 and December 2008.
[03:24:33.955 --> 03:24:36.877]  Moved in here when I started in February.
[03:24:37.297 --> 03:24:42.481]  It was just one little part of a building and slowly with your help and your support we've been able to expand
[03:24:43.121 --> 03:24:43.901]  I don't think so.
[03:25:01.627 --> 03:25:02.567]  This is a short segment.
[03:25:02.607 --> 03:25:04.048]  I've got Leanne McAdoo in the control room.
[03:25:04.068 --> 03:25:07.890]  We're going to play some clips that I saw from a report that RT put out.
[03:25:08.510 --> 03:25:16.374]  And they kind of sound a lot like what we're doing here at InfoWars, but you don't see any of these angles coming out of the mainstream media here in the United States.
[03:25:16.714 --> 03:25:17.834]  Well, now there's football season.
[03:25:17.894 --> 03:25:19.035]  Now there's deflategate.
[03:25:19.055 --> 03:25:22.556]  We can just keep talking about these issues nonstop that really don't mean anything.
[03:25:24.150 --> 03:25:26.132]  I want to get into that starting off.
[03:25:26.172 --> 03:25:31.938]  We're also going to get into a little bit of information about the food babe coming up probably towards the end of the hour.
[03:25:32.259 --> 03:25:33.120]  But thank you for joining us.
[03:25:33.140 --> 03:25:34.761]  This first video I want to get into.
[03:25:34.781 --> 03:25:35.402]  Here's the article.
[03:25:35.762 --> 03:25:39.987]  ISIS fears hungry TV reports suggest militants posing as refugees crossing to Europe.
[03:25:40.267 --> 03:25:46.113]  This is something we've been telling you all about for a long time that ISIS is going to use and
[03:25:46.954 --> 03:25:54.175]  Be infiltrating into Europe and then also coming into the United States going in through the southern border because it's basically wide open.
[03:25:55.208 --> 03:25:58.769]  It's basically controlled by drug dealers so they can come into South America.
[03:25:58.789 --> 03:26:18.994]  I remember we were playing a clip and covering that a general, and this is back January, February of this year, it might even have been the end of last year, where a general was talking about how they were finding guys from Africa who were getting into Central America and then getting on the beast train coming up into the United States unfettered as long as they paid their way.
[03:26:19.494 --> 03:26:21.995]  So this is how ISIS is going to get into America.
[03:26:22.275 --> 03:26:23.595]  We've seen the attack in Dallas.
[03:26:23.975 --> 03:26:27.356]  So they're already ramping this stuff up and now they are in Europe.
[03:26:27.596 --> 03:26:29.237]  And let's go to this first clip from RT.
[03:26:29.257 --> 03:26:31.077]  This is RT ISIS in Europe.
[03:26:31.758 --> 03:26:38.559]  There is alarm in Europe over allegations that Islamic State militants are infiltrating the continent by blending with crowds of migrants.
[03:26:38.920 --> 03:26:47.322]  One Hungarian TV network is even reporting that the security services have detained two militants who revealed their identities in photos on social media.
[03:26:49.683 --> 03:26:57.045]  And so he's speaking Hungarian there.
[03:26:58.605 --> 03:27:02.647]  But what he's saying is Islamist terrorists disguised as refugees have shown up in Europe.
[03:27:03.147 --> 03:27:05.988]  And he was showing some pictures that were uploaded to Facebook.
[03:27:06.008 --> 03:27:07.588]  I actually have some more photos.
[03:27:07.808 --> 03:27:09.129]  It's clip number three, guys.
[03:27:09.289 --> 03:27:10.329]  ISIS Europe photos.
[03:27:10.829 --> 03:27:12.109]  Let's just go ahead and roll that right now.
[03:27:12.129 --> 03:27:12.730]  And you can see
[03:27:14.130 --> 03:27:14.550]  No, we're good.
[03:27:37.677 --> 03:27:39.738]  So I think it's just very telling.
[03:27:39.758 --> 03:27:41.760]  I also want to show you this clip.
[03:27:41.780 --> 03:27:45.262]  This is after they show the clip of the camera woman tripping the migrants.
[03:27:45.382 --> 03:27:49.624]  People are saying she's horrible and she got fired for doing that.
[03:28:01.656 --> 03:28:06.957]  And maybe she should not have interfered, but I think at a gut level, she said, look, these people are just pouring into my country.
[03:28:07.578 --> 03:28:08.458]  I got to do something.
[03:28:08.758 --> 03:28:13.379]  And as a journalist covering it, then I guess she also felt she had to step into the fray and she did trip a couple of people.
[03:28:13.679 --> 03:28:19.081]  I don't agree that she should have been tripping people, but I understand where she's coming from trying to defend her country.
[03:28:19.321 --> 03:28:20.721]  But let's go to clip four.
[03:28:20.761 --> 03:28:23.502]  This shows the mess that the migrants are leaving behind.
[03:28:23.522 --> 03:28:27.143]  And I just want you to look at the quality of tents that the migrants are being supplied with.
[03:28:27.915 --> 03:28:34.160]  Many of the migrants gave up waiting for buses to take them into a refugee camp and tried to break through police lines.
[03:28:34.360 --> 03:28:39.123]  Hundreds fled into the surrounding cornfields, aiming to reach Budapest on foot.
[03:28:39.223 --> 03:28:43.226]  But this is what was left behind when the refugees continued their journey.
[03:28:43.487 --> 03:28:49.411]  Images of trash strewn roadsides like these are being spread online, along with plenty of criticism.
[03:28:49.471 --> 03:28:52.873]  But migrants say they simply had nowhere to put it.
[03:28:53.294 --> 03:28:57.057]  This is just one of the latest developments in the continent's ongoing crisis.
[03:28:58.080 --> 03:29:01.743]  Well, I'm interested to find out who is supplying them with brand new tents.
[03:29:01.803 --> 03:29:08.628]  They look like they just went to Academy or REI or something like that and just loaded up with brand new tents that they're being given.
[03:29:08.648 --> 03:29:09.768]  They're being given these from somewhere.
[03:29:10.209 --> 03:29:15.813]  Maybe there's a guy at the docks in Syria passing out tents as they go along.
[03:29:16.453 --> 03:29:24.919]  Interestingly, there's a graph, and I don't have it in front of me now, but it was like 77% of the refugees are men coming in, which is
[03:29:25.780 --> 03:29:26.741]  That is not families.
[03:29:26.942 --> 03:29:32.368]  That is mostly men coming in and they're doing that so they can disguise the fighters that are coming in.
[03:29:32.629 --> 03:29:33.530]  They're blending them in.
[03:29:33.570 --> 03:29:35.152]  It's really, really disturbing.
[03:29:35.853 --> 03:29:39.837]  Also, I want to cover, this is something we tweeted out a couple days ago.
[03:29:39.857 --> 03:29:43.882]  Guys, I'm going to bring up the tweet over here and it was from
[03:29:45.438 --> 03:29:56.311]  Paul Joseph Watson showing how Saudi Arabia, Bahrain, Qatar, Kuwait, United Arab Emirates, Oman, it's up right now, are not letting in any of these migrants into their countries.
[03:29:56.331 --> 03:29:59.715]  They're keeping their borders closed and we're going to talk about that widely in marketing when we come back.
[03:29:59.735 --> 03:30:00.195]  We're on the march.
[03:30:00.215 --> 03:30:01.817]  The empire's on the run.
[03:30:02.738 --> 03:30:05.442]  Alex Jones and the GCN Radio Network.
[03:30:09.676 --> 03:30:18.758]  Schools in Germany are ordering teenage girls not to wear miniskirts or shorts as to avoid offending Muslim immigrants.
[03:30:19.139 --> 03:30:29.501]  Parents were warned that their children should not wear revealing clothes for fear of misunderstandings that could lead to attacks by the migrants.
[03:30:29.821 --> 03:30:35.443]  Children were also told that derogatory or racial remarks will not be tolerated.
[03:30:36.263 --> 03:30:52.736]  The letter was actually sent out at the end of June, but it is drawing fresh attention in the light of Germany's plan to accept 800,000 new migrants before the end of the year, and 500,000 a year for the foreseeable future.
[03:30:53.076 --> 03:31:04.125]  InfoWars has been contacted by families in Germany who say that their schools are telling girls not to wear shorts, even in hot weather, to prevent sexual assaults by immigrants.
[03:31:04.545 --> 03:31:08.508]  Need to learn more about this story right now at InfoWars.com.
[03:31:09.468 --> 03:31:12.450]  A clean, toxic-free body is the foundation of true health.
[03:31:12.731 --> 03:31:22.377]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[03:31:22.677 --> 03:31:27.841]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[03:31:28.001 --> 03:31:36.843]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[03:31:37.163 --> 03:31:45.785]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[03:31:46.045 --> 03:31:52.946]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[03:31:53.126 --> 03:31:59.350]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[03:31:59.530 --> 03:32:04.273]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[03:32:04.453 --> 03:32:06.394]  That's InfoWarsLife.com or call 888-253-3139.
[03:32:09.236 --> 03:32:14.260]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[03:32:14.380 --> 03:32:20.265]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[03:32:20.505 --> 03:32:25.089]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[03:32:25.289 --> 03:32:28.612]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[03:32:28.852 --> 03:32:30.433]  No needles, no injections.
[03:32:30.834 --> 03:32:35.457]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[03:32:39.120 --> 03:32:43.322]  Used since before the days of the Roman Empire to support the body's natural systems.
[03:32:43.482 --> 03:32:47.444]  Introducing the new Infowarslife.com oil of oregano formulation.
[03:32:47.644 --> 03:32:52.407]  We have now procured the most high quality and potent forms of oregano oil on the market.
[03:32:52.587 --> 03:32:57.089]  Extracted directly from the wild herb and sealed in easy to use capsules.
[03:32:57.249 --> 03:33:00.571]  You will no longer need to endure the burning of liquid oregano on the tongue.
[03:33:00.731 --> 03:33:04.033]  Now available in our limited first run at Infowarslife.com.
[03:33:04.193 --> 03:33:05.994]  That's Infowarslife.com or call 888-253-3139.
[03:33:30.714 --> 03:33:43.371]  So on September 7th, Real Alex Jones, or at Real Alex Jones at Twitter, tweeted out the number of refugees that were being admitted into these very rich, very well-off Middle Eastern countries.
[03:33:44.432 --> 03:33:47.997]  Ones that made their money essentially selling oil to the rest of the world.
[03:33:49.645 --> 03:33:54.488]  And now, and there's a reason behind that, and I'm going to get into more of that and why that reason is.
[03:33:54.528 --> 03:33:58.150]  We're going to get Liam McAdoo's take on these clips as well that I've been showing.
[03:33:59.031 --> 03:34:05.495]  But first, I just want to remind everybody out there that we are listener supported, and by becoming a PrisonPlanet.tv member,
[03:34:06.175 --> 03:34:07.896]  It supports everything you see here.
[03:34:08.437 --> 03:34:16.222]  All the TVs sending reporters out, the massive amounts of paper we print out every day to show you articles, to show you that this stuff is real and it's happening.
[03:34:17.383 --> 03:34:22.406]  The satellite system uplinks, which is why we're throwing the money bomb on September 16th and 17th.
[03:34:22.886 --> 03:34:24.147]  That's going to be a really big event.
[03:34:24.167 --> 03:34:31.172]  We're going to go for 28 hours straight broadcasting here in all the different studios, and it's going to be quite a feat.
[03:34:31.572 --> 03:34:35.635]  We haven't done one of these in a couple years, so I'm really excited to put on another one again.
[03:34:36.616 --> 03:34:38.520]  And I'm going to broadcast I think two different times.
[03:34:39.021 --> 03:34:44.332]  One late at night and then early in the morning with Paul Joseph Watson right before the radio show.
[03:34:45.356 --> 03:34:45.856]  But there it is.
[03:34:45.936 --> 03:34:47.537]  We want to raise $1,000,000 to reach $400,000,000.
[03:34:47.957 --> 03:34:50.159]  And we can't do that without your help.
[03:34:50.179 --> 03:34:53.020]  So go to Infowars.com forward slash money bomb.
[03:34:53.320 --> 03:34:58.703]  You can already start contributing if you feel like it, or just wait for the money bomb day on the 16th and 17th.
[03:34:59.383 --> 03:35:09.429]  And by doing this, it's going to allow us to pay for the cost associated with sending a signal into a space to a satellite that can then go all over North America.
[03:35:09.449 --> 03:35:11.610]  That's Canada, the United States, Mexico.
[03:35:12.150 --> 03:35:13.811]  And we can really wake up a lot of people.
[03:35:13.831 --> 03:35:18.674]  It'll actually be more than 400 million people if we're able to get on all the local stations out there.
[03:35:19.214 --> 03:35:23.277]  So, I encourage you to participate in the Money Bomb on September 16th and 17th.
[03:35:23.317 --> 03:35:26.319]  You can go to InfoWars.com forward slash Money Bomb.
[03:35:26.619 --> 03:35:31.082]  If you're listening to this on the radio right now and your radio station is carrying the fourth hour, call them up and thank them.
[03:35:31.542 --> 03:35:39.087]  If you are watching this at InfoWars.com forward slash show where we put out the free stream that then recycles for 24 hours until the next show,
[03:35:40.187 --> 03:35:45.610]  Call your local station and ask them to take the 4th hour because we're now going to be doing the 4th hour every day.
[03:35:45.630 --> 03:35:49.871]  You will now get a bonus 4th hour of Overdrive of the Alex Jones Show.
[03:35:49.911 --> 03:35:51.312]  He did it for a while and then he stopped.
[03:35:51.632 --> 03:35:52.833]  Every once in a while he'd do Overdrive.
[03:35:52.853 --> 03:35:56.354]  Well now, Alex put the word out that we are going to be doing this every day.
[03:35:56.414 --> 03:35:59.936]  So it'll be myself, Liam McAdoo, Jakari Jackson, David Knight.
[03:36:00.576 --> 03:36:03.198]  Joe Biggs, Anthony Gucciardi, sitting in here hosting.
[03:36:03.599 --> 03:36:06.201]  It's been a real pleasure for me to be hosting this the last few days.
[03:36:06.881 --> 03:36:09.684]  It's really exciting, and especially after a few days you really get used to it.
[03:36:10.104 --> 03:36:11.765]  But now I want to go back to those videos.
[03:36:11.825 --> 03:36:13.006]  Leanne McAdoo, are you there?
[03:36:13.127 --> 03:36:24.356]  And what do you think of what has been going on now that, you know, it looks like RT is, you know, almost parroting InfoWars with the information we're putting out, but we don't see this anywhere in the mainstream media here in the United States.
[03:36:24.830 --> 03:36:30.513]  Right, well that's the exact same thing we were experiencing with the illegal immigration issues at our own border.
[03:36:30.533 --> 03:36:45.562]  That they didn't want anyone to know that criminals were coming through and drugs are coming through and you know they just want you to see the images of the young children and the families because that's how they can convince you to go along with the globalist solution.
[03:36:45.903 --> 03:36:47.664]  They create the chaos and then
[03:36:48.924 --> 03:36:55.027]  You know, the solution is this globalist, borderless world that they control.
[03:36:55.367 --> 03:36:55.648]  Right.
[03:36:55.988 --> 03:37:00.910]  Where you can't say anything bad about Muslims, but they can cut your head off if they don't like you.
[03:37:00.950 --> 03:37:02.131]  Or they can cut your hands off.
[03:37:02.171 --> 03:37:03.832]  Or they can make women cover up.
[03:37:03.912 --> 03:37:08.034]  Or if you're in Germany, you're not allowed to wear a skirt now because you might offend somebody.
[03:37:08.334 --> 03:37:11.335]  But they can do whatever they want because, you know, they're Muslims.
[03:37:11.355 --> 03:37:12.716]  And I'm not trying to single out Muslims.
[03:37:12.736 --> 03:37:14.457]  That's how the political correctness culture
[03:37:15.417 --> 03:37:15.978]  Breeds itself.
[03:37:15.998 --> 03:37:20.120]  It could be any group that they perceive is being hassled by the system.
[03:37:20.601 --> 03:37:27.305]  Now I want to go to this clip here talking about, you know, we tweeted out that no migrants were accepted by these countries.
[03:37:27.325 --> 03:37:29.106]  We were actually lying.
[03:37:29.146 --> 03:37:30.247]  It's actually changed now.
[03:37:31.388 --> 03:37:34.930]  Apparently they're opening their borders up and let's see how many they're accepting now.
[03:37:34.950 --> 03:37:36.231]  This is no Mideast help.
[03:37:39.735 --> 03:37:41.436]  ...flow of migrants from the Middle East.
[03:37:41.536 --> 03:37:44.758]  Gulf states are coming under fire for keeping their borders closed.
[03:37:45.159 --> 03:37:50.322]  Human Rights Watch has criticized wealthy Arab nations for refusing to take in asylum seekers.
[03:37:51.583 --> 03:38:02.650]  The countries do provide significant financial and humanitarian help to people affected by Middle East conflicts, but are keeping their doors firmly shut since the war in Syria started in 2011.
[03:38:03.191 --> 03:38:09.675]  Kuwait has accepted just seven refugees, the United Arab Emirates 16, and Saudi Arabia only four.
[03:38:10.175 --> 03:38:11.716]  All right, so we stand corrected.
[03:38:11.736 --> 03:38:12.757]  We have to correct ourselves.
[03:38:12.797 --> 03:38:21.281]  We had zeros for everybody, the big donut, but it's actually 27 migrants have been brought into those countries.
[03:38:21.301 --> 03:38:31.307]  27 compared to the hundreds of thousands that are heading to Europe through Turkey, going in through Eastern Europe, going into Greece and the island of Lesbos, where you have
[03:38:31.827 --> 03:38:34.309]  Syrian refugees have turned Lesbos into a war zone.
[03:38:34.369 --> 03:38:39.874]  Residents claim as migrants chant FU at Hungarian police amid fears ISIS using the crisis to enter Europe.
[03:38:40.414 --> 03:38:42.176]  That came out today in the Daily Mail.
[03:38:43.488 --> 03:38:45.290]  And it's just amazing.
[03:38:45.330 --> 03:38:47.032]  What do you make of that?
[03:38:47.713 --> 03:39:00.488]  There's a small trickle, Leanne, going into some of these well-off, high society... I guess there's no wars going on in any of those countries at this point, other than the oppression of their citizens.
[03:39:00.748 --> 03:39:01.850]  Leanne McAtee, what do you make of that?
[03:39:02.190 --> 03:39:06.031]  The economic war that's being waged against the citizenry there.
[03:39:06.051 --> 03:39:08.672]  It's just frightening to me.
[03:39:08.692 --> 03:39:13.613]  I mean, you see those, the lifeboats that are sinking with all those people on board.
[03:39:13.633 --> 03:39:20.475]  I mean, that's the perfect metaphor for countries that can't afford to bring in more people.
[03:39:21.015 --> 03:39:25.697]  Or, you know, countries like Hungary, they say, well, we're a Christian foundation.
[03:39:26.077 --> 03:39:30.498]  So if we bring a lot of people in who are going to fundamentally change our society,
[03:39:31.378 --> 03:39:32.959]  You're in a sinking lifeboat.
[03:39:33.960 --> 03:39:34.881]  It's just frightening.
[03:39:36.002 --> 03:39:43.647]  And meanwhile, you have, and this came out in the Washington Times, which I'm surprised they report on it, agents say 20% of illegals caught at border have criminal records.
[03:39:44.107 --> 03:39:48.611]  So what Donald Trump was saying is actually partially correct.
[03:39:49.031 --> 03:39:58.718]  20% of the ones that they catch at least, and we've talked to border agents, we've sent our guys down there, and they say they think they catch about half of the people that come across illegally.
[03:39:59.178 --> 03:39:59.679]  So you've got
[03:40:00.379 --> 03:40:00.639]  Maybe 40%.
[03:40:01.579 --> 03:40:05.101]  Maybe even larger numbers of people that aren't being caught that are criminals.
[03:40:05.141 --> 03:40:05.721]  We shot that.
[03:40:06.001 --> 03:40:21.026]  That's a picture that our camera guy Josh Owens and Joe Biggs, when they were down at the border, shot that of those guys coming across the border, dumping in what looks like 50 kilo batches wrapped up into a car.
[03:40:21.046 --> 03:40:23.867]  That car takes off right in broad daylight.
[03:40:24.207 --> 03:40:25.468]  And the border agents that were there
[03:40:26.826 --> 03:40:29.089]  Leave five minutes before the shipment arrives.
[03:40:29.189 --> 03:40:30.491]  Very coincidental.
[03:40:31.690 --> 03:40:36.753]  And this political correctness goes all the way, how you're not allowed to say anything bad about the migrants, you're going to be criticized.
[03:40:37.093 --> 03:40:41.216]  Well, I think we should bring all this stuff out, that ISIS is using this as a smokescreen to enter countries.
[03:40:41.276 --> 03:40:43.738]  And no, we're not being racist about it.
[03:40:43.938 --> 03:40:49.441]  And maybe some of these Mideastern countries that are causing the problem, okay, they're actually causing the problem.
[03:40:49.481 --> 03:40:50.442]  Let's look at this last clip.
[03:40:50.482 --> 03:40:52.563]  This is how the Saudi border is set up.
[03:40:53.004 --> 03:40:57.466]  Now, they want to fund all these radical Islamic movements, but then they don't want to take any of the fallout.
[03:40:57.486 --> 03:40:58.167]  So here's that clip.
[03:40:58.627 --> 03:41:03.088]  Saudis are putting up a 900 kilometer razor wire fence on the border with Iraq.
[03:41:03.648 --> 03:41:07.950]  There are also underground movement sensors capable of triggering silent alarms.
