[00:00:16.411 --> 00:00:21.113]  Ladies and gentlemen, Owen Schroyer here hosting the Alex Jones Show.
[03:11:05.709 --> 03:11:17.093]  And quickly goes into this book discussing how they had basically taken over where they wanted to steer the British Empire and then, by extension, the Anglo-American Empire and establishment.
[03:11:17.093 --> 03:11:20.054]  So, that's the superstructure.
[03:11:20.054 --> 03:11:23.155]  You want to know who the real, quote, Illuminati is, the real specter?
[03:11:23.155 --> 03:11:25.056]  That's it, right there, publicly.
[03:11:25.749 --> 03:11:31.413]  In Quigley's book, and of course Quigley's other book discusses the American branch of this.
[03:11:31.413 --> 03:11:53.429]  That's what Tragedy and Hope is about, is it's a kind of a large apologetic treatise giving an account for why the CFR, why the Rockefeller power structure in the US, which is allied with this British elite power structure in the UK, how this superstructure wanted to reorganize the world into a global government.
[03:11:53.429 --> 03:11:54.650]  It's very clear, very public.
[03:11:56.535 --> 03:11:57.837]  No doubt about it.
[03:11:57.837 --> 03:12:04.222]  And that's just one key example of who was running the show a hundred years ago and what they had planned.
[03:12:04.222 --> 03:12:06.043]  And it was to set up a global government.
[03:12:06.043 --> 03:12:09.146]  So that's rule number one, Ten Commandments number one.
[03:12:09.146 --> 03:12:22.477]  Thou shalt have no other entities or beliefs or governments or systems or allegiances other than Hail Hydra, Hail Spectre, Hail Spectre!
[03:12:22.477 --> 03:12:24.419]  Now what about other texts that
[03:12:25.094 --> 03:12:27.436]  Align with this, to show us the same idea.
[03:12:27.436 --> 03:12:35.161]  Well, you probably heard me mention before, David Rockefeller wrote a famous gigantic book called Memoirs.
[03:12:35.161 --> 03:12:50.311]  This is his whole autobiography of all the exploits and things that he did and how he went and did all these things in China when China was a communist country and how he set up the first Chase Bank in communist China and blah blah blah blah blah.
[03:12:51.618 --> 03:12:56.160]  You've probably heard of this, but there's a famous chapter towards the middle of the book called Proud Internationalist.
[03:12:56.160 --> 03:13:03.844]  And Proud Internationalist is the chapter where he says that my whole family, we were always dedicated to setting up a global government.
[03:13:03.844 --> 03:13:05.504]  I'm proud of that.
[03:13:05.504 --> 03:13:08.266]  And if people want to call it a conspiracy, I don't really care.
[03:13:08.266 --> 03:13:10.326]  It's not a conspiracy because it's open.
[03:13:10.326 --> 03:13:11.487]  It's the open conspiracy.
[03:13:12.358 --> 03:13:22.021]  And he says that when you look at entities like the Council on Foreign Relations, when you look at entities like the Bilderberg Group, he says, these are all part of the network that we set up.
[03:13:22.021 --> 03:13:25.682]  Indeed, his family donated the land for the United Nations.
[03:13:25.682 --> 03:13:38.266]  And so everything that you're seeing come out of this, these networks, these global trilateral commission style networks, these steering committees, these groups, this is the Eastern seaboard elites
[03:13:39.113 --> 03:13:46.435]  Branch of the same thing going on with what Quigley's talking about in the Anglo-American establishment, and it's all there in those two books.
[03:13:46.435 --> 03:13:56.917]  So we can see right away that there's clearly a call for an international global government run by this same power structure.
[03:13:56.917 --> 03:14:06.179]  Another text that we covered last time that talks about this was the HG Wells text that you heard me doing all my rants about.
[03:14:08.152 --> 03:14:10.533]  I was the New World Order, right?
[03:14:10.533 --> 03:14:11.874]  In fact, H.G.
[03:14:11.874 --> 03:14:15.436]  Wells was a propagandist for this same power structure.
[03:14:15.436 --> 03:14:25.901]  He was working as a propagandist at the behest of this exact same elite, in this case in the UK, the UK branch of this superstructure that I was telling you about.
[03:14:25.901 --> 03:14:27.681]  And he was also very open about this.
[03:14:27.681 --> 03:14:29.662]  This is not a conspiracy theory.
[03:14:29.662 --> 03:14:31.743]  It's the what?
[03:14:31.743 --> 03:14:32.804]  Open conspiracy.
[03:14:34.079 --> 03:14:46.583]  So when people try to understand geopolitics, to try to understand how the world really works, how are you going to do it if you don't know about this hundred plus year plan that is right now being enacted in front of us?
[03:14:46.583 --> 03:14:49.244]  If you've not read these books, you wouldn't know that, right?
[03:14:49.244 --> 03:14:52.484]  And by the way, people that go and study international relations, they don't read these books.
[03:14:52.484 --> 03:14:54.605]  They don't read David Rockefeller's memoirs.
[03:14:54.605 --> 03:14:56.706]  They don't read Carol Quigley.
[03:14:56.706 --> 03:15:00.907]  They read whatever they're told to read by their sanitized, compartmentalized professors.
[03:15:01.863 --> 03:15:06.906]  So, here you have, again, people sort of in the outer sphere.
[03:15:06.906 --> 03:15:07.106]  H.G.
[03:15:07.106 --> 03:15:09.707]  Wells would be one of the helpers of this elite, right?
[03:15:09.707 --> 03:15:11.708]  He's not at the top of the pyramid.
[03:15:11.708 --> 03:15:20.813]  He's one of the helpers that would be committed to this number one commandment here, the necessity to bring in a global government.
[03:15:20.813 --> 03:15:26.296]  And you'll notice that at this level, the allegiances transcend national boundaries or ideologies.
[03:15:26.886 --> 03:15:47.180]  Now, there's some ideologies, that's what we're doing here in the 10 Points, but the allegiance here, the ideology here, is nothing parochial, nothing provincial, nothing religious, except ultimately there is a kind of religion here, which we'll see in a little bit, but no, it's number one, you have to be committed to a global government.
[03:15:47.180 --> 03:15:49.242]  And so when we come back, we'll look at some more examples.
[03:15:49.242 --> 03:15:52.384]  What are the other nine commandments here at the Alex Jones Show?
[03:15:52.384 --> 03:15:55.266]  Don't go anywhere, I'm your guest host, Jay Dyer, jaysandalsons.com.
[03:15:56.272 --> 03:16:04.035]  The globalists are bombarding us with propaganda and with spiritual warfare and with poisons and chemicals added to the foods.
[03:16:04.035 --> 03:16:05.535]  It's all come out.
[03:16:05.535 --> 03:16:12.318]  And they're doing that, not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[03:16:12.318 --> 03:16:15.539]  And the social engineers fear that so much.
[03:16:15.539 --> 03:16:21.301]  So that's why I repeat that famous internet saying that nobody knows who first came up with, but boy, is it true.
[03:16:23.214 --> 03:16:29.017]  The propaganda would not be necessary if the situation was hopeless.
[03:16:29.017 --> 03:16:41.244]  They need all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong and they know in the end they signed on the god of this world who is a loser.
[03:16:41.784 --> 03:16:45.710]  And that's why it's so important that everybody keep Infowars in the air now more than ever.
[03:16:45.710 --> 03:16:51.397]  Because even if you don't believe in God, what the globalists are manifesting and setting up is shape-shifting.
[03:16:51.397 --> 03:16:55.202]  And we are opposing the one world government and the Mark of the Beast they just announced.
[03:16:56.292 --> 03:17:03.219]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life.
[03:17:03.219 --> 03:17:09.085]  InfoWars has made it easier to make sure you are getting enough in your system with a supplement that contains both.
[03:17:09.085 --> 03:17:15.451]  This InfoWars Life Offering Vitamin C Plus Zinc with Rose Hips should be your next purchase from the InfoWars store.
[03:17:15.771 --> 03:17:22.835]  The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[03:17:22.835 --> 03:17:33.102]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery, studies have shown.
[03:17:33.542 --> 03:17:42.552]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[03:17:42.552 --> 03:17:49.139]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[03:17:49.139 --> 03:17:55.346]  So next time you visit, be sure to check it out at InfoWarsStore.com, where we promise our rose hips don't lie.
[03:17:55.566 --> 03:17:59.769]  I never compromise the quality of ingredients we put in InfoWars live products.
[03:17:59.769 --> 03:18:03.331]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[03:18:03.331 --> 03:18:05.933]  And we could never get the ingredients again.
[03:18:05.933 --> 03:18:06.894]  Until now.
[03:18:06.894 --> 03:18:12.598]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[03:18:12.978 --> 03:18:16.741]  So out of all the bone broths out there, I'm telling you, this is next level.
[03:18:16.741 --> 03:18:17.982]  Listen to what it's got in it.
[03:18:17.982 --> 03:18:23.166]  Cutting edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[03:18:23.166 --> 03:18:32.673]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[03:18:32.673 --> 03:18:36.836]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[03:18:36.836 --> 03:18:39.278]  I mean, this sucker has got everything for your electrolytes.
[03:18:39.278 --> 03:18:39.598]  It's got
[03:18:39.838 --> 03:18:40.078]  I think so.
[03:18:55.672 --> 03:18:58.534]  It's time to protect your privacy.
[03:18:58.534 --> 03:19:12.523]  It's time to come to grips with the fact that even though you don't have anything to hide, criminals, hackers, corporations, big tech, government are stealing all of your data and creating a map and a database of where you go and what you do.
[03:19:12.523 --> 03:19:16.946]  So in the future, under their globalist takeover, they can shut you down.
[03:19:16.946 --> 03:19:25.332]  Protecting your privacy, protecting your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's on your phone is paramount.
[03:19:25.832 --> 03:19:28.553]  That's why everybody should visit InfoWarsTore.com.
[03:19:28.553 --> 03:19:37.235]  We're carrying a huge new line of very compliant, made-in-America products that have 100% reviews and are simply incredible.
[03:19:37.235 --> 03:19:38.256]  It's a 360 win.
[03:19:38.256 --> 03:19:44.197]  Protect your privacy and shop at InfoWars to support the overall InfoWars against the globalists.
[03:19:44.197 --> 03:19:45.998]  A true 360 win.
[03:19:45.998 --> 03:19:48.998]  Get your Faraday cages at InfoWarsTore.com.
[03:19:48.998 --> 03:19:50.079]  Check out the new line.
[03:19:50.079 --> 03:19:50.639]  It's amazing.
[03:19:56.812 --> 03:20:09.058]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[03:20:09.058 --> 03:20:13.901]  Welcome back to the Alex Jones Show.
[03:20:13.901 --> 03:20:14.981]  I'm your guest host, Jay Dyer.
[03:20:14.981 --> 03:20:17.923]  Today's analysis, we're talking about the Ten Commandments of the Global Elite.
[03:20:17.923 --> 03:20:22.205]  How to accurately, and in a helpful way, characterize
[03:20:24.685 --> 03:20:36.134]  The overall dogma is the Ten Commandments that if you're a member of this nefarious clique, you cannot question what you must be in agreement with.
[03:20:36.134 --> 03:20:41.098]  And the number two Ten Commandment of the elite is global medicine.
[03:20:41.098 --> 03:20:50.366]  There needs to be a global medical apparatus by which everybody's biosecurity can be controlled, determined, and even hacked.
[03:20:51.264 --> 03:20:55.750]  And you could go back to writings like Julian Huxley of the Huxley family.
[03:20:55.750 --> 03:20:57.973]  He wrote the Philosophy of UNESCO.
[03:20:57.973 --> 03:21:08.247]  This is the essay that really sets forth the whole attitude of what this body, this cultural wrecking ball of the United Nations, this arm of the elite here,
[03:21:09.068 --> 03:21:19.156]  Its purpose and its philosophy, he says, is ultimately to kind of recast the bad propaganda light that eugenics got as a result of World War II.
[03:21:19.156 --> 03:21:25.481]  Since we can't really use that word anymore, we'll move on to other ideas like biometrics, right?
[03:21:25.481 --> 03:21:32.386]  Biosecurity, ultimately, which we just saw in the document that we did on human augmentation last week.
[03:21:33.331 --> 03:21:42.219]  Now we're going to have a new approach to recasting eugenics as a kind of technocratic global health situation.
[03:21:42.219 --> 03:21:48.844]  So now it's your genome, you're really this virus machine, right?
[03:21:48.844 --> 03:21:50.666]  And that's what we've seen in the last couple years.
[03:21:50.666 --> 03:21:54.029]  And that idea really goes back to what Huxley's talking about here.
[03:21:54.850 --> 03:22:02.112]  In rebranding eugenics and racial hygiene into a biometrics, biosecurity state.
[03:22:02.112 --> 03:22:09.334]  That's also something that one of the global elite wrote in his books a long time ago that we talked about, Fritof Copra and Turning Point.
[03:22:09.334 --> 03:22:15.796]  He had multiple chapters in here discussing about how the medical system would really be the
[03:22:17.125 --> 03:22:18.866]  The same idea comes up in Copra that
[03:22:43.032 --> 03:22:49.016]  Now you begin to see that it's health that is the key fear factor here.
[03:22:49.016 --> 03:23:00.364]  If we can make health all about fear, make everybody into hypochondriacs basically, then we'll have a key way to bring in this new world order through global medicine.
[03:23:00.364 --> 03:23:03.466]  And remember, what did we just see in that human augmentation document?
[03:23:03.466 --> 03:23:04.066]  What did it say?
[03:23:04.066 --> 03:23:08.609]  It said that in the future, we're already here basically, but in the future, by 2030, 2050,
[03:23:10.734 --> 03:23:16.218]  You'll have the idea of health will be subsumed under biosecurity.
[03:23:16.218 --> 03:23:20.362]  And that's another way to get rid of individual rights and medical freedom.
[03:23:20.362 --> 03:23:25.305]  Because now, oh, we just don't understand it that way anymore because you're part of a collective, right?
[03:23:25.305 --> 03:23:30.069]  You don't have a right to your own health because your health is now a potential bioweapon.
[03:23:30.069 --> 03:23:31.630]  I'm not joking, right?
[03:23:31.630 --> 03:23:36.174]  So you want to understand a big part of what's going on right now with the last two years of stuff.
[03:23:37.074 --> 03:23:41.016]  With the CUFID and the STABIs, it's part of that.
[03:23:41.016 --> 03:23:55.184]  It's making human health part of biosecurity, ultimately subsuming it, and as the Human Augmentation Document says, we'll have to just alter everyone's ethic to understand that that's the old way of thinking.
[03:23:55.184 --> 03:24:00.327]  Everything has evolved and mutated now, and we're all just, you know, we're all toxic Avenger now.
[03:24:00.327 --> 03:24:05.790]  We're all just mutants, and we just can't have mutants running around mutating everywhere.
[03:24:07.142 --> 03:24:08.464]  You're a danger.
[03:24:08.464 --> 03:24:09.364]  You're a potential risk.
[03:24:09.364 --> 03:24:12.568]  What are the NATO cognitive warfare documents say?
[03:24:12.568 --> 03:24:13.329]  Remember that one?
[03:24:13.329 --> 03:24:17.193]  It said, oh, well, you might actually be an enemy combatant without even knowing it.
[03:24:17.193 --> 03:24:27.784]  So if you've been exposed to things on the Internet, you're a potential enemy combatant by which the establishment must target you with disinformation and psyops and psychological warfare.
[03:24:29.170 --> 03:24:45.057]  So global medicine and it being subsumed under things like Big Pharma was a key element, a key angle in this medical tyranny to be brought in as one of the Ten Commandments of the global elite.
[03:24:45.057 --> 03:24:49.879]  And they all discussed this by the way.
[03:24:49.879 --> 03:24:51.000]  Ten Commandment number three.
[03:24:51.894 --> 03:24:58.716]  What's one of the key commandments, the dogmas that you cannot question if you want to join this nefarious elite?
[03:24:58.716 --> 03:25:08.520]  Key commandment number three would be the necessity for a global economy and a global currency and an end to individual enterprise and trade.
[03:25:09.446 --> 03:25:12.088]  Now, you may say, well, wait a minute, why would they want that?
[03:25:12.088 --> 03:25:17.013]  Because don't the elite, aren't they neoliberal free market proponents?
[03:25:17.013 --> 03:25:18.694]  They were for a time period.
[03:25:18.694 --> 03:25:28.063]  And once that built this giant engine, this big superstructure of a global economy, that's when it needs to flip over into the lockdown phase.
[03:25:28.063 --> 03:25:32.787]  So yes, in a sense, there was a long time period from Adam Smith on up to where we had
[03:25:34.092 --> 03:25:44.359]  At least somewhat of an open market and somewhat of a freedom-based approach, a laissez-faire based approach, at least in principle and theory, to economics.
[03:25:44.359 --> 03:25:50.123]  And that allowed for the interlocking global order that we now have.
[03:25:50.123 --> 03:25:50.963]  But as H.G.
[03:25:50.963 --> 03:26:01.791]  Wells says, and this is something a lot of people have overlooked, they've missed this, and it comes up in one of his other texts that I haven't covered here on Alex's audience yet, but I've covered it on other talks that I've done.
[03:26:02.691 --> 03:26:05.992]  And that's in the book Open Conspiracy.
[03:26:05.992 --> 03:26:15.315]  He talks about how the world government is really something beyond the libertarian versus communist dialectic.
[03:26:15.315 --> 03:26:27.339]  And it's not that libertarianism and the people involved in that were all bad, and it's not that people who are opposed to it are all necessarily good or bad, but rather that these are two systems built on materialism.
[03:26:27.339 --> 03:26:31.560]  They're both systems that come out of and presuppose enlightenment materialism.
[03:26:32.265 --> 03:26:50.995]  And so the danger here is that the power that you have within a libertarian laissez-faire market is that it can build, it can construct these superstructures, something like big tech, that then can be turned into a means by which to enslave.
[03:26:51.881 --> 03:26:52.761]  And H.G.
[03:26:52.761 --> 03:27:14.627]  Wells, although I completely disagree with him, he was, in terms of his philosophy, his worldview, he was insightful enough to understand, and he actually rebuked the Marxists of his day, to say that, don't you idiots understand that it's global capitalism that will build the superstructure that we will take over to then bring in the New World Order, the technocracy.
[03:27:14.627 --> 03:27:15.867]  That's what he says.
[03:27:15.867 --> 03:27:20.648]  He says, don't worry so much about defeating the capitalists, just let them build the superstructure
[03:27:21.363 --> 03:27:25.505]  And then we will just simply utilize the technocratic order from within.
[03:27:25.505 --> 03:27:25.966]  Exactly.
[03:27:25.966 --> 03:27:34.470]  I mean, why do you think, again, the wealthiest people on the planet support Marxism, Socialism, Fascism, and these control structures?
[03:27:34.470 --> 03:27:36.611]  It's precisely for the very things I'm telling you.
[03:27:36.611 --> 03:27:38.192]  Because there is a plan.
[03:27:38.192 --> 03:27:39.153]  It's the same plan.
[03:27:39.153 --> 03:27:41.134]  Klaus says the exact same things H.G.
[03:27:41.134 --> 03:27:42.835]  Wells says a hundred years ago.
[03:27:42.835 --> 03:27:45.336]  You own nothing, you'll have nothing, you'll be happy.
[03:27:45.336 --> 03:27:47.537]  That's just basic bitch communism.
[03:27:47.537 --> 03:27:48.618]  That's what H.G.
[03:27:48.618 --> 03:27:50.119]  Wells said a hundred years ago, right?
[03:27:51.187 --> 03:27:53.588]  But you said, but they're not communist.
[03:27:53.588 --> 03:27:55.149]  How could it be?
[03:27:55.149 --> 03:27:58.110]  Because the wealthiest people on the planet support communism.
[03:27:58.110 --> 03:27:59.091]  Just get that through your head.
[03:27:59.091 --> 03:28:01.912]  Okay.
[03:28:01.912 --> 03:28:04.053]  So the global currency is absolutely necessary.
[03:28:04.053 --> 03:28:07.215]  And this is another thing that we've seen in the writings like
[03:28:08.726 --> 03:28:09.527]  Bertrand Russell.
[03:28:09.527 --> 03:28:11.048]  Bertrand Russell's books, right?
[03:28:11.048 --> 03:28:13.870]  He says that there'll be a global credit score.
[03:28:13.870 --> 03:28:15.852]  He said this a hundred years ago, back in the time of H.G.
[03:28:15.852 --> 03:28:16.733]  Wells and his writings.
[03:28:16.733 --> 03:28:19.014]  He says that you'll get a dole.
[03:28:19.014 --> 03:28:21.236]  You'll be on the global dole, right?
[03:28:21.236 --> 03:28:23.818]  Mark Zuckerberg will have you on the dole.
[03:28:23.818 --> 03:28:26.120]  All you've got to do is swipe your EBT.
[03:28:26.120 --> 03:28:27.001]  It's going to be great.
[03:28:27.001 --> 03:28:28.142]  Everything's free.
[03:28:28.142 --> 03:28:28.802]  It's going to be great.
[03:28:28.802 --> 03:28:30.183]  It's going to be UBI.
[03:28:30.183 --> 03:28:31.604]  That's my Mark Zuckerberg.
[03:28:31.604 --> 03:28:36.248]  And he's just saying exactly what Bertrand Russell said a hundred years ago in The Impact of Science on Society.
[03:28:36.949 --> 03:28:37.410]  We're good.
[03:28:56.391 --> 03:29:02.317]  Well, here we are in the year 2022, and InfoWars is now more important than it's ever been.
[03:29:02.317 --> 03:29:03.679]  We are truly in the zeitgeist.
[03:29:03.679 --> 03:29:13.349]  I want to thank you all for keeping us on the air, and I want to encourage you to take advantage of a true win-win situation, or a 360 win, as I've called it, at InfoWarsTour.com.
[03:29:13.349 --> 03:29:15.211]  Get high-quality supplements that make your body.
[03:29:15.811 --> 03:29:16.652]  I think so.
[03:29:38.169 --> 03:29:40.471]  Especially old folks, children.
[03:29:40.471 --> 03:29:42.592]  Everybody needs it, but especially old folks.
[03:29:42.592 --> 03:29:46.255]  Also, we have Vitamin C and Zinc with Rosehips.
[03:29:46.255 --> 03:29:47.736]  It's also back in stock.
[03:29:47.736 --> 03:29:49.518]  It's at 40% off.
[03:29:49.518 --> 03:29:58.164]  Both these are available at InfoWarshore.com and BrainForce Plus is back in stock as well at 40% off.
[03:29:58.164 --> 03:29:59.105]  This is a great sponsor.
[03:29:59.821 --> 03:30:05.226]  We have one of the best deals you're going to find out there on a high-quality, high-rated satellite phone.
[03:30:05.226 --> 03:30:09.890]  So you can't be tracked, you can't be traced, and it'll work anywhere in the world where you can see the sky.
[03:30:09.890 --> 03:30:14.274]  You can also buy cheap antennas and things for in your car, in your house, that also are on the site.
[03:30:14.274 --> 03:30:16.156]  Infowarsphone.com.
[03:30:16.156 --> 03:30:17.658]  That's just a site that takes you to these folks.
[03:30:17.658 --> 03:30:20.540]  They supply the board for everybody with their systems as well.
[03:30:20.540 --> 03:30:22.902]  They're amazing folks, and you get a free phone, a $650 value,
[03:30:24.824 --> 03:30:28.707]  Absolutely free at InfoWarsPhone.com.
[03:30:28.707 --> 03:30:30.908]  Smartphones are always tracking everything you do.
[03:30:30.908 --> 03:30:31.348]  These aren't.
[03:30:31.348 --> 03:30:33.330]  And the calls are free when folks call you.
[03:30:33.330 --> 03:30:37.212]  You just pay $99.95 a month for your minutes.
[03:30:37.212 --> 03:30:38.113]  150 minutes.
[03:30:38.113 --> 03:30:40.455]  So the calls you were free, it's like a regular cell phone.
[03:30:40.455 --> 03:30:41.635]  You're not being tracked or traced.
[03:30:41.635 --> 03:30:43.056]  And I keep one in my car.
[03:30:43.056 --> 03:30:44.897]  I've given them to my parents as gifts.
[03:30:44.897 --> 03:30:47.299]  Way out in the middle of nowhere where regular phones don't work, they work.
[03:30:47.299 --> 03:30:48.280]  InfoWarsPhone.com or 941-955-1020.
[03:30:48.280 --> 03:30:49.441]  941-955-1020 and ask the Alex Jones Special.
[03:30:56.084 --> 03:31:13.110]  I never compromise the quality of ingredients we put in InfoWars live products and that's why for more than two years we've been sold out of Ultimate Bone Broth and we could never get the ingredients again until now and we have reformulated and not just used the same ingredients we've boosted it and made them even stronger.
[03:31:13.470 --> 03:31:17.253]  So out of all the bone broths out there, I'm telling you, this is next level.
[03:31:17.253 --> 03:31:18.494]  Listen to what it's got in it.
[03:31:18.494 --> 03:31:23.678]  Cutting-edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[03:31:23.678 --> 03:31:33.185]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[03:31:33.185 --> 03:31:37.348]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[03:31:37.348 --> 03:31:39.790]  I mean, this sucker has got everything for your electrolytes.
[03:31:39.790 --> 03:31:40.110]  It's got
[03:31:40.350 --> 03:31:40.610]  We're good.
[03:31:56.585 --> 03:32:03.251]  Reset Wars was absolutely amazing and eye-opening.
[03:32:03.251 --> 03:32:14.963]  It really dives deeper into yourself and into the bigger picture that doesn't necessarily go across political lines or religious lines but about all of us as a human species coming together.
[03:32:14.963 --> 03:32:16.344]  I'm a combat veteran.
[03:32:16.784 --> 03:32:22.348]  And, uh, I mean, that brought me close to God, but what Alex goes through brought me even closer.
[03:32:22.348 --> 03:32:23.949]  I can feel God in my life now.
[03:32:23.949 --> 03:32:32.535]  The viruses that Alex talks to you about that are subconsciously programmed into your brain and how to erase those programs and, uh, install new.
[03:32:32.535 --> 03:32:37.138]  Reset Wars is a step beyond what you already get in regular InfoWars broadcasts.
[03:32:37.358 --> 03:32:43.643]  It's an academic level course that will raise your awareness and help you live a more conscious and self-determined life.
[03:32:43.643 --> 03:32:47.126]  If you're on the fence about Reset Wars, it's time to get off the fence.
[03:32:47.126 --> 03:32:57.054]  Join Reset Wars today.
[03:32:57.054 --> 03:33:02.959]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:10.842 --> 03:33:12.224]  Welcome back to the Alex Jones Show.
[03:33:12.224 --> 03:33:13.446]  I'm your guest host, Jay Dyer.
[03:33:13.446 --> 03:33:19.416]  Today's analysis, we're covering the Ten Commandments of the Global Elite, and we were just talking about the global currency.
[03:33:20.282 --> 03:33:47.963]  The idea of a completely controlled, tracked and traced economy, which we'd seen was spoken of back in the 20s and 30s by Bertrand Russell, was identical to the very things that 100 years later, right, we see in Klaus's 2018 book, Shaping of the Fourth Industrial Revolution, where he talks about a completely tracked and traced and carbon allotment based economy, which essentially shuts down production, shuts down growth,
[03:33:48.607 --> 03:33:58.735]  And that's because this is an austerity-based model, and that's the whole point of controlling the economy, controlling the flow of energy, because that's about reducing the population.
[03:33:58.735 --> 03:34:10.183]  Energy control, the energy sector, the climate control, the climate lockdowns, all that is, is just another way to reduce population massively by 2030 to 2050.
[03:34:10.183 --> 03:34:14.266]  So, what's the fifth global commandment after there, excuse me, the fourth?
[03:34:14.266 --> 03:34:16.828]  The global brain, the global Skynet,
[03:34:18.129 --> 03:34:25.033]  The interlinked human Borg operation where everybody is part of this giant hive mind.
[03:34:25.033 --> 03:34:26.113]  Where have we seen that?
[03:34:26.113 --> 03:34:29.055]  Well, we've actually seen that in many of these elite.
[03:34:29.055 --> 03:34:32.317]  Of course, everybody knows about Ray Kurzweil, right?
[03:34:32.317 --> 03:34:38.400]  Ray Kurzweil wrote The Singularity is Near, as well as The Age of Spiritual Machines, promoting transhumanism many years ago.
[03:34:39.247 --> 03:34:56.201]  And then, you know, as we've covered here, as Alex has covered for at least 20 years, Why the Future Doesn't Need Us by Bill Joy, who went to one of these meetings of the Silicon Valley elite where they discussed the creation of this post-human global brain order, and that not everybody would be allowed into that future.
[03:34:56.201 --> 03:35:01.045]  A lot of people have gotten rid of, a lot of people have got to be deleted.
[03:35:01.045 --> 03:35:06.270]  And so this Why the Future Doesn't Need Us text from the year 2000 by Bill Joy is really, again,
[03:35:08.231 --> 03:35:16.617]  In perfect harmony with what Klaus writes about 18-20 years later in the 4th Industrial Revolution, saying the exact same things.
[03:35:16.617 --> 03:35:24.743]  And this whole idea of using brain chips, integrating everybody into a global brain, is something that other elites have written about many years ago.
[03:35:24.743 --> 03:35:30.428]  In 2006, Jacques Attali, the Kissinger of France, he wrote Brief History of the Future.
[03:35:30.428 --> 03:35:37.553]  And in this text, Jacques Attali says, all of humanity will be integrated into what he calls a Gollum brain hive mind.
[03:35:38.351 --> 03:35:47.214]  He says the transhumanists are the vanguard of this new world order and really what they're preparing everybody for is the integration into this global brain.
[03:35:47.214 --> 03:35:59.939]  This will be affected eventually by a global Skynet, basically he says, everybody will be a part of this and you won't be able to opt out because if you're alive by then it will be mandated.
[03:35:59.939 --> 03:36:06.121]  Remember what did the UK Ministry of Defense document that we just read, the human augmentation document, say?
[03:36:06.121 --> 03:36:07.522]  It said it will be mandated.
[03:36:08.271 --> 03:36:13.215]  Governments will mandate it, and they will have to just update their notion of ethics.
[03:36:13.215 --> 03:36:17.979]  Ethics will get a revision by just pointing out that, well, everything evolves.
[03:36:17.979 --> 03:36:19.280]  Ethics evolve.
[03:36:19.280 --> 03:36:26.906]  So, just tell the experts to tell everybody that the ethics have evolved, and all the sheeple will believe it.
[03:36:26.906 --> 03:36:28.468]  Remember, that's what this document says.
[03:36:28.468 --> 03:36:30.790]  Human Augmentation Dominant Paradigm.
[03:36:30.790 --> 03:36:32.211]  Governments will mandate
[03:36:33.399 --> 03:36:43.025]  The microchipping or nanochipping of the population, doesn't have to be a microchip, doesn't have to be RFID, can be something beyond that.
[03:36:43.025 --> 03:36:50.970]  And yeah, exactly, that's where this gets over into more of a religious commitment on the part of some of these people to a Luciferian idea of transhumanism.
[03:36:50.970 --> 03:36:58.535]  But as you can see, multiple people, even back to the 40s and 50s, you had Isaac Asimov talking about the global brain.
[03:36:59.153 --> 03:37:15.657]  You have people like Philip K. Dick running science fiction because he was in the circles of the people in Silicon Valley about this global brain being linked into this matrix hive mind and that of course can overlap with the ideas of the metaverse.
[03:37:15.657 --> 03:37:23.078]  Number five, what's the next global elite commandment that you must believe in, you must submit to, you must be a part of?
[03:37:23.078 --> 03:37:26.879]  Well, in my list I included the idea of a global religion.
[03:37:28.300 --> 03:37:41.221]  Part of this superstructure here is not just the rewrite of everybody's biology, but every aspect of human society, the human domain, must be taken over and given a new overlay.
[03:37:43.050 --> 03:37:48.733]  And that includes religion, and really what's needed is a religion that's amenable to the elite themselves.
[03:37:48.733 --> 03:37:58.358]  Something that might in a subtle way promote transhumanism, promote the D-pop, promote the Stabbies, promote the mRNA experimentation.
[03:37:58.358 --> 03:38:07.262]  All of these types of things need to be in a subtle way promoted through the new global religion.
