[00:00:00.089 --> 00:00:02.291]  The Liberal World Order!
[02:12:56.741 --> 02:12:59.022]  When the Kissinger Group tried to hire me, didn't take it.
[02:12:59.542 --> 02:13:01.383]  When the Bilderberg Group reached out, didn't take it.
[02:13:01.923 --> 02:13:03.363]  People say, well, why don't you talk about those meetings?
[02:13:03.423 --> 02:13:04.884]  Well, those are meetings that are private.
[02:13:06.152 --> 02:13:08.632]  And, I told you the meetings happened.
[02:13:09.293 --> 02:13:12.033]  The few times they'd said it in front of the crew, I told you about it.
[02:13:12.433 --> 02:13:17.254]  John Harmon saw it, with the head of the Kissinger Group, trying to hire me, come to New York, we're gonna hire you, it's gonna be great.
[02:13:17.734 --> 02:13:21.835]  I said, you know you're saying all this publicly.
[02:13:24.195 --> 02:13:25.515]  He said, you're gonna lose, Jones.
[02:13:26.836 --> 02:13:27.456]  This is silly.
[02:13:28.996 --> 02:13:29.816]  It's all foregone.
[02:13:30.516 --> 02:13:31.036]  Just give up.
[02:13:32.837 --> 02:13:40.112]   Well, if you guys weren't promoting pedophilia, If you weren't promoting destruction of humanity, maybe I'd sell out to you.
[02:13:40.132 --> 02:13:43.696]  Because like some foreign army, like the Romans weren't perfect.
[02:13:44.117 --> 02:13:46.339]  They had problems, but compared to the globalists, they were angels.
[02:13:46.779 --> 02:13:51.945]  They showed, we got aquifers, we got medicine, we got crops, we got science, and we're taking over.
[02:13:52.345 --> 02:13:55.128]  Okay, but you're not those people.
[02:13:55.209 --> 02:13:56.130]  You're horrible.
[02:13:58.274 --> 02:14:04.220]  You do everything you can to dumb people down and make them stupid so you can control them.
[02:14:04.340 --> 02:14:09.165]  And I'm just like, no, that metaphysically doesn't feel good to me.
[02:14:10.947 --> 02:14:11.808]  It doesn't feel good.
[02:14:12.729 --> 02:14:18.355]  No, being a rebel, being informed, being involved, being engaged, that feels good.
[02:14:20.543 --> 02:14:22.645]  My soul feels good fighting you.
[02:14:23.245 --> 02:14:25.747]  My soul feels good standing against you.
[02:14:26.067 --> 02:14:27.489]  So here's the little news flash.
[02:14:27.909 --> 02:14:28.910]  You can put me in prison.
[02:14:29.230 --> 02:14:30.051]  You can destroy me.
[02:14:30.091 --> 02:14:30.731]  You can kill me.
[02:14:30.751 --> 02:14:31.572]  You can do anything you want.
[02:14:32.232 --> 02:14:33.193]  I'm never going to give up.
[02:14:34.294 --> 02:14:35.355]  I'm beyond your grasp.
[02:14:36.536 --> 02:14:41.500]  And so are our viewers and listeners who I love beyond everything except God.
[02:14:42.768 --> 02:14:48.190]  All right, your phone calls back in 60 seconds, and then Jason Burmiss, loaded for bear, straight ahead.
[02:14:48.250 --> 02:14:49.210]  But get ready, callers.
[02:14:49.531 --> 02:14:50.591]  I'm going bam, bam, bam.
[02:14:51.431 --> 02:14:54.631]  But knowing the bad news lets you know the good news.
[02:14:54.631 --> 02:15:03.431]  Let's go ahead and take your phone calls right now.
[02:15:03.656 --> 02:15:07.017]  In the order they're received, Lathe in Tennessee.
[02:15:07.497 --> 02:15:08.778]  Lathe, welcome and thanks for holding.
[02:15:09.793 --> 02:15:10.374]  Hey, Alex.
[02:15:10.514 --> 02:15:10.955]  Love you, man.
[02:15:10.975 --> 02:15:12.677]  I've been following you for two decades now.
[02:15:12.817 --> 02:15:17.623]  I wanted to touch a little bit on the CERN out there, the Large Hardening Collider in Geneva, Switzerland.
[02:15:17.643 --> 02:15:23.511]  A little bit of the overall basis, they're trying to find the fifth fundamental force of nature.
[02:15:23.531 --> 02:15:25.394]  The Bozog Particle.
[02:15:26.604 --> 02:15:32.407]  Correct, and the four fundamental forces of nature is gravity, electromagnetism, the strong force and the weak forces.
[02:15:32.967 --> 02:15:50.254]  It affects everything from the North to South Pole, gravity and everything, but their aim, quote-unquote, many physicists aim to unite the fundamental forces under a single unified theory, the theory framework to explain the entire universe, which is the Big Bang Theory.
[02:15:50.694 --> 02:15:57.036]   The amount of energy that there Uh, producing at that particular facility, it's a particle collider.
[02:15:57.356 --> 02:15:59.678]  What happens when something... Well, let's explain it.
[02:16:00.038 --> 02:16:06.562]  It's stuff a trillion times more dangerous than an atomic bomb, a billion times more dangerous than a hydrogen bomb.
[02:16:06.903 --> 02:16:12.006]  They are, they admit, they are jacking with the literal building blocks of reality.
[02:16:13.027 --> 02:16:17.110]  I mean, it's 16 billion watt hours times 10.
[02:16:18.449 --> 02:16:19.850]  Uh, squared by 17.
[02:16:21.230 --> 02:16:26.912]  I mean, the amount of energy and the unfortunate part is, after they started, they can't stop it.
[02:16:27.073 --> 02:16:33.535]  They estimate by 2028, it should slow down, but there's no telling.
[02:16:33.755 --> 02:16:37.877]  Which, slowing down in their overall terms means the big bang is going to end up happening.
[02:16:38.657 --> 02:16:45.706]   Uh, with inside that overall... That's a perfect way of saying, they are trying to create An artificial Big Bang.
[02:16:46.147 --> 02:16:47.627]  And we say, why are you doing it?
[02:16:47.667 --> 02:16:48.447]  You read the writings.
[02:16:48.467 --> 02:16:49.848]  They go, we're in a cult.
[02:16:49.868 --> 02:16:50.648]  We want to be God.
[02:16:50.708 --> 02:16:51.388]  We got to do this.
[02:16:52.209 --> 02:16:55.410]  I mean, literally, it's just like the same thing that they did with the MNRA.
[02:16:56.590 --> 02:16:59.111]  It's mad scientist party time.
[02:17:00.171 --> 02:17:09.378]  I mean, it's just a horrible time we're living in, and thank God for you to end up being here to get this information out there, get people aware, and do what we can.
[02:17:09.398 --> 02:17:13.201]  I mean, we have one here in Knoxville, Tennessee, and down there in Texas as well.
[02:17:13.501 --> 02:17:24.390]  They're not as big, and they're not funded and led by Schwab and Soros and Gates and so forth as well, but I really wanted to bring this to everyone's attention, and I mean, just like we talked about.
[02:17:24.410 --> 02:17:25.211]  You said, ladies, we love you.
[02:17:25.651 --> 02:17:26.111]  No, you're right.
[02:17:26.151 --> 02:17:27.893]  We should do a whole show on the Hadron Collider.
[02:17:29.042 --> 02:17:29.602]  Damn right.
[02:17:29.702 --> 02:17:31.524]  I mean, it is just, that's what I'm saying.
[02:17:31.544 --> 02:17:32.344]  It is so insane.
[02:17:32.404 --> 02:17:32.764]  Thank you.
[02:17:33.645 --> 02:17:34.065]  All right.
[02:17:34.245 --> 02:17:40.470]  Up next here, who's been the longest holding person, Brandon in California.
[02:17:40.510 --> 02:17:40.830]  Welcome.
[02:17:42.371 --> 02:17:42.931]  Hey, Alex.
[02:17:43.131 --> 02:17:44.212]  Great to be on here again.
[02:17:44.712 --> 02:17:46.193]  God bless you and your family.
[02:17:46.453 --> 02:17:47.234]  God bless you.
[02:17:48.555 --> 02:17:56.220]  And, uh, I was just curious, you know, Joe Rogan talked about it a lot and he's sort of obsessed with the story, but Bob Lazar, like, what do you know about that?
[02:17:56.690 --> 02:17:58.030]  I haven't heard your opinion on it.
[02:17:58.070 --> 02:17:58.870]  Do you believe him?
[02:17:58.890 --> 02:18:00.251]  Do you think it's part of a PSYOP?
[02:18:00.271 --> 02:18:08.132]  Do you think he, like, thinks he's right or knows, but he actually isn't?
[02:18:08.152 --> 02:18:10.253]  100% we're being manipulated from outside forces.
[02:18:11.533 --> 02:18:13.253]  So it's definitely a PSYOP?
[02:18:14.354 --> 02:18:14.694]  I don't know.
[02:18:15.494 --> 02:18:15.794]  I don't know.
[02:18:15.974 --> 02:18:18.154]  I'm not going to say about things I don't know.
[02:18:19.115 --> 02:18:23.355]  I just know that it's not flying saucers from other planets.
[02:18:23.415 --> 02:18:24.176]  It's interdimensional.
[02:18:25.416 --> 02:18:26.256]  It's interdimensional.
[02:18:27.315 --> 02:18:33.176]  So they have this technology and they're trying to manipulate the planet into thinking we're going to be invaded by aliens.
[02:18:33.616 --> 02:18:42.198]  And they've likely taken scientists and like probably brainwashed them to think that there are aliens or something like that.
[02:18:42.898 --> 02:18:45.639]  The globalists say they're building the alien system.
[02:18:45.699 --> 02:18:46.899]  They are the aliens.
[02:18:47.599 --> 02:18:49.240]  The aliens aren't coming from far away.
[02:18:49.620 --> 02:18:52.180]  Mad scientists are building the alien force.
[02:18:52.661 --> 02:18:54.201]  They're building the new system.
[02:18:55.202 --> 02:18:55.462]  Wow.
[02:18:55.882 --> 02:18:57.003]  That's what a God does.
[02:18:57.083 --> 02:18:59.084]  A God creates a new system.
[02:18:59.104 --> 02:18:59.984]  They're copying God.
[02:19:00.004 --> 02:19:00.644]  Does that make sense?
[02:19:01.605 --> 02:19:02.465]  That does make sense.
[02:19:02.525 --> 02:19:08.948]  You laid it out beautifully in episode 911 at an hour and 50 minutes on Joe Rogan's podcast.
[02:19:09.628 --> 02:19:16.611]  And you do talk about how it is interdimensional more than it is from another planet out there.
[02:19:17.031 --> 02:19:18.271]  But yeah.
[02:19:18.672 --> 02:19:20.672]  Also, what do you think of Admiral Byrd?
[02:19:20.712 --> 02:19:21.933]  Is that part of the Psy-Op too?
[02:19:23.072 --> 02:19:24.433]  Man, brother, it's all crazy.
[02:19:24.493 --> 02:19:25.613]  Brandon, I appreciate your call.
[02:19:26.833 --> 02:19:28.154]  Let's go ahead and take another call here.
[02:19:30.135 --> 02:19:33.756]  Let's go ahead and talk to Frederick in Indiana.
[02:19:33.796 --> 02:19:34.536]  Frederick, go ahead.
[02:19:36.637 --> 02:19:37.977]  Alex, hi.
[02:19:38.518 --> 02:19:50.642]  To stay on the topic of aliens and in the area of David Icke, even Katherine Austin said that she was asked by a military guy if he wanted to be an alien.
[02:19:51.551 --> 02:19:54.013]  No doubt that we're alone on this planet.
[02:19:54.033 --> 02:19:55.654]  There's a lot of stuff going on.
[02:19:55.493 --> 02:19:59.253]  which he won't touch on, understandably so.
[02:19:59.253 --> 02:20:02.292]   And finally, Man Cow, who was on your show several years ago
[02:20:02.292 --> 02:20:08.873]   discussing Shapeshifter that he had met in Hollywood, and maybe you can recap on that.
[02:20:08.873 --> 02:20:12.093]   Let's say this, there's no doubt that we're alone on this planet,
[02:20:12.093 --> 02:20:17.413]   there's a lot of stuff going on, but there's not just the bad guys, there's the good guys.
[02:20:17.413 --> 02:20:23.893]   What do you think there's good other entities or other worldly entities, interdimensional entities?
[02:20:22.524 --> 02:20:23.484]  Yeah, they're called angels.
[02:20:24.304 --> 02:20:26.746]  Last night I was having a big briefing.
[02:20:28.266 --> 02:20:30.607]  Two hour briefing, direct transfer.
[02:20:31.008 --> 02:20:36.570]  The problem is I'm so weak that I'm trying to process it, but I had a two hour download last night.
[02:20:37.091 --> 02:20:39.592]  Big angel in the room, big meeting.
[02:20:41.363 --> 02:20:42.664]  Okay, so... That's why they're so upset right now.
[02:20:42.704 --> 02:20:43.744]  They're really upset right now.
[02:20:43.784 --> 02:20:45.965]  No, I mean, I had a big meeting last night.
[02:20:46.405 --> 02:20:47.806]  And, uh, next level.
[02:20:48.766 --> 02:20:49.186]  Two hours.
[02:20:49.206 --> 02:20:50.447]  Direct, direct, direct.
[02:20:50.827 --> 02:20:52.908]  You're trying to cram all this in, though.
[02:20:53.588 --> 02:20:55.769]  And it was, uh, it was quite a meeting, though.
[02:20:56.470 --> 02:20:56.990]  Two hour meeting.
[02:20:59.476 --> 02:21:06.497]  How does the geoengineering, according to Wigington, they're just going to kill our planet within five to ten years.
[02:21:08.178 --> 02:21:12.138]  Of course we bloom as babies and throw fits and put paint on the walls and everything.
[02:21:12.938 --> 02:21:19.520]  We're about to hit this next level where we're going to just go interplanetary, intergalactic, interdimensional, it's like interstellar.
[02:21:20.720 --> 02:21:23.140]  And so they're trying to stop this, but they already failed.
[02:21:23.740 --> 02:21:27.481]  The good news is, if 10% of our people survive this, they can't stop it.
[02:21:29.389 --> 02:21:57.644]  Okay, so with the band cow and the shapeshifter that he encountered when he was out in Hollywood, and David Icke, and then talking about reptilians and shapeshifting, and I even had my experience with the one sleep paralysis episode I had, and my consciousness was awake and my body was asleep, and a massive reptilian had his claw around her hand around my throat, whether that was my own mind or whether it was seeing into another dimension while my body was asleep and my consciousness was awake, I don't know.
[02:21:58.304 --> 02:22:05.488]  It's the only time I ever had it, but how do the reptilians or any other aliens play into this?
[02:22:05.688 --> 02:22:07.369]  I'm sorry, I'm sorry, Frederick.
[02:22:07.930 --> 02:22:10.091]  Sorry, Aubrey and Ethan and Kevin and Mike.
[02:22:10.451 --> 02:22:11.111]  Get their numbers.
[02:22:11.171 --> 02:22:13.252]  I'll call them back tomorrow in the live show, I promise.
[02:22:15.474 --> 02:22:16.935]  This is high level stuff.
[02:22:17.035 --> 02:22:21.677]  I need the Holy Spirit to guide you and realize that God's in control and built all this.
[02:22:22.598 --> 02:22:26.180]  Only with the Holy Spirit and with Jesus Christ can you even deal with this.
[02:22:27.779 --> 02:22:28.319]  That's where we're at.
[02:22:28.939 --> 02:22:29.240]  All right.
[02:22:29.300 --> 02:22:31.941]  I want to thank the great crew for the great job they've done today.
[02:22:33.161 --> 02:22:35.982]  We have Jason Burmas about to take over.
[02:22:36.502 --> 02:22:44.445]  And then in 45 minutes, we're going to cover this major press conference on the invasion of the Texas border and what's happening there.
[02:22:45.766 --> 02:22:49.747]  Separately, I want to stay on air forever, but I can't do it without you.
[02:22:50.067 --> 02:22:52.008]  We have great products at InfoWarsTore.com.
[02:22:52.867 --> 02:22:54.869]  That, I mean, X2 is amazing.
[02:22:54.949 --> 02:22:55.690]  You need it.
[02:22:56.070 --> 02:22:56.911]  You need to take it.
[02:22:56.991 --> 02:23:01.835]  You need to experience what real pure iodine, nobody else for some reason has put it out.
[02:23:02.135 --> 02:23:04.998]  We have it at InfoWarsTore.com.
[02:23:05.018 --> 02:23:07.920]  The July 4th super sale at InfoWarsTore.com.
[02:23:07.940 --> 02:23:10.182]  Double Patriot points and so much more.
[02:23:10.202 --> 02:23:13.665]  Preparetoday.com for affordable food, ready to ship right now, high quality.
[02:23:14.086 --> 02:23:14.926]  Preparetoday.com.
[02:23:15.287 --> 02:23:17.389]  Jason Burness is loaded.
[02:23:18.630 --> 02:23:22.560]   Jason Burness, I've known for 16, 17 years.
[02:23:22.920 --> 02:23:27.204]  He is loaded for bear, ready to go right now.
[02:23:27.324 --> 02:23:29.926]  So thank you all for your support and your prayers.
[02:23:30.386 --> 02:23:36.691]  The War Room in 45 minutes with the press conference as Texas declares an emergency with the invasion.
[02:23:36.751 --> 02:23:37.392]  Huge news.
[02:23:38.012 --> 02:23:40.074]  Infowars.com forward slash show.
[02:23:40.814 --> 02:23:41.795]  Band.video.
[02:23:43.797 --> 02:23:44.837]  Newswars.com.
[02:23:45.058 --> 02:23:46.979]  All right, Jason Burmas takes over right now.
[02:23:47.179 --> 02:23:48.179]  Stay with us.
[02:23:48.179 --> 02:23:55.179]  [Music]
[02:23:55.179 --> 02:23:58.179]  Hey everybody, Jason Burmess here.
[02:23:58.179 --> 02:24:06.179]   And for the next 40 minutes or so, we are going to break down the very reality that Alex Jones was talking about
[02:24:06.179 --> 02:24:09.179]  earlier in the broadcast.
[02:24:09.747 --> 02:24:22.375]   A driving force, a predator class Hell-bent on not just creating a transhumanist future, but eventually a post-human world.
[02:24:22.395 --> 02:24:23.076]  Let me repeat that.
[02:24:23.416 --> 02:24:24.256]  Post-human!
[02:24:24.617 --> 02:24:25.217]  We're gone.
[02:24:25.497 --> 02:24:26.077]  It's over.
[02:24:26.357 --> 02:24:46.851]   It's not what I think, okay, we as humanity and a society should be striving for, but I'm going to let you hear it from one of the longest-running, highest-level scientific bureaucrats out there, Dennis Bushnell.
[02:24:46.911 --> 02:24:50.093]  This is what we're going to open with, and then we're going to get into Bilderberg.
[02:24:50.293 --> 02:24:53.195]  We're going to get into CERN and so much more.
[02:24:53.315 --> 02:24:54.196]  I promise you that.
[02:24:54.816 --> 02:24:59.380]  Talking about this post-human world, okay?
[02:24:59.460 --> 02:25:13.510]  And this gentleman is behind such documentations as he is also somebody who has access to the highest levels of technology that we do not see, and the highest levels of experimentation.
[02:25:14.251 --> 02:25:20.736]  The 2001 pre-911 document, Future Strategic Issues and Future Warfare, where they talk about bringing in what?
[02:25:21.642 --> 02:25:23.603]  A virtual age.
[02:25:24.263 --> 02:25:28.804]  Somehow they knew the bio-nano era would begin in 2020 for humankind.
[02:25:28.904 --> 02:25:32.205]  Now you can argue that technology was there before humankind, but I know this.
[02:25:32.605 --> 02:25:39.746]  There weren't billions of people being injected with mRNA and vector-based nanotechnology before 2020.
[02:25:40.607 --> 02:25:42.067]  They want to bring you into the virtual age.
[02:25:42.627 --> 02:25:43.927]  And there's even a paper on that!
[02:25:43.947 --> 02:25:43.927]  2020!
[02:25:44.007 --> 02:25:44.307]  He writes!
[02:25:47.086 --> 02:25:54.168]  This disruptive technologies and their punitive impacts upon society and aerospace entering the virtual age.
[02:25:54.208 --> 02:26:00.969]  And you better believe it is truly about uploading your consciousness if you are one of the plebs.
[02:26:01.389 --> 02:26:04.350]  But at the end of the day, what are we going to create?
[02:26:04.510 --> 02:26:06.050]  At best, folks, he'll tell you.
[02:26:06.430 --> 02:26:08.511]  Human contaminated machines.
[02:26:09.892 --> 02:26:20.543]  And eventually, this all ends up with uploading into the machines, and instead of us versus them, humans versus the machines, we become them.
[02:26:21.223 --> 02:26:22.344]  Or they become us.
[02:26:23.045 --> 02:26:25.488]  We wind up with human-contaminated machines.
[02:26:25.708 --> 02:26:29.451]  Now, I mean, that's definitely what I think we should be striving for.
[02:26:29.892 --> 02:26:32.775]  Human-contaminated machines.
[02:26:33.895 --> 02:26:36.598]  And why did I talk about the Bilderberg Group?
[02:26:36.979 --> 02:26:39.902]  Well, let's incorporate that with the news about CERN.
[02:26:40.402 --> 02:26:50.173]  First of all, this was the first year that Bilderberg met since the COVID-1984 nightmare that we all experienced, right?
[02:26:51.153 --> 02:26:58.695]  And they kept it secret till the day of and had the balls to run it in DC.
[02:26:58.775 --> 02:27:07.417]  I was ashamed that I wasn't able to get on the ground and cover it because I had literally no time to plan and had already planned other things.
[02:27:07.497 --> 02:27:09.257]  I've been looking into it every day.
[02:27:09.277 --> 02:27:10.097]  And why is that?
[02:27:10.237 --> 02:27:12.078]  Well, it's the importance of this.
[02:27:12.738 --> 02:27:24.223]   In 2018, They talked about the post-truth world, and you better believe that that post-truth world is how they're going to eventually try to bring in this post-human future.
[02:27:24.923 --> 02:27:36.268]  And the year before that, which I did cover, kind of got me back in the game, also in D.C., this time in Chantilly, Virginia, where it had been previously, right outside of D.C., okay?
[02:27:36.909 --> 02:27:39.550]  They had the director of CERN there, and it was on the agenda!
[02:27:40.177 --> 02:27:44.438]  And a lot of people forget this, and I've always said this about the Large Hadron Collider.
[02:27:44.618 --> 02:27:48.500]  Okay, number one, publicly, how is this part of the agenda?
[02:27:48.780 --> 02:27:59.663]  Well, it's part of the agenda because they're telling you that the Higgs boson that they found several times, or didn't find, or who knows, or claimed to have found, because you or I could never discern it, okay?
[02:28:00.004 --> 02:28:04.165]  It's a big nothing burger, in my opinion, is the God particle.
[02:28:04.645 --> 02:28:07.066]  And this is all about playing and becoming God.
[02:28:08.237 --> 02:28:13.321]  And during that year at Bilderberg, coinciding with that, what did we have?
[02:28:14.141 --> 02:28:22.867]  The announcement, okay, that they were going to build another particle accelerator three times the size as the Large Hadron Collider.
[02:28:23.267 --> 02:28:31.853]  Now, we've had black sites and underground bases in this country post-World War II, like most of us cannot comprehend.
[02:28:32.254 --> 02:28:41.414]   If you are naive enough to believe That they had an international group build the Large Hadron Collider before the technology was tested.
[02:28:41.774 --> 02:28:45.477]  That's pretty damn naive in my opinion.
[02:28:46.057 --> 02:28:56.823]  So the rollout of this, okay, again, is that we are becoming the gods and we are finding out how the very nature of reality and consciousness is made.
[02:28:57.524 --> 02:29:09.934]   And they push you into this multiverse madness and simulation theory All of which denigrates you as a flesh and blood human being that has what?
[02:29:10.414 --> 02:29:15.538]  Free will granted to you by some higher entity.
[02:29:15.578 --> 02:29:16.459]  Some people call it God.
[02:29:16.799 --> 02:29:18.281]  I'm not here to preach to you about that.
[02:29:18.481 --> 02:29:19.542]  I'm here to show you the facts.
[02:29:20.302 --> 02:29:21.804]  And they want to become those gods.
[02:29:22.284 --> 02:29:29.970]  But at the same time, the technology that will empower them will enslave the rest of us into believing what?
[02:29:31.129 --> 02:29:33.731]  That we can somehow upload our consciousness.
[02:29:34.472 --> 02:29:46.041]  So, CERN in 2017, a lot of people in the artificial intelligence field that year, more people in the artificial intelligence field than ever at Bilderberg this year.
[02:29:46.502 --> 02:29:48.003]  Why is that important, Jason?
[02:29:48.023 --> 02:29:52.667]  Because again, all of this has to do with quantum computing, and what?
[02:29:53.587 --> 02:30:01.893]  Bringing in this AI technology that they say will basically be a better replication of human beings themselves.
[02:30:02.253 --> 02:30:10.958]  Yann LeCun was the representative of Facebook at Bilderberg 2022, among a slew of others.
[02:30:11.679 --> 02:30:13.140]  DeepMind was there, of course.
[02:30:13.720 --> 02:30:19.948]   Okay, and they Meeting right after Davos, which did not one but two forums on what?
[02:30:20.548 --> 02:30:21.569]  The Metaverse?
[02:30:21.989 --> 02:30:24.889]  That's on the World Economic Forum page, okay?
[02:30:25.029 --> 02:30:31.791]  They have a whole thing dedicated to telling you how they're going to help build the Metaverse, right?
[02:30:31.851 --> 02:30:38.673]  From theory to practice, Metaverse governance and generating economic and societal value.
[02:30:38.693 --> 02:30:40.073]  Oh!
[02:30:40.873 --> 02:30:50.048]   The social engineers are here to take you From the Track Trace Database Society we are all living under right now.
[02:30:50.688 --> 02:30:52.029]  It has come to fruition.
[02:30:52.750 --> 02:30:57.113]  Your little magic device, in most cases, unless you've taken many a safeguard.
[02:30:57.793 --> 02:30:58.714]  Your computer.
[02:30:59.394 --> 02:31:00.755]  The sensors around you.
[02:31:00.995 --> 02:31:02.717]  The Track Trace Database is already here.
[02:31:02.917 --> 02:31:04.618]  The next level is to get under your skin.
[02:31:05.518 --> 02:31:16.789]  To biometrics, and we're going to show you blockchain people, also announced by the World Economic Forum, get you hooked into this metaverse, which will have its own laws, rules, and governance.
[02:31:16.989 --> 02:31:21.273]  I've done several videos on those forums that, again, just took place in 2022.
[02:31:21.674 --> 02:31:27.519]  And then you have Jan LeCun over at Bilderberg with the directors of the CIA.
[02:31:28.644 --> 02:31:32.847]  You know, royalty from the Netherlands, representatives of Goldman Sachs.
[02:31:32.867 --> 02:31:37.951]  Let's not forget the institutes like the Hudson Institute, which we'll get into in a little bit.
[02:31:38.812 --> 02:31:49.820]  Building this social credit score and digital ID that's going to be involved with your very biological identity.
[02:31:50.603 --> 02:31:55.886]  So on the flip side of this break, we're going to get more into the Hudson Institute Davos in 2020.
[02:31:56.266 --> 02:31:59.308]  Forget about the metaverse this year, okay, in 2022.
[02:31:59.728 --> 02:32:03.009]  But actually having a full forum, not if, but when.
[02:32:03.090 --> 02:32:07.812]  Not if, but when humans become cyborgs.
[02:32:08.354 --> 02:32:09.514]  This is a reality.
[02:32:10.174 --> 02:32:15.235]  Alex Jones is telling you the truth, so you better buckle the truck up and listen.
[02:32:15.656 --> 02:32:22.897]  And if you want to support this broadcast, you can do so right now by going over to InfoWarsStore.com and making a purchase.
[02:32:23.477 --> 02:32:24.457]  Making a donation.
[02:32:24.917 --> 02:32:29.138]  Because independent media needs this voice.
[02:32:29.718 --> 02:32:33.519]  Conservatives, liberals, they're not talking too much about transhumanism.
[02:32:34.019 --> 02:32:37.360]  Alex Jones and the gang are, and we will see you on the flip side.
[02:32:38.146 --> 02:32:38.786]  We are back.
[02:32:38.866 --> 02:32:43.148]  I am Jason Burmas, sitting in for the fourth hour of the Alex Jones Show.
[02:32:43.809 --> 02:33:05.019]  And just as we showed you that this transhumanism is being pushed on the next level, I want to show you how the World Economic Forum is the mouthpiece for this digital slavery and identity under the guise of, of course, benevolence and helping people.
[02:33:05.783 --> 02:33:08.104]  And, you know, it's got the nice little backbeat music.
[02:33:08.144 --> 02:33:11.384]  We'll play it for the radio listeners as I tell you what's going on.
[02:33:11.804 --> 02:33:18.206]  But they're showing you already a refugee camp that runs on the blockchain.
[02:33:18.226 --> 02:33:22.627]  And believe me, they want these nice little refugee camps globalized.
[02:33:23.027 --> 02:33:30.028]  I know we can't envision it here in the United States because we've had it pretty damn good for pretty damn long.
[02:33:30.448 --> 02:33:32.769]  But what the viewers are seeing are what?
[02:33:33.329 --> 02:33:33.769]  Tents?
[02:33:34.830 --> 02:33:39.913]  And a multitude of desperate human beings that will do anything to eat.
[02:33:40.033 --> 02:33:45.556]  And that's a good thing, because they're about to give up their entire biometric identity to do so.
[02:33:46.257 --> 02:33:53.180]  So, as you look at this, and they're walking around, it tells you that there's supermarkets without any physical money.
[02:33:53.220 --> 02:33:53.921]  Isn't that lovely?
[02:33:54.497 --> 02:33:56.238]  And they can pay by looking into the camera.
[02:33:56.258 --> 02:33:57.519]  We'll just take your iris scan.
[02:33:57.659 --> 02:33:58.059]  Lovely.
[02:33:58.359 --> 02:34:00.821]  The iris scanner is part of the World Food Program account.
[02:34:01.241 --> 02:34:01.421]  Right?
[02:34:01.621 --> 02:34:03.523]  Remember, we did this in Afghanistan.
[02:34:03.943 --> 02:34:07.845]  And it could also help them find work, you know, within this slave chain system.
[02:34:08.346 --> 02:34:10.447]  Store someone's digital identity.
[02:34:10.547 --> 02:34:11.828]  You know, your paperwork.
[02:34:12.008 --> 02:34:16.611]  Like your vaccine passports, your exam certificates, and your financial history.
[02:34:17.311 --> 02:34:21.613]  You know, in places that are destroyed by conflict or seized by hostile governments.
[02:34:22.333 --> 02:34:22.693]  Okay?
[02:34:23.194 --> 02:34:33.418]  And again, these are the zeros and ones that the SDR was via the IMF, but now it will run on blockchain technology.
[02:34:33.698 --> 02:34:37.299]  They talk about Ripple or XRP, because you won't need banks or cash.
[02:34:37.920 --> 02:34:43.442]  And it can be debited directly to your World Food Program account.
[02:34:43.762 --> 02:34:44.442]  Lovely stuff.
[02:34:45.443 --> 02:34:46.063]  Lovely stuff.
[02:34:46.678 --> 02:34:53.781]  And all this stuff being accelerated via this COVID-1984 nightmare.
[02:34:54.282 --> 02:35:05.807]  You know, I don't want to play the whole thing here, but we're going to try to play a little bit of it and just show you how NASA uses their technology to track and trace you when you're nice and masked up.
[02:35:06.127 --> 02:35:06.627]  OK, right here.
[02:35:06.667 --> 02:35:07.248]  Check this out.
[02:35:07.808 --> 02:35:07.928]  OK.
[02:35:08.999 --> 02:35:22.218]   Now, since we plan on locking you down and making you wear masks periodically through the rest of your life, albeit a short one on the road to transhumanism in this virtual age, yucca yucca yucca, We're gonna need something better than facial recognition.
[02:35:22.538 --> 02:35:26.281]  So we'll use your heartbeat from NASA technology, right?
[02:35:26.301 --> 02:35:29.783]  Because these masks, they block a lot of that facial recognition.
[02:35:30.083 --> 02:35:35.727]  It's as unique as your face, and again, those good people at NASA have invented that.
[02:35:35.747 --> 02:35:41.291]  Because NASA is a front for the military-industrial complex.
[02:35:41.331 --> 02:35:52.445]   The gentleman that we played before, and we'll play more clips of, has been a bureaucratic Around since before Apollo all the way back in the Gemini days
[02:35:53.283 --> 02:35:58.988]  And this document is truly a blueprint for the last 20 plus years.
[02:35:59.028 --> 02:36:02.411]  Let's just go over some of the things that they were able to predict.
[02:36:02.892 --> 02:36:08.096]  First of all, you talk about the manipulation of media, digital armies, we could talk about signature reduction.
[02:36:08.417 --> 02:36:14.562]  Okay, not just digital armies, but on the ground, people getting past the biometric technology.
[02:36:14.762 --> 02:36:15.563]  Okay, that's real.
[02:36:15.843 --> 02:36:17.284]  And it's barely been talked about.
[02:36:17.545 --> 02:36:19.486]  And it needs to be talked about more.
[02:36:19.887 --> 02:36:22.662]   So Exploit CNN syndrome.
[02:36:22.842 --> 02:36:23.483]  This is July 2001.
[02:36:24.564 --> 02:36:28.367]  Capture and torture Americans in living color on prime time.
[02:36:28.687 --> 02:36:31.790]  Terror attacks within the continental United States.
[02:36:32.150 --> 02:36:35.673]  Binary, a biological, critical infrastructure takedowns.
