[00:00:00.169 --> 00:00:01.409]  Let me make the announcement.
[02:18:00.418 --> 02:18:09.908]  Whether it's politics or health or spirituality, we're about bringing you the very best, documented, accurate, real-world information.
[02:18:10.629 --> 02:18:17.215]  And when it comes to our supplements, they are so game-changing for your body, for your health, your immunity, your libido, your mental clarity.
[02:18:18.462 --> 02:18:19.063]  They're incredible.
[02:18:19.463 --> 02:18:23.449]  And out of all the products, X2 is definitely the most amazing.
[02:18:24.029 --> 02:18:27.935]  It is the purest, highest quality atomic iodine you're going to find.
[02:18:28.155 --> 02:18:35.244]  Most other iodine out there is bound to other minerals and compounds so you don't absorb it at all or fully.
[02:18:35.945 --> 02:18:40.348]  Ladies and gentlemen, we've got a limited supply and it's been sold out for a month because of supply chain breakdowns.
[02:18:40.849 --> 02:18:45.232]  But despite that, we're selling it at 25% off for one more week.
[02:18:45.252 --> 02:18:46.253]  Then it goes back to full price.
[02:18:46.633 --> 02:18:48.734]  Within two weeks, the current sales rate is going to sell out.
[02:18:49.295 --> 02:18:52.897]  Experience X2 for yourself today at InfoWareStore.com.
[02:18:53.318 --> 02:18:55.219]  X2 at InfoWareStore.com.
[02:18:55.419 --> 02:18:56.100]  Take action now.
[02:18:56.502 --> 02:19:01.205]  Alright, welcome folks to the fourth hour of the Alex Jones Show here today on May 20th, 2022.
[02:19:01.625 --> 02:19:05.388]  I'm Mike Adams, and I've got bombshell information for you today.
[02:19:05.408 --> 02:19:07.909]  I know the show you just watched was mind-blowing.
[02:19:08.410 --> 02:19:12.813]  I still have to go listen to that, all of it, and absorb it, and understand what's going on.
[02:19:13.473 --> 02:19:14.614]  This is also a bombshell.
[02:19:14.914 --> 02:19:17.235]  We're going to be bringing in a guest, J.R.
[02:19:17.275 --> 02:19:25.919]  Nyquist, an expert in, of course, Chinese communism war posture, as well as Soviet war posturing from the USSR days.
[02:19:26.199 --> 02:19:28.179]  He's going to be joining us here in just a minute.
[02:19:28.199 --> 02:19:50.030]   We're going to be going through the ramifications of leaked audio that appears to be from top war generals or military leaders in China, who, according to the translation and transcripts that have been published, and I have I've been able to confirm that the transcription is correct because my wife is from Taiwan and speaks Chinese, so we've gone through it.
[02:19:50.891 --> 02:20:06.001]  We've done a lot of due diligence on this, but according to the information in that leaked audio, it appears that China is preparing for an invasion, a naval invasion of something bigger than just Taiwan.
[02:20:06.981 --> 02:20:14.647]  And the analysis points to an impending invasion of the United States as the U.S.
[02:20:14.927 --> 02:20:17.009]  is weakened because the U.S.
[02:20:17.029 --> 02:20:26.456]  has been sending so much of its military equipment and anti-tank missile systems, artillery, and so on over to Ukraine for the Ukrainian theater of war.
[02:20:26.856 --> 02:20:32.400]  So we're going to cover that in great detail here today as soon as I bring in our guest for this hour, J.R.
[02:20:32.460 --> 02:20:32.941]  Nyquist.
[02:20:33.341 --> 02:20:35.683]  And believe me, one hour is not enough to cover this.
[02:20:36.283 --> 02:20:42.205]  There are some major ahas in this that I've got to bring you, but first, real quick, two very important points.
[02:20:42.586 --> 02:20:48.628]  The United States domestic economy is being turned into communism overnight.
[02:20:49.008 --> 02:20:51.909]  Command and control, centralized planned economies.
[02:20:52.089 --> 02:21:05.395]  Understand that two days ago, Biden invoked the Defense Production Act in order to seize control over food resources and redirect them to Abbott Laboratories in order to produce infant formula.
[02:21:06.095 --> 02:21:08.838]  The Defense Production Act is administered by FEMA.
[02:21:09.178 --> 02:21:12.681]  It is a 1950 Korean War era law.
[02:21:13.222 --> 02:21:32.262]   Basically, it means that there is a semi-nationalization of domestic food supplies, and while the Defense Production Act was supposed to be used in wartime, For critical infrastructure, for getting nuked or, you know, having massive earthquake wipeouts of cities, we're using it now for infant formula.
[02:21:32.282 --> 02:21:41.634]  It's a very dangerous precedent and it means that as food scarcity increases in the months ahead, we're going to see the federal government decide who gets the food and who doesn't.
[02:21:42.645 --> 02:21:44.967]  And then secondly, yesterday the U.S.
[02:21:45.047 --> 02:21:52.487]   House passed the anti-gouging law that's going to control fuel prices in the United States,
[02:21:52.487 --> 02:21:58.327]   which means that any time that Joe Biden decides fuel prices are too high, they can declare
[02:21:58.327 --> 02:22:03.886]   that the oil companies are quote, "price gouging" the American people and they can force prices
[02:22:03.886 --> 02:22:11.327]   lower, which will of course force scarcity and rationing of fuel across America.
[02:22:11.327 --> 02:22:18.606]   So in just two days this week, folks, we've seen the Biden regime for domestic food supplies
[02:22:18.606 --> 02:22:24.967]   and begin fixing, which will mean rationing and scarcity of domestic fuel supplies.
[02:22:25.468 --> 02:22:49.387]   These are wartime efforts, wartime overreaches of power that Biden is engaged in at the same time that China, as you'll hear shortly from our guest, JR Nyquist, stockpiling crops, microchips, raw materials, ammunition and other supplies in preparation for Thank you for having me.
[02:22:49.206 --> 02:22:53.406]  All the signs are pointing towards World War III.
[02:22:53.406 --> 02:23:00.006]   Now we bring in our guest JR Nyquist and Jeffrey, thank you so much for joining us today.
[02:23:00.006 --> 02:23:01.366]  Can you just chime in?
[02:23:01.366 --> 02:23:03.225]  Let's make sure your audio and video are all good here.
[02:23:03.225 --> 02:23:04.846]  Welcome to the show.
[02:23:04.846 --> 02:23:06.565]  Thank you for having me.
[02:23:06.565 --> 02:23:14.366]   Yeah, according to Dr. Li Meng Yan, the Central Military Commission of China held meetings
[02:23:14.366 --> 02:23:17.686]  during the first two weeks of this month.
[02:23:17.686 --> 02:23:25.245]   And on the 14th, someone recorded a 56-minute segment from a meeting and smuggled it out.
[02:23:25.280 --> 02:23:28.721]  And this is the information you referred to.
[02:23:29.161 --> 02:23:33.702]  The meeting was about a war that is planned to begin before November 1st, 2022.
[02:23:33.903 --> 02:23:37.424]  They call it the Final War.
[02:23:37.444 --> 02:23:44.166]  This meeting was about the Chinese generals for one province, Guangdong.
[02:23:45.089 --> 02:23:50.571]  They've been instructed to load 957 merchant ships with weapons and war supplies.
[02:23:51.351 --> 02:23:55.633]  Many of the ships have to be reconfigured for military hardware.
[02:23:56.353 --> 02:24:02.816]  They're giving the generals 30 to 45 days to complete the process of loading the ships.
[02:24:04.856 --> 02:24:09.078]  They are also going to be seizing 19 to 20 civilian airports in Guangdong.
[02:24:10.209 --> 02:24:17.814]  The mobilization process is of course occurring in all of China's coastal provinces and almost certainly in all of China's provinces.
[02:24:19.495 --> 02:24:37.306]  Regarding the Taiwan strategic direction that they refer to, the CCP has 160 to 193 party branches in Taiwan and they are going to begin an intensive propaganda and agitation in Taiwan.
[02:24:38.400 --> 02:24:41.422]  Uh, to, uh, of course, encourage the island to surrender.
[02:24:41.442 --> 02:24:47.706]  Um, China has also been using Huawei to steal data for some kind of cyber attack.
[02:24:48.126 --> 02:24:52.108]  They're going to probably turn off the, try to turn off the electricity in Taiwan.
[02:24:52.788 --> 02:24:59.032]  This map that you're showing now is the first, uh, illustration of the first and second island chains.
[02:24:59.592 --> 02:25:03.895]  These are conceived as the defensive barriers that the Chinese Navy must break through.
[02:25:05.779 --> 02:25:12.104]  They discuss using DF-41 strategic rockets against the United States, against the mainland.
[02:25:12.624 --> 02:25:14.546]  Those are strategic nuclear rockets.
[02:25:15.266 --> 02:25:20.010]  They also discuss using rockets to break the first island chain and go beyond.
[02:25:21.551 --> 02:25:24.754]  So we're not just talking about a war against Taiwan.
[02:25:25.498 --> 02:25:31.519]  We're talking about a world war in which the United States is the real main target.
[02:25:33.760 --> 02:25:38.240]  Jeffrey, let's back up just a little bit before we get into all the details of this.
[02:25:38.260 --> 02:25:40.541]  I mean, you're absolutely correct in what you just stated.
[02:25:41.061 --> 02:25:50.783]  However, let's set the big picture for this because it appears that Russia and China have planned together to take out their common enemy, which is the United States.
[02:25:51.263 --> 02:26:27.310]   I'd like to speak to that, but also before that, I just want to mention that Russia's operation in Ukraine, in the context of a larger global theater of war, appears to be a fixing operation to cause Western nations, including Canada, the United States, and NATO nations, to overcommit their military resources to the Ukrainian theater of war, thereby leaving their domestic situation very vulnerable to an attack from, in the United States, from the West Coast via China, because we've sent, for example, Most of our anti-tank weapons into Ukraine, and we do not have the ability to manufacture Javelins at any real pace.
[02:26:27.350 --> 02:26:32.532]  I think a thousand a year is all that Raytheon and Lockheed Martin can currently manufacture, and we have a supply chain problem.
[02:26:32.552 --> 02:26:35.913]  So go ahead and speak to that, Russia and China working together on this, please.
[02:26:36.354 --> 02:26:43.976]  I mean, the defense contractors are saying on a lot of these weapon systems we're sending to Ukraine that it's going to take them two years to double their production.
[02:26:44.696 --> 02:26:48.978]  Well, they've already used, they've already sent to the Ukrainian theater four years worth of production.
[02:26:50.447 --> 02:26:51.628]  You know, is what I've been told.
[02:26:51.648 --> 02:26:56.071]  I may have the numbers, you know, depends on the weapon system we're talking about.
[02:26:56.512 --> 02:27:02.376]  Canada has stripped a lot of its military units of certain capabilities because they've sent things to Ukraine.
[02:27:03.077 --> 02:27:07.920]  We've also got 110,000 troops positioned in Eastern Europe.
[02:27:08.681 --> 02:27:13.104]  So we're in an East European facing situation.
[02:27:13.124 --> 02:27:17.508]  And here the Chinese are preparing this blindside attack.
[02:27:18.268 --> 02:27:31.779]  Which, and to me, the idea that they're going to send DF-41, that's their strategic rockets against America, means they're going to strike us and the only weapons, if they hit the right targets, the only weapons we're going to have to fight this war are the weapons we already have.
[02:27:32.379 --> 02:27:38.084]  And if we've shipped a lot of those overseas to Eastern Europe, we're not going to have them for ourselves.
[02:27:39.332 --> 02:27:40.713]  No, you're exactly right.
[02:27:40.993 --> 02:27:45.435]  For those listening, I've just published a story with some of the highlights of this on naturalnews.com.
[02:27:45.676 --> 02:27:47.136]  It just went live right before the show.
[02:27:47.537 --> 02:27:52.399]  So I'm pulling out highlights and also citing the documents, the translation from this leaked audio.
[02:27:52.820 --> 02:28:13.351]   One of the things that really struck me about this, Jeffrey, I'd like to get your comments on this, is the mention of cyber warfare as well as satellite Space weapons warfare and then also the activation of civilians who CCP civilians who are embedded in governments and corporations around the world that China says must be Recruited to aid the war effort at that time.
[02:28:13.371 --> 02:28:14.672]  We've only got a few seconds Jeffrey.
[02:28:14.692 --> 02:28:29.735]   Go ahead Yeah, massive spying massive infiltration all over our systems and they're going to be engaged in this too You got a fifth column going on And as far as Russia goes, yeah, Russia's bragging they're going to own all of Europe, all the way up to Portugal and Spain.
[02:28:30.435 --> 02:28:33.937]  So this can only happen given the conventional failure of the Russian military.
[02:28:33.957 --> 02:28:35.017]  All right, Jeffrey, we're going to go to break.
[02:28:35.858 --> 02:28:36.478]  Stay with us, folks.
[02:28:36.498 --> 02:28:37.598]  We'll be right back with J.R.
[02:28:37.618 --> 02:28:39.419]  Nyquist right after this break.
[02:28:39.719 --> 02:28:40.540]  Much more straight ahead.
[02:28:41.363 --> 02:28:44.667]  All right, welcome back folks to the fourth hour of the Alex Jones Show.
[02:28:44.687 --> 02:28:47.770]  Today I'm Mike Adams filling in here with my special guest J.R.
[02:28:47.810 --> 02:28:55.398]  Nyquist who is an expert on the military posturing of communist nations such as modern-day China and also the former Soviet Union.
[02:28:55.899 --> 02:28:59.142]  He keeps well informed of what's happening with Russia as well.
[02:28:59.162 --> 02:29:07.729]   Now as he just mentioned right before we went to break, It looks like Russia and China have teamed up to try to take out their common enemy, the United States.
[02:29:08.149 --> 02:29:24.559]  Russia believes it's going to be able to push successfully westward to attack Poland and continue its expansion of the former Soviet Union beyond the old borders of the USSR and actually conquer much of Western Europe, while China conquers the United States of America.
[02:29:24.900 --> 02:29:47.786]   Essentially, their posture has been to exterminate every last North American citizen And then to seize America's farmland in order to grow crops more successfully to feed the expanding global Chinese, well, CCP regime because they're having so many crop failures due to flooding and simply just a lack of available farmland that is reliable season after season in mainland China.
[02:29:48.126 --> 02:29:50.827]  So, Jeffrey, thank you again.
[02:29:51.407 --> 02:29:52.147]  Welcome back to the show.
[02:29:52.467 --> 02:29:57.248]  Can you give out your website, by the way, your blog site where people can find you too?
[02:29:58.567 --> 02:30:00.728]  Yeah, it's JRNyquist.blog.
[02:30:00.948 --> 02:30:03.970]  That's J-R-N-Y-Q-U-I-S-T dot blog.
[02:30:04.851 --> 02:30:05.291]  Okay, great.
[02:30:05.331 --> 02:30:06.452]  JRNyquist.blog.
[02:30:06.952 --> 02:30:13.976]  So go ahead with your analysis of what I just said, the global war to eliminate Western Europe and also the United States.
[02:30:15.157 --> 02:30:17.898]  Yeah, let me give people a data point they can all check out.
[02:30:18.739 --> 02:30:27.664]  You notice that the Russian invasion of Ukraine is given the designation Z. Note that Z is the final letter in the alphabet.
[02:30:28.892 --> 02:30:32.278]  And the Chinese are calling their operation the Final War.
[02:30:32.298 --> 02:30:40.852]  So there is a correlation here between the concept of final, the letter Z. I just want people to note that.
[02:30:42.406 --> 02:31:06.386]  Well yes, and one other thing is that in that leaked audio from the transcript, Chinese war leaders specifically referred to the way that NATO and the United States committed economic sanctions or acts of war against Russia and that China was taking specific steps to shore up their domestic supply chains in anticipation of the United States trying to economically isolate them.
[02:31:06.426 --> 02:31:10.269]  So isn't that another data point that proves China is anticipating a war with the West?
[02:31:11.414 --> 02:31:25.826]  Yeah, China and Russia have both been stockpiling strategic resources, not just gold in terms of currency, but also China's been stockpiling food, massive amounts of food, like 67% of the global food storage.
[02:31:26.687 --> 02:31:47.025]   You also have In terms of China's reason for going to war, what Dr. Li Meng has said is that their reason for going to war is that they entered into their collaboration and their trade relationship with the United States based on the one China policy, that we recognize there's only one China.
[02:31:47.525 --> 02:31:56.370]  And they're claiming that because we want to defend Taiwan, we're going against that and we're basically committing, we're violating the relationship.
[02:31:56.910 --> 02:32:02.032]  And we're committing in effect a sort of an act of aggression by leveraging Taiwan against China.
[02:32:03.312 --> 02:32:16.357]  Do you believe that the United States State Department will officially declare that it's shifting recognition to Taiwan from China or that it will declare that Taiwan is an independent nation that the U.S.
[02:32:16.797 --> 02:32:17.397]  recognizes?
[02:32:17.417 --> 02:32:19.378]  Is that kind of announcement eminent in your view?
[02:32:19.398 --> 02:32:23.039]  I don't think so, although it could happen.
[02:32:24.489 --> 02:32:32.555]  I think that the Chinese are disregarding our military support, what we're doing to make Taiwan into a porcupine, quote-unquote.
[02:32:33.056 --> 02:32:35.197]  We're trying to make Taiwan defensible.
[02:32:35.257 --> 02:32:36.438]  We're trying to protect it.
[02:32:36.498 --> 02:32:41.782]  The Japanese have declared that Taiwan is a vital interest of Japan.
[02:32:43.584 --> 02:32:48.688]  If only to help our Japanese allies, we have to help Taiwan.
[02:32:49.697 --> 02:33:06.501]  Um, and so there's this, uh, all this talk in the United States, especially over the last year about how do we defend Taiwan against China as China started to make moves in 2020, uh, military buildup, uh, opposite the Taiwan Straits as if they're going to invade Taiwan.
[02:33:08.303 --> 02:33:11.724]  But Taiwan, of course, is just one of many factors there.
[02:33:11.764 --> 02:33:18.847]  We also have Japan, which is getting very nervous anytime China talks about expansionist activity.
[02:33:19.568 --> 02:33:29.452]  Japan facing its own financial catastrophe due to the massive money printing of the Japanese central bank there and the potential collapse of the yen.
[02:33:30.112 --> 02:33:33.573]  But we've also got India, we've got the Philippines, we've got South Korea.
[02:33:34.334 --> 02:33:46.739]   How does China think, in your view, that they're going to get away with Such an aggressive assault against the United States without suffering the retaliation of nations closer to China's own shores.
[02:33:46.759 --> 02:34:03.667]  I think that if you if you've noticed how the energy constriction of energy supplies that the Russians with their allies in Venezuela and Iran have conducted, the Houthi missile strikes against Aramco facilities in Saudi Arabia.
[02:34:04.387 --> 02:34:09.788]  And the impending war between Israel and Iran, you're going to find the Persian Gulf is going to be shut down shortly.
[02:34:10.228 --> 02:34:20.210]  And Japan has stated that it cannot withstand even the minor shut off of buying energy supplies like diesel fuel from Russia and so on.
[02:34:21.050 --> 02:34:24.191]  Japan's economy, Japan is just too energy dependent.
[02:34:24.251 --> 02:34:27.452]  Japan does not produce a lick of oil in all of her islands.
[02:34:27.472 --> 02:34:28.172]  She has to import 100%.
[02:34:29.648 --> 02:34:42.437]  And that is very difficult, and if there's a war in the South China Sea, almost all of China's shipping, especially her shipping of oil, most of it comes through the South China Sea.
[02:34:42.497 --> 02:34:48.381]  If that sea is interdicted by a war, how is Japan going to get its oil?
[02:34:49.102 --> 02:34:51.003]  How is Japan going to even continue to run?
[02:34:52.014 --> 02:35:02.465]  So it seems like what you're hinting at here is that we are now entering the commodities-based New World Order, so to speak, where Russia and China have a very key advantage in that area.
[02:35:02.545 --> 02:35:07.811]  Russia producing so much oil and also having a bumper crop of wheat this year, reportedly.
[02:35:08.331 --> 02:35:12.292]  Russia producing minerals and exporting a fertilizer, for example.
[02:35:12.732 --> 02:35:20.994]  China now serving as the industrial hub of the world, a role that the United States played in World War II, which allowed the U.S.
[02:35:21.074 --> 02:35:29.457]  to out-produce the Axis forces of the Third Reich, so that the Allied forces could have enough equipment to go ahead and defeat the Third Reich.
[02:35:29.817 --> 02:35:32.237]  But now China has that advantage, while the U.S.
[02:35:32.277 --> 02:35:33.638]  manufactures relatively little.
[02:35:36.122 --> 02:35:45.790]  It seems like, I mean, in your assessment, I know you're not in favor of them winning, but doesn't it seem like they have real strategic advantages right now in terms of commodities and industrial output?
[02:35:46.831 --> 02:36:00.502]  They have so conceived their policies that they have set this situation up that we have transferred much of our industrial base to China because their labor was cheaper.
[02:36:01.175 --> 02:36:05.696]  And we didn't want the cost, the environmental cost of producing many of those things here.
[02:36:05.716 --> 02:36:07.796]  The Chinese were willing to bear that cost.
[02:36:08.357 --> 02:36:14.098]  And so China got the benefit of that and they used the money to build up their military.
[02:36:14.118 --> 02:36:15.978]  They have the largest Navy in the world right now.
[02:36:16.838 --> 02:36:19.159]  They have the largest industrial base in the world right now.
[02:36:19.679 --> 02:36:24.120]  Russia has a huge raw material base, a huge military technical base.
[02:36:24.878 --> 02:36:28.040]  Russia has the precision nuclear missile forces.
[02:36:28.080 --> 02:36:34.104]  Whatever we think of their land forces and their obsolete doctrine and tactics, their missile forces are state-of-the-art.
[02:36:34.124 --> 02:36:39.568]  They're 30 years ahead of us, the Russians, in missile, nuclear weapon and missile technology.
[02:36:39.608 --> 02:36:42.290]  The Chinese have been helped by the Russians.
[02:36:42.870 --> 02:36:45.472]  So you got China, North Korea and Russia.
[02:36:46.392 --> 02:36:48.994]  They are using food and oil as weapons.
[02:36:49.575 --> 02:36:51.876]  They're using their fifth columns here in the U.S.
[02:36:51.916 --> 02:36:52.897]  and the West as weapons.
[02:36:53.636 --> 02:36:57.260]  And they will, when they unleash this war, it will be nuclear.
[02:36:57.500 --> 02:36:59.502]  And it's already, I believe, biological.
[02:37:00.223 --> 02:37:01.884]  We know where the COVID-19 came from.
[02:37:01.905 --> 02:37:02.465]  Stay with us.
[02:37:03.006 --> 02:37:03.446]  Stand by.
[02:37:03.466 --> 02:37:04.367]  We've got to go to a break again.
[02:37:04.387 --> 02:37:06.149]  We'll be back with more with J.R.
[02:37:06.329 --> 02:37:09.252]  Nyquist and global warfare that's coming.
[02:37:09.272 --> 02:37:09.752]  Stay tuned.
[02:37:10.513 --> 02:37:25.229]  Alright, we're back with JR Nyquist talking about the leaked audio out of China that appears to indicate preparations for a large-scale land invasion of the United States that could be taking place this year unless it is stopped.
[02:37:25.909 --> 02:37:35.718]  We're going to bring in Jeffrey here for more details about that, including the staging of equipment caches, uniforms, and RPGs and artillery across the United States.
[02:37:35.738 --> 02:37:42.544]  Just want to let you know, I've just released a new free audiobook that I think will help save lives.
[02:37:42.624 --> 02:37:44.185]  It's called Resilient Prepping.
[02:37:44.606 --> 02:37:45.707]  You can download it for free.
[02:37:46.247 --> 02:37:48.588]  I think it'll help a lot of InfoWars listeners.
[02:37:48.608 --> 02:37:50.108]  You can just download the MP3 files.
[02:37:50.449 --> 02:37:52.169]  Just go to resilientprepping.com.
[02:37:52.309 --> 02:37:53.189]  You can get that audiobook.
[02:37:53.229 --> 02:37:54.090]  It's about 12 hours.
[02:37:54.550 --> 02:38:08.196]   If you want to listen to me for 12 hours, talk about how to survive without electricity, how to survive without combustion engines, how to survive the total collapse of Western civilization, because that may be indeed where things are headed if we don't get Saner people in charge.
[02:38:08.236 --> 02:38:12.179]  Hey, why don't we put the real president back in the Oval Office, which would be Trump?
[02:38:12.520 --> 02:38:14.601]  And I think China would back off, by the way.
[02:38:14.621 --> 02:38:15.282]  That's just my opinion.
[02:38:15.481 --> 02:38:22.842]   But Jeffrey, talk to us about the staging of equipment that's taken place across the United States by both Russia and
[02:38:22.842 --> 02:38:26.361]   China, sort of pre-staging the battlefield in preparation for
[02:38:26.361 --> 02:38:29.781]   activation of domestic units that are already in the United States.
[02:38:29.781 --> 02:38:36.781]  Jeffrey, you might be muted.
[02:38:36.394 --> 02:38:38.476]  At least, I'm not getting audio.
[02:38:38.496 --> 02:38:40.158]  Sorry, sorry about that.
[02:38:40.298 --> 02:38:41.840]  Okay, go ahead.
[02:38:42.000 --> 02:38:48.267]  We saw in late March 2020, we saw the United States put its nuclear war command staff deep underground.
[02:38:48.826 --> 02:38:56.409]  This is the first sign that the United States may have understood the releasing of the virus as part of the beginning of the war.
[02:38:57.029 --> 02:39:03.571]  There's been a lot of very interesting changes and adaptations and notices in the U.S.
[02:39:03.611 --> 02:39:04.171]  military.
[02:39:05.652 --> 02:39:09.453]  My guess is, and you talk about the food situation, about what the U.S.
[02:39:09.493 --> 02:39:14.195]  government is doing, these are things you do in advance of a nuclear war.
[02:39:14.215 --> 02:39:15.996]  I just wanted to point out.
[02:39:17.578 --> 02:39:18.439]  It's pretty serious.
[02:39:18.700 --> 02:39:24.829]  If DF-41 warheads, missiles are coming towards us, this country is going to get hit pretty hard.
[02:39:25.770 --> 02:39:31.799]  And it's going to be, the government's got to try to do the best it can to defend.
[02:39:32.538 --> 02:39:35.859]  And of course, I don't trust the Biden administration one iota.
[02:39:36.879 --> 02:39:43.962]  The Marxism of some of those people in the Justice Department and administration, I see no difference between that and the Marxists who rule China.
[02:39:44.442 --> 02:39:50.664]  Marxism is a toxic, poisonous, totalitarian ideology, and we've let it go very far in our own country.
[02:39:51.344 --> 02:39:56.425]  And this is a very bad position when you have a potential fifth column in your country to be involved in a world war.
[02:39:57.126 --> 02:39:57.866]  Very dangerous.
[02:39:58.823 --> 02:40:04.507]  Well, and I've never mentioned this here on the Alex Jones Show before, but I brought it up, I'll go ahead.
[02:40:05.607 --> 02:40:25.220]  I know with certainty, because I'm in the food industry business, that the State Department has forced major storable food manufacturers in America to divert 100% of their output to the State Department while signing agreements that mean they cannot disclose this fact to their own customers.
[02:40:25.720 --> 02:40:29.541]  So it's not just the Defense Production Act that's been used for infant formula.
[02:40:29.901 --> 02:40:38.462]  It's being used right now for preparedness and long-term storable food that is going into the underground bunkers and underground tunnels and military bases all across America.
[02:40:38.782 --> 02:40:41.203]  And that's been going on for more than six months, by the way.
[02:40:42.643 --> 02:40:55.695]   You can imagine if we have this intelligence now from Chinese sources, Chinese people who are openly leaking it to us now, you can imagine How much sooner the US government would be on to this?
[02:40:56.956 --> 02:41:03.924]  Look, you cannot, a country with 1.4 billion people preparing for war, it's like turning the Titanic.
[02:41:04.145 --> 02:41:05.727]  Everybody's seeing this turn.
[02:41:06.087 --> 02:41:13.776]   They shut their ports, they lock their population down, they're turning their factories from making the stuff at Walmart To making more materials.
[02:41:13.816 --> 02:41:22.020]  Look, Wal-Mart in the southeast, I heard from another researcher that Wal-Mart is preparing to close a lot of its stores.
[02:41:22.400 --> 02:41:22.661]  Why?
[02:41:22.841 --> 02:41:24.421]  Nothing is going to be coming from China.
[02:41:25.382 --> 02:41:27.443]  Don't expect your orders from China to come through.
[02:41:27.463 --> 02:41:29.044]  Look at the baby formula from China.
[02:41:30.919 --> 02:41:42.406]  Yeah, but you just mentioned something really important, that the lockdowns of Shanghai especially, that those shutdowns which were blamed on COVID, which I never believed that excuse, that was insane.
[02:41:42.687 --> 02:41:47.710]  You don't lock down 26 million people because 20 people test positive on a PCR test.
[02:41:47.790 --> 02:41:49.651]  They've locked down 280 million people.
[02:41:50.592 --> 02:41:52.653]  They've locked down 280 million people.
[02:41:52.693 --> 02:41:53.834]  It's not just Shanghai.
[02:41:54.474 --> 02:41:55.855]  It's many places in China.
[02:41:56.727 --> 02:41:57.107]  That's right.
[02:41:57.927 --> 02:42:08.631]  But the lockdowns are a cover story for their wartime preparations and use of the ports to load ships and seafaring vessels with military supplies, correct?
[02:42:08.651 --> 02:42:10.652]  Would you agree with that assessment?
[02:42:11.412 --> 02:42:14.693]  It is partly that, but they're moving to war footing.
[02:42:15.473 --> 02:42:18.514]  And they've got so many people, they have to sift their population.
[02:42:18.534 --> 02:42:19.895]  They're executing people.
[02:42:20.735 --> 02:42:21.795]  They're liquidating people.
[02:42:21.835 --> 02:42:23.796]  They're looking at people who are unreliable.
[02:42:23.816 --> 02:42:26.157]  And they're saying, we don't need these people.
[02:42:27.020 --> 02:42:28.921]  They're sending people to labor camps.
[02:42:29.121 --> 02:42:33.943]  They're figuring out who's loyal, who's naughty and nice, so to speak, as they go to war.
[02:42:34.303 --> 02:42:39.865]  And they're making sure that the whole country is under very strict military control.
[02:42:40.185 --> 02:42:43.606]  So it's about establishing military-type control over the country.
[02:42:43.967 --> 02:42:45.067]  That's what it's really about.
[02:42:46.127 --> 02:42:47.228]  You're exactly right.
[02:42:47.268 --> 02:43:05.384]  I saw in the transcript of the leaked audio they specifically mentioned special operations, Chinese military forces, to be able to put down uprisings that they expect to take place in Guangzhou and Shenzhen, two of the mega cities in China that are fairly close to Hong Kong in that area.
[02:43:05.864 --> 02:43:13.011]  But even China is expecting massive civil unrest in their own country as they wage war against the rest of the world.
[02:43:14.286 --> 02:43:16.447]  Yeah, China is extremely vulnerable to that.
[02:43:16.987 --> 02:43:19.668]  One of the reasons is they've just shut off their economy.
[02:43:20.609 --> 02:43:25.150]  They have shut off, look at all the money that they've made selling things abroad.
[02:43:25.330 --> 02:43:26.651]  They're closing their ports.
[02:43:26.851 --> 02:43:27.131]  Why?
[02:43:27.631 --> 02:43:34.354]  Because they can't conduct normal trade with the rest of the world when there's a war in the ocean right outside their country.
[02:43:35.000 --> 02:43:35.880]  They can't do that.
[02:43:35.980 --> 02:43:37.441]  So they are shutting down their economy.
[02:43:37.461 --> 02:43:38.361]  That means no money.
[02:43:38.762 --> 02:43:40.062]  That means no salaries.
[02:43:40.702 --> 02:43:41.783]  What do they tell people?
[02:43:41.843 --> 02:43:42.643]  You have no money.
[02:43:42.683 --> 02:43:44.004]  Here's your food ration.
[02:43:44.364 --> 02:43:45.884]  Here you have to go to work here.
[02:43:46.365 --> 02:43:53.287]  They have to establish extremely strict control to get people to work basically as slaves because it's a war emergency.
[02:43:53.347 --> 02:43:55.128]  You have to obey the Communist Party.
[02:43:55.428 --> 02:43:56.889]  We're going to war against America.
[02:43:56.929 --> 02:43:59.290]  The Communist Party is the only thing that can save us.
[02:43:59.870 --> 02:44:04.976]  By the way, we've even heard policemen on the streets of Shanghai saying this to people.
[02:44:05.156 --> 02:44:06.177]  You must obey.
[02:44:06.197 --> 02:44:10.542]  Don't you know we're going to war with America, the Communist Party?
[02:44:10.622 --> 02:44:12.044]  You have to obey their rules.
[02:44:12.905 --> 02:44:16.689]  This is all part of the transition to a wartime China.
[02:44:17.898 --> 02:44:23.720]  Yeah, the creepy little robot dogs walking around saying, you know, give up all your dreams of freedom and things like that.
[02:44:23.740 --> 02:44:25.320]  I mean, pure, pure China.
[02:44:25.820 --> 02:44:33.842]  But, you know, we've also seen that in addition to converting over to wartime preparations, China is engaged in currency wars.
[02:44:34.162 --> 02:44:37.703]  They appear to be dumping the dollar and stocking up on other global currencies.
[02:44:38.023 --> 02:44:43.905]  They appear to be ditching anything related to treasuries or things that would be affected by the collapse of the dollar.
[02:44:44.605 --> 02:45:01.091]  And from other sources I've interviewed, it is believed that China and Russia and some other nations are going to launch a digital currency backed by commodities in order to take down the dollar and weaken the United States in preparation for the invasion, thereby depriving the U.S.
