[00:00.000 --> 00:20.080]  Further escalation of the war, whether by accident or design, threatens all of humanity.
[1:28:54.120 --> 1:29:15.120]  This is the stuff nuclear war is made of.
[1:29:24.120 --> 1:29:40.120]  They're suppressing the voices of good people all around the world and of doctors and scientists and engineers that are exposing all their lives, their COVID hysteria, their world's going to end in 2030, carbon tax, global warming bull, all of it.
[1:29:40.120 --> 1:29:47.120]  And none of it can succeed. None of it can actually be carried out unless everybody is silenced and gaslit.
[1:29:47.120 --> 1:29:55.120]  And that's why truth comes with hard work and with research and with diligence, and that's why it's hard to share in Cold War's links and band up with the Olympics.
[1:29:55.120 --> 1:29:59.120]  That's why we've got to share them now more than ever.
[1:29:59.120 --> 1:30:09.120]  Taking advantage of one of nature's most nutrient-dense ingredients, VasoBeat will be your new favorite InfoWars life formula.
[1:30:09.120 --> 1:30:18.120]  Using only water and beetroot, VasoBeat is the most concentrated liquid extract of wheat on the market.
[1:30:18.120 --> 1:30:33.120]  With concentrated beet extract, you can get the high levels of betaine, nitrates, and antioxidants you want to help support a healthy liver, athletic performance, blood vessels, and more.
[1:30:33.120 --> 1:30:46.120]  To overlook the power of beetroot, take your naturally occurring potassium, folate, vitamin C, iron, selenium, zinc, vitamin K, and more.
[1:30:46.120 --> 1:30:57.120]  With one of nature's greatest treasures in VasoBeat from InfoWars life today.
[1:30:57.120 --> 1:31:06.120]  With the world awakening, I think it was important that we were right to prevent them right now, take advantage of this moment, and I have always an idea that something everybody can do, that every listener can do.
[1:31:06.120 --> 1:31:15.120]  I think it'd be powerful and effective for us to hang the banners over highways, imagine a giant bean or a piece of a layup made up that says Alex Jones is right, InfoWars.com.
[1:31:15.120 --> 1:31:18.120]  We stand with the truckers, we'll rest out or whatever.
[1:31:18.120 --> 1:31:20.120]  Brother, I'm so glad you called elaborate on this.
[1:31:20.120 --> 1:31:31.120]  Yes, now is the time in your small town or your big city to write something on the bathroom wall, or to put a sticker on your car, or banner hangs over highways, and it will be a chain reaction.
[1:31:31.120 --> 1:31:33.120]  What do you recommend people say on these banner hangs?
[1:31:33.120 --> 1:31:34.120]  I have a few ideas.
[1:31:34.120 --> 1:31:37.120]  First of all, health care is really important to our farm.
[1:31:37.120 --> 1:31:39.120]  Rest out, rest out, swap.
[1:31:39.120 --> 1:31:40.120]  Vaccine is poison.
[1:31:40.120 --> 1:31:41.120]  There's tons of things.
[1:31:41.120 --> 1:31:43.120]  I say just keep it short, keep it concise.
[1:31:43.120 --> 1:31:44.120]  Don't agree.
[1:31:44.120 --> 1:31:45.120]  Arrest Fauci, arrest Bill Gates.
[1:31:45.120 --> 1:31:47.120]  The COVID-19 vaccine is poison.
[1:31:47.120 --> 1:31:48.120]  Beautiful.
[1:31:48.120 --> 1:31:52.120]  There's ways that we could all be involved if we could all be affected, so that's what I'm calling about.
[1:31:52.120 --> 1:31:53.120]  God bless you, Chris.
[1:31:53.120 --> 1:31:56.120]  In Atlanta, I really, really appreciate you calling us today.
[1:31:56.120 --> 1:32:25.120]  Thank you so much.
[1:32:26.120 --> 1:32:51.120]  Thank you.
[1:32:56.120 --> 1:33:21.120]  Thank you.
[1:33:21.120 --> 1:33:47.120]  Thank you.
[1:33:47.120 --> 1:34:13.120]  Thank you.
[1:34:13.120 --> 1:34:39.120]  Thank you.
[1:34:39.120 --> 1:35:05.120]  Thank you.
[1:35:05.120 --> 1:35:33.120]  Thank you.
[1:35:33.120 --> 1:35:59.120]  Thank you.
[1:35:59.120 --> 1:36:26.120]  Thank you.
[1:36:26.120 --> 1:36:52.120]  Thank you.
[1:36:52.120 --> 1:37:19.120]  Thank you.
[1:37:19.120 --> 1:37:46.120]  Thank you.
[1:37:46.120 --> 1:38:12.120]  Thank you.
[1:38:12.120 --> 1:38:38.120]  Thank you.
[1:38:38.120 --> 1:39:04.120]  Thank you.
[1:39:04.120 --> 1:39:30.120]  Thank you.
[1:39:30.120 --> 1:39:58.120]  Thank you.
[1:39:58.120 --> 1:40:24.120]  Thank you.
[1:40:24.120 --> 1:40:51.120]  Thank you.
[1:40:51.120 --> 1:41:17.120]  Thank you.
[1:41:17.120 --> 1:41:44.120]  Thank you.
[1:41:44.120 --> 1:42:10.120]  Thank you.
[1:42:10.120 --> 1:42:37.120]  Thank you.
[1:42:37.120 --> 1:42:59.120]  Thank you.
[1:42:59.120 --> 1:43:25.120]  Thank you.
[1:43:25.120 --> 1:43:52.120]  Thank you.
[1:43:52.120 --> 1:44:19.120]  Thank you.
[1:44:19.120 --> 1:44:46.120]  Thank you.
[1:44:46.120 --> 1:45:15.120]  Thank you.
[1:45:15.120 --> 1:45:42.120]  Thank you.
[1:45:42.120 --> 1:45:57.120]  Thank you.
[1:45:57.120 --> 1:46:24.120]  Thank you.
[1:46:24.120 --> 1:46:46.120]  Thank you.
[1:46:46.120 --> 1:47:12.120]  Thank you.
[1:47:12.120 --> 1:47:39.120]  Thank you.
[1:47:39.120 --> 1:48:06.120]  Thank you.
[1:48:06.120 --> 1:48:34.120]  Thank you.
[1:48:34.120 --> 1:49:02.120]  Thank you.
[1:49:02.120 --> 1:49:29.120]  Thank you.
[1:49:29.120 --> 1:49:57.120]  Thank you.
[1:49:57.120 --> 1:50:24.120]  Thank you.
[1:50:24.120 --> 1:50:49.120]  Thank you.
[1:50:49.120 --> 1:51:16.120]  Thank you.
[1:51:16.120 --> 1:51:37.120]  Thank you.
[1:51:37.120 --> 1:52:05.120]  Thank you.
[1:52:05.120 --> 1:52:31.120]  Thank you.
[1:52:31.120 --> 1:52:58.120]  Thank you.
[1:52:58.120 --> 1:53:25.120]  Thank you.
[1:53:25.120 --> 1:53:52.120]  Thank you.
[1:53:52.120 --> 1:54:20.120]  Thank you.
[1:54:20.120 --> 1:54:47.120]  Thank you.
[1:54:47.120 --> 1:55:14.120]  Thank you.
[1:55:14.120 --> 1:55:42.120]  Thank you.
[1:55:42.120 --> 1:56:09.120]  Thank you.
[1:56:09.120 --> 1:56:36.120]  Thank you.
[1:56:36.120 --> 1:57:03.120]  Thank you.
[1:57:03.120 --> 1:57:31.120]  Thank you.
[1:57:31.120 --> 1:57:58.120]  Thank you.
[1:57:58.120 --> 1:58:26.120]  Thank you.
[1:58:26.120 --> 1:58:48.120]  Thank you.
[1:58:48.120 --> 1:59:16.120]  Thank you.
[1:59:16.120 --> 1:59:42.120]  Thank you.
[1:59:42.120 --> 2:00:09.120]  Thank you.
[2:00:09.120 --> 2:00:36.120]  Thank you.
[2:00:36.120 --> 2:01:04.120]  Thank you.
[2:01:04.120 --> 2:01:33.120]  Thank you.
[2:01:34.120 --> 2:02:01.120]  Thank you.
[2:02:01.120 --> 2:02:29.120]  Thank you.
[2:02:29.120 --> 2:02:56.120]  Thank you.
[2:02:56.120 --> 2:03:22.120]  Thank you.
[2:03:22.120 --> 2:03:50.120]  Thank you.
[2:03:50.120 --> 2:04:17.120]  Thank you.
[2:04:17.120 --> 2:04:45.120]  Thank you.
[2:04:45.120 --> 2:05:00.120]  Thank you.
[2:05:00.120 --> 2:05:27.120]  Thank you.
[2:05:27.120 --> 2:05:54.120]  Thank you.
[2:05:54.120 --> 2:06:20.120]  Thank you.
[2:06:20.120 --> 2:06:47.120]  Thank you.
[2:06:47.120 --> 2:07:13.120]  Thank you.
[2:07:13.120 --> 2:07:40.120]  Thank you.
[2:07:40.120 --> 2:08:07.120]  Thank you.
[2:08:07.120 --> 2:08:34.120]  Thank you.
[2:08:34.120 --> 2:09:00.120]  Thank you.
[2:09:00.120 --> 2:09:28.120]  Thank you.
[2:09:28.120 --> 2:09:54.120]  Thank you.
[2:09:54.120 --> 2:10:21.120]  Thank you.
[2:10:21.120 --> 2:10:48.120]  Thank you.
[2:10:48.120 --> 2:11:15.120]  Thank you.
[2:11:15.120 --> 2:11:41.120]  Thank you.
[2:11:41.120 --> 2:12:08.120]  Thank you.
[2:12:08.120 --> 2:12:36.120]  Thank you.
[2:12:36.120 --> 2:13:04.120]  Thank you.
[2:13:04.120 --> 2:13:32.120]  Thank you.
[2:13:32.120 --> 2:13:58.120]  Thank you.
[2:13:58.120 --> 2:14:26.120]  Thank you.
[2:14:26.120 --> 2:14:54.120]  Thank you.
[2:14:54.120 --> 2:15:20.120]  Thank you.
[2:15:20.120 --> 2:15:48.120]  Thank you.
[2:15:48.120 --> 2:15:57.120]  Thank you.
[2:16:18.120 --> 2:16:47.120]  Thank you.
[2:16:47.120 --> 2:16:57.120]  Thank you.
[2:17:17.120 --> 2:17:44.120]  Thank you.
[2:17:44.120 --> 2:17:59.120]  Thank you.
[2:17:59.120 --> 2:18:25.120]  Thank you.
[2:18:25.120 --> 2:18:51.120]  Thank you.
[2:18:51.120 --> 2:19:18.120]  Thank you.
[2:19:18.120 --> 2:19:46.120]  Thank you.
[2:19:46.120 --> 2:20:06.120]  Thank you.
[2:20:16.120 --> 2:20:40.120]  Thank you.
[2:20:40.120 --> 2:21:06.120]  Thank you.
[2:21:06.120 --> 2:21:32.120]  Thank you.
[2:21:32.120 --> 2:21:58.120]  Thank you.
[2:21:58.120 --> 2:22:25.120]  Thank you.
[2:22:25.120 --> 2:22:53.120]  Thank you.
[2:22:53.120 --> 2:23:20.120]  Thank you.
[2:23:20.120 --> 2:23:48.120]  Thank you.
[2:23:48.120 --> 2:24:14.120]  Thank you.
[2:24:14.120 --> 2:24:29.120]  Thank you.
[2:24:29.120 --> 2:24:57.120]  Thank you.
[2:24:57.120 --> 2:25:24.120]  Thank you.
[2:25:24.120 --> 2:25:52.120]  Thank you.
[2:25:52.120 --> 2:26:18.120]  Thank you.
[2:26:18.120 --> 2:26:45.120]  Thank you.
[2:26:45.120 --> 2:27:13.120]  Thank you.
[2:27:13.120 --> 2:27:40.120]  Thank you.
[2:27:40.120 --> 2:28:07.120]  Thank you.
[2:28:07.120 --> 2:28:35.120]  Thank you.
[2:28:35.120 --> 2:28:57.120]  Thank you.
[2:28:57.120 --> 2:29:25.120]  Thank you.
[2:29:25.120 --> 2:29:51.120]  Thank you.
[2:29:51.120 --> 2:30:18.120]  Thank you.
[2:30:18.120 --> 2:30:46.120]  Thank you.
[2:30:46.120 --> 2:30:57.120]  Thank you.
[2:30:57.120 --> 2:31:25.120]  Thank you.
[2:31:25.120 --> 2:31:48.120]  Thank you.
[2:31:48.120 --> 2:32:15.120]  Thank you.
[2:32:15.120 --> 2:32:42.120]  Thank you.
[2:32:42.120 --> 2:33:08.120]  Thank you.
[2:33:08.120 --> 2:33:35.120]  Thank you.
[2:33:35.120 --> 2:34:02.120]  Thank you.
[2:34:02.120 --> 2:34:29.120]  Thank you.
[2:34:29.120 --> 2:34:57.120]  Thank you.
[2:34:57.120 --> 2:35:24.120]  Thank you.
[2:35:24.120 --> 2:35:52.120]  Thank you.
[2:35:52.120 --> 2:36:19.120]  Thank you.
[2:36:19.120 --> 2:36:46.120]  Thank you.
[2:36:46.120 --> 2:37:14.120]  Thank you.
[2:37:14.120 --> 2:37:42.120]  Thank you.
[2:37:42.120 --> 2:38:10.120]  Thank you.
[2:38:10.120 --> 2:38:38.120]  Thank you.
[2:38:38.120 --> 2:39:06.120]  Thank you.
[2:39:06.120 --> 2:39:34.120]  Thank you.
[2:39:34.120 --> 2:40:02.120]  Thank you.
[2:40:02.120 --> 2:40:30.120]  Thank you.
[2:40:30.120 --> 2:40:57.120]  Thank you.
[2:40:57.120 --> 2:41:23.120]  Thank you.
[2:41:23.120 --> 2:41:51.120]  Thank you.
[2:41:51.120 --> 2:42:19.120]  Thank you.
[2:42:19.120 --> 2:42:46.120]  Thank you.
[2:42:46.120 --> 2:43:14.120]  Thank you.
[2:43:14.120 --> 2:43:42.120]  Thank you.
[2:43:42.120 --> 2:43:57.120]  Thank you.
[2:43:57.120 --> 2:44:23.120]  Thank you.
[2:44:23.120 --> 2:44:52.120]  Thank you.
[2:44:52.120 --> 2:45:19.120]  Thank you.
[2:45:19.120 --> 2:45:47.120]  Thank you.
[2:45:47.120 --> 2:46:15.120]  Thank you.
[2:46:15.120 --> 2:46:42.120]  Thank you.
[2:46:42.120 --> 2:47:09.120]  Thank you.
[2:47:12.120 --> 2:47:39.120]  Thank you.
[2:47:39.120 --> 2:48:07.120]  Thank you.
[2:48:07.120 --> 2:48:35.120]  Thank you.
[2:48:35.120 --> 2:49:03.120]  Thank you.
[2:49:03.120 --> 2:49:31.120]  Thank you.
[2:49:31.120 --> 2:49:59.120]  Thank you.
[2:49:59.120 --> 2:50:27.120]  Thank you.
[2:50:27.120 --> 2:50:55.120]  Thank you.
[2:50:55.120 --> 2:51:23.120]  Thank you.
[2:51:23.120 --> 2:51:51.120]  Thank you.
[2:51:51.120 --> 2:52:19.120]  Thank you.
[2:52:19.120 --> 2:52:47.120]  Thank you.
[2:52:47.120 --> 2:53:15.120]  Thank you.
[2:53:15.120 --> 2:53:43.120]  Thank you.
[2:53:43.120 --> 2:54:11.120]  Thank you.
[2:54:11.120 --> 2:54:39.120]  Thank you.
[2:54:39.120 --> 2:55:07.120]  Thank you.
[2:55:07.120 --> 2:55:35.120]  Thank you.
[2:55:35.120 --> 2:56:03.120]  Thank you.
[2:56:03.120 --> 2:56:31.120]  Thank you.
[2:56:31.120 --> 2:56:59.120]  Thank you.
[2:56:59.120 --> 2:57:27.120]  Thank you.
[2:57:27.120 --> 2:57:55.120]  Thank you.
[2:57:55.120 --> 2:58:23.120]  Thank you.
[2:58:23.120 --> 2:58:47.120]  Thank you.
[2:58:47.120 --> 2:59:15.120]  Thank you.
[2:59:15.120 --> 2:59:43.120]  Thank you.
[2:59:43.120 --> 2:59:57.120]  Thank you.
[3:00:13.120 --> 3:00:41.120]  Thank you.
[3:00:41.120 --> 3:01:09.120]  Thank you.
[3:01:09.120 --> 3:01:37.120]  Thank you.
[3:01:37.120 --> 3:02:05.120]  Thank you.
[3:02:05.120 --> 3:02:33.120]  Thank you.
[3:02:33.120 --> 3:03:01.120]  Thank you.
[3:03:01.120 --> 3:03:29.120]  Thank you.
[3:03:29.120 --> 3:03:57.120]  Thank you.
[3:03:57.120 --> 3:04:25.120]  Thank you.
[3:04:25.120 --> 3:04:53.120]  Thank you.
[3:04:53.120 --> 3:05:21.120]  Thank you.
[3:05:21.120 --> 3:05:49.120]  Thank you.
[3:05:49.120 --> 3:06:17.120]  Thank you.
[3:06:17.120 --> 3:06:45.120]  Thank you.
[3:06:45.120 --> 3:07:13.120]  Thank you.
[3:07:13.120 --> 3:07:41.120]  Thank you.
[3:07:41.120 --> 3:08:09.120]  Thank you.
[3:08:09.120 --> 3:08:37.120]  Thank you.
[3:08:37.120 --> 3:09:05.120]  Thank you.
[3:09:05.120 --> 3:09:33.120]  Thank you.
[3:09:33.120 --> 3:10:01.120]  Thank you.
[3:10:01.120 --> 3:10:29.120]  Thank you.
[3:10:29.120 --> 3:10:57.120]  Thank you.
[3:10:57.120 --> 3:11:25.120]  Thank you.
[3:11:25.120 --> 3:11:53.120]  Thank you.
[3:11:53.120 --> 3:12:21.120]  Thank you.
[3:12:21.120 --> 3:12:49.120]  Thank you.
[3:12:49.120 --> 3:13:17.120]  Thank you.
[3:13:17.120 --> 3:13:45.120]  Thank you.
[3:13:45.120 --> 3:14:13.120]  Thank you.
[3:14:13.120 --> 3:14:41.120]  Thank you.
[3:14:41.120 --> 3:15:09.120]  Thank you.
[3:15:09.120 --> 3:15:37.120]  Thank you.
[3:15:37.120 --> 3:16:05.120]  Thank you.
[3:16:05.120 --> 3:16:33.120]  Thank you.
[3:16:33.120 --> 3:16:55.120]  Thank you.
[3:16:55.120 --> 3:17:23.120]  Thank you.
[3:17:23.120 --> 3:17:51.120]  Thank you.
[3:17:51.120 --> 3:18:17.120]  Thank you.
[3:18:17.120 --> 3:18:45.120]  Thank you.
[3:18:45.120 --> 3:19:13.120]  Thank you.
[3:19:13.120 --> 3:19:41.120]  Thank you.
[3:19:41.120 --> 3:20:07.120]  Thank you.
[3:20:07.120 --> 3:20:35.120]  Thank you.
[3:20:35.120 --> 3:21:03.120]  Thank you.
[3:21:03.120 --> 3:21:31.120]  Thank you.
[3:21:31.120 --> 3:21:59.120]  Thank you.
[3:21:59.120 --> 3:22:27.120]  Thank you.
[3:22:27.120 --> 3:22:55.120]  Thank you.
[3:22:55.120 --> 3:23:23.120]  Thank you.
[3:23:23.120 --> 3:23:51.120]  Thank you.
[3:23:51.120 --> 3:24:19.120]  Thank you.
[3:24:19.120 --> 3:24:47.120]  Thank you.
[3:24:47.120 --> 3:25:15.120]  Thank you.
[3:25:15.120 --> 3:25:43.120]  Thank you.
[3:25:43.120 --> 3:26:11.120]  Thank you.
[3:26:11.120 --> 3:26:39.120]  Thank you.
[3:26:39.120 --> 3:27:07.120]  Thank you.
[3:27:07.120 --> 3:27:35.120]  Thank you.
[3:27:35.120 --> 3:28:03.120]  Thank you.
[3:28:03.120 --> 3:28:31.120]  Thank you.
[3:28:31.120 --> 3:28:59.120]  Thank you.
[3:28:59.120 --> 3:29:27.120]  Thank you.
[3:29:27.120 --> 3:29:55.120]  Thank you.
[3:29:55.120 --> 3:30:23.120]  Thank you.
[3:30:23.120 --> 3:30:51.120]  Thank you.
[3:30:51.120 --> 3:31:19.120]  Thank you.
[3:31:19.120 --> 3:31:47.120]  Thank you.
[3:31:47.120 --> 3:32:15.120]  Thank you.
[3:32:15.120 --> 3:32:43.120]  Thank you.
[3:32:43.120 --> 3:33:09.120]  Thank you.
[3:33:09.120 --> 3:33:37.120]  Thank you.
[3:33:39.120 --> 3:34:07.120]  Thank you.
[3:34:07.120 --> 3:34:35.120]  Thank you.
[3:34:35.120 --> 3:35:03.120]  Thank you.
[3:35:03.120 --> 3:35:31.120]  Thank you.
[3:35:31.120 --> 3:35:59.120]  Thank you.
[3:35:59.120 --> 3:36:27.120]  Thank you.
[3:36:27.120 --> 3:36:55.120]  Thank you.
[3:36:55.120 --> 3:37:23.120]  Thank you.
[3:37:23.120 --> 3:37:51.120]  Thank you.
[3:37:51.120 --> 3:38:19.120]  Thank you.
[3:38:19.120 --> 3:38:47.120]  Thank you.
[3:38:47.120 --> 3:39:15.120]  Thank you.
[3:39:15.120 --> 3:39:43.120]  Thank you.
[3:39:43.120 --> 3:40:11.120]  Thank you.
[3:40:11.120 --> 3:40:39.120]  Thank you.
[3:40:39.120 --> 3:41:07.120]  Thank you.
[3:41:07.120 --> 3:41:35.120]  Thank you.
[3:41:35.120 --> 3:42:03.120]  Thank you.
[3:42:03.120 --> 3:42:31.120]  Thank you.
[3:42:31.120 --> 3:42:59.120]  Thank you.
[3:42:59.120 --> 3:43:27.120]  Thank you.
[3:43:27.120 --> 3:43:55.120]  Thank you.
[3:43:57.120 --> 3:44:25.120]  Thank you.
[3:44:25.120 --> 3:44:53.120]  Thank you.
[3:44:53.120 --> 3:45:21.120]  Thank you.
[3:45:21.120 --> 3:45:49.120]  Thank you.
[3:45:49.120 --> 3:46:17.120]  Thank you.
[3:46:17.120 --> 3:46:45.120]  Thank you.
[3:46:45.120 --> 3:47:13.120]  Thank you.
[3:47:13.120 --> 3:47:41.120]  Thank you.
[3:47:41.120 --> 3:48:09.120]  Thank you.
[3:48:09.120 --> 3:48:37.120]  Thank you.
[3:48:37.120 --> 3:49:05.120]  Thank you.
[3:49:05.120 --> 3:49:33.120]  Thank you.
[3:49:33.120 --> 3:50:01.120]  Thank you.
[3:50:01.120 --> 3:50:29.120]  Thank you.
[3:50:29.120 --> 3:50:57.120]  Thank you.
[3:50:57.120 --> 3:51:25.120]  Thank you.
[3:51:25.120 --> 3:51:53.120]  Thank you.
[3:51:53.120 --> 3:52:21.120]  Thank you.
[3:52:21.120 --> 3:52:47.120]  Thank you.
[3:52:47.120 --> 3:53:15.120]  Thank you.
[3:53:15.120 --> 3:53:43.120]  Thank you.
[3:53:43.120 --> 3:54:11.120]  Thank you.
[3:54:11.120 --> 3:54:39.120]  Thank you.
[3:54:39.120 --> 3:55:07.120]  Thank you.
[3:55:07.120 --> 3:55:35.120]  Thank you.
[3:55:35.120 --> 3:56:03.120]  Thank you.
[3:56:03.120 --> 3:56:31.120]  Thank you.
[3:56:31.120 --> 3:56:59.120]  Thank you.
[3:56:59.120 --> 3:57:27.120]  Thank you.
[3:57:27.120 --> 3:57:55.120]  Thank you.
[3:57:55.120 --> 3:58:23.120]  Thank you.
[3:58:23.120 --> 3:58:49.120]  Thank you.
[3:58:49.120 --> 3:59:17.120]  Thank you.
[3:59:17.120 --> 3:59:45.120]  Thank you.
[3:59:45.120 --> 3:59:55.120]  Thank you.
