[00:00.000 --> 00:07.000]  Ladies and gentlemen, thank you so much for joining us today.
[2:57:13.000 --> 2:57:17.000]  I don't read off teleprompters. I don't give it scripts. I just tell the truth.
[2:57:17.000 --> 2:57:22.000]  And that judge, again, admonished that I would go to jail tomorrow if I give any other answer of yes, no, or I don't know.
[2:57:22.000 --> 2:57:28.000]  So when they get up and say, isn't it true you made money off this? No. The judge says I'll go to jail.
[2:57:28.000 --> 2:57:32.000]  She says I did. It's a lie. She says that you didn't give us evidence.
[2:57:32.000 --> 2:57:37.000]  I say you're guilty when we gave her all the evidence, but the evidence doesn't fit. Do you understand?
[2:57:37.000 --> 2:57:40.000]  This is a kangaroo trial. This is a fraud. This is a danger.
[2:57:40.000 --> 2:57:44.000]  All right. Listen, find the truth at infowars.com.
[2:57:47.000 --> 2:57:53.000]  Look around you. Everything I predicted from the Globlestone documents from their own admissions is now happening.
[2:57:53.000 --> 2:58:00.000]  Infowars credibility. My credibility has never been higher. And it's because if you're backing of this operation,
[2:58:00.000 --> 2:58:07.000]  that I could steadfastly, despite the censorship and the boycotts and the attacks and the lawsuits, stay on air.
[2:58:07.000 --> 2:58:12.000]  But now we're reaching the most critical juncture in the fight together.
[2:58:12.000 --> 2:58:17.000]  So I want to ask all of you today to help keep me on the air.
[2:58:17.000 --> 2:58:24.000]  In my decades on air, I've never asked for personal donations, but I'm being forced by the bankruptcy court to pay for 40% of the legal fees,
[2:58:24.000 --> 2:58:32.000]  and I can't fund those myself. It's unsustainable. So please visit saveinfowars.com.
[2:58:32.000 --> 2:58:38.000]  Saveinfowars.com where you can make straight donations, five, ten, fifty hundred dollars, whatever you can,
[2:58:38.000 --> 2:58:43.000]  so that I can continue to persevere. I'll never give up. I'll never give in, but I could give out.
[2:58:43.000 --> 2:58:48.000]  Thank you for your support. Wouldn't be without you. Saveinfowars.com.
[2:58:48.000 --> 2:58:59.000]  I have been in a 28-year marathon battle with a globalist. I have come from nowhere to the very heights of politics, not just in America, but the world.
[2:58:59.000 --> 2:59:06.000]  We are engaging the globalists at point-blank range in the information war. But I don't deserve the credit.
[2:59:06.000 --> 2:59:13.000]  Yes, I've persevered, but the listeners and viewers who support in info wars are the real reason you have the success.
[2:59:13.000 --> 2:59:19.000]  We're having now the greatest victories in the fight against the new order you've ever had.
[2:59:19.000 --> 2:59:28.000]  We are now entering the final mile of the marathon, and that's why today it's more important than ever to realize how important you've been in this fight
[2:59:28.000 --> 2:59:32.000]  and to continue in the efforts you've been tearing out and to intensify them.
[2:59:32.000 --> 2:59:42.000]  God bless you all. I salute you. I thank you, and I beg you to intensify what you're doing now, because we are over the target and this dream is happening.
[2:59:42.000 --> 3:00:10.000]  The fight is my fight. It's your fight. It's our fight. God bless you all.
[3:00:10.000 --> 3:00:24.000]  The answer to 1984 is 1776. You're listening to the Alex Jones Show with Gerald Salente.
[3:00:24.000 --> 3:00:34.000]  A great being on the Alex Jones Show. What Alex Jones just said before I came on the air, everybody should listen to word for word.
[3:00:34.000 --> 3:00:44.000]  This is very important. Listen to democracy. What democracy? We've lost our freedom.
[3:00:44.000 --> 3:00:52.000]  How dare you not swallow my crap? I'm your governor. I'll tell you what to swallow.
[3:00:52.000 --> 3:01:05.000]  I'm little Andy Cuomo, an arrogant little boy of nothing, a daddy's boy, born on third base and thought I had a home run. Lock down your business.
[3:01:05.000 --> 3:01:19.000]  You are not in America. You will do what you are told. You will not question me, because if we do, you'll be sensing.
[3:01:19.000 --> 3:01:25.000]  I'll shut down your business for as long as I want to.
[3:01:25.000 --> 3:01:42.000]  I'll tell you what to do. I'm Gavin Newsome, gruesome Newsome. I'm little stupid de Blasio, a piece of scum crap that never worked a day in his life that's been sucking off the public.
[3:01:42.000 --> 3:01:51.000]  You know what? And I changed my name to de Blasio. My real name is Warren William Jr.
[3:01:51.000 --> 3:01:58.000]  But I want to get the Italian-American vote in New York to bring my mother's name, de Blasio, in there.
[3:01:58.000 --> 3:02:05.000]  You're not allowed to speak freedom. You're not allowed to question, quote, the authorities.
[3:02:05.000 --> 3:02:14.000]  Little pieces of scum, authority. Who's your favorite authority?
[3:02:14.000 --> 3:02:26.000]  What imbecile do you like the best? Hey, how about Fauci? Now, there's a guy for you. Why don't you swallow his crap? Sold you AIDS?
[3:02:26.000 --> 3:02:33.000]  Yep, sold you to COVID war. Oh, it made millions and millions of bucks doing it.
[3:02:33.000 --> 3:02:43.000]  What Alex Jones just said is so important. Okay, he got it wrong. It's Sandy Hook.
[3:02:43.000 --> 3:02:51.000]  Not great. He's sorry he did it. What crime did he commit?
[3:02:51.000 --> 3:03:02.000]  This is a tweet that I just sent out about 40 minutes ago before Alex got on the air, having no talk, no discussion with him at all.
[3:03:02.000 --> 3:03:17.000]  If Alex Jones is guilty in Sandy Hook defamation lawsuit, then George W. Bush, who so lies that Saddam had weapons of mass destruction, is guilty of mass murder.
[3:03:17.000 --> 3:03:31.000]  Jones killed no one. Bring Bush gang that killed millions and destroyed a rock to court or end Jones' trial.
[3:03:31.000 --> 3:03:41.000]  Got it? End Jones' trial. Hey, how about bringing little Dick Cheney up on war crime charges?
[3:03:41.000 --> 3:03:49.000]  Oh, I gotta be proper. I don't want to get, I don't want to get them taken off the air. I can't say Dick. I gotta be proper.
[3:03:49.000 --> 3:04:02.000]  How about this, Cheney? How about that guy, Wolfowitz? Yeah, and I didn't spell his name right. It begins with an S and got an H in there, too. Yeah.
[3:04:02.000 --> 3:04:10.000]  How about that little clown? How about Condoleezza Rice, the next mushroom cloud you see?
[3:04:10.000 --> 3:04:23.000]  How about the New York slime, the toilet paper or record? That's so the lie that Saddam was saying, getting them weapons of mass destruction, got them aluminum tubes?
[3:04:23.000 --> 3:04:33.000]  How come they're not brought up on trial? They killed millions of people. Alex Jones didn't kill anybody.
[3:04:33.000 --> 3:04:43.000]  You know what it is? We're living in slave landia. It's prosecution to the fullest for we the little people of slave landia.
[3:04:43.000 --> 3:04:57.000]  And when the big commit the biggest crimes, they get a slap on the wrist. You better support info wars and do everything you can to do it. We're going to be right back.
[3:04:57.000 --> 3:05:05.000]  The biggest sale of 2022 is now live. It's only running in the last week of September and the first week of October.
[3:05:05.000 --> 3:05:12.000]  Dozens of our best selling products are finally back in stock and they're 40 to 50% off across the board.
[3:05:12.000 --> 3:05:24.000]  And the most important of them all is Survival Shield X3. All three types of the very best iodine documented to not just boost your libido, your stamina, your health, your energy, your cells, your immune system,
[3:05:24.000 --> 3:05:37.000]  but to overall give you more energy. It's the foundation of everything from energy to fertility. X3 50% off is finally back in stock exclusively at infowarstore.com.
[3:05:37.000 --> 3:05:45.000]  You've heard the callers. You've seen the rave reviews. Now experience X3 for yourself exclusively at infowarstore.com 50% off.
[3:05:45.000 --> 3:05:50.000]  And while you're there, check out some of the other great products that are finally back in stock and massively discounted as well.
[3:05:50.000 --> 3:05:58.000]  Part of the infowarstore super sale running for two weeks only. Again, X3 back in stock 50% off.
[3:05:58.000 --> 3:06:18.000]  You're listening to the Alex Jones show and now your host Gerald Salente.
[3:06:18.000 --> 3:06:33.000]  Hey, great to be on the Alex Jones show. As I said, do everything you can to support info wars. Go to infowarstore.com, infowarstore.com and get what you need and buy what you need because you're helping yourself and you're helping info wars.
[3:06:33.000 --> 3:06:43.000]  I'm doing this. I don't get paid to do this job, to do this. I do it because I believe in info wars, what they're doing. And I support Alex Jones.
[3:06:43.000 --> 3:06:50.000]  Do I agree with everything he says? Of course not. Does he agree with everything I say? Of course not.
[3:06:50.000 --> 3:06:55.000]  But he hasn't censored me for saying what I'm saying.
[3:06:55.000 --> 3:07:04.000]  If I disagree with him on things about Trump, he said, look, it's free speech. You do what?
[3:07:04.000 --> 3:07:14.000]  But they censor you if you don't agree with them. Look what happened to Dr. Joseph Arcola. Look what happened to JFK Jr.
[3:07:14.000 --> 3:07:21.000]  They didn't swallow the crap about the Vax and all the other stuff and they're censored. They're taken off.
[3:07:21.000 --> 3:07:26.000]  And one article after another showing how censorship is, it's the crime syndicate.
[3:07:26.000 --> 3:07:35.000]  Borons and imbeciles call this place a government. It's not a government. By their deeds, you shall know them. They're a crime syndicate.
[3:07:35.000 --> 3:07:46.000]  Hey, I'm Jamie Dimon. I'm too big to fail. I talk about prosecution to the fullest. For we, the little people of slave landia,
[3:07:46.000 --> 3:07:55.000]  you have a couple of drinks and your back light over the license plate was off and they pull you over.
[3:07:55.000 --> 3:08:06.000]  Where were you? How many drinks did you have? Get out of your car. Stand on your head. Repeat the alphabet backwards.
[3:08:06.000 --> 3:08:15.000]  Hey, but Jamie Dimon, hey, convicted of five felonies at a JPMorgan Chase gang.
[3:08:15.000 --> 3:08:21.000]  Hey, we got a little fine. That's fine. But nobody goes to jail.
[3:08:21.000 --> 3:08:31.000]  Alex Jones didn't believe the narrative that came out of Sandy Hook and he got to go to jail and spend millions and millions of dollars.
[3:08:31.000 --> 3:08:37.000]  While the gangster banksters get a slap on the wrist, it's a crime syndicate.
[3:08:37.000 --> 3:08:45.000]  Little Georgie Bush, a little clown of nothing, a little boy of nothing.
[3:08:45.000 --> 3:08:53.000]  The Cajones is the size of a mothball. Mission accomplished. Mission accomplished.
[3:08:53.000 --> 3:09:08.000]  I lied to the American people. We killed, slaughtered a couple of millions, sometimes over a million Iraqis, destroyed the country.
[3:09:08.000 --> 3:09:21.000]  And now my daughter got a job on NBC. Yeah, that's right.
[3:09:21.000 --> 3:09:31.000]  You got it. Bill Giraldi, former top CIA agent.
[3:09:31.000 --> 3:09:40.000]  He was one of the speakers at my peace and freedom rally up here in Kingston, New York on July 23.
[3:09:40.000 --> 3:09:51.000]  Peace and freedom. Giraldi quit the CIA because he knew that they were lying.
[3:09:51.000 --> 3:09:55.000]  There were no weapons of mass destruction. And he said most of the CIA all knew it.
[3:09:55.000 --> 3:10:01.000]  That other arrogant little boy of nothing that tenant clown sold the crap.
[3:10:01.000 --> 3:10:06.000]  Or remember Colin Powell holding up his little colon of crap because that's what goes through the colon.
[3:10:06.000 --> 3:10:09.000]  And that's what little Colin Powell was hanging up.
[3:10:09.000 --> 3:10:16.000]  They're told in the UN. This is proof that Saddam Hussein has weapons of mass destruction and ties to Al Qaeda.
[3:10:16.000 --> 3:10:24.000]  Oh, Scott Ritter, another one of my speakers at the peace and freedom rally.
[3:10:24.000 --> 3:10:33.000]  The United Nations inspecting nuclear weapons. They don't have any nuclear weapons weapons of mass destruction going on in Iraq, he said.
[3:10:33.000 --> 3:10:36.000]  And he was the top guy that formed a Marine.
[3:10:36.000 --> 3:10:41.000]  But blacklisted slaughtered out of the news.
[3:10:41.000 --> 3:11:00.000]  But what he said, why aren't they being brought up on trial for taking us to wars based on lies that killed millions and destroyed an entire nation.
[3:11:00.000 --> 3:11:05.000]  So here you are, everybody listening.
[3:11:05.000 --> 3:11:13.000]  Let's reverse this. And let's say a guy by the name of Saddam, who's there he is, little Colin Powell.
[3:11:13.000 --> 3:11:18.000]  A colon of crap. A colon of crap.
[3:11:18.000 --> 3:11:25.000]  That the people swallowed. That that was proof of weapons of mass destruction.
[3:11:25.000 --> 3:11:29.000]  How stupid can you be? I'll tell you how stupid.
[3:11:29.000 --> 3:11:34.000]  Turning the culture news network. Listen to the lemon.
[3:11:34.000 --> 3:11:37.000]  What about the little Anderson Copa?
[3:11:37.000 --> 3:11:47.000]  Oh, oh, Chris Cuomo is getting a new job in another network so you could hear his crap.
[3:11:47.000 --> 3:11:53.000]  Why aren't they being brought up on trial?
[3:11:53.000 --> 3:11:56.000]  For killing all of these people.
[3:11:56.000 --> 3:12:05.000]  Suppose now Iraq was stronger than they were and said that.
[3:12:05.000 --> 3:12:13.000]  George Bush has weapons of mass destruction and ties to Al Qaeda, and we're going to attack America.
[3:12:13.000 --> 3:12:16.000]  And they attack America.
[3:12:16.000 --> 3:12:18.000]  Your mother was killed.
[3:12:18.000 --> 3:12:20.000]  Your brothers were killed.
[3:12:20.000 --> 3:12:23.000]  Your children were killed.
[3:12:23.000 --> 3:12:29.000]  Your cities destroyed.
[3:12:29.000 --> 3:12:35.000]  Your country is in destruction and decimated.
[3:12:35.000 --> 3:12:37.000]  Oh, you would be so happy.
[3:12:37.000 --> 3:12:40.000]  You would be just fine with that.
[3:12:40.000 --> 3:12:46.000]  No, it's only OK for America to go murder people around the world.
[3:12:46.000 --> 3:12:48.000]  Those lousy Russians.
[3:12:48.000 --> 3:12:52.000]  Oh, who started the Vietnam or the Americans of Vietnam War?
[3:12:52.000 --> 3:12:56.000]  Oh, the Bush boys to Iraq was you like those, huh?
[3:12:56.000 --> 3:12:58.000]  And I'm up.
[3:12:58.000 --> 3:13:00.000]  So I'm the same as going to kill my daddy.
[3:13:00.000 --> 3:13:02.000]  That's what the jerk said.
[3:13:02.000 --> 3:13:03.000]  Yep.
[3:13:03.000 --> 3:13:09.000]  Now, you know, you like the Afghan war.
[3:13:09.000 --> 3:13:13.000]  Only cost us what about numbers range around between all the wars, about six
[3:13:13.000 --> 3:13:16.000]  billion dollars to go to the military industrial complex.
[3:13:16.000 --> 3:13:21.000]  Why aren't these people being brought up on charges?
[3:13:21.000 --> 3:13:24.000]  Why are they being brought to court?
[3:13:24.000 --> 3:13:33.000]  Why is Alex Jones being brought to court?
[3:13:33.000 --> 3:13:35.000]  The defamation charges.
[3:13:35.000 --> 3:13:39.000]  When they have not, he didn't kill anybody.
[3:13:39.000 --> 3:13:42.000]  Look at all the murders that they committed.
[3:13:42.000 --> 3:13:45.000]  How come they're not being brought up on charges?
[3:13:45.000 --> 3:13:52.000]  Because it's America A. M. E. R. I. K. A.
[3:13:52.000 --> 3:13:58.000]  Look at what he's saying today is 100% on trend.
[3:13:58.000 --> 3:14:05.000]  If we don't fight for freedom, not only are we going to lose our freedom.
[3:14:05.000 --> 3:14:08.000]  When I come back, we're going to talk more.
[3:14:08.000 --> 3:14:10.000]  We're going to die in war.
[3:14:10.000 --> 3:14:12.000]  You got the maniac in charge.
[3:14:12.000 --> 3:14:16.000]  That is mine. Be as Biden.
[3:14:16.000 --> 3:14:20.000]  Ramping up the war with Ukraine.
[3:14:20.000 --> 3:14:27.000]  According to antiwar.com, almost 70 billion dollars of our money has gone to Ukraine.
[3:14:27.000 --> 3:14:35.000]  Hey, all you folks in Florida who have suffered that devastation of hurricane and your
[3:14:35.000 --> 3:14:38.000]  lives, your property is ruined.
[3:14:38.000 --> 3:14:41.000]  We're not going to sell you a couple of pennies.
[3:14:41.000 --> 3:14:43.000]  We're not worth anything.
[3:14:43.000 --> 3:14:48.000]  We got to give the money to the military industrial complex so that we can keep killing people
[3:14:48.000 --> 3:14:50.000]  around the world.
[3:14:50.000 --> 3:14:52.000]  Who cares about you down in Florida?
[3:14:52.000 --> 3:14:56.000]  Our money got to go to war for murder.
[3:14:56.000 --> 3:15:02.000]  Hey, maybe they're going to come after me for saying what I say.
[3:15:02.000 --> 3:15:07.000]  Oh, Selenti believes in peace and freedom.
[3:15:07.000 --> 3:15:10.000]  Life, liberty and the pursuit of happiness.
[3:15:10.000 --> 3:15:13.000]  Oh, yeah, think of the Declaration of Independence.
[3:15:13.000 --> 3:15:14.000]  Happiness?
[3:15:14.000 --> 3:15:17.000]  Happiness, Selenti, is a dirty word.
[3:15:17.000 --> 3:15:19.000]  You are not allowed to be happy.
[3:15:19.000 --> 3:15:21.000]  Hey, we're politicians.
[3:15:21.000 --> 3:15:26.000]  We sucked the joy out of life just like we did with the COVID war.
[3:15:26.000 --> 3:15:32.000]  When we locked down your businesses and destroyed the lives of livelihoods of billions of people
[3:15:32.000 --> 3:15:38.000]  around the planet, you better do what you can to support Info Wars.
[3:15:38.000 --> 3:15:40.000]  I'm doing all I can.
[3:15:40.000 --> 3:15:44.000]  And by the way, you're also going to want to subscribe to the Trends Journal.
[3:15:44.000 --> 3:15:47.000]  New issues coming out today.
[3:15:47.000 --> 3:15:50.000]  Yeah.
[3:15:50.000 --> 3:15:53.000]  The Nord Stream Pipeline, we blew it up.
[3:15:53.000 --> 3:15:55.000]  Ask Biden.
[3:15:55.000 --> 3:16:16.000]  We're right.
[3:16:25.000 --> 3:16:27.000]  No one else has got that.
[3:16:27.000 --> 3:16:28.000]  50% off.
[3:16:28.000 --> 3:16:29.000]  Organic green fiber caps.
[3:16:29.000 --> 3:16:30.000]  Highest quality.
[3:16:30.000 --> 3:16:31.000]  50% off.
[3:16:31.000 --> 3:16:32.000]  Supermode vitality.
[3:16:32.000 --> 3:16:33.000]  Fuel vitality.
[3:16:33.000 --> 3:16:34.000]  50% off.
[3:16:34.000 --> 3:16:35.000]  Ultimate Quarrel or back in stock.
[3:16:35.000 --> 3:16:36.000]  40% off.
[3:16:36.000 --> 3:16:37.000]  Knockout sleep support.
[3:16:37.000 --> 3:16:38.000]  40% off.
[3:16:38.000 --> 3:16:39.000]  It goes on and on.
[3:16:39.000 --> 3:16:40.000]  Vitamin D3 gummies.
[3:16:40.000 --> 3:16:41.000]  40% off.
[3:16:41.000 --> 3:16:42.000]  Vasyl beats.
[3:16:42.000 --> 3:16:43.000]  40% off.
[3:16:43.000 --> 3:16:44.000]  Open fish oil.
[3:16:44.000 --> 3:16:45.000]  40% off.
[3:16:45.000 --> 3:16:47.000]  You need to do this for your immune system this fall and winter.
[3:16:47.000 --> 3:16:49.000]  Plus it funds the Info War.
[3:16:49.000 --> 3:16:50.000]  Thank you for your support.
[3:16:50.000 --> 3:16:55.000]  The only way you lose is not going to infowarstore.com and getting 40 to 50% off on all these amazing
[3:16:55.000 --> 3:16:56.000]  products.
[3:16:56.000 --> 3:17:01.000]  Think about a world without Info Wars.
[3:17:01.000 --> 3:17:05.000]  Just take a moment and sit back and think about all the incredible guests and callers
[3:17:05.000 --> 3:17:07.000]  and stories we've broken together.
[3:17:07.000 --> 3:17:10.000]  This family that is Info Wars.
[3:17:10.000 --> 3:17:16.000]  Think about how Info Wars is cited by Joe Rogan and Tucker Carlson and Bal Senaro and other
[3:17:16.000 --> 3:17:23.000]  foreign leaders like Nigel Farage as being the main impetus towards firing up their main
[3:17:23.000 --> 3:17:26.000]  base to defeat the New World Order.
[3:17:26.000 --> 3:17:32.000]  The only reason humanity is still in the fight today is because the viewers and listeners
[3:17:32.000 --> 3:17:36.000]  of this broadcast have taken action and supported this show.
[3:17:36.000 --> 3:17:38.000]  I don't take the credit.
[3:17:38.000 --> 3:17:40.000]  I give you the credit.
[3:17:40.000 --> 3:17:43.000]  And now Info Wars is facing its darkest hours.
[3:17:43.000 --> 3:17:44.000]  It isn't going to give up.
[3:17:44.000 --> 3:17:47.000]  Without your support, we can be shut down.
[3:17:47.000 --> 3:17:50.000]  Please go to saveinfowars.com today.
[3:17:50.000 --> 3:17:56.000]  Saveinfowars.com today and donate for our legal defense fund.
[3:17:56.000 --> 3:18:02.000]  By the will of God and by God working through you and your support, Info Wars continues
[3:18:02.000 --> 3:18:07.000]  to persevere against attacks never before seen in the western world against independent
[3:18:07.000 --> 3:18:08.000]  media.
[3:18:08.000 --> 3:18:09.000]  Thanks for keeping me in the fight.
[3:18:09.000 --> 3:18:11.000]  And over the years, you have come to the table.
[3:18:11.000 --> 3:18:16.000]  You have stepped to the plate so many times and kept Info Wars and free speech on the
[3:18:16.000 --> 3:18:17.000]  air.
[3:18:17.000 --> 3:18:18.000]  And I thank you.
[3:18:18.000 --> 3:18:21.000]  But now I have my own legal bills that have reached the point that I can't pay them.
[3:18:21.000 --> 3:18:22.000]  Now I need your support.
[3:18:22.000 --> 3:18:27.000]  So if you want to keep this operation moving forward, if you want to back me in this fight
[3:18:27.000 --> 3:18:32.000]  against the globalist, please visit saveinfowars.com.
[3:18:32.000 --> 3:18:38.000]  And saveinfowars.com takes you to a URL that gives SINGO for direct Alex Jones legal defense
[3:18:38.000 --> 3:18:39.000]  fund.
[3:18:39.000 --> 3:18:44.000]  This whole phase of their attacks, four years in the making, is almost over.
[3:18:44.000 --> 3:18:48.000]  And right at the end, we're not giving up, we're not giving in, but we could give out.
[3:18:48.000 --> 3:18:52.000]  So please, if you support what we're doing and want to fight for liberty and freedom
[3:18:52.000 --> 3:18:56.000]  and just in the future, go to saveinfowars.com today.
[3:18:56.000 --> 3:19:01.000]  Think about a world without Info Wars.
[3:19:01.000 --> 3:19:06.000]  Just take a moment and sit back and think about all the incredible guests and callers and
[3:19:06.000 --> 3:19:10.600]  friends we've broken together, this family that is Info Wars.
[3:19:10.600 --> 3:19:15.740]  Think about how Info Wars is cited by Joe Rogan and Tucker Carlson and Bolsonaro and
[3:19:15.740 --> 3:19:23.200]  other foreign leaders like Nigel Farage as being the main impetus towards firing up their
[3:19:23.200 --> 3:19:26.720]  main base to defeat the New World Order.
[3:19:26.720 --> 3:19:32.480]  The only reason humanity is still in the fight today is because the viewers and listeners
[3:19:32.480 --> 3:19:36.960]  of this broadcast have taken action and supported this show.
[3:19:36.960 --> 3:19:40.560]  I don't take the credit, I give you the credit.
[3:19:40.560 --> 3:19:44.960]  And now Info Wars is facing its darkest hours, it isn't going to give up.
[3:19:44.960 --> 3:19:46.720]  Without your support, we can be shut down.
[3:19:46.720 --> 3:19:50.120]  Please go to saveinfowars.com today.
[3:19:50.120 --> 3:19:57.880]  Save Info Wars.com today and donate for our legal defense fund.
[3:19:57.880 --> 3:20:23.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[3:20:23.000 --> 3:20:33.000]  And now your host, Gerald Salente.
[3:20:33.000 --> 3:20:38.920]  Hey, great being on the Alex Jones show.
[3:20:38.920 --> 3:20:42.800]  Now we are in very perilous times right now.
[3:20:42.800 --> 3:20:45.120]  It's censoring truth.
[3:20:45.120 --> 3:20:52.960]  You're not allowed to say facts if they don't agree with them.
[3:20:52.960 --> 3:21:02.360]  And if censoring people like Alex Jones, Dr. Joseph McCollum, RFK Jr., many others to
[3:21:02.360 --> 3:21:12.160]  speaking out and saying what those in charge don't want us to say.
[3:21:12.160 --> 3:21:14.320]  This is not my America.
[3:21:14.320 --> 3:21:17.480]  Can I tell the story?
[3:21:17.480 --> 3:21:21.360]  I own three of the most historic buildings in America.
[3:21:21.360 --> 3:21:23.560]  You could look it up.
[3:21:23.560 --> 3:21:28.720]  Most historic four corners, Kingston, New York.
[3:21:28.720 --> 3:21:33.000]  This is the third Dutch settlement.
[3:21:33.000 --> 3:21:41.760]  And I own the Academy, which is one of the first schools, 1774 Academy, across the street
[3:21:41.760 --> 3:21:44.840]  from it is 1763.
[3:21:44.840 --> 3:21:51.320]  Dr. Jensenhouse, across the street from that is the 1750s.
[3:21:51.320 --> 3:21:56.920]  And the other one is the museum.
[3:21:56.920 --> 3:22:02.920]  And I bought these when I came back from Berlin back in 2012.
[3:22:02.920 --> 3:22:08.120]  We were opening the Trends Journal magazine there.
[3:22:08.120 --> 3:22:12.800]  And I was looking to leave the country before then because I was disgusted with the Nobel
[3:22:12.800 --> 3:22:19.480]  piece of crap prize when a Barack Obama, what a murderer he was, quote, I'm really good
[3:22:19.480 --> 3:22:24.320]  at killing people, he's quoted in the book, double down his saying, well, his drone strike
[3:22:24.320 --> 3:22:33.400]  and what he did to Libya and Syria, and this wasn't my America.
[3:22:33.400 --> 3:22:34.400]  So I came back.
[3:22:34.400 --> 3:22:47.520]  I left to go to Germany on April 17, 2012, and I came back on April 27, 10 days later.
[3:22:47.520 --> 3:22:52.920]  And the Franz Rogenhaus, a sign went up for sale when I was away, called the real estate
[3:22:52.920 --> 3:22:59.000]  person in on April 30, it took possession of the building on June 1.
[3:22:59.000 --> 3:23:01.200]  Why did I buy these buildings?
[3:23:01.200 --> 3:23:03.080]  I realized they couldn't run away.
[3:23:03.080 --> 3:23:06.320]  There are two big freaks everywhere.
[3:23:06.320 --> 3:23:14.320]  When I was in Germany, they were showing me around East Berlin used to be and all over
[3:23:14.320 --> 3:23:18.920]  the world, I thought this place is gorgeous, Berlin was nice, I spent a lot of time in
[3:23:18.920 --> 3:23:30.440]  Paris, in the Repiair, and Repiair's brother, by the way, Francois, was the left shoulder
[3:23:30.440 --> 3:23:37.160]  of Jacques Chirac in Mitterrand, one of the presidents of France.
[3:23:37.160 --> 3:23:40.840]  And my close combat teacher, John Perkins, used to go out there and work out with him
[3:23:40.840 --> 3:23:41.840]  in the house.
[3:23:41.840 --> 3:23:51.560]  I mean, I've been to Paris, Berlin was grander than Paris before it was bombed out.
[3:23:51.560 --> 3:23:57.240]  I'm looking at beautiful buildings and all new construction, beautiful 1800 built, all
[3:23:57.240 --> 3:24:03.480]  new construction, everywhere I went, say, why didn't the people stop?
[3:24:03.480 --> 3:24:04.480]  Where were the people?
[3:24:04.480 --> 3:24:05.480]  You're losing.
[3:24:05.480 --> 3:24:06.480]  You're losing.
[3:24:06.480 --> 3:24:11.320]  Why didn't you stop this before you lost everything?
[3:24:11.320 --> 3:24:14.480]  But I realized when I came back, I can't run away.
[3:24:14.480 --> 3:24:19.840]  I'm only me because I'm an American.
[3:24:19.840 --> 3:24:25.000]  I was born in Alta Villea Pino, Vica Glence, over in Italy.
[3:24:25.000 --> 3:24:27.840]  I wouldn't be me.
[3:24:27.840 --> 3:24:30.160]  I'd be stuck in that culture.
[3:24:30.160 --> 3:24:36.640]  I was fortunate, Monopoly Tonneau born in the front, want to be free.
[3:24:36.640 --> 3:24:38.760]  That's why I bought those buildings.
[3:24:38.760 --> 3:24:46.360]  That's why I launched Occupy P. I'm fighting for the true American spirit.
[3:24:46.360 --> 3:24:52.840]  So in talking about the war and the loss of American spirit, the loss of American spirit,
[3:24:52.840 --> 3:24:56.000]  you're free to be who you want to be.
[3:24:56.000 --> 3:24:59.720]  My father may arrest him, but he should only get a fight with your father and argument.
[3:24:59.720 --> 3:25:03.120]  You say you're a little SOB, so what do you think I'm telling you what I'm telling you
[3:25:03.120 --> 3:25:05.320]  because I want you to be like me?
[3:25:05.320 --> 3:25:10.240]  I want you to become yourself.
[3:25:10.240 --> 3:25:17.440]  Any time that I repeat what everybody else was saying, you'd say to me in Italian, Papagal,
[3:25:17.440 --> 3:25:27.440]  parrot, stop repeating what everybody else is saying and think for yourself.
[3:25:27.440 --> 3:25:30.480]  They may send my father to jail for that.
[3:25:30.480 --> 3:25:31.960]  Think for yourself.
[3:25:31.960 --> 3:25:34.120]  How dare you?
[3:25:34.120 --> 3:25:39.920]  How dare you think for yourself on the government?
[3:25:39.920 --> 3:25:54.400]  And they give them names like these little people, give them these big names so they
[3:25:54.400 --> 3:26:05.680]  could be authorities over you, dignitary, yeah, dignitary.
[3:26:05.680 --> 3:26:12.480]  And when Alex Jones is going through is just an example of the bigger picture.
[3:26:12.480 --> 3:26:18.920]  As I said, Alex Jones hasn't killed anyone.
[3:26:18.920 --> 3:26:24.760]  The people didn't like to hear what he had to say, he apologizes for it.
[3:26:24.760 --> 3:26:39.400]  George W. Bush, Hillary Clinton, Barack Obama, little Billy Clinton, slick Willy.
[3:26:39.400 --> 3:26:42.280]  What do you like, the Yugoslav War?
[3:26:42.280 --> 3:26:48.760]  The 500,000 children that died in Iraq because of the sanctions that he put on them?
[3:26:48.760 --> 3:26:56.520]  Bring them to trial or end Alex Jones' trial.
[3:26:56.520 --> 3:27:05.160]  Bring up the murderers for their murder or leave Alex Jones alone.
[3:27:05.160 --> 3:27:08.080]  It's the bigger picture.
[3:27:08.080 --> 3:27:13.640]  And I'm talking about Germany and why the people didn't stop it before it was too late.
[3:27:13.640 --> 3:27:18.240]  The same thing is going now on in Ukraine.
[3:27:18.240 --> 3:27:24.280]  This war would have ended months ago if the United States didn't keep funneling money
[3:27:24.280 --> 3:27:25.280]  in.
[3:27:25.280 --> 3:27:30.080]  Again, according to antiwar.com, it's almost $70 billion.
[3:27:30.080 --> 3:27:36.080]  But again, all the people suffering in Florida for the devastation and all the other hurricanes
[3:27:36.080 --> 3:27:42.720]  that have destroyed lives and livelihoods around America, you're not worth anything.
