[00:00.000 --> 00:10.000]  There is a lot of controversy around this network about Alex Jones, for example.
[1:29:07.000 --> 1:29:12.000]  and the globalist on the other who are literally trying to create a post-human world.
[1:29:12.000 --> 1:29:16.000]  From the United States to Brazil, and of course triggered by the Brexit in the UK,
[1:29:16.000 --> 1:29:20.000]  nations were pulling out of the private corporate fascist world government.
[1:29:20.000 --> 1:29:22.000]  That's why they launched their great resets
[1:29:22.000 --> 1:29:27.000]  and their program after collapsing us of Build Back Better.
[1:29:27.000 --> 1:29:33.000]  This is nothing more than a top-down vertical consolidation of the world economy.
[1:29:33.000 --> 1:29:36.000]  And because they couldn't take our guns, and because we wouldn't bow,
[1:29:36.000 --> 1:29:40.000]  because the left, which is the ideology of this world government system,
[1:29:40.000 --> 1:29:44.000]  couldn't win, they released a biological weapon on us.
[1:29:44.000 --> 1:29:48.000]  Now we know, two years ago, we learned about it about 20 months ago.
[1:29:48.000 --> 1:29:49.000]  It's that simple.
[1:29:49.000 --> 1:29:52.000]  They can't meet us because of our free speech and our guns,
[1:29:52.000 --> 1:29:55.000]  so the global corporate combine released COVID-19,
[1:29:55.000 --> 1:29:56.000]  and you know the rest is history.
[1:29:56.000 --> 1:29:58.000]  Expose this paradigm and we win.
[1:29:58.000 --> 1:30:00.000]  You see this?
[1:30:00.000 --> 1:30:04.000]  It's an Info Wars Republic Defense Card with original Info Wars art
[1:30:04.000 --> 1:30:08.000]  designed by yours truly with a little gold bar implanted in it,
[1:30:08.000 --> 1:30:10.000]  and on the back, it's got a hologram.
[1:30:10.000 --> 1:30:15.000]  There are only 25,000 of these in existence, and they'll never be made again.
[1:30:15.000 --> 1:30:19.000]  The bank that owns the mint that has started putting these out the last few years
[1:30:19.000 --> 1:30:25.000]  just sold out of 300,000 of a similar offering that was 40% more than what we're selling these for.
[1:30:25.000 --> 1:30:29.000]  And when you get three or more, you can get these at 50% off and they fund the Info War.
[1:30:29.000 --> 1:30:34.000]  Please visit InfoWarsTour.com and check out this amazing new art slash gold product.
[1:30:34.000 --> 1:30:38.000]  It's a collector's item and you'll know you help fund the Second American Revolution
[1:30:38.000 --> 1:30:40.000]  against the globalist at such a critical point.
[1:30:40.000 --> 1:30:44.000]  Get your gold bars and so much more exclusively at InfoWarsTour.com,
[1:30:44.000 --> 1:30:47.000]  and I want to thank you for your support over the years,
[1:30:47.000 --> 1:30:51.000]  because without you, all of the great success we have had together would not have happened.
[1:30:51.000 --> 1:30:53.000]  We are the tip of the spear, you are the tip of the spear,
[1:30:53.000 --> 1:30:57.000]  and I salute you and thank you. Visit InfoWarsTour.com today.
[1:31:23.000 --> 1:31:26.000]  With Signal Blocking Faraday Shielding Technology,
[1:31:26.000 --> 1:31:29.000]  specifically designed for electronic devices,
[1:31:29.000 --> 1:31:34.000]  carried in unsecured locations to instantly block all wireless signals
[1:31:34.000 --> 1:31:38.000]  and protect them from remote wiping, tracking, and tampering.
[1:31:38.000 --> 1:31:45.000]  Redux is dedicated to producing and selling cost-effective signature reduction products
[1:31:45.000 --> 1:31:50.000]  for professionals needing to secure devices from wireless threats and more.
[1:31:50.000 --> 1:31:58.000]  So check out Redux to instantly block cellular Wi-Fi, Bluetooth, RFID, camera, EMP,
[1:31:58.000 --> 1:32:02.000]  weather, and even GPS today.
[1:32:02.000 --> 1:32:05.000]  I want to thank all of you over the years who have supported InfoWars financially
[1:32:05.000 --> 1:32:07.000]  with word of mouth and prayer.
[1:32:07.000 --> 1:32:10.000]  All the success that we've had together against the globalists
[1:32:10.000 --> 1:32:15.000]  and the fact that we're not caught flat-footed during their major takeover is because of you.
[1:32:15.000 --> 1:32:18.000]  Humanity has a real fighting chance.
[1:32:18.000 --> 1:32:21.000]  I just want to thank you all for buying products at InfoWarsTour.com,
[1:32:21.000 --> 1:32:25.000]  like books and films and supplements and water filtration, air filtration, so much more.
[1:32:25.000 --> 1:32:28.000]  But for those of you that want to actually give us a straight donation,
[1:32:28.000 --> 1:32:32.000]  so we get almost 100% of the money to fund our operation during this critical time,
[1:32:32.000 --> 1:32:39.000]  go to InfoWarsTour.com and right at the top you'll see a link to make a straight donation.
[1:32:39.000 --> 1:32:44.000]  A one-time donation of $5, $10, $50, or a recurring donation you can cancel anytime.
[1:32:44.000 --> 1:32:46.000]  I want to thank all of you that have donated.
[1:32:46.000 --> 1:32:49.000]  I want to encourage those of you out there that want to support Freedom
[1:32:49.000 --> 1:32:52.000]  to take action now and be part of the global awakening,
[1:32:52.000 --> 1:32:55.000]  the new renaissance that's countering the great reset
[1:32:55.000 --> 1:33:17.000]  by going to InfoWarsTour.com and clicking on the donate button and giving today.
[1:33:25.000 --> 1:33:30.000]  Next to you and defend her still today.
[1:33:30.000 --> 1:33:35.000]  Cause there ain't no doubt I love this land.
[1:33:35.000 --> 1:33:43.000]  God bless the USA.
[1:33:43.000 --> 1:33:47.000]  And I'm proud to be an American,
[1:33:47.000 --> 1:33:51.000]  but at least I know I'm free.
[1:33:51.000 --> 1:33:55.000]  And I won't forget the men who died,
[1:33:55.000 --> 1:33:57.000]  who gave that right to me.
[1:33:57.000 --> 1:34:00.000]  And I gladly stand up.
[1:34:00.000 --> 1:34:02.000]  Yeah, Lee Greenwood gladly stands up,
[1:34:02.000 --> 1:34:06.000]  he can make money off patriots and Americans that love freedom,
[1:34:06.000 --> 1:34:12.000]  but he boycotted the NRA event that he had signed up for
[1:34:12.000 --> 1:34:19.000]  and so did the governor of Texas.
[1:34:19.000 --> 1:34:22.000]  That's just signaling going along with the propaganda,
[1:34:22.000 --> 1:34:24.000]  going along with the left.
[1:34:24.000 --> 1:34:26.000]  What are we going to do about that?
[1:34:26.000 --> 1:34:28.000]  Because our biggest problem is neocons,
[1:34:28.000 --> 1:34:31.000]  our biggest problem is fake conservatives
[1:34:31.000 --> 1:34:38.000]  and people that would dare blame gun owners for what a psychotic did.
[1:34:38.000 --> 1:34:42.000]  A psychotic they knew had been planning things like this.
[1:34:42.000 --> 1:34:44.000]  Look at some of these headlines.
[1:34:44.000 --> 1:34:48.000]  A Supreme Court justice solution to gun violence
[1:34:48.000 --> 1:34:51.000]  is repeal the Second Amendment.
[1:34:51.000 --> 1:34:54.000]  That's what they're pushing.
[1:34:54.000 --> 1:34:59.000]  That's what they want.
[1:34:59.000 --> 1:35:01.000]  That's just the Stevens.
[1:35:01.000 --> 1:35:05.000]  Senator Booker, Americans love guns more than children.
[1:35:05.000 --> 1:35:08.000]  No, we love the right to defend ourselves.
[1:35:08.000 --> 1:35:10.000]  We don't want to live in the blue cities
[1:35:10.000 --> 1:35:12.000]  with ten times the crime rate of other areas.
[1:35:12.000 --> 1:35:15.000]  That's what we don't want, Mr. Booker.
[1:35:15.000 --> 1:35:23.000]  We had a big InfoWars poll with over 30,000 respondents.
[1:35:23.000 --> 1:35:27.000]  The InfoWars poll asked the question,
[1:35:27.000 --> 1:35:29.000]  what is more dangerous for our children?
[1:35:29.000 --> 1:35:33.000]  School shootings, experimental vaccines, intercity crime, groomers,
[1:35:33.000 --> 1:35:40.000]  and 56% said experimental vaccines.
[1:35:40.000 --> 1:35:44.000]  I think people know what they're talking about.
[1:35:44.000 --> 1:35:46.000]  In a video of Kamala Harris saying,
[1:35:46.000 --> 1:35:48.000]  an assault weapon is a weapon of war.
[1:35:48.000 --> 1:35:50.000]  Well, so is a knife.
[1:35:50.000 --> 1:35:54.000]  Kamala Harris demands a ban on all assault weapons.
[1:35:54.000 --> 1:35:56.000]  Oh, but they didn't want your guns.
[1:35:56.000 --> 1:35:59.000]  Incel, Texas shooter,
[1:35:59.000 --> 1:36:02.000]  made disturbing online threats to girls.
[1:36:02.000 --> 1:36:04.000]  Hurt animals was a devil's whisper.
[1:36:04.000 --> 1:36:11.000]  Was not bullied, but was actually a bully.
[1:36:11.000 --> 1:36:16.000]  We have a clip we're about to play of a student making that point,
[1:36:16.000 --> 1:36:18.000]  but it's always the same.
[1:36:18.000 --> 1:36:20.000]  Someone into darkness, someone into the occult,
[1:36:20.000 --> 1:36:22.000]  dressing all in black.
[1:36:22.000 --> 1:36:24.000]  I'm saying we dress all in black, you're bad.
[1:36:24.000 --> 1:36:29.000]  I'm saying statistically, incels that hate women, hate children,
[1:36:29.000 --> 1:36:34.000]  hate girls who are into darkness and shoot them up games,
[1:36:34.000 --> 1:36:38.000]  that is the modus operandi or the MO of these people.
[1:36:38.000 --> 1:36:40.000]  Here it is.
[1:36:40.000 --> 1:36:45.000]  As high school senior Ivan Arellano said when he received this message
[1:36:45.000 --> 1:36:48.000]  from his friend last night, it broke his heart.
[1:36:48.000 --> 1:36:53.000]  He knew Layla Salazar, one of the children killed inside Rob Elementary.
[1:36:53.000 --> 1:36:56.000]  Her older brother is Ivan's good friend.
[1:36:56.000 --> 1:37:00.000]  Whenever we were young, she would like mess with us whenever we would all hang out together.
[1:37:00.000 --> 1:37:04.000]  And yeah, I feel bad for Nate.
[1:37:04.000 --> 1:37:09.000]  Ivan also says he knew the gunman well and described him as a bully.
[1:37:09.000 --> 1:37:13.000]  Salvador Ramos was a boy who was not bullied.
[1:37:13.000 --> 1:37:17.000]  He would try to pick on people but fail and it would aggravate him.
[1:37:17.000 --> 1:37:19.000]  I would like to get that out of the way.
[1:37:19.000 --> 1:37:21.000]  He was not bullied.
[1:37:21.000 --> 1:37:26.000]  He, prior, and I don't see this covered and I'm going to put this out there,
[1:37:26.000 --> 1:37:27.000]  he would hurt animals.
[1:37:27.000 --> 1:37:29.000]  He was not a good person.
[1:37:29.000 --> 1:37:35.000]  Ivan is hurting and he wants his friend to know he is deeply sorry for his loss.
[1:37:35.000 --> 1:37:40.000]  All of your friends love you, Nick, and we want you to be okay and we're here for you.
[1:37:44.000 --> 1:37:49.000]  Yeah, you think somebody that wants to shoot elementary school students
[1:37:49.000 --> 1:37:52.000]  might be somebody that wants to hurt a local dog or cat.
[1:37:52.000 --> 1:37:57.000]  And the reason we have guns is to protect ourselves from these people.
[1:37:57.000 --> 1:38:02.000]  The establishment, again, they have the bodyguards, they have the guns, they have the private jets.
[1:38:02.000 --> 1:38:09.000]  They don't want us to have even a small piece of what they've got in anybody that's guilted
[1:38:09.000 --> 1:38:10.000]  into giving up their freedom.
[1:38:10.000 --> 1:38:17.000]  Anybody that's guilted into believing it's their fault for things like this is insane.
[1:38:17.000 --> 1:38:22.000]  And look, I've had a lot of callers and a lot of emails and a lot of people say to me,
[1:38:22.000 --> 1:38:25.000]  Jones, why aren't you saying this is a false flag?
[1:38:25.000 --> 1:38:28.000]  Why aren't you saying this was staged?
[1:38:28.000 --> 1:38:34.000]  Well, I saw Jesse Small and I said it was fake. The WMDs in Iraq, I said it was fake.
[1:38:34.000 --> 1:38:39.000]  And there's been other things that I've questioned as they had anomalies and we have a right to question.
[1:38:39.000 --> 1:38:42.000]  That's a good thing.
[1:38:42.000 --> 1:38:48.000]  The reason I'm saying I don't think this is a staged event is not because the Democratic Party
[1:38:48.000 --> 1:38:52.000]  followed its lawsuits on me to get rid of the First Amendment and the whole San Diego thing.
[1:38:52.000 --> 1:39:00.000]  It's because I don't see the same type of anomalies that made myself and other people ask questions before.
[1:39:00.000 --> 1:39:02.000]  I see a police stand down.
[1:39:02.000 --> 1:39:11.000]  And we now know that the local political officer who was the police chief of their independent school district
[1:39:11.000 --> 1:39:20.000]  has recently been elected to the city council, a place where in two weeks he'll actually be sworn in.
[1:39:20.000 --> 1:39:23.000]  He wasn't at the school. He didn't know what was going on.
[1:39:23.000 --> 1:39:29.000]  He just said it's a hostage situation, stand down, and the police follow their orders.
[1:39:29.000 --> 1:39:35.000]  After 50 minutes of this, the board of patrol agents that showed up said we're not going to follow your orders anymore.
[1:39:35.000 --> 1:39:39.000]  Their children were going in. They should have done that immediately.
[1:39:39.000 --> 1:39:45.000]  So again, bureaucracy, ladies and gentlemen, is the issue and is what we're facing.
[1:39:45.000 --> 1:39:54.000]  But it's completely fair and protected speech under the First Amendment that if you don't want to believe the official story,
[1:39:54.000 --> 1:39:58.000]  because we got lied to up front and the governor admitted that, they had the DPS admitted that,
[1:39:58.000 --> 1:40:01.000]  well then you have a right to see anomalies.
[1:40:01.000 --> 1:40:04.000]  And there have been major anomalies in this case.
[1:40:04.000 --> 1:40:07.000]  And I believe that's CNN making mistakes.
[1:40:07.000 --> 1:40:13.000]  CNN has showed the same father or two different fathers for the same child
[1:40:13.000 --> 1:40:18.000]  and showed two different fathers and showed the same picture and the same name for a dead girl.
[1:40:18.000 --> 1:40:26.000]  That's probably them putting the wrong name key up twice.
[1:40:26.000 --> 1:40:36.000]  We make mistakes here too, not defending CNN, but we just don't see some of the telltale signs of a false flag here.
[1:40:36.000 --> 1:40:39.000]  That said, let's look at Buffalo two weeks ago.
[1:40:39.000 --> 1:40:44.000]  We said, did he have feds provocaturing him? Did he have handlers manipulating him?
[1:40:44.000 --> 1:40:46.000]  He was autistic. He was mentally ill.
[1:40:46.000 --> 1:40:52.000]  He tried to shoot up a school before, wasn't ever put in a mental institution. We did that.
[1:40:52.000 --> 1:40:55.000]  And now the feds, are they cleaning up loose ends?
[1:40:55.000 --> 1:41:01.000]  Or is it some fed that was crazy talking to the sky?
[1:41:01.000 --> 1:41:03.000]  Or is that made up too? We don't know.
[1:41:03.000 --> 1:41:10.000]  Retired federal agent regularly communicated with Buffalo government in private discord chat room.
[1:41:10.000 --> 1:41:14.000]  And the FBI is investigating that.
[1:41:14.000 --> 1:41:17.000]  But let's look at a brief history just in a few minutes.
[1:41:17.000 --> 1:41:24.000]  Even Wikipedia has a big, giant category of admitted, declassified false flags by the Nazis,
[1:41:24.000 --> 1:41:29.000]  by the US government, by the communists, and by other governments throughout history.
[1:41:29.000 --> 1:41:34.000]  So false flags are a real thing. They go on. They happen.
[1:41:34.000 --> 1:41:38.000]  And because we've been lied to so many times, and because this has happened before,
[1:41:38.000 --> 1:41:44.000]  we don't just have a right. We have a duty to question, and to investigate, and to look at things.
[1:41:44.000 --> 1:41:48.000]  So this has got a lot of different false flag events that happened.
[1:41:48.000 --> 1:41:56.000]  Glovan affair, and so many others. You need to go read this, and look this up for yourself.
[1:41:56.000 --> 1:41:59.000]  The truth about false flags from Nazi Germany, the Vietnam War,
[1:41:59.000 --> 1:42:02.000]  from the Reichstag to the Gulf of Tonkin, very good.
[1:42:02.000 --> 1:42:08.000]  Report from history.co.uk. Bunch of examples.
[1:42:08.000 --> 1:42:14.000]  Operation Northwoods, staging bombings, airline shoot downs, and mass shootings,
[1:42:14.000 --> 1:42:19.000]  as a pretext for war with Cuba and the Soviet Union.
[1:42:19.000 --> 1:42:26.000]  United States, the false flag empire. Big article on that out of the independent Australia.
[1:42:26.000 --> 1:42:33.000]  And so many other things you should look into, and we will continue to look into all that.
[1:42:33.000 --> 1:42:38.000]  The FBI staging, the governor Whitmer kidnapping, that was a false flag.
[1:42:38.000 --> 1:42:43.000]  And the list goes on and on. The Pentagon said Russia would stage false flags,
[1:42:43.000 --> 1:42:46.000]  the pretext invaded Ukraine. Looks like they did.
[1:42:46.000 --> 1:42:50.000]  The point is, this is a real thing, and it's legitimate to question it,
[1:42:50.000 --> 1:42:54.000]  and to look at it. Anybody that doesn't want you to look at it are bad guys.
[1:42:54.000 --> 1:42:58.000]  We'll be back in the final segment. Stay with us.
[1:42:58.000 --> 1:43:05.000]  Ladies and gentlemen, there are a lot of natural compounds out there that turbocharge and boost our stamina,
[1:43:05.000 --> 1:43:10.000]  our energy, our libido, that are also amazing pre or post workouts.
[1:43:10.000 --> 1:43:15.000]  And we went out and looked at the top brands, the top reviews, and came out with alpha power.
[1:43:15.000 --> 1:43:21.000]  It's so hard to source good, clean herbs, like we have in this, that it's been sold out for more than six months,
[1:43:21.000 --> 1:43:26.000]  but now alpha power is back in stock at infowarstore.com at 40% off.
[1:43:26.000 --> 1:43:32.000]  Go to infowarstore.com and read about these compounds and ingredients for yourself, and then try it for yourself.
[1:43:32.000 --> 1:43:37.000]  Now, the formula is made for men, but it does amazing things for women as well.
[1:43:37.000 --> 1:43:42.000]  Find out what just one of the ingredients does, LJ100, and then go on from there.
[1:43:42.000 --> 1:43:49.000]  Alpha power, exclusively available right now, 40% off at infowarstore.com and it funds the info war.
[1:43:49.000 --> 1:43:53.000]  You are really missing out if you don't experience what alpha power does.
[1:43:53.000 --> 1:43:58.000]  It has improved my life and so many others, just incredible levels.
[1:43:58.000 --> 1:44:06.000]  Sleepless nights seem to be a lot more common these days with everything that's going on both at home and the world at large.
[1:44:06.000 --> 1:44:10.000]  If you are having trouble getting to that deep sleep we could all use more of,
[1:44:10.000 --> 1:44:15.000]  our new sleep support formula, Down and Out, is just the thing.
[1:44:15.000 --> 1:44:22.000]  It's our new faster absorbing liquid formula that is specifically designed to help you get the shut eye you deserve.
[1:44:22.000 --> 1:44:27.000]  Formulated to improve upon our best selling product, Knockout, with Down and Out,
[1:44:27.000 --> 1:44:32.000]  now the herbs and melatonin packed inside are extracted directly into the glycerin solution.
[1:44:32.000 --> 1:44:37.000]  So the ingredients are already dissolved into the formula before you even take it.
[1:44:37.000 --> 1:44:41.000]  One of the other sleep support herbs included is the passion flower,
[1:44:41.000 --> 1:44:48.000]  which was traditionally used by Native Americans like the Cherokees who used it for its relaxing qualities.
[1:44:48.000 --> 1:44:54.000]  Be sure to take this product when you are completely ready for sleep because you will be Down and Out.
[1:44:54.000 --> 1:44:58.000]  Selling out now at infowarstore.com.
[1:44:58.000 --> 1:45:05.000]  You see this? It's an info wars republic defense card with original info wars art designed by yours truly,
[1:45:05.000 --> 1:45:10.000]  with a little gold bar implanted in it and on the back it's got a hologram.
[1:45:10.000 --> 1:45:14.000]  There are only 25,000 of these in existence and they'll never be made again.
[1:45:14.000 --> 1:45:18.000]  The bank that owns the mint that has started putting these out the last few years
[1:45:18.000 --> 1:45:25.000]  just sold out of 300,000 of a similar offering that was 40% more than what we're selling these for.
[1:45:25.000 --> 1:45:29.000]  And when you get three or more you can get these at 50% off and they fund the info war.
[1:45:29.000 --> 1:45:34.000]  Please visit info wars store.com and check out this amazing new art slash gold product.
[1:45:34.000 --> 1:45:40.000]  It's a collector's item and you'll know you helped fund the second American Revolution against the globalist at such a critical point.
[1:45:40.000 --> 1:45:44.000]  Get your gold bars and so much more exclusively at infowarstore.com
[1:45:44.000 --> 1:45:51.000]  and I want to thank you for your support over the years because without you all of the great success we have had together would not have happened.
[1:45:51.000 --> 1:45:54.000]  We are the tip of the spear, you are the tip of the spear and I salute you and thank you.
[1:45:54.000 --> 1:45:57.000]  Visit infowarstore.com today.
[1:45:57.000 --> 1:46:02.000]  Introducing the newest product from infowarslife.com.
[1:46:02.000 --> 1:46:06.000]  We are so proud of infowarslife immune support.
[1:46:06.000 --> 1:46:13.000]  It is concentrated herbs that are known on record to supercharge our body's natural defenses.
[1:46:13.000 --> 1:46:18.000]  Ladies and gentlemen, this is something that is essential and everyone should get.
[1:46:18.000 --> 1:46:22.000]  And on top of it, it funds the info war so that's a 360 win.
[1:46:22.000 --> 1:46:24.000]  Let me tell you what is in this amazing product.
[1:46:24.000 --> 1:46:30.000]  Concentrated elderberry, concentrated echinacea, concentrated astragalus root, angelica root,
[1:46:30.000 --> 1:46:33.000]  lowetium root and more.
[1:46:33.000 --> 1:46:35.000]  This product is incredible.
[1:46:35.000 --> 1:46:42.000]  Info wars immune support exclusively available at infowarstore.com is funding the tip of the spear, the info wars operation.
[1:46:42.000 --> 1:46:44.000]  It is a 360 win.
[1:46:44.000 --> 1:46:51.000]  The only way you fail is by not taking action and getting this product to boost your body's natural defenses and keep info wars on the air.
[1:46:51.000 --> 1:46:53.000]  The globalists are hoping you don't take action.
[1:46:53.000 --> 1:46:56.000]  Take action now infowarstore.com.
[1:46:56.000 --> 1:47:06.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[1:47:06.000 --> 1:47:35.000]  Action commonsense are in, yes there have been corrupt empires, yes they manipulate, yes there are secret societies, yes there have been oligarchies throughout history, and yes today in 2002 there is a tyrannical organization calling itself.
[1:47:35.000 --> 1:47:49.000]  The New World Order pushing for worldwide government, a cashless society, open borders, total and complete tyranny, where human beings are absolutely worthless.
[1:47:49.000 --> 1:47:56.000]  There's six and a quarter plus billion of us and the globalists have said it many times, there's too many of us, we're causing a problem.
[1:47:56.000 --> 1:48:14.000]  We need to be called at the tune of 80%, it's amazing to talk about that, but it's the globalists that you end their own public statements and they've convinced a lot of liberals and elitist conservatives and others that by going along with this we're intelligent members of society.
[1:48:14.000 --> 1:48:28.000]  It's the ultimate Malthus world view, it is this radical virulent form of social Darwinism, it's the excuse of tyrants.
[1:48:28.000 --> 1:48:54.000]  And by creating open borders where there's no national sovereignty and only global bodies that control all the resources, by centralizing and socializing healthcare the state becomes God basically when it comes to your health, and then by releasing diseases and viruses and plagues upon us we then basically get shoved into their system.
[1:48:54.000 --> 1:49:03.000]  So that's from 20 years ago and you see it happening today, how do we do that? Because we know the plan.
[1:49:03.000 --> 1:49:15.000]  Now I want to hit some of the economic news and the censorship news, I want to hit in closing the prison plant at their building and the end game of it with the metaverse.
[1:49:15.000 --> 1:49:25.000]  So that's coming up, but let's look at what Biden's hoping to distract us from by blaming American gun owners for what a psycho did.
[1:49:25.000 --> 1:49:39.000]  We all know it's good guys that stop bad guys with guns, good guys with guns that stop bad guys with guns, it's not just a cliche, it's true, Biden's protected by guns but he doesn't want you to be protected by anything.
[1:49:39.000 --> 1:49:49.000]  CNBC, Record High Memorial Day gas prices are stinging consumers and impacting travel.
[1:49:49.000 --> 1:49:58.000]  California are paying $7 a gallon on average, almost $5 a gallon across the United States.
[1:49:58.000 --> 1:50:05.000]  And they admit, Biden said last week, this is part of the transition.
[1:50:05.000 --> 1:50:14.000]  And they're doing it again. Biden is running out of options to tame soaring gas prices.
[1:50:14.000 --> 1:50:21.000]  What about turning the pipelines back on? What about not banning all the drilling? What about allowing the permits?
[1:50:21.000 --> 1:50:28.000]  I mean, they're trying to shut down the main pipeline that's 50 something years old out of Canada for the Midwest.
[1:50:28.000 --> 1:50:34.000]  They'll shut everything down if we're still like, oh Biden doesn't have any options, he doesn't know why it's happening.
[1:50:34.000 --> 1:50:41.000]  The head of the Energy Department and Biden have all said it's on purpose and that's what's so frustrating.
[1:50:41.000 --> 1:50:45.000]  Global food crisis may spread from grain to sugar, think so.
[1:50:45.000 --> 1:50:51.000]  But don't worry, robots to pick up more work at busy factories, they're busy.
[1:50:51.000 --> 1:50:54.000]  Why don't we demand stuff be made by humans?
[1:50:54.000 --> 1:50:59.000]  Because they're building a world where we're obsolete, we need to build a world where we have a future.
[1:50:59.000 --> 1:51:06.000]  Humans control their environment. We're the only animal in their own words that is able to control its environment.
[1:51:06.000 --> 1:51:10.000]  Why are letting the globalist control our environment?
[1:51:10.000 --> 1:51:15.000]  Will this fruit-picking robot transform agriculture?
[1:51:15.000 --> 1:51:22.000]  Surging meat prices push consumer grillers to order pizza instead.
[1:51:22.000 --> 1:51:29.000]  Next, you'll eat bugs, they've told you. 1,000 more flights canceled Sunday disrupting the holiday weekend.
[1:51:29.000 --> 1:51:33.000]  Everybody I know is having trouble in business and in family travel.
[1:51:33.000 --> 1:51:41.000]  It's all just a disheveled, collapsing, insane situation.
[1:51:41.000 --> 1:51:47.000]  The collapse of civilization and it goes on from there.
[1:51:47.000 --> 1:51:51.000]  How are they going to get away with this post-industrial world?
[1:51:51.000 --> 1:51:55.000]  Only if we're not aware of what's happening.
[1:51:55.000 --> 1:52:01.000]  So this YouTuber and this Twitter individual, Young Huss, says,
[1:52:01.000 --> 1:52:06.000]  I endorse Alex Jones' brainwashing being sarcastic.
[1:52:06.000 --> 1:52:13.000]  And here is the New York Times headline, YouTube videos brainwashed my father.
[1:52:13.000 --> 1:52:16.000]  Can I reprogram his feed?
[1:52:16.000 --> 1:52:22.000]  I've given articles about how we need to keep our family from researching
[1:52:22.000 --> 1:52:27.000]  and asking questions you don't want to ask questions in a cult.
[1:52:27.000 --> 1:52:30.000]  You do what you're told.
[1:52:30.000 --> 1:52:33.000]  And here's some examples of that.
[1:52:33.000 --> 1:52:36.000]  Turkey to jail people for spreading misinformation.
[1:52:36.000 --> 1:52:42.000]  And who decides a group of government fact-checkers decide what's true and what's not.
[1:52:42.000 --> 1:52:45.000]  And Fauci this week gave a speech at a university and said,
[1:52:45.000 --> 1:52:48.000]  I've never seen such lies, such disinfo.
[1:52:48.000 --> 1:52:51.000]  We need to ban people that disagree with us.
[1:52:51.000 --> 1:52:57.000]  But Fauci, if you think back, lied to us about the PCR test, about the vaccine working,
[1:52:57.000 --> 1:53:02.000]  about mask working, but earlier said they didn't work, which they don't.
[1:53:02.000 --> 1:53:10.000]  Lie after lie after lie.
[1:53:10.000 --> 1:53:15.000]  And so where does the power structure want to take us?
[1:53:15.000 --> 1:53:18.000]  What's their end game?
[1:53:18.000 --> 1:53:23.000]  Key articles at infowars.com from Reclaim the Net.
[1:53:23.000 --> 1:53:27.000]  World Economic Forum wants kids to learn in the metaverse to curb climate change.
[1:53:27.000 --> 1:53:28.000]  That's right.
[1:53:28.000 --> 1:53:29.000]  Climate lockdowns.
[1:53:29.000 --> 1:53:34.000]  You're locked in your house under the social credit score of vaccine passport.
[1:53:34.000 --> 1:53:35.000]  You can't travel.
[1:53:35.000 --> 1:53:42.000]  I played that earlier than them announcing it at Debo's meeting in Geneva this week.
[1:53:42.000 --> 1:53:44.000]  And they say, we're going to make you stay in your house.
[1:53:44.000 --> 1:53:46.000]  We're going to make you telecommute.
[1:53:46.000 --> 1:53:51.000]  We're going to make kids learn in the metaverse and the World Economic Forum through Big Tech
[1:53:51.000 --> 1:53:55.000]  is going to control the messages you get in that false reality.
[1:53:55.000 --> 1:54:03.000]  So I've seen these archetypal images of people wearing mask and VR goggles covering up all their senses.
[1:54:03.000 --> 1:54:06.000]  They've got earbuds in their ear giving them a false reality.
[1:54:06.000 --> 1:54:11.000]  They've got their visual senses and they've got their mouth covered up.
[1:54:11.000 --> 1:54:14.000]  The symbol of a gag slave.
[1:54:14.000 --> 1:54:20.000]  Guardian columnist George Mombiot says, farming should be abolished to stop climate change.
[1:54:20.000 --> 1:54:24.000]  Not just cows, not just methane, but everything's got to be banned.
[1:54:24.000 --> 1:54:31.000]  All not just human society, but agrarian farming society and robots must grow all the food.
[1:54:31.000 --> 1:54:37.000]  You must be prepared to be obsolete.
[1:54:37.000 --> 1:54:40.000]  There's the article I just mentioned.
[1:54:40.000 --> 1:54:45.000]  Metaverse announces the World Economic Forum will have a leadership role in the metaverse.
[1:54:45.000 --> 1:54:54.000]  Says Facebook, they will program this new reality that our children and others are to be forced into.
[1:54:54.000 --> 1:55:00.000]  And we saw the images out of New York City and Tel Aviv, Israel of children begging not to be injected
[1:55:00.000 --> 1:55:11.000]  with a COVID-19 gene therapy, poison serum, and they put VR goggles on them so they'd be in a false reality while they took the shot.
[1:55:11.000 --> 1:55:19.000]  Covering up our senses, enslaving us, forcing us in to this grid, it's all disingenuous, it's all criminal.
[1:55:19.000 --> 1:55:26.000]  And there's always going to be criminals, sociopaths, psychopaths that are willing to do anything for power.
[1:55:26.000 --> 1:55:30.000]  But they're really not to blink, Mark Zuckerberg.
[1:55:30.000 --> 1:55:40.000]  When we allow them to do this, when we stand down, when we don't protect the children, when we don't say no, when we don't speak up, it becomes our problem.
[1:55:40.000 --> 1:55:44.000]  All right, Owen Schreuer is about to take over in two minutes.
[1:55:44.000 --> 1:55:45.000]  We've got a break.
[1:55:45.000 --> 1:55:47.000]  Loaded for bear, Sunday Night Live.
[1:55:47.000 --> 1:55:51.000]  Dems exploiting the tragedy to distract from the economic collapse or engineering.
[1:55:51.000 --> 1:55:54.000]  They're raged in the NRA convention in Houston.
