[00:00:00.229 --> 00:00:02.590]  Biden in Syracuse yesterday.
[02:20:52.228 --> 02:21:00.667]  They hate people.
[02:21:01.044 --> 02:21:02.385]  That fight for freedom.
[02:21:02.525 --> 02:21:10.710]  Boy, I'm one of the most disliked people here, from the little libtards of the area, than anybody!
[02:21:11.431 --> 02:21:14.033]  You know why they hate General Cilenti?
[02:21:14.993 --> 02:21:17.035]  Because Cilenti is a fighter!
[02:21:18.256 --> 02:21:19.376]  He's a warrior!
[02:21:19.396 --> 02:21:22.098]  For the Prince of Peace.
[02:21:23.239 --> 02:21:30.684]  And these little pieces of crap, that couldn't fight their way out of a paper bag, hate Cilenti.
[02:21:31.371 --> 02:21:35.332]  Because he won't swallow the Kingston crap!
[02:21:35.932 --> 02:21:37.213]  Oh, the little mayor?
[02:21:37.513 --> 02:21:39.073]  A little crap boy of nothing.
[02:21:39.474 --> 02:21:40.954]  He used to run a kiddies zoo.
[02:21:41.414 --> 02:21:44.215]  But his daddy, he's in the family, so he got the job.
[02:21:44.235 --> 02:21:48.156]  A little nothing of a clown.
[02:21:48.896 --> 02:21:54.098]  They hate Solenti because he has peace and freedom rallies, and freedom and peace rallies.
[02:21:54.578 --> 02:21:56.139]  How dare he!
[02:21:56.579 --> 02:21:59.860]  How dare he not be a coward like the rest of us!
[02:22:00.971 --> 02:22:04.292]  Oh, and the little boys hang their little flags in the Ukraine?
[02:22:04.552 --> 02:22:06.032]  Oh, we support Ukraine!
[02:22:06.212 --> 02:22:06.513]  Hey!
[02:22:06.993 --> 02:22:08.493]  Go over there and fight!
[02:22:09.293 --> 02:22:10.774]  Go send your money!
[02:22:10.794 --> 02:22:14.555]  Or shut your mouth!
[02:22:15.995 --> 02:22:16.975]  I'm an American!
[02:22:19.076 --> 02:22:22.777]  I am a believer in the founding fathers, you little freaks!
[02:22:23.797 --> 02:22:25.919]  Oh, a guy named George Washington.
[02:22:25.939 --> 02:22:28.441]  Oh, Washington crossed the Delaware.
[02:22:28.881 --> 02:22:30.162]  No, he didn't go over the bridge.
[02:22:30.182 --> 02:22:31.063]  They didn't have him back then.
[02:22:31.083 --> 02:22:32.544]  You know, like they rode across, right?
[02:22:32.865 --> 02:22:33.465]  And he fought.
[02:22:33.485 --> 02:22:36.127]  Oh, can you imagine Obama fighting?
[02:22:36.468 --> 02:22:38.729]  Oh, but I'm going to get that guy Qaddafi out of there.
[02:22:38.749 --> 02:22:41.452]  Oh, I'm getting Assad out of there.
[02:22:41.732 --> 02:22:44.834]  Oh, oh, oh, little Bill Clinton, a fighter?
[02:22:44.854 --> 02:22:46.236]  A fighter?
[02:22:47.016 --> 02:22:51.620]  Every time that guy got caught with his pants down, he's murdering people all over Iraq.
[02:22:56.371 --> 02:22:58.452]  Look at the freaks running our show!
[02:22:59.813 --> 02:23:00.233]  Biden!
[02:23:00.733 --> 02:23:02.735]  Biden loved every war he loved!
[02:23:04.295 --> 02:23:06.677]  I got a deferment for the Vietnam War.
[02:23:07.817 --> 02:23:08.438]  Three of them.
[02:23:09.658 --> 02:23:11.279]  Yep, they got a one why.
[02:23:11.539 --> 02:23:12.920]  Oh, a little blinking boy.
[02:23:12.940 --> 02:23:16.182]  Yeah, another arrogant little boy.
[02:23:17.498 --> 02:23:34.774]  Warmongers, I'm mentioning this to you to show you how people follow into war and believe what they're told, and we are at a crisis point in our lives as they're normalizing nuclear war.
[02:23:34.794 --> 02:23:38.518]  And remember what I keep telling you.
[02:23:39.459 --> 02:23:42.422]  When all else fails, they take us to war.
[02:23:43.343 --> 02:23:50.384]   And the economy is in the toilet with all these crap heads that flushed us into it.
[02:23:50.384 --> 02:24:00.382]  If we don't stop this, it's going to be hell on earth.
[02:24:00.382 --> 02:24:10.382]  [BLANK_AUDIO]
[02:24:03.923 --> 02:24:04.143]  Yep.
[02:24:06.225 --> 02:24:06.946]  Oh, who's that?
[02:24:07.286 --> 02:24:08.147]  Little pinkin' boy?
[02:24:09.045 --> 02:24:10.165]  I went to Dalton!
[02:24:10.726 --> 02:24:11.866]  I went to Harvard!
[02:24:12.126 --> 02:24:14.367]  Don't you know what my daddy was?
[02:24:15.207 --> 02:24:16.908]  I'm born in the club!
[02:24:17.508 --> 02:24:19.309]  I'll tell you what to do!
[02:24:20.669 --> 02:24:38.335]  Anybody that wants to sport Ukraine, pack up your crap, take yourself, your wife, your kids, your genders, everybody, go over there, leave the charge, or shut your... Oh, and take your money, because I don't want you stealing mine anymore.
[02:24:40.018 --> 02:24:41.618]  No foreign entanglements!
[02:24:43.899 --> 02:24:45.599]  No foreign entanglements!
[02:24:46.219 --> 02:24:47.559]  Stop the wars!
[02:24:49.120 --> 02:24:50.240]  Stop the wars!
[02:24:50.520 --> 02:24:54.421]  This is deadly stupid crap, you morons!
[02:24:55.041 --> 02:24:56.821]  Oh, I believe Petraeus!
[02:24:57.301 --> 02:25:01.622]  Oh, that guy Petraeus, who they keep quoting!
[02:25:02.062 --> 02:25:06.463]  Oh, the general that had operation over there in...
[02:25:08.303 --> 02:25:10.044]  Afghanistan, the troop surge?
[02:25:11.204 --> 02:25:12.625]  And you kept saying how we're winning?
[02:25:13.545 --> 02:25:15.186]  And now he's telling you what to do?
[02:25:17.107 --> 02:25:24.590]  Lloyd Austin, Secretary of Defense, came off the Board of Directors of Raytheon, the second largest defense contractor?
[02:25:25.976 --> 02:25:32.962]  You gotta have a brain as small as the little brains in Kingston, people, to believe this crap.
[02:25:33.402 --> 02:25:34.002]  There he is.
[02:25:34.703 --> 02:25:35.584]  Betrayed us.
[02:25:35.864 --> 02:25:38.586]  Oh, look at all, look at all the draggy little ribbons.
[02:25:38.846 --> 02:25:40.327]  Oh, look at the ribbons I got.
[02:25:40.588 --> 02:25:42.249]  Look at all the ribbons I got.
[02:25:43.090 --> 02:25:46.012]  Ah, get out of here, costume.
[02:25:46.032 --> 02:25:48.394]  These are costumes.
[02:25:50.029 --> 02:25:50.469]  Oh yeah!
[02:25:51.009 --> 02:25:53.070]  But the people, they love it!
[02:25:53.430 --> 02:25:55.690]  And they even salute me when I walk by!
[02:25:55.710 --> 02:25:56.911]  Yeah, I salute!
[02:25:57.751 --> 02:26:00.051]  That's for you, warmonger.
[02:26:03.072 --> 02:26:04.072]  That's the way it is.
[02:26:05.013 --> 02:26:06.073]  Support InfoWars.
[02:26:06.653 --> 02:26:08.573]  Hey, great being on the Alex Jones Show.
[02:26:08.793 --> 02:26:12.114]  And as I said, do everything you can to support InfoWars.
[02:26:12.154 --> 02:26:15.975]  Like Alex said, you know, they just want to get rid of everybody.
[02:26:15.995 --> 02:26:22.613]   And that the New World Order doesn't Fields is going to disrupt their order.
[02:26:23.633 --> 02:26:30.195]  And again, you know, I, um, the bigs have taken over everything and they've taken over our lives.
[02:26:30.215 --> 02:26:43.160]  I keep saying when I was a young guy, you know, we had grocery stores and stationary stores and hardware stores and, and drug stores and now they're all chains.
[02:26:43.300 --> 02:26:44.801]  The chains have taken over everything.
[02:26:44.821 --> 02:26:48.122]  They put the mom and pops out and the his and hers.
[02:26:49.031 --> 02:26:50.752]  And the hus and hos and his and hises.
[02:26:51.492 --> 02:26:52.373]  They put everybody out there.
[02:26:52.393 --> 02:26:53.273]  These are very rare.
[02:26:54.274 --> 02:26:55.014]  They own everything.
[02:26:55.675 --> 02:26:56.535]  And they own the media.
[02:26:57.636 --> 02:27:02.338]  What is it, four companies control something like 91% or something, four or five?
[02:27:02.358 --> 02:27:12.363]  You know, so they, and again, you could thank, you could thank the slime ball murderous little clown, arrogant scum, Bill Clinton for that.
[02:27:13.364 --> 02:27:14.785]  Federal Communications Act, 1996.
[02:27:17.884 --> 02:27:19.105]  We deregulate everything.
[02:27:19.705 --> 02:27:24.867]  The same guy that deregulated with the Glass-Steagall Act, the banking, so the banksters could gamble as well.
[02:27:25.908 --> 02:27:28.489]  Investment bankers and gamblers, take it easy.
[02:27:28.909 --> 02:27:30.230]  I'm not six years old.
[02:27:30.650 --> 02:27:31.011]  Shove it.
[02:27:31.251 --> 02:27:32.391]  Oh, we're investment.
[02:27:32.731 --> 02:27:33.912]  It's one big club.
[02:27:36.473 --> 02:27:36.753]  Again.
[02:27:36.773 --> 02:27:36.833]  Yep.
[02:27:38.574 --> 02:27:41.496]  Six corporations control 90% of the media outlets.
[02:27:41.556 --> 02:27:41.896]  That's it.
[02:27:42.532 --> 02:27:44.033]  So that's why you need InfoWars.
[02:27:44.093 --> 02:27:45.894]  Now, of course, that's why you need the Trends Journal.
[02:27:46.294 --> 02:27:49.996]  We tell you what's going on, what it means, what's next, and what you may want to do.
[02:27:51.157 --> 02:27:52.258]  And it's just control.
[02:27:52.278 --> 02:27:53.098]  They don't care.
[02:27:53.138 --> 02:27:53.898]  They have agendas.
[02:27:54.519 --> 02:27:56.900]  Again, I quoted InfoWars in other places.
[02:27:56.920 --> 02:28:02.203]  You know, they say, oh, the woman running Fox, you know, they don't do anything to hurt the conservative audience.
[02:28:03.164 --> 02:28:04.104]  Play by your audience?
[02:28:04.765 --> 02:28:06.606]  MSNBC plays a liberal audience?
[02:28:06.626 --> 02:28:07.786]  You mean libtard audience?
[02:28:08.707 --> 02:28:10.548]  You don't play to an audience, you play to the truth.
[02:28:11.991 --> 02:28:15.852]  And we give you the truth in trends and InfoWars gives you the truth in news.
[02:28:17.732 --> 02:28:23.674]  So going back to what I was talking about before with war, I'm very concerned about this.
[02:28:25.374 --> 02:28:27.314]  Again, they hate me up here.
[02:28:27.334 --> 02:28:35.076]  A lot of people, a lot of people like me, of course, but I have that hate crowd because I fight for freedom and peace and peace and freedom.
[02:28:36.676 --> 02:28:52.111]  And I also started the Universal Church of Freedom, Peace, and Justice, and I keep asking, where are the Catholics, where are the Muslims, where are the Seventh-day Adventists, where are the Baptists, where are the Episcopalians, where are the Jews, where are all of these religions?
[02:28:53.272 --> 02:28:56.095]  How come they all got lockjaw about peace?
[02:28:56.656 --> 02:28:58.457]  Stop this nonsense of war!
[02:28:59.298 --> 02:29:00.980]  Get this in your head, everybody!
[02:29:01.874 --> 02:29:04.275]  There are no war winners.
[02:29:04.735 --> 02:29:06.596]  Everybody loses.
[02:29:09.538 --> 02:29:10.078]  Everybody.
[02:29:12.199 --> 02:29:13.059]  Could you imagine?
[02:29:13.299 --> 02:29:15.420]  Could you imagine being a Ukrainian?
[02:29:16.921 --> 02:29:21.283]  And he got a comic that took your country to war because he wouldn't make a peace deal?
[02:29:22.824 --> 02:29:24.865]  And there were avenues for peace on this?
[02:29:26.360 --> 02:29:28.781]  Including NATO wouldn't move one inch further.
[02:29:29.282 --> 02:29:30.102]  And they have.
[02:29:30.342 --> 02:29:31.943]  And Ukraine wanted to go in.
[02:29:33.404 --> 02:29:34.804]  The Crimea incident.
[02:29:35.645 --> 02:29:36.965]  The Donbass region.
[02:29:37.486 --> 02:29:38.026]  No peace.
[02:29:38.086 --> 02:29:39.227]  Now you're Ukrainian.
[02:29:40.707 --> 02:29:42.228]  Isn't life wonderful now?
[02:29:42.969 --> 02:29:49.212]  As air raid drills are going off all the time and about 40% of your electricity is gone.
[02:29:50.913 --> 02:29:52.053]  Isn't it wonderful?
[02:29:52.413 --> 02:29:54.054]  We're gonna win to the end!
[02:29:54.234 --> 02:29:55.355]  We're gonna fight!
[02:29:56.306 --> 02:29:58.107]  Where are the people saying stop?
[02:29:59.548 --> 02:30:00.048]  Stop!
[02:30:03.490 --> 02:30:04.350]  Let's make a deal.
[02:30:07.771 --> 02:30:08.771]  Yep.
[02:30:08.771 --> 02:30:15.771]  Could you imagine living your life like this?
[02:30:16.636 --> 02:30:20.318]  It's going to be worse than this when they launch the nuclear war and we go to war.
[02:30:20.898 --> 02:30:27.516]   What people don't understand is we have mentally ill people That people call politicians.
[02:30:28.417 --> 02:30:29.738]  Very, very few.
[02:30:30.558 --> 02:30:34.141]  Massey, the guy in tennis in Kentucky, he's a sharp cat.
[02:30:34.541 --> 02:30:35.222]  Very few.
[02:30:35.962 --> 02:30:36.643]  Very few.
[02:30:36.663 --> 02:30:42.187]  .0001 out of all of the Congress.
[02:30:43.467 --> 02:30:47.150]  And a guy, I'm a guy that was the assistant to the Secretary of the New York State Senate.
[02:30:47.190 --> 02:30:48.491]  I was right on the inside.
[02:30:49.271 --> 02:30:50.292]  At a young, at 26 years old.
[02:30:52.910 --> 02:30:56.433]  Worst job I've ever had to watch grown men growl to suck their way up to the top.
[02:30:57.034 --> 02:30:57.814]  Hey, look at the freaks.
[02:30:58.094 --> 02:30:59.075]  Who's your favorite freak?
[02:30:59.996 --> 02:31:00.937]  Let's go down the line.
[02:31:00.977 --> 02:31:02.178]  Let's go up and down the line.
[02:31:04.880 --> 02:31:05.981]  Stand six feet apart.
[02:31:06.461 --> 02:31:07.222]  Put on your mask.
[02:31:09.064 --> 02:31:09.284]  Yep.
[02:31:10.105 --> 02:31:10.685]  Grandma.
[02:31:13.087 --> 02:31:13.287]  Yep.
[02:31:13.848 --> 02:31:14.268]  Look at this.
[02:31:15.089 --> 02:31:15.489]  A freak.
[02:31:16.090 --> 02:31:17.471]  These are the freaks to follow?
[02:31:19.212 --> 02:31:23.895]   So what I'm saying to you is that The gutless follow their leaders.
[02:31:25.356 --> 02:31:26.236]  This was from the shot.
[02:31:26.877 --> 02:31:28.418]  The gutless follow the leaders.
[02:31:30.359 --> 02:31:33.761]  And this has been going on forever and ever and ever.
[02:31:34.741 --> 02:31:37.023]  There are no winners to war.
[02:31:37.743 --> 02:31:40.845]  We must stop this and stop it immediately.
[02:31:40.865 --> 02:31:51.191]  The new numbers that are coming out, it's going to be $115 billion of our money that's going to bloody the killing fields.
[02:31:51.934 --> 02:31:58.980]  And again, the people buy it because just like the gutless little people here bought the COVID war, they buy fear.
[02:31:59.820 --> 02:32:08.307]   This is from RFK Jr.' 's movie there, The Real Fauci.
[02:32:10.409 --> 02:32:15.573]  I'm listening to this thing and he goes on to say, RFK, about the COVID war.
[02:32:15.593 --> 02:32:16.733]  He doesn't call it the COVID war.
[02:32:16.753 --> 02:32:18.395]  We called it the COVID war when it began.
[02:32:19.416 --> 02:32:29.133]   He said there was tremendous fear In our country, that was generated by the press and the medical cartel.
[02:32:29.153 --> 02:32:30.694]  You know, the drug dealers.
[02:32:31.555 --> 02:32:38.500]  When people get fearful, their capacity for critical thinking gets disabled.
[02:32:40.602 --> 02:32:49.629]  And it's a human inclination to look for reassurance and leadership from their leaders.
[02:32:51.460 --> 02:32:52.220]  Authorities.
[02:32:54.181 --> 02:32:55.102]  He said it perfectly.
[02:32:56.743 --> 02:33:01.145]  When people get fearful, their capacity for critical thinking gets disabled.
[02:33:01.985 --> 02:33:03.026]  And that's what you have.
[02:33:04.287 --> 02:33:06.067]  These aren't critical thinkers!
[02:33:06.368 --> 02:33:08.849]  They're crap swallowers!
[02:33:10.129 --> 02:33:11.590]  We swallow crap!
[02:33:12.231 --> 02:33:13.651]  We swallow crap!
[02:33:13.971 --> 02:33:15.012]  I like ABC!
[02:33:15.152 --> 02:33:16.713]  I like MSNBC!
[02:33:16.893 --> 02:33:17.633]  I'm for Fox!
[02:33:17.953 --> 02:33:18.614]  I'm for Fox!
[02:33:18.894 --> 02:33:20.094]  I got my crap!
[02:33:20.675 --> 02:33:20.695]  I...
[02:33:21.388 --> 02:33:26.151]  Hey, from crap food to crap heads, alright?
[02:33:28.532 --> 02:33:30.754]  Junk food to junk heads.
[02:33:33.035 --> 02:33:35.376]  RFK nailed it perfectly.
[02:33:36.757 --> 02:33:41.400]  When people get fearful, their capacity for critical thinking gets disabled.
[02:33:44.182 --> 02:33:49.205]  And it's a human inclination to look for reassurance and leadership from their leaders.
[02:33:50.010 --> 02:33:51.251]  Follow the leaders.
[02:33:52.031 --> 02:33:52.312]  Yep.
[02:33:53.592 --> 02:33:54.293]  Mickey Mouse.
[02:33:55.133 --> 02:33:55.754]  Donald Duck.
[02:33:56.795 --> 02:33:57.015]  Yep.
[02:33:57.735 --> 02:33:58.476]  Clown Show.
[02:33:59.436 --> 02:34:00.657]  And the clowns are running us.
[02:34:01.397 --> 02:34:03.739]  And that's why you need to support InfoWars.
[02:34:04.179 --> 02:34:05.740]  They got great products there.
[02:34:06.381 --> 02:34:07.061]  Do what you can.
[02:34:07.101 --> 02:34:08.762]  They got good sales going on.
[02:34:09.383 --> 02:34:13.685]  Because if we don't keep the truth alive, we're gonna die on Earth in hell.
[02:34:14.126 --> 02:34:17.808]  Because the mad women and mad men are taking us to war.
[02:34:17.828 --> 02:34:17.888]  Yep.
[02:34:21.618 --> 02:34:22.578]  So we must stop this.
[02:34:22.638 --> 02:34:24.819]  So go to InfoWars and we'll be right back.
[02:34:25.179 --> 02:34:26.639]  InfoWarsStores.com.
[02:34:27.140 --> 02:34:28.200]  Hello everybody.
[02:34:28.300 --> 02:34:29.980]  Great being on the Alex Jones Show.
[02:34:30.260 --> 02:34:30.440]  Yep.
[02:34:30.480 --> 02:34:31.101]  There you got it.
[02:34:31.321 --> 02:34:32.261]  Happy Halloween.
[02:34:32.301 --> 02:34:32.901]  Here we are.
[02:34:33.801 --> 02:34:33.981]  Yep.
[02:34:34.121 --> 02:34:37.182]  We got the freaks and Halloween running and ruining our lives.
[02:34:37.522 --> 02:34:38.543]  Tricks, no treats.
[02:34:39.543 --> 02:34:41.163]  Nuclear war on the horizon.
[02:34:41.263 --> 02:34:41.463]  Yep.
[02:34:42.844 --> 02:34:46.925]  You know, to show you the hypocrisy of the stuff and how they sell fear and propaganda.
[02:34:47.847 --> 02:34:51.208]  You know, this is the headline of the toilet paper record, the New York Times.
[02:34:51.228 --> 02:34:53.729]  They have the arrogance to call themselves the paper record.
[02:34:54.189 --> 02:34:56.430]  And all the news that's fit to print.
[02:34:57.150 --> 02:35:01.091]  All the crap that we tell you to swallow, that's what it should be.
[02:35:01.472 --> 02:35:04.172]  Who are you to tell me what all the news is to fit to print?
[02:35:04.493 --> 02:35:05.613]  Who the hell are you?
[02:35:06.313 --> 02:35:08.354]  I'm... I'm Time.
[02:35:08.374 --> 02:35:10.034]  New York Times.
[02:35:11.695 --> 02:35:13.035]  Yeah, we saw the light.
[02:35:13.055 --> 02:35:16.877]  Saddam Hussein was getting them aluminum tubes, the weapons of mass destruction.
[02:35:16.897 --> 02:35:17.357]  That's us.
[02:35:18.288 --> 02:35:31.596]  Anyway, the front page, the big, big picture here about what happened in Clockwise and Top Memorial on Sunday for the victims of a crowd surge in Seoul.
[02:35:31.616 --> 02:35:34.517]  You know, a hundred people, fifty people died.
[02:35:34.597 --> 02:35:36.758]  Terrible, terrible, terrible, terrible, terrible.
[02:35:37.939 --> 02:35:46.344]  But why isn't the front page picture of the hundred plus, plus people that were just slaughtered in Somalia?
[02:35:47.049 --> 02:35:48.510]  Ah, we have only Somalians.
[02:35:48.550 --> 02:35:49.390]  What's a Somalian?
[02:35:49.430 --> 02:35:50.271]  Is that like a Yemen?
[02:35:50.751 --> 02:35:59.336]  Oh yeah, you get a Somalian on top of a Yemen with a little bit of bacon in between and you make it a sandwich.
[02:35:59.376 --> 02:36:01.297]  What's a Somalian?
[02:36:01.337 --> 02:36:03.058]  That's how stupid the people are.
[02:36:04.399 --> 02:36:05.219]  They don't have a clue.
[02:36:06.660 --> 02:36:11.303]  But they could keep selling all the fear that they want to keep selling.
[02:36:11.923 --> 02:36:14.064]  They don't tell you what's going on in Myanmar.
[02:36:14.084 --> 02:36:14.765]  What's a Myanmar?
[02:36:14.785 --> 02:36:16.606]  Is a Myanmar like a Somalia and a Yemen?
[02:36:18.786 --> 02:36:20.646]  Ask the people who find Ukraine on the map.
[02:36:21.227 --> 02:36:22.447]  Oh yes, it's a... yeah.
[02:36:23.507 --> 02:36:36.210]  But anyway, this is what I'm trying to tell you, is what they're doing here, is they keep... don't tell you about how bad it really is and what's going on in the world and why I keep saying we have to have peace.
[02:36:36.790 --> 02:36:53.258]   And by the way, the slimeball, lowlife, scum piece of garbage, murderous crap, Bill Clinton, yeah, he started getting his heavy duty into Somalia when he became Presidente of Los Estados Unidos back in 1992.
[02:36:54.878 --> 02:36:57.219]  Oh yeah, and now it's bombs away.
[02:36:57.259 --> 02:37:00.481]  Oh, we got some ISIS guys a couple of weeks ago.
[02:37:00.861 --> 02:37:03.282]  Oh yeah, we killed them over there in Somalia.
[02:37:03.302 --> 02:37:04.582]  We're doing a great job!
[02:37:06.343 --> 02:37:06.523]  Yep.
[02:37:08.112 --> 02:37:13.835]  Yeah, Clinton got brought China into the World Trade Organization and took all our jobs away.
[02:37:14.335 --> 02:37:26.502]  The slimeball, low-life, piece of scum, garbage crap Bill Clinton that gets paid like, you know, like $300,000, $400,000 an hour to speak to the Goldman Sachs gang?
[02:37:27.983 --> 02:37:30.624]  You can hear this guy BS for nothing.
[02:37:31.385 --> 02:37:35.247]  Oh, you mean because he deregulated the Glass-Steagall Act and all the other deals that he did?
[02:37:35.487 --> 02:37:37.328]  No, no, no, it had nothing to do with that.
[02:37:37.978 --> 02:37:40.099]  Oh, you mean the Bill Clinton that had NAFTA?
[02:37:41.139 --> 02:37:45.340]  That, I remember in New York, we had all the, making televisions and all this stuff.
[02:37:45.480 --> 02:37:45.740]  Flip!
[02:37:46.480 --> 02:37:48.761]  Go to Mexico, get that cheap labor.
[02:37:49.101 --> 02:37:51.862]  Oh, so cheap that the Mexicans keep coming up, oh yeah!
[02:37:52.582 --> 02:37:53.883]  That, that Bill Clinton.
[02:37:57.904 --> 02:38:02.325]  One crapster after another, destroying our lives.
[02:38:03.085 --> 02:38:05.026]  They don't talk about his wars.
[02:38:07.313 --> 02:38:09.293]  Here's the guy that started Somalia.
[02:38:11.394 --> 02:38:12.414]  One after another.
[02:38:12.373 --> 02:38:19.373]  Yugoslav war.
[02:38:19.373 --> 02:38:22.292]  Another illegal NATO bombing.
[02:38:22.276 --> 02:38:23.036]  Oh, but it's okay.
[02:38:23.056 --> 02:38:26.937]  We don't like them, the guy running the show over there, so we're gonna destroy the joint.
[02:38:28.958 --> 02:38:30.738]  Again, Madeline, not all that bright.
[02:38:32.904 --> 02:38:45.293]  Former UN ambassador under Clinton, when asked by Leslie Stahl, is the life of 500,000 Iraqi children under the age of 5 that died because of the sanctions Bill Clinton put on them worth it?
[02:38:46.454 --> 02:38:47.014]  Yes it is.
[02:38:47.034 --> 02:38:50.197]  So what I'm saying, there was going on.
[02:38:50.217 --> 02:38:52.158]  There she is.
[02:38:54.420 --> 02:38:58.583]  I did a gig on the QE2 and she was the lead-off speaker.
[02:38:59.648 --> 02:39:03.350]  Back in 2002, it was top marketing executives around the world.
[02:39:05.252 --> 02:39:08.394]  But she looked like the Queen of Tarts up there on the stage.
[02:39:09.695 --> 02:39:10.515]  Big red dress.
[02:39:11.196 --> 02:39:13.617]  Took 15 minutes, 15 minute introduction.
[02:39:15.779 --> 02:39:25.925]  Now, Lenore Bright's father was this and her mother was that and she went to this school and went to that school and honored and this and that and served and this and that and that and that.
[02:39:26.525 --> 02:39:29.632]   So the next day, I'm the lead-off speaker.
[02:39:31.273 --> 02:39:35.915]  And they introduced me, you know, Gerald Cilenti appears on Oprah, The Today Show, Good Morning America.
[02:39:36.195 --> 02:39:48.501]  This is what The Economist says about the Trends Research Institute, The Wall Street Journal, Gerald Cilenti's forecasts, his books, Trends 2000, Trend Tracking, Far Better Than Megatrends, Time Magazine, blah, blah, blah, blah, blah, blah.
[02:39:49.261 --> 02:39:51.802]  And the guy finishes, and I say, thanks for that introduction.
[02:39:51.862 --> 02:39:52.743]  I said, that was very nice.
[02:39:53.263 --> 02:40:02.942]   I said, but I feel short-changed after Here's Madeleine Albright's introduction last night, and the crowd broke up laughing, because everybody goes, what's going on over here, right?
[02:40:03.522 --> 02:40:09.523]  And then I said to what you also didn't mention, is that I didn't graduate with honors from PS-76 in the Bronx.
[02:40:11.004 --> 02:40:12.784]  That's how they pump up these clowns.
[02:40:13.964 --> 02:40:15.705]  That the people follow their leaders.
[02:40:17.065 --> 02:40:21.666]  So we're going through very, very, very trying times now, and that's why I'm talking about peace.
[02:40:22.427 --> 02:40:23.867]  Because there are no winners of war.
[02:40:24.750 --> 02:40:27.592]  And remember what I said, when all else fails, they take you to war.
[02:40:27.632 --> 02:40:28.973]  What followed the Great Depression?
[02:40:28.993 --> 02:40:29.674]  World War II.
[02:40:30.054 --> 02:40:32.055]  What followed the dot-com bust?
[02:40:32.075 --> 02:40:32.456]  9-11.
[02:40:32.956 --> 02:40:36.658]  The Nasdaq was down 66% before 9-11.
[02:40:36.759 --> 02:40:42.563]  Little Georgie Bush's ratings started going into the toilet where he belongs.
[02:40:42.583 --> 02:40:46.966]  9-11 happened, 88% of the people were so stupid.
[02:40:47.106 --> 02:40:47.426]  Again, war.
[02:40:47.966 --> 02:40:52.578]   We're going off to get that guy's Osama Bin Laden dead or alive.
[02:40:52.598 --> 02:40:55.040]  We're going to get Osama Bin Laden dead or alive!
[02:40:55.521 --> 02:40:56.782]  And people swallow the crap.
[02:40:57.082 --> 02:40:58.483]  And that's what I'm trying to tell you.
[02:40:59.824 --> 02:41:00.204]  War.
[02:41:00.384 --> 02:41:01.205]  COVID war.
[02:41:02.886 --> 02:41:03.767]  Ukraine war.
[02:41:04.067 --> 02:41:04.688]  World war.
[02:41:05.108 --> 02:41:06.789]  People follow the COVID war.
[02:41:07.250 --> 02:41:11.593]  Just like that brilliant quote I read to you from RFK Jr.
[02:41:12.313 --> 02:41:14.895]  Please repeat this in your mind and tell everyone.
[02:41:16.717 --> 02:41:19.479]  Talking about COVID, there was tremendous fear in our country.
[02:41:21.425 --> 02:41:29.912]  That was generated by the press, was I call them the prostitutes, media whores that get paid to put out by the corporate and government whore masters.
[02:41:31.193 --> 02:41:33.795]  And the medical cartel, which I call drug dealers.
[02:41:35.377 --> 02:41:41.061]  Quote, when people get fearful, their capacity for critical thinking gets disabled.
[02:41:41.862 --> 02:41:49.348]  And it's a human inclination to look for reassurance and leadership.
[02:41:50.441 --> 02:41:52.982]  From their leadership of authority.
[02:41:55.202 --> 02:41:56.382]  So that's what the people do.
[02:41:57.863 --> 02:42:00.223]  So I'm telling you, we must stop this war.
[02:42:03.704 --> 02:42:07.365]  And there are no winners in war, so everybody get this in your head.
[02:42:10.105 --> 02:42:12.066]  I mean, World War II ended what?
[02:42:12.206 --> 02:42:14.046]  You know, 77 years ago?
[02:42:14.086 --> 02:42:15.126]  It's not ancient history.
[02:42:16.167 --> 02:42:18.347]  World War I to World War II, 20 years later?
[02:42:19.460 --> 02:42:25.025]  It was the Hundred Years War, and then the Peloponnesian War, and like, yeah, well, roses, my favorite, so colorful.
[02:42:26.106 --> 02:42:28.628]  You got mentally ill people that are power hungry.
[02:42:30.750 --> 02:42:33.713]  Again, imagine if your life was destroyed and you had nothing.
[02:42:35.795 --> 02:42:38.437]  So, I want to go into the economy.
[02:42:40.519 --> 02:42:50.525]   Today, or on, I should say on Friday, The head of the European Central Bank.
[02:42:51.246 --> 02:43:00.312]  Before being the head of the European Central Bank, she was head of the International Monetary Fund.
[02:43:01.452 --> 02:43:02.313]  Christine Lagarde.
[02:43:03.834 --> 02:43:06.235]  Vladimir Putin is a terrifying person.
[02:43:06.796 --> 02:43:12.679]  Unlike George Bush, unlike Obama, who's killed many, many, many, many, and Clinton.
[02:43:13.520 --> 02:43:15.001]  Yeah, and Bushy Bush.
[02:43:16.556 --> 02:43:18.737]  Who killed millions combined.
[02:43:20.318 --> 02:43:21.798]  It's a terrifying person.
[02:43:22.358 --> 02:43:22.899]  She said.
[02:43:24.479 --> 02:43:25.120]  And that.
[02:43:26.760 --> 02:43:29.481]  He was not as sick as he is today.
[02:43:31.322 --> 02:43:33.663]  Unlike the mentally ill from before.
[02:43:34.263 --> 02:43:35.724]  But she goes on to say.
[02:43:35.744 --> 02:43:37.485]  That.
