[00:00.000 --> 00:24.120]  It's a helpless feeling.
[2:55:11.920 --> 2:55:18.480]  outgoing bandwidth right so what this essentially does is it inverts that relationship where every
[2:55:18.480 --> 2:55:24.000]  every node every peer every person who's accessing that data is accessing it from everyone else
[2:55:24.000 --> 2:55:30.000]  while they're watching it well we got approached a few years ago about bitshoot wanting us to buy
[2:55:30.000 --> 2:55:34.080]  them and i just don't have the money i mean i don't i don't have two million dollars extra
[2:55:34.080 --> 2:55:39.840]  sitting around i maxed out but yeah we should probably try to start by every video have a
[2:55:39.840 --> 2:55:44.640]  version that is a torrent system we just didn't do it because the reliability issue but i think
[2:55:44.640 --> 2:55:48.080]  what the engineers are telling me what you're saying is because we already have such a big
[2:55:48.080 --> 2:55:52.800]  core audience that's what actually allows that infrastructure to build and that would be and
[2:55:52.800 --> 2:55:56.720]  that would make the videos more more accessible because for folks who don't know sometimes the
[2:55:56.720 --> 2:56:02.960]  videos don't work if you use that system yeah the more the more people accessing the
[2:56:02.960 --> 2:56:11.920]  website and the videos the faster and more resilient it becomes well we need we we need
[2:56:11.920 --> 2:56:17.440]  to create a bit i mean i mean we may have to because i mean we're just maxed out that is a
[2:56:17.440 --> 2:56:24.480]  really good at anything else sir that'll do it thank you brother all right i'm gonna go to
[2:56:24.480 --> 2:56:29.040]  mark justin and ron in the short five minute segment and the pizza intelligent take over
[2:56:29.040 --> 2:56:35.360]  so i'm gonna give each caller about a minute and a half or so mark justin ron love you we're
[2:56:35.360 --> 2:56:39.520]  gonna go to break we're gonna come back back to you and then i've not been doing saturday shows
[2:56:39.520 --> 2:56:42.720]  and extra shows and laws i've been at so much infrastructure things and dealing with trying
[2:56:42.720 --> 2:56:46.480]  to raise money that i'm running around trying to raise money with sponsors and vetting them and
[2:56:46.480 --> 2:56:51.840]  then dealing with it i'm not complaining i would just be on air more if we were not so close to the
[2:56:51.840 --> 2:56:56.480]  red so thank you all for your support info war store dot com but whatever you do support the
[2:56:56.480 --> 2:57:01.920]  local m&m affiliates become a sponsor support their sponsors make a donation we've gone from
[2:57:01.920 --> 2:57:08.320]  200 something affiliates to almost 350 in the last year and a lot of the states are taking us from
[2:57:08.320 --> 2:57:14.000]  nighttime to live or they even air us like during prime time in the morning and drive time because
[2:57:14.000 --> 2:57:19.600]  they get how serious it is and their audiences are responding well the truth so people are ready
[2:57:19.600 --> 2:57:24.240]  for the truth let's just keep fighting this is the main part of the fight the 12th round we're
[2:57:24.240 --> 2:57:30.160]  going to do it together spread the article spread the videos pray for the broadcast pray for global
[2:57:30.160 --> 2:57:35.120]  awakening and buy products at infowarstore.com the globalists want to shut this place down so much
[2:57:35.120 --> 2:57:40.560]  and because of you we are still standing so i humbly on my knees thank you i am in your hands
[2:57:41.120 --> 2:57:43.200]  hour number four straight ahead in two minutes
[2:57:47.840 --> 2:57:53.360]  ladies and gentlemen ultra 12 the highest quality v12 you're gonna find on the market has been sold
[2:57:53.360 --> 2:57:58.640]  off for many months but now it's back in stock at infowarstore.com now in the next 45 seconds
[2:57:58.640 --> 2:58:04.160]  i don't have time to get into vitamin b12 but do your own research and realize when it is organic
[2:58:04.160 --> 2:58:10.560]  high quality vitamin b12 it energizes every other vitamin mineral in your body and all of your
[2:58:10.560 --> 2:58:16.400]  hormones and so much more ultra 12 is incredible you take it out of the tongue so it's better
[2:58:16.400 --> 2:58:23.520]  absorption into your body and it is a game changer infowarstore.com has ultra 12 back in
[2:58:23.520 --> 2:58:28.400]  stock and despite the fact it's back in stock despite the fact it's sold very quickly it is
[2:58:28.400 --> 2:58:35.200]  40 off for a limited time so act now funding info war experience the purest highest quality b12 now
[2:58:35.200 --> 2:58:42.400]  at infowarstore.com or call toll free triple eight two five three three one three nine thank you
[2:58:42.400 --> 2:58:49.440]  all for your support now take action and get your bottle of ultra 12 i designed over 200 t-shirts
[2:58:49.440 --> 2:58:55.280]  the last 25 years and we have some of those original designs still for sale at infowarstore.com
[2:58:55.280 --> 2:59:00.240]  these are real classics but ladies and gentlemen they're all about to be limited edition because
[2:59:00.240 --> 2:59:05.440]  we're selling out of them they're about to be history and we're selling out of the hoodies
[2:59:05.440 --> 2:59:10.800]  the ball caps the t-shirts all these amazing designs at cost infowarstore.com except for
[2:59:10.800 --> 2:59:16.000]  this fundraiser shirt that is a real hit and people love it it's 24 95 alex jones is right on the
[2:59:16.000 --> 2:59:21.760]  front the red thunderbolt and then again on the back a big bold info wars dot com exercise your
[2:59:21.760 --> 2:59:27.520]  first amendment don't let the leftist and the globalist bully silence you and fund the info war
[2:59:27.520 --> 2:59:32.400]  at the same time there is not a more politically incorrect shirt that sends a stronger message
[2:59:32.400 --> 2:59:37.360]  of freedom resistance to the new world order than the alex jones was right shirt exclusively available
[2:59:37.360 --> 2:59:42.960]  at infowarstore.com and again this shirt is limited edition as well we're doing one more run
[2:59:42.960 --> 2:59:54.000]  and then no more infowarstore.com get yours today if you are receiving this transmission you are the
[2:59:54.000 --> 3:00:06.720]  resistance and here we are on this friday the 13th an hour number four we're gonna talk to a caller
[3:00:06.720 --> 3:00:13.920]  in minnesota justin justin thank you for calling mr. jones so uh i want to make a personal apology
[3:00:13.920 --> 3:00:21.200]  to you um the last two years we have been involved in a mental war my friend and uh i've
[3:00:21.200 --> 3:00:27.680]  honestly made some bad investments in cars when i could have been investing and i've made some
[3:00:27.680 --> 3:00:33.360]  investments in the vitamins you have and all that other stuff to obviously keep us alive to
[3:00:33.360 --> 3:00:38.160]  up to this point man and i thank you for that apologize to me we all have done things that don't
[3:00:38.160 --> 3:00:45.280]  work out honestly that's all i got for you thank you all right god bless you thanks for the support
[3:00:45.280 --> 3:00:55.360]  all right let's talk to mark in oklahoma mark welcome alex yes sir how are you today
[3:00:55.360 --> 3:01:03.680]  long time listener i'm blessed to be on air talking to you mark thank you yes sir um listening earlier
[3:01:03.680 --> 3:01:11.280]  and you hear about you know the jabs and one person getting hurt another person may be dying
[3:01:11.280 --> 3:01:21.040]  i'm sitting here i deal with um the senior population and so far i am up to 20 different
[3:01:21.040 --> 3:01:27.040]  clients that have passed away and nobody seems to be talking about it what can i do it's a
[3:01:27.040 --> 3:01:35.920]  massive population it's so sad brother what are you witnessing mark uh the older people
[3:01:36.880 --> 3:01:45.760]  forgetfulness blood clots parkinson's disease i mean it's just ridiculous and i try to warn
[3:01:45.760 --> 3:01:52.400]  people but yet they're still getting out and going to get these jabs i just don't understand i just
[3:01:52.400 --> 3:01:57.680]  don't get it well national polls show the majority of americans are now against the shots but yeah
[3:01:57.680 --> 3:02:01.840]  they're really targeting old folks and then we have statistics we know it's killing them
[3:02:01.840 --> 3:02:09.840]  what an incredible time to be alive uh so sad yes for sure just wanted to let everybody know
[3:02:09.840 --> 3:02:14.800]  that's happening so i thank you for taking my call alex i do appreciate it thanks for holding
[3:02:14.800 --> 3:02:20.800]  mark to tell people that wow another firsthand account ron in arizona ron you're our tailgater
[3:02:20.800 --> 3:02:28.720]  before peace until he takes over go ahead ron well thank you um appreciate the opportunity
[3:02:29.440 --> 3:02:33.760]  you know every day i look at my computer i get up in the middle of the night i look at what's
[3:02:33.760 --> 3:02:40.640]  going on and i wonder you know how did we get here and i remember when joe biden was running for
[3:02:40.640 --> 3:02:47.120]  president and when he would say i'm going to beat donald trump he'd get a standing ovation
[3:02:47.120 --> 3:02:53.760]  and when he says you know trump trump that's when people would cheer you know he never laid out any
[3:02:54.400 --> 3:03:02.160]  plans he never laid out any um you know great uh ideas so you know what we have is what we
[3:03:02.160 --> 3:03:08.960]  selected as a country you know and is it going to take three years for this to go away alex
[3:03:08.960 --> 3:03:15.920]  you know we let joe biden steal the election i think evidence overwhelming that happened
[3:03:16.640 --> 3:03:20.320]  but but there's the argument of well he makes it so bad to the left leave him in
[3:03:20.320 --> 3:03:23.920]  he'll wreck the country before then they know that what do you think of the plan to try to
[3:03:23.920 --> 3:03:28.560]  impeach him or have the impeachment as a way to expose cutting off the energy opening the borders
[3:03:28.560 --> 3:03:34.560]  i mean do you agree with me on that well it's definitely a process that's available whether
[3:03:34.560 --> 3:03:40.320]  or not they'll act on it it's anybody's guess well you sound like a smart guy where do you think this
[3:03:40.320 --> 3:03:45.120]  is all gonna end you think the deep state can even let us have elections 179 days or what happens
[3:03:45.120 --> 3:03:51.680]  in the general election in two and a half years well hopefully we're gonna make it that far as a
[3:03:51.680 --> 3:03:57.280]  nation and we're gonna have this opportunity to correct the direction that the country's going
[3:03:57.280 --> 3:04:04.960]  right no i agree with you but do you think we'll even get to that point it's 50 50 in my eyes
[3:04:06.320 --> 3:04:11.200]  in my heart i agree in closing how do you think the deep state will try to stay in power
[3:04:14.960 --> 3:04:18.800]  just probably through the same mechanisms that they've utilized in the past i don't believe
[3:04:18.800 --> 3:04:23.760]  they're uh you're gonna change anything at this point of the uh you know the game i agree false
[3:04:23.760 --> 3:04:28.000]  flags war collapse i agree so the only we can do is educate the public and help they don't go along
[3:04:28.000 --> 3:04:33.120]  with it right yes but in closing i want to say one thing alex i've been listening to you for a while
[3:04:33.120 --> 3:04:38.240]  and your bumper music is awesome and you've introduced me to some songs that have helped me i've
[3:04:38.240 --> 3:04:45.440]  lost friends i friends of ed strokes and died and everything and and stranger in the ring you know i
[3:04:45.440 --> 3:04:52.000]  never heard that song until i listen to your show and um it almost it brings me to tears when i hear
[3:04:52.000 --> 3:04:57.360]  that song and well i love you brother right of time pete centelli takes over the newest product
[3:04:57.360 --> 3:05:02.960]  from info wars life is now available exclusively at info wars store.com it is concentrated known
[3:05:02.960 --> 3:05:09.680]  herbs and compounds that will supercharge your body's natural defenses your immune system all
[3:05:09.680 --> 3:05:14.480]  the same time fun in the info war our immune systems have always been critical but in this
[3:05:14.480 --> 3:05:19.200]  globalist era with all the criminal activity they're involved in it is more important than ever
[3:05:19.200 --> 3:05:25.600]  to take the tools god gave us and supercharge our immune systems info wars life immune support is a
[3:05:25.600 --> 3:05:30.240]  game changer and everyone out there that wants to be healthy and wants to boost your natural
[3:05:30.240 --> 3:05:37.040]  defenses should get it today out of the gates is 25% off at info wars store.com got a lot of
[3:05:37.040 --> 3:05:41.440]  other great products to boost your immune system as well but this one is the very strongest we've
[3:05:41.440 --> 3:05:46.720]  got so anybody out there that cares about their health and wants to take care of themselves
[3:05:46.720 --> 3:05:50.560]  needs to get this product it's also a great gift for friends and family to boost their
[3:05:50.560 --> 3:05:54.880]  immune systems as well get yours today at info wars store.com for 25 percent off
[3:06:03.120 --> 3:06:08.640]  and good afternoon everybody uh my name is pete centelli and i'm broadcasting to you live from
[3:06:08.640 --> 3:06:16.080]  me a bunker in sincennedy ohio that's femur region five i welcome you uh to this fourth hour of the
[3:06:16.080 --> 3:06:21.760]  alex jones show uh so honored to be here uh so honored to be with each and every one of you
[3:06:22.320 --> 3:06:28.240]  today uh it just so happens that uh you know that we've got some planetary alignment an
[3:06:28.240 --> 3:06:37.600]  unbelievable um amount of news uh coming to us just before it came on the air um there for those
[3:06:37.600 --> 3:06:42.880]  of you that don't know now i'm going to be covering a bombshell uh news story something related to
[3:06:42.880 --> 3:06:47.920]  uh a topic that we've been hearing about especially in independent media circles
[3:06:48.480 --> 3:06:56.000]  2000 mules being released but in october of 2020 i published a report as a matter of fact i think
[3:06:56.640 --> 3:07:02.640]  alex jones is going to be he's going to be pleasantly surprised to know that i had a very
[3:07:02.640 --> 3:07:08.240]  very high level trusted source and if i mentioned that person's name he'd be he'd be very pleased
[3:07:08.240 --> 3:07:12.800]  to tip me off to the fact that the doj was investigating a lot of the stuff that we're
[3:07:12.800 --> 3:07:20.160]  seeing uh in 2000 mules now i published report in october of 2020 that the doj was actually
[3:07:20.160 --> 3:07:25.120]  investigating these people that report is going to come to you know before we get to that um
[3:07:25.920 --> 3:07:32.960]  breaking news here it's it hasn't even hit uh the i think it's just barely now hitting the
[3:07:32.960 --> 3:07:39.840]  mainstream media uh for those of you that know about a pastor's um efforts to keep his doors
[3:07:39.840 --> 3:07:47.360]  open during covid early on they were shutting uh church doors down a pastor tony spell in louisiana
[3:07:48.320 --> 3:07:54.560]  just got word actually just as i was coming on the air this is so spectacular uh the best way to
[3:07:54.560 --> 3:08:00.000]  title uh this particular news announcement this breaking news announcement is god wins
[3:08:00.000 --> 3:08:08.720]  uh pastor tony spell in louisiana a pastor who stood up not just once twice the covid
[3:08:08.720 --> 3:08:13.280]  tyrants were attempt they've sent the police they were at one point the governor was kind of
[3:08:13.280 --> 3:08:18.320]  send the national guard because he refused to close his doors and thousands of people were
[3:08:18.320 --> 3:08:28.080]  coming to his church he faced um 35 in 35 cases a relatively long period of time in jail but he
[3:08:28.080 --> 3:08:34.160]  kept appealing uh he kept appealing and took it all the way to the supreme court of louisiana
[3:08:34.160 --> 3:08:40.480]  and i'm i'm so honored to bring you this news here exclusively on info wars dot com louisiana
[3:08:40.480 --> 3:08:46.240]  supreme court justice crane states as follows in this criminal proceeding we find certain
[3:08:46.240 --> 3:08:53.120]  provisions of two executive orders as applied to the defendant pastor tony spell violate his
[3:08:53.120 --> 3:08:59.440]  fundamental right to exercise religion and do not survive strict scrutiny and are thus
[3:09:00.160 --> 3:09:09.920]  unconstitutional ladies and gentlemen this is a landmark and i mean that the the shock waves
[3:09:09.920 --> 3:09:15.120]  haven't even hit yet the reverberations of this supreme court ruling as it relates to the u.s
[3:09:15.120 --> 3:09:21.600]  constitution and pastor tony spell who was if this ruling had not come was facing a long long
[3:09:21.600 --> 3:09:28.880]  time in jail uh 35 uh charges against him that had all been appealed uh the full force of the
[3:09:28.880 --> 3:09:36.640]  government brought upon him and thank thank the lord everybody thank the lord for bringing
[3:09:36.640 --> 3:09:44.240]  this ruling uh the u.s constitution stands and in the end god wins and absolutely epic epic
[3:09:44.240 --> 3:09:50.080]  ruling i hope that uh pastor spell will be making the rounds he's very articulate man
[3:09:50.080 --> 3:09:55.920]  one of the most constitutional pastors i've ever uh come into contact with on the p santilly show
[3:09:55.920 --> 3:10:01.280]  in just in case you don't know um what the p santilly show is we broadcast at eight a.m it's
[3:10:01.280 --> 3:10:06.960]  actually five hours a day today it just so happens to be six uh hours by broadcasting on
[3:10:07.600 --> 3:10:12.880]  the alex jones show we're so honored to be doing that but we broadcast five hours live a day
[3:10:12.880 --> 3:10:19.920]  eight a.m eastern six p.m eastern uh and of course uh in between time tuning into the alex jones show
[3:10:19.920 --> 3:10:27.520]  and i have done so uh for the better part of uh i don't know 20 something years 25 26 years um now
[3:10:28.400 --> 3:10:36.560]  good segue to my next topic because i've always had a certain perception uh let's say x-ray vision
[3:10:36.560 --> 3:10:43.840]  goggles uh when i see how the deep state operates uh as i've been in tune with how to do deep
[3:10:43.840 --> 3:10:51.920]  research and also uh build a relationship with some pretty high level sources that have trusted
[3:10:51.920 --> 3:10:58.080]  my integrity to at least keep their names anonymous and their name shall of course remain anonymous
[3:10:58.080 --> 3:11:04.320]  in this instance but i want to tell you i published i published a report here and let's um
[3:11:04.320 --> 3:11:14.400]  um uh let's just go right to this um in october of 2020 october 2020 at peter santilly.com i publish
[3:11:14.400 --> 3:11:23.520]  report that says why has in christopher rey's fbi arrested three masterminds allegedly behind the
[3:11:23.520 --> 3:11:30.640]  illegal nationwide ballot ballot harvesting scheme and these three individuals it may or
[3:11:30.640 --> 3:11:37.600]  may not recognize them one to the left his name is norm eisen uh i think that if i play i have one
[3:11:37.600 --> 3:11:43.440]  clip that i'm going to play here and you'll know who he is instantly the man in the middle um his
[3:11:43.440 --> 3:11:49.520]  name is mark alias and he probably been hearing a lot about him uh recently especially as it relates
[3:11:49.520 --> 3:11:55.920]  to election um election laws that uh he was the mastermind behind it on the left side of the political
[3:11:55.920 --> 3:12:03.920]  spectrum uh to set up all of the uh the laws that allowed them to stuff ballot boxes send out
[3:12:03.920 --> 3:12:10.400]  millions and millions of ballots uh all throughout the country uh getting bypassing the legislature
[3:12:10.400 --> 3:12:16.480]  of course and going to the election boards and getting them to sign decrees uh due to covet
[3:12:16.480 --> 3:12:21.840]  using the excuse of covet that mark alias and the third individual his name is and why these
[3:12:21.840 --> 3:12:29.760]  three individuals are important his name is neil kaital or kaito whatever his name is less prominent
[3:12:29.760 --> 3:12:38.800]  name in our circle but those three names i came to the forefront in october of 2020 when a extremely
[3:12:38.800 --> 3:12:46.160]  trusted high-level source said that the department of justice was investigating and this was at a
[3:12:46.160 --> 3:12:53.360]  time when we didn't know about 2000 mules it it literally struck me when uh when i was reviewing
[3:12:54.160 --> 3:13:02.160]  alex jones's review of 2000 mules and i had remembered uh without ever having spoken to alex
[3:13:02.160 --> 3:13:08.320]  he has a lot of great sources over the the past decades some of the best sources within our
[3:13:08.320 --> 3:13:13.920]  government the white hats that are concerned about our country and they want to get information
[3:13:13.920 --> 3:13:20.400]  out there so i did not speak to uh to alex jones or anybody that shall ever uh be named here but
[3:13:20.400 --> 3:13:25.760]  this is what i was told is that these individuals were caught now i'm going to put on the screen
[3:13:25.760 --> 3:13:30.400]  just very briefly here we're not going to dig into the exact specifics but this investigation was
[3:13:30.400 --> 3:13:36.560]  conducted by the department of justice they caught these individuals these three individuals
[3:13:36.560 --> 3:13:44.560]  communicating in a very sophisticated manner and here's a copy of a screenshot of their communications
[3:13:45.360 --> 3:13:56.160]  where on gaming chat rooms they were literally organizing an effort to valid harvest now this
[3:13:56.160 --> 3:14:02.560]  epiphany came to me as i said when alex jones was doing a review of 2000 mules and i thought about
[3:14:02.560 --> 3:14:07.280]  how these gentlemen who were communicating and also the impact that it had when i was sitting in
[3:14:07.280 --> 3:14:13.280]  the movie theater uh here in sincenity watching 2000 mules i said this is one of the most
[3:14:13.280 --> 3:14:21.680]  sophisticated operations this is a military-styled attack upon our republic the amount of organization
[3:14:21.680 --> 3:14:26.960]  communication in a short period of time to get that number of ballots in five to ten ballot
[3:14:26.960 --> 3:14:33.600]  increments stuffed into these uh these uh these ballot drop boxes requires a tremendous amount
[3:14:33.600 --> 3:14:40.080]  of organization a lot of leadership and i say leadership as far as organization is concerned
[3:14:40.080 --> 3:14:44.560]  to get people on moving in the right direction in a short period of time and of course keep it
[3:14:44.560 --> 3:14:50.720]  keep a lid on it uh you can't go on twitter and say hey we need 50 more ballots in this jurisdiction
[3:14:51.840 --> 3:14:55.520]  not a lot of communications going back and forth to these nonprofits
[3:14:55.520 --> 3:15:01.760]  because as you know in discovery when they take a look at the court records is there any communication
[3:15:01.760 --> 3:15:09.040]  that you have email or text or otherwise um well what they were in fact doing was talking
[3:15:09.040 --> 3:15:14.560]  in these gaming chat rooms this is a method that these covert operators have done all throughout
[3:15:14.560 --> 3:15:20.320]  the world i'm going to prove it to you we're going to do it right here exclusively on alex
[3:15:20.320 --> 3:15:27.760]  johnson's info wars dot com we'll be right back here and in the next several segments i will be
[3:15:27.760 --> 3:15:36.240]  breaking it down for you exactly who marco lias is exactly who neil katal is and most importantly
[3:15:36.240 --> 3:15:43.840]  who is norm eisen and how has he been involved in launching color revolutions and coup d'etats
[3:15:43.840 --> 3:15:49.440]  all throughout the world stay right there you don't want to miss this hour this fourth hour
[3:15:49.440 --> 3:15:52.320]  of alex johnson's on info wars dot com
[3:15:55.920 --> 3:16:02.160]  the powerful combination of both vitamin c and zinc are great stepping stones to leading a healthier
[3:16:02.160 --> 3:16:07.280]  life info wars has made it easier to make sure you're getting enough in your system of a supplement
[3:16:07.280 --> 3:16:13.200]  that contains both this info wars life offering vitamin c plus zinc with rose hips should be your
[3:16:13.200 --> 3:16:18.800]  next purchase from the info wars store the rose hips contained within are a part of the rose flower
[3:16:18.800 --> 3:16:25.360]  just below the petals that contain the rose plant seeds natural chemicals found in the hips may even
[3:16:25.360 --> 3:16:30.640]  be helpful for a variety of health conditions including those with osteoarthritis and for those
[3:16:30.640 --> 3:16:36.160]  with pain after surgery studies have shown as for vitamin c and zinc themselves you probably
[3:16:36.160 --> 3:16:41.040]  already know that they play an important role in nutrition immune defense and the maintenance of
[3:16:41.040 --> 3:16:46.800]  your everyday health it has been reported that intake of both is often inadequate even in affluent
[3:16:46.800 --> 3:16:51.600]  populations like here in america so next time you visit be sure to check it out at info wars
[3:16:51.600 --> 3:16:58.640]  store dot com where we promise our rose hips don't lie you see this it's an info wars republic
[3:16:58.640 --> 3:17:04.640]  defense card with original info wars art designed by yours truly with a little gold bar implanted in
[3:17:04.640 --> 3:17:10.720]  it and on the back it's got a hologram there are only 25 000 of these in existence and they'll never
[3:17:10.720 --> 3:17:15.760]  be made again the bank that owns the mint that has started putting these out the last few years
[3:17:15.760 --> 3:17:21.760]  just sold out of 300 000 of a similar offering that was 40 percent more than what we're selling
[3:17:21.760 --> 3:17:26.720]  these for and when you get three or more you can get these at 50 off and they fund the info war
[3:17:26.720 --> 3:17:31.920]  please visit info wars store dot com and check out this amazing new art slash gold product it's a
[3:17:31.920 --> 3:17:36.640]  collector's item and you'll know you help fund the second american revolution against the globalist
[3:17:36.640 --> 3:17:41.920]  at such a critical point get your gold bars and so much more exclusively at info wars store dot com
[3:17:41.920 --> 3:17:46.160]  and i want to thank you for your support over the years because without you all of the great
[3:17:46.160 --> 3:17:50.000]  success we have had together would not have happened we are the tip of the spear you are the
[3:17:50.000 --> 3:17:57.120]  tip of the spear and i salute you and thank you visit info wars store dot com today over the years
[3:17:57.120 --> 3:18:05.200]  info wars is produced more than 200 amazing patriot americana second amendment pro-liberty themed
[3:18:05.200 --> 3:18:12.160]  t-shirts ball caps flags you name all of the apparel and the flags are being sold at cost right
[3:18:12.160 --> 3:18:19.280]  now that's just regular plain jane shirts that is all sorts of designer shirts that cost us 15
[3:18:19.280 --> 3:18:24.480]  20 25 dollars to produce we used to sell for 40 we're selling them for 15 selling for 20 whatever
[3:18:24.480 --> 3:18:28.960]  the shirt costs us the shirt costs five dollars we're selling it for five dollars for essentially
[3:18:28.960 --> 3:18:33.680]  produce the cost ten dollars or selling for ten dollars and we've got hoodies and we've got long
[3:18:33.680 --> 3:18:37.680]  sleeves and we've got short sleeves we've got them all and we've got to liquidate them all and
[3:18:37.680 --> 3:18:43.360]  they're limited edition because we're never going to make any of these designs again we are going
[3:18:43.360 --> 3:18:48.080]  to come out with some new designs that will be limited limited edition in the future we've got
[3:18:48.080 --> 3:18:52.800]  to sell this to keep m4's on the air plus it spreads the word info wars store dot com to your
[3:18:52.800 --> 3:18:58.800]  historic apparel now info wars store dot com introducing the newest product from info wars
[3:18:58.800 --> 3:19:06.080]  life dot com we are so proud of info wars life immune support it is concentrated herbs that are
[3:19:06.080 --> 3:19:12.720]  known on record to supercharge our bodies natural defenses ladies and gentlemen this is something
[3:19:12.720 --> 3:19:18.720]  that is essential and everyone should get and on top of it it funds the info war so that's the 360
[3:19:18.720 --> 3:19:24.080]  win let me tell you what is in this amazing product concentrated elderberry concentrated
[3:19:24.080 --> 3:19:31.600]  in echinasia concentrated astragalus roots angelica root loatium root and more this product is
[3:19:31.600 --> 3:19:37.760]  incredible info wars immune support exclusively available at info wars store dot com is funding
[3:19:37.760 --> 3:19:43.840]  the tip of the spear the info wars operation it is a 360 win the only way you fail is by not
[3:19:43.840 --> 3:19:48.240]  taking action and getting this product to boost your body's natural defenses and keep info wars
[3:19:48.240 --> 3:19:53.520]  on the air the globalists are hoping you don't take action take action now info wars store dot com
[3:19:57.920 --> 3:20:03.920]  leading a frontal assault on the lies of the new world order it's alex jones
[3:20:10.800 --> 3:20:16.640]  welcome back everybody you're tuned in live to this fourth hour of alex jones's show the
[3:20:16.640 --> 3:20:24.400]  uh show broadcast at uh band dot video uh info wars dot com of course pages and websites that
[3:20:24.400 --> 3:20:31.040]  i've frequented uh for many many years uh you know today i was excited i actually came up
[3:20:31.040 --> 3:20:37.040]  with a couple of ideas because i've always been very very supportive as i always say uh supporting
[3:20:37.040 --> 3:20:43.840]  independent media is so critical right now and this this info war we and we are without a doubt
[3:20:43.840 --> 3:20:50.480]  uh at war with this deep state with these uh with this cabal and uh the way to defeat them
[3:20:50.480 --> 3:20:55.840]  is to deliver the truth to the american people and i've been saying recently and it's so true
[3:20:55.840 --> 3:21:03.200]  that without your support truth dies it comes to a screeching halt um i i noticed that uh
[3:21:03.840 --> 3:21:13.120]  that alex had published a um a page on info wars store dot com alex jones was right and i had an
[3:21:13.120 --> 3:21:19.440]  idea myself i'm gonna actually pick up and i've always been supportive i i get up a brain force
[3:21:19.440 --> 3:21:25.360]  uh plentiful supply of course keeps me going uh but alex jones was right i'm gonna pick up two
[3:21:25.360 --> 3:21:32.640]  of those teach t-shirts to help support uh info wars one i'm actually gonna put in a frame because
[3:21:32.640 --> 3:21:38.720]  it's so symbolic of everything that i've learned over the past couple of decades that in the beginning
[3:21:38.720 --> 3:21:44.880]  i thought was all conspiracy theory but as i did research of course i discovered that dating all
[3:21:44.880 --> 3:21:50.960]  the way back to you know 10 15 years ago that alex jones was in fact right i remember he was the
[3:21:50.960 --> 3:21:59.040]  one of the first ones to introduce me uh to western land issues that take over agenda 21 in fact uh
[3:21:59.040 --> 3:22:06.080]  there uh where agenda 21 is now agenda 2030 but alex out out there in western lands doing
[3:22:06.080 --> 3:22:12.960]  investigations doing excellent documentary so i'm gonna not only support uh alex jones and info
[3:22:12.960 --> 3:22:18.800]  wars dot com and the crew over there i'm gonna double up and get two of those t-shirts put one
[3:22:18.800 --> 3:22:25.280]  in a frame because of the sheer symbolism alex jones was right and we've certainly all benefited
[3:22:25.280 --> 3:22:29.120]  from that all right now let's get back to i'm going to tell you this story i'm going to break it down
[3:22:29.120 --> 3:22:35.360]  for you and tell you how it came then i'm going to tell you how significant this information is so
[3:22:35.360 --> 3:22:43.040]  back in october of 2020 came to me that the department of justice was investigating because
[3:22:43.040 --> 3:22:50.000]  they were very very concerned about the ballot harvesting as you recall project veritas had
[3:22:50.000 --> 3:22:56.880]  actually done an expose um where they actually found people getting paid to move ballots um
[3:22:57.840 --> 3:23:02.880]  you can barely remember that especially with the information flow that comes to us uh since the
[3:23:02.880 --> 3:23:08.720]  you know just prior to the 2020 election and onward but uh project veritas actually published that
[3:23:08.720 --> 3:23:15.600]  scathing expose documenting illegal ballot harvesting in ilhan omar's district um right
[3:23:15.600 --> 3:23:23.600]  about that time marco lias neil uh katyal or whatever his name is and norm eisen were identified
[3:23:23.600 --> 3:23:31.520]  as individuals who allegedly masterminded uh one of the largest voter fraud scams in american history
[3:23:31.520 --> 3:23:38.800]  so despite of course overwhelming evidence and eyewitness accounts fbi director christopher ray
[3:23:39.760 --> 3:23:46.880]  denied the existence of national voter fraud at all but the department of justice was in fact
[3:23:46.880 --> 3:23:54.560]  investigating the communications that were taking place uh in their their gaming channel threads
[3:23:54.560 --> 3:23:59.520]  they were actually following it and why it came to me is because the information was not being
[3:23:59.520 --> 3:24:07.200]  advanced at the federal bureau of investigation and in fact was being washed but white hats at the
[3:24:07.200 --> 3:24:13.040]  department of justice were continuing their investigation and had overwhelming evidence
[3:24:13.040 --> 3:24:20.640]  back then in october of 2020 um to corroborate what project veritas was putting out in that
[3:24:20.640 --> 3:24:28.240]  illegal ballot harvesting um expose by project veritas now i realize just how significant
[3:24:28.240 --> 3:24:34.480]  it is especially when you consider and watch the 2000 mules documentary uh that was published of
[3:24:34.480 --> 3:24:42.800]  course with um kathryn engelbrecht from truethevote.org and dinesh desuza masterful masterful job that
[3:24:42.800 --> 3:24:48.640]  they did collecting all of this data and at the time it was certainly a gamble for them to collect
[3:24:48.640 --> 3:24:54.320]  all of that data piece everything together but you know what we're now connecting a lot of dots
[3:24:54.320 --> 3:25:01.120]  and and and one of those dots and they're very significant dots of course is who are these people
[3:25:01.120 --> 3:25:07.600]  behind the scenes that were organizing this effort i just grabbed it after 2000 mules in fact in
[3:25:07.600 --> 3:25:15.120]  syncynatty um i was sitting there in the theater uh knowing full well when i went in exactly what
