[00:00:06.405 --> 00:00:09.189]  Well, here we are ladies and gentlemen in the year 2022.
[01:19:50.775 --> 01:19:53.157]  50% off and it keeps us on the air.
[01:19:53.157 --> 01:20:00.383]  Only way we fail is if you don't take action.
[01:20:00.383 --> 01:20:06.268]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:18.058 --> 01:20:21.600]  All right, what's true is coming out in 2022.
[01:20:21.600 --> 01:20:23.561]  That's what I'm going with.
[01:20:23.561 --> 01:20:27.683]  Dr. Malone's interview with Joe Rogan is going crazy, going viral.
[01:20:27.683 --> 01:20:33.467]  Let's see if it hits as much as the Dr. Peter McCullough interview did.
[01:20:33.467 --> 01:20:40.451]  Now, talking about our journey and the journey that we're all going through, and we all have our own awakening journey, and it was such a riot to hear Dr. Malone
[01:20:41.651 --> 01:20:46.414]  He did not respond the way I thought he would when I asked him if he'd been red-pilled.
[01:20:46.414 --> 01:20:48.335]  He really took that to the next level.
[01:20:48.335 --> 01:20:50.256]  Multi-dimensionally red-pilled.
[01:20:50.256 --> 01:20:53.537]  So, again, we've all gone through our own awakening journey.
[01:20:53.537 --> 01:20:59.380]  I know I have, and that's a part of how I connected with Dr. Malone, is because I knew that he had had his awakening journey.
[01:20:59.380 --> 01:21:02.442]  And then another friend of mine, who's become a friend of mine,
[01:21:02.862 --> 01:21:08.947]  is Alison Morrow and she hit her awakening journey before, I think, either me or Dr. Malone.
[01:21:08.947 --> 01:21:16.572]  She, I consider, one of the OGs of independent journalists who broke away, I feel like, sooner than a lot of us.
[01:21:16.572 --> 01:21:19.314]  And so happy to have her join me right now.
[01:21:19.314 --> 01:21:22.316]  Alison Morrow, thanks for being on.
[01:21:22.316 --> 01:21:23.197]  See, thanks for having me.
[01:21:23.197 --> 01:21:24.638]  Always a pleasure.
[01:21:24.638 --> 01:21:28.841]  Now, did you ever think that you would make appearances on InfoWars as a longtime traditional news journalist?
[01:21:30.197 --> 01:21:31.898]  No, I didn't, but you know what?
[01:21:31.898 --> 01:21:38.743]  When you texted me earlier, I'm on vacation in Florida, soaking up the vitamin D and the freedom, and I figured, anything for you, Christy.
[01:21:38.743 --> 01:21:40.784]  So, fire away, what you got for me?
[01:21:40.784 --> 01:21:43.946]  Well, thank you for being an inspiration to me and others.
[01:21:43.946 --> 01:21:52.132]  As Allison and I have witnessed on Twitter, with the Twitter Wars, not every journalist is open to being awakened.
[01:21:54.246 --> 01:21:58.789]  We try our best to encourage other journalists to come on, wake up.
[01:21:58.789 --> 01:22:00.490]  This is not how this is supposed to work.
[01:22:00.490 --> 01:22:02.592]  This is not how traditional journalism is supposed to work.
[01:22:02.592 --> 01:22:05.053]  But, you know, not everyone is receptive.
[01:22:05.053 --> 01:22:14.739]  But I don't know if you had a chance to see any clips of Dr. Malone and I, but I wanted to talk about that because you interviewed Dr. Malone, I think, shortly after his
[01:22:15.940 --> 01:22:16.660]  We're good to go.
[01:22:38.081 --> 01:22:56.891]  I think what's the most interesting to me is how somebody like Dr. Malone goes from a person who has virtually no public recognition, really somebody who's obviously been running in the circles that he's been running in for decades, but not somebody whose name we know, now ends up on the Rogan Podcast.
[01:22:58.052 --> 01:23:13.449]  To watch how our old industry of corporate news has handled that, to me it's just been really interesting to see from the inside this time as a new media person and not on the inside as a corporate news person how all of this shakes out.
[01:23:13.449 --> 01:23:18.034]  So here I am now interviewing the person that my old industry
[01:23:19.035 --> 01:23:19.575]  Yeah.
[01:23:39.222 --> 01:23:47.909]  It really is interesting to see how the different narratives play out when you now actually know the person that the industry is talking about.
[01:23:47.909 --> 01:23:52.753]  You can see so much more clearly how these narratives get spun.
[01:23:52.753 --> 01:23:58.718]  Let's talk about something else that I know that you are aware of in our industry, in traditional news media.
[01:23:58.718 --> 01:24:06.584]  I know that in my newsroom, a popular term, if we weren't quite sure what to say someone is, was just, oh, just say an expert says, right?
[01:24:08.185 --> 01:24:21.252]  So we would say, in our story, we would have somebody that could do the interview, essentially, and we would say, this expert says, and then you have somebody like Dr. Malone, who they try and credit, and it's just like, well, wait a minute.
[01:24:21.252 --> 01:24:23.874]  What constitutes as an expert anymore?
[01:24:23.874 --> 01:24:27.676]  Because he's a vaccinologist, an immunologist.
[01:24:27.676 --> 01:24:31.438]  He's been working with vaccines for 30 plus years.
[01:24:31.438 --> 01:24:33.899]  He's sat on the board of the Department of Defense.
[01:24:34.179 --> 01:24:46.272]  I mean, even if you're going to argue the contentious point of whether or not he created mRNA vaccines, isn't this person still an expert?
[01:24:46.272 --> 01:24:46.593]  Right.
[01:24:46.593 --> 01:24:48.074]  No, that's such a great point.
[01:24:48.074 --> 01:24:50.997]  It's something that I did before I woke up.
[01:24:50.997 --> 01:24:55.182]  You're talking about sort of these waking up processes that we go through.
[01:24:57.041 --> 01:25:04.066]  I'm sure many times I would say, experts say, just experts say, and I see so clearly now how that's totally inaccurate.
[01:25:04.066 --> 01:25:09.010]  It's just all experts say one thing, and then there's this guy who says something different.
[01:25:09.010 --> 01:25:20.258]  And you're right, it is a rhetorical device that I'm not even sure the vast majority of young journalists especially even know that they're using, where you're just putting up whatever it is that already aligns with
[01:25:21.124 --> 01:25:32.648]  The mainstream acceptable position, especially whatever is acceptable in your newsroom, you're lining that up as the expert opinion against the person who's the outlier.
[01:25:32.648 --> 01:25:41.812]  And I tell people all the time that that's one of the reasons that the outliers or the fringe rarely makes it into the mainstream.
[01:25:42.532 --> 01:25:43.413]  We're good to go.
[01:26:00.752 --> 01:26:06.296]  The Department of Health is selling you something and I want to tell you what it is because it's not what you think it is.
[01:26:06.296 --> 01:26:08.997]  We go, well, wait a second, we got to fact check this guy.
[01:26:08.997 --> 01:26:13.040]  We need hours or days or even weeks to make sure that he's legit.
[01:26:13.040 --> 01:26:16.002]  And with the news cycle the way it is, you often just don't do that.
[01:26:16.002 --> 01:26:25.988]  So people like Dr. Malone don't make it in by virtue of just the fact, like I said, we have a very low bar for sort of the mainline establishment institutions and a very high bar
[01:26:26.668 --> 01:26:29.750]  For people like Dr. Malone, that many of them just really can't cross over.
[01:26:29.750 --> 01:26:32.831]  And so we say, well, sorry, you're just not going to make it in today's news.
[01:26:32.831 --> 01:26:36.233]  Or like you said, we'll put them up against the expert.
[01:26:36.233 --> 01:26:49.639]  I mean, even the vague, the vague word that we as traditional news accepted, as far as like saying experts say, I mean, like it's so vague, like that, that even became a thing.
[01:26:49.639 --> 01:26:52.761]  Like, why couldn't we have interviewed somebody like Dr. Malone and called him like,
[01:26:53.081 --> 01:26:54.422]  Vaccinologist.
[01:26:54.422 --> 01:26:55.702]  Or this vaccinologist.
[01:26:55.702 --> 01:27:01.366]  But it's just strange to me that even news as a whole has these vague words they use to describe people.
[01:27:01.366 --> 01:27:02.806]  Doctors say.
[01:27:02.806 --> 01:27:04.047]  Experts say.
[01:27:04.047 --> 01:27:05.068]  Nurses say.
[01:27:05.068 --> 01:27:10.290]  I mean, can't we be more descriptive and more intentional when we're giving stories?
[01:27:11.531 --> 01:27:14.656]  Yes, I think it's really important to do that.
[01:27:14.656 --> 01:27:23.590]  And, you know, I kind of wonder sometimes if part of the reason is just, it's either intellectual laziness, or it's just, again, the speed of the news cycle.
[01:27:23.590 --> 01:27:25.834]  For whatever the reason is, you're right.
[01:27:25.834 --> 01:27:26.314]  You should say,
[01:27:26.895 --> 01:27:36.905]  This expert at this institution, so name the person, where they work, and that way you're at least signaling to the audience that they have buy-in on a particular narrative.
[01:27:36.905 --> 01:27:41.410]  And then this expert, who has a different opinion, comes from this background.
[01:27:41.410 --> 01:27:47.476]  Instead of just saying, experts say, I also think that when we do that, it's to sort of
[01:27:48.016 --> 01:27:53.802]  Push off responsibility onto the experts, whoever we are talking about.
[01:27:53.802 --> 01:28:01.289]  So if we just say experts say, it's a kind of, I think, a legal way that corporate news says, well, we just said experts say, we didn't say it.
[01:28:01.289 --> 01:28:09.458]  So if it ends up being entirely wrong and causing the destruction of mankind, we can say, well, the experts say it, you know, it wasn't us.
[01:28:09.458 --> 01:28:11.660]  I think it's kind of a way to punt responsibility.
[01:28:12.458 --> 01:28:26.090]  Well, it's funny because when I pointed out a former coworker, colleague, basically fake news that he was trying to push at the time, propaganda at the time, his pushback was, it's been widely sourced, this information.
[01:28:26.090 --> 01:28:28.032]  I think it had to do with the Hunter Biden story.
[01:28:28.032 --> 01:28:32.836]  Oh, it's been widely, he said it's been widely sourced that it's, it's Russian disinformation.
[01:28:32.836 --> 01:28:37.300]  I said, so you're saying your source is that it's been widely sourced.
[01:28:40.778 --> 01:28:44.460]  So now we have just sources.
[01:28:44.460 --> 01:28:45.021]  Right, yeah.
[01:28:45.021 --> 01:28:50.564]  And you know, the other thing too that I think is really unfortunate, Christy, is that... Wait, I want to know what you think is really unfortunate.
[01:28:50.564 --> 01:28:51.884]  So that's going to be the tease.
[01:28:51.884 --> 01:28:53.685]  You're coming back in the next segment.
[01:28:53.685 --> 01:28:56.227]  We're going to find out what Alison Morrow thinks is really unfortunate.
[01:28:58.453 --> 01:29:04.458]  If you think the tyranny and oppression we're living under now is bad, wait till they've got their world ID.
[01:29:04.458 --> 01:29:08.261]  And that's exactly what the COVID passports are all about.
[01:29:08.261 --> 01:29:21.672]  And Klaus Schwab and the UN and all the other globalist leaders own words, they admit that once they've gotten you with that system, then they're going to carbon tax you everywhere you go and track what you do.
[01:29:21.672 --> 01:29:26.256]  And publicly, they're saying they're going to decide when you can travel and when you can't travel.
[01:29:26.636 --> 01:29:35.901]  And MasterCard and all the other big companies are currently announcing they're going to track what you do and where you go and tax you with a carbon tax for it.
[01:29:35.901 --> 01:29:39.463]  This is the holy grail of tyranny, ladies and gentlemen.
[01:29:39.463 --> 01:29:42.265]  This is the takeover and humanity better wake up and say no.
[01:29:42.885 --> 01:29:44.588]  Finally, folks are starting to wake up.
[01:29:44.588 --> 01:29:46.731]  Joe Rogan, Tucker Carlson, and others are leaving the charts.
[01:29:46.731 --> 01:29:48.053]  What's wrong with them fours?
[01:29:48.053 --> 01:29:48.914]  But it's not enough.
[01:29:48.914 --> 01:29:54.001]  Every individual has to not comply, and we have to talk about bringing the globalists to justice.
[01:29:54.001 --> 01:29:57.306]  You see, they need the fear of God put in them, legally and lawfully.
[01:29:58.227 --> 01:30:02.430]  I never compromise the quality of ingredients we put in InfoWars Live products.
[01:30:02.430 --> 01:30:05.992]  And that's why for more than two years we've been sold out of Ultimate Bone Broth.
[01:30:05.992 --> 01:30:08.593]  And we could never get the ingredients again.
[01:30:08.593 --> 01:30:09.554]  Until now.
[01:30:09.554 --> 01:30:15.637]  And we have reformulated and not just used the same ingredients, we've boosted it and made them even stronger.
[01:30:15.637 --> 01:30:19.399]  So out of all the bone broths out there, I'm telling you, this is next level.
[01:30:19.399 --> 01:30:20.240]  Listen to what it's got in it.
[01:30:20.620 --> 01:30:25.821]  Cutting edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[01:30:25.821 --> 01:30:35.324]  It's got turmeric root, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, and a bunch of other amazing known berries that turbocharge your body with antioxidants.
[01:30:35.324 --> 01:30:39.485]  And then it's got a bunch of other incredible things like magnesium, potassium, and sodium added.
[01:30:39.485 --> 01:30:41.946]  I mean, this sucker has got everything for your electrolytes.
[01:30:41.946 --> 01:30:42.246]  It's got
[01:30:42.466 --> 01:30:42.726]  I think so.
[01:30:58.186 --> 01:31:01.908]  Everything I do is about victory for humanity.
[01:31:01.908 --> 01:31:07.751]  Everything I promote is about standing up against the New World Order by empowering humanity.
[01:31:07.751 --> 01:31:09.952]  Well, that's why ResetWars.com is so important.
[01:31:09.952 --> 01:31:24.500]  Not only is it a game-changing course of critical information to unlock your mind from the Matrix, but it's something that gets around Klaus Schwab's attempt to shut down American infrastructure and American jobs.
[01:31:25.220 --> 01:31:27.425]  It is the true digital economy.
[01:31:27.425 --> 01:31:31.595]  It's the spiritual economy of the mind and transcendental control.
[01:31:32.591 --> 01:31:40.655]  I've been on there 28 years and all of our work has been amazing thanks to God and God's divine empowerment and blessing.
[01:31:40.655 --> 01:31:46.578]  But I got to tell you, out of everything I've done, Reset Wars is the most important and it is now available.
[01:31:46.578 --> 01:31:51.301]  Now the month of December 2021 is here at ResetWars.com.
[01:31:51.301 --> 01:31:55.423]  Start your journey to the next level today at ResetWars.com.
[01:31:55.423 --> 01:31:57.704]  The globalists fear this information.
[01:31:58.183 --> 01:32:07.951]  Since the end of World War II, the globalists have been building their private corporate world government, whose endgame, once they get control, is forced depopulation of the planet.
[01:32:07.951 --> 01:32:18.720]  That's why as we begin to leave the year 2021 and go into 2022, I am encouraging all of you out there watching and listening to count the cost and to realize how much danger you and your family are in.
[01:32:18.720 --> 01:32:20.842]  The globalists are coming after everybody.
[01:32:20.842 --> 01:32:22.323]  They are setting up a dystopic
[01:32:22.663 --> 01:32:25.585]  Planetary authoritarian technocracy.
[01:32:25.585 --> 01:32:28.047]  A dictatorship of the globalist.
[01:32:28.047 --> 01:32:30.469]  Ladies and gentlemen, InfoWars is the tip of the spear.
[01:32:30.469 --> 01:32:35.472]  Your investment in us over the years, buying our products, spreading the word, and praying for us has been incredible.
[01:32:35.472 --> 01:32:41.076]  But I'm telling you right now, we're about to lose not just InfoWars, but the entire country and the world to tyranny.
[01:32:41.076 --> 01:32:44.678]  So now, everything you've done in the past needs to be redoubled today.
[01:32:44.678 --> 01:32:49.882]  And InfoWarsStore.com is one of the most important places you can go to buy great products and fund the tip of the spear.
[01:32:50.362 --> 01:32:51.503]  I will go down with the chef.
[01:32:51.503 --> 01:32:52.504]  I'm not going to back down.
[01:32:52.504 --> 01:32:54.245]  I'm getting even more hardcore in their face.
[01:32:54.245 --> 01:32:56.747]  But I can't stay in the fight at 100% unless you support us.
[01:32:56.747 --> 01:32:59.890]  So please go to InfoWarshore.com.
[01:32:59.890 --> 01:33:05.795]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:17.932 --> 01:33:25.676]  Welcome back to InfoWars, this is Christy Lee guest hosting this evening, and I'm joined by a fellow independent journalist.
[01:33:25.676 --> 01:33:39.183]  She was one of the first to break away from the corporate-controlled media and has been doing an amazing job, amazing things since, is an inspiration to me, and I think as you get to know her, you will find her inspiring as well.
[01:33:39.183 --> 01:33:41.164]  So Allison Murrow, welcome back!
[01:33:42.284 --> 01:33:44.505]  Thank you, it's an honor to be here.
[01:33:44.505 --> 01:33:52.588]  So you were saying, and hopefully, I mean it's been like four minutes so you might have forgotten by now, but you were saying something else that's really unfortunate.
[01:33:52.588 --> 01:34:06.393]  I remember, yes, what I was saying is it's unfortunate that even when the news uses that rhetorical device of saying experts say versus somebody like Dr. Malone says to discredit what he's saying,
[01:34:07.319 --> 01:34:12.822]  When did it turn into that journalism is just confirming what everybody already says?
[01:34:12.822 --> 01:34:23.606]  That to me, even if all the experts but one says something, that doesn't mean that journalism is just promoting what everybody else is saying.
[01:34:23.606 --> 01:34:28.889]  Journalism is about finding the one on the outside that has something else to share.
[01:34:29.790 --> 01:34:32.733]  Otherwise we're just propaganda or marketing as everybody always says.
[01:34:32.733 --> 01:34:34.154]  And here's a wild idea.
[01:34:34.154 --> 01:34:37.557]  Examining conflicts and motivations of interest.
[01:34:37.557 --> 01:34:38.959]  Conflicts of interest and motivations.
[01:34:38.959 --> 01:34:43.483]  I mean that used to be a tenet of journalism but it's like it completely gets glossed over.
[01:34:43.483 --> 01:34:47.366]  There's no digging deeper into why somebody might be saying what they're saying.
[01:34:47.366 --> 01:34:54.753]  There's no digging deeper into why some of these people have connections to Pfizer and might want to promote
[01:34:54.753 --> 01:35:05.781]  Yes, I have and I think it's very odd that I worked in a newsroom in Seattle before I quit and that was a newsroom that I would say would have been teed up to be very skeptical of
[01:35:19.391 --> 01:35:27.477]  Because Seattle is a very sort of crunchy, organic-type city, and that's a market that liked talking about being critical of big pharma.
[01:35:27.477 --> 01:35:40.007]  But it's really interesting how everything has shifted during this COVID time, and so even people that you might normally think would be critical of the pharmaceutical industry and
[01:35:40.882 --> 01:35:48.365]  It's ties with the government and how all of that plays out and their intense marketing and pressure on journalists, really.
[01:35:48.365 --> 01:35:53.467]  Maybe they don't even realize they're becoming victims of their own narrative.
[01:35:53.467 --> 01:35:54.568]  Why right now?
[01:35:54.568 --> 01:35:57.729]  This is a time where you're not supposed to question.
[01:35:57.729 --> 01:35:59.170]  You're going to become a heretic.
[01:35:59.170 --> 01:36:02.091]  You're going to lead people to the slaughter if you do real journalism.
[01:36:02.091 --> 01:36:02.471]  And I think
[01:36:02.951 --> 01:36:11.418]  It's intentional when you see people censored or attacked on Twitter, for instance, or like you and I recently got blocked by a journalist for asking questions.
[01:36:11.418 --> 01:36:21.147]  When that becomes the norm, I think there is intense social pressure that the average journalist, who is a human being like anybody else, to fall in line.
[01:36:21.147 --> 01:36:27.152]  There's a lot of pressure to do that, and I don't think many of them who are falling line even realize that they're doing that.
[01:36:28.263 --> 01:36:40.791]  Yeah, and another thing that I think is fascinating is, for me, what caused me to wake up and start to get red-pilled, if you will, because let's face it, Dr. Malone, you, me, we've all been on this journey of awakening.
[01:36:40.791 --> 01:36:43.013]  What did it for me is the intense
[01:36:43.593 --> 01:36:49.134]  Censorship of the frontline doctors because I was thinking like, well, if we're gonna say doctors say, what about these doctors?
[01:36:49.134 --> 01:36:51.175]  You know, why can't we have both sides?
[01:36:51.175 --> 01:36:53.376]  Novel idea in journalism.
[01:36:53.376 --> 01:37:03.898]  So that's what really started to wake me up is just the intense censorship and an actual ridicule from fellow journalists saying, you know, cheering this on of shutting their mouth.
[01:37:03.898 --> 01:37:05.759]  And I'm like, what happened to free press and free speech?
[01:37:05.759 --> 01:37:09.120]  But for you, it was really personal and actually had to do with the vaccine.
[01:37:09.120 --> 01:37:10.200]  So I want you to review that again.
[01:37:11.744 --> 01:37:15.090]  You mean the reason, one of the last stories that I was told I wasn't allowed to cover?
[01:37:15.090 --> 01:37:15.531]  Yes.
[01:37:15.531 --> 01:37:16.953]  Is that what you're talking about?
[01:37:16.953 --> 01:37:17.995]  Yeah.
[01:37:17.995 --> 01:37:24.485]  So right, this was before COVID and Washington State was debating in the legislature whether
[01:37:25.470 --> 01:37:29.857]  There should be mandated vaccines in school with no exemptions.
[01:37:29.857 --> 01:37:34.764]  So they were going to take away, I think, the philosophical religious exemption for the vaccines.
[01:37:34.764 --> 01:37:38.930]  And so this was a topic that was being debated and we were covering as a news station.
[01:37:38.930 --> 01:37:41.654]  Now, I was not personally covering it because I cover the environment.
[01:37:42.327 --> 01:37:54.134]  But I had heard that there was a conference of doctors coming to town for Informed Choice Washington and these were doctors that were concerned about mandated vaccines for all children at schools.
[01:37:54.134 --> 01:37:59.017]  And I had never heard about doctors who disagreed with mandated vaccines.
[01:37:59.017 --> 01:38:00.658]  I just thought every doctor did.
[01:38:00.658 --> 01:38:04.720]  So I was curious to hear what these doctors had to say and thinking that
[01:38:05.598 --> 01:38:12.784]  My newsroom might be interested in hearing what they had to say instead of just pitting a soccer mom against the Department of Health.
[01:38:12.784 --> 01:38:13.685]  I pitched the idea.
[01:38:13.685 --> 01:38:21.351]  Now, again, I wasn't going to be the person going to cover it because that wasn't my beat, but I was passing the email along thinking that's what a journalist does.
[01:38:21.351 --> 01:38:24.314]  Let's the assignment desk know and another reporter can go cover it.
[01:38:24.314 --> 01:38:25.435]  Hey, these doctors are in town.
[01:38:25.435 --> 01:38:29.758]  Maybe this would be a way to elevate our coverage because these are actual doctors.
[01:38:29.758 --> 01:38:31.720]  Let's put them up against the Department of Health.
[01:38:32.160 --> 01:38:37.604]  And my boss told me that I was never allowed to pitch another story about vaccines.
[01:38:37.604 --> 01:38:42.227]  If I wanted to pitch it, I had to go directly to him, but I couldn't just send an email to the assignment desk.
[01:38:42.227 --> 01:38:46.730]  So imagine being a journalist who, it's not even that you're covering it, all right?
[01:38:46.730 --> 01:38:52.614]  My boss wasn't saying to me that I couldn't go out and cover it because he felt like I was biased or I had other issues.
[01:38:52.614 --> 01:38:54.915]  He was literally saying I couldn't pitch the story.
[01:38:54.915 --> 01:38:57.377]  I could not even talk about vaccines
[01:38:57.837 --> 01:38:58.737]  In the newsroom.
[01:38:58.737 --> 01:38:59.778]  That is so crazy.
[01:38:59.778 --> 01:39:00.838]  Did he give you a reason?
[01:39:00.838 --> 01:39:03.540]  It's just, it's unbelievable.
[01:39:03.540 --> 01:39:10.062]  Just that he said he wouldn't let anyone question vaccines in the same way he wouldn't let anyone question climate change.
[01:39:10.062 --> 01:39:11.663]  That was all that was told to me.
[01:39:11.663 --> 01:39:12.844]  Wow.
[01:39:12.844 --> 01:39:14.925]  So I would have been with my news director.
[01:39:14.925 --> 01:39:17.346]  So you're saying I'm a journalist that's not allowed to ask questions?
[01:39:18.997 --> 01:39:25.663]  I mean, essentially, I did say, well, I mean, should I just come to you and never pitch anything ever in the newsroom ever again?
[01:39:25.663 --> 01:39:27.224]  I mean, this is starting to get ridiculous.
[01:39:27.224 --> 01:39:30.486]  Obviously, that was the beginning, really, of the end for me.
[01:39:30.486 --> 01:39:35.330]  We were running a Stand for Truth campaign at the time, a big marketing campaign in our area.
[01:39:35.330 --> 01:39:44.097]  And I remember saying to people at the time, Stand for Truth, except for vaccines and a few other things, you know, because we don't ask questions there.
[01:39:44.097 --> 01:39:45.959]  But Christy, I was taken totally aback.
[01:39:45.959 --> 01:39:47.240]  I never faced anything
[01:39:47.760 --> 01:39:50.101]  That blatant as far as censorship is concerned.
[01:39:50.101 --> 01:39:56.883]  We could talk all day about subtle self-censorship and editorializing and that kind of stuff in newsrooms, but I never had anything like that happen.
[01:39:56.883 --> 01:39:59.424]  So for that to happen on vaccines, that really woke me up.
[01:39:59.424 --> 01:40:05.626]  That vaccines, for whatever reason, are one of those topics that are like no-goes in a lot of newsrooms, or at least they were in mine.
[01:40:05.626 --> 01:40:08.087]  Do you wonder where this directive comes from?
[01:40:08.087 --> 01:40:11.908]  Do you think this was his own opinion, or do you think he had gotten a directive from above him?
[01:40:13.133 --> 01:40:26.685]  I think in that particular case he was very self-righteous that he was doing the public's work and protecting the public by not allowing these crazy doctors or whoever he looked at them to be on our air.
[01:40:26.685 --> 01:40:36.353]  I really believe that for him that was a personal conviction and you know what maybe it was my bad and I should have gone up the ladder and said hey this is this is insane but you know this is the problem.
[01:40:36.713 --> 01:40:43.679]  That person still manages a newsroom, not the same one, but he does manage another newsroom, and there are a lot of other people out there who believe the same way.
[01:40:43.679 --> 01:40:52.987]  So, when you're like the one person in the newsroom that's willing to stick your neck out, and then your manager, whatever the topic is, signals to you that there are untouchable topics.
[01:40:52.987 --> 01:40:58.132]  If you're someone who's like really nervous about keeping your job, you're not just going to start censoring on that topic.
[01:40:58.132 --> 01:41:02.715]  You're going to start looking over your shoulder on a lot of different things, and that's a major problem in newsrooms these days.
[01:41:02.715 --> 01:41:04.157]  Managers that are saying to people,
[01:41:04.637 --> 01:41:10.862]  You're not allowed to question, there are topics that are just completely off-limits for you and you better be careful.
[01:41:10.862 --> 01:41:24.293]  It's just so crazy that this is the current state of our current newsrooms and we need more journalists to wake up, we need more of society to wake up, that this is how this is functioning, that journalists are actually discouraged from asking questions.
[01:41:24.293 --> 01:41:30.958]  Now before you go, do you have any comment on this whole mass formation psychosis and people's intrigue with it and Dr. Malone talking about it?
[01:41:33.432 --> 01:41:34.493]  I'm fascinated by it.
[01:41:34.493 --> 01:41:48.247]  I have a master's degree, actually a master divinity degree with a specialization in psychology and counseling and I honestly think, Chrissy, I've said if I teach a college class for journalists, I want to teach the psychology or the spirituality of journalism because
[01:41:48.907 --> 01:41:59.754]  I think there's so much here to pick apart if you were to start really trying to give new journalists a better start at getting into the field as critical thinkers.
[01:41:59.754 --> 01:42:09.540]  I really believe that this is the heart of how training and critical thinking needs to be relayed to people who want to get into journalism.
[01:42:09.540 --> 01:42:13.563]  You know, you can learn how to hold a camera, you can learn how to edit, you can learn how to write
[01:42:14.363 --> 01:42:30.851]  On the job, but this is something that I think more people need to be paying attention to because I don't have any other way to explain, honestly, why I see some people wanting to ask questions and other people that think it's just completely off-limits in the journalism world.
[01:42:30.851 --> 01:42:35.034]  I really have no other way to understand it other than psychology or even spirituality.
[01:42:35.034 --> 01:42:38.715]  There's definitely the spiritual element to this.
[01:42:38.715 --> 01:42:41.717]  I just want you to be able to pitch where we can find you real quick before you go.
[01:42:42.805 --> 01:42:46.187]  Yeah, please find me at AllisonMorrow.Locals.com.
[01:42:46.187 --> 01:42:49.649]  It's Allison with one L. Morrow.Locals.com.
[01:42:49.649 --> 01:42:50.289]  Very important.
[01:42:50.289 --> 01:42:52.930]  Allison with one L. Locals.
[01:42:52.930 --> 01:42:54.471]  Allison Morrow, right?
[01:42:54.471 --> 01:42:55.412]  Yep.
[01:42:55.412 --> 01:42:55.972]  Awesome.
[01:42:55.972 --> 01:42:57.313]  I know people are going to want more from you.
[01:42:57.313 --> 01:42:57.533]  Thank you.
[01:42:58.763 --> 01:43:14.308]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, while at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[01:43:14.308 --> 01:43:19.770]  Two of our top-selling products that have been sold out for a long time are now back in stock.
[01:43:20.490 --> 01:43:26.796]  Winter Sun, the highest quality vitamin D3, take it under the tongue for higher absorption, is back in stock.
[01:43:26.796 --> 01:43:30.259]  Despite the fact it's been sold out for months, it is 50% off.
[01:43:30.259 --> 01:43:43.570]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[01:43:43.570 --> 01:43:45.052]  So that's the New Year's special.
[01:43:45.572 --> 01:43:48.835]  And that's Christmas comes early in 2022, ladies and gentlemen.
[01:43:48.835 --> 01:43:55.742]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarstore.com.
[01:43:55.742 --> 01:43:57.604]  50% off for a limited time.
[01:43:57.604 --> 01:43:58.665]  Thanks for keeping us on the air.
[01:44:02.145 --> 01:44:03.387]  Jacob in Ohio.
[01:44:03.387 --> 01:44:04.208]  Welcome, go ahead.
[01:44:04.208 --> 01:44:05.530]  Hey, how's it going, Alex?
[01:44:05.530 --> 01:44:06.111]  Good, Bob.
[01:44:06.111 --> 01:44:07.172]  Great last caller.
[01:44:07.172 --> 01:44:10.236]  I just wanted to start with plugging your sleep supplement.
[01:44:10.236 --> 01:44:15.944]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[01:44:15.944 --> 01:44:17.707]  It's like we're living in a twilight zone, man.
[01:44:18.047 --> 01:44:19.729]  Alright, Eric in New Hampshire.
[01:44:19.729 --> 01:44:20.670]  Eric, thanks for calling.
[01:44:20.670 --> 01:44:21.030]  Go ahead.
[01:44:21.030 --> 01:44:22.591]  Hey Alex, thanks for taking my call.
[01:44:22.591 --> 01:44:25.614]  If I could, I just want to throw a quick plug out for one of the products.
[01:44:25.614 --> 01:44:27.276]  The X2 does wonders.
[01:44:27.276 --> 01:44:28.417]  I recommend it to everybody.
[01:44:28.417 --> 01:44:29.598]  You're on the fence about it.
[01:44:29.598 --> 01:44:30.399]  Get off the fence.
[01:44:30.399 --> 01:44:31.279]  Get the product.
[01:44:31.279 --> 01:44:32.501]  Support the info war.
[01:44:32.501 --> 01:44:33.782]  Tyler in Maine.
[01:44:33.782 --> 01:44:34.422]  You're on the air.
[01:44:34.422 --> 01:44:34.863]  Thanks for rolling.
[01:44:34.863 --> 01:44:35.023]  Go ahead.
[01:44:35.083 --> 01:44:35.363]  Go ahead.
[01:44:35.363 --> 01:44:37.065]  Hey Alex, it's great to be on with you.
[01:44:37.065 --> 01:44:37.806]  It's an honor.
[01:44:37.806 --> 01:44:38.647]  Honor, talk to you.
