[00:26.000 --> 00:28.000]  You don't need
[1:00:30.000 --> 1:00:32.000]  tomorrow we'll have live coverage
[1:00:32.000 --> 1:00:34.000]  as we fight the ghost in the information war
[1:00:34.000 --> 1:00:36.000]  point blank range
[1:00:36.000 --> 1:00:38.000]  the biggest covid news yet
[1:00:38.000 --> 1:00:40.000]  a lot of positive news most of it's positive
[1:00:40.000 --> 1:00:42.000]  some negative news
[1:00:42.000 --> 1:00:44.000]  is next segment
[1:00:44.000 --> 1:00:46.000]  but here is a little
[1:00:46.000 --> 1:00:48.000]  special report on the FBI agent
[1:00:48.000 --> 1:00:50.000]  I never named
[1:00:50.000 --> 1:00:52.000]  Suing Me
[1:00:58.000 --> 1:01:00.000]  FBI agent William Aldenburg
[1:01:00.000 --> 1:01:02.000]  who served as John Durham's lead investigator
[1:01:02.000 --> 1:01:04.000]  is Suing Alex Jones
[1:01:04.000 --> 1:01:06.000]  because he is traumatized
[1:01:06.000 --> 1:01:08.000]  as a result of things said on the show
[1:01:08.000 --> 1:01:10.000]  by former guest of the show
[1:01:10.000 --> 1:01:12.000]  Wolfgang Halbig
[1:01:12.000 --> 1:01:14.000]  Alex Jones and his company
[1:01:14.000 --> 1:01:16.000]  these are very powerful people
[1:01:16.000 --> 1:01:18.000]  and I'm not anybody
[1:01:18.000 --> 1:01:20.000]  and so someone like
[1:01:20.000 --> 1:01:22.000]  like me
[1:01:22.000 --> 1:01:24.000]  you just can't defend yourself
[1:01:24.000 --> 1:01:26.000]  at some point you have to accept it
[1:01:26.000 --> 1:01:28.000]  he admits that Jones did nothing
[1:01:28.000 --> 1:01:30.000]  other than allow a platform
[1:01:30.000 --> 1:01:32.000]  for others to lawfully speak
[1:01:32.000 --> 1:01:34.000]  Halbig called the FBI
[1:01:34.000 --> 1:01:36.000]  I didn't speak to him
[1:01:36.000 --> 1:01:38.000]  how many times did Jones call you
[1:01:38.000 --> 1:01:40.000]  he didn't call me sir
[1:01:40.000 --> 1:01:42.000]  did you ever see
[1:01:42.000 --> 1:01:44.000]  this photograph to 89 on info wars
[1:01:46.000 --> 1:01:48.000]  I didn't know sir
[1:01:48.000 --> 1:01:50.000]  do you know whether he ever talked about you on info wars
[1:01:50.000 --> 1:01:52.000]  I don't know
[1:01:52.000 --> 1:01:54.000]  if Halbig appears as a guest on a talk show
[1:01:54.000 --> 1:01:56.000]  does that make him affiliated with the talk show
[1:01:56.000 --> 1:01:58.000]  to me it does
[1:01:58.000 --> 1:02:00.000]  the judge who is noticeably the most
[1:02:00.000 --> 1:02:02.000]  emotionally charged in the courtroom
[1:02:02.000 --> 1:02:04.000]  is triggered when Jones' attorney
[1:02:04.000 --> 1:02:06.000]  Norm Pattis
[1:02:06.000 --> 1:02:08.000]  pursues the truth
[1:02:08.000 --> 1:02:10.000]  who are the powerful people that Mr. Jones
[1:02:10.000 --> 1:02:12.000]  is affiliated with
[1:02:16.000 --> 1:02:18.000]  he's
[1:02:18.000 --> 1:02:20.000]  he's had
[1:02:20.000 --> 1:02:22.000]  well
[1:02:22.000 --> 1:02:24.000]  I'm sorry
[1:02:24.000 --> 1:02:26.000]  he's like for example he's
[1:02:26.000 --> 1:02:28.000]  I don't know if you know a guy named Joe Rogan
[1:02:28.000 --> 1:02:30.000]  he's a podcaster
[1:02:30.000 --> 1:02:32.000]  a guy named Joe Rogan
[1:02:32.000 --> 1:02:34.000]  Joe Rogan harassing you too
[1:02:34.000 --> 1:02:36.000]  can you answer the question
[1:02:36.000 --> 1:02:38.000]  if he can answer the question
[1:02:38.000 --> 1:02:40.000]  he can cut off
[1:02:40.000 --> 1:02:42.000]  just one second gentlemen
[1:02:42.000 --> 1:02:44.000]  why don't we
[1:02:44.000 --> 1:02:46.000]  I now
[1:02:46.000 --> 1:02:48.000]  lost the question
[1:02:48.000 --> 1:02:50.000]  the question was Joe Rogan
[1:02:50.000 --> 1:02:52.000]  would draw and ask another
[1:02:52.000 --> 1:02:54.000]  that's alright so why don't we
[1:02:54.000 --> 1:02:56.000]  I guess he doesn't like the answer
[1:02:56.000 --> 1:02:58.000]  so counsel
[1:02:58.000 --> 1:03:00.000]  who are the
[1:03:00.000 --> 1:03:02.000]  powerful people
[1:03:02.000 --> 1:03:04.000]  that Mr. Jones is affiliated with
[1:03:04.000 --> 1:03:06.000]  well that was asked and answered
[1:03:06.000 --> 1:03:08.000]  well counsel sidebar
[1:03:10.000 --> 1:03:12.000]  Pattis questions
[1:03:12.000 --> 1:03:14.000]  the political nature of the trial
[1:03:14.000 --> 1:03:16.000]  how 15 people waited
[1:03:16.000 --> 1:03:18.000]  over 5 years until
[1:03:18.000 --> 1:03:20.000]  2018 to file lawsuits
[1:03:20.000 --> 1:03:22.000]  on the same day and in the same
[1:03:22.000 --> 1:03:24.000]  office but the judge gets
[1:03:24.000 --> 1:03:26.000]  noticeably upset because Pattis
[1:03:26.000 --> 1:03:28.000]  isn't playing along with their
[1:03:28.000 --> 1:03:30.000]  kangaroo court and forbids him
[1:03:30.000 --> 1:03:32.000]  from mentioning the name Clinton
[1:03:32.000 --> 1:03:34.000]  and others
[1:03:34.000 --> 1:03:36.000]  well when we did the Hillary Clinton
[1:03:36.000 --> 1:03:38.000]  now we did the Megyn Kelly
[1:03:38.000 --> 1:03:40.000]  should we address what's coming next
[1:03:40.000 --> 1:03:42.000]  no
[1:03:42.000 --> 1:03:44.000]  well I think it might make sense
[1:03:44.000 --> 1:03:46.000]  judge I'm not
[1:03:46.000 --> 1:03:48.000]  I'm not responsible
[1:03:48.000 --> 1:03:50.000]  for giving my adversaries
[1:03:50.000 --> 1:03:52.000]  a preview of what's to come
[1:03:52.000 --> 1:03:54.000]  any more and apparently they were responsible
[1:03:54.000 --> 1:03:56.000]  for telling me what witnesses they were going to call today
[1:03:56.000 --> 1:03:58.000]  the plaintiff complains
[1:03:58.000 --> 1:04:00.000]  that Alex is going to try and defend himself
[1:04:00.000 --> 1:04:02.000]  and admits they have
[1:04:02.000 --> 1:04:04.000]  agreed to lie to the jury
[1:04:04.000 --> 1:04:06.000]  but he's injected this idea that Alex Jones
[1:04:06.000 --> 1:04:08.000]  was merely questioning
[1:04:08.000 --> 1:04:10.000]  when the jury is going to be instructing the court
[1:04:10.000 --> 1:04:12.000]  to determine that he intentionally
[1:04:12.000 --> 1:04:14.000]  looked at emotional distress that he intentionally
[1:04:14.000 --> 1:04:16.000]  lied that he acted with Malice
[1:04:16.000 --> 1:04:18.000]  these clowns actually
[1:04:18.000 --> 1:04:20.000]  thought that a man who has
[1:04:20.000 --> 1:04:22.000]  dedicated his entire life to freedom
[1:04:22.000 --> 1:04:24.000]  of speech would stay silent
[1:04:24.000 --> 1:04:26.000]  while they destroy him in court
[1:04:26.000 --> 1:04:28.000]  with lies meant to attack
[1:04:28.000 --> 1:04:30.000]  the First Amendment
[1:04:30.000 --> 1:04:32.000]  and if they succeed then any
[1:04:32.000 --> 1:04:34.000]  random federal agent can sue you
[1:04:34.000 --> 1:04:36.000]  into oblivion over hurt feelings
[1:04:36.000 --> 1:04:38.000]  from the internet
[1:04:38.000 --> 1:04:40.000]  reporting for Info Wars
[1:04:40.000 --> 1:04:42.000]  this is Greg Rees
[1:04:42.000 --> 1:04:44.000]  Hi my friends we're going to break
[1:04:44.000 --> 1:04:46.000]  I'm going to hit the biggest
[1:04:46.000 --> 1:04:48.000]  he does it gets bigger every day
[1:04:48.000 --> 1:04:50.000]  this is the biggest she had COVID-19 news
[1:04:50.000 --> 1:04:52.000]  see the video we just played
[1:04:52.000 --> 1:04:54.000]  share it at FBI Seuss Alex Jones
[1:04:54.000 --> 1:04:56.000]  destroy First Amendment
[1:04:56.000 --> 1:04:58.000]  The United States
[1:04:58.000 --> 1:05:00.000]  is the largest country in the world
[1:05:00.000 --> 1:05:02.000]  and has the highest quality
[1:05:02.000 --> 1:05:04.000]  signature reducing fairy day cages
[1:05:04.000 --> 1:05:06.000]  the Pentagon and other US government agencies.
[1:05:06.000 --> 1:05:18.000]  And now they have produced specifically for us, this made America,
[1:05:18.000 --> 1:05:20.000]  onion line at a very affordable price.
[1:05:20.000 --> 1:05:22.000]  Whether it's small pouches that protect your cell phone
[1:05:22.000 --> 1:05:24.000]  or big pouches that protect laptops
[1:05:24.000 --> 1:05:26.000]  and iPads or big bags
[1:05:26.000 --> 1:05:28.000]  that promote whatever electronics you want to put in it
[1:05:28.000 --> 1:05:30.000]  like desktop computers
[1:05:30.000 --> 1:05:32.000]  it is all exclusively available
[1:05:32.000 --> 1:05:34.000]  at infowarstore.com
[1:05:34.000 --> 1:05:36.000]  under the Redux name
[1:05:36.000 --> 1:05:38.000]  Redux is Info Wars
[1:05:38.000 --> 1:05:40.000]  taking the highest quality products
[1:05:40.000 --> 1:05:42.000]  and bringing them directly to you
[1:05:42.000 --> 1:05:44.000]  at infowarstore.com
[1:05:44.000 --> 1:05:46.000]  in this insane world you are crazy
[1:05:46.000 --> 1:05:48.000]  if you don't protect your signature
[1:05:48.000 --> 1:05:50.000]  your identity from identity theft
[1:05:50.000 --> 1:05:52.000]  hackers, criminals, corporations, governments
[1:05:52.000 --> 1:05:54.000]  this is one of the hottest items out there today
[1:05:54.000 --> 1:05:56.000]  that is exclusively available
[1:05:56.000 --> 1:06:22.000]  at infowarstore.com
[1:06:22.000 --> 1:06:26.000]  where they can do that.
[1:06:26.000 --> 1:06:28.000]  A place where we have all the finances
[1:06:28.000 --> 1:06:30.000]  we understand the history books
[1:06:30.000 --> 1:06:32.000]  we've done all of this throughout time
[1:06:32.000 --> 1:06:34.000]  we're more educated than the masses are
[1:06:34.000 --> 1:06:36.000]  we need to, we are going to have to move you
[1:06:36.000 --> 1:06:38.000]  in a place you don't understand
[1:06:38.000 --> 1:06:40.000]  but we're going to be the light workers
[1:06:40.000 --> 1:06:42.000]  but isn't the problem
[1:06:42.000 --> 1:06:44.000]  and I think really getting down to it
[1:06:44.000 --> 1:06:46.000]  and I don't know what your religious beliefs are
[1:06:46.000 --> 1:06:48.000]  but it's a total lack of God
[1:06:48.000 --> 1:06:50.000]  what it ends up being
[1:06:50.000 --> 1:06:52.000]  it has forsaken God
[1:06:52.000 --> 1:06:54.000]  it doesn't believe that there's anything
[1:06:54.000 --> 1:06:56.000]  greater, there's no greater mind
[1:06:56.000 --> 1:06:58.000]  than human intellect
[1:06:58.000 --> 1:07:00.000]  and maybe boosted human intellect with AI
[1:07:00.000 --> 1:07:02.000]  and that's where I think it's becoming
[1:07:02.000 --> 1:07:04.000]  it can't avoid being evil
[1:07:04.000 --> 1:07:06.000]  because no matter how good its intention is
[1:07:06.000 --> 1:07:08.000]  it believes it is the final say
[1:07:08.000 --> 1:07:10.000]  and everybody else is stupid
[1:07:10.000 --> 1:07:12.000]  it's just turned itself into the new creator
[1:07:12.000 --> 1:07:14.000]  has it not?
[1:07:14.000 --> 1:07:16.000]  well that is the best
[1:07:16.000 --> 1:07:18.000]  exactly, they're saying it's for your own good
[1:07:18.000 --> 1:07:20.000]  but they're saying themself up as God
[1:07:20.000 --> 1:07:22.000]  but not a God
[1:07:22.000 --> 1:07:24.000]  that the Christian and Jewish face
[1:07:24.000 --> 1:07:26.000]  believe gives us free will
[1:07:26.000 --> 1:07:28.000]  this God takes your free will
[1:07:28.000 --> 1:07:30.000]  censors you, controls you
[1:07:30.000 --> 1:07:32.000]  and wants to insert you into a metaverse
[1:07:32.000 --> 1:07:34.000]  so it can trick you through free will
[1:07:34.000 --> 1:07:36.000]  to subserve yourself to it
[1:07:36.000 --> 1:07:38.000]  so it's the ultimate deception
[1:07:38.000 --> 1:07:40.000]  it's pure evil, the whole thing is ultra bad news
[1:07:40.000 --> 1:07:42.000]  and no one wants it
[1:07:42.000 --> 1:07:44.000]  kids try the metaverse, they throw up, they get sick
[1:07:44.000 --> 1:07:46.000]  no one wants it, so now you hear about
[1:07:46.000 --> 1:07:48.000]  companies from BlackRock
[1:07:48.000 --> 1:07:50.000]  to make their employees wear
[1:07:50.000 --> 1:07:52.000]  VR all day, I mean folks
[1:07:52.000 --> 1:07:54.000]  this is the matrix, first it's a
[1:07:54.000 --> 1:07:56.000]  radio, the family no longer
[1:07:56.000 --> 1:07:58.000]  talks at dinner, they listen to the radio
[1:07:58.000 --> 1:08:00.000]  then it's a TV, they no longer talk at dinner
[1:08:00.000 --> 1:08:02.000]  they watch the TV, now they're all their own rooms
[1:08:02.000 --> 1:08:04.000]  on their own computers, their own handheld devices
[1:08:04.000 --> 1:08:06.000]  now you're wearing goggles, now it's a brain ship
[1:08:06.000 --> 1:08:08.000]  so it's like a face sucker, it goes from a radio
[1:08:08.000 --> 1:08:10.000]  to a TV, to a handheld
[1:08:10.000 --> 1:08:12.000]  it's a face sucker that
[1:08:12.000 --> 1:08:14.000]  basically takes over your mind, takes over your body
[1:08:14.000 --> 1:08:16.000]  and they're jacking us in and the end
[1:08:16.000 --> 1:08:18.000]  game goal is that we do
[1:08:18.000 --> 1:08:20.000]  have these souls, we do have this innate connection
[1:08:20.000 --> 1:08:22.000]  to higher dimensions of the universe
[1:08:22.000 --> 1:08:24.000]  and this is a artificial system trying to
[1:08:24.000 --> 1:08:26.000]  jack in and use us
[1:08:26.000 --> 1:08:28.000]  as a gateway
[1:08:28.000 --> 1:08:30.000]  or a capacitor or a trans
[1:08:30.000 --> 1:08:32.000]  fever to jack into higher dimensions
[1:08:32.000 --> 1:08:34.000]  so it's a lower level silicon
[1:08:34.000 --> 1:08:36.000]  life form, trying to break through
[1:08:36.000 --> 1:08:38.000]  us and use us as
[1:08:38.000 --> 1:08:40.000]  a system to
[1:08:40.000 --> 1:08:42.000]  break through to the other side
[1:08:42.000 --> 1:08:44.000]  of the face of what we're looking at
[1:09:06.000 --> 1:09:08.000]  we cover a lot of critical information here
[1:09:08.000 --> 1:09:12.000]  we all get lost in the matrix
[1:09:12.000 --> 1:09:14.000]  we've known these numbers for a while
[1:09:14.000 --> 1:09:16.000]  and if you remember
[1:09:16.000 --> 1:09:18.000]  in December
[1:09:18.000 --> 1:09:20.000]  of 2021, I said we've broken the enemy
[1:09:20.000 --> 1:09:22.000]  the world is turning
[1:09:22.000 --> 1:09:24.000]  against the shots
[1:09:24.000 --> 1:09:26.000]  Joe Rogan turning against it and his guest doing it
[1:09:26.000 --> 1:09:28.000]  was the final straw
[1:09:28.000 --> 1:09:30.000]  that broke the camel's back and I
[1:09:30.000 --> 1:09:32.000]  got champagne on air
[1:09:32.000 --> 1:09:34.000]  and I popped it and we celebrated
[1:09:34.000 --> 1:09:36.000]  and I said we're not out of the woods
[1:09:36.000 --> 1:09:38.000]  but they intended to keep on
[1:09:38.000 --> 1:09:40.000]  and off lockdowns going
[1:09:40.000 --> 1:09:42.000]  forced inoculation going
[1:09:42.000 --> 1:09:44.000]  they intended to never
[1:09:44.000 --> 1:09:46.000]  stop the lockdowns in Australia
[1:09:46.000 --> 1:09:48.000]  Canada, Europe, you name it
[1:09:48.000 --> 1:09:50.000]  but I said in December
[1:09:50.000 --> 1:09:52.000]  it's like a metaphysically
[1:09:52.000 --> 1:09:54.000]  intellectually, economically
[1:09:54.000 --> 1:09:56.000]  culturally
[1:09:56.000 --> 1:09:58.000]  see it
[1:09:58.000 --> 1:10:00.000]  I said we've won
[1:10:00.000 --> 1:10:02.000]  this round of the fight but barely
[1:10:02.000 --> 1:10:04.000]  we're bloodied but we're awake now
[1:10:04.000 --> 1:10:06.000]  and we got a chance
[1:10:08.000 --> 1:10:10.000]  the numbers are about
[1:10:10.000 --> 1:10:12.000]  a month behind from the CDC
[1:10:12.000 --> 1:10:14.000]  the numbers mirror Israel
[1:10:14.000 --> 1:10:16.000]  they mirror Europe
[1:10:16.000 --> 1:10:18.000]  they mirror
[1:10:18.000 --> 1:10:20.000]  areas of Asia that keep
[1:10:20.000 --> 1:10:22.000]  the statistics and show it
[1:10:24.000 --> 1:10:26.000]  everywhere the big globalists
[1:10:26.000 --> 1:10:28.000]  combine big pharma is
[1:10:28.000 --> 1:10:30.000]  so TV viewers
[1:10:30.000 --> 1:10:32.000]  drumroll please
[1:10:32.000 --> 1:10:34.000]  these are the latest numbers
[1:10:34.000 --> 1:10:36.000]  in December of this year
[1:10:38.000 --> 1:10:40.000]  and if you look
[1:10:40.000 --> 1:10:42.000]  the peak of taking the poison shots
[1:10:44.000 --> 1:10:46.000]  was in December
[1:10:46.000 --> 1:10:48.000]  of 2021
[1:10:48.000 --> 1:10:50.000]  since then
[1:10:50.000 --> 1:10:52.000]  there is a 99%
[1:10:52.000 --> 1:10:54.000]  rejection
[1:10:54.000 --> 1:10:58.000]  99%
[1:11:02.000 --> 1:11:04.000]  of people
[1:11:04.000 --> 1:11:06.000]  and these numbers were up until the start of September
[1:11:08.000 --> 1:11:10.000]  are refusing
[1:11:10.000 --> 1:11:12.000]  the experimental poison shots
[1:11:12.000 --> 1:11:14.000]  so they've gone from having a
[1:11:14.000 --> 1:11:16.000]  helpless population to believe
[1:11:16.000 --> 1:11:18.000]  every word they were saying
[1:11:18.000 --> 1:11:20.000]  and massive uptake of this garbage
[1:11:20.000 --> 1:11:22.000]  that erases your immune system
[1:11:22.000 --> 1:11:24.000]  that protects you
[1:11:24.000 --> 1:11:26.000]  to now the CDC saying
[1:11:26.000 --> 1:11:28.000]  we made big mistakes it doesn't protect you
[1:11:28.000 --> 1:11:30.000]  we lied to you but it was for your own good
[1:11:30.000 --> 1:11:32.000]  we hoped it would work
[1:11:32.000 --> 1:11:34.000]  but we have the CDC document from
[1:11:34.000 --> 1:11:36.000]  2000 and others in October
[1:11:36.000 --> 1:11:38.000]  where they said it isn't going to work
[1:11:38.000 --> 1:11:40.000]  and it's going to cause massive heart attacks
[1:11:40.000 --> 1:11:42.000]  heart swelling, blood clots
[1:11:42.000 --> 1:11:44.000]  infertility, strokes
[1:11:44.000 --> 1:11:46.000]  the list goes on and on
[1:11:46.000 --> 1:11:48.000]  and remember
[1:11:48.000 --> 1:11:50.000]  what the head of the CDC just said a month ago
[1:11:50.000 --> 1:11:52.000]  in a national interview she said
[1:11:52.000 --> 1:11:54.000]  we knew it wouldn't work
[1:11:54.000 --> 1:11:56.000]  what did Burke's
[1:11:56.000 --> 1:11:58.000]  Trump's number two advisors say
[1:11:58.000 --> 1:12:00.000]  we knew it wouldn't work but we told Trump it would
[1:12:00.000 --> 1:12:02.000]  and still he sits there
[1:12:02.000 --> 1:12:04.000]  pig-headedly and I love Trump
[1:12:04.000 --> 1:12:06.000]  and 95% of what he does but he still sits there
[1:12:06.000 --> 1:12:08.000]  pig-headly saying it's my greatest achievement
[1:12:08.000 --> 1:12:10.000]  I'm so proud of it
[1:12:10.000 --> 1:12:12.000]  when his own people have left the sinking ship
[1:12:12.000 --> 1:12:14.000]  and are saying it doesn't work
[1:12:14.000 --> 1:12:16.000]  sorry
[1:12:16.000 --> 1:12:18.000]  cover our ass
[1:12:18.000 --> 1:12:20.000]  the agency told me Fauci was in
[1:12:20.000 --> 1:12:22.000]  the Senate Wednesday
[1:12:22.000 --> 1:12:24.000]  he said well it wasn't me
[1:12:24.000 --> 1:12:26.000]  approved and it was these agencies
[1:12:26.000 --> 1:12:28.000]  even though he controlled the White House policy
[1:12:28.000 --> 1:12:30.000]  and ordered it
[1:12:30.000 --> 1:12:32.000]  so this graph
[1:12:32.000 --> 1:12:34.000]  that shows
[1:12:34.000 --> 1:12:36.000]  in the two plus years of this poison
[1:12:36.000 --> 1:12:38.000]  shot
[1:12:38.000 --> 1:12:40.000]  if you go back this is the biggest spike
[1:12:40.000 --> 1:12:42.000]  and then suddenly
[1:12:42.000 --> 1:12:44.000]  it collapses
[1:12:44.000 --> 1:12:46.000]  like a house of cards
[1:12:46.000 --> 1:12:48.000]  as a dead cat bounce
[1:12:48.000 --> 1:12:50.000]  the middle of January
[1:12:50.000 --> 1:12:52.000]  and then planes out in March
[1:12:52.000 --> 1:12:54.000]  May
[1:12:54.000 --> 1:12:56.000]  June, July, August, September
[1:12:56.000 --> 1:12:58.000]  to a 99
[1:12:58.000 --> 1:13:00.000]  99
[1:13:00.000 --> 1:13:02.000]  plus
[1:13:02.000 --> 1:13:04.000]  percent reduction
[1:13:04.000 --> 1:13:06.000]  in people taking it
[1:13:06.000 --> 1:13:08.000]  now what happens when 99% say no
[1:13:08.000 --> 1:13:10.000]  all the intimidation
[1:13:10.000 --> 1:13:12.000]  all the
[1:13:12.000 --> 1:13:14.000]  threats
[1:13:14.000 --> 1:13:16.000]  that people been under in healthcare
[1:13:16.000 --> 1:13:18.000]  and government and the military
[1:13:18.000 --> 1:13:20.000]  being tortured with this
[1:13:20.000 --> 1:13:22.000]  and seeing their friends and family get sick and die
[1:13:22.000 --> 1:13:24.000]  they say you know what screw you
[1:13:24.000 --> 1:13:26.000]  everybody's on my side
[1:13:26.000 --> 1:13:28.000]  and you have that tipping point
[1:13:28.000 --> 1:13:30.000]  that turning point
[1:13:30.000 --> 1:13:32.000]  this is spectacularly
[1:13:32.000 --> 1:13:34.000]  positive news
[1:13:34.000 --> 1:13:36.000]  and this information from this show
[1:13:36.000 --> 1:13:38.000]  needs to be clipped out
[1:13:38.000 --> 1:13:40.000]  and needs to be spread to the forewinds
[1:13:40.000 --> 1:13:42.000]  because this
[1:13:42.000 --> 1:13:44.000]  we'll get it again
[1:13:44.000 --> 1:13:46.000]  here let's just have a moment of silence
[1:13:46.000 --> 1:13:48.000]  I know radio alarms for silence trigger in 5 seconds
[1:13:48.000 --> 1:13:50.000]  at radio stations
[1:13:50.000 --> 1:13:52.000]  and the engineers come flooding in
[1:13:52.000 --> 1:13:54.000]  but let's just have 5 seconds of silence
[1:13:54.000 --> 1:13:56.000]  for all those murdered
[1:13:56.000 --> 1:13:58.000]  and killed and disease
[1:13:58.000 --> 1:14:00.000]  and hurt by this lie
[1:14:00.000 --> 1:14:02.000]  but they didn't die in vain
[1:14:02.000 --> 1:14:12.000]  we're waking up
[1:14:12.000 --> 1:14:14.000]  99%
[1:14:18.000 --> 1:14:20.000]  if we weren't on air, if you didn't support us
[1:14:20.000 --> 1:14:22.000]  you can guarantee this wouldn't happen
[1:14:22.000 --> 1:14:24.000]  that's why I'm enemy number one
[1:14:24.000 --> 1:14:26.000]  they may kill me at any time
[1:14:26.000 --> 1:14:28.000]  and you know what that's fine
[1:14:28.000 --> 1:14:30.000]  as long as we beat their ass
[1:14:30.000 --> 1:14:32.000]  this is a bravada
[1:14:32.000 --> 1:14:34.000]  this is America
[1:14:34.000 --> 1:14:36.000]  this is Texas, this is freedom
[1:14:36.000 --> 1:14:38.000]  this is Christianity, this is resistance
[1:14:38.000 --> 1:14:40.000]  my forebears fought tyranny
[1:14:40.000 --> 1:14:42.000]  and were incredible people
[1:14:42.000 --> 1:14:44.000]  and I will live up to their measure
[1:14:44.000 --> 1:14:46.000]  and you will as well
[1:14:46.000 --> 1:14:48.000]  so don't ever as dark as the hour is
[1:14:48.000 --> 1:14:50.000]  and as out of control things are
[1:14:50.000 --> 1:14:52.000]  don't you ever not realize
[1:14:52.000 --> 1:14:54.000]  how important you are
[1:14:54.000 --> 1:14:56.000]  and what you've done with your word of mouth
[1:14:56.000 --> 1:14:58.000]  and your action
[1:14:58.000 --> 1:15:00.000]  and the people that went to that
[1:15:00.000 --> 1:15:02.000]  puppet courthouse in Connecticut
[1:15:02.000 --> 1:15:04.000]  and put them for war stickers up everywhere
[1:15:04.000 --> 1:15:06.000]  we commend you
[1:15:06.000 --> 1:15:08.000]  they are scared of your action
[1:15:08.000 --> 1:15:10.000]  they're scared of your speech
[1:15:10.000 --> 1:15:12.000]  they're scared of your will
[1:15:12.000 --> 1:15:14.000]  and if you're black, I love you
[1:15:14.000 --> 1:15:16.000]  if you're white or brown
[1:15:16.000 --> 1:15:18.000]  or pink, I love you
[1:15:18.000 --> 1:15:20.000]  you're a human, you're made in the image of God
[1:15:20.000 --> 1:15:22.000]  I'm on your side, I don't want your children aborted
[1:15:22.000 --> 1:15:24.000]  I don't want you enslaved
[1:15:24.000 --> 1:15:26.000]  I don't want you bankrupt
[1:15:26.000 --> 1:15:28.000]  I want the victory for you
[1:15:28.000 --> 1:15:30.000]  and our children together
[1:15:30.000 --> 1:15:32.000]  and the universe that's unlimited potential for us
[1:15:34.000 --> 1:15:36.000]  and this is everything
[1:15:36.000 --> 1:15:38.000]  the enemy had to throw at us
[1:15:38.000 --> 1:15:40.000]  and you've rejected them in total
[1:15:40.000 --> 1:15:42.000]  this is the gold medal
[1:15:42.000 --> 1:15:44.000]  this is the Super Bowl championship
[1:15:44.000 --> 1:15:46.000]  this is it
[1:15:46.000 --> 1:15:48.000]  this their ass is screwed
[1:15:52.000 --> 1:15:54.000]  I got more on the sides
[1:15:54.000 --> 1:15:56.000]  in the eye
[1:16:26.000 --> 1:16:28.000]  freeworldoutlet.com
[1:16:28.000 --> 1:16:30.000]  is amazing
[1:16:30.000 --> 1:16:32.000]  we're partnered with them
[1:16:32.000 --> 1:16:34.000]  and things like DNA Force Plus
[1:16:34.000 --> 1:16:36.000]  that have been sold out at Info War Store
[1:16:36.000 --> 1:16:38.000]  is available there
[1:16:38.000 --> 1:16:40.000]  things like X2 being sold at full price
[1:16:40.000 --> 1:16:42.000]  40% off at freeworldoutlet.com
[1:16:42.000 --> 1:16:44.000]  and so much more
[1:16:44.000 --> 1:16:46.000]  here's some of the others
[1:16:46.000 --> 1:16:48.000]  knockout sleep support
[1:16:48.000 --> 1:16:50.000]  50% off Brain Force Plus
[1:16:50.000 --> 1:16:52.000]  50% off Ultimate Brone Barov
[1:16:52.000 --> 1:16:54.000]  freeworldoutlet.com
[1:16:54.000 --> 1:17:23.000]  and keep Info Wars in the air while getting great products.
[1:17:24.000 --> 1:17:26.000]  so it's a very important situation
[1:17:26.000 --> 1:17:28.000]  with inflation
[1:17:28.000 --> 1:17:30.000]  and all the things out there hurting everybody
[1:17:30.000 --> 1:17:32.000]  to be able to do things
[1:17:32.000 --> 1:17:34.000]  tax wise it's legal and lawful
[1:17:34.000 --> 1:17:36.000]  that allows you to keep more of your money
[1:17:36.000 --> 1:17:38.000]  we wouldn't even be here
[1:17:38.000 --> 1:17:40.000]  if I hadn't gotten great tax advice in the last few years
[1:17:40.000 --> 1:17:42.000]  the only way you fail
[1:17:42.000 --> 1:17:44.000]  is not writing down the URL
[1:17:44.000 --> 1:17:46.000]  jonestaxrelief.com
[1:17:46.000 --> 1:17:48.000]  one word, jonestaxrelief.com
[1:17:48.000 --> 1:17:50.000]  or call 833-900-4285
[1:17:50.000 --> 1:17:52.000]  833-900-4285
[1:17:52.000 --> 1:17:54.000]  833-900-4285
[1:18:22.000 --> 1:18:24.000]  all three do different things
[1:18:24.000 --> 1:18:26.000]  Turbo Force is 10 hours of clean
[1:18:26.000 --> 1:18:28.000]  out of control energy
[1:18:28.000 --> 1:18:30.000]  I can't even take a whole pack myself
[1:18:30.000 --> 1:18:32.000]  Brain Force Plus is a
[1:18:32.000 --> 1:18:34.000]  long term acting clean
[1:18:34.000 --> 1:18:36.000]  Neutropid
[1:18:36.000 --> 1:18:38.000]  this Brain Force Ultra
[1:18:38.000 --> 1:18:40.000]  is a super fast acting
[1:18:40.000 --> 1:18:42.000]  Neutropic that
[1:18:42.000 --> 1:18:44.000]  creates incredible clarity
[1:18:44.000 --> 1:18:46.000]  but doesn't last very long
[1:18:46.000 --> 1:18:48.000]  they're all three different formulas
[1:18:48.000 --> 1:18:50.000]  and finally back at stock
[1:18:50.000 --> 1:18:52.000]  is available at infowarsstore.com
[1:18:52.000 --> 1:18:54.000]  Brain Force Ultra
[1:18:54.000 --> 1:18:56.000]  back at stock
[1:18:56.000 --> 1:18:58.000]  infowarsstore.com
[1:18:58.000 --> 1:19:00.000]  infowarswork
