[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[2:46:14.920 --> 2:46:21.040]  to have the high quality HD DVD in your library with the expanded extras so it can't be censored
[2:46:21.040 --> 2:46:24.680]  in the future and so you can show it to everyone you know.
[2:46:24.680 --> 2:46:30.560]  Go to info wars store dot com and get 2000 mules today and get it discounted up to 30%
[2:46:30.560 --> 2:46:36.040]  off when you get it with other documentary films like in game blueprint for global enslavement,
[2:46:36.040 --> 2:46:40.120]  the seminal classic that predicted the great reset and of course part one, part two and
[2:46:40.120 --> 2:46:46.360]  now the new part three of covid land get them separate, get them together massively discounted
[2:46:46.360 --> 2:46:51.560]  at info wars store dot com but everyone needs to have 2000 mules in their library so the
[2:46:51.560 --> 2:46:58.360]  globalists can't censor it info wars store dot com to get 2000 mules today.
[2:46:58.360 --> 2:47:14.400]  Leading of frontal assault on the lies of the new world order, it's Alex Jones.
[2:47:14.400 --> 2:47:25.400]  So we're tapping off this interview with Lee Strain again talking about the Ashley
[2:47:25.400 --> 2:47:32.680]  Biden diary why it's a story again now, how it has, the story itself has examples of the
[2:47:32.680 --> 2:47:38.560]  war on journalism that is ongoing right now within our deep state, within our government
[2:47:38.560 --> 2:47:43.040]  against people like James O'Keefe and groups like Project Veritas not to mention Alex Jones
[2:47:43.040 --> 2:47:48.940]  here in info wars, even Lee Strainahan but we're getting something there right before
[2:47:48.940 --> 2:47:52.360]  we went to the break, Lee I wanted you to finish your comment there before you went
[2:47:52.360 --> 2:47:58.920]  to the break and then also just kind of before we conclude here, I mean there is a story
[2:47:58.920 --> 2:48:03.360]  here while it may not be the biggest geopolitical story and not the biggest political story
[2:48:03.360 --> 2:48:08.080]  at all, I think Americans would want to know if their president is a pedophile child abuser
[2:48:08.080 --> 2:48:13.280]  that might have even done things with his own daughter that might be a significant development
[2:48:13.280 --> 2:48:17.080]  that people want to know about and when you look at the family, when you look at hunter
[2:48:17.080 --> 2:48:22.520]  Biden, when you look at Ashley Biden, something went wrong there, I mean that's not how you
[2:48:22.520 --> 2:48:28.560]  want your kids to grow up to be so we'll kind of finish off with that but Lee you can finish
[2:48:28.560 --> 2:48:32.360]  off your thoughts from the last segment, finish off your thoughts on the war on journalism
[2:48:32.360 --> 2:48:37.200]  before we kind of put a bow on this just looking at the children of Joe Biden and asking ourselves
[2:48:37.200 --> 2:48:47.800]  boy what went so wrong? Well I think a lot of people who are in the audience are, you
[2:48:47.800 --> 2:48:54.440]  know, if you're watching this, you're interested in politics, right? And so sometimes they
[2:48:54.440 --> 2:49:03.040]  get hopeless and you're not on, we cover the news as people who cover the news is sometimes
[2:49:03.040 --> 2:49:08.800]  you have a story, you think we've got this story dead to rights, this should be a big
[2:49:08.800 --> 2:49:15.840]  deal in public and then you see it goes nowhere or they say it gets no traction. I think this
[2:49:15.840 --> 2:49:22.400]  is a story that can get traction because it's easy to understand and although it's not
[2:49:22.400 --> 2:49:30.880]  the biggest story, I'm taking a cue from what Tucker did and I'm saying it is important
[2:49:30.880 --> 2:49:37.920]  to not drop this story. Here's what else. Have you noticed, have you heard about anybody
[2:49:37.920 --> 2:49:43.880]  being banned from social media for talking about the Asher Biden diary? I can't cite
[2:49:43.880 --> 2:49:49.440]  an example. No, I mean, I don't know. Right. You haven't, you haven't heard about it neither
[2:49:49.440 --> 2:49:52.920]  or right. I'm not saying there's one, but I'm saying we probably would have heard about
[2:49:52.920 --> 2:50:02.320]  it if someone was banned from social media. That means unlike some stories, for instance,
[2:50:02.320 --> 2:50:09.520]  the stuff involving vaccines is a bigger story in terms of importance. But can you think
[2:50:09.520 --> 2:50:16.000]  of people who've been banned from discussing vaccines? Plenty. Therefore, if you're urging
[2:50:16.000 --> 2:50:24.280]  someone to focus on a story, I'm saying everybody on social media should be tweeting about this.
[2:50:24.280 --> 2:50:30.880]  The Asher Biden's diary, they should be tweeting that phrase once a day because there are no
[2:50:30.880 --> 2:50:37.400]  risks that I see, Owen. And then if they do end up banning it, it just becomes an even
[2:50:37.400 --> 2:50:46.320]  bigger story. Yes, exactly right. And this is a story that does not seem to be resulting
[2:50:46.320 --> 2:50:55.000]  in any ban so far. And you're safe. You can do a video, do a blog post, do a tweet, do
[2:50:55.000 --> 2:51:02.580]  a Facebook post, whatever medium you have. What else you can do? Find the diary online.
[2:51:02.580 --> 2:51:09.520]  This is in Asher Biden's diary. She wrote it by hand. Okay, that means you can post
[2:51:09.520 --> 2:51:16.200]  on Instagram. There's pictures you can post. Does that make sense? So it's a multimedia
[2:51:16.200 --> 2:51:23.080]  story. There's plenty of information. There's police reports out there. This is a story
[2:51:23.080 --> 2:51:29.720]  you can and should be talking about. And that's why I'm glad you had me talk about this. It's
[2:51:29.720 --> 2:51:36.040]  not that I think this is the most important story. But ironically, this could be a story.
[2:51:36.040 --> 2:51:41.440]  Do you agree? It's ironic. But this could be a story that brings down Joe Biden.
[2:51:41.440 --> 2:51:46.240]  Well, let me, because, you know, I have to go, it's, if that's the question, you know,
[2:51:46.240 --> 2:51:51.160]  if we're ultimately trying to save this country and we realize Joe Biden is maybe the threat
[2:51:51.160 --> 2:51:54.920]  number one to this country, you say, well, how do we, how do we get rid of the threat
[2:51:54.920 --> 2:51:59.160]  peacefully, politically, legally, lawfully? Well, with the truth, okay, well, what's the
[2:51:59.160 --> 2:52:04.640]  truth with Joe Biden and Ashley? Was he showering with her inappropriately? Was he engaged in
[2:52:04.640 --> 2:52:09.360]  sexual abuse of his own child? Is that what's being recounted in this diary? But here's
[2:52:09.360 --> 2:52:15.220]  what's so frustratingly, it's that, I mean, it's just the truth. Liberals and Democrats
[2:52:15.220 --> 2:52:21.720]  are just liars. They are just liars. And so they show a picture of Donald Trump with Ivanka
[2:52:21.720 --> 2:52:25.720]  on his lap and they say, oh, look, Donald Trump, that's inappropriate. Look at how he
[2:52:25.720 --> 2:52:29.640]  treats his daughter. They show a clip of him saying how beautiful his daughter is. They
[2:52:29.640 --> 2:52:33.640]  say, oh my gosh, look, Donald Trump's a pervert. He says it's about his daughter. Okay, well,
[2:52:33.640 --> 2:52:40.560]  maybe you think that's weird. Maybe it's not so weird. What is weird is Ashley Biden writing
[2:52:40.560 --> 2:52:45.680]  in a diary that she believes it could have been her father inappropriately touching her
[2:52:45.680 --> 2:52:52.800]  and showering with her as a kid that led to her being a sex addict and a sex, you know,
[2:52:52.800 --> 2:52:58.560]  addicted to sex growing up and all the other problems that she's had. But again, maybe
[2:52:58.560 --> 2:53:02.840]  it could pick up traction. Maybe it could be the one, but we're dealing with people
[2:53:02.840 --> 2:53:08.120]  that won't live in reality. They deny reality. They lie through their teeth every day with
[2:53:08.120 --> 2:53:14.320]  every breath they take. It's a lie. They're never going to live those lies down. So yeah,
[2:53:14.320 --> 2:53:19.280]  should America know for the facts? Is Joe Biden a pervert, a pedophile that he sexually
[2:53:19.280 --> 2:53:23.800]  abuses kids? Do we need an investigation? The problem is we're not dealing with people
[2:53:23.800 --> 2:53:27.240]  that deal in reality. We're not dealing with people that are honest. And so they're never
[2:53:27.240 --> 2:53:30.560]  going to be honest about this. They're never honest about anything. So I mean, whether
[2:53:30.560 --> 2:53:35.640]  it's Hunter Biden and all of his sorted details and escapades, or whether it's Ashley Biden
[2:53:35.640 --> 2:53:40.720]  and what she writes in the diary, sadly, even though it should end this corrupt political
[2:53:40.720 --> 2:53:44.880]  family, I just don't think it will leave because we're dealing with Democrats and liberals
[2:53:44.880 --> 2:53:53.120]  who are just 100% bona fide phony liars. So let's talk about some history here. And so
[2:53:53.120 --> 2:53:58.840]  my first work as a reporter was on the John, John Edwards affair story. That's the first
[2:53:58.840 --> 2:54:05.080]  thing I covered as a reporter. Remember that John Edwards was accused and there's a picture
[2:54:05.080 --> 2:54:10.520]  on the National Enquirer of him or the baby who's accused of having an affair. Remember
[2:54:10.520 --> 2:54:21.920]  that story vaguely? But yes. Yes. That story was denied until it wasn't. Another big story
[2:54:21.920 --> 2:54:28.920]  I worked on was the Anthony Weiner sexting story with my friend Andrew Breitbart. And
[2:54:28.920 --> 2:54:35.000]  that story, you remember the press conference for Weiner that Andrew got up on stage during
[2:54:35.000 --> 2:54:41.520]  the campaign? Sure. Remember that? Oh, yeah. Now that that press conference did not result
[2:54:41.520 --> 2:54:47.400]  in Anthony Weiner resigning. People don't remember that. And Andrew got up on stage.
[2:54:47.400 --> 2:54:56.160]  It was a big hubbub. But Anthony Weiner was still in Congress next week. Hemingway is
[2:54:56.160 --> 2:55:01.920]  a story where he talks about how someone went bankrupt. And he says slowly at first,
[2:55:01.920 --> 2:55:11.680]  then all at once. The way these stories break is Edwards, I remember in the Edwards story,
[2:55:11.680 --> 2:55:19.760]  it was denied, denied, denied until it just wasn't. And you know what's going to happen
[2:55:19.760 --> 2:55:26.080]  on this Biden story? If this ends up taking him down, the people who are just denying
[2:55:26.080 --> 2:55:32.680]  it now will suddenly go. Well, we always knew there was problems. I never trusted him.
[2:55:32.680 --> 2:55:39.640]  They'll there will suddenly be no Biden supporters. The people who defended Anthony Weiner suddenly
[2:55:39.640 --> 2:55:48.440]  got very quiet when he was out of Congress. And so I'm saying to people, I understand
[2:55:48.440 --> 2:55:56.000]  what you're saying, Owen, but we in the Edwards story, eventually he was taken down. Eventually
[2:55:56.000 --> 2:56:02.680]  Anthony Weiner was taken down. Now, you're not going to ever get them completely admitting
[2:56:02.680 --> 2:56:10.560]  a truth. But I think there's sufficient reason to believe that Joe Biden, look at the New
[2:56:10.560 --> 2:56:17.560]  York Times piece. Joe Biden is in some trouble with the Democrats. I think a lot of Democrats,
[2:56:17.560 --> 2:56:22.440]  do you see AOC not endorse Biden in 2024?
[2:56:22.440 --> 2:56:26.800]  Well, that doesn't surprise me as much, but you're still on to something because they
[2:56:26.800 --> 2:56:32.280]  asked all the Senate Democrats, if they would endorse Biden in 2024, only five of them said
[2:56:32.280 --> 2:56:36.720]  yes. So there's no doubt Joe Biden is in big trouble. But there's already an example
[2:56:36.720 --> 2:56:40.360]  of what you're talking about with the Hunter Biden laptop. It was denied, denied, denied.
[2:56:40.360 --> 2:56:44.920]  Now they all accept its fact. But has that really changed anything?
[2:56:44.920 --> 2:56:55.840]  Well, I think until you get near the tipping point, it doesn't tip over. So this is the
[2:56:55.840 --> 2:57:03.240]  case where people watching final 30 seconds here, Lee, final 30 seconds, take it. Don't
[2:57:03.240 --> 2:57:10.280]  give up and don't give in on this one. It's we're near tipping point, I think. Owen, thanks
[2:57:10.280 --> 2:57:15.480]  for having me on. Great talking to you, brother. Lee Stranahan, gay stuff. And ladies and gentlemen,
[2:57:15.480 --> 2:57:19.760]  look who is in the studio with me now. He's just landed from flight hell.
[2:57:19.760 --> 2:57:23.680]  Well, yeah, absolutely. But listen, I'll be back. I got even more stuff I gotta do tomorrow
[2:57:23.680 --> 2:57:27.400]  than I'm back completely Wednesday. Love you guys. Lovely Stranahan. He's such a great
[2:57:27.400 --> 2:57:30.600]  pager, doing such great work. And the great Gerald Salente is coming up right now.
[2:57:30.600 --> 2:57:32.560]  It's real in the flesh, in the flesh.
[2:57:32.560 --> 2:57:33.560]  Not dead yet.
[2:57:33.560 --> 2:57:35.560]  It's Jones.
[2:57:35.560 --> 2:57:42.560]  Gerald Salente takes over. I'll see you guys. I'm hosting the War Room in T minus one hour.
[2:57:42.560 --> 2:57:53.080]  There's an old bed of one saying that's thousands of years old. And it goes like this. Trust
[2:57:53.080 --> 2:57:58.960]  in God, but tie up your camel. Hunter S. Thompson put it this way. Pray to God, but row away
[2:57:58.960 --> 2:58:03.360]  from the rocks. If your boat is going towards the rocks, pray to God that you don't get
[2:58:03.360 --> 2:58:07.120]  smashed on them and killed, but also try to row away. You can't just sit there like a
[2:58:07.120 --> 2:58:12.280]  jellyfish. And it's the same thing with our immune system. God helps those who help themselves.
[2:58:12.280 --> 2:58:17.240]  We have a lot of amazing products on sale right now at infowarstore.com. Like the ultimate
[2:58:17.240 --> 2:58:23.120]  immune support pack, our four best selling products together at 60% off. We have the
[2:58:23.120 --> 2:58:29.040]  Trafecta Special, three of the best selling items for 50% off. And X2 sold out so important
[2:58:29.040 --> 2:58:33.760]  of your immune system back in stock for 40% off for a limited time because you have limited
[2:58:33.760 --> 2:58:39.800]  supplies. In fact, one of these items, we only have 2,000 bottles up. So the ultimate sale
[2:58:39.800 --> 2:58:43.280]  will probably be over just a few days. Take advantage of this and boost your immune system
[2:58:43.280 --> 2:58:48.920]  now and protect yourself and your family at infowarstore.com. Every single person listening
[2:58:48.920 --> 2:58:54.800]  to the sound of my voice needs to listen to me very, very carefully. The Nestos is made
[2:58:54.800 --> 2:59:03.200]  the most important documentary in the US history. 2,000 mules. That's not hype. That's the truth.
[2:59:03.200 --> 2:59:08.840]  The film proves how the deep state Democrats stole the 2020 election and how they're planning
[2:59:08.840 --> 2:59:13.760]  to do it again. Now, ladies and gentlemen, with all the censorship going on, it is critical
[2:59:13.760 --> 2:59:18.560]  to own the DVD with the expanded extra so you have it in your library so it can't be
[2:59:18.560 --> 2:59:22.960]  censored and so you can show it to your church, your business, your neighbors, or just perfect
[2:59:22.960 --> 2:59:28.840]  strangers. We have the film available, ready to ship to you right now at infowarstore.com.
[2:59:28.840 --> 2:59:35.280]  And we also have a discounted when you get other films like COVIDland Part 1, 2, or 3
[2:59:35.280 --> 2:59:39.520]  that just came out. There's discounts to get in-game. We'll look for global enslavement
[2:59:39.520 --> 2:59:54.320]  and so much more at infowarstore.com. Get 2,000 mules by the Nestos Susan now at infowarstore.com.
[3:00:09.520 --> 3:00:23.600]  The answer to 1984 is 1776. You're listening to the Alex Jones show with Gerald Salente.
[3:00:23.600 --> 3:00:29.720]  Good morning, Alex Jones show. Great seeing Alex Jones. Yeah, you have a real warrior
[3:00:29.720 --> 3:00:37.760]  for peace, that man. As I am a warrior for the princes. And we have crazy lunatics leading
[3:00:37.760 --> 3:00:49.440]  us into hell. This is the headline at a business insider. New army chief tells British troops
[3:00:49.440 --> 3:01:00.240]  that they must be capable of defeating Russia in battle. The new chief of British army has
[3:01:00.240 --> 3:01:06.480]  told his troops that they must prepare to fight Russia once again. That's a quote. Prepare
[3:01:06.480 --> 3:01:19.680]  to fight Russia once again. General Sir Patrick Sanders. Oh, Sir Patrick. Oh, yes, Sir Patrick.
[3:01:19.680 --> 3:01:26.560]  Who is this clown? I'm an arrogant guy saying you got to go to war. Hey, generals, you're
[3:01:26.560 --> 3:01:35.400]  always fighting the last war. You see a picture of this guy with all this military drag with
[3:01:35.400 --> 3:01:48.440]  these ribbons and all of these metals. Bunch of garbage. General Sanders took up his position
[3:01:48.440 --> 3:01:55.960]  today and addressed all ranks and civil servants, civil slaves, little clowns that we paid.
[3:01:55.960 --> 3:02:06.040]  Oh, that was the former guy that went away. The prince or the king or whatever. Anyway,
[3:02:06.040 --> 3:02:14.440]  the queen's husband. That other guy. Sanders there. Patrick Sanders. I want to see who
[3:02:14.440 --> 3:02:24.400]  related to Bernie Sanders because more PS just coming out of a different mouth. Sand crap.
[3:02:24.400 --> 3:02:33.200]  We are the generation that must prepare the army to fight in Europe once again. This guy
[3:02:33.200 --> 3:02:40.120]  is out of his mind. Hey, dumbbell. Hey, moron. Hey, imbecile. You want to bomb the hell out
[3:02:40.120 --> 3:02:47.840]  of Europe again? Oh, Selenki, calm down and be as proper as the English are. You see the
[3:02:47.840 --> 3:02:59.400]  way he's dressed and he's a sir. All you are or is a little nobody. Look at those eyes,
[3:02:59.400 --> 3:03:07.440]  man. He had the eyes of it. A freak. Are you going to bomb the hell out of you? Oh, no,
[3:03:07.440 --> 3:03:16.560]  no, Selenki. When the Russians know we have all our troops there, they will bow down.
[3:03:16.560 --> 3:03:24.320]  Like all the people should bow down to the crap spewing at a sir's mouth. Sir, what a
[3:03:24.320 --> 3:03:34.320]  bunch of garbage. They throwed it. The honorable, the sir, the official piece of crap. This
[3:03:34.320 --> 3:03:42.000]  guy. Oh, the sun never set on the British Empire. We've had thousands of years of murdering
[3:03:42.000 --> 3:03:51.760]  people all over. Well, not thousands, just 700. Look at this. Look at this clown. Look
[3:03:51.760 --> 3:04:00.760]  at this stupid garbage. Hey, you like that military drag? I got that ribbon for bowing
[3:04:00.760 --> 3:04:09.040]  down to the queen and she said me. And I got those metals. I don't know how many people
[3:04:09.040 --> 3:04:16.800]  I killed or told others to go do it. And now I'm spewing my crap out there and the mainstream
[3:04:16.800 --> 3:04:22.920]  media is swallowing it and shoving it back to you. And you swallow it too because no
[3:04:22.920 --> 3:04:30.480]  one's talking about peace. No one's talking about peace. You know why? Because they are
[3:04:30.480 --> 3:04:39.280]  pieces of crap. They're taking us to World War Three. It's already begun. If we don't
[3:04:39.280 --> 3:04:46.120]  unite for peace, we're going to die in war. How can a guy with anybody with a brain bigger
[3:04:46.120 --> 3:04:58.120]  than this clown listen to him? We'll be right back. And remember, support him for wars.
[3:04:58.120 --> 3:05:06.200]  PrepareToday.com. PrepareToday.com. We have created a one stop shop to get the highest
[3:05:06.200 --> 3:05:11.720]  quality storeable foods ready to ship that are in stock with hundreds of award winning
[3:05:11.720 --> 3:05:19.000]  certified preparedness, survival items. That's why PrepareToday.com is a one stop shop. You
[3:05:19.000 --> 3:05:24.080]  can also follow PrepareWithAlex.com. It takes you right to the same site and it's our huge
[3:05:24.080 --> 3:05:29.200]  sponsor funding or operation. So Americans and others can get ready, be self sufficient
[3:05:29.200 --> 3:05:34.760]  and fund the info war while saving massive amounts of money on critical items they need
[3:05:34.760 --> 3:05:40.680]  and of course getting things delivered to them quickly because it's in stock. PrepareToday.com.
[3:05:40.680 --> 3:05:45.720]  The only way you fail is not visiting PrepareToday.com. There's not a question now whether you need
[3:05:45.720 --> 3:05:50.560]  this or not, you need it. Before it was just a backup plan and insurance. This is an insurance.
[3:05:50.560 --> 3:05:57.560]  This is survival. PrepareToday.com. PrepareToday.com. I'll see you there.
[3:06:20.560 --> 3:06:37.560]  If you listen to the mainstream media, all they do is sell the garbage that they're being
[3:06:37.560 --> 3:06:47.760]  fed to spew out to the people. One war after another. Remember the main? Oh, I think the
[3:06:47.760 --> 3:06:54.600]  first group gave us that one. Spanish-American war. Oh, yeah. The one that never happened
[3:06:54.600 --> 3:07:00.440]  but they said it did. Oh, remember the main? No, I remember the Gulf of Tonkin incident.
[3:07:00.440 --> 3:07:11.600]  Oh, yeah. The one in Vietnam War killed nearly 60,000 Americans. Wounded about another 250,000
[3:07:11.600 --> 3:07:17.920]  and hundreds and hundreds of thousands, mentally ill from what happened over there. Oh, and
[3:07:17.920 --> 3:07:24.760]  spraying at place with Agent Orange. There he is, another lying piece of scum crap. Robert
[3:07:24.760 --> 3:07:33.480]  McNamara. May you rot in hell. Along with Woodrow Wilson, Harry, let's bomb the hell
[3:07:33.480 --> 3:07:40.600]  out of Japan with atom bombs after they were going to sign a peace treaty. We got mentally
[3:07:40.600 --> 3:07:51.680]  ill people running the world. Oh, I forgot. How about, you know, there's one clown after
[3:07:51.680 --> 3:07:58.000]  another. This is the slime ball. Oh, he's from Princeton. Harvard Princeton. Yeah, but
[3:07:58.000 --> 3:08:05.640]  at bombs and banks, he was the president of Princeton. You become a prince. If you go
[3:08:05.640 --> 3:08:11.200]  to Princeton, you're a member of the club. That's the slime ball that gave us the Federal
[3:08:11.200 --> 3:08:17.200]  Reserve. And we're going to talk about that later. That's the slime ball, as they said,
[3:08:17.200 --> 3:08:26.120]  got us into World War One. And that's the slime ball that gave us federal income tax.
[3:08:26.120 --> 3:08:34.400]  This is an ancient history. Well, for most people it is because they can't remember anything.
[3:08:34.400 --> 3:08:39.680]  And talking about other slime balls that got us into war, that little daddy's boy, that
[3:08:39.680 --> 3:08:46.920]  little, little nothing of a clown, George W. Bush. Yeah. Oh, you forgot Saddam Hussein
[3:08:46.920 --> 3:08:52.840]  and weapons man of destruction. Oh, he picked up the lie from his father. Oh, those, those
[3:08:52.840 --> 3:08:57.720]  are Rockies that going into Kuwait and they're going into the hospitals and stabbing babies
[3:08:57.720 --> 3:09:04.560]  and incubators. Oh, yeah. You remember that they made up that line too. It was a lie. I'm
[3:09:04.560 --> 3:09:10.200]  mentioning this because that's the propaganda they're feeding us now. He could take that,
[3:09:10.200 --> 3:09:23.320]  that, uh, you're a corn. You know, he could stick it up in the air. Yeah. You know what
[3:09:23.320 --> 3:09:28.280]  they're doing to us? Look at this. How could anybody with a brain bigger than a P believe
[3:09:28.280 --> 3:09:35.360]  this clown? Oh, only 88% of America's believed him when he started the Afghan war. We're
[3:09:35.360 --> 3:09:43.360]  going to get that guy with some of it alive. It's a freak show and we have freaks running
[3:09:43.360 --> 3:09:57.040]  and ruining our lives. $57 billion of our money has gone to fight the Ukraine war. As
[3:09:57.040 --> 3:10:04.640]  the roads are rotted, homeless all over the place. My buddy just came back from Houston
[3:10:04.640 --> 3:10:11.280]  and he told me, he said, homeless all over the place. Get a roll of everywhere. Business
[3:10:11.280 --> 3:10:20.480]  is a dead. They killed him with the COVID war. And now they're giving us this war. People
[3:10:20.480 --> 3:10:32.440]  better get it in their mind. These people are mentally ill. They're lunatics. Yep, nice.
[3:10:32.440 --> 3:10:41.720]  America landed a free land of opportunity destroyed by the military industrial complex
[3:10:41.720 --> 3:10:51.520]  worn by General Dwight, the Eisenhower, January 17th, 1961 is farewell address. Telling America
[3:10:51.520 --> 3:10:57.240]  farewell. The military industrial complex has robbed the nation of the genius of the
[3:10:57.240 --> 3:11:02.120]  scientists, the sweater labors and the future of the children. And Eisenhower thought that
[3:11:02.120 --> 3:11:12.760]  we would stop it. No. Propaganda, propaganda. That's the name of the game. Gas stations
[3:11:12.760 --> 3:11:25.920]  in Oslo selling unleaded fuel. The $10 and 30 cents a gallon. And who's the Federal Reserve
[3:11:25.920 --> 3:11:42.600]  blaming on this? Ukraine war. As our inflation rate hits 40 a hives. This is going on before
[3:11:42.600 --> 3:11:53.880]  the Ukraine war. They made a bad situation much worse. Putting these sanctions on Russia,
[3:11:53.880 --> 3:12:00.200]  the height of stupidity. But again, name me a war that America's won since World War
[3:12:00.200 --> 3:12:07.960]  II. Show me one brilliant thing that any of the administrations have done to improve the
[3:12:07.960 --> 3:12:15.160]  lives of we the people. Oh, oh, they just passed a new defense budget. Yeah, it's near
[3:12:15.160 --> 3:12:27.480]  $900 billion. And they had a 26. The people had a vote on it to get it out of the committee.
[3:12:27.480 --> 3:12:36.680]  Only three voted against it. Tens of trillions of dollars to go fight these wars. The Afghan
[3:12:36.680 --> 3:12:49.160]  war, the Iraq wars, the Libyan war, Syrian war. Could you imagine if that money went
[3:12:49.160 --> 3:12:55.720]  into the economy? Can you imagine if that money, if we brought home the troops, secure
[3:12:55.720 --> 3:13:01.800]  the homeland, stop all these people from coming in when we can't take care of our own, as
[3:13:01.800 --> 3:13:07.320]  you can see out in the streets. Oh, and by the way, all those homeless people out there,
[3:13:07.320 --> 3:13:13.960]  how come they're not dying of COVID? How come the hospitals are filled up with COVID? I guess
[3:13:13.960 --> 3:13:21.800]  they can't afford to go to McDonald's or Burger King. Oh, it's Coke is better than Pepsi. This
[3:13:21.800 --> 3:13:30.040]  is America, not in my America. We got to bring this country back. And the way we do it is
[3:13:30.040 --> 3:13:36.360]  we have to do away with the military industrial complex. We have to put that money into building
[3:13:36.360 --> 3:13:44.200]  America. America first and only. No foreign entanglements said George Washington, who these
[3:13:44.200 --> 3:13:49.400]  clowns couldn't compare to. A real man that crossed the Delaware, remember to go fight?
[3:13:50.680 --> 3:13:56.600]  Yeah, Washington crossed the Delaware. What did Delaware, boy? What did Delaware?
[3:13:56.600 --> 3:14:03.480]  That was a song. Take it easy. She wore a brand new jersey. It was Perry Cuomo song.
[3:14:04.600 --> 3:14:09.320]  What the Delaware? Probably can't sing that anymore. What do you mean Delaware, anything?
[3:14:13.320 --> 3:14:19.480]  Anyway, a real man who warned us that not to get involved in foreign entanglements,
[3:14:20.120 --> 3:14:25.080]  particularly in Europe, he goes on to say you shouldn't take aside whether you like or just
[3:14:25.080 --> 3:14:32.200]  like a nation. What's going on in Ukraine is none of my business. I'm an American. It's been
[3:14:32.200 --> 3:14:37.240]  going on a thousand years back and forth with them. And we're not going to fix it. Show me one
[3:14:37.240 --> 3:14:43.080]  thing we fixed. The roads are busted. The ridges are rotting. We're going to fix this war.
[3:14:46.120 --> 3:14:49.480]  I'm holding a rally. Peace and freedom rally.
[3:14:49.480 --> 3:14:56.520]  Saturday, July 23rd, up here in Kingston, New York, on the four corners of freedom, Crown and
[3:14:56.520 --> 3:15:05.160]  John Street, Jojana Napolitano, Scott Ritter, Gary Noe. Of course, I'll be there in the hot damn
[3:15:05.160 --> 3:15:10.600]  band. Food, music, it's free. They've come out of the food you got to pay for them.
[3:15:10.600 --> 3:15:12.440]  What do you want to eat and drink? We have vendors.
[3:15:12.440 --> 3:15:21.880]  Go to OccupyPeace.com, OccupyPeace.com, the movement I started. Close down the bases overseas,
[3:15:21.880 --> 3:15:28.440]  the 800 of them in about 80 countries. Bring home the troops, secure the homeland.
[3:15:30.280 --> 3:15:33.080]  Put them to work rebuilding our rotted infrastructure.
[3:15:33.080 --> 3:15:40.680]  Yep. And do you want to have war? There we go. Peace and freedom rally.
[3:15:42.200 --> 3:15:46.840]  You want to have war? Let the people vote. We're the ones who fight for the war with our money
[3:15:46.840 --> 3:16:04.120]  and our lives, not the Biden boys. We'll be back. Stay tuned.
[3:16:16.840 --> 3:16:22.440]  I'm in my 60s, and I do the work of 25, 30-year-olds, and I work them into the ground,
[3:16:22.440 --> 3:16:26.040]  and you want to know why? And I've tested this, and I've taken your B12,
[3:16:26.040 --> 3:16:31.560]  and let me tell you, when I don't take it, I pay a price. I really do. I take that B12,
[3:16:31.560 --> 3:16:37.160]  and I am electric, man. I can run 10 miles. I did some pretty heavy work with the highway
[3:16:37.160 --> 3:16:42.840]  department, and my friends will attest to the fact that, yeah, for a guy in his 60s,
[3:16:42.840 --> 3:16:48.440]  you know, pushing 70, and I'm not just blowing smoke here. The B12 saves my life.
[3:16:56.200 --> 3:16:59.320]  The globalists are making their move. Their great reset is here.
[3:16:59.880 --> 3:17:03.720]  They're coming for your children. They're coming for the value of your currency.
[3:17:03.720 --> 3:17:08.520]  They're coming for your national sovereignty. They're coming for your very bodies with their
[3:17:08.520 --> 3:17:15.320]  biomedical tyranny. They're coming for your free speech. They're coming for your privacy,
[3:17:15.320 --> 3:17:19.880]  and, ladies and gentlemen, they're coming for your right to vote and have your representative
[3:17:19.880 --> 3:17:25.160]  in government that you and your fellow Americans choose. The new film, the seminal film, the most
[3:17:25.160 --> 3:17:31.160]  important documentary ever made in my view, 2000 Mules, is now available on DVD with expanded
[3:17:31.160 --> 3:17:38.680]  extras at infowarstore.com. You can also get the powerful film with other documentaries
[3:17:38.680 --> 3:17:44.520]  discounted at infowarstore.com. Everyone needs this DVD in their library to show everyone you
[3:17:44.520 --> 3:17:49.000]  know. We have the tools to bring these criminals to justice. If they're planning to run the same
[3:17:49.000 --> 3:17:55.240]  scams again, this film can stop them if you take action. infowarstore.com, 2000 Mules.
[3:17:55.240 --> 3:18:01.080]  A lot of listeners have told us it's hard to find out of the thousands of great items
[3:18:01.080 --> 3:18:05.960]  at infowarstore.com all the storeable food. So we've made it easy with our great partners that
[3:18:05.960 --> 3:18:09.800]  supply us with the highest quality storeable food out there at the lowest price you're going to find
[3:18:09.800 --> 3:18:17.400]  for good food. Prepare to day.com. Go to preparetoday.com and protect yourself and your family with
[3:18:17.400 --> 3:18:22.280]  what's coming and what is already unfolding with level food shortages. I told you over two years
[3:18:22.280 --> 3:18:27.480]  ago the globe was going to have massive inflation and food shortages and it's happened just like
[3:18:27.480 --> 3:18:32.440]  clockwork and I'm telling you it's going to get a lot worse. They have designed this. The way to
