[00:00:00.169 --> 00:00:00.730]  I'm a fighter.
[02:07:09.976 --> 02:07:11.796]  It's a turlet paper record.
[02:07:12.496 --> 02:07:14.757]  It's only good to wipe a lot of crap out.
[02:07:15.566 --> 02:07:17.127]  That comes out of their mouths.
[02:07:18.649 --> 02:07:20.590]  So don't tune into Info Wars.
[02:07:21.171 --> 02:07:23.273]  Watch the Cartoon News Network.
[02:07:23.673 --> 02:07:25.495]  Yeah, watch, uh, what's his name?
[02:07:25.955 --> 02:07:28.117]  Anderson Cooper, Little Daddy's Girl.
[02:07:28.237 --> 02:07:29.918]  Oh, no, I forgot, Mommy's Girl.
[02:07:30.319 --> 02:07:33.522]  Gloria Vanderbilt's baby.
[02:07:34.823 --> 02:07:38.386]  There's gotta be anywhere if Mommy wasn't Gloria Vanderbilt.
[02:07:39.665 --> 02:07:41.506]  He had fat mouth Cuomo?
[02:07:41.526 --> 02:07:44.986]  You think he would have been anywhere if daddy was at Mario Cuomo?
[02:07:45.567 --> 02:07:58.310]  What the people at Infowars are doing is, you know what they're doing, they're fighting for everything that they have to do the best they can to expose this crap.
[02:08:00.151 --> 02:08:05.252]  This crap that they're shoving down our throats and expect us to swallow.
[02:08:08.627 --> 02:08:12.348]  And banning everybody that won't swallow the garbage?
[02:08:13.228 --> 02:08:15.649]  Puke it out of that Fauci's mouth?
[02:08:16.709 --> 02:08:18.209]  Oh, how dare you, Celente!
[02:08:18.949 --> 02:08:27.911]  He's one of the most highest-paid public officials, pieces of scum in the United States!
[02:08:29.752 --> 02:08:36.393]  And if you say anything bad about him, I'm that little peach-eyed guy over in Google!
[02:08:39.639 --> 02:08:41.220]  And I'll shut you down!
[02:08:41.700 --> 02:08:46.303]  I got a pair of cojones much smaller than a markball!
[02:08:47.444 --> 02:08:48.985]  I'm, I'm, no, who am I?
[02:08:49.245 --> 02:08:50.105]  Oh, I'm Cook!
[02:08:50.686 --> 02:08:51.306]  I'm Cook!
[02:08:51.766 --> 02:08:53.808]  Oh, yeah, I'm a cook to death, man!
[02:08:54.428 --> 02:08:55.088]  Cooked out!
[02:08:55.449 --> 02:08:56.329]  Cooked to nothing!
[02:08:56.769 --> 02:08:58.470]  Telling us what we can do?
[02:09:00.011 --> 02:09:00.552]  Apple?
[02:09:02.753 --> 02:09:04.934]  One after another, you're censored!
[02:09:05.995 --> 02:09:09.117]  Google, Facebook, Zuckerberg?
[02:09:10.239 --> 02:09:12.079]  You look at that little freak!
[02:09:13.860 --> 02:09:16.420]  Oh, I'll tell you what to say, Celenti!
[02:09:17.240 --> 02:09:18.860]  Don't you know who I am?
[02:09:19.841 --> 02:09:21.081]  I went to Harvard.
[02:09:25.062 --> 02:09:25.582]  Twitter.
[02:09:26.642 --> 02:09:27.262]  Dorsey.
[02:09:28.622 --> 02:09:30.242]  Look at this guy, Little Gatson.
[02:09:30.262 --> 02:09:34.283]  Look at the arrogant Little Gatson telling us what to do.
[02:09:34.623 --> 02:09:37.604]  You better get empty your damn pockets.
[02:09:37.984 --> 02:09:39.444]  We're in the fight for death.
[02:09:41.095 --> 02:09:43.036]  Do what you can to support Infowars.
[02:09:43.096 --> 02:09:46.798]  If they're going through this crap like this, it's total nonsense!
[02:09:51.320 --> 02:09:53.321]  Oh, you don't like what Alex Jones said?
[02:09:53.361 --> 02:09:53.761]  Yeah.
[02:09:54.541 --> 02:10:00.724]  How about bringing George Bush to trial for lying us into the Iraq War?
[02:10:01.344 --> 02:10:05.867]  You think that's a little worse than the lawsuit that Alex is going through?
[02:10:06.647 --> 02:10:14.917]   He only murdered about 850 And how come those damn Russians weren't sending weapons to Iraq?
[02:10:14.977 --> 02:10:18.500]  Look at that little clown.
[02:10:18.740 --> 02:10:20.061]  Another daddy's boy.
[02:10:20.301 --> 02:10:21.803]  A little coward of a freak.
[02:10:22.143 --> 02:10:26.006]  Would be nobody if daddy wasn't Georgie Senior.
[02:10:26.587 --> 02:10:28.748]  And grandpa wasn't Prescott.
[02:10:30.450 --> 02:10:32.672]  How come he's not brought up on charges?
[02:10:33.913 --> 02:10:37.536]  I think the war crimes are a lot worse than what Alex pulled off.
[02:10:40.055 --> 02:10:41.436]  Lying us into war?
[02:10:41.816 --> 02:10:43.337]  Hey, we were those Chinese!
[02:10:43.397 --> 02:10:51.322]  How come you weren't sending weapons to Iraq, like America's sending weapons to, uh, Ukraine?
[02:10:52.543 --> 02:11:03.390]  Oh, it's okay for America to send weapons to Ukraine, that a country that Russia is fighting, but it would never be okay for Russia to send weapons to a country America's fighting.
[02:11:03.850 --> 02:11:05.311]  Oh, those dirty Russians!
[02:11:07.256 --> 02:11:10.959]  What you're getting on InfoWars, you're not getting on any other media stream.
[02:11:11.380 --> 02:11:12.741]  Nothing comes close to it.
[02:11:15.163 --> 02:11:18.747]  Send what you can, and don't be so damn cheap!
[02:11:22.110 --> 02:11:25.433]  Unless you want to go to hell, because that's where we're leading us.
[02:11:26.434 --> 02:11:28.496]  If we don't unite and fight for peace.
[02:11:30.257 --> 02:11:32.900]  Little pieces of crap telling us what to do.
[02:11:33.766 --> 02:11:35.367]  Nobody talking about peace.
[02:11:35.727 --> 02:11:41.690]  Nobody bringing out the information that you're getting on InfoWars, or we give you with the magazine, the Trends Journal.
[02:11:43.031 --> 02:11:44.772]  I'm tired of this crap, man.
[02:11:45.592 --> 02:11:47.633]  A bunch of gutless little people.
[02:11:47.873 --> 02:11:49.854]  And how low this country's gone, man.
[02:11:50.154 --> 02:11:51.475]  The way people dress.
[02:11:51.875 --> 02:11:55.097]  Oh, their blue jeans, all ripped with all over.
[02:11:55.117 --> 02:11:56.077]  Doesn't that look great?
[02:11:56.437 --> 02:11:56.958]  All ripped.
[02:11:57.238 --> 02:11:58.698]  They're dungarees!
[02:11:59.319 --> 02:12:01.280]  They're shitty dungarees!
[02:12:02.406 --> 02:12:08.511]  That Levi Strauss used to make when they were doing all the gold mining in California in the 1850s.
[02:12:09.211 --> 02:12:11.173]  Oh, now it's become the style.
[02:12:11.193 --> 02:12:13.895]  They say that pigs can't fly.
[02:12:13.915 --> 02:12:15.135]  You been to the airport?
[02:12:15.476 --> 02:12:16.777]  It's a pig show!
[02:12:19.599 --> 02:12:21.560]  This country's going down!
[02:12:23.922 --> 02:12:25.323]  It's a garbage can!
[02:12:27.184 --> 02:12:30.267]  I went to the city yesterday to go visit my sister at a nursing home.
[02:12:30.727 --> 02:12:34.385]   Every road I took, Potholes everywhere!
[02:12:34.765 --> 02:12:39.629]  Oh, you go to Riverdale, one of the richest places in New York City, the whole area.
[02:12:40.630 --> 02:12:43.552]  Potholes, bumps like you would not believe.
[02:12:44.033 --> 02:12:50.178]  Oh, but we're going to send 20 trillion, billion dollars more to Ukraine.
[02:12:50.438 --> 02:12:51.679]  Look at it, that's New York.
[02:12:51.959 --> 02:12:53.400]  Look at a garbage can!
[02:12:53.721 --> 02:12:55.062]  A garbage can!
[02:12:57.139 --> 02:13:02.904]  This country's going down so hard, so fast, and you got a bunch of gutless people!
[02:13:03.605 --> 02:13:05.667]  But not the people watching InfoWars.
[02:13:08.490 --> 02:13:10.311]  So put your money where your heart is.
[02:13:12.333 --> 02:13:13.935]  Where's the Elon Musks?
[02:13:15.336 --> 02:13:18.138]  Where are all these multi-multi-millionaires?
[02:13:18.739 --> 02:13:20.721]  How come they're not putting up the big money?
[02:13:22.502 --> 02:13:23.043]  Where are they?
[02:13:27.173 --> 02:13:28.834]  Again, we're giving you everything.
[02:13:28.854 --> 02:13:31.256]  Look at that cover by Anthony Frieda.
[02:13:31.977 --> 02:13:32.317]  All right?
[02:13:33.558 --> 02:13:35.199]  China started COVID war.
[02:13:35.759 --> 02:13:37.321]  We've been Shanghai'd.
[02:13:40.263 --> 02:13:43.645]  Trendsjournal.com, it's the only magazine where you're going to go.
[02:13:43.925 --> 02:13:45.326]  What in the world is going on?
[02:13:46.768 --> 02:13:47.408]  What's next?
[02:13:47.488 --> 02:13:48.209]  What it means?
[02:13:49.309 --> 02:13:49.869]  What to do?
[02:13:49.929 --> 02:13:51.330]  Nah, you don't want to know about this.
[02:13:51.830 --> 02:13:57.472]  No, no, pay, pay three dollars to read the toilet paper record or how about the Washington Post, huh?
[02:13:57.832 --> 02:14:00.573]  Oh, isn't that a nice bunch of Bezos?
[02:14:01.493 --> 02:14:02.313]  Bullshit!
[02:14:03.894 --> 02:14:07.355]  No peep for peace coming out of their fat mouths!
[02:14:12.157 --> 02:14:13.777]  You want a job at Amazon?
[02:14:14.478 --> 02:14:16.278]  Yeah, why don't you go to the jungle?
[02:14:17.318 --> 02:14:18.399]  That's all it is!
[02:14:20.586 --> 02:14:21.306]  A jungle!
[02:14:23.787 --> 02:14:25.187]  Let loose what you do!
[02:14:25.507 --> 02:14:26.487]  Stop the crap!
[02:14:26.747 --> 02:14:30.648]  Let's get this thing back on the road and get this energy going!
[02:14:32.148 --> 02:14:33.048]  And bail him out!
[02:14:33.668 --> 02:14:36.809]  We're talking chump change, all the people at Lizard Info Wars!
[02:14:37.349 --> 02:14:38.049]  Yeah, there he is.
[02:14:38.389 --> 02:14:40.129]  Now there's a man for you, huh?
[02:14:40.549 --> 02:14:40.930]  Yeah.
[02:14:41.850 --> 02:14:42.690]  What planet?
[02:14:43.690 --> 02:14:45.490]  What planet is this guy from?
[02:14:48.491 --> 02:14:49.351]  I've had it, man.
[02:14:51.607 --> 02:14:52.748]  I'm in it for the fight.
[02:14:54.248 --> 02:14:56.509]  And I give it everything I have to do it.
[02:14:58.590 --> 02:15:00.511]  I'm not a young cat, you know?
[02:15:01.912 --> 02:15:04.293]  Where are all you men out there and women?
[02:15:07.054 --> 02:15:09.595]  Look, these guys are going through over there for what?
[02:15:11.545 --> 02:15:12.125]  For what?
[02:15:12.526 --> 02:15:13.906]  Hey, how about Obama's war?
[02:15:13.926 --> 02:15:15.907]  The Nobel Peace of Crap Prize winner.
[02:15:16.287 --> 02:15:17.908]  That guy Assad has to go.
[02:15:17.928 --> 02:15:18.929]  Oh, that was Syria.
[02:15:19.249 --> 02:15:19.709]  Libya.
[02:15:19.869 --> 02:15:21.450]  That was Gaddafi in Libya.
[02:15:21.690 --> 02:15:21.950]  Oh, yeah.
[02:15:24.251 --> 02:15:25.212]  That's a criminal.
[02:15:25.832 --> 02:15:27.913]  That's the charges that should be put out.
[02:15:27.933 --> 02:15:31.675]  They're only worth about probably about $20 billion now.
[02:15:32.816 --> 02:15:33.096]  Yeah.
[02:15:33.676 --> 02:15:35.497]  Nobel Peace of Crap Prize winner.
[02:15:36.457 --> 02:15:37.618]  In a country near you.
[02:15:38.238 --> 02:15:39.339]  It's a freak show.
[02:15:40.327 --> 02:15:44.150]  You better be who you are before you die, or go to hell!
[02:15:45.751 --> 02:15:49.194]  You better be who you are before you die, or go to hell!
[02:15:49.214 --> 02:15:53.457]  Hey everyone, great being on the Alex Jones Show.
[02:15:54.138 --> 02:15:58.922]  And as I said before, you know, they got great products out there.
[02:15:58.962 --> 02:16:00.263]  Do what you can to support them.
[02:16:00.363 --> 02:16:00.623]  Enough.
[02:16:01.804 --> 02:16:06.107]  Because if we lose InfoWars, we're losing a lot out of life.
[02:16:07.348 --> 02:16:09.370]  And they're just gonna keep stealing it from us.
[02:16:10.399 --> 02:16:11.119]  Censorship.
[02:16:11.159 --> 02:16:11.920]  Could you believe it?
[02:16:13.080 --> 02:16:27.806]  You can't say anything if it's not by the dictates of the banksters, the drug dealers, the war machine, or big tech.
[02:16:29.767 --> 02:16:31.528]  Well, this, you know, I'm a trend forecaster.
[02:16:31.548 --> 02:16:32.888]  I've been at this 42 years.
[02:16:33.689 --> 02:16:36.450]  I'll put my track record up against anybody in the world.
[02:16:37.165 --> 02:16:40.227]  Show me a book, show me a magazine, show me a trend forecast.
[02:16:40.548 --> 02:16:41.689]  Do I get it right all the time?
[02:16:41.729 --> 02:16:42.389]  Of course not.
[02:16:42.409 --> 02:16:52.557]  I'm a human being, unlike the pictures of some of these guys like the Zuckerbergs and the Bezos that looks like they're from another planet.
[02:16:54.018 --> 02:17:01.043]  But you show me a track record, then we can begin to talk about seeing how the future is playing out.
[02:17:03.285 --> 02:17:04.266]  World War III has begun.
[02:17:08.424 --> 02:17:18.713]  Could you imagine, could you imagine, you know, every time like I read about a forest fires, you know, in, in California, there's ones in, in New Mexico, my heart breaks.
[02:17:18.873 --> 02:17:20.935]  My God, these people lost everything that they had.
[02:17:22.216 --> 02:17:35.008]  Could you imagine having to vacate your house if all of a sudden missiles started flying in from, from another country where we're at and you have to flee to another country?
[02:17:36.618 --> 02:17:38.298]  Can you imagine what that would feel like?
[02:17:39.158 --> 02:17:41.419]  Leaving all your life's possessions behind?
[02:17:43.219 --> 02:17:46.080]  That's going to happen if we don't unite for peace.
[02:17:48.060 --> 02:17:57.742]  They asked Albert Einstein, a guy that knew a thing or two about wars and how the weapons of mass destruction to be used, one of the inventors of the atom bomb.
[02:17:58.382 --> 02:18:01.162]  They asked him, what kind of weapons will be used to fight the third world war?
[02:18:01.182 --> 02:18:04.763]  He said, I don't know, but they'll be using sticks and stones to fight the fourth.
[02:18:07.250 --> 02:18:09.370]  We are on the precipice of World War III.
[02:18:09.410 --> 02:18:10.271]  It's already begun.
[02:18:11.911 --> 02:18:35.156]  As I said, could you imagine if the Chinese were arming and the Russians were arming and sending missiles and tanks and anti-aircraft weapons and all of this other kind of missiles to Syria or to Libya, to Iraq?
[02:18:36.618 --> 02:18:37.819]  To Afghanistan?
[02:18:40.381 --> 02:19:01.740]  Could you imagine if the Chinese were sending more and more and more weapons and all the other countries that hated America into Iraq and Afghanistan as American troops go in there to kill innocent people on a war based on lies?
[02:19:02.461 --> 02:19:04.002]  Oh, they would hate the Chinese for that.
[02:19:04.442 --> 02:19:07.824]  Our brave soldiers are going over there and doing their duty.
[02:19:07.844 --> 02:19:10.365]  They're young guys to swallow the crap.
[02:19:10.785 --> 02:19:12.006]  You don't know when you're a kid.
[02:19:12.546 --> 02:19:13.847]  You believe the propaganda.
[02:19:14.647 --> 02:19:16.868]  I'm a Yankee Doodle Dandy.
[02:19:17.249 --> 02:19:19.530]  A Yankee Doodle do or die.
[02:19:20.610 --> 02:19:20.890]  Yeah.
[02:19:22.471 --> 02:19:24.072]  Going to fight World War I for what?
[02:19:24.092 --> 02:19:25.393]  Another war based on lies.
[02:19:27.114 --> 02:19:29.455]  No, this, we're in the crisis of our lives.
[02:19:30.600 --> 02:19:33.582]  And if we don't unite under one umbrella, it's finished, man.
[02:19:33.602 --> 02:19:35.183]  Oh, and women.
[02:19:37.184 --> 02:19:38.025]  And Lola.
[02:19:39.646 --> 02:19:39.946]  Anyway.
[02:19:42.388 --> 02:19:49.112]  Federal judge in Florida on Monday vacated the Biden administration's national mask mandate.
[02:19:49.132 --> 02:19:51.234]  Again, it's really stupid crap.
[02:19:51.414 --> 02:19:52.654]  Oh, we're going to keep it till May 3rd.
[02:19:52.674 --> 02:19:53.675]  Why do I say May 4th?
[02:19:53.695 --> 02:19:55.156]  Well, I'm Fauci.
[02:19:55.236 --> 02:19:56.957]  I say May 5th.
[02:19:57.558 --> 02:19:59.439]  I'm another piece of garbage scum crap.
[02:20:00.456 --> 02:20:05.438]  Um, we're going to, uh, we're going to make it, uh... The 8th.
[02:20:05.738 --> 02:20:06.119]  May 8th.
[02:20:08.660 --> 02:20:09.300]  That's all it is.
[02:20:09.360 --> 02:20:09.860]  It's crap.
[02:20:11.821 --> 02:20:12.902]  They're making this stuff up.
[02:20:14.282 --> 02:20:15.603]  You could eat in an airplane.
[02:20:15.623 --> 02:20:18.124]  And you could drink in an airplane.
[02:20:19.124 --> 02:20:20.485]  Oh, yeah, the billionaire over there.
[02:20:21.265 --> 02:20:21.466]  Yep.
[02:20:22.606 --> 02:20:23.326]  Look at these guys.
[02:20:24.047 --> 02:20:24.247]  Yep.
[02:20:24.567 --> 02:20:25.047]  Our money.
[02:20:25.968 --> 02:20:27.548]  Our money going to a clown show.
[02:20:27.568 --> 02:20:28.949]  An arrogant little boy.
[02:20:32.150 --> 02:20:33.170]  So they make this stuff up.
[02:20:33.190 --> 02:20:40.412]  You can eat and drink without a mask on in an airplane, but then you got to put it up after you eat and drink because the virus knows when you're not eating and drinking.
[02:20:41.392 --> 02:20:44.593]  I got to tell you, man, you know, I know there's busy places around.
[02:20:44.653 --> 02:20:45.553]  It's dead up here.
[02:20:46.153 --> 02:20:53.255]  It's dead zone everywhere I go in the whole area up here in northern New York.
[02:20:55.436 --> 02:20:56.156]  Yep, there we go.
[02:20:56.983 --> 02:20:57.783]  Let's be stupid.
[02:20:58.283 --> 02:21:00.584]  Hey, remember they used to make those little kids in school?
[02:21:01.044 --> 02:21:04.445]  They would go in little tents, like plastic tents, to play their instruments?
[02:21:04.465 --> 02:21:05.666]  You remember that?
[02:21:06.026 --> 02:21:10.767]  Oh, you remember you had to put plastic shields up because the virus doesn't go around the shield.
[02:21:10.787 --> 02:21:11.707]  It has to be right there.
[02:21:14.188 --> 02:21:17.329]  Going back to what I was saying before, World War... There it is.
[02:21:17.629 --> 02:21:19.690]  These are stupid people leading us.
[02:21:20.930 --> 02:21:21.871]  Ignorant jerks.
[02:21:22.491 --> 02:21:24.631]  Arrogant, ignorant jerks leading us.
[02:21:25.492 --> 02:21:26.472]  Telling us what to do.
[02:21:31.118 --> 02:21:32.319]  Who's your favorite jerk?
[02:21:35.360 --> 02:21:36.920]  Look at, look at the clown show.
[02:21:38.121 --> 02:21:39.161]  Oh, I hate Biden.
[02:21:39.201 --> 02:21:40.462]  Oh, but I love McConnell.
[02:21:40.782 --> 02:21:43.303]  Then see Graham's my kind of whatever.
[02:21:43.323 --> 02:21:45.344]  No, no, no.
[02:21:45.724 --> 02:21:46.624]  Ted Cruz.
[02:21:46.665 --> 02:21:47.025]  Yeah.
[02:21:47.325 --> 02:21:49.166]  How about take me on a sea cruise, man?
[02:21:49.386 --> 02:21:50.326]  Look at this guy.
[02:21:50.546 --> 02:21:51.647]  Look at this guy.
[02:21:52.747 --> 02:21:53.087]  Look at him.
[02:21:53.207 --> 02:21:56.148]  One clown show after another telling us what to do.
[02:21:56.489 --> 02:21:59.490]  How could people take orders from these clowns?
[02:22:01.644 --> 02:22:06.226]  Speaking of which, there's another clown out there.
[02:22:07.386 --> 02:22:12.888]  Senator Chris Coons signals he favors sending troops to Ukraine.
[02:22:14.449 --> 02:22:15.769]  Senator Chris Croons.
[02:22:16.089 --> 02:22:16.930]  What Croons?
[02:22:17.470 --> 02:22:17.950]  Coon!
[02:22:18.950 --> 02:22:19.831]  Katson!
[02:22:22.091 --> 02:22:22.492]  Coon.
[02:22:22.572 --> 02:22:23.792]  Who the hell is this guy?
[02:22:24.612 --> 02:22:27.494]   He signaled that he wants The U.S.
[02:22:27.695 --> 02:22:30.076]  to send troops to Ukraine to fight.
[02:22:30.457 --> 02:22:30.717]  Hey!
[02:22:30.737 --> 02:22:31.938]  Hey, tough boy!
[02:22:32.618 --> 02:22:35.320]  Put on your uniform and go lead the charge!
[02:22:36.101 --> 02:22:37.042]  That's right!
[02:22:37.962 --> 02:22:39.964]  You wanna go fight, go fight!
[02:22:40.604 --> 02:22:41.565]  Look at this little guy!
[02:22:41.585 --> 02:22:43.726]  Look at this little gutless little clown!
[02:22:44.027 --> 02:22:45.788]  You little gutless clown!
[02:22:46.829 --> 02:22:48.770]  You arrogant little warmonger!
[02:22:49.591 --> 02:22:51.032]  You're not an American!
[02:22:52.653 --> 02:22:53.914]  You're a sellout!
[02:22:54.575 --> 02:22:55.375]  Look at this show!
[02:22:55.415 --> 02:22:56.356]  Look at these freaks!
[02:23:00.182 --> 02:23:05.350]  Kuhn was asked on CBS News' Chase the Nation, he made last week, an address to the University of Michigan.
[02:23:06.272 --> 02:23:14.786]  Kuhn said the Biden administration and Congress would, quote, come to a common position about when we are willing to go to the next step.
[02:23:15.430 --> 02:23:17.610]  And not just send arms, but troops!
[02:23:18.050 --> 02:23:20.031]  In the defense of Ukraine!
[02:23:20.711 --> 02:23:21.931]  Harkun!
[02:23:22.311 --> 02:23:23.391]  Hey, Cooney!
[02:23:23.991 --> 02:23:24.732]  Go fight!
[02:23:25.272 --> 02:23:25.972]  Go fight!
[02:23:26.412 --> 02:23:26.832]  Guess what?
[02:23:26.852 --> 02:23:27.132]  Look at him!
[02:23:27.172 --> 02:23:30.253]  Look at the little- Look at the little- Look at that little katson!
[02:23:30.593 --> 02:23:32.313]  Look at that little katson!
[02:23:32.673 --> 02:23:33.513]  With two others!
[02:23:34.013 --> 02:23:38.034]  Arrogant- Arrogant clown show in front of your eyes!
[02:23:39.394 --> 02:23:42.035]  This jerk deciding for us what to do?
[02:23:43.875 --> 02:23:44.055]  Yep.
[02:23:45.233 --> 02:23:49.396]  The American people cannot turn away from this tragedy in Ukraine.
[02:23:50.537 --> 02:23:51.078]  Oh, they can't?
[02:23:51.698 --> 02:23:52.098]  I can.
[02:23:52.459 --> 02:23:53.239]  I'm an American.
[02:23:53.580 --> 02:23:54.660]  Ain't my business.
[02:23:55.401 --> 02:23:56.562]  Ain't my business.
[02:23:57.002 --> 02:23:57.903]  I'm an American.
[02:23:58.003 --> 02:24:03.327]  Believe in people like George Washington, that lowlife pieces of garbage like you never would.
[02:24:03.347 --> 02:24:06.390]  And I can't say the other word because I don't want to get censored.
[02:24:07.010 --> 02:24:08.672]  So listen, support InfoWars.
[02:24:08.692 --> 02:24:09.432]  We'll be right back.
[02:24:10.893 --> 02:24:12.875]  Hey, great being on the Alex Jones Show.
[02:24:13.615 --> 02:24:15.937]  And again, do what you can to support InfoWars.
[02:24:15.957 --> 02:24:22.842]  Go to InfoWarsStore.com and they have great products that you can use.
[02:24:23.763 --> 02:24:27.406]  And not only to use for yourself, to help yourself, but really to help InfoWars.
[02:24:27.986 --> 02:24:29.067]  So we're at a critical time.
[02:24:29.087 --> 02:24:30.508]  Again, they're taking us to war.
[02:24:31.209 --> 02:24:32.089]  It's already started.
[02:24:32.330 --> 02:24:39.075]  I started telling you about that little jerky looking clown, Coons, saying it's our duty to get involved in Ukraine.
[02:24:39.906 --> 02:24:42.287]  The American people cannot turn away from this tragedy.
[02:24:42.307 --> 02:24:43.887]  Who are you to tell me that?
[02:24:46.868 --> 02:24:52.090]  I think the history of the 21st century turns on how fiercely we defend freedom in Ukraine.
[02:24:53.210 --> 02:24:55.571]  And that Putin will only stop when we stop them.
[02:24:55.951 --> 02:24:56.511]  When we?
[02:24:57.231 --> 02:24:59.452]  What you mean when we, Kimo Sabe?
[02:25:00.672 --> 02:25:01.693]  What do you mean we?
[02:25:02.853 --> 02:25:03.953]  Who are the we?
[02:25:04.834 --> 02:25:06.074]  Clown boy Coons.
[02:25:06.654 --> 02:25:07.274]  Who are the we?
[02:25:07.334 --> 02:25:07.914]  Not you.
[02:25:08.535 --> 02:25:09.435]  You're no fighter.
[02:25:11.041 --> 02:25:22.143]  You're one of these little sick-minded freaks who have turned our Constitution and Bill of Rights into blasphemy.
[02:25:24.044 --> 02:25:25.444]  No foreign entanglements.
[02:25:25.464 --> 02:25:38.247]  A man, George Washington, a real man that was president, not like these boys, like Draft Dodger Biden, who talks so tough, but wouldn't go fight, or Trump.
[02:25:40.475 --> 02:25:42.155]  Talks tough but wouldn't go fight.
[02:25:42.175 --> 02:25:44.516]  Or Obama.
[02:25:45.256 --> 02:25:46.977]  But he talks so proper, folks.
[02:25:47.997 --> 02:25:49.957]  But wouldn't go fight but loved to kill.
[02:25:51.338 --> 02:25:52.038]  Like Clinton.
[02:25:53.918 --> 02:25:55.559]  Loved to kill but didn't fight.
[02:25:57.839 --> 02:26:00.560]  Like Johnson, who loved to kill and didn't fight.
[02:26:02.101 --> 02:26:04.621]  Like Nixon, who loved to kill but didn't fight.
[02:26:04.641 --> 02:26:07.462]  Or Kennedy.
[02:26:09.153 --> 02:26:12.215]  Oh, he knew what it was to fight and didn't want to kill.
[02:26:12.535 --> 02:26:13.376]  But they killed him.
[02:26:14.416 --> 02:26:15.977]  Yep, Cuban Missile Crisis.
[02:26:16.177 --> 02:26:17.438]  Yeah, let's make a deal over here.
[02:26:17.858 --> 02:26:19.499]  We'll pull the missiles out of Turkey.
[02:26:20.059 --> 02:26:21.901]  Russia, you pull them out of Cuba.
[02:26:22.081 --> 02:26:23.101]  Okay, we got a deal.
[02:26:24.222 --> 02:26:24.922]  Jack, you're dead.
[02:26:27.844 --> 02:26:31.066]  Eight months after they killed him, Lyndon Johnson took us to the Vietnam War.
[02:26:33.267 --> 02:26:34.168]  He was against that too.
[02:26:37.458 --> 02:26:38.759]  No foreign entanglements.
[02:26:38.899 --> 02:26:40.320]  Ukraine is in our business.
[02:26:40.741 --> 02:26:43.022]  It's been going on back and forth with Russia forever.
[02:26:43.443 --> 02:26:45.464]  Our country's rotted to nothing.
[02:26:47.066 --> 02:26:48.647]  It's going down big and hard.
[02:26:48.687 --> 02:26:50.769]  Again, look at what this country looks like.
[02:26:52.270 --> 02:26:52.450]  Yep.
[02:26:54.091 --> 02:26:55.893]  You know, by the way, I have a photograph.
[02:26:57.554 --> 02:26:58.955]  When I come back, I'll show it.
[02:26:59.135 --> 02:27:03.839]  Me and John Connolly, the guy that took the bullet in the back, sitting in front of Kennedy.
[02:27:05.499 --> 02:27:06.560]  He wanted to meet me back in 1992.
[02:27:06.660 --> 02:27:10.562]  I have a picture of me, him and his wife in front of the Book Depository.
[02:27:12.744 --> 02:27:17.407]  Anyway, we're walking back into the Book Depository, walking back into the Anatole Hotel.
[02:27:18.067 --> 02:27:21.930]  In the lobby, he looked at me, he said, you know, I read your book, Trend Tracking, fine piece of work.
[02:27:22.590 --> 02:27:26.193]  And I know your heart's in the right place, but you don't have a clue what's going on.
[02:27:27.193 --> 02:27:28.654]  And neither do the American people.
[02:27:29.535 --> 02:27:32.437]  Because if they did, there'd be a revolution in this country.
[02:27:33.399 --> 02:27:38.981]  This is the guy that was a Democratic governor that took the bullet in the back, sitting in front of Kennedy.
[02:27:39.801 --> 02:27:47.884]  And he was also the Treasury Secretary under Richard Nixon, Republican, that took us off the gold standard.
[02:27:49.965 --> 02:27:51.425]  We're in the fight for our lives.
[02:27:51.445 --> 02:27:55.947]  I was reading that Coon Goon article.
[02:27:57.608 --> 02:28:11.912]   Over the weekend, the Times reported that British Special Air Forces Soldiers have been deployed to Ukraine to train Ukrainian forces on anti-tank weapons provided by London.
[02:28:13.893 --> 02:28:15.334]  Oh yeah, they're just going there to train.
[02:28:15.354 --> 02:28:16.435]  They're not going there to fight.
[02:28:17.395 --> 02:28:29.362]  Could you imagine if Russia sent troops into Iraq and into Libya and into Afghanistan and China to fight the Americans?
[02:28:31.107 --> 02:28:33.669]  For illegally invading these foreign countries.
[02:28:35.670 --> 02:28:42.654]  And now these officials, official pieces of garbage, are telling us what to do and how to do it?
[02:28:43.535 --> 02:28:44.995]  When you haven't won a war since?
[02:28:47.097 --> 02:28:54.721]  Missile strikes hit Ukraine's key western city of Lviv, roughly 40 miles from Polish border.
[02:28:58.063 --> 02:29:01.842]   The besieged eastern city of Mariupol Fight to the end?
[02:29:01.862 --> 02:29:02.482]  What's the end?
[02:29:02.441 --> 02:29:10.800]   fighting between Russian and Ukraine forces, despite heavy human toll, Maripol has refused
[02:29:10.800 --> 02:29:21.361]   Russia's demand to surrender, with Ukrainian forces vowing, quote, "to fight till the end."
[02:29:21.361 --> 02:29:23.081]  Fight to the end?
[02:29:23.081 --> 02:29:27.081]  What's the end?
[02:29:27.081 --> 02:29:29.721]  Is the end death?
[02:29:29.721 --> 02:29:38.520]  Is it willing to fight to the end or negotiate for peace?
[02:29:39.518 --> 02:29:46.004]  To me, hey, I'd rather negotiate for peace than fight to the end.
[02:29:46.785 --> 02:29:47.385]  The end.
