[00:00:04.086 --> 00:00:09.368]  Here we are, right in the center of the fight, live Sunday, December 18, 2022.
[01:12:12.742 --> 01:12:14.743]  But it's force-fed.
[01:12:17.804 --> 01:12:22.406]  So that's a microcosm of what we're dealing with.
[01:12:24.547 --> 01:12:26.367]  And that's why they force idiocy.
[01:12:26.487 --> 01:12:31.249]  That's why they force oxymoronic garbage with no logic that's not common sense.
[01:12:32.370 --> 01:12:38.372]  In wrestling, and in cycling, and in swimming, and in basketball, and every other great sport.
[01:12:40.179 --> 01:13:00.224]  Where people go to learn to compete and empower themselves, they go, and you're a girl that's in the finals, and you've already beaten over 100 other girls, and you're 15 years old, and you're at the state finals, and you walk out there for your wrestling match, and there's a biological male who breaks your arm.
[01:13:02.785 --> 01:13:09.567]  And they sit there and laugh because they want to sell absurdity to see what they can get away with.
[01:13:11.877 --> 01:13:13.078]  And of course, it's Connecticut.
[01:13:13.578 --> 01:13:14.258]  So liberal.
[01:13:14.778 --> 01:13:15.439]  So loving.
[01:13:15.959 --> 01:13:16.639]  So trendy.
[01:13:17.380 --> 01:13:20.661]  Oh, we're going to let guys play basketball against girls.
[01:13:21.882 --> 01:13:24.163]  We're going to let guys be in the boxing classes.
[01:13:24.503 --> 01:13:27.585]  We're going to let guys go in their showers.
[01:13:28.205 --> 01:13:32.207]  Because if we can do that, we can do anything.
[01:13:32.227 --> 01:13:54.731]   There's thousands of cases you see in the news every few days, but remember the one a few months ago where a convicted pedophile at an Asian spa A South Korean spa where women go with their mothers, their grandmothers, their kids, and they go get their facials, and they work out, and they go get in hot tubs, and they steam, and a dude comes in and starts jacking off right in front of them.
[01:13:56.112 --> 01:13:57.933]  And the news is like, well, he's a woman.
[01:13:57.993 --> 01:13:58.914]  He's allowed to.
[01:14:00.355 --> 01:14:05.238]  Again, it's all about what can they get away with.
[01:14:08.607 --> 01:14:12.490]  Court rules against biological females over Connecticut transgender athlete policy.
[01:14:13.330 --> 01:14:31.483]  A three-judge appellate panel, same one that let the fraudulent trials against me go forward, on Friday dismissed a challenge to Connecticut's transgender athlete policy after a group of biological females said it was unfair that they have to race against biological males who identify as female.
[01:14:33.803 --> 01:14:35.264]  In the decision of the 2nd U.S.
[01:14:35.284 --> 01:14:49.110]  Circuit Court of Appeals in New York, upheld a lower court judge's dismissal of a lawsuit challenging the policy brought by four female runners opposing letting transgender athletes compete in high school sports from swimming to track to basketball.
[01:14:49.470 --> 01:15:01.495]  According to the judges, the girls lacked standing to sue, saying the fact that they were denied scholarships for biological males, speculative.
[01:15:04.335 --> 01:15:11.699]  How's that empowering women and our daughters to not let them get scholarships so some dude that went and beat them up gets it?
[01:15:16.061 --> 01:15:16.662]  Here's another one.
[01:15:17.762 --> 01:15:24.346]  Oh, it's not just the race for brain implants with old Elon Musk hanging out with Jared Kushner over at the World Cup.
[01:15:24.986 --> 01:15:30.289]  Gates and Bezos invest in Australian designed brain implant.
[01:15:31.573 --> 01:15:40.141]  Billionaires Bill Gates and Jeff Bezos are betting on a New York-based Synchron to answer to Elon Musk's Neuralink.
[01:15:41.102 --> 01:15:42.423]  But they're carrying it out in Australia.
[01:15:43.044 --> 01:15:56.817]  Founded by Australian professors Tom Oxley and Nick Opie, the company on December 16th announced it had a $110 million signing, see funding round, including Bezos and Gates for their brain chip.
[01:16:01.767 --> 01:16:05.849]  And who are they tapping to be the World Health Organization's Chief Scientist?
[01:16:06.409 --> 01:16:12.171]  The lead UK lockdown advisor, Jeremy Farrer, who promoted all the lies.
[01:16:12.511 --> 01:16:16.273]  He's being promoted right to the top for a job well done.
[01:16:16.593 --> 01:16:22.015]  Well, I hope with a collapsed society, you have some place to spend your money, idiot.
[01:16:23.076 --> 01:16:26.017]  And then this report, and a lot more when we come back.
[01:16:27.097 --> 01:16:30.299]  Electric car charging twice as expensive as gas.
[01:16:31.161 --> 01:16:33.323]  In studies around the world, including Norway.
[01:16:33.343 --> 01:16:36.085]  Because it's not meant to replace the cars.
[01:16:37.066 --> 01:16:42.630]  It's meant to ban the cars that work and give you cars that don't to end the average person having a car.
[01:16:43.011 --> 01:16:48.335]  I've been saying that for years, but now Klaus Schwab said last week, we are getting rid of personal cars.
[01:16:48.915 --> 01:16:51.858]  We have decided no more cars for you.
[01:16:53.199 --> 01:16:55.360]  And if you roll over, you deserve what you get.
[01:16:55.380 --> 01:16:55.921]  We'll be right back.
[01:17:00.006 --> 01:17:02.987]  Final segment of the Alex Jones Show Sunday edition.
[01:17:03.007 --> 01:17:10.609]  I have Owen Schroer taking over here in about 13 minutes with Sunday Live, 6 to 8 p.m.
[01:17:10.469 --> 01:17:17.469]  Central Standard Time.
[01:17:17.469 --> 01:17:22.189]   All right, I want to talk about, before I hit this final news, what they don't want.
[01:17:22.189 --> 01:17:32.188]  [BLANK_AUDIO]
[01:17:23.857 --> 01:17:31.962]  The power structure doesn't want independent media when they stage terror attacks, or they lie about WMDs, or they stage a mass shooting, or whatever it is they do.
[01:17:32.382 --> 01:17:36.905]  They don't want somebody watching and calling them out when it happens that changes the narrative.
[01:17:36.945 --> 01:17:39.587]  They want narrative control for the general public.
[01:17:41.087 --> 01:17:46.771]  Now I've studied 9-11 that happened 20 plus years ago, probably more than anybody out there, other than those that did it.
[01:17:48.404 --> 01:17:50.024]  We're not saying radical Islam doesn't exist.
[01:17:50.064 --> 01:17:52.765]  We're not saying that Bin Laden wasn't a real person.
[01:17:52.785 --> 01:18:07.889]  We're saying there were criminal elements in our government, aiding and abetting at many levels, and that the Chanksville plane was shot down, and that there was a plane that they were trying to send to the Capitol, and that the witnesses all saw a cruise missile hit the Pentagon in no wreckage.
[01:18:08.229 --> 01:18:09.589]  And even CNN reported that.
[01:18:10.745 --> 01:18:13.807]  But see, they can easily cover that up if nobody's calling it out.
[01:18:14.167 --> 01:18:16.568]  They can sweep it under the rug like that day, that afternoon.
[01:18:17.028 --> 01:18:19.050]  I've been on air since it happened early in the morning.
[01:18:19.770 --> 01:18:20.911]  I want a pizza.
[01:18:21.891 --> 01:18:23.692]  It was a pizza place like two miles from my house.
[01:18:24.312 --> 01:18:27.994]  I got in the car and I drove to the pizza place to pick the pizza up by order.
[01:18:29.856 --> 01:18:32.757]  And I listened to CBS Radio back when they still had CBS Radio.
[01:18:32.777 --> 01:18:33.918]  It went away like a year later.
[01:18:35.419 --> 01:18:42.121]   And they said the decision's been made to blow up with a controlled demolition, Building 7, And they're going to blow it up in five minutes.
[01:18:43.262 --> 01:18:46.164]  So I go back on air and I go, well I heard them on air say they're going to blow up Building 7.
[01:18:47.145 --> 01:18:49.086]  And back then they didn't web archive stuff.
[01:18:49.126 --> 01:18:50.768]  And I said that, people thought I was crazy.
[01:18:51.168 --> 01:19:01.495]  But years later they released CNN, BBC, NPR, CBS Newscast saying, we've blown up Building 7 to protect the other buildings.
[01:19:02.056 --> 01:19:03.117]  And they call it a conspiracy theory.
[01:19:04.005 --> 01:19:05.066]  But we have the clips now.
[01:19:05.306 --> 01:19:06.166]  You can find those clips.
[01:19:06.487 --> 01:19:07.727]  They don't want that to exist.
[01:19:07.968 --> 01:19:12.590]  They want to be able to gaslight you for whatever really happened on 9-11 so you never ask those questions.
[01:19:13.351 --> 01:19:19.095]  So here's a clip from the past with the CNN reporter saying he saw no plane hit the building.
[01:19:19.135 --> 01:19:19.455]  Here it is.
[01:19:20.758 --> 01:19:23.460]  CNN's military affairs correspondent, Jamie McIntyre.
[01:19:23.480 --> 01:19:26.862]  Jamie, you got very close to where that plane went down.
[01:19:27.262 --> 01:19:27.923]  That's right, Judy.
[01:19:27.943 --> 01:19:31.345]  A while ago, I walked right up to next to the building.
[01:19:32.206 --> 01:19:34.227]  Firefighters were still trying to put out the blaze.
[01:19:34.267 --> 01:19:37.689]  The fire, by the way, is still burning in some parts of the Pentagon.
[01:19:38.090 --> 01:19:41.672]  And I took a look at the huge gaping hole that's in the sideway.
[01:19:41.752 --> 01:19:47.756]  But from my close-up inspection, there's no evidence of a plane having crashed anywhere near the Pentagon.
[01:19:47.576 --> 01:19:53.875]   The only sight is the actual side of the building that's crashed in and as I said the only pieces left
[01:19:53.875 --> 01:19:57.876]   that you can see are small enough that you could pick up in your hand.
[01:19:57.876 --> 01:20:02.876]   There are no large tail sections, wing sections, fuselage, nothing.
[01:20:02.876 --> 01:20:04.876]  Nothing.
[01:20:04.876 --> 01:20:07.876]  Nothing in a plane.
[01:20:08.461 --> 01:20:09.761]  Nothing to indicate a plane hit.
[01:20:10.242 --> 01:20:11.502]  Now, do we know exactly what happened?
[01:20:11.542 --> 01:20:11.742]  No.
[01:20:12.382 --> 01:20:13.963]  But we know we're being lied to.
[01:20:14.003 --> 01:20:15.524]  I can show you ten clips.
[01:20:16.204 --> 01:20:20.106]  BBC had five of them saying, yeah, they're blowing the building up.
[01:20:20.366 --> 01:20:22.366]  I talked to cops who weren't involved.
[01:20:22.807 --> 01:20:24.948]  The media spun it like, Jones says cops blew it up.
[01:20:24.988 --> 01:20:29.149]  No, they were there and heard the ten-second countdown by the Red Cross.
[01:20:30.470 --> 01:20:31.290]  Yeah, the Red Cross.
[01:20:31.310 --> 01:20:32.811]  That's CIA front group.
[01:20:33.691 --> 01:20:37.886]   So, ladies and gentlemen, This is what we're talking about.
[01:20:38.206 --> 01:20:50.949]  And that's why they don't want us on air, so they can do whatever they want, whenever they want, however they want, and we won't have memories and be able to call it up when Biden said, when I get elected, surge the border, we're getting rid of the U.S.
[01:20:50.989 --> 01:20:51.269]  border.
[01:20:52.389 --> 01:20:53.989]  Now he's like, I'm controlling the border.
[01:20:54.249 --> 01:20:55.389]  The border is just fine.
[01:20:55.449 --> 01:20:55.609]  Why?
[01:20:55.629 --> 01:20:56.569]  There's not an emergency.
[01:20:56.970 --> 01:20:58.310]  We're just going to legalize everybody.
[01:20:58.550 --> 01:21:00.550]  We have him saying he broke it.
[01:21:01.290 --> 01:21:04.191]  They don't want that clip scene that we played it Friday.
[01:21:04.211 --> 01:21:04.851]  See if we can find it.
[01:21:06.255 --> 01:21:17.302]  So that's what they hate about this show, is that we're reminding people that have forgotten and got caught up in what's going on what was said a few years before.
[01:21:18.403 --> 01:21:19.604]  Here's a clip of Biden.
[01:21:21.312 --> 01:21:23.014]  I'm proud to have served with him.
[01:21:23.374 --> 01:21:27.598]  What I would do as president is several more things, because things have changed.
[01:21:28.018 --> 01:21:32.683]  I would in fact make sure that there is, we immediately surge to the border.
[01:21:33.043 --> 01:21:34.704]  All those people are seeking asylum.
[01:21:34.945 --> 01:21:35.926]  They deserve to be heard.
[01:21:35.946 --> 01:21:36.806]  That's who we are.
[01:21:37.147 --> 01:21:41.030]  We're a nation that says if you want to flee, and you're fleeing oppression, you should come.
[01:21:43.252 --> 01:21:46.055]  But they said last week the border's controlled and he did not say come here.
[01:21:46.806 --> 01:21:47.547]  But you saw it.
[01:21:47.587 --> 01:21:51.330]  See, they don't want us here to call them out.
[01:21:51.550 --> 01:21:52.251]  That's all we do.
[01:21:52.291 --> 01:21:52.991]  We're not heroic.
[01:21:53.352 --> 01:21:53.972]  We're just like you.
[01:21:54.012 --> 01:21:54.813]  We're sick of lies.
[01:21:54.893 --> 01:21:56.314]  But we're working for you.
[01:21:57.856 --> 01:21:59.137]  We belong to you.
[01:22:00.837 --> 01:22:03.739]  We are fighting for you because we have similar interests.
[01:22:04.060 --> 01:22:05.260]  We care about justice and freedom.
[01:22:05.300 --> 01:22:09.724]  That's why you've got to take the live show links tonight on your email and your text message.
[01:22:09.944 --> 01:22:15.208]  Why you've got to tell random people to tune in to InfoWars.com because they don't let it be promoted anywhere online.
[01:22:15.588 --> 01:22:16.609]  You've got to go to the site.
[01:22:18.143 --> 01:22:23.105]  And tell others, when you tell them to go to the site, that they should tell others to go to the site and tell them to go to the site.
[01:22:23.425 --> 01:22:25.486]  That's how we get around the censorship.
[01:22:25.766 --> 01:22:27.106]  That's how we don't give up.
[01:22:27.346 --> 01:22:28.186]  That's how we win.
[01:22:28.247 --> 01:22:29.787]  And we're so close.
[01:22:30.047 --> 01:22:32.728]  They have grand juries open to indict the U.N.
[01:22:32.748 --> 01:22:33.888]  with the open borders in Texas.
[01:22:34.149 --> 01:22:36.509]  And grand juries in Florida for the poison shots.
[01:22:36.569 --> 01:22:37.590]  And the world's waking up.
[01:22:37.810 --> 01:22:39.390]  We're kicking their ass!
[01:22:41.751 --> 01:22:46.753]  But with our hands tied behind our backs, we can do so much more together.
[01:22:48.462 --> 01:22:51.544]  Now look at this out of Norway, and it's the same here in the studies.
[01:22:52.224 --> 01:22:56.566]  It takes four times the carbon to make an electric car on average.
[01:22:57.387 --> 01:23:01.689]  On average, the electric car does not start using less carbon until 60,000 miles.
[01:23:02.449 --> 01:23:05.071]  But it doesn't matter because carbon's good and makes the atmosphere.
[01:23:07.372 --> 01:23:09.193]  But it's twice as expensive now.
[01:23:10.003 --> 01:23:14.045]  And in places like California, they're saying, don't charge your car today, there's not enough power.
[01:23:14.545 --> 01:23:17.126]  They're not getting rid of gas cars to replace them.
[01:23:17.386 --> 01:23:20.027]  They're getting rid of all the cars for the general public.
[01:23:20.367 --> 01:23:24.369]  As Klaus Schwab said two weeks ago, we're getting rid of private ownership of cars.
[01:23:24.709 --> 01:23:26.250]  You'll own nothing and you'll like it.
[01:23:26.270 --> 01:23:26.770]  Remember that?
[01:23:28.371 --> 01:23:31.732]  Electric car charging twice as expensive as gas in Norway.
[01:23:31.772 --> 01:23:33.833]  Story by Kit Daniels on Infowars.com.
[01:23:35.501 --> 01:23:41.307]  Electric car charging is costing drivers twice as much as gasoline fill-up in Norway due to local government.
[01:23:41.727 --> 01:23:42.949]  And it just goes on from there.
[01:23:43.449 --> 01:23:44.350]  It's a scam.
[01:23:44.750 --> 01:23:47.313]  We've got this article by Brandon Smith at Alt-Market.
[01:23:47.914 --> 01:23:50.897]  Leftists aren't capable of surviving economic collapse.
[01:23:51.217 --> 01:23:51.958]  Here's why.
[01:23:52.278 --> 01:23:57.123]  And it goes over in a big, thick article how statistically the average leftist is in debt.
[01:23:58.010 --> 01:23:59.391]  Lives in a high-rise apartment.
[01:23:59.731 --> 01:24:01.112]  Doesn't know how to grow vegetables.
[01:24:01.352 --> 01:24:02.393]  Doesn't know how to fight.
[01:24:02.853 --> 01:24:03.753]  Has no skills.
[01:24:03.973 --> 01:24:05.574]  Has a workless college degree.
[01:24:05.854 --> 01:24:08.216]  And doesn't know what planet they're on!
[01:24:10.477 --> 01:24:12.538]  And believes men can compete in women's sports.
[01:24:13.419 --> 01:24:15.700]  Because they're the brainwashed cult members.
[01:24:16.020 --> 01:24:16.941]  They're the fallen.
[01:24:16.961 --> 01:24:17.901]  We don't hate them.
[01:24:18.441 --> 01:24:19.562]  They're the ones that were weak.
[01:24:19.862 --> 01:24:20.923]  That were susceptible.
[01:24:22.116 --> 01:24:25.097]  But we can't sit there and look at those that fell to the propaganda.
[01:24:25.417 --> 01:24:29.399]  We've got to be the leaders at the city councils and the school boards.
[01:24:29.799 --> 01:24:31.359]  They hate you going to those and speaking.
[01:24:31.540 --> 01:24:32.700]  Those videos go viral.
[01:24:32.880 --> 01:24:35.361]  Whether you reach a thousand or ten million, do it!
[01:24:35.821 --> 01:24:36.641]  You're the leaders.
[01:24:37.082 --> 01:24:40.023]  You are the people that have to take action or we have no hope.
[01:24:42.744 --> 01:24:43.584]  And then I end with this.
[01:24:43.704 --> 01:24:44.724]  I'll be back tomorrow at 11 a.m.
[01:24:44.764 --> 01:24:45.905]  Central Owens about to take over.
[01:24:46.624 --> 01:24:48.665]  I didn't hit the Twitter files and all that, but I will.
[01:24:49.226 --> 01:24:51.147]  Okay, yeah, Twitter's an FBI subsidiary.
[01:24:51.187 --> 01:24:51.787]  We already know that.
[01:24:52.127 --> 01:24:53.068]  So are the other big tech.
[01:24:53.328 --> 01:24:54.709]  The government is illegal.
[01:24:54.949 --> 01:24:56.069]  The government's hijacked.
[01:24:56.290 --> 01:24:57.370]  The government's compromised.
[01:24:57.570 --> 01:25:00.292]  The government's run by New World Order operatives.
[01:25:02.073 --> 01:25:05.775]  And Kissinger comes out and says, we're gonna have nuclear war if the peace deal isn't reached.
[01:25:05.795 --> 01:25:06.896]  This has escalated too far.
[01:25:07.216 --> 01:25:07.936]  Because it has.
[01:25:08.216 --> 01:25:10.558]  And even the media criticizes him and says, no!
[01:25:10.898 --> 01:25:12.319]  We need nuclear war!
[01:25:16.832 --> 01:25:17.432]  As the U.S.
[01:25:17.492 --> 01:25:20.274]  sends infantry unit to the border with Russia.
[01:25:22.655 --> 01:25:24.776]  Sunday live, ladies and gentlemen.
[01:25:26.276 --> 01:25:27.597]  Nuclear war imminent.
[01:25:28.177 --> 01:25:29.878]  Lawrence Kissinger, peace not reached.
[01:25:30.578 --> 01:25:31.299]  That's the reality.
[01:25:31.319 --> 01:25:32.939]  And this is, I mentioned it, here it is.
[01:25:33.860 --> 01:25:35.381]  The Twitter files, part six.
[01:25:35.781 --> 01:25:37.562]  Twitter, the FBI subsidiary.
[01:25:38.722 --> 01:25:40.343]  Big, giant, 30-page article.
[01:25:41.653 --> 01:25:46.214]  With the FBI running Twitter and suppressing people and bullying people illegally.
[01:25:46.774 --> 01:25:50.155]  The government interfaces with corporations to silence the people.
[01:25:51.195 --> 01:25:52.395]  Huge victory is coming out.
[01:25:53.536 --> 01:25:58.157]  Social media coordinated between DOG and FBI is not limited to Twitter, Devin Nunes warns.
[01:25:58.177 --> 01:25:59.037]  Of course it's not.
[01:25:59.057 --> 01:26:01.817]  This is a coup, an information war.
[01:26:02.318 --> 01:26:06.979]  EU threatens to sanction Musk's Twitter over temporary suspension of establishment media journalists.
[01:26:07.219 --> 01:26:11.398]   And then Musk comes out and says, well, Yeah, they doxed my son.
[01:26:11.418 --> 01:26:12.519]  Yeah, they harassed me.
[01:26:12.559 --> 01:26:13.540]  Yeah, they came after me.
[01:26:14.021 --> 01:26:15.362]  Yeah, that's a bannable offense.
[01:26:15.422 --> 01:26:17.064]  It's not free speech, it's harassment.
[01:26:17.564 --> 01:26:22.069]  But since the people voted to reinstate him, I'm gonna reinstate him, okay?
[01:26:22.089 --> 01:26:27.254]  But you don't reinstate me, because you know I'm exposing the whole agenda.
[01:26:29.376 --> 01:26:32.900]  Trump vows to ban feds from targeting misinformation of elected.
[01:26:33.894 --> 01:26:35.597]  But you didn't do it when you were in there, Trump.
[01:26:36.098 --> 01:26:40.164]  Two-thirds of voters believe social media engaged in politically motivated censorship.
[01:26:40.464 --> 01:26:41.787]  They believe two-thirds?
[01:26:42.067 --> 01:26:43.028]  It's all admitted!
[01:26:43.750 --> 01:26:45.572]  They demand Congress take action.
[01:26:46.906 --> 01:26:48.288]  Another great article from Zero Hedge.
[01:26:48.608 --> 01:26:50.089]  The Tea Party, 15 years later.
[01:26:50.570 --> 01:27:00.200]  As negative as this all is, we can track back the origins of Infowars and Ron Paul and more to the whole resistance, not just here in America, but worldwide.
[01:27:00.501 --> 01:27:09.282]   We are spearheading that operation and I know people don't You know, take things for what they're worth when it's right in front of them.
[01:27:10.002 --> 01:27:13.963]  And a province not known as our own country, but this operation serves to stay on air.
[01:27:14.263 --> 01:27:19.584]  So spread the word about it, pray for it, and buy products at InfoWarsTore.com if you want to keep us on air.
[01:27:19.824 --> 01:27:27.846]  Because we are in your hands, and these are products you need, like Vitamin Mineral Fusion and others, right now at InfoWarsTore.com.
[01:27:28.087 --> 01:27:30.087]  Owen Schroeder takes over in two minutes.
[01:27:30.087 --> 01:27:40.087]  [BLANK_AUDIO]
[01:27:40.087 --> 01:27:50.087]  [MUSIC]
[01:27:50.087 --> 01:27:52.087]  This is a symbiotic relationship.
[01:27:52.002 --> 01:27:58.389]  Now all of our products over the years have been great, but being in the supplement business for more than a decade, we've really learned the ins and outs of it.
[01:27:58.909 --> 01:28:04.851]  And finally, we have discovered the actual source of almost all of our high-end products.
[01:28:05.251 --> 01:28:07.731]  We were just simply getting it through National Middlemen.
[01:28:08.252 --> 01:28:11.692]  So now we're able to bring you these incredible formulas.
[01:28:11.993 --> 01:28:14.533]  Some of them are clones of nationwide bestsellers.
[01:28:14.893 --> 01:28:17.954]  Some of them are our own proprietary blends and formulas.
[01:28:18.214 --> 01:28:22.355]  But all of them are the highest quality ingredients available in the world.
[01:28:22.815 --> 01:28:31.478]   Ladies and gentlemen, InfoWars MD is Absolutely revolutionary, because we're cutting out the middleman, because we have a deal with the national manufacturer.
[01:28:31.498 --> 01:28:41.981]  We're able to give you prices on things well above 50% off in almost every case what you're going to find on store shelves or on other prominent websites.
[01:28:42.341 --> 01:28:50.524]  So you're getting high-end supplements at a massive, massive discount and funding the InfoWar and freedom of speech in the battle against the globalists.
[01:28:50.764 --> 01:28:52.925]  That is the definition of a 360 win.
[01:28:53.185 --> 01:28:59.407]  So check out the first of 10 amazing products war coming at InfoWarStore.com from InfoWarsMD.
[01:28:59.927 --> 01:29:03.789]  Superfood greens, the highest rated, so incredibly good for you.
[01:29:03.929 --> 01:29:08.150]  Ageless Vitality Collagen, so good for your skin and the rest of your body.
[01:29:08.590 --> 01:29:09.351]  Better mood.
[01:29:10.131 --> 01:29:14.592]  It's got all the jam-packed ingredients to naturally boost your immune and have incredible energy.
[01:29:14.953 --> 01:29:21.475]  Nitric Boost, with key chemicals that naturally boost nitrous oxide in your blood that's so good for your cardiovascular system and your heart.
[01:29:21.795 --> 01:29:24.135]  Mushroom Maxx, incredible nootropic.
[01:29:24.756 --> 01:29:31.257]  Three new full-spectrum CBDs in 10mg, 25mg, and 1,000mg.
[01:29:31.478 --> 01:29:39.340]  Turmeric 95, the highest quality, all available at up to 50% off what they're sold for in stores, exclusively at InfoWarsTore.com.
