[00:00:00.169 --> 00:00:01.450]  Is the pandemic over?
[02:15:06.685 --> 02:15:09.467]  BrainForce Ultra, back in stock, InfoWarsTore.com.
[02:15:11.708 --> 02:15:13.870]  Hey, great being on the Alex Jones Show!
[02:15:14.810 --> 02:15:19.615]  Remember everybody, do what you can to support InfoWars.
[02:15:21.057 --> 02:15:25.922]  We need this information now more than ever.
[02:15:27.703 --> 02:15:31.407]  Things are going down hard, they're going down fast, and they're going down big.
[02:15:32.669 --> 02:15:34.871]  And censorship is the way of the world.
[02:15:37.116 --> 02:15:42.880]  You're not allowed to say what you want to say, believe what you want to believe, do what you want to do.
[02:15:43.420 --> 02:15:44.661]  We're in America.
[02:15:45.462 --> 02:15:47.163]  A-M-E-R-I-K-A.
[02:15:47.563 --> 02:15:48.143]  That's right.
[02:15:48.904 --> 02:15:51.065]  Got little clowns telling us what to do.
[02:15:51.846 --> 02:15:58.430]  I gotta tell you, Republicans and Democrats, I call them repulsive-kins and demo-craps.
[02:15:59.671 --> 02:16:00.832]  Ah, we need a whole new way.
[02:16:01.492 --> 02:16:05.421]   All it is is more of the same junk in a different Different junk food.
[02:16:05.441 --> 02:16:07.903]  What, do you want to go to McDonald's or do you want to go to Burger King?
[02:16:08.603 --> 02:16:10.205]  Yeah, Republicans and Democrats.
[02:16:10.225 --> 02:16:11.185]  That's the way I look at it.
[02:16:11.205 --> 02:16:12.386]  I've had it with these clowns.
[02:16:12.706 --> 02:16:13.267]  I've had it.
[02:16:14.968 --> 02:16:18.591]  And going on to what's going on, you know, they had George Carlin over there.
[02:16:18.711 --> 02:16:20.032]  You know, I knew his brother Patrick.
[02:16:20.052 --> 02:16:21.553]  He used to actually work for me for a while.
[02:16:22.054 --> 02:16:22.694]  Patrick Carlin.
[02:16:22.714 --> 02:16:23.475]  He just passed away.
[02:16:23.535 --> 02:16:24.376]  May he rest in peace.
[02:16:25.276 --> 02:16:26.357]  And George Carlin said it.
[02:16:26.377 --> 02:16:27.798]  It's one big club and you ain't in it.
[02:16:29.459 --> 02:16:30.180]  That's all it is.
[02:16:30.620 --> 02:16:30.981]  What do you think?
[02:16:31.001 --> 02:16:32.542]  You go to Harvard, Princeton, Yale.
[02:16:33.243 --> 02:16:34.544]  Bullets, bombs, and banks.
[02:16:35.584 --> 02:16:37.085]  Where the Deejahs shall know them.
[02:16:37.825 --> 02:16:38.886]  Oh, you remember Princeton?
[02:16:39.366 --> 02:16:41.807]  Yeah, the little arrogant boy, where you rot in hell.
[02:16:42.227 --> 02:16:44.028]  Woodrow Wilson, the former president.
[02:16:44.748 --> 02:16:48.330]  Gave us World War I. Gave us the Federal Reserve.
[02:16:49.231 --> 02:16:51.072]  Gave us taxes, federal taxes.
[02:16:51.332 --> 02:16:54.973]  Can you believe we paid federal taxes to these little clown bureaucrats?
[02:16:55.434 --> 02:16:58.895]  These little power-hungry freaks that can't get a job in the real world.
[02:16:59.295 --> 02:17:02.397]  Then they suck into the political system and tell us everything to do.
[02:17:04.295 --> 02:17:05.255]  It's a crime syndicate.
[02:17:05.275 --> 02:17:05.755]  There it is.
[02:17:05.775 --> 02:17:07.456]  I mean, who are you going to look up to?
[02:17:07.956 --> 02:17:08.656]  Mitch McConnell?
[02:17:08.676 --> 02:17:10.457]  How many chins do you need to look up to him?
[02:17:11.417 --> 02:17:12.197]  Lindsey Graham?
[02:17:12.677 --> 02:17:15.138]  Could you get a more arrogant little jerk clown than him?
[02:17:15.498 --> 02:17:15.758]  Yeah.
[02:17:15.958 --> 02:17:17.079]  How about Chucky Schumer?
[02:17:17.819 --> 02:17:18.499]  No, no, no.
[02:17:18.619 --> 02:17:21.480]  I like, I like that guy Schiff over there.
[02:17:22.040 --> 02:17:22.380]  Yeah.
[02:17:23.601 --> 02:17:24.941]  How about Nancy Pelosi?
[02:17:26.261 --> 02:17:28.262]  Look at, look at, look at the clown show you got.
[02:17:29.278 --> 02:17:34.482]  If we don't have a new way, it's just more of the same, going down big, going down hard, going down fast.
[02:17:34.843 --> 02:17:36.504]  Little Chucky Schumer!
[02:17:37.505 --> 02:17:39.166]  Little Chucky Schumer!
[02:17:39.526 --> 02:17:42.108]  A clown jerk of zero!
[02:17:42.669 --> 02:17:43.710]  Of zero!
[02:17:44.610 --> 02:17:45.952]  I'll tell you what to do!
[02:17:46.672 --> 02:17:47.993]  I'll tell you what to do!
[02:17:49.915 --> 02:17:50.715]  America!
[02:17:52.797 --> 02:17:55.159]  What a disgrace this country's become!
[02:17:57.681 --> 02:17:58.802]  People eat crap!
[02:17:59.674 --> 02:18:01.214]  And swallow crap!
[02:18:03.015 --> 02:18:04.575]  Ultra-processed, huh?
[02:18:05.215 --> 02:18:08.056]  Yeah, ultra-processed out of their mind!
[02:18:08.616 --> 02:18:10.696]  Blimped up and blown out!
[02:18:11.877 --> 02:18:14.677]  Republicans and Democrats, shove it!
[02:18:15.578 --> 02:18:16.018]  Shove it!
[02:18:16.798 --> 02:18:18.918]  Oh, you like little Georgie Bush?
[02:18:19.818 --> 02:18:22.119]  I love that little daddy's boy!
[02:18:22.379 --> 02:18:24.259]  He gave us the Iraq War!
[02:18:25.120 --> 02:18:26.500]  Based on lies!
[02:18:28.815 --> 02:18:32.517]  I like Obama, the Nobel piece-of-crap prize winner!
[02:18:33.838 --> 02:18:35.178]  I like Bill Clinton.
[02:18:37.379 --> 02:18:38.600]  Look at that little jerk!
[02:18:38.680 --> 02:18:39.921]  Mission accomplished!
[02:18:40.781 --> 02:18:42.242]  Murder accomplished!
[02:18:43.422 --> 02:18:45.263]  Murder accomplished!
[02:18:45.644 --> 02:18:47.504]  Hey, those Russians, oh boy!
[02:18:47.524 --> 02:18:50.466]  They killed a five-year-old kid over there in Ukraine!
[02:18:51.266 --> 02:18:54.048]  Yeah, the United States only killed over a million in Iraq.
[02:18:55.856 --> 02:18:57.657]  Destroyed Afghanistan!
[02:18:58.158 --> 02:18:58.438]  Hey!
[02:18:59.198 --> 02:19:03.421]  The Nobel Peace of Crap Prize winner Obama gave us the Libyan War!
[02:19:04.722 --> 02:19:07.003]  Destroyed the richest country in Africa!
[02:19:10.705 --> 02:19:12.767]  I want that guy Qaddafi out of there!
[02:19:12.827 --> 02:19:16.729]  No, Salenti, calm down and be proper like they are!
[02:19:17.210 --> 02:19:18.590]  Qaddafi has to go.
[02:19:19.071 --> 02:19:21.032]  We're bringing freedom and liberty there.
[02:19:21.880 --> 02:19:26.264]  Yeah, we're not going there because they have the most prosperous oil in the world.
[02:19:26.804 --> 02:19:28.946]  You don't have to dig down too deep to get it.
[02:19:28.966 --> 02:19:30.847]  And it's great stuff.
[02:19:31.768 --> 02:19:33.670]  Same reason we invaded Iraq!
[02:19:34.050 --> 02:19:36.072]  Same reason we're in Eastern Syria!
[02:19:36.772 --> 02:19:37.933]  Stealing their oil!
[02:19:38.394 --> 02:19:39.314]  Nocellente?
[02:19:39.575 --> 02:19:41.616]  Their major export is broccoli.
[02:19:42.057 --> 02:19:42.817]  We didn't go there.
[02:19:42.857 --> 02:19:46.740]  We brought there to bring freedom and democracy!
[02:19:48.102 --> 02:19:49.763]  What a bunch of crap!
[02:19:50.385 --> 02:19:54.326]  What a bunch of crap and crap heads leading the charge.
[02:19:54.746 --> 02:19:54.926]  Yep.
[02:19:55.746 --> 02:19:57.546]  Hey, and it's not only in the United States.
[02:19:58.207 --> 02:20:06.048]  You got this woman over there in, uh, playing a commissioner over there of, uh, the EU.
[02:20:06.808 --> 02:20:08.348]  Ursula von der Leyen.
[02:20:09.869 --> 02:20:11.949]  Former German defense minister?
[02:20:14.990 --> 02:20:16.210]  A medical doctor?
[02:20:17.248 --> 02:20:20.249]  Assume the role as President of the European Commission?
[02:20:20.269 --> 02:20:29.733]  And she said, I want to make it very clear, the sanctions on Russia are here to stay?
[02:20:29.753 --> 02:20:35.115]  I WANT TO MAKE IT VERY CLEAR!
[02:20:35.135 --> 02:20:37.656]  I AM IN CHARGE!
[02:20:38.796 --> 02:20:40.657]  I WANT TO MAKE IT CLEAR!
[02:20:41.217 --> 02:20:42.317]  YOU ARE NOTHING!
[02:20:42.918 --> 02:20:46.219]  YOU ONLY GIVE US MONEY SO I DON'T HAVE TO WORK!
[02:20:49.327 --> 02:20:51.108]  I want to make it clear!
[02:20:52.189 --> 02:20:53.830]  What do you mean you want to make it clear?
[02:20:53.850 --> 02:20:54.490]  Hey!
[02:20:54.510 --> 02:21:02.416]  I thought you have a democracy, where the people want to make it clear.
[02:21:03.156 --> 02:21:04.337]  What do you mean?
[02:21:04.357 --> 02:21:25.396]   I was the German Defense Minister, and now I am the head of the European Commission, and I want to make it clear that the sanctions we put on Russia Are destroying our country and the people are paying the price because we cut off their gas.
[02:21:29.657 --> 02:21:29.917]  Yep.
[02:21:32.058 --> 02:21:32.858]  She vowed.
[02:21:34.558 --> 02:21:38.279]  This is the time for us to show resolve!
[02:21:39.479 --> 02:21:40.880]  Not appeasement?
[02:21:41.860 --> 02:21:43.860]  Oh, not appeasement?
[02:21:44.861 --> 02:21:45.921]  You piece of crap!
[02:21:47.225 --> 02:21:49.267]  If only women were in charge!
[02:21:49.868 --> 02:21:51.469]  I'm tired of that crap!
[02:21:51.990 --> 02:21:52.530]  Shove it!
[02:21:53.311 --> 02:21:55.113]  Oh, you liked Hillary Clinton?
[02:21:55.593 --> 02:21:56.814]  She was great!
[02:21:57.355 --> 02:21:59.677]  No, I like Samantha Power.
[02:22:00.778 --> 02:22:01.959]  Oh, terrific!
[02:22:03.000 --> 02:22:04.882]  Oh no, Susan Rice.
[02:22:05.502 --> 02:22:07.825]  How about Condoleezza Rice?
[02:22:11.331 --> 02:22:13.233]  I want that guy Qaddafi out of there.
[02:22:13.313 --> 02:22:17.376]  Oh, Condoleezza Rice gave us the next mushroom cloud crap.
[02:22:18.236 --> 02:22:23.981]  And Susan Rice wanted Qaddafi out of there along with Samantha Power and Hillary Clinton.
[02:22:25.822 --> 02:22:28.985]  Black, white, green, yellow, male, female, shove it!
[02:22:29.325 --> 02:22:30.967]  Good and bad comes in all of them.
[02:22:32.568 --> 02:22:33.489]  What, are you kidding me?
[02:22:36.871 --> 02:22:37.732]  No appeasement!
[02:22:39.065 --> 02:22:40.566]  No appeasement!
[02:22:41.086 --> 02:22:41.967]  No peace!
[02:22:42.927 --> 02:22:50.191]  I am the... Oh, and now Germany is bragging that they have the biggest military in Europe.
[02:22:50.571 --> 02:22:51.472]  Heil Hitler!
[02:22:51.512 --> 02:22:52.612]  He would have loved ya!
[02:22:53.253 --> 02:22:53.633]  Yeah!
[02:22:53.653 --> 02:22:56.374]  Oh, I love the First World War better!
[02:22:56.394 --> 02:23:00.957]  Oh, who did you support over there?
[02:23:00.997 --> 02:23:01.757]  Who supported you?
[02:23:01.777 --> 02:23:02.758]  Oh, those, uh...
[02:23:03.757 --> 02:23:06.059]  Those, uh, Ukrainian Nazis?
[02:23:06.739 --> 02:23:08.800]  Aw, she must be happy as can be!
[02:23:08.820 --> 02:23:09.781]  Yeah!
[02:23:10.261 --> 02:23:12.223]  My kinda town!
[02:23:12.942 --> 02:23:13.442]  Yep.
[02:23:13.442 --> 02:23:20.422]  Yep.
[02:23:20.422 --> 02:23:21.422]  it.
[02:23:21.689 --> 02:23:24.971]  On Wednesday, she stood in a yellow and blue outfit!
[02:23:25.894 --> 02:23:29.195]  Dressed up like a clown for Ukraine!
[02:23:29.775 --> 02:23:31.696]  It's not my war!
[02:23:32.056 --> 02:23:33.976]  And it's not your war!
[02:23:34.896 --> 02:23:39.698]  It's between Russia and Ukraine, and it's been going on since 1750.
[02:23:40.678 --> 02:23:43.679]  They want to take down the statue of Catherine the Great.
[02:23:45.279 --> 02:23:46.980]  She hated the Ukrainians.
[02:23:47.460 --> 02:23:48.100]  That's in the 1700s.
[02:23:47.920 --> 02:23:51.920]  That's in the 1700s.
[02:23:51.920 --> 02:23:53.799]  Yep.
[02:23:53.799 --> 02:23:58.759]  This is not only a war unleashed by Russia against Ukraine.
[02:23:59.761 --> 02:24:03.643]  This is a war on our energy.
[02:24:03.462 --> 02:24:09.743]  Yep.
[02:24:09.743 --> 02:24:11.342]  On our values.
[02:24:11.342 --> 02:24:21.342]  [BLANK_AUDIO]
[02:24:12.388 --> 02:24:14.049]  And a war on the future.
[02:24:15.618 --> 02:24:19.660]  This is about autocracy against democracy.
[02:24:20.220 --> 02:24:20.620]  Duh!
[02:24:21.021 --> 02:24:22.521]  Duh-mocracy!
[02:24:22.541 --> 02:24:24.022]  I want!
[02:24:24.442 --> 02:24:25.163]  I will!
[02:24:25.683 --> 02:24:27.464]  That's not duh-mocracy!
[02:24:28.184 --> 02:24:28.944]  Clowny!
[02:24:30.385 --> 02:24:31.946]  It's a freak show!
[02:24:32.486 --> 02:24:36.028]  And if we don't have a new system, we're freaked out.
[02:24:36.388 --> 02:24:40.610]  And I'm spelling it just to be proper, because you gotta put a U in there.
[02:24:41.230 --> 02:24:41.550]  Yeah.
[02:24:42.131 --> 02:24:42.951]  So we're gonna be back.
[02:24:42.991 --> 02:24:44.232]  And remember, support InfoWars.
[02:24:45.845 --> 02:24:47.906]  Hey, great being on the Alex Jones Show.
[02:24:48.407 --> 02:24:51.309]  And remember everybody, do what you can to support InfoWars.
[02:24:51.929 --> 02:24:53.250]  Because they're supporting you.
[02:24:54.451 --> 02:24:56.412]  And it's stealing the truth from us.
[02:24:56.492 --> 02:24:57.253]  It's gone.
[02:24:57.933 --> 02:25:03.057]  This is, this is the, the U.S.S.A., the United Soviet States of America.
[02:25:04.046 --> 02:25:05.167]  What they've done to us.
[02:25:05.948 --> 02:25:15.935]  How dare, how dare you say anything that the government won't allow you to, when you don't agree with the crap that they're spewing out.
[02:25:17.016 --> 02:25:18.377]  That's misinformation.
[02:25:20.018 --> 02:25:22.941]  And I say that's sexist by calling it misinformation.
[02:25:22.981 --> 02:25:26.543]  Why, it should be gender information.
[02:25:27.424 --> 02:25:29.205]  Because let's really stay stupid.
[02:25:29.806 --> 02:25:33.850]   And talking about staying stupid, Biden.
[02:25:36.412 --> 02:25:37.893]  The pandemic is over.
[02:25:38.533 --> 02:25:40.875]  This is from the Cartoon News Network, CNN.
[02:25:40.915 --> 02:25:43.537]  By the way, CNN, it went on this morning.
[02:25:43.557 --> 02:25:46.299]  You know, I go to all the different sites, see what they're saying, what's going on.
[02:25:46.979 --> 02:25:50.902]  And all it was, was the whole front page was, they're burying the queen.
[02:25:51.862 --> 02:25:52.183]  Yeah.
[02:25:53.604 --> 02:25:54.424]  What do I care?
[02:25:56.806 --> 02:25:57.126]  Queen.
[02:25:59.204 --> 02:26:01.205]  What a bunch of baloney this is.
[02:26:01.586 --> 02:26:07.730]  And again, the reason they do that is so that you look up to the top.
[02:26:08.771 --> 02:26:11.833]  As George Carlin again said, it's one big club and you ain't in it.
[02:26:14.014 --> 02:26:15.495]  Pelosi's going to what?
[02:26:16.156 --> 02:26:18.017]  One of those countries over there.
[02:26:18.037 --> 02:26:20.199]  I forgot where.
[02:26:23.921 --> 02:26:24.582]  Just got there.
[02:26:27.556 --> 02:26:31.159]  They're fighting Azerbaijan and Armenia, one of those two.
[02:26:32.340 --> 02:26:38.565]  Anyway, they show the picture of her getting out of the plane, and they got a red carpet rolled out.
[02:26:40.346 --> 02:26:42.388]  They got a red carpet rolled out for her.
[02:26:42.408 --> 02:26:46.871]  I think she went to Azerbaijan or Armenia, one of those two countries.
[02:26:47.612 --> 02:26:48.713]  Just a couple of days ago.
[02:26:50.935 --> 02:26:51.815]  A red carpet.
[02:26:54.858 --> 02:26:56.299]  What's this red carpet crap?
[02:26:57.443 --> 02:26:58.723]  And what are you doing over there?
[02:26:59.604 --> 02:27:01.544]  How about minding your own damn business?
[02:27:01.904 --> 02:27:03.885]  We've got a lot of problems in this country.
[02:27:04.265 --> 02:27:09.167]  Man, I gotta tell you, the homeless people that are showing up over here, out of their mind, yelling and screaming.
[02:27:10.927 --> 02:27:11.147]  Yep.
[02:27:15.328 --> 02:27:17.289]  Why don't you mind your own business?
[02:27:18.829 --> 02:27:21.170]  Who are you to get involved in this?
[02:27:21.970 --> 02:27:23.691]  This isn't America anymore.
[02:27:25.646 --> 02:27:27.848]  Getting involved in all these foreign entanglements?
[02:27:29.929 --> 02:27:33.532]  While enriching the military-industrial complex?
[02:27:37.775 --> 02:27:38.636]  Biden, U.S.
[02:27:38.716 --> 02:27:42.018]  forces will defend Taiwan if China invades.
[02:27:42.038 --> 02:27:43.439]  Hey!
[02:27:44.440 --> 02:27:46.862]  Are you going to send Hunter to lead the charge?
[02:27:49.764 --> 02:27:50.825]  Who are you going to send?
[02:27:51.145 --> 02:27:52.166]  Oh, I got it.
[02:27:53.207 --> 02:27:57.093]   Are the United States is going to Defend?
[02:27:58.094 --> 02:27:58.575]  Taiwan?
[02:27:59.455 --> 02:28:02.498]  Hey, did a great job in winning the Vietnam War.
[02:28:03.638 --> 02:28:04.599]  No, no, I know.
[02:28:04.859 --> 02:28:09.083]  You lost that one, but you did a great job in winning the Iraq War.
[02:28:09.903 --> 02:28:11.244]  Nope, you lost that one too.
[02:28:11.905 --> 02:28:12.946]  Oh, mission accomplished.
[02:28:13.006 --> 02:28:13.526]  I forgot.
[02:28:14.607 --> 02:28:21.873]  Oh, the Afghan War that everybody forgot about because the United States has been pumping up the Ukraine War that went on for 20 years.
[02:28:22.954 --> 02:28:24.555]  That cost us over two trillion bucks.
[02:28:26.428 --> 02:28:27.529]  Oh, you lost that one too.
[02:28:28.249 --> 02:28:36.415]  But the United States is going to defend Taiwan?
[02:28:37.296 --> 02:28:37.536]  U.S.
[02:28:37.596 --> 02:28:42.299]  President Joe Biden made his comments during an interview on the 60 Minutes program.
[02:28:45.221 --> 02:28:46.642]  When asked on whether the U.S.
[02:28:46.683 --> 02:28:55.407]   forces would defend Taiwan if China invaded the island, Biden said, yes, if in fact This was an unprecedented attack.
[02:28:55.787 --> 02:28:58.788]  You mean like America's unprecedented attacks?
[02:28:59.568 --> 02:29:00.548]  Clown boy?
[02:29:00.968 --> 02:29:01.408]  B.S.
[02:29:01.628 --> 02:29:02.108]  Biden?
[02:29:03.049 --> 02:29:07.249]  You loved every war, you warmongering freak!
[02:29:08.330 --> 02:29:10.910]  You're a warmongering freak!
[02:29:12.910 --> 02:29:17.651]  Hey, but you got all those draft deferments during the Vietnam War.
[02:29:17.671 --> 02:29:22.632]  A coward with a big mouth like the rest of them.
[02:29:24.722 --> 02:29:27.004]  One draft deferment after another.
[02:29:27.024 --> 02:29:32.509]  Oh, but you're a tough guy sending other people to go die for you.
[02:29:34.150 --> 02:29:34.430]  Yep.
[02:29:35.671 --> 02:29:35.971]  U.S.
[02:29:36.031 --> 02:29:39.074]  veteran suicides far higher than reported.
[02:29:40.335 --> 02:29:41.116]  Oh, that's great.
[02:29:42.537 --> 02:29:52.425]  America's military veterans are killing themselves at more than double the rate reported by the government, wiping out the equivalent of a platoon of former troops each day.
[02:29:52.967 --> 02:30:02.469]  An extensive study has revealed an average of 24 former service members are dying each day by officially declared suicides.
[02:30:02.909 --> 02:30:05.109]  37% more than has been reported by the U.S.
[02:30:05.150 --> 02:30:13.071]  Department of Veterans Affairs, according to a study released on Saturday by a not-for-profit group called America's War Partnership, AWP.
[02:30:14.071 --> 02:30:21.893]  An additional 20 veterans on average are dying each day of, quote, self-injury mortality, such as drug overdoses.
[02:30:22.901 --> 02:30:23.461]  You know why?
[02:30:24.402 --> 02:30:42.670]  Because these poor people that believe the lies and crap spewing out of the mouths of murderous little nothing clowns like Georgie Bush and Barack Obama sent them to go fight and die.
[02:30:46.852 --> 02:30:48.653]  The war is based on lies.
[02:30:48.953 --> 02:30:50.534]  What are we doing in Syria?
[02:30:53.107 --> 02:30:55.028]  Stealing their oil, Solenti!
[02:30:55.128 --> 02:30:55.749]  Grow up!
[02:30:58.690 --> 02:31:00.131]  We have no right being there!
[02:31:00.432 --> 02:31:02.032]  Oh, we're getting ISISes!
[02:31:03.153 --> 02:31:03.914]  We're gonna melt them!
[02:31:05.815 --> 02:31:16.681]  Hey, if Syria said we want to get, uh, people that hate us and they're hanging around in the United States, and they took over California, oh, we'd love that, wouldn't we?
[02:31:18.162 --> 02:31:19.663]  No, maybe they'll take over Texas.
[02:31:19.683 --> 02:31:21.004]  There's more oil down there.
[02:31:23.334 --> 02:31:25.656]  Where are the people standing up against this?
[02:31:27.597 --> 02:31:29.139]  Where is the fight for peace?
[02:31:31.841 --> 02:31:33.402]  I launched Occupy Peace.
[02:31:33.422 --> 02:31:36.645]  I put my money in my heart where my mouth is.
[02:31:37.580 --> 02:31:45.365]  And by the way, the rally we had here on July 23rd with Judge Andrew Napolitano, Scott Ritter, Gary Null, Bill Giraldi.
[02:31:45.405 --> 02:31:46.565]  We're fighting for peace.
[02:31:46.925 --> 02:31:49.487]  And if we don't unite for peace, we're going to die for war.
[02:31:49.847 --> 02:31:51.368]  You got crazy people.
[02:31:51.468 --> 02:31:56.951]  I just read you that Vanderlynne out of her mind or whatever she is, the arrogant one.
[02:31:56.971 --> 02:31:59.653]  I just read your clown Biden's line.
[02:32:00.313 --> 02:32:03.535]  Remember, when all else fails, they take you to war.
[02:32:04.255 --> 02:32:06.777]  And this economy is failing big time.
[02:32:07.577 --> 02:32:11.319]  It was artificially propped up to fight the COVID war.
[02:32:12.479 --> 02:32:15.481]  Some $8 trillion artificially popped into it.
[02:32:19.042 --> 02:32:20.183]  And now it's drying up.
[02:32:21.963 --> 02:32:28.286]  You're looking over in Europe, the UK, throwing an F and a U in it too, and it's trying some other letter.
[02:32:29.367 --> 02:32:29.687]  Yeah.
[02:32:30.607 --> 02:32:33.228]  Yeah, Sterling's at a 37-year low.
[02:32:34.509 --> 02:32:36.930]  The lunatic loony up there in Canada.
[02:32:37.722 --> 02:32:40.284]  It just hit a 20-20 low against the dollar.
[02:32:41.285 --> 02:32:42.286]  Oh, the euro?
[02:32:43.166 --> 02:32:46.589]  Oh yeah, that's at a 20-year low against the dollar too.
[02:32:47.470 --> 02:32:51.073]  The only reason the dollar is so strong is because everything else is going down big.
[02:32:51.773 --> 02:32:53.595]  And the dollar is going to go down big too.
[02:32:55.516 --> 02:32:58.139]  Again, if we don't unite for peace, we're going to die in war.
[02:32:59.620 --> 02:33:01.902]  So do everything you can to support InfoWars.
[02:33:02.882 --> 02:33:05.204]  Because they're doing everything they can to put out the truth.
[02:33:05.725 --> 02:33:07.186]  As are we with the Trends Journal.
[02:33:08.499 --> 02:33:09.660]  We're going to take a break now.
[02:33:09.680 --> 02:33:12.102]  We'll be right back talking more about the economy.
[02:33:13.723 --> 02:33:16.465]  Hey, thanks for being and having me on the Alex Jones Show.
[02:33:17.246 --> 02:33:25.552]  And again, you know, read The Great Reset if you want to see what's going on and what to do and how to deal with it, because it's really needed right now.
[02:33:25.572 --> 02:33:28.995]  And that's if you could read, you know, because people don't read anymore.
[02:33:29.796 --> 02:33:36.776]   There was an article about obsessively watching The news can make you mentally and physically ill.
[02:33:37.096 --> 02:33:38.356]  This is by study.com.
[02:33:39.076 --> 02:33:42.517]  Keeping up with the latest news can be very bad for your health.
[02:33:42.897 --> 02:33:43.437]  You know why?
[02:33:43.497 --> 02:33:44.497]  Because it's not news.
[02:33:44.597 --> 02:33:47.838]  All they do is sell hate, fear, and hysteria.
[02:33:48.138 --> 02:33:49.038]  It's not news.
[02:33:50.478 --> 02:33:53.939]  What difference does it make that the Queen died?
[02:33:53.959 --> 02:33:57.540]  She only made it to 96 years old.
[02:33:58.680 --> 02:34:02.661]  Why do I gotta hear this every day, day after day, week after week?
[02:34:05.754 --> 02:34:08.237]  That's why, that's why you need Infowars.
[02:34:08.958 --> 02:34:16.346]  And of course, that's why you need the Trends Journal magazine if you want to read history before it happens, if you need to know what's going on, what to do and what's next.
[02:34:17.327 --> 02:34:18.348]  Not this garbage.
[02:34:18.769 --> 02:34:32.328]   Again, according to a new study, Researchers at Texas Tech University found that Americans who obsessively follow the news are more likely to suffer from both physical and mental problems.
[02:34:32.888 --> 02:34:40.054]  Yeah, if you're listening to the Cartoon News Network, ABC, NBC, NPR, FU, you know what?
[02:34:40.394 --> 02:34:41.535]  Because that's all it is.
[02:34:42.195 --> 02:34:43.336]  It's sick crap.
[02:34:44.157 --> 02:34:46.979]  Swallow the crap, believe the crap, it gets sick.
[02:34:51.423 --> 02:35:02.166]  Those who are able to see beyond the shadows and lies of their culture will never be understood, let alone believed by the masses.
[02:35:03.886 --> 02:35:05.306]  This has been going on a long time.
[02:35:05.907 --> 02:35:06.807]  That's some Play-Doh.
[02:35:09.127 --> 02:35:17.869]  As Alex said, you know that, before I came on the air over there about prices skyrocketing.
[02:35:19.650 --> 02:35:20.030]  You ready?
[02:35:20.592 --> 02:35:20.832]  U.S.
[02:35:20.872 --> 02:35:25.236]  household income stalled last year, Census Bureau says.
[02:35:26.496 --> 02:35:26.957]  Stalled?
[02:35:27.337 --> 02:35:28.338]  No, it went down.
[02:35:29.559 --> 02:35:31.280]  Because inflation's skyrocketing.
[02:35:32.641 --> 02:35:34.262]  Oh, remember it was only temporary?
[02:35:34.923 --> 02:35:36.143]  And then transitory?
[02:35:36.584 --> 02:35:38.966]  And of course in the woke world, transgender-tory.
[02:35:39.326 --> 02:35:41.247]  We had transgender-tory inflation!
[02:35:41.587 --> 02:35:42.888]  It didn't know where to go!
[02:35:42.908 --> 02:35:45.971]  I didn't know when I was going up or going down!
[02:35:48.996 --> 02:36:04.426]  Yeah, the crap that spewed out of Powell's mouth, the Fed head, again, the gangster gangsters brought to you by Harvard, Princeton, Yale, Bullets, Bombs and Banks, Woodrow Wilson.
[02:36:06.828 --> 02:36:12.131]  And as Alex said, it's costing us more to live less.
[02:36:13.932 --> 02:36:14.293]  You ready?
[02:36:15.513 --> 02:36:23.311]   The index for electricity in the United States Climbed 15.8% over the same month a year ago.
[02:36:25.292 --> 02:36:32.835]  The biggest such 12-month increase since 1981, according to the Bureau of Labor Statistics.
[02:36:34.756 --> 02:36:35.836]  Oh, the wages are down?
[02:36:35.857 --> 02:36:37.777]  I gotta tell you, man.
[02:36:38.418 --> 02:36:40.439]  Oh, I can't say, gotta tell you, man.
[02:36:40.459 --> 02:36:41.679]  I gotta tell you, woman.
[02:36:41.979 --> 02:36:43.560]  Oh, can't do that.
[02:36:43.660 --> 02:36:44.580]  Can't like the ladies.
[02:36:44.900 --> 02:36:45.841]  Can't like the ladies.
[02:36:48.817 --> 02:36:51.359]  Anyway, I love the ladies.
[02:36:52.660 --> 02:36:54.921]  That's why the lady is a tramp.
[02:36:55.682 --> 02:36:58.544]  That was Frank Sinatra.
[02:37:00.085 --> 02:37:06.169]  Anyway, yesterday, you know, I went, all the local stores are closed down.
[02:37:06.229 --> 02:37:07.290]  They're only chains.
[02:37:07.690 --> 02:37:08.791]  Big Lot or whatever.
[02:37:09.932 --> 02:37:10.352]  Ollie's.
[02:37:13.775 --> 02:37:14.035]  Home.
[02:37:17.028 --> 02:37:18.549]  Depot, Lowe's.
[02:37:19.570 --> 02:37:23.073]  Every time I go into these places, my heart breaks.
[02:37:25.375 --> 02:37:26.136]  My heart breaks.
[02:37:27.196 --> 02:37:27.977]  Dollar General.
[02:37:28.237 --> 02:37:28.838]  Oh my God.
[02:37:30.319 --> 02:37:36.024]  I went into Dollar General to buy the old fashioned light bulbs because I don't like the new things.
[02:37:37.865 --> 02:37:39.747]  Narrow aisles packed with junk.
[02:37:40.567 --> 02:37:42.969]  And I'm so sorry for the people working there.
[02:37:43.650 --> 02:37:44.411]  They have no future.
[02:37:45.672 --> 02:37:45.852]  None.
[02:37:47.242 --> 02:37:47.522]  None.
