[00:00:01.340 --> 00:00:03.661]  Put the U.S.
[02:22:42.219 --> 02:22:43.140]  I'm like, what's going on?
[02:22:43.440 --> 02:22:45.561]  You know, but nothing was ever discovered.
[02:22:45.581 --> 02:22:46.422]  I'm like, what the fuck?
[02:22:46.462 --> 02:22:47.303]  No, I don't know.
[02:22:47.343 --> 02:22:47.883]  I want peace.
[02:22:49.104 --> 02:22:50.024]  Let me explain this.
[02:22:50.685 --> 02:22:56.268]  The left, the big money, the globalists are engaged in a high tech psychological war that's going physical.
[02:22:57.028 --> 02:22:58.509]  They want to make it physical because they're losing.
[02:22:59.430 --> 02:23:02.812]  And because their old lies didn't work, they didn't give up, they tripled.
[02:23:03.493 --> 02:23:04.495]  And quadrupled down.
[02:23:05.976 --> 02:23:20.516]  And so when you see federal filings against Owens saying he doesn't work for Infowars, we want sanctions, we want perjury charges, he doesn't work with Alex Jones, he didn't have security on January 6th, he didn't try to stop the invasion of the Capitol, it's all on video he did!
[02:23:22.560 --> 02:23:26.943]  But they're betting that the juries are so dumb and the judges are so corrupt they can do it.
[02:23:27.183 --> 02:23:28.543]  It's the same thing with the Sandy Hook stuff.
[02:23:28.563 --> 02:23:29.624]  Barely ever talked about it.
[02:23:29.944 --> 02:23:30.765]  Not even who I am.
[02:23:31.505 --> 02:23:35.547]  And then the stuff they put in the news, it's like totally twisted lies.
[02:23:36.568 --> 02:23:37.649]  None of it's even real.
[02:23:39.730 --> 02:23:42.251]  But that's not the sign of a winning group.
[02:23:43.112 --> 02:23:44.493]  That's the sign of losers.
[02:23:45.461 --> 02:23:52.547]  And so it's up to us that know the truth and love justice to hold the line like our ancestors and not back down to this.
[02:23:53.528 --> 02:23:57.071]  And for those of you that keep us on air and support us, you are so amazing.
[02:23:57.692 --> 02:24:04.978]  Let's go back to John D. Shirley, retired police officer, one of the founding members of Oath Keepers, talking about what he saw.
[02:24:05.479 --> 02:24:07.200]  And they probably fed Stewart's ego.
[02:24:10.003 --> 02:24:11.805]  He probably had some type of psychosis.
[02:24:11.845 --> 02:24:18.511]  If you ask me personally, I don't know this, but where he changed, I believe he was this messianic figure that would trigger the second American Civil War.
[02:24:18.531 --> 02:24:28.341]  He got walked by feds as one of the groups, along with Q followers and Antifa dressed up like Trump supporters to break into the Capitol.
[02:24:29.645 --> 02:24:36.215]  They arrested Enrique Tarrio, the head of Proud Boys, because he wasn't going to support an attack.
[02:24:36.576 --> 02:24:38.940]  They slipped their federal agent in there, we know that.
[02:24:39.701 --> 02:24:42.565]  And so this was very well played, using psychology.
[02:24:45.007 --> 02:24:45.928]  That's where we are now.
[02:24:45.988 --> 02:24:48.810]  The question is, was Rhodes working for them?
[02:24:48.910 --> 02:24:49.611]  I don't think so.
[02:24:49.831 --> 02:24:50.711]  I think he was set up.
[02:24:50.751 --> 02:24:57.816]  But the bottom line is, everything is January 6th now, as the New York Times said in that headline.
[02:24:58.217 --> 02:24:59.298]  Every day is January 6th.
[02:24:59.638 --> 02:25:10.665]   They're betting everything they're doing, their censorship, their lockdowns, their tyranny, their control on leveraging January 6th out as we're all terrorists and that's
[02:25:10.665 --> 02:25:14.716]   why it's good to see the Republicans in Congress and the leader of the
[02:25:14.716 --> 02:25:19.625]   Republicans in the Senate saying they're branding the Republicans as terrorists, they're
[02:25:19.625 --> 02:25:24.235]   trying to ban our party, this is outrageous. They finally get it John D.
[02:25:24.235 --> 02:25:27.876]   Shirley. So I want to get your final in the six minutes we have left. Any other
[02:25:27.876 --> 02:25:29.626]  points you'd like to make?
[02:25:29.626 --> 02:25:35.985]   Well I think if you listen to my story about the Antifa event in Atlanta, I
[02:25:35.985 --> 02:25:39.944]   told you that I thought that Antifa Atlanta or the people they had there for
[02:25:39.944 --> 02:25:43.625]  that rally was like a LARP.
[02:25:42.921 --> 02:25:55.770]  And maybe the right way to look at it is what's being overlaid with Oath Keepers on January 6th, what's being overlaid with the name and brand Oath Keepers on January 6th, is actually also a LARP.
[02:25:56.591 --> 02:26:04.748]   Whatever happened, whatever the organization was prior to January 6th, It was turned into something else on January 6th.
[02:26:05.088 --> 02:26:11.651]  If, indeed, anything what they said in the farcical, in my opinion, indictment, if any of that's actually true.
[02:26:14.652 --> 02:26:15.792]  Well, I totally agree with you.
[02:26:16.653 --> 02:26:21.134]  And, you know, it's insane that I didn't even ask who that guy was.
[02:26:21.234 --> 02:26:25.236]  I met him and he was here with a woman and then that guy.
[02:26:25.276 --> 02:26:27.417]  I just, my alarms went completely off of that fella.
[02:26:28.543 --> 02:26:29.324]  Here's the real question.
[02:26:29.344 --> 02:26:30.505]  Where do we go from here, Alex?
[02:26:30.825 --> 02:26:31.085]  Okay?
[02:26:31.226 --> 02:26:38.952]  Because I actually believe that the reason the Oath Keepers was set up is still just as relevant today, actually more so, than it was in 2009.
[02:26:39.032 --> 02:26:44.937]  Now, I'm not advocating that someone else needs to step up and take the reins of Oath Keepers and charge forward.
[02:26:45.137 --> 02:26:45.537]  No, I agree.
[02:26:45.557 --> 02:26:47.979]  We shouldn't demonize the main mission of Oath Keepers.
[02:26:48.400 --> 02:26:49.220]  It was a great idea.
[02:26:50.141 --> 02:26:50.601]  Exactly.
[02:26:50.862 --> 02:26:56.046]  And peace officers, more than even in 2009, need to pull out their constitutions and read it.
[02:26:56.713 --> 02:27:00.914]  And take the scales off their eyes and make sure they're doing the will of the people.
[02:27:00.934 --> 02:27:04.175]  Well, Hitler knew his main enemy was the military and police.
[02:27:04.535 --> 02:27:05.675]  That's Operation Valkyrie.
[02:27:05.715 --> 02:27:06.515]  So, exactly.
[02:27:06.935 --> 02:27:11.617]  They know the real Achilles heel they have is the military and police following their oath.
[02:27:11.937 --> 02:27:16.038]  And so that's why it was so key for them to infiltrate or whatever they did with the Oath Keepers.
[02:27:17.018 --> 02:27:17.458]  Exactly.
[02:27:18.078 --> 02:27:41.709]   And one of the reasons why Stuart knew the government was so distrusting of Oath Keepers is because We always projected, and we said, and we always believe, that for every one dues-paying oath-keeper, there's probably 10 or 20 peace officers and soldiers that know about us, and know that what we say is true, and that are actually really members.
[02:27:41.909 --> 02:27:44.670]  So, you know, the important thing is the message.
[02:27:44.810 --> 02:27:49.573]  The message gets out, and it's very widespread, and that's what the government fears, because they can't control it.
[02:27:51.454 --> 02:27:54.116]  Well, yeah, my gut is Stuart got desperate.
[02:27:54.136 --> 02:27:55.137]  His wife divorced him.
[02:27:55.657 --> 02:27:56.437]  He fell apart.
[02:27:56.477 --> 02:27:57.718]  He almost lost everything.
[02:27:57.738 --> 02:28:00.420]  And then he just suddenly, oh, here's this money.
[02:28:00.440 --> 02:28:01.721]  Here's these guys.
[02:28:01.741 --> 02:28:02.561]  They're going to help you.
[02:28:03.222 --> 02:28:05.663]  And they knew how to psychologically manipulate him.
[02:28:05.703 --> 02:28:06.504]  And the rest is history.
[02:28:07.404 --> 02:28:12.168]  Well, when he and I were talking in 2019 and 2020, he was just this side of homeless.
[02:28:13.588 --> 02:28:14.849]  And I'm not saying that to be mean.
[02:28:14.989 --> 02:28:17.471]  I'm saying it because it helps explain maybe his situation.
[02:28:21.730 --> 02:28:24.933]  Yeah, Stewart is a good man and a romantic.
[02:28:26.734 --> 02:28:31.378]  And you can see his perspective, a globalist takeover, a stolen election, hey, let's be George Washington.
[02:28:32.019 --> 02:28:34.621]  But we're not in 1776, that doesn't work now.
[02:28:35.161 --> 02:28:36.362]  And he got set up by these people.
[02:28:36.403 --> 02:28:38.084]  I think that's really the best analysis we've got.
[02:28:38.384 --> 02:28:41.567]  That's why I told my crew off record, I said, no, Stewart's not a Fed.
[02:28:42.187 --> 02:28:44.029]  Stewart's a romantic being set up by Feds.
[02:28:44.770 --> 02:28:45.770]  And we now know what happened.
[02:28:46.871 --> 02:28:47.852]  And I want to be really clear.
[02:28:50.498 --> 02:29:06.469]  Resigned the organization on November 24th, 2020 at no time on or before that date had anybody in the organization that I was aware of or involved with the organization in any way had said anything about taking on the government on January 6th.
[02:29:06.509 --> 02:29:09.631]  There was no talk, nothing I heard.
[02:29:10.111 --> 02:29:14.234]  So if it was happening, it was happening behind the scenes of behind the scenes.
[02:29:15.049 --> 02:29:18.290]  Or it was happening among the Fed handlers and just waiting to roll it out.
[02:29:18.370 --> 02:29:18.690]  I don't know.
[02:29:19.170 --> 02:29:20.350]  But there was no talk of it.
[02:29:20.390 --> 02:29:24.271]  That would have been a ridiculous notion had someone brought that up in my presence.
[02:29:25.311 --> 02:29:30.412]  Well, yeah, attacking the Capitol is the last thing you do in an insurrection.
[02:29:31.032 --> 02:29:33.333]  I mean, it was a PR victory for the enemy.
[02:29:34.233 --> 02:29:42.735]  If what they laid out in this indictment, Alex, is true, well then honestly, Stuart Rhodes deserves to be found not guilty by reason of insanity.
[02:29:43.308 --> 02:29:47.130]  Because if that was his plan, if that was his plan, that's insanity.
[02:29:47.610 --> 02:29:48.971]  It's prima facie insanity.
[02:29:48.991 --> 02:29:54.534]  You can read their indictment and say, if they're being honest and true in this, Stuart's nuts.
[02:29:55.115 --> 02:29:56.736]  Nuts to the point where he's not responsible for it.
[02:29:56.756 --> 02:29:57.436]  Absolutely.
[02:29:57.516 --> 02:29:58.477]  I mean, you talk about it.
[02:29:58.517 --> 02:29:59.077]  Exactly.
[02:29:59.117 --> 02:29:59.917]  This is crazy.
[02:30:00.117 --> 02:30:00.518]  All right.
[02:30:01.478 --> 02:30:01.878]  All right.
[02:30:01.918 --> 02:30:05.761]  Well, John D. Shirley, please come on our other shows, give us updates, reach out to us.
[02:30:06.261 --> 02:30:08.142]  And thank you so much for coming on and God bless you.
[02:30:08.809 --> 02:30:09.690]  Thank you for having me, Alex.
[02:30:09.730 --> 02:30:11.332]  People need to check out the Blue Shark Show.
[02:30:11.372 --> 02:30:15.496]  That's doing a local version of Alex Jones, taking to task your local crooks.
[02:30:15.636 --> 02:30:16.797]  The Blue Shark Show on YouTube.
[02:30:17.418 --> 02:30:19.560]  And yeah, well, I mean, I've seen your show before.
[02:30:19.960 --> 02:30:21.462]  You cover national stuff, too, right?
[02:30:21.902 --> 02:30:26.407]  Well, I'm actually, they cover what some of the goings-on of the office.
[02:30:27.288 --> 02:30:27.928]  That's beautiful, yeah.
[02:30:27.988 --> 02:30:29.389]  We do it with information, not with violence.
[02:30:29.689 --> 02:30:30.570]  Alright, thank you John D. Shirley.
[02:30:30.489 --> 02:30:34.989]   the local the local swamp in Hood County. So if people want to know how you how
[02:30:34.989 --> 02:30:38.248]   you drive the swamp out of your county go look at the Blue Shark Show. They'll
[02:30:38.248 --> 02:30:41.168]   show you how you drive the swamp out of your county because we're driving that
[02:30:41.168 --> 02:30:44.489]   swamp out of our county and I'm gonna do the swamp creatures of my county a favor
[02:30:44.489 --> 02:30:48.289]   and not even name them on your show. But they know who they are so everybody
[02:30:48.289 --> 02:30:51.168]   check out Blue Shark Show. That's how you take a look. That's beautiful yeah we do it
[02:30:51.168 --> 02:30:56.129]   with information not with violence. All right thank you John D. Shirley thank you.
[02:30:56.129 --> 02:31:00.729]   All right I got some final news to hit before Rowan Schroeder takes over and he's
[02:31:00.729 --> 02:31:08.090]  got Dr. Darren Beatty on his show today.
[02:31:07.654 --> 02:31:10.755]  Three very important life-saving words.
[02:31:11.775 --> 02:31:15.096]  Vitamins, minerals, amino acids.
[02:31:15.556 --> 02:31:19.217]  And you find them all in Vitamin Mineral Fusion.
[02:31:19.798 --> 02:31:34.822]  All the essential vitamins, all the essential minerals from really good, high-quality, absorbable sources, and a bunch of key compounds, amino acids, known to help get the nutrients into your tissues, into your cells.
[02:31:35.422 --> 02:31:43.946]  And despite the fact that the product is going to sell out in the next week or so, we're going to keep it on sale at 50% off for another seven days.
[02:31:44.446 --> 02:31:47.807]  So again, I am cutting this announcement on the afternoon of January 6, 2022.
[02:31:48.207 --> 02:31:53.990]  We're going to run this for a week and then we are going to be selling out of this product.
[02:31:54.030 --> 02:32:00.092]  Hopefully more comes in in the next month or so because it's a bestseller and it's something everybody needs for their immune system and their body.
[02:32:00.492 --> 02:32:04.114]  Get your Vitamin Mineral Fusion now and support the InfoWar 360 win.
[02:32:07.716 --> 02:32:10.579]  Well, I don't say this to get you to marvel at me.
[02:32:10.599 --> 02:32:15.002]  In fact, I tell you, we're in a lot of trouble because I'm about the best we got.
[02:32:15.022 --> 02:32:16.543]  It's really true.
[02:32:18.185 --> 02:32:20.567]  And I've learned about the dark side of the New World Order.
[02:32:20.587 --> 02:32:21.668]  I've learned about their dirty tricks.
[02:32:21.728 --> 02:32:27.012]  I've learned about that gun kicks as hard as it shoots, as they say in Texas.
[02:32:28.833 --> 02:32:32.837]  That old Wisconsin saying, they shot at me and missed.
[02:32:34.359 --> 02:32:37.359]  They SH-T'd me and hit.
[02:32:37.359 --> 02:32:44.359]  You know, I've got some really big news to cover.
[02:32:44.359 --> 02:32:54.359]  [BLANK_AUDIO]
[02:32:46.905 --> 02:32:49.405]  That I meant to cover yesterday, but it's so important.
[02:32:50.726 --> 02:32:53.227]  I just, man, I should make a big deal about this.
[02:32:53.287 --> 02:32:55.148]  I shouldn't just put this out.
[02:32:55.208 --> 02:32:55.628]  You know what I mean?
[02:32:55.648 --> 02:32:58.309]  Because if we just put this out, it has no effect.
[02:32:58.369 --> 02:33:01.050]  I'm going to play this next clip to start the next segment.
[02:33:03.091 --> 02:33:12.382]   The Dutch Prime Minister Confronted by one of the members of Parliament about, hey, you heard of Klaus Schwab?
[02:33:13.542 --> 02:33:14.563]  Oh, no, I don't know who he is.
[02:33:14.923 --> 02:33:16.183]  Heard of his book, Great Reset?
[02:33:16.243 --> 02:33:16.963]  No, what's that?
[02:33:18.124 --> 02:33:19.884]  Oh, well, you wrote the foreword to it.
[02:33:21.425 --> 02:33:24.626]  Oh, you were saying 9-11 didn't happen.
[02:33:24.666 --> 02:33:37.739]   I mean, this is actual video of one of Klaus Schwab's agents who went to his Bilderberg graduation school Telling someone, gaslighting them, I don't respect you.
[02:33:37.759 --> 02:33:39.279]  It doesn't exist.
[02:33:40.059 --> 02:33:41.740]  He's like, he wrote the forward to his book.
[02:33:43.459 --> 02:33:47.459]   Everybody starts laughing in the room because they are all in on it, folks.
[02:33:47.459 --> 02:33:55.459]  Total dishonor.
[02:33:55.549 --> 02:34:00.230]  So listen, I've already, you know, the bigger the show, the shows have been giant.
[02:34:00.711 --> 02:34:08.673]  We have an extra couple million viewers a day, thanks to all you spreading the links and the interest in the show, to like 3 million, because everybody exaggerates numbers, but we don't exaggerate.
[02:34:09.033 --> 02:34:18.256]  We've got 3 million people on Threshold Radio a day tuning in on average, and we've got over 2 million tuning in on our streams and things that have been banned on video, but it's been double that the last few weeks.
[02:34:19.777 --> 02:34:22.918]  I really respect the 7, 8, 9, 10 million people tuned in.
[02:34:23.038 --> 02:34:24.058]  I love every damn one of you.
[02:34:24.790 --> 02:34:25.450]  I mean, I mean that.
[02:34:27.491 --> 02:34:30.831]  I just want you to have a great life and a great future, and I'm fighting hard for you.
[02:34:31.471 --> 02:34:33.772]  But I'm going to be honest with you, I'm not doing it for you, man.
[02:34:34.112 --> 02:34:35.632]  I'm doing it because I hate these people.
[02:34:35.732 --> 02:34:39.853]  I just, I'm like a dog wants to, you wonder why a dog wants to chase a squirrel?
[02:34:39.993 --> 02:34:41.454]  He don't know why, I just want to do it.
[02:34:41.814 --> 02:34:43.934]  So don't think I'm doing this because I'm some hero.
[02:34:44.374 --> 02:34:46.215]  These people are garbage.
[02:34:48.615 --> 02:34:53.096]  And all I got is, I want to stop them so damn bad, I'll do anything to do it.
[02:34:54.131 --> 02:34:56.052]  Anything that doesn't hurt innocent people.
[02:34:56.072 --> 02:34:58.513]  If it hurts me, I'll do it.
[02:35:00.474 --> 02:35:03.675]  And man, I've already seen our effect.
[02:35:03.795 --> 02:35:07.157]  It has been together what we've done has changed the world.
[02:35:07.957 --> 02:35:09.158]  And it's been so incredible.
[02:35:10.438 --> 02:35:18.562]  But I don't sit there and feel good when I watch the Justice Department file a case against Owen and lie about him.
[02:35:21.218 --> 02:35:24.341]  I don't feel good like, oh, I get to be the high and mighty person.
[02:35:24.941 --> 02:35:28.204]  I'm going to go on air and say how the FBI and the Justice Department are bad.
[02:35:28.524 --> 02:35:31.647]  That makes me feel better than them, that I'm bigger than them.
[02:35:31.927 --> 02:35:37.372]  No, it makes me go, how the hell do they find this many evil people?
[02:35:39.634 --> 02:35:41.713]  I mean, maybe we are an evil species.
[02:35:41.713 --> 02:35:50.513]   So I'll hit this big news fight back against the great reset.
[02:35:50.513 --> 02:35:55.552]   Now our politicians are owned and bought by this criminal syndicate next segment.
[02:35:55.813 --> 02:35:56.834]  But look at this article.
[02:35:57.114 --> 02:36:01.917]  You just heard last week that I got $156 million in the bank.
[02:36:04.279 --> 02:36:05.019]  Wish I did.
[02:36:05.439 --> 02:36:06.960]  Ain't that much now.
[02:36:06.980 --> 02:36:09.822]  $156 million 20 years ago is about $5 million.
[02:36:11.143 --> 02:36:12.424]  That's how devalued stuff is.
[02:36:12.743 --> 02:36:16.622]   But I don't have a million dollars personally in my bank account.
[02:36:16.622 --> 02:36:28.942]   We tried to file sanctions because we have a protective order to protect our banking info and all our information.
[02:36:28.942 --> 02:36:32.422]  And it's signed, it's in the court, and they don't care.
[02:36:32.422 --> 02:36:34.262]  They just leaked it all to the news.
[02:36:34.395 --> 02:36:42.016]  So we, twisted by the way, so we go, we try to have a hearing, and the judge goes, I'm not going to hear that, I'm going to sanction you again.
[02:36:42.456 --> 02:36:50.298]  I'm a Democrat Party Yale person, and you're a bad American, so I'm going to do this to you.
[02:36:50.838 --> 02:36:51.458]  We're like, okay.
[02:36:54.634 --> 02:36:57.497]  And now it's not $156 million I'm worth.
[02:37:02.181 --> 02:37:04.503]  It's $6.2 million I'm worth.
[02:37:06.585 --> 02:37:09.468]  And they even count debt I owe to a bank as money.
[02:37:10.048 --> 02:37:16.214]  And then they say, it gets better, oh, oh, you have inventory.
[02:37:18.365 --> 02:37:19.306]  And that's what they've told us.
[02:37:19.326 --> 02:37:26.071]  They said, hey, you could pay $10 million to the Sandy Hook people for questioning media lies or media reports.
[02:37:26.611 --> 02:37:27.612]  And we're like, we don't have $10 million.
[02:37:27.632 --> 02:37:29.254]  They go, well, you got product?
[02:37:31.015 --> 02:37:31.856]  And see, that's how it works.
[02:37:32.076 --> 02:37:34.578]  I've got to buy product six months a year out now.
[02:37:34.918 --> 02:37:37.840]  Used to, it was three months out, to have product to sell.
[02:37:37.860 --> 02:37:42.624]  So I'm always at the point of like, we're always on the edge of being shut down.
[02:37:42.644 --> 02:37:46.407]  So I'm like, do I spend the money we've got to buy product and hope we'll be here?
[02:37:47.469 --> 02:37:48.209]  Or do I not?
[02:37:48.670 --> 02:37:52.371]  They're like, well, you got millions of dollars of product there.
[02:37:54.232 --> 02:37:59.855]  You got a warehouse with water filters and storable food and supplements and t-shirts.
[02:38:00.155 --> 02:38:02.516]  And they're like, why don't you just give that to us?
[02:38:04.357 --> 02:38:08.739]  And we literally approach them and go, do you have any basic, like, five-year-old math skills?
[02:38:10.039 --> 02:38:20.145]   If we're making 30, 40 percent And we've got these bills to pay, even if we wanted to pay you people, but notice, notice, you're not stupid, right, audience?
[02:38:20.205 --> 02:38:20.605]  You know this.
[02:38:20.885 --> 02:38:23.486]  You heard everywhere, we didn't give them anything!
[02:38:23.946 --> 02:38:38.312]  We never gave them a document, but they've got every banking document, they've got everything about us, because I knew they were doing this, I'm like, here it is, and then they go, he didn't give us anything, we got all your banking records, we got everything on you right now, we're gonna destroy you.
[02:38:40.873 --> 02:38:43.574]  It, like, none of it even matches up with reality.
[02:38:45.908 --> 02:38:51.890]  And so, I bring in lawyers and I say, I want... People blame my lawyers.
[02:38:51.910 --> 02:38:53.090]  Most of the time it's not their fault.
[02:38:53.130 --> 02:39:04.194]  They're like, they go, your honor, we'd like to file a complaint that you did a protective order and I was supposed to release these documents, plus they released them incorrectly, and they're like, oh no!
[02:39:04.534 --> 02:39:05.754]  That's not what's happening!
[02:39:06.274 --> 02:39:07.755]  You get more sanctions!
[02:39:08.335 --> 02:39:09.395]  Ha ha ha ha!
[02:39:09.896 --> 02:39:12.636]  And again, I don't sit there and go, poor me!
[02:39:13.137 --> 02:39:14.317]  I'm under attack!
[02:39:15.225 --> 02:39:21.230]  Now I'm not some seven-year-old kidnapped in Mexico and took across the Texas border to be gang-raped by up to 100 dudes a day.
[02:39:22.291 --> 02:39:23.392]  And the FBI knows about that.
[02:39:23.412 --> 02:39:23.933]  It's on record.
[02:39:24.113 --> 02:39:24.393]  No, no.
[02:39:24.634 --> 02:39:26.135]  I'm not a little kid getting gang-raped.
[02:39:26.615 --> 02:39:27.776]  I'm doing awesome.
[02:39:27.836 --> 02:39:28.457]  I'm big.
[02:39:28.777 --> 02:39:29.438]  I'm strong.
[02:39:29.678 --> 02:39:31.259]  Hell, I'm built for this.
[02:39:31.580 --> 02:39:32.320]  I actually kind of like it.
[02:39:33.261 --> 02:39:38.386]  But I'll tell you this, it pisses me off because we're trying to protect the children and this is the crap we do.
[02:39:38.966 --> 02:39:40.328]  So I just pray in the name of Jesus.
[02:39:41.167 --> 02:39:49.432]  That God bring justice on these people because it is so sick to watch the total inversion of reality and it's so filthy.
[02:39:49.652 --> 02:39:52.754]  Oh look, I'm not worth 156 million.
[02:39:53.054 --> 02:39:53.754]  That was last week.
[02:39:53.794 --> 02:39:54.775]  Now it's 6.2.
[02:39:56.836 --> 02:40:01.179]  So they're getting it down and they go, Jones's private bank account has 400,000 like I told you.
[02:40:03.746 --> 02:40:05.326]  Which ain't that much in a fight like this.
[02:40:05.727 --> 02:40:14.329]  So, and they're like, but he's got a couple million in inventory, and why his equipment we think's worth four million, he got six million dollars!
[02:40:14.849 --> 02:40:19.730]  We want the six million dollars for our jury, because you questioned us!
[02:40:22.791 --> 02:40:25.212]  That doesn't make me feel sick for myself.
[02:40:25.612 --> 02:40:28.213]  It makes me feel sick for America.
[02:40:28.413 --> 02:40:35.495]   Because I've got my integrity, and I've got the fact that I mean, you know, as a man, I can't help it.
[02:40:35.515 --> 02:40:38.777]  In a fight, I kick like a mule, I bite like a crocodile.
[02:40:39.077 --> 02:40:39.757]  I mean, I'm a man.
[02:40:39.998 --> 02:40:44.760]  I mean, a lot of guys beat my ass, but they're going to know they were in a fight.
[02:40:46.001 --> 02:40:49.122]  And I'm just telling you, everything I am is on the line for this country.
[02:40:49.342 --> 02:41:01.589]  And I get to watch a rigged system rape and screw and lie and say Owen Schroeder attacked the Capitol in federal filings, the FBI, and that he doesn't work here?
[02:41:02.719 --> 02:41:03.720]  It's the same thing here.
[02:41:04.120 --> 02:41:09.345]  Lies and fraud and corruption is just the veins of these people.
[02:41:09.645 --> 02:41:10.706]  It's everything they are.
[02:41:10.946 --> 02:41:16.091]  But you know, God's real and they're going to pay for what they've done from God, not from us.
[02:41:16.851 --> 02:41:25.119]  But I haven't plugged in this whole three plus hours, three hours and 42 minutes I've been on air and I've not plugged the products.
[02:41:25.399 --> 02:41:26.780]  But yeah, I need your help.
[02:41:27.280 --> 02:41:27.781]  I need money.
[02:41:29.429 --> 02:41:33.311]  The great part about this is when it's all said and done, I'm not going to have nothing.
[02:41:33.791 --> 02:41:35.712]  These leeches ain't going to get nothing.
[02:41:35.752 --> 02:41:36.693]  It all goes to the fight.
[02:41:37.733 --> 02:41:44.317]  All right, ladies and gentlemen, it's the final segment of the Alex Jones Show on January 14, 2022.
[02:41:45.797 --> 02:41:52.197]   And my flesh is exhausted, but my spirit has never been stronger.
[02:41:52.197 --> 02:42:03.156]   All right, so there was major damage control this week dealing with this.
[02:42:03.156 --> 02:42:04.856]  this.
[02:42:04.827 --> 02:42:10.270]  The Dutch Prime Minister is a graduate of Klaus Schwab's Bilderberg School.
[02:42:10.530 --> 02:42:11.991]  You can look it up for yourself, don't believe me.
[02:42:13.151 --> 02:42:17.153]  And he wrote one of the quotes for the Dutch version.
[02:42:19.194 --> 02:42:21.756]  Yeah, they are together giving each other awards on screen.
[02:42:21.776 --> 02:42:23.136]  Great job, I haven't even seen this.
[02:42:24.197 --> 02:42:25.838]  So here they are giving each other awards.
[02:42:26.920 --> 02:42:35.102]  And then, when one of the members of Parliament confronts him for the lockdowns and the tyranny and what they're doing, he says, oh, I don't know who Klaus Schwab is.
[02:42:35.842 --> 02:42:38.243]  I don't know who the Bilderberg Group is.
[02:42:38.423 --> 02:42:40.063]  I don't know about the Great Reset.
[02:42:41.243 --> 02:42:54.507]  And the member of Parliament, who's a great patriot, let me get him on the show, speaking German, which is Dutch, a Dutch derivation of German, he says, he catches him, he goes, oh, you know who Klaus Schwab is in his book?
[02:42:54.607 --> 02:42:55.867]  No, don't know about that.
[02:42:56.784 --> 02:43:03.609]  I'm just like his butt buddy and write forwards to his book and give him awards and get awards from him and a graduate of his school.
[02:43:03.629 --> 02:43:07.592]  It's like asking Roger Stahlbach, do you know about the Dallas Cowboys?
[02:43:07.872 --> 02:43:08.913]  Oh, I don't know anything.
[02:43:09.293 --> 02:43:22.062]  It's like asking the current quarterback of the Buccaneers, do you know anything about the New England Patriots?
[02:43:22.463 --> 02:43:25.465]  And he's like, no, I know nothing about the New England Patriots.
[02:43:29.637 --> 02:43:33.344]  Or asking Terry Bradshaw, do you know about the Pittsburgh Steelers?
[02:43:33.825 --> 02:43:36.992]  And Terry Bradshaw says, what are the Pittsburgh Steelers?
[02:43:37.092 --> 02:43:38.735]  Are they stealing something?
[02:43:39.076 --> 02:43:40.318]  No, they make steel.
[02:43:40.358 --> 02:43:41.120]  They pour steel.
[02:43:43.542 --> 02:43:50.186]  So again, that's the disrespect of the enemy, that they never respond to you in any way.
[02:43:50.646 --> 02:43:52.187]  Yeah, they give each other awards.
[02:43:52.267 --> 02:43:53.928]  Yeah, they write forwards to their books.
[02:43:54.388 --> 02:43:56.129]  Yeah, he's the Prime Minister of the Netherlands.
[02:43:56.569 --> 02:43:57.650]  Yeah, he's confronted.
[02:43:57.930 --> 02:44:01.752]  And he tells his constituents, I don't know who he is.
[02:44:02.053 --> 02:44:04.134]  He should be removed from office now.
[02:44:04.454 --> 02:44:05.895]  He shut their economy down.
[02:44:06.155 --> 02:44:13.159]  He put them under martial law to train to be slaves, where he sits there smiling about the criminal operation they've launched.
[02:44:14.426 --> 02:44:22.150]  And it's that arrogant, jerk attitude at the Justice Department and at the UN and everywhere that's killing us!
[02:44:27.112 --> 02:44:35.216]  So I will try my best, though they talk fast, to read the subtitles for radio listeners, but you can find the video.
[02:44:35.256 --> 02:44:36.437]  But look, oh, fact check!
[02:44:36.817 --> 02:44:40.499]  World Economic Forum letters show 51st annual meeting invites.
[02:44:41.471 --> 02:44:48.457]  And the letter, you can read it yourself, say, you have done well, continue lockdowns, we are the dominating planet, soon we'll be in full control.
[02:44:48.477 --> 02:44:50.319]  People are like, oh my god, look at these letters!
[02:44:50.619 --> 02:44:54.763]  Like, oh, well, they don't really mean that, I mean, you know, everything's fine!
[02:44:55.984 --> 02:45:03.170]  Invites the Davos Show, direct collusion between the WEF, World Economic Forum, and the Dutch government.
[02:45:03.610 --> 02:45:06.993]   And so, finally the Dutch Back it up.
[02:45:07.314 --> 02:45:08.075]  These guys talk fast.
[02:45:08.195 --> 02:45:08.775]  I think I talk fast.
[02:45:08.895 --> 02:45:12.739]  One of these globalists is Mr. Klaus Schwab.
[02:45:12.558 --> 02:45:16.718]   I'm at the stop it and start it so I can read this to you, but it's incredible here it is
[02:45:16.718 --> 02:45:24.388]   The boss open back it up Guys talk fast. They got talk fast one of these globalist
[02:45:24.388 --> 02:45:32.237]   is mr.. Klaus Schwab continue. It's the head Klaus Schwab founder and chairman of the World Economic Forum and Bilderberg
[02:45:32.309 --> 02:45:34.250]  He wrote a book with the catchy title, COVID-19 Great Reset.
