[00:00:00.000 --> 00:00:03.359]  [MUSIC PLAYING]
[01:14:50.244 --> 01:14:53.625]  As bad as this is, it's a blessing to know the truth and know where you are in history.
[01:14:54.646 --> 01:14:58.568]  And couldn't find a better hill to die on than the freedoms of this country.
[01:14:58.948 --> 01:15:02.750]  There's a reason we're here now, and it's beautiful.
[01:15:03.410 --> 01:15:04.671]  What do you think is coming, Coco?
[01:15:06.582 --> 01:15:09.064]  I think, well, everything you guys say.
[01:15:09.124 --> 01:15:10.886]  I mean, I've done my own research.
[01:15:10.906 --> 01:15:12.767]  I've done quite a bit of research.
[01:15:13.608 --> 01:15:16.811]  And I do believe the famine.
[01:15:16.911 --> 01:15:27.780]  I honestly don't think that... I think that I am so fortunate that this is my hill to die on.
[01:15:27.940 --> 01:15:29.021]  I feel that that is...
[01:15:29.617 --> 01:15:31.958]  Oh yeah, we're gonna die on it one way or the other.
[01:15:32.018 --> 01:15:32.859]  They're coming to kill us.
[01:15:32.919 --> 01:15:33.419]  Exactly.
[01:15:33.839 --> 01:15:34.839]  All they can do is fight back.
[01:15:34.899 --> 01:15:35.900]  God bless you Coco.
[01:15:36.500 --> 01:15:39.141]  Let's take a caller now from Washington State.
[01:15:39.602 --> 01:15:41.062]  Brian on the West Coast.
[01:15:41.182 --> 01:15:41.983]  Thank you for calling.
[01:15:44.444 --> 01:15:44.944]  Hey Alex.
[01:15:45.464 --> 01:15:46.064]  Good to talk to you.
[01:15:47.505 --> 01:15:48.546]  So, can you hear me okay?
[01:15:49.066 --> 01:15:50.026]  Yes sir, thanks for calling.
[01:15:50.847 --> 01:15:52.287]  Okay Alex, I've told Owen this too.
[01:15:54.472 --> 01:16:08.524]  And I just want to say, man, being able to listen to your show and some of your guests that you have on and some of these people that are so influential in educating people on the mRNA vaccines and understanding our immune system.
[01:16:08.564 --> 01:16:09.504]  I mean, it's so powerful.
[01:16:09.524 --> 01:16:13.868]  I like to liken you to like a modern day John the Baptist, right?
[01:16:14.549 --> 01:16:21.114]  I mean, our society is totally collapsing and you and your guests are putting up such powerful information.
[01:16:21.713 --> 01:16:23.854]  On how to protect ourselves and protect our families.
[01:16:23.874 --> 01:16:27.375]  It's Sunday shows for me.
[01:16:27.655 --> 01:16:29.416]  It really helps me ground myself.
[01:16:29.896 --> 01:16:31.317]  Me too.
[01:16:31.377 --> 01:16:35.198]  The listeners, the callers, the guests, we're in the same boat, brother.
[01:16:35.218 --> 01:16:38.079]  The thing is, they want us to think we're alone.
[01:16:38.120 --> 01:16:38.900]  We're not alone.
[01:16:39.880 --> 01:16:42.421]  Actually, almost a majority of people are with us.
[01:16:42.461 --> 01:16:44.102]  We just don't have a way to connect.
[01:16:45.339 --> 01:16:46.720]  Right, right, exactly.
[01:16:47.040 --> 01:17:04.209]  You know, you asked this question last week or so about what's the next step that these transgender, basically the sex offenders, what direction do they want to go with our kids, like run around naked in front of kids at these parades and things.
[01:17:04.784 --> 01:17:22.406]  I think the next step is actually, you look at these other countries that these globalist, corporate global operations have taken control of, I think they're going to push it to, I mean as far as all the chaos that we already see, I think the next step with kids is pushing them into child prostitution and having that be open and normalized.
[01:17:23.447 --> 01:17:23.628]  Right?
[01:17:25.472 --> 01:17:26.392]  No, I think you're right.
[01:17:26.472 --> 01:17:27.573]  I mean, I mean, I mean, that's it.
[01:17:27.613 --> 01:17:33.894]  They teach in the public schools in fifth grade and sixth grade that the sex worker is what you should be.
[01:17:33.934 --> 01:17:35.015]  We're not attacking sex workers.
[01:17:35.335 --> 01:17:37.496]  We're trying to put them into that highly abusive situation.
[01:17:37.836 --> 01:17:38.596]  Ryan, I love you.
[01:17:39.036 --> 01:17:42.397]  Mike, Lee, Gilbert, Vinny, Mark, I'm getting all your calls.
[01:17:44.063 --> 01:17:51.234]  The system loves to throw it in our face.
[01:17:51.876 --> 01:17:58.876]   In the mid-1990s, The Simpsons told us what was coming and the new COVID lockdowns are about to be announced.
[01:17:58.876 --> 01:18:06.876]   I'd like to call to order this secret conclave of America's media empires.
[01:18:07.604 --> 01:18:15.671]  We're here to come up with the next phony baloney crisis to put Americans back where they belong in dark rooms, glued to their televisions, too terrified to skip the commercials.
[01:18:16.111 --> 01:18:19.695]  Well, I think... NBC, you are here to listen and not speak.
[01:18:21.096 --> 01:18:23.018]  I think we should go with the good old-fashioned public health care.
[01:18:23.278 --> 01:18:23.398]  Yeah.
[01:18:24.813 --> 01:18:25.454]  A new disease.
[01:18:25.714 --> 01:18:26.334]  No one's immune.
[01:18:26.654 --> 01:18:29.917]  It's like the summer of the shark, except instead of a shark, it's an epidemic.
[01:18:30.117 --> 01:18:31.798]  And instead of summer, it's all the time!
[01:18:32.479 --> 01:18:36.702]  Now I hate to be the guy who derails what everybody else loves.
[01:18:36.722 --> 01:18:38.283]  He loves being that guy.
[01:18:38.363 --> 01:18:40.805]  But Janice, we do have standards.
[01:18:41.025 --> 01:18:42.726]  This can't be a made-up disease.
[01:18:42.986 --> 01:18:47.289]  The only moral thing to do is release a deadly virus into the general public.
[01:18:47.489 --> 01:18:50.932]  We do have something we've been holding on to, but it hasn't been tested.
[01:18:51.252 --> 01:18:51.993]  Get over here, NBC.
[01:18:54.314 --> 01:18:57.676]  Well, we certainly believe in testing, but I... Oh.
[01:19:00.197 --> 01:19:00.457]  Wow.
[01:19:01.158 --> 01:19:01.438]  Wow.
[01:19:01.718 --> 01:19:02.338]  Oh, yeah.
[01:19:02.579 --> 01:19:04.360]  So, we've got our deadly disease.
[01:19:04.760 --> 01:19:09.002]  Now we just have to blame it on something that's in every household.
[01:19:09.222 --> 01:19:11.623]  Something that people are a little bit afraid of already.
[01:19:12.004 --> 01:19:14.305]  House Cat Flu is coming, people.
[01:19:14.505 --> 01:19:21.889]  The Center for Disease Disinformation predicts with some degree of probability that the House Cat Flu might spread in the following hypothetical outbreak pattern.
[01:19:23.469 --> 01:19:33.739]   So petter beware, that warm body on your lap just might be be ready to destroy your tender vittles.
[01:19:34.739 --> 01:19:38.949]   Springfielders are advised to stay tuned for more information if they experience any of the following
[01:19:38.949 --> 01:19:39.739]  symptoms.
[01:19:40.634 --> 01:19:43.635]  Mild thirst, occasional hunger, tiredness at night.
[01:19:44.835 --> 01:19:46.996]  So we sit here calmly talking about this.
[01:19:47.216 --> 01:19:57.496]   Millions of Six-month-olds are being injected by their brainwashed parents with something that erases their immune system, implants cancer-causing prions in their body.
[01:19:58.537 --> 01:19:59.257]  That's the year, 2022.
[01:19:59.837 --> 01:20:01.238]  That's just where we are.
[01:20:01.618 --> 01:20:04.480]  They think you're too weak-minded, or I'm too weak-minded to face it.
[01:20:04.540 --> 01:20:05.020]  No, we're not.
[01:20:05.560 --> 01:20:06.521]  They'll be brought to justice.
[01:20:07.421 --> 01:20:09.762]  All right, we're taking your phone calls right now.
[01:20:10.883 --> 01:20:16.072]   And the caller I was about to go to Dustin in Florida is there.
[01:20:16.232 --> 01:20:21.676]  Dustin in Florida, truck driver, says people don't understand what's going on, but you see it in the supply chain.
[01:20:21.696 --> 01:20:22.396]  Tell us what you're seeing.
[01:20:23.997 --> 01:20:36.826]  Yeah, I just want to say I believe you will go down as one of the most important people in history, and people just don't understand the caliber of what's happening right now until it's right in our face.
[01:20:37.306 --> 01:20:41.348]  And it's just so important to try to get the word out there.
[01:20:41.368 --> 01:20:42.289]  I drive trucks.
[01:20:42.653 --> 01:20:47.213]   I ride it on the side of my truck, I got a flag, you know, we have to wait.
[01:20:47.213 --> 01:20:52.252]   As many people up, I got a Bluetooth speaker, I go into the truck stop with an episode of
[01:20:52.252 --> 01:20:56.972]   "New Plane." Every time I go into the truck stop trying to wake people up,
[01:20:56.972 --> 01:20:59.932]   all I can do is put the information out there, hopefully they listen,
[01:20:59.932 --> 01:21:05.851]   and I give out the website everywhere I go. By the way, Dustin, it's not all you're doing.
[01:21:05.851 --> 01:21:11.851]   Grassroots communication is the most powerful form if small people, you're not small,
[01:21:11.851 --> 01:21:17.613]   but that's how they see you. Activate and spread the word, it's a chain reaction, nothing can stop you.
[01:21:17.788 --> 01:21:18.368]  Absolutely.
[01:21:18.828 --> 01:21:22.409]  And only humans have ingrained in them, hey, hey, pssh, pass it on.
[01:21:22.729 --> 01:21:32.752]  We haven't ingrained, you gotta say, hey, it's forbidden, here it is, and then tell others, and then they do it, and people innately already know that, even if they're unconscious, it activates something, you understand?
[01:21:34.192 --> 01:21:46.695]  Absolutely, yes, and people really do, when they hear your voice, they go, hey, isn't that, and I go, yeah, Alex Jones, listen to him, and he is on point, knows what he's talking about, he needs to be protected at all costs.
[01:21:47.734 --> 01:21:50.296]  He will go down as one of the most important people in America.
[01:21:50.336 --> 01:21:53.879]  Well, brother, I appreciate that, but protect this transmission at all costs.
[01:21:54.339 --> 01:21:57.482]  I don't care what happens to me, but I am wracked with trying to keep us on air.
[01:21:57.802 --> 01:21:59.203]  We are so close to being shut down.
[01:21:59.543 --> 01:22:00.644]  So thank you for your word of mouth.
[01:22:00.804 --> 01:22:01.725]  God bless you, Dustin.
[01:22:02.185 --> 01:22:03.246]  Call me back again this week.
[01:22:03.526 --> 01:22:04.026]  I love you.
[01:22:04.427 --> 01:22:05.448]  All right, gotta get to everybody here.
[01:22:05.488 --> 01:22:07.329]  Let's go ahead and take another call.
[01:22:08.110 --> 01:22:10.111]  Mark in Illinois on the Georgia Guidestones.
[01:22:10.131 --> 01:22:11.172]  I got blown up Monday.
[01:22:11.192 --> 01:22:11.492]  Go ahead.
[01:22:12.873 --> 01:22:13.794]  Alex, thanks for having me on.
[01:22:13.834 --> 01:22:14.555]  It's a real honor.
[01:22:14.755 --> 01:22:15.715]  I want to go real fast.
[01:22:16.846 --> 01:22:22.148]  If you watch the video of the Georgia Guidestones exploding, they say 4 a.m., but it's more specific.
[01:22:22.688 --> 01:22:24.328]  The clock on the camera says 4-0-3-33.
[01:22:24.488 --> 01:22:27.869]  And I don't think that's a mistake.
[01:22:28.590 --> 01:22:29.710]  I don't think that's a mistake.
[01:22:29.750 --> 01:22:32.571]  I think they're taking down the first B system to install the next.
[01:22:33.071 --> 01:22:34.131]  But I'll leave that right there.
[01:22:34.671 --> 01:22:40.453]  What I really wanted to say was, this could be the most important message from a caller you've ever had.
[01:22:41.533 --> 01:22:49.975]   Every single listener right now Needs to stop spending money at big tech, streaming services, entertainment, and especially their cable bills.
[01:22:50.515 --> 01:22:51.196]  Cancel them.
[01:22:51.516 --> 01:22:51.816]  Now.
[01:22:52.356 --> 01:22:56.138]  Take 20% of the money you just saved and make a recurring donation.
[01:22:56.458 --> 01:22:57.559]  We're past buying products.
[01:22:57.679 --> 01:22:58.259]  Buy the products?
[01:22:58.419 --> 01:22:58.820]  Absolutely.
[01:22:58.840 --> 01:22:59.920]  I have every single one of them.
[01:23:00.500 --> 01:23:02.461]  Everybody needs to make a donation right now.
[01:23:02.942 --> 01:23:05.103]  You once said, that's the real power.
[01:23:05.323 --> 01:23:05.723]  Attack.
[01:23:06.143 --> 01:23:08.164]  Followed by one of your infamous battle cries.
[01:23:08.785 --> 01:23:10.185]  Well, I'm going to change it a little bit.
[01:23:10.626 --> 01:23:11.946]  Donating to the info war.
[01:23:12.346 --> 01:23:13.307]  That's the real power.
[01:23:14.625 --> 01:23:19.388]  Brother, I totally agree with you and you got to go to Infowarshore.com and do the support thing and find the link.
[01:23:19.728 --> 01:23:28.032]  We're going to start adding the donate link under every live show feed because I swear on my children, we're totally maxed out and we are so close to being shut down or imploding.
[01:23:28.333 --> 01:23:30.094]  So God bless you and I appreciate you, brother.
[01:23:30.114 --> 01:23:30.814]  Anything else, Mark?
[01:23:32.455 --> 01:23:33.035]  That's it, Alex.
[01:23:33.075 --> 01:23:34.216]  Thanks so much for what you're doing.
[01:23:34.256 --> 01:23:35.136]  Keep up the great work.
[01:23:35.176 --> 01:23:36.117]  You are the tip of the spear.
[01:23:37.196 --> 01:23:37.696]  Thank you, sir.
[01:23:37.736 --> 01:23:39.176]  I try to be... I'll just say this.
[01:23:40.037 --> 01:23:48.598]  May God strike me down if I'm not absolutely totally maxed out and have not spent almost all the funds I've got.
[01:23:48.959 --> 01:23:50.219]  I barely have any backup funds.
[01:23:50.259 --> 01:23:50.939]  And I'm not bitching.
[01:23:51.239 --> 01:23:51.999]  I believe in God.
[01:23:52.279 --> 01:23:52.959]  I know God's real.
[01:23:52.999 --> 01:23:54.540]  And maybe I'm supposed to be taken out of the fight right now.
[01:23:54.820 --> 01:23:55.720]  But I need support.
[01:23:55.860 --> 01:23:56.940]  Infowarsstore.com.
[01:23:57.240 --> 01:23:57.920]  You need support.
[01:23:57.960 --> 01:23:58.361]  We love you.
[01:23:58.401 --> 01:23:59.081]  We appreciate you.
[01:24:00.401 --> 01:24:03.322]  Let's go to Lee in Pennsylvania is next up.
[01:24:03.402 --> 01:24:04.142]  Lee, thanks for holding.
[01:24:04.462 --> 01:24:04.862]  Go ahead, Lee.
[01:24:06.769 --> 01:24:07.890]  Hi, Alex.
[01:24:08.050 --> 01:24:08.570]  Love your show.
[01:24:08.590 --> 01:24:09.731]  Good to finally talk to you.
[01:24:09.991 --> 01:24:10.331]  Yes, sir.
[01:24:10.372 --> 01:24:10.732]  Thank you.
[01:24:12.673 --> 01:24:19.218]  I wanted to talk to you about, whenever you were on Blair White's podcast, I remember you saying that you felt really white-pilled about the future.
[01:24:19.738 --> 01:24:26.843]  But on your show on July 7th, you seemed rather, you know, not so happy, not so looking forward to what's coming.
[01:24:27.243 --> 01:24:31.706]  You were saying that sometimes we may not have 10 more years, even.
[01:24:31.726 --> 01:24:38.073]   So I was just wondering, like, right now, how much your overall That's a great question.
[01:24:38.113 --> 01:24:40.914]  You know, I don't get orders from anybody except God.
[01:24:40.934 --> 01:24:43.454]  And I feel optimistic some days.
[01:24:43.514 --> 01:24:44.354]  I don't other days.
[01:24:44.374 --> 01:24:45.875]  Because we're winning overall.
[01:24:45.935 --> 01:24:46.695]  People are waking up.
[01:24:47.175 --> 01:24:49.195]  And so, in the end, I feel white-pilled.
[01:24:49.555 --> 01:24:50.796]  Currently, I feel black-pilled.
[01:24:50.896 --> 01:24:51.596]  Very desperate.
[01:24:51.916 --> 01:24:54.936]  So I think currently, the flesh feels black-pilled.
[01:24:55.536 --> 01:24:56.837]  The spirit feels white-pilled.
[01:24:56.857 --> 01:24:57.477]  Does that make sense?
[01:24:57.497 --> 01:24:59.757]  Oh, it makes total sense.
[01:24:59.817 --> 01:25:01.697]  I mean, I always go back and forth.
[01:25:01.757 --> 01:25:04.018]  I mean, I always try to stay white-pilled.
[01:25:05.239 --> 01:25:08.241]  I've listened to you, I've really thought about God a lot more and stuff like that.
[01:25:08.261 --> 01:25:24.228]  The only other thing I wanted to ask you about was, you know, I'm in my early 20s, I have a girlfriend I want to get married to in a couple years, but hearing about all this control and how globalists come after people you love, I'm just curious, like, what do you think, for someone in my shoes right now, is the best course of action?
[01:25:24.949 --> 01:25:33.233]  Brother, keep loving, get a wife, have children, bet on life, that's the biggest double down there is, and just don't give up.
[01:25:33.965 --> 01:25:35.106]  Don't let them shut you down.
[01:25:35.526 --> 01:25:37.508]  Don't make them let you become depressed.
[01:25:37.528 --> 01:25:39.269]  When I tell you that, I'm giving myself that advice.
[01:25:39.289 --> 01:25:43.052]  When I point my finger at you, Lee, it's back at me three fingers.
[01:25:43.092 --> 01:25:45.634]  Man, I have just got to realize it's God's plan.
[01:25:45.994 --> 01:25:47.175]  It's a larger operation.
[01:25:47.295 --> 01:25:48.476]  I've just got to be a good person.
[01:25:48.496 --> 01:25:49.777]  Fight as hard as I can.
[01:25:49.817 --> 01:25:50.438]  I appreciate you.
[01:25:50.478 --> 01:25:50.998]  God bless you.
[01:25:51.538 --> 01:25:52.319]  Incredible calls.
[01:25:52.379 --> 01:25:53.440]  These are incredible calls.
[01:25:53.460 --> 01:25:54.180]  Just incredible.
[01:25:54.941 --> 01:25:55.642]  I feel so bad.
[01:25:55.662 --> 01:26:01.126]  We got three minutes left and we got like a bunch of calls left, but I'll go to the order they received.
[01:26:01.186 --> 01:26:01.966]  Mike in Colorado.
[01:26:01.986 --> 01:26:02.527]  Go ahead, Mike.
[01:26:03.911 --> 01:26:06.293]  Yeah, hey Alex, a pleasure to speak with you.
[01:26:06.313 --> 01:26:07.674]  This is great.
[01:26:08.054 --> 01:26:18.762]  I'm a legal immigrant from 1970s Poland and I know exactly what it means to have one tank of gas a month when you're given a coupon from the government.
[01:26:19.663 --> 01:26:24.927]  And in fact, I remember my uncle siphoning gas out of his car to get us out.
[01:26:25.227 --> 01:26:26.948]  And again, you're from Poland, it's on record.
[01:26:26.988 --> 01:26:28.649]  They used it to control you.
[01:26:28.669 --> 01:26:30.711]  How great the Polish people are.
[01:26:31.051 --> 01:26:32.132]  How much they love freedom.
[01:26:33.268 --> 01:26:33.889]  Exactly.
[01:26:34.329 --> 01:26:34.849]  Exactly.
[01:26:34.970 --> 01:26:39.193]  And I first heard you on 9-11 and a buddy of mine was like, listen to this guy.
[01:26:39.233 --> 01:26:40.995]  He's got a different point of view.
[01:26:41.095 --> 01:26:42.396]  And it's very, very interesting.
[01:26:42.416 --> 01:26:43.557]  And I've been listening ever since.
[01:26:44.197 --> 01:26:45.639]  This is my first call.
[01:26:46.319 --> 01:26:51.624]  And, you know, fast forward a few decades and I'm in a global fuel logistics company.
[01:26:52.284 --> 01:26:59.931]  And it's amazing to see the shortages that are coming with distribution of jet fuel and fuel for ships.
[01:27:00.935 --> 01:27:06.916]  We used to get some messages that, you know, there would be restrictions, you know, after hurricanes.
[01:27:06.996 --> 01:27:09.217]  And now it's like, it's coming in weekly.
[01:27:09.677 --> 01:27:19.898]  And if you think there's delays bad right now with airlines and other logistics, I think it's going to get a lot worse, unfortunately.
[01:27:20.158 --> 01:27:20.999]  Mike, I love you.
[01:27:21.439 --> 01:27:22.359]  And I appreciate you.
[01:27:22.479 --> 01:27:23.479]  And I said I'd do it.
[01:27:23.519 --> 01:27:24.019]  We've been busy.
[01:27:24.039 --> 01:27:24.419]  I haven't done it.
[01:27:24.779 --> 01:27:29.120]  We're going to start three nights a week doing nothing but calls with no breaks.
[01:27:31.085 --> 01:27:32.826]  And by the way, we're going to give the number out.
[01:27:33.006 --> 01:27:36.507]  Owen's about to take over for two hours, and he's going to take your calls.
[01:27:36.587 --> 01:27:40.268]  So Vinny and Gilbert and Mike, he wants to talk to you.
[01:27:40.688 --> 01:27:42.008]  Don't hang up, Mike in Colorado.
[01:27:42.408 --> 01:27:44.509]  Owen Schroer is going to go right to you when he starts.
[01:27:44.929 --> 01:27:48.230]  The next two hours, only six minutes an hour in Sunday Live.
[01:27:48.250 --> 01:27:49.291]  We've cut the network ads.
[01:27:49.311 --> 01:27:50.851]  They're only local ads for the local stations.
[01:27:51.311 --> 01:27:52.471]  So don't hang up.
[01:27:52.592 --> 01:27:53.852]  Toll free number to join us.
[01:27:53.872 --> 01:27:54.072]  877-789-2539.
[01:27:53.891 --> 01:28:02.570]  us 877-789-2539. The cavalry's coming.
[01:28:02.570 --> 01:28:09.331]  Next broadcast coming up.
[01:28:08.111 --> 01:28:08.692]  Straight Ahead.
[01:28:09.173 --> 01:28:10.335]  It's gonna get a lot worse, folks.
[01:28:10.355 --> 01:28:11.317]  There may be nuclear war.
[01:28:11.758 --> 01:28:13.320]  Get right with God now before it's too late.
[01:28:13.962 --> 01:28:16.066]  Owen Schroeder and Sunday Live.
[01:28:16.086 --> 01:28:16.586]  Straight Ahead.
[01:28:16.627 --> 01:28:17.127]  Your call.
[01:28:17.168 --> 01:28:17.648]  Straight Ahead.
[01:28:17.668 --> 01:28:18.109]  Stay with us.
[01:28:20.117 --> 01:28:27.160]  Ladies and gentlemen, in the last 30 months we've witnessed the globalists hit humanity and hit humanity extremely hard.
[01:28:27.981 --> 01:28:38.026]  It is beyond critical that everyone listening to the sound of my voice protect yourselves and your families to the greatest extent possible, and these two new sales do that.
[01:28:38.446 --> 01:28:42.948]  We have the ultimate immune support, 60% off when you get these four items together.
[01:28:43.248 --> 01:28:47.490]  The immune support, X2, D3 gummies, and multivitamin.
[01:28:47.950 --> 01:29:14.608]   The immune support, formula is incredible by itself these other three together it is amazing 60% off then the trifecta immune support 50% off on immune support x2 and d3 gummies and then 40% off on x2 now back in stock at info or store.com Now just the x2 alone is the missing link with most people highest quality deep breath crystal iodine Beyond critical for immune system in your whole body.
[01:29:14.928 --> 01:29:23.053]   It's 40% off back in stock, but get for the products together for 60% off Ladies and gentlemen, we have the truth.
[01:29:23.374 --> 01:29:24.814]  We have the smoking gun evidence.
[01:29:24.875 --> 01:29:27.196]  We know what happened during the 2020 election.
[01:29:27.776 --> 01:29:31.459]  How the deep state controlled Democrats stole the election.
[01:29:31.759 --> 01:29:34.501]  All the proof, absolutely cut and dry.
[01:29:35.141 --> 01:29:36.122]  There's no denying it.
[01:29:36.662 --> 01:29:38.904]  It's the film 2,000 Mules by Dinesh D'Souza.
[01:29:39.304 --> 01:29:45.428]  And we have the DVD with the expanded extras available right now at infowarestore.com.
[01:29:45.928 --> 01:29:56.310]  You can also get the DVD with massive discounts when you get it with other films like Endgame, Blueprint for Global Enslavement, and the new COVIDland, The Shot, Part 3 that just came out.
[01:29:56.869 --> 01:30:01.432]  Ladies and gentlemen, this is the film every American must have.
[01:30:01.972 --> 01:30:04.574]  This is the most important documentary ever made in U.S.
[01:30:04.614 --> 01:30:11.778]  history because it proves that a major presidential election was stolen and it shows how they did it and how they're planning to do it again.
[01:30:12.138 --> 01:30:18.763]  Get 2,000 mules now at InfoWareStore.com and show it to everyone you can so they don't steal the next election.
[01:30:20.063 --> 01:30:32.783]   PrepareToday.com PrepareToday.com or simply follow the URL that is a hyperlink to PrepareToday.com from PrepareWithAlex.com.
[01:30:33.403 --> 01:30:38.745]  High quality, storable food is now back in stock, ready to ship to you and your family.
[01:30:39.165 --> 01:30:42.446]  We've not sold food for three months because there was a wait.
[01:30:43.066 --> 01:30:44.206]  Now there is not a wait.
[01:30:44.686 --> 01:30:50.788]  Almost every other storable food distributor is completely out and will not have more food for months, if ever.
[01:30:51.168 --> 01:30:53.569]  And the prices are exploding.
[01:30:54.089 --> 01:30:59.110]  Ladies and gentlemen, now is the time to protect yourself and your family and not be dependent on the system.
[01:30:59.430 --> 01:31:01.050]  The time to be self-sufficient is now.
[01:31:01.391 --> 01:31:06.972]  We have the best deals on high quality storable food and a whole spectrum of other preparedness and survival items right now.
[01:31:07.512 --> 01:31:09.435]  PrepareToday.com.
[01:31:09.736 --> 01:31:16.727]  That's PrepareToday.com or simply type in PrepareWithAlex.com and it's a hyperlink to PrepareToday.com.
[01:31:17.108 --> 01:31:19.091]  Get prepared now at PrepareToday.com.
