[00:00:06.197 --> 00:00:07.687]  I'm not sure.
[01:18:45.794 --> 01:18:49.096]  It looked exactly like him and they had him in custody.
[01:18:49.756 --> 01:18:49.956]  All right?
[01:18:49.976 --> 01:18:55.699]  They had him in custody behind my house and I wanted to take pictures but I was honestly too afraid to use my camera.
[01:18:56.477 --> 01:19:03.583]  That's why I didn't actually take any visual photography during the alleged crime, and he was the man who was missing.
[01:19:03.643 --> 01:19:09.307]  And then later people assumed he might have been the bomber on online because he had been missing for a while.
[01:19:09.567 --> 01:19:10.748]  And then they found him dead in a river.
[01:19:11.729 --> 01:19:13.810]  As soon as I heard that they had found him dead.
[01:19:14.391 --> 01:19:18.153]  I mean, at this point, I'm not surprised, but.
[01:19:20.255 --> 01:19:23.898]  To think that that was happening so close to me, just add
[01:19:24.864 --> 01:19:40.499]  To the to the terror of what was happening because I mean I hope the audience understands here that the severity of the and I'm going to have to use the words inside job that's taking place and false flag because it is
[01:19:42.004 --> 01:19:48.106]  It's gone so far that it's wreaked havoc into, well, my life personally.
[01:19:48.146 --> 01:19:51.948]  I'm not going to say that I didn't deserve it or anything because, you know, I don't know.
[01:19:52.248 --> 01:19:53.869]  Maybe I needed to experience this.
[01:19:54.429 --> 01:19:56.510]  But this is a very big deal.
[01:19:56.810 --> 01:20:00.651]  The level of manipulation and lies which are coming forth.
[01:20:00.691 --> 01:20:02.672]  And this is just the beginning of my story.
[01:20:03.274 --> 01:20:03.654]  Right.
[01:20:03.674 --> 01:20:04.134]  Let me go back.
[01:20:04.274 --> 01:20:05.415]  One more detail.
[01:20:05.755 --> 01:20:13.077]  When you saw, or where you think you saw, Sunil Tripali, was this near your house, behind your house?
[01:20:14.337 --> 01:20:15.298]  What are the details of that?
[01:20:16.198 --> 01:20:17.418]  All right.
[01:20:17.878 --> 01:20:21.539]  I saw him behind my house.
[01:20:21.759 --> 01:20:26.361]  On Thursday night, the original, it's like they had their headquarters, I think it was,
[01:20:28.194 --> 01:20:29.634]  Dexter Avenue is what it's called.
[01:20:29.735 --> 01:20:29.995]  No.
[01:20:30.715 --> 01:20:47.000]  Anyway, it's a street adjunct to Dexter, and it is behind my house, and they kind of had their headquarters there, and they had this guy in custody, and it just seemed so strange to me what he was doing there, because obviously he was in custody to me, and he looked like the exact same guy.
[01:20:47.060 --> 01:20:56.003]  I don't know what much else to say about this, because it's my personal witness testimony, and it is just from my own eyes, and that's it, really.
[01:20:56.923 --> 01:20:57.043]  Yeah.
[01:20:57.063 --> 01:20:58.344]  Okay, we'll go ahead and continue.
[01:20:58.764 --> 01:21:01.346]  Keep going with the rest of Thursday night going into Friday.
[01:21:01.366 --> 01:21:02.466]  All right.
[01:21:03.527 --> 01:21:10.971]  Uh Thursday night comes to a slow close because of the fact that I saw the suspect who had no idea was going to be connected to this.
[01:21:11.031 --> 01:21:12.672]  Some ultra folly character later on.
[01:21:13.532 --> 01:21:15.473]  Um I assumed it was over.
[01:21:16.054 --> 01:21:17.295]  Okay I thought they got the guy.
[01:21:17.375 --> 01:21:18.815]  I'm not really reading the news too much
[01:21:25.934 --> 01:21:29.775]  Okay, it's Friday morning, come Friday morning, things get very scary, people.
[01:21:30.136 --> 01:21:31.376]  Things get very ugly.
[01:21:31.656 --> 01:21:36.038]  Okay, this is when true military force comes into Watertown.
[01:21:36.698 --> 01:21:39.799]  I cannot, I cannot count the amount of police.
[01:21:39.899 --> 01:21:45.461]  I think there were in the thousands, like around 7,000 that were actually in Watertown or Boston area.
[01:21:46.141 --> 01:21:50.023]  But they had pseudo tanks, that's what I like to call them, like you see in the picture.
[01:21:50.283 --> 01:21:51.143]  Right, yeah.
[01:21:51.503 --> 01:21:53.204]  We're showing them right now, actually, yeah.
[01:21:54.167 --> 01:21:56.909]  Yeah, the guy there, they have SWAT gunners.
[01:21:56.950 --> 01:21:59.392]  They also have the other guy who doesn't even wear a helmet.
[01:22:02.735 --> 01:22:07.199]  Before I become a mess here, let me try and be more calculated.
[01:22:08.860 --> 01:22:13.664]  The morning of Friday, you've heard everything about martial law.
[01:22:13.704 --> 01:22:14.625]  You know what happened.
[01:22:15.166 --> 01:22:21.051]  Okay, but the significance of my experience was, first of all, I think they tapped everyone's lines.
[01:22:22.054 --> 01:22:24.475]  Because, well, it's a crime scene.
[01:22:24.695 --> 01:22:25.896]  Everyone is suspect.
[01:22:26.236 --> 01:22:27.637]  It's a large crime scene.
[01:22:27.657 --> 01:22:28.617]  They tapped phone lines.
[01:22:28.677 --> 01:22:29.658]  I think they tapped internet.
[01:22:30.238 --> 01:22:42.264]  Also, Boston Globe gave us a call that morning, which was very terrifying, because that's when there was a huge stakeout of dozens and dozens of federal officers around our house, before what was about to come, which I'll explain soon.
[01:22:44.005 --> 01:22:51.609]  And I think that that was a preemptive strike, that they were working in conjunct, or they were the police, to try and identify who was in our house, pretending to be Boston Globe.
[01:22:52.830 --> 01:22:59.735]  Because allegedly they were looking for hostages or they were looking for people who are withholding the terrorists in some shape or form.
[01:22:59.896 --> 01:23:15.867]  So shortly after that, we were looking through our blinds, we're looking through our blinds, and you also see an update from the police on their Twitter that people are looking through their curtains and they're acting like it's a very suspicious activity.
[01:23:16.007 --> 01:23:19.029]  I'm sorry, I'm terrified of this Nazi Germany police state.
[01:23:19.249 --> 01:23:20.731]  Let me look through my blinds.
[01:23:20.951 --> 01:23:21.271]  I'm sorry.
[01:23:22.304 --> 01:23:22.765]  We'll bleep that.
[01:23:22.865 --> 01:23:23.346]  Don't worry.
[01:23:23.426 --> 01:23:23.766]  Go ahead.
[01:23:24.027 --> 01:23:24.247]  All right.
[01:23:24.267 --> 01:23:24.608]  All right.
[01:23:25.509 --> 01:23:25.769]  Okay.
[01:23:26.571 --> 01:23:32.559]  Shortly after that, there was, you know, they're coming to your house.
[01:23:32.900 --> 01:23:33.220]  Okay.
[01:23:33.761 --> 01:23:36.145]  And what happened next was the worst of it.
[01:23:37.566 --> 01:23:40.407]  They came to my back door, they're knocking on it saying, come out!
[01:23:40.627 --> 01:23:41.407]  Come out now!
[01:23:41.827 --> 01:23:42.808]  Get out here right now!
[01:23:42.868 --> 01:23:43.568]  Get out here now!
[01:23:44.148 --> 01:23:46.889]  And I'm thinking, is this my last day?
[01:23:46.989 --> 01:23:48.110]  Am I going to die?
[01:23:48.130 --> 01:23:52.211]  Am I going to be somehow dragged into this under false pretenses?
[01:23:52.651 --> 01:23:53.411]  I don't know.
[01:23:53.912 --> 01:24:00.974]  So I begin to slowly draw open the door with hands up in this manner saying,
[01:24:01.983 --> 01:24:05.985]  Please, I'm here, I'm here, I'm coming out, I'm coming out.
[01:24:06.566 --> 01:24:15.151]  And it's like, at any given moment, they could have shot me, even though I was being so-called compliant, which, you know, I just had to be, from what it seemed, reluctantly.
[01:24:16.171 --> 01:24:17.792]  But anyway, I step outside.
[01:24:18.173 --> 01:24:28.719]  I'm staring at more than a dozen, I think it was around 15 officers, military-style, with assault rifles, M16s, aimed at my face.
[01:24:29.426 --> 01:24:31.187]  And I just said, I'm scared, guys.
[01:24:31.708 --> 01:24:32.248]  I'm scared.
[01:24:32.789 --> 01:24:38.032]  And right away, after I said, I'm scared, I said, come inside, you know, like shivering.
[01:24:38.433 --> 01:24:40.634]  And they said, clear, clear.
[01:24:40.654 --> 01:24:44.017]  So anyway, that was the worst of Friday morning.
[01:24:44.317 --> 01:24:45.638]  And so they left at that point?
[01:24:45.738 --> 01:24:46.899]  Or did they come into your house?
[01:24:47.880 --> 01:24:57.587]  That was the initial, I'm going to say, so-called clearance, because they were doing a total militarized, like, the terrorists are going to kill us in any house.
[01:24:58.866 --> 01:25:03.410]  I honestly feel that my street was under the hottest tension at that time.
[01:25:03.950 --> 01:25:09.634]  People, the amount of guns aimed at people was just crazy.
[01:25:09.735 --> 01:25:16.460]  I don't know if they were the most paranoid at that moment around 9 a.m., but yeah, I'm starting to kind of lose track of what I'm saying here.
[01:25:16.480 --> 01:25:18.001]  Hopefully you can keep me aligned.
[01:25:18.021 --> 01:25:18.561]  Yeah, yeah.
[01:25:18.782 --> 01:25:22.464]  Well, I understand where you're going with, and you even interviewed one of your neighbors as well.
[01:25:22.605 --> 01:25:26.628]  It was a neighbor that we interviewed, and she basically said the same story both times.
[01:25:27.574 --> 01:25:27.854]  Correct.
[01:25:27.994 --> 01:25:28.714]  Loretta, yes.
[01:25:28.854 --> 01:25:29.075]  Yeah.
[01:25:29.715 --> 01:25:30.795]  So anyway, go ahead.
[01:25:30.835 --> 01:25:33.116]  So they've left at this point, right?
[01:25:33.156 --> 01:25:34.456]  The first time they've come to your house.
[01:25:35.096 --> 01:25:37.257]  Yeah, the initial sweep is over.
[01:25:37.897 --> 01:25:44.640]  And it's basically terror all day, making you completely sick to your stomach, like, I can't live.
[01:25:45.260 --> 01:25:50.341]  If I would have had to put up with this for longer than 24 hours, I would have had serious health problems.
[01:25:51.322 --> 01:25:54.883]  I would have really started, my body would have started degrading severely.
[01:25:55.672 --> 01:25:58.674]  Because of the stress that it was putting upon me.
[01:25:58.694 --> 01:25:59.395]  I couldn't sleep.
[01:25:59.895 --> 01:26:02.577]  It was literally Nazi Germany, okay?
[01:26:02.617 --> 01:26:10.302]  And I actually, I did have a friend who I can't name who was assaulted by police and he was detained.
[01:26:11.003 --> 01:26:11.763]  He's my neighbor.
[01:26:11.943 --> 01:26:12.684]  And what was he doing?
[01:26:12.704 --> 01:26:13.765]  Was he out of his house?
[01:26:13.805 --> 01:26:14.385]  What was he doing?
[01:26:16.547 --> 01:26:19.889]  He's severely addicted to cigarettes and he had to go have a smoke.
[01:26:20.974 --> 01:26:23.555]  And he had no nicotine patches, and he had to go outside.
[01:26:23.735 --> 01:26:34.397]  And when he did, the militarized police, they profiled him racially as well, because he looks similar to the suspects.
[01:26:34.997 --> 01:26:38.157]  Was he Indian?
[01:26:38.437 --> 01:26:40.238]  He's not Indian, no.
[01:26:41.238 --> 01:26:45.719]  But he comes from the same country that they do come from.
[01:26:45.739 --> 01:26:45.819]  Okay.
[01:26:48.496 --> 01:26:48.957]  Yeah, I think so.
[01:27:01.687 --> 01:27:02.988]  They assaulted him first.
[01:27:03.008 --> 01:27:05.370]  They actually punched him at least one time in the ribs.
[01:27:05.830 --> 01:27:07.091]  And then they detained him.
[01:27:07.371 --> 01:27:11.734]  And he said to me, look, my friend, they weren't detaining me for any good reason.
[01:27:11.774 --> 01:27:13.435]  They know I didn't do anything.
[01:27:13.455 --> 01:27:14.516]  I said, so why did they do it?
[01:27:14.536 --> 01:27:19.860]  And he goes, brute force, intimidation, power, a show of force.
[01:27:21.140 --> 01:27:22.982]  And he said, this is all a coup.
[01:27:23.302 --> 01:27:24.903]  That was his great insinuation there.
[01:27:25.303 --> 01:27:27.044]  Nothing's really happening, my friend.
[01:27:27.425 --> 01:27:29.166]  So he knew that this was an inside job.
[01:27:30.754 --> 01:27:31.975]  Okay, we'll keep going.
[01:27:32.035 --> 01:27:34.216]  So they come back to your place at some point.
[01:27:34.256 --> 01:27:34.917]  What happened then?
[01:27:35.457 --> 01:27:35.777]  Correct.
[01:27:35.918 --> 01:27:47.666]  After somewhat midday, the pseudo tank rolls by and then a large Humvee and SWAT, a large SWAT team comes into my house.
[01:27:48.026 --> 01:27:52.089]  And I'll be honest, I do not even remember if they asked if they could come in or not.
[01:27:52.409 --> 01:27:53.510]  But let me make a point here.
[01:27:53.950 --> 01:27:58.333]  Prior to them coming into my house, I heard them outside because my windows are not very thick.
[01:27:58.951 --> 01:28:04.613]  And they were saying something along the lines of, said it was staged on Facebook.
[01:28:05.694 --> 01:28:06.414]  So you heard that?
[01:28:06.534 --> 01:28:06.994]  You heard that?
[01:28:07.154 --> 01:28:08.214]  I heard that, correct.
[01:28:08.595 --> 01:28:11.296]  And had you been saying that on Facebook, that it had been staged?
[01:28:11.876 --> 01:28:12.756]  Yes, I did, Rob.
[01:28:13.656 --> 01:28:13.776]  Ah.
[01:28:14.157 --> 01:28:19.459]  So you think, well, you know, we do have reports that DHS is monitoring Facebook and Twitter in real time.
[01:28:20.539 --> 01:28:21.139]  Yes, I know.
[01:28:22.180 --> 01:28:22.600]  I know, Rob.
[01:28:22.980 --> 01:28:23.240]  Wow.
[01:28:23.780 --> 01:28:24.741]  Okay, we'll continue.
[01:28:27.674 --> 01:28:32.200]  So as you can imagine at this point, this is obviously very humiliating.
[01:28:32.280 --> 01:28:35.184]  I thought because of my beliefs I was in deep trouble.
[01:28:36.281 --> 01:28:41.364]  Uh, which is why I've been actually probably really reluctant, ironically, that I'm being interviewed now to talk about this.
[01:28:41.444 --> 01:28:45.647]  But I feel that there is a safety net to come forth and talk about this here.
[01:28:45.667 --> 01:28:46.888]  Well, it's better to talk about it.
[01:28:47.208 --> 01:28:48.589]  And let me make another point.
[01:28:48.669 --> 01:28:50.730]  Your Facebook is actually set to private.
[01:28:50.970 --> 01:28:56.914]  So if they were looking at your Facebook, there is no privacy when you set it to private when it comes to DHS.
[01:28:57.554 --> 01:28:58.194]  I couldn't agree more.
[01:28:58.214 --> 01:28:58.655]  So it would seem.
[01:28:59.676 --> 01:29:05.103]  And that was what I had learned from this is that there is no privacy on Facebook, at least whatsoever.
[01:29:05.123 --> 01:29:05.724]  All right.
[01:29:05.764 --> 01:29:07.146]  So they're coming in this time.
[01:29:07.266 --> 01:29:08.508]  And how many officers?
[01:29:09.771 --> 01:29:12.154]  There was at least a dozen SWAT teams.
[01:29:12.454 --> 01:29:17.879]  It was an isolated team, as if they had been separated and told to go to different areas within Watertown.
[01:29:18.559 --> 01:29:21.582]  So this was one isolated SWAT team.
[01:29:22.023 --> 01:29:23.984]  These guys did not want to do this.
[01:29:24.605 --> 01:29:26.667]  They seemed like they didn't care anymore.
[01:29:27.127 --> 01:29:28.629]  Regardless, they did ask.
[01:29:28.989 --> 01:29:30.490]  I think they asked to raid my house.
[01:29:30.731 --> 01:29:33.053]  I'm sorry, but I can't remember, honestly.
[01:29:35.499 --> 01:29:41.200]  I wasn't even going to hesitate, because what I heard them saying outside, I just thought, let them in.
[01:29:41.300 --> 01:29:47.782]  I will not let myself even be any more of a pain in this situation, because this is way too hot.
[01:29:48.302 --> 01:29:51.163]  This is way too hot, and I'm just going to see what happens.
[01:29:51.283 --> 01:29:53.483]  Did they tell you to put your hands up when you came out?
[01:29:53.523 --> 01:29:55.244]  These guys did not do that, actually.
[01:29:55.304 --> 01:29:55.904]  They did not.
[01:29:57.984 --> 01:30:01.205]  They were probably the most polite officers about the whole thing.
[01:30:01.866 --> 01:30:04.988]  They so I do want to make a slight point of that.
[01:30:05.229 --> 01:30:09.131]  I think they might have been Boston SWAT or Watertown SWAT.
[01:30:10.893 --> 01:30:15.256]  Instead of outside forces coming in, they did not appear to be federal.
[01:30:15.476 --> 01:30:16.597]  OK, so yeah.
[01:30:17.396 --> 01:30:19.878]  Um, anyway, they asked my wife and I to come outside.
[01:30:19.918 --> 01:30:21.019]  I had no shoes on.
[01:30:21.660 --> 01:30:25.163]  We brought our dog because we could not let our dog pee all day.
[01:30:25.183 --> 01:30:25.483]  Yeah.
[01:30:25.543 --> 01:30:29.026]  Because every time we did, we'd have guns aimed at us or the threat of frisking.
[01:30:29.526 --> 01:30:35.291]  You know, I saw people, little girls being harassed, little girls, because they're trying to go outside.
[01:30:36.051 --> 01:30:39.314]  But I think that we kind of already know that that's gone on quite a bit.
[01:30:39.494 --> 01:30:40.015]  Yeah, yeah.
[01:30:42.353 --> 01:30:46.594]  They corralled us, me and my neighbors, because they took a lot of us out at once.
[01:30:46.714 --> 01:30:48.775]  They wanted to check our houses.
[01:30:50.135 --> 01:30:52.216]  They asked me if they could go in the basement.
[01:30:52.676 --> 01:30:55.757]  I said yes, and I also indicated that my neighbor did have a key.
[01:31:00.398 --> 01:31:02.499]  So they took us and we went on a walk.
[01:31:04.139 --> 01:31:05.880]  So they took you away from your house at that point?
[01:31:06.440 --> 01:31:11.942]  It took me away from my house, and I actually had a conversation with the SWAT officer, and he was very apologetic.
[01:31:12.002 --> 01:31:14.783]  He was very apologetic, which I thought was curious to me personally.
[01:31:15.724 --> 01:31:22.526]  So I decided to ask him a few questions, and I said, so it must be really troubling, you know, not having a lead, any solid lead about what's going on, right?
[01:31:22.546 --> 01:31:29.009]  I mean, he didn't say anything naturally, and I said, well, I think I said something else.
[01:31:29.249 --> 01:31:34.231]  Try to get some information out of him to no avail, but he seemed
[01:31:35.080 --> 01:31:40.265]  It seems as though some of the local law enforcement was a little confused, and I just want to say that.
[01:31:40.646 --> 01:31:41.507]  Oh, I believe you.
[01:31:42.508 --> 01:31:54.019]  When I was at the G20 in Pittsburgh in 2009, there was a dramatic difference between how the local police acted, and you can tell by their accents, because Pittsburgh has a very distinct accent.
[01:31:54.079 --> 01:31:54.740]  Pittsburghers do.
[01:31:55.180 --> 01:32:00.402]  And they brought in SWAT and other police from Miami, from all over the country.
[01:32:00.983 --> 01:32:07.285]  And the ones that were not from the hometown acted a lot more aggressive than the ones who were from the hometown.
[01:32:07.305 --> 01:32:09.006]  And I could see why.
[01:32:09.026 --> 01:32:10.186]  You know, these are my neighbors.
[01:32:10.227 --> 01:32:11.527]  I might know some of these people.
[01:32:11.807 --> 01:32:12.988]  It's probably what's going through their minds.
[01:32:13.008 --> 01:32:14.148]  But go ahead and continue.
[01:32:15.329 --> 01:32:18.070]  OK, so these guys, the SWAT team,
[01:32:19.048 --> 01:32:19.869]  We're polite enough.
[01:32:20.469 --> 01:32:34.318]  And they essentially held us out for a time, of which I still hesitantly felt like they were suspicious of me, possibly in connection to what I had said earlier.
[01:32:34.338 --> 01:32:37.220]  So, I was kind of on guard a bit.
[01:32:37.340 --> 01:32:43.064]  But then they eventually said, the FBI drove by me and a woman said, you're clear, you're clear.
[01:32:43.084 --> 01:32:43.385]  So, I thought,
[01:32:44.540 --> 01:32:46.922]  Okay, well this is fascinatingly great.
[01:32:47.822 --> 01:32:53.125]  So we got to go back to our houses and that was a relief, but we were still under martial law at this time.
[01:32:53.345 --> 01:32:53.626]  Right.
[01:32:54.286 --> 01:32:55.046]  Correctly so.
[01:32:55.447 --> 01:33:01.971]  And how did you, what word did you get when you weren't under martial law, which MSNBC says never happened?
[01:33:03.512 --> 01:33:04.972]  I'm sorry, can you explain that?
[01:33:05.273 --> 01:33:10.756]  When did you get the word that you were no longer in martial law, or that no longer in lockdown?
[01:33:10.876 --> 01:33:13.878]  I think the term that the governor used was shelter in place,
[01:33:15.643 --> 01:33:27.010]  Well, I think they were saying that this was a voluntary lockdown was what they wanted to say afterwards, right?
[01:33:27.130 --> 01:33:27.850]  Of course.
[01:33:28.130 --> 01:33:29.471]  Yeah, but obviously it wasn't.
[01:33:29.951 --> 01:33:33.133]  And, um, they no one told me that I could go back outside.
[01:33:33.153 --> 01:33:37.436]  I was just looking outside and things seemed really.
[01:33:38.291 --> 01:33:39.532]  Yeah, so-called free country.
[01:34:00.040 --> 01:34:02.723]  And so, since then, you're obviously distressed.
[01:34:02.743 --> 01:34:04.545]  You're still stressed out about this, I can tell.
[01:34:07.127 --> 01:34:19.760]  What do you think when you see these other news outlets, these mainstream media outlets, saying, there was nothing wrong, we had to do this, trying to make excuses for the police basically brutalizing and terrorizing the citizens?
[01:34:20.620 --> 01:34:24.521]  I've been doing this for so long, telling the truth.
[01:34:26.122 --> 01:34:29.863]  And I've really, I've been quite an avid fan of InfoWars for many years.
[01:34:32.124 --> 01:34:37.126]  I really don't, I am not surprised, but I'm extremely disappointed.
[01:34:37.526 --> 01:34:49.310]  So there's not much for me to say, you know, because I understand the level of deceit and why people don't get it and why the mainstream media is on a certain payroll, just like the feds were.
[01:34:49.670 --> 01:34:49.850]  Right.
[01:34:51.092 --> 01:34:57.255]  Well, and you were telling me earlier right before we started this interview that you wish, um, you know, more people would come out and speak out.
[01:34:57.315 --> 01:34:58.055]  Why don't you know?
[01:34:58.095 --> 01:34:59.956]  Here's your chance to talk to these people right now.
[01:35:00.016 --> 01:35:03.457]  Look straight into your camera and and, you know, tell them what you feel.
[01:35:03.477 --> 01:35:06.879]  Specifically my neighbors, right?
[01:35:07.079 --> 01:35:09.840]  Yeah, that's I think that.
[01:35:11.081 --> 01:35:20.525]  That I well, first of all, there was a guy who made a video about this about Marshall and I think maybe I try to get ahold of him and he didn't want to.
[01:35:21.570 --> 01:35:23.231]  They don't want to talk about this, I think.
[01:35:23.251 --> 01:35:24.571]  That's the feeling I got.
[01:35:25.012 --> 01:35:41.759]  I think that the level of fear that's been created here in Boston specifically and the massive police influence that's been created is probably one of the greatest demonstrations of intimidation to create fear that there ever was.
[01:35:42.279 --> 01:35:50.403]  So if there are people like myself who have come out and said things about this, I do think that probably they should try and say things themselves.
[01:35:50.763 --> 01:35:51.003]  I mean,
[01:35:52.020 --> 01:35:57.616]  It's not much to it other than the fact that if you do, you're doing the right thing, you know?
[01:35:58.679 --> 01:35:58.800]  So.
[01:36:00.168 --> 01:36:06.293]  Yeah, I think it's important that people speak out about this because it's going to happen again, and people need to be aware.
[01:36:06.313 --> 01:36:07.954]  You know, a lot of people were smart.
[01:36:07.974 --> 01:36:08.895]  They got their cameras out.
[01:36:08.915 --> 01:36:11.257]  They started shooting video of this, throwing it up on YouTube.
[01:36:11.997 --> 01:36:16.240]  And I think that made a big difference in showing the world what was going on.
[01:36:16.761 --> 01:36:18.842]  And this was for one 19-year-old boy.
[01:36:19.143 --> 01:36:23.386]  I mean, imagine what would happen if it was two people that were on the loose, or three people.
[01:36:23.766 --> 01:36:31.010]  You know, it just seems they want any excuse they can to just ratchet up the police state and make us think like it's for our safety.
[01:36:31.350 --> 01:36:32.991]  And in the end, who found him?
[01:36:33.531 --> 01:36:34.992]  A guy going out for a cigarette.
[01:36:35.768 --> 01:36:37.169]  Went out to his boat and saw it.
[01:36:37.630 --> 01:36:44.135]  And then they shot up the boat and then they, you know, take this guy out and give him a tracheotomy, cut his throat up, so now he can't talk.
[01:36:44.195 --> 01:36:49.119]  I mean, this is just bizarro world, what was going on in Boston.
[01:36:49.139 --> 01:36:50.760]  But I've experienced it firsthand.
[01:36:50.800 --> 01:36:55.524]  I've seen 1,500 riot cops show up for a protest of 50 people.
[01:36:55.604 --> 01:36:59.067]  And it was a peaceful protest and it was on police brutality.
[01:36:59.787 --> 01:36:59.887]  Yeah.
[01:36:59.907 --> 01:37:05.972]  You know, I mean, it doesn't end and it's never going to end until we just stand up and start getting in.
[01:37:06.232 --> 01:37:07.253]  We got to get in their faces.
[01:37:07.333 --> 01:37:09.815]  We got to, you know, go out and talk to the police chief.
[01:37:09.855 --> 01:37:11.096]  Why did you let these people come in?
[01:37:11.136 --> 01:37:11.916]  Talk to the sheriff.
[01:37:12.257 --> 01:37:14.158]  Why did you let the feds come in and treat us like this?
[01:37:14.599 --> 01:37:16.500]  You know, because they're not going to stop.
[01:37:16.820 --> 01:37:19.002]  Their tactics are to stomp and destroy.
[01:37:21.043 --> 01:37:21.204]  Yeah.
[01:37:21.264 --> 01:37:23.365]  Do you have anything else you want to add?
[01:37:25.561 --> 01:37:32.103]  As Friday continued, when I asked if I could go back outside, I did.
[01:37:32.704 --> 01:37:35.544]  And there was still Watertown police on my street.
[01:37:36.505 --> 01:37:36.805]  Okay?
[01:37:37.565 --> 01:37:44.468]  A very normal, macho, funny, a-hole cop, you know, but in a small town.
[01:37:44.768 --> 01:37:45.028]  Okay?
[01:37:45.068 --> 01:37:49.789]  He was just sitting on the corner and cracking jokes with my neighbor.
[01:37:52.051 --> 01:37:56.794]  So we're allowed to go back outside, but there's a great feeling of tension, okay?
[01:37:56.814 --> 01:38:05.099]  And shortly after this, probably within 5 or 10 minutes after I got the okay to go out, you heard gunfire again.
[01:38:05.500 --> 01:38:07.401]  And this is the so-called boat incident.
[01:38:09.002 --> 01:38:15.646]  And it took this cop, these cops, these Watertown PD, this is the face they made.
[01:38:18.328 --> 01:38:21.490]  They looked so confused for 5 to 10 seconds.
[01:38:22.486 --> 01:38:23.848]  Just lost.
[01:38:24.088 --> 01:38:25.390]  Like, is this really happening?
[01:38:25.430 --> 01:38:29.075]  They didn't know what was going on until, bam, get back in your houses.
[01:38:29.496 --> 01:38:29.856]  Okay.
[01:38:30.097 --> 01:38:31.979]  So, I mean, I just wanted to point that out.
[01:38:32.059 --> 01:38:33.742]  They did not understand what was going on.
[01:38:34.042 --> 01:38:35.784]  And then they yell at you to get back in your house.
[01:38:36.713 --> 01:38:39.135]  And it's all for your safety.
[01:38:39.435 --> 01:38:41.796]  They just tell you it's all for your safety over and over again.
[01:38:41.816 --> 01:38:43.518]  Wow.
[01:38:43.738 --> 01:38:52.423]  Hey, Greg, plug your YouTube site because you've got a lot of different things on your YouTube site, you know, which some of our viewers, I think, would really be into.
[01:38:52.523 --> 01:38:53.104]  Not everybody.
[01:38:53.344 --> 01:38:57.106]  But you also did a lot of videos about Watertown, walking around the street, interviewing people.
[01:38:57.126 --> 01:39:04.591]  So plug your YouTube site and let's show it on screen and, you know, people can maybe communicate with you via YouTube.
[01:39:06.454 --> 01:39:17.903]  Yeah, check out my YouTube at youtube dot com slash legitimistic l e g i t a m y s t i c. I've been trying to talk about the stuff going on for a long time.
[01:39:18.203 --> 01:39:21.045]  I perhaps have a different perspective and put a different spin on it.
[01:39:21.465 --> 01:39:24.247]  But I mean, I think we're all kind of fighting the same fight here.
[01:39:24.748 --> 01:39:25.208]  Exactly.
[01:39:25.308 --> 01:39:28.911]  I mean, we're all fighting for the power of our minds at this point.
[01:39:29.031 --> 01:39:33.214]  You know, there is a war on for your mind and you're fighting it in a different way than what we're fighting it.
[01:39:33.254 --> 01:39:34.395]  But, you know, in the end,
[01:39:35.055 --> 01:39:45.825]  We're all looking for reasons and truth out there, so I commend you for putting your videos out, for contacting us, and you really wanted to come on the show and tell your story.
[01:39:45.845 --> 01:39:52.031]  So I'm glad we could let you do that, and I hope you continue to speak out and maybe get some more people to talk and do some interviews out there.
[01:39:52.071 --> 01:39:52.572]  Send them to us.
[01:39:53.749 --> 01:39:54.429]  Oh, thank you, Rob.
[01:39:54.449 --> 01:39:56.030]  I will, actually.
[01:39:56.070 --> 01:39:56.710]  Thank you very much.
[01:39:57.110 --> 01:39:57.450]  Excellent.
[01:39:57.470 --> 01:39:57.710]  All right.
[01:39:57.730 --> 01:39:58.350]  Well, thanks a lot.
[01:39:58.410 --> 01:39:59.271]  And we will talk to you soon.
[01:39:59.291 --> 01:40:00.191]  All right.
[01:40:00.431 --> 01:40:01.871]  Bye bye.
[01:40:01.891 --> 01:40:01.951]  Wow.
[01:40:02.391 --> 01:40:05.912]  Thanks to Greg Von Hassler for contacting us and speaking out.
[01:40:05.972 --> 01:40:08.393]  I mean, you know, it doesn't take a lot of courage.
[01:40:08.433 --> 01:40:10.994]  It just takes a little bit of courage to really just go, hey.
[01:40:12.094 --> 01:40:13.295]  You know, this isn't right.
[01:40:13.876 --> 01:40:19.420]  What I witnessed, you know, and tell people what you witnessed because the mainstream media is out there telling the rest of the world that nothing happened.
[01:40:19.700 --> 01:40:20.521]  Everything was fine.
[01:40:20.781 --> 01:40:22.242]  You know, we have to do this for your safety.
[01:40:22.522 --> 01:40:25.004]  We have to treat you like prisoners in your town.
[01:40:25.625 --> 01:40:27.887]  And I noticed that he was wearing orange there.
[01:40:27.927 --> 01:40:30.309]  He almost looked like a prisoner.
[01:40:30.789 --> 01:40:32.811]  And the way he was acting, I could tell he was
[01:40:33.936 --> 01:40:36.498]  You know, Greg has been deeply affected by this.
[01:40:36.558 --> 01:40:49.085]  I mean, you know, having 16 people aiming semi-automatic rifles, I mean, how do you think that would make you feel if you're in your house and this is supposed to be, you know, just another normal April evening?
[01:40:49.866 --> 01:40:51.667]  And, you know, there you go.
[01:40:51.707 --> 01:40:54.028]  You got the police using their tactics on him.
