[00:00:00.109 --> 00:00:00.469]  Brother.
[02:27:29.005 --> 02:27:32.407]  I hate this name, you know, but by about 20, I was like, yeah, it's pretty alright.
[02:27:32.627 --> 02:27:33.327]  It's treated me good.
[02:27:33.367 --> 02:27:34.168]  Do the girls like it?
[02:27:34.288 --> 02:27:35.148]  The girls like it now.
[02:27:35.348 --> 02:27:35.648]  They do.
[02:27:36.209 --> 02:27:39.730]  My son's name is Black Jack, so I'm waiting for him to get old enough to use it.
[02:27:39.770 --> 02:27:41.231]  Black Jack Jennings.
[02:27:41.271 --> 02:27:41.691]  Yeah.
[02:27:42.171 --> 02:27:43.032]  Oh my goodness.
[02:27:43.132 --> 02:27:45.354]  Yeah, man, you know, but it's cool, man.
[02:27:45.374 --> 02:27:50.598]  My real name is Waylon, but he nicknamed me Shooter from the day I was born, so I've always been called that, and cops call me Waylon.
[02:27:50.618 --> 02:27:51.158]  That's about it.
[02:27:53.280 --> 02:27:54.421]  When they get the ID card.
[02:27:55.462 --> 02:27:56.363]  Waylon Jennings!
[02:27:56.583 --> 02:27:57.243]  Like, really?
[02:27:57.343 --> 02:27:58.745]  They like to make an example out of me.
[02:27:58.805 --> 02:27:59.405]  That's been fun.
[02:27:59.425 --> 02:28:00.226]  They always do, though.
[02:28:00.586 --> 02:28:00.846]  Always.
[02:28:00.886 --> 02:28:04.190]  Sometimes they don't know who you are and they think, Waylon Jennings, who do you think you are, boy?
[02:28:04.370 --> 02:28:04.790]  Exactly.
[02:28:04.870 --> 02:28:11.197]  Or when they find out that I am, they're like, well, we're going to definitely throw the book at him and make an example out of him that he's not going to get off of it because he's Waylon Jennings' son, you know.
[02:28:11.217 --> 02:28:14.860]  Anytime I've been in trouble, they usually try to make an example out of me.
[02:28:14.940 --> 02:28:15.401]  There you go.
[02:28:15.421 --> 02:28:16.742]  That's the system for you.
[02:28:17.847 --> 02:28:18.808]  And what's the point of that?
[02:28:18.848 --> 02:28:23.434]  I don't get how, like, the corrupt are supposed to always get off in the system, and then good guys, they go after them.
[02:28:23.594 --> 02:28:23.815]  Yeah.
[02:28:23.875 --> 02:28:25.777]  I guess they're good old boys, never doing no harm.
[02:28:25.797 --> 02:28:25.938]  Yeah.
[02:28:26.318 --> 02:28:28.060]  Been in trouble with the laws since the day they were born.
[02:28:28.080 --> 02:28:28.561]  There you go.
[02:28:29.042 --> 02:28:29.762]  Exactly, man.
[02:28:29.883 --> 02:28:30.163]  You know?
[02:28:30.183 --> 02:28:34.729]  You know, that kind of gets cheesied by the Dukes of Hazzard, which is still a funny show, but we actually listened to that song.
[02:28:34.749 --> 02:28:36.311]  That's a really good short country song.
[02:28:36.451 --> 02:28:38.053]  It is, man, you know, and he wrote it.
[02:28:38.193 --> 02:28:51.084]  The funny story about that is that he was supposed to write the song and couldn't write it, couldn't write it, couldn't write it, and they were on their way to the screening for the networks of the first episode of the film and he wrote it in the bathroom on the way that day and just coming up with something, you know what I mean?
[02:28:51.124 --> 02:28:54.287]  And it's funny, that's like his biggest hit, you know?
[02:28:55.228 --> 02:29:00.873]  So, as a kid, you know, everybody watched Dukes of Hazzard, so it's easy to kind of be like, yeah, my dad did that song, you know?
[02:29:01.013 --> 02:29:02.014]  Everyone knows that show.
[02:29:03.135 --> 02:29:05.076]  But it's actually kind of poetic, even though it's simple.
[02:29:05.237 --> 02:29:05.377]  Yeah.
[02:29:05.397 --> 02:29:06.577]  You know, I'm just a good old boy.
[02:29:06.597 --> 02:29:08.359]  You know, my mama loves me.
[02:29:08.459 --> 02:29:12.401]  You know, it's like... She don't understand they keep a show on my hands, not my face on TV, you know?
[02:29:12.481 --> 02:29:12.922]  That's right.
[02:29:12.942 --> 02:29:16.784]  But anyways, we're going to get more into your new record when we come back and talk about fearlessness.
[02:29:16.804 --> 02:29:20.007]  You were talking about that during the break and where you think society is going.
[02:29:20.027 --> 02:29:21.568]  Because what, Black Ribbons came out two years ago?
[02:29:21.588 --> 02:29:22.108]  Two years ago.
[02:29:22.148 --> 02:29:23.989]  And I feel like it's more true now than it was then.
[02:29:24.069 --> 02:29:25.230]  It just, it's amazing.
[02:29:25.250 --> 02:29:26.351]  It's not just evergreen.
[02:29:26.391 --> 02:29:27.812]  It's like a blossoming evergreen.
[02:29:27.892 --> 02:29:31.793]  Yeah, man, it's just everybody is so afraid of everything, and that's the way they live.
[02:29:31.813 --> 02:29:33.553]  And the answer is, get over the fear.
[02:29:33.853 --> 02:29:37.354]  Yeah, you have to be fearless to be able to walk into the fire, you know what I mean?
[02:29:37.374 --> 02:29:41.015]  You have to be able to not be afraid to lose your life or anything.
[02:29:41.055 --> 02:29:42.995]  We'll be right back with Shooter Jennings, straight ahead.
[02:29:44.095 --> 02:29:47.076]  We're on the march, the empire's on the run.
[02:29:48.016 --> 02:29:50.817]  Alex Jones and the GCN Radio Network.
[02:29:54.737 --> 02:29:57.198]  You may be arrested and or subject
[02:29:58.965 --> 02:29:59.886]  Tyranny is here.
[02:30:00.226 --> 02:30:03.747]  The grim future foretold in 1984 has become reality.
[02:30:04.148 --> 02:30:06.369]  It really says that the state is God.
[02:30:06.549 --> 02:30:11.832]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[02:30:12.252 --> 02:30:18.535]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[02:30:18.915 --> 02:30:24.478]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[02:30:24.898 --> 02:30:28.580]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[02:30:29.080 --> 02:30:33.043]  Prepare to enter the secretive world of emergency dictatorship.
[02:30:33.343 --> 02:30:39.287]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[02:30:39.307 --> 02:30:42.269]  It's only the beginning of the New World Order's hellish plan.
[02:30:42.849 --> 02:30:44.290]  The police state isn't coming.
[02:30:44.830 --> 02:30:45.351]  It's here.
[02:30:45.951 --> 02:30:52.756]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[02:30:54.915 --> 02:30:56.816]  In the last two years alone, the U.S.
[02:30:56.856 --> 02:30:58.777]  has seen huge losses to our food supply.
[02:30:59.017 --> 02:31:04.519]  In 2011, storms and floods raged across the U.S., costing us $20 billion in lost crops alone.
[02:31:04.739 --> 02:31:08.501]  In 2012, we saw the largest drought in the country in more than 50 years.
[02:31:08.761 --> 02:31:12.543]  You may think out of sight, out of mind, and so you don't think you will be affected.
[02:31:12.703 --> 02:31:13.903]  The fact is, you are.
[02:31:14.103 --> 02:31:14.864]  We all are.
[02:31:15.124 --> 02:31:17.445]  Food shortages drive prices up for everyone.
[02:31:17.745 --> 02:31:26.107]  You might not be able to control Mother Nature, but you can control your food prices by freezing the cost and availability of your food supply with eFoodsDirect.
[02:31:26.307 --> 02:31:27.528]  Be prepared before you need it.
[02:31:27.708 --> 02:31:30.889]  With nutrient-dense food you can store for up to 25 years.
[02:31:31.169 --> 02:31:33.429]  You can hope for the best, but hope won't feed you.
[02:31:33.569 --> 02:31:37.970]  Do what I've done and get your own supply of the best storable foods out there from eFoodsDirect.
[02:31:38.110 --> 02:31:44.012]  Call 800-409-5633 or visit them on the web at efoodsdirect.com forward slash Alex.
[02:31:44.272 --> 02:31:45.673]  And check out their spring specials.
[02:31:45.913 --> 02:31:52.196]  Again, that number is 800-409-5633 or on the web at efoodsdirect.com forward slash Alex.
[02:31:52.436 --> 02:31:54.377]  You can bet your life on eFoodsDirect.
[02:31:55.557 --> 02:32:01.400]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[02:32:02.307 --> 02:32:08.211]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[02:32:09.072 --> 02:32:19.139]  Our most popular silver-based products are the 32-ounce Nano-Silver solutions, our 2-ounce Nano-Silver nasal applicators, as well as our all-natural silver soaps.
[02:32:20.020 --> 02:32:23.322]  Just released is our 100% natural silver gel.
[02:32:24.163 --> 02:32:30.348]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[02:32:31.068 --> 02:32:41.491]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[02:32:42.331 --> 02:32:50.014]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[02:32:51.094 --> 02:32:54.015]  That's www.silverlungs.com
[02:32:58.328 --> 02:33:00.009]  The Alex Jones Show.
[02:33:00.610 --> 02:33:05.493]  Just a good old boy, never meaning no harm.
[02:33:08.236 --> 02:33:15.201]  Beats all you never saw, been in trouble with the law since the day they was born.
[02:33:15.221 --> 02:33:22.166]  Straightening the curve, climbing the hills.
[02:33:22.246 --> 02:33:25.389]  Someday the mountain might get above the law.
[02:33:44.232 --> 02:33:46.693]  Monday through Friday from 11 a.m.
[02:33:46.753 --> 02:33:47.393]  until 2 p.m.
[02:33:47.413 --> 02:33:48.533]  Central, we're here live.
[02:33:48.893 --> 02:33:51.574]  Back weeknight, 7 o'clock with InfoWars Nightly News.
[02:33:51.674 --> 02:33:53.875]  It's now in its second year of beta.
[02:33:53.935 --> 02:33:56.915]  We have got cable networks, you name it, just begging us.
[02:33:57.436 --> 02:34:02.757]  Every day we got more cable systems wanting to pick it up as soon as we syndicate it, which we're trying to get them.
[02:34:03.337 --> 02:34:06.661]  Reporters trained, the stuff in, the equipment, the new studio built.
[02:34:07.122 --> 02:34:08.263]  All thanks to your support.
[02:34:08.503 --> 02:34:11.066]  Please become a PrisonPlanet.tv subscriber.
[02:34:11.727 --> 02:34:13.228]  11 memberships for $5.95 a month.
[02:34:13.269 --> 02:34:17.573]  That's one membership can be used by 11 people with the same username and passcode simultaneously.
[02:34:18.254 --> 02:34:20.195]  Operation Awaking the Sleeping Giant.
[02:34:20.235 --> 02:34:22.516]  Be sure and support us, because I get so wound up.
[02:34:22.536 --> 02:34:26.017]  We're two and a half hours into this show, and I haven't plugged anything on air.
[02:34:26.057 --> 02:34:31.940]  And that's really where radio is able to pay the bills, as you're the host, plugging in and out of breaks their own sponsors, their own stuff.
[02:34:32.180 --> 02:34:35.101]  And I got a stack of sponsors paid, ready to be plugged on air.
[02:34:35.362 --> 02:34:36.142]  I won't even do it.
[02:34:36.502 --> 02:34:49.266]  That's how obsessed I am with fighting the globalists, and thank God you've been buying the books, the videos, all the materials off InfoWarsTore.com, because believe me, you're loading bullets in the info cannon every time you go and buy t-shirts, bumper stickers, you name it.
[02:34:49.686 --> 02:34:52.387]  All pro-Second Amendment, pro-liberty, anti-GMO.
[02:34:52.507 --> 02:34:54.887]  It's not about left and right, it's about right and wrong.
[02:34:55.368 --> 02:34:56.108]  And you know what I love?
[02:34:56.128 --> 02:34:57.288]  He's not being politically correct.
[02:34:57.328 --> 02:34:58.528]  The Gunslinger Tour 2013,
[02:35:00.609 --> 02:35:02.850]  kicks off right here in Central Texas tonight.
[02:35:03.110 --> 02:35:05.511]  And I'm just honored that Shooter's kicking it off in Central Texas.
[02:35:05.732 --> 02:35:06.352]  San Marcos.
[02:35:06.912 --> 02:35:07.572]  Absolutely.
[02:35:08.033 --> 02:35:09.533]  And right here on our show.
[02:35:09.573 --> 02:35:10.194]  So I'm honored.
[02:35:10.574 --> 02:35:12.795]  And the album's out now, climbing up the charts.
[02:35:12.835 --> 02:35:15.576]  The Other Life, the last big album, I say you need to get it as well.
[02:35:16.036 --> 02:35:16.977]  That's Black Ribbons.
[02:35:17.737 --> 02:35:21.359]  And of course we have some of that in the film, the FEMA film that we put out.
[02:35:21.779 --> 02:35:23.980]  The Rise of FEMA, as you now see, that's happening.
[02:35:24.000 --> 02:35:25.681]  And Shooter Jennings is here with us.
[02:35:25.721 --> 02:35:26.722]  Go to ShooterJennings.com
[02:35:27.982 --> 02:35:35.485]  To get the album and to see the trailer for the new movie that they're premiering at their VIP showings before, I guess, or after the concerts.
[02:35:35.945 --> 02:35:43.888]  And I know a lot of your shows are sold out because about a year ago you were in town and it was a couple days before and I heard about it and it was sold out.
[02:35:43.948 --> 02:35:45.469]  Is tonight already sold out down in San Marcos?
[02:35:45.669 --> 02:35:46.669]  I don't think so, man.
[02:35:46.709 --> 02:35:51.091]  It's funny because, like, I don't think most of the shows aren't sold out, you know, which is
[02:35:51.491 --> 02:35:53.593]  Your awesome one was a year ago or so when you were here.
[02:35:53.653 --> 02:35:54.694]  It may have been, it may have been.
[02:35:54.774 --> 02:35:58.377]  I think that was when we were here with Cody Canada and The Departed maybe.
[02:35:58.397 --> 02:35:59.758]  I think that we were doing a little tour with them.
[02:35:59.818 --> 02:36:01.519]  And when you were with Willie Nelson, you played with them too?
[02:36:01.539 --> 02:36:02.960]  A lot of... We do sometimes, yeah man.
[02:36:02.980 --> 02:36:05.803]  You know, his son Lucas is really... I don't know if you've ever checked him out.
[02:36:05.843 --> 02:36:09.746]  He's real good and his album's called The Promise of the Real and he's kind of in our mindset, you know.
[02:36:10.226 --> 02:36:14.471]  Yeah, I was talking to some of my friends that went and saw Willie recently, and they said his son was out there like him.
[02:36:14.551 --> 02:36:15.352]  Smoking guitar, man.
[02:36:15.412 --> 02:36:16.354]  It sounded just like him.
[02:36:16.374 --> 02:36:17.635]  It was amazing, the two together.
[02:36:17.735 --> 02:36:19.618]  Yeah, Lucas and I are doing a record together.
[02:36:19.658 --> 02:36:20.759]  We're about halfway done with it.
[02:36:20.899 --> 02:36:21.340]  Oh, wow.
[02:36:21.500 --> 02:36:23.022]  So that's gonna be a cool thing, too.
[02:36:23.042 --> 02:36:24.884]  And it's really more like an English rock sound.
[02:36:24.944 --> 02:36:27.888]  A southern-sounding English rock kind of... Dave Mustaine was here two weeks ago.
[02:36:28.908 --> 02:36:31.850]  I've never met him, but I've seen all his talk.
[02:36:31.890 --> 02:36:35.492]  I love how he says what he wants.
[02:36:35.512 --> 02:36:37.533]  We ended up hanging out with Willie's son.
[02:36:37.573 --> 02:36:38.474]  That was amazing.
[02:36:38.494 --> 02:36:39.915]  Willie Nelson, Dave Mustaine of Megadeth.
[02:36:41.075 --> 02:36:48.499]  Getting back to what you were saying during the break, where it's all going, getting out of this fear box, we were talking about Obama.
[02:36:49.801 --> 02:36:50.462]  Get back into that.
[02:36:50.782 --> 02:36:54.764]  Well, yeah, man, you know, I do believe that at this day and age you have to be fearless.
[02:36:54.804 --> 02:36:56.125]  That moves on every level.
[02:36:56.185 --> 02:36:59.367]  Musically, what you make, I think what you say, all that kind of stuff.
[02:36:59.387 --> 02:37:03.230]  The fearlessness is the thing you have to have to make a change.
[02:37:03.310 --> 02:37:12.516]  Because the one thing that the government, the one thing that the record labels, all these radio, they like to keep the fear of not being included is part of the big thing.
[02:37:12.536 --> 02:37:15.018]  They want to control the system, but we're close to breaking that.
[02:37:15.298 --> 02:37:16.899]  It's like in music, alternative media.
[02:37:17.119 --> 02:37:18.120]  Yeah, yeah, you're right.
[02:37:18.140 --> 02:37:21.764]  I mean, in the, you know, the boxes they keep us in, you have to think outside of those boxes.
[02:37:21.824 --> 02:37:23.426]  And like, it's like with Obama, man.
[02:37:23.466 --> 02:37:26.649]  I mean, it's like I tell everybody, it doesn't matter if it's Obama or a Republican candidate.
[02:37:26.669 --> 02:37:35.799]  At this point, whoever makes it to the very furthest point to be the two people you're choosing between both of those people, two generations back, go back to the same people controlling the banks.
[02:37:37.100 --> 02:37:41.903]  Pulling the strings, the people whose investments are being protected by whoever's going to be the president.
[02:37:41.943 --> 02:37:49.788]  I had lots of people, and they get mad at me all the time for saying this, call me a conspiracy theorist and crazy, but you know that when Obama happened, they were just like, oh, it's all going to change now.
[02:37:49.888 --> 02:37:50.529]  He's going to fix it.
[02:37:50.569 --> 02:37:51.169]  It's so nice.
[02:37:51.209 --> 02:37:52.130]  It's so wonderful.
[02:37:52.150 --> 02:37:57.914]  And yes, and it is great for the history of black America and the oppression and all those things that are happening.
[02:37:57.934 --> 02:38:04.418]  But the reality, get rid of all those glistening facts that make the whole experience so magical.
[02:38:04.858 --> 02:38:09.842]  You look at the end of the day, it's the same people that are pulling the strings, and they're never going to have our interests.
[02:38:09.982 --> 02:38:14.226]  And somebody like Ron Paul, if he was younger and all that stuff, he would never get to that point.
[02:38:14.246 --> 02:38:15.547]  They're never going to let that happen.
[02:38:15.907 --> 02:38:23.253]  It's going to have to be somebody who's got an agenda on the inside to break the system, who's not letting the outside people know about it, to get into that.
[02:38:23.473 --> 02:38:24.334]  Wow, that's profound.
[02:38:24.354 --> 02:38:25.514]  You know, I've thought that a lot.
[02:38:25.815 --> 02:38:30.998]  Either we change things as a cultural revolution of liberty, person by person, that's the surest path.
[02:38:31.259 --> 02:38:35.802]  But yes, there are more and more people who are kind of halfway sold out, who more and more are clicking.
[02:38:36.683 --> 02:38:45.509]  It's not even so much that they've infiltrated as a liberty lover, it's that they're starting to get where this road leads, and they look in their children's eyes, just like you say in Summer of Rage.
[02:38:45.649 --> 02:38:46.209]  Thanks, man.
[02:38:46.489 --> 02:38:46.869]  It's true.
[02:38:47.089 --> 02:38:47.710]  It's true, man.
[02:38:47.750 --> 02:38:55.152]  And it's like we're in a place where the only way, and you know, David Icke said this, and it's something that I, and it was in a very small issue.
[02:38:55.192 --> 02:38:58.553]  He was talking about something to do with the garbage cans in London.
[02:38:58.713 --> 02:38:59.693]  Spying on you with chips.
[02:38:59.893 --> 02:39:10.356]  Yeah, but yeah, but like saying that the only way to get to have success in fighting this kind of oppression is for everyone to bond together in defiance.
[02:39:10.556 --> 02:39:12.497]  Like to say, we're not gonna do what you're telling us.
[02:39:13.357 --> 02:39:13.938]  Exactly.
[02:39:13.978 --> 02:39:14.598]  No, I've said that.
[02:39:14.698 --> 02:39:15.999]  Stop complying at every level.
[02:39:16.060 --> 02:39:16.980]  Yeah, stop complying.
[02:39:17.000 --> 02:39:22.866]  You have to, you know, like it says in the Summer Rage, speak loud when they try to silence and withhold when they try to fight us.
[02:39:22.906 --> 02:39:23.786]  And that's the thing, you know.
[02:39:24.187 --> 02:39:28.791]  Say, we're not going to fight you when you want us to fight you, and we're not going to be quiet when you want us to be quiet.
[02:39:28.871 --> 02:39:36.554]  I forget the Berkeley speech during the Civil Rights Movement, but the man says you've got to put yourself against the machine and just say, look, I'm not going to stop until you stop.
[02:39:37.054 --> 02:39:37.435]  And that's it.
[02:39:38.315 --> 02:39:43.897]  They put out this image that we've all got to be heroes by ourselves and fix it all overnight and slay the dragon like King George.
[02:39:44.198 --> 02:39:45.818]  Instead, it's lots of little battles.
[02:39:46.038 --> 02:39:48.799]  We've got to just put our weight against the machine.
[02:39:48.839 --> 02:39:51.020]  And folks, if you can't put a lot of weight, that's fine.
[02:39:51.060 --> 02:39:51.921]  Put a little weight.
[02:39:52.401 --> 02:39:57.268]  Because I'm going to tell you, once you start putting a little weight, it feels so good to resist, just you're going to put all your weight.
[02:39:57.769 --> 02:40:04.199]  And that's why the small community mom and pop stores right now in this economic decline, it's so important to strengthen the small community.
[02:40:04.419 --> 02:40:04.880]  Exactly.
[02:40:04.900 --> 02:40:06.643]  Because those corporations are starting to fail.
[02:40:06.703 --> 02:40:08.065]  They don't get the success they want.
[02:40:08.385 --> 02:40:12.507]  I'll go 10 miles out of my way to go to a mom and pop, even if the food isn't as good.
[02:40:12.667 --> 02:40:13.027]  I agree.
[02:40:13.187 --> 02:40:13.547]  I agree.
[02:40:13.587 --> 02:40:18.169]  Because it's like, if you can strengthen that small community, that's how communities bond together.
[02:40:18.509 --> 02:40:19.909]  That's how revolutions happen, you know?
[02:40:20.149 --> 02:40:21.270]  And I really believe that.
[02:40:21.730 --> 02:40:22.870]  Same goes for country radio.
[02:40:23.130 --> 02:40:27.292]  If you want to use it as a metaphor for country radio and the way it works, you have all this pop glistening.
[02:40:27.312 --> 02:40:28.452]  They tried to block your dad!
[02:40:28.472 --> 02:40:29.613]  I mean, it keeps going back to that.
[02:40:29.633 --> 02:40:30.053]  It didn't work.
[02:40:30.253 --> 02:40:32.193]  The only way that... It backfired!
[02:40:32.253 --> 02:40:39.235]  The reason why it backfired is because they amassed a real community of fans just like a revolution who they couldn't ignore anymore.
[02:40:39.595 --> 02:40:47.377]  It's like all of a sudden they're selling as many tickets and his records as the pop acts without the help of the machine you're able to take over the machine and they did.
[02:40:47.737 --> 02:40:49.637]  And that's why outlaw country is so important.
[02:40:49.797 --> 02:40:50.297]  Anything.
[02:40:50.417 --> 02:40:50.638]  Yeah.
[02:40:50.918 --> 02:40:52.338]  When the government's a bunch of crooks...
[02:40:53.291 --> 02:40:54.652]  The Patriots are going to be the outlaws.
[02:40:54.672 --> 02:40:55.693]  Exactly, exactly.
[02:40:55.953 --> 02:40:57.514]  The Founding Fathers were outlaws.
[02:40:57.534 --> 02:40:58.154]  That's what they called them.
[02:40:58.214 --> 02:40:59.955]  And it's like every Western movie you've ever watched.
[02:40:59.975 --> 02:41:05.619]  There's the corrupt sheriff that oppresses the entire town, and the outlaws come into town, defeat the corrupt sheriff, and free the people.
[02:41:05.739 --> 02:41:06.860]  That happens in every one of them.
[02:41:06.940 --> 02:41:09.141]  And it's the exact same thing.
[02:41:09.161 --> 02:41:13.444]  Well, because that really happened thousands of times in real history cases.
[02:41:13.544 --> 02:41:19.105]  Yeah, yeah, exactly, and the Wild West and everything, and it happened, you know, with the American Revolution, it happened with everything.
[02:41:19.165 --> 02:41:35.709]  Well, and so many times you'd have a corrupt railroad boss, or, I mean, you see those Clint Eastwood movies, those are based on a lot of real cases that we've covered on air, with Pinkerton security would come in to muscle people, and finally they'd kill some little girl or little boy, and one guy would stand up, and then usually he might get killed, but then everybody stood up.
[02:41:35.849 --> 02:41:36.049]  Yeah.
[02:41:36.129 --> 02:41:37.509]  And see, that's what the system knows.
[02:41:37.549 --> 02:41:41.670]  They know that if they kill myself, Ron Paul, or somebody like that, and make it obvious,
[02:41:43.279 --> 02:41:46.481]  It doesn't actually scare people when they see the Patriot get destroyed.
[02:41:46.501 --> 02:41:48.402]  It's like Obi-Wan Kenobi by Darth Vader.
[02:41:48.562 --> 02:41:49.402]  He lets him do it.
[02:41:49.883 --> 02:41:51.684]  He looks over and, okay, I'm really gonna beat you.
[02:41:51.724 --> 02:41:52.224]  Watch this.
[02:41:52.284 --> 02:41:55.366]  Yeah, and then the Jedi's rise up, you know, and that's the truth, man.
[02:41:55.406 --> 02:42:01.450]  And that's why you have to be fearless and you have to, just like you do every day, no matter what people think about you, you're gonna say what you think.
[02:42:01.870 --> 02:42:06.673]  And there's nobody who's gonna tell you off-camera what to say or sway you in a direction.
[02:42:06.693 --> 02:42:09.515]  Have you had any trendies tell you not to call up the gunslinger to her?
[02:42:10.055 --> 02:42:10.836]  Uh, you know what's funny?
[02:42:10.916 --> 02:42:21.325]  Is that it hasn't happened because there's been more controversy over a couple bloggers and people thinking I was putting death threats out on them with the song Gunslinger before it, but I'm sure it'll hit us.
[02:42:21.686 --> 02:42:24.668]  But you know, the theme, the lyrics to that song are about being misunderstood.
[02:42:24.688 --> 02:42:27.531]  It says, don't, you know, don't call me an outlaw, I'm a gunslinger.
[02:42:27.651 --> 02:42:31.675]  It's like, it's a different, I'm not, I'm not, I'm not here to make a ruckus.
[02:42:31.695 --> 02:42:33.797]  I'm here to actually get a job done.
[02:42:34.157 --> 02:42:34.737]  You know what I mean?
[02:42:34.757 --> 02:42:36.219]  And that's kind of what I think
[02:42:36.559 --> 02:42:39.200]  I'm standing up, I'm real, I'm not a slave.
[02:42:39.260 --> 02:42:39.500]  Yeah.
[02:42:39.801 --> 02:42:40.561]  I'm a gunslinger.
[02:42:40.621 --> 02:42:41.882]  Yeah, yeah, man.
[02:42:41.902 --> 02:42:46.244]  Well, expanding on that, that's a thing now in the culture in this weird nanny state.
[02:42:46.284 --> 02:42:48.285]  People use it to peck at somebody.
[02:42:48.425 --> 02:42:48.945]  Yeah.
[02:42:49.265 --> 02:42:50.486]  And I know you've been very successful.
[02:42:50.506 --> 02:42:58.930]  Have you ever noticed that people manufacture now these cosmologies to then say someone is bad so they can produce a drama?
[02:42:59.230 --> 02:42:59.850]  Oh, well, of course.
[02:42:59.870 --> 02:43:01.171]  I mean, that happens all the time.
[02:43:01.191 --> 02:43:04.633]  You look at the way that they, you know, I'm, again, I don't, I never supported George Bush.
[02:43:04.673 --> 02:43:05.553]  I don't support Obama.
[02:43:05.594 --> 02:43:19.181]  But you look at the way that when George Bush was on his way out and the economy went down and they were able, the media was able to just be like, let's put all of the focus on how bad of a president George Bush was so that the new guy coming in is going to seem like such an amazing thing.
[02:43:19.221 --> 02:43:19.981]  You're a theater guy.
[02:43:20.021 --> 02:43:20.622]  You see that.
[02:43:21.002 --> 02:43:22.983]  They were wetting everyone's appetites.
[02:43:23.243 --> 02:43:31.185]  The Bush people run the Obama people, so they destroy him to make the Savior look good, so they would sell the whole agenda.
[02:43:31.225 --> 02:43:32.326]  I mean, it's all scripted.
[02:43:32.426 --> 02:43:36.627]  Yeah, it's so beyond scripted, and it makes me laugh.
[02:43:36.667 --> 02:43:37.907]  It's like that movie Wag the Dog.
[02:43:37.948 --> 02:43:41.829]  We were talking about it the other day, and Ryan, our tour manager, goes, you actually think they do that?
[02:43:41.989 --> 02:43:42.989]  And I'm like, they do it.
[02:43:43.029 --> 02:43:46.850]  They did it a year later after it came out in Kosovo, the very same thing.
[02:43:46.870 --> 02:43:49.131]  Well, it's the same thing, the little girl.
[02:43:49.591 --> 02:43:52.794]  Oh, we've got to invent... The shoe, the song Willie Nelson sings about the brown shoe.
[02:43:52.814 --> 02:43:57.859]  We've got to come up with a song about a shoe that's going to make everybody's heart strings about the fallen soldier, you know?
[02:43:58.240 --> 02:43:59.901]  And it's like, God bless the Soldiers of America.
[02:44:00.081 --> 02:44:01.583]  I'm beyond behind on that.
[02:44:01.623 --> 02:44:02.263]  Well, exactly.
[02:44:02.284 --> 02:44:09.991]  But while they're taking their guns and putting them in psychiatric facilities for no reason, they then use them to wrap their agenda while their internal documents say they hate the veterans.
[02:44:09.991 --> 02:44:10.672]  Exactly, man.
[02:44:10.852 --> 02:44:11.472]  Of course, man.
[02:44:11.492 --> 02:44:12.614]  Finish your point about the veterans.
[02:44:12.674 --> 02:44:13.174]  I interrupted.
[02:44:13.214 --> 02:44:21.122]  Well, no, I'm just saying that I think that, you know, the veterans are the thing in this country that are on the front line and they're going to do the right thing always.
[02:44:21.202 --> 02:44:26.647]  But I just feel bad for the fact that at the top of the chain there are people that are not looking out for the
[02:44:26.667 --> 02:44:34.973]  Well, see, that's why the globalists love and hate the troops who want to go to all robots and drones, in their own words, so they'll follow orders unquestioningly and engage in war crimes.
[02:44:35.293 --> 02:44:49.383]  They've got to try to find the psychos and promote them into black ops and CIA, but there aren't actually that many of them, because people that really have courage most of the time do it because of a guardian instinct, and once they see the lie, they revolt.
[02:44:49.683 --> 02:44:55.067]  That's why every authoritarian tyranny, once it fully takes over, wipes out the good police and military.
[02:44:55.287 --> 02:44:55.407]  Yeah.
[02:44:55.527 --> 02:45:03.355]  That's why the police and military who don't know history need to understand, if they fully take over, which they're really trying to do now, you're the first people they're coming after.
[02:45:03.856 --> 02:45:12.785]  Yeah, it's just I wish that more police and these things actually had full disclosure as to what was really going on, because a lot of the time it's just guys operating in the dark.
[02:45:12.805 --> 02:45:13.685]  They're compartmentalized.
[02:45:14.566 --> 02:45:41.962]  You don't know how many soldiers come up to me at shows and tell me that my music and Hank Three's music and other people have really gotten them through hard times overseas and that's beyond something I can even comprehend because here I am, you know, just I talk a lot but I'm in a studio working in the safety of my own quarters and get to go home and be with my children and all this stuff and they're over there fighting the front line for us and for our freedom and so it's like it breaks my heart to see so much corruption going on behind the, you know, closed doors and
[02:45:42.142 --> 02:45:42.723]  Well, exactly.
