[00:00:00.280 --> 00:00:09.607]  Ladies and gentlemen, you saw, you heard the broadcast title today of the Alex Jones Show.
[02:14:57.606 --> 02:14:58.396]  Ferguson.
[02:14:58.713 --> 02:15:03.475]  We're generally speaking getting back to somewhat a level of normality here, at least in England.
[02:15:04.515 --> 02:15:08.517]  Wales just passed a vote about an hour ago to mandate vaccine passports.
[02:15:08.537 --> 02:15:10.218]  They're doing the same thing in Scotland.
[02:15:11.419 --> 02:15:14.080]  Businesses are rebelling against that, which I'm going to get on to.
[02:15:15.149 --> 02:15:20.312]  Of course, Northern Ireland has roughly followed the same mandates as England, but they have them more strict.
[02:15:21.192 --> 02:15:24.454]  Ireland, the country of Ireland itself, is even more tyrannical.
[02:15:24.474 --> 02:15:26.034]  We're going to get into that later as well.
[02:15:26.074 --> 02:15:35.139]  But here in England, the Daily Skeptic reports, like, Freddy Kruger, Professor Lockdown, refuses to admit defeat.
[02:15:35.719 --> 02:15:37.840]  This is DailySkeptic.org headline.
[02:15:39.198 --> 02:15:49.385]  No matter how many disastrally inaccurate predictions he makes, Professor Neil Ferguson is still doing the rounds of broadcasting studios and the parliamentary estate, brandishing his crystal ball.
[02:15:49.785 --> 02:16:00.812]  They're still listening to him with his dire, doom-mongering predictions on Covid re-emerging in the winter to justify locking us all down once again for, what, the fifth or sixth time at this count?
[02:16:01.793 --> 02:16:06.916]  He's still getting platformed, despite having been proven wrong time and time again.
[02:16:07.754 --> 02:16:18.722]  His latest appearance was in front of the all-party parliamentary group on coronavirus earlier today, where he warned that Plan B would have to be activated if Covid hospital admissions climb above 1,200 a day.
[02:16:19.203 --> 02:16:20.224]  What is Plan B?
[02:16:20.704 --> 02:16:24.727]  It's face masks, it's lockdown and it's vaccine passports.
[02:16:24.787 --> 02:16:29.751]  Of course, the government continuously promised not to pass vaccine passports, not to implement them.
[02:16:30.515 --> 02:16:33.439]  Then they flip-flopped back and forth, said they would, said they wouldn't.
[02:16:33.540 --> 02:16:35.963]  Well, now they're saying they will if the cases rise.
[02:16:36.003 --> 02:16:39.228]  And rest assured, they will find the cases.
[02:16:39.308 --> 02:16:42.493]  They will find the cases in the coming couple of months.
[02:16:44.247 --> 02:16:48.730]  England may have to resort to its winter Covid plan B, which has been the main plan all along.
[02:16:49.090 --> 02:16:59.296]  If daily hospital admissions for coronavirus reach 1,200, Professor Lockdown Neil Ferguson said today, face mask, social distancing and vaccine passports will all be on the agenda.
[02:16:59.376 --> 02:17:08.261]  If that happens, then it's all being implemented once again off the back of advice of an idiot who has been shamefully proven wrong time and time again.
[02:17:09.204 --> 02:17:19.711]  This is the same guy who said there would be 200,000 COVID cases a day if we lifted the restrictions here in England back in July.
[02:17:20.312 --> 02:17:32.300]  In reality, the COVID cases, even with them testing school kids, I think there's a report today which says 100,000 school kids are off school because of ridiculous COVID testing, bumping the numbers up.
[02:17:33.217 --> 02:17:36.600]  Of course, if you're a kid and you want to bunk off school, it's very easy to do so.
[02:17:36.620 --> 02:17:40.983]  You just test a piece of fruit and it'll come back positive and you get a week off school.
[02:17:41.303 --> 02:17:42.844]  Kind of thing I would have done back in the day.
[02:17:43.625 --> 02:17:46.347]  That's why we're seeing cases, again, rising.
[02:17:47.273 --> 02:17:48.794]  But they're not rising enough.
[02:17:48.854 --> 02:17:57.598]  The average of COVID cases per day in England, or in the whole of the UK actually, over the past month or so, has kind of plateaued at around 35,000.
[02:17:58.138 --> 02:18:05.161]  Far, far lower than the 200,000 COVID cases a day predicted by Professor, hands down, Neil Ferguson.
[02:18:06.135 --> 02:18:19.841]  Of course, his advice, his fake phony modelling, was the foundation of the government's initial lockdown strategy, where he said that 500,000 people in the UK would die of Covid if they didn't follow his advice.
[02:18:19.861 --> 02:18:21.222]  He's proven wrong then.
[02:18:21.242 --> 02:18:24.843]  You can go back two decades with this guy.
[02:18:25.123 --> 02:18:29.745]  He was talking about 65,000 people dying from swine flu.
[02:18:30.306 --> 02:18:31.826]  In reality, 457 lost their lives.
[02:18:31.886 --> 02:18:38.082]   He was talking about Spanish flu.
[02:18:38.222 --> 02:18:42.144]  Estimated 50 million deaths, of course, back in 1918.
[02:18:42.824 --> 02:18:48.145]  He said that the bird flu outbreak could potentially rival the Spanish flu outbreak.
[02:18:48.205 --> 02:18:54.868]  In reality, the bird flu strain, of course, caused only 455 deaths worldwide.
[02:18:55.208 --> 02:18:56.808]  So he got the swine flu wrong.
[02:18:56.848 --> 02:18:58.289]  He got the bird flu wrong.
[02:18:58.309 --> 02:19:07.326]   He said Creutzfeldt-Jakob disease, mad cow disease, Would cause tens of thousands of deaths in the UK.
[02:19:07.646 --> 02:19:11.329]  Actually 150,000 deaths he predicted with foot and mouth disease.
[02:19:11.369 --> 02:19:18.754]  Remember back in 2001 when the farmers across the United Kingdom had to burn millions and millions of livestock.
[02:19:18.794 --> 02:19:19.895]  It was apocalyptic.
[02:19:19.935 --> 02:19:20.875]  It was dystopian.
[02:19:21.296 --> 02:19:24.938]  It was economically crippling for the farming industry.
[02:19:25.258 --> 02:19:27.160]  Put countless people out of business.
[02:19:28.060 --> 02:19:33.184]  Then of course you had the horror of having to kill millions of healthy animals and burn them on pyres.
[02:19:33.906 --> 02:19:40.394]  England was literally a smoke-filled apocalypse for a number of weeks because of this foot-and-mouth hysteria.
[02:19:40.654 --> 02:19:42.156]  He was the guy behind that!
[02:19:42.176 --> 02:19:46.801]  150,000 deaths from foot-and-mouth disease.
[02:19:47.282 --> 02:19:49.905]  The actual number of deaths were a fraction of that.
[02:19:49.925 --> 02:19:51.366]  178, an infinitesimal fraction.
[02:19:54.594 --> 02:19:59.700]  Swine flu, bird flu, foot and mouth disease, wrong, wrong, wrong.
[02:20:00.121 --> 02:20:01.643]  Covid, wrong again.
[02:20:02.023 --> 02:20:07.109]  Covid's second wave, with the lifting of restrictions earlier this summer, wrong again.
[02:20:07.469 --> 02:20:09.472]  Why is anyone still listening to him?
[02:20:09.492 --> 02:20:12.055]  He doesn't even listen to himself!
[02:20:13.116 --> 02:20:29.026]   During the first lockdown, He travelled back and forth across London to meet this left-wing mistress, cheating on his wife time and time again, when he was telling the government, the Prime Minister, that this would kill half a million people in the UK.
[02:20:29.267 --> 02:20:30.387]  It was that deadly.
[02:20:30.688 --> 02:20:31.889]  It was that serious.
[02:20:32.909 --> 02:20:34.450]  He didn't treat it very seriously.
[02:20:34.470 --> 02:20:41.055]  He was shagging his married mistress time and time again, travelling in violation of lockdown time and time again.
[02:20:41.936 --> 02:20:50.152]   This is the guy Again, headline, former SAGE advisor admits he thought we couldn't get away with Chinese-style lockdown in Europe.
[02:20:50.852 --> 02:20:58.096]  He said he thought we couldn't get away with, those were his words, imposing communist Chinese-style lockdowns in Europe because they were too draconian.
[02:20:58.616 --> 02:21:09.922]  Then China did it, Italy did it, everyone rolled over and submitted and cowed like jellyfish, and then they did it in the United Kingdom, and then they ratcheted it up time and time again.
[02:21:10.811 --> 02:21:16.336]  So now it's the same guy who's been proven wrong on swine flu, bird flu, butt and mouth, Covid.
[02:21:16.676 --> 02:21:18.678]  He's still advising the government!
[02:21:19.238 --> 02:21:19.658]  Why?
[02:21:19.678 --> 02:21:23.261]  Why is anyone still listening to this utter clown?
[02:21:25.603 --> 02:21:26.884]  Absolutely incredible.
[02:21:27.084 --> 02:21:35.957]   Meanwhile, a bit of good news actually in the UK, Although Wales just passed the vaccine passport, so that's going to be happening.
[02:21:36.378 --> 02:21:39.160]  Scottish venues rebel against vaccine passport scheme.
[02:21:39.200 --> 02:21:40.842]  It was a total disaster!
[02:21:42.003 --> 02:21:50.790]  After the new system went into place on Friday morning, venues such as football stadiums and nightclubs were expected to begin mandating proof of vaccination as a condition of entry.
[02:21:51.290 --> 02:22:02.831]   And remember, part of England's plan for Plan B, the new lockdown this coming winter, Is that you're not even going to be able to present proof of negative test.
[02:22:03.232 --> 02:22:08.436]  You have to present proof of vaccination because it's not about public health, it's about mass compliance.
[02:22:08.997 --> 02:22:12.901]  Even though people are dying every day, double jabbed.
[02:22:12.981 --> 02:22:14.782]  We've got another case of that recently.
[02:22:15.103 --> 02:22:19.407]  They admit their vaccine is so pathetic that fully vaccinated people can pass it on.
[02:22:20.208 --> 02:22:23.049]  So you can prove you don't have the virus, but you're not getting into the nightclub.
[02:22:23.269 --> 02:22:29.510]  You're only getting into the nightclub if you prove you've conformed rolled over like a spineless jellyfish.
[02:22:30.851 --> 02:22:37.733]  But problems emerged in Scotland within hours of this being launched and Aberdeen Football Club fans reported issues with the app.
[02:22:37.753 --> 02:22:39.353]  They weren't able to buy tickets.
[02:22:39.533 --> 02:22:42.514]  Now you can't even buy tickets without proving you've been vaccinated.
[02:22:42.534 --> 02:22:43.814]  You don't even need to go to the door.
[02:22:44.855 --> 02:22:50.113]   They came out and told their fans Quote, nobody will be asked to show proof of vaccine.
[02:22:50.633 --> 02:22:56.856]  The nightclub owners, the hospitality chiefs, came out immediately after and said, this is, quote, farcical.
[02:22:57.056 --> 02:22:59.957]  It's an omni-shambles, it was called in the Scottish Parliament.
[02:23:00.417 --> 02:23:03.218]  It completely failed within hours of being launched.
[02:23:03.558 --> 02:23:11.642]  So the government's now had to say, none of these businesses have to enforce vaccine passport mandates until October 18th.
[02:23:12.022 --> 02:23:13.322]  Will it work on October 18th?
[02:23:13.522 --> 02:23:14.823]  That remains to be seen.
[02:23:16.266 --> 02:23:17.127]  That's a positive.
[02:23:17.187 --> 02:23:27.334]  Of course, we've seen in France with the restaurants, bars and cafes there, they had the initial PR wave of the cops coming out and harassing people in cafes, checking their medical papers.
[02:23:27.874 --> 02:23:30.436]  That was for the cameras, for the news headlines only.
[02:23:30.456 --> 02:23:31.436]  It lasted two days.
[02:23:31.737 --> 02:23:40.202]  Then everyone started having giant picnics, camping in the street outside these businesses, and they stopped enforcing the vaccine passport.
[02:23:40.262 --> 02:23:43.785]  A similar thing happened in Israel and all these other countries.
[02:23:44.565 --> 02:24:00.049]  Later on though we're going to talk about how Ireland is actually refusing people now who've been double jabbed if they can't properly prove they've had the vaccine a couple of weeks beforehand and they're not even letting in double vaccinated people into some venues in Ireland.
[02:24:00.229 --> 02:24:03.590]  It's incredible and it's not going to stop until people stop complying altogether.
[02:24:04.051 --> 02:24:05.611]  Summit.News we'll be back don't go away.
[02:24:06.351 --> 02:24:15.933]  Well, of course, one area in which this Covid tyranny is being enforced behind closed doors, at least to many of the parents, is within schools.
[02:24:15.953 --> 02:24:23.394]  You've got massive testing of students, especially here in the UK, to bump those numbers up right in time for winter so they can have another lockdown.
[02:24:24.254 --> 02:24:32.335]  You also have the parents who complain about things like Covid mandates, mask mandates, being now demonised literally as domestic terrorists.
[02:24:32.355 --> 02:24:41.114]   There's a headline here out of InformationLiberation.com AG Merrick Garland orders FBI to mobilize against anti-CRT parents.
[02:24:42.294 --> 02:24:50.139]  Attorney General Merrick Garland is sicking the FBI on parents speaking out at school board meetings against anti-white critical race theory being taught in public schools.
[02:24:50.539 --> 02:24:58.684]  And of course, what you've seen in addition to that at these public school board meetings is parents speaking out against making toddlers wear mask mandates.
[02:24:59.144 --> 02:25:02.766]  It's literally crippling their development.
[02:25:03.800 --> 02:25:19.212]  It's making their language skills harder to develop because they can't see people's mouths, they can't learn in that way, which is absolutely crucial to their development in those key early years because these masks are smothering the teachers, they're smothering the kids with them.
[02:25:20.232 --> 02:25:28.679]  Christopher Ruffo tweeted, Attorney General Merrick Garland has instructed FBI to mobilize against parents who oppose critical race theory and mask mandates, I will add.
[02:25:29.392 --> 02:25:36.155]  Letter follows the National School Board Association's request to classify protests as domestic terrorism.
[02:25:36.455 --> 02:25:56.743]  They're literally classifying parents who say they don't want their kids to be taught to hate themselves, that they're now domestic terrorists, that they're anti-Covid extremists if they don't want their toddlers to wear face diapers, which is crippling their psychological development, which I'm going to get into in a moment.
[02:25:56.783 --> 02:26:04.729]   But we had this video earlier today The dystopia just sinks into deeper and deeper abyss on a daily basis, doesn't it?
[02:26:05.429 --> 02:26:05.869]  Headline!
[02:26:05.930 --> 02:26:10.512]  Creepy video shows teacher making toddlers sing pro-mask nursery rhyme.
[02:26:11.052 --> 02:26:12.113]  We have the video.
[02:26:12.133 --> 02:26:12.733]  Let's play it.
[02:26:12.773 --> 02:26:14.174]  I'll come back and talk about it.
[02:26:14.214 --> 02:26:20.417]  But here is the clip of the Karen teacher trying to teach these kids to sing this dystopian song.
[02:26:20.457 --> 02:26:20.917]  Here it is.
[02:26:20.937 --> 02:26:23.459]  Two, three.
[02:26:25.109 --> 02:26:28.110]  I wear a mask to school.
[02:26:28.410 --> 02:26:30.571]  I wear a mask to school.
[02:26:31.211 --> 02:26:33.712]  Hi ho the derry-o.
[02:26:33.972 --> 02:26:36.312]  I wear a mask to school.
[02:26:36.833 --> 02:26:38.833]  It helps to keep me safe.
[02:26:39.593 --> 02:26:41.474]  It helps to keep me safe.
[02:26:42.276 --> 02:26:46.560]  Hi-ho the derry-o, it helps to keep me safe.
[02:26:47.241 --> 02:26:49.103]  It keeps my friends safe.
[02:26:49.763 --> 02:26:51.605]  It keeps my friends safe.
[02:26:52.346 --> 02:26:56.770]  Hi-ho the derry-o, it keeps my friends safe.
[02:26:57.131 --> 02:26:58.572]  And let me see a hooray!
[02:26:58.632 --> 02:27:00.454]  Put your hands up in the air!
[02:27:02.225 --> 02:27:03.746]  I wear a masticle!
[02:27:04.186 --> 02:27:05.407]  I wear a masticle!
[02:27:05.447 --> 02:27:08.169]  You can imagine what this creature looks like, can't you?
[02:27:08.309 --> 02:27:09.730]  They all look the same, don't they?
[02:27:09.750 --> 02:27:12.112]  A lot of physiognomy going on right there.
[02:27:12.532 --> 02:27:14.394]  With the Karens, with the mask enforcers.
[02:27:14.874 --> 02:27:19.757]  And the kids were so enthusiastic, weren't they, to learn that song and to repeat it.
[02:27:20.098 --> 02:27:21.559]  This is what's happening.
[02:27:22.159 --> 02:27:24.961]  This is why you should homeschool your kids if you can afford it.
[02:27:25.442 --> 02:27:27.083]  But in this article I flash back.
[02:27:28.023 --> 02:27:31.546]  Because these masks are literally making kids lose IQ points.
[02:27:32.165 --> 02:27:41.271]  In schools, from a very early age where they're very susceptible to failure as a result of a cognitive failure from not learning language correctly.
[02:27:41.911 --> 02:27:55.360]  We highlighted the study that found mean IQ scores of young children born during the pandemic have tumbled by as much as 22 points, while verbal, motor and cognitive performance have all suffered as a result of lockdown and mask mandates.
[02:27:56.320 --> 02:28:13.434]   We had an article In Forbes magazine, which was written by an education expert, and he asserted that forcing school children to wear face masks was causing massive psychological trauma, that article started to go viral on social media, and lo and behold, Forbes deleted it.
[02:28:14.315 --> 02:28:25.642]  Earlier this summer, sociology professor Robert Dingwall vowed to stop wearing a face mask in solidarity with children and the disabled, asserting he won't be lectured by mass proponents on the morality of not covering up.
[02:28:26.354 --> 02:28:40.603]  He said he was doing it to show solidarity with people with communication difficulties, whether auditory and unable to lip read, as well as for small children whose education has been disrupted by the lack of visual clues, especially in language development.
[02:28:41.063 --> 02:28:44.745]  It's causing untold harm to their cognitive development.
[02:28:45.146 --> 02:28:46.226]  It's child abuse.
[02:28:46.907 --> 02:28:50.729]  And all these hopped up Karen teachers are just reveling in it.
[02:28:51.329 --> 02:28:55.232]  Absolutely reveling in it, as you saw with that cringe video.
[02:28:56.454 --> 02:29:06.018]  Meanwhile back in the UK, still ties in with coronavirus, UK military wants to spy on social media to detect change in population sentiment.
[02:29:06.058 --> 02:29:09.739]  Well, we know they're already doing this, they're just coming out in the open and admitting it.
[02:29:10.880 --> 02:29:37.143]   Because as Laura Dodsworth revealed in a book that I've talked about many times before, The entire compliance method by which Brits were forced to be obedient to mask mandates, to lockdown mandates, whereas normally they wouldn't be, was achieved via a weaponisation of psychological behaviour, behavioural psychology, foisted upon the British public to make them more terrified of the virus than they needed to be.
[02:29:37.243 --> 02:29:49.041]   We've seen the survival rates for Covid, especially in healthy people, Not something that you would treat on the same level as the plague or the Spanish flu, but that's what we were subjected to in the early days of the first lockdown.
[02:29:50.882 --> 02:30:00.530]  All deliberate and all tied in with these extra-governmental bodies that don't use data, scientific data, don't use the history of how to handle a pandemic.
[02:30:01.010 --> 02:30:09.056]  They weaponize behavioral psychology because their main goal was not to inform the public, it was to terrify the public.
[02:30:09.096 --> 02:30:10.838]  And the military was part of this.
[02:30:11.542 --> 02:30:14.843]  The military, of course, that's supposed to focus on foreign adversaries.
[02:30:15.783 --> 02:30:27.808]  There's a division of the British Army called the 77th Brigade, which uses legitimate non-military levers as a means to adapt behaviors of opposing forces and adversaries.
[02:30:27.848 --> 02:30:32.409]  And in this case, the opposing force and the adversary is the British population.
[02:30:33.189 --> 02:30:43.752]   So that is a unit within the military that goes on to Twitter, floods social media with pro-mask, pro-vax, pro-lockdown, responses to tweets that go viral.
[02:30:43.792 --> 02:30:52.656]  So we literally have the British military, which is supposed to be fighting foreign adversaries, now turning inwards because we are now the adversaries.
[02:30:53.557 --> 02:31:05.323]  And this came to the fore again with this UK Ministry of Defence report, which inadvertently revealed its plan to spy on social media platforms in order to detect, quote, changes in population sentiment.
[02:31:05.503 --> 02:31:12.492]   So again, they Detect those changes so they can adapt their own propaganda, their own approach to it, because apparently we're now the enemy.
[02:31:13.633 --> 02:31:27.467]  Despite ostensibly being about better use of existing silos, the MoD's data strategy for defence document explains how the military should move towards automated scanning of social media platforms to detect, quote, change in population sentiment.
[02:31:27.527 --> 02:31:29.729]  Again, they're already doing it, they're just admitting to it.
[02:31:30.603 --> 02:31:41.967]  The Register reported nowhere does the document explain why a strategy paper has gone so far off the beaten track that it promotes collecting data the MOD doesn't have and using it for decidedly non-military purposes.
[02:31:42.047 --> 02:31:45.168]  Again, because we are now the new enemy.
[02:31:46.269 --> 02:31:59.239]   So again, They've got the military, they've got behavioural psychologists working with the government, completely illegal, to terrify the public into mass obedience to lockdown rules by exaggerating the threat posed by Covid.
[02:31:59.539 --> 02:32:01.560]  By lying about the death numbers.
[02:32:01.600 --> 02:32:03.340]  I've spoken about it many times before.
[02:32:03.700 --> 02:32:05.861]  You can go on the UK government's official website.
[02:32:06.361 --> 02:32:10.943]  Someone asked them how many people have died of Covid with no underlying conditions.
[02:32:12.057 --> 02:32:16.599]  And the true figure was 10% of the official death toll of Covid.
[02:32:16.879 --> 02:32:20.321]  With Covid the only thing being on the death certificate being Covid.
[02:32:20.441 --> 02:32:22.682]  It was one tenth of the official death toll.
[02:32:23.362 --> 02:32:24.983]  Yet we're confronted with that.
[02:32:25.183 --> 02:32:29.945]  We're told by people like Professor Neil Ferguson that half a million people are going to die.
[02:32:30.145 --> 02:32:31.766]  They lie to us time and time again.
[02:32:32.106 --> 02:32:37.809]  And they're using the military now to do it because we are the enemy in the New World Order.
[02:32:38.309 --> 02:32:38.969]  Summit.News.
[02:32:39.009 --> 02:32:39.550]  We'll be back.
[02:32:39.630 --> 02:32:40.170]  Don't go away.
[02:32:41.420 --> 02:32:46.021]  Well we're constantly reminded, especially in Europe, of how much a strength diversity is.
[02:32:46.061 --> 02:32:50.242]  Well now it appears that diversity doesn't include white people.
[02:32:50.282 --> 02:32:59.404]  There were some very strange comments made on a popular Irish television show a couple of days ago about diversity, about multiculturalism.
[02:32:59.444 --> 02:33:11.288]   This is a show that celebrates people from other nationalities entering Ireland and prospering But that prospering doesn't seem to extend to Ireland's native population.
[02:33:11.349 --> 02:33:14.312]  I'm going to come back and talk about this, but here's the clip first of all.
[02:33:14.913 --> 02:33:19.418]  TV show weirdly celebrates demographic decline of white people.
[02:33:19.458 --> 02:33:19.919]  Here it is.
[02:33:22.068 --> 02:33:29.770]  A guest on a TV show in Ireland made bizarre comments in which he appeared to celebrate the demographic decline of white people.
[02:33:29.830 --> 02:33:41.294]  The program, which is being aired by the TG4 channel, takes the viewer on a quote, world-wind tour of Ireland, meeting all the great people from overseas who now call Ireland their home.
[02:33:41.434 --> 02:33:46.595]  The host was interviewing a guest about how Ireland is now home to numerous different nationalities.
[02:33:46.795 --> 02:33:48.736]  Then he casually dropped this remark.
[02:33:48.956 --> 02:33:49.896]  And I was like, where you from?
[02:33:49.916 --> 02:33:51.757]  She goes, me man's from China.
[02:33:52.077 --> 02:33:53.218]  I'm a guy's from Africa.
[02:33:53.238 --> 02:33:53.878]  I'm like, whoa!
[02:33:54.978 --> 02:33:56.039]  Ireland is unique now.
[02:33:56.319 --> 02:33:57.299]  We're mixed.
[02:33:57.840 --> 02:34:05.463]  Because I can imagine in 10 years time, there's going to be Barack Obamas walking around, Beyonce's, and oh, different sorts.
[02:34:05.963 --> 02:34:06.683]  Mixture of people.
[02:34:06.763 --> 02:34:09.224]  So the whites are going extinct here now.
[02:34:09.284 --> 02:34:10.445]  So we're taking over.
[02:34:12.256 --> 02:34:12.877]  Wait, what?
[02:34:13.057 --> 02:34:16.040]  The whites are going extinct here now, so we're... we're taking over.
[02:34:16.080 --> 02:34:17.021]  Hang on a minute.
[02:34:17.041 --> 02:34:18.903]  Was that supposed to be a joke?
[02:34:19.544 --> 02:34:21.867]  If so, I'm still waiting for the punchline.
[02:34:21.907 --> 02:34:26.291]  Does diversity mean all different colours and creeds living in harmony?
[02:34:27.307 --> 02:34:29.008]  Or does it mean no white people?
[02:34:29.088 --> 02:34:34.232]  Because if its biggest champions are saying the latter, that's somewhat concerning.
[02:34:34.352 --> 02:34:45.900]  If multiculturalism means people from all different cultures and backgrounds coexisting in peace, why are you singling out and excluding one specific ethnicity from that society?
[02:34:46.020 --> 02:34:47.301]  Really makes you think.
[02:34:47.621 --> 02:34:52.104]  If I made similar comments about any other ethnicity, I'd be monstered and demonised.
[02:34:52.264 --> 02:34:57.811]  Yeah, this is broadcast on Irish national television on a channel that gets 650,000 viewers a day.
[02:34:58.531 --> 02:34:59.813]  And no one bats an eyelid.
[02:34:59.933 --> 02:35:05.920]  TG4TV posted a tweet promoting the show, but then hastily deleted it after being ratioed in the thread.
[02:35:06.040 --> 02:35:10.045]  They then tweeted it again, but this time blocked anyone from being able to comment.
[02:35:10.265 --> 02:35:16.635]  Almost like people aren't okay with virulent racism being thinly disguised as progressive virtue signaling.
[02:35:16.775 --> 02:35:22.283]  Perhaps that's why the capital Dublin was plastered with clown world posters not so long ago.
[02:35:22.303 --> 02:35:24.386]  Ireland is unique now.
[02:35:24.686 --> 02:35:25.688]  We are mixed.
[02:35:25.908 --> 02:35:29.111]  How is that unique from virtually any other European country?
[02:35:29.452 --> 02:35:33.275]  It's exactly the same as almost every other European country.
[02:35:33.315 --> 02:35:41.904]  In fact, Ireland is so on board with diversity, it recently crowned its first Black Miss Ireland former refugee Pamela Uber.
[02:35:42.084 --> 02:35:45.848]  So why the need for such bigoted exclusionary rhetoric?
[02:35:46.268 --> 02:35:48.110]  We all want to be inclusive, don't we?
[02:35:48.250 --> 02:35:49.992]  Can't we all just get along?
[02:35:54.665 --> 02:35:57.287]  So again, you've seen the narrative in the media time and time again.
[02:35:57.347 --> 02:36:15.717]  Whenever anyone expresses any kind of concern about what importing a large group of people from different countries into European countries, what effect that has on the European country, if you present that in anything other than a glowing, gracious, positive way, you're demonised as the worst kind of racist imaginable.
[02:36:15.757 --> 02:36:18.759]  You've seen this with Tucker Carlson over recent weeks.
[02:36:19.907 --> 02:36:33.850]  And it's a conspiracy theory it doesn't exist but if you're celebrating the demographic decline of white people as a good thing then suddenly it does exist and you're the best virtue signal on Irish television according to this guy's perspective.
[02:36:34.791 --> 02:36:45.513]  You know Ireland is apparently such a racist country as I made the point in an article that they crowned a black refugee activist from South Africa as Miss Ireland.
[02:36:46.133 --> 02:37:03.648]   Now I'm not saying that this woman is unattractive but Do you think she was given the crown of Miss Ireland because she was a black refugee left-wing activist from South Africa, or was she given the crown because she was more attractive than the other contestants in that pageant?
[02:37:04.048 --> 02:37:05.269]  I'll leave that one up to you.
[02:37:05.809 --> 02:37:11.694]  Of course, the winner of Miss Ireland complained about Ireland being racist when they gave her the crown.
[02:37:11.714 --> 02:37:12.654]  Of course she did!
[02:37:12.674 --> 02:37:16.037]  She said, quote, Ireland is becoming more and more multicultural.
[02:37:17.085 --> 02:37:22.566]  The headline for this, by the way, is Former Refugee Becomes First Black Woman to Win Miss Ireland Complains About Racism.
[02:37:23.186 --> 02:37:25.027]  Ireland is becoming more and more multicultural.
[02:37:25.367 --> 02:37:28.707]  And it's great to see more of us being represented in the media and in Ireland as a whole.
[02:37:28.867 --> 02:37:30.028]  But not white people, apparently.
[02:37:30.048 --> 02:37:31.608]  You can go extinct and like it.
[02:37:32.208 --> 02:37:35.929]  The world is becoming more and more diverse because we're able to travel so freely.
[02:37:35.949 --> 02:37:36.969]  Hmm.
[02:37:37.149 --> 02:37:39.809]  Don't think Nigeria's becoming more diverse, is it?
[02:37:40.890 --> 02:37:42.610]  In fact, she's from South Africa.
[02:37:43.248 --> 02:37:53.554]  Which has become less diverse in terms of less white people over the past 20 years, partly due to violent racist attacks on white people.
[02:37:53.614 --> 02:38:00.619]  So, seems there are only certain countries are becoming more diverse, others seem to be going the other way.
[02:38:00.859 --> 02:38:02.080]  Interesting that, isn't it?
[02:38:03.341 --> 02:38:12.466]   Meanwhile, Record numbers of boat migrants from North Africa, the Middle East, Afghanistan particularly in recent weeks continue to arrive in the UK.
[02:38:12.506 --> 02:38:19.269]  They're welcomed, clothed, taken care of, given free food, free money, housed in three and four star hotels.
[02:38:19.629 --> 02:38:22.610]  That's not going very well as I made the point last week.
[02:38:23.334 --> 02:38:29.043]  Meanwhile, Polish journalists are being denied entry to the UK because of their opinions.
[02:38:29.083 --> 02:38:30.144]  We have that clip here.
[02:38:30.164 --> 02:38:37.776]  This is Polish journalist Rafał Zimkowicz, who was detained and interrogated at Heathrow Airport this past weekend for his opinions.
[02:38:37.836 --> 02:38:38.377]  Here's the clip.
[02:38:41.374 --> 02:38:45.957]  The Polish journalist has been refused entry to the UK because of his opinions.
[02:38:46.177 --> 02:38:51.541]  Rafał Zimkowicz was detained and interrogated for three hours at Heathrow Airport on Saturday.
[02:38:51.641 --> 02:38:52.261]  His crime?
[02:38:52.942 --> 02:38:53.622]  Wrong think.
[02:38:53.802 --> 02:39:00.727]  According to the British Border Force, Zimkowicz holds views that are, quote, are odds with British values and likely to cause offence.
[02:39:00.947 --> 02:39:07.212]  This is the same Border Force that acts as a taxi service for anonymous migrants from politically unstable countries.
[02:39:07.332 --> 02:39:13.897]   Maybe if Zimkowicz had just arrived in Dover in a dinghy, He'd be welcomed with open arms and given free food and accommodation.
[02:39:14.117 --> 02:39:17.140]  As it is, he's a bit right-wing, so he's been booted out of the country.
[02:39:17.160 --> 02:39:20.923]  Zemkowicz said he wasn't even trying to enter the country for any political reason.
[02:39:20.963 --> 02:39:25.147]  He was accompanying his daughter for the start of her academic year at Oxford University.
[02:39:25.267 --> 02:39:30.292]  During his three-hour interrogation, Zemkowicz was searched, photographed, and had his fingerprints taken.
[02:39:30.572 --> 02:39:39.157]  British Deputy Foreign Minister Pavel Jablonski said it would be, quote, a reason for great concern if it was confirmed that Zimkovits had been banned for his political views.
[02:39:39.297 --> 02:39:45.681]  The journalist is by no means the first person to be banned from Britain for holding controversial opinions.
[02:39:45.861 --> 02:40:01.414]   Dutch politician Geert Wilders was banned for anti-Islam rhetoric, although the ban was later overturned on a Talk show host Michael Savage, who at one point had one of the biggest radio shows in all of America, was banned in 2019 for quote, fostering hatred.
[02:40:01.494 --> 02:40:05.718]  The bar for that seems to be getting increasingly lower these days, doesn't it?
[02:40:08.883 --> 02:40:14.108]  So they have Polish journalists being treated like absolute scum, like thought criminals, like terrorists.
[02:40:14.589 --> 02:40:17.031]  Because again, they want to limit mass immigration.
[02:40:17.612 --> 02:40:26.961]  Meanwhile, we have government in the United Kingdom importing migrants at record levels, giving them free homes, free hotel accommodation, free food at taxpayer expense.
