[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[02:10:44.768 --> 02:10:54.535]  What is David Icke doing having a video on Banned.Video saying Wuhan Lab Virus Leak A Calculated Diversion From The Simple Truth There Is No Virus David Icke?
[02:10:54.555 --> 02:10:59.558]  Because that certainly got him banned off YouTube and Facebook finally last year when he said that.
[02:11:00.836 --> 02:11:01.957]  Hard to believe over a year and a half.
[02:11:01.997 --> 02:11:02.997]  Yeah, it was last year, 2020.
[02:11:05.419 --> 02:11:08.641]  Well, I mean, David Icke is allowed to have his own opinions, and I respect him.
[02:11:08.701 --> 02:11:10.562]  And as much as we've been lied to, who knows?
[02:11:11.903 --> 02:11:15.545]  You know, the scientific method is you can always challenge things.
[02:11:16.045 --> 02:11:18.326]  And a lot of things we're told are fact, later turn out to not be.
[02:11:19.607 --> 02:11:21.168]  So I'm going to get him on next week to discuss that.
[02:11:21.688 --> 02:11:27.372]  Obviously, if I rub up against poison ivy, that's a chemical in there that causes an autoimmune response in my body.
[02:11:28.496 --> 02:11:32.158]  And that's a mechanism the plant has so things don't rub up against it or try to eat it.
[02:11:32.818 --> 02:11:43.022]  So there's lots of invisible stuff that does things and Ike's right that cells put off things that are RNA when they get toxified and a lot of scientists cover that and know that.
[02:11:43.082 --> 02:11:43.602]  It's a fact.
[02:11:44.823 --> 02:11:47.304]  But some say well basically everything is coming out of our cells.
[02:11:47.324 --> 02:11:51.126]  Well that's why they admit that if you take the COVID vaccine
[02:11:52.270 --> 02:11:58.596]  It can make your cells release more deadly variants, and that's the discoverer of HIV, Nobel Prize winner, saying that.
[02:11:58.636 --> 02:12:00.378]  So, a lot of what he's saying is true.
[02:12:00.798 --> 02:12:02.440]  Do I go all the way to say it doesn't exist at all?
[02:12:02.460 --> 02:12:07.905]  No, they made a virus, even though they can never isolate it at the clinics and places that are around.
[02:12:09.099 --> 02:12:13.402]  But they do create chimera viruses and they do release them to create fear and get power.
[02:12:14.323 --> 02:12:17.185]  But is it a fraud like the PCR test entirely?
[02:12:17.485 --> 02:12:22.889]  I don't know but I'm open for a debate about that and I shouldn't fear debate about that and that's a good thing.
[02:12:23.129 --> 02:12:29.254]  We don't have like a monolithic thing here where every host, every guest, every person totally agrees with some lockstep thing.
[02:12:29.454 --> 02:12:31.275]  We're not CNN or MSNBC.
[02:12:32.216 --> 02:12:33.557]  We're not mainstream media.
[02:12:33.577 --> 02:12:35.198]  All right, we'll be right back.
[02:12:35.218 --> 02:12:35.678]  Stay with us.
[02:12:36.319 --> 02:12:45.205]  We have Dr. GOP standing by because we have to get to some extremely important breaking discoveries surrounding the poisonous injections.
[02:12:45.245 --> 02:12:51.129]  There are some absolutely unbelievable things happening here today.
[02:12:52.009 --> 02:13:00.195]  But before we get to the doctor, that GOP has finally done something right, it would seem, that some of these Republicans have grabbed a hold of their
[02:13:01.132 --> 02:13:02.413]  Testicular fortitude.
[02:13:03.534 --> 02:13:09.277]  They've stopped Nancy Pelosi from going forward with her hit squad with the January 6th commission.
[02:13:10.398 --> 02:13:22.685]  It appears the Senate vote was 54 to 33, just six votes short of the 60 that it would have taken to pass the House bill to create the 10-member panel that would be evenly split between Republicans and Democrats.
[02:13:22.725 --> 02:13:28.489]  And it's interesting to me that it's notable to mention there were two Senate Democrats that skipped the vote.
[02:13:29.736 --> 02:13:40.664]  So if this had been the end-of-the-world event that Nancy Pelosi and these radicals want to tell you that it is, Schumer would have absolutely made sure that everyone was there, but he didn't.
[02:13:41.224 --> 02:13:43.305]  And that's very telling, and that's because we know the truth.
[02:13:43.345 --> 02:13:56.154]  The truth is that it was a grandma selfie party, and that patriots responded to the call of the president to be peaceful and come and support him in the wake of what we knew was going to be a complete hijacking, because he told us it was going to be, and he was right.
[02:13:56.214 --> 02:13:56.614]  And he's right.
[02:13:56.634 --> 02:13:57.135]  They've been right.
[02:13:57.715 --> 02:14:01.218]  About nine out of ten things that he said during his administration.
[02:14:02.039 --> 02:14:09.204]  We were all called these tinfoil hat-wearing conspiracy theorists for backing the president as, you know, I'm not a torch carrier for everything Donald J. Trump.
[02:14:09.704 --> 02:14:16.409]  Specifically, and most importantly, probably his most glaring mistake, which has been the people that he has had closely around him.
[02:14:17.170 --> 02:14:25.997]  And I think, you know, personnel decisions made in a different light could have definitely helped the president, and who knows, he could still be in office had he acted
[02:14:26.999 --> 02:14:29.383]  Uh, you know, on the information that he was being provided.
[02:14:29.423 --> 02:14:35.073]  We know that there was certain information that has been kept from him and was kept from him five months after.
[02:14:36.204 --> 02:14:39.746]  That election took place, which is heartbreaking and it's devastating.
[02:14:39.786 --> 02:14:54.533]  Also breaking over at StuPeters.TV today, leaked training materials for transgender acceptance as the Marxists continue to force the demasculinization of males in our country and attack the Christian and conservative culture here in the United States.
[02:14:54.573 --> 02:14:55.634]  So don't miss that report.
[02:14:55.694 --> 02:14:58.255]  Again, you can find that at StuPeters.TV.
[02:14:58.335 --> 02:15:04.999]  Also breaking today, Senator Ted Cruz has introduced a no vaccine passport bill
[02:15:05.740 --> 02:15:06.200]  Well, yeah.
[02:15:23.365 --> 02:15:24.245]  We all agree with that.
[02:15:24.686 --> 02:15:38.991]  You should make the choice based on your health, based on the decisions you want, and I've also introduced this week legislation that would, number one, prohibit any federal vaccine passport, prohibit the Biden administration from doing anything to mandate vaccines, but it also prohibits discrimination in employment.
[02:15:40.232 --> 02:15:46.094]  We're seeing some places where employees are saying that if you're not vaccinated, you're fired, and that ought to be illegal.
[02:15:46.912 --> 02:15:51.615]  Your health decisions are yours to make and it shouldn't be your boss and it shouldn't be your government.
[02:15:51.695 --> 02:15:55.077]  It shouldn't be anyone else forcing you to make those decisions.
[02:15:56.198 --> 02:16:00.141]  So he did in fact go ahead with introducing that legislation.
[02:16:00.621 --> 02:16:04.644]  You know, interesting take earlier this afternoon from Tom Papert over at National File.
[02:16:05.507 --> 02:16:11.316]  If Ted Cruz is going to be so concerned about that, and we wish him the best of luck, but what about right at home in Texas?
[02:16:11.757 --> 02:16:17.205]  Where Governor Abbott has said that he's introduced Texas law that bans this stuff from happening, but in fact, that isn't the case.
[02:16:17.225 --> 02:16:18.207]  And when you look into it...
[02:16:19.154 --> 02:16:29.857]  You'll find that, you know, Abbott is putting on this front of being this real conservative guy, stopping and opposing any of this forced inoculation, but in fact it's all really squishy and really wonky.
[02:16:29.917 --> 02:16:40.779]  Okay, so we have a lot to get to here today with Dr. Jane Ruby as we're breaking never-before-released information surrounding the so-called shot in the arm, the jab being falsely referred to as a vaccine.
[02:16:40.819 --> 02:16:42.860]  It's responsible for mass infertility.
[02:16:44.749 --> 02:16:48.351]  Miscarriages aka spontaneous involuntary abortions.
[02:16:48.391 --> 02:16:50.352]  Menopausal women have begun bleeding again.
[02:16:50.952 --> 02:16:52.894]  Young women having abnormal cycles.
[02:16:53.814 --> 02:16:55.836]  Reports of females bleeding.
[02:16:55.916 --> 02:17:00.398]  We've had males that have had other adverse side effects and different reactions.
[02:17:00.459 --> 02:17:04.521]  I spoke to somebody in Toronto today regarding personal finance stuff.
[02:17:05.041 --> 02:17:10.285]  Golfing, by the way, they stopped that in Canada because as we know golfing is really dangerous when you're out there
[02:17:10.885 --> 02:17:17.127]  You know, looking for me at least, I'm looking for several sleeves of balls in the woods away from anybody else in the outdoors.
[02:17:17.887 --> 02:17:18.827]  Very dangerous stuff.
[02:17:18.847 --> 02:17:24.769]  They tried to ban tennis in Canada as well because that's really dangerous.
[02:17:25.869 --> 02:17:30.390]  But we talked about these injections being self-spreading or transmissible.
[02:17:31.491 --> 02:17:37.492]  And it's been revealed here on the Alex Jones Show and all over at InfoWars as well as over at StuPeters.TV.
[02:17:37.532 --> 02:17:40.093]  For months we've been talking about how years ago
[02:17:40.876 --> 02:17:46.821]  They telegraphed this and told you that they were designing these transmissible vaccinations.
[02:17:47.281 --> 02:17:54.588]  Vaccines that would basically inoculate even the unwilling or anybody that had any kind of hesitancy to get vaccinated.
[02:17:54.628 --> 02:17:58.010]  So they wanted to develop these transmissible vaccines.
[02:17:58.091 --> 02:17:59.732]  We refer to that as shedding.
[02:18:00.256 --> 02:18:01.956]  You're more than likely familiar with that term.
[02:18:01.996 --> 02:18:03.297]  We've been talking about it here.
[02:18:04.537 --> 02:18:09.078]  And if you're here, you're part of the resistance, as Alex, you know, obviously always accurately says.
[02:18:09.118 --> 02:18:11.879]  But the report that you won't want to miss is this one.
[02:18:13.079 --> 02:18:25.442]  And that is that this myocarditis, which is a way of saying basically an infection or an inflammation of the heart, has been taking place
[02:18:26.349 --> 02:18:37.379]  And Dr. Jane Ruby is joining us now to talk about brand new findings surrounding these injections and the catastrophic damage that they're causing, of course totally ignored by the media.
[02:18:37.419 --> 02:18:49.769]  Dr. Ruby, we've been talking about this myocarditis here, and there was an article that came out that said that myocarditis was, that we were seeing some mild cases of this.
[02:18:52.772 --> 02:18:54.874]  Oh, I'm getting here that we don't have Jane Ruby on.
[02:18:55.456 --> 02:18:56.757]  All right, well, we'll get the doctor on.
[02:18:57.497 --> 02:19:01.099]  I don't know if there was a technical difficulty there, but we'll get her on here in a minute.
[02:19:02.699 --> 02:19:17.486]  Talking about this myocarditis being, you know, that there's been mild cases of this, and I don't know anybody in their right mind that could say that swelling in, on, or around the heart could be mild.
[02:19:19.987 --> 02:19:21.068]  You only get one heart,
[02:19:21.809 --> 02:19:23.230]  You don't just go get another one.
[02:19:24.031 --> 02:19:30.858]  And there's been a lot of reports in the VAERS system of specifically, apparently this is targeting males.
[02:19:31.058 --> 02:19:34.902]  And when the doctor does come on or when we get a hold of her here, we'll ask her about this.
[02:19:34.962 --> 02:19:44.512]  But it seems that now we've got both the females covered with infertility and spontaneous involuntary abortions being caused by these miscarriages.
[02:19:45.672 --> 02:20:04.357]  Elderly women are being affected by this and the thing is is that we knew about this and it's all coming out now in the mainstream media as they want to talk about the findings that are surrounding this Wuhan lab, this Wuhan Virology Institute, where Fauci was a personal investor and we talked about this.
[02:20:04.437 --> 02:20:09.298]  We told everybody, we told the world that Fauci and Barack Obama were personal investors in this lab.
[02:20:09.318 --> 02:20:14.299]  Now my financial advisor didn't tell me, he didn't give me any inside information saying, Stu, hold the phone.
[02:20:14.939 --> 02:20:23.706]  I've got really important, a great tip for you on this obscure laboratory in Wuhan that's going to be, you know, doing some really, really innovative stuff.
[02:20:24.327 --> 02:20:25.728]  And you should really invest in that.
[02:20:25.768 --> 02:20:29.571]  But, you know, Anthony Fauci, obviously, he had the upper hand in that.
[02:20:30.091 --> 02:20:41.720]  And now there's an article coming out that says Fauci demanded, or excuse me, defended controversial virus research, arguing that it was worth the risk of man-made outbreak way back in 2012.
[02:20:44.481 --> 02:20:50.043]  Alex said before he left here today that he wants to help be responsible for putting these criminals in jail.
[02:20:50.063 --> 02:20:55.605]  I mean, listen, we're talking about the most catastrophic damage that we have seen here.
[02:20:55.826 --> 02:21:02.168]  We're talking about millions of people that have apparently succumbed to this COVID-19 virus.
[02:21:03.108 --> 02:21:06.770]  We're talking about trillions of dollars in damage.
[02:21:07.515 --> 02:21:10.397]  To a world economy, to the global economy, shutting down.
[02:21:10.417 --> 02:21:19.363]  We're talking at midnight tonight, Australia is going to go back into the most restrictive lockdowns that that continent has seen since March of 2020.
[02:21:21.825 --> 02:21:28.490]  And that is because a new report is coming out of Australia that there are 26 new cases of COVID there.
[02:21:28.510 --> 02:21:34.214]  26 new cases of COVID on an entire continent is now spurring these lockdowns.
[02:21:35.788 --> 02:21:37.129]  This isn't about health and safety.
[02:21:37.169 --> 02:21:38.851]  I mean, obviously we know that.
[02:21:40.813 --> 02:21:49.561]  And I think you'll have a much clearer understanding of where we are today when you realize that the vaccine was not brought here because of COVID.
[02:21:50.582 --> 02:21:54.266]  But rather that COVID was brought here for the vaccine.
[02:21:56.748 --> 02:21:58.190]  They want to inject you with this stuff.
[02:21:58.830 --> 02:22:00.312]  It's incredibly dangerous.
[02:22:01.454 --> 02:22:02.515]  Vaccine passports.
[02:22:03.236 --> 02:22:11.603]  I hope Ted Cruz is successful, but we know that this stuff is going to be vehemently opposed by all of these elitists and globalists that have infiltrated our government.
[02:22:11.623 --> 02:22:15.366]  And we'll be back to talk about the dangers of this with Dr. Ruby right after the break.
[02:22:15.386 --> 02:22:15.846]  Don't go anywhere.
[02:22:15.866 --> 02:22:16.647]  My name is Stu Peters.
[02:22:16.667 --> 02:22:17.868]  Thanks a lot for sticking with us today.
[02:22:18.028 --> 02:22:20.750]  Welcome back to the Alex Jones Show of FreeWorldNews.tv.
[02:22:20.770 --> 02:22:21.611]  My name is Stu Peters.
[02:22:21.651 --> 02:22:23.713]  Happy to be here again on this Friday afternoon.
[02:22:24.794 --> 02:22:29.296]  Quite the honor to be here, and happy that Alex continues to put up with me and invite me back.
[02:22:29.316 --> 02:22:32.037]  We're talking about the vaccine, and we're going to get to the doctor here in a second.
[02:22:32.057 --> 02:22:38.559]  I don't know, if anybody saw this, a couple of positive things in the news, because I think it's important that we also get to that a little bit.
[02:22:39.620 --> 02:22:47.883]  Breaking in New York, a couple of fans, if you saw this, at Yankee Stadium unveiled a banner.
[02:22:47.943 --> 02:22:53.785]  I'm looking at a picture, a massive banner that read, Trump won, save America.
[02:22:55.262 --> 02:22:55.664]  I love it.
[02:22:57.645 --> 02:22:58.045]  We're good to go.
[02:23:28.166 --> 02:23:30.248]  So really big news over there at StuPeters.TV.
[02:23:30.268 --> 02:23:31.029]  We hope you check us out.
[02:23:31.069 --> 02:23:33.031]  I see Dr. Ruby is here to join us now.
[02:23:33.952 --> 02:23:35.815]  Dr. Ruby, thank you very much for being here.
[02:23:35.835 --> 02:23:42.863]  You're one of the only trusted sources that I can go to on this vaccine stuff, this inoculation, this push for these jabs.
[02:23:43.363 --> 02:23:44.784]  Has just become unprecedented.
[02:23:44.804 --> 02:23:53.151]  We're seeing that in Canada, kids are being lured in with milk and cookies and treats and candy and ice cream in exchange for being inoculated.
[02:23:53.291 --> 02:23:58.856]  And in some cases, or in all cases, apparently it doesn't require any parental consent.
[02:23:59.316 --> 02:24:00.957]  They can go there and get these jabs.
[02:24:01.337 --> 02:24:08.139]  Then there was video of parents in Ontario, which I think you have seen, that were really upset about this, rightfully so.
[02:24:08.159 --> 02:24:13.360]  And they're trying to get into these vaccination sites or these clinics where these kids are being jabbed.
[02:24:13.640 --> 02:24:17.802]  But there's a line of cops standing there preventing these people from coming through.
[02:24:18.582 --> 02:24:22.083]  And we're going to get to some breaking stuff here, but myocarditis.
[02:24:23.310 --> 02:24:36.575]  The article says that there are some mild cases of myocarditis that are being found specifically in men, young men, that's causing this swelling and this infection or this inflammation of the heart.
[02:24:37.255 --> 02:24:39.175]  So how mild are these cases?
[02:24:39.796 --> 02:24:41.656]  What exactly should we be prepared for?
[02:24:42.156 --> 02:24:50.079]  Or people who have succumbed to the pressure and been vaccinated, what might they be experiencing as far as side effects and how serious is this in all actuality?
[02:24:51.417 --> 02:24:53.039]  Well, Stu, thanks for having me back.
[02:24:53.079 --> 02:24:54.981]  Thanks to you and Alex Jones for having me back.
[02:24:55.041 --> 02:24:56.082]  It's my honor as well.
[02:24:56.782 --> 02:25:02.648]  But sadly, I have a lot of really difficult information to bring to your listeners and your viewers.
[02:25:03.549 --> 02:25:06.672]  Let's start with the myocarditis issue.
[02:25:07.533 --> 02:25:10.436]  As you mentioned, it is incredibly serious.
[02:25:11.256 --> 02:25:17.862]  I'm really getting tired of these authorities, so to speak, calling this mild and rare.
[02:25:18.222 --> 02:25:28.912]  Would you like your heart to be inflamed, swollen, the muscle damaged, and then because you can recover from it in an emergency room, call it mild and rare?
[02:25:29.032 --> 02:25:30.233]  It's just ridiculous.
[02:25:30.553 --> 02:25:32.716]  But let me get into some of the background here.
[02:25:33.076 --> 02:25:41.845]  You know, Israel made a deal with Pfizer back a few months ago, and so exclusively that particular injection was used in Israel.
[02:25:41.905 --> 02:25:47.031]  And Israel went whole hog and tried to inoculate their entire population.
[02:25:47.051 --> 02:25:48.653]  Well, they got through about two-thirds.
[02:25:49.453 --> 02:25:49.833]  Thank you.
[02:26:08.723 --> 02:26:14.627]  They're rising so high and so fast that they're not going to be able to hide this stuff anymore.
[02:26:14.927 --> 02:26:18.670]  And for example, Israel is still churning out more and more numbers.
[02:26:18.950 --> 02:26:25.754]  And what they've decided to do, instead of halting this program in children, they want to proceed with jabbing children.
[02:26:26.035 --> 02:26:30.558]  But they are now suggesting that they just give them one of the two Pfizer doses.
[02:26:30.958 --> 02:26:35.121]  Let me remind everyone, this has never been studied with one injection.
[02:26:35.641 --> 02:26:38.263]  They're just changing the goalposts.
[02:26:39.003 --> 02:26:44.367]  Moving around what they want to do based on no science, based on no responsible part of the studies.
[02:26:44.807 --> 02:26:48.149]  So I just wanted to share and getting back to those that are most vulnerable.
[02:26:48.489 --> 02:26:53.572]  I think anybody is vulnerable, but I'm going to tell you the numbers that nobody else has been reporting.
[02:26:54.033 --> 02:27:02.198]  I want to share with you in this first segment with me because it's exciting in a bad way, but the truth is coming out and that's what's exciting.
[02:27:02.598 --> 02:27:05.800]  The last time I reported to you, there were overall about 152 cases.
[02:27:08.118 --> 02:27:09.058]  of myocarditis.
[02:27:37.987 --> 02:27:43.449]  Just as a point of reference, the last time we met, there were 152 cases in the U.S.
[02:27:43.569 --> 02:27:50.311]  reported on VAERS of myocarditis after injection of these so-called, you know, experimentals.
[02:27:50.791 --> 02:27:56.693]  And in the 12- to 17-year group, there were three reports of myocarditis.
[02:27:57.353 --> 02:28:09.318]  In this last drop that just came out this morning, and I've been pressuring this poor guy all day to get this information, we now have 31 reported cases under 17 years of age.
[02:28:09.358 --> 02:28:11.119]  In other words, under 18, anything, 17 plus.
[02:28:11.139 --> 02:28:13.340]  And so we've seen a 219% increase in myocarditis
[02:28:19.978 --> 02:28:20.038]  In
[02:28:36.072 --> 02:28:39.234]  Grammar schools, elementary schools, middle schools, high schools.
[02:28:39.654 --> 02:28:59.807]  We just saw that Fairfax County, Virginia, of all places, is setting up clinics in all of the schools, whether parents like it or not, to inoculate 12 to 17-year-olds because on May 10th, the FDA gave authorization or expanded the emergency use to Pfizer for 12 to 17-year-olds.
[02:29:00.167 --> 02:29:03.890]  This is really, really frightening and we're going to see these numbers explode.
[02:29:05.526 --> 02:29:10.348]  So when you say that the numbers are being throttled, what exactly do you mean by that?
[02:29:10.388 --> 02:29:14.849]  I mean, they're being deleted, they're being changed, they're being altered, they're being hidden, they're being covered up.
[02:29:14.909 --> 02:29:18.050]  Are you making that connection, that allegation?
[02:29:19.031 --> 02:29:25.593]  Yes, and I'm making that based on the sources of people like Albert who are keeping these spreadsheets.
[02:29:25.633 --> 02:29:33.736]  Now, we are seeing, like I said, we are seeing an increase reported of myocarditis in children, but overall,
[02:29:34.836 --> 02:29:36.737]  Remember, there are other side effects too.
[02:29:37.118 --> 02:29:46.922]  There are blood clots and miscarriages and neurological issues and muscle aches and pains and debilitating, permanent debilitation.
[02:29:47.183 --> 02:29:51.325]  Those numbers have not been updated in many, many weeks.
[02:29:51.365 --> 02:29:55.867]  In fact, they keep putting the same exact numbers out from January.
[02:29:55.947 --> 02:29:59.869]  So based on that, what we think we're seeing is that there are
[02:30:00.427 --> 02:30:07.612]  Hiding side effects and they're blocking the actual reports.
[02:30:07.752 --> 02:30:11.135]  They're claiming that they have to validate them and they have to go vet them.
[02:30:11.615 --> 02:30:13.776]  That's not the purpose of the VAERS system.
[02:30:13.796 --> 02:30:16.178]  The VAERS system is a self-reporting.
[02:30:16.578 --> 02:30:25.565]  And by the way, on these myocarditis numbers, when we looked at specifically who's reporting them, the majority are physicians.
[02:30:26.105 --> 02:30:27.206]  And so it's not just...
[02:30:28.026 --> 02:30:32.810]  Yeah, and they'll go back to, oh well it's just VAERS and anybody can report that, which isn't the case.
[02:30:33.210 --> 02:30:44.218]  VAERS themselves, they hid the ability to search on their platform after we brought specific examples on my program of kids that were dying, teenagers that were dying after being inoculated.
[02:30:44.238 --> 02:30:48.501]  They want to cover this thing up and what's even more sick is that they knew this.
[02:30:48.881 --> 02:30:53.425]  They knew this back in December that it was going to cause these problems and the proof is in the pudding.
[02:30:53.445 --> 02:30:55.846]  We're going to show you how next on the Alex Jones Show.
[02:30:55.886 --> 02:30:56.407]  Don't go anywhere.
[02:30:56.787 --> 02:31:08.198]  I mean, if you've seen these reports about the IRS hiring an unprecedented amount of agents, field agents, investigators, this isn't by accident.
[02:31:08.258 --> 02:31:15.965]  I mean, this all has to do with the federal government coming after every single last bit of remaining individual liberty or freedom that you have.
[02:31:16.005 --> 02:31:18.227]  The First Amendment completely been attacked already.
[02:31:18.267 --> 02:31:20.710]  The second is next.
[02:31:21.543 --> 02:31:22.364]  I don't know.
[02:31:42.177 --> 02:31:45.139]  You couldn't do it because you'd have to identify those things.
[02:31:45.619 --> 02:31:52.022]  Essentially saying that the only thing that will be allowed for people to carry anymore is the .22 caliber.
[02:31:52.042 --> 02:31:53.823]  Well, does the guy not realize?
[02:31:53.843 --> 02:31:56.705]  I mean, this is the new potential head of the ATF.
[02:31:57.405 --> 02:32:00.727]  Does this guy not realize that the .22 round is probably the most deadly?
[02:32:01.460 --> 02:32:03.582]  Anything with a detachable magazine will be outlawed.
[02:32:03.602 --> 02:32:17.855]  That means your .308 hunting rifle, your .30-06, your 7mm, your .300 Winchester mag, anything that you take out west if you're not from there and you go out west to hunt, you know, mule deer or elk, will be taken away from you.
[02:32:18.601 --> 02:32:21.983]  The federal government is absolutely 100% weaponized against you.
[02:32:22.023 --> 02:32:27.427]  Law enforcement agencies that have been politicized, the FBI, Jim Comey, where is he at?
[02:32:27.887 --> 02:32:32.830]  Where has he been since he tried to throw President Trump under the bus with all of these lies?
[02:32:32.870 --> 02:32:34.171]  He has completely disappeared.
[02:32:34.211 --> 02:32:37.713]  George Papadopoulos says that he believes John Durham knows exactly where they are.
[02:32:37.753 --> 02:32:38.534]  They're not underground.
[02:32:38.574 --> 02:32:39.394]  They haven't disappeared.
[02:32:39.434 --> 02:32:40.215]  I guess we will see.
[02:32:40.993 --> 02:32:46.036]  The federal government in every single place that you turn has been totally weaponized against you.
[02:32:46.056 --> 02:32:48.278]  The CDC, we know that, but what about the FDA?
[02:32:48.578 --> 02:32:55.503]  We were holding on to this going, well, well, maybe, maybe they're not going to approve this vaccine.
[02:32:55.563 --> 02:32:57.004]  Maybe they're not going to approve it.
[02:32:57.955 --> 02:33:08.862]  The CDC then and FDA continue to extend this emergency use authorization and allow this thing to be conducted, this experiment that we don't believe to be an experiment.
[02:33:08.882 --> 02:33:09.983]  This is totally on purpose.
[02:33:10.003 --> 02:33:11.084]  This is by design.
[02:33:11.904 --> 02:33:15.887]  But now they're opening it up to your kids as young as 12 years old.
[02:33:18.529 --> 02:33:19.029]  Unbelievable.
[02:33:19.089 --> 02:33:25.634]  Dr. Jane Ruby joining us here with, I guess, what I would consider to be the biggest bombshell that I've heard.
[02:33:26.074 --> 02:33:27.215]  And it's really depressing.
[02:33:27.842 --> 02:33:40.250]  To hear this, Dr. Ruby, that the CDC and the FDA knew about this in December of last year, that these heart problems would affect young people.
[02:33:40.611 --> 02:33:43.192]  They know it now, but they knew it then.
[02:33:46.374 --> 02:33:57.282]  Stu, they knew it then, they went forward, they're getting serious side effects in young people, in everyone, all age groups, and they're going forward even
[02:33:58.070 --> 02:33:59.071]  More full steam!
[02:33:59.532 --> 02:34:16.433]  On December 21st, there was a publication that clearly linked the spike proteins that these injections force your body to make with cardiac damage, with cardiac illness, inflammation, and the myocarditis, but also the blood clots.
[02:34:17.339 --> 02:34:19.742]  And also the other, the strokes.
[02:34:20.863 --> 02:34:22.604]  It's absolutely insane.
[02:34:22.664 --> 02:34:24.766]  They're just running with impunity.
[02:34:25.307 --> 02:34:30.012]  And as long as we're talking about impunity, let's talk about America's doctors.
[02:34:30.492 --> 02:34:34.576]  Because I wanted to share the perspective.
[02:34:34.816 --> 02:34:40.562]  People have to remember, our doctors in the United States are derelict in their duty.
[02:34:41.280 --> 02:34:43.623]  They're failing their Hippocratic oath.
[02:34:43.763 --> 02:34:45.606]  Why do I come out on a limb and say this?
[02:34:46.167 --> 02:34:47.729]  Because let's start at the beginning.
[02:34:48.289 --> 02:34:57.442]  Because last spring, when this virus came out, and everyone was touting HCQ as a cure, and it is a relative cure if used early enough.
[02:34:59.166 --> 02:35:02.871]  The whole thing was shuttered, right?
[02:35:03.171 --> 02:35:06.335]  Because they were on their way to the Emergency Use Authorization.
[02:35:06.976 --> 02:35:13.325]  I myself, as I've told the audience before, came down with the natural flu, COVID-19, last March of 2020.
[02:35:15.362 --> 02:35:17.403]  I pleaded with my GP to get it.
[02:35:17.783 --> 02:35:18.724]  He said, we don't give it.
[02:35:18.864 --> 02:35:19.744]  We're not giving it.
[02:35:19.784 --> 02:35:21.565]  We're not allowed to give it.
[02:35:21.605 --> 02:35:22.405]  We're not using it.
[02:35:22.486 --> 02:35:30.689]  And when I dug a little deeper, because I went to the hospital to make sure I wasn't in a pulmonary crisis, I begged for it there and I was refused to get it.
[02:35:31.110 --> 02:35:38.313]  In fact, we have a clip or two, if you want to run it, where I explained what I discovered because this was being perpetrated.
[02:35:38.593 --> 02:35:39.934]  The blocking of access.
[02:35:40.334 --> 02:35:44.236]  Yes, first of all, people need to understand that governors control
[02:36:07.711 --> 02:36:08.051]  That's right.
[02:36:23.388 --> 02:36:26.470]  For a reason other than which a drug was originally approved.
[02:36:26.891 --> 02:36:33.956]  If there's some data, any data, any information, doesn't have to be published or anything, that the drug has some effect, they have the right to do that.
[02:36:34.296 --> 02:36:38.939]  Pharmaceutical companies, in contrast, cannot market it off-label.
[02:36:38.979 --> 02:36:39.720]  That's illegal.
[02:36:40.600 --> 02:36:45.804]  So with that understanding, what they're doing here is they're saying you can only prescribe it
[02:36:46.246 --> 02:36:55.472]  For malaria or lupus, the things that it was originally approved for, when in fact what they're doing, they're using that ostensibly to really block the average person's ability.
[02:36:55.512 --> 02:36:56.753]  And it's not just Virginia.
[02:36:58.274 --> 02:36:58.534]  Right.
[02:36:58.914 --> 02:37:07.980]  I mean, it's not just anywhere, they're blocking it all over the place because you can treat this thing relatively inexpensive.
[02:37:09.213 --> 02:37:09.393]  Right.
[02:37:09.693 --> 02:37:15.577]  And, you know, Florida, I had friends in Florida whose doctors said, sure, what's the name of your pharmacy?
[02:37:15.597 --> 02:37:16.938]  Your COVID test is positive.
[02:37:16.958 --> 02:37:18.479]  You know, I'll phone it in.
[02:37:18.919 --> 02:37:23.442]  And it dawned on me, it's dangerous to live in a Democrat run state.
[02:37:23.482 --> 02:37:31.887]  And I'm going to, you know, the other dereliction of duty in America's doctors, and in a year or two, Stu, I predict they're going to hang their heads in total shame and they deserve it.
[02:37:32.147 --> 02:37:34.629]  Those are the same doctors, those same cowards,
[02:37:35.169 --> 02:37:35.970]  We're good to go.
[02:37:58.921 --> 02:38:01.722]  America's physicians are very irresponsible.
[02:38:02.002 --> 02:38:18.887]  They're either ignorant or they're really stupid and they better get on the ball because they're pushing their patients into getting these very dangerous injections and they're going to be managing those patients, their myocarditis, their long-term cardiopulmonary autoimmune diseases.
[02:38:19.227 --> 02:38:23.788]  It's going to be a disaster, Stu, and they're going to be partly held responsible as they should.
[02:38:24.662 --> 02:38:26.224]  That is the whole idea here.
[02:38:26.284 --> 02:38:27.665]  That is the design here.
[02:38:28.486 --> 02:38:36.855]  If we have a cure for something, if we have a cure for cancer, by the way, we all know that cures for a whole lot of things have been available for a really long time.
[02:38:36.935 --> 02:38:39.237]  Ask Magic Johnson about a cure.
[02:38:39.578 --> 02:38:41.620]  If you have the money, you can find a cure.
[02:38:42.060 --> 02:38:42.120]  And
[02:38:58.055 --> 02:39:05.261]  Have a bottom line that they have to meet or their job is in jeopardy because if they don't care about the business aspect of the job, they're going to lose their job.
