[00:00:00.309 --> 00:00:00.991]  Wednesday live.
[02:26:40.831 --> 02:26:42.012]  That's not in the correct order.
[02:26:42.032 --> 02:26:47.735]  It's actually nitrogen is the largest and then oxygen and then at a much smaller amount of carbon dioxide.
[02:26:47.855 --> 02:26:52.498]   These three Uh, molecules, like O2 and CO2.
[02:26:53.118 --> 02:26:59.101]  These molecules are absolutely necessary for human civilization to continue to exist.
[02:26:59.982 --> 02:27:06.506]  And what a lot of people don't know, I don't think anybody else has presented this information, nitrogen is under attack.
[02:27:07.486 --> 02:27:11.848]  By shutting down the hydrocarbon fossil fuels that are used to make fertilizer.
[02:27:11.868 --> 02:27:20.991]  So we're going to talk about the engineered fertilizer shortages, how they're trapping nitrogen in the atmosphere to deny access to nitrogen by plant roots in the crop fields.
[02:27:21.611 --> 02:27:30.595]  We're going to talk about how they're shutting down oxygen, and then how they are stealing carbon dioxide out of the atmosphere, which is a reverse terraforming operation.
[02:27:31.195 --> 02:27:34.876]  And by reverse terraforming, I mean normally terraforming is to give life to a planet.
[02:27:35.357 --> 02:27:38.298]  In this case, they're taking life away from this planet.
[02:27:38.578 --> 02:27:43.720]  So it's a reverse terraforming war on a cosmic scale to target planet Earth.
[02:27:44.100 --> 02:27:46.261]  We're going to come back after this short break.
[02:27:46.281 --> 02:27:47.721]  We're going to talk about the chemistry.
[02:27:47.761 --> 02:27:49.682]  We're going to talk about the fertilizer shutdown.
[02:27:49.702 --> 02:27:51.383]  We're going to talk about the fossil fuel shutdown.
[02:27:51.983 --> 02:28:04.234]  And how they are trying to starve out and destroy every last shred of human civilization and even erase history to leave no trace that humanity ever set foot on planet Earth.
[02:28:04.254 --> 02:28:05.255]  Alright?
[02:28:05.755 --> 02:28:06.496]  So that's where we are.
[02:28:07.417 --> 02:28:08.978]  We'll be right back after this coming break.
[02:28:09.018 --> 02:28:11.220]  I'm Mike Adams here on InfoWars.com.
[02:28:11.740 --> 02:28:12.741]  Tell everybody to tune in.
[02:28:13.001 --> 02:28:16.104]  What you're about to hear is truly Earth-shattering information.
[02:28:16.224 --> 02:28:16.765]  We'll be right back.
[02:28:17.438 --> 02:28:19.600]  Alright, Mike Adams here on the Alex Jones Show.
[02:28:20.300 --> 02:28:24.023]  I'm from, of course, naturalnews.com and I'm a food scientist.
[02:28:24.063 --> 02:28:25.805]  Today we're going to talk about some science.
[02:28:25.825 --> 02:28:33.991]  I'm going to give you a crash course very quickly so you'll understand hydrocarbons, fertilizer, atmospheric chemistry, nitrogen fixing, photosynthesis, and the Haber process.
[02:28:34.011 --> 02:28:34.432]  How about that?
[02:28:34.452 --> 02:28:38.395]  A little biology and chemistry 101.
[02:28:38.915 --> 02:28:50.932]   So here's why this is critical, because when you understand what makes life possible on this planet, Then you understand how it is being attacked by the globalists and the anti-humanists or whoever they are.
[02:28:52.122 --> 02:28:57.704]  They are extremely evil, and they know what's necessary for life to persist on this planet.
[02:28:57.785 --> 02:28:59.485]  So, first things first.
[02:28:59.585 --> 02:29:06.148]  If we look at what's in the atmosphere, it's primarily nitrogen, about 79% or so.
[02:29:06.888 --> 02:29:08.829]  Then oxygen, roughly about 20%.
[02:29:09.830 --> 02:29:10.830]  I mean, these are rough numbers.
[02:29:11.591 --> 02:29:18.934]  Then there's carbon dioxide, which is a little bit above 400 parts per million, which is a very, very tiny percentage of the concentration.
[02:29:19.854 --> 02:29:24.596]  of the total atmosphere, and then the rest of that is argon and other minor gases and so on.
[02:29:25.216 --> 02:29:33.318]  Now, nitrogen, oxygen, and carbon dioxide are absolutely necessary to sustain life on the planet as we know it today.
[02:29:33.338 --> 02:29:35.839]  So let's start with the big one, nitrogen.
[02:29:36.699 --> 02:29:38.220]  Nitrogen's free in the air.
[02:29:39.798 --> 02:29:43.741]  But plants need it in order to grow, to feed the world.
[02:29:44.241 --> 02:29:56.929]  Right now, across planet Earth, there are about 3.8 billion people who are dependent on nitrogen fixing to provide nitrogen as fertilizer, to feed plants, to grow the food that feeds those 3.8 billion people.
[02:29:57.769 --> 02:30:08.878]   If you shut down the process of converting nitrogen in the air into fertilizer, Then you kill 3.8 billion people, you understand, which is about 50%, little under 50% of the world.
[02:30:09.919 --> 02:30:22.291]  What is necessary in order to convert nitrogen into, well, ammonia, which is a nitrogen-fixing molecule that's a precursor to most of the fertilizers that are used to grow plants.
[02:30:22.592 --> 02:30:23.512]  What's necessary to do that?
[02:30:24.520 --> 02:30:25.720]  The answer is hydrocarbons.
[02:30:26.581 --> 02:30:28.261]  So hydrocarbons from fossil fuels.
[02:30:28.781 --> 02:30:42.226]  If you have hydrocarbons from methane, from natural gas, from other types of fossil-based fuels, then there is a direct process of pulling nitrogen out of the air and creating fertilizer to grow food.
[02:30:42.606 --> 02:30:45.067]  That process is called the Haber process.
[02:30:45.447 --> 02:30:46.167]  H-A-B-E-R.
[02:30:46.688 --> 02:30:50.671]   And it was created I don't know how long ago, over a hundred years ago, I think.
[02:30:51.111 --> 02:30:58.480]  The Haber process requires big machines, because it has to be done at, I think, 200 or 250 times atmospheric pressure.
[02:30:58.500 --> 02:31:00.082]  It has to be done at very high temperatures.
[02:31:00.883 --> 02:31:08.411]  Once you have your machinery built, you feed in, basically, fossil fuels, and then it pulls nitrogen out of the air for free.
[02:31:09.542 --> 02:31:11.824]  And it creates ammonia, NH3.
[02:31:12.265 --> 02:31:15.368]  N is nitrogen, H is hydrogen from the hydrocarbons.
[02:31:15.548 --> 02:31:15.808]  Okay?
[02:31:16.529 --> 02:31:18.651]  This process feeds the world.
[02:31:19.031 --> 02:31:23.355]  It's the most important chemical equation probably for human civilization.
[02:31:23.815 --> 02:31:25.257]  That's why you should be familiar with it.
[02:31:25.277 --> 02:31:26.278]  That's why we're covering it here.
[02:31:27.038 --> 02:31:27.999]  Again, it's very simple.
[02:31:28.240 --> 02:31:32.864]  Nitrogen plus hydrocarbons from fossil fuel makes fertilizer that grows food.
[02:31:34.145 --> 02:31:40.006]  You can't do this directly from solar, or from wind, or even from nuclear energy.
[02:31:40.647 --> 02:31:45.748]  You can't just take electricity and combine it with nitrogen and make ammonia.
[02:31:45.868 --> 02:31:46.568]  It doesn't work!
[02:31:46.808 --> 02:31:48.128]  The chemistry does not work!
[02:31:49.029 --> 02:32:04.793]   If you convert all fossil fuel systems into so-called green energy systems, Then you starve half the world, literally, because you don't have the means to pursue this Haber process equation that actually produces the food.
[02:32:05.253 --> 02:32:10.095]  So understand, I know I'm repeating myself, but when Biden is cutting off the pipelines...
[02:32:11.343 --> 02:32:15.928]  You know, I think the Line 5 pipeline that comes from Canada into Michigan is the latest target.
[02:32:16.409 --> 02:32:17.410]  But there are other pipelines.
[02:32:17.851 --> 02:32:35.270]   When Biden shuts down fossil fuels across America, when he shuts down oil drilling and oil transportation and trucking and shipping and all these things that are necessary to move hydrocarbons, Across the continental United States and even to import and export hydrocarbons from our ports.
[02:32:35.550 --> 02:32:38.593]  When Biden does that, it's not just a war on America.
[02:32:39.113 --> 02:32:40.555]  It's a war on science.
[02:32:41.075 --> 02:32:42.376]  It's a war on food.
[02:32:42.416 --> 02:32:45.900]  It's a war on the Haber process that feeds half the world literally.
[02:32:47.378 --> 02:32:53.185]  And I haven't heard anybody explaining it that succinctly, and this is critical to understand.
[02:32:53.706 --> 02:32:57.510]  He will starve us by shutting down fossil fuels, and that is the plan.
[02:32:57.810 --> 02:32:59.733]  Believe me, they have scientists who understand this.
[02:33:00.373 --> 02:33:01.715]  They know how simple it is.
[02:33:02.756 --> 02:33:03.497]  The vulnerability.
[02:33:03.978 --> 02:33:05.660]  You shut down hydrocarbons, you shut down food.
[02:33:05.880 --> 02:33:07.262]  Alright, so that's nitrogen.
[02:33:08.243 --> 02:33:11.686]  And fertilizer plants right now are being shut down in the UK.
[02:33:12.467 --> 02:33:16.530]  There's a fertilizer company called CF Industries that operates a big plant in Louisiana.
[02:33:16.610 --> 02:33:18.973]  They had to shut down after the most recent storm.
[02:33:19.393 --> 02:33:22.516]  I think they're up and running right now, but the distribution is having problems.
[02:33:23.056 --> 02:33:27.900]  There are fertilizer production facilities around the world that are being shut down, even in Australia.
[02:33:28.461 --> 02:33:35.027]  It's all part of the same plan to starve us to death and to cut off fossil fuels, and also to raise the prices of fertilizer.
[02:33:35.507 --> 02:33:40.811]  And there are farmers across Europe who can't even order fertilizer right now because it's gone.
[02:33:41.211 --> 02:33:42.152]  It's not even being produced.
[02:33:42.172 --> 02:33:52.839]  They shut down because those other companies in Europe have said on the record that it's no longer economically feasible to produce the fertilizer because the fossil fuel prices are so high.
[02:33:53.945 --> 02:33:58.088]  Because Europe tried to shut down fossil fuels and go over to a green economy.
[02:33:58.368 --> 02:34:01.190]  It's a suicide pact to do that, of course, folks.
[02:34:01.230 --> 02:34:02.110]  It's a death cult.
[02:34:02.731 --> 02:34:04.192]  A green death cult.
[02:34:04.912 --> 02:34:11.437]  And they will go to the grave believing in their green energy solutions as they starve to death and their children starve to death.
[02:34:12.037 --> 02:34:22.104]  And they'll think, oh, the solution must be shut down more fossil fuels and jab their children with more spike proteins and release more bioweapons on the world to depopulate the world and so on.
[02:34:22.204 --> 02:34:23.505]  They are death cultists, okay?
[02:34:24.665 --> 02:34:26.646]  Every last one of them, and the globalists that are pushing this.
[02:34:27.926 --> 02:34:37.269]  But if we understand basic chemistry and science, then we can push back against this, and we can protect planet Earth from the lunatics that are trying to turn it into a frozen ice ball.
[02:34:37.509 --> 02:34:38.070]  We'll get to that.
[02:34:38.590 --> 02:34:45.552]  You take CO2 out of the atmosphere, you turn Earth into a frozen ice ball like the Hoth planet from Empire Strikes Back.
[02:34:46.152 --> 02:34:48.653]  No food, no crops, no life.
[02:34:48.933 --> 02:34:51.234]  If you lack CO2, your planet's done.
[02:34:52.074 --> 02:34:53.115]  Alright, and you want proof of that?
[02:34:53.896 --> 02:34:55.177]  Pull this up, guys.
[02:34:56.619 --> 02:35:00.943]  Search for terraforming Mars, NASA, CO2.
[02:35:00.983 --> 02:35:11.713]  You're going to bring up articles, because I've reviewed them all, that talk about the way to bring life back to Mars, to terraform Mars, is to unleash a massive amount of CO2.
[02:35:12.794 --> 02:35:12.994]  Okay?
[02:35:13.375 --> 02:35:25.444]  CO2 is the gas that can give Mars a thicker atmosphere, a warmer planet, a more lush planet, where water can exist at atmospheric pressure without, of course, us sublimating into a vapor immediately.
[02:35:25.744 --> 02:35:33.110]  If you want liquid water, if you want rivers and streams and oceans, and you want crops, and you want life on a planet, you gotta release a massive amount of CO2.
[02:35:33.490 --> 02:35:34.651]  Everybody at NASA knows that.
[02:35:35.822 --> 02:35:36.723]  All the scientists know this.
[02:35:36.743 --> 02:35:37.885]  This is basic science, folks.
[02:35:38.205 --> 02:35:40.388]  This is high school science, really, that I'm talking about.
[02:35:40.868 --> 02:35:41.089]  Okay?
[02:35:42.010 --> 02:35:47.897]  But these lunatic leftists are trying to kill all of us by saying CO2 is a bad molecule.
[02:35:47.937 --> 02:35:48.097]  No!
[02:35:48.558 --> 02:35:50.520]  It's... I call it the God molecule.
[02:35:50.580 --> 02:35:51.842]  It's the molecule of life.
[02:35:52.202 --> 02:35:58.203]  Not just for Earth, but the molecule of life for every planet that we could possibly ever discover in the cosmos.
[02:35:58.564 --> 02:36:01.744]  If it's going to have life on it, it's going to have CO2 in the atmosphere.
[02:36:02.144 --> 02:36:09.586]  Because that's what provides the carbon, and it provides the atmospheric density, and the pressure, and the warmth, which creates the humidity.
[02:36:10.126 --> 02:36:20.229]  It allows the oceans to evaporate water, and then the clouds to drop the water on the land, and that's how you have forests, and fields, and food crops, and rivers, and streams, and fish, and everything that makes a society.
[02:36:21.189 --> 02:36:29.259]  Sustainable civilization is at stake here, and they're killing it one molecule at a time right now So this continues stay with us.
[02:36:29.279 --> 02:36:37.429]  We'll be right back after this break with more Chemistry more science more about human civilization how we stay alive during this cosmic assault on humanity.
[02:36:37.729 --> 02:36:42.665]   I'm Mike Adams We'll be right back after this break All right, thank you for continuing with me here today.
[02:36:42.685 --> 02:36:54.554]  We're doing a chemistry lesson that reveals how the globalists are destroying humanity right now, meticulously, and they're attacking the science of human civilization and what keeps us sustainable.
[02:36:54.594 --> 02:37:06.083]  So we've covered the Haber process, which is how hydrocarbons are combined with nitrogen from the air in order to produce ammonia fertilizers that produce the food crops that feed 3.8 billion people about half the world.
[02:37:06.423 --> 02:37:08.465]  All right, now we're going to talk about photosynthesis.
[02:37:09.005 --> 02:37:30.960]   So photosynthesis is the process of course which by plants produce energy by taking inputs which are carbon dioxide also out of the atmosphere and then water through their roots and then sunlight energy as well so ultraviolet radiation plus carbon dioxide plus water H2O then Results in the photosynthesis process.
[02:37:31.400 --> 02:37:35.561]  Plants use this then to build everything that they need to live.
[02:37:35.661 --> 02:37:39.062]  Leaves, stems, seeds, fruits, roots, everything.
[02:37:39.562 --> 02:37:47.244]  More importantly, plants, not just food crops, but all plants, trees and so on, they also synthesize the molecules they need in order to survive.
[02:37:47.284 --> 02:37:48.864]  So plants make their own antibiotics.
[02:37:48.884 --> 02:37:49.424]  Did you know that?
[02:37:49.945 --> 02:37:54.986]  Did you know that if a plant didn't make antibiotics that microbes of the soil would just eat all the plant roots?
[02:37:55.646 --> 02:37:57.289]  Instantly, or very quickly.
[02:37:58.010 --> 02:38:01.074]  So plants have to make all of their own so-called pharmaceuticals.
[02:38:02.119 --> 02:38:04.100]  Of course it's not Big Pharma, it's Mother Nature and God.
[02:38:05.101 --> 02:38:10.444]  And plants use the elements that came from those inputs that I just mentioned.
[02:38:11.325 --> 02:38:15.007]  So you have carbon dioxide, gives them carbon and oxygen.
[02:38:15.388 --> 02:38:18.490]  And then water gives them hydrogen and oxygen.
[02:38:18.890 --> 02:38:25.234]  And out of just the three elements, carbon, hydrogen and oxygen, they can make almost everything they need.
[02:38:25.274 --> 02:38:27.135]  Not totally everything, but almost everything.
[02:38:27.155 --> 02:38:31.797]   For example, did you know that vitamin C Is made out of only three elements.
[02:38:31.957 --> 02:38:32.818]  The three I just mentioned.
[02:38:32.878 --> 02:38:34.378]  Carbon, hydrogen, and oxygen.
[02:38:34.658 --> 02:38:35.038]  And that's it.
[02:38:36.218 --> 02:38:39.919]  Did you know that most of your hormones in your body are made out of just those three?
[02:38:40.479 --> 02:38:49.060]  For example, progesterone, the hormone that allows a woman's body to grow another human being and give birth to a living human baby.
[02:38:49.100 --> 02:38:52.361]  Hopefully you can keep it safe, you know, from the left-wing abortionists.
[02:38:52.381 --> 02:38:55.662]  But if you want a living human baby, you've got to have progesterone.
[02:38:55.682 --> 02:38:56.742]  Progesterone is made out of what?
[02:38:56.822 --> 02:38:58.082]  Carbon, hydrogen, and oxygen.
[02:38:59.746 --> 02:39:05.529]  For those of you consuming or growing cannabis, what are CBD molecules made of?
[02:39:05.549 --> 02:39:06.169]  The cannabinoids.
[02:39:06.950 --> 02:39:08.150]  Carbon, hydrogen and oxygen.
[02:39:08.230 --> 02:39:08.550]  That's it.
[02:39:08.870 --> 02:39:09.791]  There's nothing else in there.
[02:39:10.711 --> 02:39:15.934]  Plants rearrange the elements in order to create molecules that are functional.
[02:39:16.474 --> 02:39:18.315]  And carbon is the center of this process.
[02:39:19.383 --> 02:39:28.835]  Now, of course, there are other molecules that will use other elements, like, for example, in your blood you have iron, and in plants you have magnesium, and so on.
[02:39:29.335 --> 02:39:35.103]  You know, occasionally you'll have these other elements that are part of more complex molecules, but the basic element of life is carbon.
[02:39:36.385 --> 02:39:39.988]  Now, there's so much carbon moving around our world.
[02:39:40.088 --> 02:39:57.362]  It's in the air, it's in the plants, it's in you and I. And at the atomic level, carbon atoms are so widespread and they're so shared, you can almost think of the world as a river of carbon that's going in and out of people's bodies as they are born and they die.
[02:39:57.382 --> 02:40:07.207]   And it is a scientific fact that right now, at this very moment, You have in your body carbon atoms that were once in the body of Jesus Christ himself.
[02:40:07.908 --> 02:40:09.010]  That is a scientific fact.
[02:40:10.612 --> 02:40:23.499]  The body of Christ is literally in you right now because carbon is, again, a river of elements that moves throughout the food web, throughout the web of life, throughout the atmosphere, throughout our planet.
[02:40:23.619 --> 02:40:25.600]  It is the key of civilization.
[02:40:26.040 --> 02:40:31.283]  So when the globalists say they are declaring war on carbon, they're declaring war on life.
[02:40:32.495 --> 02:40:36.597]  If there were an element that you could call the God element, it would be carbon.
[02:40:37.418 --> 02:40:38.218]  Carbon-based life.
[02:40:39.339 --> 02:40:46.163]  And so, every time they say they have to decarbonize, they're saying they have to eliminate life on our planet.
[02:40:46.983 --> 02:40:50.986]  And carbon dioxide is the molecule in the atmosphere that provides the carbon to the plants.
[02:40:52.046 --> 02:40:54.608]  And then the plants are eaten by animals.
[02:40:55.348 --> 02:40:57.850]  And then both plants and animals are eaten by humans.
[02:40:58.999 --> 02:41:08.686]  So your body, when you were a child developing in your mother's womb, and it's only mothers, not fathers, okay?
[02:41:08.966 --> 02:41:10.647]  Dave Chappelle is correct about that.
[02:41:10.988 --> 02:41:12.189]  Everybody has a mom.
[02:41:12.229 --> 02:41:14.210]  Everybody was born from a mother, period.
[02:41:14.750 --> 02:41:20.334]  Now, the carbon that was used to make your body came from the air.
[02:41:21.415 --> 02:41:31.613]  Through the plants, through this photosynthesis process that I'm talking about, through the carbon cycle, you are made of elements from air.
[02:41:32.274 --> 02:41:32.795]  Understand that?
[02:41:33.736 --> 02:41:34.237]  All of us are.
[02:41:35.188 --> 02:41:36.649]  And now they're attacking the air.
[02:41:36.749 --> 02:41:38.589]  They're attacking the carbon in the air.
[02:41:39.090 --> 02:41:44.092]  They're saying that they have to wage a war on carbon and they have to remove the carbon from the atmosphere.
[02:41:44.472 --> 02:41:47.433]  It's the ultimate cosmic attack on life on planet Earth.
[02:41:47.873 --> 02:41:54.716]  It's an attack that is being run in parallel with the food shortages and the energy shortages and the bioweapons and everything else that you're aware of.
[02:41:55.557 --> 02:42:02.480]  But carbon is the key element that makes us, that keeps us alive and makes our civilization sustainable.
[02:42:03.433 --> 02:42:05.299]  And if we don't have it, we are gone.
[02:42:06.242 --> 02:42:10.174]  Now, we've covered nitrogen and carbon dioxide.
[02:42:11.636 --> 02:42:14.338]  And by the way, if we had more carbon dioxide, the world would be greener.
[02:42:15.338 --> 02:42:18.740]  Carbon dioxide has risen very slowly over the last generation or so.
[02:42:18.780 --> 02:42:21.682]  You could say 40 or 50 years or maybe even 100 years.
[02:42:21.782 --> 02:42:22.342]  Very slowly.
[02:42:23.043 --> 02:42:25.644]  And it's crept up over 400 parts per million.
[02:42:26.585 --> 02:42:32.869]  NASA has satellite imagery showing that the higher the carbon dioxide level gets, the more green the planet becomes.
[02:42:33.909 --> 02:42:35.990]  There is a greening effect taking place.
[02:42:37.131 --> 02:42:39.573]  Areas that were once deserts are able to grow some food.
[02:42:39.693 --> 02:42:44.597]  Areas that were once arid, barren fields are able to grow forests.
[02:42:45.377 --> 02:42:48.960]  And the forests that have previously existed are becoming more lush.
[02:42:49.620 --> 02:42:56.786]  And in fact, there's research out there that talks about the flowers in the rainforests, the orchids and all kinds of other flowers that are used by pollinators around the world.
[02:42:57.867 --> 02:43:01.249]  Those forests are becoming more green because of more CO2 in the atmosphere.
[02:43:02.350 --> 02:43:08.555]  If we want a green planet, the true green movement should be about releasing carbon dioxide.
[02:43:09.497 --> 02:43:17.182]  Filling the atmosphere with more carbon dioxide, we would have more food, we would have more flowers, we would have more pollinators, we would have more life.
[02:43:17.962 --> 02:43:18.242]  Okay?
[02:43:19.023 --> 02:43:19.723]  It's so simple.
[02:43:20.584 --> 02:43:23.406]  Once you understand the basic chemistry, it's absolutely simple.
[02:43:23.446 --> 02:43:28.549]  Carbon dioxide is the molecule of life, and carbon is the element of God, the God element.
[02:43:28.849 --> 02:43:31.411]  You know how in physics they're always saying they're searching for the God particle?
[02:43:32.331 --> 02:43:34.052]  Well, we already have a God element.
[02:43:34.152 --> 02:43:34.613]  It's carbon.
[02:43:35.193 --> 02:43:36.454]  And we are carbon-based life forms.
[02:43:36.494 --> 02:43:38.075]  Now, what about oxygen, you might ask?
[02:43:39.212 --> 02:43:43.536]  Well, oxygen, typically appearing in the form of O2, right?
[02:43:43.616 --> 02:43:50.462]  Which is just two oxygen atoms that are bound together in a gaseous form at normal atmospheric pressure.
[02:43:50.902 --> 02:43:55.326]  O2 is released, of course, by plants and trees as a byproduct of photosynthesis.
[02:43:56.167 --> 02:44:02.353]  So, carbon dioxide and sunlight is necessary for plants to produce the oxygen that you and I breathe.
[02:44:03.641 --> 02:44:09.803]  Without photosynthesis, oxygen levels plummet around the world and we all asphyxiate.
[02:44:09.903 --> 02:44:12.624]  We die from being unable to breathe.
[02:44:14.605 --> 02:44:16.266]  And how do they shut down photosynthesis?
[02:44:16.306 --> 02:44:19.547]  They attack sunlight and they attack carbon dioxide.
[02:44:19.607 --> 02:44:20.067]  Two things.
[02:44:20.447 --> 02:44:21.568]  How are they attacking sunlight?
[02:44:22.248 --> 02:44:23.708]  Stratospheric aerosol injection.
[02:44:24.849 --> 02:44:26.570]  Releasing pollutants into the atmosphere.
[02:44:26.590 --> 02:44:27.610]  It's a Bill Gates project.
[02:44:28.888 --> 02:44:30.729]  They already have all the plans.
[02:44:30.989 --> 02:44:31.869]  They're ready to do this.
[02:44:31.909 --> 02:44:33.150]  They want to block the sun.
[02:44:33.190 --> 02:44:41.793]  They want to dim the sun and block photosynthesis and shut off the food supply, resulting in less oxygen being produced.
[02:44:42.293 --> 02:44:44.354]  Not only on land, but also in the oceans.
[02:44:44.834 --> 02:44:52.097]   Don't forget that photosynthesis takes place In the shallow depths of the oceans, which of course covers the majority of Earth's surface.
[02:44:52.637 --> 02:44:59.721]  So you have the seagrasses and the seaweeds and all the different sea life that is green, that is photosynthesis in the ocean.
[02:45:00.881 --> 02:45:02.162]  It's producing oxygen as well.
[02:45:03.262 --> 02:45:09.245]  And when you dim the sun, you shut down photosynthesis in the oceans and on land as well.
[02:45:11.098 --> 02:45:13.340]  They are terraforming planet Earth.
[02:45:14.120 --> 02:45:14.400]  Alright?
[02:45:14.460 --> 02:45:15.381]  This is the big upshot.
[02:45:15.401 --> 02:45:26.728]  They're terraforming the planet to make it colder, to make it frozen, to have lower levels of oxygen concentration, lower levels of CO2 concentration, and to make the sun dimmer.
[02:45:27.249 --> 02:45:34.234]  In other words, they're trying to make planet Earth resemble some other planet that would be much farther away from the sun.
[02:45:35.134 --> 02:45:35.874]  In its orbit.
[02:45:36.094 --> 02:45:37.235]  A planet that isn't Earth.
[02:45:37.315 --> 02:45:38.715]  A planet that isn't even Mars.
[02:45:38.775 --> 02:45:40.475]  A planet that's more distant from the Sun.
[02:45:41.215 --> 02:45:43.696]  A cold, dim, lifeless planet.
[02:45:43.776 --> 02:45:46.177]  That's what they're trying to turn Earth into right now.
[02:45:46.637 --> 02:45:51.738]  And they've announced the machinery is being installed in Iowa in order to make this happen.
[02:45:52.118 --> 02:45:52.478]  It's here.
[02:45:52.758 --> 02:45:53.658]  Oblivion is here.
[02:45:54.259 --> 02:45:55.419]  This is no longer science fiction.
[02:45:55.439 --> 02:45:56.199]  This is science fact.
[02:45:57.199 --> 02:45:58.960]  We'll be back to wrap this up after this short break.
[02:45:59.000 --> 02:46:00.640]  Mike Adams here on InfoWars.com.
[02:46:00.660 --> 02:46:01.120]  Stay with us.
[02:46:02.321 --> 02:46:11.806]   Alright, we're going to wrap up this Very interesting chemistry lesson here about sustainable life on Earth in this final segment today, and I want to thank you for sticking with me on this.
[02:46:12.887 --> 02:46:30.379]  First, I got a comment on Aaron Rodgers, and the whole world owes Aaron Rodgers an apology, because you know the CDC changed its definition of a vaccine in order to allow emergency use authorization for the non-vaccine vaccine, which is, of course, the mRNA injections.
[02:46:30.419 --> 02:46:32.941]  They are not vaccines by the traditional definition.
[02:46:33.421 --> 02:46:35.062]  So the CDC changed its definition.
[02:46:35.242 --> 02:46:40.263]  To say that a vaccine is now anything that helps prevent disease, basically.
[02:46:40.784 --> 02:46:41.124]  That's it.
[02:46:41.384 --> 02:46:44.064]  That's what's on their website, or some very close version of that.
[02:46:44.885 --> 02:46:53.707]  So, according to the CDC's own definition, Aaron Rodgers could have taken vitamin D and described it as a vaccine.
[02:46:54.127 --> 02:46:55.007]  And that's not what he did.
[02:46:55.027 --> 02:46:56.188]  I'm not claiming that's what he did.
[02:46:57.128 --> 02:47:02.411]  But anything that prevents disease can be labeled a vaccine, according to the CDC.
[02:47:02.451 --> 02:47:05.372]  So Aaron Rodgers is absolutely correct.
[02:47:05.653 --> 02:47:11.356]  And by the way, you can go out and you can eat raw honey that's made from local flowers, right?
[02:47:11.656 --> 02:47:12.936]  The pollen is local.
[02:47:13.337 --> 02:47:15.278]  So the honeybees went out locally and got it all.
[02:47:15.318 --> 02:47:22.682]  And if you eat that raw honey, it introduces your immune system to that pollen, and it's a vaccine.
[02:47:23.602 --> 02:47:27.446]  A food-based vaccine that Mother Nature creates, you see.
[02:47:28.086 --> 02:47:33.291]  So yes, if you eat raw honey that's made locally, you can say you've been vaccinated against the pollens.
[02:47:34.152 --> 02:47:37.415]  The pollen proteins and pollen in the air and so on.
[02:47:37.435 --> 02:47:39.537]  You actually have taken a vaccine.
[02:47:40.874 --> 02:47:45.337]  And in the history of medicine, where did vaccines come from originally?
[02:47:45.637 --> 02:47:46.297]  Cow pox.
[02:47:46.838 --> 02:47:58.725]  So early doctors would go find cows with cow pox disease and they would harvest the pus from the pustules and they would take that and they would rub it into little wounds in children and adults.
[02:47:58.765 --> 02:48:00.646]  I know it sounds pretty crazy, but that's what they did.
[02:48:00.686 --> 02:48:02.467]  That was the earliest form of vaccination.
[02:48:03.207 --> 02:48:15.059]  And then the people that were rubbed with that cow pox, they would be sick for a few days and then their immune system would respond and they would recover and then they were vaccinated against cow pox slash small pox, okay?
[02:48:16.198 --> 02:48:17.839]  So all of those qualify as vaccines.
[02:48:18.259 --> 02:48:19.659]  Vaccine doesn't have to come out of a needle.
[02:48:20.239 --> 02:48:23.340]  The entire mainstream media are nothing but liars.
[02:48:24.200 --> 02:48:25.141]  They know they're lying.
[02:48:25.361 --> 02:48:26.741]  They are totally dishonest.
[02:48:26.781 --> 02:48:28.722]  They are scientifically and medically ignorant.
[02:48:29.162 --> 02:48:31.883]  They don't know anything about vaccinations.
[02:48:32.543 --> 02:48:37.744]  Aaron Rodgers knows much more than they do, and he is correct, and they all owe him an apology.
[02:48:38.085 --> 02:48:38.845]  That's my take on it.
[02:48:39.865 --> 02:48:45.530]  And by the way, speaking of apologies, you know, the world owes, well, the media owes Kyle Rittenhouse an apology.
[02:48:46.271 --> 02:48:46.491]  Right?
[02:48:48.492 --> 02:48:54.177]  That young man did nothing but defend himself against violent attackers.
[02:48:55.458 --> 02:48:57.480]  Violent attackers that were trying to shoot him.
[02:48:58.421 --> 02:49:04.606]  And you'll notice that Kyle Rittenhouse did not engage in indiscriminate shooting of everybody standing around.
[02:49:06.098 --> 02:49:14.366]  In fact, he withheld his own actions as a last resort against violent attackers who were trying to murder him, trying to kill him.
[02:49:15.467 --> 02:49:20.872]  One with a pistol aimed right at him, it seems like less than five feet away or something very close like that.
[02:49:21.292 --> 02:49:22.213]  Kyle Rittenhouse...
[02:49:23.354 --> 02:49:58.179]   Only use his rifle as a last-ditch effort to save his own life against an aggressive violent attacker and The fact that he is being prosecuted is a grave injustice and it really demonstrates to the entire world that our Justice our so-called justice system is so broken It is so unfair that right now, no one who is pro-Second Amendment, or pro-First Amendment, or pro-Trump, or pro-Christianity, no conservative can expect a fair trial under this so-called system of justice today.
[02:49:58.740 --> 02:50:05.385]  Meanwhile, left-wing terrorists and lunatics and violent attackers are just set free, no charges for them.
[02:50:06.005 --> 02:50:07.786]  So yes, we have a two-tiered justice system.
[02:50:08.107 --> 02:50:10.488]  The world owes Kyle Rittenhouse an apology.
