[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[02:08:12.352 --> 02:08:17.535]  I'll have live reporting on the ground tomorrow and on Thursday, so join us.
[02:08:19.196 --> 02:08:24.759]  Hello, I'm Mike Lindell, and I'm coming to you with the most important commercial that I've ever done.
[02:08:25.299 --> 02:08:31.883]  All of you know what my pillow and myself have gone through in the last five months in my efforts to bring the truth forward.
[02:08:32.762 --> 02:08:34.325]  Well, it's all come down to this.
[02:08:35.086 --> 02:08:38.573]  I'm having a cyber symposium on August 10th, 11th, and 12th.
[02:08:40.578 --> 02:08:48.384]  This historical event will be live streamed 72 hours straight on my new platform, FrankSpeech.com.
[02:08:48.765 --> 02:08:53.829]  You can help by getting everybody you know to go to FrankSpeech.com now.
[02:08:54.649 --> 02:09:05.158]  To help support this cyber symposium event, I am offering some of the best prices ever on my pillow products, but they're only offered at FrankSpeech.com.
[02:09:05.678 --> 02:09:15.625]  Go to FrankSpeech.com now and use the promo code on your screen or call the 1-800 number below to receive these exclusive MyPillow offers.
[02:09:16.146 --> 02:09:17.407]  Thank you and God bless.
[02:09:19.042 --> 02:09:21.344]  And we are live, it is the Summit News Hour.
[02:09:21.424 --> 02:09:40.838]  We've got a lot to talk about during the next 55 minutes, including the big UN climate report, the big alarmist ecological apocalypse that's apparently going to happen within the next couple of decades from the same people who told us back in the early 1970s that global cooling was the big ecological apocalypse.
[02:09:41.358 --> 02:09:46.521]  And that that would necessitate us giving up our freedoms to globalist bodies like the United Nations.
[02:09:46.941 --> 02:09:52.945]  The same people are spewing the same crap once again, so we're going to get into that into detail.
[02:09:53.525 --> 02:10:04.632]  And their solutions for apparently stopping this man-made increase in global temperatures, which of course is the same thing that they've been trying to pull off for the past 20 years, geoengineering.
[02:10:04.652 --> 02:10:08.474]  A lot of information to come on that.
[02:10:09.673 --> 02:10:27.601]  First though, could you imagine 18 months ago being told that citizens in major European capital cities would be forced to show identity papers to prove they've had a government-mandated shot simply to be able to drink a coffee at an outdoor cafe?
[02:10:27.981 --> 02:10:30.242]  That's what's happening in Paris, France right now.
[02:10:30.282 --> 02:10:32.763]  That's what's happening across France right now.
[02:10:33.243 --> 02:10:37.325]  They're literally being told on top of not being able to sit outside and have a coffee,
[02:10:38.163 --> 02:10:49.348]  Not even indoors, that they're going to be refused medical treatment in hospitals if it's non-emergency, if they don't have the vaccine, if they don't have the vaccine passport, of course.
[02:10:50.205 --> 02:10:52.326]  Who knows what's non-emergency?
[02:10:52.386 --> 02:10:54.388]  Many people turn up, show up to hospital.
[02:10:54.828 --> 02:10:56.629]  It's not an emergency in their own minds.
[02:10:56.689 --> 02:10:58.631]  A few hours later, it quickly becomes one.
[02:10:58.971 --> 02:11:04.354]  Are they going to be denied life-saving treatment at some point because they haven't had the vaccine?
[02:11:04.835 --> 02:11:13.941]  If you'd have told somebody 18 months ago that uniformed police were threatening people sitting outside trying to enjoy a coffee in the daytime,
[02:11:14.321 --> 02:11:23.964]  That if they hadn't got the proof that they'd taken the government-mandated shot, they would be fined, they'd be kicked off the premises, they'd eventually be put in prison.
[02:11:25.304 --> 02:11:31.506]  18 months ago, you would have said that that was pure bred tyranny, and it's happening in Paris right now.
[02:11:31.926 --> 02:11:37.868]  It's about to happen in Italy, it's happening in Greece, it's happening all over the developed world.
[02:11:39.204 --> 02:11:44.767]  Headline, video, French police patrol cafes asking to see citizens' vaccine papers.
[02:11:44.848 --> 02:11:46.769]  We asked how this would be enforced.
[02:11:47.209 --> 02:11:51.051]  Would it be enforced by the business owners, the restaurant owners, the cafe owners themselves?
[02:11:51.672 --> 02:11:54.333]  No, it's literally being enforced by the police.
[02:11:54.714 --> 02:12:03.899]  Not to mention the fact, by the way, which I'm going to get into later in the show, you have Rwandan refugees literally killing priests.
[02:12:03.959 --> 02:12:08.202]  We've had numerous deaths of priests in France over the past 18 months.
[02:12:08.962 --> 02:12:17.228]  Nice, Paris, priests literally being beheaded, the teacher in France who showed the Prophet Muhammad cartoons being beheaded.
[02:12:17.548 --> 02:12:21.431]  Apparently, police resources don't need to be concentrated on that.
[02:12:21.671 --> 02:12:30.658]  They need to be concentrated on people having a cup of coffee in a cafe in an outside restaurant bar in France.
[02:12:31.098 --> 02:12:34.661]  Video has emerged out of Paris, France, and this is across the country.
[02:12:35.703 --> 02:12:44.785]  Showing police patrolling cafes and bars demanding to see people's credentials and making sure they're not breaking the law by enjoying themselves while unvaccinated.
[02:12:45.846 --> 02:12:47.586]  We've got the video clip in the article.
[02:12:48.526 --> 02:12:57.689]  Starts off with fines of €135 and verbal warnings, but from next week up to €9,000 fines in the event of a repeat offence.
[02:12:58.522 --> 02:13:03.106]  The cafe owners, the bar owners, even more draconian fines.
[02:13:03.166 --> 02:13:14.715]  In fact, I think I read recently up to €45,000, which would put most of these places out of business if they don't enforce the Covid passports, which of course they can't.
[02:13:15.076 --> 02:13:17.498]  They don't have the means to do so.
[02:13:18.840 --> 02:13:29.365]  Massive ownerless fines, and then if there's another infraction after that, the owners of the cafes, the restaurants, go directly to prison if they don't enforce this.
[02:13:29.906 --> 02:13:37.589]  Pure bred tyranny like we haven't seen since France was occupied by the Nazis in World War II.
[02:13:38.490 --> 02:13:41.131]  And that's not over-egging the case, that's literally what it is.
[02:13:41.191 --> 02:13:42.672]  They've never had it this bad.
[02:13:43.655 --> 02:13:51.138]  There's other footage also emerged of private security trained staff and business owners checking the passes, which confirmed vaccination and negative test.
[02:13:52.178 --> 02:13:54.699]  By the way, the whole negative test thing in France.
[02:13:55.240 --> 02:14:00.962]  Initially, you could get a free negative test from the government to prove that you didn't have COVID.
[02:14:01.242 --> 02:14:02.362]  They're abolishing that.
[02:14:02.803 --> 02:14:06.304]  First, you're going to have to pay for the test at ever-rising costs.
[02:14:06.969 --> 02:14:09.271]  Then a negative test doesn't even matter.
[02:14:09.291 --> 02:14:11.292]  They're going to wipe that off the slate altogether.
[02:14:11.612 --> 02:14:12.893]  So you need to take the vaccine.
[02:14:13.094 --> 02:14:19.738]  Pretty interesting given that the vaccine doesn't prevent you from getting the virus, doesn't prevent you from spreading the virus.
[02:14:20.299 --> 02:14:24.962]  They're valuing the taking of the vaccine as more important than having a negative test.
[02:14:25.002 --> 02:14:29.346]  That's being eliminated because it's all about mass conformity.
[02:14:29.526 --> 02:14:32.348]  It's not about stopping the spread of a virus.
[02:14:33.231 --> 02:14:37.072]  So they're doing it in the cafes, they're doing it in the restaurants, as we point out in this article.
[02:14:38.193 --> 02:14:43.835]  A lot of the cafes in Paris right now are basically 75% empty.
[02:14:44.795 --> 02:14:57.039]  Now for those Americans, the majority of the listeners right now, who have ever been to France, who have ever been to Paris, you know that that outside cafe culture is an integral part of their modern day civilization.
[02:14:57.379 --> 02:15:02.101]  The fact that at the height of summer a lot of these cafes are completely empty,
[02:15:02.972 --> 02:15:04.273]  Kind of tells you what's going on.
[02:15:04.313 --> 02:15:21.848]  The government claims that the majority of French citizens have had both jabs, so they've presumably got their conformist vaccine passports, and yet even some of those people who have had the vaccine are avoiding the cafes, the restaurants, the bars are going to be put out of business.
[02:15:22.682 --> 02:15:34.965]  And maybe that's, you know, a way to resist, a way to rebel against this imposition, this draconian imposition, the likes of which they've never seen since they were literally occupied by the Nazis.
[02:15:36.685 --> 02:15:37.265]  So we have that.
[02:15:37.325 --> 02:15:43.666]  We have another Reuters article on this, which points out the fact that it's not just people who want to go for a coffee who are being rejected.
[02:15:44.647 --> 02:15:45.847]  Headline out of Reuters.
[02:15:46.667 --> 02:15:48.548]  Coffee and croissant in a French cafe.
[02:15:48.588 --> 02:15:50.328]  You'll need a Covid pass for that.
[02:15:51.816 --> 02:16:00.601]  The French morning ritual of a coffee and croissant became more complicated on Monday as people had to show proof of vaccination or negative Covid-19 tests before taking a seat.
[02:16:01.681 --> 02:16:07.924]  A health pass now has to be shown to eat in a restaurant, drink in a bar, access non-emergency treatment in a hospital.
[02:16:07.944 --> 02:16:17.029]  I remember about a year ago we had articles in the UK suggesting that, quote, racists should be denied hospital treatment.
[02:16:17.409 --> 02:16:18.990]  So again, that was the entree
[02:16:20.333 --> 02:16:30.021]  People's beliefs, people's personal political belief systems being used as a raison d'etre to deny them basic lifestyle activities.
[02:16:30.321 --> 02:16:41.670]  That's now literally the law in France that if you go to a hospital for quote non-emergency treatment, which as I pointed out at the start of the show could very quickly turn into emergency treatment.
[02:16:42.070 --> 02:16:48.756]  Why would you go to a hospital if it wasn't deadly serious in the first place, especially now with all this COVID stuff going on?
[02:16:49.628 --> 02:17:01.990]  If you don't have the vaccine in France as of this moment, as of this day, and you go to hospital for, quote, non-emergency treatment, you will be turned away, potentially, to die.
[02:17:03.138 --> 02:17:07.142]  Intercity train travel going from one French city to another.
[02:17:07.422 --> 02:17:08.423]  You don't have the vaccine.
[02:17:08.443 --> 02:17:10.044]  You don't have the vaccine passport.
[02:17:10.425 --> 02:17:11.726]  You don't travel.
[02:17:11.786 --> 02:17:12.767]  You don't go on holiday.
[02:17:13.047 --> 02:17:14.268]  You don't see your relatives.
[02:17:14.568 --> 02:17:16.650]  Your elderly relatives may be very ill.
[02:17:16.950 --> 02:17:19.893]  You don't get to see them before they die.
[02:17:21.495 --> 02:17:25.218]  Those rules don't apply to elite, as I'm going to get into in the next segment.
[02:17:26.232 --> 02:17:34.976]  We've now got the UN Global Warming Climate Summit taking place in Scotland next November, this November coming up actually.
[02:17:35.897 --> 02:17:48.623]  And the globalists who are arriving in their private jets, in their commercial carbon dioxide spewing jets, they won't be subject to the same restrictions that British citizens are subject now.
[02:17:49.557 --> 02:17:51.657]  So I haven't seen my parents for a year.
[02:17:52.257 --> 02:17:56.198]  I can't get into Spain without having to come back and quarantine.
[02:17:57.018 --> 02:18:17.462]  And if they move Spain to the quote, red list, which they've threatened to do over the past few weeks, if I want to go and see my parents in Spain, then I come back to my home country, I will have to quarantine, not even at home, but in one of these brutally run prison-like quarantine hotels at my own expense to the tune of $2,000.
[02:18:19.431 --> 02:18:32.423]  Where you're literally allowed to go outside for a period of about 30 minutes a day and exercise in the yard, like it was San Quentin or some prison like that, if I haven't had the vaccine.
[02:18:32.743 --> 02:18:41.310]  Oh, by the way, these UN globalists who are arriving for a conference, which could have been done via Zoom, which is how everyone else has had to communicate with their relatives and work for the past 18 months,
[02:18:42.697 --> 02:18:45.960]  Those people don't need the vaccine.
[02:18:46.120 --> 02:18:49.463]  Once again, one rule for them, another rule for everyone else.
[02:18:49.523 --> 02:18:51.205]  Summit.News will be back.
[02:18:51.365 --> 02:18:51.905]  Don't go away.
[02:18:53.287 --> 02:19:05.958]  So French people sitting at cafes outside, not even indoors, are being patrolled by police and being asked to show their Covid certification, their vaccine passports on their smartphones.
[02:19:06.806 --> 02:19:16.988]  Those who aren't able to show that, those who've tried to book the system, are being threatened with fines, and eventually, if they keep resisting, being threatened with prison sentences.
[02:19:17.988 --> 02:19:22.109]  There's another headline here on that very subject out of reclaimthenet.org.
[02:19:22.129 --> 02:19:29.031]  It says, they should give us a truncheon and a pistol, says French restaurant owner, asked to enforce vaccine passports.
[02:19:29.091 --> 02:19:31.191]  So while some of the footage shows police
[02:19:32.000 --> 02:19:47.825]  Again, while literally Islamists and criminal refugees, illegal migrants are beheading, killing priests across the country of France, that's obviously not as important as making middle class white people in French cafes show their vaccine passports.
[02:19:48.345 --> 02:19:57.248]  While that's happening, the restaurant owners, the bar owners, the cafe owners are saying that they can't enforce this because they don't have the monopoly on power to do so.
[02:19:58.226 --> 02:20:07.070]  So some restaurant staff are going as far as requesting weapons to be able to deal with angry citizens who are upset about their civil liberties being crushed.
[02:20:07.711 --> 02:20:10.292]  So it seems there's a disconnect, there's a split between
[02:20:11.463 --> 02:20:17.647]  The compliant sheep have turned up to the cafes and are very willing to show their vaccine passports.
[02:20:18.107 --> 02:20:24.812]  Those who have probably even had the vaccine and are boycotting the cafes anyway because they don't want to go through this onerous procedure.
[02:20:25.412 --> 02:20:31.476]  They don't want their morning coffee to be interrupted by uniformed police checking their papers.
[02:20:31.897 --> 02:20:33.858]  Kind of puts a crimp on your day, doesn't it?
[02:20:34.454 --> 02:20:40.616]  Especially given the fact that this relaxed cafe culture in places like Paris is ingrained into the French culture.
[02:20:40.956 --> 02:20:48.919]  Doesn't really work as a way of relaxation if there are police with truncheons and tasers threatening you if you don't have the right papers.
[02:20:49.259 --> 02:20:50.900]  Maybe your smartphone doesn't work.
[02:20:50.940 --> 02:20:52.541]  Maybe you can't connect to the network.
[02:20:52.841 --> 02:20:56.042]  Doesn't really make for a relaxing morning coffee, does it?
[02:20:56.642 --> 02:21:02.104]  But now even the owners of these cafes are coming out and saying that they can't enforce this.
[02:21:02.912 --> 02:21:11.514]  Says Pascal Aubin, a Parisian waiter, has taken orders, advised on wines, and delivered innumerable dishes to residents and visitors in his 32-year career.
[02:21:12.354 --> 02:21:20.616]  But the Show Me Do restaurant in Montparnasse, Paris, Pascal had this to say, quote, I'm being asked to do the job of a copper as well.
[02:21:21.116 --> 02:21:21.956]  It's crazy!
[02:21:22.756 --> 02:21:30.278]  Says his consternation is not so much with the passport itself, but the decision that makes restaurants and their waiters accountable for making sure their clients have a passport.
[02:21:31.374 --> 02:21:33.075]  And basically it goes through the whole list.
[02:21:33.135 --> 02:21:41.579]  It interviews a number of cafe owners, waiters at these restaurants, these bars, these cafes in Paris, who are saying a lot of people are not happy about this.
[02:21:41.979 --> 02:21:42.999]  They don't have truncheons.
[02:21:43.039 --> 02:21:49.202]  They don't have pistols to enforce it, which is why the state comes in with the uniformed police to literally
[02:21:50.043 --> 02:21:54.430]  Make people present their papers to drink a coffee in the morning.
[02:21:54.831 --> 02:22:04.507]  If this was predicted 18 months ago in major Western cities, you would say that was pure bread tyranny, and that's exactly what's happening over the past two days in France.
[02:22:06.024 --> 02:22:08.545]  And close behind is Italy with this headline.
[02:22:08.785 --> 02:22:12.506]  Italy to extend vaccine passports to public transport and schools.
[02:22:12.586 --> 02:22:19.828]  Despite massive protests against the measures, Italy is set to extend its vaccine passport system to public transport and schools from September 1st.
[02:22:20.969 --> 02:22:29.891]  Potentially exacerbating growing public contempt towards the draconian rules, authorities announced that the list of venues where the passport would be required is to be extended.
[02:22:30.992 --> 02:22:35.613]  So teachers won't be able to work unless they get the vaccine and the Green Pass.
[02:22:36.314 --> 02:22:43.479]  Which, by the way, they introduced in Israel a few months ago, and it wasn't enforced to any degree.
[02:22:44.000 --> 02:22:55.328]  Then we had the Delta variant and all these other variants, which now Israeli doctors and scientists are saying the vaccine is about 30 to 40 percent effective against these new variants.
[02:22:55.868 --> 02:22:57.229]  So the vaccines are failing.
[02:22:57.269 --> 02:23:00.832]  They're completely useless in many countries who are further along in this window.
[02:23:01.764 --> 02:23:10.232]  So now, as we had the article the other day, we've had Swedish professors and others saying that people will need to get at least five total COVID vaccines.
[02:23:10.272 --> 02:23:12.374]  That could extend up to eight, nine, ten.
[02:23:13.075 --> 02:23:23.724]  Then you get to a point where people who haven't, for whatever reason, had their five, six, seven, eight, nine booster shot aren't allowed to engage in basic lifestyle activities.
[02:23:23.844 --> 02:23:27.408]  And depending on the country, how far along they are in this pandemic,
[02:23:28.069 --> 02:23:30.110]  That's starting to happen.
[02:23:30.650 --> 02:23:37.273]  Literal booster shots every six months for you to enjoy a coffee in an outside cafe.
[02:23:38.574 --> 02:23:45.337]  Italy has said that they're going to extend it to schools, universities, so you won't be able to get an education if you don't have the vaccine.
[02:23:45.557 --> 02:23:47.218]  But again, it's not mandatory.
[02:23:47.438 --> 02:23:53.441]  You just won't be able to have a coffee, an education, go on holiday, see your parents, have a wedding.
[02:23:53.661 --> 02:23:55.262]  But it's not mandatory, OK?
[02:23:56.542 --> 02:24:06.227]  Customers and venues may face fines ranging from 400 euros to 1,000 euros if businesses fail to implement the regulation.
[02:24:06.807 --> 02:24:13.571]  Institutions that frequently break the rules risk being shut down for up to 10 days and of course after 10 days it will be for good.
[02:24:14.693 --> 02:24:24.819]  But don't worry, because Health Minister Roberto Sperana said the extension of the scheme to include schools and public transport was necessary to quote, avoid closures and to safeguard freedom.
[02:24:25.459 --> 02:24:34.445]  Yes, having a mandatory government shot for the privilege of enjoying a cup of coffee in the morning is part of your freedom.
[02:24:35.005 --> 02:24:37.727]  How more Orwellian can you get than that?
[02:24:39.028 --> 02:24:41.990]  Good news though over in Switzerland where we have this headline.
[02:24:42.671 --> 02:24:47.254]  Swiss police threatened to stop enforcing COVID-19 rules altogether.
[02:24:48.275 --> 02:24:56.761]  Police in Switzerland have threatened to stop enforcing COVID-19 rules over fears that the measures are disproportionately undermining the fundamental rights of citizens.
[02:24:57.262 --> 02:25:05.548]  This was a letter sent by a group of police officers to the Swiss Federation of Police Officers warning of potential insubordination.
[02:25:06.232 --> 02:25:09.114]  Within the force over the enforcement of draconian laws.
[02:25:09.174 --> 02:25:13.816]  So there is some resistance even within the police force in Switzerland.
[02:25:13.856 --> 02:25:14.777]  That's great news.
[02:25:16.118 --> 02:25:17.719]  But I mentioned this before the break.
[02:25:18.539 --> 02:25:25.383]  UN globalists arriving in UK for climate summit won't face COVID restrictions imposed on British citizens.
[02:25:26.255 --> 02:25:52.959]  So Brits who travel abroad and then come back to their own country as residents, as citizens, have to play a lottery basically with this system that the government set up of green, amber, amber plus and red list countries, where depending on the country, and they can move the goalposts at any time, even if they're still abroad enjoying or trying to enjoy their holiday, they don't even know when they come back what they'll be forced to do.
[02:25:53.738 --> 02:26:09.956]  If countries are on the red list, they literally have to, at their own expense to the tune of about $2,000, self-isolate quarantine within these prison-like hotels that are enforced by brutal conditions, horrible rotting food.
[02:26:10.680 --> 02:26:19.984]  Basically, prison guards are allowed outside of this hotel in a designated area near an airport to exercise to get some fresh air for about an hour.
[02:26:20.044 --> 02:26:21.604]  It's literally prison conditions.
[02:26:22.165 --> 02:26:27.607]  If they come back from a red list, if they come back from an amber list country,
[02:26:28.536 --> 02:26:30.597]  And again, these countries are changing all the time.
[02:26:31.038 --> 02:26:33.179]  They have to self-isolate at home.
[02:26:33.519 --> 02:26:37.002]  They get visits from the local authorities, from police officers.
[02:26:37.022 --> 02:26:43.847]  We had a story last week of a 12-year-old girl being traumatised after multiple visits from a police officer at her home.
[02:26:44.307 --> 02:26:46.468]  You know the people who don't have to abide by these rules?
[02:26:46.809 --> 02:26:54.234]  The globalists, the elite, who are visiting while travelling over, by the way, in CO2-belching private planes and commercial jets.
[02:26:54.715 --> 02:26:58.285]  Visiting Scotland for this UN climate change conference in November.
[02:26:59.813 --> 02:27:03.194]  Those who have had the vaccine don't need to do anything whatsoever.
[02:27:03.394 --> 02:27:05.355]  Even those who haven't had the vaccine.
[02:27:05.695 --> 02:27:09.957]  The red list countries, their quarantine period is cut in half.
[02:27:10.417 --> 02:27:16.679]  The amber list attendees who are coming from amber list countries, they don't have to isolate at all.
[02:27:17.299 --> 02:27:22.441]  So it's one rule for them, another rule for British citizens in our own country.
[02:27:22.481 --> 02:27:24.522]  We'll be back with more Summit.News.
[02:27:24.642 --> 02:27:25.102]  Don't go away.
[02:27:25.879 --> 02:27:38.647]  So we've seen this before with the Euros, where they allow special dispensation for the Euro soccer officials to come into the UK, enjoy relax rules that are not applied to British citizens.
[02:27:38.687 --> 02:27:41.970]  They have to jump through 50 flaming hoops to be able to go on holiday.
[02:27:41.990 --> 02:27:49.895]  And when they come back from holiday, in many cases, they have to face brutal prison-like conditions in these quarantine hotels.
[02:27:50.095 --> 02:27:51.676]  If not, they have to quarantine at home.
[02:27:51.696 --> 02:27:54.618]  They have to get checked up on by police, local authorities.
[02:27:55.310 --> 02:28:06.916]  But if you're a globalist, even coming from a quote, red list country, which they claim is riddled by coronavirus infections from Africa, from Latin America, from these other areas of the world.
[02:28:07.921 --> 02:28:10.402]  They can just get away with it from the amber list countries.
[02:28:10.442 --> 02:28:11.763]  They don't have to do anything.
[02:28:12.023 --> 02:28:14.844]  They don't even have to be vaccinated to come into the country.
[02:28:15.385 --> 02:28:28.971]  Even if they're on these red list countries, as I said, their quarantine period is cut in half compared to British citizens who live here, who are just trying to have the first holiday they've had in over a year with their families.
[02:28:29.251 --> 02:28:29.911]  They come back.
[02:28:30.132 --> 02:28:31.352]  They're treated like crap.
[02:28:31.652 --> 02:28:34.554]  They're treated like walking biological time bombs.
[02:28:34.934 --> 02:28:36.935]  Oh, but if you're a UN globalist spewing
[02:28:37.595 --> 02:28:43.926]  Climate change alarmism, then you get kid gloves treatment, you get special treatment because you are part of the club.
[02:28:45.348 --> 02:28:49.635]  Article says the 10-day quarantine applies even if the individual is vaccinated.
[02:28:50.672 --> 02:28:52.272]  This is talking about UK citizens.
[02:28:52.712 --> 02:28:59.554]  Well, those returning from amber countries have to perform the same self-isolation at home again with local authorities and police routinely checking up on them.
[02:29:00.094 --> 02:29:09.035]  However, the same rules won't apply to globalist, environmentalist, alarmist visiting Scotland to the United Nations Climate Change Conference in November.
[02:29:09.676 --> 02:29:17.057]  They couldn't have the conference over Zoom, even though Scotland has even more onerous coronavirus restrictions than England.
[02:29:17.882 --> 02:29:41.641]  No, they have to be around a table because just like the hundreds of thousands of Black Lives Matter protesters who gathered in giant crowds at the very height of the pandemic during the first lockdown, just like systemic racism, climate change alarmism is even more important than this pandemic that they say we need to fundamentally change and alter our lives over.
[02:29:41.961 --> 02:29:42.322]  But again,
[02:29:43.015 --> 02:29:50.620]  Not so much for them because the rules imposed on them are significantly less onerous than the rules imposed on us.
[02:29:51.381 --> 02:30:00.087]  The UK government said in a statement there'll be no requirement for self-isolation on arrival to the UK for those coming from amber or green list countries.
[02:30:00.647 --> 02:30:02.929]  Whether vaccinated or not, they don't care.
[02:30:03.229 --> 02:30:04.450]  They're in the special class.
[02:30:04.710 --> 02:30:07.592]  They're in the Martha's Vineyard Obama Party class.
[02:30:07.992 --> 02:30:12.135]  They don't need to abide by the same rules that we are all subjected to.
[02:30:13.385 --> 02:30:18.667]  In addition, those arriving from deadly red list countries that Brits have been told to avoid like the plague.
[02:30:19.867 --> 02:30:38.714]  Remember, if you don't follow through with this self-isolation when you come back from a red list country in the United Kingdom, you'll be subject to a fine of up to £10,000 and put in prison for up to 10 years if you come back from a red list country and you don't self-isolate.
[02:30:39.114 --> 02:30:42.035]  Oh, but these globalists, these UN climate change alarmists,
[02:30:42.628 --> 02:30:54.675]  They can only quarantine, they only have to quarantine for a period of five days, and I'm sure that it's in much comfier surroundings than a prison-like hotel patrolled by aggressive security guards.
[02:30:55.035 --> 02:31:03.420]  I'm sure they're not getting fed rotten food for ten days, like Brits are, who have to return from these, quote, red list countries.
[02:31:04.281 --> 02:31:19.366]  Again, the government justified the double standard by basically arguing that climate change is an important issue, just as Black Lives Matter protesters were allowed to gather in their thousands at the height of the pandemic, presumably because systemic racism was more of a threat than Covid-19.
[02:31:19.586 --> 02:31:25.948]  And again, we saw this before with the G7 summit in Cornwall back a couple of months ago.
[02:31:26.778 --> 02:31:32.389]  Where pictures were released of world leaders, maskless in close proximity to each other, touching one another.
[02:31:32.729 --> 02:31:36.677]  You remember that Macron was basically French kissing Biden at one point.
[02:31:38.169 --> 02:31:54.761]  In contravention of the then rules demanding social distancing and face coverings, and then of course we saw the staged photo ops where they were socially distanced, then you saw the massive barbecue party where they followed zero of those social distancing rules whatsoever.
[02:31:55.101 --> 02:32:06.930]  So they've done it before, they're about to do it again in November, and yet we're still treated like walking biological plague bombs in our own country because we're not part of the elite.
[02:32:07.773 --> 02:32:08.914]  Let's go to this video now.
[02:32:09.034 --> 02:32:12.597]  Rand Paul calls for resistance to Covid tyranny.
[02:32:12.617 --> 02:32:19.042]  This is a perfect encapsulation of everything that we're facing and everything that we need to rebel against.
[02:32:19.202 --> 02:32:20.323]  And we'll come out with more news.
[02:32:20.363 --> 02:32:21.724]  But here is Rand Paul.
[02:32:21.784 --> 02:32:22.325]  Let's roll it.
[02:32:23.345 --> 02:32:24.866]  It's time for us to resist.
[02:32:25.246 --> 02:32:26.627]  They can't arrest all of us.
[02:32:27.148 --> 02:32:29.569]  They can't keep all of your kids home from school.
[02:32:30.009 --> 02:32:32.471]  They can't keep every government building closed.
[02:32:33.011 --> 02:32:37.574]  Although I've got a long list of ones they might keep closed or might ought to keep closed.
[02:32:38.695 --> 02:32:44.540]  We don't have to accept the mandates, lockdowns, and harmful policies of the petty tyrants and bureaucrats.
[02:32:45.020 --> 02:32:47.362]  We can simply say no, not again.
[02:32:47.943 --> 02:32:53.827]  Nancy Pelosi, you will not arrest or stop me or anyone on my staff from doing our jobs.
[02:32:54.648 --> 02:32:58.512]  We have either had COVID, had the vaccine, or been offered the vaccine.
[02:32:59.012 --> 02:33:00.694]  We will make our own health choices.
[02:33:01.114 --> 02:33:02.816]  We will not show you a passport.
[02:33:03.276 --> 02:33:04.558]  We will not wear a mask.
[02:33:04.598 --> 02:33:11.985]  We will not be forced into random screenings and testings so you can continue your drunk with power reign over the Capitol.
[02:33:12.646 --> 02:33:13.486]  President Biden.
[02:33:14.187 --> 02:33:18.609]  We will not accept your agency's mandates or your reported moves towards a lockdown.
[02:33:19.249 --> 02:33:23.391]  No one should follow the CDC's anti-science mask mandates.
[02:33:23.931 --> 02:33:35.817]  And if you want to shut down federal agencies again, some of which aren't even back to work yet, I will stop every bill coming through the Senate with an amendment to cut their funding if they don't come back to work in person.
[02:33:36.877 --> 02:33:43.323]  Local bureaucrats and union bosses, we will not allow you to do more harm to our children again this year.
[02:33:43.784 --> 02:33:48.108]  Children are not at any more risk from COVID than they are from the seasonal flu.
[02:33:48.829 --> 02:33:54.234]  Every adult who works in schools has either had the vaccine or had their chance to get vaccinated.
[02:33:54.654 --> 02:34:00.059]  There is no reason for mask mandates, part-time schools, or any lockdown measures.
[02:34:00.780 --> 02:34:10.103]  Children are falling behind in school and are being harmed physically and psychologically by the tactics that you have used to keep them from the classroom during the last year.
[02:34:10.723 --> 02:34:11.703]  We won't allow it again.
[02:34:12.364 --> 02:34:19.366]  If a school system attempts to keep children from full-time in-person school, I will hold up every bill with two amendments.
[02:34:19.946 --> 02:34:26.548]  One to defund them and another to allow parents the choice of where the money goes for their child's education.
[02:34:27.088 --> 02:34:28.490]  Do I sound fed up to you?
[02:34:28.950 --> 02:34:30.251]  That's because I am.
[02:34:30.812 --> 02:34:32.233]  I'm not a career politician.
[02:34:32.254 --> 02:34:34.816]  I practiced medicine for 33 years.
[02:34:35.277 --> 02:34:37.019]  I graduated from Duke Medical School.
[02:34:37.479 --> 02:34:38.941]  I've worked in emergency rooms.
[02:34:39.001 --> 02:34:41.063]  I've studied immunology and virology.
[02:34:41.603 --> 02:34:43.966]  And I ultimately chose to become an eye surgeon.
[02:34:44.546 --> 02:34:48.130]  I've been telling everyone for a year now that Dr. Fauci
[02:34:49.131 --> 02:34:56.033]  And other public health bureaucrats were not following the science, and I've been proven right time and time again.
[02:34:56.794 --> 02:34:58.454]  But I'm not the only one who's fed up.
[02:34:58.934 --> 02:35:03.116]  I can't go anywhere these days without people coming up and thanking me for standing up for them.
[02:35:03.596 --> 02:35:11.138]  Whether I'm at work, or at events in Kentucky, at airports, in restaurants, or in stores, people thank me for taking a stand.
[02:35:11.558 --> 02:35:15.720]  They thank me for standing up for actual science, for standing up for freedom,
[02:35:16.280 --> 02:35:20.942]  for standing against mandates, lockdowns and bureaucratic power grabs.
[02:35:21.582 --> 02:35:25.584]  I think the tide is turning as more and more people are willing to stand up.
[02:35:26.084 --> 02:35:31.086]  I see stories from across the country of parents standing up to the unions and school boards.
[02:35:31.566 --> 02:35:36.248]  I see brave moms standing up and saying, my kids need to go back to school in person.
[02:35:37.148 --> 02:35:41.671]  I see members of Congress refusing to comply with petty tyrant Pelosi.
[02:35:42.431 --> 02:35:45.253]  We are at a moment of truth and a crossroads.
