[00:00:00.329 --> 00:00:01.449]  So there's today's headline.
[02:15:45.668 --> 02:15:50.630]  She gets us as a war, and she's going to be the guest with Kate Daly coming up in just a few minutes.
[02:15:50.670 --> 02:15:52.011]  And I had loaded phones.
[02:15:52.031 --> 02:15:54.813]  I wanted to try to jam them in this call, but I'm going to call those callers back tomorrow.
[02:15:55.393 --> 02:15:57.334]  But I saw one person saying they're a doctor.
[02:15:57.814 --> 02:16:01.356]  Caller is doctor on Bill Gates, Microsoft, and vaccines.
[02:16:01.376 --> 02:16:03.877]  I wanted to get Dr. Gregg's quick comments here on air.
[02:16:04.097 --> 02:16:05.198]  Thanks for holding, Gregg.
[02:16:07.251 --> 02:16:07.691]  Hi Alex.
[02:16:08.591 --> 02:16:13.773]  Yeah, I would like to give you some information on physician intimidation that's been going on that I haven't seen.
[02:16:14.633 --> 02:16:21.095]  But also, just one quick parallel that I haven't come across, but I thought was kind of interesting as I was thinking about.
[02:16:21.115 --> 02:16:30.758]  This perpetual gene therapy that's proposed to perpetuate forever now, you were talking about Bill Gates earlier.
[02:16:31.494 --> 02:16:42.763]  And I find it interesting that it's very similar to the way that he gained so much power and became one of the richest people in the world with the Windows operating system.
[02:16:42.823 --> 02:16:50.489]  He introduced his operating system that was intentionally flawed and always required updates and a new version.
[02:16:50.789 --> 02:16:52.831]  Otherwise, it would no longer work.
[02:16:52.851 --> 02:16:54.312]  It would become infested with viruses.
[02:16:54.973 --> 02:16:58.876]  You couldn't run the latest software and you're perpetually on the hook.
[02:17:01.181 --> 02:17:25.710]  I mean, I have personally thought of that myself, and I've seen people go, this is the same guy that sold his computers that broke all the time, so he had to buy patches, and absolutely, this is the ultimate medical tyranny, where they give you something that destroys your immune system, makes you sick, and then they blame the people that were smart enough not to take it for the ones making you sick, so they're just preying on the medically ignorant.
[02:17:26.741 --> 02:17:39.167]  Yeah, I thought that was an interesting parallel, but the main thing I wanted to let you and the listeners know about is the intimidation that's being handed out to physicians across the country.
[02:17:39.767 --> 02:18:10.690]   A few weeks ago, the Federation of State Medical Boards, which is a body who is involved in interstate licensing and applications for licensing, issued a statement basically saying if there's any Of course, they parse the words carefully, but if there's any false information given out or if there's any questionable dissemination of information, that they could get involved in limiting or eliminating physician licensure.
[02:18:11.271 --> 02:18:11.751]  Well, that's right.
[02:18:11.771 --> 02:18:15.555]  In California, they've said if you give more than five vaccine waivers, we're going to take your license.
[02:18:15.815 --> 02:18:18.037]  But so many doctors are saying no, they can't get them all.
[02:18:18.077 --> 02:18:19.458]  But yeah, whatever the U.N.
[02:18:19.498 --> 02:18:22.080]  and Fauci says, the guy that cooked this up now, they admit.
[02:18:22.441 --> 02:18:23.441]  That's why he's got to go down.
[02:18:23.662 --> 02:18:26.364]  Whatever he says, the medical boards then bow down to.
[02:18:26.784 --> 02:18:27.845]  These are sick people.
[02:18:28.886 --> 02:18:32.589]  So this was the Federation of State Medical Boards several weeks ago.
[02:18:33.330 --> 02:18:44.697]   A couple of weeks ago, there was a joint statement put forth by The American Board of Family Medicine, the American Board of Internal Medicine, and the American Board of Pediatrics.
[02:18:45.858 --> 02:19:03.892]  And basically, they say that any misinformation regarding this virus could be very dangerous and that that could be subject to, again, removal of licensure or limiting your licensure.
[02:19:05.299 --> 02:19:18.004]  In that same statement, which you can, you'll be able to find that and read that, the only assertive statement that they made was that the vaccine was safe, effective, and widely available.
[02:19:18.764 --> 02:19:31.348]   And it's proposed that any information that might question that could be used to And that's just crazy because it was never properly approved.
[02:19:31.428 --> 02:19:32.088]  It's not safe.
[02:19:32.128 --> 02:19:35.330]  They have warnings on it about heart attacks and micro-chiritis.
[02:19:35.450 --> 02:19:36.451]  That's incredible, isn't it?
[02:19:37.992 --> 02:19:47.178]  It is incredible, and apparently if that might come across their statement that this is safe, then you could be subject to disciplinary action.
[02:19:47.811 --> 02:19:51.552]  And this is actually being parroted out my local hospital.
[02:19:51.572 --> 02:19:59.695]  What you ought to do is sue them and then show them the possible adverse reactions from October of last year from the FDA's own website.
[02:19:59.795 --> 02:20:00.735]  Do you know about that?
[02:20:04.674 --> 02:20:06.776]  No, I haven't dug deep into that one.
[02:20:06.856 --> 02:20:08.436]  Put it back on screen, guys.
[02:20:08.496 --> 02:20:09.157]  I'll read it to him.
[02:20:09.977 --> 02:20:15.360]  FDA Safety Surveillance COVID-19 Vaccines Working List of Possible Adverse Event Outcomes.
[02:20:15.900 --> 02:20:18.602]  And it says all the stuff that actually happened later so that they know.
[02:20:19.722 --> 02:20:28.957]   Yeah, unfortunately, you know, You know, most physicians are generally compliant people, especially to organizations that are sort of oversight.
[02:20:29.697 --> 02:20:34.718]  Sure, they put lackeys in a lot of those boards that tow the line of a big pharma that's taking over medicine.
[02:20:36.039 --> 02:20:39.920]  And most people want to enjoy their quiet life if they work hard to achieve.
[02:20:41.058 --> 02:20:53.530]  You know, it's really only when push comes to shove and people are out of a job that I think that you're going to find people pushing back on a mass scale from some of the... And you're also going to have people exiting the mainline doctors and coming to people like you regardless.
[02:20:53.610 --> 02:20:55.411]  And so, we appreciate you, sir.
[02:20:55.451 --> 02:20:57.453]  Thanks for holding Dr. Gregg for that information.
[02:20:57.834 --> 02:20:59.395]  Alright, Dr. Lee?
[02:21:00.456 --> 02:21:02.457]  Merritt is about to be interviewed.
[02:21:03.438 --> 02:21:09.522]  You do not want to miss this information with the great talk show host that is here taking over.
[02:21:09.642 --> 02:21:12.444]  katedallyshow.com is her website.
[02:21:12.504 --> 02:21:14.905]  And Kate, thank you so much for taking over.
[02:21:14.965 --> 02:21:15.826]  We really appreciate you.
[02:21:15.846 --> 02:21:16.947]  Can't wait to watch the interview.
[02:21:16.967 --> 02:21:18.688]  Thank you.
[02:21:22.210 --> 02:21:23.130]  And here she is live.
[02:21:23.150 --> 02:21:23.711]  Go ahead, Kate.
[02:21:24.639 --> 02:21:28.942]  Thank you so much Alex, really appreciate that and wow, your last segment, wow!
[02:21:30.583 --> 02:21:39.428]  Well, you know, I'll tell you what, Dr. Leigh Merritt, one of the most powerful frontline doctors and I have just the pleasure to call her a friend.
[02:21:39.568 --> 02:21:41.490]  What can I say, she's been on my show multiple times.
[02:21:41.790 --> 02:21:53.597]   Alex, you've interviewed her and let me tell you, Dr. Leigh Merritt, frontline doctor, we're going to really talk and center today on How to stay out of the hospital.
[02:21:53.958 --> 02:21:54.938]  What can you do?
[02:21:54.978 --> 02:21:59.762]  This episode is going to change lives and I welcome Dr. Leigh Merritt.
[02:22:00.062 --> 02:22:10.009]  She's been at private practice since 1995, orthopedic spinal surgery and also past president of the Association of American Physicians and Surgeons.
[02:22:10.930 --> 02:22:11.810]  I just love this gal.
[02:22:11.950 --> 02:22:12.891]  She just speaks the truth.
[02:22:12.931 --> 02:22:13.512]  What can I say?
[02:22:13.752 --> 02:22:16.454]  And TheMedicalRebel.com is the website.
[02:22:16.794 --> 02:22:17.855]  Welcome Dr. Leigh Merritt.
[02:22:17.895 --> 02:22:18.315]  How are you?
[02:22:18.335 --> 02:22:21.057]  Hey, nice to see you, Kate.
[02:22:22.085 --> 02:22:22.666]  You too!
[02:22:22.686 --> 02:22:51.950]   I am so glad you're joining me because my inbox is flooded with messages of how do what do I do and usually people are already in the hospital usually people are freaking out because their loved one is being vented against their will because they are shut out of the hospital because they are the doctors will not listen to them and if I told you how many emails you'd be floored about how many countrywide have been coming in with the same exact story And this is so disturbing.
[02:22:52.050 --> 02:23:04.119]  So really the goal is, how can we keep people out of the hospital as flu and cold season and pneumonia season, yes, we actually still have those things, are coming into play and everyone thinks they have COVID.
[02:23:04.139 --> 02:23:05.440]  So they go to the hospital and get tested.
[02:23:06.100 --> 02:23:12.284]  And then of course they get on the COVID train, the COVID track, which is just horrible medication.
[02:23:12.385 --> 02:23:14.366]  So what do you tell people?
[02:23:14.426 --> 02:23:18.669]  What do you say to them to say, keep them out of the hospital, Dr. Merritt?
[02:23:20.481 --> 02:23:27.516]  Well, I think, first of all, I think we're in a very close crisis right now, and people need to take this seriously.
[02:23:28.077 --> 02:23:31.484]  You know, I still get people calling me who need help, but they...
[02:23:32.290 --> 02:23:33.190]  Have nothing at home.
[02:23:33.790 --> 02:23:34.811]  They've not stopped.
[02:23:34.891 --> 02:23:36.131]  They don't have the right equipment.
[02:23:36.211 --> 02:23:46.613]  So I'm going to tell you, I was just talking to my local hardware guy and I've heard this story that truckers are going to strike on or stop moving things on October 1st.
[02:23:47.014 --> 02:23:51.035]  Well, I don't know if that's true, but I can tell you that they at the hardware store.
[02:23:51.055 --> 02:23:53.315]  He says we can't get truckers to move things right now.
[02:23:53.975 --> 02:23:55.176]  So we're out.
[02:23:55.216 --> 02:23:59.897]  We're running out of things and I think that's a, you know, a harbinger of things to come here shortly.
[02:23:59.937 --> 02:24:01.197]  So people should not wait.
[02:24:01.983 --> 02:24:05.648]  Personally, I think everybody needs some equipment in the house.
[02:24:06.609 --> 02:24:09.193]  A pulse oximeter and a nebulizer.
[02:24:09.393 --> 02:24:25.255]   That's been just so valuable in keeping people out of the hospital because one of the problems with whatever this bioweaponized disease is, We can call it COVID, but keep in mind we don't really know too much about this, except we do have some principles for treatment.
[02:24:25.795 --> 02:24:31.000]  And one of the things we're seeing is that people's oxygen drops more than we would predict looking at them.
[02:24:31.681 --> 02:24:35.204]  So we needed a pulse oximeter, especially to do telemedicine.
[02:24:35.765 --> 02:24:36.785]  That really is useful.
[02:24:36.826 --> 02:24:38.507]  So go get some equipment.
[02:24:38.647 --> 02:24:39.328]  That's number one.
[02:24:39.368 --> 02:24:45.670]   Number two, the FDA has just stopped Shipments of Ivermectin coming into the country.
[02:24:45.930 --> 02:24:48.413]  Now, you know, we're at war with our own government.
[02:24:49.313 --> 02:24:53.056]  Japan has just said we're going to do FDA.
[02:24:53.337 --> 02:24:57.140]  I mean, we're going to ignore all the FDA and WHO and we're going to use Ivermectin.
[02:24:58.141 --> 02:24:59.342]  India is using Ivermectin.
[02:24:59.362 --> 02:25:07.048]  There are multiple countries now where Ivermectin is not only approved, but, you know, that is the official policy.
[02:25:07.289 --> 02:25:11.052]  And yet we are at the point of not letting our people get it who are desperate.
[02:25:11.590 --> 02:25:12.751]  Think about that.
[02:25:12.991 --> 02:25:19.573]  El Salvador, they actually get the kit, the COVID kit, and it has ivermectin in it and vitamin C and all these wonderful things.
[02:25:19.793 --> 02:25:21.834]  We're going to come back from a break in just a moment.
[02:25:21.854 --> 02:25:26.616]  You're not going to want to miss this because this actually can save your life or a loved one's life.
[02:25:27.157 --> 02:25:27.977]  Make sure to stay with us.
[02:25:29.016 --> 02:25:31.057]  Hi there, I'm Kate Dally from The Kate Dally Show.
[02:25:31.097 --> 02:25:34.700]  So glad you could join me today because what an important episode this is.
[02:25:34.980 --> 02:25:41.864]  If you would like to save a life or save your own, this is the episode you need to share with every family member and friend.
[02:25:42.384 --> 02:25:47.928]  My guest is frontline doctor, one of my favorites, Dr. Lee Merritt, TheMedicalRebel.com.
[02:25:48.568 --> 02:25:52.712]  And let me just say, you're fantastic, Dr. Merritt.
[02:25:52.752 --> 02:25:55.314]  I absolutely adore you because you're willing to speak the truth.
[02:25:55.594 --> 02:25:57.536]  And we have a lot of people out there wondering what to do.
[02:25:57.716 --> 02:26:02.580]  And you just talked about two very important things to acquire, to have at home.
[02:26:02.920 --> 02:26:04.261]  And I would get these in a hurry.
[02:26:04.301 --> 02:26:04.902]  I really would.
[02:26:04.942 --> 02:26:06.623]  I would make sure you have these two items.
[02:26:06.723 --> 02:26:09.125]  You'll probably help a friend or a family member or yourself.
[02:26:09.546 --> 02:26:11.267]  Those two items again, Dr. Merritt?
[02:26:12.868 --> 02:26:16.231]  Pulse oximeter to check your blood oxygen level.
[02:26:16.251 --> 02:26:17.212]  It just goes on your finger.
[02:26:17.545 --> 02:26:19.545]  and a nebulizer.
[02:26:19.545 --> 02:26:22.545]  And the other one I guess is a thermometer.
[02:26:22.545 --> 02:26:25.545]   I'm kind of surprised how many people don't have a basic thermometer
[02:26:25.545 --> 02:26:27.545]  and I wouldn't get a battery thermometer.
[02:26:27.545 --> 02:26:32.545]   I still have my dad's old mercury thermometers and I'm hanging on to them for the dear life.
[02:26:32.545 --> 02:26:37.545]   But they've taken the North Ear away from us but they still have non-battery thermometers that work.
[02:26:37.545 --> 02:26:39.545]  So yeah, I would do that.
[02:26:39.720 --> 02:26:45.348]  And then the other thing, the next first step I would take, like I said, get some Ivermectin, however you can get it.
[02:26:46.229 --> 02:26:50.735]  Overseas pharmacies might be able to get it to you, but the FDA now has the U.S.
[02:26:50.775 --> 02:26:53.158]  Postal Service interdicting this at the border.
[02:26:53.218 --> 02:26:55.221]  So sometimes it gets through, sometimes it doesn't.
[02:26:55.621 --> 02:26:59.104]  It takes at least a month or more to get it from overseas, so get it now.
[02:27:00.485 --> 02:27:08.853]  The other thing is if you're on medications right now that are critical, say a heart medicine or a blood pressure medicine, something you can't do without, you better stock up.
[02:27:09.273 --> 02:27:17.460]  Now, your insurance will say, oh, you can only have this month or there's 90 days, but you can pay cash and don't let them tell you you can't.
[02:27:17.500 --> 02:27:21.264]  If you need to go, I love the independent pharmacies, they're so much better to work with.
[02:27:21.663 --> 02:27:26.143]   But Walgreens has been okay, I haven't had a problem with them, and Walmart.
[02:27:26.143 --> 02:27:30.342]   I'm not saying all of them are bad, but you need to stock up, and even if you have to
[02:27:30.342 --> 02:27:35.823]   pay cash, if you need insulin for sure, any of those critical medicines.
[02:27:35.823 --> 02:27:40.463]   And by the way, medicine, if you save it, the Army did a study, and medicine actually
[02:27:40.463 --> 02:27:42.502]  doesn't expire, except for a couple.
[02:27:42.570 --> 02:27:55.185]  EpiPens and tetracycline-type drugs, but everything else, the Army study showed they lasted 30 years, and they still hadn't become bad, if kept at a reasonable temperature.
[02:27:55.985 --> 02:28:04.907]  So, and then we know about the supplements that matter, and I've got them listed and why you take them on my website, but just to keep in mind, they're not expensive.
[02:28:04.947 --> 02:28:13.689]  Vitamin C, vitamin D, zinc, selenium, N-acetylcysteine, quercetin, lysine, and either betaine or dimethylglycine.
[02:28:13.729 --> 02:28:17.189]  That's my list of absolutely essential medications.
[02:28:17.610 --> 02:28:24.371]  And by the way, the WHO lists ivermectin as one of the essential medications for world health.
[02:28:25.307 --> 02:28:26.508]  Doesn't that tell you something?
[02:28:26.548 --> 02:28:28.049]  And we're a country that can't get it.
[02:28:29.170 --> 02:28:33.654]  Nobel Prize winner 2015 because of its safety and efficacy.
[02:28:33.794 --> 02:28:43.843]  And so it's important to take also, you want to speak to a doctor, a frontline doctor at MyFreeDoctor.com or the frontline America's frontline doctors or go to TheMedicalRebel.com.
[02:28:44.644 --> 02:28:50.329]  But the dose in the first several days needs to be a little heavier, right, with ivermectin?
[02:28:51.903 --> 02:28:54.845]  So we started out giving about 12 milligrams to everybody.
[02:28:55.306 --> 02:28:57.047]  And then we realized that's not enough.
[02:28:57.107 --> 02:29:07.294]  So now if you're sick, now this is not prophylaxis, but if you're sick, the dose now ranges from 0.4 milligrams to 0.6 milligrams per kilogram per day.
[02:29:08.315 --> 02:29:16.341]  And unfortunately, even if you get your doctor to prescribe it at a pharmacy, my experience is that they only have three milligram tablets.
[02:29:17.034 --> 02:29:19.997]  And to get enough, it's very expensive now.
[02:29:20.078 --> 02:29:24.583]  They've raised the prices and often the pharmacies are out and their warehouses are out.
[02:29:24.683 --> 02:29:25.624]  So we're in big trouble.
[02:29:25.664 --> 02:29:28.567]  I'm telling you, get what you can now, however you get it.
[02:29:29.168 --> 02:29:30.509]  Yeah, the essential medications.
[02:29:30.570 --> 02:29:31.631]  Don't you think that's something?
[02:29:33.012 --> 02:29:36.436]  People are talking about the horse paste, the veterinary use one.
[02:29:36.616 --> 02:29:37.798]  And did you want to comment on that?
[02:29:38.860 --> 02:29:39.100]  Sure.
[02:29:39.560 --> 02:29:51.883]  I mean, I used to not ever say go out and get veterinary medicine, but I'm going to tell you, not only can people not afford the pharmaceutical dose of ivermectin sometimes if they don't have insurance, but it's also not available.
[02:29:51.983 --> 02:29:54.964]  So, I have no problem with it.
[02:29:55.004 --> 02:30:03.166]  I found out, at least this is what I've been told, that the ivermectin for cattle comes right off the same production line as the ivermectin for humans.
[02:30:03.226 --> 02:30:09.511]   Now, they could put other things in it, but As far as I know, reading the labels, I think it's okay.
[02:30:09.992 --> 02:30:12.175]  Now, this is not official medical advice.
[02:30:12.195 --> 02:30:16.040]  Now, I will tell you, what I like is the injectable 1% solution.
[02:30:17.840 --> 02:30:18.480]  It's for IV.
[02:30:18.540 --> 02:30:19.861]  Now, you're not going to inject it in yourself.
[02:30:19.881 --> 02:30:25.023]  You're going to take it oral and it tastes bad, but who cares at this point, you know?
[02:30:25.043 --> 02:30:29.986]  I think we're in a wartime situation here and we need to act like it.
[02:30:30.246 --> 02:30:31.326]  I just am going to say that.
[02:30:31.366 --> 02:30:37.209]  And I really like now, Scott Kesterson at Bards FM has a great idea.
[02:30:37.229 --> 02:30:43.532]  And it's, you know, I had this idea, several people kind of came all this up together, but when I was talking to him, he'd really thought it out in detail.
[02:30:44.532 --> 02:30:53.039]  Just like you have food co-ops and people buy organic food and non-GMO food in food co-ops, have a medical co-op and get some equipment.
[02:30:53.059 --> 02:30:53.579]  I love that.
[02:30:53.599 --> 02:30:54.360]  Yeah, I do too.
[02:30:54.400 --> 02:31:01.465]  So for example, you have a friendly nurse or retired physician that you want to get in here and that can help put in IVs.
[02:31:01.745 --> 02:31:10.692]  His point is, there's evidence that a hyperbaric oxygen chamber can keep people from progressing, that can really help people that are sick.
[02:31:11.873 --> 02:31:33.426]  And there are other things, you know, just have durable medical equipment, the things that you all, everybody doesn't need an IV holder in their house, but if you had a co-op that had these things and everybody participated in your area that were like-minded, you could really stock up with a lot of things and then when somebody needed it they, you know, pay for the service, pay for the use, but it could be nominal.
[02:31:33.787 --> 02:31:38.830]  I think it's a great idea and I think he's going to be talking about it on his show this week, but I think it's a good idea.
[02:31:40.151 --> 02:31:53.759]  You know, there's a couple things I tell people to do after our experience, and that is when you start getting sick and you can feel it starting to go into your chest a little bit, so you know it might be something a little deeper, then the first thing I would do is go find an IV nutraceutical clinic.
[02:31:53.779 --> 02:31:56.001]  These are private businesses, no doctor, no script.
[02:31:56.301 --> 02:32:01.324]  Go get a vitamin C infusion of glutathione, vitamin C, and zinc.
[02:32:01.804 --> 02:32:05.387]  And that's the first thing, because you'll feel better immediately, usually.
[02:32:05.887 --> 02:32:14.434]  And then also order maybe Budesonide for the nebulizer, because Budesonide, and these are things the hospitals are refusing to do now.
[02:32:14.995 --> 02:32:17.457]  Absolutely refusing to their patients, by the way.
[02:32:17.757 --> 02:32:24.983]  And Budesonide is on page 205 of the 341-page protocol, says it's amazing, just says that too few people were in the study, of course.
[02:32:25.283 --> 02:32:29.046]  But it's doing great things, and you can get that from your doctor for the nebulizer, right?
[02:32:30.049 --> 02:32:30.689]  Right, you can.
[02:32:30.749 --> 02:32:37.671]  And some doctors, I mean most doctors, that's not one of those hot-button medicines like ivermectin and hydroxychloroquine.
[02:32:37.711 --> 02:32:39.431]  So most doctors will prescribe that.
[02:32:39.791 --> 02:32:59.115]  The other thing though is like the Brownstein protocol or Dr. Mercola's protocol, which you can do without a prescription, is a drop of hydrogen peroxide and a 30%, I mean a drop of iodine in a solution that's two parts water or three parts water to one part hydrogen peroxide.
[02:32:59.761 --> 02:33:01.021]  That seems to work very well.
[02:33:01.682 --> 02:33:13.045]  But the point here is, if you have ivermectin or hydroxychloroquine at home and you start getting sick, the earlier you implement it, the less medicine you'll need and the quicker you get over it.
[02:33:14.025 --> 02:33:29.287]   One of the problems that we're seeing, all the people doing telemedicine is that people now, they're getting a little, it's kind of different this year, they're kind of getting a little bit sick and so they don't think it's worthwhile calling a doctor and they kind of putts around for 10 days and they're just slowly getting
[02:33:29.287 --> 02:33:32.497]   worse but finally when they need one then they're about ready to drop off
[02:33:32.497 --> 02:33:36.427]   that cliff. It seems to go you know not very serious not very serious and won't you
[02:33:36.427 --> 02:33:41.466]   lose your oxygen carrying capacity so don't wait too long. We're gonna come
[02:33:41.466 --> 02:33:45.607]   right back more with Dr. Leigh Merritt and of course the frontline doctors the
[02:33:45.607 --> 02:33:53.966]   medical rebel she has right on her website Dr. Leigh Merritt how to get hydroxychloroquine.
[02:33:52.128 --> 02:33:53.389]  So we'll be right back.
[02:33:53.429 --> 02:33:55.950]  You can go to katedallyradio.com for the podcast.
[02:33:56.231 --> 02:33:58.632]  You can go to katedallyradio.com for show notes.
[02:33:58.752 --> 02:34:00.173]  All of this will be in show notes there.
[02:34:00.533 --> 02:34:03.055]  And so visit the site and we will be right back.
[02:34:03.115 --> 02:34:03.735]  Don't go anywhere.
[02:34:03.755 --> 02:34:05.837]  You're not going to want to miss this next segment as well.
[02:34:06.037 --> 02:34:07.758]  This could save your life.
[02:34:08.932 --> 02:34:09.672]  Hi, welcome back.
[02:34:09.713 --> 02:34:11.453]  Kate Daly here from the Kate Daly Show.
[02:34:11.513 --> 02:34:12.974]  Thank you, Alex, for having me.
[02:34:13.194 --> 02:34:15.215]  And I have such an important guest.
[02:34:15.295 --> 02:34:26.441]  Before I come back to Dr. Lee Merritt, because we're talking about the things that you need to have right now in your home to help others and help yourself, I want to play this from Bill Gates.
[02:34:26.481 --> 02:34:32.484]  This is Bill Gates, Munich, 2017, February, telling us what was coming, by the way.
[02:34:34.705 --> 02:34:35.846]  Please welcome Mr. Bill Gates.
[02:34:39.141 --> 02:34:57.210]  We also face a new threat that the next epidemic has a good chance of originating on a computer screen of a terrorist intent on using genetic engineering to create a synthetic version of the smallpox virus or a contagious and highly deadly strain of flu.
[02:34:58.531 --> 02:35:05.576]  So the point is that we ignore the strong link between health security and international security at our peril.
[02:35:06.297 --> 02:35:18.425]  Whether it occurs by the quirk of nature or at the hand of a terrorist, epidemiologists show through their models that a respiratory spread pathogen would kill more than 30 million people in less than a year.
[02:35:19.426 --> 02:35:24.170]  And there is a reasonable probability of that taking place in the years ahead.
[02:35:26.112 --> 02:35:28.653]  Yeah, he's the quirk of nature, and he's the terrorist.
[02:35:28.834 --> 02:35:30.514]  He just didn't tell you that.
[02:35:30.715 --> 02:35:41.480]  Well, that was from Bill Gates 2017, and it's a little scary, isn't it, to think that these people are at the helm, never elected, over our health and education, but never elected.
[02:35:41.921 --> 02:35:47.143]  My guest is Dr. Leigh Merritt, frontline doctor, TheMedicalRebel.com.
[02:35:47.163 --> 02:35:49.805]  You're going to want to go to her site, such valuable information.
[02:35:49.825 --> 02:35:53.147]  I want to ask you a question, too.
[02:35:53.307 --> 02:36:00.767]   Ivermectin and hydroxychloroquine, can you take them to You can take them together.
[02:36:01.107 --> 02:36:08.793]  I'm not sure that you need to, but we did say that hydroxychloroquine works really great early on.
[02:36:09.884 --> 02:36:16.786]  And ivermectin works pretty much anytime, but certainly later we don't see as much benefit from hydroxychloroquine as we do ivermectin.
[02:36:16.806 --> 02:36:20.006]  That's really kind of the rule of thumb that people are going by.
[02:36:20.086 --> 02:36:36.230]  But keep in mind, because the psychopaths running this outbreak did not do what they should have done to really help us understand the disease and what we're really dealing with, like doing autopsies of the dead, that would have been very nice.
[02:36:37.210 --> 02:36:56.280]  We don't really completely know what we're dealing with and that's why I was going to say we left out antibiotics but I think having some doxycycline, azithromycin, some antibiotics around the house is a great thing also because don't get snockered into the idea it's all viral, viral, viral.
[02:36:56.760 --> 02:37:16.891]   One of the things that happens after people have been debilitated and sick from one thing is you can get a secondary bacterial infection or Even worse, I'm going to tell you, years ago, probably we've all become infected, thanks to a different bioweapon here, with mycoplasma, a crystalline form of mycoplasma that can be reactivated.
[02:37:16.951 --> 02:37:21.974]  So, we're learning lots of things about our medical history we didn't appreciate.
[02:37:22.014 --> 02:37:25.937]  That's kind of scary, but that may also be happening.
[02:37:25.957 --> 02:37:31.680]  We're seeing a bunch of mycoplasma-like diseases crop up, so you have to have antibiotics sometimes.
[02:37:32.831 --> 02:37:33.491]  Absolutely.
[02:37:33.712 --> 02:37:38.234]  And you know, the shutting off of the vaccine, the spike proteins, I mean, what is that causing?
[02:37:38.294 --> 02:37:39.795]  Is that causing a lot?
[02:37:40.115 --> 02:37:42.997]  Because I'm seeing vaccinated and unvaccinated getting sick.
[02:37:43.037 --> 02:37:46.799]  So I'm sorry that they're playing this card to the hospital saying, I don't believe it.
[02:37:47.800 --> 02:37:49.481]  Well, by the way, that's a good thing to bring up.
[02:37:50.279 --> 02:38:02.904]  Don't believe the diatribe that it's just the unvaccinated getting sick because it turns out that they're not labeling you as vaccinated unless you're two weeks past your last dose.
[02:38:03.284 --> 02:38:09.567]  So you could have had one dose and you're not vaccinated in their mind and then you have another dose and you're still not vaccinated until you go two weeks out.
[02:38:10.484 --> 02:38:16.768]  And the other thing we're discovering is, yeah, I mean, so, so when they say they're unvaccinated, well, not by normal definitions.
[02:38:16.868 --> 02:38:20.290]  And we have, we're seeing the damage from the vaccines.
[02:38:20.330 --> 02:38:29.276]  If you're going to have a brain bleed or, or Guillain-Barre or things, it tends to happen within four to seven days after the vaccine, where they would not consider you vaccinated.
[02:38:29.616 --> 02:38:32.698]  That's a good way to get rid of all the complications of the vaccine.
[02:38:32.738 --> 02:38:35.139]  So don't let anybody be snoggered about that.
[02:38:36.260 --> 02:38:45.635]   But you asked me right now, I lost I take an NAC and a quercetin every day and I was wondering about that.
[02:38:45.715 --> 02:38:57.664]  You might want to let people know, you know, if you're sick, do you triple dose, double dose those things and what do they do as far as being an antiviral, as far as being, you know, why would you recommend NAC and quercetin?
[02:38:58.993 --> 02:39:01.594]  Well, quercetin is just a good anti-inflammatory.
[02:39:01.755 --> 02:39:07.398]  I mean, NAC actually helps produce glutathione in the brain and other places.
[02:39:07.418 --> 02:39:10.259]  You can't, you know, unless I like the idea and I did this too.
[02:39:10.319 --> 02:39:24.757]   I went down to one of the chelation areas in town in Omaha and had IV glutathione and because I had gotten shed on and I really think that's one of the things that can help It's an oxidant.
[02:39:25.098 --> 02:39:25.979]  It's an antioxidant.
[02:39:25.999 --> 02:39:28.784]  I mean, so it really helps, I think, degrade what we're dealing with.
[02:39:31.028 --> 02:39:36.191]  The issue is, don't think you're going to just suddenly take these things when you get sick and it's going to do you the best.
[02:39:36.271 --> 02:39:41.233]  What you really need to do is live an anti-inflammatory lifestyle starting now if you haven't been doing it.
[02:39:41.613 --> 02:39:44.515]  And that is key is your diet.
[02:39:45.655 --> 02:39:55.420]  I really like a couple books, you know, the Wheat Belly book by a cardiologist, William Davis, and I like Grain Brain by Dr. Perlmutter, who's a neurologist.
[02:39:55.440 --> 02:39:59.782]  And he talks about all the different ways that our food is damaging us.
[02:40:00.322 --> 02:40:01.783]  And it makes us inflammatory.
[02:40:01.964 --> 02:40:16.377]  If you're over your weight standards, you have more inflammation in the body and that means you're likely to succumb if you get sick with these diseases because this gives you an inflammatory overshoot.
[02:40:16.417 --> 02:40:22.222]  The way people die is they get so much inflammation in their lungs that they cannot oxygenate.
[02:40:22.262 --> 02:40:23.403]  That's one of the pathways.
[02:40:25.695 --> 02:40:31.358]  Being shed on by somebody that's vaccinated is a real thing and I know my experience.
[02:40:31.398 --> 02:40:35.260]  I mean I had a nosebleed and I never get nosebleeds ever in my life.
[02:40:35.340 --> 02:40:47.346]  So this is a massive nosebleed first time and I'd been having some other symptoms that I felt were just like viral symptoms after I was in close contact with somebody for a long period of time that was that was vaccinated.
[02:40:47.426 --> 02:40:58.753]   So it happened about four to five days afterwards The issue there is, and I have this on the website, I would treat it fairly aggressively because I think it's the spike protein.
[02:40:59.573 --> 02:41:15.576]  And I've come to this conclusion, nobody knows for sure, but we know from the autopsies that have happened that if you, you know, people that die of COVID, for example, that their spike protein or die after the vaccine, their spike protein in the hair follicles.
