[00:00:00.229 --> 00:00:01.850]  The world is rejecting the globalists.
[02:07:13.388 --> 02:07:13.928]  But here you go.
[02:07:14.648 --> 02:07:17.631]  Just some of the headlines the Democrats didn't want to talk about or have hearings on.
[02:07:19.132 --> 02:07:21.774]  These are the police officers shot during the riots.
[02:07:21.834 --> 02:07:23.275]  Daily Caller story from last summer.
[02:07:24.542 --> 02:07:29.544]  And it gets into the dozens of police officers that were injured and even killed during the Democrat riots of 2020.
[02:07:30.644 --> 02:07:32.504]  Democrats didn't bat an eye.
[02:07:33.125 --> 02:07:37.326]  Las Vegas police officer paralyzed after protesters shoot him in the head.
[02:07:37.946 --> 02:07:44.008]  More than 100 New York Police Department officers injured in the protests since June 10th.
[02:07:44.148 --> 02:07:45.809]  Again, these are from last summer, these headlines.
[02:07:46.309 --> 02:07:49.910]  Federal officers in Portland may have been permanently blinded by lasers.
[02:07:54.195 --> 02:07:58.496]  Cop reports to roll call one day after being shot in Louisville riots.
[02:07:59.416 --> 02:08:00.977]  Okay, those were just from last summer.
[02:08:01.017 --> 02:08:11.120]  Now, Dana Lesh has put together an incredible piece, and she put a lot of work into this, so it's worth sharing all 26 pages here as I go to break.
[02:08:11.220 --> 02:08:16.601]  And Paul Joseph Watson, oh no, Dr. Andrew Kaufman, is that who's hosting the fourth hour today?
[02:08:17.482 --> 02:08:20.322]  I'm sorry guys, my earpiece went out, so I don't even know what's going on.
[02:08:22.967 --> 02:08:26.269]  So we have Dr. Andrew Kaufman actually hosting the fourth hour, that's great.
[02:08:27.069 --> 02:08:30.971]  But, before we do that, Dana Lesh put this together.
[02:08:31.151 --> 02:08:41.936]  The left's many January 6th, a compendium, the left trying to hold January 6th as relative to the years of lawless violence and destruction is the original Whataboutism.
[02:08:42.516 --> 02:08:52.121]  And in this 26-page report, she gets into all the leftist riots when they burned DC, burned Portland, burned New York, burned Philadelphia.
[02:08:52.541 --> 02:09:01.268]  Shot police officers, attacked police officers, killed police officers, paralyzed police officers, and how it was celebrated in the media at the time.
[02:09:01.609 --> 02:09:05.792]  But one event, one event is treated differently than all the rest.
[02:09:06.032 --> 02:09:08.894]  Hello and welcome back to the Alex Jones Show.
[02:09:09.055 --> 02:09:11.136]  I want to thank Alex for inviting me on.
[02:09:11.196 --> 02:09:19.043]  I'm Dr. Andrew Kaufman and I'll be your guest host for the next hour and I have some exciting news and some exciting things to talk to you about today.
[02:09:19.683 --> 02:09:42.837]  I'm going to be focusing on the Federal Drug Administration, the FDA and their emergency use authorization process because there's been some recent news with respect to the PCR as well as the vaccines and I'm going to help you understand the legal and historical context for this very important issue that's affecting your rights right now.
[02:09:43.297 --> 02:09:45.659]  So if we could bring up the first slide please.
[02:09:50.023 --> 02:10:10.351]  So what we have here, and I'm not sure if it's up, there it goes, is an announcement that the CDC, the Centers for Disease Control and Prevention, is withdrawing its emergency use authorization request to the FDA for the PCR tests that were originally approved in February of 2020.
[02:10:11.724 --> 02:10:18.929]  Now this is quite significant because after that date, these tests will no longer be allowed to be used.
[02:10:19.449 --> 02:10:29.997]  And the PCR test has been the most widely used so-called diagnostic test for COVID-19 across the world and especially in the United States.
[02:10:30.657 --> 02:10:41.225]  And as we know, all of the tyrannical policies that restrict your rights and require you to participate with unapproved medical interventions are based on the results
[02:10:42.088 --> 02:10:42.849]  Of this test.
[02:10:42.989 --> 02:10:45.250]  So why is it going to be withdrawn?
[02:10:45.871 --> 02:10:54.037]  Well, the truth of the matter is that there are two different ways to get your product on the market for a medical device.
[02:10:54.117 --> 02:10:55.978]  And this test is a medical device.
[02:10:56.679 --> 02:11:02.203]  One way is the emergency use authorization and there are specific time limited criteria.
[02:11:02.783 --> 02:11:09.208]  But to have your device on the market permanently to be able to sell, you need to get formal FDA approval.
[02:11:10.146 --> 02:11:20.308]  And the manufacturers of this test realized that they would not be able to even apply for FDA approval because they do not meet the criteria.
[02:11:21.168 --> 02:11:30.931]  As I've stated many times, the PCR test scientifically is not really suited for diagnosing clinical disease.
[02:11:31.511 --> 02:11:37.692]  But aside from that, this particular test has never undergone what's known as validation studies.
[02:11:38.496 --> 02:11:44.578]  Now, validation studies are what actually prove that it measures what you think that it measures.
[02:11:45.179 --> 02:11:47.180]  So, why don't we go to the next slide, please?
[02:11:48.980 --> 02:11:54.502]  And here, what we're showing is one of the FDA EUA authorization letters.
[02:11:55.103 --> 02:12:03.026]  So, each time a product receives this emergency use authorization designation, which is different from FDA approval,
[02:12:04.048 --> 02:12:07.190]  They issue a letter to the manufacturer giving them this approval.
[02:12:07.230 --> 02:12:15.737]  And so here is an example of one of the PCR diagnostics from Ipsum Diagnostics LLC that was issued on April 1st, 2020.
[02:12:16.017 --> 02:12:20.200]  And I want to show this to illustrate some important things that it says.
[02:12:20.660 --> 02:12:32.309]  So first of all, if you look at the highlighted text where under indication at the top, you'll see that it is a approved or authorized for qualitative detection of nucleic acid.
[02:12:32.950 --> 02:12:34.891]  From SARS-CoV-2.
[02:12:35.331 --> 02:12:56.301]  Now nucleic acid is another word for RNA or DNA, but what this is specifying is that it can only detect genetic material that is said to be from this virus, but cannot detect the actual virus and also cannot detect the clinical state of being in a disease due to a virus.
[02:12:57.081 --> 02:12:58.202]  And the next slide, please.
[02:12:58.262 --> 02:13:00.243]  If we look further down in this
[02:13:00.914 --> 02:13:17.525]  Authorization level letter, sorry, you see the highlighted text again that is based on the totality of scientific evidence available at the time this was granted that, quote, it is reasonable to believe that your product may be effective in diagnosing COVID-19.
[02:13:17.985 --> 02:13:26.091]  So you can see that there's only the reasonability of a belief, not a fact or not knowledge, that the product may
[02:13:26.903 --> 02:13:31.846]  Right, which also means or may not be effective in diagnosing COVID-19.
[02:13:32.686 --> 02:13:36.168]  So you can see that this is not very strict criteria.
[02:13:36.828 --> 02:13:39.430]  Hello and welcome back to the Alex Jones Show.
[02:13:39.730 --> 02:13:42.891]  I'm your guest host, Dr. Andrew Kaufman, filling in today.
[02:13:43.712 --> 02:13:53.457]  So as I was stating before the break, we have this language in the authorization letter that puts a lot of doubt
[02:13:54.119 --> 02:14:07.140]  About if this product actually can successfully diagnose COVID-19 and we'll know that it's not required to prove that it can diagnose this condition in order to get this authorization letter.
[02:14:07.761 --> 02:14:09.283]  So let's go on to the next slide.
[02:14:11.670 --> 02:14:16.151]  Now here we have the specific requirements from the FDA.
[02:14:16.231 --> 02:14:26.215]  Now to get approval of IVD, which is in vitro diagnostics, that's any diagnostic test done in the laboratory, there are two pathways.
[02:14:26.475 --> 02:14:32.997]  Now the 510K is the abbreviated pathway, so it's the easiest way to get such a device approved.
[02:14:33.397 --> 02:14:35.859]  So I thought I would highlight that in this example.
[02:14:36.440 --> 02:14:47.030]  And you can see that the FDA requires, among other things, the analytical specificity and sensitivity of an in vitro diagnostic in order to be approved.
[02:14:47.470 --> 02:14:48.331]  So what is that?
[02:14:48.731 --> 02:14:50.193]  Let's go to the next slide, please.
[02:14:51.914 --> 02:14:54.777]  So I found an article here from the NIH
[02:14:55.780 --> 02:14:59.122]  That discusses what sensitivity and specificity are.
[02:14:59.542 --> 02:15:05.545]  And essentially what they are, are statistics that are based on the error value or the error rate of the test.
[02:15:06.106 --> 02:15:11.348]  And the sensitivity is how well it can detect something that may not be common.
[02:15:12.409 --> 02:15:19.473]  And the specificity is if there is a positive result, is it very specific or does it give false results?
[02:15:19.513 --> 02:15:25.176]  So these are essentially ways to measure accuracy or error.
[02:15:25.799 --> 02:15:43.304]  Now you'll see in the second column here that this article is specifically talking about tests in ophthalmology and it states, quote, A lot of this high-tech explosion involves diagnostic tests.
[02:15:43.384 --> 02:15:50.446]  Regrettably, there is sometimes a tendency to use tests just because they are available or because they are high-tech.
[02:15:51.328 --> 02:16:10.260]  Now this is a very key point here because we have PCR tests are very high tech in terms of molecular biology and according to the FDA there have been approximately 600 different diagnostics and therapeutics applied for emergency use authorization to the FDA.
[02:16:10.320 --> 02:16:13.943]  So this is quite a prolific field and a big money grab.
[02:16:14.263 --> 02:16:15.804]  If we could go to the next slide please.
[02:16:16.344 --> 02:16:18.586]  So this article further goes to stay.
[02:16:19.284 --> 02:16:25.508]  That in order to calculate sensitivity and specificity, you need to have a gold standard.
[02:16:26.969 --> 02:16:36.996]  Now it says the gold standard is the best single test that is considered the current preferred method of diagnosing a particular disease.
[02:16:37.516 --> 02:16:45.361]  So what we have to do is take our proposed diagnostic test that we're applying to the FDA for and compare it to a gold standard.
[02:16:45.993 --> 02:16:50.436]  In order to obtain the sensitivity and specificity calculations.
[02:16:51.117 --> 02:16:53.098]  And please advance to the next slide.
[02:16:53.879 --> 02:16:58.602]  Also, you can see in the second column, sorry, this should be one before I went too far.
[02:16:59.663 --> 02:17:00.943]  It talks about validity.
[02:17:01.524 --> 02:17:06.447]  And validity is the name for the study where you would compare this to a gold standard.
[02:17:06.808 --> 02:17:09.309]  And what it says here, it defines the validity.
[02:17:09.529 --> 02:17:14.553]  It is the extent to which a test measures what it is supposed to measure.
[02:17:15.427 --> 02:17:16.708]  Okay, so that's really key.
[02:17:17.088 --> 02:17:26.571]  So we have an experimental test we're going to apply to the FDA, but we have to do a validation study to show that it measures what we say it's going to measure.
[02:17:27.251 --> 02:17:39.416]  And in order to do that, we have to compare it to a gold standard and then use that comparison to calculate the error rate, as well as sensitivity, specificity, and other variables.
[02:17:40.196 --> 02:17:41.197]  Okay, next slide.
[02:17:42.694 --> 02:17:45.536]  What is the gold standard in virology?
[02:17:45.897 --> 02:17:51.281]  Now, we can't see this whole slide, but I'm going to read two quotes because I have two separate articles here.
[02:17:51.781 --> 02:18:11.736]  Now, the first is from an article about bovine viral diarrhea virus, and it says, quote, virus isolation is a basic, reliable, and widely used method for diagnosis of BVDV infection and remains the gold standard for the virus diagnostics.
[02:18:12.947 --> 02:18:21.373]  Okay, now we go to the second article which is looking at cytomegalovirus and I put a quote at the end right there.
[02:18:21.674 --> 02:18:23.515]  Culture is the gold standard.
[02:18:24.306 --> 02:18:36.956]  Now, culture and isolation are actually two names for the same experiment, and this is the experiment that I have criticized immensely as being not a valid way to identify a virus.
[02:18:37.437 --> 02:18:43.922]  However, according to mainstream virology, this is the gold standard of how they identify a virus.
[02:18:44.622 --> 02:18:46.324]  So, if you are going to
[02:18:47.310 --> 02:18:53.293]  Be able to calculate the sensitivity and specificity of such a diagnostic test like the PCR.
[02:18:53.713 --> 02:19:02.298]  And by the way, this applies to all of the diagnostic tests that have been put forth and have received emergency use authorization.
[02:19:02.778 --> 02:19:09.522]  That they would all have to be compared to a gold standard in order to determine all of these variables about their error.
[02:19:10.142 --> 02:19:15.485]  And that would require comparing them to virus isolation according to their own standards.
[02:19:16.181 --> 02:19:19.744]  Now, this study has never, not once, been done.
[02:19:21.966 --> 02:19:40.122]  So, in other words, they don't really have any basis whatsoever to get approval for the PCR test, so they have no choice but to withdraw their Emergency Use Authorization application, because when it expires, they will not be able to get approval.
[02:19:41.637 --> 02:19:43.138]  So this is quite significant.
[02:19:43.178 --> 02:20:02.025]  And now I want to show you how this applies to the research on the Delta variant, because this has been the big news story, the big point of fear across the world that this alleged Delta variant came from India and is spreading across the world.
[02:20:02.305 --> 02:20:07.388]  And specifically, it is the fault of the unvaccinated that this even exists.
[02:20:08.188 --> 02:20:09.869]  So next slide, please.
[02:20:10.269 --> 02:20:10.789]  I want to
[02:20:11.977 --> 02:20:21.183]  I want to point you to a video that I recently did, which has been put up on this website on Ban.TV.
[02:20:22.104 --> 02:20:29.308]  And I did this with Sayer G. And I explain exactly how they sequence the genome in this video.
[02:20:29.569 --> 02:20:31.670]  And I explain what variants are.
[02:20:31.850 --> 02:20:40.736]  And essentially, my main point is that they never had a virus where they could take the genetic material
[02:20:41.812 --> 02:20:41.872]  I'm
[02:21:00.240 --> 02:21:06.522]  Even though it didn't know the source of each of the 56 million little pieces, like did they come from a bacteria?
[02:21:06.562 --> 02:21:08.162]  Did they come from a different virus?
[02:21:08.222 --> 02:21:09.922]  Did they come from a human?
[02:21:10.002 --> 02:21:12.683]  Did they come from a yeast or a fungus or an amoeba?
[02:21:13.363 --> 02:21:20.585]  They had no idea, but the computer still was able to put them together into what they call an in silico genome.
[02:21:21.105 --> 02:21:25.126]  And this is a computer simulation of a genome and it's purely theoretical.
[02:21:25.766 --> 02:21:29.607]  And what variants are is when they try to repeat this experiment,
[02:21:30.405 --> 02:21:49.353]  By taking the sample from the lung fluid or from a nasopharyngeal swab, which is from the nose, and they essentially repeat this process and put it into the computer, and they compare it with the so-called index sequence that was the first one like this published.
[02:21:49.873 --> 02:21:56.616]  And what happens is that every time they do this experiment, they cannot get the exact same results.
[02:21:57.436 --> 02:22:02.561]  And the reason that they cannot obtain the same results is because it's not a valid study.
[02:22:02.581 --> 02:22:04.063]  In other words, it's theoretical.
[02:22:04.423 --> 02:22:10.249]  It doesn't represent the real genetic sequence of an organism, only a computer-generated sequence.
[02:22:10.849 --> 02:22:14.813]  So each time, the sequence doesn't match exactly.
[02:22:14.873 --> 02:22:15.834]  It's slightly off.
[02:22:16.535 --> 02:22:20.679]  And in order to account for this, they call each one a new variant.
[02:22:21.679 --> 02:22:27.563]  And then they arbitrarily, it seems, designate which variant is causing the problem.
[02:22:28.184 --> 02:22:29.885]  Now, they've named many, many of these.
[02:22:29.905 --> 02:22:32.567]  There have been tens of thousands.
[02:22:33.129 --> 02:22:33.409]  I think?
[02:22:55.698 --> 02:22:59.681]  That it won't be, they won't be protected from the Delta variant.
[02:23:00.081 --> 02:23:16.174]  So when we come back after the break, I'm going to take an in-depth look at one of the papers, the most recent study put out that claims that this Delta variant is so dangerous and in fact that it breaks through people who are vaccinated.
[02:23:16.794 --> 02:23:21.378]  So I'm very excited to present that to you and we'll be back right after this break.
[02:23:22.566 --> 02:23:25.066]  Hello and welcome back to the Alex Jones Show.
[02:23:25.387 --> 02:23:27.507]  I'm your guest host, Dr. Andrew Kaufman.
[02:23:28.247 --> 02:23:38.169]  Before the break, we have been talking about PCR testing and emergency use authorization and we were just getting into the Delta variant.
[02:23:38.729 --> 02:23:49.871]  I had given a description about how these genome sequencing experiments are done and how the Delta variant is essentially a made-up computer simulation
[02:23:50.620 --> 02:23:51.240]  of a strain.
[02:23:51.681 --> 02:24:07.169]  And let me add that since I was talking about the gold standard among the virologists of doing a virus isolation or tissue culture experiment, there have been no attempts at doing this type of experiment for any of the variants that I have found.
[02:24:08.075 --> 02:24:24.742]  So I wanna take you to the next slide, which is a study that recent, this is the most recent study, and I have it in front of me here, entitled Transmission Event of SARS-CoV-2 Delta Variant Reveals Multiple Vaccine Breakthrough Infections.
[02:24:25.563 --> 02:24:31.585]  Now this was done by doctors at the Baylor College of Medicine in Houston, Texas.
[02:24:32.906 --> 02:24:35.747]  And what they said, and this is right here,
[02:24:37.139 --> 02:24:37.700]  Oh, you can't.
[02:24:38.240 --> 02:24:39.661]  Can you see it in this example?
[02:24:39.701 --> 02:24:42.203]  So I have a different version of this publication.
[02:24:42.243 --> 02:24:51.151]  But what it says here is that this study, quote, suggests Delta variant may possess immune evasion.
[02:24:51.171 --> 02:24:56.295]  Immune evasion means that it can make people sick who are already vaccinated.
[02:24:56.616 --> 02:25:01.740]  So you see that they have to very carefully hedge their language to say suggests and may
[02:25:02.963 --> 02:25:10.905]  Because they can't draw any clear conclusions from this poorly done scientific publication and study.
[02:25:11.745 --> 02:25:26.788]  So I want to give you the key points of how you can interpret this and obviously it is very fear-inducing to see that people now who put all their trust in a brand new so-called vaccine
[02:25:27.671 --> 02:25:36.717]  Have to now be afraid of getting the Delta variant and we know that the news media is blaming this on the unvaccinated that the Delta variant even exists.
[02:25:37.317 --> 02:25:43.941]  So we have a situation here that is potentially going to pit the vaccinated against the unvaccinated.
[02:25:44.402 --> 02:25:46.223]  So what are the key points of the study?
[02:25:46.763 --> 02:25:52.647]  So the first and most important point is that they used PCR testing
[02:25:53.635 --> 02:25:58.300]  To determine who was ill and who had COVID in this study.
[02:25:59.021 --> 02:26:08.151]  Now we know from the previous segments that the PCR test is not shown to actually diagnose COVID or SARS-CoV-2.
[02:26:09.375 --> 02:26:19.901]  And there has been no PCR specifically developed for the Delta variant that has been even given the emergency use authorization, let alone any approval.
[02:26:20.582 --> 02:26:28.887]  We know that the PCR test has not been validated, so any research based upon PCR analysis is thereby invalid.
[02:26:29.821 --> 02:26:37.006]  Now they also use the genome sequencing which is also theoretical and they use the same procedure that I described earlier.
[02:26:37.126 --> 02:26:39.048]  So that is also invalid.
[02:26:40.709 --> 02:26:45.012]  Now what they did was they followed people at a wedding.
[02:26:45.092 --> 02:26:50.056]  So I wonder if the investigators were guests at this wedding and got the idea to do this study.
[02:26:50.556 --> 02:26:56.741]  But two people from India came to the wedding and they tested negative on the
[02:26:58.832 --> 02:27:08.059]  Invalid PCR before they left India and then they got sick a few days after the wedding and supposedly they passed this on to four other people.
[02:27:08.579 --> 02:27:12.402]  Now, this wedding was not a wedding where human rights are respected.
[02:27:12.442 --> 02:27:18.566]  In fact, all the guests for this wedding were required to be vaccinated.
[02:27:19.106 --> 02:27:24.911]  So the couple that came from India got their vaccine just 10 days before they came to the wedding.
[02:27:25.691 --> 02:27:28.093]  Now, of course, it didn't point out
[02:27:28.897 --> 02:27:38.673]  That any of the other guests when they got vaccinated but we know that there were 92 guests and six of them fell ill.
[02:27:40.356 --> 02:27:43.220]  So they say that this is because
[02:27:44.019 --> 02:27:57.803]  The Delta variant, which they only identified using invalid testing protocols, was brought over by the couple from India and then spread to four other people at the wedding with whom they admitted having close contact with.
[02:27:58.463 --> 02:28:08.526]  Now, since all of the people at this wedding were vaccinated, why wouldn't we consider that the vaccines could actually be the cause of their illness?
[02:28:09.086 --> 02:28:09.646]  Now, if they
[02:28:10.433 --> 02:28:19.398]  Reported the timing of when the people who fell ill received their vaccines compared to when the other guests who did not fall ill received their vaccines.
[02:28:19.918 --> 02:28:20.659]  We could see.
[02:28:20.799 --> 02:28:36.047]  So, for example, if all six people were vaccinated within two weeks of the wedding and they're the only ones who got sick and the other people were vaccinated months earlier, then we would know that the vaccines were the cause of these illnesses.
[02:28:36.127 --> 02:28:38.108]  But this was not even considered.
[02:28:38.726 --> 02:28:55.899]  And this really follows a trend in medicine that investigators who perform medical research and this is especially true of doctors but also of PhD research scientists, they never consider that their treatment may actually be the cause of a negative outcome.
[02:28:56.479 --> 02:29:03.224]  This is something that is a big blind spot in this research and clearly needs to be addressed.
[02:29:04.495 --> 02:29:09.136]  Now, another fatal flaw of this experiment is that there is no control group.
[02:29:09.536 --> 02:29:18.179]  So, in other words, there's no other wedding where no one was vaccinated to see if any of those people got sick.
[02:29:18.259 --> 02:29:27.061]  And, of course, that would also tell us if the illness was caused by the vaccine because we would expect no one at the other wedding to be ill.
[02:29:28.192 --> 02:29:44.060]  So this is an example of the very poor quality of research that we have that is being used to manipulate and justify all the policies that we are facing here in this pandemic situation.
[02:29:45.061 --> 02:29:51.324]  So we really need to take a careful look at the systems that are put in place.
[02:29:51.944 --> 02:29:57.767]  And most of these systems are justified by the goal of protecting the public health.
[02:29:58.306 --> 02:30:06.129]  And they disregard anything about the individual situation or the individual's rights.
[02:30:07.110 --> 02:30:09.811]  So we have all kinds of fake news.
[02:30:11.092 --> 02:30:15.233]  And then we have, of course, the censorship that is coming.
[02:30:15.373 --> 02:30:16.654]  So recently,
[02:30:17.352 --> 02:30:30.780]  The Surgeon General of the United States gave a speech in which he talked about the major importance of misinformation and really this is because people are not running to get the vaccine.
[02:30:30.880 --> 02:30:34.122]  Pretty much everyone who wanted to get these vaccines I think has
[02:30:34.742 --> 02:30:35.462]  We're good to go.
[02:31:01.351 --> 02:31:15.038]  decided to fund millions of dollars to essentially help develop technology to further censor voices like you'll hear on this show across social media and other digital platforms.
[02:31:15.658 --> 02:31:25.983]  So we can see that our rights are being infringed upon in many different ways and information wars or info wars is one of the big
[02:31:26.573 --> 02:31:27.274]  Battlegrounds.
[02:31:27.975 --> 02:31:36.224]  So when we come back, we're going to shift gears and we're going to talk more about the vaccine situation in the context of emergency use authorization.
[02:31:37.005 --> 02:31:42.230]  Let me remind you that you're watching the Alex Jones Show and I'm your guest host, Dr. Andrew Kaufman.
[02:31:42.611 --> 02:31:43.492]  We'll see you in a few.
[02:31:44.474 --> 02:31:46.897]  Hello and welcome back to the Alex Jones Show.
[02:31:46.917 --> 02:32:00.451]  I'm your guest host, Dr. Andrew Kaufman, and today we've been talking about the PCR test, emergency use authorization, the Delta variant, and now we're going to shift into vaccine mandates.
[02:32:01.072 --> 02:32:03.094]  We could please have the next slide.
[02:32:06.301 --> 02:32:14.728]  And right here we have been hearing and this is one of the things that frankly bothers me the most about what's going on in the world right now.
[02:32:15.368 --> 02:32:34.183]  But we have employers, we have governments, we have universities and schools, we have school systems, we have hospitals and health care organizations all calling for mandates for their employees, students and associates and sometimes customers
[02:32:35.151 --> 02:32:38.192]  To get this experimental vaccine.
[02:32:38.913 --> 02:32:44.235]  So let's go back and talk a little bit more about the emergency use authorization.
[02:32:44.555 --> 02:32:45.396]  Next slide, please.
[02:32:46.336 --> 02:32:56.641]  Because every product that is being marketed and sold in the context of this pandemic is only been granted emergency use authorization.
[02:32:56.721 --> 02:33:02.624]  There are no products that have actually been approved as safe and effective by the FDA.
[02:33:03.337 --> 02:33:05.839]  So what is emergency use authorization?
[02:33:06.560 --> 02:33:16.827]  So under an EUA, FDA may allow the use of unapproved medical products or unapproved uses of approved medical products in an emergency.
[02:33:17.988 --> 02:33:28.356]  So it's unapproved products in an emergency to diagnose, treat, or prevent serious or life-threatening diseases or conditions when certain statutory criteria have been met.
[02:33:29.051 --> 02:33:34.952]  Including that there are no adequate, approved, and available alternatives.
[02:33:36.193 --> 02:33:51.476]  Okay, so let's look at this really closely because this is the context from which all of these products, including the vaccines, and now we're really talking here about the vaccines, and I want to explain that these are not traditional vaccines.
[02:33:51.536 --> 02:33:52.016]  In fact,
[02:33:52.714 --> 02:34:00.281]  The dictionaries of the world had to modify their definitions of vaccines to include this current technology.
[02:34:00.782 --> 02:34:07.208]  Now what these are is these are genetic based therapies or gene therapies and there are different kinds.
[02:34:07.428 --> 02:34:12.553]  I know that many of you have heard a lot of information about this but there are the mRNA
[02:34:13.368 --> 02:34:13.968]  We're good to go!
[02:34:38.328 --> 02:34:44.953]  And in fact, there are almost no gene therapies at all that have been granted approval for use.
[02:34:45.374 --> 02:34:50.217]  So we are basically combining two technologies here, vaccines and gene therapy.
[02:34:50.678 --> 02:34:53.940]  So there is no precedent for this.
[02:34:55.161 --> 02:35:01.006]  But nonetheless, let's look at the next slide because let's see, is there actually an emergency?
[02:35:01.718 --> 02:35:09.643]  Now, the federal government and the Department of Health and Human Services still maintain their emergency status and they've been renewing it every 90 days.
[02:35:10.183 --> 02:35:29.835]  However, among the states, you can see from the map in the middle that solid blue or dark gray means that those states are open and no longer have a state of emergency declared and you can see that it is practically every state except Hawaii.
[02:35:29.855 --> 02:35:29.895]  So,
[02:35:31.772 --> 02:35:45.943]  We have all of the states have lifted their states of emergency and that signifies that there is no longer the required context for EUA authorization according to the states.
[02:35:46.063 --> 02:35:55.431]  Now the the Health and Human Services Department needs to get in line with all of the states because that is their job.
[02:35:56.031 --> 02:36:00.915]  Okay, so if we go to the next slide, let's look at the other criteria.
[02:36:01.954 --> 02:36:07.440]  Is there an alternative treatment that is safe and effective?
[02:36:07.680 --> 02:36:11.444]  And I want to point here to this is a review article.
[02:36:11.504 --> 02:36:19.852]  Now, I don't know how it's possible to have a review article in such a short time because we've only experienced this pandemic for a year and a half.
[02:36:20.412 --> 02:36:24.657]  And a review article means it's reviewing all of the studies that have already been
[02:36:25.237 --> 02:36:25.577]  Done.
[02:36:26.057 --> 02:36:30.299]  And in this case, they have not just a review, but it's a meta-analysis.
[02:36:30.800 --> 02:36:46.787]  And that is a very powerful mathematical technique when they take multiple studies, but not just the studies, they actually take all of the data or the results from those studies and put them in one set of results, like combining them, and then they analyze that.
[02:36:47.047 --> 02:36:51.088]  And meta means that it's beyond the results of any individual study.
[02:36:51.489 --> 02:36:54.530]  This is like a summary of all the research on the topic.
[02:36:55.353 --> 02:37:01.756]  And we have one here for ivermectin in the prophylaxis and treatment of COVID-19 in such a short time.
[02:37:02.276 --> 02:37:06.137]  And it said that there were 18 randomized controlled treatment trials.
[02:37:06.558 --> 02:37:14.501]  Now if we compare that with any of the vaccines that have been given authorization, they've only had one
[02:37:16.222 --> 02:37:18.223]  trial, randomized controlled trial.
[02:37:19.044 --> 02:37:21.305]  And it didn't even look at the important outcomes.
[02:37:21.405 --> 02:37:27.308]  But here we have 18 different RCTs that were combined into a meta-analysis.
[02:37:27.828 --> 02:37:31.010]  And if we read the conclusions, this is what it said.
[02:37:32.430 --> 02:37:42.075]  Meta-analysis based on 18 randomized controlled trials, treatment trials of ivermectin in COVID-19 have found large, statistically significant
[02:37:42.805 --> 02:37:48.647]  Reductions in mortality, time to clinical recovery, and time to viral clearance.
[02:37:48.727 --> 02:38:07.573]  Now, not one study of the vaccine used mortality as an endpoint, so we don't even know if lives are saved, but here we know from ivermectin that there is a large reduction in mortality, so a large life-saving benefit, and time to viral clearance.
[02:38:07.793 --> 02:38:08.253]  Furthermore,
[02:38:09.238 --> 02:38:25.029]  Results from numerous controlled prophylaxis trials, now that is prevention, so that is actually the same thing that the vaccine is designed to do, report significantly reduced risks of contracting COVID-19 with the regular use of ivermectin.
[02:38:25.750 --> 02:38:38.119]  So, we see here that not only is ivermectin proved to be effective at preventing COVID-19 infections, but also not only can treat it,
[02:38:39.491 --> 02:38:42.912]  And make you recover faster, but actually saves lives.
[02:38:43.073 --> 02:38:47.695]  And this has been proven by a meta-analysis, which is a very, very powerful analysis.
[02:38:48.195 --> 02:38:56.858]  So we see that the two criteria required for emergency use authorization, that neither of them have been fulfilled.
[02:38:57.739 --> 02:39:01.721]  When we look, take a closer look at what the research shows.
[02:39:03.061 --> 02:39:07.323]  Now I'm going to shift to a very shocking, but important document.
[02:39:09.157 --> 02:39:11.158]  Next, and this is on the next slide.
[02:39:11.718 --> 02:39:21.322]  Now, this is an opinion paper that came out on this issue of mandating the experimental vaccines for employers.
[02:39:22.023 --> 02:39:27.485]  So we have Donna Johnson, who is the acting assistant attorney general.
[02:39:28.628 --> 02:39:42.795]  Prepare this opinion as of July 6th and it's called whether section 554 of the Food Drug and Cosmetic Act prohibits entities from requiring the use of a vaccine subject to an emergency use authorization.
[02:39:43.215 --> 02:39:52.379]  So what that really means is can employers or schools require in order to receive certain services
[02:39:53.137 --> 02:39:53.757]  I don't know.
[02:40:14.400 --> 02:40:19.162]  But it's really fascinating, the reasoning, and we're going to certainly go into detail.
[02:40:19.682 --> 02:40:25.884]  But one of the things that needs to be clear is that you have to look just at the context of this opinion.
[02:40:25.985 --> 02:40:27.565]  So first of all, this is an opinion.
[02:40:28.065 --> 02:40:31.107]  It has not been adjudicated in a courtroom setting.
[02:40:31.587 --> 02:40:39.930]  Okay, this is prepared by the Deputy Counsel to the President in order to advise the President on policy decisions.
[02:40:40.070 --> 02:40:42.131]  Okay, so this is not binding in court.
[02:40:42.881 --> 02:40:49.942]  In other words, if you were an employee required by your employer to get the vaccine, you could still sue them.
[02:40:50.762 --> 02:40:54.703]  This opinion does not have any effect over any individual.
[02:40:54.803 --> 02:40:57.864]  So we need to take it very carefully with a grain of salt.
[02:40:58.424 --> 02:41:06.885]  And I'm also going to look a little bit into the background of Donna Johnson who prepared the report to see what her motivations might be.
[02:41:06.905 --> 02:41:11.106]  So we're going to explore this further and then talk a bit about
[02:41:12.512 --> 02:41:15.114]  about human subject research when we come back.
[02:41:15.635 --> 02:41:20.238]  And this is the Alex Jones Show, and I'm your guest host, Dr. Andrew Kaufman.
[02:41:20.359 --> 02:41:21.239]  We'll see you in a few.
[02:41:22.080 --> 02:41:22.560]  Hello!
