[00:00:00.425 --> 00:00:01.425]  So here's the big announcement.
[02:13:02.130 --> 02:13:04.731]  And you can't lose because you also fund the InfoWar.
[02:13:05.032 --> 02:13:06.532]  Welcome to the Alex Jones Show.
[02:13:06.572 --> 02:13:08.913]  I'm your guest host, Jay Dyer of Jay's Analysis.
[02:13:09.493 --> 02:13:12.755]  Today, I'm going to give an analysis of something that we've all heard of.
[02:13:12.795 --> 02:13:14.276]  We probably read it in high school.
[02:13:14.736 --> 02:13:15.456]  Yeah, yeah, yeah.
[02:13:15.496 --> 02:13:16.356]  We know we're living in 1984.
[02:13:18.203 --> 02:13:28.897]  I recently went back and read it again and watched the movie, and obviously the book's a lot better, but there's something, I think, there's a lot of things that we have missed.
[02:13:28.937 --> 02:13:35.446]  I mean, this book is so profound now, so telling that it actually deserves an entire treatment.
[02:13:36.113 --> 02:13:39.557]  And again, I'm sure most people are familiar with the overall story.
[02:13:39.637 --> 02:13:48.427]  Okay, there's Big Brother and yeah, he surveils, you know, everybody in society and everybody's put under these, you know, tyrannical boot, you know, of the police state and all this.
[02:13:48.447 --> 02:13:49.228]  That's true, but
[02:13:49.915 --> 02:13:59.198]  There's so many pieces of nuance, so many details that deserve to be covered, that I beg you, please go listen to this on audio.
[02:13:59.238 --> 02:14:02.559]  If you don't have time to read it, if you drive to work, listen to 1984.
[02:14:03.519 --> 02:14:10.601]  Because the story is coming from a guy who had seen both sides of the dialectic, right?
[02:14:10.621 --> 02:14:15.983]  He had seen different intelligence agencies and their secret police, how they worked at different times.
[02:14:16.787 --> 02:14:18.488]  I'm speaking of Eric Blair.
[02:14:18.848 --> 02:14:31.314]  He has seen the communist, dialectic, the socialists, and even the Western power structure and their so-called democracy really all kind of being these systems that are used to manipulate people.
[02:14:32.175 --> 02:14:33.015]  And to what end?
[02:14:33.315 --> 02:14:39.198]  Well, if you saw recently, Klaus Schwab had said that now it's time for the Great Reset.
[02:14:39.278 --> 02:14:41.139]  In fact, I think Alex covered this a couple of days ago.
[02:14:41.199 --> 02:14:44.421]  He said that, you know, COVID, all of this is our opportunity.
[02:14:44.481 --> 02:14:45.502]  It's our great opportunity.
[02:14:45.542 --> 02:14:46.282]  Don't ever let
[02:14:46.986 --> 02:14:48.107]  A crisis go to waste.
[02:14:48.707 --> 02:14:54.111]  This is our opportunity to reset all of society to year zero, basically, right?
[02:14:54.531 --> 02:14:59.735]  And bring in this technocratic order by which you'll have a universal basic income.
[02:15:00.255 --> 02:15:08.261]  And essentially what he's talking about is the combining the elements of Western capitalism with Eastern socialism.
[02:15:09.021 --> 02:15:15.946]  And that synthesis, which is a Hegelian philosophical idea, to synthesize two opposing structures produces
[02:15:16.758 --> 02:15:16.998]  Right.
[02:15:17.798 --> 02:15:24.860]  This higher level order, at least that's how the philosophy of dialectics and Hegelianism and Marxism thinks.
[02:15:24.960 --> 02:15:25.181]  Right.
[02:15:25.781 --> 02:15:32.683]  And so the idea would be that the super state that's created out of these kind of smashing the things together would be that higher level next order.
[02:15:33.543 --> 02:15:38.365]  Now, again, Eric Blair, George, he wrote this book in 1947, 48.
[02:15:39.565 --> 02:15:46.447]  So he was privy apparently to what the Royal Society, the Western elite, the Atlanticist establishment had planned
[02:15:47.102 --> 02:15:56.924]  For the global order, and so people like Klaus Schwab, Bill Gates, they represent the kind of technocrats that he's talking about with the inner party, right?
[02:15:56.945 --> 02:15:58.165]  The O'Brien, right?
[02:15:58.205 --> 02:16:09.508]  This O'Brien type of character is perfect as an image, as an archetype of the kind of people that are now saying openly that it's time to bring in this technocratic year zero Great Reset.
[02:16:09.528 --> 02:16:10.668]  Where's year zero come from?
[02:16:11.454 --> 02:16:17.797]  Well, if you remember in the book, Winston is writing at this sort of ambiguous period after a revolution.
[02:16:18.497 --> 02:16:28.602]  There was a great revolution that occurred to overthrow this older bourgeois, this older control structure that supposedly now Big Brother had saved everybody from.
[02:16:28.622 --> 02:16:39.607]  And Big Brother has this powerful propaganda outlet, right, the Ministry of Truth, by which they rewrite history and they rewrite the news as it comes out.
[02:16:40.470 --> 02:16:48.535]  OK, so the news that comes out in the novel is fake news, fake news, literally fake news.
[02:16:48.935 --> 02:16:52.698]  OK, so we were told about fake news a long time ago in this story.
[02:16:53.518 --> 02:16:57.061]  And I want to stress that this is not just a fiction novel.
[02:16:57.161 --> 02:16:59.902]  It's not just a dystopian story.
[02:17:00.843 --> 02:17:05.466]  It's actually a really profound study in psychological warfare.
[02:17:06.454 --> 02:17:17.373]  And this is an important discipline for understanding how the world works, what we're going through in today's society, how to break down these supposed false dialectics, the fake news, the psi war.
[02:17:20.822 --> 02:17:21.642]  Excuse me there.
[02:17:21.902 --> 02:17:23.983]  Anytime I break out these old books, I start sneezing.
[02:17:25.283 --> 02:17:27.503]  Mind war, psi war, these are key elements.
[02:17:27.603 --> 02:17:32.104]  And that's really the big weapon, right, that Big Brother has over the population.
[02:17:32.164 --> 02:17:44.687]  And so when we come back after this break, we're going to break down the mind war, the psi war, the super state, the power block structure that Big Brother had broken the world into in its technocracy, which was a powerful prediction, right?
[02:17:44.827 --> 02:17:48.088]  Somewhat 50, 60 years ago, where we are today.
[02:17:48.703 --> 02:17:49.263]  Don't go anywhere.
[02:17:49.283 --> 02:17:50.204]  This is The Alex Jones Show.
[02:17:50.224 --> 02:17:50.904]  I'm Jay Dyer.
[02:17:51.625 --> 02:17:53.546]  Welcome back to The Alex Jones Show.
[02:17:53.566 --> 02:17:56.228]  I'm your guest host, Jay Dyer of jaysanalysis.com.
[02:17:57.209 --> 02:18:09.336]  If you want my books, by the way, where I cover these kinds of things in film and fiction, go to my website and you can find the shop section there and you can get signed copies of my books, Esoteric Hollywood 1 and 2, which again, covers this stuff.
[02:18:09.536 --> 02:18:14.260]  Now we were talking about how Big Brother had broken the world up into these power blocks.
[02:18:15.120 --> 02:18:16.401]  And Winston, of course, lives in
[02:18:17.151 --> 02:18:17.611]  I don't
[02:18:35.126 --> 02:18:36.307]  East Asia, right?
[02:18:36.367 --> 02:18:40.330]  That they're in war with, a perpetual war, right?
[02:18:40.790 --> 02:18:45.894]  So the revolution, we learned, didn't end, even though it brought in this technocratic world government.
[02:18:46.295 --> 02:18:48.897]  It's a never-ending perpetual revolution.
[02:18:50.258 --> 02:18:59.405]  And there's another key, and of course in its, you know, compliment, you could say cousin book, Brave New World, that Aldous Huxley wrote, if you read that and you read the introduction,
[02:19:00.023 --> 02:19:01.608]  That Aldous Huxley wrote in that novel.
[02:19:01.668 --> 02:19:06.923]  It's really important because Huxley says in the introduction to the novel that this is not a fiction story.
[02:19:06.943 --> 02:19:08.306]  It's not just some dystopia.
[02:19:09.338 --> 02:19:17.762]  I'm actually telling you what my brother, Julian, and the people at the UNESCO Royal Society, the plan that they have for the technocracy to bring in.
[02:19:17.782 --> 02:19:26.167]  So this is an expose, a kind of gaslighting in a way, because I don't believe that Aldous was a hero who was telling us the truth.
[02:19:26.207 --> 02:19:28.648]  I think he was in on this as well as the rest of these people.
[02:19:29.609 --> 02:19:35.912]  Perhaps Orwell was trying to tell the truth because he had seen from the inside how this is a managed dialectic.
[02:19:36.431 --> 02:19:40.592]  So the super states, as we said, are all kind of ruled by this inner party.
[02:19:41.033 --> 02:19:43.233]  And the inner party is kind of like a secret society.
[02:19:43.253 --> 02:19:44.434]  We don't know a lot about it.
[02:19:44.594 --> 02:19:46.975]  Winston has scant details about it.
[02:19:47.095 --> 02:19:53.037]  He just knows that they're kind of revered and given this priest of power kind of reverence and deferment, right?
[02:19:53.057 --> 02:19:56.998]  They're worshipped because they have raw power.
[02:19:57.998 --> 02:20:06.021]  And Winston starts to realize as he's working in the ministry of truth, that as he's basically mandated with updating history,
[02:20:06.956 --> 02:20:10.458]  Because there is no such thing as objective truth in history.
[02:20:11.198 --> 02:20:14.519]  So, Big Brother's world is relativistic, right?
[02:20:15.179 --> 02:20:19.601]  But it's not a pure relativism where there's no such thing as truth, there's no such thing as right and wrong.
[02:20:20.081 --> 02:20:26.024]  Objectively, it's a mandated truth that the system gives to you.
[02:20:26.724 --> 02:20:28.825]  So, in other words, Big Brother is truth.
[02:20:29.185 --> 02:20:31.306]  The party is truth, right?
[02:20:31.366 --> 02:20:34.507]  In fact, I just had a debate with an atheist not too long ago and
[02:20:35.177 --> 02:20:44.361]  The first thing he said in his opening statement was something to the effect that, look, truth is just simply whatever the collective majority of scientists say it is.
[02:20:45.201 --> 02:20:55.606]  Because he's literally mimicking and echoing the very point of Orwell's novel, which is that truth is whatever the party says it is.
[02:20:56.906 --> 02:20:58.427]  And this is crucial to understand that
[02:20:59.221 --> 02:21:05.944]  This occurred because Big Brother was successful in demoralizing the population, right?
[02:21:06.024 --> 02:21:06.804]  Who's the population?
[02:21:06.824 --> 02:21:07.885]  Well, they're called the proles.
[02:21:07.925 --> 02:21:10.065]  They're called the proletariat, the working class, right?
[02:21:10.146 --> 02:21:13.087]  The middle class and the lower class.
[02:21:14.567 --> 02:21:25.812]  And what Big Brother had done in terms of the revolution and over time was basically so beat them down and so demoralized them through intentional confusion and contradictions
[02:21:26.536 --> 02:21:29.458]  That the society actually developed a dissociative state?
[02:21:30.539 --> 02:21:34.442]  Yes, 1984 is literally about trauma-based mind control.
[02:21:35.365 --> 02:21:39.746]  And you think, well, that sounds like a weird conspiracy thing and that's in culture or something.
[02:21:39.886 --> 02:21:41.146]  How is that this fiction novel?
[02:21:41.206 --> 02:21:59.330]  Because if you get to the end of the novel, which we'll get to in a second, but getting a little ahead of myself, Big Brother lays out the metaphysics of Big Brother, the philosophy of Big Brother, the reality that Big Brother has, the ethics that Big Brother has, the epistemology or the doctrine of knowledge that Big Brother has.
[02:22:00.190 --> 02:22:12.834]  And those scenes where he's going through the torture with, you know, with Winston are so powerful precisely because they give this terrifying dark logic, you could say, of the technocratic system.
[02:22:13.554 --> 02:22:26.498]  But before we get to that, I want to point out some of the other insights that we were given, which was that the first thing Winston notices as he's, you know, figuring out the Big Brother's full of contradictions is that
[02:22:27.284 --> 02:22:28.665]  They're told every day that they're free.
[02:22:28.885 --> 02:22:31.826]  They're told every day, right, that the system loves them.
[02:22:31.866 --> 02:22:35.588]  They're told every day, right, that it's essentially a liberal system.
[02:22:36.209 --> 02:22:39.911]  It's liberal and loving, even though it's totally brutal.
[02:22:40.431 --> 02:22:44.073]  It's totally a culture of death, a cult of death, basically.
[02:22:44.593 --> 02:22:48.435]  And in fact, O'Brien will more or less say that at the end of the book, that it's a death cult.
[02:22:50.034 --> 02:23:04.777]  But everybody had been so dissociated and so put into a double think state, a double mind, mind control state, that whatever they were told, even though in their face the reverse was true, they believed the inversion.
[02:23:05.537 --> 02:23:16.740]  So to get to a place where the population believes inversion, psychological warfare specialists, social engineers, right, they have to perfect the technique
[02:23:17.489 --> 02:23:19.130]  Of demoralizing the population.
[02:23:19.611 --> 02:23:25.015]  Because when you've demoralized the population, this is part of the strategy of how you overthrow a population.
[02:23:25.856 --> 02:23:27.517]  All the way back to Sun Tzu.
[02:23:27.817 --> 02:23:30.799]  All the way back to even Machiavelli's book, Art of War, right?
[02:23:30.840 --> 02:23:36.464]  He has an Art of War as well that talks about all these techniques and strategies to demoralize the enemy.
[02:23:37.184 --> 02:23:43.109]  So if you demoralize the enemy, they don't have a basis from which to judge true and false, to judge right and wrong.
[02:23:43.710 --> 02:23:46.712]  Thus, the super state loves relativism
[02:23:47.666 --> 02:23:49.467]  And basically subjectivism.
[02:23:49.707 --> 02:23:53.990]  Now, I hope you know what that is, but if you don't, it's just simply the idea that there's nothing true.
[02:23:54.690 --> 02:23:56.111]  Whatever floats your boat, dude.
[02:23:56.751 --> 02:23:56.931]  Right?
[02:23:56.971 --> 02:23:57.832]  My truth is my truth.
[02:23:57.852 --> 02:23:58.772]  Your truth is your truth.
[02:23:59.013 --> 02:24:00.293]  Why does the state love that?
[02:24:01.494 --> 02:24:12.300]  Well, if the state is able to have that as the majority view amongst its population, then most people are going to defer to whatever the state says.
[02:24:12.360 --> 02:24:15.622]  The state now becomes the incarnation of truth.
[02:24:16.394 --> 02:24:17.795]  It becomes the arbiter of truth.
[02:24:18.576 --> 02:24:24.020]  It will tell you what vaccines do, regardless of what they actually do.
[02:24:24.461 --> 02:24:26.042]  No, no, it doesn't matter what happens.
[02:24:26.442 --> 02:24:29.565]  If we say that this will save you, it will save you.
[02:24:30.025 --> 02:24:31.967]  It doesn't matter if millions of people end up dead.
[02:24:32.587 --> 02:24:35.750]  None of that matters because do what we say because we say so.
[02:24:36.650 --> 02:24:39.172]  And if you object to this, you're mentally insane.
[02:24:39.212 --> 02:24:44.757]  So that's the next key point here is that a lot of people miss the fact 1984 is a medical dictatorship.
[02:24:44.817 --> 02:24:45.998]  It's a medical tyranny.
[02:24:46.812 --> 02:24:51.213]  Because Winston is constantly told that his life is healthy, right?
[02:24:51.593 --> 02:24:52.774]  He's got victory gin.
[02:24:52.794 --> 02:24:54.014]  He's got victory smokes.
[02:24:54.614 --> 02:24:57.935]  Everything that he has in his life, which is just this dismal, right?
[02:24:57.975 --> 02:25:03.397]  Like a gray blue jean worker outfit existence, right?
[02:25:03.757 --> 02:25:07.118]  He's told that he's healthy, he's free, and he's prosperous.
[02:25:07.958 --> 02:25:10.019]  And some days they even give him chocolate, right?
[02:25:10.811 --> 02:25:12.092]  And what does Klaus say?
[02:25:12.152 --> 02:25:16.837]  You're going to eat, you're going to eat the bugs, you're going to eat the sewage, you're going to eat the pizza, right?
[02:25:16.877 --> 02:25:21.961]  All of these things Klaus is telling us we're going to do is basically the life that you see in 1984.
[02:25:22.702 --> 02:25:23.663]  That's Winston's life.
[02:25:24.343 --> 02:25:28.567]  But Winston starts to realize that something's wrong here, right?
[02:25:29.028 --> 02:25:35.573]  And perhaps he thinks there's hope in the resistance that O'Brien initially thinks is leading.
[02:25:35.613 --> 02:25:37.195]  He suspects that there's this kind of
[02:25:37.839 --> 02:25:44.741]  Revolution against this counterinsurgency against Big Brother that maybe O'Brien is kind of the head of.
[02:25:45.861 --> 02:25:50.143]  Now, ironically, Winston's suspicions are kind of on point, right?
[02:25:50.163 --> 02:26:03.006]  Like he's kind of correct, if you know the story, that there is some truth to the notion that O'Brien is involved in the figure of Emanuel Goldstein and this revolution against Big Brother.
[02:26:03.586 --> 02:26:05.267]  But as you all know, spoiler alert,
[02:26:06.082 --> 02:26:18.008]  It's actually O'Brien that has written the manual of oligarchical collectivism that is Immanuel Goldstein, the fictional terrorist or revolutionary force against Big Brother.
[02:26:18.308 --> 02:26:24.971]  It's O'Brien himself that has written the text and manual for opposing Big Brother.
[02:26:26.883 --> 02:26:35.330]  Now, if we think about this and applying to what Alex talked about in the first couple hours, isn't it interesting that, do you remember what we saw with the QAnon nonsense, right?
[02:26:35.370 --> 02:26:45.278]  We saw this idea of Operation Trust, going back to what Bolsheviks did, where they had a false, right, opposition that was actually led by the system.
[02:26:45.959 --> 02:26:50.963]  And what they did through this was to smoke out all of the potential counter-revolutionaries.
[02:26:53.125 --> 02:26:54.966]  That's exactly what O'Brien does in 1984.
[02:26:57.637 --> 02:26:59.939]  Emmanuel Goldstein is a front.
[02:27:00.299 --> 02:27:01.080]  It's a cutout.
[02:27:02.341 --> 02:27:13.731]  And by the way, isn't it interesting that he's a terrorist and throughout 1984, they're conducting a war on terror by an opponent created and controlled by the system.
[02:27:14.692 --> 02:27:18.495]  Well, it sounds exactly like the Mujahideen, Al Qaeda, Bin Laden.
[02:27:18.855 --> 02:27:19.516]  Exactly right.
[02:27:19.816 --> 02:27:20.416]  ISIS, right?
[02:27:20.497 --> 02:27:23.319]  Western created things that become a
[02:27:23.792 --> 02:27:27.933]  Skeleton key, right, for wherever we want to then go in and invade.
[02:27:29.313 --> 02:27:30.653]  You're listening to the Alex Jones Show.
[02:27:30.673 --> 02:27:33.174]  I'm breaking down found things in 1984.
[02:27:33.254 --> 02:27:35.194]  J. Dyer, Jason Alasdair.
[02:27:35.374 --> 02:27:36.094]  Don't go anywhere.
[02:27:36.114 --> 02:27:37.374]  Stay right there.
[02:27:38.255 --> 02:27:39.615]  Welcome back to the Alex Jones Show.
[02:27:39.635 --> 02:27:41.475]  I'm your guest host, J. Dyer, Jason Alasdair.
[02:27:41.695 --> 02:27:52.297]  We are breaking down 1984 and all the profound and nuanced insights into the modern day, where we are in this technocratic emergent dictatorship.
[02:27:53.118 --> 02:27:57.942]  And I was speaking of the way that Big Brother mind control people.
[02:27:59.082 --> 02:28:00.503]  I want to point out the rituals, too.
[02:28:00.684 --> 02:28:03.165]  There's this notion of humiliation rituals.
[02:28:03.205 --> 02:28:12.472]  And remember that in the conception of Eric Blair, Orwell, the problem would be something communistic, right?
[02:28:12.492 --> 02:28:17.395]  It would be this authoritarian police state dictatorship with the boots, you know, stamping on your face.
[02:28:17.976 --> 02:28:20.438]  And then there's an insight, I think, that
[02:28:21.596 --> 02:28:22.096]  I think so.
[02:28:35.547 --> 02:28:36.528]  Vegetable state, right?
[02:28:36.548 --> 02:28:43.394]  Like you just lay around basically stoned out of your mind all day long on these different pharmaceuticals, Soma as it's called in the novel.
[02:28:43.795 --> 02:28:47.038]  And maybe that would be a better way to actually make people love their servitude.
[02:28:47.458 --> 02:29:00.130]  So there's definitely an element that, you know, Huxley got right that was missing in 1984, but there's no shortage of the jackboot kind of stuff going on, especially with the lockdowns that we've seen now that was in 1984.
[02:29:01.611 --> 02:29:05.335]  And on top of that, remember that yes, there is the mass surveillance state.
[02:29:05.555 --> 02:29:09.258]  Literally everything that he does is surveilled.
[02:29:09.719 --> 02:29:18.887]  In fact, there's a great scene in the movie where the John Hurt character playing Winston Smith, he basically has to huddle in the corner because that's the only area in his apartment where the cameras
[02:29:19.487 --> 02:29:33.204]  Right or the TV screens don't watch him and so another predictive prophetic element that all of the TV screens all the devices the listening devices the communication devices are two-way and you're being recorded you're being listened to at all times.
[02:29:33.999 --> 02:29:45.567]  Another, I think, terrifying element to this is that they weren't just concerned with outward forms of tyranny, outward forms of expression against Big Brother, writing a book or having secret meetings.
[02:29:46.107 --> 02:29:49.770]  They were concerned with your thoughts, with your thought processes.
[02:29:49.810 --> 02:30:02.118]  In other words, they want to know and make sure that you're not just outwardly giving deference to Big Brother, but that there's not even any mental option of defying Big Brother.
[02:30:03.644 --> 02:30:08.755]  Now, Orwell is giving you the plan of the elite of the last hundred years at least.
[02:30:08.976 --> 02:30:10.799]  He's telling you that that's their mindset.
[02:30:11.601 --> 02:30:12.764]  And if you think, well, now, wait a minute.
[02:30:14.367 --> 02:30:17.589]  Is there any evidence that they might try to do this to actually control thought?
[02:30:18.010 --> 02:30:18.270]  Yes.
[02:30:19.090 --> 02:30:34.661]  And again, this may seem a little crazy or a little out there, but if you look into like the article you just saw there about the proteins, if you look into the possibilities of what nanotech can do and perhaps might be the case with these stabbies that everybody's getting,
[02:30:35.250 --> 02:30:36.731]  I mean, there is the potentiality here.
[02:30:36.771 --> 02:30:37.912]  We don't even know what's in these.
[02:30:37.932 --> 02:30:39.973]  We don't know what is really going on for sure.
[02:30:40.033 --> 02:30:40.893]  We have some ideas.
[02:30:40.913 --> 02:30:42.694]  There's a lot of speculation, a lot of whistleblowers.
[02:30:43.095 --> 02:30:44.535]  But the effects of this are unknown.
[02:30:44.595 --> 02:30:51.379]  In fact, you might actually get a situation where people can literally be mind controlled via signals, right?
[02:30:51.419 --> 02:30:57.403]  Via ELF, via VLF, through the nanotech, through the magnetized particulate that's going into people.
[02:30:58.063 --> 02:30:59.504]  And so that would be even beyond.
[02:31:00.350 --> 02:31:00.851]  We're good.
[02:31:15.914 --> 02:31:21.316]  If CERN blasted us into the wrong timeline, where basically we're getting every dystopia blended together.
[02:31:22.336 --> 02:31:28.438]  But one thing they didn't get was the total clown world cartoon level of the dystopia, right?
[02:31:28.478 --> 02:31:34.980]  I mean, again, even Orwell, even Aldous Huxley couldn't have predicted the cartoonish absurdity of what we see.
[02:31:35.780 --> 02:31:41.322]  But again, if you know the psychological warfare study that's going on here in 1984, you can begin to see it.
[02:31:43.211 --> 02:31:45.012]  So I want to talk about the espionage elements, right?
[02:31:45.032 --> 02:31:54.238]  The control of thought, the psi war that Big Brother does, which is so effective because on the one hand, it's really intricate.
[02:31:54.678 --> 02:31:56.879]  But on the other hand, it's also really simplistic, right?
[02:31:57.399 --> 02:31:58.900]  Because we know Big Brother is evil.
[02:31:58.940 --> 02:32:02.042]  We know he's out for control and he wants to control the mind.
[02:32:02.342 --> 02:32:03.863]  So he's interested in mind control.
[02:32:04.724 --> 02:32:07.986]  So what's he going to do to do it to affect this mind control?
[02:32:08.046 --> 02:32:10.027]  As we said, he creates a fake resistance.
[02:32:10.067 --> 02:32:11.988]  First of all, it's actually called the Brotherhood.
[02:32:12.768 --> 02:32:18.892]  So I don't know if that's the, you know, to give perhaps a deference to or a nod to Freemasonry or something like that.
[02:32:18.932 --> 02:32:25.936]  I don't know, but it's basically a secret society that Big Brother has created as its fake resistance, its controlled opposition.
[02:32:27.257 --> 02:32:36.102]  Meanwhile, Big Brother says, let's destroy the language so that the prole, so that the population can't even effectually communicate.
[02:32:36.142 --> 02:32:41.085]  Because if they could communicate, they might could create art, literature,
[02:32:42.293 --> 02:32:47.217]  Truth, commerce, anything that would show objectivity and truth outside of Big Brother.
[02:32:48.038 --> 02:33:05.673]  So you see the reason, and this is a really profound insight on the part of Orwell, the reason that Big Brother has to control all thought, all actions, and language, all meaning, is because if it were to allow freedom, if it were to allow things outside of its
[02:33:06.687 --> 02:33:12.408]  its definitions and determinations of what is true, then it would show that Big Brother isn't God.
[02:33:13.708 --> 02:33:17.449]  And that's essentially what Big Brother is doing, is being and becoming God.
[02:33:18.049 --> 02:33:19.850]  Think of the empires of the past.
[02:33:19.890 --> 02:33:24.210]  Think of Nero, right, in the Roman Empire, or Pharaoh in Egypt, right?
[02:33:24.650 --> 02:33:30.032]  The representative of the whole universe is the Emperor, is the God-Man, right?
[02:33:30.112 --> 02:33:32.212]  And he demands you to worship him,
[02:33:33.186 --> 02:33:35.347]  And then you can basically do whatever you want, right?
[02:33:35.408 --> 02:33:41.872]  In the first 300 years of Christianity, this is why there were so many martyrs, is because the martyrs wouldn't admit that Caesar's God.
[02:33:42.612 --> 02:33:47.595]  But a lot of people don't know that you could have any religion you wanted as long as you said Caesar's God.
[02:33:47.976 --> 02:33:52.158]  Yeah, go worship those other gods, just remember that you do what we say.
[02:33:52.759 --> 02:33:56.381]  And the same temptation has existed for any state
[02:33:57.119 --> 02:34:06.569]  In history, to step into that place and decide that they're God, to control the churches, to control religion, to control everything in society, basically they have to become God.
[02:34:07.090 --> 02:34:10.113]  That's the dark logic of the status system.
[02:34:11.061 --> 02:34:17.007]  In 1984 is the ultimate status system, and it's the ultimate prediction of where we are now.
[02:34:17.348 --> 02:34:27.438]  Remember too that in British intelligence, at least the way the Official Secrets Act worked in Britain, people that worked in intelligence couldn't write openly about what they had seen.
[02:34:28.580 --> 02:34:29.360]  So what did they do?
[02:34:29.421 --> 02:34:31.603]  Well, many of them would write fiction.
[02:34:32.446 --> 02:34:38.970]  And this is kind of the beginning of what we might call fiction propaganda or predictive programming, right?
[02:34:38.990 --> 02:34:44.753]  You would get writers like Graham Greene where they would write their intelligence exploits into the fiction.
[02:34:44.833 --> 02:34:49.696]  So you would get more truth in the fiction than you would get in the Ministry of Truth's fake news that they would put out.
[02:34:50.236 --> 02:34:51.837]  And this is another example of this, right?
[02:34:51.877 --> 02:34:56.020]  Orwell is telling us that this is how the priests of power work in their system.
[02:34:56.701 --> 02:34:59.922]  Even to the point where he predicts social justice warriors.
[02:35:00.022 --> 02:35:09.585]  Yes, the youth justice leagues that go around basically tattletaling on anybody who says something about a woman being beautiful or something like, you can't do that, right?
[02:35:10.005 --> 02:35:10.565]  You're evil.
[02:35:10.625 --> 02:35:12.686]  You have to become shouted down, right?
[02:35:12.726 --> 02:35:18.507]  You get these two minutes of hate, which are public humiliation rituals, the two minutes of hate, right?
[02:35:18.627 --> 02:35:20.268]  Where you scream at a screen.
[02:35:21.348 --> 02:35:24.669]  He predicted social justice warriors ratting out their parents.
[02:35:25.467 --> 02:35:26.849]  Welcome back to the Oxygen Show.
[02:35:26.869 --> 02:35:28.731]  I'm your guest host, Jay Dyer of Jay's Analysis.
[02:35:28.751 --> 02:35:30.313]  You know, we were talking about the priests of power.
[02:35:30.333 --> 02:35:38.683]  We were talking about the techniques of social engineering and social justice lawyering that exists in 1984.
[02:35:39.103 --> 02:35:44.750]  Yes, it was the youth leagues that were tasked with pointing out the moral infractions, right?
[02:35:44.790 --> 02:35:45.531]  Pointing out the
[02:35:47.132 --> 02:35:48.593]  The harnessing of the youth, right?
[02:35:48.653 --> 02:35:52.413]  Like the youth in Mao's revolution, right?
[02:35:52.473 --> 02:35:59.175]  To overthrow the society so that everybody was basically in fear and in terror of being ratted out to Big Brother.
[02:35:59.755 --> 02:36:00.735]  Now, that exists now.
[02:36:00.915 --> 02:36:03.596]  We've seen this in other countries.
[02:36:03.656 --> 02:36:05.336]  We see this in the U.S.
[02:36:05.356 --> 02:36:07.677]  We see it where COVID is right now.
[02:36:07.817 --> 02:36:09.237]  You can rat people out for COVID.
[02:36:09.257 --> 02:36:11.917]  You can rat people out for their infractions, right?
[02:36:11.937 --> 02:36:14.578]  Deplatform them for social justice violations.
[02:36:15.118 --> 02:36:18.320]  At the same time, as we're told, there's no such thing as right and wrong.
[02:36:18.480 --> 02:36:25.665]  There's no good and evil, that's a fiction, but it's wrong, right, to violate the laws of social justice morality.
[02:36:26.025 --> 02:36:31.928]  So it makes no sense, it's totally contradictory, but that's the point of 1984, is that contradictions are truth.
[02:36:31.968 --> 02:36:32.989]  Truth is contradiction.
[02:36:37.332 --> 02:36:39.814]  Truth is whatever Big Brother says it is.
[02:36:40.435 --> 02:36:42.897]  And that's why, again, language had to be destroyed.
[02:36:42.977 --> 02:36:51.423]  Language had to be brought down to a debased level so that you couldn't communicate and you couldn't say anything objectively true.
[02:36:51.483 --> 02:36:56.848]  There is no such thing as objectivity other than the objectivity that Big Brother says is the case.
[02:36:58.076 --> 02:37:01.559]  I mentioned perpetual war, I mentioned the fake revolution.
[02:37:02.020 --> 02:37:07.924]  Now remember that this includes a kind of a fake counter-revolution and re-education.
[02:37:08.925 --> 02:37:16.091]  Winston is eventually taken to be re-educated and that's because he had wrong think.
[02:37:16.131 --> 02:37:22.857]  He had these ideas that he could learn and discover truth apart from what Big Brother dictated was the truth.
[02:37:23.958 --> 02:37:26.860]  And he's punished for this and it's a collective punishment.
[02:37:27.284 --> 02:37:33.975]  The rest of the society is then tasked with excommunicating and humiliating and not having anything to do with him.
[02:37:35.504 --> 02:37:46.492]  And so I want to just remember all of the elements, right, of the strategies of the Cold War, of what happens during the periods of the Bolshevik Revolution, of communism.
[02:37:46.532 --> 02:37:53.737]  They're being applied now, not in a communist way, in a strict communist way, but in a melding of the two.
[02:37:53.777 --> 02:37:57.920]  Monopoly capitalism and the, you could say, socialism, right?
[02:37:58.986 --> 02:38:00.346]  Marxist collectivism.
[02:38:00.386 --> 02:38:04.987]  They're being melded together, the worst elements of both of them, into today's society.
[02:38:05.407 --> 02:38:14.829]  And that's why Klaus is now saying, you can see him talking about, right, the melding of these older orders into the new order, right, the Great Reset.
[02:38:15.309 --> 02:38:16.469]  Why is it called the Great Reset?
[02:38:16.489 --> 02:38:26.231]  Well, it's a reset because in the philosophy of the Weishaupt Illuminists, right, the Jacobins, they had this idea that we had to have year one.
[02:38:27.711 --> 02:38:38.483]  We're out of year one because you can't have a reference to a history that tells you something about you, your tradition, your past, because that would be contrary to Big Brother's narrative.
[02:38:38.683 --> 02:38:44.710]  Big Brother's narrative is that all the past was an oppressor-oppressed narrative, right?
[02:38:45.424 --> 02:38:46.724]  There was an oppressor group.
