[00:00:01.348 --> 00:00:02.509]  The corrupt U.S.
[02:54:48.724 --> 02:54:49.605]  We've got all sorts of things.
[02:54:50.125 --> 02:54:52.107]  And also, share this.
[02:54:52.767 --> 02:54:53.948]  God bless Alex Jones.
[02:54:54.708 --> 02:54:55.369]  Alex was right.
[02:54:55.509 --> 02:54:56.970]  Trends all the time because it should.
[02:54:57.794 --> 02:55:01.555]  And yeah, thanks Alex for giving me the opportunity as usual.
[02:55:02.115 --> 02:55:05.176]  And God willing, we kick these guys ass.
[02:55:05.236 --> 02:55:07.297]  Yeah, we're warriors in the same trench, brother.
[02:55:07.417 --> 02:55:07.957]  I thank you.
[02:55:07.997 --> 02:55:08.778]  We're all in this together.
[02:55:09.198 --> 02:55:10.358]  We're in the same boat bailing.
[02:55:10.518 --> 02:55:11.158]  God bless you, sir.
[02:55:11.979 --> 02:55:12.339]  Thank you.
[02:55:13.059 --> 02:55:13.399]  All right.
[02:55:14.239 --> 02:55:16.040]  We've got another great guest host.
[02:55:16.440 --> 02:55:19.161]  Who's coming on next to take over here?
[02:55:20.381 --> 02:55:22.482]  Maria Z. Look,
[02:55:25.407 --> 02:55:26.128]  The numbers are out.
[02:55:26.188 --> 02:55:28.869]  They admit cancer everywhere, death everywhere, right when the shots begin.
[02:55:28.949 --> 02:55:29.830]  It's a fact, they did it.
[02:55:30.270 --> 02:55:32.872]  They're testing to see if we put up with it for something far worse.
[02:55:33.392 --> 02:55:38.576]  Now I'm not going to run to some countryside place in the middle of nowhere and just ride this out.
[02:55:39.236 --> 02:55:41.978]  I made the decision to go down with the ship because I believe in you, okay?
[02:55:42.899 --> 02:55:48.263]  And believe me, the Holy Spirit tells me to do it, but my flesh looks at my children and says,
[02:55:49.392 --> 02:55:51.333]  Every day, man, just run for the hills, brother.
[02:55:52.034 --> 02:55:53.955]  But we're going to lose if we do that.
[02:55:54.335 --> 02:55:55.536]  We're not running for the hills.
[02:55:56.336 --> 02:55:58.518]  They'll fly over with drones and spread us the cancer viruses.
[02:55:59.258 --> 02:56:00.479]  We've got to do this now.
[02:56:00.499 --> 02:56:03.061]  We've got to face the enemy now, like in Braveheart.
[02:56:04.215 --> 02:56:12.145]  So many years from now, laying in our beds, we don't wish that just once we'd have stood up to our enemies and said, you can take our lives, but you'll never take our freedom.
[02:56:12.806 --> 02:56:13.988]  I need your support, though.
[02:56:14.028 --> 02:56:17.492]  Take every article, every video, everything I post on X, and share it.
[02:56:17.612 --> 02:56:20.896]  And go to InfoWarsTour.com and get Violent Mineral Fusion.
[02:56:21.883 --> 02:56:24.927]  And get the other great products that are there.
[02:56:25.388 --> 02:56:27.670]  Because that's what funds us, plus their amazing products.
[02:56:28.171 --> 02:56:30.234]  And go to DrJonesNaturals.com.
[02:56:30.534 --> 02:56:31.916]  That's my dad sponsoring us.
[02:56:32.657 --> 02:56:35.440]  And whatever happens to them full of wars, it's key to support that in the future.
[02:56:35.600 --> 02:56:36.301]  Mark that down.
[02:56:36.722 --> 02:56:39.625]  DrJonesNaturals.com because I'm not going to make it a big thing about us.
[02:56:40.640 --> 02:56:44.524]  I think you have a family member, you know, that's got cancer and his family died a month later at their funeral.
[02:56:44.544 --> 02:56:45.706]  They're like, God, they didn't make a big deal about it.
[02:56:45.726 --> 02:56:46.206]  They're dead.
[02:56:46.987 --> 02:56:49.330]  We are on the edge of oblivion here, but it's okay.
[02:56:49.650 --> 02:56:53.955]  The sign of us being attacked is a sign of our victory, but I need your support.
[02:56:54.335 --> 02:56:58.440]  I need you to go to drjonesnaturals.com, drjonesnaturals.com, and get...
[02:56:58.900 --> 02:57:05.082]  The Nano, Silver, Iodine, Tea Tree, Peppermint, Non-Fluoride, Toothpaste, Super Blue.
[02:57:05.422 --> 02:57:08.143]  I need you to get Next Level Financial Energy and see how great it is.
[02:57:08.384 --> 02:57:09.684]  And you'll always order it again.
[02:57:10.004 --> 02:57:12.125]  Nobody else is promoting stuff this good.
[02:57:12.505 --> 02:57:13.645]  Our information is amazing.
[02:57:13.966 --> 02:57:14.926]  Our products are amazing.
[02:57:15.226 --> 02:57:16.927]  DrJonesNaturals.com
[02:57:18.444 --> 02:57:24.229]  Our InfoWarsStore.com provided Mineral Fusion books, films, t-shirts, and I hope we're still here in three, four months.
[02:57:24.729 --> 02:57:26.071]  The stuff's ready to ship right now.
[02:57:26.511 --> 02:57:29.694]  You should support InfoWars now while you still can and DrJonesNationals.com.
[02:57:29.814 --> 02:57:30.875]  All right.
[02:57:32.897 --> 02:57:42.345]  Maria Z is ready to take over straight ahead from the front lines of the InfoWars as Australia calls for Elon Musk arrest.
[02:57:42.805 --> 02:57:43.486]  Stay with us.
[02:57:47.788 --> 02:57:48.148]  I think so.
[02:58:06.255 --> 02:58:06.776]  I think so.
[02:58:29.636 --> 02:58:32.197]  There is nothing more frustrating to me
[02:58:51.843 --> 02:59:00.558]  Whether it comes to news or anything else we're doing, then to know I'm telling the truth and to know they'll just listen to me and take action, it will change your life.
[02:59:01.417 --> 02:59:04.798]  Ladies and gentlemen, we have two great products that have been sold out for a long time.
[02:59:05.158 --> 02:59:07.919]  They're now back in stock at InfowarStore.com.
[02:59:08.520 --> 02:59:11.941]  X3 is the highest quality iodine, the missing link.
[02:59:12.421 --> 02:59:14.342]  It is back in stock, 40% off.
[02:59:14.502 --> 02:59:20.044]  And so is TurboForce, 10-hour clean energy, naturally released.
[02:59:20.244 --> 02:59:21.004]  It is amazing.
[02:59:21.445 --> 02:59:23.625]  Both of these products fund the Infowar.
[02:59:24.266 --> 02:59:26.847]  So they could be placebo and it'd still be great because you're funding Infowar.
[02:59:27.147 --> 02:59:27.567]  They're not.
[02:59:28.207 --> 02:59:31.149]  If you'll just try TurboForce, you'll see the results in 30 minutes.
[02:59:31.449 --> 02:59:33.790]  Incredible energy for 10 hours without the letdown.
[02:59:34.150 --> 02:59:39.913]  But if you will just take X3 on average for about two weeks, you will see amazing results because it's the missing link.
[02:59:40.553 --> 02:59:46.776]  X3 and TurboForce, both discounted now for a limited time at InfoWarsTore.com.
[02:59:49.718 --> 02:59:55.621]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:00:07.765 --> 03:00:20.768]  I think people are getting quite agitated right out there now outside, Pete, and those anti-vaxxers out there, that 20-30%, the ones out there protesting on the streets and doing that sort of thing, I think you're going to find the rest of us coming at you lock, stock and barrel.
[03:00:21.388 --> 03:00:27.550]  And we're going to be putting the pressure on you fairly hard because the rest of us that are trying to do the right thing by the country and our kids,
[03:00:28.030 --> 03:00:30.272]  And get vaccinated and do the right thing.
[03:00:30.292 --> 03:00:37.236]  I think for you, we're going to start to get even more agitated and we're going to start to get more hardcore and I think that's what you're going to see.
[03:00:37.297 --> 03:00:40.299]  Massive division out there and it'll be us on the front foot.
[03:00:40.659 --> 03:00:41.720]  That's what I think is going to happen.
[03:00:41.740 --> 03:00:46.343]  I think the tide is going to turn on those anti-vaxxers out there and you are really going to feel the heat.
[03:00:48.496 --> 03:00:50.158]  Welcome back to the Alex Jones Show.
[03:00:50.198 --> 03:00:57.468]  I'm your guest host, Maria Z. And that clip that I just aired you is an embarrassment to our nation, really.
[03:00:57.528 --> 03:01:02.855]  Her name is Jackie Lambie, who previously threatened to come after anti-vaxxers.
[03:01:03.456 --> 03:01:08.280]  And is now calling publicly for Elon Musk to be jailed.
[03:01:08.380 --> 03:01:10.862]  And of course, she's deleted her ex account now.
[03:01:10.922 --> 03:01:14.645]  She says it's because she's boycotting the platform.
[03:01:14.685 --> 03:01:21.071]  But really, most of the people are feeling that it is just because she's embarrassed herself.
[03:01:21.811 --> 03:01:38.767]  We have the Prime Minister in the wake of the the tragic stabbing of the Bishop coming out and attacking Elon Musk pretty much by, well it is completely bipartisan support now to accelerate miss and disinformation laws
[03:01:39.367 --> 03:01:51.192]  In Australia, and let me tell you, they have, through urgent court orders, made sure that no one can see that video of the stabbing of that bishop.
[03:01:51.352 --> 03:02:03.276]  They say that they're doing it to protect the community, but what it really is, is a classic case of the government wanting to seize control of the internet through the e-safety commissioner, Julie Inman.
[03:02:03.296 --> 03:02:07.658]  Granted, we have very, very few politicians standing up to them, but one
[03:02:08.211 --> 03:02:09.833]  Is Senator Ralph Babbitt.
[03:02:09.913 --> 03:02:20.262]  He has been a fierce defender of human rights, liberty, the rights of children, the rights of every single man, woman and child to bodily autonomy.
[03:02:20.602 --> 03:02:28.689]  He's gone after the government regarding excess deaths and we are very, very proud to have him as a senator and he joins us today.
[03:02:28.769 --> 03:02:30.431]  Senator Ralph Babbitt, thank you so much.
[03:02:32.071 --> 03:02:36.272]  G'day Maria and g'day to the audience of InfoWars.
[03:02:36.592 --> 03:02:37.633]  I'm glad to be here.
[03:02:37.693 --> 03:02:39.313]  It's very early here in Australia.
[03:02:39.413 --> 03:02:41.334]  It's now actually, where is it?
[03:02:41.614 --> 03:02:45.175]  It's 5am here so I'm a little bit dusty but I'm glad to be here.
[03:02:45.515 --> 03:02:54.237]  Let's have a talk about what's been going on in our country recently because our country, I'm going to be honest here, we're a bit of a laughing stock right now with what's happening here.
[03:02:55.771 --> 03:03:02.173]  It is a laughing stock and it is very embarrassing to see some of our Senators behaving this way.
[03:03:02.193 --> 03:03:09.476]  Team, if you can just play that clip of Jackie Lambie talking about how we want to see Elon Musk jailed.
[03:03:15.626 --> 03:03:18.267]  Elon Musk has no social conscience or conscience whatsoever.
[03:03:18.627 --> 03:03:22.268]  I don't know, whatever Elon Musk is on, it says that that's okay.
[03:03:22.528 --> 03:03:25.289]  To continue to air that is absolutely disgusting behaviour.
[03:03:25.749 --> 03:03:27.589]  And quite frankly, the bloke should be jailed.
[03:03:27.869 --> 03:03:35.812]  And the sooner that we can bring rules in or do something about this sort of game playing with our social media, the better off we're going to be.
[03:03:35.832 --> 03:03:41.733]  But quite frankly, the power that that man has, because of that platform that he's on, it's got to stop.
[03:03:41.813 --> 03:03:43.674]  It has absolutely got to stop.
[03:03:45.874 --> 03:03:47.875]  Right, so she's called for him to be jailed.
[03:03:48.255 --> 03:03:51.216]  Kudos to Ozverse, the agenda there, for clipping that.
[03:03:51.516 --> 03:03:53.316]  Give him a follow on X, he does some great work.
[03:03:54.097 --> 03:04:03.500]  And so, this person that was previously talking about hunting down anti-vaxxers, essentially, is now saying we should jail Elon Musk.
[03:04:04.120 --> 03:04:11.702]  But the problem is, as hilarious as this behaviour is, Senator Babbitt, we have bipartisan support of this Miss and Disinformation Bill.
[03:04:11.722 --> 03:04:13.503]  So we're currently up against a break.
[03:04:14.043 --> 03:04:27.613]  When we come back, Senator Babbitt, I'd love to just give you the floor to talk about the journey of this Miss and Disinfo Bill, how the government is exploiting these tragedies, exploiting the victims, to call for more censorship.
[03:04:28.453 --> 03:04:29.234]  17 complaints.
[03:04:29.676 --> 03:04:46.080]  To the ACMA, the media regulatory authority in Australia, 17 complaints and Anthony Albanese, Anthony Albanese says that this is indicative that the whole nation wants X silenced.
[03:04:46.400 --> 03:04:50.601]  The Rumble CEO is saying they're seeing a request like never before from Australia.
[03:04:50.641 --> 03:04:52.041]  We are in serious trouble.
[03:04:52.341 --> 03:04:54.282]  We'll be back with Senator Babbitt right after the break.
[03:05:02.478 --> 03:05:07.302]  InfoWars is listener supported and we appreciate your donations.
[03:05:07.922 --> 03:05:10.724]  But buy a product and support your health too.
[03:05:13.106 --> 03:05:18.970]  The curcuminoids in turmeric is one of nature's most powerful and beneficial medicines.
[03:05:19.591 --> 03:05:24.074]  Raw turmeric root contains about 5% of this incredible medicine.
[03:05:25.195 --> 03:05:29.018]  But our bodies has been formulated to contain over 95%.
[03:05:31.317 --> 03:05:36.718]  This makes bodies one of the most powerful natural antioxidants in the world.
[03:05:38.699 --> 03:05:45.981]  Combined with other natural herbs, bodies will help improve mobility, flexibility, and immunity.
[03:05:47.741 --> 03:05:48.622]  Get some today.
[03:05:49.502 --> 03:05:50.822]  Now 40% off.
[03:05:51.903 --> 03:05:56.124]  Support your health and support the InfoWar at InfoWarStore.com.
[03:06:04.293 --> 03:06:15.921]  Senator Ralph Babbitt is here with us today and he has tweeted defying the tyrannical e-safety commissioner who thinks that she can censor the entire internet.
[03:06:16.381 --> 03:06:19.123]  And he is saying, I will not remove this video.
[03:06:19.383 --> 03:06:22.985]  Without free speech, our nation will fall.
[03:06:24.186 --> 03:06:26.247]  Senator Ralph Babbitt is here with us today.
[03:06:26.327 --> 03:06:29.569]  We are so, so grateful for him, a fierce defender of free speech.
[03:06:29.609 --> 03:06:33.552]  So Senator Babbitt, talk us through from sort of the outset
[03:06:33.932 --> 03:06:34.093]  Well...
[03:06:43.547 --> 03:06:55.076]  It was Rahm Emanuel who said, and I'm paraphrasing, he said, never let a crisis go to waste because you can use a crisis to do things that you couldn't do without that crisis.
[03:06:55.116 --> 03:07:00.261]  You can get people to accept things that they wouldn't have accepted without that crisis.
[03:07:00.581 --> 03:07:05.485]  Now it doesn't matter if that crisis is real, if that crisis is imagined,
[03:07:06.215 --> 03:07:15.766]  If that crisis is something that the government has had a hand in putting together themselves, the point is the government will use a crisis to push an agenda.
[03:07:15.786 --> 03:07:18.268]  They'll never put it down and let it go away.
[03:07:18.749 --> 03:07:20.511]  This is exactly what they've done here.
[03:07:21.269 --> 03:07:26.133]  They've used an apparent crisis, which was a stabbing.
[03:07:26.533 --> 03:07:28.515]  It's a sad thing that's happened.
[03:07:29.076 --> 03:07:30.297]  I wish it didn't happen.
[03:07:30.657 --> 03:07:32.999]  But the priest who was stabbed survived.
[03:07:33.279 --> 03:07:33.960]  He's okay.
[03:07:34.020 --> 03:07:36.121]  He's already forgiven his attacker.
[03:07:36.422 --> 03:07:46.210]  But they've used that as a pretext to push through misinformation and disinformation laws that they've always wanted to pass in the first place.
[03:07:46.670 --> 03:07:53.096]  Now, this mis- and disinformation laws that they've been cooking up is supported by both the major parties.
[03:07:53.196 --> 03:07:55.618]  It's supported by the left major party.
[03:07:55.738 --> 03:07:58.420]  It's supported by the right major party.
[03:07:58.520 --> 03:08:00.882]  In fact, it was our Liberal Party.
[03:08:00.902 --> 03:08:03.745]  So, in Australia, the Liberal Party is the party of free speech.
[03:08:03.785 --> 03:08:05.947]  It's the party of centre-right conservative values.
[03:08:06.207 --> 03:08:07.508]  But it is called the Liberal Party.
[03:08:07.528 --> 03:08:10.551]  So, for you Americans out there, just bear with me.
[03:08:11.111 --> 03:08:19.522]  This idea was put together, was cooked up in the first place by the Liberal Party, so in a way that would be like our Republicans.
[03:08:19.902 --> 03:08:24.127]  They cooked this up during the last term that they were in power.
[03:08:24.588 --> 03:08:30.155]  They decided that, hey, we can't push this through, we don't have enough time, they lost the last election.
[03:08:30.695 --> 03:08:36.057]  So our left-leaning party picks it up, which would be akin to the Democratic Party in the United States.
[03:08:36.437 --> 03:08:39.538]  They pick it up and then they try and ram it through.
[03:08:39.898 --> 03:08:45.240]  So this censorship legislation, this idea, it has bipartisan support.
[03:08:45.840 --> 03:08:47.021]  Now you've got to think of this.
[03:08:47.859 --> 03:09:03.209]  How does a piece of legislation, which the idea for it came out under one party, magically reappear under another party after the next election, when that previous party loses power?
[03:09:03.569 --> 03:09:16.717]  This is an example of what Donald Trump likes to call the deep state, the bureaucrats, where it doesn't matter which party is in power, if there's an agenda to be pushed, that agenda will be pushed if the left
[03:09:16.817 --> 03:09:17.117]  Thank you.
[03:09:37.273 --> 03:09:38.554]  We're good to go.
[03:09:57.873 --> 03:10:10.710]  This whole exercise is about getting Elon Musk and it's about getting X. It's not about taking down content that the government thinks we shouldn't be allowed to see.
[03:10:11.483 --> 03:10:14.705]  It's about getting X and it's about getting Elon Musk.
[03:10:14.865 --> 03:10:17.427]  That's what it's about because they don't like free speech.
[03:10:17.487 --> 03:10:23.691]  They want to control narratives and X makes it so that it's very difficult for them to control narratives.
[03:10:24.011 --> 03:10:31.336]  A free citizen can use X in real time to see real information and criticize the government.
[03:10:31.696 --> 03:10:34.117]  That's a big no-no when it comes to the Australian Government.
[03:10:34.137 --> 03:10:35.758]  They don't want you to have that kind of power.
[03:10:35.798 --> 03:10:44.283]  So we need to push back against the Government as much as we can and we need to defend X and we need to defend what Elon Musk is doing.
[03:10:44.423 --> 03:10:48.805]  I ask everyone out there to get on X and create an account if you haven't done so already.
[03:10:50.216 --> 03:10:52.196]  Yeah, I absolutely agree with you, Senator Babbitt.
[03:10:52.216 --> 03:10:56.537]  I want to play a clip of Julie Inman, Grant team, if you can cue that up.
[03:10:56.897 --> 03:11:01.698]  She is the person that is really the face of this e-safety commission.
[03:11:01.738 --> 03:11:13.341]  The problem that we have, and this is why this matters to everyone, not just Australians, this person is telling Elon Musk that he must censor this video globally.
[03:11:14.187 --> 03:11:17.030]  She doesn't want this information anywhere in the world.
[03:11:17.110 --> 03:11:29.682]  So she's now really reaching past Australia and trying to control the information that Americans see, that, you know, people in France see.
[03:11:29.782 --> 03:11:31.243]  I mean, this is unbelievable.
[03:11:31.603 --> 03:11:35.807]  Play that clip for us, Tim, if you can, and then I'll give a couple of words about this lunatic.
[03:11:37.403 --> 03:11:40.764]  Well, we have a range of graduated powers.
[03:11:41.624 --> 03:11:45.445]  There could be civil proceedings, and we could take them to court, or we could fine them.
[03:11:45.845 --> 03:11:50.586]  Of course, the quantum of the fine would depend on the gravity of the non-compliance.
[03:11:51.066 --> 03:11:55.287]  But we can use graduated tools, like linked leisure notices.
[03:11:55.787 --> 03:12:05.729]  So if they fail to remove the content, then we can go to the search engines, such as Google or Bing, to really minimize the amount of content the Australians can see.
[03:12:07.495 --> 03:12:20.343]  Right, so it's about minimising the amount of content that Australians can see, but then the Global Affairs Department of X basically came out and said that this is an attempt to control information globally.
[03:12:20.383 --> 03:12:22.564]  It's not just trying to censor it in Australia.
[03:12:23.024 --> 03:12:24.745]  Really briefly on Julianne McGrath.
[03:12:24.785 --> 03:12:28.846]  She recently and Senator Malcolm Roberts tweeted about this team.
[03:12:28.866 --> 03:12:30.766]  You've got that tweet.
[03:12:31.166 --> 03:12:38.708]  $40,000 in taxpayer money to visit the World Economic Forum where she goes to talk about controlling speech online and how we need to regulate speech.
[03:12:39.248 --> 03:12:41.749]  She's actually a former Twitter employee so perhaps
[03:12:42.373 --> 03:12:48.736]  Many people have speculated that she's disgruntled and just coming after X and free speech because of that.
[03:12:48.776 --> 03:12:57.381]  But the most egregious thing, in my opinion, Senator Babbitt, is that she tried to censor Billboard Chris in Canada.
[03:12:57.401 --> 03:13:09.607]  And actually, in Australia, you can't view Billboard Chris's original tweet about Teddy Cook, who is a UN trans expert, I suppose, who posts
[03:13:09.767 --> 03:13:16.328]  Posts naked selfies on the beach online and posts promoting bestiality.
[03:13:16.488 --> 03:13:23.870]  And eSafety has actually worked with this individual, Teddy Cook, before, who actually does post illegal things.
[03:13:23.930 --> 03:13:27.371]  Now, this video that you've shared, Senator Babbitt, is not illegal.
[03:13:27.431 --> 03:13:32.932]  So can you talk to us about the double standards here and why you chose to repost the video?
[03:13:32.952 --> 03:13:36.953]  Because the media and the government, I suppose, is coming after you now.
[03:13:38.645 --> 03:13:39.469]  They are, they are.
[03:13:39.549 --> 03:13:41.881]  So I posted the video to make a stand.
[03:13:42.541 --> 03:13:53.326]  If something is not illegal, I have the right to, especially as a sitting senator, I have the right to talk about it and I have the right to share it.
[03:13:53.826 --> 03:14:11.595]  People may make the argument, they might say, oh you shared a video and by the way the bishop who was attacked in the terrorist attack is okay, he is making a full recovery, he's fine, he's not dead, he is alive, he is okay and he has already forgiven his attacker.
[03:14:12.282 --> 03:14:23.506]  If I can't share a video about something that really happened in Australia, happened to an Australian citizen, happened on live stream here in Australia, I can't share it, I can't talk about it.
[03:14:24.006 --> 03:14:31.608]  If I bend the knee to such a thing, where is our country going to end up in a year, in two years, in ten years?
[03:14:31.969 --> 03:14:39.171]  If we allow this eSafety Commissioner, if we allow the Australian Government to start taking down things that are true.
[03:14:39.771 --> 03:14:41.572]  It's not going to end up in a good place.
[03:14:41.892 --> 03:14:46.594]  Someone might make the argument, oh, you're sharing something which was an illegal act.
[03:14:47.395 --> 03:14:47.975]  No, I'm not.
[03:14:48.375 --> 03:14:51.056]  I am sharing something that genuinely did happen.
[03:14:51.096 --> 03:14:54.538]  The illegal act is of a terrorist that stabbed the bishop.
[03:14:55.258 --> 03:14:59.321]  I, making commentary on it and showing the video is not the illegal act.
[03:14:59.601 --> 03:15:01.623]  They'll say, oh what about child pornography?
[03:15:01.903 --> 03:15:02.704]  That's illegal.
[03:15:02.884 --> 03:15:03.804]  You can't share that.
[03:15:03.864 --> 03:15:04.905]  That's very different.
[03:15:05.225 --> 03:15:06.386]  It's illegal to film.
[03:15:06.686 --> 03:15:07.767]  It's illegal to share.
[03:15:08.067 --> 03:15:10.089]  It's illegal to partake in child pornography.
[03:15:10.189 --> 03:15:11.510]  Completely different.
[03:15:12.210 --> 03:15:15.893]  They are conflating two things that are not the same.
[03:15:16.373 --> 03:15:17.814]  And that's what they like to do.
[03:15:17.894 --> 03:15:22.698]  They like to use an extreme example to shut down legitimate speech.
[03:15:23.158 --> 03:15:24.439]  And I won't let them do it.
[03:15:25.380 --> 03:15:27.781]  I will not bend the knee to big government.
[03:15:27.881 --> 03:15:30.203]  I will not bend the knee to big censorship.
[03:15:30.523 --> 03:15:31.824]  And I have to make a stand.
[03:15:32.145 --> 03:15:33.726]  That's why I shared the video.
[03:15:34.086 --> 03:15:36.928]  If anyone wants to see it, jump on YouTube.
[03:15:36.968 --> 03:15:37.969]  It's still on YouTube.
[03:15:38.209 --> 03:15:39.470]  Have a look at my monologue.
[03:15:39.490 --> 03:15:42.012]  It was a seven minute monologue with a short
[03:15:42.592 --> 03:15:51.700]  Seven or so second clip of the actual attack and I have the right as a sitting senator to make commentary about current affairs in our country.
[03:15:51.740 --> 03:15:53.382]  This was a news event.
[03:15:53.722 --> 03:15:54.623]  That's what this was.
[03:15:54.863 --> 03:16:01.389]  If they can shut down my reporting on a news event as a sitting senator, what can they do to you at home?
[03:16:01.769 --> 03:16:06.574]  I don't think the average Australian really understands how dangerous this precinct is.
[03:16:07.034 --> 03:16:09.195]  This is incredibly dangerous.
[03:16:09.635 --> 03:16:17.479]  If we let this go now, you can bet your bottom dollar that it will only get worse, it will not get better.
[03:16:17.739 --> 03:16:23.201]  They will turn the screws and they will keep pushing for more and more and more censorship.
[03:16:23.541 --> 03:16:27.263]  And before you know it, you will not be able to say diddly squat.
[03:16:27.783 --> 03:16:36.250]  Anywhere in our country, anywhere on social media, anywhere on mainstream media, anywhere at all, the government will completely control what you can and can't say.
[03:16:36.670 --> 03:16:40.774]  Look at what they do in Communist China, where you don't have the right to speak.
[03:16:41.154 --> 03:16:45.618]  If you think that we're not going to end up there, you're extremely naive.
[03:16:45.998 --> 03:16:49.300]  It's exactly where the globalists want to take us.
[03:16:49.561 --> 03:16:52.263]  The model for the West is China.
[03:16:52.663 --> 03:16:56.427]  That is what they want, and they are getting it right now.
[03:16:56.667 --> 03:16:58.269]  Elon Musk is in their way.
[03:16:58.549 --> 03:17:04.596]  We must do everything we can to support this man, and we must do everything we can to protect free speech.
[03:17:04.836 --> 03:17:08.400]  Without free speech, we do not have a democracy anymore.
[03:17:08.760 --> 03:17:09.501]  It's gone.
[03:17:12.009 --> 03:17:12.610]  Absolutely.
[03:17:12.630 --> 03:17:24.198]  And in terms of where it can lead, Viva Frey just shared, Tim, I don't know if you've got his ex-account handy, but he said this is an actual bill being proposed by the NDP in Canada.
[03:17:24.238 --> 03:17:26.980]  There is no limit to their desired tyranny.
[03:17:27.320 --> 03:17:30.062]  They will not be happy until they control your very thoughts.
[03:17:30.622 --> 03:17:35.844]  So basically the aim is to criminalise positive speech about fossil fuels.
[03:17:36.364 --> 03:17:42.666]  Okay, so you can't even have the discussion about fossil fuels and whether they may or may not be positive.
[03:17:42.726 --> 03:17:44.447]  No, you just can't talk about them.
[03:17:44.887 --> 03:17:53.090]  And if you dare deny anything about climate change or even have the conversation about it, you can face a fine up to $500,000 or two years in prison.
[03:17:56.860 --> 03:18:14.783]  Senator Babbitt, so when Senator Lambie in her unhinged, you know, really unstable rant threatened to come after Australians lock, stock and barrel because they didn't want to inject themselves like lab rats with something that we now know is so dangerous.
[03:18:15.148 --> 03:18:20.831]  The COVID shots, 17 million deaths worldwide, conservatively per Dennis Rancor.
[03:18:22.672 --> 03:18:36.859]  So if she can threaten Australians in that manner for not wanting to experiment with their bodies, what lengths will these types of people go to on the topic of, say, something like climate change?
[03:18:37.580 --> 03:18:38.600]  You don't need to go to China.
[03:18:38.660 --> 03:18:39.541]  It's happening in Canada.
[03:18:40.521 --> 03:18:46.143]  Well, look, the government would like to say, look, we need censorship because misinformation is spreading.
[03:18:46.623 --> 03:18:49.964]  The governments are the biggest purveyors of misinformation that there are.
[03:18:50.004 --> 03:18:52.045]  Like you just said, safe and effective.
[03:18:52.105 --> 03:18:53.585]  How's that for misinformation?
[03:18:54.485 --> 03:19:02.228]  Masks will stop you catching COVID when masks arguably made you worse and, you know, gave some people breathing problems.
[03:19:02.748 --> 03:19:03.168]  How's that?
[03:19:04.268 --> 03:19:08.390]  A woman is anyone who self-identifies as a woman.
[03:19:08.630 --> 03:19:09.930]  How's that for misinformation?
[03:19:10.210 --> 03:19:15.692]  Not the bits that you're born with, but if you feel like it, you're a woman.
[03:19:15.932 --> 03:19:17.172]  There's your misinformation.
[03:19:17.192 --> 03:19:19.773]  I mean, global boiling.
[03:19:20.073 --> 03:19:30.116]  The world's going to end in a set number of years because the world is on fire and it's boiling, where we've just had our coldest morning in the state of South Australia recently.
[03:19:30.596 --> 03:19:32.137]  I mean, it's absolutely ridiculous.
[03:19:32.417 --> 03:19:37.219]  The government themselves spread misinformation all of the time.
[03:19:37.579 --> 03:19:42.261]  Like I said before, what they're worried about is you being able to speak freely.
[03:19:42.601 --> 03:19:47.123]  That's what they're really worried about and that's what they're going to use this crisis to push.
[03:19:47.544 --> 03:19:50.405]  Controlling speech online.
[03:19:50.765 --> 03:19:55.067]  And it's all about getting social media companies, it's all about getting X.
[03:19:55.507 --> 03:20:00.709]  They don't have to worry about your mainstream legacy media channels, they already control those people.
[03:20:01.049 --> 03:20:04.471]  That's easy to control them, because it's a closed system.
[03:20:04.731 --> 03:20:10.633]  They want to control you, mum and dad at home now, you free citizen at home now, what you say, what you think.
[03:20:11.133 --> 03:20:25.550]  When you can control what a nation says, how a nation thinks, the information that a nation is exposed to, it's very, very easy for government to get their way on anything else that they might want to do because they control your mind then.
[03:20:26.070 --> 03:20:28.153]  We have to really push back against this.
[03:20:28.433 --> 03:20:34.562]  If the average person really understood how dangerous this was, there would be protests in the street tomorrow.
[03:20:34.922 --> 03:20:39.428]  People will be holding placards up saying absolutely not, not on our watch.
[03:20:39.809 --> 03:20:41.391]  That's what would be happening right
[03:20:41.391 --> 03:20:41.691]  Right now.
[03:20:41.971 --> 03:20:48.455]  But I think that, unfortunately, the average person seems to be a bit complacent and a bit asleep, especially in Australia.
[03:20:48.475 --> 03:20:50.656]  I mean, look what we went through during the COVID times.
[03:20:51.016 --> 03:20:54.318]  Completely unscientific, government completely out of control.
[03:20:54.618 --> 03:20:55.318]  It was wild.
[03:20:55.658 --> 03:21:01.722]  Now, the senator that said that Elon Musk should be arrested and thrown in jail, I don't know what she was thinking.
[03:21:02.142 --> 03:21:05.223]  It was completely something that she should not have said.
[03:21:05.544 --> 03:21:08.105]  Whether you agree with someone or not, you can't
[03:21:08.325 --> 03:21:09.125]  We're good to go.
[03:21:32.651 --> 03:21:44.456]  Let's be honest, you can't stay away from Twitter for too long because Twitter is honestly one of the only places in Australia to get the truth, to get real news and to get genuine opinion.
[03:21:44.716 --> 03:21:57.581]  Because our country today, even our big mainstream media channels, the equivalent of our Fox News here in Australia, it's called Sky News, even that is now, in my opinion, compromised.
