[00:00:00.287 --> 00:00:00.647]  Jump into it.
[02:49:11.435 --> 02:49:15.419]  So informants are something the FBI has been using for years, decades.
[02:49:16.180 --> 02:49:16.840]  Is it illegal?
[02:49:16.900 --> 02:49:17.121]  No.
[02:49:17.401 --> 02:49:20.163]  They can do it as long as they do it within the legal means.
[02:49:21.184 --> 02:49:26.849]  If an informant is in the Capitol breaking the law, that doesn't mean that the FBI is behind it.
[02:49:27.149 --> 02:49:30.212]  Informants are also people who live their lives.
[02:49:30.592 --> 02:49:33.475]  Like, I could be an informant for the FBI, I could go and murder somebody.
[02:49:33.515 --> 02:49:36.417]  That doesn't mean the FBI had me murder that person.
[02:49:36.757 --> 02:49:41.421]  So I think there's a lot of misinformation there that gets conflated with facts.
[02:49:42.842 --> 02:49:43.463]  And number two,
[02:49:45.874 --> 02:49:48.476]  Do I think it's possible that an FBI agent could have done that?
[02:49:48.516 --> 02:49:51.257]  Sure, anything's possible, but put out the evidence.
[02:49:51.297 --> 02:49:52.478]  There isn't evidence of this.
[02:49:52.818 --> 02:49:56.100]  The whole Ray Epps thing, show us the evidence that he actually works for the FBI.
[02:49:56.140 --> 02:49:57.261]  You're right, he just said I orchestrated it.
[02:49:57.661 --> 02:49:58.621]  He just said I orchestrated it.
[02:49:58.661 --> 02:49:59.142]  I brought the bag.
[02:49:59.162 --> 02:49:59.802]  Come arrest me.
[02:49:59.942 --> 02:50:00.442]  Should I get arrested?
[02:50:00.463 --> 02:50:01.303]  I just said I brought the bag.
[02:50:01.343 --> 02:50:02.804]  He just said I orchestrated it, you're right.
[02:50:02.824 --> 02:50:03.844]  He just said I orchestrated it, you're right.
[02:50:03.864 --> 02:50:06.206]  Did Ray Epps say that he was an FBI agent?
[02:50:06.246 --> 02:50:08.027]  You guys are just coming to that conclusion.
[02:50:08.087 --> 02:50:09.288]  We're not saying he works for them.
[02:50:09.308 --> 02:50:09.648]  Probably.
[02:50:09.748 --> 02:50:11.449]  If I had to guess, I'd say Southern Probably Law Center.
[02:50:11.709 --> 02:50:14.771]  If Ray Epps set them up, why isn't a single other person there attested to that?
[02:50:16.237 --> 02:50:16.477]  Out of the 250,000.
[02:50:16.537 --> 02:50:21.863]  If he whispered into people's ears, if he was leading breach teams, why didn't any of the arrested people, why didn't a single person come out?
[02:50:22.183 --> 02:50:24.445]  I'm asking why, I'm asking this though, the next reasonable question.
[02:50:24.465 --> 02:50:25.927]  Why hasn't a single person come out to testify?
[02:50:25.967 --> 02:50:27.308]  Because we exposed him.
[02:50:27.949 --> 02:50:29.531]  Because he's the leader there.
[02:50:29.551 --> 02:50:31.653]  And he's there doing it.
[02:50:31.813 --> 02:50:32.814]  He did it on video.
[02:50:32.854 --> 02:50:33.895]  He said, I led this.
[02:50:33.975 --> 02:50:34.496]  I did this.
[02:50:34.516 --> 02:50:35.517]  You're not answering my question.
[02:50:35.557 --> 02:50:37.158]  I'm saying why hasn't anyone else come out?
[02:50:37.899 --> 02:50:39.680]  I attested to this, not a single person.
[02:50:39.820 --> 02:50:40.881]  You know what an orchestra is, right?
[02:50:41.281 --> 02:50:43.222]  I went to school for music.
[02:50:43.262 --> 02:50:45.684]  The conductor leads the symphony.
[02:50:46.044 --> 02:50:48.746]  And all the musicians have to see the conductor and would tell you, that's my conductor.
[02:50:48.766 --> 02:50:50.107]  And he says, go into the Capitol.
[02:50:50.127 --> 02:50:53.089]  Why doesn't anybody else say, that was my conductor?
[02:50:53.649 --> 02:51:00.994]  You know, the follow-up part of this question, why was law, I think law enforcement was so ill-prepared for the insurrection, again in quotes, despite the presence of informants.
[02:51:01.014 --> 02:51:03.956]  This is from Space Worm, just so you know, Space Worm from Zero Edge.
[02:51:04.056 --> 02:51:05.797]  Well, half of them were sent away for crowd control.
[02:51:06.840 --> 02:51:17.042]  I think the ill-preparedness came because Trump's deployment of the National Guard in the past, especially in D.C., had caused a lot of people to be uncomfortable with National Guard being present in the Capitol when the certification of vote was happening.
[02:51:17.102 --> 02:51:29.425]  So, as they were having conversations prior to establishing security, I think they took a lot of extraordinary bureaucratic measures to make it so that, I think that day, if the National Guard was going to be deployed, it either had to be, I think, Miller or Walker.
[02:51:29.445 --> 02:51:31.866]  I think one of those two had to be the direct authorization.
[02:51:31.886 --> 02:51:32.786]  Let me respond briefly.
[02:51:35.547 --> 02:51:42.332]  We have you one hour ago saying Trump never called for National Guard, and you just said they refused it.
[02:51:42.672 --> 02:51:44.133]  I got your ass!
[02:51:44.173 --> 02:51:45.334]  That's correct.
[02:51:45.594 --> 02:51:45.935]  You got me.
[02:51:46.555 --> 02:51:50.598]  So when the National Guard was deployed, the only area that they were allowed to do... They blocked it.
[02:51:50.938 --> 02:51:52.579]  The Pentagon blocked Trump.
[02:51:52.819 --> 02:51:56.422]  You just admitted Trump wanted it and didn't get it.
[02:51:56.442 --> 02:51:57.323]  You got me.
[02:51:57.363 --> 02:51:58.463]  They only deployed 340 people.
[02:51:58.503 --> 02:51:58.964]  That's right.
[02:51:58.984 --> 02:51:59.564]  You got me.
[02:51:59.584 --> 02:52:00.365]  The scope of the mission...
[02:52:03.507 --> 02:52:03.927]  I'm a good shot?
[02:52:03.947 --> 02:52:04.768]  I'm murdering Ashley Babbit?
[02:52:04.788 --> 02:52:06.349]  Oh my god, I'm murdering... But you love me!
[02:52:06.369 --> 02:52:06.729]  You love me!
[02:52:33.707 --> 02:52:36.249]  Okay, so here's the thing.
[02:52:36.269 --> 02:52:42.734]  340 people were authorized to be there, but in order to actually call them, it was an extraordinary process.
[02:52:42.754 --> 02:52:47.577]  When you read the J6 committee in the Situation Room and Sund and everybody else complaining, where's the National Guard, where's the National Guard?
[02:52:47.797 --> 02:52:51.700]  There was a whole bunch of stupid bureaucratic red tape and optics concerns that people had to cut through to get them there.
[02:52:51.860 --> 02:52:53.120]  So you're claiming that this is staged.
[02:52:53.140 --> 02:52:54.781]  You're claiming the FBI was behind it.
[02:52:54.821 --> 02:52:55.401]  In 2019, you said...
[02:53:13.746 --> 02:53:20.573]  You specifically said, I almost had like a form of psychosis where I thought everything was staged.
[02:53:21.093 --> 02:53:22.655]  So do you still have that psychosis?
[02:53:22.855 --> 02:53:24.717]  Well, I said almost a form.
[02:53:25.037 --> 02:53:27.219]  So do you almost still have that form of psychosis?
[02:53:27.239 --> 02:53:28.080]  Let me quote it for you.
[02:53:29.361 --> 02:53:31.563]  That's out of a larger context about when you're lied to.
[02:53:31.844 --> 02:53:32.744]  In a court deposition.
[02:53:33.772 --> 02:53:35.173]  I said a larger context deposition.
[02:53:35.253 --> 02:53:36.053]  About Sandy Hook.
[02:53:36.093 --> 02:53:42.497]  Which is a larger... You said you called Sandy Hooks a hoax and you said it was fake because of this.
[02:53:42.637 --> 02:53:43.998]  Sure, so you want me to talk now?
[02:53:44.018 --> 02:53:44.478]  Okay, go ahead.
[02:53:44.898 --> 02:53:49.261]  Yeah, so I said a larger context, which is a larger five hours, eight hour deposition, right?
[02:53:50.061 --> 02:53:50.702]  I just told the truth.
[02:53:50.742 --> 02:53:51.663]  I said a larger context.
[02:53:52.504 --> 02:54:00.172]  I'm explaining that the public's been lied to so much, there's a major loss in confidence where people then don't believe anything they're told and that's dangerous.
[02:54:00.192 --> 02:54:00.953]  That's not what you said.
[02:54:00.973 --> 02:54:02.675]  That's not the context you said it.
[02:54:02.695 --> 02:54:04.077]  That's not the context you said it.
[02:54:04.197 --> 02:54:04.918]  I know what I said.
[02:54:04.938 --> 02:54:05.739]  But I read it.
[02:54:05.879 --> 02:54:06.800]  I read the deposition.
[02:54:06.820 --> 02:54:07.821]  So put the full thing out.
[02:54:07.981 --> 02:54:09.161]  I don't have it with me, but I read it.
[02:54:09.181 --> 02:54:09.802]  The point is, stop.
[02:54:09.822 --> 02:54:11.362]  Somebody Google it.
[02:54:11.402 --> 02:54:12.142]  You're scared to let me talk?
[02:54:12.162 --> 02:54:12.623]  No, go ahead.
[02:54:13.803 --> 02:54:19.525]  So, that's a whole other PR firm thing, things out of context, to blow that stuff up.
[02:54:19.545 --> 02:54:22.346]  PR firm is telling you what to say in court?
[02:54:22.426 --> 02:54:23.606]  No, no, you're not listening.
[02:54:23.626 --> 02:54:26.888]  Let Alex finish the short question and then we're going to go back to the user's question.
[02:54:28.388 --> 02:54:35.916]  Madeline Albright told Leslie Stahl of 60 Minutes, I ordered 500,000 children killed because I thought it was a good thing to do, I'd do it again.
[02:54:36.237 --> 02:54:37.078]  She's a great person.
[02:54:37.758 --> 02:54:40.762]  I questioned Jussie Smollett, I questioned W.E.B.
[02:54:40.782 --> 02:54:45.747]  Nixon in Iraq, I questioned everything, and I'm proud of everything I've done, and all that stuff is PR firm garbage.
[02:54:46.107 --> 02:54:48.170]  When I talk about the general public,
[02:54:48.670 --> 02:54:58.015]  Because the media lies about almost everything, loses trust in anything, that creates a general form of psychosis, and it's very dangerous.
[02:54:58.035 --> 02:54:59.355]  I talk about that every day on my show.
[02:54:59.375 --> 02:55:05.098]  And Joe Rogan just last week said, you know, Alex Jones isn't totally right, but he means to be right.
[02:55:07.125 --> 02:55:08.687]  Informative than CNN.
[02:55:08.787 --> 02:55:09.909]  They lie on purpose.
[02:55:10.409 --> 02:55:12.512]  And the public has lost trust in the system.
[02:55:12.872 --> 02:55:13.974]  That's dangerous.
[02:55:14.454 --> 02:55:15.315]  What do you do?
[02:55:15.816 --> 02:55:18.159]  So that was the full discussion.
[02:55:18.179 --> 02:55:19.621]  Let me give you another example.
[02:55:19.901 --> 02:55:20.822]  They say in court.
[02:55:21.630 --> 02:55:24.031]  Jones in a custody battle said, I'm an actor.
[02:55:24.451 --> 02:55:25.411]  Everything I say is fake.
[02:55:25.811 --> 02:55:27.752]  I've offered a $1 million reward for that.
[02:55:27.792 --> 02:55:28.372]  I didn't say that.
[02:55:28.792 --> 02:55:31.293]  They wanted to put like now a 15 year old video back then.
[02:55:31.313 --> 02:55:39.235]  It was like a nine year old video of me as the joker saying all these horrible things, take drugs, kids, you'll die.
[02:55:39.295 --> 02:55:39.695]  It's great.
[02:55:39.976 --> 02:55:41.336]  So kids wouldn't take drugs.
[02:55:41.676 --> 02:55:42.497]  Reverse psychology.
[02:55:42.937 --> 02:55:43.617]  Hold on, hold on.
[02:55:43.998 --> 02:55:51.282]  They wanted to introduce that in court, and my lawyer said, when Jack Nicholson plays the Joker, he's not really the Joker.
[02:55:51.742 --> 02:56:00.468]  And when Alex Jones is in Waking Life, or Scanner Darkly, or any of this stuff, when he's being an actor, it's not what he really means.
[02:56:00.888 --> 02:56:03.229]  In the scope of when I'm- Are you being an actor now?
[02:56:03.349 --> 02:56:04.930]  No, no, see- How do we know?
[02:56:05.031 --> 02:56:05.471]  How do we know?
[02:56:05.691 --> 02:56:06.191]  How do you know?
[02:56:06.271 --> 02:56:07.612]  Maybe you still have psychosis.
[02:56:07.812 --> 02:56:08.793]  But see, that's the game you're playing.
[02:56:09.133 --> 02:56:09.973]  No, I'm not playing a game.
[02:56:09.993 --> 02:56:10.634]  I'm serious.
[02:56:10.834 --> 02:56:11.454]  I am not.
[02:56:11.494 --> 02:56:12.774]  This is a serious problem.
[02:56:12.814 --> 02:56:16.276]  No, when I'm on this show, this is Alex Jones, the analyst.
[02:56:16.436 --> 02:56:17.376]  Alex Jones, the pundit.
[02:56:17.636 --> 02:56:19.617]  I'll get to you in a moment.
[02:56:20.277 --> 02:56:22.098]  Yeah, Glenn's about to jump in.
[02:56:22.638 --> 02:56:26.799]  This game, that I don't mean what I say, Ray Epps said I orchestrated it.
[02:56:27.099 --> 02:56:28.700]  That's a real thing.
[02:56:28.720 --> 02:56:30.681]  Yeah, we're all playing a sort of character right now.
[02:56:30.701 --> 02:56:31.681]  We're all on a stage.
[02:56:31.761 --> 02:56:33.982]  I was actually in that Twitter space with you, with Elon Musk.
[02:56:34.862 --> 02:56:35.883]  What was it?
[02:56:36.223 --> 02:56:37.164]  Four weeks ago or so?
[02:56:37.924 --> 02:56:42.688]  And you tried to claim that you didn't push the Sandy Hook conspiracy theory.
[02:56:43.308 --> 02:56:45.470]  We're getting a field here.
[02:56:45.810 --> 02:56:48.352]  I'm basing this on the whole psychosis thing.
[02:56:48.552 --> 02:56:49.853]  This is a field.
[02:56:49.913 --> 02:56:52.554]  This is not in the scope of the discussion.
[02:56:52.615 --> 02:56:54.296]  Yeah, we really gotta stick to the question.
[02:56:54.316 --> 02:56:56.437]  It's on the user's question.
[02:56:56.457 --> 02:56:57.558]  You lied in that space.
[02:56:57.818 --> 02:56:58.679]  You did push it.
[02:56:58.739 --> 02:57:00.440]  You did say that was fake.
[02:57:00.680 --> 02:57:01.040]  You did.
[02:57:01.180 --> 02:57:02.281]  I have the quote right here.
[02:57:02.561 --> 02:57:03.302]  Let me read the quote.
[02:57:04.043 --> 02:57:05.868]  Okay, Ed, we're done.
[02:57:05.908 --> 02:57:06.208]  We're done.
[02:57:06.228 --> 02:57:07.952]  I want to hear from Glenn.
[02:57:07.992 --> 02:57:09.055]  Glenn's about to speak.
[02:57:12.572 --> 02:57:18.075]  I said, in the context of everything I've done, I wasn't the platform for questioning a school shooting.
[02:57:18.595 --> 02:57:21.216]  They dredged that up afterwards and I barely ever talked about it.
[02:57:21.236 --> 02:57:22.177]  It wasn't even on our radar.
[02:57:22.717 --> 02:57:24.078]  But you said it was fake.
[02:57:24.118 --> 02:57:29.580]  No, no, if I'm on the air for- You said after examining it for a year, you found that it was fake.
[02:57:29.820 --> 02:57:30.741]  Alright, you know what?
[02:57:30.761 --> 02:57:32.282]  That's it, that's it, that's it!
[02:57:32.482 --> 02:57:32.942]  That's it!
[02:57:33.022 --> 02:57:34.823]  We're done with this fucking conversation!
[02:57:35.043 --> 02:57:36.544]  We're moving on to the user questions.
[02:57:36.904 --> 02:57:38.945]  As told, Glenn, you had something to say?
[02:57:39.687 --> 02:57:40.568]  Glenn, please, Jake.
[02:57:54.904 --> 02:58:02.506]  When there are six people here presenting all kinds of evidence that you're not equipped to deal with, I think it's just a pathetic way to try and end this debate.
[02:58:02.526 --> 02:58:10.749]  And the last thing I want to say is it's really giving like a kind of amazingly vivid mindset into the minds of Trump-era liberals who have really come to see
[02:58:11.349 --> 02:58:19.656]  The US security state and the courts and prosecutors as their political allies in their war that they're waging against people who disagree with them.
[02:58:19.736 --> 02:58:27.263]  And they have this like very romanticized view of what the FBI is, what the DOJ is, how the court systems work, how the federal government works.
[02:58:27.663 --> 02:58:42.156]  And all of this reveals this so well because what's happening here is so manifest, which is that all of these agencies are being abused because the Trump movement is considered the gravest threat to establishment power in this country, which is why the bipartisan establishment is against it.
[02:58:42.516 --> 02:58:46.660]  To try and make this about Alex and Sandy Hook is a really pathetic way to end the debate.
[02:58:46.740 --> 02:58:49.662]  I think you guys have done a good job defending your views.
[02:58:49.802 --> 02:58:50.943]  I think you should leave it at that.
[02:58:50.983 --> 02:58:52.685]  And we definitely have to go because it's been three hours.
[02:58:53.125 --> 02:58:54.085]  Well, we're not done.
[02:58:54.125 --> 02:58:56.006]  We're going to keep talking with some questions.
[02:58:56.026 --> 02:58:56.966]  Not right now.
[02:58:56.986 --> 02:58:58.607]  Can I answer the users' questions?
[02:58:58.627 --> 02:58:59.927]  Yeah, I would love to, but give me one second.
[02:59:00.167 --> 02:59:04.168]  The only reason I scream is because I don't have a mute button for the people right now.
[02:59:04.268 --> 02:59:06.389]  I would prefer not to have to use my voice.
[02:59:06.749 --> 02:59:08.249]  I think you did a great job being here.
[02:59:08.269 --> 02:59:08.609]  Thank you.
[02:59:08.629 --> 02:59:09.950]  I think Glenn needs to go.
[02:59:10.030 --> 02:59:10.670]  We'll stay.
[02:59:10.690 --> 02:59:14.211]  Glenn, give us a three-minute closing comment.
[02:59:14.351 --> 02:59:21.193]  All I'm trying to say is I didn't launch any wars, I didn't lie about WMDs, and to bring that in is...
[02:59:22.113 --> 02:59:22.413]  I don't know.
[02:59:43.849 --> 02:59:51.180]  There's a larger lie when we're lied to and lose trust, then out of that when no one knows what's true, it creates a lot of problems.
[02:59:51.200 --> 02:59:53.924]  So the reason I went back to that is because in that Twitter space...
[02:59:55.242 --> 02:59:56.983]  You said that you didn't push it.
[02:59:57.224 --> 03:00:01.847]  You said that you just regurgitated other people's information.
[03:00:02.207 --> 03:00:03.028]  And that's not true.
[03:00:03.388 --> 03:00:04.349]  No, that's not true.
[03:00:04.669 --> 03:00:05.450]  I want to shut this down.
[03:00:05.470 --> 03:00:06.431]  I don't want to move to the next thing.
[03:00:06.451 --> 03:00:07.411]  It's not that I'm scared of this.
[03:00:07.431 --> 03:00:08.672]  I'm sick of it.
[03:00:08.732 --> 03:00:10.133]  I made my bones on this.
[03:00:10.854 --> 03:00:12.255]  I barely ever talked about it.
[03:00:12.455 --> 03:00:18.019]  They introduced 22 minutes in these court cases over a decade.
[03:00:18.159 --> 03:00:18.660]  22 minutes, dude?
[03:00:18.780 --> 03:00:19.480]  No, I didn't.
[03:00:20.021 --> 03:00:20.982]  That's not what I'm doing.
[03:00:21.222 --> 03:00:22.082]  You guys bring it up.
[03:00:22.623 --> 03:00:23.023]  And fine.
[03:00:24.204 --> 03:00:26.746]  Madeleine Albright said she killed 500,000 kids, she'd do it again.
[03:00:26.766 --> 03:00:27.906]  I killed no kids.
[03:00:27.946 --> 03:00:30.488]  Come on guys, this is cheap as fuck.
[03:00:30.528 --> 03:00:31.809]  Let's talk about what the people are paying.
[03:00:31.829 --> 03:00:34.410]  We have some legitimate people here.
[03:00:34.490 --> 03:00:36.471]  I don't know, but Glenn says he wants to leave.
[03:00:36.572 --> 03:00:37.452]  I love Glenn Greenwald.
[03:00:37.972 --> 03:00:38.833]  Glenn's gone.
[03:00:38.893 --> 03:00:39.533]  Glenn's gone.
[03:00:39.553 --> 03:00:40.754]  We're hanging out with me tonight.
[03:00:40.954 --> 03:00:42.315]  Okay, we're going to the second question.
[03:00:42.495 --> 03:00:43.716]  Darren, did you want to follow up?
[03:00:43.816 --> 03:00:47.378]  I wanted to answer the user's question about the lack of preparation.
[03:00:47.798 --> 03:00:50.740]  Because it involves a lot more than the question of the National Guard.
[03:00:51.961 --> 03:00:53.402]  For additional context,
[03:00:54.360 --> 03:00:58.621]  There's the Norfolk memo coming out of the Norfolk office of the FBI.
[03:00:59.381 --> 03:01:11.365]  Extensively cataloging threats to the Capitol including maps of tunnels, all kinds of indications that there was going to be a major event at the Capitol on that day.
[03:01:12.205 --> 03:01:18.908]  There was extensive government infiltration of every single militia group imputed to January 6th.
[03:01:18.928 --> 03:01:20.028]  And there was a stand down?
[03:01:20.048 --> 03:01:20.589]  Wait, wait, wait.
[03:01:21.109 --> 03:01:24.290]  Up to the very, very highest levels.
[03:01:24.771 --> 03:01:32.134]  We know that Enrique Tarrio had an extensive conversation with the head of Metro PD Intel.
[03:01:33.382 --> 03:01:34.743]  And that's just one example.
[03:01:34.783 --> 03:01:38.884]  We know the VP of the Oath Keepers was an FBI informant.
[03:01:39.225 --> 03:01:50.910]  We know there are at least eight other informants in the Proud Boys, including informants who are texting their handlers simultaneously as they were in the Capitol and as the events unfolded.
[03:01:51.250 --> 03:01:53.311]  We know of the Oath Keeper Jeremy Brown.
[03:01:54.071 --> 03:01:56.453]  Who has been attacked and persecuted by the government.
[03:01:56.833 --> 03:01:56.893]  Why?
[03:01:57.353 --> 03:02:12.564]  Because when he was approached by JTTF agents in December of 2020 to recruit him as an informant, he recorded the exchange and the encounter and put it out there on the internet.
[03:02:12.924 --> 03:02:16.646]  The JTTF agents said, there's something going to happen in January.
[03:02:16.887 --> 03:02:18.648]  We want you to be an informant for us.
[03:02:18.968 --> 03:02:21.650]  We know that there are several influencers, including Milo,
[03:02:23.371 --> 03:02:36.176]  Who parlored, or whatever the tweet version is for parlor, put out a message on January 5th saying, I was just approached by federal agents, whatever they have planned on the 6th is huge, don't go there.
[03:02:36.836 --> 03:02:39.057]  That's just a number of examples.
[03:02:39.377 --> 03:02:46.060]  Oh yeah, and there was Donnell Harvin, he was the head of the Homeland Security Office for the DC Fusion Center.
[03:02:46.680 --> 03:02:50.102]  His predictions were remarkably specific and accurate.
[03:02:50.862 --> 03:02:56.368]  His office came up with the idea that we need to have body bags.
[03:02:56.748 --> 03:02:59.972]  We need to focus on the Capitol at 1 o'clock.
[03:03:00.472 --> 03:03:07.499]  Specifically, we need to be concerned with explosives planted on side streets that could serve a diversionary effect.
[03:03:08.533 --> 03:03:10.994]  Therefore, allowing for an attack on the Capitol.
[03:03:11.414 --> 03:03:18.836]  These are just some of the highlights of examples of the government being in a position to know in advance what was going on.
[03:03:19.136 --> 03:03:29.219]  And it wasn't just that there was an ordinary level of security at the Capitol, which is inconceivable when you think of the fact that there was a major proceeding there, that Trump was there giving his speech.
[03:03:29.499 --> 03:03:32.200]  Ordinarily, there would be threat assessments, which there weren't.
[03:03:33.362 --> 03:03:36.163]  It's not just that there was ordinary level of security.
[03:03:36.624 --> 03:03:53.732]  There is a uniquely absent security on that day, uniquely poor security on a day with a major certification proceeding, on a day in which President Trump was there to give a major speech on a very controversial question directly pertinent to that proceeding.
[03:03:53.752 --> 03:03:58.194]  So Darren, there's 1,250 people who were indicted thus far.
[03:03:58.934 --> 03:04:09.866]  How many of them brought up as evidence in court that they were enticed or led into the building or led to do crimes by federal agents?
[03:04:09.906 --> 03:04:11.368]  Well, there are actually quite a few.
[03:04:11.989 --> 03:04:12.750]  How many of those?
[03:04:12.770 --> 03:04:16.454]  I wouldn't count them, but it's not non-existent.
[03:04:16.494 --> 03:04:19.077]  Was any of that evidence actually admitted in court?
[03:04:19.850 --> 03:04:20.991]  In some cases, yes.
[03:04:21.891 --> 03:04:45.844]  As you can imagine, the judicial process is very aggressive in pushing against any types of entrapment defenses and many defense lawyers, in some cases, reasonably so, want to dissuade their clients from entrapment type defenses because their goal is not to uncover the truth about entrapment, their goal is to do the best for their clients in those specific cases.
[03:04:46.444 --> 03:04:54.249]  So out of 1,250 cases, not one of those defenses were actually pushed forward by any of those defendants?
[03:04:54.289 --> 03:04:55.270]  No, I didn't say not one.
[03:04:55.330 --> 03:05:04.796]  There are some, but not as many as you would think, but not because this isn't relevant to the truth, but because if you're a lawyer, even a good faith lawyer, you are
[03:05:06.477 --> 03:05:19.580]  Uh, required to give advice to your client that's not, oh, what's most likely to uncover the full truth about the broad event of January 6th, but what's most likely to keep my client out of jail or to minimize the time that my client ends in jail.
[03:05:19.600 --> 03:05:20.880]  The truth is exculpatory.
[03:05:21.260 --> 03:05:21.520]  Right.
[03:05:22.120 --> 03:05:34.743]  I would think that evidence that a federal agent led you to commit a crime or acted in a way that made you want to commit a crime would be pretty, pretty exculpatory evidence right there.
[03:05:35.239 --> 03:05:36.900]  Yeah, it would, in certain cases.
[03:05:37.120 --> 03:05:39.740]  And, like I said, there are people who are pursuing that.
[03:05:40.080 --> 03:05:55.265]  There's a significant backlash to that within the judicial system, so even given how much it's rigged now, it's additionally rigged when it comes to those specific types of defenses, because they're so subversive to the larger narrative that the government's trying to promote.
[03:05:55.285 --> 03:05:58.866]  Why wouldn't McCarthy put any Republicans on the J6 committee then, and investigate this?
[03:06:00.014 --> 03:06:05.379]  Well, McCarthy isn't exactly someone who's aggressively interested in pursuing the truth on this either.
[03:06:05.699 --> 03:06:10.764]  Okay, why not appoint like a special counsel or appoint something separate then from Congress?
[03:06:11.308 --> 03:06:14.150]  Well, I think that would be a fantastic idea, but again... Why didn't Trump do it?
[03:06:14.790 --> 03:06:15.711]  Why didn't Trump do it?
[03:06:15.751 --> 03:06:17.432]  Trump's not in a position to do it right now.
[03:06:17.452 --> 03:06:26.258]  Yeah, but right after J6, before he gets kicked out, I want to point out... Well, I mean... Or why not in the days before, if he thinks that there's... I mean, there is not really a window of opportunity for that to happen.
[03:06:26.518 --> 03:06:28.339]  A lot of other stuff is going on.
[03:06:28.399 --> 03:06:32.662]  Doesn't it suck, then, that, like, you can provide absolutely no smoking guns?
[03:06:32.702 --> 03:06:34.123]  I provided a ton of evidence.
[03:06:34.203 --> 03:06:35.143]  No smoking guns.
[03:06:35.203 --> 03:06:36.224]  I provided overwhelming evidence.
[03:06:36.244 --> 03:06:37.705]  You've given a bunch of... You have not provided evidence for anything.
[03:06:37.845 --> 03:06:38.145]  I don't know.
[03:06:55.839 --> 03:06:58.421]  I can, well, you really want to hear a good faith answer to that?
[03:06:58.802 --> 03:06:59.682]  Why it's partisan?
[03:07:00.063 --> 03:07:01.644]  Well, let's start with Benny Thompson.
[03:07:01.984 --> 03:07:05.047]  Now... No, no, I know the people on it were all partisan.
[03:07:05.167 --> 03:07:05.727]  That's true.
[03:07:07.008 --> 03:07:12.513]  But that's because McCarthy wouldn't put forth his nominees after Pelosi said no to two of five.
[03:07:12.893 --> 03:07:15.896]  Well, first of all, I think those two should have been allowed.
[03:07:15.916 --> 03:07:16.537]  I'm not asking you that.
[03:07:16.557 --> 03:07:18.539]  I'm asking why didn't McCarthy put forth two other ones?
[03:07:18.559 --> 03:07:23.003]  Because he didn't want to legitimize a process that was totally illegitimate.
[03:07:23.223 --> 03:07:28.468]  So how convenient for you, then, that now we can also say the entire J6 committee... No, it's not convenient for me.
[03:07:28.548 --> 03:07:29.809]  It's convenient for the regime.
[03:07:32.492 --> 03:07:33.132]  No, it's convenient for you.
[03:07:33.152 --> 03:07:43.795]  It's convenient for the regime not to have a legitimate and disinterested fact-finding commission to truly get to the bottom of the real questions that matter in relation to January 6th.
[03:07:43.815 --> 03:07:45.756]  But there is no disinterested fact-finding.
[03:07:45.776 --> 03:07:48.737]  You guys say Comey was biased, even though he was a lifelong Republican.
[03:07:48.777 --> 03:07:51.598]  You say Raffensperger was biased, even though he was a lifelong Republican.
[03:07:51.778 --> 03:07:55.639]  You guys say that Barr was biased, even though he's been a lifelong Trump supporter and a Republican.
[03:07:56.099 --> 03:07:58.881]  Yeah, you say Ray is biased, like every single person.
[03:07:58.901 --> 03:07:59.221]  Absolutely.
[03:07:59.241 --> 03:08:01.842]  Yeah, so then there are no unbiased fact-finders.
[03:08:01.882 --> 03:08:04.984]  I didn't say there are none, but the specific names you mentioned, absolutely.
[03:08:05.004 --> 03:08:05.764]  How about William Barr?
[03:08:06.085 --> 03:08:07.025]  How about... Yes.
[03:08:07.365 --> 03:08:10.767]  So all these Trump appointees, Trump... Yes, he made terrible appointments.
[03:08:10.787 --> 03:08:12.848]  That's the best person ever to hire people, right?
[03:08:12.888 --> 03:08:15.690]  Well, I didn't say, that's not my contention here.
[03:08:15.770 --> 03:08:17.871]  Who would be able to investigate this?
[03:08:19.198 --> 03:08:20.679]  I think there are some people who could.
[03:08:21.359 --> 03:08:22.779]  I think Jim Jordan who could.
[03:08:22.939 --> 03:08:25.600]  Jim Jordan would be your example of an unbiased party.
[03:08:25.820 --> 03:08:28.441]  Jim Jordan was literally part of the investigation.
[03:08:28.461 --> 03:08:48.429]  I would say for there to be a legitimate committee, it would have to include people who are genuinely interested in pursuing not only the questions that Benny Thompson and the hyper-partisan Democrats wanted to find out, but people who are sympathetic to the other side who would be willing to pursue the questions that I've raised and have been raised
[03:08:48.809 --> 03:08:56.750]  That were not addressed at all in the committee, because all they were interested in was demonizing Trump and setting up a criminal proceeding for Trump.
[03:08:57.050 --> 03:08:59.391]  They weren't interested in getting to the bottom of the questions.
[03:08:59.691 --> 03:09:01.671]  Why was there uniquely poor security?
[03:09:01.951 --> 03:09:04.752]  What was going on with the level of federal infiltration?
[03:09:04.772 --> 03:09:08.052]  These questions are all asked as part of the 847 page report.
[03:09:08.172 --> 03:09:09.433]  I invite you to read it at some point.
[03:09:09.713 --> 03:09:15.354]  The reality is that McCarthy at any point could have put five Republicans that he chose on that committee.
[03:09:15.594 --> 03:09:17.474]  But because Nancy Pelosi said no to two of them,
