[00:00:01.025 --> 00:00:01.886]  You can feel it.
[03:20:45.535 --> 03:20:45.735]  So,
[03:20:47.875 --> 03:20:48.935]  It just keeps getting worse.
[03:20:50.096 --> 03:20:55.979]  You got that Ursula von der Leyen, her speech at Davos.
[03:20:58.740 --> 03:20:59.820]  The number one threat.
[03:21:01.761 --> 03:21:03.842]  The number one threat.
[03:21:04.282 --> 03:21:05.203]  Von der Leyen.
[03:21:05.303 --> 03:21:07.424]  Von the lying piece of crap.
[03:21:07.864 --> 03:21:10.565]  A little warmongering lady, by the way.
[03:21:11.025 --> 03:21:12.486]  Oh, yeah, that's right.
[03:21:13.686 --> 03:21:16.908]  You still got that German Nazi blood in you, don't you, huh?
[03:21:18.408 --> 03:21:19.429]  Loves the wars!
[03:21:19.649 --> 03:21:20.470]  Loves the wars!
[03:21:20.690 --> 03:21:21.671]  Oh, a war whore.
[03:21:21.691 --> 03:21:38.223]  Oh, and by the way, anybody that supports the wars, get in your military drag, go fight, send your wife, your kids, your money, yourself, or shut your mouths.
[03:21:38.383 --> 03:21:41.085]  Oh, and your transgenders, make sure you take them too.
[03:21:41.705 --> 03:21:43.367]  There's Van the Lion.
[03:21:44.507 --> 03:21:47.710]  The greatest threat is misinformation.
[03:21:49.875 --> 03:21:50.055]  Yep.
[03:21:53.456 --> 03:22:02.860]  And she goes on to say, very challenging times, but also ensuring its strong and influential voice in global affairs.
[03:22:03.360 --> 03:22:14.124]  Saying how great, great, great, the World Economic Forum, their strong and influential voice in global affairs.
[03:22:14.144 --> 03:22:15.645]  Yep.
[03:22:17.657 --> 03:22:23.979]  Your leadership is a beacon of inspiration, symbolizing unity, strength.
[03:22:23.999 --> 03:22:25.419]  Yep.
[03:22:27.560 --> 03:22:28.680]  Oh, this is the introduction.
[03:22:28.980 --> 03:22:29.840]  That was the introduction.
[03:22:30.320 --> 03:22:32.021]  President Ursula von Andrews.
[03:22:32.041 --> 03:22:32.441]  Yep.
[03:22:32.641 --> 03:22:33.141]  Excellency.
[03:22:33.461 --> 03:22:35.222]  She begins it by saying, you ready?
[03:22:35.662 --> 03:22:36.182]  Ready for this?
[03:22:37.162 --> 03:22:43.304]  Excellencies, ladies and gentlemen, and dear Klaus Slob.
[03:22:45.545 --> 03:22:46.785]  Excellencies,
[03:22:47.714 --> 03:22:49.015]  Excellencies!
[03:22:49.575 --> 03:22:53.997]  Don't forget to bow down to the Excellencies!
[03:22:54.017 --> 03:22:56.097]  His Majesty!
[03:22:58.538 --> 03:22:59.439]  Excellencies!
[03:22:59.719 --> 03:23:01.700]  Who the hell are you talking to?
[03:23:02.960 --> 03:23:05.601]  Oh, Excellencies don't pee or poo.
[03:23:07.242 --> 03:23:09.142]  They're just a little giddy from the Bronx.
[03:23:11.683 --> 03:23:12.444]  Excellencies.
[03:23:14.004 --> 03:23:15.585]  That's how much better they are.
[03:23:16.283 --> 03:23:18.064]  And they own everything.
[03:23:18.565 --> 03:23:31.193]  So again, sobering reality, the risks are serious because they limit our ability to tackle the big global challenges we are facing.
[03:23:32.614 --> 03:23:41.520]  For the global business community, for the global business community, the global leaders own everything!
[03:23:42.267 --> 03:23:44.848]  You are not allowed to own anything!
[03:23:45.308 --> 03:23:48.009]  It is only the global community!
[03:23:48.889 --> 03:23:50.269]  I'm not lying!
[03:23:50.289 --> 03:24:01.393]  For the global business community, the top concern for the next two years is not conflict.
[03:24:01.713 --> 03:24:02.633]  Oh, no, not wars.
[03:24:02.753 --> 03:24:03.693]  Conflict.
[03:24:08.495 --> 03:24:09.135]  Or climate.
[03:24:09.887 --> 03:24:13.068]  It is disinformation and misinformation.
[03:24:14.668 --> 03:24:14.888]  Yep.
[03:24:15.988 --> 03:24:24.230]  In other words, you are only allowed to swallow the crap spruing out of our mouths?
[03:24:25.810 --> 03:24:26.451]  Who you talking?
[03:24:28.251 --> 03:24:28.851]  Oh, yeah.
[03:24:31.552 --> 03:24:32.672]  Put on that mask.
[03:24:33.392 --> 03:24:35.132]  Stand six feet apart.
[03:24:35.913 --> 03:24:36.913]  Oh, the jab?
[03:24:36.993 --> 03:24:37.693]  Sixty percent.
[03:24:38.783 --> 03:24:40.404]  96% efficacy rate.
[03:24:42.865 --> 03:24:46.327]  You have no idea the number of people I know that have COVID again.
[03:24:48.188 --> 03:24:49.189]  All jabbed up.
[03:24:49.389 --> 03:24:50.409]  Never got COVID.
[03:24:50.870 --> 03:24:51.650]  Haven't been sickened.
[03:24:53.431 --> 03:24:57.693]  Going on five years because I take vitamins and supplements every day.
[03:24:59.234 --> 03:25:00.234]  Try to stay in good health.
[03:25:01.895 --> 03:25:03.296]  But this is the crap going on.
[03:25:04.147 --> 03:25:05.848]  And again, that's why you go to InfoWars.
[03:25:05.888 --> 03:25:06.928]  They wrote this article.
[03:25:07.568 --> 03:25:08.129]  I looked it up.
[03:25:08.609 --> 03:25:12.430]  And when you read her whole thing, it is just so disgusting.
[03:25:12.470 --> 03:25:15.192]  They make it very clear of who's in charge.
[03:25:16.032 --> 03:25:30.438]  And the facts are also there as to who's in charge because you have the 1%, according to Oxfam, 1%
[03:25:34.361 --> 03:25:39.782]  Owns 43% of the global financial assets.
[03:25:41.142 --> 03:25:41.763]  That's right.
[03:25:43.263 --> 03:25:48.064]  We're nothing more than plantation workers on Slavelandia.
[03:25:49.344 --> 03:25:53.705]  And Davos, they're the plantation leaders, man.
[03:25:53.725 --> 03:25:53.785]  Yep.
[03:25:54.805 --> 03:25:55.005]  Yep.
[03:26:01.397 --> 03:26:05.178]  She makes it very, very, very clear.
[03:26:09.660 --> 03:26:12.461]  For the global business community!
[03:26:12.541 --> 03:26:16.942]  Hey, how about nationalization, huh?
[03:26:18.723 --> 03:26:23.184]  The only way America is going to come back is to become a self-sufficient economy.
[03:26:24.645 --> 03:26:30.627]  We have all the human and natural resources we can use, with the exception of very few.
[03:26:31.658 --> 03:26:32.899]  To be self-sustaining.
[03:26:34.840 --> 03:26:39.643]  We don't have to import products from other slave labor countries.
[03:26:40.343 --> 03:26:42.525]  And they did this so they wouldn't have to pay people.
[03:26:43.025 --> 03:26:55.113]  And by the way, when I was on with Alex Jones talking about the migration issue, I said what no one's talking about is the refugee issue.
[03:26:55.173 --> 03:27:00.576]  People are escaping lack of basic living standards, crime, government corruption, violence.
[03:27:01.738 --> 03:27:11.083]  I said, what no one's talking about is they're bringing in cheap labor and that's what the global community needs!
[03:27:11.984 --> 03:27:17.747]  Just go to Marshalls or CVS or any store and see.
[03:27:18.747 --> 03:27:19.428]  We need help.
[03:27:20.068 --> 03:27:21.189]  We need cheap labor.
[03:27:21.749 --> 03:27:23.570]  That's why they're letting them come in, I said.
[03:27:24.491 --> 03:27:28.853]  Now remember, that was back in
[03:27:33.427 --> 03:27:37.211]  Now, Financial Times, January 20th.
[03:27:38.872 --> 03:27:46.800]  German eases citizenship law to fill skills gap.
[03:27:49.623 --> 03:27:58.131]  German parliament passed a law that will make it easier for foreigners to acquire citizenship as Berlin looks to immigration programs
[03:27:58.672 --> 03:28:04.937]  To solve a dire shortage of skilled workers.
[03:28:05.378 --> 03:28:06.579]  Oh, yeah.
[03:28:06.779 --> 03:28:07.720]  You dumb people.
[03:28:07.780 --> 03:28:08.861]  What are you, the Germans?
[03:28:10.262 --> 03:28:18.068]  The Germans are one of the most advanced societies scientifically, culturally, philosophically in the world.
[03:28:19.109 --> 03:28:20.851]  You got to bring in slave labor?
[03:28:22.412 --> 03:28:24.574]  That's all they're doing it for.
[03:28:26.596 --> 03:28:26.956]  Got it?
[03:28:28.208 --> 03:28:33.169]  And again, that woman that called up talked about Congress.
[03:28:33.990 --> 03:28:39.191]  C-O-N-G-R-A-S-S.
[03:28:43.952 --> 03:28:46.373]  Dumb little clowns telling us what to do.
[03:28:47.433 --> 03:28:48.153]  So we're going to come back.
[03:28:48.173 --> 03:28:51.174]  We're going to talk about the economy, what's next, where it's going.
[03:28:52.094 --> 03:28:53.715]  And remember, support InfoWars.
[03:28:53.835 --> 03:28:54.535]  They're supporting you.
[03:28:56.749 --> 03:28:58.450]  Real death is shutting off the economy.
[03:28:58.650 --> 03:29:00.971]  The bureaucrats and the corporations control the economy.
[03:29:01.291 --> 03:29:04.773]  As they vertically integrate the economy and consolidate power, they murder people en masse.
[03:29:05.413 --> 03:29:12.617]  And Elon Musk has warned them that if you destroy civilization, you won't be able to have certain redoubts of it and certain city-states that still have it.
[03:29:12.657 --> 03:29:15.038]  The Hunger Games model, it will destroy the elite as well.
[03:29:15.298 --> 03:29:18.060]  And anybody that studies history and has common sense knows that.
[03:29:18.760 --> 03:29:23.721]  The wars that are going to come out of the starvation and the inflation are being blamed on global warming.
[03:29:23.941 --> 03:29:26.662]  The viruses that come out of the labs are being blamed on global warming.
[03:29:26.882 --> 03:29:30.323]  The third world hordes being organized by the UN to invade are being blamed on global warming.
[03:29:31.163 --> 03:29:32.864]  The mass starvation is blamed on the virus.
[03:29:34.304 --> 03:29:36.525]  And everywhere we're told it's going to get worse.
[03:29:36.625 --> 03:29:37.585]  Billions are coming.
[03:29:37.745 --> 03:29:40.066]  Al Gore and Bill Clinton and Hillary Clinton.
[03:29:40.990 --> 03:29:48.141]  And the Rothschilds and the Davos Group and Bill Gates and Klaus Schwab and Evaldo Harari say billions are coming to Europe.
[03:29:48.361 --> 03:29:49.823]  A billion are coming to the U.S.
[03:29:50.304 --> 03:29:51.586]  because of climate change.
[03:29:52.107 --> 03:29:56.493]  No, because you cut their economy off because the IMF or World Bank controls the loans and ordered lockdowns.
[03:30:21.044 --> 03:30:21.865]  We're good to go.
[03:30:40.162 --> 03:30:44.785]  Be sure to take this product when you are completely ready for sleep because you will be down and out.
[03:30:57.884 --> 03:31:01.005]  I talk a lot about the great successes InfoWars has had.
[03:31:01.025 --> 03:31:02.545]  I don't think anybody can deny it.
[03:31:03.325 --> 03:31:06.366]  And it is because of listeners and viewers supporting us.
[03:31:07.246 --> 03:31:15.349]  When we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[03:31:16.189 --> 03:31:23.971]  And when you look at Harrison Smith and Owen Schroyer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[03:31:25.009 --> 03:31:27.871]  So for myself and the whole InfoWars crew, I thank you for your past support.
[03:31:27.891 --> 03:31:33.633]  I want to encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[03:31:34.434 --> 03:31:35.334]  I know you spread the word.
[03:31:35.374 --> 03:31:36.855]  I know you pray for us, and that's wonderful.
[03:31:36.895 --> 03:31:37.415]  Keep doing it.
[03:31:37.455 --> 03:31:45.740]  But most viewers and listeners never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, while at the same time keeping us on air.
[03:31:46.380 --> 03:31:49.982]  I know that less than 1% of our listeners actually go buy products at InfoWarsStore.com.
[03:31:50.702 --> 03:31:55.308]  If just 1% more of you took action and went to Enforcement.com, our funding problems will be over.
[03:31:55.648 --> 03:31:56.489]  Please take action now.
[03:31:56.869 --> 03:32:05.019]  Cellular damage from a type of free radical known as reactive oxygen species can cause decreased cellular function.
[03:32:05.639 --> 03:32:12.266]  DNA Force Plus contains what are believed to be the most beneficial ingredients to remedy this.
[03:32:12.866 --> 03:32:16.690]  Now 40% off at Infowarsstore.com.
[03:32:17.170 --> 03:32:21.174]  The main ingredient in the real red pill plus is pregnenolone.
[03:32:21.534 --> 03:32:25.376]  Which occurs naturally in our body, but decreases with age.
[03:32:25.857 --> 03:32:31.120]  Low levels of pregnenolone are associated with fatigue and low brain function.
[03:32:31.200 --> 03:32:39.184]  The real Red Pill Plus is also full of essential trace minerals to synergistically support optimal cognitive function.
[03:32:39.565 --> 03:32:42.867]  Now 40% off at InfoWarsStore.com.
[03:32:43.847 --> 03:32:48.409]  Get them both today at 50% off the supercharged special.
[03:32:48.990 --> 03:32:54.532]  Support your health and support the InfoWar at InfoWarStore.com.
[03:32:58.174 --> 03:33:04.077]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:16.906 --> 03:33:21.008]  The answer to 1984 is 1776.
[03:33:21.328 --> 03:33:30.433]  You're listening to the Alex Jones Show with Gerald Salente.
[03:33:31.493 --> 03:33:36.156]  Hey, great being on the Alex Jones Show.
[03:33:36.816 --> 03:33:39.338]  And again, what you're getting from info was...
[03:33:40.419 --> 03:33:48.863]  If you're not getting anywhere else, again, we put out a magazine, the Trends Journal, and of course we have great information in there that's going to help you in a very different way.
[03:33:50.283 --> 03:33:53.244]  There's no magazine like it.
[03:33:53.645 --> 03:33:56.066]  You look at our top trends that we called last year.
[03:33:56.126 --> 03:33:56.906]  They're right here.
[03:33:56.966 --> 03:33:58.727]  One of the top ones was Middle East Meltdown.
[03:33:59.447 --> 03:34:02.508]  And again, do what you can to support InfoWars.
[03:34:02.528 --> 03:34:09.271]  They have these great sales going on, and you can help supercharge your body, and you really need it now.
[03:34:10.237 --> 03:34:13.598]  And there's no better time to do it.
[03:34:13.958 --> 03:34:16.259]  Because we're going through really, really tough times.
[03:34:16.319 --> 03:34:24.001]  As I said, I haven't been sick now going on five years because I get all the essential vitamins, minerals, and nutrients that I need.
[03:34:24.441 --> 03:34:26.882]  And you get a lot of them from InfoWars.
[03:34:27.982 --> 03:34:29.743]  And again, it's crucial.
[03:34:29.823 --> 03:34:30.503]  It's your life.
[03:34:31.539 --> 03:34:33.240]  You know, you got to get in the best shape you can.
[03:34:33.260 --> 03:34:35.281]  And this really helps you do it.
[03:34:35.701 --> 03:34:46.767]  You have the DNA Force Plus 40% off along with Red Pill Plus Supercharged Specials, the DNA Force and Red... Both of them you get 50% off.
[03:34:47.367 --> 03:34:50.769]  And the winter sun, and you need some sun in the winter, you get 40% off.
[03:34:52.010 --> 03:34:53.050]  Vitamin D gummies, 40%.
[03:34:53.630 --> 03:34:54.711]  Turbo Force, 40%.
[03:34:55.471 --> 03:34:58.393]  And... Great, great things.
[03:34:58.473 --> 03:35:00.154]  And they're selling out fast.
[03:35:00.294 --> 03:35:00.474]  So...
[03:35:01.351 --> 03:35:03.472]  So get what you can before they're gone.
[03:35:03.532 --> 03:35:05.773]  Go to InfoWarsStore.com.
[03:35:05.833 --> 03:35:08.154]  InfoWarsStore.com.
[03:35:08.254 --> 03:35:09.434]  Save up to 50%.
[03:35:10.455 --> 03:35:12.575]  And again, you really need to supercharge your body.
[03:35:14.856 --> 03:35:16.397]  And again, these are 360 wins.
[03:35:17.357 --> 03:35:20.859]  You support InfoWars, and you're supporting yourself.
[03:35:21.299 --> 03:35:24.740]  You know, people don't like my language.
[03:35:24.760 --> 03:35:25.820]  They don't like my language.
[03:35:25.840 --> 03:35:27.201]  You know, if somebody...
[03:35:27.987 --> 03:35:29.628]  Somebody's trying to take you down, man.
[03:35:29.648 --> 03:35:30.909]  You'll say, please don't hit me.
[03:35:30.969 --> 03:35:32.090]  I'll be a good little boy.
[03:35:32.110 --> 03:35:33.471]  I'll be nice.
[03:35:34.552 --> 03:35:35.533]  It came out in this article.
[03:35:37.634 --> 03:35:39.856]  Swearing has become more acceptable.
[03:35:40.296 --> 03:35:40.736]  Expert.
[03:35:41.777 --> 03:35:47.802]  The use of swear words has become more widely acceptable in modern British society in recent years.
[03:35:49.143 --> 03:35:54.967]  Due to people finding alternative definitions for language previously considered distasteful.
[03:35:56.135 --> 03:35:59.357]  A linguistic expert says, linguistic expert.
[03:35:59.857 --> 03:36:01.178]  Hey, got some.
[03:36:01.839 --> 03:36:04.160]  The people are angry, you got it?
[03:36:04.860 --> 03:36:08.603]  It's appropriate language in an appropriate situation.
[03:36:09.103 --> 03:36:12.725]  Oh, hey, linguistic expert, maybe you forgot.
[03:36:13.346 --> 03:36:23.052]  Maybe you forgot the little clown boy that one of the finest cartoonists in the world couldn't open a freakier little figure than Boris Johnson.
[03:36:23.552 --> 03:36:25.193]  Yeah, yeah.
[03:36:25.902 --> 03:36:32.083]  Yeah, Boar, again, B-O-R space A-S-S.
[03:36:32.684 --> 03:36:34.264]  Boar S. Johnson.
[03:36:34.844 --> 03:36:35.024]  Yeah.
[03:36:35.864 --> 03:36:46.947]  The guy that gave you the COVID war, that destroyed your economy, as he's partying, and the cat don't know how to party, man, all day, you know what I mean?
[03:36:47.935 --> 03:36:50.816]  Again, I'm so sad when I look at the world.
[03:36:51.436 --> 03:36:53.796]  Not a drop of boogie, not an ounce of jive.
[03:36:53.816 --> 03:36:55.677]  So that cat, he wasn't partying.
[03:36:55.737 --> 03:36:57.537]  Oh, just like that other arrogant little boy.
[03:36:57.557 --> 03:37:01.038]  My daddy was the top lawyer for the Giddy Gang.
[03:37:01.478 --> 03:37:02.518]  Oh, yeah, Gavin Newsom.
[03:37:03.238 --> 03:37:08.079]  Closing down everything while he's partying at the French laundry at about $400 a plate.
[03:37:09.020 --> 03:37:15.521]  So going back to what's going on and why they're using this kind of language in the U.K.,
[03:37:17.037 --> 03:37:19.939]  Because I said you've got to put an F and a C in there in the UK.
[03:37:19.959 --> 03:37:23.062]  Because that's what they did to the people.
[03:37:24.082 --> 03:37:25.083]  And the people are angry.
[03:37:26.184 --> 03:37:27.725]  And it goes back to the callers.
[03:37:28.926 --> 03:37:29.847]  The people are fed up.
[03:37:31.968 --> 03:37:33.690]  Again, they don't want Trump or Biden.
[03:37:36.192 --> 03:37:38.073]  You get your Trends Journal, you've got more information.
[03:37:38.113 --> 03:37:40.495]  Again, go to Jones Trends, you get a good deal.
[03:37:41.676 --> 03:37:43.277]  Again, I supported Trump.
[03:37:43.777 --> 03:37:45.519]  And I don't support him anymore.
[03:37:46.710 --> 03:37:52.812]  And by the way, I also believe 100% that he won the election in 2020.
[03:37:54.732 --> 03:38:02.894]  I was doing the whole election broadcast with Greg Hunter on Watchdog USA.
[03:38:04.895 --> 03:38:06.655]  And I'm looking at the numbers are coming in.
[03:38:06.695 --> 03:38:07.676]  He had all the data.
[03:38:07.696 --> 03:38:08.836]  He had all these screens up.
[03:38:08.876 --> 03:38:10.036]  It was really top, top.
[03:38:10.076 --> 03:38:10.396]  He did.
[03:38:11.337 --> 03:38:13.717]  And it's Trump and Biden under him.
[03:38:13.737 --> 03:38:15.978]  It's going like this all over, all over.
[03:38:17.329 --> 03:38:25.836]  All of a sudden, like 120,000 mail-in ballots came in.
[03:38:25.916 --> 03:38:29.538]  And Biden got all of them, like from Wisconsin or Michigan or someplace.
[03:38:29.918 --> 03:38:31.360]  It happened like in a couple of states.
[03:38:32.280 --> 03:38:32.901]  Are you kidding me?
[03:38:32.921 --> 03:38:35.723]  When I'm six years old, you mean I'm 120 and you get one?
[03:38:37.324 --> 03:38:40.146]  Oh, and it was Trump that made up the mail-in ballot thing to happen.
[03:38:41.387 --> 03:38:45.690]  Who also gave us Operation Warp Speed Vax and
[03:38:46.946 --> 03:39:06.290]  And on March 13th, Black Friday, March 2020, he launched a state of emergency, declared a state of emergency to fight the COVID war.
[03:39:06.310 --> 03:39:08.751]  So anyway, I got a lot of reasons I don't think they can.
[03:39:09.631 --> 03:39:14.052]  Going back, the people, when you look at the polls, they want to change.
[03:39:15.902 --> 03:39:17.423]  We need a new third party.
[03:39:19.745 --> 03:39:22.567]  We need a Ron Paul type.
[03:39:23.428 --> 03:39:25.089]  Not Rand Paul, but Ron the Father.
[03:39:28.252 --> 03:39:29.373]  So the time is right.
[03:39:29.413 --> 03:39:32.055]  The people are fed up and that's why they're changing their language.
[03:39:33.336 --> 03:39:35.297]  It's situational language.
[03:39:35.718 --> 03:39:37.119]  It's the proper language.
[03:39:37.639 --> 03:39:38.760]  It's not swearing.
[03:39:38.780 --> 03:39:40.021]  What are you, kindergarten?
[03:39:41.482 --> 03:39:42.883]  That's a swear word.
[03:39:42.903 --> 03:39:45.145]  How do you know it's a swear word?
[03:39:45.984 --> 03:39:48.545]  Well, it's in Chapter 3, Section 8.
[03:39:48.625 --> 03:39:49.525]  It's a good book.
[03:39:53.366 --> 03:39:54.607]  They're not swear words.
[03:39:54.647 --> 03:39:55.887]  They're proper words.
[03:39:57.448 --> 03:39:58.948]  But you can't say them.
[03:39:58.968 --> 03:40:11.653]  So... Ron Paul has an article they have up on InfoWars that has to do with the economy.
[03:40:12.353 --> 03:40:14.354]  Going back to the economy, the markets are up...
[03:40:18.524 --> 03:40:27.286]  Gold's down, hanging around the four, down about seven bucks, 220 range, 2020.
[03:40:28.506 --> 03:40:30.246]  And Bitcoin's hanging in the 40,000 range.
[03:40:30.266 --> 03:40:34.847]  I would have thought it would have gone up after they had that ETF thing, but it hasn't.
[03:40:35.367 --> 03:40:36.548]  But I'm still bullish on it.
[03:40:37.508 --> 03:40:44.489]  I don't, you know, if it could go down another $10,000, it's still way up from where it began, starting at zero about 12 years ago.
[03:40:46.130 --> 03:40:47.770]  And I'm very bullish on gold.
[03:40:48.550 --> 03:40:50.151]  And again, we don't give financial advice.
[03:40:50.171 --> 03:40:56.093]  I'm just telling you what we see as trend forecasters, because they're going to be lowering interest rates in March.
[03:40:56.953 --> 03:40:58.853]  They'll run up to the presidential reality show.
[03:40:58.893 --> 03:41:08.397]  They're going to do everything they can to keep the power in power in power, because you've got Janet Yellen, who's our Treasury Secretary, the former head of the Federal Reserve.
[03:41:08.417 --> 03:41:09.877]  So you've got the gang.
[03:41:09.897 --> 03:41:10.697]  They want to keep the gang.
[03:41:10.858 --> 03:41:14.879]  Can you imagine the Federal Reserve head is running...
[03:41:19.727 --> 03:41:20.487]  Our Treasury Department.
[03:41:21.607 --> 03:41:24.428]  How stupid can you be not to see who's running the gang in charge?
[03:41:24.948 --> 03:41:29.729]  So going back to Ron Paul's article, he says, don't tax the rich and the Fed.
[03:41:30.969 --> 03:41:39.870]  Select politician, he goes on, they say raise the things, but he said the Federal Reserve is causing, is the cause of the inequality.
[03:41:40.831 --> 03:41:48.492]  First of all, I think, you know, if they're going to have taxes, go back to the Eisenhower days where these cats would be paying 90% and most of them paid nothing.
[03:41:49.904 --> 03:41:51.505]  And by the way, that's the other thing that Trump did.
[03:41:51.525 --> 03:41:52.845]  He lowered the taxes for these.
[03:41:53.325 --> 03:42:00.428]  And after he lowered the taxes for the corporations back in 2017, they had the biggest year of stock buybacks.
[03:42:01.169 --> 03:42:04.110]  Because he said, oh, they couldn't build capital improvements.
[03:42:04.650 --> 03:42:05.991]  Nothing for capital improvements.
[03:42:06.011 --> 03:42:07.571]  It all went to stock buybacks.
[03:42:07.871 --> 03:42:09.052]  Had a record year of stock buybacks.
[03:42:10.072 --> 03:42:18.836]  So going back to the Fed, the guy that gave us the Federal Reserve, may he rot in hell, is Woodrow Wilson.
[03:42:21.112 --> 03:42:24.614]  He created the Federal Reserve, then he gave us federal income taxes.
[03:42:26.735 --> 03:42:31.158]  He also gave us World War I. He's going to spread democracy across the globe.
[03:42:31.738 --> 03:42:33.679]  And they still repeat that crap.
[03:42:33.800 --> 03:42:35.120]  I'm a Yankee Doodle Dandy.
[03:42:35.160 --> 03:42:36.681]  I'm going to go die for something.
[03:42:37.582 --> 03:42:41.084]  He assassinated Archduke Ferdinand in Sarajevo.
[03:42:41.124 --> 03:42:41.884]  Let's go fight!
[03:42:43.305 --> 03:42:48.528]  Oh, that clown lady about the War Crap Journal?
[03:42:48.748 --> 03:42:49.729]  I can't say the S-word?
[03:42:50.626 --> 03:42:53.188]  We said that we're the gatekeepers?
[03:42:53.528 --> 03:42:55.009]  Oh yeah, you sold us those wars too.
[03:42:55.029 --> 03:42:57.291]  It was a Hearst Corporation.
[03:42:57.331 --> 03:42:57.852]  I forgot.
[03:42:59.973 --> 03:43:01.334]  So going back to the taxes.
[03:43:05.217 --> 03:43:14.384]  Paul Craig Roberts you go to paulcraigroberts.org has an article about this.
[03:43:15.445 --> 03:43:18.828]  Americans enslave themselves to the state
[03:43:19.662 --> 03:43:21.843]  When they accepted the income tax.
[03:43:24.525 --> 03:43:34.892]  It was not until 1913, 137 years after the Declaration of Independence established a free people who are no longer free, that there was an income tax.
[03:43:38.454 --> 03:43:38.674]  Yep.
[03:43:42.697 --> 03:43:45.679]  The income tax required a constitutional amendment.
[03:43:46.119 --> 03:43:47.360]  I remember some of the story.
[03:43:47.380 --> 03:43:48.761]  What I remember is this.
[03:43:49.778 --> 03:43:55.222]  The threshold for being subjected to income tax was high and the first rate was 1%.
[03:43:55.262 --> 03:43:58.664]  So in other words, you really had to be rich.
[03:43:59.765 --> 03:44:11.133]  The Georgia legislative voted to ratify the amendment because as one legislative leader declared, quote, there's no one in Georgia with an income high enough to be subject to the tax.
[03:44:12.094 --> 03:44:13.996]  Let the Yankees tax themselves.
[03:44:14.056 --> 03:44:14.836]  Why should we object?
[03:44:16.037 --> 03:44:17.278]  There's no vision of the future.
[03:44:19.520 --> 03:44:32.085]  1913 was also the year that the Federal Reserve with its policy of depression, inflation, recession, and inflation was established and unleashed on America.
[03:44:35.267 --> 03:44:45.692]  And that was also the year World War I and its inflation was about to be launched by the French, Russians, and British governments.
[03:44:46.821 --> 03:44:54.046]  War on inflation quickly brought the income tax to Americans who thought they were exempt.
[03:45:01.191 --> 03:45:03.512]  Ron Paul is 100% correct.
[03:45:05.574 --> 03:45:07.035]  Do away with the federal income tax.
[03:45:09.196 --> 03:45:12.038]  We've got a bunch of clowns that have all these bureaucratic jobs.
[03:45:12.318 --> 03:45:13.800]  Actually, they spell that wrong.
[03:45:14.080 --> 03:45:15.721]  They're bureaucraps.
[03:45:16.821 --> 03:45:25.309]  Little boys and girls who can't get a job in the real world that suck into the political system bow down so they can get their way up to the top.
[03:45:25.709 --> 03:45:28.372]  And they become the most arrogant.
[03:45:28.872 --> 03:45:30.193]  The most arrogant.
[03:45:31.815 --> 03:45:33.997]  We don't need the federal government to tell us what to do.
[03:45:35.138 --> 03:45:36.479]  I believe in states' rights.
[03:45:38.361 --> 03:45:43.165]  Pro-abortion, anti-abortion, choose your state.
[03:45:47.042 --> 03:45:47.722]  Gun laws?
[03:45:49.624 --> 03:45:50.364]  No gun laws?
[03:45:52.466 --> 03:45:52.506]  No.
[03:45:52.526 --> 03:45:54.507]  You can't choose your state on that one.
[03:45:55.067 --> 03:45:56.268]  Because that's the Second Amendment.
[03:45:59.030 --> 03:46:00.991]  So you pick and choose where you want to go.
[03:46:03.553 --> 03:46:04.694]  I believe in states' rights.
[03:46:06.655 --> 03:46:13.599]  Before the war criminal, I did a podcast with Judge Andrew Napolitano.
[03:46:13.659 --> 03:46:14.760]  I do one every Wednesday.
[03:46:14.780 --> 03:46:15.861]  You go to Gerald Salenti.com.
[03:46:16.761 --> 03:46:23.186]  And he was talking about when Nikki Haley came out and said that it was not only slavery about Lincoln and they attacked her.
[03:46:23.986 --> 03:46:31.712]  And he said, of course, he's no supporter of Nikki Haley, who's nothing more than Lindsey Graham in high heels, using his term.
[03:46:32.832 --> 03:46:36.355]  But the Civil War wasn't about slavery.
[03:46:37.576 --> 03:46:40.698]  It was about more government control, unionization.
[03:46:40.758 --> 03:46:44.821]  And he went on to say that the Emancipation Proclamation did not free the slaves.
[03:46:46.142 --> 03:46:46.282]  That
[03:46:46.943 --> 03:46:53.708]  Freedom of slavery wasn't enacted in law until eight months after Lincoln died.
[03:46:56.249 --> 03:47:00.132]  So this whole tax thing is just to build a federal government.
[03:47:01.253 --> 03:47:02.934]  And we don't need the feds in charge.
[03:47:03.935 --> 03:47:05.116]  We the people are in charge.
[03:47:06.457 --> 03:47:07.818]  We have to unite to do that.
[03:47:07.998 --> 03:47:12.741]  Right now there's no politician that I support that's speaking about that.
[03:47:14.181 --> 03:47:15.902]  But there's no need for this federal income.
[03:47:16.202 --> 03:47:18.383]  I don't want to tell you how much federal income tax I pay.
[03:47:18.703 --> 03:47:20.603]  Oh, then I pay taxes.
[03:47:20.683 --> 03:47:21.544]  I never had any kids.
