[00:00:00.009 --> 00:00:01.510]  ["Pomp and Circumstance"]
[03:30:04.049 --> 03:30:04.390]  You're good.
[03:30:04.430 --> 03:30:04.790]  You're good.
[03:30:04.810 --> 03:30:05.351]  That's about it.
[03:30:05.511 --> 03:30:08.134]  Well, I know he'll be reporting on it if they shut it down tonight.
[03:30:08.174 --> 03:30:09.976]  Yeah, I mean, I just want to be clear with people.
[03:30:11.037 --> 03:30:15.062]  Folks, on my soul, I'm not a drama queen, okay?
[03:30:15.643 --> 03:30:19.227]  I don't sit here and tell you we're on our death's doorstep without it happening.
[03:30:19.507 --> 03:30:22.811]  We are literally under attack, folks.
[03:30:25.072 --> 03:30:32.454]  Well, I think if they do come and padlock the doors tonight, it'll just be the biggest news story in a crazy week.
[03:30:32.554 --> 03:30:34.154]  I think there's going to be a bit of a teeter-totter.
[03:30:36.014 --> 03:30:40.755]  When we sign off, Trump is going to blow the lid off of the UFC event tonight.
[03:30:41.275 --> 03:30:42.136]  That's going to be insane.
[03:30:42.156 --> 03:30:43.516]  The whole arena is going to go crazy.
[03:30:43.536 --> 03:30:44.896]  30,000 screaming people.
[03:30:46.836 --> 03:30:49.677]  And then I think after that, the next big thing, then they'll probably padlock.
[03:30:51.360 --> 03:30:54.082]  That's kind of how I feel that the shift is going to happen.
[03:30:54.283 --> 03:30:54.523]  Yeah.
[03:30:55.303 --> 03:30:56.605]  It's wild, man.
[03:30:56.725 --> 03:30:57.505]  I love the crew.
[03:30:59.227 --> 03:31:00.268]  I'll just say that.
[03:31:00.748 --> 03:31:01.909]  I think of the crew as like me.
[03:31:02.069 --> 03:31:02.890]  That's my arm.
[03:31:02.930 --> 03:31:04.331]  I love this guy.
[03:31:04.351 --> 03:31:05.092]  I love this girl.
[03:31:05.112 --> 03:31:07.194]  Like decommissioning the Millennium Falcon.
[03:31:07.234 --> 03:31:10.176]  Yeah, it's like, oh, that's mine.
[03:31:10.216 --> 03:31:10.757]  That's mine.
[03:31:10.777 --> 03:31:13.099]  But they get the Millennium Falcon back eventually, Alex.
[03:31:14.060 --> 03:31:15.061]  I'm so pissed off.
[03:31:16.875 --> 03:31:17.776]  I'm trying to cry.
[03:31:17.796 --> 03:31:18.677]  It's a fake thing, man.
[03:31:18.697 --> 03:31:20.639]  I'm so sick of these people.
[03:31:21.179 --> 03:31:26.704]  All we're trying to do is save America, and they're fucking us over, over and over again.
[03:31:27.525 --> 03:31:28.746]  And it's just so sick.
[03:31:28.846 --> 03:31:29.527]  It's sick.
[03:31:29.687 --> 03:31:30.247]  It's sick.
[03:31:30.648 --> 03:31:31.389]  And I don't want to leave.
[03:31:31.409 --> 03:31:33.711]  I don't want to leave because it's going to be over, folks.
[03:31:34.351 --> 03:31:41.117]  And I'll come back bigger than ever, but it's like my baby, and I'm watching them rape it because they're fucking assholes.
[03:31:42.296 --> 03:31:43.717]  You fucking pussies, man!
[03:31:44.197 --> 03:31:45.498]  I'm gonna release a fucking video!
[03:31:45.718 --> 03:31:47.398]  I'm gonna release a fucking audio on you!
[03:31:47.658 --> 03:31:49.079]  I'll get you, motherfucker!
[03:31:49.279 --> 03:31:50.880]  You better fucking be sorry about that!
[03:31:52.761 --> 03:31:53.021]  Go ahead.
[03:31:53.161 --> 03:31:53.341]  Go ahead.
[03:31:53.361 --> 03:31:57.543]  I don't know how you follow that.
[03:31:58.243 --> 03:31:59.284]  I'm just telling you, man.
[03:31:59.424 --> 03:32:01.324]  I am not taking it lying down.
[03:32:01.384 --> 03:32:02.605]  I don't know how to do it.
[03:32:02.985 --> 03:32:05.066]  I'm not built to suck your dick.
[03:32:05.646 --> 03:32:09.048]  I'm not built to... I'm not... I'm built for war, motherfucker!
[03:32:10.083 --> 03:32:11.786]  And I will not fucking bow to you!
[03:32:11.806 --> 03:32:15.050]  I will fuck... God damn you fucking assholes, man.
[03:32:15.110 --> 03:32:16.953]  I'll fucking... Son of a bitches.
[03:32:17.514 --> 03:32:18.916]  Fucking... Fucking assholes.
[03:32:19.477 --> 03:32:19.998]  Who's up next?
[03:32:20.178 --> 03:32:22.842]  Alright folks, let's go to Dan Ball.
[03:32:23.082 --> 03:32:24.965]  Dan Ball, go ahead and unmute yourself and say what you gotta say.
[03:32:27.660 --> 03:32:29.422]  Alex Dimball from One America News.
[03:32:29.502 --> 03:32:30.863]  Brother, I hear ya.
[03:32:31.204 --> 03:32:34.888]  I'm just as fucking pissed off about what's happening to this country and what these motherfuckers are doing to.
[03:32:34.908 --> 03:32:37.050]  I don't know if you know our story at OAN.
[03:32:37.170 --> 03:32:37.931]  Fuck them!
[03:32:38.292 --> 03:32:38.652]  Fuck them!
[03:32:38.672 --> 03:32:39.333]  Fuck you!
[03:32:39.693 --> 03:32:41.575]  I'll never give up, motherfuckers!
[03:32:43.624 --> 03:32:44.205]  Sorry, go ahead.
[03:32:44.245 --> 03:32:45.066]  Tell us what you want to say.
[03:32:45.486 --> 03:32:46.007]  No, no, no.
[03:32:46.327 --> 03:32:47.208]  Alex, hey brother.
[03:32:47.508 --> 03:32:50.331]  I'm not there because they haven't locked our fucking doors yet, but we're close to it.
[03:32:50.371 --> 03:32:51.352]  You know what's been happening to us.
[03:32:51.792 --> 03:32:53.314]  You've been fucked over.
[03:32:53.334 --> 03:32:54.315]  They're so scared of you.
[03:32:54.755 --> 03:32:55.416]  Fuck them!
[03:32:55.857 --> 03:32:57.038]  Fuck you, New World Order!
[03:32:57.418 --> 03:32:58.019]  Fuck you!
[03:32:59.600 --> 03:33:00.501]  To me, it's like the thing.
[03:33:00.541 --> 03:33:02.704]  I'm living like with fucking Kurt Russell and the fucking thing.
[03:33:02.724 --> 03:33:05.346]  We're in the fucking Antarctic and the fucking aliens take it over.
[03:33:05.386 --> 03:33:06.708]  I'm just fucking trying to win, man.
[03:33:08.576 --> 03:33:09.937]  Well, you're trying to save the country, bro.
[03:33:10.157 --> 03:33:10.957]  That's the way I feel.
[03:33:11.378 --> 03:33:13.879]  You know, I did local fucking news for 30 years.
[03:33:13.919 --> 03:33:14.440]  I was a puppet.
[03:33:14.500 --> 03:33:17.641]  I got it in at OAN four years ago because I had an epiphany.
[03:33:17.801 --> 03:33:21.123]  I literally, on election night especially, it really hit me, brother.
[03:33:21.143 --> 03:33:24.545]  I was sitting next to my fiance and the numbers started changing.
[03:33:24.585 --> 03:33:25.206]  I literally said,
[03:33:25.746 --> 03:33:33.053]  Trump's gonna lose, Biden needs to win, the country, the American people, need to see how fucked up this evil movement is.
[03:33:33.133 --> 03:33:40.099]  This radical, progressive, liberal agenda, and the New World Order, the fucking Great Reset, all of it together, all, it's good versus evil.
[03:33:40.319 --> 03:33:40.980]  It really is!
[03:33:41.000 --> 03:33:45.484]  And I'm- And we saw the numbers in Michigan and Pennsylvania, like, bloop!
[03:33:45.744 --> 03:33:46.685]  Right up, like, bloop!
[03:33:47.205 --> 03:33:47.425]  Yeah.
[03:33:48.246 --> 03:33:51.429]  No, and I had this epiphany, and I think it was God talking to me.
[03:33:52.169 --> 03:33:52.530]  He said,
[03:33:53.746 --> 03:33:54.407]  He's gonna lose.
[03:33:54.948 --> 03:33:56.970]  Americans need to see how evil this is.
[03:33:56.990 --> 03:33:59.913]  And I think they're seeing it with what they did to Trump this week.
[03:33:59.954 --> 03:34:01.135]  What they're doing is shutting you down.
[03:34:01.455 --> 03:34:05.300]  But whoever earlier was talking about how the left-wing media is dying on the vine, it is.
[03:34:05.360 --> 03:34:06.361]  They're fucking shutting down.
[03:34:06.441 --> 03:34:07.182]  People are waking up.
[03:34:07.482 --> 03:34:10.005]  They're tuning into shows like yours, like OAN.
[03:34:10.506 --> 03:34:13.327]  Independent journalists like Nick Sorter, they're doing that.
[03:34:13.387 --> 03:34:14.087]  They're coming around.
[03:34:14.107 --> 03:34:18.348]  We just got to keep the fucking pressure on, because this is a battle of good and evil.
[03:34:18.428 --> 03:34:22.409]  I truly, at 100%, in my heart of hearts, believe that's what it is.
[03:34:22.649 --> 03:34:24.529]  I mean, look at all these sickos that are fucking pedophiles.
[03:34:24.689 --> 03:34:25.409]  What else can it be?
[03:34:25.910 --> 03:34:27.470]  They're stealing the children.
[03:34:27.490 --> 03:34:28.230]  They're hurting the children.
[03:34:28.490 --> 03:34:32.431]  The border's wide fucking open, and they're letting millions of kids get fucking kidnapped and trafficked.
[03:34:32.791 --> 03:34:33.971]  Of course this is good versus evil.
[03:34:34.011 --> 03:34:35.992]  It's not left, right, Republican, Democrat.
[03:34:36.641 --> 03:34:42.723]  So if there's people down in this space, you've got thousands on here, and I see some names I recognize that are liberals, we're trying to help you too, you fuckers!
[03:34:42.923 --> 03:34:44.244]  We're trying to save the country!
[03:34:44.444 --> 03:34:47.845]  If the country saves the world... Is there a bunch of pussies that serve Satan?
[03:34:47.885 --> 03:34:49.446]  I think it's cute to be a Satanist.
[03:34:49.926 --> 03:34:51.667]  I think it's cute to kiss the devil's ass.
[03:34:51.727 --> 03:34:52.447]  You're totally right.
[03:34:53.707 --> 03:34:54.068]  They do.
[03:34:54.408 --> 03:34:54.748]  They do.
[03:34:54.948 --> 03:34:57.089]  Like, okay, look, it's Pride Month today.
[03:34:57.109 --> 03:34:57.669]  Listen.
[03:34:58.815 --> 03:35:00.917]  How about we have some fucking pride in the country?
[03:35:01.177 --> 03:35:02.798]  How about some pride in the country?
[03:35:03.339 --> 03:35:08.002]  Instead of kissing ass and sucking everybody's dick about this, that, and the other thing, and separating each other.
[03:35:08.062 --> 03:35:14.808]  What Alex has been trying to do, whether he's been right or wrong, and me too, whether I'm right or wrong on my show, what we're trying to do, we are patriots.
[03:35:14.848 --> 03:35:16.529]  We're trying to fucking help everyone.
[03:35:16.749 --> 03:35:18.691]  That includes people that we don't agree with!
[03:35:19.231 --> 03:35:24.236]  We would never want CNN or MSNBC or these cocksuckers shut down, even though they lie to you every fucking day.
[03:35:24.757 --> 03:35:26.698]  Because that's called freedom of speech and freedom of the press.
[03:35:26.939 --> 03:35:27.779]  That's what we're here for.
[03:35:28.060 --> 03:35:30.322]  And we're also here to save the family unit.
[03:35:30.902 --> 03:35:31.903]  To save this country.
[03:35:32.344 --> 03:35:37.689]  To save what, you know, I fucking served in the Air Force and I've been doing television news for 32 fucking years.
[03:35:38.189 --> 03:35:39.871]  And I thought I was doing the right thing serving my community.
[03:35:39.891 --> 03:35:41.913]  And then a few years ago I woke up, thanks to Trump,
[03:35:43.091 --> 03:35:45.172]  A lot of people, I think, woke up thanks to him.
[03:35:45.252 --> 03:35:46.452]  And now the movement is so big.
[03:35:46.472 --> 03:35:48.633]  And Alex, you've been out there spitting truth for decades.
[03:35:48.693 --> 03:35:50.494]  And look, I've always agreed with you on everything.
[03:35:50.974 --> 03:35:52.615]  But brother, I love the passion.
[03:35:52.635 --> 03:35:58.737]  I love that you have had the balls to fucking stand up to this fucking machine that wants to shut us all down.
[03:35:58.757 --> 03:35:59.938]  So thank you for that.
[03:35:59.958 --> 03:36:00.778]  That's the bottom line, brother.
[03:36:00.798 --> 03:36:02.438]  I ain't fucking bound to this machine.
[03:36:02.458 --> 03:36:03.919]  And I fucking hate it.
[03:36:04.279 --> 03:36:06.420]  And I'm in total fucking war against them.
[03:36:06.440 --> 03:36:06.960]  God bless you.
[03:36:07.420 --> 03:36:08.121]  God bless you, brother.
[03:36:08.301 --> 03:36:08.841]  Who's up next?
[03:36:09.813 --> 03:36:10.534]  Alright, alright.
[03:36:10.574 --> 03:36:12.355]  Next up, let's go to Terrible.
[03:36:12.555 --> 03:36:15.057]  Terrible, go ahead and unmute yourself and say what you have to say.
[03:36:16.718 --> 03:36:18.679]  If you're still with us, there you go.
[03:36:18.699 --> 03:36:21.581]  Hi guys, Alex, I just want to say you can't give up.
[03:36:22.141 --> 03:36:29.946]  We need you in this fight, but just so you know, we are here fighting for you no matter what happens.
[03:36:30.107 --> 03:36:32.568]  I know, no matter what happens to us, just keep attacking.
[03:36:33.369 --> 03:36:34.910]  Just keep going, don't ever give up.
[03:36:36.280 --> 03:36:36.840]  That's right.
[03:36:37.081 --> 03:36:37.481]  That's right.
[03:36:37.501 --> 03:36:39.322]  And we've built an army on this platform.
[03:36:39.423 --> 03:36:43.686]  I was just curious, where do people find you if they do padlock you and shut you down?
[03:36:43.706 --> 03:36:45.948]  I mean, I don't know.
[03:36:46.048 --> 03:36:53.694]  Real Alex Jones on X. I mean, I had never even thought about something past this because I would never give up on this.
[03:36:54.194 --> 03:36:55.675]  So I have no plan for the future.
[03:36:56.076 --> 03:36:58.277]  Real Alex Jones on X. Follow us there.
[03:36:58.297 --> 03:36:58.898]  That's where we're at.
[03:37:00.552 --> 03:37:17.121]  It's pretty crazy to see the full circle we've gone in where Twitter was the one platform censoring Trump during his presidency and started that whole charade and now we've gone full circle, done a 180, and it's the only platform allowing us to speak out.
[03:37:18.868 --> 03:37:20.249]  Look, I'm just trying as good as I can.
[03:37:20.309 --> 03:37:25.912]  I'm spiritually exhausted because I can feel, my problem is I can feel the evil coming in.
[03:37:26.033 --> 03:37:30.816]  I want to be strong to face this and guys like you already done your job, just step aside.
[03:37:31.316 --> 03:37:36.079]  So that's why I'm physically ill right now watching the full satanic takeover.
[03:37:36.499 --> 03:37:37.820]  We're just trying as best we can.
[03:37:37.860 --> 03:37:38.460]  We love you.
[03:37:38.901 --> 03:37:41.262]  We appreciate you and you're the answer in the future.
[03:37:41.662 --> 03:37:42.923]  Tell them the truth, but that's where we are.
[03:37:43.243 --> 03:37:43.604]  Thank you.
[03:37:44.284 --> 03:37:44.924]  Who's the next person?
[03:37:46.164 --> 03:37:47.025]  I don't want to leave.
[03:37:47.125 --> 03:37:47.765]  I'm exhausted.
[03:37:47.785 --> 03:37:48.866]  I couldn't even sleep last night.
[03:37:49.166 --> 03:37:49.847]  I slept on the couch.
[03:37:49.887 --> 03:37:50.547]  I'm not complaining.
[03:37:50.928 --> 03:37:53.529]  I'm completely cross-eyed, crazy, exhausted.
[03:37:53.910 --> 03:38:01.915]  And I can't, I'm literally here like watching a family member die, like 30 years on air, 27 years in operation, 15 years in this building.
[03:38:02.256 --> 03:38:05.378]  And I'm literally, when I know I leave tonight, they're going to shut us down.
[03:38:05.698 --> 03:38:06.919]  Maybe it's tomorrow, the next day.
[03:38:06.939 --> 03:38:09.101]  I just want people to know, I love you.
[03:38:09.321 --> 03:38:10.001]  I believe in you.
[03:38:10.101 --> 03:38:10.842]  I believe in humanity.
[03:38:10.882 --> 03:38:11.983]  I believe in my grandparents.
[03:38:12.083 --> 03:38:13.084]  I believe in my parents.
[03:38:13.604 --> 03:38:14.605]  I believe in humanity.
[03:38:15.345 --> 03:38:17.466]  I just want to stop these people.
[03:38:20.227 --> 03:38:21.548]  They gotta be stopped.
[03:38:21.608 --> 03:38:22.869]  We gotta stop them.
[03:38:24.910 --> 03:38:29.392]  So, at the end of the day, we're gonna beat these people.
[03:38:29.892 --> 03:38:34.594]  I'm not trying to be dramatic here, but it's been a hard fight.
[03:38:36.455 --> 03:38:38.176]  These people hate our children.
[03:38:42.847 --> 03:38:43.627]  Just take more calls.
[03:38:43.687 --> 03:38:44.027]  Go ahead.
[03:38:44.047 --> 03:38:44.828]  There's the next person.
[03:38:44.968 --> 03:38:46.468]  Because we can't give up now.
[03:38:46.548 --> 03:38:47.669]  We have to keep going.
[03:38:47.929 --> 03:38:48.709]  We have to stay here.
[03:38:48.729 --> 03:38:49.909]  We have to let them shut us down.
[03:38:49.949 --> 03:38:52.050]  We have to stand all the way to the end.
[03:38:52.450 --> 03:38:53.151]  And we're going to win.
[03:38:54.031 --> 03:38:55.911]  Jones, I think everybody needs a war cry, man.
[03:38:56.272 --> 03:38:57.972]  Can you muster a war cry?
[03:38:57.992 --> 03:38:59.453]  It's a big joke.
[03:39:00.013 --> 03:39:00.813]  It's not really, though.
[03:39:00.853 --> 03:39:01.794]  I mean, it is, but it isn't.
[03:39:01.914 --> 03:39:02.994]  It's also inspiring.
[03:39:07.589 --> 03:39:09.050]  It's my resistance to them.
[03:39:09.211 --> 03:39:10.572]  It's a God's transmission.
[03:39:10.952 --> 03:39:17.318]  It's a human under attack.
[03:39:24.325 --> 03:39:26.607]  Alright, let's go to one more speaker.
[03:39:26.627 --> 03:39:27.407]  Let's go to Myron.
[03:39:27.668 --> 03:39:28.889]  Myron, what is on your mind?
[03:39:31.078 --> 03:39:34.239]  Hey guys, Irene Gaines from the Fresh Look Podcast here, man.
[03:39:34.279 --> 03:39:35.840]  I just had to come in and show my support.
[03:39:36.420 --> 03:39:37.241]  I've been there, man.
[03:39:37.281 --> 03:39:39.081]  Demonetized, cancelled, all that shit.
[03:39:39.241 --> 03:39:40.842]  It's the fucking worst, man.
[03:39:41.362 --> 03:39:43.483]  I'm just here to lend a supporting hand.
[03:39:43.543 --> 03:39:46.945]  If you guys need anything from us down in Miami, just give me the word.
[03:39:46.965 --> 03:39:51.727]  No, they're only asking you to take what we do, and long after we're gone, just promote it.
[03:39:51.887 --> 03:39:52.987]  We are with you.
[03:39:53.407 --> 03:39:57.109]  Just all we ask is that we're with you, just promote what we did long after we're gone.
[03:39:58.410 --> 03:39:59.271]  Like cave drawings.
[03:39:59.291 --> 03:40:00.332]  People make those cave drawings.
[03:40:00.352 --> 03:40:01.553]  They want to be seen by their future.
[03:40:01.573 --> 03:40:03.715]  Because they love people beyond their family.
[03:40:04.015 --> 03:40:04.976]  Like, I want to be known.
[03:40:05.036 --> 03:40:05.697]  I love humans.
[03:40:05.737 --> 03:40:06.337]  I love humans.
[03:40:06.377 --> 03:40:08.579]  I want to just... I'm just here making cave drawings.
[03:40:09.420 --> 03:40:10.201]  I love you, man.
[03:40:10.241 --> 03:40:11.102]  I just want to help you.
[03:40:11.422 --> 03:40:12.043]  You want to help me.
[03:40:12.403 --> 03:40:13.644]  So just remember me.
[03:40:13.724 --> 03:40:14.305]  That's all I'm saying.
[03:40:15.774 --> 03:40:16.855]  No, well, here's the thing, Alex.
[03:40:16.875 --> 03:40:18.956]  We're not going to remember you because you're going to keep going, man.
[03:40:19.197 --> 03:40:21.538]  Because you started this shit and you're going to fucking end this shit.
[03:40:21.939 --> 03:40:22.939]  These people can't stop you.
[03:40:22.959 --> 03:40:25.981]  You've been fighting this fight for damn near since I was in diapers.
[03:40:26.362 --> 03:40:27.382]  You got to keep going, man.
[03:40:27.683 --> 03:40:29.824]  A lot of people started this because of you.
[03:40:29.844 --> 03:40:34.688]  I'm not going to quit.
[03:40:34.768 --> 03:40:36.669]  These motherfuckers are not going to take this from me.
[03:40:39.130 --> 03:40:40.251]  They're not gonna take this from you.
[03:40:40.271 --> 03:40:41.473]  You're a fucking legend, Alex.
[03:40:42.033 --> 03:40:43.234]  I don't care about me.
[03:40:43.635 --> 03:40:45.237]  It's that the fact they're coming!
[03:40:45.637 --> 03:40:46.978]  The assault is now!
[03:40:47.399 --> 03:40:48.620]  The enemy is coming!
[03:40:49.741 --> 03:40:50.222]  You understand?
[03:40:50.242 --> 03:40:50.983]  It's here!
[03:40:51.283 --> 03:40:51.904]  This is it!
[03:40:52.744 --> 03:40:53.585]  Do you understand me?
[03:40:53.665 --> 03:40:54.466]  It's not about me.
[03:40:54.827 --> 03:40:56.128]  The enemy is coming!
[03:40:56.889 --> 03:40:57.990]  We're the carry in the coal mine.
[03:40:58.170 --> 03:40:58.971]  Go ahead and finish up.
[03:40:59.111 --> 03:40:59.672]  I'm gonna finish up.
[03:41:00.970 --> 03:41:08.216]  No man, I mean, whatever you guys need, you guys need anything for FresherFit, man, you tell me, I'll... I'll tell you, I'll tell you, I'll tell you.
[03:41:08.636 --> 03:41:10.498]  InfoWars is overrun.
[03:41:11.118 --> 03:41:12.920]  Supporting InfoWars store, it's done.
[03:41:12.980 --> 03:41:13.740]  We're overtaken.
[03:41:14.000 --> 03:41:16.042]  Maybe we fix it, I'll tell you, day one it's happened.
[03:41:16.342 --> 03:41:16.763]  It's gone.
[03:41:17.283 --> 03:41:17.904]  We're overrun.
[03:41:18.544 --> 03:41:19.605]  Enemies all over us.
[03:41:19.965 --> 03:41:21.546]  My dad said two years ago.
[03:41:21.826 --> 03:41:22.747]  He's smarter than I am.
[03:41:23.067 --> 03:41:24.868]  He said you're gonna be shut down.
[03:41:24.928 --> 03:41:28.771]  I'm starting to think drjonesnaturals.com as our sponsor of the next level.
[03:41:29.111 --> 03:41:30.412]  We don't even need much money.
[03:41:30.792 --> 03:41:32.533]  We've already got emergency stuff backed up.
[03:41:32.793 --> 03:41:37.336]  We're gonna continue on no matter what happens here, but I need anyone that cares about what we're doing.
[03:41:37.636 --> 03:41:39.257]  I can't even believe how epic this is.
[03:41:39.297 --> 03:41:40.378]  Like it's a no-brainer.
[03:41:40.598 --> 03:41:42.499]  We have probably 5 million people watching right now.
[03:41:42.819 --> 03:41:46.161]  Less than 1% will buy a goddamn tube of toothpaste or a
[03:41:48.182 --> 03:41:49.223]  Incredible products we've got.
[03:41:49.543 --> 03:41:50.923]  Go to DonaldJonesNaturals.com.
[03:41:50.963 --> 03:41:51.703]  I'm not bitching.
[03:41:51.983 --> 03:41:53.543]  I'm like, you want a revolution, man?
[03:41:53.784 --> 03:41:54.504]  You want victory?
[03:41:54.544 --> 03:41:57.564]  You want fucking war against fucking terrorists?
[03:41:58.005 --> 03:42:00.405]  You fucking got people that are ready to fight, man.
[03:42:00.745 --> 03:42:04.566]  I mean, I'm fucking completely war-driven against these people.
[03:42:04.626 --> 03:42:05.866]  I fucking knocked my earpiece out.
[03:42:06.486 --> 03:42:08.987]  I am completely... Somebody come find my earpiece, put it in my ear.
[03:42:09.507 --> 03:42:12.308]  I am completely war-driven, okay?
[03:42:13.288 --> 03:42:14.511]  I literally love humanity.
[03:42:14.591 --> 03:42:15.873]  I fucking love people.
[03:42:15.933 --> 03:42:16.635]  I love everybody.
[03:42:16.935 --> 03:42:18.719]  Black people, white people, old people, everybody.
[03:42:19.640 --> 03:42:21.201]  I literally just want to beat tyrants.
[03:42:21.721 --> 03:42:23.282]  I literally love humanity, thank you.
[03:42:23.682 --> 03:42:32.365]  So I'm just saying, it's so fucking simple, drjonesnaturals.com, go get these products, support us with my embattled family.
[03:42:32.685 --> 03:42:38.387]  My dad literally saw this happening and said, I'm doing this at 75 years old and ran off and set this company up.
[03:42:38.407 --> 03:42:42.869]  So yes, drjonesnaturals.com, amazing products right now.
[03:42:43.289 --> 03:42:44.450]  There, I'm not going to even plug it.
[03:42:44.530 --> 03:42:47.091]  If you're not going to support me, I don't fucking care.
[03:42:48.663 --> 03:42:50.124]  But I am in the trenches.
[03:42:50.584 --> 03:42:51.685]  I hate satanists.
[03:42:52.125 --> 03:42:53.225]  I hate pedophiles.
[03:42:53.626 --> 03:42:54.746]  I hate demonic people.
[03:42:55.106 --> 03:42:56.247]  I hate anti-humans.
[03:42:56.407 --> 03:42:59.689]  I am totally fucking committed to our species.
[03:43:00.069 --> 03:43:02.911]  I am totally fucking committed against satanists.
[03:43:03.351 --> 03:43:03.631]  I have
[03:43:03.891 --> 03:43:05.012]  I hate the New World Order!
[03:43:05.232 --> 03:43:08.415]  With every ounce of my body, I don't support these people.
[03:43:08.655 --> 03:43:11.618]  And all I'm saying is, will you support us in this fight?
[03:43:11.658 --> 03:43:12.478]  DrJonesNash.com.
[03:43:12.738 --> 03:43:15.521]  And that's why I will release all the video.
[03:43:15.801 --> 03:43:23.407]  I will release all the shit on these fucking people that fucking think I'm gonna bow down to them and suck their fucking dick.
[03:43:23.828 --> 03:43:25.329]  It ain't fucking happening!
[03:43:25.569 --> 03:43:27.231]  They want a fucking war!
[03:43:27.831 --> 03:43:28.231]  Yay!
[03:43:28.331 --> 03:43:29.972]  Better believe they got one!
[03:43:30.252 --> 03:43:33.553]  And I'm sorry for all the cussin' folks, but I am beyond bullshit level.
[03:43:33.934 --> 03:43:36.815]  I'm beyond Mr. Fuckin' Nice Guy shit.
[03:43:36.875 --> 03:43:38.575]  That's all over now.
[03:43:39.076 --> 03:43:40.516]  Total war!
[03:43:41.217 --> 03:43:43.237]  Total war is what they want!
[03:43:43.658 --> 03:43:44.518]  Total war!
[03:43:45.038 --> 03:43:46.539]  Is what they get.
[03:43:46.799 --> 03:43:56.804]  So if you support what I'm doing, drjonesnaturals.com to support the tip of the spear and the fight for the human destiny in the future of the world.
[03:43:57.084 --> 03:43:58.464]  And I'm done talking about it.
[03:43:58.484 --> 03:43:59.305]  I appreciate you all.
[03:43:59.645 --> 03:44:00.985]  You guys can go and take more calls.
[03:44:01.045 --> 03:44:01.866]  I'm going to end this right now.
[03:44:01.886 --> 03:44:03.847]  And I'm just I'm fucking done.
[03:44:04.027 --> 03:44:04.687]  I'm done.
[03:44:04.707 --> 03:44:07.488]  I appreciate everybody.
[03:44:07.508 --> 03:44:08.529]  You guys close the comments.
[03:44:08.549 --> 03:44:08.769]  Go ahead.
[03:44:11.204 --> 03:44:14.705]  Every moment we have here at InfoWars shall not be taken for granted.
[03:44:14.965 --> 03:44:17.986]  Every moment that we have is truly in the final moments.
[03:44:18.006 --> 03:44:19.466]  It's a good chance this is our last show.
[03:44:20.247 --> 03:44:24.628]  No, if this is the final, if this is the final one, then I mean it's about as epic as you can do.
[03:44:24.648 --> 03:44:32.570]  It's about the last dance, stealing the ball, taking it down the court, crossing over your enemy, putting his ass on the floor, and hitting the buzzer beater shot to win the championship.
[03:44:33.271 --> 03:44:35.013]  So, you have nothing to be ashamed of.
[03:44:35.053 --> 03:44:36.615]  This crew has nothing to be ashamed of.
[03:44:36.655 --> 03:44:38.276]  This audience has nothing to be ashamed of.
[03:44:38.317 --> 03:44:40.819]  We have nothing to be afraid of.
[03:44:41.240 --> 03:44:42.361]  We will be victorious.
[03:44:42.381 --> 03:44:43.282]  We carried it out!
[03:44:43.822 --> 03:44:44.203]  That's right.
[03:44:44.483 --> 03:44:44.783]  That's it.
[03:44:45.652 --> 03:44:47.052]  Mission, mission.
[03:44:47.092 --> 03:44:53.994]  I mean, look, the mission is accomplished when either we save the country or they decommissioned Memorial Falcon.
[03:44:54.714 --> 03:44:58.095]  It's like, it's like, the only audience I ever have on is God.
[03:44:58.775 --> 03:44:59.735]  I never talk to the audience.
[03:44:59.775 --> 03:45:00.335]  I love the audience.
[03:45:00.355 --> 03:45:02.175]  I love you guys, but I never talk in the audience.
[03:45:02.696 --> 03:45:04.876]  I'm like in front of God every day on air.
[03:45:04.996 --> 03:45:06.256]  I have one fucking viewer.
[03:45:06.276 --> 03:45:07.137]  It's God.
[03:45:07.157 --> 03:45:09.357]  Does that make sense?
[03:45:12.983 --> 03:45:13.484]  No, that's it.
[03:45:13.524 --> 03:45:14.025]  That's the point.
[03:45:14.265 --> 03:45:16.128]  They can decommission the Millennium Falcon.
[03:45:16.289 --> 03:45:19.234]  It's kind of weird to shut this down because I don't think we're going to be, I think it's over.
[03:45:19.895 --> 03:45:23.057]  Like, folks, two days, I've had to live here to stop him.
[03:45:23.277 --> 03:45:26.098]  I've had to literally convince police and shit not to shut us down.
[03:45:26.618 --> 03:45:27.499]  And say, you don't have an order.
[03:45:27.539 --> 03:45:28.139]  Like, don't do it.
[03:45:28.479 --> 03:45:29.360]  Like, this is what's going on.
[03:45:29.400 --> 03:45:29.860]  You guys are here.
[03:45:30.260 --> 03:45:31.321]  Like, people don't know.
[03:45:31.361 --> 03:45:33.222]  Like, this is, I don't fucking hype you, man.
[03:45:33.562 --> 03:45:35.423]  I would never lie to you in a minute.
[03:45:35.463 --> 03:45:36.884]  This is going down.
[03:45:37.284 --> 03:45:43.027]  Well, yeah, Obi-Wan Kenobi could have battled Darth Vader for 10 million years, and he instead said, go ahead.
[03:45:43.567 --> 03:45:45.388]  I'll be more powerful than you can ever imagine.
[03:45:47.909 --> 03:45:49.290]  That's my guilt, though, because I've...
