[00:00:07.751 --> 00:00:13.372]  Just about every major government has been guilty of false flag operations to foment war.
[01:17:01.789 --> 01:17:05.731]  The arthritis, the heart attacks, the myocarditis, the strokes, the blood clots, the deaths.
[01:17:07.451 --> 01:17:08.012]  It's all here.
[01:17:08.612 --> 01:17:09.032]  Everything.
[01:17:09.152 --> 01:17:12.434]  And that's on the FDA website from October 2020.
[01:17:12.534 --> 01:17:15.755]  Three plus years ago.
[01:17:15.775 --> 01:17:16.836]  So, they knew.
[01:17:27.523 --> 01:17:29.204]  And I didn't just get that from this.
[01:17:29.244 --> 01:17:30.706]  I got the University Studies.
[01:17:31.126 --> 01:17:34.209]  Obama, in a directive, created this for you and your family.
[01:17:35.249 --> 01:17:36.791]  Because he's a nice person.
[01:17:36.831 --> 01:17:37.271]  We understand.
[01:17:37.291 --> 01:17:38.672]  I mean, he's a black guy.
[01:17:38.712 --> 01:17:39.933]  He's a loving, good man.
[01:17:40.534 --> 01:17:41.515]  Really cares about everybody.
[01:17:42.556 --> 01:17:42.916]  Alright.
[01:17:45.578 --> 01:17:47.239]  And if you don't like him doing that, you're a racist.
[01:17:47.840 --> 01:17:49.661]  See, they use front people that are black and women.
[01:17:50.458 --> 01:17:53.159]  You go to a globalist event, that's all their spokespersons now.
[01:17:53.219 --> 01:17:54.159]  It's a total front.
[01:17:54.179 --> 01:17:56.899]  They're going to kill everybody in the third world.
[01:17:57.139 --> 01:17:58.460]  They're guaranteed to get killed.
[01:18:01.260 --> 01:18:13.343]  So let's go ahead and go to Dr. Dennis Rancourt and the longer presentation.
[01:18:13.423 --> 01:18:14.023]  Go ahead and roll that.
[01:18:21.636 --> 01:18:38.703]  No, I'm not asking... Okay, I'm going to talk about something quite different.
[01:18:38.743 --> 01:18:41.344]  I'm going to talk about all-cause mortality.
[01:18:41.504 --> 01:18:44.205]  I'm not going to be concerned about what caused the death.
[01:18:44.725 --> 01:18:46.405]  We're just going to count deaths.
[01:18:47.066 --> 01:18:50.007]  And I'm going to show you data for Romania as well.
[01:18:52.478 --> 01:19:08.201]  And all of the graphs and results that I will be presenting are in several scientific reports that I myself and collaborators have been writing for the last three or more years, and they can be found on this website, the scientific reports.
[01:19:09.918 --> 01:19:16.300]  And these are my main collaborators on the all-cause mortality research, and two of them are in the room here with us.
[01:19:16.380 --> 01:19:23.602]  They're from Prague and another place that I told them I wouldn't forget the name of, and I just did.
[01:19:23.622 --> 01:19:26.023]  I'm sorry about that, Jeremy.
[01:19:27.584 --> 01:19:30.985]  And so I want to start the historic record
[01:19:33.780 --> 01:19:35.061]  Almost 1900.
[01:19:35.521 --> 01:19:37.382]  I'll show some data starting in 1900.
[01:19:37.483 --> 01:19:41.465]  I want to start really at the beginning of COVID, if you like.
[01:19:43.366 --> 01:19:46.709]  Now, all-cause mortality, you're just counting deaths.
[01:19:47.569 --> 01:19:51.992]  And this is the case of France from 1946 on, just after the Second World War.
[01:19:52.012 --> 01:20:01.339]  And what you find everywhere in the Northern Hemisphere is that death is higher, is larger in the wintertime.
[01:20:02.559 --> 01:20:05.921]  It comes down in the summertime, and so it has a seasonal pattern.
[01:20:06.261 --> 01:20:12.824]  That's very regular This has been known for more than a hundred years, and I would argue that it's not completely understood.
[01:20:12.904 --> 01:20:24.991]  I would argue that it's understood But this is what the pattern looks like by months, so we're looking at mortality by month in France and if you integrate
[01:20:26.004 --> 01:20:32.199]  By year, by cycle year, around each winter from summer to summer in France, it looks like this.
[01:20:33.283 --> 01:20:37.666]  So there can be an intense winter followed by a lower winter and so on.
[01:20:38.327 --> 01:20:39.588]  And the pattern looks like that.
[01:20:39.708 --> 01:20:46.913]  So since the end of the Second World War, mortality on a population basis has been decreasing mostly.
[01:20:47.474 --> 01:20:52.097]  And it's typically 1% of the population that dies in a given year.
[01:20:53.118 --> 01:20:55.720]  So this is the kind of data we're going to deal with.
[01:20:56.480 --> 01:20:59.723]  And that last year is the first year of the so-called pandemic.
[01:21:01.098 --> 01:21:06.262]  And now if we go to the USA to give another example, I can do all-cause mortality.
[01:21:06.782 --> 01:21:10.284]  This is by year now for a particular age group.
[01:21:10.444 --> 01:21:19.390]  This is the 15 to 24-year-old age group, and I've separated into male and female, so you've got the two colors there.
[01:21:20.091 --> 01:21:27.316]  And this graph allows us to illustrate what you can see when you measure mortality, which is a hard figure.
[01:21:27.816 --> 01:21:34.280]  Nobody can tell you that the government didn't count the deaths correctly because they're very serious about counting deaths.
[01:21:34.580 --> 01:21:36.501]  And it's a legalistic process.
[01:21:36.861 --> 01:21:38.342]  And so this is hard data.
[01:21:38.923 --> 01:21:40.083]  And this is what you see.
[01:21:40.804 --> 01:21:43.746]  You see that there was an event in 1918.
[01:21:44.386 --> 01:21:48.669]  That event was recovered by the CDC and called the Spanish Flu.
[01:21:50.086 --> 01:21:55.708]  I know, and there are several scientific articles that show that this was not a viral respiratory disease.
[01:21:57.469 --> 01:22:01.871]  No one over 50 years old died in that huge peak of mortality.
[01:22:02.391 --> 01:22:06.353]  Only young adults and families and teenagers died in that peak.
[01:22:07.193 --> 01:22:09.474]  And, you know, the rich didn't die in that period.
[01:22:10.214 --> 01:22:34.802]  So, that was 1918, and then in the United States you have something called the Great Depression, huge economic collapse, followed by an economic related, the Dust Bowl, which was an environmental catastrophe, partly, and those were the big hardships, recent hardships in the USA, and you can see the mortality there in both men and women in those periods.
[01:22:35.202 --> 01:22:37.443]  Then in the Second World War you see that men
[01:22:38.263 --> 01:22:49.090]  Have a mortality whereas women do not and I think we all understand why and in the Vietnam War period you can see that that there is a hump in mortality for the men.
[01:22:49.530 --> 01:22:54.414]  This is what you can see in all cause mortality and so in conclusion.
[01:22:55.652 --> 01:23:11.763]  I've been studying all-cause mortality extensively in more than a hundred countries on all the continents except Antarctica, obviously, and in great detail by unit time, by week, by day, by month, by age group, by sex, and I can tell you
[01:23:12.682 --> 01:23:17.345]  That the only thing you can see in all-cause mortality data are the following things.
[01:23:18.306 --> 01:23:20.247]  Seasonal variations like I explained.
[01:23:20.948 --> 01:23:25.231]  A maximum in the winter and in the southern hemisphere it's reversed.
[01:23:26.021 --> 01:23:27.422]  Their winter is our summer.
[01:23:27.462 --> 01:23:30.105]  That's when they have a maximum of mortality.
[01:23:30.785 --> 01:23:34.569]  In the equatorial region, there is no seasonal variation in mortality.
[01:23:34.729 --> 01:23:35.410]  There's no spikes.
[01:23:35.470 --> 01:23:36.310]  It's a flat line.
[01:23:37.071 --> 01:23:40.134]  So there's seasonal variation that follows the hemispheres.
[01:23:40.935 --> 01:23:43.197]  You can see wars, like I mentioned.
[01:23:43.757 --> 01:23:45.537]  You can see economic collapses.
[01:23:46.078 --> 01:23:48.638]  Huge economic collapses that affect populations.
[01:23:49.178 --> 01:23:55.620]  You can see summer heat waves in northern latitudes that are not used to having a very hot period in the summer.
[01:23:55.980 --> 01:23:56.880]  That kills people.
[01:23:57.380 --> 01:24:00.061]  Sometimes because they fall down the stairs when it's really hot.
[01:24:00.481 --> 01:24:05.702]  But it kills people and you can see a peak that lasts about a week in one of these hot spells.
[01:24:06.582 --> 01:24:07.803]  You can see earthquakes.
[01:24:08.564 --> 01:24:10.005]  Right away, you see the earthquake.
[01:24:10.045 --> 01:24:14.429]  People get crushed by buildings, you count the dead, and you see a peak due to earthquakes.
[01:24:15.441 --> 01:24:22.623]  But we do not see or detect any of the CDC-claimed pandemics that occurred in 1957, 58, 68, 2009.
[01:24:24.743 --> 01:24:38.966]  Those pandemics, those so-called pandemics, do not give rise to any excess all-cause mortality that can be detected in any jurisdiction and or by any means.
[01:24:40.572 --> 01:24:47.375]  Excess death cannot be detected on the national or state scale for these so-called pandemics.
[01:24:47.675 --> 01:24:49.916]  So they did not cause excess death, whatever they are.
[01:24:51.476 --> 01:24:55.978]  And then you have, I explained 1918, then we have the COVID period.
[01:24:56.755 --> 01:24:59.717]  And in the COVID period, there was a huge assault.
[01:25:00.057 --> 01:25:06.943]  There were many a multi pronged assault against people, vulnerable people in many different jurisdictions.
[01:25:07.483 --> 01:25:12.807]  So depending on what the state did before they brought in the vaccines, I'll talk about the vaccines as well.
[01:25:13.387 --> 01:25:19.772]  But depending on what the states did, they caused excess mortality, sometimes huge amounts of it.
[01:25:19.932 --> 01:25:21.293]  And I'll show you examples of that.
[01:25:22.334 --> 01:25:24.976]  So, um,
[01:25:27.566 --> 01:25:37.952]  So, first I want to tell you that something just happened socially as part of the propaganda, which is that the Nobel Prize was awarded for this so-called vaccine.
[01:25:38.973 --> 01:25:50.440]  And I want to show you how absurd this is because all the politicians that were supporting this were claiming that tens of millions of lives were saved by the vaccine, this magical vaccine for which we had given the Nobel Prize.
[01:25:50.780 --> 01:25:51.781]  Well, we looked at that
[01:25:52.301 --> 01:25:54.122]  We looked at the basis for that claim.
[01:25:54.283 --> 01:26:01.008]  And the basis for the claim is an article that appeared in Lancet Infectious Diseases in 2022 by Watson et al.
[01:26:01.488 --> 01:26:05.771]  And they claim that between 14 and 19 million lives were saved.
[01:26:06.312 --> 01:26:13.437]  So we, as physicists, as scientists, we said, OK, if that's what you're claiming, let's calculate and see what that would look like
[01:26:14.278 --> 01:26:16.581]  On the scale of all-cause mortality by time.
[01:26:17.101 --> 01:26:19.083]  And so let's start somewhere.
[01:26:19.604 --> 01:26:20.805]  And let's go to Canada.
[01:26:21.246 --> 01:26:22.868]  And we see the seasonal cycle.
[01:26:22.948 --> 01:26:26.131]  So this is all-cause mortality on a scale that starts at zero.
[01:26:26.852 --> 01:26:28.834]  And let's look at the seasonal variation.
[01:26:29.235 --> 01:26:32.638]  That vertical line is the declaration of the pandemic.
[01:26:33.564 --> 01:26:47.853]  The very first peak you see in blue there is Canada killing elderly people and vulnerable people in hospitals and in care homes because of aggressive initial treatments because they were concerned about this so-called pandemic.
[01:26:48.293 --> 01:26:56.158]  And this happened in many hot spots in Western countries, but it did not happen in any of the Eastern European countries or in Russia.
[01:26:56.838 --> 01:27:01.322]  So depending on the country, depending on what they did, that's the thing.
[01:27:01.442 --> 01:27:03.964]  It did not happen in Germany where they were not doing this.
[01:27:04.064 --> 01:27:05.245]  Well, hit pause.
[01:27:05.285 --> 01:27:20.097]  Yeah, and again, that was the bounty in the key countries, the $53,000 adjusted to every currency that's equivalent to $53,000, all battle-planned perfectly, to then murder them with the ventilators, the rendezvous, and the rest of it, while locking the families out so they could commit the murders.
[01:27:20.578 --> 01:27:21.519]  And in places like New York,
[01:27:22.717 --> 01:27:27.579]  Leftist Hotspots LA, it would be only a few of the big hospitals where all the deaths happened.
[01:27:27.759 --> 01:27:29.800]  Because the little ones and stuff weren't going to murder people.
[01:27:29.820 --> 01:27:32.602]  They didn't have nurses and doctors that wanted to kill people and get the $53,000.
[01:27:33.082 --> 01:27:39.205]  So there's hotspot cities and then hotspots within those all over the world where they were on the operation.
[01:27:40.404 --> 01:27:41.665]  But we're going to go to break.
[01:28:11.705 --> 01:28:14.866]  Not as for the dead and what they did, but because they're going to do it again.
[01:28:14.886 --> 01:28:18.408]  And they're licking their sick lips while they talk about it.
[01:28:18.428 --> 01:28:26.633]  I mean, it'd be like if somebody pulled up my office and was walking around it with a 50-gallon gas can, dumping gasoline.
[01:28:26.673 --> 01:28:29.594]  I'd go out and put a gun to their head and say, don't light a match and call the police.
[01:28:30.275 --> 01:28:38.679]  Well, I mean, they're literally pouring gasoline on all of us, laughing and giggling right now, and they're pulling out a pack of matches, saying, I'm going to light this.
[01:28:38.699 --> 01:28:39.720]  And I'm like, no, you're not.
[01:28:40.916 --> 01:28:41.336]  No, you're not.
[01:28:41.416 --> 01:28:43.077]  You scum.
[01:28:43.697 --> 01:28:44.597]  You psychos.
[01:28:45.998 --> 01:28:52.760]  There's hidden 12 monkeys where a guy fictitiously, you know, in a movie, puts a bioweapon in an airport.
[01:28:52.820 --> 01:28:54.000]  This is really going on.
[01:28:54.300 --> 01:28:55.520]  They put it in the shots.
[01:28:55.580 --> 01:28:57.021]  They inject it in your body.
[01:28:58.490 --> 01:29:02.571]  Infowarsstore.com is like a grocery store, or like a vitamin shop.
[01:29:03.172 --> 01:29:05.132]  We want to have all the best brands for you.
[01:29:05.152 --> 01:29:06.893]  We want to have a bunch of different choices for you.
[01:29:07.193 --> 01:29:09.414]  So I get constant questions online and in person.
[01:29:09.674 --> 01:29:10.374]  Hey, what's better?
[01:29:10.474 --> 01:29:10.974]  Knockout?
[01:29:11.334 --> 01:29:11.915]  What's better?
[01:29:12.675 --> 01:29:13.135]  Down-and-out?
[01:29:13.415 --> 01:29:13.875]  What's better?
[01:29:13.935 --> 01:29:15.536]  Why do you sell two or three different sleep aids?
[01:29:16.216 --> 01:29:21.138]  And the answer is, different herbal formulas, different compounds are better for different people.
[01:29:21.838 --> 01:29:25.421]  So, one person might like this coffee, another person likes that coffee.
[01:29:25.801 --> 01:29:27.122]  That's how our bodies work.
[01:29:27.142 --> 01:29:28.043]  They're all very diverse.
[01:29:28.443 --> 01:29:38.631]  But we've been able to private label a national bestseller that's been sold for many years that people love and sold for a lower price under the name InfoWarsMD Good Night's Sleep.
[01:29:39.372 --> 01:29:44.780]  This is a great formula, full of amazing safe compounds, give you deeper, cleaner, restful sleep.
[01:29:44.980 --> 01:29:49.146]  And it's in stock, available right now, of 25% off, out of the gates.
[01:29:49.547 --> 01:29:53.532]  So get your M4 Wars MD, good night's sleep today, at M4WarsWare.com.
[01:29:58.769 --> 01:30:05.571]  One of the most frustrating things about being awake to the globalist agenda is seeing the general public still asleep.
[01:30:06.471 --> 01:30:19.474]  By and large, not aware of the magnitude of the incredible danger they're under, but also the ongoing attacks and the magnitude of the death caused by the lethal injections masquerading as vaccines.
[01:30:19.634 --> 01:30:24.535]  It is so frustrating to see people going about their daily lives oblivious
[01:30:26.087 --> 01:30:28.655]  You realize, Akron's not bliss, it equals death.
[01:30:30.302 --> 01:30:50.729]  But people are starting to really understand how serious things are, and that's a hard thing to do, because to wake up to a dystopian reality and realize that we're in the middle of a giant biological weapons war against humanity, and that there's mass sterilization that's already taking place, and they're cutting off all the major energy sources, is really hard to deal with, but it's the reality.
[01:30:51.289 --> 01:30:55.470]  Facing it is our only chance to turn this around, because stuff's about to get really, really nasty.
[01:30:55.871 --> 01:30:56.511]  Infowars.com.
[01:30:58.427 --> 01:31:06.570]  January 2024 is here and that means up to 60% off at Infowarestore.com, free shipping and double Patreon points.
[01:31:07.031 --> 01:31:12.593]  This is one of the biggest deals of the year and it supports the M4 and we're selling out a lot of these products.
[01:31:12.653 --> 01:31:16.555]  It'll be months and months until more are back in stock, whether it's books, films,
[01:31:17.335 --> 01:31:18.456]  T-shirts, you name it.
[01:31:18.716 --> 01:31:28.141]  You need to go to Infowarsstore.com right now and take advantage of this 2024 New Year sale, double Patreon points, free shipping, and so much more.
[01:31:28.421 --> 01:31:34.504]  Get a copy of my book, Signed or Unsigned, The Great Awakening, The Plan to Defeat the Globalists, and launch the next great renaissance.
[01:31:34.924 --> 01:31:38.606]  And again, thank you so much for your amazing support in 2023.
[01:31:38.866 --> 01:31:41.547]  But 2024, as everybody knows, is the big year.
[01:31:41.867 --> 01:31:45.669]  So please support us and get great products at InfoWarsStore.com.
[01:31:46.149 --> 01:31:51.912]  And tell everybody you know and those you don't know, tune into the live show at InfoWars.com forward slash show.
[01:31:52.172 --> 01:31:53.633]  God bless and we're going into 2024 together.
[01:31:58.467 --> 01:32:06.630]  January 2024 is here, and that means up to 60% off at InfoWarStore.com, free shipping and double Patreon points.
[01:32:07.070 --> 01:32:10.732]  This is one of the biggest deals of the year, and it supports the InfoWar.
[01:32:10.832 --> 01:32:12.633]  And we're selling out a lot of these products.
[01:32:12.693 --> 01:32:15.714]  It'll be months and months until more are back in stock.
[01:32:15.854 --> 01:32:26.298]  Whether it's books, films, t-shirts, you name it, you need to go to InfoWarStore.com right now and take advantage of this 2024 New Year sale, double Patreon points,
[01:32:26.598 --> 01:32:28.179]  Free shipping, and so much more.
[01:32:28.459 --> 01:32:34.581]  Get a copy of my book, Signed or Unsigned, The Great Awakening, The Plan to Defeat the Globalists, and Launch the Next Great Renaissance.
[01:32:34.981 --> 01:32:38.622]  And again, thank you so much for your amazing support in 2023.
[01:32:38.922 --> 01:32:41.603]  But 2024, as everybody knows, is the big year.
[01:32:41.903 --> 01:32:45.724]  So please support us and get great products at InfoWarsStore.com.
[01:32:46.204 --> 01:32:51.946]  And tell everybody you know, and those you don't know, tune into the live show at InfoWars.com forward slash show.
[01:32:52.226 --> 01:32:53.787]  God bless, and we're going into 2024 together.
[01:33:00.874 --> 01:33:06.842]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:33:17.756 --> 01:33:18.057]  Alright!
[01:33:19.716 --> 01:33:23.837]  Defending the Republic from enemies foreign and domestic.
[01:33:24.597 --> 01:33:26.098]  It's Alex Jones.
[01:33:26.818 --> 01:33:28.958]  I'm gonna play like 18 more minutes of this.
[01:33:29.018 --> 01:33:30.218]  There's like a 12-minute piece.
[01:33:30.258 --> 01:33:31.319]  I think we've got time to get in.
[01:33:31.359 --> 01:33:32.379]  If not, I'm gonna ask Chase to play.
[01:33:32.399 --> 01:33:35.520]  I've started a show Sunday live that goes from 6 to 8 p.m.
[01:33:35.560 --> 01:33:35.900]  Central.
[01:33:36.440 --> 01:33:43.282]  I'll be covering all this tomorrow because it's 100% clear and a lot of the really big smart people agree it's going down.
[01:33:44.082 --> 01:33:44.282]  So...
[01:33:45.282 --> 01:33:48.364]  I mean, I'm trying to save my life and my family's life and your life, too.
[01:33:48.384 --> 01:33:49.145]  We're all in this together.
[01:33:49.645 --> 01:33:51.106]  And again, I wish this wasn't true.
[01:33:51.186 --> 01:33:58.692]  So, after I play this longer clip, though, I'm going to play Evaldo Harari bragging about how great the pandemic was to cut carbon.
[01:33:58.712 --> 01:33:59.513]  That means cut people.
[01:34:00.333 --> 01:34:03.616]  And how it's going to train us to not have money and not be able to travel.
[01:34:03.676 --> 01:34:05.877]  And they're all saying it.
[01:34:05.897 --> 01:34:06.978]  New York Times, London Guardian.
[01:34:06.998 --> 01:34:10.721]  It's just they think you're stupid and they sit there and brag about it.
[01:34:12.389 --> 01:34:13.650]  How they control our governments.
[01:34:14.030 --> 01:34:15.771]  How they control half the cabinets of the world.
[01:34:16.212 --> 01:34:17.693]  And Larry Fink prancing around.
[01:34:21.775 --> 01:34:24.517]  They hate you, okay?
[01:34:25.258 --> 01:34:25.738]  They hate me.
[01:34:25.838 --> 01:34:26.739]  They hate my children.
[01:34:27.899 --> 01:34:28.480]  My children!
[01:34:32.502 --> 01:34:33.883]  So stand up for yourselves, dammit.
[01:34:34.784 --> 01:34:36.585]  Make this information number one.
[01:34:37.546 --> 01:34:39.067]  And it's becoming that, and we're going to beat them.
[01:34:39.507 --> 01:34:40.648]  I'll tell you why I'm really fired up.
[01:34:40.688 --> 01:34:42.109]  We've got a good chance of beating them.
[01:34:45.060 --> 01:34:48.721]  We've got a good chance, folks, but we've killed so many of our own babies and done so much stuff.
[01:34:49.081 --> 01:34:50.981]  God has given us a chance to turn this around.
[01:34:52.181 --> 01:34:54.862]  And if we don't do it, God's going to say, fine, and He's going to let them kill us.
[01:34:58.903 --> 01:35:00.903]  And I guess the bad stuff I did will come back on me.
[01:35:03.164 --> 01:35:04.144]  Because I killed my children.
[01:35:04.344 --> 01:35:05.064]  I didn't understand it.
[01:35:05.384 --> 01:35:06.585]  I repented of it when I was young.
[01:35:07.065 --> 01:35:08.165]  But I was involved in abortions.
[01:35:09.130 --> 01:35:14.633]  And God, I imagine those kids, I'd fight and die for them so much right now, I love my children so much, and I can't believe I did that!
[01:35:15.233 --> 01:35:17.614]  And now they're just gonna take more away!
[01:35:17.634 --> 01:35:24.057]  You're gonna let them do that to you?
[01:35:25.018 --> 01:35:25.638]  You think it's funny?
[01:35:25.658 --> 01:35:29.040]  You know, the sick part of me, though, at least all these leftists are gonna die.
[01:35:29.060 --> 01:35:31.281]  Patel, they're the ones taking the shots, dying anyways.
[01:35:31.301 --> 01:35:36.063]  Let's just go back to the report, here it is.
[01:35:41.377 --> 01:35:43.679]  The computer's been freezing up today when it rains pores.
[01:35:43.719 --> 01:35:51.506]  This happened in many hotspots in Western countries, but it did not happen in any of the Eastern European countries or in Russia.
[01:35:52.146 --> 01:35:56.650]  So depending on the country, depending on what they did, that's the thing.
[01:35:56.770 --> 01:35:59.292]  It did not happen in Germany where they were not doing this.
[01:35:59.552 --> 01:35:59.813]  Okay.
[01:36:00.373 --> 01:36:13.797]  Then we go on and we bring in the vaccines, and they are claiming that this vaccine, which is the number of vaccines is that grey curve, that's the cumulative vaccine doses being given in Canada.
[01:36:14.377 --> 01:36:21.339]  And what you see is they're claiming that, thank God we brought in the vaccines at that time, because otherwise we would have had the mortality in red there.
[01:36:22.159 --> 01:36:27.241]  They're claiming that their vaccine saved us from having the mortality in red, that they calculated.
[01:36:28.061 --> 01:36:45.046]  They're claiming that there would have been mortality like we've never seen in the history of a human society and that, thank God, this vaccine came at just the time when there would have been this incredible mortality and saved us and brought down the mortality to basically the same level we've always had.
[01:36:45.686 --> 01:36:46.766]  That's what the vaccine did.
[01:36:46.887 --> 01:36:50.848]  Not halfway down, not somewhere in between, but just brought things down.
[01:36:51.308 --> 01:36:58.852]  This is the magic of the vaccine that is explained by the magic of mathematical models written by...
[01:37:00.114 --> 01:37:03.395]  Bought-out scientists working for bought-out politicians.
[01:37:03.715 --> 01:37:05.375]  So, it is not true.
[01:37:05.715 --> 01:37:07.415]  The vaccine did not save lives.
[01:37:08.556 --> 01:37:12.577]  In fact, and I'll show Romania, I'll skip some slides.
[01:37:12.677 --> 01:37:22.899]  This is Canada again, but instead of showing raw, all-cause mortality, we've corrected the mortality to show only the excess of mortality.
[01:37:23.219 --> 01:37:23.939]  And therefore,
[01:37:24.679 --> 01:37:32.688]  You have a flat baseline until the pandemic and then you can see the excesses that occur at various times depending on what the government was doing.
[01:37:33.309 --> 01:37:36.753]  And again, the curve of predicted saved lives.
[01:37:38.191 --> 01:37:43.332]  Now we can do this in the United States.
[01:37:43.892 --> 01:37:52.554]  The United States was a country that treated, that had many more vulnerable people health-wise than Canada, and treated them very aggressively.
[01:37:52.994 --> 01:38:01.736]  So the baseline, if you like, excess all-cause mortality in blue there, has huge features which you do not see in Canada.
[01:38:02.956 --> 01:38:08.361]  And this is a very strange virus that we're dealing with here because it carries a passport.
[01:38:08.962 --> 01:38:10.663]  It refused to cross from the U.S.
[01:38:10.703 --> 01:38:17.990]  into Canada, despite the fact that it's thousands of kilometers of the two biggest exchange partners, you know, on the continent.
[01:38:18.610 --> 01:38:20.632]  The vaccine was not crossing borders.
[01:38:20.772 --> 01:38:22.934]  It didn't cross initially into Germany.
[01:38:23.315 --> 01:38:28.759]  When we draw maps of intensity of excess mortality, we see that the vaccine has definite
[01:38:29.676 --> 01:38:31.397]  Passports, depending on jurisdiction.
[01:38:32.017 --> 01:38:35.918]  In other words, this was not a spreading viral respiratory disease.
[01:38:36.878 --> 01:38:53.043]  Our conclusion from studying all the all-cause mortality, I'll tell you our conclusion before we get there, is that our data, this hard data, contradicts the idea that there was a particularly virulent pathogen that came onto the planet,
[01:38:53.883 --> 01:38:57.489]  And that spread and that caused havoc by itself.
[01:38:58.351 --> 01:39:01.857]  Instead what we see is that everywhere that there is excess mortality.
[01:39:02.284 --> 01:39:09.588]  You can understand it in terms of the incredible aggressive treatments that were done and the vaccines, which you can quantify.
[01:39:09.608 --> 01:39:12.449]  I gave you the conclusion ahead of time.
[01:39:12.489 --> 01:39:13.530]  I'm skipping ahead a bit.
[01:39:14.030 --> 01:39:14.730]  But no matter.
[01:39:15.231 --> 01:39:16.631]  This is what Europe looks like.
[01:39:17.072 --> 01:39:23.615]  Overall Europe, or the countries that we were able to include here, it looks quite similar to the US, the situation in the US.
[01:39:23.935 --> 01:39:25.436]  Now let me show you Romania.
[01:39:26.697 --> 01:39:27.397]  In Romania,
[01:39:29.622 --> 01:39:34.364]  There is no excess mortality at the beginning, right after the pandemic is announced.
[01:39:34.824 --> 01:39:39.145]  That just is a feature of hotspots in the Western European countries.
[01:39:40.106 --> 01:39:43.587]  But then there is a massive excess peak that starts.
[01:39:44.227 --> 01:39:46.448]  We're going to talk about that a little bit more because we don't
[01:39:47.648 --> 01:39:51.130]  I'm starting to understand it as I talk to people who know more about Romania.
[01:39:51.530 --> 01:40:04.998]  And then the vaccines are rolled out, and I know that Romanians didn't get vaccinated maybe as much as others, but still, the claim in this theoretical paper is that the excess mortality would have been that red line, if there had not been the vaccines.
[01:40:05.618 --> 01:40:15.723]  But what I see when I look at that pattern is that there's a peak right when you start rolling out the vaccines, then there's a really large peak when you roll them out again,
[01:40:16.843 --> 01:40:22.907]  And then there's, you see that last peak there is directly associated to the booster doses that were given.
[01:40:23.007 --> 01:40:26.390]  So I'm going to look at that in some detail at the end of the talk.
[01:40:26.430 --> 01:40:29.352]  I just want to back this up because I know this backwards and forwards, you can look this up yourself.
[01:40:30.192 --> 01:40:34.755]  And it's directly related as people stop taking as much, it goes down again.
[01:40:35.035 --> 01:40:40.960]  But what the experts predicted was when you got the second and third, it would turbocharge it because it has an amplifying effect.
[01:40:41.900 --> 01:40:43.962]  Okay, so it all fits perfectly.
[01:40:44.002 --> 01:40:44.322]  Continue.
[01:40:47.704 --> 01:40:56.207]  Not this theoretical redline stuff of what theorists are telling us, but coming back to the hard data, this is what it looks like in the United States.
[01:40:57.508 --> 01:41:05.891]  So on the bottom you have all-cause mortality by month, you have the vertical line in each graph that shows the announcement of the pandemic, and mysteriously,
[01:41:07.119 --> 01:41:16.611]  At the announcement of the pandemic, there are hot spots synchronously at the same time in hot spots around the world where there's this huge initial peak of mortality.
[01:41:17.071 --> 01:41:21.216]  I was the first to write an article about that and to point out that normally
[01:41:22.355 --> 01:41:27.859]  Viruses do not follow political directives, and they don't, so it has to be something else.
[01:41:27.979 --> 01:41:31.141]  And also there's no evidence that there was spread in this feature.
[01:41:31.862 --> 01:41:38.546]  It happens synchronously in the whole northern hemisphere, for example, and there's no evidence that it then spread.
[01:41:38.566 --> 01:41:45.351]  It was localized, it stayed there, and it was due mostly to extremely aggressive medical treatments.
[01:41:46.830 --> 01:41:56.756]  Uh, because the medical teams were told, they were propagandized, that there was this horrible virulent thing that was just going to come down on us and now we've just announced it's a pandemic.
[01:41:57.157 --> 01:42:00.479]  So they had a license to try whatever
[01:42:02.921 --> 01:42:19.150]  Help they could give, and sometimes they prescribed too much, they entubed people with mechanical respirators, a ghastly thing to do, and the places that did this most aggressively, these treatments, and we can follow that in our data, had the largest peaks of this type.
[01:42:19.450 --> 01:42:20.071]  Northern Italy?
[01:42:21.471 --> 01:42:27.094]  Even Stockholm was protecting the elderly, especially, and they had a peak like that.
[01:42:27.714 --> 01:42:29.875]  And New York City, obviously, is well known.
[01:42:30.395 --> 01:42:34.057]  So this is mainly the New York City peak that you see in the U.S.
[01:42:34.117 --> 01:42:34.597]  data here.
[01:42:35.762 --> 01:42:43.168]  Then the curve in the middle is all-cause mortality again, but by week now, a finer time resolution, so you can see more of the details.
[01:42:43.729 --> 01:42:45.751]  And the curve on top is a blow-up of that.
[01:42:46.291 --> 01:42:57.000]  And what you see for the first time in recorded history in the U.S., in the mortality history, is peaks occurring in mid-summer in the United States.
[01:42:57.781 --> 01:42:58.261]  Unheard of.
[01:42:58.982 --> 01:43:00.784]  And so I put black dots there to show them.
[01:43:01.244 --> 01:43:12.976]  The first one occurs at a time when they were really aggressing poor people who live in the very hot southern states, and the integrated mortality for that correlates with poverty.
[01:43:13.817 --> 01:43:15.859]  If you were poor, you died at that time.
[01:43:15.919 --> 01:43:17.301]  If you were not, you didn't die.
[01:43:17.941 --> 01:43:20.724]  And then they brawled out the vaccines, and
