[00:00:00.169 --> 00:00:01.470]  Synthetic.
[02:26:14.512 --> 02:26:16.054]  It's like, dude, you're lying.
[02:26:16.654 --> 02:26:17.094]  You're lying.
[02:26:17.535 --> 02:26:20.597]  Inflation when Trump left was officially at 1.4%.
[02:26:21.197 --> 02:26:22.418]  I think that's understated too.
[02:26:25.180 --> 02:26:39.413]  If it was at 1.4 and now they have these bogus numbers that they are, nobody believes for a second, Alex, that Biden is telling the truth on inflation when eggs have tripled or quadrupled in price.
[02:26:39.833 --> 02:26:44.997]  He just said Wednesday that inflation was higher under Trump, but it's 9 plus percent under him.
[02:26:45.017 --> 02:26:46.719]  It was 1.5 when it was under Trump.
[02:26:47.039 --> 02:26:49.661]  I mean, he's literally saying whales fly in the sky.
[02:26:50.646 --> 02:26:54.427]  Yeah, I mean, nobody that actually goes to the grocery store believes any of that nonsense.
[02:26:54.567 --> 02:26:57.028]  All right, I want to take a break, because this is so important, what you mentioned.
[02:26:57.068 --> 02:26:58.969]  I'm glad you reminded me, because I had the clip 30 months ago.
[02:26:59.489 --> 02:27:07.491]  Here is last year, the FDIC board meeting, where they're saying, we're going to have to have bail-ins, but we can't tell the public.
[02:27:07.511 --> 02:27:11.253]  Maybe we shouldn't be talking about this on video, because it's all public records.
[02:27:11.473 --> 02:27:13.253]  This is actually a federal agency, like the Federal Reserve.
[02:27:13.853 --> 02:27:14.794]  We'll play this clip.
[02:27:15.954 --> 02:27:17.935]  We're going to play a John Bowne report, so we can both take a break.
[02:27:18.800 --> 02:27:19.080]  I don't know.
[02:27:37.290 --> 02:27:41.774]  But I was literally trying to get him on as a guest, and I was like, well, why aren't we were trying to talk to you?
[02:27:42.334 --> 02:27:45.797]  You need to go to KEPM.com forward slash gold.
[02:27:45.917 --> 02:27:46.597]  Is it perfect?
[02:27:46.637 --> 02:27:47.478]  No, only God's perfect.
[02:27:47.978 --> 02:27:51.421]  But I only promote what I feel good about.
[02:27:51.481 --> 02:27:52.902]  And I've been on there 30 years, folks.
[02:27:53.282 --> 02:27:55.444]  You know, 98% of what we say happens, OK?
[02:27:55.724 --> 02:27:58.186]  I make mistakes, but there's no perfect thing.
[02:27:58.246 --> 02:28:00.968]  But I feel good telling you to get gold and silver.
[02:28:01.369 --> 02:28:02.970]  I wish I had money to be getting it myself.
[02:28:04.898 --> 02:28:07.319]  I've told my family in the last six months he's been a sponsor.
[02:28:07.419 --> 02:28:07.679]  Go!
[02:28:07.759 --> 02:28:08.619]  They've been doing it.
[02:28:09.260 --> 02:28:12.641]  You need to go to KEPM.com, Forged by Gold.
[02:28:13.221 --> 02:28:13.961]  They're really busy.
[02:28:13.981 --> 02:28:15.922]  They'll give you a call six hours a day, whatever.
[02:28:16.542 --> 02:28:17.623]  He's trying to get more crew in.
[02:28:18.063 --> 02:28:19.283]  It's exploding, obviously.
[02:28:20.344 --> 02:28:21.744]  You need to get gold and silver.
[02:28:21.844 --> 02:28:24.685]  You need to get it now, in my view.
[02:28:25.566 --> 02:28:27.246]  That doesn't mean a huge part.
[02:28:27.286 --> 02:28:30.688]  Whatever your portfolio is, just you need to start sticking your toe in it.
[02:28:30.808 --> 02:28:32.328]  And people that are smart are going all the way in.
[02:28:34.980 --> 02:28:39.444]  My firm belief, and who knows, they may do some giant naked short and drive it down 20%.
[02:28:40.185 --> 02:28:42.847]  It'll go bloop, I believe 100% back over that.
[02:28:43.188 --> 02:28:45.330]  I mean, we are in an inflationary spiral.
[02:28:46.231 --> 02:28:52.677]  My whole gut, my whole intellect says get into it, but then I can't ever do it because the companies are a bunch of frickin' sharks like everything else.
[02:28:52.737 --> 02:28:53.537]  This guy's not.
[02:28:54.318 --> 02:29:09.230]  Go to him, I love this guy, go to KEPM.com forward slash gold, or you can call 720-605-3900, do a consultation, tell him your needs, talk to him, and at least stick your toe in today.
[02:29:09.270 --> 02:29:16.896]  Don't screw around, don't wait, that's my opinion, I'm not telling you what to do, but I, on my children, feel this is one of the best moves you can do.
[02:29:17.256 --> 02:29:20.679]  You should also, if you don't have a gun, get a gun, get a gun safety course.
[02:29:21.099 --> 02:29:21.880]  Learn how to use it.
[02:29:22.180 --> 02:29:23.000]  Get a water filtration.
[02:29:23.060 --> 02:29:24.141]  Get some extra storable food.
[02:29:24.521 --> 02:29:33.766]  More importantly than getting gold or silver from Dr. Kirk Elliott, you better get on your knees to the founder of the creator of the universe and say, I can't handle this.
[02:29:33.946 --> 02:29:34.586]  I need you.
[02:29:34.927 --> 02:29:35.967]  You're a god of free will.
[02:29:36.187 --> 02:29:36.748]  I love you.
[02:29:37.108 --> 02:29:38.729]  Please come into me and tell me what to do.
[02:29:39.089 --> 02:29:42.631]  That gold doesn't even, it's not even 1% of a trillion.
[02:29:43.422 --> 02:29:43.822]  We're good to go!
[02:30:03.220 --> 02:30:14.004]  Get guns, get some food, get some water filtration, get ready and get gold and silver and get it from trusted people now at KEPM.com forward slash gold or the phone number on the screen.
[02:30:15.205 --> 02:30:18.046]  I'll never steer you wrong, folks, but I make mistakes every once in a while.
[02:30:18.306 --> 02:30:20.307]  I don't think you think I'm making a mistake here.
[02:30:20.627 --> 02:30:22.007]  You know in your gut, you can see it.
[02:30:22.207 --> 02:30:23.188]  You need gold and silver now.
[02:30:23.428 --> 02:30:23.948]  Go there now.
[02:30:24.088 --> 02:30:26.669]  And they finance this operation, which is wrecking the enemy.
[02:30:26.849 --> 02:30:27.489]  We'll be right back.
[02:30:27.729 --> 02:30:31.391]  Here is the clip of the incredible statement.
[02:30:33.096 --> 02:30:40.640]  It's a little bit conflicted, right?
[02:30:40.680 --> 02:30:47.144]  I mean, it's important that people understand they can be bailed in, but you don't want a huge run on the institution.
[02:30:47.244 --> 02:30:49.125]  But, I mean, they're going to be.
[02:30:49.525 --> 02:30:58.249]  And it could be an early warning signal to the FDIC and the primary regulators when these things happen.
[02:30:58.289 --> 02:30:59.470]  And there may be some other
[02:31:00.390 --> 02:31:12.978]  Prices, this is similar to what Jay was saying, in the market that you can tell whether people understand who's going to be protected, who isn't going to be protected.
[02:31:12.998 --> 02:31:15.320]  Because they own this fucking place.
[02:31:15.600 --> 02:31:18.522]  It's a big club and you ain't in it.
[02:31:19.803 --> 02:31:22.544]  You and I are not in the big club.
[02:31:22.564 --> 02:31:25.906]  I completely agree with that.
[02:31:26.267 --> 02:31:28.168]  I almost think you'd scare the public.
[02:31:29.079 --> 02:31:31.421]  If you put this out, why are they telling me this?
[02:31:31.841 --> 02:31:33.503]  Should I be concerned about my bank?
[02:31:34.964 --> 02:31:42.210]  If my insurance company doesn't tell me what they're doing with my assets, they just assume they're going to pay my claim.
[02:31:42.490 --> 02:31:42.931]  Right?
[02:31:43.231 --> 02:31:52.679]  I think you've got to think of the unintended consequences of taking a public that has more full faith and confidence in the banking system than maybe people in this room do.
[02:31:55.197 --> 02:31:57.319]  We want them to have full faith and confidence in the banking system.
[02:31:57.379 --> 02:31:59.040]  They know the FDIC insurance is there.
[02:31:59.120 --> 02:31:59.800]  They know it works.
[02:31:59.960 --> 02:32:00.581]  They put their money in.
[02:32:00.601 --> 02:32:01.581]  They're going to get their money out.
[02:32:02.422 --> 02:32:07.666]  So there's a select crowd of people that are on the institutional side.
[02:32:07.686 --> 02:32:11.188]  And if they want to understand this, they're going to find a way to understand this.
[02:32:11.288 --> 02:32:13.069]  There's a bunch of law firms represented in this room.
[02:32:13.089 --> 02:32:16.772]  There's a bunch of people that will charge them by the hour a lot of money to explain this all to them.
[02:32:17.312 --> 02:32:18.453]  And it's fine.
[02:32:18.793 --> 02:32:19.914]  I don't have a problem with that.
[02:32:20.492 --> 02:32:21.572]  And they all have huge staffs.
[02:32:22.092 --> 02:32:30.494]  But I would be careful about the unintended consequences of starting to blast too much of this out in the general public.
[02:32:32.255 --> 02:32:36.896]  I would in fact make sure that there is, we immediately surge to the border.
[02:32:37.276 --> 02:32:38.917]  All those people are seeking asylum.
[02:32:39.177 --> 02:32:40.157]  They deserve to be heard.
[02:32:40.177 --> 02:32:41.977]  They deserve to be heard.
[02:32:42.257 --> 02:32:44.298]  Biden gets rid of the border three and a half years ago.
[02:32:45.400 --> 02:32:47.722]  20 million people are here, that's the real number, 22 million.
[02:32:48.563 --> 02:32:50.885]  They're slaves of the globalists, new permanent underclass.
[02:32:51.545 --> 02:32:53.947]  He tells them immediately, surge the border if he wins, they get here.
[02:32:54.347 --> 02:32:55.588]  He says, oh, the border's not broken.
[02:32:55.608 --> 02:32:57.850]  He says, oh, it is broken, pass amnesty.
[02:32:58.311 --> 02:33:02.014]  And then yesterday he comes out and says, oh, we can't have it illegal to come here.
[02:33:02.034 --> 02:33:03.735]  It's moral, this is totally open.
[02:33:03.995 --> 02:33:08.779]  Imagine a kid two years old saying, mom, don't take me across Rio Grande, it's against the law.
[02:33:09.239 --> 02:33:09.920]  Give me a break.
[02:33:10.552 --> 02:33:11.973]  These have been model citizens.
[02:33:12.493 --> 02:33:19.138]  Imagine telling a kid it's illegal to come across the border, which it is, which he's made legal by Fiat, and they're model citizens.
[02:33:19.178 --> 02:33:21.439]  They're citizens the minute they get here.
[02:33:21.760 --> 02:33:28.664]  Do you think there are people that are coming over that have the intent to do our neighbors, our friends, our family members harm?
[02:33:29.285 --> 02:33:29.925]  Absolutely.
[02:33:31.546 --> 02:33:39.792]  These huge give up groups that we're getting, you know, the media is only reporting what
[02:33:41.241 --> 02:33:49.503]  They can report on rape, which is statistically speaking a small percentage of the actual bad guys that we're catching.
[02:33:49.783 --> 02:33:51.624]  No one is coming to protect you.
[02:33:52.304 --> 02:33:56.385]  Even at the local law enforcement level, we do not control the border.
[02:33:56.945 --> 02:33:58.645]  The cartel controls the border.
[02:33:59.606 --> 02:34:05.207]  Everything that we do is a reaction to things that they have planned.
[02:34:06.993 --> 02:34:13.696]  Usually we're chasing around pawns while the kings and queens are doing whatever they want.
[02:34:13.976 --> 02:34:19.118]  Think about the magnitude of what he just said, the lawlessness of it.
[02:34:19.439 --> 02:34:26.822]  They're going to grab your junk, they're going to search your family, they're going to put you through a body scanner at the airport, but the border is wide open.
[02:34:27.142 --> 02:34:28.603]  Absolutely insane.
[02:34:29.103 --> 02:34:31.324]  They stole the election three and a half years ago.
[02:34:32.424 --> 02:34:33.685]  They're planning to steal it again.
[02:34:35.427 --> 02:34:38.950]  Does the investigation confirm that there are missing ballot images?
[02:34:41.892 --> 02:34:43.153]  Yes.
[02:34:43.213 --> 02:34:43.553]  Yes.
[02:34:43.633 --> 02:34:50.578]  Do you know why 380,761 ballot images from Election Day machine count are not available?
[02:34:51.819 --> 02:34:52.720]  Those are for the recount.
[02:34:53.200 --> 02:34:54.321]  Those are from the recount.
[02:34:54.341 --> 02:34:59.385]  But we have no ballot images for 380,761 ballots from Election Day, correct?
[02:35:05.717 --> 02:35:11.939]  What was subpoenaed was the ballot images for the recount because that's what this case was about, not the election day.
[02:35:12.640 --> 02:35:16.501]  Does Fulton County know why there are not 380,761 ballot images from Election Day?
[02:35:22.478 --> 02:35:38.667]  According to news sources, a Wisconsin government employee has been fired from her government job for helping to rig the 2020 presidential election in Joe Biden's favor.
[02:35:39.447 --> 02:35:45.731]  We have a documented email from one of her coworkers by the name of Ryan Chu.
[02:35:45.911 --> 02:35:48.232]  He wrote on November 4th at 4.07 AM.
[02:35:50.333 --> 02:35:58.141]  Damn Claire, you have a flair for drama, delivering just the margin needed at 3 a.m.
[02:35:58.821 --> 02:36:03.366]  I bet you had those votes counted at midnight and just wanted to keep the world waiting.
[02:36:16.633 --> 02:36:21.776]  Now if you're interested in learning more about hosting a migrant family, all you got to do is take out your phone, dial 211.
[02:36:22.356 --> 02:36:23.337]  It's as easy as that.
[02:36:23.357 --> 02:36:24.677]  You're going to be asked a few questions.
[02:36:25.178 --> 02:36:30.340]  Things along the lines of how long are you able to host somebody, what kind of space are you available to provide.
[02:36:30.620 --> 02:36:33.182]  These are the times that try men and women's souls.
[02:36:34.335 --> 02:36:35.996]  But, this is the last gasp.
[02:36:36.116 --> 02:36:39.117]  All over the world, 83% was the number I saw last week.
[02:36:39.517 --> 02:36:41.498]  In regional, local, national elections.
[02:36:41.798 --> 02:36:46.020]  From Australia, to El Salvador, to you name it.
[02:36:46.820 --> 02:36:48.801]  Europe, patriots are getting elected.
[02:36:48.861 --> 02:36:54.983]  That's why the system is so scared.
[02:36:56.224 --> 02:36:59.625]  Myself and Dr. Kirk Elliott are not here telling you what's coming.
[02:36:59.725 --> 02:37:01.466]  It's already going down.
[02:37:03.220 --> 02:37:04.521]  Yeah, right with God first, folks.
[02:37:04.901 --> 02:37:07.103]  And take the border piece we just played.
[02:37:07.583 --> 02:37:08.784]  Part of it, the computer glitched out.
[02:37:09.424 --> 02:37:10.725]  But the whole thing's a band-off.
[02:37:10.865 --> 02:37:16.509]  You know, InfoWars.com and RealAlexJones on X. Congress, the Democrats voted.
[02:37:17.813 --> 02:37:23.335]  To not stop illegals from voting or apportioning them for the Electoral College.
[02:37:24.035 --> 02:37:30.117]  As they bring in, you know, 20-something million since Biden's in, that in the new census will be counted as new blue districts.
[02:37:30.917 --> 02:37:35.338]  So, and the border is not controlled by the cartels.
[02:37:35.818 --> 02:37:37.119]  They're working with the CIA.
[02:37:37.819 --> 02:37:40.300]  It came out decades ago that the CIA was controlling the cartels.
[02:37:40.340 --> 02:37:42.841]  When they got out of line, they'd go kill them or use another cartel.
[02:37:43.381 --> 02:37:47.102]  So to try to explain to people how big a deal this is,
[02:37:48.903 --> 02:37:52.225]  There's really not words for me to describe to you.
[02:37:54.026 --> 02:37:55.787]  And you don't need me to tell you how big a deal this is.
[02:37:55.907 --> 02:37:56.967]  But here's the bottom line.
[02:37:57.488 --> 02:37:58.448]  We're in a war.
[02:37:58.488 --> 02:38:05.292]  There's a war against civilization, a war against your wealth, a war against your health, a war against your spirit, a war against your future.
[02:38:05.772 --> 02:38:07.293]  Recognize the war is here.
[02:38:07.353 --> 02:38:08.994]  And I know people tune in here because you get that.
[02:38:09.274 --> 02:38:10.295]  Well, you got to tell the people.
[02:38:10.815 --> 02:38:13.157]  Because as things get more intense, they're ready to hear the truth now.
[02:38:13.557 --> 02:38:16.879]  So to Kirk Elliott, you're just watching that border clip and other key points you've got.
[02:38:19.364 --> 02:38:25.025]  So there's an obvious battle economically between the BRICS nations and us.
[02:38:25.646 --> 02:38:27.306]  They want to be the world's reserve currency.
[02:38:27.446 --> 02:38:34.988]  So in Russia, this again I got from silverwars.org.
[02:38:35.088 --> 02:38:38.129]  So this is a great piece that they wrote.
[02:38:38.669 --> 02:38:42.190]  There's an economist in Russia named Sergei Glazyev.
[02:38:42.830 --> 02:38:46.351]  So he proposed pegging the price of one gram of gold
[02:38:47.171 --> 02:38:47.331]  I think.
[02:39:05.051 --> 02:39:08.453]  When I think about this, it's like, oh my word, Alex, this is brilliant.
[02:39:08.954 --> 02:39:17.880]  Because A, they got rid of the petrodollar, and now they're going to peg the one gram of gold to a barrel of oil.
[02:39:18.500 --> 02:39:21.082]  So what has happened in the United States?
[02:39:21.142 --> 02:39:27.266]  Well, over the last few years, Biden has eliminated the Strategic Oil Reserve.
[02:39:27.286 --> 02:39:28.387]  Like, it's depleted.
[02:39:28.507 --> 02:39:29.247]  It's gone.
[02:39:29.647 --> 02:39:34.531]  So they now have to replenish the Strategic Oil Reserve in America.
[02:39:35.511 --> 02:39:44.154]  If they have to use any Russian oil to actually do that, it's going to be pegged to gold instead of the U.S.
[02:39:44.214 --> 02:39:44.534]  dollar.
[02:39:44.574 --> 02:39:49.996]  This is going to dethrone, potentially, because realize the implications of this.
[02:39:50.557 --> 02:39:55.318]  The BRICS++ nations are literally about 70% of the world's population.
[02:39:55.378 --> 02:39:56.919]  It's not just a country.
[02:39:57.739 --> 02:40:02.181]  This is big deal that they're going to peg oil to gold.
[02:40:02.601 --> 02:40:07.503]  Now, if they really wanted to stick it to the West, what could they do?
[02:40:08.064 --> 02:40:08.924]  Change the peg.
[02:40:09.404 --> 02:40:15.267]  So instead of one gram of gold for one barrel of oil, what if they say one gram equals two barrels of oil?
[02:40:16.047 --> 02:40:17.709]  Well, what does that do to the price of gold?
[02:40:18.650 --> 02:40:23.335]  That would put it at about $3,200 an ounce, or $3,600 an ounce.
[02:40:23.895 --> 02:40:30.022]  So that's what this guy, the Credit Suisse guy, Pozar, said.
[02:40:30.122 --> 02:40:36.709]  Credit Suisse analyzes that if they did that, the potential would put gold at $3,600 an ounce.
[02:40:39.505 --> 02:40:41.186]  So why would they want to do that?
[02:40:41.706 --> 02:40:50.251]  Because what China has done over the years is they have been the number one miner of gold in the world.
[02:40:50.591 --> 02:40:53.352]  They mine more gold out of the earth than any country in the world.
[02:40:53.733 --> 02:40:54.933]  How much of that do they sell?
[02:40:55.734 --> 02:40:56.214]  Zero.
[02:40:56.614 --> 02:40:57.375]  They keep it all.
[02:40:58.075 --> 02:41:01.840]  They're also the number one purchaser of gold on the planet.
[02:41:02.301 --> 02:41:04.744]  So they're amassing mountains and mountains and mountains of gold.
[02:41:04.784 --> 02:41:07.708]  They're the number one producer of gold and they're not selling any of it.
[02:41:08.369 --> 02:41:12.254]  So the unofficial estimates are they've got about 30,000 tons of gold in China.
[02:41:14.056 --> 02:41:23.099]  Now, Russia has like 1,000 tons, India has 600 or so tons, but officially the World Gold Council I think says that China has about 5,000 tons.
[02:41:23.159 --> 02:41:24.360]  No, they have way more than that.
[02:41:24.440 --> 02:41:30.242]  So, if this peg of pegging one gram of gold to one barrel of oil,
[02:41:30.862 --> 02:41:34.705]  All they have to do is change the peg to two barrels of oil for one gram of gold.
[02:41:35.145 --> 02:41:37.347]  That puts gold at $3,600 an ounce.
[02:41:37.827 --> 02:41:41.610]  China owns tens of thousands of tons of gold.
[02:41:42.251 --> 02:41:51.938]  This, Alex, is the paradigm tectonic shifting moment that puts gold as the legitimate currency of the world.
[02:41:51.978 --> 02:41:55.300]  And Dr. Elliott, I'm not a rocket scientist, but I remember the globalists invading
[02:41:56.481 --> 02:41:56.762]  I don't.
[02:42:20.376 --> 02:42:21.076]  I kind of can.
[02:42:21.316 --> 02:42:22.157]  They're just arrogant.
[02:42:22.477 --> 02:42:23.417]  They're just arrogant.
[02:42:23.837 --> 02:42:25.778]  I mean, it's absolutely arrogance.
[02:42:25.878 --> 02:42:28.359]  And what does the Bible tell us about arrogance?
[02:42:28.459 --> 02:42:29.679]  Pride comes before the fall.
[02:42:29.739 --> 02:42:30.979]  Fool goes before the fool.
[02:42:31.239 --> 02:42:31.419]  Yeah.
[02:42:31.940 --> 02:42:33.500]  And I think that's what's happening there.
[02:42:33.620 --> 02:42:35.461]  Arrogance has finally got the best of them.
[02:42:36.101 --> 02:42:39.162]  That's what's crazy is I've got more power in my life.
[02:42:40.560 --> 02:42:45.162]  I realize my mistakes are bigger, because even if it's a small mistake, it has a bigger effect.
[02:42:45.462 --> 02:42:46.963]  But I see this paradox in other people.
[02:42:47.243 --> 02:42:48.944]  They get power, they get delusional.
[02:42:49.844 --> 02:42:50.665]  Power is dangerous.
[02:42:50.905 --> 02:42:52.786]  I had a jet ski that would go 70 miles an hour.
[02:42:53.326 --> 02:42:54.246]  I sold it.
[02:42:54.347 --> 02:42:54.987]  It was so dangerous.
[02:42:56.453 --> 02:42:57.074]  I don't think so.
[02:43:12.321 --> 02:43:16.104]  When they want absolute power over every factor of our life, this is what they're going to.
[02:43:16.484 --> 02:43:18.926]  But to me, God's Word always remains true.
[02:43:18.986 --> 02:43:20.267]  It never returns void.
[02:43:20.688 --> 02:43:24.611]  And that power, that pride, will actually ultimately be their destruction.
[02:43:24.951 --> 02:43:31.076]  But if you look at what else they're doing, so Russia, China, India, the Arab world, most of Africa and Latin America,
[02:43:31.696 --> 02:43:35.419]  They outfoxed the Federal Reserve because what are they doing?
[02:43:35.679 --> 02:43:45.806]  They're actually starting to open up new massive mines in Africa, I think in Ghana maybe, where they're going to actually start to mine their own gold.
[02:43:46.227 --> 02:43:49.149]  They want to have a BRICS nation.
[02:43:49.209 --> 02:43:51.491]  Well China already has 98% control of rare earth minerals.
[02:43:52.091 --> 02:43:52.511]  Already.
[02:43:52.571 --> 02:43:54.413]  Why did the United States allow that again?
[02:43:54.733 --> 02:43:55.833]  They block any U.S.
[02:43:55.873 --> 02:43:57.675]  company or European company that tries to get into it.
[02:43:58.055 --> 02:44:02.137]  That was the old deal before Xi Jinping broke the deal with Obama ten years ago.
[02:44:02.698 --> 02:44:04.239]  They've been set up as the powerhouse.
[02:44:04.799 --> 02:44:05.660]  And then they double crossed.
[02:44:07.394 --> 02:44:08.335]  Absolutely double-crossed.
[02:44:08.375 --> 02:44:16.800]  And so now that they own the gold, they actually own the power, they're owning the wealth, they got rid of the petrodollar, they're dismantling the U.S.
[02:44:16.860 --> 02:44:17.180]  dollar.
[02:44:17.740 --> 02:44:19.161]  And what did Putin say six years ago?
[02:44:19.181 --> 02:44:23.143]  He says, our new national initiative is not weapons, it's organic food.
[02:44:23.564 --> 02:44:25.765]  The West, he said, is producing poison food.
[02:44:26.085 --> 02:44:27.926]  We will supply the world with non-GMO.
[02:44:28.386 --> 02:44:30.608]  They're even seeing that trend.
[02:44:30.808 --> 02:44:33.069]  All of these trends are playing against us.
[02:44:33.289 --> 02:44:36.151]  Meanwhile, Bill Gates is buying up all our farmland to feed his poison.
[02:44:37.774 --> 02:44:39.741]  So Putin, say what you want, I'll be honest.
[02:44:40.203 --> 02:44:41.186]  He's bad on humanity.
[02:44:41.808 --> 02:44:42.952]  He's paying people to have kids.
[02:44:43.273 --> 02:44:44.397]  He's growing organic farms.
[02:44:46.504 --> 02:44:51.307]  He's actually playing a masterful game, and Biden is not.
[02:44:51.807 --> 02:44:53.148]  It's absolutely the opposite.
[02:44:53.168 --> 02:44:55.869]  Well, if you know the globalist game, it's easy to beat if you just do it.
[02:44:56.370 --> 02:44:58.651]  Like, people want prosperity and freedom and good food.
[02:44:58.911 --> 02:45:00.952]  Yeah, they do.
[02:45:01.332 --> 02:45:07.936]  And so now I think there's a new central bank that's about to emerge, and that's the BRICS central bank.
[02:45:08.716 --> 02:45:16.819]  They want to issue their own native currency, so forget about the yuan, forget about the rupee and the ruble.
[02:45:17.260 --> 02:45:28.884]  They want their own BRICS native currency, and what China and Russia are pushing for is a gold-backed currency to push demand into their central bank digital currency.
[02:45:28.964 --> 02:45:30.445]  Here's the danger of that.
[02:45:31.245 --> 02:45:32.926]  For any central bank digital currency,
[02:45:34.026 --> 02:45:37.390]  Once you go in that door, you're not coming out, Alex.
[02:45:37.410 --> 02:45:37.850]  No, I agree.
[02:45:37.890 --> 02:45:38.711]  It's like the Ring of Mordor.
[02:45:38.751 --> 02:45:39.452]  You shouldn't use it.
[02:45:39.712 --> 02:45:40.373]  Yeah, you shouldn't.
[02:45:40.393 --> 02:45:42.095]  I'm going to break some news here I haven't broke yet.
[02:45:42.215 --> 02:45:50.083]  I got invited by Putin, official letterhead, next month to be at his big, you know, global ruse economic forum.
[02:45:50.563 --> 02:45:53.887]  It's the biggest thing he does and I respect that and I want to go.
[02:45:54.407 --> 02:45:56.909]  But they're trying that month, next month, to shut this down.
[02:45:57.270 --> 02:45:58.311]  And I'll just be honest with listeners.
[02:45:58.671 --> 02:46:04.016]  People hear me say this and they think, oh, InfoWars has been around 27 years, Jones has been on there 30, come on.
[02:46:04.876 --> 02:46:17.007]  There's a 50% chance, I've told the crew this, that a judge on June 14th at a meeting in South Texas, Houston, is going to liquidate InfoWars.
[02:46:17.773 --> 02:46:24.155]  All right, and next week I'll do a whole hour on this, because I've got all my ducks in a row, but I've got all the documents.
[02:46:24.195 --> 02:46:26.015]  I want to really nail this, because this is a big deal.
[02:46:26.295 --> 02:46:27.396]  This is a historic operation.
[02:46:27.476 --> 02:46:29.276]  Obviously, I'll continue on air.
[02:46:29.716 --> 02:46:30.616]  It hurts the crew.
[02:46:30.756 --> 02:46:34.257]  I'm going to try to work something out, but I've been very honest about this.
[02:46:34.317 --> 02:46:35.838]  I've not gone out and got other opportunities.
[02:46:36.238 --> 02:46:37.898]  I've not gone out and started new operations.
[02:46:37.978 --> 02:46:40.639]  I've not, because that's like cheating on your wife.
[02:46:41.019 --> 02:46:44.020]  If she leaves you, then you get divorced and you get another wife or another woman.
[02:46:45.597 --> 02:46:54.022]  I'm fully committed to Infowars and I am like here doing nothing with all the opportunities and all the stuff, okay?
[02:46:54.062 --> 02:46:57.384]  They think it'll disrupt us, it's the opposite, it's going to blow up in their face, whatever.
[02:46:58.205 --> 02:47:05.349]  The last straw was, and I couldn't tell this a month ago in mediation in Fort Worth, two days with these people.
[02:47:06.470 --> 02:47:10.072]  Democrat top law firm, you know, the top law firm, Hillary's law firm, all of it.
[02:47:10.792 --> 02:47:13.654]  They were dumb enough last week.
[02:47:15.578 --> 02:47:18.761]  To have a mediation with my lawyers that was not a mediation.
[02:47:21.163 --> 02:47:22.624]  And my lawyers are very conservative.
[02:47:22.644 --> 02:47:24.706]  People say, well, my lawyers are dumb.
[02:47:25.006 --> 02:47:26.247]  I was in rigged court cases, folks.
[02:47:26.267 --> 02:47:27.007]  They were given a list.
[02:47:27.248 --> 02:47:31.771]  They're trying to take their law licenses because they did try to defend me.
[02:47:31.791 --> 02:47:33.873]  They were given huge lists of what they couldn't say.
[02:47:33.893 --> 02:47:36.175]  I was already found guilty of a rig.
[02:47:37.296 --> 02:47:38.557]  So I said, I'll do it next week.
[02:47:38.597 --> 02:47:39.418]  I'm already trying to do it.
[02:47:39.698 --> 02:47:41.760]  I told you about it for almost three hours last night.
[02:47:43.888 --> 02:47:50.718]  They are literally saying, well actually, we'll settle if Jones just doesn't talk about guns anymore.
[02:47:51.718 --> 02:47:53.059]  Now, we all know how that works, folks.
[02:47:53.079 --> 02:48:00.645]  I can keep the crew, I can stay here and do all this, but now I've already done a deal where I don't defend the Second Amendment.
[02:48:01.065 --> 02:48:05.949]  You can put a gun to my head and say, don't, you know, don't criticize transgenderism or I'll kill you.
[02:48:06.169 --> 02:48:07.210]  I can't physically do it.
[02:48:07.931 --> 02:48:09.492]  So it was more than just that.
[02:48:09.912 --> 02:48:12.134]  So we get back down to me being their political creature.
[02:48:13.115 --> 02:48:14.636]  And so I'm just like, hey, I trust God.
[02:48:14.656 --> 02:48:15.377]  Whatever happens, happens.
[02:48:15.417 --> 02:48:16.798]  And they cannot believe
[02:48:17.742 --> 02:48:18.423]  Thank you.
[02:48:36.983 --> 02:48:42.444]  So, that's where we are, but listeners and viewers need to understand, like, this is a very serious situation.
[02:48:42.744 --> 02:48:48.886]  And the minute they do the shutdown, and the judge may give us a week to shut down, three months, six months, I don't know.
[02:48:49.586 --> 02:48:50.466]  That's called a wind-down.
[02:48:51.347 --> 02:48:53.027]  But, we're here.
[02:48:53.307 --> 02:48:58.869]  So when I tell listeners, like, we're at the end of Infowars, it's emblematic of where the world and the country is right now.
[02:48:58.949 --> 02:49:03.550]  So, I'll continue to be honest, I'll continue to be forthright, honorable,
[02:49:05.540 --> 02:49:09.643]  The minute the judge says we're shutting it down, I will instantly go entertain all the deals.
[02:49:10.003 --> 02:49:11.825]  I will try to get the crew rehired.
[02:49:11.865 --> 02:49:15.608]  Obviously, I won't own it because they can try to get at me, but we're here.
[02:49:16.268 --> 02:49:21.272]  And so that shows you how long of a tooth America is, folks, that they don't want money.
[02:49:21.312 --> 02:49:27.357]  Like they said in Texas and in Connecticut in the courthouse, their lawyers said, don't send him money, don't buy his products.
[02:49:27.737 --> 02:49:28.618]  We want to shut him down.
[02:49:28.998 --> 02:49:30.719]  And I thought, maybe that's talk.
[02:49:31.580 --> 02:49:32.261]  No, it's not talk.
[02:49:33.662 --> 02:49:34.282]  It's not talk.
[02:49:34.322 --> 02:49:35.043]  They said literally,
