[00:00:00.549 --> 00:00:01.970]  Comparisons to HIV.
[01:18:58.821 --> 01:19:06.442]  But even the FDA predicted in October 2000, before the shots rolled out, three months later, that it would cause turbo cancer.
[01:19:06.963 --> 01:19:09.063]  They knew, and they put it in the fine print.
[01:19:09.323 --> 01:19:23.366]  They found the clip that I remember, Dr. David Bonner, and this guy heads up the British Ministry of Defense, British government, main lab, studying the Pfizer shot, and here he is bragging about it turning off your immune system.
[01:19:24.397 --> 01:19:36.765]  So the key message from our finding is that we found that recipients of the Pfizer vaccine, those who've had two doses, have about five to six fold lower amounts of neutralizing antibodies.
[01:19:36.805 --> 01:19:46.251]  Now these are the sort of gold standard private security antibodies of your immune system which block the virus from getting into your cells in the first place.
[01:19:47.151 --> 01:19:49.515]  So we found that that's less for people with two doses.
[01:19:49.575 --> 01:19:57.966]  We've also found that for people with only one dose of the Pfizer jab, that they are less likely to have high levels of these antibodies in their blood.
[01:19:58.647 --> 01:20:12.699]   And perhaps most importantly for all of us going forward, is that we see that the older you are, The lower your levels are likely to be, and the time since you've had your second jab, as that time goes on, the lower your levels are also likely to be.
[01:20:13.159 --> 01:20:21.343]  So that's telling us that we're probably going to be needing to prioritize boosters for older and more vulnerable people coming up soon, especially if this new variant spreads.
[01:20:22.048 --> 01:20:30.215]  So that's two and a half years ago, he told you it'll erase your immune system, which it does, and makes your body breed a deadly spike protein that is the HIV spike protein.
[01:20:30.255 --> 01:20:30.936]  That is a fact.
[01:20:31.376 --> 01:20:50.272]  Now, this full video is up on InfoWars.com, also posted on X today, so you can go there and see that for yourself, see the whole 12-minute video, or I think it's 12 minutes long, but let's just play a few minutes of, from the beginning, InfoWars reported on the COVID-HIV system.
[01:20:51.368 --> 01:20:52.589]  AJ Predictions, here it is.
[01:20:53.669 --> 01:20:56.891]  People that are taking the COVID vaccine are getting HIV AIDS.
[01:20:57.311 --> 01:20:57.612]  Boom!
[01:20:57.812 --> 01:20:58.212]  There it is.
[01:20:58.252 --> 01:21:03.855]  They're giving you a new weaponized HIV with the vaccine, not the original virus.
[01:21:04.436 --> 01:21:08.878]  It has nothing to do with bird flu, nothing to do with corona, nothing to do with SARS.
[01:21:09.258 --> 01:21:13.981]  They've taken a pneumonia virus and put HIV in it.
[01:21:15.102 --> 01:21:17.183]  They call it a vaccine.
[01:21:18.362 --> 01:21:24.349]  The notion that these were false positives, I find a cover story.
[01:21:25.050 --> 01:21:30.697]  I think they were giving people HIV in these frankenshots.
[01:21:30.818 --> 01:21:44.070]   But what really happens is, when you read the medical literature on the mRNA vaccines, It goes in and turns your immune system off and actually gets it where you will then accept similar viruses, which obviously they're going to be releasing.
[01:21:44.310 --> 01:21:45.191]  That's what the scientists are saying.
[01:21:45.211 --> 01:21:46.892]  They're going, this isn't even going to protect you.
[01:21:47.173 --> 01:21:48.454]  Why the hell are they doing this?
[01:21:48.474 --> 01:21:49.514]  It makes no sense!
[01:21:49.514 --> 01:22:02.453]  The magnitude...
[01:22:02.453 --> 01:22:03.453]  to.
[01:22:03.587 --> 01:22:12.332]  Of the HIV virus delivery system being added to an airborne pneumonia is beyond Stephen King's stand.
[01:22:13.233 --> 01:22:14.614]  And that's what's admitted.
[01:22:15.134 --> 01:22:22.778]  Mainstream media admits that the Indian University is right that it has the HIV delivery system in it.
[01:22:23.199 --> 01:22:27.221]  I was trying to tell listeners that, hey, this coronavirus probably isn't that big a deal.
[01:22:27.281 --> 01:22:28.482]  It's a big UN drill.
[01:22:30.031 --> 01:23:01.309]   That's why you're seeing this overreaction, and I still hope that's the case, but... Zero Hedge got suspended on Twitter for posting this article, and then linking to the scientists that are in the major scientific paper published two days ago by one of the most prestigious, it's in the top two or three, Colleges, Kusuma School of Biological Sciences, India Institute of Technology, New Delhi.
[01:23:01.709 --> 01:23:09.056]  And this big report that's got scans of the virus, the RNA breakdown, the proteins, I mean, this is it.
[01:23:12.560 --> 01:23:20.767]  And so, ZeroHeads got suspended for writing about this, but then I found all these other mainstream articles going, yeah, it's true.
[01:23:22.807 --> 01:23:29.754]  Here's the bombshell, that part of the HIV virus is part of this.
[01:23:30.995 --> 01:23:46.190]  So I spent, like I said, hours yesterday, hours today, obsessed on this, going into the studies, going into articles, and just dozens of big mainstream reports going, hey, yeah, it's got part of the AIDS virus in it, but that's no big deal, it's not man-made.
[01:23:48.171 --> 01:23:52.633]  It has nothing to do with bird flu, nothing to do with corona, nothing to do with SARS.
[01:23:53.013 --> 01:23:57.755]  They've taken a pneumonia virus and put HIV in it.
[01:23:59.616 --> 01:24:06.279]  Because HIV doesn't replicate well in the body, but it will take over your white blood cells, your T lymphocytes.
[01:24:07.999 --> 01:24:11.321]  It'll kill your defenses, but it doesn't replicate, it doesn't spread well.
[01:24:13.164 --> 01:24:25.512]   HIV just got added to a super communicable airborne pneumonia virus and I just want Bill Gates and all the globalists to know something.
[01:24:25.912 --> 01:24:29.353]  Anything happens to my family or anybody I care about, I'm holding you personally responsible.
[01:24:29.373 --> 01:24:29.793]  You understand?
[01:24:30.413 --> 01:24:39.156]  They took a really bad, really viral, easily spread SARS coronavirus that China's already released four times, they claim being an accident.
[01:24:39.496 --> 01:24:42.997]  Probably, again, vaccine tests they've done to see what it does to the population.
[01:24:43.477 --> 01:24:45.218]  We know that's happened with H1N1 here before.
[01:24:46.758 --> 01:24:49.439]  We know this is going on in mass experimentation to see how these vaccines work.
[01:24:50.638 --> 01:24:54.621]  And so, oh, it's happened again, but then people get it and they go, what the hell?
[01:24:55.241 --> 01:25:05.429]  This has got HIV delivery system that plugs into a T lymphocyte white blood cell and injects itself in the protein cell membrane to get through.
[01:25:06.409 --> 01:25:09.652]  But see, this doesn't inject into a white blood cell, thank God.
[01:25:10.412 --> 01:25:12.974]  This is a DNA genetically engineered chimera.
[01:25:13.837 --> 01:25:21.401]  That it has in it, as you correctly pointed out, the HIV.
[01:25:21.982 --> 01:25:30.867]  Now, I believe the Indian researchers have been pressured to withdraw by their government because they have good relations with China, that study.
[01:25:30.907 --> 01:25:35.089]  But I read it and it's quite convincing and they have the pictures there.
[01:25:36.370 --> 01:25:40.252]  I also believe it has the flu virus in there.
[01:25:41.019 --> 01:25:42.440]  And then it also has SARS.
[01:25:42.640 --> 01:25:50.246]  When you scan the COVID-19 virus, it has had five viruses cut into it, one of them HIV.
[01:25:50.926 --> 01:25:55.149]  And now, people that are taking the COVID vaccine are getting HIV AIDS.
[01:25:55.549 --> 01:25:55.890]  Boom!
[01:25:56.070 --> 01:25:56.470]  There it is.
[01:25:56.510 --> 01:26:02.114]  They're giving you a new weaponized HIV with the vaccine, not the original virus.
[01:26:02.474 --> 01:26:05.917]  Here is the Sydney Morning Herald.
[01:26:07.178 --> 01:26:13.944]   That is Arguably the most respected newspaper in Australia.
[01:26:14.124 --> 01:26:14.744]  But that doesn't matter.
[01:26:14.844 --> 01:26:16.665]  The government... Alright, alright.
[01:26:16.705 --> 01:26:17.466]  Let's stop right there.
[01:26:17.766 --> 01:26:18.246]  Alright, alright.
[01:26:18.266 --> 01:26:20.368]  The full video is at VanDawgVideo.
[01:26:20.388 --> 01:26:23.209]  I'm gonna have it reposted by Jamie right now at the front page of InfoWars.
[01:26:23.229 --> 01:26:26.491]  But I tweeted it out on X at RealAlexJones today.
[01:26:26.511 --> 01:26:29.293]  I'll pull up the exact post.
[01:26:29.313 --> 01:26:31.815]  But the point is, is that you can go find it.
[01:26:31.835 --> 01:26:34.997]  I only put out like 10 posts today, so it's there.
[01:26:35.017 --> 01:26:36.497]  And you can see the whole thing.
[01:26:37.178 --> 01:26:38.779]  Now, let's fast forward.
[01:26:40.911 --> 01:26:41.651]  Four years!
[01:26:46.552 --> 01:26:52.073]  The first video in that clip is from what, January of 2020?
[01:26:53.494 --> 01:26:54.554]  Four years, sweethearts!
[01:26:57.615 --> 01:27:05.636]  And now Deborah Birx, the head of Trump's task force, former head of the CDC, is like, it's okay, you've all got HIV now!
[01:27:06.316 --> 01:27:07.737]  You got it from COVID!
[01:27:08.057 --> 01:27:08.957]  Oh, a bat!
[01:27:10.228 --> 01:27:12.188]  In a cave, had HIV.
[01:27:13.329 --> 01:27:15.089]  It's all BS!
[01:27:14.929 --> 01:27:25.649]   they admit it was man-made. And it's the shot that's making your body produce it.
[01:27:26.171 --> 01:27:33.132]  It makes your body produce the protein crystal delivery system of HIV that turns your white blood cells off.
[01:27:33.452 --> 01:27:36.172]  Original HIV killed hunter cells.
[01:27:37.513 --> 01:27:41.924]   This turns off and stuns Training cells.
[01:27:42.685 --> 01:27:43.625]  It kills the generals.
[01:27:45.406 --> 01:27:51.490]  And she says, it's gonna get real bad the next 10 years, but don't worry, we're gonna have medical treatments for you.
[01:27:51.890 --> 01:27:53.931]  Now you see the rollout of the business.
[01:27:54.992 --> 01:27:57.794]  And now they're telling you, you got AIDS, it's okay.
[01:27:58.374 --> 01:27:59.855]  Wear a red ribbon, it's trendy.
[01:28:01.216 --> 01:28:02.857]  See, they're set up the whole time.
[01:28:03.557 --> 01:28:08.440]  Back to the 80s, same guy Fauci ran it, they caught him creating it, caught him blocking treatments.
[01:28:10.370 --> 01:28:13.592]  Here we are four years later, and our original analysis was dead on.
[01:28:14.713 --> 01:28:16.374]  Here's Deborah Burks one more time.
[01:28:18.035 --> 01:28:21.176]  Comparisons to HIV, you've done a ton of research in this.
[01:28:21.937 --> 01:28:23.738]  Do you believe this is a false flag?
[01:28:23.798 --> 01:28:28.521]  Is there something that contextually people need to understand about that comparison?
[01:28:28.901 --> 01:28:32.123]  Or is this much darker a potential reality than we knew?
[01:28:34.721 --> 01:28:41.847]  The reason the comparison to HIV is important is because HIV was also asymptomatic.
[01:28:42.268 --> 01:28:49.033]  I mean, you couldn't see the virus through symptoms because people were infected for 7, 8, 9 years before they developed symptoms.
[01:28:49.754 --> 01:28:58.562]  But HIV quietly destroyed our immune system and we learned a lot about immunology from HIV and it's changed completely our cancer therapy.
[01:28:59.142 --> 01:29:14.574]  We're learning now about mitochondria and viral impact and brain fog and the changes in our neurons and the cells that nourish our neurons that really allow us to think and move.
[01:29:14.854 --> 01:29:17.897]  And we're learning that because of what Long Covid has done.
[01:29:17.997 --> 01:29:21.159]  And so there's two sides of this coin every time.
[01:29:21.599 --> 01:29:25.842]   There's a lot of destruction That mild and moderate COVID can do.
[01:29:25.982 --> 01:29:29.963]  That is on scene, just like HIV was destroying our immune system.
[01:29:30.023 --> 01:29:35.525]  But what came out of that is brilliant science that changed how we treated HIV.
[01:29:35.545 --> 01:29:42.728]  And if you're diagnosed today, you can live a very normal lifespan and people not only survive, but thrive.
[01:29:42.868 --> 01:29:50.891]  We need to get to the place where people with long COVID, we've done the research so that people with long COVID can not only survive, but thrive.
[01:29:51.852 --> 01:29:52.933]  You get HIV.
[01:29:53.173 --> 01:29:54.154]  You get HIV.
[01:29:54.234 --> 01:29:57.136]  So, the artificial virus had it, but it didn't spread well.
[01:29:59.377 --> 01:30:02.359]  So they give you a shot that makes you produce it, and now they're introducing it.
[01:30:02.379 --> 01:30:04.621]  It's not a term where, oh, did you know you have AIDS?
[01:30:04.721 --> 01:30:05.141]  It's okay.
[01:30:05.181 --> 01:30:06.021]  It's trendy now.
[01:30:06.622 --> 01:30:07.442]  It's liberal now.
[01:30:07.502 --> 01:30:11.025]  The virus did it, that they injected into you.
[01:30:13.203 --> 01:30:21.722]  Here's a compilation of Fauci contradicting himself, lying at every level, and a few clips of him admitting to creating gain of function and then later lying to Congress.
[01:30:21.742 --> 01:30:22.102]  Here it is.
[01:30:23.617 --> 01:30:47.550]  The issue of pandemic preparedness and if there's one message that I want to leave with you today based on my experience and you'll see that in a moment is that there is no question that there will be a challenge the coming administration in the arena of infectious diseases but also there will be a surprise outbreak.
[01:30:52.250 --> 01:30:54.292]  I don't know how many times I can say it, Madam Chair.
[01:30:54.852 --> 01:31:00.738]  We did not fund gain-of-function research to be conducted in the Wuhan Institute of Virology.
[01:31:01.018 --> 01:31:14.250]  Anyway, so let me just go on about NIH Lyft's funding pause on gain-of-function research that might be anticipated to create, transfer, or use enhanced potential pandemic pathogens.
[01:31:14.590 --> 01:31:16.292]  I don't think this is going to be foolproof.
[01:31:16.332 --> 01:31:17.373]  Things are going to slip through.
[01:31:22.262 --> 01:31:29.048]  If it may have been a lab, may have been nature, and we're supposed to look forward, then why did Dr. Fauci work so hard for just one of those theories?
[01:31:30.306 --> 01:31:32.588]  I almost have to laugh at that, Neil.
[01:31:32.628 --> 01:31:34.750]  I mean, that's totally bizarre.
[01:31:34.850 --> 01:31:39.213]  First of all, I wasn't leaning totally strongly one way or the other.
[01:31:39.253 --> 01:31:40.775]  I've always kept an open mind.
[01:31:40.855 --> 01:31:50.482]  As you know, there's a sort of urban legend that there's a biological warfare center in Wuhan and that the coronavirus escaped from that.
[01:31:50.883 --> 01:31:53.685]  Did you have any sense of where it probably came from?
[01:31:53.885 --> 01:31:58.106]  I think ultimately we know that these things come from an animal reservoir.
[01:31:58.146 --> 01:32:04.727]  I've heard these conspiracy theories and like all conspiracy theories, they're just conspiracy theories.
[01:32:05.007 --> 01:32:08.108]  I wasn't leaning totally strongly one way or the other.
[01:32:08.148 --> 01:32:09.688]  I've always kept an open mind.
[01:32:13.449 --> 01:32:16.750]  Right now people should not be walking, there's no reason to be walking around with a mask.
[01:32:17.614 --> 01:32:20.798]  Should you be wearing two masks or one mask?
[01:32:21.458 --> 01:32:23.441]  I often myself wear two masks.
[01:32:23.881 --> 01:32:29.427]  Can we make a general recommendation that doesn't have scientific basis yet?
[01:32:30.088 --> 01:32:30.328]  No.
[01:32:30.789 --> 01:32:32.271]  Please wear a mask.
[01:32:33.311 --> 01:32:38.658]  The chances of my getting infected in an indoor setting is extremely low.
[01:32:39.238 --> 01:32:47.088]  And that's the reason why in indoor settings now, I feel comfortable about not wearing a mask because I'm fully vaccinated.
[01:32:47.148 --> 01:32:51.253]  When you're in a congregate indoor setting, wear a mask.
[01:32:55.953 --> 01:32:58.295]  First of all, I didn't recommend locking anything down.
[01:32:58.635 --> 01:33:04.078]  I went with Dr. Birx into the president and said, 15 days are not enough.
[01:33:04.719 --> 01:33:06.220]  We need to go 30 days.
[01:33:06.760 --> 01:33:12.424]  Obviously, there were people who had a problem with that because of the potential secondary effects.
[01:33:13.285 --> 01:33:20.910]  Nonetheless, at that time, the president went with the health recommendations, and we extended it another 30 days.
[01:33:21.350 --> 01:33:23.652]  First of all, I didn't recommend locking anything down.
[01:33:28.200 --> 01:33:34.084]  The worst possible thing you could do is vaccinate somebody to prevent infection and actually make them worse.
[01:33:34.784 --> 01:33:44.051]  This would not be the first time, if it happened, that a vaccine that looked good in initial safety actually made people worse.
[01:33:44.771 --> 01:33:47.453]  Well, the latter part of what you just said is untrue.
[01:33:47.733 --> 01:33:50.135]  You don't get worse results from vaccinating.
[01:33:55.083 --> 01:33:56.244]  She really has the flu.
[01:33:56.804 --> 01:33:58.626]  She definitely doesn't need a flu vaccine.
[01:33:58.766 --> 01:34:04.891]  The optimal degree of protection when you get infection is to get vaccinated after infection.
[01:34:04.911 --> 01:34:08.074]  Because the best vaccination is to get infected yourself.
[01:34:08.114 --> 01:34:14.279]  The optimal degree of protection when you get infection is to get vaccinated after infection.
[01:34:14.299 --> 01:34:15.720]  She really has the flu.
[01:34:16.280 --> 01:34:18.062]  She definitely doesn't need a flu vaccine.
[01:34:22.691 --> 01:34:25.932]  So if you're saying, are we out of the pandemic phase in this country?
[01:34:26.513 --> 01:34:27.033]  We are.
[01:34:29.334 --> 01:34:30.875]  Is this country ready for another pandemic?
[01:34:31.535 --> 01:34:35.457]  And are we still in the one we have not, that we've been talking about?
[01:34:35.817 --> 01:34:37.397]  Well, we certainly are still in it.
[01:34:41.479 --> 01:34:45.241]  The safety of these vaccines have been clearly established.
[01:34:46.443 --> 01:35:03.578]  The long-term effects that the people are apparently concerned about really have with with I'm sure there is a very very very very rare exception but the long-term effects are really essentially non-existent.
[01:35:03.638 --> 01:35:10.824]  Do we have any data about you know vaccines and the the back end of that or the negative side of that?
[01:35:11.224 --> 01:35:12.645]  There's been a number of studies.
[01:35:12.665 --> 01:35:18.710]  The New York Times just did one about menstruating cycles and how that is affected by vaccines.
[01:35:20.802 --> 01:35:21.423]  Yeah.
[01:35:21.703 --> 01:35:28.308]  Well, the menstrual thing is something that seems to be quite transient and temporary.
[01:35:28.508 --> 01:35:29.208]  That's the point.
[01:35:29.228 --> 01:35:30.029]  That's one of the points.
[01:35:30.369 --> 01:35:31.590]  We need to study it more.
[01:35:31.870 --> 01:35:32.671]  We need to study it.
[01:35:32.691 --> 01:35:39.976]  Because the other side that just keeps putting out misinformation and disinformation seems to be tireless in that effort.
[01:35:40.057 --> 01:35:46.622]   An article in the San Francisco Examiner, I think, a Sunday magazine section, which was just Phenomenal.
[01:35:46.682 --> 01:35:48.045]  I still have a picture of it.
[01:35:48.065 --> 01:35:51.371]  It says, um, I call you murderer.
[01:35:51.631 --> 01:35:57.502]  An open letter to an incompetent idiot, Dr. Anthony Fauci, the director of NIAID.
[01:35:58.601 --> 01:36:02.722]  By the way, we were sending this show out live on X and about 30 minutes ago, it just killed the feed.
[01:36:03.382 --> 01:36:06.223]  So I'm going to play all these clips up front tomorrow at 11 a.m.
[01:36:06.243 --> 01:36:08.344]  my regular show on the Monday show.
[01:36:08.404 --> 01:36:11.105]  We're going to continue to expose this because this is a big deal.
[01:36:11.645 --> 01:36:12.825]  Chase Geyser is coming up.
[01:36:12.845 --> 01:36:15.466]  We're going to reboot things, send out new feeds at Real Alex Jones.
[01:36:15.886 --> 01:36:16.566]  Follow us there.
[01:36:17.026 --> 01:36:21.208]  Follow us at infowars.com forwardslashshow and please support us at infowarsstore.com.
[01:36:21.228 --> 01:36:23.208]  We have great products and we want to continue to hear the truth.
[01:36:23.628 --> 01:36:24.709]  If you don't, roll over and die.
[01:36:24.708 --> 01:36:37.228]  I appreciate you.
[01:36:37.512 --> 01:36:41.761]  Visit InfoWars.com forward slash show and share the link today.
[01:36:44.022 --> 01:36:52.246]  Cellular damage from a type of free radical known as reactive oxygen species can cause decreased cellular function.
[01:36:52.567 --> 01:36:59.430]  DNA Force Plus contains what are believed to be the most beneficial ingredients to remedy this.
[01:37:00.031 --> 01:37:03.853]  Now 40% off at Infowarsstore.com.
[01:37:04.353 --> 01:37:08.335]  The main ingredient in the real Red Pill Plus is pregnenolone.
[01:37:08.695 --> 01:37:12.556]  Which occurs naturally in our body but decreases with age.
[01:37:13.016 --> 01:37:17.958]  Low levels of pregnenolone are associated with fatigue and low brain function.
[01:37:18.358 --> 01:37:26.341]  The Real Red Pill Plus is also full of essential trace minerals to synergistically support optimal cognitive function.
[01:37:26.741 --> 01:37:30.042]  Now 40% off at Infowarsstore.com.
[01:37:31.022 --> 01:37:33.387]  Get them both today at 50% off.
[01:37:33.848 --> 01:37:35.592]  The Supercharged Special.
[01:37:36.173 --> 01:37:41.644]  Support your health and support the InfoWar at InfoWarStore.com
