[00:00:04.685 --> 00:00:07.868]  On FISA, there are a couple of amendments that are being considered.
[03:18:41.896 --> 03:18:42.496]  Yeah, absolutely.
[03:18:42.696 --> 03:18:55.326]  I'm there all right look I'm going to your nature like nature event Jay Dyer take over All right, so today, I just wanted a brief presentation with the minutes that we have left here about I
[03:18:56.092 --> 03:18:56.812]  Who is man?
[03:18:56.872 --> 03:18:58.533]  What's man's place in the universe?
[03:18:59.213 --> 03:19:00.414]  Where are we going?
[03:19:00.794 --> 03:19:01.934]  Where do we find meaning?
[03:19:02.455 --> 03:19:03.475]  What is our purpose?
[03:19:03.995 --> 03:19:11.439]  And I think the best sense that we get of this purpose, of this meaning, comes from the Bible, from Orthodox Christianity.
[03:19:11.519 --> 03:19:14.700]  So I'm sort of talking about the basics here, not anything too wild.
[03:19:15.626 --> 03:19:39.491]  If we think about two contrasting worldviews, the worldview where there's no meaning, the universe is chaotic, there's just a random smashing of molecules and atoms together that doesn't have any direction or any purpose, that kind of a universe is ultimately, in philosophical terminology, nihilistic, meaning that it's purposeless, it has no intention, it's just chaos.
[03:19:39.731 --> 03:19:41.071]  And so in that kind of a universe,
[03:19:41.690 --> 03:19:51.299]  People who are tempted with that attitude, they see things like death and destruction, and they want to capitulate to the idea that man has no meaning and no purpose.
[03:19:51.380 --> 03:20:00.649]  Nihilism, I think, is the first step towards despair, towards thinking that there's no right and wrong, there's no good and evil.
[03:20:02.797 --> 03:20:17.048]  If we reorient ourselves and open ourselves up to the possibility that there is a God, that there is meaning, that there is purpose, and that there are principles that man doesn't create or cause to be.
[03:20:17.168 --> 03:20:18.950]  Now, man has a role in the universe.
[03:20:18.990 --> 03:20:27.216]  He's a kind of a priest, we would say, underneath God, where he can do certain things in the world, but he doesn't ultimately make meaning.
[03:20:27.656 --> 03:20:28.557]  He finds meaning
[03:20:29.227 --> 03:20:32.808]  In God's meaning, in something outside of himself, something more than himself.
[03:20:33.708 --> 03:20:45.012]  And that's really the only way that we can find meaning and purpose and morals, is by looking beyond just our own inner worship, our own inner selves, which we're always tempted to do.
[03:20:45.072 --> 03:20:52.354]  So if we go back to the Garden of Eden, that kind of archetypal story that we have in Genesis, as we were just talking with Alex,
[03:20:53.410 --> 03:20:57.972]  The temptation in part there on the part of the serpent, as we said, and I don't think it's a snake.
[03:20:58.652 --> 03:21:07.115]  It's a kind of an angelic being presented in the form of a serpent or something like a fallen angel that appears in that form.
[03:21:07.235 --> 03:21:08.415]  So it's not a literal snake.
[03:21:09.708 --> 03:21:21.099]  That temptation is that man could become God or like God in his own way, in his own shortcut way, by bypassing the things that God had already created, which were good.
[03:21:21.119 --> 03:21:26.483]  So in other words, the tree of the knowledge of good and evil wasn't in itself evil.
[03:21:27.404 --> 03:21:30.988]  The tree of life was also there in the garden.
[03:21:32.254 --> 03:21:40.985]  In our view, man needed to sort of train himself in virtue, he needed to pass a test of virtue before he was ready to partake of both trees.
[03:21:41.245 --> 03:21:50.537]  So we actually think that there's nothing inherently evil about the other tree, the tree of the knowledge of good and evil, but that you needed to be grounded in virtue first before you had that knowledge.
[03:21:51.334 --> 03:22:02.139]  Satan tempted man with bypassing the attaining of virtue and going straight for a kind of gnosis, a kind of direct, intuitive, I don't need God, I'll do it my own way.
[03:22:02.159 --> 03:22:06.261]  And that's actually the temptation that he gives is, you will be like God.
[03:22:06.762 --> 03:22:08.422]  You will determine good and evil.
[03:22:08.483 --> 03:22:10.784]  You will determine true and false on your own.
[03:22:10.804 --> 03:22:13.065]  You'll be your own kind of little God without God.
[03:22:13.505 --> 03:22:17.887]  And that's because, in our views, there had already been a fall amongst the angelic beings.
[03:22:18.367 --> 03:22:19.308]  So Satan had already
[03:22:19.995 --> 03:22:33.144]  given into that temptation as well as the angels that fell with him and so he's now a tempting man with the same temptation that he gave into and so he wanted to be like God.
[03:22:33.184 --> 03:22:41.410]  We read about this in Isaiah 14 and Ezekiel 28 where there's this desire to be like Jehovah, like the Lord.
[03:22:43.001 --> 03:22:53.565]  And he wanted them to destroy man because in our view there was always going to be the theophanic manifestation of God in human nature.
[03:22:53.625 --> 03:22:59.247]  That man was always going to, that Christ was always going to take on human nature.
[03:23:00.528 --> 03:23:01.788]  Even if there had not been a fall.
[03:23:02.569 --> 03:23:07.931]  So this is what enraged in part the angels that fell with Satan, that became demons.
[03:23:08.533 --> 03:23:08.753]  I think?
[03:23:24.614 --> 03:23:29.118]  The world in the ancient world to sort of promote what we would say is universal idolatry.
[03:23:29.178 --> 03:23:39.246]  This is what Paul talks about in Romans chapter 1, that all the world really fell into this demonic delusion except for a remnant throughout history, except for a group of people.
[03:23:40.647 --> 03:23:45.692]  So it began in the Garden of Eden with, in our view, God does save Adam and Eve even after they fell.
[03:23:46.795 --> 03:23:51.118]  But they're still going to have to go through the gateway of death before an eventual resurrection.
[03:23:51.158 --> 03:24:02.247]  So even though there is still salvation for Adam and Eve, they still had to experience physical death and they couldn't immediately go back to paradise or Eden or the presence of God.
[03:24:03.248 --> 03:24:11.634]  So all throughout history you have this manifestation of the nations, the world empires, whether it's Egypt or Babylon or
[03:24:12.532 --> 03:24:13.132]  Or whoever.
[03:24:13.592 --> 03:24:21.734]  They're really under subservience to this fallen entity that's constantly trying to erect a spiritual kingdom, a world power.
[03:24:21.994 --> 03:24:27.075]  And it's not, when I say spiritual, I don't mean anti-physical or anti-historical.
[03:24:27.695 --> 03:24:30.376]  It's a spiritual reality that manifests in history.
[03:24:31.316 --> 03:24:39.078]  And so these entities, these powers, they really promote, for example, things like human sacrifice in a lot of these cultures.
[03:24:39.964 --> 03:24:51.180]  As we go through the Old Testament, we read about the Israelites being constantly tempted with that same type of human sacrifice, almost you could say sex rites that pop up all the time.
[03:24:52.523 --> 03:24:54.964]  And it's not that sex is bad, but it has a purpose.
[03:24:55.244 --> 03:25:10.531]  And so, in the demonic plan, the intention is to always subvert that, because it's one of the easiest ways to subvert humanity, through sort of our fundamental desires, you know, what Maslow eventually calls, right, our hierarchy of needs.
[03:25:11.292 --> 03:25:16.134]  And the demonic idea is that man could be controlled through these passions.
[03:25:16.804 --> 03:25:24.327]  And by passions, I don't mean like passionate love when your aunt is reading her Harlequin romance novels.
[03:25:24.367 --> 03:25:26.607]  I'm talking about the desires that we have.
[03:25:27.408 --> 03:25:37.231]  Desires of the body, desires of the heart, any kind of desires really can be co-opted to where we become addicted to or attached to certain vices.
[03:25:38.231 --> 03:25:42.913]  And so part of the purpose of the law is to help curb the vices.
[03:25:43.593 --> 03:25:46.234]  But what we find is that that's not enough.
[03:25:47.159 --> 03:25:52.585]  Man needs more than just rules and lists of things that help him to curb vices.
[03:25:52.625 --> 03:25:54.046]  You know, we have the Ten Commandments, sure.
[03:25:54.066 --> 03:26:04.077]  And man has free will, but what is unique to Christianity is this notion of grace, that we also need a kind of divine power that enables us to
[03:26:05.091 --> 03:26:05.851]  We're good to go.
[03:26:24.142 --> 03:26:25.282]  So we need to be healed from that.
[03:26:25.742 --> 03:26:33.704]  But in the biblical narrative, even in the Old Testament, there's always a demonic connection to this notion of the passions and the desires.
[03:26:33.764 --> 03:26:40.085]  And I'm not saying that everybody who sins, we all sin, but there's something inherently demonic about sin.
[03:26:40.145 --> 03:26:49.267]  It's always a turning towards ourselves, a worshipping of ourselves and our own desires, and not keeping with God's law or the Ten Commandments, and so forth and so on.
[03:26:50.649 --> 03:26:51.950]  What's the purpose there?
[03:26:52.230 --> 03:27:06.056]  Well, if you look at things like the extremes, when Israel falls into really extreme temptations and failures, like in the book of Numbers, we read about the temptation at Baal Peor, which means Lord of Open Holes.
[03:27:07.197 --> 03:27:12.580]  And I don't mean to be gross and graphic, but this is akin to something like ancient sex rights.
[03:27:13.080 --> 03:27:17.482]  And this involves everything you could think of, everything degraded and perverse.
[03:27:19.065 --> 03:27:36.746]  This is a very memorable event in the history of Israel where they're tempted with this and it has to be curbed immediately or else you would have kind of had the destruction of Israel which their purpose is to bring about the Messiah.
[03:27:37.975 --> 03:27:50.124]  So there's always this falling away throughout the Old Testament, and then you have the prophets come and they preach, and then there's a restoration to some form of purity in the worship of God under King Josiah, for example.
[03:27:50.204 --> 03:27:52.065]  There's many examples of this throughout.
[03:27:52.425 --> 03:27:54.066]  David, of course, was a righteous king.
[03:27:54.867 --> 03:28:01.632]  And then Israel would fall back into that temptation to worship, ultimately, what amounts to demonic powers.
[03:28:02.395 --> 03:28:11.457]  So, we read about this like in the book of Ezekiel or in the book of Jeremiah, where Jeremiah talks about the temptation the Israelites had to want to sacrifice their children.
[03:28:12.697 --> 03:28:28.040]  So, what we're realizing is that when we see things like the temptations today that people are falling into with a lot of the trans agenda or the idea that you can mutilate yourself right through the changing of your biology, these are nothing new.
[03:28:28.060 --> 03:28:28.400]  The world and
[03:28:30.919 --> 03:28:37.305]  People have experienced this for millennia, but to have it pushed on such a large scale I think is something new.
[03:28:37.886 --> 03:28:44.932]  And that speaks to something more than just human ingenuity, human cunning, human psychopathy, and the global elites.
[03:28:44.972 --> 03:28:46.634]  They play, obviously, a key role in that.
[03:28:46.694 --> 03:28:49.677]  Entities like Tavistock that has pushed that agenda for many years.
[03:28:50.377 --> 03:28:56.003]  But it seems like there's something even more nefarious going on with a dark spiritual reality, which we'll talk about when we come back.
[03:28:57.952 --> 03:29:01.075]  I talk a lot about the great successes InfoWars has had.
[03:29:01.095 --> 03:29:02.616]  I don't think anybody can deny it.
[03:29:03.397 --> 03:29:06.419]  And it is because of listeners and viewers supporting us.
[03:29:06.439 --> 03:29:15.387]  But when we talk about the crew at InfoWars, people behind the scenes, the researchers, the writers, they really have been the MVPs in this fight.
[03:29:15.407 --> 03:29:24.055]  And when we look at Harrison Smith and Owen Schroer and the hard work they engage in every day, five, six, seven days a week, it's really just incredible.
[03:29:25.060 --> 03:29:27.963]  So for myself and the whole InfoWars crew, I thank you for your past support.
[03:29:28.704 --> 03:29:33.708]  I only encourage you now to realize that InfoWars cannot stay on air if you do not support us.
[03:29:34.509 --> 03:29:45.780]  I know you spread the word, I know you pray for us, and that's wonderful, keep doing it, but most viewers and listeners never go to InfoWarsStore.com, and you never buy great products that enrich and empower your life, all at the same time keep us on air.
[03:29:46.460 --> 03:29:50.123]  I know that less than 1% of our listeners actually go buy products at InfoWarsware.com.
[03:29:50.764 --> 03:29:55.388]  If just 1% more of you took action and went to InfoWarsware.com, our funding problems will be over.
[03:29:55.708 --> 03:29:56.569]  Please take action now.
[03:29:56.809 --> 03:30:00.352]  The enemies of humanity have been very good at dividing and conquering us.
[03:30:00.732 --> 03:30:07.718]  But if we simply start thinking about things according to the definition of, is it pro-human or is it anti-human, we start to win.
[03:30:07.918 --> 03:30:09.920]  And that's why I had the idea for Team Humanity.
[03:30:10.100 --> 03:30:11.141]  I brought it up to Elon Musk.
[03:30:11.181 --> 03:30:11.921]  He loved the idea.
[03:30:12.222 --> 03:30:15.744]  What would you call the debates and discussions about a pro-human future?
[03:30:15.764 --> 03:30:16.645]  Just Team Humanity?
[03:30:16.705 --> 03:30:17.606]  Yeah, Team Humanity.
[03:30:17.746 --> 03:30:18.186]  Absolutely.
[03:30:18.507 --> 03:30:19.908]  And so we have the t-shirt.
[03:30:19.968 --> 03:30:21.849]  Team Humanity with a nuclear family.
[03:30:22.230 --> 03:30:23.451]  Standing against the globalists.
[03:30:23.651 --> 03:30:31.077]  This shirt is a great conversation starter, but it also is a fundraiser to give InfoWars on the air so we can promote and support Team Humanity.
[03:30:31.317 --> 03:30:43.060]  I want to thank you all for your past support, but I want to encourage you all now to understand that this is a revolution against the globalists, and it is so critical now to signal the fact that you are part of Team Humanity.
[03:30:43.340 --> 03:30:44.660]  We're told humans are the problem.
[03:30:44.700 --> 03:30:45.680]  We're told we're killing the Earth.
[03:30:45.960 --> 03:30:50.221]  We're told all this garbage, so we hate ourselves and stand down and roll over and die.
[03:30:50.522 --> 03:30:51.242]  We're not going to do that.
[03:30:51.502 --> 03:30:56.123]  Get your Team Humanity shirts now at infowarestore.com, and I thank you all for your support.
[03:30:57.103 --> 03:30:59.664]  Ladies and gentlemen, we're in a war against the globalists.
[03:31:00.024 --> 03:31:02.385]  And people can't identify who's a patriot and who isn't.
[03:31:02.705 --> 03:31:05.846]  We want to identify as pro-human and anti-globalists.
[03:31:05.906 --> 03:31:08.807]  We want to let people know we're 1776 Part 2.
[03:31:09.047 --> 03:31:19.650]  That's why I designed this amazing 1776 red, white, and blue Gadsden flag shirt so you can support the info war and meet like-minded people everywhere when you wear it.
[03:31:19.770 --> 03:31:25.382]  When you wear these shirts, it creates an amazing amount of energy and it's quite the adventure.
[03:31:25.682 --> 03:31:31.134]  So get your 1776 shirt right now at InfoWarsTore.com and get your team
[03:31:31.732 --> 03:31:35.393]  We take some brain force and then we'll do this commercial.
[03:31:35.433 --> 03:31:36.314]  How about that?
[03:32:01.384 --> 03:32:02.765]  Mmm, I can think again.
[03:32:03.165 --> 03:32:09.409]  This is the liquid tincture version of Brain Force, which means you can really tailor it to exactly what you need.
[03:32:09.429 --> 03:32:20.476]  I tend to take maybe a little bit more than is directed, but it's incredibly powerful stuff and I have an incredibly demanding job, but you make it easy by going to InfoWarsStore.com, and of course, InfoWarsStore.com makes it easy.
[03:32:20.996 --> 03:32:28.723]  By supplying me with Brain Force Ultra, I rely on this product to do my job on a daily basis because it's absolutely jam-packed with incredible ingredients.
[03:32:28.903 --> 03:32:36.349]  Brain Force Ultra is now back in stock at Infowarsstore.com and get it now because this stuff sells out fast for very good reason.
[03:32:36.389 --> 03:32:37.610]  It's a fantastic supplement.
[03:32:37.930 --> 03:32:41.713]  It's the type of supplement that once you start taking it, well, you're going to notice if you stop.
[03:32:41.773 --> 03:32:43.555]  Go check out what's in Brain Force Ultra.
[03:32:43.595 --> 03:32:49.960]  Do your own research and what you'll find is that this is a powerhouse formula for incredible mental clarity, focus, and energy.
[03:32:50.260 --> 03:32:52.281]  Welcome back to the fourth hour of the Alex Jones Show.
[03:32:52.301 --> 03:32:54.942]  Today we're talking about what's at the very bottom of the rabbit hole.
[03:32:54.982 --> 03:32:59.363]  What's the deepest, darkest secret?
[03:33:19.133 --> 03:33:20.254]  And then what's the good news?
[03:33:20.354 --> 03:33:21.515]  Because it's not all bad news.
[03:33:21.595 --> 03:33:23.016]  It's not all trauma.
[03:33:23.517 --> 03:33:30.082]  There's good news, which is that there is a way out of this and that ultimately good will prevail and the evil doesn't have.
[03:33:31.386 --> 03:33:31.727]  I think so.
[03:33:56.030 --> 03:34:00.433]  Cause life, or cause creativity, they always end up kind of ending themselves.
[03:34:00.453 --> 03:34:03.436]  And that's the good news when it comes to evil.
[03:34:04.396 --> 03:34:11.482]  And we were talking about these examples in the Old Testament where Israel was tempted with, you know, the perversion at Baal Peor.
[03:34:12.322 --> 03:34:16.986]  Israel was tempted with sacrificing their children in the book of Jeremiah.
[03:34:18.106 --> 03:34:25.292]  And then we have these prophecies, these promises of a coming Savior all throughout the Old Testament, all these texts, all the way up to
[03:34:26.408 --> 03:34:27.189]  We're good to go.
[03:34:46.632 --> 03:34:47.393]  We're good to go.
[03:35:03.462 --> 03:35:05.222]  Through whom all things came to be.
[03:35:05.642 --> 03:35:07.623]  So, the Father has an eternal Son.
[03:35:07.663 --> 03:35:11.944]  He's that angel of the Lord that we see all the way throughout the Old Testament.
[03:35:11.984 --> 03:35:21.506]  If you've read the Bible, if you've read the Torah, and the Psalms, and the Prophets, you know that there's this messenger of the covenant, this angel messenger that constantly appears.
[03:35:21.846 --> 03:35:24.106]  The word angel, of course, can mean different things.
[03:35:24.126 --> 03:35:25.366]  It can mean just a messenger.
[03:35:25.386 --> 03:35:28.327]  It could be a human messenger, or it could be a divine messenger.
[03:35:29.258 --> 03:35:34.321]  And we would say that this is that chariot rider that we read about in Ezekiel 1 through 10.
[03:35:34.761 --> 03:35:39.764]  This is that being that appears in the fiery furnace with Daniel and his companions.
[03:35:40.344 --> 03:35:53.312]  This is the angel of the Lord that appears and speaks to Samson's parents in the book of Judges, that appears to even Hagar in the early chapters of Genesis, who appears to Abraham, who's also the one walking with
[03:35:53.952 --> 03:36:05.520]  Adam and Eve, and one way we know that that's who that is, if you believe the New Testament, is that Jesus has a dialogue with the Pharisees in John 5 through 9, and he says that no one sees the Father at any time.
[03:36:07.582 --> 03:36:12.605]  And so the Pharisees are kind of, oh yeah, that's true, you can't see God, the Father, so to speak.
[03:36:13.106 --> 03:36:20.631]  So who was speaking with and talking to Jesus on the mountain, or excuse me, with Moses on Mount Sinai?
[03:36:21.351 --> 03:36:24.192]  Who was it that appeared and had a meal with Abraham?
[03:36:24.732 --> 03:36:34.774]  Who was it that was making all these appearances, this voice of the Lord, this form of God's glory according to Ezekiel that keeps appearing and manifesting?
[03:36:34.814 --> 03:36:36.955]  Who's given the name and the title Yahweh?
[03:36:37.915 --> 03:36:49.838]  And in many of those passages, by the way, it also speaks of God's Spirit, God's Spirit being upon, coming upon the judges, and God's Spirit being given by the laying on of hands of Moses to the Israelites.
[03:36:50.298 --> 03:36:50.838]  So in other words,
[03:36:51.573 --> 03:37:00.323]  God the Father, Yahweh, His Son, in whom is His name, if you read Exodus 3 and 23, is this angel, that's Jesus.
[03:37:00.563 --> 03:37:07.931]  That's the second person that manifested throughout all these Old Testament texts, who was kind of there all along.
[03:37:08.889 --> 03:37:31.025]  Leading and guiding the nation of Israel and manifests in the New Testament as a fulfillment of all those promises, not just to be an earthly ruler or king, but to actually save humanity from himself and from his worship of the fallen angelic entities, the demons, the gods of the nations, which David says in the Psalms, the gods of the nations are doubles.
[03:37:31.565 --> 03:37:31.765]  Right?
[03:37:31.785 --> 03:37:32.746]  The Song of Moses.
[03:37:32.786 --> 03:37:36.629]  Moses says that the nations worship the devils, we worship the true God.
[03:37:37.049 --> 03:37:48.118]  But there was all these prophecies throughout all of the texts of the Psalms, Isaiah many, many times over, about how there would be an eventual point where the covenant would be opened up to the Gentiles.
[03:37:48.578 --> 03:37:56.865]  The Gentiles would be invited in to join in the same covenantal relationship that the Jews had to worship the one true God.
[03:37:57.501 --> 03:38:06.270]  And for us, that is exactly what we have in the establishment of the Church, in the Book of Acts, in Acts 2, and in the person of Christ when He became incarnate.
[03:38:06.871 --> 03:38:12.777]  So that Church opens up this pathway, this covenant, this relationship beyond just
[03:38:13.855 --> 03:38:16.718]  You know, manipulation of matter or something like that.
[03:38:16.758 --> 03:38:25.886]  A lot of pagan religion, for example, has the idea that you can get God to do what you want if you offer up enough sacrifices or if you do this or that.
[03:38:26.407 --> 03:38:29.089]  And this is really an erroneous pagan idea.
[03:38:29.269 --> 03:38:35.295]  It's another way of subverting what God's will is for us imposing our own will.
[03:38:36.272 --> 03:38:37.553]  And saying, I want it this way.
[03:38:37.693 --> 03:38:39.894]  I'm going to make the gods do what I want.
[03:38:39.914 --> 03:38:42.096]  I'm going to make Zeus do what I want by doing this or that.
[03:38:42.696 --> 03:38:45.858]  You can't really get God to do those things, right?
[03:38:46.799 --> 03:38:49.800]  You have to have your will aligned with God.
[03:38:50.641 --> 03:38:52.202]  And that's called synergy in our view.
[03:38:52.242 --> 03:38:57.905]  So you synergize your will with the divine will, which is, of course, things like the Ten Commandments.
[03:38:57.925 --> 03:39:03.349]  And we would say Jesus, when he came and he taught, he didn't teach anything different than the Ten Commandments.
[03:39:03.389 --> 03:39:05.190]  We would say he's the one that gave the Ten Commandments.
[03:39:05.791 --> 03:39:11.334]  Because as he says in John 5-9, he was the one at Mount Sinai talking to Moses.
[03:39:11.414 --> 03:39:13.495]  He was the one giving the law.
[03:39:14.676 --> 03:39:23.181]  And this really enrages the Pharisees, and we would say that this is a very controversial doctrine, the doctrine of the Trinity, but it's actually an Old Testament teaching.
[03:39:23.381 --> 03:39:24.742]  It's actually a doctrine in
[03:39:25.476 --> 03:39:25.836]  I don't know.
[03:39:47.082 --> 03:39:48.283]  How would we know this, though?
[03:39:48.303 --> 03:39:57.971]  What are the things that point to this being the case, this being the reality that is out there, that that's what reality is really about, is this spiritual stuff that I'm talking about?
[03:39:57.991 --> 03:40:04.277]  I would say that if you think about the impossibility, for example, of the atheist or the materialist worldview,
[03:40:05.037 --> 03:40:13.039]  By materialism, I don't mean the accumulation of material objects, but the idea that only matter exists, right?
[03:40:13.059 --> 03:40:26.121]  A lot of the atheists, a lot of the Dawkinses, the Daniel Dennis, the Hitchens, these kind of atheists, Sam Harris, these kind of philosophers and thinkers, they believe that all that exists is just pure, random, chaotic matter.
[03:40:27.301 --> 03:40:31.582]  If that's the case, then that leads to certain conclusions about reality.
[03:40:31.622 --> 03:40:32.162]  For example,
[03:40:32.862 --> 03:40:34.284]  We don't actually have free will.
[03:40:34.844 --> 03:40:36.226]  We don't actually make choices.
[03:40:37.127 --> 03:40:40.751]  And many of those philosophers are actually pretty consistent with that.
[03:40:40.792 --> 03:40:46.999]  If you think about, for example, Sam Harris says, yeah, there is no free will and that we think we're learning things is an illusion.
[03:40:47.594 --> 03:40:50.036]  We're not really learning truths and discovering things.
[03:40:50.316 --> 03:40:55.181]  We think we are, but we're just really a determined chemical process doing that.
[03:40:55.781 --> 03:40:59.004]  We're under the delusion that we've made these discoveries and choices.
[03:40:59.504 --> 03:41:06.771]  Of course, if he was to really apply that to his own life, then he wouldn't be able to say that he wrote his books.
[03:41:07.498 --> 03:41:11.899]  He's not actually arguing for anything that he discovered because there aren't really any discoveries.
[03:41:12.440 --> 03:41:13.960]  There's no true versus false.
[03:41:14.280 --> 03:41:16.821]  There's only determined chemical process.
[03:41:17.241 --> 03:41:20.702]  So, in other words, this is called the determinist fallacy or the naturalist fallacy.
[03:41:20.722 --> 03:41:27.324]  This would undermine the possibility of having knowledge at all if the materialist worldview were the case.
[03:41:27.844 --> 03:41:30.565]  You also couldn't get morals from this worldview.
[03:41:31.275 --> 03:41:35.437]  There was a famous atheist philosopher named David Hume in the Enlightenment, and he raised this question.
[03:41:35.477 --> 03:41:37.338]  It's called the IS-OUGHT dilemma.
[03:41:37.918 --> 03:41:41.300]  And he pointed out that, hey, we atheists, we got to be more consistent.
[03:41:41.780 --> 03:41:43.681]  We're calling out these religious believers.
[03:41:43.721 --> 03:41:46.643]  But look, we don't have a basis for right and wrong.
[03:41:47.803 --> 03:41:53.126]  The fact that realities just matter in motion, it doesn't tell you that it should be some other way.
[03:41:54.086 --> 03:41:59.129]  And since there's nothing about molecules themselves that tell you that they ought to be in some other configuration,
[03:41:59.875 --> 03:42:05.218]  If all that exists is molecules in motion, there's no basis for saying that they ought to be some other way.
[03:42:05.719 --> 03:42:15.225]  Therefore, you can't derive an ought, a moral obligation, something right or something wrong, from what is the case, from just a bunch of molecules.
[03:42:16.005 --> 03:42:17.286]  And so if you try to do that,
[03:42:18.175 --> 03:42:28.480]  As an atheist materialist, you will always end up in a position that is arbitrary, that is purely subjective, and has no real basis in actual reality or in fact.
[03:42:28.520 --> 03:42:33.363]  You can't justify or give an account for why it would be wrong to do anything.
[03:42:33.783 --> 03:42:35.604]  To murder, to rape, to steal, to whatever.
[03:42:35.624 --> 03:42:46.910]  And so, these are some examples of what philosophy does, where it says, let's analyze these positions and see if it actually makes any sense to believe that all of reality is pure matter.
[03:42:48.028 --> 03:42:48.969]  This is the Alex Jones Show.
[03:42:48.989 --> 03:42:50.009]  I'm your guest host, Jay Dyer.
[03:42:50.029 --> 03:42:51.109]  I'm Jay's analysis.
[03:42:51.650 --> 03:42:53.750]  We are talking about spirituality and philosophy.
[03:42:54.131 --> 03:42:55.491]  When we come back, we'll get even deeper.
[03:42:57.332 --> 03:42:59.273]  We take some brain force and then we'll do this commercial.
[03:42:59.313 --> 03:42:59.793]  How about that?
[03:43:01.548 --> 03:43:02.970]  Mmm, I can think again.
[03:43:03.371 --> 03:43:09.618]  This is the liquid tincture version of Brain Force, which means you can really tailor it to exactly what you need.
[03:43:09.638 --> 03:43:15.986]  I tend to take maybe a little bit more than is directed, but it's incredibly powerful stuff, and I have an incredibly demanding job.
[03:43:16.046 --> 03:43:20.712]  But you make it easy by going to InfoWarsStore.com, and of course InfoWarsStore.com makes it easy.
[03:43:21.212 --> 03:43:28.916]  By supplying me with Brain Force Ultra, I rely on this product to do my job on a daily basis because it's absolutely jam-packed with incredible ingredients.
[03:43:29.096 --> 03:43:36.539]  Brain Force Ultra is now back in stock at Infowarsstore.com and get it now because this stuff sells out fast for very good reason.
[03:43:36.599 --> 03:43:37.799]  It's a fantastic supplement.
[03:43:38.140 --> 03:43:41.901]  It's the type of supplement that once you start taking it, well, you're going to notice if you stop.
[03:43:41.981 --> 03:43:43.742]  Go check out what's in Brain Force Ultra.
[03:43:43.782 --> 03:43:50.145]  Do your own research and what you'll find is that this is a powerhouse formula for incredible mental clarity, focus, and energy.
[03:43:59.247 --> 03:44:00.648]  Last year we put this book out.
[03:44:01.488 --> 03:44:02.908]  The Great Reset and the War for the World.
[03:44:02.928 --> 03:44:04.709]  It became a number one national bestseller.
[03:44:05.289 --> 03:44:08.549]  Now we've put part two out and it's even thicker and more powerful.
[03:44:09.070 --> 03:44:09.970]  The Great Awakening.
[03:44:10.050 --> 03:44:13.891]  The plan to defeat the globalists and launch the second great renaissance.
[03:44:14.311 --> 03:44:15.951]  This is such a powerful book.
[03:44:16.351 --> 03:44:18.032]  It covers all the globalist plans.
[03:44:18.712 --> 03:44:19.173]  We're good to go.
[03:44:37.853 --> 03:44:45.321]  This is next level information and it's a great way to not just support the broadcast, but inform yourself to the next level and share the book with friends and family.
[03:44:45.621 --> 03:44:51.987]  So whether you want one copy or multiple copies, go now to infowarstore.com and get The Great Awakening.
[03:44:52.187 --> 03:44:53.429]  This is going to go to number one.
[03:44:53.709 --> 03:44:54.730]  I want to thank you for your support.
[03:44:54.910 --> 03:44:55.731]  It's a powerful book.
[03:44:55.951 --> 03:44:56.492]  Get yours now.
[03:44:56.852 --> 03:44:58.353]  Ladies and gentlemen, it is back.
[03:44:58.553 --> 03:45:06.096]  Vitamin Mineral Fusion, the platinum standard of advanced multivitamin formulas, has returned to InfoWarsStore.com.
[03:45:06.176 --> 03:45:14.819]  After being out of stock for months, there's no better time to make sure that you're boosting your natural systems and getting your essential vitamins and minerals and nutrients than with Vitamin Mineral Fusion.
[03:45:15.139 --> 03:45:16.420]  We don't live in a perfect world.
[03:45:16.480 --> 03:45:18.901]  Our diets no longer contain everything that we need.
[03:45:19.261 --> 03:45:27.348]  So instead of spending huge amounts of money and time trying to make up for the lack of nutrition in your diet, just get Vitamin Mineral Fusion and you're good to go.
[03:45:27.408 --> 03:45:28.650]  InfoWarsStore.com.
[03:45:28.690 --> 03:45:29.650]  Vitamin Mineral Fusion.
[03:45:29.911 --> 03:45:30.751]  It's back in stock.
[03:45:30.912 --> 03:45:31.932]  It will sell out quickly.
[03:45:31.952 --> 03:45:33.314]  It's one of our most popular products.
[03:45:33.594 --> 03:45:36.236]  So make sure you go now to InfoWarsStore.com.
[03:45:36.537 --> 03:45:37.157]  It's good for you.
[03:45:37.237 --> 03:45:38.238]  It's good for the whole family.
[03:45:38.678 --> 03:45:41.821]  Vitamins A, B, C, D, B12.
[03:45:43.043 --> 03:45:47.187]  Calcium, Magnesium, Zinc, Selenium, L-Glutamine, the list goes on.
[03:45:47.207 --> 03:45:48.729]  I don't even have time to list everything in here.
[03:45:48.749 --> 03:45:52.674]  So go to impolvorestore.com and find out what Vitamin Mineral Fusion can do for you.
[03:45:57.133 --> 03:45:59.695]  Ladies and gentlemen, we're in a war against the globalists.
[03:46:00.055 --> 03:46:02.396]  And people can't identify who's a patriot and who isn't.
[03:46:02.736 --> 03:46:05.878]  We want to identify as pro-human and anti-globalists.
[03:46:05.938 --> 03:46:08.840]  We want to let people know we're 1776 Part 2.
