[00:00:04.646 --> 00:00:05.011]  What the fuck?
[03:01:57.676 --> 03:01:58.936]  Like, my point right there.
[03:01:58.996 --> 03:01:59.416]  Thank you.
[03:01:59.737 --> 03:02:00.177]  Thank you!
[03:02:01.017 --> 03:02:02.238]  That's disappointing, guys.
[03:02:02.318 --> 03:02:03.259]  That's disgusting.
[03:02:03.860 --> 03:02:06.902]  That's disgusting.
[03:02:06.962 --> 03:02:09.544]  That's disgusting.
[03:02:10.505 --> 03:02:12.046]  That man needs to get them on a leash.
[03:02:12.827 --> 03:02:13.247]  Alright.
[03:02:13.908 --> 03:02:16.030]  Take control of the women in your life, sir!
[03:02:19.446 --> 03:02:24.687]  She just said, so she just said, I should have been aborted, which is admitting that abortion is murder.
[03:02:24.767 --> 03:02:25.847]  So thank you very much.
[03:02:25.967 --> 03:02:27.848]  They don't belong in Texas.
[03:02:27.988 --> 03:02:31.548]  Ironically, this is not the average response we've been getting today.
[03:02:31.568 --> 03:02:36.009]  A lot of people have been saying life begins at conception.
[03:02:36.069 --> 03:02:40.210]  And if they don't say conception, they say a heartbeat because it is common sense.
[03:02:40.250 --> 03:02:41.590]  It is literally common sense.
[03:02:41.610 --> 03:02:42.531]  Are they coming back?
[03:02:42.911 --> 03:02:43.391]  Look at them.
[03:02:44.691 --> 03:02:45.391]  That's enough of them.
[03:02:45.851 --> 03:02:48.632]  You know, we had that video two weeks ago, the Alabama senator saying,
[03:02:49.787 --> 03:02:52.154]  If we don't kill them in the womb, we're gonna kill them later.
[03:02:52.635 --> 03:02:53.458]  These are bad people.
[03:02:53.498 --> 03:02:54.440]  They have bad genes.
[03:02:54.841 --> 03:02:56.145]  That is so Nazi.
[03:02:56.767 --> 03:02:57.970]  That is so dangerous, Milly.
[03:02:58.416 --> 03:03:02.779]  It's very dangerous, you know, and it's about dehumanizing babies.
[03:03:03.420 --> 03:03:07.082]  They essentially try to say, oh, they're not babies, they're not human.
[03:03:07.603 --> 03:03:09.184]  Where have we heard that, Alex?
[03:03:09.284 --> 03:03:12.767]  Where have we heard people saying they're not human, therefore they should be killed?
[03:03:13.087 --> 03:03:15.569]  Well, gee, that sounds like something the Nazis said.
[03:03:15.909 --> 03:03:20.192]  That sounds like the justification they gave to kill millions of Jewish people.
[03:03:20.392 --> 03:03:20.953]  Absolutely.
[03:03:21.013 --> 03:03:24.435]  And so many of our best scientists and best people come from really poor backgrounds.
[03:03:24.795 --> 03:03:25.556]  They're disabled.
[03:03:27.657 --> 03:03:32.160]  Here, here, let's play this Alabama Senator saying, kill, kill them before they're born.
[03:03:32.180 --> 03:03:32.880]  Kill the black people.
[03:03:32.920 --> 03:03:33.301]  Here it is.
[03:03:35.202 --> 03:03:37.563]  All I'm saying to you, it ought to be a woman's choice.
[03:03:39.284 --> 03:03:42.586]  I'm not about to be able to tell a woman what to do with her body.
[03:03:43.027 --> 03:03:44.247]  Yeah, you don't want any responsibility.
[03:03:45.388 --> 03:03:47.229]  She has a right to make that decision herself.
[03:03:48.830 --> 03:03:49.931]  Directly, he said.
[03:03:52.452 --> 03:03:53.833]  Some kids are not wanted.
[03:03:55.134 --> 03:03:56.555]  So you kill them now, I'll kill them later.
[03:03:57.991 --> 03:04:00.272]  You're bragging me in the world, I don't want it, I don't love.
[03:04:01.273 --> 03:04:02.413]  Then you send him to the electric chair.
[03:04:03.074 --> 03:04:04.635]  So you kill him now, I'll kill him later.
[03:04:06.736 --> 03:04:10.638]  But the bottom line is that I think we should be making this decision.
[03:04:11.169 --> 03:04:11.750]  Alright, there you go.
[03:04:11.770 --> 03:04:13.111]  He goes, it's a woman's choice.
[03:04:13.551 --> 03:04:15.133]  No, the state wants the organs.
[03:04:15.153 --> 03:04:15.934]  They're getting caught.
[03:04:16.294 --> 03:04:17.255]  They're in trouble, Millie.
[03:04:17.355 --> 03:04:18.236]  I think they're scared.
[03:04:18.496 --> 03:04:21.439]  Well, he's admitting right there, kill them now or kill them later.
[03:04:22.140 --> 03:04:23.000]  Kill them!
[03:04:23.461 --> 03:04:24.642]  He's admitting it's murder.
[03:04:24.902 --> 03:04:29.427]  He's admitting that these are human beings that we're killing, which the left likes to try to deny.
[03:04:29.467 --> 03:04:30.528]  They say it's not human.
[03:04:30.608 --> 03:04:33.130]  By the way, I tell folks about going to anti-abortion rallies.
[03:04:33.951 --> 03:04:38.393]  And there'd always be some weird local black leader come over and say, we don't want black people, we gotta kill them.
[03:04:38.873 --> 03:04:39.934]  Now they say it on tape.
[03:04:40.254 --> 03:04:41.494]  He's talking about killing black people.
[03:04:42.215 --> 03:04:43.095]  It's disgusting.
[03:04:43.155 --> 03:04:47.557]  The racism within the Democrats is there for everyone to see.
[03:04:48.037 --> 03:04:51.059]  Millie, your incredible interview with your husband and your newborn daughter is coming up.
[03:04:51.139 --> 03:04:53.020]  And Will Johnson is locked and loaded.
[03:04:53.480 --> 03:04:55.321]  InfoWars.com, NewsWars.com.
[03:04:55.641 --> 03:04:56.921]  Spread the live links to the show.
[03:04:57.302 --> 03:04:58.982]  InfoWars.com forward slash show.
[03:04:59.022 --> 03:05:00.103]  You are incredible.
[03:05:06.773 --> 03:05:18.703]  This is Next Level, Breaking Ground, History Book Level, Science Fiction Dystopia, Tyranny on Steroids.
[03:05:33.914 --> 03:05:35.875]  Bing, bing, bong, bong.
[03:05:36.055 --> 03:05:45.879]  Just take the red pill, people!
[03:05:45.959 --> 03:05:46.479]  InfoWars.
[03:05:46.499 --> 03:05:49.341]  The most banned network in the world.
[03:06:14.184 --> 03:06:18.311]  Defending the Republic from enemies foreign and domestic.
[03:06:19.032 --> 03:06:20.354]  It's Alex Jones!
[03:06:22.935 --> 03:06:32.257]  This is Alma, my three-month-old baby daughter, and she is what a perfectly healthy, unvaccinated baby looks like.
[03:06:32.757 --> 03:06:34.478]  She's in all the top charts.
[03:06:34.798 --> 03:06:35.978]  She's off the records.
[03:06:36.478 --> 03:06:49.202]  I mean, she is so healthy, and the doctors in the beginning, they tried to pressure me into vaccinating her, but now she's surpassing all the other babies that she was behind initially that were vaccinated.
[03:06:49.222 --> 03:06:49.262]  So,
[03:06:50.942 --> 03:06:51.563]  There she is.
[03:06:52.483 --> 03:07:05.993]  So she was born C-section and of course with C-section babies she was suctioned after she was born and that's when they kind of put a big suction thing in the back of your throat and kind of remove fluids but
[03:07:06.613 --> 03:07:15.498]  When she had her first baby checkup appointment, they looked in the back of her throat and they saw that she had a little bit of a scratch or sore at the back of her throat.
[03:07:15.979 --> 03:07:17.660]  And so the doctors freaked out.
[03:07:18.100 --> 03:07:24.824]  They thought that maybe she had a sore, maybe she came in contact with some herpes virus or something at the hospital.
[03:07:25.284 --> 03:07:30.127]  They were asking me about my medical history and I'm like, no, I've never had any type of herpes or anything.
[03:07:30.267 --> 03:07:32.809]  Plus, she wasn't even born vaginally.
[03:07:32.889 --> 03:07:34.350]  She was born with a C-section.
[03:07:35.245 --> 03:07:39.166]  Nonetheless, they wanted to send her to a hospital immediately.
[03:07:39.566 --> 03:07:42.807]  But I was like, no, I don't think she needs to be at a hospital.
[03:07:42.847 --> 03:07:43.767]  She doesn't have a fever.
[03:07:43.827 --> 03:07:44.507]  She's fine.
[03:07:44.567 --> 03:07:45.287]  She's healthy.
[03:07:45.807 --> 03:07:52.109]  They said, go to Walgreens, Rite Aid, get a thermometer and monitor her.
[03:07:52.249 --> 03:07:57.730]  If she spikes a fever, even if it's over 100.3, bring her into the ER.
[03:07:58.270 --> 03:07:59.391]  So I was doing that.
[03:07:59.891 --> 03:08:00.451]  And of course,
[03:08:01.451 --> 03:08:05.695]  A day or two later, I took her temperature and it said 100.6.
[03:08:07.076 --> 03:08:10.959]  So I thought, oh my gosh, maybe she did come into contact with something at the hospital.
[03:08:11.079 --> 03:08:13.821]  I should take her into the ER and get her checked out.
[03:08:14.642 --> 03:08:15.562]  So of course I go.
[03:08:16.123 --> 03:08:23.109]  As soon as I get to the ER, the doctors then take her temperature with their thermometer and it says she doesn't have a fever.
[03:08:23.849 --> 03:08:26.271]  So I then say, wait a second, let's check mine.
[03:08:26.611 --> 03:08:28.633]  So I checked mine, it said she had a fever.
[03:08:28.953 --> 03:08:30.474]  They checked theirs again, no fever.
[03:08:30.634 --> 03:08:37.759]  So I quickly realized that this cheap little $5 thermometer I got at the drugstore was faulty.
[03:08:37.879 --> 03:08:39.861]  Something, you know, wasn't very accurate.
[03:08:39.881 --> 03:08:43.884]  I trust the hospital's calibrated equipment more than this little cheap one.
[03:08:44.324 --> 03:08:45.165]  So what did they say?
[03:08:45.205 --> 03:08:48.989]  They said, we need to get a blood sample and a urine sample.
[03:08:49.430 --> 03:08:51.993]  So of course, I was thinking, okay, sure.
[03:08:52.213 --> 03:08:55.817]  Maybe a little prick or heal like we've seen or somehow collect urine.
[03:08:56.358 --> 03:08:56.858]  No, no, no.
[03:08:57.019 --> 03:09:00.422]  All of a sudden, before I knew it, they're wheeling in all this crazy equipment.
[03:09:00.462 --> 03:09:01.464]  All these people come in.
[03:09:02.965 --> 03:09:08.249]  Shove a catheter in her and she's screaming and I was like, whoa, wait a second.
[03:09:08.369 --> 03:09:09.770]  No, what are we doing here?
[03:09:10.151 --> 03:09:11.732]  Oh, this is the only way we can get urine.
[03:09:12.192 --> 03:09:17.556]  They start having nurses stick needles in her arms to try to get a vein.
[03:09:18.217 --> 03:09:25.562]  Of course, she's reeling and screaming in pain and I start freaking out panicking and crying because I'm watching my poor baby
[03:09:26.583 --> 03:09:27.203]  We're good to go.
[03:09:40.413 --> 03:09:50.778]  CPS or, you know, the Child Protection Services for medical neglect if I took her out of the hospital, despite the fact that she didn't really have a fever at all.
[03:09:51.079 --> 03:09:57.062]  But because they said she had some kind of mark or scratch at the back of her throat, you know, they had to run all these tests on her.
[03:09:57.302 --> 03:10:04.406]  They had her all wired up like she was some sick baby, took us up to, you know, to stay overnight and everything.
[03:10:05.206 --> 03:10:21.476]  And the doctors then started wanting to pressure me to allow them to start her on high-dose antibiotics and do a spinal tap on a newborn baby without any evidence that she was sick.
[03:10:22.016 --> 03:10:23.597]  They literally had no evidence she was sick.
[03:10:23.657 --> 03:10:24.458]  No fever, nothing.
[03:10:24.738 --> 03:10:26.259]  And they wanted to do a spinal tap on her.
[03:10:26.679 --> 03:10:28.880]  I kept saying, no, uh-uh, no way in hell.
[03:10:28.981 --> 03:10:30.962]  We are not doing a spinal tap on a newborn baby.
[03:10:31.122 --> 03:10:34.144]  I started threatening them legally that I would sue them.
[03:10:34.744 --> 03:10:43.617]  That you are not allowed, like this is where I draw the line, this is where I threaten you legally that you are not gonna do a spinal tap on my newborn baby.
[03:10:44.178 --> 03:10:51.047]  One of the doctors said to me, you know, if it were my baby, I would want them to have a spinal tap.
[03:10:51.508 --> 03:10:54.690]  I would want them to immediately be put on high-dose antibiotics.
[03:10:55.051 --> 03:10:55.651]  I said, really?
[03:10:55.791 --> 03:11:00.194]  Even when your baby's perfectly healthy and doesn't have a fever at all?
[03:11:00.274 --> 03:11:01.335]  They said, well, you don't know that.
[03:11:01.895 --> 03:11:09.580]  And, mind you, the test they took the night before had already come back to show that the mark in the back of her throat came back negative for anything.
[03:11:09.701 --> 03:11:13.023]  No herpes, no crazy viruses or any illnesses.
[03:11:13.403 --> 03:11:14.324]  It came back negative.
[03:11:14.644 --> 03:11:18.827]  So even with the negative test, they wanted me to do a spinal tap on my baby.
[03:11:19.327 --> 03:11:32.800]  I actually got into a long debate with one of the doctors who just, he wanted to go at me with, you know, vaccines and he had all the arguments, all the things to say and I was just like, no, I have my reasons.
[03:11:33.081 --> 03:11:43.591]  I know for a fact and plus, you know, we have a thing in my family where babies get febrile seizures and I didn't want to risk anything going on with my baby.
[03:11:44.011 --> 03:11:54.776]  You know, I said, when you can show me on those inserts that it doesn't say risk of death, risk of autism, risk of all of these autoimmune diseases, when you can show me those vaccine inserts don't say that?
[03:11:54.876 --> 03:11:55.997]  Then we can talk.
[03:11:56.157 --> 03:11:57.337]  I mean, I've got three dollars in the sun.
[03:11:57.357 --> 03:11:59.699]  None of them are tested for safety.
[03:11:59.759 --> 03:12:01.800]  They have secret liability protection.
[03:12:02.080 --> 03:12:03.760]  Now it's hundreds of shots they want to give.
[03:12:04.181 --> 03:12:05.141]  And they know what they're doing.
[03:12:05.161 --> 03:12:06.722]  This is on purpose, people.
[03:12:07.062 --> 03:12:07.842]  We're not against science.
[03:12:07.862 --> 03:12:09.483]  We're not even against vaccines itself, in my view.
[03:12:09.783 --> 03:12:12.024]  It's that they're not giving us quality vaccines.
[03:12:12.364 --> 03:12:14.665]  They've got contaminants, and it's part of a larger agenda.
[03:12:14.986 --> 03:12:20.348]  And these sweet little babies, my children are all in the top 99 percentile of everything, just like this baby is.
[03:12:20.708 --> 03:12:24.950]  And the doctors will tell you, no, we notice the difference with unvaccinated and vaccinated.
[03:12:25.470 --> 03:12:26.071]  It's a fact.
[03:12:26.151 --> 03:12:30.473]  But regardless, it's like a public health issue or like Yelp or reviews.
[03:12:30.833 --> 03:12:32.694]  They're trying to say mothers and fathers and people.
[03:12:33.334 --> 03:12:37.315]  Our nurses can't have their views that vaccines have caused damage, or they've been hurt by vaccines.
[03:12:37.696 --> 03:12:51.581]  So they're trying to say that you as a consumer don't have a right to say you were hurt by a product that Big Pharma has, that has liability protection, with the whole history of Big Pharma and Bayer, with HIV in the shots, and the OxyContin company knowing it would kill people.
[03:12:51.881 --> 03:12:52.521]  I mean, really?
[03:12:52.921 --> 03:12:56.622]  We're gonna just trust these people that have this history of secret experimentation?
[03:12:57.043 --> 03:12:58.423]  I really commend you guys and your courage.
[03:12:58.623 --> 03:12:59.904]  And other parents, stand together.
[03:13:00.124 --> 03:13:00.604]  God bless you.
[03:13:01.323 --> 03:13:01.923]  Well, thank you.
[03:13:02.143 --> 03:13:10.488]  And you know, that's why I told this doctor, I said, hey, you can't tell me there's not a possibility that this is going to injure my baby, these vaccines.
[03:13:10.908 --> 03:13:12.429]  And are you willing to be liable?
[03:13:13.130 --> 03:13:16.672]  If my child's injured, am I going to be able to sue you and come after you?
[03:13:16.732 --> 03:13:17.973]  Are you going to hold liability?
[03:13:18.373 --> 03:13:19.914]  Doctor didn't want to hear about that.
[03:13:20.494 --> 03:13:23.416]  And the other thing is he wanted to talk about herd immunity.
[03:13:24.316 --> 03:13:25.997]  He seemed to care more about herd immunity.
[03:13:26.117 --> 03:13:27.077]  Oh yeah, this happens.
[03:13:27.137 --> 03:13:28.037]  Some kids get hurt.
[03:13:28.077 --> 03:13:30.958]  But herd immunity is what we need.
[03:13:31.018 --> 03:13:32.339]  We need to protect the herd.
[03:13:32.979 --> 03:13:36.080]  One problem, doctor, my baby is not chattel.
[03:13:36.801 --> 03:13:40.082]  So when you say herd immunity to me, it falls on deaf ears.
[03:13:41.082 --> 03:13:45.965]  That night, an older doctor, who was much older than all these other doctors.
[03:13:46.005 --> 03:13:47.146]  These doctors were younger.
[03:13:47.366 --> 03:13:48.587]  This guy was an old timer.
[03:13:49.248 --> 03:13:53.651]  He took one look at her and he said, what is this baby doing here?
[03:13:54.371 --> 03:13:55.512]  Why is this baby here?
[03:13:55.532 --> 03:13:58.734]  This baby's perfectly healthy, no fever, nothing.
[03:13:58.854 --> 03:14:04.218]  He's like, I would have discharged her the minute we took her temperature and realized that she didn't have a fever.
[03:14:05.080 --> 03:14:06.361]  He's like, what is going on here?
[03:14:06.921 --> 03:14:07.921]  This is ridiculous.
[03:14:08.602 --> 03:14:12.303]  He couldn't believe when I told them that the other doctors wanted to do a spinal tap.
[03:14:12.343 --> 03:14:13.524]  He thought it was ludicrous.
[03:14:14.284 --> 03:14:17.506]  And now it is a standard procedure.
[03:14:17.826 --> 03:14:18.386]  Look this up.
[03:14:18.746 --> 03:14:19.907]  It's a standard procedure.
[03:14:20.067 --> 03:14:33.153]  If a baby under three months old goes to the ER with even the parents thinking the baby had a fever of 100.3 and above, it's now standard for them to recommend spinal taps.
[03:14:34.960 --> 03:14:35.701]  This is insane.
[03:14:36.541 --> 03:14:53.676]  Finally, when it all came to a head and the doctors said she's perfectly healthy after all the tests we've given her, the only thing they could think of for why she had this cut or abrasion or sore at the back of her throat was probably from the suctioning.
[03:14:54.476 --> 03:14:58.960]  When she was born, the nurses might have been a little too violent suctioning the baby out.
[03:14:59.641 --> 03:15:03.084]  And that was because they forced me to have a C-section
[03:15:03.644 --> 03:15:09.006]  Because they said they literally would not let me try to have a VBAC because my first son was a C-section.
[03:15:09.306 --> 03:15:11.526]  The hospital had a board of doctors.
[03:15:11.907 --> 03:15:18.649]  They said you had to get past this board of doctors and the doctors got to choose whether or not you could try to give birth naturally or C-section.
[03:15:19.009 --> 03:15:23.270]  And they said, nope, sorry, we're not even gonna let you try to have a regular birth.
[03:15:23.610 --> 03:15:24.591]  C-section it is.
[03:15:25.071 --> 03:15:28.612]  So if my baby wasn't born with a C-section and maybe if they weren't so violent,
[03:15:29.392 --> 03:15:31.794]  Jabbing her with their suction device.
[03:15:32.515 --> 03:15:35.497]  She wouldn't have ever had that sore on the back of her throat.
[03:15:36.018 --> 03:15:39.521]  So they created the problem that they then freaked out about in the first place.
[03:15:40.421 --> 03:15:42.243]  Just trust your intuition.
[03:15:42.683 --> 03:15:43.504]  It's your baby.
[03:15:43.824 --> 03:15:49.269]  You know whether or not your baby's really sick and really needing certain medical intervention.
[03:15:49.769 --> 03:15:56.014]  If I would have just trusted my own intuition when I looked at my baby and said, well, she looks perfectly healthy to me.
[03:15:56.955 --> 03:16:02.716]  Um, she probably wouldn't have had to go through that traumatic experience of being... Hi.
[03:16:03.157 --> 03:16:05.777]  I'm gonna grow a magnificent pair of breasts!
[03:16:06.717 --> 03:16:09.398]  I'm going to transition into a woman!
[03:16:09.818 --> 03:16:10.498]  It'll be great!
[03:16:10.778 --> 03:16:23.422]  You should crawl back into your mother's rancid womb, gestate for a few more hours, slide back out, and then learn something about not being an entitled, white, piece of sh**!
[03:16:23.642 --> 03:16:24.442]  This is Trump, people!
[03:16:25.462 --> 03:16:26.803]  When the rubber meets the road?
[03:16:27.544 --> 03:16:28.064]  Pussies!
[03:16:28.144 --> 03:16:29.445]  Yeah, you're a f***ing idiot.
[03:16:29.465 --> 03:16:30.366]  F*** you, capitalism!
[03:16:30.386 --> 03:16:31.586]  F*** you, f***ing president!
[03:16:31.887 --> 03:16:34.228]  He's a racist, stupid piece of s***!
[03:16:34.448 --> 03:16:38.171]  If you guys are working for Alex Jones, you're working for a murderer!
[03:16:38.291 --> 03:16:40.372]  Alex Jones is an a**hole.
[03:16:40.593 --> 03:16:42.974]  Danfoe Wards is fake news!
[03:16:46.325 --> 03:16:47.246]  I got a chair going!
[03:16:47.426 --> 03:16:52.428]  If you had to choose one prominent person to be banned next, who would you choose?
[03:16:52.889 --> 03:16:58.732]  You!
[03:16:58.832 --> 03:17:00.933]  This is what's happening to the men in our country.
[03:17:00.993 --> 03:17:02.254]  Where are the men?
[03:17:02.274 --> 03:17:03.734]  Stop touching my stuff!
[03:17:03.794 --> 03:17:04.695]  I'm backing away!
[03:17:05.115 --> 03:17:05.575]  Stop!
[03:17:05.775 --> 03:17:06.236]  Dude, stop!
[03:17:10.118 --> 03:17:12.440]  Why are you doing that?
[03:17:12.600 --> 03:17:15.142]  Get the f***ing stuff in and don't film it!
[03:17:15.182 --> 03:17:16.843]  You're not allowed!
[03:17:16.883 --> 03:17:19.666]  You can't use it!
[03:17:19.686 --> 03:17:21.007]  Please do not touch me!
[03:17:21.227 --> 03:17:22.408]  Please do not touch me!
[03:17:22.428 --> 03:17:23.709]  Once again it's me!
[03:17:23.729 --> 03:17:25.290]  I actually said both of you guys.
[03:17:25.410 --> 03:17:28.092]  Right beforehand you f***ing said sir!
[03:17:32.827 --> 03:17:34.227]  Motherf***ing pussies!
[03:17:34.267 --> 03:17:34.907]  Motherf***er!
[03:17:35.408 --> 03:17:37.308]  Take it outside and smoke homies for me!
[03:17:37.328 --> 03:17:43.870]  I will show you the f*** you deserve!
[03:17:43.970 --> 03:17:44.990]  Motherf***er!
[03:17:45.030 --> 03:17:46.430]  Get the f*** out of my face!
[03:17:46.450 --> 03:17:46.890]  Go home!
[03:17:46.910 --> 03:17:47.310]  Go home!
[03:17:47.470 --> 03:17:47.991]  Go home!
[03:17:48.091 --> 03:17:50.671]  What is your f***ing problem?
[03:17:50.911 --> 03:17:51.511]  Film it, bro.
[03:17:51.571 --> 03:17:51.871]  Film it.
[03:17:52.072 --> 03:17:57.213]  Yeah, I'm filming it.
[03:17:57.313 --> 03:17:59.273]  What the f*** did you do to me?
[03:17:59.293 --> 03:17:59.873]  Watch this.
[03:17:59.953 --> 03:18:00.954]  Did you farted at me?
[03:18:04.893 --> 03:18:06.314]  Get the hell out of here!
[03:18:06.354 --> 03:18:08.816]  Get these people the hell out of here right now!
[03:18:09.056 --> 03:18:10.337]  F**k off!
[03:18:10.397 --> 03:18:13.359]  I don't give a f**k!
[03:18:14.359 --> 03:18:15.020]  Get out!
[03:18:15.120 --> 03:18:15.880]  Oh s**t!
[03:18:18.662 --> 03:18:21.364]  Don't do that!
[03:18:21.424 --> 03:18:22.004]  Please!
[03:18:22.044 --> 03:18:22.425]  Please!
[03:18:22.465 --> 03:18:24.706]  F**king terrible person!
[03:18:24.726 --> 03:18:24.926]  Please!
[03:18:45.114 --> 03:18:52.577]  Yeah, I really appreciate you, and it's an honor to talk to you, and I do, before I start, I also wanted to do a plug for a couple of your products that I really love.
[03:18:52.657 --> 03:18:53.317]  Changed my life.
[03:18:53.377 --> 03:18:55.838]  The DNA Force is one, and X2.
[03:18:55.878 --> 03:18:57.579]  Yeah, I do a lot of construction.
[03:18:57.779 --> 03:19:05.162]  Using the tools that you're using, it just really wreaks havoc on your body, and I had three of my fingers starting to go numb, and I didn't think there was anything going to work on it.
[03:19:05.422 --> 03:19:12.326]  I tried your DNA Force a couple weeks later, started feeling that numbness going away, tingling coming back, and then, you know, now I'm fully using my hand.
[03:19:12.366 --> 03:19:17.048]  It's great, and I can't thank you enough for what you do just in the fight for liberty.
[03:19:17.068 --> 03:19:17.888]  Well, thank you, brother.
[03:19:17.948 --> 03:19:19.449]  I mean, we want to sell you stuff that works.
[03:19:19.489 --> 03:19:26.052]  You want to order it again, but PQQ CoQ10 has been proven to make telomeres last longer, to make nerves regrow.
[03:19:26.212 --> 03:19:28.394]  It really is an amazing product for anybody above 40.
[03:19:28.614 --> 03:19:31.755]  Young people can take it as well, but yes, DNA Force Plus is amazing.
[03:19:32.315 --> 03:19:32.936]  What'd you think of the X2?
[03:19:33.476 --> 03:19:34.657]  I love that too.
[03:19:34.717 --> 03:19:38.560]  After a few months of being on that, I felt like I wasn't searching for words.
[03:19:38.980 --> 03:19:47.647]  There was a time in my life where I felt like, man, I don't know if I'm just too exhausted or what, but you feel like you want to get in a conversation, and you're pausing, and you can't find the word to say.
[03:19:47.787 --> 03:19:50.889]  And I swear, man, that X2 really helps with cognition.
[03:19:50.929 --> 03:19:53.692]  Well, that's because the synapses in the brain operate off of it.
[03:19:53.712 --> 03:19:54.432]  It's electrochemical.
[03:19:54.452 --> 03:19:55.213]  You're absolutely right.
[03:19:55.273 --> 03:19:58.976]  When I forget to take X2 every couple days, sometimes I forget for like a week because I get busy.
[03:19:59.096 --> 03:20:01.638]  Then I feel it, and I take it, and it really is amazing.
[03:20:01.718 --> 03:20:02.879]  So thank you for the support, brother.
[03:20:06.241 --> 03:20:08.882]  You're listening to The Alex Jones Show!
[03:20:21.842 --> 03:20:25.684]  The answer to 1984 is 1776.
[03:20:27.365 --> 03:20:30.146]  You're listening to The Alex Jones Show.
[03:20:30.766 --> 03:20:33.908]  And now, your host, Will Johnson.
[03:20:36.289 --> 03:20:40.051]  Welcome, welcome to the last hour of The Alex Jones Show.
[03:20:40.071 --> 03:20:41.371]  My name is Will Johnson.
[03:20:41.391 --> 03:20:43.952]  It's an honor to be here once again.
[03:20:44.012 --> 03:20:49.495]  We have a lot to talk about in the last few minutes in this hour.
[03:20:50.669 --> 03:20:55.172]  Abortion is the hot topic everywhere and so is censorship.
[03:20:55.632 --> 03:20:57.373]  But first I want to talk about censorship.
[03:20:58.134 --> 03:21:04.918]  Censorship that's going across America is nothing different than when Nazi Germany was burning books in the day.
[03:21:05.879 --> 03:21:16.486]  Today you have Facebook creating this whole social media platform and Google with YouTube and Twitter.
[03:21:17.186 --> 03:21:18.187]  It is the public square.
[03:21:19.306 --> 03:21:24.870]  It's a public square and now you put your information out there and they delete it.
[03:21:25.710 --> 03:21:27.291]  It's digital book burning.
[03:21:28.932 --> 03:21:37.738]  Alex Jones has been removed from all of these platforms and they're having people terrified of even saying his name.
[03:21:40.047 --> 03:21:42.488]  So this is another sense of control.
[03:21:42.848 --> 03:21:44.149]  They're controlling everyone.
[03:21:44.169 --> 03:21:47.790]  They want to control what everything is being said, everything that's being shared.
[03:21:48.230 --> 03:21:50.832]  They do not want you to say Alex Jones.
[03:21:51.512 --> 03:21:59.475]  You know, when they first started censoring Alex Jones, everyone was saying, you know, hashtag Alex Jones, hashtag Infowars, hashtag free Alex Jones.
[03:22:00.535 --> 03:22:01.616]  That was taking place.
[03:22:02.016 --> 03:22:04.677]  Then it was like, okay, too many people are still doing this.
[03:22:05.217 --> 03:22:06.418]  So they came up with a way
[03:22:07.173 --> 03:22:13.656]  To terrify people and saying the name Alex Jones because they knew they couldn't stop it.
[03:22:14.176 --> 03:22:15.717]  They were not able to stop it.
[03:22:16.777 --> 03:22:19.098]  So why are they trying to do this censorship now?
[03:22:19.819 --> 03:22:21.899]  Well, it's obvious 2020 is coming.
[03:22:22.400 --> 03:22:26.642]  We have President Trump coming up for election in 2020 and they know.
[03:22:28.062 --> 03:22:33.485]  Even Green said that if we do not impeach him, he's going to be president in 2020.
[03:22:35.345 --> 03:22:37.545]  So how did the censorship start off, right?
[03:22:38.226 --> 03:22:39.006]  Really think about it.
[03:22:39.846 --> 03:22:44.027]  For me, now, you know, they've been censoring people from probably from the beginning.
[03:22:44.927 --> 03:22:53.688]  But it really started picking up after the 2016 election, when President Trump beat Hillary Rodham Clinton outright.
[03:22:53.988 --> 03:22:55.569]  And it wasn't the help of the Russians.
[03:22:56.429 --> 03:22:57.849]  It was not the help of the Russians.
[03:22:58.649 --> 03:23:03.170]  It was straight up the American people that voted for President Trump, not the Russians.
[03:23:03.897 --> 03:23:10.123]  You even had Democrats vote for President Trump because they didn't like what Hillary Clinton did to Bernie Sanders.
[03:23:11.324 --> 03:23:19.312]  So, to talk about the digital book burning, see, you take your life story and you put it out there.
[03:23:20.213 --> 03:23:23.676]  You put your life story on social media and
[03:23:24.762 --> 03:23:31.985]  Year after year, you put pictures, you put comments, and then they just come along and they delete it.
[03:23:32.405 --> 03:23:34.606]  They burn your digital book.
[03:23:34.946 --> 03:23:35.126]  Why?
[03:23:35.166 --> 03:23:36.527]  Because you're saying something you don't like.
[03:23:37.387 --> 03:23:37.607]  Right?
[03:23:38.307 --> 03:23:39.868]  Oh, you hurt my feelings.
[03:23:41.221 --> 03:23:59.978]  So basically they wanted to delete people because of your political views, not because you've gone out and murdered someone, not because you've gone out and robbed a bank, not because you've gone on and out and advocated for people to be violent towards other people, not because you see people on the street wearing a Trump hat and you decide to hit them.
[03:24:00.218 --> 03:24:02.180]  No, you're not getting banned for that.
[03:24:02.821 --> 03:24:06.524]  You're getting banned because you're not saying what they want you to say.
[03:24:07.279 --> 03:24:09.640]  You get banned because you go against the grain.
[03:24:10.240 --> 03:24:13.081]  You get banned because you are a believer in Christ.
[03:24:13.281 --> 03:24:18.443]  You get banned because you support organizations like Infowars.com.
[03:24:20.683 --> 03:24:28.466]  See, when you support someone like Infowars.com, Alex Jones, it runs through their veins and it just boils.
