[00:00:01.058 --> 00:00:02.919]  Well, ladies and gentlemen,
[02:20:22.257 --> 02:20:23.738]  StrikeHardGear.com.
[02:20:23.898 --> 02:20:25.579]  Go ahead, pull the trigger.
[02:20:25.819 --> 02:20:35.085]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[02:20:35.145 --> 02:20:35.886]  This capitalism?
[02:20:35.946 --> 02:20:42.070]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[02:20:42.210 --> 02:20:42.990]  Hi, Ted Anderson.
[02:20:43.011 --> 02:20:46.113]  I'm placing a free silver dollar in a book that explains our monetary system.
[02:20:46.173 --> 02:20:47.093]  Call for your copy 800-686-2237.
[02:20:47.113 --> 02:20:48.454]  It's time to understand the system.
[02:20:48.494 --> 02:20:48.774]  Call 800-686-2237.
[02:20:48.834 --> 02:20:49.095]  That's 800-686-2237.
[02:20:56.179 --> 02:20:59.802]  Sergeant Dave Scott, Army Search and Rescue Veteran, wants you to hear this urgent message.
[02:20:59.982 --> 02:21:08.007]  All emergencies have casualties, but in America, most casualties from storms like Katrina and Sandy only happen because good people were in the wrong place at the wrong time.
[02:21:08.307 --> 02:21:09.628]  Don't let that happen to you.
[02:21:09.728 --> 02:21:11.909]  Visit YourBugOutPlan.com on the web.
[02:21:12.230 --> 02:21:17.353]  Watch a free video presentation of the skills you need to be long gone before any disaster can touch you.
[02:21:17.553 --> 02:21:20.295]  You owe it to yourself and to your family to watch this.
[02:21:20.615 --> 02:21:23.437]  Head to YourBugOutPlan.com on the web right now.
[02:21:23.537 --> 02:21:24.577]  YourBugOutPlan.com
[02:21:25.538 --> 02:21:29.480]  Bills in front of Congress right now could take away your right to keep and bear arms.
[02:21:29.800 --> 02:21:35.503]  If Obama has his way, all guns will be either banned, restricted or confiscated, possibly by executive order.
[02:21:36.003 --> 02:21:38.204]  The best way to keep your guns is to hide them.
[02:21:38.365 --> 02:21:40.846]  What Obama can't find, Obama can't take away.
[02:21:41.006 --> 02:21:43.167]  You can protect your guns from any threat.
[02:21:43.407 --> 02:21:47.669]  Download our special report, How to Hide Your Guns, at GoHideYourGuns.com.
[02:21:47.829 --> 02:21:50.371]  Learn how to hide your guns while keeping them readily available.
[02:21:50.471 --> 02:21:52.612]  Get the report now before they make us take it down.
[02:21:52.892 --> 02:21:54.413]  On the web at GoHideYourGuns.com.
[02:21:56.260 --> 02:21:58.922]  The coming financial collapse is real.
[02:21:59.302 --> 02:22:02.043]  The subsequent social unrest will happen.
[02:22:02.504 --> 02:22:06.466]  Even if you made it out of suburbia alive, where would you take your family?
[02:22:06.986 --> 02:22:14.570]  Act now to secure your survival retreat in the American Redoubt with the experts at survivalretreatconsulting.com.
[02:22:14.930 --> 02:22:21.054]  The American Redoubt is the designated safe haven for all liberty-minded patriots relocating to Idaho.
[02:22:21.334 --> 02:22:22.895]  Montana and Wyoming.
[02:22:23.195 --> 02:22:26.336]  Get eyes, ears, and boots on the ground.
[02:22:26.636 --> 02:22:29.497]  Get professional, confidential, discreet advice.
[02:22:29.837 --> 02:22:32.858]  Get survivalretreatconsulting.com.
[02:22:33.198 --> 02:22:35.299]  Call 208-627-2855.
[02:22:35.359 --> 02:22:45.422]  Save time, money, and stress while you secure your ultimate survival retreat property now, before it's too late.
[02:22:46.022 --> 02:22:46.362]  Water.
[02:22:46.963 --> 02:22:47.423]  Energy.
[02:22:47.923 --> 02:22:48.244]  Food.
[02:22:48.724 --> 02:22:49.204]  Defense.
[02:22:49.565 --> 02:22:52.207]  SurvivalRetreatConsulting.com.
[02:22:52.567 --> 02:22:55.249]  SurvivalRetreatConsulting.com.
[02:22:55.549 --> 02:22:58.271]  Do you suffer from low-functioning adrenal or thyroid gland?
[02:22:58.471 --> 02:23:04.195]  Did you know that mercury from your dental fillings comes off your teeth both as a vapor and as metal particles into your body?
[02:23:04.315 --> 02:23:08.058]  Wherever mercury deposits in your body, it stops cells from functioning normally.
[02:23:08.318 --> 02:23:11.140]  Animal studies show that mercury causes kidney function to drop by 60%.
[02:23:12.261 --> 02:23:12.601]  I don't know.
[02:23:30.023 --> 02:23:42.226]  After investigating most high-end whey proteins on the market, only one is the most non-denatured, the most active, the most complete, and in our opinion, the most powerful in what nature originally put into the fresh raw whey.
[02:23:42.566 --> 02:23:44.127]  It is One World Whey.
[02:23:44.567 --> 02:23:44.987]  Call 888-988-3325.
[02:23:45.007 --> 02:23:45.207]  That's 888-988-3325.
[02:23:45.227 --> 02:23:46.087]  Or visit OneWorldWhey.com.
[02:23:46.107 --> 02:23:46.628]  That's OneWorldWhey.com.
[02:24:17.388 --> 02:24:18.669]  Final segment with Gerald Cilente.
[02:24:18.689 --> 02:24:24.191]  I will continue with your phone calls after this 800-259-9231.
[02:24:25.811 --> 02:24:28.292]  All over the country now, I see the footage every day.
[02:24:28.932 --> 02:24:36.815]  Cops will pull somebody over and they'll film them and the cop will beat them, take them to jail and charge them with resisting arrest and wiretapping when that's not what the law says.
[02:24:38.113 --> 02:24:41.355]  Uh, or somebody will be filming outside and a cop will just walk by.
[02:24:41.455 --> 02:24:46.718]  I've seen people like walking down a city street and two cops will walk over where they're at and then just shove them up against a wall.
[02:24:47.338 --> 02:24:48.939]  And man, I've been to third world countries.
[02:24:48.979 --> 02:24:49.920]  It's not even that bad.
[02:24:50.580 --> 02:24:52.041]  And it's the government's above the law.
[02:24:52.121 --> 02:24:53.462]  I mean, it's all over folks.
[02:24:53.482 --> 02:24:55.683]  They're going to take our bank accounts, everything.
[02:24:56.343 --> 02:24:57.304]  It's all being announced.
[02:24:57.984 --> 02:24:59.325]  America's going under judgment.
[02:25:00.393 --> 02:25:03.737]  And it's going to be forced abortions and forced inoculations next.
[02:25:03.777 --> 02:25:04.518]  That's already beginning.
[02:25:05.499 --> 02:25:07.441]  And I hope everybody enjoys it, because...
[02:25:08.928 --> 02:25:11.089]  If it hadn't come to your area yet, it will.
[02:25:11.849 --> 02:25:17.752]  Because, you know, it's a rite of passage now, like you get a buck and, you know, skin it and have the head taxidermied.
[02:25:18.192 --> 02:25:22.354]  It's a rite of passage to do a proctology exam on your wife in front of you on the side of the highway.
[02:25:22.414 --> 02:25:25.635]  It's a rite of passage to almost beat your 12-year-old to death.
[02:25:26.255 --> 02:25:29.537]  It's a rite of passage for the IRS to take your bank accounts with no judge or jury.
[02:25:29.577 --> 02:25:32.658]  Sorry, I'm... I mean, I guess it is a rite of passage now, isn't it, Gerald?
[02:25:34.045 --> 02:25:38.751]  ...and that fellow that called up before, you know, with the woman getting arrested.
[02:25:39.251 --> 02:25:44.777]  Now, when you get arrested, thanks to the Supreme Court, okay, take off your clothes.
[02:25:45.098 --> 02:25:46.259]  I mean, go to jail.
[02:25:46.619 --> 02:25:48.982]  Once you're in jail, they could search you.
[02:25:49.122 --> 02:25:50.344]  Oh yeah, it's all part of the violation.
[02:25:50.664 --> 02:25:52.086]  Oh yeah, well that's why they get into this.
[02:25:52.266 --> 02:25:52.967]  It's all part of the...
[02:25:54.247 --> 02:25:59.254]  I was at a party when this was happening, and I said, you know, the Obama administration supported this.
[02:25:59.755 --> 02:26:00.817]  And it went, no, he didn't!
[02:26:01.137 --> 02:26:01.979]  I said, yes, he did.
[02:26:02.039 --> 02:26:06.465]  I said, the Solicitor General, Verrilli, argued for the strip search.
[02:26:07.674 --> 02:26:12.998]  This woman got so unhinged, called me a liar, I didn't know what I was talking about.
[02:26:13.698 --> 02:26:15.499]  I said, look up the facts.
[02:26:15.559 --> 02:26:23.205]  The Obamapologists don't want to admit that their guy is as bad and worse than all of the rest of them.
[02:26:23.545 --> 02:26:30.770]  It's just a continuation of our loss of rights that Bush started really taking, Clinton actually,
[02:26:30.970 --> 02:26:31.491]  Yeah, yeah, yeah.
[02:26:31.531 --> 02:26:36.060]  Tyranny is a bunch of kleptocrats who get above the law and then have a big party with us.
[02:26:36.581 --> 02:26:37.983]  Let's talk to Dan in Indiana.
[02:26:38.003 --> 02:26:38.664]  You're on the air, Dan.
[02:26:40.066 --> 02:26:47.970]  Hey, thank you very much for taking my call, and I want to tell you that everybody really around here appreciates the information you guys are sharing and seeking the truth out.
[02:26:48.710 --> 02:26:56.374]  And one thing I want to comment on, about two years ago, the federal government put a building up here in this little town of 3,000 people that I'm from.
[02:26:56.854 --> 02:27:03.037]  As they were putting the building up, nobody knew what the building was, and then it was an FBI building, supposedly to monitor the power grid.
[02:27:03.537 --> 02:27:05.318]  Yeah, it was to monitor the power grid, all right.
[02:27:05.798 --> 02:27:07.179]  Not the electric power.
[02:27:07.499 --> 02:27:09.840]  But while they were doing that, somebody hit a fiber optic
[02:27:09.940 --> 02:27:10.621]  We're good.
[02:27:32.697 --> 02:27:37.820]  You can go to Street View and walk the little guy down the street, see who's in what car and everything.
[02:27:37.960 --> 02:27:39.040]  Oh, it's worse than that.
[02:27:39.060 --> 02:27:42.302]  They're coming out with Google Fiber 100 times faster.
[02:27:42.602 --> 02:27:43.723]  They're putting it in Austin.
[02:27:44.283 --> 02:27:51.867]  And exactly, it came out in 96, that they have whole rooms, or sometimes floors, at all telecommunications.
[02:27:51.927 --> 02:27:56.109]  And now under cybersecurity, your company, just like, I didn't even get to this today,
[02:27:56.872 --> 02:27:58.593]  I'm going to cover it when we come back after Gerald leaves us.
[02:27:58.793 --> 02:28:00.133]  I got the business census.
[02:28:00.153 --> 02:28:01.874]  They say they're going to basically throw me in jail.
[02:28:02.334 --> 02:28:06.716]  I've got to answer all these questions, violate the Fifth Amendment, and if any of it's wrong, I go to jail.
[02:28:07.016 --> 02:28:08.136]  There's no law behind this.
[02:28:08.176 --> 02:28:08.716]  They lie.
[02:28:08.796 --> 02:28:09.437]  I went and checked it.
[02:28:09.457 --> 02:28:10.097]  I already knew that.
[02:28:10.677 --> 02:28:11.617]  But this is the new thing.
[02:28:12.118 --> 02:28:16.479]  The bosses have to spy on their employees under cybersecurity.
[02:28:16.519 --> 02:28:18.200]  This is the total end, folks.
[02:28:18.620 --> 02:28:19.881]  This is a criminal takeover.
[02:28:19.921 --> 02:28:20.581]  Gerald Cilente.
[02:28:21.477 --> 02:28:24.140]  It is, and again, it's all before us.
[02:28:24.621 --> 02:28:26.323]  And then again, it all ties in.
[02:28:26.823 --> 02:28:37.415]  As the economy gets worse, as people become more desperate, as society breaks down, they will use any excuse to enslave and empower us.
[02:28:37.435 --> 02:28:41.800]  And their argument is, when I was talking about the police state with the Austin police chief, he goes, you don't have nothing to hide, do you?
[02:28:42.461 --> 02:28:43.962]  I was like, come on, you know they're spying on everything.
[02:28:43.982 --> 02:28:45.303]  He goes, what, do you have something to hide?
[02:28:45.323 --> 02:28:46.804]  No, you got something to hide, government!
[02:28:46.844 --> 02:28:47.424]  Go ahead, Gerald.
[02:28:47.904 --> 02:28:50.286]  And again, who are these people to watch us?
[02:28:50.866 --> 02:28:57.710]  You know, what moral ground do they stand on that they're looking to see if we're behaving properly?
[02:28:58.270 --> 02:29:03.774]  This is, again, just keep going back to the founding fathers.
[02:29:04.474 --> 02:29:17.845]  That's all we have to do, whether it's in foreign affairs and not getting involved in foreign entanglements, or all of the Bill of Rights that have been put into place to protect us.
[02:29:18.385 --> 02:29:32.277]  All we have to do in this country to move forward is to have a renaissance in what the Revolutionary War was about, put it back into place and push
[02:29:32.657 --> 02:29:33.318]  Absolutely.
[02:29:33.338 --> 02:29:35.460]  We just have to go back to freedom and all this ends.
[02:29:35.720 --> 02:29:41.667]  But we don't want to, because we chant USA, USA, having our daughters given a proctology exam by men in black uniforms.
[02:29:41.907 --> 02:29:43.529]  Gerald Cilente, you're hosting next Monday.
[02:29:43.549 --> 02:29:44.070]  God bless you.
[02:29:44.550 --> 02:29:44.931]  Thank you.
[02:29:45.351 --> 02:29:46.252]  We're on the march.
[02:29:46.752 --> 02:29:48.334]  The Empire's on the run.
[02:29:48.354 --> 02:29:51.958]  Alex Jones and the GCN Radio Network.
[02:29:56.468 --> 02:29:59.509]  You prepare by purchasing gold, food, and firearms.
[02:29:59.869 --> 02:30:05.330]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[02:30:05.911 --> 02:30:09.111]  When you're sleeping or away from home, who's watching out for intruders?
[02:30:09.792 --> 02:30:11.052]  Check out SimpliSafe.
[02:30:11.372 --> 02:30:15.253]  It's a new do-it-yourself home security system that is completely wireless.
[02:30:15.833 --> 02:30:17.874]  Go to GetSimpliSafe.com.
[02:30:18.556 --> 02:30:20.940]  SimpliSafe is independent and off the grid.
[02:30:21.280 --> 02:30:25.086]  It runs on battery power, so even if the grid goes down, you're protected.
[02:30:25.647 --> 02:30:31.816]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[02:30:32.317 --> 02:30:33.839]  Get SimpliSafe.com
[02:30:34.620 --> 02:30:38.844]  SimplySafe is also ridiculously easy to install yourself in under 20 minutes.
[02:30:39.304 --> 02:30:41.486]  So there's no need to let a stranger into your home.
[02:30:42.027 --> 02:30:45.590]  If you move or need to relocate, you can take the system with you wherever you go.
[02:30:46.110 --> 02:30:52.556]  You aren't always at home, but SimplySafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[02:30:53.117 --> 02:30:55.278]  Again, that's GetSimplySafe.com
[02:30:56.059 --> 02:30:57.680]  Introducing Pro-1.
[02:30:57.940 --> 02:31:01.443]  All of your filtration in one system, portable, on-the-go.
[02:31:01.583 --> 02:31:06.006]  No more do you have two or three filters to just reduce sodium fluoride.
[02:31:06.126 --> 02:31:12.130]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[02:31:12.230 --> 02:31:23.197]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[02:31:23.237 --> 02:31:25.839]  It is the only one that does it and out of the gate.
[02:31:26.079 --> 02:31:29.521]  We have it discounted at 10% off with promo code WATER.
[02:31:29.721 --> 02:31:46.709]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[02:31:47.029 --> 02:31:52.332]  Get your ProPure with the new Pro1 filter today at InfoWarsTore.com or by calling 888-253-3139.
[02:31:57.825 --> 02:32:05.512]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[02:32:05.952 --> 02:32:09.576]  Alex and his staff have used these pure soap products for years.
[02:32:10.016 --> 02:32:16.842]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[02:32:17.322 --> 02:32:19.825]  See them on the web at 5starsoap.com.
[02:32:20.345 --> 02:32:24.846]  Or call 800-340-7091 for a free catalog.
[02:32:25.186 --> 02:32:30.847]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[02:32:31.107 --> 02:32:36.229]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[02:32:36.529 --> 02:32:38.149]  This is an amazing deal.
[02:32:38.509 --> 02:32:43.110]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[02:32:43.730 --> 02:32:45.911]  See them on the web at 5starsoap.com.
[02:32:46.491 --> 02:32:51.398]  Or call 800-340-7091 for a free catalog.
[02:32:56.245 --> 02:33:01.333]  From the front lines of the Information War, it's Alex Jones.
[02:33:07.799 --> 02:33:21.465]  Alright folks, I'm going to get to your phone calls after I get into the census and play this report with Mark Dice and John Bowne from just a few days ago there on the Southern California coast outside Los Angeles.
[02:33:21.686 --> 02:33:22.826]  Just amazing information.
[02:33:23.286 --> 02:33:24.727]  But I want to stop something right here.
[02:33:25.687 --> 02:33:32.971]  Federal law and the Constitution says that every 10 years, and it goes back to Leviticus in the Old Testament,
[02:33:34.229 --> 02:33:38.694]  The people are to be numbered for congressional apportionment.
[02:33:39.455 --> 02:33:41.937]  For congressional apportionment.
[02:33:41.977 --> 02:33:53.190]  Because your state, according to how many people you have in it, your state, according to how many people live in it, gets that number of House of Representative members.
[02:33:55.649 --> 02:34:00.550]  That is done via population, but then also then the state gets two senators.
[02:34:01.531 --> 02:34:07.092]  But the idea was the legislature would then elect the senators so they were purely creatures of the states.
[02:34:07.613 --> 02:34:09.193]  The 17th Amendment got rid of that.
[02:34:09.993 --> 02:34:15.435]  Now what's happening is they're trying to pass cyber security that makes employees indentured servants.
[02:34:16.816 --> 02:34:17.677]  Uh, of the government.
[02:34:18.337 --> 02:34:26.102]  Managers in IT will have to spy on everyone and demand the username and passcodes of the Facebooks, everything, to give to Homeland Security.
[02:34:27.022 --> 02:34:38.550]  Any IT company that gives any type of service to a hundred or more people, that means if you have a website with a hundred visitors, you will have to go get federal licensing and training on how to be a Homeland Security spy.
[02:34:38.810 --> 02:34:40.111]  You cannot make this up!
[02:34:40.908 --> 02:34:42.249]  You cannot make this up.
[02:34:43.030 --> 02:34:45.491]  Now, why do I raise that in conjunction with the census?
[02:34:46.212 --> 02:34:48.013]  In 2000, we did reports on this.
[02:34:48.213 --> 02:35:03.524]  I had him come to my house in a little, you know, blue-collar area of Austin, and the guy would park in the middle of the street, and he'd come to my door, and he'd say, listen, we're gonna have you arrested if you don't fill out this form.
[02:35:03.564 --> 02:35:04.605]  I said, good, have me arrested.
[02:35:05.266 --> 02:35:09.689]  And I would go to close the door, and the guy actually stuck his foot in, and I went, I opened the door up, and I said, okay, buddy.
[02:35:11.178 --> 02:35:14.920]  I said, if you trespass in here, I'm going to defend myself and I'm calling the police right now.
[02:35:16.220 --> 02:35:18.781]  And it was a zit-faced, like 20, nothing as funny as a zit-face.
[02:35:18.801 --> 02:35:22.303]  It was a zit-faced 20-year-old guy on a power trip with his plastic badge.
[02:35:22.923 --> 02:35:25.764]  And I said, you're violating my Fifth Amendment and my Fourth Amendment.
[02:35:26.084 --> 02:35:27.845]  And he goes, it's the law!
[02:35:28.385 --> 02:35:30.426]  And I said, let me see that form you're bringing again.
[02:35:30.926 --> 02:35:32.387]  This is like the other four you've brought.
[02:35:33.067 --> 02:35:36.390]  And by then my wife, girlfriend at the time, came up with the video camera.
[02:35:36.430 --> 02:35:38.392]  We have this tape somewhere at about that point.
[02:35:38.812 --> 02:35:39.553]  I go, you see here?
[02:35:39.833 --> 02:35:40.574]  It says the U.S.
[02:35:40.634 --> 02:35:41.775]  Code that's off the law.
[02:35:42.175 --> 02:35:44.377]  Above it says how many people live here and what are their names.
[02:35:44.918 --> 02:35:46.759]  That's what you can say under the Constitution.
[02:35:48.441 --> 02:35:49.382]  That's what you can ask.
[02:35:49.762 --> 02:35:50.703]  That's fraud.
[02:35:51.123 --> 02:35:52.344]  That's constructive fraud.
[02:35:52.444 --> 02:35:53.605]  And he goes, that's not true.
[02:35:53.645 --> 02:35:54.326]  They'd have told me that.
[02:35:54.646 --> 02:35:57.068]  And I said, you take your thing, and I'm not filling any of it out.
[02:35:57.088 --> 02:35:57.909]  The whole thing's a fraud.
[02:35:58.089 --> 02:35:58.670]  I go, go!
[02:35:58.910 --> 02:35:59.551]  Go arrest me!
[02:36:00.316 --> 02:36:04.098]  Because I'd gone and looked up the federal rulings against the census as a Fifth Amendment violation.
[02:36:05.222 --> 02:36:07.643]  It violates a bunch of other issues, and here's the worst part.
[02:36:08.204 --> 02:36:11.265]  On these new censuses, they said in 2000s, I really got into it then.
[02:36:11.565 --> 02:36:12.286]  Listeners, remember that.
[02:36:12.706 --> 02:36:19.509]  They said, after 2010, you will be given yearly censuses, and by 2015, monthly censuses.
[02:36:20.510 --> 02:36:21.570]  And they were already testing them then.
[02:36:21.630 --> 02:36:24.852]  I happened to get the community survey that had 50-something questions.
[02:36:24.932 --> 02:36:25.852]  What's my toilet?
[02:36:25.912 --> 02:36:26.793]  Do I own guns?
[02:36:27.093 --> 02:36:28.013]  When do I go to work?
[02:36:28.253 --> 02:36:29.434]  What are my stocks and bonds?
[02:36:29.634 --> 02:36:30.895]  Under penalty of perjury.
[02:36:31.235 --> 02:36:33.136]  Document cam shot, please, for TV viewers.
[02:36:34.437 --> 02:36:44.592]  They come to our office yesterday, or this is a couple days ago, I was told about it yesterday, and have Jakari Jackson signed for this, registered mail saying your response is required by law.
[02:36:44.893 --> 02:36:45.894]  Your response!
[02:36:47.196 --> 02:36:48.318]  They've expanded the fraud.
[02:36:49.517 --> 02:36:54.823]  This is a business yearly survey, and they already know everything about us in the deal.
[02:36:55.023 --> 02:36:56.185]  It's already with the IRS.
[02:36:56.205 --> 02:36:58.067]  By the way, that violates your Fifth Amendment.
[02:36:58.167 --> 02:37:05.536]  That's paid to the private Federal Reserve, but that's an established criminal tyranny where they will still come after you, and so that's a battle we've already lost for now.
[02:37:06.564 --> 02:37:09.045]  Doesn't run the country, all goes to offshore banks, on record.
[02:37:09.625 --> 02:37:11.045]  Ronald Reagan's own commission found that.
[02:37:11.125 --> 02:37:13.246]  Quote, not one red cent goes to fund the country.
[02:37:13.266 --> 02:37:14.566]  They're like, how we build the country?
[02:37:14.886 --> 02:37:18.927]  We didn't have the income tax until 1913, and no one even had to pay it until the 1940s.
[02:37:19.607 --> 02:37:22.368]  It was a temporary war tax for the boys.
[02:37:25.109 --> 02:37:27.909]  Oh my God, most of it paid to German banks that created Hitler.
[02:37:28.189 --> 02:37:29.690]  I mean, you cannot make this up.
[02:37:31.485 --> 02:37:35.549]  Just like the General Motors Opel factories, the bombers weren't allowed to bomb them.
[02:37:35.569 --> 02:37:38.332]  There was riots at Army Air Corps bases about that.
[02:37:39.634 --> 02:37:42.276]  People are like, we're dying and we're not allowed to bomb the real factories.
[02:37:43.318 --> 02:37:45.920]  Building tanks and aircraft.
[02:37:47.362 --> 02:37:48.603]  See, that's traitor talk.
[02:37:49.264 --> 02:37:50.265]  That's traitor talk.
[02:37:50.285 --> 02:37:50.806]  Now look at this.
[02:37:51.206 --> 02:37:52.848]  Total violation of your Fifth Amendment.
[02:37:53.978 --> 02:37:54.739]  And listen, here's the deal.
[02:37:55.259 --> 02:38:00.884]  Even if you don't think that, because you're ignorant, it says under penalty of perjury, felonies if any of it's wrong.
[02:38:01.124 --> 02:38:06.829]  These crooks will say, that's what the IRS does, Money Magazine, Forbes, they've all done this.
[02:38:07.129 --> 02:38:10.212]  You go to 30 different, 40 different, 50 different, they've done different things.
[02:38:11.013 --> 02:38:12.194]  Different CPAs.
[02:38:13.235 --> 02:38:17.198]  You are going to get different answers on every one of them.
[02:38:19.093 --> 02:38:21.454]  Because it's all written where the big mega banks are exempt.
[02:38:21.974 --> 02:38:23.294]  It's all selectively enforced.
[02:38:24.294 --> 02:38:26.675]  You can't put $10,000 in a Swiss bank after tax.
[02:38:27.035 --> 02:38:27.735]  They'll arrest you.
[02:38:28.615 --> 02:38:29.415]  Even if it's your money.
[02:38:30.716 --> 02:38:32.656]  You can't fly out of the country with 10 silver coins.
[02:38:33.376 --> 02:38:35.177]  But if you're a globalist, you're tax exempt.
[02:38:35.277 --> 02:38:35.997]  Now, look at this.
[02:38:36.057 --> 02:38:36.357]  Look at this.
[02:38:38.017 --> 02:38:40.498]  It says, and fraudulently,
[02:38:41.621 --> 02:38:45.603]  You know, that I'll be fined $10,000 if I don't do this within 10 days.
[02:38:45.643 --> 02:38:46.123]  Well, you know what?
[02:38:46.144 --> 02:38:47.324]  I'm not doing it, you crooks.
[02:38:47.864 --> 02:38:48.845]  You dirty crooks.
[02:38:49.085 --> 02:38:53.788]  I don't care if you're a bunch of fluoride-head zombies that, you know, go, we're allowed to do this.
[02:38:53.808 --> 02:38:54.008]  Yeah.
[02:38:54.388 --> 02:38:56.209]  Next, it's going to be monthly surveys.
[02:38:56.549 --> 02:38:58.410]  All I'm going to do is sit around filling out stuff.
[02:38:58.670 --> 02:39:08.736]  And you know how much it'll cost me with my accountants already complying with the Federal Reserve's IRS that gives illegal aliens fake IDs and lets them steal money and all this crap?
[02:39:09.957 --> 02:39:12.619]  I mean, it's just all a bunch of lawless, drug-dealing, murdering government.
[02:39:12.659 --> 02:39:13.500]  I've had it with you!
[02:39:13.740 --> 02:39:14.441]  I see you!
[02:39:14.721 --> 02:39:16.002]  I know who you are, filth!
[02:39:16.082 --> 02:39:16.923]  And I know the law!
[02:39:17.604 --> 02:39:26.651]  Judges have ruled in 2001 and others, where census people bust in houses, come across property, get in fights with people, rape women!
[02:39:28.753 --> 02:39:30.715]  Because, imagine the freaks!
[02:39:31.515 --> 02:39:35.459]  I had one try to force their way in my house, and I opened the door and I said, you just stuck your foot in my door!
[02:39:36.502 --> 02:39:38.684]  You're, I mean, and the cops want to do it all.
[02:39:38.704 --> 02:39:41.906]  This country is so gone until we realize that there's no future.
[02:39:42.066 --> 02:39:42.427]  Look at this!
[02:39:42.727 --> 02:39:43.027]  Look at this!
[02:39:43.728 --> 02:39:49.452]  Failure to fill it out, $10,000 fines, and then, of course, it's not even a law, it's all fraud.
[02:39:51.814 --> 02:39:52.635]  And then look at this thing.
[02:39:53.455 --> 02:39:54.436]  Everything about us.
[02:39:54.676 --> 02:39:56.618]  Stocks, bonds, officers, and companies.
[02:39:57.679 --> 02:39:59.020]  Blah, blah, blah.
[02:39:59.080 --> 02:40:00.261]  Everything about my employees.
[02:40:00.721 --> 02:40:01.041]  I mean, and
[02:40:03.490 --> 02:40:06.355]  Every bit of inventory, and if one bit of it's wrong, I'm arrested.
[02:40:07.176 --> 02:40:07.556]  You know what?
[02:40:07.576 --> 02:40:09.219]  I'm going to write Fifth Amendment all over this.
[02:40:09.239 --> 02:40:13.265]  I'm going to write Fifth Amendment all over it, and I'm going to send it back to you.
[02:40:13.606 --> 02:40:15.529]  And they're going to make us do this monthly now.
[02:40:17.592 --> 02:40:18.052]  Imagine!
[02:40:19.224 --> 02:40:24.908]  Imagine, and these people do nothing all day but sit there and spy on us for the foreign banks that have occupied this country.
[02:40:25.068 --> 02:40:26.790]  This is a foreign agency now.
[02:40:27.030 --> 02:40:28.251]  This is a seized country.
[02:40:28.271 --> 02:40:30.052]  They're like, well, we do this to help you.
[02:40:30.332 --> 02:40:35.296]  You gotta help know how to shut down the businesses quicker, how to ship them overseas, how to find small businesses to harass.
[02:40:35.716 --> 02:40:38.658]  Your job, under agenda 21, is to destroy America.
[02:40:39.259 --> 02:40:40.360]  To get everybody on welfare.
[02:40:40.860 --> 02:40:41.681]  It's all on record.
[02:40:44.203 --> 02:40:46.744]  Finished goods, work in progress, material supplies.
[02:40:47.935 --> 02:40:49.096]  Total inventories.
[02:40:51.658 --> 02:40:53.119]  LIFO reserve, if any.
[02:40:53.559 --> 02:40:54.900]  Every business in the country is getting these.
[02:40:55.180 --> 02:40:56.201]  Total inventories.
[02:40:58.732 --> 02:41:03.237]  Post-production services, film, video, digital media, motion picture, film processing laboratory.
[02:41:03.457 --> 02:41:05.239]  Hey, dumbasses, people don't use film anymore.
[02:41:05.820 --> 02:41:08.003]  Author, writer, or composer.
[02:41:08.403 --> 02:41:10.005]  Audio, post-production.
[02:41:10.165 --> 02:41:15.411]  We get letters now going, hey, this is the state of California, who's this IT company you use?
[02:41:15.431 --> 02:41:17.333]  We're going to create a nexus and charge you sales tax on it.
[02:41:17.353 --> 02:41:18.995]  And it's not even a law, it's just crooks.
[02:41:19.696 --> 02:41:28.040]  Talent payment services, actors or actresses, page after page after page after page after page, and we'll arrest you if you don't do it.
[02:41:28.060 --> 02:41:29.561]  We'll arrest you if any of it's wrong.
[02:41:29.921 --> 02:41:47.489]  Broadcast or exhibit features, rent future films, license or domestic rights exhibit, motion picture, television program, other... I just got an FCC notice that we're not providing on our broadcast TV closed captioning, even though it's on our YouTube channel?
[02:41:48.462 --> 02:41:52.147]  They're now saying footage that we shoot is broadcast TV.
[02:41:52.167 --> 02:41:53.009]  They have no jurisdiction.
