[00:00:02.591 --> 00:00:04.892]  Thank you for listening to GCN.
[02:12:31.294 --> 02:12:31.654]  I don't know.
[02:12:52.606 --> 02:13:01.948]  Are not bothering to get jury trials because the juries have become such rubber stamps for the judges because they basically lie to them about their rights and their duties.
[02:13:02.948 --> 02:13:03.189]  Right.
[02:13:03.309 --> 02:13:12.951]  Even in New Hampshire, New Hampshire last year passed a statute stating that the defense must be allowed to argue jury nullification to the jury.
[02:13:13.591 --> 02:13:17.712]  And this was invoked in the case of Doug Darrell, a medical, I'm sorry,
[02:13:18.152 --> 02:13:20.333]  I think a religious marijuana user.
[02:13:20.353 --> 02:13:27.938]  And he actually won his case, but in a more recent case, that of Rich Paul, the defense argued jury nullification.
[02:13:27.958 --> 02:13:35.123]  The prosecutor in the closing statement acknowledged the right of jury nullification, but discouraged the jury from using it.
[02:13:35.143 --> 02:13:44.768]  And then the judge went ahead and used the standard spiel that judges give juries, telling them that you must follow the law as I have given it to you.
[02:13:45.669 --> 02:13:51.972]  That case is now in appeal, and I think part of the grounds for that may relate to jury instructions.
[02:13:52.532 --> 02:14:05.457]  And that's the key thing, like you said, that even though they've had this law recently passed in New Hampshire, what that law said was that the judge could not punish anybody for bringing up jury nullification.
[02:14:05.857 --> 02:14:08.758]  But it didn't mandate that they actually tell them what the law is.
[02:14:08.898 --> 02:14:12.940]  It allows judges to essentially lie to the jurors.
[02:14:13.763 --> 02:14:16.964]  It's not clear that it allows judges to lie to the jurors.
[02:14:18.284 --> 02:14:22.525]  I think that will be something that will have to be hashed out in court.
[02:14:23.125 --> 02:14:26.686]  But I think there's good reason to think that that is not what the law says.
[02:14:27.106 --> 02:14:33.368]  If you read the law, it doesn't specifically state anything about what the judge is or is not to do.
[02:14:33.408 --> 02:14:37.869]  It's specifically addressing what the defense must be permitted to do.
[02:14:38.849 --> 02:14:39.550]  Right, exactly.
[02:14:40.290 --> 02:14:51.061]  But we have these cases in virtually all courts now, where the judge tells them, you must do what I say, and in most cases he'll tell them that they're not allowed to judge the law.
[02:14:51.101 --> 02:14:55.905]  They're only allowed to look at the facts of the case, and that simply is not true.
[02:14:56.266 --> 02:15:01.631]  That's not true from our historical background, and it is not true from the letter of the law.
[02:15:02.418 --> 02:15:05.760]  That is actually totally incorrect what the judges tell people.
[02:15:06.461 --> 02:15:20.089]  If you look at one of the earliest Supreme Court cases in the United States history, our first Chief Justice of the Supreme Court, John Jay, in fact, explicitly stated that it was a right of jurors to interpret the law as well as the facts.
[02:15:20.710 --> 02:15:28.015]  He said that judges are assumed to be the better interpreters, but it is in fact the right of juries to do their own interpretation if they see fit.
[02:15:28.695 --> 02:15:30.497]  And that has never been overturned.
[02:15:31.398 --> 02:15:42.368]  There was a Supreme Court case which ruled that judges no longer had to inform jurors of their rights and responsibilities, but it did not overturn that right.
[02:15:42.868 --> 02:15:47.532]  So by simply not informing them, it used to be as commonly understood
[02:15:49.934 --> 02:15:56.797]  That jurors could refuse to enforce unjust laws, as it's understood today that we're going to get called for jury duty.
[02:15:56.817 --> 02:15:58.438]  It was just a part of the culture.
[02:15:58.898 --> 02:16:06.062]  But once that was ruled that judges no longer had to inform jurors of that, it kind of fell out of common knowledge.
[02:16:06.122 --> 02:16:14.446]  And so what the Fully Informed Jury Association does is try to document and spread the history of that, where it comes from.
[02:16:15.046 --> 02:16:16.887]  It's rooted in English common law.
[02:16:17.287 --> 02:16:18.508]  Yeah, let's talk about that a little bit.
[02:16:18.528 --> 02:16:23.791]  You know, that goes back, most people have heard of William Penn, the founder of Pennsylvania, a Quaker.
[02:16:24.471 --> 02:16:36.798]  And really, it kind of goes back to his trial back in England, where he was arrested because they had a law that said they didn't have freedom of religion, basically.
[02:16:36.858 --> 02:16:39.540]  And so they told him that they could not meet as Quakers.
[02:16:40.140 --> 02:16:48.065]  They violated that law as a matter of conscience and they met and they actually chain-locked the church house building.
[02:16:48.105 --> 02:16:50.266]  So they met on the steps, they arrested him.
[02:16:50.306 --> 02:16:54.008]  It was a clear violation of the law, yet the jury let him go.
[02:16:54.869 --> 02:17:01.093]  And it established habeas corpus, which says, you know, show us that, you know, we actually what they did was they tried
[02:17:01.853 --> 02:17:19.927]  The judge was so outraged that he locked up the chief foreman of the jury, Edward Bushnell, locked him up for quite a period of time, and he was eventually let go by habeas corpus, where people said, show us the law that the foreman broke when he allowed him to go, and they didn't have a law.
[02:17:20.287 --> 02:17:23.890]  And so they established habeas corpus as well as a right of jury nullification in that trial.
[02:17:24.426 --> 02:17:27.068]  Right, as well as freedom of religion and freedom of speech.
[02:17:27.168 --> 02:17:27.649]  Yes.
[02:17:27.889 --> 02:17:30.111]  And that juror wasn't just locked up.
[02:17:30.151 --> 02:17:31.592]  He was denied food and water.
[02:17:31.632 --> 02:17:38.858]  I mean, that guy really was essentially, you know, it was torture of the day and still stuck to his guns.
[02:17:38.958 --> 02:17:52.530]  And so that's something that I wish people would really take to heart because so many times I get calls in the office from someone who will say things like, well, I didn't want to vote guilty, but everyone else was and I felt pressured.
[02:17:55.760 --> 02:17:56.360]  Absolutely!
[02:17:56.420 --> 02:18:03.502]  We have to watch each other's backs and that was something that was explicitly said by Patrick Henry and others.
[02:18:03.562 --> 02:18:14.845]  They said that the only way this is going to work is if we cover each other's backs, essentially, to paraphrase what he said, if we cover each other's backs and we are in a trial when the government brings something against us.
[02:18:14.865 --> 02:18:24.047]  We talk all the time about laws that are absolutely absurd, laws that are unconstitutional, laws that are unjustifiable, unlawful, and yet
[02:18:24.767 --> 02:18:26.208]  We can actually be stopped.
[02:18:26.288 --> 02:18:29.611]  We don't have to beg for our political leaders to do some of these things.
[02:18:29.691 --> 02:18:37.838]  We can refuse to send our fellow citizens to jail and yet we have the highest percentage of people incarcerated of any country in the world.
[02:18:37.878 --> 02:18:40.481]  We have more people actually in absolute numbers.
[02:18:41.101 --> 02:18:46.462]  Then China, with a population many times ours, we have more people in jail than Communist China does.
[02:18:46.842 --> 02:18:51.403]  So we basically don't have juries who are standing up, who are seeing that justice is done for them.
[02:18:51.463 --> 02:19:00.465]  And as I said in a report that I did in a man on the street, I was absolutely amazed to have people argue with me that, no, no, no, you have to do what the judge says.
[02:19:00.545 --> 02:19:02.646]  You shouldn't seek justice for your fellow citizen.
[02:19:02.686 --> 02:19:03.986]  You should just do what the judge says.
[02:19:04.511 --> 02:19:13.861]  And in fact, I'm actually encouraged because we have recently had several cases that have been very public where jurors have in fact refused to convict.
[02:19:14.462 --> 02:19:16.224]  And you can see, you know, look at them.
[02:19:16.244 --> 02:19:18.026]  The jurors aren't getting in trouble.
[02:19:18.086 --> 02:19:20.388]  It's very clear that they're doing it.
[02:19:20.929 --> 02:19:24.513]  Let's take the case of Jeff Olson in San Diego from a week or two ago.
[02:19:24.793 --> 02:19:30.214]  Well, let's cover that case right after we get back from break because I want people to call in and talk to us.
[02:19:30.234 --> 02:19:35.196]  We're going to clear the lines from the people who have called to talk to the Deputy Sheriff.
[02:19:35.216 --> 02:19:37.496]  But we're going to take your calls at 800-259-9231.
[02:19:37.716 --> 02:19:43.078]  And we especially want to talk to anybody that's a lawyer.
[02:19:43.138 --> 02:19:44.518]  We won't identify who you are.
[02:19:44.538 --> 02:19:45.638]  You can give us a false name.
[02:19:45.678 --> 02:19:48.559]  And tell us what you think about jury nullification.
[02:19:49.039 --> 02:19:52.661]  And we're going to be taking those calls and we're going to talk about some current events right after the break.
[02:19:52.981 --> 02:19:56.323]  You're here with Kirsten Tynan of the Fully Informed Jury Association.
[02:19:56.343 --> 02:19:56.923]  We'll be right back.
[02:20:09.537 --> 02:20:14.558]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[02:20:14.758 --> 02:20:23.879]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[02:20:24.120 --> 02:20:38.162]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[02:20:38.442 --> 02:20:42.286]  Order the Berkey Light System today, complete with two black Berkey elements for only $231.
[02:20:42.526 --> 02:20:46.390]  And the Berkey Guy will ship your order free of charge.
[02:20:46.570 --> 02:20:52.155]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[02:20:52.255 --> 02:20:53.717]  That's over 30% off the retail price.
[02:20:55.919 --> 02:21:00.181]  Call the Berkey guy at 1-877-886-3653.
[02:21:00.241 --> 02:21:04.342]  That's 1-877-886-3653.
[02:21:04.562 --> 02:21:06.763]  Or order online at GoBerkey.com.
[02:21:06.903 --> 02:21:08.864]  That's GoBerkey.com today.
[02:21:09.725 --> 02:21:12.486]  Protecting your home with a security system is a must.
[02:21:12.726 --> 02:21:18.748]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[02:21:19.108 --> 02:21:25.471]  Listen, there is some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[02:21:25.891 --> 02:21:27.832]  Not with SimpliSafe Home Security.
[02:21:28.172 --> 02:21:29.213]  They're the good guys.
[02:21:29.513 --> 02:21:32.215]  You can trust SimpliSafe to protect your family.
[02:21:32.595 --> 02:21:36.897]  SimpliSafe was created by a Harvard Business School engineer and it's revolutionary.
[02:21:37.097 --> 02:21:40.379]  You'll get 24-hour protection for just $14.99 a month.
[02:21:40.639 --> 02:21:43.341]  There are no hidden fees and no contracts.
[02:21:43.561 --> 02:21:47.824]  You'll save thousands, plus you're protected by their 100% money-back guarantee.
[02:21:48.185 --> 02:21:51.247]  Protect yourself against home invasions and break-ins.
[02:21:51.627 --> 02:21:57.752]  Order your SimpliSafe system now and receive a wireless keychain remote, a $25 gift, free.
[02:21:58.172 --> 02:22:00.794]  So don't waste your time dealing with scum.
[02:22:01.155 --> 02:22:03.356]  Visit GetSimpliSafe.com.
[02:22:03.697 --> 02:22:05.718]  GetSimpliSafe.com.
[02:22:05.978 --> 02:22:07.500]  GetSimpliSafe.com.
[02:22:09.482 --> 02:22:14.544]  To thank you for being a loyal listener, we have a limited time freebie offer for you.
[02:22:15.225 --> 02:22:22.788]  Claim your free heirloom tomato seeds, just pay shipping, right now at 123freeseeds.com.
[02:22:23.268 --> 02:22:25.129]  These aren't ordinary seeds.
[02:22:25.590 --> 02:22:34.434]  These are heirloom, non-genetically modified, super seeds that are open pollinated and can be grown, harvested, and replanted endlessly.
[02:22:35.074 --> 02:22:40.175]  These survival seeds are actually more valuable than gold in a crisis.
[02:22:41.035 --> 02:22:53.038]  Go to 123freeseeds.com and you can get an airtight storage packet of 150 super seeds free while supplies last to say thank you for being a loyal listener.
[02:22:53.718 --> 02:22:55.299]  First come, first served.
[02:22:55.699 --> 02:22:56.599]  Just cover shipping.
[02:22:57.259 --> 02:23:03.574]  Go to 123freeseeds.com now to see if your free heirloom seeds are still available.
[02:23:03.975 --> 02:23:04.757]  That's 123freeseeds.com.
[02:23:08.306 --> 02:23:09.326]  Hi, this is Ted Anderson.
[02:23:09.426 --> 02:23:13.728]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[02:23:13.908 --> 02:23:19.509]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[02:23:19.629 --> 02:23:22.970]  Gold has outperformed paper investments, yet no word about IRAs.
[02:23:23.190 --> 02:23:25.751]  If you would like to have gold for your retirement, call 800-686-2237.
[02:23:25.871 --> 02:23:30.672]  Don't get left behind by rising inflation and low returns.
[02:23:30.832 --> 02:23:31.112]  Call 800-686-2237.
[02:23:31.132 --> 02:23:32.433]  Secure your future and call 1-800-686-2237.
[02:23:37.574 --> 02:23:41.676]  When you need it the most, will your generator power equipment or vehicle be ready?
[02:23:41.816 --> 02:23:49.060]  Gas and diesel fuels go bad quickly when stored, and more than half of generator failures during disasters occur as a result of expired fuel.
[02:23:49.220 --> 02:23:53.202]  PRI Fuel Stabilizers keep your fuel fresh for when you need it most.
[02:23:53.322 --> 02:23:59.245]  Nuclear power stations, emergency service providers, and ships at sea rely on PRI Fuel Stabilizers.
[02:23:59.405 --> 02:24:00.105]  And you can too!
[02:24:00.165 --> 02:24:01.926]  Call 888-776-9373 or visit priproducts.com to find the dealer nearest you.
[02:24:20.367 --> 02:24:21.768]  Welcome back to the Alex Jones Show.
[02:24:22.968 --> 02:24:33.972]  I'm David Knight, and we're talking to Kirsten Tynan with Fully Informed Jury Associations, and we're talking about how vitally important juries are to our liberties as well as to a functioning society.
[02:24:34.632 --> 02:24:38.114]  But you know, during the break I was just having a little bit of the new Tangy Tangerine 2.0.
[02:24:38.874 --> 02:24:40.835]  It's got a great peach flavor.
[02:24:40.855 --> 02:24:41.695]  It's really good stuff.
[02:24:41.815 --> 02:24:49.298]  And one of the things that's changed about this, it's now made with certified organic ingredients, all non-GMO ingredients.
[02:24:49.878 --> 02:25:02.788]  He's got over 8,000 ORAC, that's Oxygen Radical Absorbance Capacity, that looks at how effective it is at absorbing free radicals in your system, and you can get that at 888-789-9277.
[02:25:07.731 --> 02:25:08.672]  So call that number.
[02:25:08.732 --> 02:25:11.235]  I think you'll really like Beyond Tangy Tangerine 2.0.
[02:25:11.976 --> 02:25:12.736]  Keeps getting better.
[02:25:13.117 --> 02:25:15.139]  Better tasting and better stuff in it.
[02:25:15.539 --> 02:25:22.667]  Now just before the break, Kirsten, you were telling us about some current, you were beginning to tell us about some current cases that involved fully informed juries.
[02:25:23.854 --> 02:25:30.361]  Yes, and I just want to mention everyone can go look on our website FIJA.org for more information about each of these.
[02:25:31.482 --> 02:25:45.597]  The most recent one that I'm aware of is the case of Jeff Olson in San Diego who was outside of Bank America on a public sidewalk and in chalk, you know, stuff that washes off when it rains or someone walks on it.
[02:25:46.218 --> 02:26:00.352]  wrote some political statements on the sidewalk and was eventually charged with 13 counts of vandalism for that, putting him at risk of a maximum penalty of $13,000 fine and 13 years in jail.
[02:26:00.392 --> 02:26:04.556]  This is what the city attorney thought was appropriate to charge him with.
[02:26:05.377 --> 02:26:08.678]  And offered him a plea deal that he turned down.
[02:26:08.718 --> 02:26:14.460]  He wanted to take it before a jury and good for him for doing that because the jury acquitted him on all 13 charges.
[02:26:15.281 --> 02:26:27.325]  And what was especially funny about this case was that while it was going on inside the courthouse, police had chalked off an area on the sidewalk outside where they were permitting people to chalk messages in his defense.
[02:26:27.805 --> 02:26:29.586]  And that was not considered vandalism.
[02:26:29.626 --> 02:26:32.487]  It was a clear case of selective enforcement.
[02:26:33.828 --> 02:26:47.356]  It's just amazing how absurd the laws have become, you know, because we've cut ourselves loose from, you know, the Constitution, from basically, you know, these rational boundaries, and when you don't have boundaries like that, anything can happen.
[02:26:47.396 --> 02:26:48.917]  I mean, that's absolutely insane.
[02:26:48.937 --> 02:26:50.298]  We've covered that with Infowars.
[02:26:50.318 --> 02:26:51.498]  That's truly amazing.
[02:26:52.079 --> 02:27:00.544]  The key thing being that he went to a jury trial, because, you know, when you've got really absurd laws like that, you need to go before a jury, but quite often,
[02:27:01.884 --> 02:27:04.166]  Jurors don't really understand what their rights are.
[02:27:04.226 --> 02:27:05.586]  So that's what you're trying to do.
[02:27:05.727 --> 02:27:08.188]  And what do you do with FEJA to educate people?
[02:27:08.208 --> 02:27:13.431]  I know that whenever they buy anything from Infowars, we always have these little pocket constitutions that we put in every order.
[02:27:14.091 --> 02:27:20.514]  And part of that is not just the Constitution, but it talks in that little booklet that we put in there.
[02:27:20.534 --> 02:27:27.098]  It talks a lot about juries and the importance of juries and your right to judge the law as well as the facts of the case.
[02:27:27.754 --> 02:27:28.234]  Exactly.
[02:27:28.494 --> 02:27:38.560]  Well, we publish a variety of literature and anyone can request a free Jury Power Information Kit from us by calling us at 1-800-T-E-L-J-U-R-Y.
[02:27:38.580 --> 02:27:39.761]  1-800-TELL-JURY.
[02:27:40.401 --> 02:27:48.966]  And that same literature that you'll receive in there, we have activists across the country distributing at courthouses, at festivals, at community meetings.
[02:27:49.467 --> 02:27:54.950]  We have people who speak across the country, do all sorts of outreach, and so
[02:27:55.550 --> 02:28:05.643]  We also celebrate, since you mentioned the William Penn case, we're getting ready for September 5th, which is Jury Rights Day, in commemoration of that case.
[02:28:06.404 --> 02:28:12.111]  And on Jury Rights Day, we have people all across the country doing all kinds of community events.
[02:28:13.012 --> 02:28:15.674]  Banners that people will hold outside.
[02:28:15.694 --> 02:28:23.960]  We've had people march in parades with our banners and give out information at tables at county fairs around that time because it's around Labor Day.
[02:28:24.540 --> 02:28:33.426]  So we have a lot of different ways and we invite everyone to visit us at feja.org to find out how they can get involved and volunteer if they'd be interested.
[02:28:34.767 --> 02:28:40.153]  Yeah, it really is an educational effort at this point, because people have been so hoodwinked and lied to about their rights.
[02:28:40.173 --> 02:28:45.378]  It's one of the reasons this is the citizen's rule book that we put in every order that we send out.
[02:28:45.959 --> 02:28:50.804]  And if you look at this right at the very front of it, even before it gets into the Constitution, it talks about jury rights.
[02:28:51.144 --> 02:28:54.706]  The jury has the right to judge both the law as well as the facts of the case in controversy.
[02:28:54.746 --> 02:28:58.148]  That's from our first Chief Justice, John Jay.
[02:28:59.389 --> 02:29:06.313]  Over and over again, as you mentioned, it's a tradition that has been reinforced by Chief Justices, by history, by the law itself.
[02:29:06.413 --> 02:29:08.835]  Many state constitutions have that written into the law.
[02:29:09.115 --> 02:29:11.656]  Let's take some calls from people about this issue.
[02:29:11.917 --> 02:29:13.117]  We've got Tyler in Oklahoma.
[02:29:13.157 --> 02:29:14.018]  Tyler, what's your question?
[02:29:16.328 --> 02:29:16.528]  Yes.
[02:29:16.748 --> 02:29:17.569]  What's your question, Tyler?
[02:29:17.649 --> 02:29:20.491]  Um, it was more of a suggestion.
[02:29:20.831 --> 02:29:23.753]  Um, you know, you're talking about the importance of a jury trial.
[02:29:24.353 --> 02:29:29.196]  Well, it goes to, you know, traffic, um, court, especially here in Oklahoma.
[02:29:29.676 --> 02:29:37.622]  It's a criminal offense, and if they change the Sixth Amendment into where unless there's six months in prison or $1,500 in fines, you don't have the right to a trial by jury.
[02:29:37.902 --> 02:29:38.082]  Wow.
[02:29:38.102 --> 02:29:39.603]  Therefore, it becomes a bench trial.
[02:29:40.243 --> 02:29:47.566]  And so you don't have a chance to win in a bench trial because the state is prosecuting you, the state is testifying against you, and the state is judging you.
[02:29:48.947 --> 02:29:54.049]  My suggestion would be us try to get the Sixth Amendment changed back because... Hang on, hang on, we'll get to you right after the break.
[02:29:54.069 --> 02:29:54.809]  We'll be right back.
[02:29:54.849 --> 02:29:57.350]  We're taking calls about juries.
[02:29:57.390 --> 02:29:57.811]  Hang on.
[02:29:58.671 --> 02:29:59.591]  We're on the march.
[02:30:00.072 --> 02:30:01.672]  The Empire's on the run.
[02:30:02.593 --> 02:30:05.274]  Alex Jones and the GCN Radio Network.
[02:30:09.738 --> 02:30:12.500]  Protecting your home with a security system is a must.
[02:30:12.740 --> 02:30:18.764]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[02:30:19.124 --> 02:30:25.508]  Listen, there was some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[02:30:25.908 --> 02:30:27.870]  Not with SimpliSafe Home Security.
[02:30:28.190 --> 02:30:29.251]  They're the good guys.
[02:30:29.551 --> 02:30:32.233]  You can trust SimpliSafe to protect your family.
[02:30:32.613 --> 02:30:36.917]  SimpliSafe was created by a Harvard Business School engineer, and it's revolutionary.
[02:30:37.137 --> 02:30:40.399]  You'll get 24-hour protection for just $14.99 a month.
[02:30:40.659 --> 02:30:43.402]  There are no hidden fees and no contracts.
[02:30:43.602 --> 02:30:44.562]  You'll save thousands.
[02:30:44.823 --> 02:30:47.885]  Plus, you're protected by their 100% money-back guarantee.
[02:30:48.205 --> 02:30:51.268]  Protect yourself against home invasions and break-ins.
[02:30:51.648 --> 02:30:55.571]  Order your SimpliSafe system now and receive a wireless keychain remote.
[02:30:55.831 --> 02:30:57.755]  A $25 gift, free.
[02:30:58.176 --> 02:31:00.800]  So don't waste your time dealing with scum.
[02:31:01.161 --> 02:31:07.854]  Visit GetSimplySafe.com GetSimplySafe.com GetSimplySafe.com
[02:31:09.568 --> 02:31:10.809]  What does freedom mean to you?
[02:31:10.829 --> 02:31:13.710]  How about the freedom to take control of your own future?
[02:31:13.970 --> 02:31:17.472]  At eFoods Direct, we're again celebrating Food Freedom Month.
[02:31:17.793 --> 02:31:26.918]  In July, for every $329 you spend on our highly nutritious, great-tasting food, you will receive a $190 Patriot Pack free.
[02:31:27.178 --> 02:31:31.760]  For example, purchase a six-month supply and get three Patriot Packs free.
[02:31:32.000 --> 02:31:38.184]  The Patriot Pack is a 24-day supply of eFoods Quick-Fix, easy-to-store food, plus stove,
[02:31:38.544 --> 02:31:38.984]  I think so.
[02:32:01.167 --> 02:32:08.695]  Call 800-409-5633 or efoodsdirect.com slash alex and remember free shipping every day.
[02:32:20.868 --> 02:32:32.039]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American made products.
[02:32:32.319 --> 02:32:38.545]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[02:32:38.986 --> 02:32:41.949]  You're getting soap products twice as good as what you're using now.
[02:32:42.509 --> 02:32:46.952]  This is an amazing deal and you will love the way real soap makes your skin feel.
[02:32:47.192 --> 02:32:54.257]  Call 1-800-340-7091 or visit www.5starsoap.com.
[02:32:54.557 --> 02:32:58.660]  Alex and his staff have used these earth friendly pure soaps for years.
[02:32:59.200 --> 02:33:04.043]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[02:33:24.321 --> 02:33:26.542]  Waging war on corruption.
[02:33:26.982 --> 02:33:32.183]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[02:33:34.883 --> 02:33:36.484]  Welcome back to the Alex Jones Show.
[02:33:36.564 --> 02:33:41.805]  I'm David Knight filling in for Alex today and our guest is Kirsten Tynan and we're talking about juries.
[02:33:42.325 --> 02:33:44.426]  About their rights and their duties.
[02:33:45.066 --> 02:33:49.807]  You know, juries are there to watch your back and if you're ever fortunate enough to be on a jury you need to watch
[02:33:50.467 --> 02:33:51.448]  The other person's back.
[02:33:51.568 --> 02:33:54.732]  You need to make sure that the laws are really just laws.
[02:33:54.752 --> 02:33:57.314]  That they're constitutional laws and that they're also just laws.
[02:33:57.334 --> 02:33:58.856]  And that's what juries are there for.
[02:33:59.176 --> 02:34:12.471]  Now we were just talking on the, we had a caller on the line, Tyler from Oklahoma, and he was telling us, Tyler, you were telling us that they have basically done away with juries in Oklahoma, unless it's over a certain amount of money, is that correct?
[02:34:13.380 --> 02:34:22.907]  Yes, uh, the Sixth Amendment was changed, I believe it's everywhere, um, is that unless they're six months in prison or $1,500 in fines, you don't have a right to a trial by jury.
[02:34:23.488 --> 02:34:36.657]  So therefore in traffic violations, you know, they'll give you a $250 ticket and it doesn't make sense to go hire an attorney for $1,000 to $1,500 to represent you, so of course you're just gonna plead guilty and it's just a creative monopoly in a sheep line.
[02:34:36.677 --> 02:34:37.638]  That's right.
[02:34:38.719 --> 02:34:40.020]  Um, my issue is... Go ahead.
[02:34:40.320 --> 02:34:41.201]  Go ahead, go ahead, sorry.
[02:34:41.997 --> 02:34:54.662]  Um, my issue is, is I think if we get the Sixth Amendment changed to where we don't have that restriction and we would have juries, um, you know, we would be able to have the opportunity to present cases such as, you know, the right to travel.
[02:34:55.003 --> 02:34:56.303]  There's been yet several U.S.
[02:34:56.323 --> 02:35:00.265]  Supreme Court cases saying that you have the right to travel and, you know,
[02:35:01.065 --> 02:35:03.927]  Of course you're never going to win that type of case in a bench trial.
[02:35:31.486 --> 02:35:31.706]  Yes.
[02:36:01.045 --> 02:36:01.925]  Well, I have good news.
[02:36:02.105 --> 02:36:04.326]  The Sixth Amendment has not been changed.
[02:36:04.606 --> 02:36:07.447]  The bad news is that it is being disregarded.
[02:36:07.587 --> 02:36:12.248]  So, changing it back is not going to help because it hasn't been changed in the first place.
[02:36:12.308 --> 02:36:18.249]  It still states that in all criminal prosecutions, you have the right to trial by jury.
[02:36:18.269 --> 02:36:19.290]  That's right.
[02:36:19.430 --> 02:36:20.630]  It's simply being ignored.
[02:36:21.030 --> 02:36:21.991]  That's right.
[02:36:22.011 --> 02:36:34.517]  And if they have a law that says, well, the Sixth Amendment doesn't apply unless it's over a certain amount, that has no more effect than if they say, well, if you're within 100 miles of the border, that's a Constitution-free zone.
[02:36:34.557 --> 02:36:40.720]  I mean, they don't have the authority, and neither actually does the Supreme Court have the authority to amend the Constitution.
[02:36:40.740 --> 02:36:49.224]  There's a very specific process for where the Constitution is amended, and it isn't done by fiat of some state legislature or even by the Congress.
[02:36:50.660 --> 02:37:06.725]  And one tactic that I want to mention that is similar to what the caller was talking about is that in the state of Oregon, there is a situation that I became aware of last year where several, I mean dozens and dozens of Occupy protesters have been arrested and treated like criminals.
[02:37:07.006 --> 02:37:07.906]  They were handcuffed.
[02:37:08.146 --> 02:37:09.286]  They were taken to jail.
[02:37:09.306 --> 02:37:10.267]  They were held.
[02:37:11.707 --> 02:37:23.051]  Once the public spectacle was over and it became clear that that was going to be a big problem in the court system, the district attorney decided to drop the charges to the level of essentially a traffic ticket.
[02:37:23.852 --> 02:37:29.554]  And so they started getting bench trials for things for which they had been treated as criminals.
[02:37:30.134 --> 02:37:41.285]  Well, a non-related case was going through the appeals court in Oregon at the time, and it was ruled that these defendants could not, you couldn't do this bait and switch on these defendants.
[02:37:41.345 --> 02:37:43.747]  They were to be given the right to trial by jury.
[02:37:44.108 --> 02:37:54.478]  And last I checked, that's still being argued, but it was a question of whether or not they were going to get jury trials, whether or not all the charges were just going to be dropped because it was clogging the courts.
[02:37:55.138 --> 02:37:59.462]  Or whether the district attorney, I guess in that case, was going to appeal the charges.
[02:38:00.143 --> 02:38:07.570]  But it's a very common tactic that they will treat you as a criminal when they're arresting you, when they're jailing you, before you get to court.
[02:38:07.630 --> 02:38:11.975]  But once you get to court, they want to change the rules so it's more favorable for them in court.
[02:38:12.515 --> 02:38:19.845]  Well, you know, and as people are listening to this, they're thinking maybe, well, you know, I'm a law-abiding citizen, I would never do anything to offend the government or whatever.
[02:38:20.546 --> 02:38:30.478]  Let's remind people that it wasn't, it was just a couple of months ago that we had a fellow on a beach release three or four heart-shaped balloons.
[02:38:31.399 --> 02:38:34.742]  Uh, as part of a anniversary or proposal or something like that.
[02:38:34.802 --> 02:38:40.165]  And he was charged with multiple felonies because each release of a balloon was considered to be a felony.
[02:38:40.185 --> 02:38:40.686]  Right.
[02:38:40.826 --> 02:38:44.388]  You never know when you're going to be swooped up by the police state that's here.
[02:38:44.448 --> 02:38:46.830]  And there's the article right there we've got up there.
[02:38:48.031 --> 02:38:52.115]  Man faces five years in prison for releasing balloons on the beach as a romantic gesture.
[02:38:52.496 --> 02:39:03.307]  You never know when you're going to be swept up by these insane laws and you need a jury of people who have a mind and a backbone to stand up for you against these ridiculous laws and you need to stand up for other people as well.
[02:39:03.988 --> 02:39:05.670]  And let me tell you what's going on there.
[02:39:06.030 --> 02:39:17.681]  We are seeing a huge trend in this country of prosecutors overcharging people, just increasingly excessively, because they don't want a jury trial.
[02:39:17.701 --> 02:39:19.242]  They don't want you to go to a jury trial.
[02:39:19.522 --> 02:39:20.963]  They want you to take a plea deal.
[02:39:21.344 --> 02:39:22.925]  So they will charge you with something
[02:39:24.066 --> 02:39:31.273]  That is ridiculously excessive, and then they will offer you the carrot of you can get off with a slap on the wrist kind of thing.
[02:39:31.653 --> 02:39:45.306]  And what I like to tell people is that if the prosecutor is willing to settle for, I don't know, a fine or community service, but if you go to jury trial, they want to nail you for 80 years, and that is an actual case,
[02:39:46.107 --> 02:39:48.649]  Then, what is the math there?
