[00:00:00.089 --> 00:00:07.235]  I'm here.
[03:17:27.879 --> 03:17:30.120]  We'll put that up on screen for folks.
[03:17:30.140 --> 03:17:33.162]  We're going to skip this break because we're in overdrive right now.
[03:17:33.182 --> 03:17:35.042]  I got to tell you, here is...
[03:17:36.775 --> 03:17:44.296]  The magazine, where our reporters, for TV viewers out there, other folks can just go to Infowars.com and see it, look right here.
[03:17:44.617 --> 03:17:49.117]  It's our reporters, or our crew, being given tickets for handing out magazines.
[03:17:49.157 --> 03:17:52.678]  And the police admitted to me on the phone, we've never been told to do this before, but we're going to do it.
[03:17:53.178 --> 03:17:58.919]  Until I went down there and threatened to sue them, then they backed off and said, we're sorry, but, which is even creepier.
[03:17:59.419 --> 03:18:02.120]  Because if I was to sue them, they'd probably just indict me for it.
[03:18:02.580 --> 03:18:06.121]  Which I guess you've got to, you know, now we're indicting Alex for handing out magazines.
[03:18:07.121 --> 03:18:16.264]  So, Antonio, I mean, wow, a year later, because you have it back down, they are now, and everybody's seen the footage from across the street, somebody else shot that.
[03:18:16.284 --> 03:18:20.245]  I mean, the cop comes at you and is grabbing at you, not wanting it to be on tape.
[03:18:21.025 --> 03:18:28.027]  And now the good grand jury, hey, same kind of folks indicted the guy in Williamson County they knew was innocent.
[03:18:29.208 --> 03:18:30.608]  I mean, so maybe you need to go to prison, boy.
[03:18:31.547 --> 03:18:32.888]  Well, they want me to, that's for sure.
[03:18:32.988 --> 03:18:35.669]  They don't like it when people are out there exposing them for their crimes.
[03:18:37.209 --> 03:18:38.990]  Well, I tell ya, but we're sure a free country.
[03:18:40.391 --> 03:18:45.433]  Did you ever imagine when you were in Kosovo and Iraq and places you'd be doing, being indicted for this?
[03:18:45.893 --> 03:18:57.658]  No, and quite frankly, everyone told me how I was protecting freedoms overseas and all that stuff, but I feel like I'm doing more to do it by fighting the police here because the police are the real domestic terrorists, unfortunately, in this country.
[03:18:58.851 --> 03:19:00.773]  Well, they certainly are trying to turn him into that, yeah.
[03:19:02.195 --> 03:19:04.958]  And I'm sure, I mean, like in New York, they would just probably beat you to death.
[03:19:05.458 --> 03:19:12.226]  I mean, you know, as bad as they are, it's kind of bad, like when, you know, the Austin police are, in my opinion, pretty good compared to a lot of them.
[03:19:12.246 --> 03:19:16.551]  But I agree with it, he was totally wrong, and I guess Ace of Eight is doubling down on you.
[03:19:17.311 --> 03:19:23.774]  It's actually kind of funny, I mean, when's the last time you saw a police chief give a press release for someone who got indicted on class C misdemeanor?
[03:19:23.834 --> 03:19:25.214]  It's a traffic ticket, right?
[03:19:25.374 --> 03:19:30.516]  And so they couldn't get me on the felony because there's six witnesses that say the cops lied.
[03:19:30.536 --> 03:19:32.877]  There was video, there was audio, two videos actually.
[03:19:33.177 --> 03:19:40.180]  So they knew that they couldn't do that, but they had to save face, so they went ahead and got me on four misdemeanors for failure to obey.
[03:19:42.173 --> 03:19:45.174]  Failure to obey the order of a police officer.
[03:19:45.655 --> 03:19:51.518]  But the message, the way the media said was, oh, you're allowed to film, but you gotta obey and not film when we say.
[03:19:51.958 --> 03:19:53.458]  Right.
[03:19:53.498 --> 03:20:02.403]  They'll come up with an order, and then when you don't jump through the hoops fast enough, when they tell you to go move back 60 feet, and you only move back 50 feet, then they can arrest you for failure to obey.
[03:20:04.664 --> 03:20:06.165]  Well, my only issue is this.
[03:20:08.012 --> 03:20:09.493]  America is being collapsed.
[03:20:09.913 --> 03:20:14.915]  Do the cops think the globalists that are taking over this country are going to care about their rights after they've taken yours?
[03:20:15.635 --> 03:20:19.097]  And that's the thing that bothers me the most about it is they're dispensable.
[03:20:19.177 --> 03:20:20.197]  They're just like soldiers.
[03:20:20.277 --> 03:20:21.578]  The government doesn't care about them.
[03:20:21.618 --> 03:20:23.378]  They'll throw them to the side just like the soldiers.
[03:20:23.398 --> 03:20:24.359]  Well, in fact, they hate them.
[03:20:25.199 --> 03:20:29.441]  There's nobody they hate more than a citizen trained to fight after they're done with you.
[03:20:30.476 --> 03:20:34.017]  As long as you're on their side doing their bidding, you're okay.
[03:20:34.037 --> 03:20:38.499]  But once you, like, stand up and become an Oath Keeper, for example, then you become a threat.
[03:20:38.919 --> 03:20:40.359]  Well, they're really scared of Oath Keepers.
[03:20:40.379 --> 03:20:41.300]  Yep, definitely.
[03:20:41.800 --> 03:20:45.441]  Now they're taking veterans' children if they get caught with half a marijuana cigarette.
[03:20:45.901 --> 03:20:46.361]  Imagine!
[03:20:46.641 --> 03:20:47.882]  They could also plant that on you.
[03:20:48.562 --> 03:20:50.523]  I mean, it should all be decriminalized right now.
[03:20:50.563 --> 03:20:52.063]  The government ships in the hard drugs.
[03:20:52.243 --> 03:20:54.484]  They're trying to put the kids on the hard prescription drugs.
[03:20:54.793 --> 03:20:55.574]  I mean, what a joke!
[03:20:55.674 --> 03:20:56.455]  End it all now!
[03:20:56.895 --> 03:21:07.626]  Yeah, well, I mean, the drug war is used to punish the people and help out the prison systems, the pharmaceutical companies, and it just feeds the system.
[03:21:07.686 --> 03:21:10.508]  More people in the system, more people in jail, the better off they are.
[03:21:12.070 --> 03:21:16.574]  Well, yeah, people can make excuses about this, but we have the largest prison population in the world.
[03:21:16.815 --> 03:21:19.077]  For those that don't know about your case, recap what happened.
[03:21:19.582 --> 03:21:21.785]  I was a designated driver on New Year's Day 2012.
[03:21:22.165 --> 03:21:23.366]  I was driving my buddy home.
[03:21:23.407 --> 03:21:24.448]  We were running out of gas.
[03:21:24.548 --> 03:21:26.830]  Pulled into the 7-11 on Lamar and West 10th.
[03:21:27.331 --> 03:21:29.173]  And there was a DUI stop in progress.
[03:21:29.333 --> 03:21:30.014]  We watched it.
[03:21:30.054 --> 03:21:31.195]  We didn't want to get involved.
[03:21:31.336 --> 03:21:32.577]  We were getting ready to leave.
[03:21:32.997 --> 03:21:38.884]  And all of a sudden, Robert Snyder and APD cops are ripping the female passenger out of the car, throwing her to the ground.
[03:21:39.665 --> 03:21:41.066]  Patrick Aborski joined in.
[03:21:41.406 --> 03:21:43.968]  They were twisting her arms behind her back in a torture move.
[03:21:44.408 --> 03:21:50.231]  And so I tried to take pictures, and when she started screaming, begging me to record it, I started yelling to the cops, telling them to stop.
[03:21:50.652 --> 03:21:58.356]  Aborski then assaulted me, started pushing me around, and then because he assaulted me, he had to have an excuse to assault me.
[03:21:58.637 --> 03:22:02.239]  So he said I spit in his face, which is a third-degree felony, carries two to ten years.
[03:22:03.052 --> 03:22:06.075]  But unfortunately for him, there was multiple cameras taping it.
[03:22:06.295 --> 03:22:12.641]  Yeah, there was a guy across the street who stepped forward, who had cell phone video, and there were other witnesses who stepped forward.
[03:22:12.941 --> 03:22:21.209]  And so I'm probably one of the luckiest guys to ever get charged with a bogus felony, because I had a bunch of witnesses who were willing to step forward.
[03:22:21.469 --> 03:22:23.131]  All of them were pretty credible witnesses, too.
[03:22:23.311 --> 03:22:28.752]  Man, let me tell you, that is so scary to falsely, because I've seen this so many times in my life.
[03:22:28.792 --> 03:22:32.033]  I've had it, you know, threatened with me when I knew cops were dealing drugs in Dallas.
[03:22:32.433 --> 03:22:33.834]  And they said, we'll plant drugs on you.
[03:22:33.874 --> 03:22:37.675]  You know, we'll say you stole stereo equipment when they knew I didn't have a criminal record, didn't steal stuff.
[03:22:38.755 --> 03:22:42.656]  And then beat me up behind closed doors saying, next time you're dead, basically.
[03:22:44.913 --> 03:22:47.635]  Imagine framing people and feeling good about it.
[03:22:47.975 --> 03:22:52.259]  And it'd be one thing if you framed an axe murderer who you know had gotten out wrong with that.
[03:22:52.399 --> 03:22:54.180]  I still wouldn't do that, because then you become the devil.
[03:22:54.400 --> 03:22:54.901]  You're fighting.
[03:22:55.181 --> 03:23:00.205]  But imagine just framing innocent people, like Michael Morton, just with pleasure.
[03:23:00.285 --> 03:23:01.106]  I mean, they just do it.
[03:23:01.406 --> 03:23:04.969]  And it seems like the better a person is, the more fun it is to frame them.
[03:23:05.899 --> 03:23:13.762]  Yeah, and it's amazing because I was waiting for people to come out, good cops on the inside, to come out and say we reject this, to go after the police chief.
[03:23:14.102 --> 03:23:21.145]  But Internal Affairs, the police chief, Anthony Hippolito, they all lined up and supported this cover-up.
[03:23:21.205 --> 03:23:26.947]  It was essentially a cover-up, and they were willing to destroy my life and Norma's life in order to protect this corrupt cop.
[03:23:27.008 --> 03:23:27.728]  It was disgusting.
[03:23:29.448 --> 03:23:35.311]  Well, you know, I could sit here and show cops doing horrible things every day on this show if I wanted to demonize police.
[03:23:37.393 --> 03:23:39.734]  But there is a culture in government of unaccountability.
[03:23:40.415 --> 03:23:44.258]  I mean, it's like the state police that put their hands, the two sisters, in their bodies.
[03:23:44.278 --> 03:23:48.922]  I mean, you can see the woman foisting her hand in the vaginal area, then into the other area.
[03:23:49.823 --> 03:23:51.524]  And the state police said, well, that's normal.
[03:23:51.544 --> 03:23:52.265]  This is our new thing.
[03:23:52.285 --> 03:23:53.025]  And I was like, whoa!
[03:23:54.847 --> 03:23:56.348]  I'm not going to go along with this.
[03:23:56.368 --> 03:23:58.050]  I mean, you're not doing this to my wife and children.
[03:23:59.085 --> 03:24:03.847]  And then everybody freaked out about it, so now they've indicted the police that did this.
[03:24:03.927 --> 03:24:08.629]  But the head of the state police, and before that the local commander, defended it.
[03:24:09.049 --> 03:24:10.790]  It shows they're really getting out of touch.
[03:24:11.450 --> 03:24:15.932]  And the only reason that became an issue was because the Dodds were willing to come forward with a lawsuit.
[03:24:16.012 --> 03:24:20.574]  If that didn't happen, you know... No, no, the state police said, we do this all the time!
[03:24:20.614 --> 03:24:21.314]  Right, right.
[03:24:21.374 --> 03:24:26.797]  Not only is it illegal to do a cavity search without a warrant or an emergency, the same glove...
[03:24:27.958 --> 03:24:28.959]  Yeah, it was disgusting.
[03:24:29.279 --> 03:24:31.841]  But, not only were... Two girls, one glove.
[03:24:32.161 --> 03:24:32.642]  Exactly.
[03:24:32.662 --> 03:24:34.383]  And both front and back.
[03:24:34.443 --> 03:24:36.365]  It completely... Yeah, let's show that, folks.
[03:24:36.385 --> 03:24:39.667]  Can you show the women, uh, State Police do cavity search of women?
[03:24:40.548 --> 03:24:50.976]  And the thing is, Hellerson and Farrell, those were the two cops, um, they were the ones who did the deeds, but everyone in the chain of command, the entire Department of Public Safety rallied behind those guys.
[03:24:51.036 --> 03:24:53.317]  Not one cop came out and said, this is wrong.
[03:24:53.358 --> 03:24:55.219]  Well, I mean, that's what the blood draws are all about.
[03:24:55.319 --> 03:24:56.440]  They know the beers there.
[03:24:56.540 --> 03:24:57.600]  Sit out to the liquor store.
[03:24:57.940 --> 03:24:59.461]  You know, sit outside the, you know, pull them over.
[03:24:59.481 --> 03:25:00.162]  No, they don't do that.
[03:25:00.382 --> 03:25:06.485]  They want you to go drink and they want to put you in jail for two beers instead of going after people for drunk, reckless driving.
[03:25:06.705 --> 03:25:08.086]  You don't need drunk driving charges.
[03:25:08.386 --> 03:25:09.587]  Reckless driving is a felony.
[03:25:10.347 --> 03:25:17.171]  But no, no, we're not going to go after people for reckless driving, which we had on the old code, because reckless driving regardless, now it's two beers you're going to go to jail.
[03:25:17.431 --> 03:25:18.211]  And I sat there.
[03:25:18.931 --> 03:25:20.932]  I'm not even going to say the guy's name, but a well-known cop.
[03:25:21.073 --> 03:25:23.414]  I sat there in a restaurant with my children.
[03:25:24.548 --> 03:25:27.650]  A few weeks ago, and watched him drink tequila shots and beer.
[03:25:29.530 --> 03:25:33.932]  And it just so happened, I then came out of the movie theater after he did, it was a restaurant buy-in.
[03:25:34.933 --> 03:25:37.114]  Yeah, you can just roll the video, yeah, there it is.
[03:25:37.754 --> 03:25:39.455]  And I watched the guy go out and get in the vehicle.
[03:25:39.655 --> 03:25:43.557]  Now, I'll be honest, I think the guy had a couple beers, a couple tequila shots, he's a big guy.
[03:25:43.877 --> 03:25:45.418]  I think he could drive fine in it for two hours.
[03:25:45.858 --> 03:25:48.659]  But I'll guarantee you, if they made him blow, DWI.
[03:25:48.980 --> 03:25:53.642]  Right, and if it was someone that didn't have the magic costume on, they would get arrested for that.
[03:25:54.741 --> 03:25:57.643]  Well, exactly, but my whole point is the heaviest drinkers I know are cops.
[03:25:58.043 --> 03:26:04.608]  How do they sit there and pull somebody over and then they blow a, you know, a 0.9 or whatever, and then you go to jail?
[03:26:04.668 --> 03:26:06.449]  It's all, and now they take your kids!
[03:26:07.169 --> 03:26:10.211]  Now they, now, I mean, it's any way to get us in the system.
[03:26:10.492 --> 03:26:14.114]  I'm seeing cases every day where pot smokers are having their kids taken.
[03:26:14.454 --> 03:26:19.618]  I mean, that's, that's basically revolution time right there, when the cops want to stick their fingers in your butt.
[03:26:20.378 --> 03:26:24.381]  I mean, I'm sorry to use that term for listeners, but I mean, you know, this is Twilight Zone.
[03:26:25.282 --> 03:26:31.128]  I mean, I worked as a large animal vet, and when we would do exams on cows, the vet would change his glove every time.
[03:26:31.748 --> 03:26:33.350]  A cow gets better treatment than we do.
[03:26:36.514 --> 03:26:37.555]  How does TSA do that?
[03:26:38.629 --> 03:26:39.449]  Well, they're the government.
[03:26:39.589 --> 03:26:45.051]  And the problem is, is that people have this inability to separate the government from people.
[03:26:45.431 --> 03:26:52.773]  If people can't do it, if it's a crime when a person does it, and then all of a sudden when that person has authority from the government, they can do it, you know, that should be a problem.
[03:26:52.814 --> 03:26:55.634]  People shouldn't say, just because you're a government employee, you can commit these crimes.
[03:26:55.955 --> 03:27:03.737]  But we live in a society where authority is everything, and people think that you have to give respect to people, and therefore those people in positions of authority have the right to
[03:27:04.017 --> 03:27:05.318]  That is completely backwards.
[03:27:05.358 --> 03:27:13.582]  In the old days, when this country was trying to follow the Bill of Rights, if you did have a uniform, you had to be commissioned by Congress to even have a uniform in the military.
[03:27:13.822 --> 03:27:16.204]  That's why they didn't want police to wear uniforms.
[03:27:16.364 --> 03:27:17.925]  Because they're like, that's the military.
[03:27:18.245 --> 03:27:19.606]  But New York started it first.
[03:27:20.066 --> 03:27:21.386]  You had guys in suits.
[03:27:21.907 --> 03:27:24.328]  And let me tell you, they better behave themselves or they were in trouble.
[03:27:24.488 --> 03:27:27.090]  Because people knew, you've got to keep that authority in check.
[03:27:27.830 --> 03:27:29.451]  It's called a servant, not an official.
[03:27:29.871 --> 03:27:30.091]  Right.
[03:27:30.511 --> 03:27:33.253]  And I would love to go back to the days when they were public servants.
[03:27:35.370 --> 03:27:39.335]  Well, again, for me, the biggest thing, as I've seen the video, is you don't spit on him.
[03:27:40.416 --> 03:27:44.221]  And the fact that he tried to put you in jail for, what was it, maybe seven years, if he'd have got you?
[03:27:44.521 --> 03:27:45.162]  Two to ten years.
[03:27:45.562 --> 03:27:47.164]  Yeah, yeah, so the average is about seven, I was reading.
[03:27:47.525 --> 03:27:50.649]  So seven years in jail, and then sleep good,
[03:27:52.532 --> 03:27:54.974]  Sending you to jail because you didn't follow his orders.
[03:27:55.255 --> 03:27:56.676]  Right, to teach me respect.
[03:27:56.716 --> 03:28:03.963]  And he told me when I was in the truck, it was just me and him, he said, you don't F with police, you F with the wrong cop and now you're gonna F and pay.
[03:28:04.403 --> 03:28:07.266]  And by that, he meant you're gonna go to jail for a crime you didn't commit.
[03:28:07.566 --> 03:28:10.549]  But what really makes me mad is, yeah, this guy's a horrible, terrible person.
[03:28:10.609 --> 03:28:12.031]  He should go to jail for what he did.
[03:28:12.331 --> 03:28:14.433]  But what really makes me mad is the fact that
[03:28:14.873 --> 03:28:26.905]  It's clear, there's no question that he lied and he committed the felony crimes that night, and yet Chief Acevedo and other members of the Austin Police Department continue to support this notion that I was the criminal that night.
[03:28:26.925 --> 03:28:35.853]  Well here's the deal, if Acevedo doesn't say turn your guns in, Fidel Castro loves everybody, I mean he says he doesn't like Fidel Castro, but Fidel Castro says a citizen shouldn't have guns.
[03:28:36.474 --> 03:28:40.639]  He says, you know, turn these guns in, turn these mags in, you know, or you're for the criminals.
[03:28:40.679 --> 03:28:41.841]  Criminals get guns illegally.
[03:28:42.101 --> 03:28:43.403]  Criminals are going to get guns anyways.
[03:28:43.423 --> 03:28:46.527]  You're going to use a universal background check to take our guns.
[03:28:46.747 --> 03:28:47.848]  We all know what this is about.
[03:28:48.589 --> 03:28:49.811]  R. Day Cervantes is a smart guy.
[03:28:49.831 --> 03:28:50.171]  He knows.
[03:28:50.432 --> 03:28:51.313]  He says he wants to come in.
[03:28:51.333 --> 03:28:52.394]  I know he listens.
[03:28:52.434 --> 03:28:52.855]  Come on.
[03:28:52.935 --> 03:28:53.275]  Let's go.
[03:28:54.076 --> 03:28:55.677]  I mean, you know, I'll be civil with you.
[03:28:56.398 --> 03:28:58.139]  He's a smart talker.
[03:28:58.460 --> 03:29:01.302]  But let me tell you, if he doesn't do that, the police union will have him out.
[03:29:01.622 --> 03:29:02.103]  Oh, exactly.
[03:29:02.123 --> 03:29:07.347]  So, I mean, all it is, is that, yeah, our local gang is not as bad as other gangs, on average.
[03:29:07.607 --> 03:29:08.568]  But they are still a gang.
[03:29:08.768 --> 03:29:09.549]  Right.
[03:29:09.749 --> 03:29:10.810]  And look at New York.
[03:29:11.190 --> 03:29:15.794]  I mean, I've talked to Austin cops that have asked directions of New York cops, and they scream at you.
[03:29:16.314 --> 03:29:19.397]  I've seen them do it to tourists with little kids and a family.
[03:29:20.077 --> 03:29:25.440]  I mean, no respect for themselves, no respect for anything on just a wild power trip.
[03:29:26.400 --> 03:29:30.422]  The cops in New York smoke cigars on duty with their hats on sideways.
[03:29:31.963 --> 03:29:32.663]  What does that tell you?
[03:29:33.324 --> 03:29:37.246]  Uh, just that they have no respect for themselves, for their uniform, or for the people.
[03:29:37.506 --> 03:29:43.769]  Exactly, because even if you were a corrupt person, you'd want to treat the public with respect because you want your family treated with respect.
[03:29:43.789 --> 03:29:47.671]  We're going to come back, talk about your case and where it's going on your website and take phone calls.
[03:29:48.311 --> 03:29:49.612]  Antonio Bieler is our guest.
[03:29:51.857 --> 03:29:54.859]  We're on the march, the empire's on the run.
[03:29:55.760 --> 03:29:58.581]  Alex Jones and the GCN Radio Network.
[03:30:02.884 --> 03:30:04.085]  Hello, I'm Alex Jones.
[03:30:04.325 --> 03:30:14.772]  Myself, my family, the Infowars.com team want to relay to you and your families that we are intensifying our efforts against the globalists on every front.
[03:30:14.992 --> 03:30:19.075]  Infowars.com is leading the fight against the technocrats.
[03:30:19.435 --> 03:30:21.857]  But we can't do that without your help.
[03:30:22.177 --> 03:30:33.046]  By getting the films, bumper stickers, and t-shirts at Infowars.com, you will wake up people in your area and support our operation as we move to the next level.
[03:30:33.466 --> 03:30:36.609]  We need your help to spread the word like never before.
[03:30:36.949 --> 03:30:42.631]  They wish to hide themselves during this tectonic battle between the forces of freedom and darkness.
[03:30:43.071 --> 03:30:52.574]  You are the response to the globalist technocrats and their program of global eugenics dehumanization and ultimate extermination.
[03:30:52.974 --> 03:30:54.154]  The war is here.
[03:30:54.474 --> 03:30:55.875]  It's an info war.
[03:30:56.375 --> 03:30:59.056]  The spirit of 1776 versus the mindset of 1984.
[03:31:03.191 --> 03:31:05.072]  We've lived in this neighborhood for years.
[03:31:05.573 --> 03:31:08.695]  We have an alarm system and all of our doors have deadbolts.
[03:31:09.115 --> 03:31:12.698]  They kicked in our door and were in and out of our house in about 5 minutes.
[03:31:13.078 --> 03:31:18.642]  The police arrived in about 20 minutes, but they were long gone with our TV, jewelry, and my guns.
[03:31:18.982 --> 03:31:21.524]  I kept thinking, what if my family had been home?
[03:31:21.864 --> 03:31:28.849]  The police officer said that more than 85% of break-ins are through a door, and that deadbolts alone don't stop intruders.
[03:31:29.409 --> 03:31:34.893]  The officer told me to go to EasyArmor.net if we wanted something that would actually stop an intruder.
[03:31:35.293 --> 03:31:41.097]  EasyArmor reinforces all of the weak points on your doors and is guaranteed to prevent kick-ins.
[03:31:41.397 --> 03:31:46.881]  I was surprised at how little EasyArmor costs and I installed EasyArmor in about 30 minutes.
[03:31:47.421 --> 03:31:48.903]  Visit EasyArmor.net.
[03:31:49.044 --> 03:31:52.028]  That's the letters E-Z-A-R-M-O-R.net.
[03:31:52.208 --> 03:31:54.292]  Or call 888-58-ARMOR.
[03:31:54.372 --> 03:31:55.193]  That's 888-582-7667.
[03:31:57.136 --> 03:31:58.518]  EasyArmor.net.
[03:31:58.758 --> 03:32:00.341]  Ultimate door security made easy.
[03:32:02.537 --> 03:32:03.738]  Don't throw away leftovers.
[03:32:04.098 --> 03:32:09.884]  Instead, throw all your leftovers, vegetable peels, eggshells, coffee grounds, pizza crusts, and more into the Bokashi!
[03:32:10.184 --> 03:32:18.111]  If you love to garden and compost but don't like the hassle of turning a compost bin or the smell, then check out the E-M Bokashi Food Waste Recycling System from Terragonics.
[03:32:18.392 --> 03:32:23.837]  Finally, a way to recycle all your food and plant waste safely and effectively and stop using fertilizers.
[03:32:24.037 --> 03:32:26.259]  The E-M Bokashi Food Waste Recycling System.
[03:32:26.559 --> 03:32:36.327]  Rather than decomposition, the Bokashi system uses fermentation to break down waste, so it takes less time to create nutrient-dense humus for crops or gardens, with no turning and no obnoxious odors.
[03:32:36.607 --> 03:32:41.491]  To learn more and order your Bokashi online, visit tarragonics.com and click on the orange button.
[03:32:41.671 --> 03:32:46.675]  That's tarragonics.com, spelled T-E-R-A-G-A-N-I-X dot com.
[03:32:46.855 --> 03:32:47.295]  Or call 866-369-3678.
[03:32:47.315 --> 03:32:47.575]  That's 866-369-3678.
[03:32:53.760 --> 03:32:59.161]  Recycle all your food wastes in about six weeks with the Bokashi Food Waste Recycling System from Terragonics.com.
[03:32:59.421 --> 03:33:00.041]  Terragonics.
[03:33:00.381 --> 03:33:01.082]  Life's getting better!
[03:33:14.524 --> 03:33:16.405]  Antonio Beeler is our guest.
[03:33:18.410 --> 03:33:19.791]  You know what, you're anti-police.
[03:33:20.692 --> 03:33:25.636]  Michael Morton, you know, they blocked testing the bloody bandana day one.
[03:33:25.676 --> 03:33:27.357]  For some reason they wanted to put him in jail.
[03:33:28.278 --> 03:33:30.180]  Turned out they knew it, kept him in jail.
[03:33:30.200 --> 03:33:30.960]  That's a good thing.
[03:33:32.021 --> 03:33:34.863]  I mean, maybe they should human sacrifice him to the government.
[03:33:34.883 --> 03:33:41.148]  See, instead of just sacrificing people like other cultures did, they now just put you in prison to rot, and then let the violent offenders out.
[03:33:41.188 --> 03:33:41.829]  What's wrong with that?
[03:33:43.350 --> 03:33:45.552]  I mean, if you care about liberty, obviously that's a bad idea.
[03:33:47.045 --> 03:33:49.747]  Do you, Antonio, do you want to worship government right now?
[03:33:50.167 --> 03:33:57.673]  Worship Art Acevedo, kneel to him, worship him, and maybe he'll work with the grand jury to drop the charges.
[03:33:57.813 --> 03:34:00.435]  Yeah, well, the first thing, Art Acevedo is a politician.
[03:34:00.456 --> 03:34:01.917]  He doesn't care about anyone's rights.
[03:34:02.577 --> 03:34:03.538]  I don't want to worship anyone.
[03:34:03.578 --> 03:34:08.502]  I want people to be free, and I don't think that we should have to bow down before cops or politicians.
[03:34:08.522 --> 03:34:09.723]  That's how an extremist would talk.
[03:34:10.143 --> 03:34:10.884]  Yeah, exactly.
[03:34:11.324 --> 03:34:12.685]  And that's what we are.
[03:34:12.745 --> 03:34:13.625]  We are extremists.
[03:34:13.645 --> 03:34:14.886]  They paint us as extremists.
[03:34:14.906 --> 03:34:17.628]  Southern Poverty Law Center that you were referencing before.
[03:34:17.988 --> 03:34:21.010]  Anyone who even invokes the Bill of Rights is an extremist.
[03:34:24.373 --> 03:34:29.596]  I think they should exhume the body of George Washington and publicly hang him for being a patriot.
[03:34:30.977 --> 03:34:32.078]  And Thomas Jefferson too?
[03:34:32.218 --> 03:34:33.218]  Well, they're all terrorists.
[03:34:33.258 --> 03:34:33.699]  Exactly.
[03:34:35.345 --> 03:34:36.486]  I think you're an extremist.
[03:34:37.527 --> 03:34:38.368]  No, no, seriously.
[03:34:38.448 --> 03:34:40.749]  I'm being sarcastic, obviously, before the news picks that up.
[03:34:41.910 --> 03:34:43.271]  What do you make of all this?
[03:34:44.372 --> 03:34:46.354]  Now America's about licking government boots.
[03:34:47.095 --> 03:34:48.556]  Where is your case going currently?
[03:34:49.212 --> 03:34:56.556]  Well, so we'll fight these stupid charges, and Norma was indicted as well on resisting arrest, even though it was legal arrest.
[03:34:56.576 --> 03:35:02.019]  So we'll fight these, and then we'll go ahead and we'll file 1983 civil rights lawsuits against the cops.
[03:35:02.419 --> 03:35:09.503]  But I don't have any faith in the system working to protect me or other people, so we're going out and doing direct action.
[03:35:09.543 --> 03:35:17.348]  We're trying to expose the cops, the criminal cops, for what they do, videotape them, share the stories of abuse, and try to change the culture in America
[03:35:17.628 --> 03:35:24.554]  Where people stop automatically worshipping authority, and they start asking questions, and when they see a cop doing something illegal, they call them out for it.
[03:35:25.414 --> 03:35:26.275]  That's actually an idea.
[03:35:26.315 --> 03:35:40.407]  We could have, like, let's have scarecrows, like, images of cops out there, and then it'll be mandatory that when you see one, that it's a felony if you don't get out and worship just the uniform.
[03:35:41.087 --> 03:35:45.411]  Or we could just put a bunch of scarecrows with people with cameras in their hand and just terrorize the cops.
[03:35:47.028 --> 03:35:52.173]  Well, my whole issue is, I run into a lot of Austin cops and they say they're pro-Second Amendment, pro this and that.
[03:35:52.193 --> 03:36:02.221]  I mean, when they were giving tickets out to our crew, under orders, later I went down, they all were like shaking my hand and going, oh, we think it's bull as well, and we went to the higher-ups and said, you know, is this right?
[03:36:02.241 --> 03:36:03.743]  And then they said, no, don't do it anymore.
[03:36:04.103 --> 03:36:07.606]  My point is, why do they need to be told, you don't have to do this?
[03:36:08.086 --> 03:36:11.770]  I mean, give people tickets for handing out magazines in downtown Austin.
[03:36:12.861 --> 03:36:16.104]  Yeah, people should stand up and say, no, I'm not going to do this.
[03:36:16.144 --> 03:36:17.545]  I'm not going to participate in this.
[03:36:17.605 --> 03:36:20.448]  I'm not going to go after people who aren't committing a crime.
[03:36:20.788 --> 03:36:22.790]  And I'm not going to cover up for criminal cops.
[03:36:22.890 --> 03:36:24.932]  They should stand up and say, I'm going to do what's right.
[03:36:25.432 --> 03:36:27.734]  And, you know, I want to be called a hero.
[03:36:27.874 --> 03:36:30.056]  I want to be called a courageous, good cop.
[03:36:30.096 --> 03:36:31.137]  Well, prove it to us.
[03:36:31.297 --> 03:36:44.428]  Why were they, because I saw the video, and I'm not a Special Forces guy like you where they teach you how to be tortured so you know how to resist torture, I guess that's how you knew that, but I mean it's 101 to grab the handcuffs and lift the arms up high.
[03:36:44.789 --> 03:36:50.293]  I've had cops do that to me when I'm not even resisting as a way to cause pain I guess because that's how they feel powerful.
[03:36:51.454 --> 03:36:53.977]  Why was he doing that to the woman?
[03:36:54.522 --> 03:36:56.303]  I think he was just trying to teach her a lesson.
[03:36:56.363 --> 03:36:59.164]  He was trying to show who was boss and was trying to hurt her.
[03:36:59.264 --> 03:37:01.045]  And I think it probably has to do with training.
[03:37:01.666 --> 03:37:03.847]  Either formal training or unformal.
[03:37:04.427 --> 03:37:09.810]  Yeah, what is it when somebody isn't resisting where they all jump on your head with their knees and all the time break people's necks?
[03:37:10.310 --> 03:37:13.632]  And they shall stop resisting the entire time, because it's part of their training.
[03:37:13.732 --> 03:37:18.595]  They know that there are certain procedures that they need to go through to cover up their crimes.
[03:37:18.615 --> 03:37:22.117]  But why don't they go join, like, a jujitsu club or a boxing club?
[03:37:22.137 --> 03:37:27.040]  Because I guarantee you, there's real guys who want to fight with you there, not just jump on some woman who's handcuffed.
[03:37:27.100 --> 03:37:27.801]  I just don't get it.
[03:37:28.041 --> 03:37:30.523]  Well, if you're a bully, you don't want someone to fight back.
[03:37:30.603 --> 03:37:33.085]  And if you have a badge and gun, people are less likely to fight back.
