[00:00:09.795 --> 00:00:12.537]  Who controls the past, controls the future.
[01:20:08.394 --> 01:20:11.795]  The system's always, be calm, be nice, that's how you're credible.
[01:20:11.935 --> 01:20:13.356]  But notice they're not calm and nice.
[01:20:14.076 --> 01:20:15.658]  They're invading countries.
[01:20:15.698 --> 01:20:16.639]  They're killing millions.
[01:20:16.899 --> 01:20:17.980]  They're brutalizing you.
[01:20:18.181 --> 01:20:23.526]  You ask a question to one of their brainwashed police, not all of them but the ones they brainwashed, they'll taser you.
[01:20:23.927 --> 01:20:24.828]  Was that polite?
[01:20:25.148 --> 01:20:26.450]  Was that how you got things done?
[01:20:26.750 --> 01:20:28.292]  So I'm not saying be violent.
[01:20:29.756 --> 01:20:32.718]  I'm saying be aggressive with these people.
[01:20:32.758 --> 01:20:38.101]  And I don't do it on purpose and I don't go on Piers Morgan or BBC television and start yelling at these people.
[01:20:38.281 --> 01:20:50.529]  But when they sit there and lie and go, there's nothing in the water to hurt you, and I've got over a thousand studies, 24 studies from Harvard last year alone of massive IQ reduction, massive increases in cancer.
[01:20:50.669 --> 01:20:54.752]  I get mad and say, how dare you say I'm a liar about poison in the water?
[01:20:55.052 --> 01:20:56.013]  I want it out of there!
[01:20:56.613 --> 01:21:05.197]  We're not going to get that out of there that they put in there to dumb us down so they have an unfair advantage against us like drugging the other guy about the box.
[01:21:05.538 --> 01:21:06.438]  It's the same thing.
[01:21:07.198 --> 01:21:12.021]  These people should be executed after a trial by jury for putting that in the water.
[01:21:12.321 --> 01:21:14.962]  We shouldn't, oh Alex don't raise your voice to them.
[01:21:15.142 --> 01:21:19.925]  Paul Revere rode around on a horse saying get your guns, get ready to start killing people.
[01:21:20.425 --> 01:21:22.566]  And we're like, well that's Paul Revere, we salute him.
[01:21:23.167 --> 01:21:26.288]  But you know that Alex Jones, he raised his voice once.
[01:21:26.568 --> 01:21:27.429]  That's wrong!
[01:21:28.169 --> 01:21:32.491]  And again, I'm not calling for going out and shooting people, because we're peacefully winning this fight.
[01:21:33.172 --> 01:21:35.133]  And we are going to turn this around.
[01:21:35.493 --> 01:21:41.856]  But if there are foreign armies marching in to take us to FEMA camps, we don't have a right, we have a duty to resist it.
[01:21:42.317 --> 01:21:46.619]  And that's what the Second Amendment is there for.
[01:21:48.939 --> 01:21:50.980]  We're losing if we have to go to that.
[01:21:51.501 --> 01:21:54.102]  And then we may win if that happens, but that's not where we want to go.
[01:21:54.462 --> 01:21:55.443]  They want to go there.
[01:21:55.803 --> 01:21:56.904]  They're pushing for that.
[01:21:57.304 --> 01:22:05.209]  We want to maintain a peaceful stance as long as we can, and then if we are offensively attacked, we have a right and a duty to resist it.
[01:22:05.669 --> 01:22:07.230]  You have to choose that situation.
[01:22:07.830 --> 01:22:10.011]  If you're all alone, they're going to spin the story.
[01:22:10.411 --> 01:22:12.412]  You don't have any way to get the truth out.
[01:22:12.432 --> 01:22:13.473]  You've got to defend yourself.
[01:22:13.713 --> 01:22:16.194]  If I'm in public and the New World Order is going to kill me, I'll let them kill me.
[01:22:16.594 --> 01:22:19.316]  Because I want everybody to see that to see who the bad guy is.
[01:22:19.736 --> 01:22:21.117]  So you have to choose your battles.
[01:22:21.937 --> 01:22:26.462]  But the bottom line is, this is an epic time that we're in.
[01:22:26.502 --> 01:22:30.947]  This is the most historic time in all of human development that we are now entering.
[01:22:31.168 --> 01:22:38.796]  And I don't want to ever hear people out there that are watching say, oh, I'm bored, or there's nothing going on, or there's nothing on TV.
[01:22:39.557 --> 01:22:42.739]  The greatest show on earth is going on outside your television.
[01:22:42.999 --> 01:22:44.080]  It's called reality.
[01:22:44.320 --> 01:22:55.768]  And we're on a planet hurtling through space, dealing with satanic forces that want to try to override humanity and bring in the reign of machines that they believe they're going to merge with.
[01:22:56.048 --> 01:23:09.157]  And they're openly saying they plan to take all our jobs away, make us dependent, to socially engineer us as a means towards getting the handcuffs on us politically and economically and militarily so they can execute us.
[01:23:09.777 --> 01:23:13.219]  Now, you'd be insane to not resist that!
[01:23:14.180 --> 01:23:21.525]  You'd be crazy to try to sell out to it, believing this crazy plan is actually going to work, even if you were evil!
[01:23:22.225 --> 01:23:25.547]  This flies in the face of everything we've ever been.
[01:23:25.567 --> 01:23:35.834]  And if we let this evil win, we sell out all of our ancestors that stood against tyranny, and that taught us what was right, and that brought humanity and culture forward.
[01:23:36.114 --> 01:23:38.736]  So what we're doing is bigger than just our lives today.
[01:23:39.056 --> 01:23:47.562]  It's about our ancestors, it's about those of us today, it's about our children and their grandchildren and the continuum that is humanity.
[01:23:48.082 --> 01:23:50.724]  And when you realize that, there's no fear anymore.
[01:23:51.084 --> 01:23:57.189]  We can't turn our world and our society over to a bunch of inbred, degenerate devil worshippers!
[01:23:57.589 --> 01:24:04.674]  It is our job to stand up and awaken and awaken others and resist the new world order until the end!
[01:24:05.835 --> 01:24:08.096]  Bottom line, liberty is rising.
[01:24:08.396 --> 01:24:09.597]  Humanity is rising.
[01:24:09.918 --> 01:24:11.999]  This is our generation's great test.
[01:24:12.319 --> 01:24:14.401]  And I'm here to tell you, this is a special generation.
[01:24:14.741 --> 01:24:15.942]  Everyone who's alive right now.
[01:24:16.202 --> 01:24:18.964]  The last three generations of the generation being born now.
[01:24:19.264 --> 01:24:28.851]  We are at the beginning, the crossroads, the jump point, the event horizon of the most important time in all of creation.
[01:24:29.072 --> 01:24:30.733]  You've got front row seats.
[01:24:31.411 --> 01:24:39.773]  To incredible science fiction that you're living, and you're not just in the seats, you're in the arena whether you know it or not.
[01:24:40.073 --> 01:24:52.735]  So take your destiny to be leaders, stand against the New World Order, stand with your ancestors, and most importantly, stand with God for life, truth, and justice, fearlessly resisting the tyrants and their father, the devil.
[01:24:52.755 --> 01:24:53.776]  Thank you very much.
[01:25:23.447 --> 01:25:28.712]  Now you can watch the Alex Jones Show live as it happens at InfoWars.com slash show.
[01:25:29.072 --> 01:25:34.137]  You'll find links to all of our content there and a free 15 day trial for Prison Planet TV.
[01:25:34.618 --> 01:25:40.403]  More than 60 movies and documentaries all in one place at InfoWars.com slash show.
