[00:00:05.660 --> 00:00:06.160]  Hark!
[01:11:44.894 --> 01:11:48.095]  You know, the Godfather line, who was Barzini all along.
[01:11:48.475 --> 01:11:49.735]  There was no doubt that
[01:11:50.615 --> 01:11:52.236]  That he's really showed his ass.
[01:11:52.637 --> 01:11:53.357]  Excuse my French.
[01:11:53.757 --> 01:11:56.740]  I mean, McConnell has really screwed the pooch here.
[01:11:56.780 --> 01:11:57.500]  Why do you think he did that?
[01:11:57.520 --> 01:11:58.981]  Because his wife and the Chinese companies?
[01:12:00.602 --> 01:12:01.803]  Because he's an establishment guy.
[01:12:01.863 --> 01:12:04.145]  I mean, he likes it when he can run the show.
[01:12:05.106 --> 01:12:12.391]  Mitch McConnell sincerely believes he would have a docile person in the White House and control the House and the Senate, but for Trump.
[01:12:12.811 --> 01:12:16.074]  He lives in a fantasy world, but this is the world that McConnell lives in.
[01:12:16.534 --> 01:12:30.217]  Yeah, so for these guys it's all about their personal power, not America and our future and freedom.
[01:12:30.477 --> 01:12:32.278]  It's about, I'm big, I'm in charge now.
[01:12:32.298 --> 01:12:36.899]  It's why so many Republicans, even McCarthy, you see on TV, he looks like he's hired in a kite right now.
[01:12:38.126 --> 01:12:39.308]  Yes, I mean, there's no doubt about it.
[01:12:39.328 --> 01:12:40.030]  They're all thrilled.
[01:12:40.090 --> 01:12:44.838]  I mean, they think Biden is easy to work with because Biden's been, you know, a go-along corrupt buddy.
[01:12:44.858 --> 01:12:47.123]  I mean, what's somebody not easy to work with to save the country?
[01:12:48.325 --> 01:12:48.545]  Correct.
[01:12:48.845 --> 01:12:49.185]  Exactly.
[01:12:49.426 --> 01:12:55.008]  Someone who cares more about the country's interest than any lobbying interest, than any corporate interest, than any country club interest.
[01:12:55.389 --> 01:13:00.531]  Mitch McConnell would love the Republican Party to go back to being a country club party that gets enough church votes to win.
[01:13:00.551 --> 01:13:01.892]  Well, that's what Trump always says.
[01:13:01.932 --> 01:13:04.933]  He says, if I want the money, they give me ten times Democrats.
[01:13:05.173 --> 01:13:06.394]  They want me to sell you out.
[01:13:06.494 --> 01:13:06.774]  I won't.
[01:13:07.154 --> 01:13:08.055]  He basically hasn't.
[01:13:08.915 --> 01:13:10.016]  And that's why they're so pissed.
[01:13:11.113 --> 01:13:11.533]  Exactly.
[01:13:11.573 --> 01:13:12.254]  He kept his word.
[01:13:12.454 --> 01:13:14.235]  First president to keep his word in a long time.
[01:13:14.275 --> 01:13:15.396]  He kept his word on trade.
[01:13:15.696 --> 01:13:16.737]  Kept his word on war.
[01:13:17.117 --> 01:13:19.479]  Kept his word on trying to bring people back home.
[01:13:19.499 --> 01:13:23.142]  They're also waging war on him because they don't want him to pardon Julian Assange.
[01:13:23.182 --> 01:13:25.023]  They don't want him to pardon Edward Snowden.
[01:13:25.343 --> 01:13:26.084]  That's why you're seeing Pompeo.
[01:13:26.104 --> 01:13:27.024]  We have two minutes to break.
[01:13:27.084 --> 01:13:28.265]  What would you do right now?
[01:13:28.285 --> 01:13:29.346]  I know you talked to the president.
[01:13:30.066 --> 01:13:30.747]  What should he do?
[01:13:31.127 --> 01:13:31.988]  Resolute deaths.
[01:13:32.428 --> 01:13:33.349]  America's at war.
[01:13:33.409 --> 01:13:33.989]  Chi comms.
[01:13:34.029 --> 01:13:34.490]  Enemies within.
[01:13:34.950 --> 01:13:36.051]  Shouldn't he rally the troops?
[01:13:36.091 --> 01:13:37.692]  Not just put a tweet out, come to D.C.
[01:13:37.732 --> 01:13:37.952]  the 6th.
[01:13:37.992 --> 01:13:40.794]  We need to hear him every night calling on 10 million to
[01:13:42.395 --> 01:13:42.815]  Absolutely.
[01:13:42.835 --> 01:13:45.057]  And I think he should start to reach out directly to the country.
[01:13:45.497 --> 01:13:50.881]  I mean, the reality is he can use his own periscope, his own Twitter feed, his own social media, his own YouTube, however he wants.
[01:13:51.241 --> 01:13:56.164]  And I think that he should start to reach out directly to them and say, and just lay this out for folks.
[01:13:56.324 --> 01:13:57.725]  Say, we have a constitutional remedy.
[01:13:58.065 --> 01:13:59.386]  We know that the election was stolen.
[01:13:59.686 --> 01:14:02.268]  He did that good speech about a week and a half ago that was really well done.
[01:14:02.308 --> 01:14:05.350]  Put pressure on Congress to not accept these fake electors and accept ours.
[01:14:06.391 --> 01:14:06.731]  Exactly.
[01:14:06.751 --> 01:14:10.013]  Oh, if he called on the people to take action, it would be incredible.
[01:14:11.135 --> 01:14:11.575]  Absolutely.
[01:14:11.615 --> 01:14:12.336]  And I think he should do it.
[01:14:12.356 --> 01:14:13.577]  I think he should start to do it every day.
[01:14:13.957 --> 01:14:17.299]  I think he should pardon Julian Assange and Ed Snowden to send a message to the deep state.
[01:14:17.619 --> 01:14:19.820]  I think he should do it on Christmas Eve or Christmas Day.
[01:14:19.840 --> 01:14:21.301]  I think it's perfectly timed.
[01:14:21.621 --> 01:14:25.964]  And then right after that, he should start building for people to come to Washington, D.C.
[01:14:26.324 --> 01:14:34.029]  for a constitutional democratic remedy for the Constitution to be upheld and affirmed by Congress doing its duty and fulfilling its obligation.
[01:14:34.469 --> 01:14:37.550]  Well, Trump does have nine lives and always has a trick up his sleeve.
[01:14:59.898 --> 01:15:01.519]  And so I expect to see some real movement.
[01:15:01.539 --> 01:15:05.343]  Look at how he put all these Chinese companies on the stock market, on a ban list.
[01:15:05.823 --> 01:15:06.844]  What else is coming?
[01:15:07.204 --> 01:15:09.606]  So let's talk about the 6th, the big rally coming up.
[01:15:09.946 --> 01:15:18.693]  Let's talk about what else we can do, what we expect from Trump with Barnes and a little bit on the lockdown too and the globalism and COVID on the final segment.
[01:15:19.034 --> 01:15:23.457]  Then Sunday live, normally with Owen Schroer, is Tom Pappert tonight.
[01:15:23.978 --> 01:15:27.621]  And he's got a special guest joining him from the Defense Intelligence Agency.
[01:15:29.144 --> 01:15:31.225]  Well, we are the tip of the spear in the fight for human liberty.
[01:15:32.666 --> 01:15:39.411]  I'm very honored to be here and it is you, the listeners and viewers, that keep us, like gravity, in the universe, in position.
[01:15:40.031 --> 01:15:43.814]  So everything I owe to you and the God that influenced you to support us.
[01:15:44.895 --> 01:15:47.076]  To the end of the day, I thank God, but God works through you.
[01:15:47.897 --> 01:15:53.100]  All right, Barnes, you could talk for five hours about the lockdown, about the COVID.
[01:15:53.581 --> 01:16:06.089]  You were on with us 11 months ago, and this all started saying what was going to happen, where it was going, the power grab, the mRNA vaccine isn't a vaccine, it was a genetic takeover, and now it's here.
[01:16:06.769 --> 01:16:07.870]  What do you make of this?
[01:16:08.170 --> 01:16:08.990]  What can we do?
[01:16:09.030 --> 01:16:09.831]  Where do you think it's going?
[01:16:11.052 --> 01:16:11.672]  So two things.
[01:16:11.812 --> 01:16:19.115]  One, they're clearly, I've been hearing a lot of inquiries from potential clients that governments are going to start mandating it as a condition of employment.
[01:16:19.455 --> 01:16:23.196]  Employers are going to start mandating it as a condition of employment.
[01:16:23.636 --> 01:16:33.639]  Airlines condition it, require that you... Well, that's what the EEOC just came out, as you know, and said, your employer can make you take something that genetically re-engineers your body.
[01:16:33.959 --> 01:16:35.000]  That's like an employer saying,
[01:16:35.800 --> 01:16:37.162]  You have to have sex with the boss.
[01:16:37.402 --> 01:16:38.423]  That's his semen.
[01:16:38.463 --> 01:16:39.124]  That's gross.
[01:16:39.444 --> 01:16:40.525]  That's potentially harmful.
[01:16:40.785 --> 01:16:44.109]  What about Bill Gates's mRNA injected into my body?
[01:16:44.129 --> 01:16:44.990]  That's beyond rape.
[01:16:46.007 --> 01:16:52.609]  Not only that, I mean, my hometown in Chattanooga, a nurse took it and fainted a little bit long there just by a few minutes afterwards.
[01:16:52.929 --> 01:16:58.511]  More complaints that there are already investigations now into people having allergic and other reactions to it.
[01:16:58.911 --> 01:17:03.693]  And folks, remember, this is a rushed emergency vaccine, which is just a drug.
[01:17:03.713 --> 01:17:04.693]  They call it a vaccine.
[01:17:04.973 --> 01:17:05.994]  I don't mean to interrupt you.
[01:17:06.034 --> 01:17:06.854]  I'm trying to be gross.
[01:17:07.394 --> 01:17:08.214]  I don't want to be raped.
[01:17:08.234 --> 01:17:10.395]  I don't want my daughters raped.
[01:17:10.695 --> 01:17:12.516]  I'm saying it's an mRNA
[01:17:14.562 --> 01:17:16.243]  Like, semen programs an egg.
[01:17:16.703 --> 01:17:18.684]  It's the only thing it can program is an egg.
[01:17:19.304 --> 01:17:22.346]  But an mRNA can program every cell in the body.
[01:17:22.626 --> 01:17:27.208]  This is literally something that reprograms me like I'm an egg and it's semen.
[01:17:27.228 --> 01:17:28.329]  This is super creepy.
[01:17:28.389 --> 01:17:30.309]  I'm talking about science here, Bob.
[01:17:30.349 --> 01:17:31.250]  This is freaking me out.
[01:17:32.236 --> 01:17:35.297]  Well, it reminds me of forced sterilization in eugenics.
[01:17:35.537 --> 01:17:41.880]  I mean, it's a manipulation of the body to try to change the species as a species.
[01:17:42.320 --> 01:17:46.722]  I mean, it's a... And not only that, we've never had a successful coronavirus vaccine.
[01:17:46.742 --> 01:17:49.564]  We've never really had a consistently successful flu vaccine.
[01:17:49.884 --> 01:17:53.505]  And the last time we rushed a vaccine led to the disaster of 1976.
[01:17:55.126 --> 01:18:09.336]  Where a lot more people ended up getting hurt and harmed by the vaccine, by the drug, because that's what it is, it's just a drug with a nice label on it, vaccine, than actually were harmed by the virus.
[01:18:09.937 --> 01:18:12.799]  But what I'm doing is I'm going to be working with Robert Kennedy Jr.
[01:18:13.559 --> 01:18:18.383]  to coordinate a legal and political reform attack on these forced vaccines.
[01:18:19.123 --> 01:18:26.791]  At every level and there's there may be HIPAA lawsuits we can bring to challenge whether they can really inquire into your medical records as a condition of employment.
[01:18:27.411 --> 01:18:40.224]  We're going to be looking into whether or not some of it violates anti-disability discrimination laws because that aspects for certain people that are allergic or have other potential risk reactions to it that could include a psychological reaction to it.
[01:18:40.784 --> 01:18:41.465]  Uh, in my view.
[01:18:41.826 --> 01:18:44.609]  So I think that they're discriminating- Well, no, I totally agree, but let's just go back here.
[01:18:44.669 --> 01:18:48.573]  The British government, once they did one week, had so many problems, so many convulsions.
[01:18:48.933 --> 01:18:54.179]  They said, kids shouldn't take it, pregnant women shouldn't take it, if you have an allergic background, don't take it.
[01:18:54.419 --> 01:18:56.862]  The idea that everybody's gotta take this is insane!
[01:18:58.257 --> 01:18:58.597]  Completely.
[01:18:58.617 --> 01:19:00.820]  And not only that, it doesn't even make sense on its own terms.
[01:19:00.860 --> 01:19:03.402]  In other words, first of all, this is a virus that's not very risky.
[01:19:03.442 --> 01:19:04.563]  This is not smallpox.
[01:19:04.924 --> 01:19:06.445]  This is not polio.
[01:19:07.106 --> 01:19:10.949]  This is a virus that poses very little risk to 90% of the population.
[01:19:11.250 --> 01:19:14.052]  Has a 99% plus success rate.
[01:19:14.493 --> 01:19:14.913]  I agree.
[01:19:14.933 --> 01:19:17.095]  So what is the larger fear mongering about?
[01:19:17.156 --> 01:19:18.457]  What is this big crazy push?
[01:19:19.696 --> 01:19:21.318]  Well, this is what we talked about from the very beginning.
[01:19:21.378 --> 01:19:28.985]  That this whole campaign was about inducing such a state of fear and despair that people would beg for a vaccine backed by Bill Gates.
[01:19:29.405 --> 01:19:32.067]  Because this is part of Gates' longer-term, broader agenda.
[01:19:32.468 --> 01:19:38.393]  And he believes that... So it's just all about, they have the power to put in us what they want, when they want, and they don't care if there's damage.
[01:19:38.413 --> 01:19:39.174]  They just want us to give up.
[01:19:40.208 --> 01:19:49.874]  And if they can control your body and invade your body and put any chemical they want in your body as a condition of employment or simple transportation or simple education, then they can do anything else.
[01:19:50.215 --> 01:19:51.335]  There's no limits.
[01:19:51.415 --> 01:19:58.900]  I mean, once they broach, once they cross that Rubicon, then that's the last Rubicon that protects individuality from the control of the coercion.
[01:19:58.920 --> 01:20:04.444]  And because it was announced as an emergency by the government, something Trump shouldn't have done, now they feel like they have liability protection.
[01:20:04.684 --> 01:20:06.125]  Who cares how many people it damages?
[01:20:07.222 --> 01:20:07.642]  Absolutely.
[01:20:08.122 --> 01:20:09.243]  And this is why it was worldwide.
[01:20:09.543 --> 01:20:13.144]  This is why it continued even after they thought Biden won.
[01:20:13.464 --> 01:20:15.825]  This is why it was done throughout the entire world.
[01:20:16.105 --> 01:20:19.727]  This was Bill Gates co-opting the public health authorities into his goal and agenda.
[01:20:19.767 --> 01:20:21.527]  And I'm sure he couldn't be more thrilled right now.
[01:20:21.907 --> 01:20:23.648]  This is clearly his objective.
[01:20:23.868 --> 01:20:31.631]  But as you put up with that video earlier, there's a reason why Gates was saying that everybody was going to have to be indemnified because he knows it's going to cause a bunch of harm.
[01:20:31.931 --> 01:20:33.052]  He knows it's going to kill people.
[01:20:33.112 --> 01:20:34.152]  He knows it's going to cause more
[01:20:34.212 --> 01:20:35.153]  Well, let's go back then.
[01:20:35.193 --> 01:20:35.673]  Let's go back.
[01:20:35.693 --> 01:20:37.654]  I mean, I go back to the rape thing because that's what this is.
[01:20:38.474 --> 01:20:44.858]  A regular vaccine gives you a broken, failed bacteria or virus, and then you learn how to beat it.
[01:20:45.058 --> 01:20:46.119]  It can have its own problem.
[01:20:46.139 --> 01:20:48.040]  It can be contaminated.
[01:20:48.480 --> 01:20:49.481]  They can Trojan horse it.
[01:20:49.501 --> 01:20:50.561]  It's still got a bad history.
[01:20:51.002 --> 01:20:59.387]  But this mRNA is a nanotech that programs your cells to create an antibody to a basic protein.
[01:20:59.867 --> 01:21:03.389]  And then they, I mean, this is just like, this is such a bold power grab.
[01:21:05.006 --> 01:21:23.632]  Oh yeah, and then you combine Andrew Yang talking about some way to certify this, and it sounds very much like the quantum tattoo that Bill Gates has designed, that's designed to put a chip in you to see what vaccines you've had and haven't had, that can release, that has remote control capabilities, as he himself bragged about its possibility.
[01:21:23.912 --> 01:21:28.313]  Why do you need remote control capabilities yourself for something that's inside you?
[01:21:28.433 --> 01:21:30.994]  Well, RT was asking, where did Andrew Yang get this idea?
[01:21:31.954 --> 01:21:33.717]  Not Adolf Hitler, but Xi Jinping.
[01:21:33.757 --> 01:21:37.704]  Xi Jinping says, global ID, global app, global control.
[01:21:38.900 --> 01:21:39.280]  Absolutely.
[01:21:39.300 --> 01:21:40.881]  I mean, this is very much the Chinese model.
[01:21:41.161 --> 01:21:49.905]  Just as the Chinese have co-opted Big Tech to pursue their social credit model effectively in the way Big Tech censorship and suppression works, this is the model.
[01:21:49.925 --> 01:21:52.006]  I mean, they were the ones who gave us the whole model.
[01:21:52.086 --> 01:21:52.987]  They had the virus.
[01:21:53.267 --> 01:21:55.788]  They were the ones who helped spread the virus by the way they responded to it.
[01:21:56.168 --> 01:21:58.590]  And then they likely manufactured the virus.
[01:21:58.970 --> 01:22:01.271]  And then they manufactured the lockdown response.
[01:22:01.391 --> 01:22:03.512]  And then they were pushing this vaccine answer.
[01:22:03.892 --> 01:22:06.954]  So this is a Chinese model that we've never adopted before.
[01:22:06.994 --> 01:22:09.815]  We've never done this in response to a flu virus before.
[01:22:10.055 --> 01:22:16.879]  We've never rushed a vaccine as the solution, aside from 1976, which was such a disaster, we promised never to repeat that again.
[01:22:17.219 --> 01:22:19.700]  And yet here we are, repeating that again.
[01:22:20.120 --> 01:22:24.242]  And for a far less dangerous virus than that virus, had the lethality.
[01:22:24.422 --> 01:22:26.584]  And again, you're a lawyer, but I can look at this.
[01:22:26.644 --> 01:22:29.585]  This has bad reactions hundreds of times it's ever been seen.
[01:22:29.645 --> 01:22:30.746]  It's like they don't care.
[01:22:31.246 --> 01:22:32.366]  Why do they want to do this?
[01:22:33.487 --> 01:22:35.951]  It doesn't even protect us, like you said, it's not even very dangerous.
[01:22:36.351 --> 01:22:38.875]  The COVID, it's just a giant power grab?
[01:22:40.168 --> 01:22:40.588]  Two things.
[01:22:40.748 --> 01:22:46.989]  One, Bill Gates now has a green light for any and every vaccine he ever wants to do, and he wants to vaccinate the world and control the world through vaccines.
[01:22:47.589 --> 01:22:48.209]  He admits that.
[01:22:49.210 --> 01:22:50.290]  This isn't news.
[01:22:51.030 --> 01:22:53.190]  And then the second, he's just achieved it at a record level.
[01:22:53.230 --> 01:22:57.151]  That's why he spent all that money to co-opt every public health authority in the entire world.
[01:22:57.811 --> 01:23:01.032]  He donates as much money as the United States does to the World Health Organization.
[01:23:01.352 --> 01:23:05.332]  The tied number one donor to the World Health Organization.
[01:23:05.352 --> 01:23:05.992]  And this is why.
[01:23:06.672 --> 01:23:09.533]  To achieve and obtain this objective that's been decades in the making.
[01:23:09.953 --> 01:23:22.682]  And then the second part is it's a degree of social control that dictatorial politicians and tyrannical politicians couldn't even imagine getting even in the worst crisis of war, the worst crisis of terrorism, the worst crisis of crime.
[01:23:22.962 --> 01:23:32.729]  They were never able to attain and achieve the degree they... to where, you know, cops are busy pulling people off of skating rinks in Canada and arresting them and threatening to tase them.
[01:23:33.089 --> 01:23:33.769]  That's how insane it is.
[01:23:33.789 --> 01:23:34.350]  You're absolutely right.
[01:23:34.370 --> 01:23:35.610]  So people ask, what's the point?
[01:23:35.931 --> 01:23:37.491]  Why did the Soviets attack?
[01:23:37.932 --> 01:23:39.353]  Why did the Nazis attack people?
[01:23:39.713 --> 01:23:41.414]  Because it's their will.
[01:23:41.454 --> 01:23:42.394]  They want to dominate.
[01:23:42.674 --> 01:23:43.575]  They want control.
[01:23:43.715 --> 01:23:44.716]  It's rape.
[01:23:45.156 --> 01:23:46.236]  They are raping us.
[01:23:46.256 --> 01:23:47.977]  It doesn't matter if the science says it's bad.
[01:23:47.997 --> 01:23:49.718]  It doesn't matter if it doesn't protect us.
[01:23:49.738 --> 01:23:52.180]  They want that power over our bodies.
[01:23:52.520 --> 01:23:57.903]  This is big government, big corporations, a bunch of weird perverts that are getting off on this giant sick event.
[01:23:59.198 --> 01:24:01.700]  And they get to control people's bodies at a mass level.
[01:24:02.120 --> 01:24:04.362]  And once you do that, you have complete control over a person.
[01:24:04.522 --> 01:24:13.348]  And you don't just rape them with this stuff, you track them, you control them, you control where they go off of how much abuse you allow them to engage in.
[01:24:13.388 --> 01:24:17.811]  This is like, this is like, It The Clown Part 5 or something.
[01:24:18.686 --> 01:24:23.049]  And you condition them to accept various things in their body for these purposes in the name of public health.
[01:24:23.409 --> 01:24:24.770]  You're doing this to protect grandma.
[01:24:24.790 --> 01:24:25.951]  You're doing this to protect kids.
[01:24:25.971 --> 01:24:27.892]  And you then get liability protection.
[01:24:28.032 --> 01:24:31.094]  Trump's biggest failure is going along with this.
[01:24:31.194 --> 01:24:32.315]  He needs to come out against it.
[01:24:32.335 --> 01:24:33.416]  He came out against the mask.
[01:24:33.776 --> 01:24:35.037]  He came out against the lockdowns.
[01:24:35.377 --> 01:24:37.438]  He thinks the vaccine's his biggest achievement.
[01:24:37.739 --> 01:24:39.640]  I think this is Trump's Achilles heel in closing.
[01:24:40.939 --> 01:24:41.660]  Yeah, I think it was.
[01:24:41.700 --> 01:24:46.985]  I think it was another place where his advisors betrayed him, told him, hey, if you take this path, you'll get reelected.
[01:24:47.125 --> 01:24:49.507]  Clearly, that was not the correct advice.
[01:24:49.747 --> 01:24:57.655]  He would have been better off had he never pursued or gone along with this and would have, if he had never gone along with the lockdowns, he wins outside of the margin of fraud.
[01:24:58.115 --> 01:25:01.999]  If he had not gone along with Bill Gates' agenda, he wins outside the margin of fraud.
[01:25:02.019 --> 01:25:08.145]  If he would have created that vaccination committee, paneled by Robert Kennedy, he would have won outside the margin of fraud.
[01:25:08.526 --> 01:25:11.248]  But, unfortunately, he got ambushed by his own advisors.
[01:25:11.509 --> 01:25:12.349]  And that's where the problem is.
[01:25:12.389 --> 01:25:14.812]  You're going to be co-hosting Owen Schroeder on Tuesday.
[01:25:15.252 --> 01:25:17.815]  Robert Barnes, find him on Twitter, BarnesLaw, right there.
[01:25:18.115 --> 01:25:18.756]  Thank you so much.
[01:25:18.816 --> 01:25:19.597]  Incredible job, sir.
[01:25:20.657 --> 01:25:21.798]  Hey, happy to be here, Alex.
[01:25:22.079 --> 01:25:22.299]  Wow.
[01:25:22.859 --> 01:25:23.921]  Powerful hour.
[01:25:24.601 --> 01:25:25.442]  That was amazing.
[01:25:25.763 --> 01:25:28.826]  All right, Tom Pappert takes over for two hours straight.
[01:25:29.507 --> 01:25:31.469]  Normally Owen Schroeder does it, but he's hosting tomorrow.
[01:25:31.849 --> 01:25:33.631]  I'll be hosting at 8 a.m.
[01:25:34.072 --> 01:25:37.416]  the new show, American Journal, with a bunch of your phone calls.
[01:25:37.816 --> 01:25:40.797]  And then Owen's going to host my show because I got a bunch of work to do around here.
[01:25:41.157 --> 01:25:41.758]  A busy elf.
[01:25:42.218 --> 01:25:46.800]  Infowars.com, Newswars.com, Tomorrow's News Today.
[01:25:47.180 --> 01:25:48.460]  You just got the inside scoop.
[01:25:48.500 --> 01:25:50.761]  One of the main lawyers advising the president.
[01:25:51.141 --> 01:25:52.262]  He went ahead and admitted that on air.
