[00:00:25.951 --> 00:00:28.812]  Sunday, March 8th, 2020.
[01:11:16.150 --> 01:11:22.812]  He's gone!
[01:11:22.812 --> 01:11:25.412]  And in what society... Yeah, roll some more of that footage.
[01:11:25.412 --> 01:11:27.333]  You have like 6'5 dudes against 5'5 women, running them over.
[01:11:31.817 --> 01:11:35.798]  Pushing them down to the ground and everyone calls them brave.
[01:11:35.798 --> 01:11:40.099]  Since when is men beating up on women tough?
[01:11:40.099 --> 01:11:44.481]  Only with the left.
[01:11:44.481 --> 01:11:46.501]  So, we'll go to break in four minutes.
[01:11:46.501 --> 01:11:48.842]  I'll come back and go write your calls to balance the transmission.
[01:11:51.021 --> 01:12:03.353]  Man, again, yes, it's hype, ladies and gentlemen, that we should shut everything down, even if it's a 2% kill rate.
[01:12:03.353 --> 01:12:07.157]  That's probably exaggerated because it's only looking at people who are already sick and are in the hospital.
[01:12:07.157 --> 01:12:07.937]  Whatever.
[01:12:07.937 --> 01:12:09.019]  You know why people are scared of it?
[01:12:09.019 --> 01:12:09.759]  It's man-made.
[01:12:09.759 --> 01:12:11.181]  It has the HIV delivery system.
[01:12:12.341 --> 01:12:13.342]  On record, that's not debated.
[01:12:13.342 --> 01:12:21.789]  Like, they go, oh, don't listen to Jones and the Senate Intelligence Committee and to the Indian universities and the German universities and all these other ones and the U.S.
[01:12:21.789 --> 01:12:24.251]  universities that say, yeah, it's clearly manufactured.
[01:12:24.251 --> 01:12:31.837]  You can see, you know, the protein insertion points and the pea shuttle and all of it.
[01:12:31.837 --> 01:12:33.418]  Everything leaves a mark.
[01:12:33.418 --> 01:12:35.480]  It's got the trajectory, the rifling on it.
[01:12:42.506 --> 01:12:52.271]  What is the response going to be in the supply chain and the breakdown of society?
[01:12:52.271 --> 01:12:58.775]  So, yes, the enemy is hyping it to make it as worse as possible because they launched it.
[01:12:58.775 --> 01:13:01.516]  This is the most important thing I've said this month.
[01:13:01.516 --> 01:13:02.797]  I've tried to quantify this finally.
[01:13:02.797 --> 01:13:07.760]  I've just been literally racking my brain for days trying to quantify this as simply as possible.
[01:13:07.760 --> 01:13:08.420]  I'm going to say it this way.
[01:13:10.404 --> 01:13:14.426]  The virus is real.
[01:13:14.426 --> 01:13:16.968]  It's the projectile, it's the weapon.
[01:13:16.968 --> 01:13:21.311]  Both culturally, economically, spiritually, and physically.
[01:13:21.311 --> 01:13:29.576]  But what's synthetic is the hype pushing the fear of the virus because that's the whole point of the virus.
[01:13:29.576 --> 01:13:37.681]  And so people think that you counter the virus by saying it's no big deal, but then you get set up with
[01:13:39.355 --> 01:13:42.699]  You're the ones that covered it up and let it get out of control.
[01:13:42.699 --> 01:13:45.483]  You see the setup?
[01:13:45.483 --> 01:13:49.848]  So yeah, Trump sees it as it's man-made, it's hyped up, it's meant to create fear and panic.
[01:13:49.848 --> 01:13:51.611]  Well, you just counter that with no fear or panic.
[01:13:52.839 --> 01:14:02.404]  Except then when it turns out to be lethal and cause big problems, and all these private corporations shut down all these events to create more panic, then they can blame you for not having a big enough response.
[01:14:02.404 --> 01:14:07.987]  And that's why the left's all lining up to have big giant responses, so they can say they had the big giant response and Trump didn't.
[01:14:07.987 --> 01:14:10.668]  And that's in the Reuters poll, they're already phrasing it well.
[01:14:10.668 --> 01:14:19.273]  Democrats think it's the end of the world, Trump says it's fine.
[01:14:19.273 --> 01:14:20.834]  And so how do you simply quantify that?
[01:14:22.990 --> 01:14:47.641]  They're hyping the deadly virus, the globalists, the CHICOMS, the Deep State, are hyping the deadly virus that they engineered, that they released, that they let the CHICOMS incubate, to then launch against us, the UN called for our borders and airplanes to stay open, our airports, well everybody else shut down, that right there was a big tell, and now sure enough they're hoping it destroys the economy on every major so-called news program and on Bill Maher.
[01:14:49.676 --> 01:14:56.718]  And so Trump can't come out and say, oh, let me counter their hype of the virus by saying it's no big deal, it's a problem.
[01:14:56.718 --> 01:15:06.360]  Because when it becomes a real problem by the hype itself, he'll then be left holding the bag and look like he was behind the curveball instead of coming out and saying it's man-made.
[01:15:06.360 --> 01:15:08.540]  Obama sold it to him in 2015.
[01:15:08.540 --> 01:15:10.821]  Here's the Journal of Science freaking out about it.
[01:15:17.173 --> 01:15:19.394]  China lied to us and didn't tell us it was this bad.
[01:15:19.394 --> 01:15:20.635]  It's all their fault.
[01:15:20.635 --> 01:15:21.195]  And you know what?
[01:15:21.195 --> 01:15:21.775]  Trump's listening.
[01:15:21.775 --> 01:15:22.976]  He started doing that Friday.
[01:15:22.976 --> 01:15:24.597]  So, you know, we're going to be okay.
[01:15:24.597 --> 01:15:28.278]  But let me tell you, that's why they want us off the air, because I'm not trying to make myself important.
[01:15:28.278 --> 01:15:31.380]  I don't know why we're always the ones that are right.
[01:15:31.380 --> 01:15:35.462]  But I guess we're the ones that aren't controlled, because all he's got is that swamp advising him.
[01:15:41.800 --> 01:15:44.684]  We will destroy the globalists together.
[01:15:44.684 --> 01:15:46.727]  God has sent us.
[01:15:46.727 --> 01:15:48.790]  God has sent you!
[01:15:48.790 --> 01:15:53.396]  So now, tell the world, you are the prophets!
[01:15:58.812 --> 01:16:01.253]  We know that the globalists are in trouble.
[01:16:01.253 --> 01:16:08.257]  Humanity's waking up to their tyranny, how they run their scams, their Ponzi schemes, how they're building a post-human world.
[01:16:08.257 --> 01:16:10.158]  But we know they're going to strike back.
[01:16:10.158 --> 01:16:25.305]  And the UN has said that they're going to absolutely implode third world countries and then use those giant populations as weaponized hordes to come in and overwhelm the West and collapse our social services in a giant Cloward and Piven program.
[01:16:25.785 --> 01:16:33.648]  The UN also has said they'll use mass plagues to make us capitulate to world government, inner coronavirus.
[01:16:33.648 --> 01:16:40.791]  This is a critical year and it's a critical time to stay informed and to be spreading the word because people
[01:16:40.871 --> 01:16:44.533]  I don't sell firearms, but I promote them constantly.
[01:17:03.681 --> 01:17:07.083]  Now, can somebody listen to me and go out and buy a gun and use it wrong?
[01:17:07.083 --> 01:17:07.663]  Yeah.
[01:17:07.663 --> 01:17:09.364]  Just like I'm telling people, hey, I'm a man.
[01:17:09.364 --> 01:17:10.224]  I love women.
[01:17:10.224 --> 01:17:11.845]  You ought to go out and get a girlfriend.
[01:17:11.845 --> 01:17:13.226]  You may have problems with her.
[01:17:13.226 --> 01:17:14.486]  You may get a divorce.
[01:17:14.486 --> 01:17:15.107]  You may whatever.
[01:17:15.107 --> 01:17:19.869]  The point is, I'm just steering you in the direction I went that was successful and I loved.
[01:17:20.129 --> 01:17:34.059]  Well, when it comes to supplements and when it comes to storable foods, we've got the best out there because I want you to get a great result and to come back again and again as a customer and fund our political, spiritual operations against the globalists.
[01:17:34.059 --> 01:17:38.923]  So if you want storable foods and everybody else is sold out, and you want them delivered to your door, you want them to be high quality,
[01:17:39.343 --> 01:17:41.224]  I love watching David Knight in the morning.
[01:17:41.224 --> 01:17:43.084]  I love tuning in to Owen Schroer.
[01:17:43.084 --> 01:17:44.145]  I love all the other shows we do here.
[01:17:44.145 --> 01:17:44.985]  But I'll be honest with you.
[01:18:05.154 --> 01:18:10.484]  We run during the breaks a lot of news reports because I'm sick of hearing the ads.
[01:18:10.484 --> 01:18:12.387]  So you think you don't want to hear an ad?
[01:18:12.387 --> 01:18:13.670]  I don't want to hear an ad.
[01:18:13.670 --> 01:18:14.411]  But here's the bottom line.
[01:18:15.424 --> 01:18:16.884]  We're barely paying the bills here.
[01:18:16.884 --> 01:18:19.585]  And I want to expand in the face of the globalists, not contract.
[01:18:19.585 --> 01:18:20.745]  I don't want them to win.
[01:18:20.745 --> 01:18:23.666]  So listen, you've got this guarantee from me.
[01:18:23.666 --> 01:18:26.767]  We sell enough product, we'll have less ads and less plugs.
[01:18:26.767 --> 01:18:29.927]  And we'll expand and really give the globalists a run for their money.
[01:18:29.927 --> 01:18:33.728]  But we've got products you already really need, like DNA Force Plus, X2.
[01:18:33.728 --> 01:18:35.309]  These will change your life.
[01:18:35.309 --> 01:18:36.709]  Go check out the tumor products.
[01:18:36.709 --> 01:18:38.710]  Check out the water filtration, air filtration.
[01:18:38.710 --> 01:18:39.410]  Check it all out.
[01:18:39.410 --> 01:18:41.350]  Whatever you do, take action and know.
[01:18:41.350 --> 01:18:43.131]  Be part of the second American revolution.
[01:18:43.131 --> 01:18:44.331]  Be part of crushing the globalists.
[01:18:44.611 --> 01:18:46.095]  You get great products at the same time.
[01:18:46.095 --> 01:18:48.580]  Infowarsstore.com is the umbrella site.
[01:18:48.580 --> 01:18:50.746]  Infowarslife.com is the supplements.
[01:18:50.746 --> 01:18:53.853]  Take action now and fund the InfoWar for your own future!
[01:18:59.346 --> 01:19:02.611]  This should really be easier than it is.
[01:19:02.611 --> 01:19:04.734]  I'm not here giving you a sales pitch.
[01:19:04.734 --> 01:19:07.217]  I'm pointing out the way forward.
[01:19:07.217 --> 01:19:14.388]  Things that I've discovered that I absolutely know work, that if you listen to me and try them out for yourself, you will see
[01:19:14.728 --> 01:19:23.932]  How amazing it is and then your support of the product we're selling will help you and will help us and it's symbiotic.
[01:19:23.932 --> 01:19:28.975]  My friends, I harp and harp and harp about iodine because it's the good halogen.
[01:19:28.975 --> 01:19:37.099]  Fluoride's the bad halogen and people told me about it for years and I didn't listen and I'm so thankful that finally I listened to Dr. Grip like
[01:19:37.759 --> 01:19:42.764]  Eight years ago, I started taking True Iodine, Atomic Iodine.
[01:19:42.764 --> 01:19:50.450]  We've got it back in stock, X2, 40% off right now at InfoWareStore.com, and I'm telling you, folks, get it.
[01:19:50.450 --> 01:19:51.631]  It's amazing.
[01:19:51.631 --> 01:19:55.214]  Discover the benefits, and it funds the InfoWare, a 360 win.
[01:19:55.214 --> 01:20:00.859]  You can't lose unless you don't take action.
[01:20:00.859 --> 01:20:03.502]  You're listening to the Alex Jones Show.
[01:20:26.478 --> 01:20:28.619]  From the front lines.
[01:20:28.619 --> 01:20:30.020]  Oh, yes.
[01:20:30.020 --> 01:20:32.601]  I've always wanted that and God gave it to me.
[01:20:32.601 --> 01:20:34.182]  Thank you, God.
[01:20:34.182 --> 01:20:34.762]  Thank you!
[01:20:34.762 --> 01:20:39.384]  From the front lines of the Information War, it's Alex Jones.
[01:21:05.367 --> 01:21:10.149]  But the Southern Providence Law Center and ADL says there is no new world order.
[01:21:10.149 --> 01:21:11.669]  There is no replacement migration.
[01:21:11.669 --> 01:21:13.770]  There is no fluoride in the water.
[01:21:13.770 --> 01:21:17.011]  There is no secret vaccine damage fund.
[01:21:17.011 --> 01:21:21.613]  All right.
[01:21:21.613 --> 01:21:22.893]  I was brainstorming last segment.
[01:21:22.893 --> 01:21:28.035]  I'm going to save this to go to your calls.
[01:21:28.035 --> 01:21:32.077]  The hype, the propaganda, the unification,
[01:21:34.090 --> 01:21:54.086]  The choreography, the synchronization, the scripting of these globalist governments, Hollywood, the Chi-Coms, Big Tech, South by Southwest that I've, I mean, I know the people that run that anti-American scum of the earth.
[01:21:54.086 --> 01:21:59.791]  I mean, you talk about trash.
[01:21:59.791 --> 01:22:01.733]  And every group canceling big events.
[01:22:03.237 --> 01:22:10.442]  Every group hyping up into the world, Italy now run by socialists, is socialist and globalist and communist.
[01:22:10.442 --> 01:22:30.797]  To create the precedent that if you don't lock cities down, if you don't do all this, it's your fault, you cause it to spread, so that when Trump doesn't do it because he thinks it's hyped up, they can activate the leftist sleeper cells to engage in violence and arson and all the things they admit they've been gearing up for, all the Project Veritas undercover video, and all the things we've seen, it's crazy.
[01:22:31.789 --> 01:22:32.390]  We're good to go.
[01:22:51.155 --> 01:22:59.657]  The president can't say we've had a perfect response to coronavirus with only a couple thousand people tested and everything's fine and, you know, this is like the flu.
[01:22:59.657 --> 01:23:02.738]  No, the flu kills one-tenth of one percent, maybe.
[01:23:02.738 --> 01:23:04.598]  The number is two percent with this right now.
[01:23:04.598 --> 01:23:10.900]  Probably, that's probably hyped up because, again, it's who comes to the hospital and who's already sick, but that's still a high number, man.
[01:23:10.900 --> 01:23:12.640]  Two percent show up with this and they're dying.
[01:23:12.640 --> 01:23:14.581]  That's not good.
[01:23:14.581 --> 01:23:16.241]  You don't want this, okay?
[01:23:16.241 --> 01:23:18.842]  So, this thing's got some real punch behind it.
[01:23:18.842 --> 01:23:19.642]  Is it end of the world?
[01:23:19.642 --> 01:23:19.782]  No.
[01:23:21.084 --> 01:23:27.006]  The real threat is the hype of it, and so it's out of that attack that we know this is the globalist move.
[01:23:27.006 --> 01:23:30.107]  It's completely obvious, there's no debating it, and it's man-made.
[01:23:30.107 --> 01:23:34.368]  Now, I've said that probably 20 times today, and I'm going to stop.
[01:23:34.368 --> 01:23:36.709]  But if Trump doesn't get out ahead of this, I don't know.
[01:23:36.709 --> 01:23:39.289]  I'm not going to tell the President how he should do it.
[01:23:39.289 --> 01:23:41.010]  I know the President's smart and got a lot of smart folks.
[01:23:41.010 --> 01:23:47.712]  I've been saying for over a month, he better come out and point out that China lied about how bad it was up front, so that's why our response was sluggish.
[01:23:47.712 --> 01:23:48.452]  Pompeo did it Friday.
[01:23:51.329 --> 01:23:52.930]  And I know the White House listens.
[01:23:52.930 --> 01:23:54.370]  That's good.
[01:23:54.370 --> 01:24:01.454]  But this is not like me up here saying I'm the Grand Carnac, like on Johnny Garson, where he'd hold up the envelope and say, here, let me see what it says.
[01:24:01.454 --> 01:24:04.055]  You don't know.
[01:24:04.055 --> 01:24:09.057]  The Democrats are foaming at the mouth wanting a recession, foaming at the mouth to blame this.
[01:24:09.057 --> 01:24:11.158]  So it's ours to lose.
[01:24:12.708 --> 01:24:18.414]  And I think if Trump gets out ahead of it and says, well, we don't want quarantines, we don't want mass shutdowns, but we may have to.
[01:24:18.414 --> 01:24:20.276]  FEMA's already preparing for that.
[01:24:20.276 --> 01:24:21.417]  So he's out ahead of it.
[01:24:21.417 --> 01:24:24.900]  All right.
[01:24:24.900 --> 01:24:25.661]  I'm going to leave it at this.
[01:24:25.661 --> 01:24:32.168]  I already sell the very best supplements and products out there that have been documented and proven to boost immunity.
[01:24:33.052 --> 01:24:35.893]  PQQ, CoQ10 are on record.
[01:24:35.893 --> 01:24:38.915]  You can make claims on those because they're seen basically as drugs.
[01:24:38.915 --> 01:24:40.055]  They're over-the-counter.
[01:24:40.055 --> 01:24:41.836]  They clean out your cells.
[01:24:41.836 --> 01:24:42.976]  They regrow mitochondria.
[01:24:42.976 --> 01:24:44.557]  They make telomeres last longer.
[01:24:44.557 --> 01:24:50.320]  We have the highest quality you're going to find of PQQ and CoQ10 with other known compounds that boost it in DNA Force+.
[01:24:51.440 --> 01:24:54.222]  And it's at Infolwerestore.com, 40% off and sold out for months.
[01:24:54.222 --> 01:24:54.763]  It's back in.
[01:24:54.763 --> 01:24:56.885]  We're going to probably sell it very quick.
[01:24:56.885 --> 01:24:58.646]  I'm going to keep it at 40% off.
[01:24:58.646 --> 01:25:04.331]  Our Super Silver Wound Gel is patented at American Nanotech Organization, sold over-the-counter, approved for over-the-counter.
[01:25:04.331 --> 01:25:06.112]  We're the only folks allowed to private label it.
[01:25:06.112 --> 01:25:06.613]  We have it.
[01:25:07.813 --> 01:25:09.014]  And it's at mforswear.com.
[01:25:09.014 --> 01:25:17.260]  We have the nano silver and the super silver toothpaste, the whitening toothpaste and in the super blue toothpaste, that's tea tree and iodine as well.
[01:25:17.260 --> 01:25:27.326]  All of that strengthens the body's main barrier to disease and that's the mouth into the esophageal and into the lungs as well and the breathing canal there.
[01:25:29.474 --> 01:25:32.115]  It's all there, ladies and gentlemen, InfoWareStore.com.
[01:25:32.115 --> 01:25:36.396]  Even though I'm close to selling out of the Super Silver, we've still got Super Blue.
[01:25:36.396 --> 01:25:39.277]  I'm keeping it at 50% off until they sell out.
[01:25:39.277 --> 01:25:43.018]  More is coming in, it looks like, in the middle of April.
[01:25:43.018 --> 01:25:45.279]  The Immune Gargle, sold out.
[01:25:46.380 --> 01:25:54.205]  And Walmart went and ordered two million things of it, I was told, last week from our supplier, private label for them.
[01:25:54.205 --> 01:25:56.226]  And Walmart's going to have it in a month or so.
[01:25:56.226 --> 01:25:57.307]  We have it back in next week.
[01:25:57.307 --> 01:25:58.588]  But see how we're trailblazing?
[01:25:58.588 --> 01:26:01.970]  What we sell gets picked up and put out by Walmart.
[01:26:01.970 --> 01:26:04.792]  I mean, because this is a real deal, folks, this nanosolar.
[01:26:04.792 --> 01:26:08.774]  So that's the VAT wheelers rollout from Denver on Tuesday.
[01:26:08.774 --> 01:26:10.736]  We'll have it back in stock on Friday.
[01:26:10.736 --> 01:26:12.417]  But we're cutting edge.
[01:26:13.257 --> 01:26:14.077]  Everything we do.
[01:26:14.077 --> 01:26:15.238]  I mean, it's just, it's true.
[01:26:15.238 --> 01:26:16.278]  Because we're not controlled, folks.
[01:26:16.278 --> 01:26:17.799]  There's no teleprompter up here.
[01:26:17.799 --> 01:26:19.359]  I'm not getting orders from headquarters.
[01:26:19.359 --> 01:26:23.361]  I'm researching and having guests on and taking calls and just living my life.
[01:26:23.361 --> 01:26:25.342]  I'm in command.
[01:26:25.342 --> 01:26:30.724]  Just like you're in command when you don't follow what the globalists just say is the edict, how the world works.
[01:26:30.724 --> 01:26:32.285]  That's how you change the world.
[01:26:32.285 --> 01:26:33.885]  And that is so incredibly beautiful.
[01:26:33.885 --> 01:26:34.926]  Swimforswear.com.
[01:26:34.926 --> 01:26:36.546]  Okay, let's take a call right now.
[01:26:36.546 --> 01:26:37.427]  Who's up first, guys?
[01:26:37.427 --> 01:26:38.247]  Who are we saying go to first?
[01:26:44.764 --> 01:26:48.387]  Okay, let's go ahead and go to Joanna in Texas.
[01:26:48.387 --> 01:26:51.890]  You're on the air, thanks for holding.
[01:26:51.890 --> 01:27:09.203]  Hi, so I just wanted to say the local news is saying that there are no cases of coronavirus in North Texas, but we went to Medical City Dallas yesterday and first thing we noticed is the quarantine area and then later my dad was speaking to a lady who later told him that
[01:27:09.642 --> 01:27:14.384]  Her daughter is there with the coronavirus, which, you know, he about had a heart attack when he heard that.
[01:27:14.384 --> 01:27:14.704]  Oh, yeah.
[01:27:14.704 --> 01:27:19.566]  Well, look, I mean, look, I don't like cover-ups because I think they always backfire.
[01:27:19.566 --> 01:27:21.387]  But there's a giant cover-up.
[01:27:21.387 --> 01:27:23.248]  They're not putting out the testing.
[01:27:23.248 --> 01:27:24.688]  They're covering up.
[01:27:24.688 --> 01:27:25.228]  Absolutely.
[01:27:25.228 --> 01:27:28.030]  Coronavirus is all over the place.
[01:27:28.030 --> 01:27:28.370]  Right.
[01:27:28.370 --> 01:27:36.293]  And we were later told- Well, we go back, so you're up in Dallas, at least at Medical City, and your dad's told, oh, yeah, that people are in there with coronavirus.
[01:27:37.529 --> 01:27:43.990]  Yeah, we were later told that they already have 20 people there with different strains of coronavirus.
[01:27:43.990 --> 01:27:46.831]  Was that a janitor saying that or was that a nurse your dad talked to?
[01:27:46.831 --> 01:27:49.531]  Was that an authoritative source?
[01:27:49.531 --> 01:27:53.752]  Well, they've been in the ICU for about three weeks already.
[01:27:53.752 --> 01:27:56.613]  Oh wow, so your dad's in the ICU and they're telling him that.
[01:27:56.613 --> 01:27:57.953]  Wow, that's authoritative.
[01:27:57.953 --> 01:27:58.633]  Yeah.
[01:27:58.633 --> 01:28:00.013]  What did they tell him specifically?
[01:28:00.013 --> 01:28:01.013]  Let me stop interrupting.
[01:28:01.013 --> 01:28:03.154]  Hold music, please.
[01:28:03.154 --> 01:28:04.114]  What did they tell your dad?
[01:28:06.221 --> 01:28:13.150]  I mean, he was basically told by a lady that, you know, her daughter is there sick with the coronavirus.
[01:28:13.150 --> 01:28:17.635]  And then I'm assuming she's the same one who told him they already have 20 people there.
[01:28:17.635 --> 01:28:21.921]  Well, let me tell you, five weeks ago I was told by a White House source that
[01:28:22.981 --> 01:28:28.566]  They already had FEMA in place, and Seattle's the epicenter, and they were already ready, and they had already broke containment.
[01:28:28.566 --> 01:28:30.387]  So all Trump would do is try to stop panic.
[01:28:30.387 --> 01:28:32.409]  And it was, what is he supposed to do?
[01:28:32.409 --> 01:28:33.590]  I mean, it's already out.
[01:28:33.590 --> 01:28:35.031]  We just don't need to panic.
[01:28:35.031 --> 01:28:36.332]  There's nothing you can do at this point.
[01:28:36.332 --> 01:28:37.093]  I'm sorry.
[01:28:37.093 --> 01:28:40.056]  We're just going to have to roll the dice and find out how bad it is.
[01:28:40.056 --> 01:28:41.397]  I think Trump's right, actually.
[01:28:41.857 --> 01:28:43.599]  A lot of people are criticizing Trump.
[01:28:43.599 --> 01:28:51.069]  I just think he needs to be honest about the fact that it probably is really bad, and that everybody's ready for what's coming instead of panicking and losing confidence in him.
[01:28:51.069 --> 01:28:52.051]  Joni, God bless you.
[01:28:52.051 --> 01:28:53.072]  I hope your dad gets better.
[01:28:53.072 --> 01:28:56.537]  All right, I'm coming right back, and I promise I'm going bam, bam, bam to your calls.
[01:28:57.839 --> 01:28:58.860]  Everybody's calling me.
[01:28:58.860 --> 01:29:06.205]  I'm getting constant streams of text messages and phone calls and family visiting the house saying, is coronavirus really deadly?
[01:29:06.205 --> 01:29:07.646]  How bad is it really?
[01:29:07.646 --> 01:29:10.329]  So I would encourage listeners, yes, go get high quality, storable foods.
[01:29:10.329 --> 01:29:13.291]  We have the only company, the biggest in the nation that actually still has food.
[01:29:13.291 --> 01:29:16.033]  It does take five to eight weeks to get it to you because they got to package it.
[01:29:16.033 --> 01:29:16.653]  They got the food.
[01:29:16.653 --> 01:29:20.136]  But I want to encourage listeners to do the most important thing, and that's drink.
[01:29:20.236 --> 01:29:31.863]  Purified water, that's pray, that's get focused, that's not be stressed out because you're prepared, and that's get DNA Force Plus, the PQQ and CoQ10 that cleans out the mitochondria and the cells and is the biggest immune booster you can engage in.
[01:29:31.863 --> 01:29:34.244]  The X2, the X3, the foundation, everything.
[01:29:34.244 --> 01:29:35.905]  The Ultra 12, back in stock.
[01:29:35.905 --> 01:29:39.848]  Our Nano Silver, Super Silver, and Super Blue Toothpaste, it's still 50% off.
[01:29:39.848 --> 01:29:44.951]  Turmeric is known for doing a super job when it comes to cleaning out your cells.
[01:29:44.951 --> 01:29:47.713]  We have the strongest turmeric you're gonna find out there.
[01:29:47.713 --> 01:29:49.974]  95% humanoid from bodies, open tumor forming, well that's backwards
[01:29:49.974 --> 01:29:50.435]  We're good to go.
[01:29:58.757 --> 01:30:01.378]  Alex Jones here with two big announcements.
[01:30:01.378 --> 01:30:08.339]  Ultra 12 and Vitamin Mineral Fusion are both back in stock after being sold out for months.
[01:30:08.339 --> 01:30:19.221]  Vitamin Mineral Fusion is high quality vitamins, minerals, amino acids, and other key co-factors that are so good for you and your family, especially your children's bodies and your immune systems.
[01:30:19.221 --> 01:30:25.502]  Ultra 12 is the highest quality vitamin B12 taken sublingually under the tongue.
[01:30:25.502 --> 01:30:26.483]  It is back in stock.
[01:30:26.483 --> 01:30:27.923]  You can get them both individually.
[01:30:28.463 --> 01:30:35.707]  For 40% off right now and get them together as a combo for 50% off.
[01:30:35.707 --> 01:30:43.131]  This makes your life so much better when you have a good multivitamin mineral that you actually absorb and as a tasty fruit punch.
[01:30:43.131 --> 01:30:51.195]  And of course, vitamin B12 is the bedrock foundation of energy, stamina, libido, just everything.
[01:30:51.195 --> 01:30:57.298]  And they're both back in stock 40% off individually or 50% off when you get them together at InfoWareStore.com.
[01:30:59.301 --> 01:31:00.083]  Real stuff, man.
[01:31:00.083 --> 01:31:01.246]  We're talking about the real deal here.
[01:31:01.246 --> 01:31:07.021]  And I love Trump all day long, but man, I tell you, he sits there and lets these big tech people keep running roughshod over him, everybody.
[01:31:08.072 --> 01:31:09.573]  I mean, I've got a problem.
[01:31:09.573 --> 01:31:11.294]  And we'll just take the Trump rallies over.
[01:31:11.294 --> 01:31:14.536]  That said, about two months ago, I came up with a plan that I haven't launched yet.
[01:31:14.536 --> 01:31:18.939]  We have a warehouse full of hundreds of thousands of stickers.
[01:31:18.939 --> 01:31:20.179]  20 different stickers.
[01:31:20.179 --> 01:31:21.800]  Impeach the Democrats.
[01:31:21.800 --> 01:31:22.861]  Save the Second Amendment.
[01:31:22.861 --> 01:31:23.962]  Defend the First Amendment.
[01:31:23.962 --> 01:31:25.282]  Infowars.com.
[01:31:25.282 --> 01:31:27.464]  And it looks like duct tape, but it's just a regular sticker.
[01:31:27.464 --> 01:31:32.247]  You put it over your mouth, you go to a Trump rally, and you instantly take over without even disrupting things.
[01:31:32.247 --> 01:31:33.808]  People say, why are you doing this?
[01:31:33.808 --> 01:31:34.348]  What's happening?
[01:31:34.348 --> 01:31:37.870]  Well, you go, well, we're being censored, and Trump won't do anything about it.
[01:31:37.950 --> 01:31:40.111]  I spend a lot of time reminding the InfoWars family of listeners and viewers
[01:32:05.071 --> 01:32:07.199]  That without you, we won't be on the air.
[01:32:07.199 --> 01:32:08.664]  And I spent a lot of time thanking you.
[01:32:09.500 --> 01:32:16.864]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul Revere's.
[01:32:16.864 --> 01:32:24.347]  But something I should spend more time on is just reminding you that these products are really amazing.
[01:32:24.347 --> 01:32:33.172]  You've got that pledge from me, but you've seen the third party test out there, the air filtration, the water filtration, the supplements are all the very best you're going to find out there.
[01:32:33.172 --> 01:32:37.714]  And you can't fund an operation anywhere else that's fighting the globalists.
[01:32:38.632 --> 01:32:40.474]  You're listening to the Alex Jones Show!
[01:33:15.026 --> 01:33:19.469]  We got police and firefighters and military and everybody calling in.
[01:33:19.469 --> 01:33:22.451]  So I'm going to shut up now and go to your calls.
[01:33:22.451 --> 01:33:24.953]  Alex Jones here back live on this live Sunday show.
[01:33:24.953 --> 01:33:26.354]  Don't forget the weekday show is coming up tomorrow.
[01:33:26.354 --> 01:33:27.114]  11 a.m.
[01:33:27.114 --> 01:33:27.394]  Central.
[01:33:27.394 --> 01:33:28.855]  David Knight comes on before me.
[01:33:28.855 --> 01:33:29.576]  The David Knight Show.
[01:33:29.576 --> 01:33:30.176]  It's excellent.
[01:33:30.176 --> 01:33:31.037]  Very informative.
[01:33:31.037 --> 01:33:31.337]  8 a.m.
[01:33:31.337 --> 01:33:32.258]  Central.
[01:33:32.258 --> 01:33:33.098]  Infowars.com.
[01:33:33.098 --> 01:33:35.900]  Ford's last show and Bandai video.
[01:33:35.900 --> 01:33:36.961]  Craig in Washington.
[01:33:36.961 --> 01:33:37.621]  Thanks for calling.
[01:33:37.621 --> 01:33:38.062]  Go ahead, sir.
[01:33:39.626 --> 01:33:40.946]  How are you doing, Alex?
[01:33:40.946 --> 01:33:42.347]  Happy Sunday.
[01:33:42.347 --> 01:33:52.348]  Hey, I want to go down the economic path with you on this one, because, I mean, that's the one thing we know is that this is going to really mess up the economy.
[01:33:52.348 --> 01:33:54.549]  Oh, 100% they're trying to derail the recovery.
[01:33:54.549 --> 01:33:56.529]  It's a trade war deal.
[01:33:56.529 --> 01:34:04.611]  100% supply chain's already cut off, which should be a good thing if we just belly up to it and become sufficient like Russia's done, because sanctions made Russia stronger in some ways.
[01:34:04.611 --> 01:34:05.411]  What do you think's going to happen?
[01:34:06.536 --> 01:34:08.921]  You know, I've got a saying right now is...
[01:34:10.143 --> 01:34:13.745]  The interest payments don't stop because of a virus.
[01:34:13.745 --> 01:34:15.266]  There's no vaccine for that.
[01:34:15.266 --> 01:34:22.111]  So when people aren't showing up at restaurants and people aren't going to work, interest is still going ahead.
[01:34:22.111 --> 01:34:27.575]  And as you know, this is the world record in the history of man for debt.
[01:34:27.575 --> 01:34:28.575]  No, you're right.
[01:34:28.575 --> 01:34:33.158]  A lot of people, a lot of smart folks are saying this is a globalist reset.
[01:34:33.158 --> 01:34:37.742]  So they save face on imploding the economy and then re-monetizing everything.
[01:34:37.742 --> 01:34:38.182]  What do you think?
[01:34:38.954 --> 01:34:39.955]  I think exactly that.
