[00:00:29.155 --> 00:00:29.956]  We the people.
[01:23:21.698 --> 01:23:28.042]  Exactly, because you go panic like everybody else does, but you're not getting involved to stop the giant wave of corruption.
[01:23:28.102 --> 01:23:33.206]  In closing, Shamae, I know she's a big part of your hit TV show and really amazing, just as smart as you are.
[01:23:33.246 --> 01:23:35.807]  Smarter when I've gotten to talk to her on the phone and at your house and stuff.
[01:23:36.247 --> 01:23:39.009]  Please, as soon as you guys want, drive down to Austin.
[01:23:39.049 --> 01:23:42.892]  We'll come up, interview you guys about the new book that she's got out.
[01:23:42.932 --> 01:23:44.533]  Tell us about the new book about lifestyle.
[01:23:45.196 --> 01:23:45.576]  You got it.
[01:23:45.616 --> 01:23:45.976]  What you mean?
[01:23:45.996 --> 01:23:58.401]  She's written a wonderful new book and she's literally, if you go on her Facebook or her Instagram, the social media, but I want to thank everybody because boy, talking about positive spirit and funny and smart and engaged.
[01:23:58.721 --> 01:24:03.323]  Man, if everybody in America was like the average Ted Nugent Facebooker,
[01:24:03.843 --> 01:24:12.710]  Comey would be in jail, Susan Rice would be in jail, Lois Lear would be in jail, Hillary Clinton would be in jail, Eric Holder would be in jail, and Barack Obama would be in jail!
[01:24:12.910 --> 01:24:16.052]  Because they're all liars and they did way worse crimes than Roger Stone!
[01:24:16.292 --> 01:24:18.694]  Anybody wants to argue with that, give it a shot!
[01:24:19.107 --> 01:24:21.728]  Well, that's it, because it's not just apathy.
[01:24:21.788 --> 01:24:25.429]  People don't mind having their territory, their freedom overrun.
[01:24:25.529 --> 01:24:29.670]  And when people see a Ted Nugent who's got a lot of energy, or an Alex Jones with a lot of energy, they say, these guys are crazy.
[01:24:29.710 --> 01:24:32.311]  No, this is what everybody was like 100 years ago, folks.
[01:24:32.671 --> 01:24:33.791]  And this is what America's all about.
[01:24:33.871 --> 01:24:34.732]  It's not backing down.
[01:24:34.792 --> 01:24:35.792]  And it's that spirit.
[01:24:36.192 --> 01:24:37.433]  Alex Jones, truth, logic and common sense.
[01:24:37.453 --> 01:24:37.853]  Forever.
[01:24:38.054 --> 01:24:38.434]  Godspeed, man.
[01:25:01.440 --> 01:25:11.387]  Speaking of apathy, this little clip from Viva Vendetta, I think, lays out what we're dealing with, and we'll go to break, and I'll come back, and we'll look at how they're trying to put yours truly behind bars.
[01:25:15.530 --> 01:25:18.212]  There are, of course, those who do not want us to speak.
[01:25:18.712 --> 01:25:24.757]  As a matter of fact, even now, orders are being shouted into telephones, and men with guns will soon be on their way.
[01:25:24.777 --> 01:25:25.377]  It's Chancellor Settler.
[01:25:26.098 --> 01:25:26.698]  Damn it!
[01:25:26.778 --> 01:25:27.118]  Why?
[01:25:27.819 --> 01:25:30.601]  Because while the truncheon may be used in lieu of conversation,
[01:25:31.361 --> 01:25:33.703]  Words will always retain their power.
[01:25:34.184 --> 01:25:40.169]  Words are for the means to meaning, and for those who will listen, the enunciation of truth.
[01:25:40.209 --> 01:25:44.653]  And the truth is, there is something terribly wrong with this country, isn't there?
[01:25:44.673 --> 01:25:45.613]  You decided, sir.
[01:25:45.673 --> 01:25:46.574]  You wanted it foolproof.
[01:25:46.594 --> 01:25:47.935]  You told me every television in London!
[01:25:48.196 --> 01:25:49.717]  Cruelty and injustice.
[01:25:50.157 --> 01:25:50.597]  Cameras.
[01:25:50.617 --> 01:25:51.338]  We need cameras.
[01:26:16.886 --> 01:26:18.307]  I know why you did it.
[01:26:18.808 --> 01:26:19.849]  I know you were afraid.
[01:26:19.869 --> 01:26:21.971]  Who wouldn't be?
[01:26:21.991 --> 01:26:22.051]  War?
[01:26:22.211 --> 01:26:22.772]  Terror?
[01:26:22.832 --> 01:26:23.452]  Disease?
[01:26:23.472 --> 01:26:29.738]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:26:30.359 --> 01:26:35.984]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Suttler.
[01:26:36.544 --> 01:26:42.490]  He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[01:26:44.537 --> 01:27:05.298]  InfoWars, our guest, our researchers have been dead on in the last six weeks chronicling the coronavirus and its trajectory to create hysteria and fear to then be blamed on President Trump and our national recovery as well as other nationalist patriot leaders around the world.
[01:27:05.999 --> 01:27:09.344]  We first broke that it was a man-made virus, now confirmed.
[01:27:09.644 --> 01:27:12.869]  We first broke that China was pressuring the U.N.
[01:27:12.909 --> 01:27:16.414]  and Trump to let their people keep flying into the U.S.
[01:27:16.795 --> 01:27:21.882]  while telling South Korea, Japan, and Russia to close their borders and not let people in.
[01:27:22.623 --> 01:27:38.649]  China purposely launched this, incubated it in their own population, used it as a geopolitical economic reset over their economy and as a way to oppress the Taiwanese rebellion and a mainland rebellion that was taking place.
[01:27:39.049 --> 01:27:42.691]  They had all the means and the motive and the will to do it.
[01:27:43.231 --> 01:27:47.555]  They're the country that killed over 400 million of their own children, most of them girls.
[01:27:48.076 --> 01:27:52.600]  Mao Zedong said they wanted a nuclear war to reduce their population.
[01:27:52.980 --> 01:27:55.182]  So they have used their people as incubators.
[01:27:56.283 --> 01:27:57.384]  That's collateral damage.
[01:27:57.464 --> 01:28:00.908]  With this virus they bought on record from Obama in 2015.
[01:28:01.328 --> 01:28:03.991]  It was a big scandal and they have released it.
[01:28:04.151 --> 01:28:04.971]  It does kill.
[01:28:06.346 --> 01:28:10.728]  A large percentage of people compared to the flu that kills less than one-tenth of one percent.
[01:28:11.048 --> 01:28:14.130]  The high number's two percent, the low number's maybe half a percent.
[01:28:14.250 --> 01:28:16.170]  It's still very, very serious.
[01:28:16.251 --> 01:28:30.537]  But the whole response to it, and the media hyping it like the end of the world, and then blaming Trump, saying he's done nothing, when that very same media a month ago said he'd better keep our borders open and keep those flights from Asia coming in.
[01:28:30.937 --> 01:28:32.338]  The virus is clearly man-made.
[01:28:32.778 --> 01:28:33.719]  It kills people.
[01:28:33.759 --> 01:28:35.600]  People should be worried about it.
[01:28:50.328 --> 01:29:15.597]  And the idea that we're going to totally shut down all of society, that's being used to create a crisis to kill the economy, which Bill Maher and the Democrats on CNN and MSNBC have been salivating over for the last three years, saying if they could crash the economy and even hurt their own 401ks, it would be worth it to bring down President Trump and this nationalist takeover.
[01:29:15.978 --> 01:29:16.718]  Because in a war,
[01:29:17.338 --> 01:29:18.879]  You hit your enemy with artillery.
[01:29:18.919 --> 01:29:19.680]  You destroy them.
[01:29:19.980 --> 01:29:25.365]  Even though you're going to be taking that area over, it's something you're willing to do so you can conquer.
[01:29:25.826 --> 01:29:28.208]  And this is economic and psychological war.
[01:29:28.648 --> 01:29:30.590]  So President Trump has a balancing act.
[01:29:31.937 --> 01:29:39.840]  He's now got a deal with of preparing for it, dealing with it, finding out how serious it really is without destroying the economy and collapsing the U.S.
[01:29:39.880 --> 01:29:41.481]  dollar, which is the globalist plan.
[01:29:41.981 --> 01:29:43.922]  This is the move against America.
[01:29:44.302 --> 01:29:48.124]  This is the third wave of the globalists trying to remove the president.
[01:29:48.384 --> 01:29:52.566]  It began instantly after the fake impeachment failed.
[01:29:52.886 --> 01:29:54.146]  Roosevelt, when the U.S.
[01:29:54.287 --> 01:29:57.068]  entered World War II after Pearl Harbor, said something that was very true.
[01:29:57.908 --> 01:30:01.889]  The only thing we have to fear is fear itself and lack of action.
[01:30:02.469 --> 01:30:11.912]  Well now, in 2020, the only thing you need to fear is you not understanding that you are the solution, you are the resistance, you are the victory.
[01:30:12.372 --> 01:30:24.376]  And the only fear is that you don't spread the word about InfoWars.com and the live feeds and override the censors and that you don't get prepared and get high quality products that boost your immune system at lowered prices right now during the crisis at InfoWars.com.
[01:30:25.276 --> 01:30:35.492]  We're all in this together, so let's spread the word, let's fund the Info War, let's pray to God, and let's take action, and let the Chi-Coms and the Globalists know we're aware of their plot, and they're gonna fail again!
