[00:00:13.725 --> 00:00:15.045]  Oh, I'm sorry.
[03:21:32.193 --> 03:21:37.299]  Especially since Amazon bans many natural supplements and natural products.
[03:21:37.299 --> 03:21:42.204]  They will not let us sell through their FBA program, which is fulfilled by Amazon.
[03:21:42.204 --> 03:21:52.556]  They won't let us sell many things, even glutathione, for example, which is really important for liver detox and helping your body detox pharmaceuticals and heavy metals and things like that.
[03:21:53.652 --> 03:22:01.698]  So Amazon's going to be sort of the last monopoly retail giant in a world of collapse and a world of homelessness.
[03:22:01.698 --> 03:22:04.439]  We're going to see many people losing their homes over this sadly.
[03:22:04.439 --> 03:22:07.842]  We're going to see the homeless population spike all over the country.
[03:22:07.842 --> 03:22:12.845]  And we're going to see homeless people in small towns that we used to only see in cities.
[03:22:12.845 --> 03:22:15.947]  And of course we're going to see people fleeing the cities as well.
[03:22:15.947 --> 03:22:16.508]  That's already begun.
[03:22:17.523 --> 03:22:21.146]  So the economic impacts of this are enormous.
[03:22:21.146 --> 03:22:26.489]  Now, it's worth pointing out that the virus did not cause these economic impacts.
[03:22:26.489 --> 03:22:37.377]  The virus merely initiated this failed system that has been put in place where the can has been kicked down the road since the 2001 dot-com crash and the 2008 subprime mortgage crash.
[03:22:37.377 --> 03:22:40.219]  Instead of fixing the structural problems in the economic system,
[03:22:40.819 --> 03:22:44.821]  The Fed, under different presidents, has just bailed out everything.
[03:22:44.821 --> 03:22:48.603]  That's why that song, I Want My Bailout Money, it's just bailing everything out.
[03:22:48.603 --> 03:23:02.891]  Well that doesn't fix the problems, and it doesn't eliminate the bad decisions in the system that lead to this situation where everybody is highly leveraged, nobody's got any backup money, nobody has any savings, nobody has any redundancy or resiliency in the system.
[03:23:02.891 --> 03:23:03.652]  So instead of letting
[03:23:04.412 --> 03:23:06.734]  Companies that make bad decisions fail.
[03:23:06.734 --> 03:23:08.635]  We're now going to have more bailouts.
[03:23:08.635 --> 03:23:13.638]  Now trillions of dollars of bailouts by creating new money, which is really new debt.
[03:23:13.638 --> 03:23:18.041]  So all of these trillions, people think, well, the government can create money for free.
[03:23:18.041 --> 03:23:19.042]  That's not the case.
[03:23:19.042 --> 03:23:22.864]  That's coming out of your pockets, folks, your pockets as a taxpayer.
[03:23:22.864 --> 03:23:34.072]  You're the one doing the bailouts of the rich, wealthy corporations and the corporate executives who are being selected to survive this, while others who are not so lucky, who are not being selected, are being allowed to fail.
[03:23:35.153 --> 03:23:39.557]  And thus, we have no functioning system, no free market anymore.
[03:23:39.557 --> 03:23:44.141]  We have no reward for being correct, no reward for saving money.
[03:23:44.141 --> 03:23:54.249]  You are punished for saving money because your savings are about to become less and less valuable as the government prints new money to have helicopter handouts to the whole country.
[03:23:54.249 --> 03:23:56.752]  You can always count on the government to do the wrong thing.
[03:23:57.455 --> 03:23:58.416]  And they're doing it yet again.
[03:23:58.416 --> 03:24:00.337]  This is the wrong thing.
[03:24:00.337 --> 03:24:02.099]  And let me give you an example of that.
[03:24:02.099 --> 03:24:12.547]  Right now, I had a supplier out of Hong Kong contact me and say they've got the ability to manufacture 100,000 N95 masks per week.
[03:24:12.547 --> 03:24:17.291]  And they wanted to know if we wanted to import those masks and then retail them in America.
[03:24:18.257 --> 03:24:25.709]  And I think they even quoted me a price of $1.28 per mask, which seems higher than usual, but of course, there's a lot of demand right now.
[03:24:25.709 --> 03:24:30.076]  And they were telling me, well, you could sell these in America for $5 a mask or more, $6 a mask.
[03:24:33.080 --> 03:24:38.123]  You know, so they're saying, oh, you can make half a million dollars a week by selling these masks in America.
[03:24:38.123 --> 03:24:40.284]  And I told them, no, I'm not interested.
[03:24:40.284 --> 03:24:41.385]  You know why?
[03:24:41.385 --> 03:24:49.670]  Because anybody selling N95 masks in America today is accused of profiteering off of the pandemic.
[03:24:49.670 --> 03:24:58.275]  And you can be raided at gunpoint because the president signed the executive order that says, oh, hoarders are going to be, they're going to have a knock on their door.
[03:24:58.835 --> 03:25:00.256]  You're going to be raided at gunpoint.
[03:25:00.256 --> 03:25:03.857]  You're going to have your inventory confiscated by the federal government.
[03:25:03.857 --> 03:25:17.682]  So even when free market forces attempt to import masks and distribute masks or sell them even at a more fair price, I don't know, $1.99 a mask or something, you would still be accused of being a profiteer.
[03:25:17.682 --> 03:25:19.162]  You would be raided at gunpoint.
[03:25:19.162 --> 03:25:21.043]  You would be maybe arrested, maybe fined.
[03:25:21.043 --> 03:25:23.544]  Maybe the DOJ comes after you and shuts you down.
[03:25:24.324 --> 03:25:26.485]  That's what the government is doing right now.
[03:25:26.485 --> 03:25:37.892]  Which is why those of us, like myself and Alex Jones, we've built businesses, we've built distribution hubs, we've built these things that work in the private market, in free enterprise.
[03:25:37.892 --> 03:25:48.018]  We are the ones who are refusing to handle those now high-risk items, even though we could theoretically assist society in getting more masks into the hands of people who need them.
[03:25:48.638 --> 03:25:52.421]  But we won't do that because the government is threatening all of us.
[03:25:52.421 --> 03:25:56.424]  Threatening us with arrests and gunpoint raids and DOJ prosecutions.
[03:25:56.424 --> 03:26:00.628]  So that's how government is blocking the supply of N95 masks.
[03:26:00.628 --> 03:26:05.011]  The government is making the situation worse with these anti-hoarding laws.
[03:26:05.011 --> 03:26:07.554]  And there's no telling where that's going to expand to, by the way.
[03:26:08.479 --> 03:26:12.541]  You know, today it's, oh, if you have medical masks, you're a, quote, hoarder.
[03:26:12.541 --> 03:26:15.503]  Which, by the way, the government is the biggest hoarder of all.
[03:26:15.503 --> 03:26:23.827]  Look at their underground caves, ten years of supplies of ammunition and medical gear and, you know, antibiotics and communications and firearms and everything else.
[03:26:23.827 --> 03:26:32.112]  But apparently they didn't have enough N95 masks in the caves underground, so now they have to go steal it from the businesses that are trying to sell those supplies.
[03:26:32.552 --> 03:26:33.693]  That's insane!
[03:26:33.693 --> 03:26:37.056]  That is the opposite of a free market, and that's what's happening in America now.
[03:26:37.056 --> 03:26:39.498]  That's why my focus today is on economics.
[03:26:39.498 --> 03:26:46.224]  We're seeing a collapse of the free market, and the rise of a communist, centrally controlled economy.
[03:26:46.224 --> 03:26:49.466]  Under a Republican president, for God's sake!
[03:26:49.466 --> 03:26:53.990]  Under a Republican president, we're having a communist, centrally planned government.
[03:26:53.990 --> 03:26:58.213]  And it's wrong, and it's dangerous, and it will have inefficiencies in the system.
[03:26:59.033 --> 03:27:01.694]  And Trump should let the free market work on this.
[03:27:01.694 --> 03:27:03.616]  Let me give you another example.
[03:27:03.616 --> 03:27:12.060]  I, in my ranch, I have thousands of pounds of organic oats and organic almonds and camu camu and things like that.
[03:27:12.060 --> 03:27:16.743]  Goods that expired six months ago that I could not sell in my own store.
[03:27:16.743 --> 03:27:18.824]  The FDA won't let me sell them.
[03:27:18.824 --> 03:27:22.326]  So I've been feeding oats to my donkeys and my goats
[03:27:23.166 --> 03:27:28.372]  Because I can't legally sell these to people who might be starving soon across America.
[03:27:28.372 --> 03:27:36.160]  I'm literally sitting on thousands of pounds of oats and almonds and other foods, which is insane, but I can't sell them without being arrested and fined.
[03:27:36.160 --> 03:27:41.907]  Why isn't there some kind of executive order to say, hey, if you're sitting on good food, make it available to the public.
[03:27:42.392 --> 03:27:43.953]  I'll sell it at cost.
[03:27:43.953 --> 03:27:44.993]  I don't need to make any money.
[03:27:44.993 --> 03:27:46.534]  I'd rather help people.
[03:27:46.534 --> 03:27:53.618]  And yeah, I'm going to donate a lot of it to local churches and things like that, but did you know that food banks won't even accept expired food?
[03:27:53.618 --> 03:27:59.461]  And I'm going to have to convince the churches to take the food because normally they won't accept so-called expired food.
[03:27:59.461 --> 03:28:01.923]  So I'm eating oatmeal and almonds
[03:28:02.863 --> 03:28:13.351]  You know, I'm going to be eating my way through the apocalypse on expired foods that are perfectly good while the government would threaten me with arrests and fines if I try to make that food available to others.
[03:28:13.351 --> 03:28:14.732]  This is insanity.
[03:28:14.732 --> 03:28:16.394]  The market is not being allowed to work.
[03:28:17.495 --> 03:28:21.857]  Yeah, I'll barter food with neighbors and friends and things like that.
[03:28:21.857 --> 03:28:24.418]  The underground market, that's the only way I can do this.
[03:28:24.418 --> 03:28:30.140]  And if they want to come arrest me for bartering oatmeal with my neighbors, then go for it.
[03:28:30.140 --> 03:28:35.863]  I'm trying to help people stay fed and stay alive and get through this, and the government is in the way.
[03:28:35.863 --> 03:28:38.444]  The government's doing the wrong thing at every opportunity.
[03:28:38.444 --> 03:28:43.366]  The government's going to get people killed with these bad ideas and bad economics and bad finance.
[03:28:43.846 --> 03:28:44.887]  We need to get through this.
[03:28:44.887 --> 03:28:45.367]  Stay with us.
[03:28:45.367 --> 03:28:46.849]  Mike Adams here on the Alex Jones Show.
[03:28:46.849 --> 03:28:52.254]  We'll be back with much more.
[03:28:52.254 --> 03:28:58.380]  Get healthy, not high, with 100% pure CBD, powerful natural pain relief from Veterans Vitality.
[03:28:58.380 --> 03:29:02.183]  GCN listeners, have you ever thought about how CBD may help you?
[03:29:02.183 --> 03:29:04.805]  I'm sure you have heard about the many benefits of CBD.
[03:29:04.805 --> 03:29:07.268]  Well, here's your opportunity to try before you buy.
[03:29:07.588 --> 03:29:08.268]  We're good to go.
[03:29:08.268 --> 03:29:08.969]  We're good to go.
[03:29:08.969 --> 03:29:09.669]  We're good to go.
[03:29:09.669 --> 03:29:10.389]  We're good to go.
[03:29:10.389 --> 03:29:11.089]  We're good to go.
[03:29:11.089 --> 03:29:11.489]  We're good to go.
[03:29:11.489 --> 03:29:11.990]  We're good to go.
[03:29:11.990 --> 03:29:12.470]  We're good to go.
[03:29:12.470 --> 03:29:13.290]  We're good to go.
[03:29:13.290 --> 03:29:14.150]  We're good to go.
[03:29:14.150 --> 03:29:15.011]  We're good to go.
[03:29:15.011 --> 03:29:15.751]  We're good to go.
[03:29:15.751 --> 03:29:16.491]  We're good to go.
[03:29:16.491 --> 03:29:17.052]  We're good to go.
[03:29:17.052 --> 03:29:17.672]  We're good to go.
[03:29:17.672 --> 03:29:18.372]  We're good to go.
[03:29:18.372 --> 03:29:18.852]  We're good to go.
[03:29:18.852 --> 03:29:19.352]  We're good to go.
[03:29:19.352 --> 03:29:20.213]  We're good to go.
[03:29:20.213 --> 03:29:20.653]  We're good to go.
[03:29:20.653 --> 03:29:21.313]  We're good to go.
[03:29:21.313 --> 03:29:22.013]  We're good to go.
[03:29:22.013 --> 03:29:22.574]  We're good to go.
[03:29:22.574 --> 03:29:23.054]  We're good to go.
[03:29:23.054 --> 03:29:23.754]  We're good to go.
[03:29:23.754 --> 03:29:24.214]  We're good to go.
[03:29:24.214 --> 03:29:24.694]  We're good to go.
[03:29:24.694 --> 03:29:25.275]  We're good to go.
[03:29:25.275 --> 03:29:25.855]  We're good to go.
[03:29:25.855 --> 03:29:26.695]  We're good to go.
[03:29:26.695 --> 03:29:27.395]  We're good to go.
[03:29:27.395 --> 03:29:28.256]  We're good to go.
[03:29:28.256 --> 03:29:29.056]  We're good to go.
[03:29:29.056 --> 03:29:29.756]  We're good to go.
[03:29:29.756 --> 03:29:30.376]  We're good to go.
[03:29:30.376 --> 03:29:30.857]  We're good to go.
[03:29:30.857 --> 03:29:31.557]  We're good to go.
[03:29:31.557 --> 03:29:31.777]  We're
[03:29:32.017 --> 03:29:35.478]  They are safe, non-addictive, effective, and 100% legal.
[03:29:35.478 --> 03:29:43.120]  GCN listeners, get your free trial bottle of premium CBD by simply paying shipping and handling at GCNFreeCBD.com.
[03:29:43.120 --> 03:29:45.581]  That's GCNFreeCBD.com.
[03:29:45.581 --> 03:29:48.201]  Again, GCNFreeCBD.com.
[03:29:48.201 --> 03:29:50.402]  Offered by Veterans Vitality Premium CBD.
[03:29:54.349 --> 03:30:04.372]  We've known for over a decade that big tech is totally anti-American and wants to bring in a one world government currency, a Chinese communist social score to control every facet of our lives.
[03:30:04.372 --> 03:30:05.713]  But now it's here.
[03:30:05.713 --> 03:30:11.195]  They are using this coronavirus lockdown to tell all these shops and stores do not accept cash.
[03:30:11.195 --> 03:30:16.937]  And now they're announcing all over the country they're going to stop accepting cash and only certain businesses can stay open.
[03:30:16.937 --> 03:30:20.798]  Well, what do you do next to put the final nail in the coffin and launch the mark of the beast?
[03:30:21.278 --> 03:30:26.063]  House stimulus bill envisions digital dollar to ease coronavirus recession.
[03:30:26.063 --> 03:30:29.026]  Only stores that are allowed to be open can accept it.
[03:30:29.026 --> 03:30:34.171]  Evil patriots and people, of course, can't use it and attracts everything you do.
[03:30:34.171 --> 03:30:35.352]  So there it is, folks.
[03:30:35.352 --> 03:30:36.553]  Mark of the Beast.
[03:30:36.553 --> 03:30:40.898]  Global digital currency all being rolled out in this hysteria.
[03:30:41.198 --> 03:30:48.701]  And a lot of people are buying into it, so you've just greenlit the globalists absolutely taking control of your lives.
[03:30:48.701 --> 03:30:51.043]  But InfoWars predicted it all from the very start.
[03:30:51.043 --> 03:30:53.444]  That's where tomorrow's news today.
[03:30:53.444 --> 03:31:02.728]  You have to look really hard at mainstream television news and print media and mainstream establishment media news sites to find it.
[03:31:03.695 --> 03:31:07.316]  I did extensive searches online with different search engines.
[03:31:07.316 --> 03:31:18.300]  I did a bunch of research looking at different TV archives and I couldn't find hardly anything except a couple local news stories with medical doctors on there talking about zinc.
[03:31:18.960 --> 03:31:19.801]  Zinc.
[03:31:19.801 --> 03:31:20.661]  Zinc.
[03:31:20.661 --> 03:31:25.485]  The element on the periodic table that is essential to life.
[03:31:25.485 --> 03:31:39.235]  And that is the most anti-viral natural compound out there in thousands and thousands of studies by the most prestigious universities, including big studies on the coronavirus family.
[03:31:39.935 --> 03:31:41.637]  So, do yourself a favor.
[03:31:41.637 --> 03:31:45.821]  Search engine, zinc and antiviral.
[03:31:45.821 --> 03:31:46.522]  Three words.
[03:31:46.522 --> 03:31:48.664]  Zinc, antiviral.
[03:31:48.664 --> 03:31:50.106]  Zinc, antiviral.
[03:31:50.106 --> 03:31:51.107]  Do yourself a favor.
[03:31:51.107 --> 03:31:52.268]  Zinc, antiviral.
[03:31:53.934 --> 03:32:09.079]  I made four police state films more than a decade ago, specifically warning of the plan to suspend habeas corpus, the right to even have access to a court, the right to not be secretly arrested and secretly disappeared.
[03:32:09.079 --> 03:32:13.400]  And I warned the Patriot Act they claimed was for terrorists was really for the American people.
[03:32:13.400 --> 03:32:15.240]  Well, now they admit it is.
[03:32:15.240 --> 03:32:23.283]  And bipartisanly, the Justice Department is now openly seeking to arrest and disappear Americans whenever they want.
[03:32:24.019 --> 03:32:31.223]  Under the guise of coronavirus, but they just say during the emergency, it'll be for every other crime you can imagine.
[03:32:31.223 --> 03:32:37.266]  It's the cherry on top of a nice big fudge sundae called Marshall Law.
[03:32:37.266 --> 03:32:38.867]  Oh, and the sprinkles on it?
[03:32:38.867 --> 03:32:41.628]  It's the big Great Depression everybody's gonna have.
[03:32:41.628 --> 03:32:44.370]  So folks that are all excited that you're getting time off work?
[03:32:44.370 --> 03:32:50.673]  Oh, you're gonna get time off from your whole future, your family, your health, and forced inoculations, and gun confiscation.
[03:32:55.876 --> 03:33:07.283]  You're listening to the Alex Jones Show.
[03:33:07.283 --> 03:33:09.684]  Waging war on corruption.
[03:33:09.684 --> 03:33:13.587]  It's Alex Jones with Mike Adams.
[03:33:16.912 --> 03:33:29.224]  All right, we're going to talk about some of the numbers and some of the risk factors and maybe some things that you can do to protect yourself as America gets into the more accelerated phase of the spread of this.
[03:33:29.224 --> 03:33:32.547]  But on a personal note and a little bit of humor here, you know...
[03:33:33.368 --> 03:33:38.231]  If you're looking at my appearance, yes, my hair is getting crazy long.
[03:33:38.231 --> 03:33:39.992]  Obviously, I can't go get a haircut.
[03:33:39.992 --> 03:33:46.617]  And if this continues, I'm going to end up with a mullet like John from Hall & Oates from the 1980s.
[03:33:46.617 --> 03:33:52.140]  So, you know, we'll be sporting some real interesting hairdos probably pretty soon, but whatever.
[03:33:52.140 --> 03:33:54.702]  That's just the nature of where we are.
[03:33:55.442 --> 03:34:01.705]  And, you know, I've been self-quarantined for some time now, and I'm growing food, and I'm hatching baby chicks.
[03:34:01.705 --> 03:34:13.770]  I've got, I think, now like 25 eggs in the incubator, hoping to hatch a few dozen baby chicks, and later this year I'll have free-range eggs.
[03:34:13.770 --> 03:34:20.933]  So I've stocked up on chicken feed, and I'm planting potatoes, which is a little late in the season for Texas, but whatever.
[03:34:21.993 --> 03:34:28.598]  I encourage you to not only get stored food, as Alex mentioned earlier, but also start thinking about growing your own food.
[03:34:28.598 --> 03:34:34.403]  Because that's really what's going to sustain you long term if the food supply shortages continue to crater.
[03:34:34.403 --> 03:34:39.667]  And it's really a question of how much food can make it to store shelves in the months ahead.
[03:34:39.667 --> 03:34:44.270]  I've warned people just in case, be prepared for not just six months, but maybe a year.
[03:34:45.131 --> 03:34:51.213]  Once you go beyond about six months or a year, that's when you need to get into garden seeds and growing some food and planting some things.
[03:34:51.213 --> 03:34:59.615]  You can plant onions and garlic and you can grow berries and even kumquats and pomegranates and all kinds of things in many areas across the country.
[03:34:59.615 --> 03:35:01.116]  So it's a good idea to do that.
[03:35:02.116 --> 03:35:07.018]  And also those fruits that I mentioned, which are sounding very delicious right now, actually.
[03:35:07.018 --> 03:35:10.780]  They contain vitamin C, so they actually have nutrients.
[03:35:10.780 --> 03:35:17.563]  And like the peel of kumquats, which are little small, like citrus, small oranges, basically, and you eat the peeling.
[03:35:17.563 --> 03:35:21.364]  And that is very antiviral, by the way.
[03:35:21.364 --> 03:35:25.026]  So you can grow medicine at the same time that you're growing your food.
[03:35:25.026 --> 03:35:27.807]  And I strongly encourage you to do that.
[03:35:27.807 --> 03:35:28.988]  A couple of things to mention here.
[03:35:30.014 --> 03:35:50.700]  I got a tip this morning, I can't yet tell you the city, because I'm sworn to silence on that, but I'm getting tips that the reefer trucks, the reefer truck manufacturers are getting hit with massive orders for trucks, reefer trucks to be able to transport dead bodies in America.
[03:35:51.560 --> 03:35:55.523]  Because there's an anticipation of a lot more dead.
[03:35:55.523 --> 03:36:00.846]  It's over 100 dead per day now in America and that number continues to rise exponentially.
[03:36:00.846 --> 03:36:07.470]  I remember it was about a month ago when I was in studio with Alex and I said that if you look at the numbers we'll have about 580 deaths on April 4th.
[03:36:11.031 --> 03:36:16.296]  And I remember that specifically because I remember getting calls and texts from people who said, that's impossible.
[03:36:16.296 --> 03:36:19.560]  We're never going to have 500 people die in America from this.
[03:36:19.560 --> 03:36:22.343]  This is going to be over in two or three weeks.
[03:36:22.343 --> 03:36:25.486]  Well, we hit 580 deaths, I think, two days ago.
[03:36:25.486 --> 03:36:28.889]  So my model was wrong in the sense that it was late.
[03:36:28.889 --> 03:36:30.511]  It was too optimistic.
[03:36:31.835 --> 03:36:42.082]  And depending on where this goes, I'm convinced we're going to see tens of thousands of dead people in America, mostly in the liberal cities, by the way, New York City, San Francisco, Los Angeles.
[03:36:42.082 --> 03:36:49.447]  But also, we're not going to escape this in places like Texas, in the cities, Houston, San Antonio, Austin, and Dallas-Fort Worth.
[03:36:50.827 --> 03:36:55.689]  It's earlier in Texas and the Midwest and Arizona and Florida.
[03:36:55.689 --> 03:37:03.172]  It's earlier in the curve, but within two or three or maybe four weeks, we're going to be closer to where New York City is right now.
[03:37:03.172 --> 03:37:06.453]  And New York City is just about out of morgue space.
[03:37:07.273 --> 03:37:11.394]  That's on drudge right now, that New York City is running out of space for dead bodies.
[03:37:11.394 --> 03:37:17.795]  And as a result, I think that's why these orders are going in for the trucks, the reefer trucks, to transport dead bodies.
[03:37:17.795 --> 03:37:21.075]  Now, I don't know where they're transporting them to.
[03:37:21.075 --> 03:37:22.536]  There's a question for you.
[03:37:22.536 --> 03:37:25.916]  Is it going to be some kind of mass grave thing?
[03:37:25.916 --> 03:37:27.517]  That doesn't make sense if they're infected.
[03:37:27.517 --> 03:37:33.498]  So you've got to start thinking about mass cremations, which gets into kind of the China scenario, right?
[03:37:33.498 --> 03:37:35.858]  The big mobile cremation containers.
[03:37:37.031 --> 03:37:39.835]  But let's get to what you can do to help protect yourself.
[03:37:39.835 --> 03:37:49.109]  The number one, this is interesting, the number one comorbidity factor that was found in I think 76% of patients who died from coronavirus was...
[03:37:50.262 --> 03:37:50.602]  I don't
[03:38:10.063 --> 03:38:10.844]  But here's a question.
[03:38:10.844 --> 03:38:12.845]  I did the research on this.
[03:38:12.845 --> 03:38:17.589]  The American Heart Association says that 100 million Americans have high blood pressure.
[03:38:17.589 --> 03:38:22.552]  That's roughly a little bit under one-third of the population of the country.
[03:38:22.552 --> 03:38:28.637]  And since that is predominantly in adults, not children, it's more than one-third of adults have high blood pressure.
[03:38:28.637 --> 03:38:32.820]  And most of those adults are controlling their high blood pressure using blood pressure medications.
[03:38:34.164 --> 03:38:47.998]  And the question is, does the medication, which artificially lowers your blood pressure, does that offer any protection from coronavirus fatalities, or does the medication make the fatalities worse?
[03:38:47.998 --> 03:38:51.562]  And right now, we don't have any data on that, so it could be either way.
[03:38:51.562 --> 03:38:53.264]  We honestly don't know yet.
[03:38:53.264 --> 03:38:54.805]  But if you have high blood pressure,
[03:38:55.626 --> 03:38:59.129]  Then there are some things that you can do right now.
[03:38:59.129 --> 03:39:06.594]  You can, of course, reduce your intake of sodium, which, by the way, is very high in storable foods and canned soups.
[03:39:06.594 --> 03:39:09.216]  A lot of people are buying Campbell's soups off the shelf.
[03:39:09.216 --> 03:39:10.757]  Well, they're loaded with sodium.
[03:39:10.757 --> 03:39:14.920]  Some of those soups have, what, 800 milligrams of sodium in a can or more.
[03:39:16.153 --> 03:39:21.775]  A lot of the stored snack chips and so on have very high sodium, which can inflate blood pressure.
[03:39:21.775 --> 03:39:26.057]  So you would want to avoid those things if you're in this category of having high blood pressure.
[03:39:26.057 --> 03:39:34.460]  And there are also foods that you can eat that lower blood pressure, such as watermelons and cucumbers and basically celery, fresh fruits and vegetables, all the things that you might imagine.
[03:39:34.460 --> 03:39:40.522]  Eating healthy can literally save your life in the sense of reducing your risk of dying from the coronavirus.
[03:39:40.522 --> 03:39:44.404]  The other thing that came out of that same study, which is good news for all of us, is that
[03:39:45.763 --> 03:39:52.551]  Fewer than 1% of those who died from coronavirus had no comorbidity factors.
[03:39:52.551 --> 03:39:59.599]  In other words, perfectly healthy people who did not have heart disease, did not have diabetes, did not have strokes, did not have underlying conditions,
[03:40:00.819 --> 03:40:04.201]  They did not die in big numbers at all.
[03:40:04.201 --> 03:40:12.146]  So healthy people, even though they may go into serious medical conditions, they may have permanent lung damage, they still survived and pulled through.
[03:40:12.146 --> 03:40:20.571]  Almost everybody who died, over 99% of those who died, had some other risk factor, such as diabetes and the things I just mentioned.
[03:40:20.571 --> 03:40:21.872]  But in America today,
[03:40:22.975 --> 03:40:26.876]  We live in a nation that is the least healthy nation in the world.
[03:40:26.876 --> 03:40:32.078]  And so if we're comparing ourselves to Italy, well yes, Italy has a much older population.
[03:40:32.078 --> 03:40:34.739]  But America has a less healthy population.
[03:40:34.739 --> 03:40:36.220]  We have sedentary lifestyles.
[03:40:36.220 --> 03:40:41.502]  We have people who are on 12 different medications because they have 12 different underlying conditions.
[03:40:42.142 --> 03:40:53.126]  And I believe that the virus is predominantly, in America, going to kill those individuals who have health problems, which sadly, as we just showed, you know, 100 million Americans have high blood pressure.
[03:40:53.126 --> 03:40:58.088]  So there's a potential for this to really sweep through the U.S.
[03:40:58.088 --> 03:41:06.652]  population that depends on pharmaceuticals, that has underlying health conditions, that has not resorted to healthier lifestyles or healthier living.
[03:41:06.652 --> 03:41:09.913]  And, you know, I'm trying to say this just very calmly and very matter of fact, but
[03:41:10.697 --> 03:41:27.573]  The truth is, if you ever needed an excuse to get healthier and stop eating the junk food and maybe make more smoothies and boost your intake of nutraceuticals and nutritional supplements or vitamins or just healthy eating, fresh vegetables, grow your own food, sprout your own food, this is it, folks!
[03:41:27.573 --> 03:41:28.634]  This is the time to do it!
[03:41:29.235 --> 03:41:31.697]  And you can make a difference by starting today.
[03:41:31.697 --> 03:41:33.879]  You can start sprouting food today.
[03:41:33.879 --> 03:41:37.642]  You can have broccoli sprouts or alfalfa sprouts or whatever you have.
[03:41:37.642 --> 03:41:44.707]  And you can take your zinc tablets and crush up the zinc into a powder and mix it in with the water that you're using to irrigate your sprouts.
[03:41:44.707 --> 03:41:48.931]  And you can sprout bioavailable zinc-rich sprouts.
[03:41:49.631 --> 03:41:52.033]  Which could save your life, literally save your life.
[03:41:52.033 --> 03:41:54.315]  I'm not selling sprouts or anything like that.
[03:41:54.315 --> 03:41:56.297]  I'm just trying to help you stay alive.
[03:41:56.297 --> 03:41:57.518]  This is the time to do it.
[03:41:57.518 --> 03:41:59.620]  You can have sprouts to eat in three days.
[03:41:59.620 --> 03:42:01.722]  You can lower your blood pressure in a week.
[03:42:01.722 --> 03:42:05.305]  You can boost your zinc intake almost immediately.
[03:42:05.305 --> 03:42:06.746]  You can be healthier tomorrow.
[03:42:06.746 --> 03:42:08.708]  What are you waiting for?
[03:42:08.708 --> 03:42:12.451]  We know that healthy people mostly don't die from this.
[03:42:12.451 --> 03:42:15.274]  It's the unhealthy people who die, predominantly.
[03:42:15.274 --> 03:42:16.295]  That's who's dying right now.
[03:42:17.489 --> 03:42:22.834]  But people are dying at almost any age, so an unhealthy person in their 20s or 30s or 40s can still die from this.
[03:42:22.834 --> 03:42:26.878]  So being young doesn't make you immune, but being healthy makes you immune.
[03:42:26.878 --> 03:42:27.999]  That's the takeaway.
[03:42:27.999 --> 03:42:28.780]  That's the big news here.
[03:42:28.780 --> 03:42:30.421]  That's the good news here.
[03:42:30.421 --> 03:42:34.285]  So why aren't we telling people to get healthy across the nation instead of waiting for a vaccine?
[03:42:34.285 --> 03:42:36.347]  Well, we'll answer that on the other side of this.
[03:42:36.347 --> 03:42:38.529]  This is Mike Adams here on the Alex Jones Show.
[03:42:38.529 --> 03:42:39.490]  We'll be back with much more.
[03:42:52.384 --> 03:42:59.406]  Every week, every day, every hour, every minute, every second right now is critical.
[03:42:59.406 --> 03:43:03.028]  History is happening right in front of us, and we can't be spectators.
[03:43:03.028 --> 03:43:07.869]  We've got to be men and women in the arena, regardless of race, color, creed, age, sexual preference.
[03:43:07.869 --> 03:43:08.910]  It doesn't matter.
[03:43:08.910 --> 03:43:14.452]  The globalists with the chi-coms and others are openly trying to plunge our economy and start a new depression.
[03:43:14.452 --> 03:43:18.293]  China, who hyped up this virus, is now back to work and ramping up their economy.
[03:43:18.653 --> 03:43:33.913]  All ours is going into a free fall spiral and Trump's desperately trying to restart it and create confidence and the globalist corporate media that was worshipping China just a month or so ago and their response is saying Trump is terrible because they want America to fail.
[03:43:34.213 --> 03:43:35.575]  They want you to fail.
[03:43:35.575 --> 03:43:36.997]  But you can expose them.
[03:43:36.997 --> 03:43:38.018]  You can speak out.
[03:43:38.018 --> 03:43:45.388]  You can share the articles and videos and reports at InfoWars and Bandot Video that expose them and the globalists will go down.
[03:43:45.388 --> 03:43:47.591]  It's already blowing up in their face right now.
[03:43:47.591 --> 03:43:50.235]  So press the attack on the InfoWars and defeat the NWO.
[03:43:52.472 --> 03:43:58.094]  Newtonian physics documents the fact that for every action there's an opposite and equal reaction.
[03:43:58.094 --> 03:44:03.056]  And that matter is not destroyed, it is simply transferred into another form.
[03:44:03.056 --> 03:44:04.977]  Well, we're seeing that happen right now.
[03:44:04.977 --> 03:44:17.542]  The globalists are openly trying to hype up the coronavirus, trying to kill our economy, and trying to have martial law shut down around the country, and trying to stampede Trump into implementing it so they can blame the imploding economy on him.
[03:44:17.762 --> 03:44:26.886]  But Trump has seen through it, and so he's let them implement the draconian controls, and is saying, do you really want a depression for something that's killed far less than the flu?
[03:44:26.886 --> 03:44:29.407]  Ladies and gentlemen, now is the fight of our lives.
[03:44:29.407 --> 03:44:36.451]  And the good news is, their attack on humanity and on independent media has caused a lot of people to start thinking for themselves.
