[00:00:01.495 --> 00:00:03.896]  It's Monday, August 24th.
[03:12:51.583 --> 03:12:53.184]  So, kudos to
[03:12:54.079 --> 03:13:00.361]  This committee in Germany, keep track of them, support them.
[03:13:00.361 --> 03:13:08.984]  Those of you who are listening here, watching from Germany, definitely support this group.
[03:13:08.984 --> 03:13:19.347]  Give them all the support you can, and let them overwhelm the government liars completely, because that's exactly what we need.
[03:13:19.347 --> 03:13:20.767]  There they are.
[03:13:20.767 --> 03:13:22.888]  Those of you watching, that's exactly the
[03:13:23.646 --> 03:13:27.227]  Little press conference that I watched.
[03:13:27.227 --> 03:13:31.548]  And they were saying, come to this room where we are.
[03:13:31.548 --> 03:13:34.068]  We will put you on live.
[03:13:34.068 --> 03:13:36.309]  You can testify.
[03:13:36.309 --> 03:13:38.029]  OK, so that's the good news.
[03:13:38.029 --> 03:13:44.351]  And now to the parade of idiots.
[03:13:44.351 --> 03:13:53.153]  Let's see, I'm not sure we'll have enough time to cover Mark Woolbrain, I mean, Woolhouse before the break completely.
[03:13:54.013 --> 03:14:10.380]  But he is a British epidemiologist who is attached to the government who has now come out and said that the lockdowns in the UK were a quote monumental mistake.
[03:14:10.380 --> 03:14:16.123]  I know Infowars posted an article on this.
[03:14:16.123 --> 03:14:20.505]  Monumental mistake that was done in a moment of panic
[03:14:22.037 --> 03:14:24.058]  And we should never do it again.
[03:14:24.058 --> 03:14:27.940]  Okay.
[03:14:27.940 --> 03:14:34.643]  A mistake is when you leave your shoes outside and it rains.
[03:14:34.643 --> 03:14:37.304]  That's a mistake.
[03:14:37.304 --> 03:14:46.648]  I don't care whether you put the word monumental or grave or unplanned.
[03:14:46.648 --> 03:14:50.049]  Whatever you want in front of the word mistake.
[03:14:50.049 --> 03:14:51.590]  This is no mistake.
[03:14:52.932 --> 03:15:02.654]  This is a capital crime for which the government of the UK is prosecutable.
[03:15:02.654 --> 03:15:07.335]  If such a thing existed, that's what would happen.
[03:15:07.335 --> 03:15:11.016]  Because look at what they did.
[03:15:11.016 --> 03:15:20.819]  They took the word of a failed criminal, Neil Ferguson, Imperial College, who made a prediction of 500,000 deaths in the UK based on
[03:15:23.530 --> 03:15:38.238]  Nothing, based on FORTRAN code, which, if you would enter the same data on the same computer several times, would give you different results.
[03:15:38.238 --> 03:15:46.783]  This is admitted by the Imperial College Group and shut down England based on that.
[03:15:46.783 --> 03:15:48.484]  So, we are at break.
[03:15:48.484 --> 03:15:50.425]  We will be back more later.
[03:15:55.242 --> 03:16:01.548]  Have you ever thought about turning your Glock, XD Family, or 1911 handgun into a semi-automatic carbine?
[03:16:01.548 --> 03:16:03.730]  It only takes about 30 seconds.
[03:16:03.730 --> 03:16:11.917]  The MECH-TECH carbine upper is classified as an accessory and can be delivered right to your doorstep with no FFL or background check required.
[03:16:11.917 --> 03:16:14.679]  It's the world's most versatile pistol accessory.
[03:16:14.679 --> 03:16:16.661]  Build your custom upper today.
[03:16:16.661 --> 03:16:19.083]  Simply go to handgunconversion.com.
[03:16:19.083 --> 03:16:20.684]  That's handgunconversion.com.
[03:16:22.492 --> 03:16:24.333]  Attention radio listeners!
[03:16:24.333 --> 03:16:32.075]  Have you ever wanted to be independent of the utility companies and actually generate your own supply of off-grid electrical power?
[03:16:32.075 --> 03:16:36.217]  If so, this is going to be the most important message you'll ever hear.
[03:16:36.217 --> 03:16:36.717]  Here's why.
[03:16:36.717 --> 03:16:42.339]  A limited number of solar-powered backup generators are back in stock and now available.
[03:16:42.339 --> 03:16:47.361]  These emergency backup systems provide life-saving electrical power when you need it most.
[03:16:48.081 --> 03:16:57.523]  And unlike gas generators, a solar generator runs quietly, emits no fumes, and produces an endless supply of free electricity from the sun.
[03:16:57.523 --> 03:17:02.824]  It's like having an electric power plant running silently, secretly, in your own home.
[03:17:02.824 --> 03:17:07.405]  Run sump pumps, shortwave radios, computers, even keep food from spoiling.
[03:17:07.405 --> 03:17:09.725]  Go to MySolarBackup.com to learn more.
[03:17:09.725 --> 03:17:11.346]  That's MySolarBackup.com.
[03:17:12.822 --> 03:17:18.260]  Supplies are still limited and are available on a first come first serve basis only.
[03:17:18.260 --> 03:17:19.785]  MySolarBackup.com
[03:17:21.462 --> 03:17:22.682]  Hi, I'm Dan Pilla.
[03:17:22.682 --> 03:17:26.604]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:17:26.604 --> 03:17:28.124]  I sued the IRS and won.
[03:17:28.124 --> 03:17:31.085]  I beat the IRS then, and I've been beating them ever since.
[03:17:31.085 --> 03:17:36.647]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:17:36.647 --> 03:17:37.847]  I can help you, too.
[03:17:37.847 --> 03:17:40.788]  If you owe taxes you can't pay, don't wait another day.
[03:17:40.788 --> 03:17:43.009]  There's no such thing as a hopeless tax case.
[03:17:43.009 --> 03:17:47.450]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[03:17:47.450 --> 03:17:49.751]  That's danpilla.com, danpilla.com.
[03:17:52.967 --> 03:17:59.489]  I'm going to say something right now that is one of the most important things I've ever said, so please listen very, very carefully.
[03:17:59.489 --> 03:18:05.370]  Donald Trump is not the reason they released COVID or had the lockdown.
[03:18:05.370 --> 03:18:10.012]  They already had this plan, the Rockefeller Foundation and Bill and Melinda Gates.
[03:18:10.012 --> 03:18:12.352]  It is beyond critical.
[03:18:12.352 --> 03:18:22.195]  It is life and death for you and your family to understand, no matter where you live on the planet, that this is a worldwide, world government takeover on record, that it's never going to end.
[03:18:23.117 --> 03:18:25.219]  The United Nations has admitted that.
[03:18:25.219 --> 03:18:28.701]  First it's a month, then it's six months, then they say, okay, it's two years.
[03:18:28.701 --> 03:18:31.143]  They're now saying two years.
[03:18:31.143 --> 03:18:33.945]  They're now saying you'll never go back to normal.
[03:18:33.945 --> 03:18:36.246]  No more gatherings, no more anything.
[03:18:36.246 --> 03:18:40.409]  Constant forced inoculations that they admit don't even work.
[03:18:40.409 --> 03:18:43.231]  And the way they say they work, they change your DNA.
[03:18:43.231 --> 03:18:46.354]  This is the culling of the planet.
[03:18:46.354 --> 03:18:51.597]  This is the beginning of the straitjacket being put on you before you're slowly tortured to death and killed.
[03:18:51.597 --> 03:18:52.098]  Do you understand?
[03:18:53.686 --> 03:18:55.287]  It was a sleeper product.
[03:18:55.287 --> 03:19:00.352]  It wasn't popular at first, but as people tried it, it's become one of our top five best sellers.
[03:19:00.352 --> 03:19:03.434]  I'm talking about the 8-pack Power Stack.
[03:19:03.434 --> 03:19:10.400]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[03:19:10.400 --> 03:19:11.741]  It's available right now at $60.
[03:19:12.762 --> 03:19:18.624]  percent off for a limited time when you get it with Survival Shield X2 that's now back in stock.
[03:19:18.624 --> 03:19:21.145]  This has changed my life and so many other people's lives.
[03:19:21.145 --> 03:19:22.105]  Now here's the problem.
[03:19:22.105 --> 03:19:27.607]  Some of the patented ingredients that are in APEC Power Stack because of the shutdown and the lockdown
[03:19:27.867 --> 03:19:28.287]  We're good to go.
[03:19:55.586 --> 03:20:10.050]  You're listening to The Alex Jones Show.
[03:20:10.050 --> 03:20:17.512]  If you are receiving this transmission, you are the resistance.
[03:20:17.512 --> 03:20:20.873]  You're listening to The Alex Jones Show.
[03:20:20.873 --> 03:20:24.154]  And now, your host, John Rappaport.
[03:20:34.667 --> 03:20:46.313]  These people have no concept of what a mistake means as opposed to a capital crime.
[03:20:46.313 --> 03:20:55.778]  Or if they do, they're hiding that understanding naturally because they would be the ones hauled before a court and a jury and convicted and sentenced.
[03:20:57.111 --> 03:21:09.577]  So one of the priceless comments he made was, we need to include more people in making these government decisions about how to handle pandemics and epidemics.
[03:21:09.577 --> 03:21:25.085]  For example, we have to bring in more economists, as if these professional economists are really necessary in order to get an idea of the effect of the lockdowns on millions of people's lives.
[03:21:25.085 --> 03:21:25.445]  This is a
[03:21:26.144 --> 03:21:28.725]  Typical academics approach.
[03:21:28.725 --> 03:21:32.766]  You know, they're like 6,000 miles away from what's actually happening.
[03:21:32.766 --> 03:21:35.087]  They're still collecting a paycheck.
[03:21:35.087 --> 03:21:43.230]  They're at home and they're saying, yes, in the future, we'll have to bring in more economists to really calculate the effects of the lockdown.
[03:21:43.230 --> 03:21:49.132]  Well, try walking down the street and looking at boarded up stores and businesses and shops.
[03:21:49.132 --> 03:21:55.534]  Go into people's apartments and watch them suffering and the abuse and the violence, et cetera, et cetera, from
[03:21:56.294 --> 03:22:11.263]  The lack of jobs, the unemployment, the destruction, and then we'll brain, we'll house, you'll get an idea of what actually happened as a result of the government decision to lock down the country.
[03:22:11.263 --> 03:22:13.144]  Then you'll know.
[03:22:13.144 --> 03:22:15.165]  Then you'll understand.
[03:22:15.165 --> 03:22:20.909]  Then you won't need to retreat and hide behind your friggin' academic credentials and pretend
[03:22:21.636 --> 03:22:29.022]  That it's all a mystery that can only be solved by the greatest minds of the generation, etc., etc., etc.
[03:22:29.022 --> 03:22:30.443]  This is not brain surgery.
[03:22:30.443 --> 03:22:36.488]  This is very simple, direct assault on the population.
[03:22:36.488 --> 03:22:47.778]  Okay, so let's get to, as you know, if you've been watching my segments here on InfoWars or reading my articles at NoMoreFakeNews,
[03:22:48.593 --> 03:22:52.915]  I've been highly critical of the way Trump has handled COVID-19.
[03:22:52.915 --> 03:23:06.383]  Come at him from several angles, spent a week writing dispatches and letters, published, trying to gain somebody's attention in the White House.
[03:23:06.383 --> 03:23:10.545]  That the strategy was completely wrong from the beginning.
[03:23:10.545 --> 03:23:13.406]  The whole thing was a gigantic hoax.
[03:23:13.406 --> 03:23:17.889]  It was perpetrated with the intent of destroying the economy of America.
[03:23:18.444 --> 03:23:23.988]  There was no science behind this, et cetera, et cetera, et cetera.
[03:23:23.988 --> 03:23:30.213]  So in my estimation, the only thing worse for the country than Trump is Biden.
[03:23:30.213 --> 03:23:36.158]  That's my political position, if you will.
[03:23:36.158 --> 03:23:39.421]  The only thing worse is Biden.
[03:23:39.421 --> 03:23:45.045]  I've been paying as much attention as I can stand paying to a couple of interviews with him.
[03:23:45.045 --> 03:23:47.067]  Yeah, there's that interview.
[03:23:47.509 --> 03:23:47.809]  Right.
[03:23:47.809 --> 03:23:54.070]  Everybody's being so correct with distancing and so on and so forth.
[03:23:54.070 --> 03:23:57.631]  And his campaign ads.
[03:23:57.631 --> 03:24:04.752]  Of course, he's talking about federal mandates to wear masks for everybody.
[03:24:04.752 --> 03:24:11.673]  OK, that's part of the calculation that got into his campaign ad.
[03:24:11.673 --> 03:24:15.534]  This is not just something that they thought of off the top of their heads.
[03:24:17.384 --> 03:24:28.067]  His poll takers and projection people and all of the they made a calculation that they could sell this to the sheep.
[03:24:28.067 --> 03:24:29.587]  Everybody has to wear a mask.
[03:24:29.587 --> 03:24:32.528]  It has to be a federal mandate.
[03:24:32.528 --> 03:24:33.548]  Second thing was.
[03:24:33.548 --> 03:24:45.572]  He slipped this in talking, I believe, about children and said, if and when the parents go back to work.
[03:24:45.572 --> 03:24:46.692]  If and when.
[03:24:47.421 --> 03:24:51.123]  The parents go back to work.
[03:24:51.123 --> 03:24:51.944]  Are you kidding me?
[03:24:51.944 --> 03:24:55.005]  I mean, get real.
[03:24:55.005 --> 03:24:57.627]  If and when?
[03:24:57.627 --> 03:25:08.873]  So he has a new magical economy that runs on nothing, with no work, no business, no commerce, no trade, all locked down.
[03:25:08.873 --> 03:25:17.178]  This is like a brilliant, magical model of an economy that nobody's ever heard of before, where nobody has to do anything.
[03:25:17.631 --> 03:25:19.871]  Except stay home?
[03:25:19.871 --> 03:25:20.852]  If and when?
[03:25:20.852 --> 03:25:46.536]  And then, in the interview that was just put up on the screen for a second, what Biden is trying to sell is the idea we can't have different states with different opinions about lockdowns and reopening and even mask wearing and so on and so forth.
[03:25:47.321 --> 03:25:50.043]  This is intolerable.
[03:25:50.043 --> 03:25:52.865]  See, this is Trump's doing.
[03:25:52.865 --> 03:26:09.638]  Whereas if I, Joe Biden, am elected, we're going to have a plan, an overall plan that will include the entire nation in how we come at COVID-19 and fight COVID-19.
[03:26:09.638 --> 03:26:13.961]  And of course, for the sheep and the, in heavy quotes, liberals,
[03:26:14.534 --> 03:26:19.517]  This sounds like exactly what they want to lap up by the gallon.
[03:26:19.517 --> 03:26:22.219]  This kind of BS.
[03:26:22.219 --> 03:26:24.241]  Yeah, we need a plan, a national plan.
[03:26:24.241 --> 03:26:26.082]  Well, what does that actually mean?
[03:26:26.082 --> 03:26:28.384]  Well, that means complete fascism.
[03:26:28.384 --> 03:26:36.769]  That means tyranny to the 12th power from Washington, from the federal government.
[03:26:36.769 --> 03:26:40.252]  That means eliminating all of the
[03:26:42.705 --> 03:26:51.568]  Even partially dissident state governments that exist, South Dakota, somewhat in Utah, South Carolina, et cetera, et cetera.
[03:26:51.568 --> 03:26:52.548]  No, no, no, no, no.
[03:26:52.548 --> 03:26:54.709]  We can't have that under Biden.
[03:26:54.709 --> 03:27:09.814]  We're going to have mandates emanating from the White House and from Congress with a plan that covers every human in the country, every state, every governor's office, the whole entire deal.
[03:27:11.468 --> 03:27:26.733]  With a plan, as he put it, where every single vial of vaccine is going, to whom it's going, where it's going, to be injected, etc., etc., etc., etc.
[03:27:26.733 --> 03:27:36.677]  That's what this guy, creature, is selling.
[03:27:36.677 --> 03:27:40.018]  Make no bones and mistakes about it.
[03:27:40.018 --> 03:27:40.858]  This is what
[03:27:42.259 --> 03:27:48.223]  He wants, and more important, the people behind him and Kamala want.
[03:27:48.223 --> 03:27:52.185]  This is what they're selling and aiming for.
[03:27:52.185 --> 03:28:00.890]  And the supposed next president and vice president are the puppets that would front for this operation.
[03:28:00.890 --> 03:28:03.752]  They would say, OK, we've had enough.
[03:28:03.752 --> 03:28:06.073]  We're not going to do this Trump thing anymore.
[03:28:06.073 --> 03:28:10.156]  We're not going to have this state doing that and this state doing this.
[03:28:10.834 --> 03:28:12.094]  This cannot stand.
[03:28:12.094 --> 03:28:13.235]  This will not stand.
[03:28:13.235 --> 03:28:15.036]  It's impossible.
[03:28:15.036 --> 03:28:19.637]  We don't want this kind of country anymore, and neither do the people.
[03:28:19.637 --> 03:28:26.880]  They want an overall plan that involves everybody, where we will get together.
[03:28:26.880 --> 03:28:32.522]  We're all in this and fight our way out of COVID-19.
[03:28:32.522 --> 03:28:34.363]  This is like saying, we are the fascists.
[03:28:34.363 --> 03:28:34.863]  We're coming.
[03:28:35.626 --> 03:28:42.129]  Elect us and we will show you exactly the kind of slaves that you're going to become.
[03:28:42.129 --> 03:28:48.873]  And you're going to love it because, face it, isn't this what you really want?
[03:28:48.873 --> 03:28:50.434]  More after the break.
[03:28:52.199 --> 03:28:55.001]  Hi, Bill Hyde here for Safe Places USA.
[03:28:55.001 --> 03:29:02.707]  If you're thinking it might be finally time to move out of a dangerous urban area to a safer place before things get worse, pay close attention.
[03:29:02.707 --> 03:29:07.151]  Because the feeling in your gut, the one telling you to get out, could save your life.
[03:29:07.151 --> 03:29:08.191]  Here's why.
[03:29:08.191 --> 03:29:13.015]  You can now find out where the safest places in this country are by going to safeplacesusa.com
[03:29:14.236 --> 03:29:14.416]  I'm good.
[03:29:30.046 --> 03:29:34.850]  So, if you want a clear path to getting out of Dodge, go to SafePlacesUSA.com.
[03:29:34.850 --> 03:29:37.291]  That's SafePlacesUSA.com.
[03:29:37.291 --> 03:29:41.154]  Use coupon code GCN and get half off the manual all this week.
[03:29:41.154 --> 03:29:44.677]  Plus, get the following books free with your Ultimate Relocation Manual.
[03:29:44.677 --> 03:29:46.418]  Pandemic Survival Secrets.
[03:29:46.418 --> 03:29:47.679]  Your Home, Your Fortress.
[03:29:47.679 --> 03:29:49.940]  All free this week at SafePlacesUSA.com.
[03:29:49.940 --> 03:29:50.741]  The answer to 1984.
[03:29:57.253 --> 03:30:09.909]  InfoWars has been banned.
[03:30:12.203 --> 03:30:16.084]  Arrested.
[03:30:16.084 --> 03:30:19.045]  Attacked and threatened.
[03:30:19.045 --> 03:30:20.345]  Because we are effective.
[03:30:20.345 --> 03:30:24.026]  The Great Awakening is here.
[03:30:24.026 --> 03:30:26.306]  Go to Band.Video.
[03:30:26.306 --> 03:30:30.427]  Download the videos and share.
[03:30:30.427 --> 03:30:37.749]  Support the Information War at InfoWarStore.com.
[03:30:37.749 --> 03:30:40.410]  And never give up the fight.
[03:31:01.660 --> 03:31:03.409]  We're good.
[03:31:05.862 --> 03:31:16.271]  They're coming with their battle plan, psychological warfare operation with the forced inoculations and the permanent lockdown of civilization and society.
[03:31:16.271 --> 03:31:19.874]  They're outlawing people being able to get colds or the flu.
[03:31:19.874 --> 03:31:22.996]  They're creating artificial phobias for normal death that takes place.
[03:31:22.996 --> 03:31:25.639]  They're not even promising they have a cure to it all.
[03:31:25.639 --> 03:31:31.504]  They're just inflicting new phobias on everyone to bring in their planetary regime directed by the WHO.
[03:31:33.365 --> 03:31:39.550]  With vaccines that actually change your DNA and make you owned by Microsoft.
[03:31:39.550 --> 03:31:41.872]  It's a final frontier.
[03:31:41.872 --> 03:31:44.554]  It's the year 2020.
[03:31:44.554 --> 03:31:46.676]  It's not coming.
[03:31:46.676 --> 03:31:47.716]  It's here.
[03:31:47.716 --> 03:31:49.518]  And submission is blood in the water.
[03:31:52.904 --> 03:32:00.145]  When the corrupt establishment began pushing Joe Biden two years ago, they knew he had serious cognitive problems.
[03:32:00.145 --> 03:32:06.787]  He has always been an empty suit that does what he's told by the globalists and their allied crime syndicates.
[03:32:06.787 --> 03:32:09.987]  Kamala Harris is even worse and does whatever she's told.
[03:32:09.987 --> 03:32:14.448]  She's bought and paid for by Silicon Valley, the Chi-Coms and others.
[03:32:14.448 --> 03:32:17.689]  So she has been chosen because she's part
[03:32:18.910 --> 03:32:25.534]  And now anyone that criticizes her will be called a racist and evil and she is now above reproach.
[03:32:25.534 --> 03:32:30.437]  Ladies and gentlemen, we must expose this monster for who she is.
[03:32:30.437 --> 03:32:38.883]  We must expose the fact that she wanted minimum sentences for black people three times longer than white people and that the woman is a monster.
[03:32:38.883 --> 03:32:43.486]  Kamala Harris will end up being our president if they're able to steal the election.
[03:32:43.846 --> 03:32:47.729]  And she is a 110% New World Order puppet.
[03:32:47.729 --> 03:32:50.452]  Now more than ever, we must expose this monster.
[03:32:50.452 --> 03:32:56.617]  We must expose the globalists.
[03:32:56.617 --> 03:32:59.199]  You're listening to the Alex Jones Show.
[03:33:15.179 --> 03:33:39.088]  Before I get back to Biden, because I've got a few more things to say about him and Kamala, I just want to insert this little item.
[03:33:39.088 --> 03:33:42.409]  77 people connected with the NFL National Football League.
[03:33:43.680 --> 03:33:52.922]  Players, coaches, other staff members all tested positive for COVID-19, bang, last weekend.
[03:33:52.922 --> 03:33:59.303]  Now they're saying they were all false positives.
[03:33:59.303 --> 03:34:02.403]  77 tested positive.
[03:34:02.403 --> 03:34:07.584]  Now the league is saying they're all false positive.
[03:34:07.584 --> 03:34:11.905]  And they traced it to one lab in New Jersey.
[03:34:13.882 --> 03:34:15.764]  No big surprise there.
[03:34:15.764 --> 03:34:25.571]  The BioReference Lab, which seems to be a chain, and this was their lab in New Jersey.
[03:34:25.571 --> 03:34:28.093]  Why did they all test positive?
[03:34:28.093 --> 03:34:29.935]  Well, is this or was that the other thing?
[03:34:29.935 --> 03:34:32.517]  It could be the big hood that they used
[03:34:32.998 --> 03:34:42.201]  When they're running the PCR test and something I contaminate, a piece of a little virus, some other virus got in there or whatever, we don't know.
[03:34:42.201 --> 03:34:47.644]  And it stayed there through all the 77 tests, I guess.
[03:34:47.644 --> 03:34:54.166]  And they all turned, you know, they're cooking up all kinds of explanations as to how this occurred.
[03:34:57.825 --> 03:35:01.746]  How did they even decide that they were false positives?
[03:35:01.746 --> 03:35:06.947]  Because they ran the tests again, and they were all negative.
[03:35:06.947 --> 03:35:08.748]  Did they run the test a third time?
[03:35:08.748 --> 03:35:20.831]  No, I don't think so, because they might have ended up all positive the third time, because that's the kind of test we're dealing with here, as I've laid out time after time after time.
[03:35:20.831 --> 03:35:23.772]  Worthless test.
[03:35:23.772 --> 03:35:24.652]  But the point is,
[03:35:25.746 --> 03:35:40.339]  Nobody would have been alerted to the possibility of false positive if you hadn't had 77 people all test positive at once from the NFL in one weekend from one lab.
[03:35:40.339 --> 03:35:50.688]  If it had only been six people, seven people who were false positives, they would all be in quarantine right now and nobody would be asking any questions.
[03:35:53.004 --> 03:35:58.026]  So how many times is that happening all over the world right now?
[03:35:58.026 --> 03:36:04.368]  And I can tell you, the answer is countless, countless, countless times.
[03:36:04.368 --> 03:36:11.471]  So when these governors and Joe Biden, especially, because he's going to be pushing this to the Hill.
[03:36:11.471 --> 03:36:16.513]  Yes, we have a plan so that everybody in America gets tested.
[03:36:16.513 --> 03:36:19.514]  Everybody gets contact traced.
[03:36:19.514 --> 03:36:21.035]  Everybody gets vaccinated.
[03:36:22.918 --> 03:36:24.700]  That means you.
[03:36:24.700 --> 03:36:29.984]  That means you and you and you, and especially you.
[03:36:29.984 --> 03:36:34.148]  That's what they've got planned for this puppet.
[03:36:34.148 --> 03:36:36.570]  So back to Biden.
[03:36:36.570 --> 03:36:41.975]  Let's expand this out and understand what the ramifications are.
[03:36:41.975 --> 03:36:49.322]  In the same way that Biden and his controllers really don't want to have any states
[03:36:50.479 --> 03:36:59.126]  opt out of a national fascist, tyrannical, New World Order plan for the population.
[03:36:59.126 --> 03:37:19.621]  In the same way, globalists, Rockefeller-type globalists, Bill Gates, etc., etc., don't want any nations opting out of the world plan for tyranny, fascism to be enforced upon the entire global population, which means
[03:37:20.091 --> 03:37:23.552]  Lockdowns, more lockdowns and more lockdowns.
[03:37:23.552 --> 03:37:30.255]  Contact tracing, meaning they break in if necessary to interview you.
[03:37:30.255 --> 03:37:32.136]  Testing for everybody.
[03:37:32.136 --> 03:37:34.576]  Vaccine for everybody.
[03:37:34.576 --> 03:37:41.359]  Change your DNA, cause autoimmune body attacks itself, etc, etc.
[03:37:41.359 --> 03:37:46.461]  Plant nanoparticles in the vaccine.
[03:37:47.361 --> 03:38:05.074]  Nobody is looking at what these nanoparticles actually contain, because we know there's all kinds of experiments underfoot to develop nanoparticles as sensors to be placed inside the body as the ultimate form of surveillance.
[03:38:05.074 --> 03:38:09.597]  Not just from outside, but from inside.
[03:38:09.597 --> 03:38:13.440]  On and on and on and on.
[03:38:13.440 --> 03:38:15.321]  You want to look at a little test case?
[03:38:15.321 --> 03:38:16.382]  Look at Melbourne.
[03:38:17.031 --> 03:38:28.073]  In Australia, where cops now have the right to break into houses without a warrant to see what's going on.
[03:38:28.073 --> 03:38:30.754]  If anybody is, quote, what?
[03:38:30.754 --> 03:38:32.474]  I don't know.
[03:38:32.474 --> 03:38:33.334]  Infected?
[03:38:33.334 --> 03:38:35.455]  How would they know?
[03:38:35.455 --> 03:38:37.415]  Avoiding contact tracing?
[03:38:37.415 --> 03:38:42.876]  How would they know since that's only recently started up?
[03:38:42.876 --> 03:38:44.357]  Cops have, yeah, look at that.
[03:38:44.357 --> 03:38:45.517]  Cops have been caught.
[03:38:46.448 --> 03:39:00.118]  Smashing in windows of cars with people driving because the people don't want to answer cops questions about where they're going.
[03:39:00.118 --> 03:39:05.301]  So cops smash in the windows of the cars.
[03:39:05.301 --> 03:39:16.029]  So this is the Stasi, the KGB, the GRU, the Red Army coming to Melbourne, Australia.
[03:39:17.881 --> 03:39:20.203]  Based on nothing.
[03:39:20.203 --> 03:39:23.425]  Based on nothing whatsoever.
[03:39:23.425 --> 03:39:43.580]  Even if you assume all of the friggin BS that is put out by the Australian government about deaths and case numbers and so on and so forth, which nobody in his right mind would believe, if you look at Melbourne and Victoria, where Melbourne is located, the numbers are extremely low.
[03:39:43.580 --> 03:39:46.142]  So these people are complete fascists.
[03:39:47.284 --> 03:39:50.467]  They are lunatics.
[03:39:50.467 --> 03:39:53.509]  They like what they're doing.
[03:39:53.509 --> 03:40:04.538]  They've been given the license to destroy lives and apparently this is what they've been waiting for.
[03:40:04.538 --> 03:40:10.022]  What they should get is an all-out rebellion from the citizenry.
[03:40:10.022 --> 03:40:13.845]  And there are even commentators in Australia
[03:40:14.875 --> 03:40:18.976]  Who are mainstream that are beginning to say, this is insane.
[03:40:18.976 --> 03:40:21.197]  What are you doing?
[03:40:21.197 --> 03:40:34.620]  There is such a thing as the right to privacy, the right to go out at night alone, to walk in the woods without a mask alone.
[03:40:34.620 --> 03:40:39.921]  What the hell is going on here?
[03:40:39.921 --> 03:40:43.762]  This calls for, I mean, complete rebellion.
[03:40:45.077 --> 03:40:55.183]  Constitutional rights, natural rights which precede any constitutional rights, are being completely destroyed in Melbourne.
[03:40:55.183 --> 03:41:00.427]  And I've gotten additional reports from there about what has actually happened.
[03:41:00.427 --> 03:41:03.108]  And it is complete insanity.
[03:41:03.108 --> 03:41:05.089]  This is a test case.
[03:41:05.089 --> 03:41:07.211]  This is a test run.
[03:41:07.211 --> 03:41:12.334]  You can be sure because Australia has been used for this purpose in the past.
[03:41:13.823 --> 03:41:15.443]  Captive audience.
[03:41:15.443 --> 03:41:18.584]  Isolated population in certain respects.
[03:41:18.584 --> 03:41:20.285]  Let's run a test.
[03:41:20.285 --> 03:41:22.085]  Let's see what happens.
[03:41:22.085 --> 03:41:28.146]  Many agencies from different countries are watching what is happening in Melbourne.
[03:41:28.146 --> 03:41:32.127]  You can bet your bottom dollar on that.
[03:41:32.127 --> 03:41:38.089]  And they are compiling data and looking and seeing how much resistance is there.
[03:41:38.089 --> 03:41:40.029]  What kind of resistance is there?
[03:41:40.029 --> 03:41:41.089]  Who is resisting?
[03:41:41.089 --> 03:41:42.630]  Let's profile them.
[03:41:42.630 --> 03:41:43.110]  Let's see.
[03:41:43.789 --> 03:41:51.310]  Let's compile one report after another so that we can gain more information, so that we can do this on a wider basis.
[03:41:51.310 --> 03:42:05.353]  We can crack down with violence and force, overt, overt, overt, wherever we want to, whenever we want to, all the way, when we're not getting enough compliance from the sheep.
[03:42:05.353 --> 03:42:08.133]  That's what this is ultimately about.
[03:42:08.133 --> 03:42:10.634]  What it's always been about.
[03:42:10.634 --> 03:42:11.534]  And it's not just
[03:42:12.091 --> 03:42:14.833]  It's happening to a few people over there.
[03:42:14.833 --> 03:42:16.074]  It has nothing to do with us.
[03:42:16.074 --> 03:42:18.336]  It has everything to do with us.
[03:42:18.336 --> 03:42:20.437]  Everything to do with us.
[03:42:20.437 --> 03:42:25.902]  I assure you, this is what is going on.
[03:42:25.902 --> 03:42:32.807]  It's the strong-armed branch of the globalist plan.
[03:42:33.871 --> 03:42:46.326]  That involves the lockdowns, the tyranny, the vaccination, the destruction of lives under the guise of saving lives that the sheep, so many of them, are still buying.
[03:42:46.326 --> 03:42:48.109]  But not you.
[03:42:48.109 --> 03:42:49.230]  More after the break.
[03:42:53.103 --> 03:42:55.303]  Democrats are just going more and more left.
[03:42:55.303 --> 03:42:58.724]  Many positive about socialism, liking it more than capitalism.
[03:42:58.724 --> 03:43:04.705]  Many of the ideas we fought for that were considered radical are now mainstream.
[03:43:04.705 --> 03:43:12.047]  The radical left has taken over the Democratic Party and Joe Biden is marching in lockstep with them.
[03:43:12.047 --> 03:43:18.088]  Biden and the far left are promising to crush middle class families with trillions in new taxes.
[03:43:18.268 --> 03:43:20.769]  If you elect me, your taxes are going to be raised, not cut.
[03:43:20.769 --> 03:43:25.312]  Promising amnesty and healthcare for 11 million illegal immigrants.
[03:43:25.312 --> 03:43:28.374]  Citizenship for 11 million undocumented folks.
[03:43:28.374 --> 03:43:34.277]  Promising to shut down energy exploration, killing jobs, and hurting America's economy.
[03:43:34.277 --> 03:43:34.978]  I guarantee you.
[03:43:37.180 --> 03:43:43.869]  In Joe Biden's America, the radical left get whatever they want and you get to pay for it.
