[00:00:00.233 --> 00:00:00.314]  Oh.
[02:48:41.836 --> 02:48:48.780]  13 different pills filled with super nutrients, vitamins, minerals, and more that you take in the morning in one pack and at night.
[02:48:48.780 --> 02:48:50.461]  It's available right now at $60.
[02:48:51.161 --> 02:48:57.005]  percent off for a limited time when you get it with Survival Shield X2 that's now back in stock.
[02:48:57.005 --> 02:48:59.587]  This has changed my life and so many other people's lives.
[02:48:59.587 --> 02:49:00.528]  Now here's the problem.
[02:49:00.528 --> 02:49:05.992]  Some of the patented ingredients that are in APEC Power Stack because of the shutdown and the lockdown
[02:49:06.232 --> 02:49:06.812]  We're good to go.
[02:49:33.931 --> 02:49:44.196]  I don't have to tell you that fish oil is known to be so good for your brain, so good for your heart, so good for your cells, your cardiovascular system, your lungs, your sleep.
[02:49:44.196 --> 02:49:45.517]  It's amazing.
[02:49:45.517 --> 02:49:54.901]  Well, we set out a few years ago to go out and develop with top manufacturers the strongest, highest quality, purest fish oil out there.
[02:49:54.901 --> 02:49:57.042]  And this blend is amazing.
[02:49:57.042 --> 02:49:57.823]  Ultimate fish oil.
[02:49:58.263 --> 02:49:59.564]  We're good to go.
[02:50:35.229 --> 02:50:43.497]  You're listening to the Alex Jones Show.
[02:50:43.497 --> 02:50:48.521]  Ollie Alexander is here with us, final segment on Twitter at ALI.
[02:50:48.521 --> 02:50:54.786]  Bishop Larry Gators, very popular guest host at Bishop L Gators is about to take over
[02:50:56.211 --> 02:50:59.952]  On the other side and then Owen Schroer in the War Room with Harrison Smith.
[02:50:59.952 --> 02:51:02.713]  He's been a great guy here, but he's just getting really good on air.
[02:51:02.713 --> 02:51:04.394]  Seeing everybody get their legs is awesome.
[02:51:04.394 --> 02:51:06.775]  Savannah Hernandez here about three years.
[02:51:06.775 --> 02:51:07.915]  She's kicking butt.
[02:51:07.915 --> 02:51:09.175]  We're really proud of the crew we've got.
[02:51:09.175 --> 02:51:13.057]  We've got Deanna Lorraine joining us here next week.
[02:51:13.057 --> 02:51:13.717]  We were here from LA.
[02:51:14.477 --> 02:51:15.899]  We'll get you as a consultant, hopefully.
[02:51:15.899 --> 02:51:19.564]  You're doing a great job, Ali Alexander.
[02:51:19.564 --> 02:51:24.770]  What else do you want to add in the few minutes we have left about the election, what Trump should do?
[02:51:24.770 --> 02:51:27.694]  You were here a month ago saying Trump better get aggressive, you better go after him.
[02:51:27.694 --> 02:51:29.937]  We're starting to see that, and we're seeing his numbers go straight up.
[02:51:30.137 --> 02:51:42.311]  If it wasn't for you, if it wasn't for me, if it wasn't for Mike Cernovich, if it wasn't for Scott Adams, if it wasn't for Voices in the Wilderness that launched a constructive war against the campaign, which a lot of people got to remember.
[02:51:42.311 --> 02:51:44.113]  They were mad at us a few months ago.
[02:51:44.113 --> 02:51:46.015]  We were like, gosh, they were mad.
[02:51:46.015 --> 02:51:50.781]  And all these MAGA people on Twitter were like, no, no, Tulsa was this and Tulsa was that.
[02:51:51.261 --> 02:51:53.323]  A million people were never going to show up.
[02:51:53.323 --> 02:51:54.944]  Brad sucks at his job.
[02:51:54.944 --> 02:51:58.026]  Let's do some market targeting and let's be the party of law and order.
[02:51:58.026 --> 02:51:59.527]  Let's not tweet law and order.
[02:51:59.527 --> 02:52:01.029]  And we've retold this campaign, Alex.
[02:52:01.029 --> 02:52:04.271]  So, you know, Donald Trump was set for kind of a loss.
[02:52:04.271 --> 02:52:05.772]  We've put him back on track.
[02:52:05.772 --> 02:52:09.395]  He's back to the February, you know, Donald Trump, who was going to win in a landslide.
[02:52:09.395 --> 02:52:10.236]  He's back to being himself.
[02:52:11.456 --> 02:52:18.618]  And then today, you know, right before I got here, we got the email that Trump is actually going to accept the nomination in New Hampshire to a live crowd.
[02:52:18.618 --> 02:52:20.999]  So, you know, our guy's got his groove back.
[02:52:20.999 --> 02:52:22.119]  So that's really good news.
[02:52:22.119 --> 02:52:23.740]  Because he's in charge now?
[02:52:23.740 --> 02:52:24.520]  Yeah.
[02:52:24.520 --> 02:52:26.500]  Everyone obsesses over Kushner.
[02:52:26.500 --> 02:52:27.741]  I don't know if he's good or bad.
[02:52:27.741 --> 02:52:29.281]  I mean, if Trump likes him, I like him.
[02:52:29.281 --> 02:52:30.321]  Kushner good?
[02:52:30.321 --> 02:52:33.822]  He's a net, he's a net win, you know, but boy, is it frustrating.
[02:52:33.822 --> 02:52:39.204]  And, you know, because Trump is willing to ignore some of his instincts to, you know, listen to
[02:52:39.724 --> 02:52:43.209]  You know, wise counsel, but it's, you know, Kushner's left of center.
[02:52:43.209 --> 02:52:48.857]  You know, but he's his son-in-law, so he's, you know, we're not getting rid of him.
[02:52:48.857 --> 02:52:51.080]  You know, we just gotta bake the cake.
[02:52:53.030 --> 02:52:56.532]  What is Trump's Achilles heel in the next 67 days?
[02:52:56.532 --> 02:52:57.432]  Oh, yikes.
[02:52:57.432 --> 02:53:00.073]  I think that if Trump ignores his base, he loses.
[02:53:00.073 --> 02:53:07.997]  I think that Trump cannot ignore his base because the progressives on the left already feel that with Kamala Harris and Joe Biden.
[02:53:07.997 --> 02:53:12.078]  You know, our friend Roger Stone calls this the ticket of mass incarceration.
[02:53:12.078 --> 02:53:15.500]  And if Trump just leans into that, then the left doesn't even show up.
[02:53:15.500 --> 02:53:16.881]  I think Roger's right.
[02:53:16.881 --> 02:53:19.442]  Trump needs to make a bigger deal about Kamala Harris.
[02:53:20.302 --> 02:53:21.523]  She's a bad cop!
[02:53:21.523 --> 02:53:22.443]  A really, really bad cop!
[02:53:22.443 --> 02:53:24.904]  Well, see, he got mad at Kushner going too far with the justice reform.
[02:53:24.904 --> 02:53:25.305]  Right.
[02:53:25.305 --> 02:53:32.569]  But that's one thing, but to point out that black people hate Kamala Harris, why does she only poll like 1% with black folks, 2% with whites?
[02:53:32.569 --> 02:53:36.791]  I mean, people really, I've never seen... She has an anti-black record.
[02:53:36.791 --> 02:53:38.852]  She is a bad cop, and I'm just gonna say it.
[02:53:39.272 --> 02:53:41.794]  Barack Obama was white and African.
[02:53:41.794 --> 02:53:43.214]  He was not African-American.
[02:53:43.214 --> 02:53:46.717]  And Africans treat blacks very poorly.
[02:53:46.717 --> 02:53:48.518]  They've got nicknames for us over in Africa.
[02:53:48.518 --> 02:53:53.781]  And even when they come here, they treat us, you know, like, you know, like we're the foreign entity and they're the foreign entity.
[02:53:53.781 --> 02:53:55.102]  And this is like the underbelly.
[02:53:55.102 --> 02:53:56.682]  Everybody knows this in the community.
[02:53:56.682 --> 02:53:57.683]  You know, it's the same.
[02:53:57.683 --> 02:53:58.944]  It's the same way with Asians.
[02:53:59.684 --> 02:54:07.909]  Maybe I shouldn't be saying this, but you know, the Chinese and the Japanese will treat people from Laos differently, from Thailand differently, because they're darker.
[02:54:07.909 --> 02:54:09.610]  And so this is just what happens.
[02:54:09.610 --> 02:54:12.452]  People don't like Kamala Harris because they know she's an Indian.
[02:54:12.452 --> 02:54:15.234]  They know that she's anti-black.
[02:54:15.234 --> 02:54:18.556]  They know that she's locked up men longer than their sentences.
[02:54:18.556 --> 02:54:19.776]  And she's just a bad cop.
[02:54:19.776 --> 02:54:23.118]  Well, she knew people were innocent and kept them in jail on purpose.
[02:54:23.118 --> 02:54:24.900]  To work for the state of California.
[02:54:26.241 --> 02:54:30.426]  All right, Ollie Alexander, amazing, and we've had you on.
[02:54:30.426 --> 02:54:31.888]  I'm glad you came down to visit.
[02:54:31.888 --> 02:54:32.730]  Yeah, this was really fun.
[02:54:32.730 --> 02:54:33.471]  I wanted to get you down here.
[02:54:33.471 --> 02:54:34.512]  I appreciate you being down here.
[02:54:34.512 --> 02:54:35.333]  Yeah, thanks for the invitation.
[02:54:35.333 --> 02:54:38.117]  And hopefully you'll be on with us more as the campaign unfolds.
[02:54:38.117 --> 02:54:40.080]  Yeah, let's see what we can do.
[02:54:40.080 --> 02:54:42.823]  I'm worried about a false flag, a mass shooting to blame on right wingers.
[02:54:43.604 --> 02:54:46.467]  Alex, this will be not an October surprise.
[02:54:46.467 --> 02:54:48.328]  There will be multiple October surprises.
[02:54:48.328 --> 02:54:51.291]  I think more than ever before on both sides.
[02:54:51.291 --> 02:54:55.295]  And we got to really stay vigilant about fact-checking stuff as it comes out.
[02:54:55.295 --> 02:54:57.396]  Because this Wisconsin stuff, it's all fake.
[02:54:57.396 --> 02:54:58.617]  Those are justified shootings.
[02:54:58.617 --> 02:54:59.318]  All of them.
[02:54:59.318 --> 02:55:03.522]  And just don't count on the, oh, the media's covering up when something happens.
[02:55:03.522 --> 02:55:05.584]  So you just sit there and go, well, I can't get the truth out.
[02:55:05.584 --> 02:55:06.404]  Banned on video.
[02:55:07.446 --> 02:55:16.611]  InfoWars.com, NewsWars.com, the other sites we have like CensoredByJack.com and OurElectionCenter2020.com.
[02:55:16.611 --> 02:55:17.392]  Those are all there.
[02:55:17.392 --> 02:55:19.052]  Those links aren't censored yet.
[02:55:19.052 --> 02:55:20.733]  You're able to share those tomorrow.
[02:55:20.733 --> 02:55:24.655]  I'll be talking more about it on The War Room today and coming up in 55 minutes.
[02:55:24.655 --> 02:55:28.638]  Owen's going to be showing you the URLs to share in the fight because you're not just part of the fight.
[02:55:29.318 --> 02:55:29.979]  The Sword.
[02:55:29.979 --> 02:55:30.619]  You're the will.
[02:55:30.619 --> 02:55:31.220]  You're the guts.
[02:55:31.220 --> 02:55:32.241]  You're the brains.
[02:55:32.241 --> 02:55:36.085]  I mean, if you don't share these links, these live feeds, these articles, then the enemy wins.
[02:55:36.085 --> 02:55:37.507]  You take action, we win.
[02:55:37.507 --> 02:55:37.927]  Stay with us.
[02:55:37.927 --> 02:55:38.969]  Special guest host coming up.
[02:55:40.060 --> 02:55:45.723]  The New World Order is a planetary corporate plan for world government.
[02:55:45.723 --> 02:55:48.984]  But world government is only the control grid.
[02:55:48.984 --> 02:55:56.528]  Now, inner members of the cult are told that they are going to transcend and become gods and attain immortality.
[02:55:56.528 --> 02:56:03.531]  But the price for that is to carry out the orderly extermination of all carbon-based life forms.
[02:56:03.531 --> 02:56:05.772]  That's why they say carbon is bad.
[02:56:05.772 --> 02:56:09.014]  They are rewriting the entire genetic code of the planet.
[02:56:09.514 --> 02:56:11.376]  They are playing God.
[02:56:11.376 --> 02:56:21.267]  They believe they have been inspired by interdimensional entities that are giving them advanced technology to carry out this transformation.
[02:56:21.267 --> 02:56:26.593]  I know this sounds insane, but if you read the writings of the Globalist, it's all on record.
[02:56:26.593 --> 02:56:27.695]  You have been warned.
[02:56:29.016 --> 02:56:33.459]  You have been given the information to say no to this plan.
[02:56:33.459 --> 02:56:37.042]  This is the end of all life on Earth as we know it.
[02:56:37.042 --> 02:56:43.847]  This is the alien takeover of Earth.
[02:56:43.847 --> 02:56:55.416]  Finally, nothing moves.
[02:56:58.610 --> 02:57:02.573]  All right, welcome to the Alex Jones Show!
[02:57:02.573 --> 02:57:08.556]  The Alex Jones Show is the most powerful show in America today and around the world.
[02:57:08.556 --> 02:57:17.301]  This is your host, Teacher Today, and I am hosting the fourth hour of the most powerful show in America today, the Alex Jones Show.
[02:57:17.301 --> 02:57:18.562]  My name is Bishop Larry Gators.
[02:57:19.282 --> 02:57:31.207]  I am the host of the nationally and internationally syndicated radio show, Global Spiritual Revolution Radio, through the I Heart Radio Network in the I Heart Media Group, also here in New York City, New York.
[02:57:31.207 --> 02:57:36.549]  And I'm also the host of Global Spiritual Revolution Radio through the Life Radio Network, 92.9 FM, 1460 AM.
[02:57:36.549 --> 02:57:40.130]  I want to talk about, for the next 45 to 55 minutes, a new Cold War.
[02:57:46.753 --> 02:57:50.035]  The Global Vaccination Industrial Complex.
[02:57:50.035 --> 02:57:53.716]  Again, a brand new Cold War.
[02:57:53.716 --> 02:57:56.317]  The Global Vaccination Industrial Complex.
[02:57:56.317 --> 02:58:14.686]  Now, remember one of the greatest historians and theologians in history, a man by the name of Barak de Spinoza once said, and I quote, What altar of refuge can a man find himself when he commits treason
[02:58:15.942 --> 02:58:21.444]  Let me say that again because that's a powerful comment.
[02:58:21.444 --> 02:58:31.707]  What altar of refuge can a man find himself when he commits treason against the majesty of reason?
[02:58:31.707 --> 02:58:38.549]  So then you and I are in the midst of the greatest global cover-up in human history.
[02:58:38.549 --> 02:58:41.970]  Not through the weapons of an atom or a hydrogen bomb.
[02:58:42.887 --> 02:59:07.480]  You and I are eye-witnessing a present-day takeover, not just of our country, but all of the 207 nations upon the face of the earth through the Global Vaccinational Industrial Complex, where we are told, all 7.7 billion people upon the face of this planet are told to socially distance themselves by six feet.
[02:59:07.480 --> 02:59:08.300]  Now think about this.
[02:59:08.300 --> 02:59:11.922]  Now before we get into this vaccinational industrial conspiracy,
[02:59:12.768 --> 02:59:26.023]  There are 7.7 billion people upon the face of this planet, but we are told to socially distance ourselves by 6 feet or degrees from each other.
[02:59:26.023 --> 02:59:27.164]  So 7.7 billion people times 6 feet
[02:59:30.493 --> 02:59:39.862]  April's 46,200,000,000 degrees of separation through sections.
[02:59:39.862 --> 02:59:41.464]  What does that mean, Bishop?
[02:59:41.464 --> 02:59:42.705]  Well, look at the number 46.
[02:59:42.705 --> 02:59:47.710]  You and I have 46 chromosomes in our human genome.
[02:59:47.710 --> 02:59:49.592]  23 from the father, 23 from the mother.
[02:59:52.157 --> 03:00:13.121]  In Genesis chapter 3, now in order for you and I to understand from a geopolitical and a scientific standpoint paradigm of what you and I are experiencing today through this scam called COVID-19, we have to dissect this from a spiritual paradigm.
[03:00:13.121 --> 03:00:15.301]  It's a spiritual factor.
[03:00:15.301 --> 03:00:20.762]  So then 7.7 billion people times six feet from each other
[03:00:21.391 --> 03:00:26.415]  Equals 46,200,000,000 degrees of separation.
[03:00:26.415 --> 03:00:40.604]  So in Genesis chapter 3, verses 1, 4, and 5, the serpent speaks approximately 46 words to the woman called Eve.
[03:00:40.604 --> 03:00:43.306]  You and I have 46 chromosomes.
[03:00:43.306 --> 03:00:45.387]  23 from the father, 23 from the mother.
[03:00:45.387 --> 03:00:47.089]  So in Genesis chapter 3, verse 1,
[03:00:49.514 --> 03:00:53.137]  The serpent speaks 14 words to the woman.
[03:00:53.137 --> 03:00:58.941]  Chapter 3, verse 4, the serpent speaks 5 words to the woman.
[03:00:58.941 --> 03:01:03.284]  In chapter 3, verse 5, the serpent speaks 27 words.
[03:01:04.787 --> 03:01:24.687]  That's 46 words that the serpent spoke to the woman as we're talking about this 46 billion, 200 million degrees of separation, which equals about 7.7 billion people times 6 feet in circumference.
[03:01:24.687 --> 03:01:27.830]  That which is also called, not just social distancing,
[03:01:28.655 --> 03:01:30.376]  But the Gestalt Theory.
[03:01:30.376 --> 03:01:39.901]  Now, one may say, I'm just laying the foundation here, as we're talking about this new Cold War, the Global Vaccination Industrial Complex.
[03:01:39.901 --> 03:01:55.150]  A Nazi clinical psychologist in 1930, a man by the name of Dr. Kurt Lewin, traveled from Germany and came to Stanford University to create the Parapsychology Research Institute.
[03:01:55.686 --> 03:01:59.307]  That they specialize in mind control through LSD.
[03:01:59.307 --> 03:02:01.608]  Well, what is the first letter of Lucifer?
[03:02:01.608 --> 03:02:05.149]  L. Satan S. Devil D. This your LSD.
[03:02:05.149 --> 03:02:15.312]  So, to understand the global vaccinational industrial complex, you cannot look at it from a geopolitical paradigm.
[03:02:15.312 --> 03:02:18.933]  You have to look at it from a spiritual paradigm.
[03:02:18.933 --> 03:02:19.653]  Why?
[03:02:19.653 --> 03:02:22.934]  Because you and I are not fighting against flesh and blood.
[03:02:23.547 --> 03:02:42.891]  You and I are not fighting against Dr. Little Tony Midget Foushee and Dr. Deborah 3000 Scarsburgs and through Don Sweet Tea Lemon, okay, and through all of the Crack News Network devils and through MSNBC and Rachel Macalmadow.
[03:02:43.570 --> 03:02:54.376]  You and I are fighting against an invisible enemy, like our great president said, concerning this global vaccination industrial complex.
[03:02:54.376 --> 03:02:59.539]  So 46, now before the fall of Adam, we did not have chromosomes.
[03:02:59.539 --> 03:03:03.762]  You and I have chromosomes because of our contact with the serpent.
[03:03:03.762 --> 03:03:08.845]  But this other 200 million, well the number 200 is in Enoch chapter 6.
[03:03:10.024 --> 03:03:25.576]  Where 200 fallen angels called Anarchians, Nephilems, or Demasidae made a pact, a contract, with Lucifer, Satan, the Devil, LSD.
[03:03:25.576 --> 03:03:36.805]  And 10% of the 200 angels that were on Mount Hermon, the same mountain that Jesus took Peter, James, and John,
[03:03:37.563 --> 03:03:46.250]  Call the Mount of Transfiguration in Matthew, Mark, and Luke and stay for a protracted 20 days.
[03:03:46.250 --> 03:04:04.444]  But yet in Enoch chapter 6, you got 20 names of the 200 angels which did infect humanity with a new cold war through genetic manipulation
[03:04:05.586 --> 03:04:11.428]  By the way, it is called the Global Vaccinational Industrial Complex.
[03:04:11.428 --> 03:04:28.473]  So then, in order for you and I to understand this from a geopolitical and a scientific point of view, we have to dissect it first from a spiritual view or a spiritual paradigm.
[03:04:28.473 --> 03:04:32.294]  So, this new Cold War is one of vaccination
[03:04:33.263 --> 03:04:37.787]  But it's through the prism of manipulation.
[03:04:37.787 --> 03:04:53.542]  So there is a three-tier level of manipulation that you and I are experiencing, not just here in America, but around the world concerning this new Cold War, the global vaccination industrial complex.
[03:04:54.415 --> 03:05:16.702]  And this three-tailed level of manipulation is the manipulation of reality, that's called esokinesis, the manipulation of time, that's called chronokinesis, and the manipulation of probability, that's called tychokinesis.
[03:05:16.702 --> 03:05:22.924]  Well, esokinesis E, chronokinesis C, tychokinesis T,
[03:05:23.948 --> 03:05:28.034]  That is not only the acronym for the term etc.
[03:05:28.034 --> 03:05:29.115]  etc.
[03:05:29.115 --> 03:05:39.951]  which in its origination or its origin is used by witches and warlocks to put hexes and curses on humanity.
[03:05:40.805 --> 03:05:49.127]  But also this term ECT is an acronym for electroconvulsive therapy.
[03:05:49.127 --> 03:06:10.312]  So when we get back during the second part of today's show concerning the new Cold War, the global vaccination industrial complex, we're going to get further into this global conspiracy of the origin, the birth and the execution of this plan of depopulation.
[03:06:11.038 --> 03:06:14.981]  Through both manipulation and vaccination.
[03:06:14.981 --> 03:06:27.651]  And so we're seeing you guys here in the next three to five minutes on the most powerful show in America, the Alex Jones Show, with your guest host, teacher and moderator today, Bishop Larry Gators.
[03:06:27.651 --> 03:06:29.533]  We see you here in the next three to five minutes.
[03:06:38.334 --> 03:06:43.496]  Attention, attention, attention to anyone that still wants to live in a free country.
[03:06:43.496 --> 03:06:53.320]  The New World Order, Chi-Com, globalist syndicate, is making its move to implode the dollar and thrust the United States into a civil war by contesting the election.
[03:06:53.320 --> 03:06:56.642]  They are openly wargaming this at the highest levels of the Democratic Party.
[03:06:56.642 --> 03:07:01.564]  Nancy Pelosi and others have gone on television and said they will contest the election.
[03:07:01.564 --> 03:07:02.444]  Trump is going.
[03:07:02.444 --> 03:07:06.546]  They will hold a separate inauguration for Biden and Kamala Harris.
[03:07:06.886 --> 03:07:09.487]  And that anyone challenging that will be called a racist.
[03:07:09.487 --> 03:07:15.088]  They will then trigger race riots and violence they've already beta tested around the country.
[03:07:15.088 --> 03:07:17.769]  We are not living in normal times.
[03:07:17.769 --> 03:07:25.230]  When these type of things happen in history, people are usually caught flat-footed because they can't believe they're living in such a criminal era.
[03:07:25.230 --> 03:07:26.151]  We are.
[03:07:26.151 --> 03:07:32.332]  We are living in the period where this criminal globalist syndicate that's been feeding on America is being exposed and removed.
[03:07:32.332 --> 03:07:35.693]  Now is the time for all good men and women to come to the aid of the country.
[03:07:35.973 --> 03:07:38.954]  Spread the word now, Paul Reveres!
[03:07:38.954 --> 03:07:42.076]  How do you contest an election in the year 2020?
[03:07:42.076 --> 03:07:51.640]  Well, you trigger race riots, and you tell the blue states and blue cities, when you're the Speaker of the House, that you are legitimately now the President.
[03:07:51.640 --> 03:07:54.301]  That's what she said on CBS News.
[03:07:54.301 --> 03:07:57.362]  And that you're going to have those blue states secede.
[03:07:57.362 --> 03:08:01.204]  Yes, that's officially called a civil war, ladies and gentlemen.
[03:08:01.204 --> 03:08:05.266]  And the Democrats are backed by the EU, Hollywood, the Chi-Coms, and the whole globalist system.
[03:08:05.606 --> 03:08:15.874]  This is treason with a capital T. And our federal government is so paralyzed with cowards, they won't even stand up against it and do anything, even though our president has been exposing it.
[03:08:15.874 --> 03:08:17.135]  Here's the bottom line.
[03:08:17.135 --> 03:08:18.255]  You need storable food.
[03:08:18.255 --> 03:08:20.877]  We've got the best quality ready to ship to you right now.
[03:08:20.877 --> 03:08:22.218]  Two to four week delivery.
[03:08:22.218 --> 03:08:25.641]  With 80 days out from the election, you need to get high quality storable food right now.
[03:08:25.641 --> 03:08:29.103]  In case they are able to pull this off, we're going to have a Great Depression.
[03:08:29.103 --> 03:08:30.004]  War on the streets.
[03:08:30.004 --> 03:08:31.405]  It'll make a road warrior look like a kid.
[03:08:32.006 --> 03:08:33.288]  You're listening to the Alex Jones Show!
[03:08:59.628 --> 03:09:23.746]  Welcome back to the most powerful show in America today, the Alex Jones Show, here with your guest host of the fourth hour of the Alex Jones Show, Bishop Larry Gators, and we are discussing with you guys today a new Cold War, the global, you know, manipulation, not of just humanity, but this global vaccinational industrial complex
[03:09:24.166 --> 03:09:26.267]  So, let's examine, if you will, the origins of the term vaccination.
[03:09:45.504 --> 03:09:56.112]  To understand vaccination, I want you and I to look up a powerful book called Edward Jenner, MD.
[03:09:56.112 --> 03:09:58.214]  He was an English physician.
[03:09:58.214 --> 03:10:02.357]  Edward Jenner, MD is by the author F. Daltry,
[03:10:05.479 --> 03:10:11.521]  Drew Witt, capital T, capital D-R-E-W-I-T-T.
[03:10:11.521 --> 03:10:25.305]  So, Edward Jenner, M.D., but the author is F. Daltry, capital D-A-W-T-R-Y, Drew Witt, capital D-R-E-W-I-T-T.
[03:10:25.305 --> 03:10:33.387]  Now, you will see on the cover of that book, Dr. Edward Jenner, a sketch of his right arm on a tree limb.
[03:10:34.113 --> 03:10:49.791]  And on the right hand side of Dr. Edward Jenner, who may or may not be related to the Jenner family out of Hollywood, it has a serpent behind him on this tree.
[03:10:50.678 --> 03:10:53.600]  Now, again, that's in the book Edward Jenner, M.D.
[03:10:53.600 --> 03:11:02.464]  by F. Daltrey, D-A-W-T-R-Y, Drewitt, capital D-R-E-W-I-T-T.
[03:11:02.464 --> 03:11:11.069]  Now, you don't see the head of the serpent because the head of the serpent is Dr. Edward Jenner.
[03:11:11.698 --> 03:11:19.841]  So the term vaccine was coined, there you go, so the life of Edward Jenner.
[03:11:19.841 --> 03:11:35.147]  He was a nationalist and he was also the creator of the Jennerian Secret Society, funded by both the Rothschild dynasty in Great Britain through the Royal Secret Society.
[03:11:35.834 --> 03:11:46.717]  So, in the 1700s, the term here, vaccine or vaccination, was coined by Dr. Edward Jenner.
[03:11:46.717 --> 03:11:53.239]  Now, the term vaccine is a combination of two Persian words.
[03:11:53.239 --> 03:11:54.720]  Man, I love teaching.
[03:11:54.720 --> 03:12:04.703]  So, the term vaccine, capital V-A-C-C-I, it means to genetically alter.
[03:12:05.598 --> 03:12:20.035]  In Persian, so Vatsi or Vaka not only means cow pops, but according to the Persian lexicon text, Vatsi means to be genetically altered or changed.
[03:12:20.035 --> 03:12:23.239]  Then we have the term Nation.
[03:12:23.239 --> 03:12:25.622]  So when we talk about vaccination,
[03:12:26.238 --> 03:12:38.246]  Concerning this new Cold War, the global vaccinational industrial complex flew through the prism of the manipulation of reality, time, and probability.
[03:12:38.246 --> 03:12:43.609]  So, vaccination simply means the genetical altering
[03:12:44.198 --> 03:12:50.080]  So then, according to the global Luciferian deep state, their plan is to inoculate you.
[03:12:50.080 --> 03:12:51.661]  Well, look at the term inoculate.
[03:13:11.480 --> 03:13:22.285]  Or Enochian, and this is where we also get the Greek term Enochian, like Enochian Keeps.
[03:13:22.285 --> 03:13:33.751]  Now, remember going back to the 1500s and 1600s, there was a high-level witch and warlock by the name of John Dee.
[03:13:34.508 --> 03:13:42.632]  whose moniker was 007, or Two-Ball Kane, from Genesis chapter 4 verse 22.
[03:13:42.632 --> 03:13:58.619]  So, he, John Dee, was a practitioner of esokinesias, the manipulation of reality, a practitioner of chronokinesias, the manipulation of time,
[03:13:59.707 --> 03:14:06.048]  Through the prism of the manipulation of probability, tachokinesis.
[03:14:06.048 --> 03:14:16.951]  So John Dee, he had totally manipulated three levels of the British crown or throne.
[03:14:16.951 --> 03:14:23.593]  Now we talk about throne, we're talking about not just a seat, but a way of thinking.
[03:14:23.593 --> 03:14:28.494]  So John Dee in the 1500s, up until the time of his death in the early 1600s,
[03:14:30.138 --> 03:14:44.190]  Uh, whose moniker was 007, had totally manipulated the reality, time, and probability of the Kingdom of Great Britain.
[03:14:44.190 --> 03:14:54.899]  As we're breaking down for you guys, schematically, uh, this new Cold War through the Vaccinational Industrial Complex.
[03:14:54.899 --> 03:14:58.762]  Now, I want you students to write down these two words.
[03:14:59.785 --> 03:15:12.697]  OCHIO, capital O-double-C-H-I-O, which means occultic eye, then the term NERO, N-E-R-O.
[03:15:12.697 --> 03:15:21.144]  So, the term OCHIO NERO represents the OCHIO NERO conspiracy.
[03:15:21.144 --> 03:15:22.626]  Wait a minute, Bishop.
[03:15:22.626 --> 03:15:26.049]  What is the OCHIO NERO conspiracy?
[03:15:26.727 --> 03:15:52.576]  Well, it's based upon the Piscean conspiracy going back to 65 A.D., where a man, a Roman state senator by the name of Gaius Calpurnius Piso, from which we get the term Piscean conspiracy,
[03:15:53.408 --> 03:16:06.438]  So then Gaius, along with seven other state senators, their job was to create an abdication of the throne of Nero.
[03:16:06.438 --> 03:16:12.903]  Eight men, because the term occhio or occhi is an Italian word meaning eight.
[03:16:13.624 --> 03:16:35.147]  So, not too long ago, two years ago, you had people like Barack Obama, Pope Francis, being backed by the global Vatican system, the present-day Prime Minister and President of Italy, and the former Prime Minister and President of Italy, and including the black nobility of Europe,
[03:16:36.039 --> 03:16:47.643]  We tried to create a present-day Pysenian conspiracy by removing Donald J. Trump, but it did not succeed.
[03:16:47.643 --> 03:16:59.186]  So then, when we break down this global conspiracy, not through the weapons of mass destruction, like an atom or a hydrogen bomb,
[03:17:00.006 --> 03:17:03.790]  You and I are living a Truman Show.
[03:17:03.790 --> 03:17:18.607]  You remember the 1990 movie, The Truman Show, with Kerry, you know, and Jim Carrey, and I believe there was a man that played the part of Kristoff, named Ed Harris.
[03:17:18.607 --> 03:17:21.370]  So then, who is playing Kristoff today?
[03:17:22.057 --> 03:17:23.338]  The answer to 1984 is 1776.
[03:17:50.530 --> 03:17:54.872]  InfoWars has been banned.
[03:17:54.872 --> 03:17:58.795]  Arrested.
[03:17:58.795 --> 03:18:01.576]  Attacked and threatened.
[03:18:01.576 --> 03:18:03.037]  Because we are effective.
[03:18:03.037 --> 03:18:06.719]  The Great Awakening is here.
[03:18:06.719 --> 03:18:09.000]  Go to Banned.Video.
[03:18:09.000 --> 03:18:13.123]  Download the videos and share.
[03:18:13.123 --> 03:18:16.805]  Support the Information War at InfoWarStore.com.
[03:18:20.422 --> 03:18:22.324]  And never give up the fight.
[03:18:22.324 --> 03:18:23.685]  InfoWars.com
[03:18:36.209 --> 03:18:55.439]  Constantly, whether it's the New York Times, The Washington Post, or Howard Stern, you name it, they come out and they attack him full force saying, Jones claims civil war is coming, and financial collapse, and planetary lockdowns using viruses, and he tells people they should get off the grid and get prepared and have storable food if they can.
[03:18:56.039 --> 03:19:03.208]  And now everything I've warned people about is coming true because it was all in the Rockefeller Foundation documents like lockstep.
[03:19:03.208 --> 03:19:06.372]  This is the corporate planetary takeover.
[03:19:06.372 --> 03:19:12.260]  So yes, I stand by what I said 10 years ago, what I said a year ago, and what I said last week more than ever.
[03:19:12.640 --> 03:19:14.381]  I'm gonna say something right now.
[03:19:14.381 --> 03:19:18.324]  It's one of the most important things I've ever said, so please listen very, very carefully.
