[00:00:06.602 --> 00:00:08.624]  It's Monday, October 12th.
[03:02:34.209 --> 03:02:35.610]  So is Elon Musk.
[03:02:35.610 --> 03:02:39.093]  And they're saying, you must have this chip to work from home to prove you're good.
[03:02:39.093 --> 03:02:41.095]  You can stay home if you take this chip.
[03:02:41.095 --> 03:02:43.437]  You can fly on airplanes if you take this chip.
[03:02:43.437 --> 03:02:44.918]  That is in the news today.
[03:02:44.918 --> 03:02:46.839]  I should have had that top story.
[03:02:46.839 --> 03:02:49.582]  I'm glad you raised that, Aaron.
[03:02:49.582 --> 03:02:51.283]  This is so insane.
[03:02:51.283 --> 03:02:52.184]  It's so naked.
[03:02:52.184 --> 03:02:53.245]  It's such a power grab.
[03:02:53.245 --> 03:02:55.346]  Thank you so much.
[03:02:55.346 --> 03:02:56.727]  Jay in Utah, then.
[03:02:56.727 --> 03:02:57.868]  Gerald Celente takes over.
[03:02:57.868 --> 03:02:58.329]  Go ahead, Jay.
[03:02:59.798 --> 03:03:01.659]  Hey Alex, you're doing a fantastic job.
[03:03:01.659 --> 03:03:02.860]  Appreciate all your efforts.
[03:03:02.860 --> 03:03:07.184]  I want to do a parallel with this clown Oberman and what he said.
[03:03:07.184 --> 03:03:16.871]  I've grown up a Mormon and I have ancestors that were persecuted out of New York and went to Ohio, were persecuted there, went to Missouri, persecuted there.
[03:03:16.871 --> 03:03:25.477]  The governor of Missouri, he issued the extermination order which made it legal for Missourians to kill Mormons and that was on the books until just like a decade ago.
[03:03:25.477 --> 03:03:26.558]  And then the Mormons have to
[03:03:27.028 --> 03:03:27.788]  We're good to go.
[03:03:57.259 --> 03:04:21.541]  And I would love to see John Bowne or Greg Reif do a report on that parallel, or even, there was a great old-time 1950s radio show called I Was a Communist for the FBI, where this guy, there's like 70 episodes and they're like a half hour on old-time radio, and you can see agent provocateurs done, and you can see them stage events, and you can see gaslighting, all these examples.
[03:04:21.541 --> 03:04:23.023]  It's a fantastic tutorial
[03:04:23.567 --> 03:04:26.668]  That could be illustrated in today what was being promoted in the 50s.
[03:04:26.668 --> 03:04:28.349]  Brother, I agree with you and I love you.
[03:04:28.349 --> 03:04:33.490]  I'm going to have Gerald Cilente take over right now, but here's the article on Infowars.com.
[03:04:33.490 --> 03:04:35.931]  2035, work from home if you get microchipped.
[03:04:35.931 --> 03:04:37.532]  Microsoft has announced it.
[03:04:37.532 --> 03:04:39.212]  The article's on Infowars.com.
[03:04:39.212 --> 03:04:41.453]  But Gerald Cilente will be with us for the rest of the hour.
[03:04:41.453 --> 03:04:42.393]  We really appreciate him.
[03:04:42.393 --> 03:04:46.475]  One of the top trends researchers and experts in the world.
[03:04:46.475 --> 03:04:48.195]  Trends Research Institute.
[03:04:48.195 --> 03:04:49.776]  Great monthly magazine.
[03:04:50.716 --> 03:04:51.417]  He's with us now.
[03:04:51.417 --> 03:04:54.119]  He's got a big Columbus Day announcement here.
[03:04:54.119 --> 03:04:54.920]  Gerald, we love you.
[03:04:54.920 --> 03:04:56.581]  Take over.
[03:04:56.581 --> 03:04:59.724]  Thank you, Alex, and happy Columbus Day, everybody.
[03:04:59.724 --> 03:05:08.931]  And as an Italian-American, you know, don't give me the Columbus crap, everybody.
[03:05:08.931 --> 03:05:12.514]  We just sent out a trend alert.
[03:05:12.514 --> 03:05:15.436]  Italian lives matter.
[03:05:15.436 --> 03:05:17.038]  Was Columbus in the mafia?
[03:05:20.071 --> 03:05:24.894]  Any statues of Columbus ripped down today on Columbus Day?
[03:05:24.894 --> 03:05:37.000]  Of the many nationalities in America, not one is more consistently disparaged, defamed, and negatively stereotyped than the Italians.
[03:05:37.000 --> 03:05:42.923]  As I wrote in my book, when Zizi gave Honey Boy a true story about love, wisdom, and the soul of America, and here it is,
[03:05:43.939 --> 03:05:56.766]  Since coming to America, Zizzi has seen prosecutors, the police, the movies, and the media portray Italians as mobsters, crooks, killers, and cafons.
[03:05:56.766 --> 03:06:11.535]  I also wrote, if The Sopranos' brand of stereotyping is not deemed offensive by political correctness advocates, and the show is awarded trophies by the media for its brilliance, then why not bring back Amos and Andy?
[03:06:12.541 --> 03:06:29.226]  Indeed, if the Untouchables, the Godfathers, Goodfellas are acceptable, let's see movies and TV shows of drunk Irishmen, black welfare queens, Jewish banksters, and Latino drug gangs.
[03:06:29.226 --> 03:06:30.686]  Oh, would there be outrage!
[03:06:30.686 --> 03:06:37.989]  And when we get back, I'm going to give you more of the outrage for that, but not against us Italians.
[03:06:37.989 --> 03:06:39.029]  Happy Columbus Day!
[03:06:41.149 --> 03:06:43.630]  2020ElectionsCenter.com.
[03:06:43.630 --> 03:06:46.551]  Just type it in one time and you've got it saved right there in your browser.
[03:06:46.551 --> 03:07:00.337]  Then you can share it on Twitter, Facebook, YouTube, Apple platforms, most importantly, via text message, email, or by word of mouth because they have banned the links to ban.video.
[03:07:00.337 --> 03:07:09.161]  But 2020ElectionsCenter.com is a clone of the site, the exact same links, the exact same videos where you can comment, you can share them, everything.
[03:07:09.161 --> 03:07:09.701]  The system?
[03:07:10.641 --> 03:07:15.382]  Trump is censoring because the power of the people overrode them four years ago.
[03:07:15.382 --> 03:07:20.223]  Trump has finally figured this out, and says he's going to take action once re-elected against Big Tech.
[03:07:20.223 --> 03:07:21.723]  I mean, he's moderating the situation.
[03:07:21.723 --> 03:07:26.164]  Well, we know the president's overwhelmed right now, so we're going to sit here and cry because he has to take an action.
[03:07:26.164 --> 03:07:37.006]  We the people are taking action now, and you can do it very, very easily by sharing 2020ElectionCenter.com, 2020ElectionCenter.com, and checking out the new, redesigned InfoWars.com and sharing that link.
[03:07:37.006 --> 03:07:38.306]  Oh, that really upsets them.
[03:07:38.306 --> 03:07:38.846]  Oh, yeah.
[03:07:40.677 --> 03:07:49.821]  The Bible talks about there being ten kings of the earth that sit above the nation states and who give their power unto the one world leader, the Antichrist.
[03:07:49.821 --> 03:07:57.385]  And he has a beast system that no one can buy or sell unless he has that mark in the forehead or in the palm of their hand.
[03:07:57.385 --> 03:08:04.568]  And we look back on all the warnings that were given and all just the common sense that even if you don't believe in God,
[03:08:05.328 --> 03:08:06.549]  Or prophecy.
[03:08:06.549 --> 03:08:12.993]  Giving governments and corporations the power to control who can buy and who can sell to track everything we do.
[03:08:12.993 --> 03:08:16.536]  It's not just a recipe, it's a blueprint for total enslavement.
[03:08:16.536 --> 03:08:27.283]  And now you look at Bill Gates, you look at Bloomberg and others who openly say, we're technocrats, we should decide how much salt you get, how much alcohol you get, how much red meat you get.
[03:08:27.283 --> 03:08:28.804]  We're technocrats, we know best.
[03:08:28.804 --> 03:08:32.666]  We're now going to set up the economy with a social score to totally control you.
[03:08:32.666 --> 03:08:34.408]  You snap your fingers, we're here.
[03:08:35.248 --> 03:08:37.110]  They're just rolling it out.
[03:08:37.110 --> 03:08:38.431]  And a lot of people are complying with it.
[03:08:38.431 --> 03:08:43.476]  It's insane.
[03:08:43.476 --> 03:08:46.079]  You're listening to the Alex Jones Show.
[03:09:02.674 --> 03:09:04.595]  The answer to 1984 is 1776.
[03:09:04.595 --> 03:09:13.462]  You're listening to The Alex Jones Show with Gerald Celente!
[03:09:13.462 --> 03:09:17.064]  Hey, hey, hey!
[03:09:17.064 --> 03:09:21.267]  Great to be on The Alex Jones Show!
[03:09:21.267 --> 03:09:22.948]  Great to be on this Columbus Day!
[03:09:22.948 --> 03:09:25.670]  Happy Columbus Day, everybody!
[03:09:25.670 --> 03:09:27.291]  Oh, yeah!
[03:09:27.291 --> 03:09:28.472]  Yeah!
[03:09:28.472 --> 03:09:30.053]  Again, as I was saying,
[03:09:30.922 --> 03:09:47.613]  If the Untouchables, the Godfather, and Goodfellas are acceptable, let's see movies and TV shows of drunk Irishmen, black welfare queens, Jewish banksters, and Latino drug gangs.
[03:09:47.613 --> 03:09:49.974]  Oh, would there be outrage!
[03:09:49.974 --> 03:09:55.238]  And now, as self-anointed historical experts proclaim,
[03:09:56.027 --> 03:10:23.445]  What precisely happened 528 years ago, in 1492, when Columbus allegedly discovered America, along with the media and their politically pure, who suffer from PTSD, why do they ignore the millions murdered on war orders
[03:10:25.162 --> 03:10:35.585]  from American presidents, black and white, since the end of World War II.
[03:10:35.585 --> 03:10:39.045]  Italian Lives Matter.
[03:10:39.045 --> 03:10:53.449]  I demand all TV and movies, such as those that I mentioned, The Godfather, Goodfellas, The Untouchables,
[03:10:54.022 --> 03:10:58.185]  The Sopranos.
[03:10:58.185 --> 03:11:06.431]  That mock, denigrate, and vilify Italians be banned.
[03:11:06.431 --> 03:11:19.020]  Just as they've banned movies, commercials, and packages branding that they found offensive to other nationalities and races.
[03:11:19.020 --> 03:11:23.563]  Oh, you want to take Aunt Jemima off that box and Uncle Ben off the rice?
[03:11:24.332 --> 03:11:32.959]  Get rid of those stupid looking Italians that you call them with the big mustaches on the pizza boxes, you know.
[03:11:32.959 --> 03:11:33.939]  Yeah.
[03:11:33.939 --> 03:11:41.225]  These big fat guys that look with those stupid hats on.
[03:11:41.225 --> 03:11:42.086]  Yeah, get rid of them.
[03:11:43.408 --> 03:11:44.209]  Again.
[03:11:44.209 --> 03:11:48.972]  Hey, little De Niro, you little piece of crap that you talk so tough to.
[03:11:48.972 --> 03:11:52.775]  You like playing all those Caffone, hey, tough guy roles.
[03:11:52.775 --> 03:11:58.639]  Hey, look at me, don't you know who I am, hey?
[03:11:58.639 --> 03:12:05.323]  Hey, how come Trump didn't pick a white Italian?
[03:12:05.323 --> 03:12:05.904]  Yeah, look at that.
[03:12:05.904 --> 03:12:06.985]  Hey, Tony's.
[03:12:06.985 --> 03:12:08.406]  Tony Caffone.
[03:12:08.406 --> 03:12:11.588]  Bring me back, Uncle... What's that guy?
[03:12:12.367 --> 03:12:17.030]  Uncle Ben, put him back on the rice box!
[03:12:17.030 --> 03:12:22.353]  Hey, Trump, how come you didn't pick an Italian woman?
[03:12:22.353 --> 03:12:25.696]  How come there are no Italian presidents?
[03:12:25.696 --> 03:12:27.877]  Oh, we're all murderers and thieves.
[03:12:27.877 --> 03:12:29.438]  Hey, they were really stupid.
[03:12:29.438 --> 03:12:30.979]  You know, we talk like this.
[03:12:30.979 --> 03:12:34.421]  It's okay to do this to us.
[03:12:34.421 --> 03:12:36.703]  Oh, yeah, I want to see bring back.
[03:12:36.703 --> 03:12:37.263]  I want to see.
[03:12:38.073 --> 03:12:40.415]  I want Amos and Andy back!
[03:12:40.415 --> 03:12:42.736]  Bring them back, Black Lives Matter!
[03:12:42.736 --> 03:12:45.317]  Oh, only your lives matter!
[03:12:45.317 --> 03:12:47.279]  Italian lives don't matter!
[03:12:47.279 --> 03:12:54.383]  No, we're just gangsters and crooks and cafons!
[03:12:54.383 --> 03:12:56.184]  Oh no, look at that guy, man!
[03:12:56.184 --> 03:13:03.488]  He looks a lot better than the moron on the pizza box!
[03:13:03.488 --> 03:13:05.829]  But that's allowed!
[03:13:05.829 --> 03:13:06.970]  I've had it with this stuff!
[03:13:07.757 --> 03:13:23.620]  I want every one of these degrading, defamatory, mocking, vilifying, Hollywood crap movies and TVs that put down Italians off the air!
[03:13:23.620 --> 03:13:30.241]  Off the air, just like it took down all the other ones that you don't like when they do them to your people!
[03:13:30.241 --> 03:13:33.982]  But to do them to the Italians, hey, hey, yeah!
[03:13:33.982 --> 03:13:34.962]  How about that, huh?
[03:13:36.900 --> 03:13:38.981]  I've had it with this.
[03:13:38.981 --> 03:13:40.581]  Columbus Day!
[03:13:40.581 --> 03:13:42.802]  Proud to be an American!
[03:13:42.802 --> 03:13:45.002]  An Italian-American!
[03:13:45.002 --> 03:13:47.003]  Born to be free!
[03:13:47.003 --> 03:13:49.884]  You got it, little boys and girls?
[03:13:49.884 --> 03:13:51.784]  Born to be free!
[03:13:51.784 --> 03:13:57.886]  Maybe that's what you don't like.
[03:13:57.886 --> 03:13:58.766]  To be free!
[03:13:58.766 --> 03:14:02.667]  I don't have people telling me what to do, and I don't either.
[03:14:02.667 --> 03:14:04.028]  Land of the free!
[03:14:04.028 --> 03:14:04.808]  Yeah, Columbus!
[03:14:05.800 --> 03:14:07.101]  Oh yeah, what Columbus did?
[03:14:07.101 --> 03:14:08.682]  Hey, how about what Obama did?
[03:14:08.682 --> 03:14:13.285]  Hey, how about that murdering black guy, Obama?
[03:14:13.285 --> 03:14:16.627]  Look what you did to Libya, murderer!
[03:14:16.627 --> 03:14:19.168]  Hey, how about that white cat, Bush?
[03:14:19.168 --> 03:14:22.410]  How about that slick Willie Clinton, huh?
[03:14:22.410 --> 03:14:25.732]  Oh yeah, they're murderers, but they're okay!
[03:14:25.732 --> 03:14:27.914]  Hey, how about Colin Powell?
[03:14:27.914 --> 03:14:32.897]  Yeah, how about that black murderer who sold us the Gulf War?
[03:14:34.864 --> 03:14:40.268]  Good and bad comes in every race, creed, color, and religion.
[03:14:40.268 --> 03:14:42.490]  I'm tired of this stuff.
[03:14:42.490 --> 03:14:45.212]  I've had it with this.
[03:14:45.212 --> 03:14:49.295]  All men are created equal.
[03:14:49.295 --> 03:14:56.340]  Save your crap for somebody else and shove it down your throat.
[03:14:56.340 --> 03:14:58.421]  Nobody's better than anybody else.
[03:14:58.421 --> 03:15:00.283]  By your deeds you shall know them.
[03:15:03.226 --> 03:15:19.169]  And to put the Italians out there, as the organized crime band, when the big organized crime is right in front of your eyes.
[03:15:19.169 --> 03:15:24.410]  Yeah, the Wall Street gang.
[03:15:24.410 --> 03:15:29.171]  Could you get any more criminal than them?
[03:15:29.171 --> 03:15:31.452]  How about the banksters, huh?
[03:15:32.591 --> 03:15:37.553]  That steal our money and give it to the too big to fails.
[03:15:37.553 --> 03:15:41.054]  How about the JP Morgan gang?
[03:15:41.054 --> 03:15:51.498]  Yeah, the ones that just got caught rigging the precious metals market and got a slap on the wrist for it.
[03:15:51.498 --> 03:15:53.579]  Hey, but you have a speakeasy.
[03:15:53.579 --> 03:15:56.320]  You got a gambling game over there.
[03:15:56.320 --> 03:15:58.521]  You're playing dice or cards.
[03:15:58.521 --> 03:16:00.161]  Let's break this up.
[03:16:00.161 --> 03:16:01.742]  It will be tough, guys.
[03:16:03.320 --> 03:16:06.802]  Italian lives matter.
[03:16:06.802 --> 03:16:12.844]  I want all these shows off the air.
[03:16:12.844 --> 03:16:15.445]  Support freedom.
[03:16:15.445 --> 03:16:18.227]  Or bring back Amos and Andy.
[03:16:18.227 --> 03:16:22.468]  Put Aunt Jemima back on that box.
[03:16:22.468 --> 03:16:26.650]  I want to see Uncle Ben.
[03:16:26.650 --> 03:16:29.692]  And them drunk Irish cops, I want to see that.
[03:16:29.692 --> 03:16:31.532]  And the black welfare, I want to see those.
[03:16:33.900 --> 03:16:35.581]  Spick gangs.
[03:16:35.581 --> 03:16:37.222]  Oh, how can I say that?
[03:16:37.222 --> 03:16:39.804]  Oh, I could call them wops and guineas.
[03:16:39.804 --> 03:16:42.566]  I can make fun of the good fellas.
[03:16:42.566 --> 03:16:50.472]  Yeah, I want to see all those drug dealer gang shows.
[03:16:50.472 --> 03:16:52.633]  Disgusting.
[03:16:52.633 --> 03:17:00.218]  And all those Italians that play those roles, you should be ashamed of yourselves.
[03:17:00.218 --> 03:17:01.719]  How low can you go?
[03:17:01.719 --> 03:17:01.780]  Hey,
[03:17:03.308 --> 03:17:06.971]  Good and bad comes in every race, creed, and color.
[03:17:06.971 --> 03:17:08.472]  One after another.
[03:17:08.472 --> 03:17:12.375]  Hey, remember that guy Mussolini?
[03:17:12.375 --> 03:17:13.016]  Hup!
[03:17:13.016 --> 03:17:14.477]  Heil Hitler!
[03:17:14.477 --> 03:17:16.339]  I like Stalin!
[03:17:16.339 --> 03:17:19.281]  No, no, no.
[03:17:19.281 --> 03:17:21.603]  How about that guy Sarkozy?
[03:17:21.603 --> 03:17:23.505]  I want that guy Gaddafi out of there.
[03:17:23.505 --> 03:17:26.667]  Or that little boy Cameron, the murderer.
[03:17:26.667 --> 03:17:28.769]  Sun never sets on the British Empire.
[03:17:28.769 --> 03:17:30.050]  Kill people all over the world.
[03:17:31.527 --> 03:17:34.168]  But hey, we'll only go after the Italians.
[03:17:34.168 --> 03:17:35.588]  We'll be back in a little bit.
[03:17:35.588 --> 03:17:38.890]  Stay tuned.
[03:17:38.890 --> 03:17:49.853]  In fiction, supervillains are known as supervillains because they have gigantic, huge, global plans that are incredibly well thought out and incredibly complex.
[03:17:49.853 --> 03:17:54.675]  And if I had told you a year ago, back in October of 2019, that a powerful billionaire
[03:17:54.995 --> 03:18:13.632]  Who controls the UN, would roll out a global hysteria, and lock down the planet, starve millions of people, and would be pushing a forced inoculation to even be able to leave your houses, and that this same billionaire would say, we're all gonna work from home now, and that this was good to lower the carbon footprint on the human population.
[03:18:13.632 --> 03:18:14.753]  You tell me that's crazy.
[03:18:14.753 --> 03:18:16.215]  You tell me that's a dystopia.
[03:18:16.215 --> 03:18:19.198]  You tell me that's some type of science fiction comic book.
[03:18:19.898 --> 03:18:21.860]  But in reality, it really did happen.
[03:18:21.860 --> 03:18:29.747]  His name is Bill Gates, and he's the head of a major eugenics consortium that his father and mother set up more than 60 years ago.
[03:18:29.747 --> 03:18:32.949]  And we're living in this world Bill Gates has built.
[03:18:32.949 --> 03:18:35.692]  Until we start saying no, we are Bill Gates's property.
[03:18:35.692 --> 03:18:38.074]  It's time to expose Bill Gates.
[03:18:38.074 --> 03:18:41.437]  Are you sick and tired of your calm, peaceful life?
[03:18:41.437 --> 03:18:43.418]  Are you sleeping too well at night?
[03:18:43.418 --> 03:18:44.619]  Is your city too safe?
[03:18:47.119 --> 03:18:48.859]  Well, not anymore!
[03:18:48.859 --> 03:18:51.260]  Introducing Democrats!
[03:18:51.260 --> 03:19:00.222]  Politicians so incompetent, they'll fill your neighborhood with riots, looting, rampant violence, and even homelessness!
[03:19:00.222 --> 03:19:05.243]  The secret is a special blend of corruption and good old-fashioned stupidity!
[03:19:05.243 --> 03:19:07.623]  No more pesky law and order!
[03:19:07.623 --> 03:19:11.284]  When Democrats are in charge, nobody's safe!
[03:19:11.284 --> 03:19:15.865]  Simply vote for Democrats, sit back, and watch your neighborhood burn to the ground!
[03:19:16.685 --> 03:19:17.626]  But wait!
[03:19:17.626 --> 03:19:26.512]  Vote for Democrats now and they'll include rolling blackouts, election fraud, cancel culture, taxes, and more taxes!
[03:19:26.512 --> 03:19:29.534]  Democrats, bringing chaos right to your front door!
[03:19:38.033 --> 03:19:41.215]  The future isn't coming, it's here.
[03:19:41.215 --> 03:19:49.778]  And in the future, keeping your humanity, saving your soul, your integrity, your very essence, is going to be your most valuable asset.
[03:19:49.778 --> 03:19:53.360]  In fact, it's going to be your only asset.
[03:19:53.360 --> 03:20:06.066]  The world being built by the technocrats, and the trap they've now sprung with COVID-19 and the endless lockdown, is the beginning of the process of taking us past domestication into total
[03:20:07.246 --> 03:20:09.827]  Incomplete dehumanization.
[03:20:09.827 --> 03:20:15.949]  Human life will be impossible to be carried out in an original biological way by the year 2050.
[03:20:15.949 --> 03:20:19.770]  This is their stated goal.
[03:20:19.770 --> 03:20:28.032]  I'm sorry to have to report horrifying things like this to you, but only by facing the horror and not projecting your own decency onto the enemy.
[03:20:28.032 --> 03:20:29.333]  Let me turn this around.
[03:20:30.053 --> 03:20:35.478]  You must study their own writings, you must face the facts, and you must come to grips with it.
[03:20:35.478 --> 03:20:40.942]  You're all being incrementally destroyed.
[03:20:40.942 --> 03:20:43.564]  You're listening to the Alex Jones Show.
[03:20:59.875 --> 03:21:03.256]  You're listening to The Alex Jones Show.
[03:21:03.256 --> 03:21:09.657]  And now, your host, Gerald Solente.
[03:21:09.657 --> 03:21:13.197]  Hey, great being on The Alex Jones Show.
[03:21:13.197 --> 03:21:17.598]  Great being here on Columbus Day.
[03:21:17.598 --> 03:21:19.298]  Columbus Day.
[03:21:19.298 --> 03:21:21.699]  Hey, Christopher Columbus.
[03:21:21.699 --> 03:21:23.019]  Yep.
[03:21:23.019 --> 03:21:26.279]  But you know, hey, Columbus was in the Mafia.
[03:21:26.279 --> 03:21:27.140]  Don't you know that?
[03:21:27.140 --> 03:21:28.440]  Here's the proof.
[03:21:28.440 --> 03:21:29.340]  Take a look at the photo.
[03:21:30.319 --> 03:21:32.100]  It's right there.
[03:21:32.100 --> 03:21:35.222]  He was a gangster of the first degree.
[03:21:35.222 --> 03:21:39.505]  Yep.
[03:21:39.505 --> 03:21:44.048]  Okay to call him anything you want.
[03:21:44.048 --> 03:21:53.594]  But the other murderers and thieves out there, well, I got some guy telling me what happened 528 years ago.
[03:21:53.594 --> 03:21:54.975]  This is what Columbus did.
[03:21:54.975 --> 03:21:59.438]  And they ignore the atrocities being committed by the Americans.
[03:22:00.120 --> 03:22:07.303]  Hey, you like what you did to Iraq with that war that a black cat lied us into and a white guy?
[03:22:07.303 --> 03:22:08.964]  Yeah, Colin Powell.
[03:22:08.964 --> 03:22:11.105]  There he is, Columbus, yeah.
[03:22:11.105 --> 03:22:15.106]  Now there's the Columbus that they sell you today.
[03:22:15.106 --> 03:22:19.928]  Fine looking gentleman, isn't he, huh?
[03:22:19.928 --> 03:22:23.230]  What a bunch of crap.
[03:22:23.230 --> 03:22:26.191]  Yeah, how about that slick Willie Clinton, huh?
[03:22:26.191 --> 03:22:28.472]  What he did to Yugoslavia and
[03:22:29.352 --> 03:22:30.993]  No, it's not Yugoslavia anymore.
[03:22:30.993 --> 03:22:32.914]  No, we'll get rid of that place.
[03:22:32.914 --> 03:22:35.516]  We'll start a war over there.
[03:22:35.516 --> 03:22:45.783]  Madeline Albright, when he asked if the 500,000 children that died because of Clinton's sanctions on Iraq was worth the price.
[03:22:45.783 --> 03:22:47.284]  Yeah, that's fine.
[03:22:47.284 --> 03:22:48.145]  That's fine.
[03:22:48.145 --> 03:22:50.126]  I'm Madeline Albright.
[03:22:50.126 --> 03:22:53.589]  Not all that bright, babycakes.
[03:22:53.589 --> 03:22:56.631]  An arrogant lady, babycakes.
[03:22:57.367 --> 03:22:59.848]  And a lot of cake on there.
[03:22:59.848 --> 03:23:00.768]  Yeah.
[03:23:00.768 --> 03:23:02.409]  Oh, you don't like that?
[03:23:02.409 --> 03:23:08.591]  But you can say what you want about the Italians?
[03:23:08.591 --> 03:23:14.174]  Look at these murderers.
[03:23:14.174 --> 03:23:18.795]  So.
[03:23:18.795 --> 03:23:21.036]  Very important.
[03:23:21.036 --> 03:23:22.537]  To support peace and freedom.
[03:23:24.284 --> 03:23:30.890]  And very important for you to support InfoWars and support the Trends Journal because we're out there fighting.
[03:23:30.890 --> 03:23:35.674]  This I just got from LinkedIn.
[03:23:35.674 --> 03:23:38.477]  You ready?
[03:23:38.477 --> 03:23:46.063]  Your comment goes against our policy on bullying and harassment.
[03:23:46.063 --> 03:23:50.227]  It must be removed and only you can access it.
[03:23:55.816 --> 03:23:58.157]  You ready?
[03:23:58.157 --> 03:24:05.360]  This is my bullying and harassment.
[03:24:05.360 --> 03:24:24.629]  We all must speak out or just keep bowing down, sucking up, and taking orders from liars, cowards, freaks, and fools who believe they have the power to rule us and destroy our lives and livelihoods.
[03:24:28.660 --> 03:24:35.125]  This comment has been removed because it goes against our professional community policies.
[03:24:35.125 --> 03:24:39.348]  Professional pieces of crap!
[03:24:39.348 --> 03:24:42.830]  What are you talking about?
[03:24:42.830 --> 03:24:44.131]  Professional.
[03:24:44.131 --> 03:24:45.993]  You're the bullies!
[03:24:45.993 --> 03:24:47.074]  And you're bullying me?
[03:24:47.074 --> 03:24:48.054]  Hey!
[03:24:48.054 --> 03:24:51.637]  You're doing this because I'm Italian?
[03:24:51.637 --> 03:24:52.518]  Is that why?
[03:24:52.518 --> 03:24:54.719]  I'm Italian-American.
[03:24:54.719 --> 03:24:58.122]  Annapolitano, born in the Bronx.
[03:24:58.769 --> 03:25:00.650]  Born to be free.
[03:25:00.650 --> 03:25:05.214]  If I was born in Alta Valle Pino Vicoquenza, it couldn't be me.
[03:25:05.214 --> 03:25:07.615]  I'd be caught in their little system.
[03:25:07.615 --> 03:25:11.278]  That tight little system.
[03:25:11.278 --> 03:25:12.599]  I don't like Italy anymore.
[03:25:12.599 --> 03:25:14.300]  The people bow down too easily.
[03:25:14.300 --> 03:25:21.285]  I used to go back there a lot.
[03:25:21.285 --> 03:25:25.528]  And now America is becoming that little-minded place, just like there.
[03:25:25.528 --> 03:25:27.930]  Can't be free anymore.
[03:25:27.930 --> 03:25:28.270]  Again.
[03:25:29.037 --> 03:25:31.799]  Censored by LinkedIn.
[03:25:31.799 --> 03:25:35.282]  By a bunch of little slimy geeks.
[03:25:35.282 --> 03:25:37.003]  Girls and boys.
[03:25:37.003 --> 03:25:38.464]  Little toys.
[03:25:38.464 --> 03:25:40.025]  Tight as can be.
[03:25:40.025 --> 03:25:41.646]  Making you just like them.
[03:25:41.646 --> 03:25:43.968]  That's right.
[03:25:43.968 --> 03:25:46.610]  The geeks have conquered the earth.
[03:25:46.610 --> 03:25:48.251]  Not the meeks.
[03:25:48.251 --> 03:25:49.472]  The geeks.
[03:25:49.472 --> 03:25:51.053]  One of my top trends back in 2018.
[03:25:51.053 --> 03:25:55.016]  The geeks have inherited the earth.
[03:25:55.016 --> 03:25:55.576]  2019, I forget.
[03:25:55.576 --> 03:25:55.976]  And they have.
[03:25:59.821 --> 03:26:03.023]  They were the first ones to lock down up here.
[03:26:03.023 --> 03:26:06.946]  Over in San Francisco, all those tough little boys here.
[03:26:06.946 --> 03:26:08.487]  Look at them!
[03:26:08.487 --> 03:26:10.748]  Look what they look like!
[03:26:10.748 --> 03:26:13.670]  Look at what a cook looks like!
[03:26:13.670 --> 03:26:17.153]  Look what a suckerberg looks like!
[03:26:17.153 --> 03:26:20.915]  That piece of Schmidt from Google!
[03:26:20.915 --> 03:26:24.738]  One little clown boy and girl after another.
[03:26:24.738 --> 03:26:28.080]  Not a drop of boogie, not an ounce of jive.
[03:26:28.533 --> 03:26:30.954]  Tight as can be.
[03:26:30.954 --> 03:26:34.775]  And you go after Columbus and the Italians.
[03:26:34.775 --> 03:26:37.015]  Look at that little boy.
[03:26:37.015 --> 03:26:44.017]  Right out of, hey, did this guy jump out of a spaceship?
[03:26:44.017 --> 03:26:46.358]  Is that an alien or what?
[03:26:46.358 --> 03:26:49.919]  Alien to me, man.
[03:26:49.919 --> 03:26:51.919]  Look at that cook.
[03:26:51.919 --> 03:26:53.280]  Cook.
[03:26:53.280 --> 03:26:55.601]  Guy shot up with microwave, man.
[03:26:55.601 --> 03:26:57.061]  Ain't no cookin' in him.
[03:26:59.435 --> 03:27:02.496]  One after another.
[03:27:02.496 --> 03:27:07.377]  Tight cats.
[03:27:07.377 --> 03:27:23.361]  Imagine, censored on LinkedIn for saying, we all must speak out or just keep bowing down, sucking up and taking orders from liars, cowards, freaks and fools.
[03:27:23.971 --> 03:27:34.855]  Who believe they have the power to rule us and destroy our lives and livelihoods.
[03:27:34.855 --> 03:27:40.217]  Your comment goes against our policy on bullying and harassment.
[03:27:40.217 --> 03:27:43.458]  It has been removed.
[03:27:43.458 --> 03:27:45.499]  Could you imagine this?
[03:27:45.499 --> 03:27:48.680]  These are the bullies and the harassers.
[03:27:48.680 --> 03:27:50.681]  Telling me I cannot say
[03:27:52.082 --> 03:27:58.606]  That we should not bow down and suck up to cowards, liars, freaks, and fools.
[03:27:58.606 --> 03:28:00.207]  There you go, man.
[03:28:00.207 --> 03:28:02.829]  Out of space Bezos.
[03:28:02.829 --> 03:28:04.109]  Yep.
[03:28:04.109 --> 03:28:09.113]  Matter of fact, you know.
[03:28:09.113 --> 03:28:10.213]  Look at them.
[03:28:10.213 --> 03:28:11.494]  Look at them.
[03:28:11.494 --> 03:28:15.196]  These aren't humans.
[03:28:15.196 --> 03:28:18.919]  Freak world is taking over.
[03:28:18.919 --> 03:28:20.800]  How dare Salenti says
