[00:00:02.431 --> 00:00:04.673]  January 21st, 2020.
[03:02:12.751 --> 03:02:22.279]  Children and teenagers to avoid STDs by, God forbid, I know this is a novel concept, not having sex when they're children.
[03:02:22.279 --> 03:02:25.501]  She was subject to a mob outrage backlash.
[03:02:25.501 --> 03:02:28.644]  The Witchfinder generals of Twitter absolutely ruined her.
[03:02:28.644 --> 03:02:35.129]  And in fact, one of these tweets featuring her video, which again encouraged children not to have sex.
[03:02:35.129 --> 03:02:35.689]  That's bad.
[03:02:35.689 --> 03:02:36.830]  You can't do that.
[03:02:36.830 --> 03:02:37.531]  Not progressive.
[03:02:38.553 --> 03:02:40.995]  Got 130,000 likes.
[03:02:40.995 --> 03:02:42.616]  She had to delete the video.
[03:02:42.616 --> 03:02:44.618]  It was basically cancelled.
[03:02:44.618 --> 03:02:56.868]  So after the break, we're going to get into what the doctors on the other side of the equation are telling children and how it's being celebrated by the left and how that ties into what's being shown on Netflix.
[03:02:56.868 --> 03:02:58.249]  This is out of national file.
[03:02:58.249 --> 03:03:03.874]  Netflix show features 10-year-old trans kid as a top in sexual terms.
[03:03:03.874 --> 03:03:04.514]  Yes, indeed.
[03:03:04.514 --> 03:03:06.436]  We do live in hell, ladies and gentlemen.
[03:03:07.466 --> 03:03:08.967]  Meanwhile, a drag queen.
[03:03:08.967 --> 03:03:17.314]  It takes an actual drag queen to tell liberal parents that, no, your kids should not be around sex performers.
[03:03:17.314 --> 03:03:18.716]  But we're going to get into that video.
[03:03:18.716 --> 03:03:22.839]  We're going to play the full clip of that as well.
[03:03:22.839 --> 03:03:30.185]  Meanwhile, in Europe, a French intellectual has been sentenced to two months suspended prison sentence for calling mass immigration an invasion.
[03:03:30.185 --> 03:03:30.966]  Going to get into that.
[03:03:31.710 --> 03:03:35.352]  Sweden has lost control after bombing spike.
[03:03:35.352 --> 03:03:37.413]  60% in 2019 says MP.
[03:03:37.413 --> 03:03:38.854]  He's lucky that he can say it.
[03:03:38.854 --> 03:03:44.097]  Maybe if he was in France, he would be put in prison, or at least on a suspended sentence.
[03:03:44.097 --> 03:03:54.803]  We're also going to get into the fallout from last week's appearance on Question Time of an actor who dared question the sanctity of white privilege
[03:03:55.390 --> 03:04:03.073]  And how that's now being used as a weapon, as a tool to further censor and de-platform yours truly and others on YouTube.
[03:04:03.073 --> 03:04:11.996]  We're also going to get into, of course, the fallout from yesterday's Virginia pro-gun rally, where absolutely nothing happened.
[03:04:11.996 --> 03:04:16.057]  Some aspects of the media were obviously very disappointed that there was no violence there.
[03:04:16.057 --> 03:04:21.779]  Meanwhile, a second Bernie Sanders staffer is calling for armed revolution.
[03:04:23.618 --> 03:04:29.479]  But the media says that people who use the word boogaloo are more of a threat, so we're going to get into that.
[03:04:29.479 --> 03:04:31.919]  Using the word woke is now bigoted.
[03:04:31.919 --> 03:04:34.680]  You can't use that, otherwise you're a racist bigot.
[03:04:34.680 --> 03:04:36.600]  They're trying to control language once again.
[03:04:36.600 --> 03:04:44.802]  We're going to talk about the app, which is basically a facial recognition app, which is causing a firestorm of privacy concerns.
[03:04:44.802 --> 03:04:50.303]  I actually saw this in action before it was in the media, so we're going to get into all that and more on the other side of the break.
[03:04:50.303 --> 03:04:51.943]  BreakingNewsAtSummit.News.
[03:04:51.943 --> 03:04:52.683]  Now go away.
[03:04:52.683 --> 03:04:52.843]  Hey.
[03:04:53.496 --> 03:04:54.877]  You there.
[03:04:54.877 --> 03:04:56.598]  We have a problem.
[03:04:56.598 --> 03:04:59.400]  You see, there is a baby.
[03:04:59.400 --> 03:05:03.303]  The mother of this baby is not sure she's ready.
[03:05:03.303 --> 03:05:07.405]  The father of this baby doesn't want to settle down.
[03:05:07.405 --> 03:05:10.207]  The mother starts to have regrets.
[03:05:10.207 --> 03:05:13.970]  The father considers leaving town.
[03:05:13.970 --> 03:05:17.312]  But a friend says there's a solution.
[03:05:17.312 --> 03:05:20.254]  She says to have an abortion.
[03:05:21.425 --> 03:05:23.326]  The mother decides to look into it.
[03:05:23.326 --> 03:05:26.409]  The clinic assures her it's safe.
[03:05:26.409 --> 03:05:28.190]  She's made her decision.
[03:05:28.190 --> 03:05:30.712]  She's going to have an abortion.
[03:05:30.712 --> 03:05:33.935]  The problem is, that baby is you.
[03:05:36.980 --> 03:05:45.985]  Join me, Owen Schroyer, at the March for Life, Friday, January 24th, in Washington, D.C., noon, at the National Mall.
[03:05:45.985 --> 03:05:47.146]  I'll see you there.
[03:05:47.146 --> 03:05:49.587]  It's time to stand up for the unborn.
[03:05:49.587 --> 03:05:54.891]  It's time to speak out for the voiceless.
[03:05:54.891 --> 03:06:00.314]  You're listening to the Summit.News Radio Hour with Paul Joseph Watson.
[03:06:05.237 --> 03:06:05.857]  And we are live.
[03:06:05.857 --> 03:06:11.060]  We're talking about leftists celebrating 12-year-old kids getting STD screenings without their parents' knowledge.
[03:06:11.060 --> 03:06:13.282]  You can't stop progress!
[03:06:13.282 --> 03:06:17.324]  Drag queen story time is not enough!
[03:06:17.324 --> 03:06:20.165]  This is an article up on Summit News.
[03:06:20.165 --> 03:06:32.172]  Leftists are praising a doctor who made a TikTok dance video encouraging children as young as 12 to see their doctor about abortion and sexually transmitted diseases without their parents' knowledge.
[03:06:32.172 --> 03:06:33.733]  Now again, if you don't know what TikTok is,
[03:06:34.821 --> 03:06:41.908]  It's basically got more downloads than Twitter, Facebook and Instagram combined in the past 18 months or so.
[03:06:41.908 --> 03:06:44.630]  It is now the biggest app out of all of those.
[03:06:44.630 --> 03:06:48.674]  I believe it's got more users than all of those globally.
[03:06:48.674 --> 03:06:53.299]  And it's mainly based around and targeted towards children.
[03:06:53.299 --> 03:06:54.560]  They do dance moves.
[03:06:54.560 --> 03:06:55.441]  They do memes.
[03:06:55.441 --> 03:06:57.042]  The audience is extremely young.
[03:06:57.042 --> 03:07:00.085]  So now doctors are getting on this app.
[03:07:01.104 --> 03:07:07.246]  And in one case, as we talked about before the break, there was a nurse called Nurse Holly, who had a million followers.
[03:07:07.246 --> 03:07:12.608]  She dared to get up on TikTok and encourage children not to have sex.
[03:07:12.608 --> 03:07:20.792]  Yes, she actually committed that crime of opinion and she was absolutely ruined!
[03:07:20.792 --> 03:07:29.615]  Basically, she got up on TikTok and said, the good way to prevent getting sexually transmitted diseases for teenagers and children is not to have sex before marriage.
[03:07:30.720 --> 03:07:33.821]  And the backlash was immediate, and it was vast.
[03:07:33.821 --> 03:07:40.044]  In fact, one person tweeted, and this is what really got the backlash rolling on Twitter.
[03:07:40.044 --> 03:07:55.251]  Somebody called Margo, who goes by the handle dumbbitchmargo, that's quite relevant, who said, if I go to get tested, and the nurse tells me I should have waited till marriage, someone is getting knocked TF out.
[03:07:56.494 --> 03:08:14.483]  And she was venerated by the mob outrage Witchfinder Generals on Twitter who adorned her with 130,000 likes for publicly shaming this nurse who had the temerity to tell children not to have sex.
[03:08:14.483 --> 03:08:16.484]  There you see her right there.
[03:08:16.484 --> 03:08:17.545]  So she got cancelled.
[03:08:17.545 --> 03:08:18.886]  She had to delete the video.
[03:08:18.886 --> 03:08:20.566]  She's probably been doxxed by now.
[03:08:20.566 --> 03:08:25.309]  No doubt she's being threatened on social media because it's, you know, all in the name of progress.
[03:08:26.772 --> 03:08:46.387]  But then the reaction to that was other doctors, older doctors in fact in this case, an Asian woman, getting up on TikTok and encouraging children to go into a doctor's office to get sexually transmitted diseases screenings and treatment without telling their parents.
[03:08:46.387 --> 03:08:52.752]  So this article continues, the clip shows an Asian woman performing a popular TikTok dance while text on the screen explains, quote,
[03:08:53.482 --> 03:09:03.406]  You can see your doctor without your parent for birth control, STD screening, STD treatment, for a pregnancy test, or to answer your questions about sex.
[03:09:03.406 --> 03:09:06.827]  And then it specifically targets kids as young as 12.
[03:09:06.827 --> 03:09:14.890]  If you're 12 or older, I will politely ask all adults to exit for part of the visit to have a confidential conversation about your health.
[03:09:14.890 --> 03:09:18.512]  So they're literally telling 12-year-olds to go into a doctor's office
[03:09:19.434 --> 03:09:23.997]  And talk about STDs, talk about abortions without their parents being present.
[03:09:23.997 --> 03:09:28.599]  Apparently, in many states, that is completely legal.
[03:09:28.599 --> 03:09:33.562]  So this was posted up on Twitter by a journalist called Yashar Ali.
[03:09:33.562 --> 03:09:36.103]  And it received a lot of praise.
[03:09:36.103 --> 03:09:38.645]  In fact, Ali himself said, Love this video.
[03:09:38.645 --> 03:09:41.026]  Doctors on TikTok is my favorite trend.
[03:09:42.179 --> 03:09:47.020]  Eric Koch said, saw these both last week and thought they were both so good.
[03:09:47.020 --> 03:09:48.841]  And the respondent said, these are all fantastic.
[03:09:48.841 --> 03:09:50.001]  We need more of these.
[03:09:50.001 --> 03:09:53.162]  So there was a lot of positive feedback.
[03:09:53.162 --> 03:10:10.486]  And then one person who dared to question whether it was a good idea for 12 year olds to be encouraging 12 year olds to have STD screenings and talk about abortion, whether that was a good idea without the parents being present.
[03:10:10.486 --> 03:10:11.726]  He said, serious question.
[03:10:12.435 --> 03:10:16.717]  Twelve-year-olds should not be talking to their parents about stuff mentioned in this video.
[03:10:16.717 --> 03:10:21.860]  Can I help but think I would like to be involved enough in my kid's life to help them make an informed decision?
[03:10:21.860 --> 03:10:23.381]  No, you're a bigot.
[03:10:23.381 --> 03:10:28.363]  In fact, the first response to that tweet was, you don't seem to be down with progress, man.
[03:10:28.363 --> 03:10:34.126]  Twelve-year-old kids getting STDs, that's all, you know, that's the progressive agenda.
[03:10:34.126 --> 03:10:36.188]  Can't stop progress.
[03:10:36.188 --> 03:10:36.948]  But to be fair,
[03:10:38.604 --> 03:10:44.386]  I would say, judging on what I saw, the majority of responses to the tweet were actually negative.
[03:10:44.386 --> 03:10:51.487]  One person tweeted, imagine being a middle-aged woman begging kids to sleep around to give you life purpose.
[03:10:51.487 --> 03:10:54.288]  Another person responded.
[03:10:54.288 --> 03:11:00.710]  She said, I'm all for the first one, but the 12-year-old part of the second one strikes a chord with me and apparently many parents.
[03:11:01.260 --> 03:11:10.703]  There is no world where a 12-year-old has the developed prefrontal cortex to autonomously consult a physician about their sex life.
[03:11:10.703 --> 03:11:20.106]  Remember, they're encouraging kids to get away from their adults, to not have their adult parents present while discussing sexually transmitted diseases.
[03:11:20.106 --> 03:11:29.909]  And then several other people made the point that this could be a perfect excuse for paedophiles to hide the fact that they've molested children.
[03:11:29.909 --> 03:11:30.889]  One person said, quote,
[03:11:31.977 --> 03:11:41.785]  Anyone supporting the idea that a 12-year-old can be tested for an STD without their parents' knowledge is probably concerned about being caught.
[03:11:41.785 --> 03:11:49.832]  People who tell 12-year-olds to test for STDs without parents are the ones who gave the STDs to them, commented another user.
[03:11:49.832 --> 03:11:54.336]  A licensed therapist who works with adolescents said, But again, it's about the reaction.
[03:11:59.690 --> 03:12:15.996]  There's not going to be any kind of BuzzFeed hit piece on this doctor who's encouraging 12-year-olds—and this is not the only one, there are several other videos to the same effect—encouraging 12-year-olds to be talking about STDs without their parents being present.
[03:12:15.996 --> 03:12:22.499]  As I mentioned, Nurse Holly, she was cancelled for doing the same thing but in the opposite direction.
[03:12:23.427 --> 03:12:27.889]  Daring to suggest the crime of opinion that children should not be having sex.
[03:12:27.889 --> 03:12:33.671]  Her life, at least temporarily, has been ruined for doing so.
[03:12:33.671 --> 03:12:44.034]  But again, it goes back to the fact that the US is experiencing a dramatic rise in sexually transmitted diseases, with a 31% increase overall in cases of chlamydia, gonorrhea and syphilis since 2013.
[03:12:46.730 --> 03:12:49.030]  Children are being sexualized.
[03:12:49.030 --> 03:12:56.872]  Why do we live in a culture where 12-year-olds are getting STDs and adults are treating this as an acceptable part of growing up?
[03:12:56.872 --> 03:12:59.372]  Why is this being praised on Twitter?
[03:12:59.372 --> 03:13:03.313]  This should not be treated as normal.
[03:13:03.313 --> 03:13:07.454]  The Atlantic reported how syphilis sneaked up on Americans.
[03:13:07.454 --> 03:13:09.714]  And it goes through some of the numbers.
[03:13:09.714 --> 03:13:13.875]  And it's basically because people have stopped taking STDs seriously.
[03:13:13.875 --> 03:13:15.395]  People have stopped wearing condoms.
[03:13:15.919 --> 03:13:17.900]  And so STDs are exploding.
[03:13:17.900 --> 03:13:22.441]  Apparently though, STDs are now a progressive virtue.
[03:13:22.441 --> 03:13:40.007]  In fact, I remember making a video back in, I think it was 2015, where there was a Twitter trend, and I think it was hashtag shoutyourSTD, where leftists all across Twitter were enthusiastically voicing
[03:13:40.757 --> 03:13:55.607]  What STDs they had and how proud they were of having those STDs, because again sexually transmitted diseases like gonorrhea and chlamydia are now apparently a progressive virtue that should be normalized for 12 year old children.
[03:13:55.607 --> 03:14:02.852]  And in the context of normalizing sexualization of children, National File has this headline, Netflix show features 10 year old trans kid as a top
[03:14:03.925 --> 03:14:06.067]  I think we talked about this show before.
[03:14:06.067 --> 03:14:25.081]  It's a drag queen show created by RuPaul titled AJ and the Queen, where a 10-year-old accompanies a drag queen to perform in mostly gay clubs around the country in one scene the prepugescent child is referred to as a top, which means the person who penetrates during gay intercourse.
[03:14:25.081 --> 03:14:28.824]  Bear in mind this all occurred after, what is it now, three years plus
[03:14:29.682 --> 03:14:54.595]  Of the dominant media institutions, dominant cultural institutions in the media, normalising Desmond is Amazing, a 11 year old, I think he's probably 12 at this point, but at the time 10, 11 year old boy, literally being present in gay nightclubs in New York, dancing on a stage while gay men insert dollars into his clothing.
[03:14:55.535 --> 03:14:58.238]  And that was normalised by the mainstream media.
[03:14:58.238 --> 03:15:07.066]  This kid has been featured in videos where other drag queens are sat around him, where they're literally talking about snorting ketamine.
[03:15:07.066 --> 03:15:15.514]  And there you see another example of that, where there was a poster behind him which featured the word Rohypnol, which of course is a date rape drug.
[03:15:16.653 --> 03:15:36.892]  Apparently this is all completely normal to the dominant cultural institutions that now control progressivism, so it's no surprise that there's a new Netflix show which not only normalises that, but actually suggests that this 10-year-old boy, and I don't even want to get into it because it's absolutely disgusting, but this is what's being normalised.
[03:15:36.892 --> 03:15:38.073]  People are asking the question.
[03:15:39.088 --> 03:15:43.196]  When will they just come out and try to make paedophilia legal?
[03:15:43.196 --> 03:15:48.005]  People have said that that's coming down the pipeline in five to ten years, maybe even sooner than that.
[03:15:48.005 --> 03:15:49.487]  Don't go away.
[03:15:49.487 --> 03:15:50.890]  Summit.News, we'll be back.
[03:15:51.701 --> 03:15:52.921]  Hi, I'm Dan Pilla.
[03:15:52.921 --> 03:15:56.842]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:15:56.842 --> 03:15:58.382]  I sued the IRS and won.
[03:15:58.382 --> 03:16:01.343]  I beat the IRS then, and I've been beating them ever since.
[03:16:01.343 --> 03:16:06.904]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:16:06.904 --> 03:16:08.104]  I can help you, too.
[03:16:08.104 --> 03:16:11.045]  If you owe taxes you can't pay, don't wait another day.
[03:16:11.045 --> 03:16:13.265]  There's no such thing as a hopeless tax case.
[03:16:13.265 --> 03:16:17.706]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[03:16:17.706 --> 03:16:19.987]  That's danpilla.com, danpilla.com.
[03:16:21.167 --> 03:16:27.510]  The United States of Empire is a book that claims the United States is the empire of the world.
[03:16:27.510 --> 03:16:30.552]  George Washington had warned us against foreign wars.
[03:16:30.552 --> 03:16:36.475]  The United States of Empire shows that World Wars I and II left England broken.
[03:16:36.475 --> 03:16:40.277]  Its former colony, the U.S., had to save the empire.
[03:16:40.277 --> 03:16:41.537]  Was there ever a vote?
[03:16:41.537 --> 03:16:42.878]  Who do we fight for?
[03:16:42.878 --> 03:16:49.081]  The Deep State began with World War I. The United States of Empire by James Dunn.
[03:16:49.081 --> 03:16:50.522]  Available at Amazon Books.
[03:16:51.513 --> 03:16:54.514]  We can all agree these are troubled times, right?
[03:16:54.514 --> 03:16:57.435]  So do you know who's on your wireless network?
[03:16:57.435 --> 03:17:04.637]  Whether it's a big company selling your data, or a foreign hacker, if you're not protected, everybody sees your information.
[03:17:04.637 --> 03:17:09.878]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[03:17:09.878 --> 03:17:17.460]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[03:17:17.460 --> 03:17:20.961]  And not just one, but all your devices with one out-of-the-box setup.
[03:17:21.241 --> 03:17:30.404]  Plus, Flash Routers also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[03:17:30.404 --> 03:17:33.625]  Call or click Flash Routers today at 1-866-509-5817 or F-L-A-S-H-R-O-U-T-E-R-S dot com.
[03:17:33.625 --> 03:17:34.786]  That's 1-866-509-5817 or FlashRouters.com.
[03:17:34.786 --> 03:17:39.708]  Protect your wireless home network today with Flash Routers.
[03:17:52.489 --> 03:17:56.631]  Knock on wood, I am not tempting fate.
[03:17:56.631 --> 03:18:04.714]  But everybody around the office, especially folks that have worked there a long time, have noticed that I really don't ever get sick.
[03:18:04.714 --> 03:18:08.315]  Now, again, I might get sick tomorrow, because I just made that statement.
[03:18:08.315 --> 03:18:09.596]  I'm not tempting fate.
[03:18:09.596 --> 03:18:12.717]  I'll say that again, because I am superstitious when it comes down to that.
[03:18:12.717 --> 03:18:17.338]  I'm very thankful to the good Lord for the Constitution I've been given.
[03:18:17.338 --> 03:18:20.600]  But up until about eight, nine years ago, when I started taking
[03:18:22.040 --> 03:18:42.811]  I still get sore throats from allergies and pollen and things like that, but now that I religiously take the products at InfoWars Life, one of the highest quality supplements you're going to find out there, I just never get a fever anymore.
[03:18:42.811 --> 03:18:47.134]  It's probably been three, four years since I've had a fever.
[03:18:48.027 --> 03:18:49.368]  It's just crazy.
[03:18:49.368 --> 03:18:52.490]  So I chalk it up to genetics and the great products.
[03:18:52.490 --> 03:19:00.574]  We have been fighting so hard the last two weeks that I've not even had time to cut new audio ads for this huge syndicated radio audience.
[03:19:00.574 --> 03:19:02.195]  And I apologize to radio listeners.
[03:19:02.195 --> 03:19:05.577]  I apologize for the fact I'm cutting this on a phone as I drive down the road.
[03:19:05.577 --> 03:19:08.339]  But this is a war and we're getting it done any way we can.
[03:19:08.339 --> 03:19:12.841]  But we had huge sales in the New Year.
[03:19:12.841 --> 03:19:15.203]  Around Christmas into the New Year.
[03:19:15.203 --> 03:19:17.444]  But we sold the products at such low prices.
[03:19:18.666 --> 03:19:30.852]  That he didn't bring in a lot of actual capital to fund our operations, and I'm expending massive amounts of money to put more than 15 people in Virginia, more than 10 people in BC, all next week for the trial of Trump.
[03:19:32.208 --> 03:19:37.312]  It's so critical we're there to confront the globalists and put out the counter-narrative of the truth to what they're doing.
[03:19:37.312 --> 03:19:38.593]  This is a real fight.
[03:19:38.593 --> 03:19:45.159]  So please step to the plate and take care of yourself and your family and get great products while you do it at InfoWareStore.com.
[03:19:45.159 --> 03:19:48.982]  These are products you need, like the Ultimate Finish Oil, and it funds the operation.
[03:19:48.982 --> 03:19:49.963]  Please take action.
[03:19:49.963 --> 03:19:56.068]  InfoWareStore.com.
[03:19:56.068 --> 03:19:58.690]  You're listening to the Alex Jones Show.
[03:20:06.178 --> 03:20:16.325]  You're listening to Summit.News with Paul Joseph Watson.
[03:20:16.325 --> 03:20:34.478]  So like this normalizing culture of kids having conversations about sexually transmitted diseases with doctors without their parents being present, Netflix has premiered a new show about drag queens where a 10 year old boy accompanies a drag queen to perform in gay nightclubs.
[03:20:35.831 --> 03:20:40.493]  And of course, we have Drag Queen Story Hour, not only in the US, but now globally.
[03:20:40.493 --> 03:20:47.775]  In fact, there was a protest of a Drag Queen Storytime event in Australia last weekend.
[03:20:47.775 --> 03:20:56.798]  A day later, one of the leaders against that protest killed himself, reportedly, and of course, many progressives celebrated that on Twitter.
[03:20:56.798 --> 03:21:03.500]  Well, now it looks like it's going to take an actual drag queen to tell left-wing parents that having their children
[03:21:04.426 --> 03:21:11.428]  Watch and in some cases perform with what are essentially sex performers is probably not a good idea.
[03:21:11.428 --> 03:21:17.710]  And this drag queen posted a two minute clip to Twitter trying to explain this.
[03:21:17.710 --> 03:21:18.611]  We're going to play it now.
[03:21:18.611 --> 03:21:20.131]  We'll come back and talk about it.
[03:21:20.131 --> 03:21:22.492]  Here's the clip.
[03:21:22.492 --> 03:21:29.174]  What in the hell has a drag queen ever done to make you have so much respect for them and admire them so much?
[03:21:30.307 --> 03:21:35.792]  Other than put on makeup and jump on the floor and writhe around and do sexual things on stage.
[03:21:37.014 --> 03:21:43.535]  I have absolutely no idea why you would want that to influence your child.
[03:21:43.535 --> 03:21:47.876]  Would you want a stripper or a porn star to influence your child?
[03:21:47.876 --> 03:21:50.496]  It makes no sense at all.
[03:21:50.496 --> 03:21:55.517]  A drag queen performs in a nightclub for adults.
[03:21:55.517 --> 03:22:00.858]  There is a lot of filth that goes on, a lot of sexual stuff that goes on.
[03:22:00.858 --> 03:22:05.319]  And backstage, there's a lot of nudity, sex, and drugs.
[03:22:06.357 --> 03:22:12.941]  Okay, so I don't think that this is an avenue you would want your child to explore.
[03:22:12.941 --> 03:22:19.165]  They could explore dressing up at home like we all did, like all gay boys did.
[03:22:19.165 --> 03:22:22.347]  We all dressed at home and we had a great time.
[03:22:22.347 --> 03:22:27.731]  We had a great time with our girlfriends, putting on makeup, trying on clothes, things like that.
[03:22:28.766 --> 03:22:36.489]  But to actually get them involved in drag is extremely, extremely irresponsible on your part.
[03:22:36.489 --> 03:22:48.633]  And I understand you might want to look like you're with it, that you're cool, that you're woke, that you're not a Nazi, that you're not a homophobe, whatever, whatever it may be.
[03:22:48.633 --> 03:22:56.316]  But you can raise your child to be just a normal, regular, everyday child without including them in gay, sexual,
[03:22:58.834 --> 03:22:59.234]  I think?
[03:23:18.960 --> 03:23:28.267]  But if you need your child to be entertained by a big human in a costume or in makeup, take them to the circus or something.
[03:23:28.267 --> 03:23:32.790]  When they turn 18, then why don't you take them to the clubs on their 18th birthday?
[03:23:32.790 --> 03:23:35.192]  Because it's an adult thing, okay?
[03:23:35.192 --> 03:23:42.037]  So don't ruin your child's life, and don't ruin us.
[03:23:42.037 --> 03:23:47.781]  They have an actual drag queen called Kitty DeMure telling leftist progressive parents
[03:23:48.300 --> 03:24:01.550]  What in the world are you doing allowing your kids to be around drag queens at events that in some cases, in many cases, you've seen the clips of them writhing around on the floor, are overtly sexual in nature.
[03:24:01.550 --> 03:24:05.533]  Kids as young as five years old in some cases.
[03:24:05.533 --> 03:24:10.777]  Question is, do these kind of events actually attract child predators?
[03:24:10.777 --> 03:24:12.438]  Yes they do.
[03:24:12.438 --> 03:24:13.119]  And in fact there was a
[03:24:13.903 --> 03:24:28.872]  A sex offender, 32-year-old Albert Garza, a registered sex offender who was convicted of assaulting an 8-year-old boy over 10 years ago, he was subsequently a participant in a drag queen storytime event in Houston.
[03:24:28.872 --> 03:24:34.695]  Of course these people are going to exploit these events to get in a situation where they're going to be around children.
[03:24:34.695 --> 03:24:35.796]  They're predators.
[03:24:35.796 --> 03:24:37.357]  They're paedophiles in some cases.
[03:24:38.396 --> 03:24:40.417]  Another headline here out of LifeSite News.
[03:24:40.417 --> 03:24:45.740]  Drag Queen Admits He's Grooming Children at Story Hour Events.
[03:24:45.740 --> 03:24:55.604]  There's drag queens are deliberately grooming the next generation to accept LGBTI ideology when they read to children in public libraries at drag queen story hour events.
[03:24:55.604 --> 03:24:57.425]  A US drag queen admitted!
[03:24:57.425 --> 03:25:04.949]  This is not Breitbart, this is not Infowars, this is the drag queens themselves admitting that that's what they do.
[03:25:06.400 --> 03:25:24.625]  Dylan Pontiff, the drag queen who helped organise one of these Story Hour events for children as young as three for the Lafayette Public Library early October last year, was shown in a video making that shocking admission to Lafayette City Parish Council in Louisiana during a September 17 meeting.
[03:25:24.625 --> 03:25:30.107]  This drag queen says, quote, this is going to be the grooming of the next generation.
[03:25:30.107 --> 03:25:32.968]  We are trying to groom the next generation.
[03:25:35.233 --> 03:25:41.797]  Continued, I can go in and entertain adults in a club and also entertain a group of students and young children.
[03:25:41.797 --> 03:25:47.940]  I'm able to do that because I'm an adult and I'm able to filter myself.
[03:25:47.940 --> 03:25:55.184]  He went on to say, unfortunately the Drag Queen Story Hour program is turning public libraries into platforms to advance the transgender revolution.
[03:25:55.184 --> 03:26:00.087]  Places where pro-homosexual activists are given access to children as young as three.
[03:26:00.087 --> 03:26:03.449]  That was John Ritchie who said that, director of TFP Student Action.
[03:26:04.813 --> 03:26:08.536]  And of course we have this headline from back in December.
[03:26:08.536 --> 03:26:13.961]  Favourite Drag Queen Storytime author likes paedophile Instagram posts.
[03:26:13.961 --> 03:26:24.691]  The children's author whose books are frequently read at Drag Queen Story Hour events across the country was caught liking an Instagram picture posted by a proud paedophile.
[03:26:24.691 --> 03:26:27.414]  And by the way, Twitter, they're called Maps.
[03:26:28.271 --> 03:26:31.553]  They allow paedophiles to openly operate on Twitter.
[03:26:31.553 --> 03:26:35.535]  No big deal if you express an edgy opinion about mass immigration.
[03:26:35.535 --> 03:26:37.356]  No, you get banned!
[03:26:37.356 --> 03:26:44.741]  A screenshot shows kids author Todd Barnes liked an image of a triangle spiral tattoo, which is a symbol for boy lover.
[03:26:44.741 --> 03:26:46.262]  How progressive!
[03:26:46.262 --> 03:26:48.803]  We have this headline.
[03:26:48.803 --> 03:26:54.687]  Teacher who supported drag queen visiting school says parents shouldn't have final say in raising their children.
[03:26:54.687 --> 03:26:56.808]  Well, I guess if they don't have any say in their children,
[03:26:57.452 --> 03:27:07.137]  Talking to doctors about sexually transmitted diseases as young as 12 years old, maybe they shouldn't have any say in drag queen story time too.
[03:27:07.137 --> 03:27:09.178]  This was at Willis High School.
[03:27:09.178 --> 03:27:13.220]  We just paid a visit by an adult drag performer by the stage named Lynn Adonis.
[03:27:13.220 --> 03:27:15.702]  We spent the day with the children.
[03:27:15.702 --> 03:27:16.902]  There was some backlash.
[03:27:16.902 --> 03:27:18.083]  The parents were annoyed with it.
[03:27:20.290 --> 03:27:30.056]  And then he went on to say, this drag queen, parents believe they should be able to storm the school in the name of political and religious beliefs if something happens in the school that they're morally opposed to.
[03:27:30.056 --> 03:27:33.519]  They forget that we make a promise to prepare their children to live in a diverse world.
[03:27:33.519 --> 03:27:37.541]  We are not required to protect misguided, bigoted views of their parents.
[03:27:37.541 --> 03:27:42.685]  And he went on to say that parents should not have a role.
[03:27:42.685 --> 03:27:47.428]  The exact quote is, I believe that raising a child is the responsibility of the community.
[03:27:48.484 --> 03:27:52.805]  We've seen that being pushed by the mainstream media before, years ago.
[03:27:52.805 --> 03:27:56.386]  He went on to say, Parents should not have the final say.
[03:27:56.386 --> 03:28:00.167]  Let's be honest, some of you don't know what's best for your kids.
[03:28:00.167 --> 03:28:10.389]  This guy who dresses up in female clothing and writhes around on the floor screaming during Drag Queen Storytime, he knows what's best for your kids.
[03:28:10.389 --> 03:28:16.291]  And of course we have this story, Student demonised for protesting against Drag Queen Storytime commits suicide.
[03:28:16.291 --> 03:28:17.851]  This was in Brisbane, Australia.
[03:28:18.596 --> 03:28:30.250]  A group of individuals, mostly politely, they weren't really aggressive, they were just voicing their opinion, entered Brisbane City Council library during the protest last weekend now.
[03:28:30.250 --> 03:28:33.054]  One of these individuals, Wilson Gavin,
[03:28:33.706 --> 03:28:36.530]  Shouted, quote, drag queens or not for kids.
[03:28:36.530 --> 03:28:42.738]  He was then subjected to an absolute bombardment of vitriolic hate on social media.
[03:28:42.738 --> 03:28:46.283]  And just a day after that, he committed suicide.
[03:28:46.283 --> 03:28:50.169]  And a lot of very virtuous progressive people on Twitter laughed about it.
[03:28:51.897 --> 03:28:53.858]  Heart disease is on the rise.
[03:28:53.858 --> 03:28:59.182]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[03:28:59.182 --> 03:29:00.764]  But the symptoms are there.
