[00:00:12.403 --> 00:00:14.684]  Wednesday, February 12, 2020.
[03:09:10.595 --> 03:09:11.676]  That it's going to kill the whole planet.
[03:09:11.676 --> 03:09:14.618]  You would explain that to them, and you would say it's heading here, it's going to hit here.
[03:09:15.359 --> 03:09:21.464]  And even if they believe those facts, they would still say, nah, it's probably not going to be that bad.
[03:09:21.464 --> 03:09:24.607]  So this is what's happening in our world.
[03:09:24.607 --> 03:09:35.695]  Whether we're talking about the coronavirus or the coming financial collapse that will happen probably within our lifetimes, we don't know what year, we don't know when, but fiat currencies collapse, it's going to be devastating.
[03:09:35.695 --> 03:09:37.657]  The debt pyramid will collapse.
[03:09:37.657 --> 03:09:40.659]  The spread of this disease, it's devastating.
[03:09:40.659 --> 03:09:43.722]  But the average person does not prepare
[03:09:44.389 --> 03:09:47.601]  Because they can't fathom these things happening.
[03:09:47.601 --> 03:09:50.752]  So, in this hour today here on InfoWars...
[03:09:51.826 --> 03:10:04.873]  I'm going to share with you why you don't have to be worried about the coronavirus killing you, because I will talk about some natural molecules found in nature that easily halt this virus.
[03:10:04.873 --> 03:10:08.035]  I've been doing some research on this, working in my lab.
[03:10:08.035 --> 03:10:13.017]  We know about some natural cures already, things that work, things that you can do today.
[03:10:13.017 --> 03:10:17.300]  That doesn't require buying anything, just changing what you eat.
[03:10:17.300 --> 03:10:19.021]  I'll talk about that here.
[03:10:19.021 --> 03:10:21.302]  But realize that other people won't be prepared.
[03:10:22.114 --> 03:10:24.696]  Other people are living on total junk food.
[03:10:24.696 --> 03:10:26.838]  They don't believe in nutrition.
[03:10:26.838 --> 03:10:34.224]  And they don't believe that this virus is spreading because, for some reason, they think that communists in China always tell the truth.
[03:10:34.224 --> 03:10:35.145]  Which is insane.
[03:10:35.145 --> 03:10:37.207]  They think the WHO is telling the truth.
[03:10:37.207 --> 03:10:46.935]  So the real big picture here, folks, is that this virus probably won't kill you because you will be informed, because you're a listener to this show.
[03:10:47.589 --> 03:10:50.550]  You read websites that help keep you informed.
[03:10:50.550 --> 03:10:52.730]  We can teach you how to survive this.
[03:10:52.730 --> 03:10:53.650]  It's not that difficult.
[03:10:53.650 --> 03:10:57.611]  Even if you do nothing, your chances of survival are 83%.
[03:10:57.611 --> 03:10:58.211]  All right?
[03:10:58.211 --> 03:11:02.612]  Because it's about a 17% kill rate, maybe a 15% kill rate.
[03:11:02.612 --> 03:11:08.533]  So that means your chances of survival are 83 to 85% if you do nothing.
[03:11:08.533 --> 03:11:16.714]  If you take some nutrients and change what you eat and do some of the things I'll recommend here, your chances of surviving an infection
[03:11:17.481 --> 03:11:21.946]  Go up, in my assessment, to at least 99%.
[03:11:21.946 --> 03:11:24.669]  At least 99%, maybe even better.
[03:11:24.669 --> 03:11:36.242]  So you are extremely unlikely to be killed by this virus, even if it spreads all across America, even if it infects 60% of the global population, as has been warned by Dr. Leong out of Hong Kong.
[03:11:38.317 --> 03:11:45.460]  Your chances of being clobbered by the downfall of society are much higher than 1%, you see.
[03:11:45.460 --> 03:11:56.544]  Because when other people get sick, and other people don't prepare, and then they panic and go to the grocery store to buy food that isn't there because they don't have any storable food.
[03:11:56.544 --> 03:11:59.225]  They freak out because they've never thought about self-reliance.
[03:11:59.225 --> 03:12:01.306]  They depend on the government.
[03:12:01.306 --> 03:12:03.526]  And they think the government's going to come save them.
[03:12:03.526 --> 03:12:05.687]  And they don't even have a means of self-defense.
[03:12:05.687 --> 03:12:07.428]  Those unprepared masses
[03:12:08.263 --> 03:12:11.607]  Are the biggest threat to your safety and survival.
[03:12:11.607 --> 03:12:21.057]  So that's the theme of today's show here at least the hour that I have been given and that I that I humbly serve the audience of InfoWars here today.
[03:12:21.057 --> 03:12:25.361]  The theme of it is you won't be killed by the virus do some simple things.
[03:12:25.361 --> 03:12:29.846]  We'll talk about but you're still living in a world where most people are unprepared.
[03:12:30.475 --> 03:12:32.217]  They're unprepared for the pandemic.
[03:12:32.217 --> 03:12:37.941]  They're unprepared for a grid-down collapse, a solar flare, an EMP weapon.
[03:12:37.941 --> 03:12:43.386]  Totally unprepared for a financial collapse and all the other things, scenarios that we've talked about over the years.
[03:12:43.386 --> 03:12:48.230]  So your job is to think beyond the pandemic.
[03:12:48.230 --> 03:12:55.456]  Think beyond the coronavirus and think about secondary effects and how those could impact your life.
[03:12:55.456 --> 03:12:57.158]  This is the time to be a prepper.
[03:12:57.688 --> 03:13:01.690]  This is the time to have extra supplies before they're sold out.
[03:13:01.690 --> 03:13:11.875]  This is the time to take steps for self-reliance that do not depend on dialing 911 and having people show up to rescue you.
[03:13:11.875 --> 03:13:13.715]  Because that is very unlikely to happen.
[03:13:13.715 --> 03:13:22.780]  I'm also going to talk today about how China is certain to turn this into a biological weapons attack against the United States.
[03:13:22.780 --> 03:13:25.761]  Because if you think about this, after this sweeps through China,
[03:13:26.932 --> 03:13:35.276]  They may lose 15% of their population, but after that's done, all Chinese in mainland China are now immune.
[03:13:35.276 --> 03:13:38.338]  Because you're either dead or you're immune, one or the other.
[03:13:38.338 --> 03:13:44.001]  After everybody dies, they've got 85% of their population, let's say, that's immune.
[03:13:44.001 --> 03:13:48.723]  Now China can launch this as a weapon against any nation.
[03:13:48.723 --> 03:13:54.686]  They could even launch invasions of nations, because their troops will now be immune to the virus.
[03:13:55.367 --> 03:14:06.875]  So by paying the price of allowing this to spread across China, which is exactly what they're doing, they are creating a nation, the world's first nation, of immune citizens.
[03:14:06.875 --> 03:14:09.477]  And trust me, China will weaponize this.
[03:14:09.477 --> 03:14:11.999]  They will deploy this against the United States.
[03:14:11.999 --> 03:14:13.900]  And there is nothing that the U.S.
[03:14:13.900 --> 03:14:20.945]  can do to stop this virus if it is weaponized and deliberately released across 100 U.S.
[03:14:20.945 --> 03:14:22.286]  cities simultaneously.
[03:14:23.374 --> 03:14:24.875]  Even the CDC would tell you.
[03:14:24.875 --> 03:14:25.776]  They would admit.
[03:14:25.776 --> 03:14:28.258]  There's nothing that they can do to stop that.
[03:14:28.258 --> 03:14:36.063]  The CDC's ability to stop this depends on compliance from people who don't want the virus to spread.
[03:14:36.063 --> 03:14:42.568]  If you have people that come in and deliberately want it to spread, there is no containment that's possible.
[03:14:42.568 --> 03:14:46.751]  There is nothing the CDC can do to stop that, and they would admit that.
[03:14:46.751 --> 03:14:48.873]  And believe me, at the highest levels of government right now,
[03:14:49.949 --> 03:14:53.812]  Inside the Pentagon, inside the State Department, inside the National Security Council.
[03:14:53.812 --> 03:15:03.901]  They know somebody is going to harvest this biological weapon system, this coronavirus that was engineered, and they are going to release it in the United States.
[03:15:04.665 --> 03:15:06.607]  As soon as possible.
[03:15:06.607 --> 03:15:09.169]  Are you ready for that scenario?
[03:15:09.169 --> 03:15:18.638]  Are you ready for a malicious assault against our country using this virus that frankly some people in China, they believe falsely, but they believe that the U.S.
[03:15:18.638 --> 03:15:20.260]  dropped this on China.
[03:15:20.260 --> 03:15:22.422]  They think it's a bioweapon from the U.S.
[03:15:22.422 --> 03:15:25.084]  So of course they want revenge in their minds.
[03:15:25.084 --> 03:15:27.547]  They're going to deploy this against the United States.
[03:15:27.547 --> 03:15:28.768]  We'll talk about that scenario.
[03:15:29.867 --> 03:15:36.952]  And some very practical things that you can do to protect yourself against this infection when we return after this short break.
[03:15:36.952 --> 03:15:38.153]  This is Mike Adams.
[03:15:38.153 --> 03:15:41.416]  You're watching InfoWars, the Alex Jones Show.
[03:15:41.416 --> 03:15:41.916]  Stay with us.
[03:15:41.916 --> 03:15:43.838]  We'll be back with more good information.
[03:15:51.667 --> 03:15:52.887]  Hi, I'm Dan Pilla.
[03:15:52.887 --> 03:15:56.808]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:15:56.808 --> 03:15:58.349]  I sued the IRS and won.
[03:15:58.349 --> 03:16:01.310]  I beat the IRS then, and I've been beating them ever since.
[03:16:01.310 --> 03:16:06.871]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:16:06.871 --> 03:16:08.071]  I can help you, too.
[03:16:08.071 --> 03:16:10.992]  If you owe taxes you can't pay, don't wait another day.
[03:16:10.992 --> 03:16:13.213]  There's no such thing as a hopeless tax case.
[03:16:13.213 --> 03:16:17.654]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[03:16:17.654 --> 03:16:19.955]  That's danpilla.com, danpilla.com.
[03:16:21.562 --> 03:16:22.822]  Maybe not today.
[03:16:22.822 --> 03:16:24.103]  Maybe not tomorrow.
[03:16:24.103 --> 03:16:27.844]  But soon, you'll need a plan and place to survive.
[03:16:27.844 --> 03:16:28.924]  Forget bunkers.
[03:16:28.924 --> 03:16:30.744]  You're not a live underground gopher.
[03:16:30.744 --> 03:16:32.465]  You need Survivalist Camps.
[03:16:32.465 --> 03:16:40.247]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[03:16:40.247 --> 03:16:41.267]  Bold statement?
[03:16:41.267 --> 03:16:42.267]  You bet.
[03:16:42.267 --> 03:16:44.748]  See them now at survivalistcamps.com.
[03:16:44.748 --> 03:16:46.948]  That's survivalistcamps.com.
[03:16:46.948 --> 03:16:50.109]  Trust your family's survival to survivalistcamps.com.
[03:16:51.496 --> 03:16:54.518]  We can all agree these are troubled times, right?
[03:16:54.518 --> 03:16:57.420]  So do you know who's on your wireless network?
[03:16:57.420 --> 03:17:04.646]  Whether it's a big company selling your data, or a foreign hacker, if you're not protected, everybody sees your information.
[03:17:04.646 --> 03:17:09.870]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[03:17:09.870 --> 03:17:17.475]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[03:17:17.475 --> 03:17:20.958]  And not just one, but all your devices with one out-of-the-box setup.
[03:17:21.218 --> 03:17:30.380]  Plus, Flash Routers also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[03:17:30.380 --> 03:17:33.481]  Call or click Flash Routers today at 1-866-509-5817 or F-L-A-S-H-R-O-U-T-E-R-S dot com.
[03:17:33.481 --> 03:17:34.721]  That's 1-866-509-5817 or FlashRouters.com.
[03:17:34.721 --> 03:17:39.703]  Protect your wireless home network today with Flash Routers.
[03:17:52.409 --> 03:17:54.652]  InfoWarsLife.com.
[03:17:54.652 --> 03:17:56.855]  InfoWarsLife.com.
[03:17:56.855 --> 03:17:58.877]  InfoWarsLife.com.
[03:17:58.877 --> 03:18:06.927]  You go to that URL, it takes you to the subsection of InfoWarsTore.com where you find the 60 plus products where we've gone out and
[03:18:08.769 --> 03:18:10.550]  What gives people the best results?
[03:18:10.550 --> 03:18:14.273]  We either private label it, or we develop our own with top developers.
[03:18:14.273 --> 03:18:19.116]  And folks, I'm telling you, you can see the difference in me, my energy, my focus.
[03:18:19.116 --> 03:18:22.018]  I've lost almost 40 pounds in less than four months.
[03:18:22.018 --> 03:18:22.939]  It's incredible.
[03:18:22.939 --> 03:18:24.600]  So do yourself a favor.
[03:18:24.600 --> 03:18:27.102]  Try out the products if you've been on the fence.
[03:18:27.102 --> 03:18:29.984]  You can't lose, except if you don't take action.
[03:18:29.984 --> 03:18:36.949]  Because when you buy the products, you're funding the operation that is always delivering, thanks to your support and God's grace and our action.
[03:18:37.509 --> 03:18:38.810]  But you need these products.
[03:18:38.810 --> 03:18:41.851]  That's the real reason you want to get them, is because they're amazing.
[03:18:41.851 --> 03:18:44.812]  And then when you get great results, please tell others about it.
[03:18:44.812 --> 03:18:45.792]  Word of mouth.
[03:18:45.792 --> 03:18:49.634]  That's how we expand in the face of the NWO, instead of imploding.
[03:18:49.634 --> 03:18:51.535]  We're fighting to win, and we are winning.
[03:18:51.535 --> 03:18:51.955]  Thanks to you.
[03:18:53.817 --> 03:18:57.078]  This should really be easier than it is.
[03:18:57.078 --> 03:18:59.219]  I'm not here giving you a sales pitch.
[03:18:59.219 --> 03:19:01.680]  I'm pointing out the way forward.
[03:19:01.680 --> 03:19:05.281]  Things that I've discovered that I absolutely know work.
[03:19:05.281 --> 03:19:10.703]  That if you listen to me and try them out for yourself, you will see how amazing it is.
[03:19:10.703 --> 03:19:15.145]  And then your support of the product we're selling will help you
[03:19:15.825 --> 03:19:15.885]  I'm
[03:19:32.230 --> 03:19:37.233]  Eight years ago I started taking True Iodine, Atomic Iodine.
[03:19:37.233 --> 03:19:44.918]  We've got it back in stock, X2, 40% off right now at InfoWareStore.com, and I'm telling you folks, get it.
[03:19:44.918 --> 03:19:46.099]  It's amazing.
[03:19:46.099 --> 03:19:49.682]  Discover the benefits, and it funds the InfoWare, a 360 win.
[03:19:49.682 --> 03:19:54.905]  You can't lose unless you don't take action.
[03:19:54.905 --> 03:19:57.527]  You're listening to the Alex Jones Show.
[03:20:06.875 --> 03:20:13.897]  Live from Austin, Texas, broadcasting worldwide, it's Mike Adams.
[03:20:13.897 --> 03:20:19.159]  You're listening to the Alex Jones Show.
[03:20:19.159 --> 03:20:32.144]  One of the interesting things that Francis Boyle mentioned in the interview that you saw earlier on this show today is that, in his view, this coronavirus pandemic will probably be worse than the Spanish flu of 1918.
[03:20:33.979 --> 03:20:45.644]  Now if you go back and look at the numbers there, that flu infected about 500 million people, half a billion people, which was roughly about a third of the global population at the time.
[03:20:45.644 --> 03:20:53.067]  It had a kill rate, or what's called a mortality rate, of about 10 percent, killing an estimated 50 million people.
[03:20:53.067 --> 03:20:54.908]  That was 1918.
[03:20:54.908 --> 03:20:59.410]  Francis Boyle says this is probably going to be worse, and I think that he may be correct about that.
[03:20:59.972 --> 03:21:10.648]  This is certainly lining up to be much worse because of course now we have a global population of let's let's just say roughly let's just rough out the edges of it to 7.5 billion people.
[03:21:10.648 --> 03:21:13.131]  So one third of 7.5 billion people is 2.5 billion people.
[03:21:15.959 --> 03:21:17.220]  Could get infected with this.
[03:21:17.220 --> 03:21:23.082]  Actually, the real number may be much higher, according to, for example, Dr. Leong out of Hong Kong.
[03:21:23.082 --> 03:21:28.905]  Could be 60% of the world population, even up to 80% of the world population infected.
[03:21:28.905 --> 03:21:31.146]  But let's just go with 1 third, alright?
[03:21:31.146 --> 03:21:32.907]  Just to be conservative about this.
[03:21:32.907 --> 03:21:35.008]  So let's say 2.5 billion people get infected.
[03:21:35.714 --> 03:21:47.259]  Well, out of 2.5 billion people, if you have a mortality rate of 10%, well, then that's 250 million deaths all around the world.
[03:21:47.259 --> 03:21:47.959]  I mean, think about it.
[03:21:47.959 --> 03:21:51.841]  A quarter of a billion people.
[03:21:51.841 --> 03:21:53.641]  250 million deaths.
[03:21:53.641 --> 03:21:56.623]  That's a lot of dead souls.
[03:21:56.623 --> 03:21:59.564]  And yet we're told that this has all been conquered.
[03:22:00.146 --> 03:22:02.928]  It's all now totally under control.
[03:22:02.928 --> 03:22:15.415]  China is fudging the numbers daily now to show a trend, a downward trend, even as the truth about their infections is that it hasn't even peaked in China and the infections have only begun outside of China.
[03:22:16.444 --> 03:22:17.565]  It's really incredible.
[03:22:17.565 --> 03:22:22.588]  But people say, well, none of that will happen now because this isn't 1918.
[03:22:22.588 --> 03:22:25.789]  And we have better testing technology today.
[03:22:25.789 --> 03:22:27.550]  We have better medicine.
[03:22:27.550 --> 03:22:28.851]  We have better vaccines.
[03:22:28.851 --> 03:22:30.512]  We have better hospitals.
[03:22:30.512 --> 03:22:31.693]  Okay.
[03:22:31.693 --> 03:22:43.239]  So this morning, Dr. Messonnier from the CDC just alerted journalists all across the world that the CDC has been shipping out test kits to all 50 states.
[03:22:43.239 --> 03:22:44.780]  Hundreds of thousands of test kits.
[03:22:45.419 --> 03:22:52.163]  She admitted this morning, and by the way, I have to say, she's been one of the more honest and transparent scientists.
[03:22:52.163 --> 03:22:55.885]  She admitted those test kits don't work in many cases.
[03:22:55.885 --> 03:22:58.307]  They produce false positives and false negatives.
[03:22:58.982 --> 03:23:01.383]  Because the reagents are bad.
[03:23:01.383 --> 03:23:05.504]  The reagents are normally the little powdered chemicals that you add to the test kits.
[03:23:05.504 --> 03:23:09.526]  And some local doctors or clinicians are unable to follow the directions.
[03:23:09.526 --> 03:23:10.666]  Imagine that.
[03:23:10.666 --> 03:23:13.827]  We live in a nation now where people can't follow directions.
[03:23:13.827 --> 03:23:23.110]  So if the test kit says, you know, swab the patient's throat, put the swab in this vial, add... I'm just guessing because I'm a lab scientist.
[03:23:23.110 --> 03:23:24.611]  I've run these kinds of tests before.
[03:23:24.611 --> 03:23:24.851]  Let's say,
[03:23:25.511 --> 03:23:33.436]  Add 5 milliliters of water and 5 milliliters of methanol, or whatever, alcohol, isopropyl alcohol, whatever the solvent might happen to be.
[03:23:33.436 --> 03:23:35.598]  Shake it up for 30 seconds.
[03:23:35.598 --> 03:23:38.199]  Transfer it with a pipette to another vial.
[03:23:38.199 --> 03:23:40.821]  Add 1.2 grams of this reagent.
[03:23:40.821 --> 03:23:42.742]  Vortex it for 30 seconds.
[03:23:42.742 --> 03:23:48.086]  Incubate it at whatever temperature for how many minutes, and then compare it to this color chart.
[03:23:48.086 --> 03:23:49.287]  That's your answer, okay?
[03:23:49.287 --> 03:23:52.849]  Those steps, which are very common in these kinds of lab tests,
[03:23:53.931 --> 03:23:59.983]  Those steps are unable to be followed by most people working in clinics today, believe it or not.
[03:23:59.983 --> 03:24:03.751]  Again, we live in a country where the average young person can't change a tire.
[03:24:04.756 --> 03:24:09.560]  And we also live in a country where people can't follow directions who work in hospitals and clinics.
[03:24:09.560 --> 03:24:12.462]  And so you get what's called false positives and false negatives.
[03:24:12.462 --> 03:24:16.785]  A false positive says that you have the virus when you don't.
[03:24:16.785 --> 03:24:25.552]  So you get dragged off into a quarantine center and stuffed in essentially a jail cell with a bunch of other people who really are infected even though you're not.
[03:24:25.552 --> 03:24:27.494]  And guess what happens after 24 hours?
[03:24:27.494 --> 03:24:29.155]  Oh, now you're really infected.
[03:24:30.029 --> 03:24:32.770]  So then they say, well, the test must have been accurate.
[03:24:32.770 --> 03:24:33.990]  See, you're infected now.
[03:24:33.990 --> 03:24:38.672]  No, you morons, you threw me in a quarantine camp with a bunch of truly infected people.
[03:24:38.672 --> 03:24:40.752]  So that's a false positive.
[03:24:40.752 --> 03:24:44.614]  A false negative is even more dangerous for society as a whole.
[03:24:44.614 --> 03:24:48.915]  A false negative is that they say you don't have the virus when you do.
[03:24:49.716 --> 03:24:55.099]  So the CDC test kit used in a local clinic or a hospital sends you home.
[03:24:55.099 --> 03:24:56.120]  Don't worry.
[03:24:56.120 --> 03:24:59.541]  All that coughing and fever and diarrhea that you have.
[03:24:59.541 --> 03:25:00.042]  Don't worry.
[03:25:00.042 --> 03:25:01.483]  It's not the coronavirus.
[03:25:01.483 --> 03:25:03.324]  Our test kit just proved it.
[03:25:03.324 --> 03:25:08.807]  You can go home, go to that party, go to that reunion, go to movie theaters, whatever.
[03:25:08.807 --> 03:25:10.007]  Go back to work.
[03:25:10.007 --> 03:25:12.889]  You know, shake hands with people on a professional basis.
[03:25:12.889 --> 03:25:13.909]  You're fine.
[03:25:13.909 --> 03:25:16.291]  Turns out that person has the virus.
[03:25:16.291 --> 03:25:17.791]  And then, of course, they're spreading it everywhere.
[03:25:17.791 --> 03:25:17.852]  But
[03:25:19.346 --> 03:25:23.950]  If they're asked by any official, they will say, no, I tested negative because the test kits are bad.
[03:25:23.950 --> 03:25:26.312]  Now, why are the test kits bad?
[03:25:26.312 --> 03:25:36.802]  And by the way, this means, you know, all this advanced technology, all this advanced science and medicine and everything, it's pointless if the test kits don't work, right?
[03:25:36.802 --> 03:25:38.123]  It's pointless.
[03:25:38.123 --> 03:25:44.669]  Because it used to be you would send a sample to the CDC lab in Atlanta and they would have like a three day turnaround.
[03:25:45.595 --> 03:25:53.057]  And then we get backlogged, so it ends up being like two to three weeks turnaround in some cases, except for high priority samples.
[03:25:53.057 --> 03:25:58.119]  And they would use like a DNA analysis, PCR, replication, gene sequencer type of instrument.
[03:25:58.119 --> 03:26:02.000]  And, you know, it takes about three days roughly, maybe two to three days to get results on that.
[03:26:02.000 --> 03:26:04.181]  But the results were accurate.
[03:26:04.181 --> 03:26:07.422]  So in two to three days, you could get almost 100% accurate results.
[03:26:08.962 --> 03:26:10.424]  But now they have test kits.
[03:26:10.424 --> 03:26:13.768]  In four to five hours, you can get a 50% false negative rate.
[03:26:17.148 --> 03:26:18.648]  This is called progress.
[03:26:18.648 --> 03:26:29.251]  So I guess, according to this, I should start a new company that sells kits that have a 99% failure rate, but deliver results in two minutes.
[03:26:29.251 --> 03:26:33.372]  And that would be a trillion dollar IPO, because no doubt China would buy those test kits.
[03:26:33.372 --> 03:26:34.812]  They would say, this is awesome!
[03:26:34.812 --> 03:26:37.233]  Our infection numbers are falling everywhere.
[03:26:37.233 --> 03:26:37.973]  This is awesome.
[03:26:37.973 --> 03:26:38.293]  Look at that.
[03:26:38.293 --> 03:26:40.514]  We've got this thing licked.
[03:26:40.514 --> 03:26:41.634]  And speaking of China, by the way,
[03:26:42.634 --> 03:26:47.158]  So China pushed their biotech companies to rush these test kits out.
[03:26:47.158 --> 03:26:55.805]  Now, normally, these test kits require two to three years to develop and test and validate using clinical trials.
[03:26:55.805 --> 03:26:57.666]  Two to three years.
[03:26:57.666 --> 03:27:01.269]  China decided, well, we need these in two to three weeks.
[03:27:01.269 --> 03:27:08.175]  So they pushed their biotech companies to produce these test kits in two to three weeks, and they sent them out all over China.
[03:27:08.175 --> 03:27:08.735]  And guess what?
[03:27:08.735 --> 03:27:10.116]  50 to 70% false negative rate.
[03:27:13.061 --> 03:27:14.783]  Because they weren't tested.
[03:27:14.783 --> 03:27:16.424]  They weren't validated.
[03:27:16.424 --> 03:27:18.005]  They are a joke.
[03:27:18.005 --> 03:27:21.108]  But it allows China to be able to say, well, guess what?
[03:27:21.108 --> 03:27:22.729]  The infections are falling.
[03:27:22.729 --> 03:27:23.310]  Look at that.
[03:27:23.310 --> 03:27:24.431]  The infections are falling.
[03:27:24.431 --> 03:27:27.573]  The test kits are showing us that there are hardly any infections anymore.
[03:27:27.573 --> 03:27:34.760]  And that's what you're seeing in the numbers released by China as they have shifted from the gene sequencing instruments to these failed test kits.
[03:27:34.760 --> 03:27:36.941]  So that's why the numbers are falling in China.
[03:27:36.941 --> 03:27:37.462]  Get it?
[03:27:38.163 --> 03:27:39.384]  It's on purpose.
[03:27:39.384 --> 03:27:47.529]  China probably ordered those biotech companies to produce tests that would result in false negatives because that's the goal they want.
[03:27:47.529 --> 03:27:49.970]  They want to be able to say this thing is solved.
[03:27:49.970 --> 03:27:55.534]  So now China is reopening factories.
[03:27:56.286 --> 03:28:01.571]  And soon they're gonna just force people to go back to work at gunpoint and say, we gotta keep the factories running.
[03:28:01.571 --> 03:28:03.833]  Because if we don't, we're gonna lose our economy.
[03:28:03.833 --> 03:28:08.178]  They know that this thing is still spreading, and it's going to spread at the factories.
[03:28:08.178 --> 03:28:12.582]  But they're gonna have, you know, gunpoint soldiers in there, get to work!
[03:28:12.582 --> 03:28:15.585]  A gun at your head, work until you literally drop dead.
[03:28:16.337 --> 03:28:18.498]  Because they have to keep the factories running.
[03:28:18.498 --> 03:28:25.581]  They know China has already realized they're going to lose 5 to 10 to 15 percent of their population.
[03:28:25.581 --> 03:28:27.661]  This is so far beyond containment.
[03:28:27.661 --> 03:28:37.125]  They're going to lose millions of lives, but they're going to keep the factories running at all costs, even if they have to drag dead bodies off the assembly lines to keep those factories running.
[03:28:37.125 --> 03:28:38.145]  They've made that decision.
[03:28:38.145 --> 03:28:41.627]  That's what they're going to do, which means this will never be contained.
[03:28:41.627 --> 03:28:42.767]  This is going global.
[03:28:43.797 --> 03:28:44.638]  More straight ahead.
[03:28:44.638 --> 03:28:45.499]  Stay with us.
[03:28:45.499 --> 03:28:47.322]  We'll be back after this brief break.
[03:28:51.658 --> 03:28:54.679]  We can all agree these are troubled times, right?
[03:28:54.679 --> 03:28:57.580]  So do you know who's on your wireless network?
[03:28:57.580 --> 03:29:04.802]  Whether it's a big company selling your data, or a foreign hacker, if you're not protected, everybody sees your information.
[03:29:04.802 --> 03:29:10.024]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[03:29:10.024 --> 03:29:17.627]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[03:29:17.627 --> 03:29:21.108]  And not just one, but all your devices with one out-of-the-box setup.
[03:29:21.388 --> 03:29:30.552]  Plus, FlashRouters also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[03:29:30.552 --> 03:29:33.573]  Call or click FlashRouters today at 1-866-509-5817 or FLASHROUTERS.COM.
[03:29:33.573 --> 03:29:34.893]  That's 1-866-509-5817 or FLASHROUTERS.COM.
[03:29:34.893 --> 03:29:39.855]  Protect your wireless home network today with FlashRouters.
[03:29:52.196 --> 03:29:58.845]  There's roughly only 260 days left until the 2020 election, and already you've seen all sorts of crazy things happen.
[03:29:58.845 --> 03:30:09.480]  The globalists are trying to plunge the economy, they're trying to start wars, they're trying to overthrow the president, they're trying to silence free speech, they're trying to trigger riots in the streets, but everything they do is blowing up in their face.
[03:30:09.940 --> 03:30:19.262]  We the people have to pray, stay focused, be involved, keep spreading the word, keep countering their lies, and we have to be prepared in case things go south.
[03:30:19.262 --> 03:30:31.324]  That's why it's so critical to go to InfoWarStore.com and stock up on high-quality preparedness items from storable foods, high-quality water filtration, air filtration, to the very best supplements and silver products you're going to find.
[03:30:31.324 --> 03:30:34.204]  They're all available at InfoWarStore.com.
[03:30:34.204 --> 03:30:38.565]  And your purchase there not only ensures high-quality products for your family at great prices, but it funds the
[03:30:39.445 --> 03:30:43.447]  In this critical time, a total, complete, absolute 360 win.
[03:30:43.447 --> 03:30:45.167]  Every point of the compass is covered.
[03:30:45.167 --> 03:30:48.649]  The only way we can be defeated is if you don't take action.
[03:30:48.649 --> 03:30:51.750]  Get high quality products at InfoWareStore.com today.
[03:30:53.562 --> 03:30:58.785]  Allergies, dander, asthma, germs, toxins.
[03:30:58.785 --> 03:31:03.067]  There are many reasons why we need to think about what is really in the air around us.
[03:31:03.067 --> 03:31:07.510]  We may not be able to stop breathing, but we can control what's in the air we breathe.
[03:31:07.510 --> 03:31:15.915]  The revolutionary Alexa Pure Breathe air filtration system is a powerful ally in the fight against the dangerous toxins and viruses in the air.
[03:31:15.915 --> 03:31:23.139]  Powerful, quiet, and effective, the Breathe uses a four-step purification process to help you breathe easier and cleaner.
[03:31:23.559 --> 03:31:27.182]  Similar systems could cost hundreds to even thousands of dollars.
[03:31:27.182 --> 03:31:32.485]  But the Alexa Pure Breeze air purification is the best and most affordable bar none.
[03:31:32.485 --> 03:31:40.571]  The breeze and the ion cluster patented technology used in the system eliminate up to 99.97% of airborne contaminants.
[03:31:40.571 --> 03:31:45.934]  Get the Alexa Pure Breeze today and save big on a world-class air filtration system for your home.
[03:31:45.934 --> 03:31:48.216]  Don't keep breathing toxic or dangerous air.
[03:31:48.216 --> 03:31:50.237]  Get this special today at Infowarsstore.com.
[03:31:51.894 --> 03:31:54.916]  It's no secret that our daily lives are becoming more stressful.
[03:31:54.916 --> 03:31:59.519]  No matter what side of the political spectrum you're on, we're all feeling the strain from rising pressure.
[03:31:59.519 --> 03:32:04.623]  That's why we worked hard to create a new formula to support your fight against stress in your hectic day.
[03:32:04.623 --> 03:32:09.065]  Chill Force is our solution for a true, healthy, relaxation support formula.
[03:32:09.065 --> 03:32:17.031]  As the long-awaited sister formula to Brain Force Plus, this formula includes powerful ingredients and time-tested practices to help fight your stress levels.
[03:32:17.031 --> 03:32:18.452]  It's time to take a breather.
[03:32:18.452 --> 03:32:21.654]  Get Chill Force today at InfoWarsStore.com.
[03:32:21.974 --> 03:32:25.816]  Since the beginning, Secret 12 has been one of our most popular formulas.
