[00:00:16.519 --> 00:00:18.861]  It's Monday, September 7th.
[03:13:28.511 --> 03:13:38.915]  So he's a really hard sell, and that's a good thing, because they can't disconnect Gates from the vaccine now, which is excellent from a pushback point of view.
[03:13:40.375 --> 03:13:40.716]  It is.
[03:13:40.816 --> 03:13:44.137]  But what they will be seeking to do, and it will be in the script,
[03:13:45.838 --> 03:13:50.319]  Because they're terrified, you see, they're terrified of this gathering momentum.
[03:13:50.779 --> 03:13:56.420]  This is where all the bans on gatherings of people beyond a handful comes from.
[03:13:56.540 --> 03:13:59.201]  They're terrified of pushback.
[03:13:59.681 --> 03:14:09.662]  What they've done in this country is introduce fines for not wearing a mask in the situations that they've decreed, of up to £3,200, which is a lot of money for people.
[03:14:12.483 --> 03:14:12.663]  Yeah.
[03:14:30.641 --> 03:14:33.785]  Fundamental necessities to life as they can.
[03:14:33.905 --> 03:14:36.287]  So obviously they're going to create food shortages.
[03:14:37.108 --> 03:14:43.855]  They're going to get control of the electricity grids and obviously they've got control of the internet from an on-off point of view.
[03:14:44.256 --> 03:14:50.002]  So they're going to try... And by the way in blue states everywhere they're now doing rolling blackouts on purpose just like you said.
[03:14:51.092 --> 03:14:54.613]  Yeah, so it's the necessities of life they want to control.
[03:14:55.033 --> 03:15:01.654]  Because everything they are doing is to stop this momentum of non-acquiescence.
[03:15:01.674 --> 03:15:02.634]  Because that's the end of it.
[03:15:02.994 --> 03:15:03.354]  Finished.
[03:15:03.414 --> 03:15:03.774]  Kaput.
[03:15:03.994 --> 03:15:04.514]  All over.
[03:15:04.554 --> 03:15:04.975]  Thank you.
[03:15:05.035 --> 03:15:05.595]  See you later.
[03:15:06.015 --> 03:15:06.875]  Once that happens.
[03:15:07.615 --> 03:15:10.015]  And so it's like, you do that and you won't get this.
[03:15:10.116 --> 03:15:11.596]  You do that, you won't get this.
[03:15:11.696 --> 03:15:12.256]  And you're right.
[03:15:12.316 --> 03:15:16.537]  This is their big assault, their global tracking grid, their social credit score, their forced inoculation.
[03:15:16.957 --> 03:15:17.837]  If this fails,
[03:15:19.244 --> 03:15:20.005]  Then what do they do?
[03:15:20.045 --> 03:15:21.306]  This could be the end of the New World Order.
[03:15:22.467 --> 03:15:24.668]  Well, yes, it could, because they've made it.
[03:15:24.748 --> 03:15:36.838]  If you use the analogy of a long-distance race, they've been in the pack, hiding in the pack, moving this thing forward.
[03:15:37.378 --> 03:15:41.121]  And now, in 2020, they've made their run for hope.
[03:15:41.942 --> 03:15:43.063]  And you see when
[03:15:44.184 --> 03:15:49.086]  When people make the run for home in an athletics race, they have to stay in front.
[03:15:49.987 --> 03:15:51.247]  And have to get across the line.
[03:15:51.547 --> 03:15:54.228]  Because once they get caught, they start going back into the package.
[03:15:54.248 --> 03:15:55.949]  A lot of times they stumble and fall on their face.
[03:15:56.049 --> 03:15:58.290]  Powerful allegory with David Icke.
[03:15:58.310 --> 03:15:58.870]  Stay there, David.
[03:15:59.071 --> 03:16:00.751]  We'll come back and start at that point.
[03:16:02.472 --> 03:16:04.693]  Our first call comes from Scranton, Pennsylvania.
[03:16:05.133 --> 03:16:06.594]  Joe on our line from the Democrats.
[03:16:06.714 --> 03:16:07.054]  Go ahead.
[03:16:07.094 --> 03:16:07.614]  Good morning.
[03:16:08.014 --> 03:16:08.415]  Good morning.
[03:16:09.315 --> 03:16:13.577]  If you have a problem figuring out whether you're for me or Trump, and you ain't black,
[03:16:14.687 --> 03:16:15.788]  What the **** did he say?
[03:16:17.090 --> 03:16:19.373]  Oh, man!
[03:16:19.453 --> 03:16:22.397]  You ain't watching.
[03:16:22.697 --> 03:16:27.263]  That's like saying you, before you got in this program, you take a test where you're taking cocaine or not.
[03:16:27.303 --> 03:16:27.924]  What do you think, huh?
[03:16:27.944 --> 03:16:29.566]  Oh, but you're gonna be on YouTube!
[03:16:29.806 --> 03:16:30.307]  Oh, man!
[03:16:30.327 --> 03:16:32.570]  You're gonna be the greatest clip ever played!
[03:16:50.401 --> 03:16:51.810]  I had two cranial aneurysms.
[03:16:52.984 --> 03:16:55.366]  And they literally had to take the top of my head off.
[03:16:55.406 --> 03:16:57.387]  I mean, they take a saw and they cut your head off.
[03:16:57.868 --> 03:17:10.217]  Eight years in the White House, he will forever and fundamentally alter the character of this nation and go in to find the artery that is, one was leaking, the other that hadn't.
[03:17:10.817 --> 03:17:12.739]  I said, Doc, what are my chances?
[03:17:12.759 --> 03:17:14.360]  I had two great neurosurgeons.
[03:17:15.121 --> 03:17:18.783]  He said, Senator, for mortality or morbidity?
[03:17:18.983 --> 03:17:19.564]  And I'm thinking,
[03:17:20.928 --> 03:17:26.831]  I said, what are my chances of getting off this table and being completely normal?
[03:17:27.431 --> 03:17:30.392]  I'll bet you're as bright as you're good looking, I tell you.
[03:17:30.632 --> 03:17:31.413]  I tell you what.
[03:17:32.473 --> 03:17:34.774]  He said, well, your chances of living are a lot better.
[03:17:34.794 --> 03:17:36.995]  All right?
[03:17:38.116 --> 03:17:40.557]  And by the way, that's one of the things that's a dangerous idea.
[03:17:40.577 --> 03:17:42.498]  You know, as these guys will tell you.
[03:17:42.718 --> 03:17:46.719]  What about the girls that you molested on C-SPAN at the Senate swearing in?
[03:17:48.652 --> 03:17:50.958]  And they literally had to take the top of my head off.
[03:17:52.241 --> 03:17:57.414]  Go to jones30330 and help me end this fight.
[03:17:57.434 --> 03:17:58.296]  Thank you very much.
[03:18:02.174 --> 03:18:07.620]  Owen Schroer here, host of the InfoWars War Room, every day from 3 to 6 p.m.
[03:18:07.820 --> 03:18:10.543]  And that means I have to follow up after the big man.
[03:18:10.784 --> 03:18:12.806]  And that is not an easy task.
[03:18:12.906 --> 03:18:18.051]  So I need to be as focused and energized as possible every day at 3 o'clock.
[03:18:18.171 --> 03:18:18.592]  So yes,
[03:18:18.912 --> 03:18:21.573]  I am on performance-enhancing drugs.
[03:18:22.033 --> 03:18:44.538]  It's the combination of the energy of the turbo force, the focus of the brain force, and then the VasoBeat Complete, which is a beet supplement, which acts as a vasodilator, which makes sure that the nutrients and supplements that you're intaking are getting all throughout the body so that I can maintain proper focus and energy for three hours and beyond.
[03:18:44.738 --> 03:18:46.019]  It's almost three o'clock.
[03:18:46.219 --> 03:18:52.684]  That means it's time to take my performance enhancers that I have conveniently stashed right here at my desk.
[03:18:52.804 --> 03:18:56.627]  I literally will never host a war room without them.
[03:18:56.807 --> 03:19:00.390]  It starts with the Turbo Force right here.
[03:19:00.570 --> 03:19:03.953]  Just get your cup of water, pour in the Turbo Force.
[03:19:04.173 --> 03:19:06.795]  I then take my Vezo B Complete right here.
[03:19:07.656 --> 03:19:09.897]  One dropper, two droppers.
[03:19:10.618 --> 03:19:12.700]  Stir it up just a little bit for good measure.
[03:19:14.338 --> 03:19:28.569]  And then, with the energy from the TurboForce and the nitrates in the VesoBeat Complete, with the Focus from BrainForce, with the Vitamin B6, Vitamin B12, and all the other supplements that are inside of that.
[03:19:31.051 --> 03:19:32.211]  Those are the supplements I take.
[03:19:33.283 --> 03:19:39.748]  Every day, right before I go on air, for maximum performance, maximum focus, maximum energy.
[03:19:40.169 --> 03:19:52.999]  And the good news is, once I finish drinking this Turbo Force, I've got energy for about 10 hours, so I can continue working past the show, work on other things, go and lift weights, run, whatever I need or want to do.
[03:19:53.199 --> 03:20:01.566]  It's all with the Turbo Force, the Brain Force, and the Vezo Beat Complete Trifecta, available only at Infowarsstore.com.
[03:20:05.225 --> 03:20:09.328]  Leading a frontal assault on the lies of the New World Order.
[03:20:09.849 --> 03:20:11.150]  It's Alex Jones!
[03:20:31.278 --> 03:20:35.180]  If you are receiving this transmission, you are the resistance.
[03:20:36.781 --> 03:20:41.523]  Live from the InfoWars.com studios, it's Alex Jones.
[03:20:46.825 --> 03:20:52.248]  David Eich is here with us, ladies and gentlemen, and it's just surreal.
[03:20:53.482 --> 03:20:56.945]  To see every major publication say the earth will be better without humans.
[03:20:57.485 --> 03:20:58.747]  We must give up our bodies.
[03:21:00.068 --> 03:21:01.109]  Families are bad.
[03:21:01.129 --> 03:21:05.032]  We can't have single person homes or family homes.
[03:21:06.553 --> 03:21:11.738]  All of this is beyond Orwellian and it's the agenda.
[03:21:11.938 --> 03:21:17.823]  And I know David, you want to get into what's technically happening and who the globalists are, but getting back to your earlier work about this being non-human,
[03:21:19.349 --> 03:21:21.069]  You got attacked for that 30 years ago.
[03:21:21.770 --> 03:21:23.590]  Clearly this whole agenda is anti-human.
[03:21:23.610 --> 03:21:25.331]  They say their job is to get rid of humans.
[03:21:25.951 --> 03:21:27.511]  The goal is a post-human world.
[03:21:27.991 --> 03:21:31.692]  Now they say they want to override all the genetics of the planet and totally change it.
[03:21:31.792 --> 03:21:33.693]  It is, by definition, alien.
[03:21:34.073 --> 03:21:38.354]  The genetic engineering, they're creating new life forms that never existed before.
[03:21:39.834 --> 03:21:41.295]  So what is this?
[03:21:41.375 --> 03:21:42.176]  What is the endgame?
[03:21:42.496 --> 03:21:45.417]  I know you say we're all energy, but what are they?
[03:21:45.577 --> 03:21:46.138]  What are they?
[03:21:46.378 --> 03:21:47.678]  Why do they want the blood of children?
[03:21:47.738 --> 03:21:48.879]  Why do they want to torture people?
[03:21:49.159 --> 03:21:50.239]  Why do they love ugliness?
[03:21:50.480 --> 03:21:51.000]  Who are they?
[03:21:53.137 --> 03:22:13.755]  Well, if we had another two hours, I'd love to talk about this because, you know, I've been talking in the books for decades, decades about the fact that the force ultimately behind this is non-human and that the network, the cult that I call it in human society, which people like Gates and Soros, et cetera, are assets.
[03:22:16.511 --> 03:22:23.134]  They are the manipulators within human society on behalf of this non-human force.
[03:22:23.675 --> 03:22:25.716]  In fact, the non-human force controls them.
[03:22:26.016 --> 03:22:35.140]  And when you look at ancient writings in ancient cultures, there's a real common theme and it absolutely fits what I've been talking about all these years.
[03:22:35.620 --> 03:22:39.242]  And that is, you know, we can perceive life as form.
[03:22:39.867 --> 03:22:43.931]  You know, I have a human body, and there's another body, and another body, and an alien body.
[03:22:43.971 --> 03:22:51.499]  But ultimately, what's animating that form, what's using that form as a vehicle to experience, is consciousness.
[03:22:52.179 --> 03:23:03.731]  And imagine a balanced, harmonious level of consciousness, which people call love and other balanced emotions.
[03:23:04.554 --> 03:23:12.701]  Now imagine the absolute antipathy of that, an inverted, imbalanced, distorted state of consciousness.
[03:23:13.622 --> 03:23:20.548]  That is what this non-human force ultimately is, and it possesses this cult.
[03:23:21.229 --> 03:23:28.275]  And this is why, you know, the bloodlines are all part of this possession network, because their genetics
[03:23:29.531 --> 03:23:31.492]  Makes them more open to this possession.
[03:23:32.032 --> 03:23:41.535]  And so what you're looking at is this imbalanced, deeply disturbed state of consciousness driving this cult.
[03:23:41.575 --> 03:23:43.795]  That's why they do what they do.
[03:23:44.195 --> 03:23:45.916]  This is where psychopathy comes from.
[03:23:46.316 --> 03:23:51.938]  Psychopaths, which is what all these people are, super psychopaths with people like Gates and Soros,
[03:23:53.578 --> 03:24:01.720]  These psychopaths are an expression of this, what I've been calling for years, this mind virus.
[03:24:02.520 --> 03:24:09.942]  And what they're trying to do is to assimilate the rest of humanity into this mind virus state of consciousness.
[03:24:10.362 --> 03:24:14.843]  And it shuts them down, it isolates them in the five senses.
[03:24:15.123 --> 03:24:20.864]  What I found fascinating, Alex, in the last couple of weeks is I've been reading a lot of stuff
[03:24:21.602 --> 03:24:26.446]  On the Native American concept, one of the names for it is Wetiko.
[03:24:26.927 --> 03:24:31.771]  And what they're describing is exactly what I've been writing about for years and I'm talking about now.
[03:24:31.931 --> 03:24:33.032]  It's a mind virus.
[03:24:33.733 --> 03:24:35.635]  And you see this in all the ancient cultures.
[03:24:36.315 --> 03:24:42.541]  Sure, they had people that would go crazy and start trying to kill kids, drink blood, and just go psycho for no reason.
[03:24:43.565 --> 03:24:47.490]  This is the possession of this Wateco mind virus.
[03:24:47.530 --> 03:24:52.817]  When I say virus, I don't mean physical virus, I mean like a computer virus, that's how it works.
[03:24:53.277 --> 03:25:00.847]  Because you see, if you take the analogy of a computer, and you take that to be the five sense conscious mind of humans,
[03:25:01.474 --> 03:25:07.424]  And then you take the guy on the keyboard and the mouse to be expanded states of consciousness.
[03:25:07.845 --> 03:25:09.587]  Those two things should be interacting.
[03:25:09.708 --> 03:25:10.950]  That's our natural state.
[03:25:11.471 --> 03:25:13.794]  But what happens when the computer gets a virus?
[03:25:14.720 --> 03:25:29.706]  You bang in the keyboard, you bang in the mouse and nothing's happening because now the virus has taken over literally the perceptual information processing systems of the computer and it's going where the virus tells it.
[03:25:29.746 --> 03:25:30.867]  So all hell is breaking loose.
[03:25:30.887 --> 03:25:31.227]  That's right.
[03:25:31.247 --> 03:25:34.128]  Everything they do is about forcing us into a false reality.
[03:25:35.175 --> 03:25:53.031]  Yeah, and so the more that they can bring us into fear and imbalanced low vibrational states of emotion like anxiety and anger and hatred and all these things, the more they are basically attaching this mind virus frequency to us.
[03:25:54.152 --> 03:25:59.097]  And one of the interesting things, you'll certainly recognize this, people watching this show,
[03:26:00.242 --> 03:26:06.468]  The Native American concept talks about this Wutiko being a mind blindness which operates out of the subconscious.
[03:26:06.588 --> 03:26:08.229]  That's what he hides in the subconscious.
[03:26:08.830 --> 03:26:13.695]  And of course the cult in all its forms, its target is the human subconscious.
[03:26:14.135 --> 03:26:21.962]  Because if they can put perceptual programs in the subconscious, they'll filter through to the conscious mind.
[03:26:21.983 --> 03:26:24.305]  And the person will think they're their own thoughts, opinions and
[03:26:24.745 --> 03:26:25.266]  Thank you.
[03:26:37.034 --> 03:26:44.717]  This is why, you know, when you can have an image and you can have a subliminal insert into it, and that insert will talk to your subconscious.
[03:26:44.997 --> 03:26:54.160]  But once it's pointed out, there's that subliminal insert, the conscious mind's aware of it, that's the first thing you see when you look at the image from then on, is the insert.
[03:26:54.220 --> 03:26:56.521]  It's been made conscious, it's lost its power over you.
[03:26:56.541 --> 03:26:59.222]  That's the spell losing its power, so how do we get people out of the spell?
[03:27:00.034 --> 03:27:13.509]  So what the Native American concept of this mind blindness is, is that it tricks the conscious mind into a state of mind blindness, in other words, not knowing the hell what's going on, but it thinks it has.
[03:27:13.989 --> 03:27:15.471]  And what we're seeing all the time
[03:27:16.326 --> 03:27:30.192]  I'm seeing all the time anyway, is people who actually consciously believe they've looked at what's happening and they've come to their own conclusions and they've worked out what this virus thing is all about and what comes out of their mouth.
[03:27:30.908 --> 03:27:33.049]  Is the official narrative, word for word.
[03:27:33.329 --> 03:27:38.031]  In other words, they're blind to what's going on, but they think they're not.
[03:27:38.171 --> 03:27:39.711]  And this is the... Exactly!
[03:27:39.752 --> 03:27:49.435]  They always dial in to the stated talking point, but they think it's their own, but they word for word say it, because they become nothing but, like you said, a repeater, because it's like an electrical charge.
[03:27:49.695 --> 03:27:50.836]  They've just completed the circuit.
[03:27:51.656 --> 03:27:54.977]  Yeah, this is what this bubble is.
[03:27:55.037 --> 03:27:58.859]  They try to put people in a bubble of perception, what I call the five sense bubble.
[03:28:00.317 --> 03:28:01.878]  And people think they're thinking for themselves.
[03:28:01.898 --> 03:28:08.200]  By the way, the universities in the UK and the US are calling it a COVID safety bubble where you're not allowed to leave for the semester.
[03:28:08.220 --> 03:28:08.820]  Have you seen this?
[03:28:09.640 --> 03:28:10.540]  It's kind of funny.
[03:28:10.900 --> 03:28:17.222]  I use the concept or the symbol of the bubble in the answer when I'm talking about how, you know, people are isolated in the bubble.
[03:28:17.723 --> 03:28:19.183]  And I wrote all that.
[03:28:19.483 --> 03:28:22.064]  85% of that book was written before this stuff kicked in.
[03:28:23.044 --> 03:28:29.086]  And then what played out was what was in the first 85% of the book played out in human society.
[03:28:29.846 --> 03:28:38.932]  And then they brought in this bubble concept, which I thought was extremely synchronistic, because that's what they want us to put us in, this bubble.
[03:28:39.333 --> 03:28:44.096]  But if we stop self-identifying with being... We'll stay there.
[03:28:44.116 --> 03:28:44.876]  We've got to go to break again.
[03:28:44.896 --> 03:28:49.479]  But yeah, putting the kids in bubbles, rock concerts in bubbles, get restaurants in cages.
[03:28:49.559 --> 03:28:50.360]  It's a mental image.
[03:28:50.420 --> 03:28:50.900]  You're bad.
[03:28:50.940 --> 03:28:51.401]  You're dirty.
[03:28:51.721 --> 03:28:52.842]  We've got to keep you locked up.
[03:28:53.242 --> 03:28:53.922]  Stay there, David.
[03:28:53.942 --> 03:28:56.744]  David Icke is on fire, on fire as usual.
[03:28:57.024 --> 03:28:57.705]  I'm Alex Jones.
[03:28:57.725 --> 03:28:58.325]  Newswars.com.
[03:28:58.345 --> 03:28:59.026]  Spread that link.
[03:28:59.326 --> 03:28:59.838]  We're good to go.
[03:29:18.462 --> 03:29:22.624]  InfoWars, the most banned network in the world.
[03:29:23.345 --> 03:29:31.549]  So everything InfoWars has done for 26 years, everything you've done in your life of being informed and being involved, is building towards this point, and this isn't a normal time.
[03:29:31.769 --> 03:29:32.629]  And I know you know that.
[03:29:33.310 --> 03:29:34.430]  And I salute you and I thank you.
[03:29:35.511 --> 03:29:40.834]  But when you call in thanking me for trying to self-preserve myself and you, we're in the same boat, brother.
[03:29:42.247 --> 03:29:57.391]  So I get it, I appreciate you just as much as you appreciate me, but I'm telling you, now is the time, because I need to know, I gotta decide the next week, with what we've got in our coffers, with only enough to operate, if I sold both my houses to pay for this place, it would not operate us for a month and a half.
[03:29:57.831 --> 03:30:00.351]  I don't, I'm not rich, I don't have all this money the media says I have, okay?
[03:30:01.271 --> 03:30:06.673]  Got a nice truck, a nice car, stuff like that, I got insurance for my kids, I'm doing well, I don't care, I don't need more, I'm happy.
[03:30:07.613 --> 03:30:11.154]  But if you go to InfoWareStore.com, you see the Support Us,
[03:30:12.216 --> 03:30:13.977]  Link over on the right-hand side.
[03:30:13.997 --> 03:30:19.278]  And if you click on that, you'll find the different websites and the donation page.
[03:30:19.498 --> 03:30:20.478]  They're there to support us.
[03:30:21.259 --> 03:30:26.220]  After you click on that, on the right-hand side, you need a four-stage ion filter.
[03:30:26.380 --> 03:30:28.801]  We have the best at the lowest price, because that's what I do!
[03:30:30.083 --> 03:30:34.227]  We have the best tourable food, highest quality you're going to get, unless you pay five times more.
[03:30:35.128 --> 03:30:36.149]  InfoWarsTore.com.
[03:30:36.930 --> 03:30:37.610]  The best prices.
[03:30:37.670 --> 03:30:38.511]  It's all there.
[03:30:38.932 --> 03:30:41.294]  But we've only got the ability to do business now.
[03:30:42.115 --> 03:30:45.298]  We're not going to have it much longer, if the enemy has their way.
[03:30:45.438 --> 03:30:46.999]  I'm telling you.
[03:30:47.540 --> 03:30:48.901]  I used to say, support InfoWars.
[03:30:49.362 --> 03:30:50.263]  Rescue InfoWars.
[03:30:50.343 --> 03:30:51.003]  Save yourself.
[03:30:51.344 --> 03:30:51.984]  Save the world.
[03:30:52.305 --> 03:30:53.165]  We're in this together.
[03:30:53.486 --> 03:30:54.667]  Because let me tell you something.
[03:30:54.887 --> 03:30:55.867]  Communism's up here.
[03:30:56.087 --> 03:30:59.048]  Infowars is the damn blocking it, which is all of us together supporting.
[03:30:59.428 --> 03:31:01.249]  And you and I are all down here with our families.
[03:31:01.469 --> 03:31:03.009]  My children are right here!
[03:31:03.710 --> 03:31:09.251]  With pedophiles and devil worshippers and forced inoculations and FEMA camps coming for us and war!
[03:31:10.212 --> 03:31:12.232]  If we don't fix this now, we're gonna have to fight.
[03:31:14.313 --> 03:31:15.773]  You know, I really need to repent.
[03:31:15.793 --> 03:31:16.794]  It's a sick part of me.
[03:31:16.894 --> 03:31:17.914]  I just hope it goes down.
[03:31:22.628 --> 03:31:32.695]  Because all you devil worshippers and trash that have been pushing and pushing and pushing forever, you better hope you fail in your operation and you don't push us into the fire.
[03:31:32.715 --> 03:31:37.719]  Because I swear on the altar of God, you will pay.
[03:31:39.240 --> 03:31:40.761]  Quite frankly, I'm so alive right now.
[03:31:40.801 --> 03:31:43.443]  I'm so glad Soros and
[03:31:44.565 --> 03:31:45.645]  Bill Gates hate me.
[03:31:45.665 --> 03:31:48.706]  That's the greatest honor in my life.
[03:31:49.307 --> 03:31:51.768]  It's the greatest thing in my life next to my children.
[03:31:52.728 --> 03:31:57.270]  That I'm real, I'm all in, and you know me by my enemies, and I know our audience of activists.
[03:31:57.850 --> 03:32:02.831]  It's you they hate because they don't have your will, they don't have your soul, they don't have your heart.
[03:32:03.052 --> 03:32:04.572]  They don't control your destiny!
[03:32:05.092 --> 03:32:06.813]  They sure as hell don't control mine!
[03:32:08.049 --> 03:32:11.773]  So we're trying to hold the dam against the Satanists and the armies of hell.
[03:32:11.973 --> 03:32:17.580]  We pray to Jesus Christ and our Heavenly Father to lead God and direct us against this enemy!
[03:32:18.220 --> 03:32:19.962]  But I need money to fight a war!
[03:32:20.162 --> 03:32:21.184]  And I need word of mouth!
[03:32:21.424 --> 03:32:22.285]  And I need prayer!
[03:32:22.485 --> 03:32:23.406]  And I need action!
[03:32:23.827 --> 03:32:25.348]  Because that dam's gonna come down!
[03:32:26.209 --> 03:32:27.730]  That dam's already got holes in it.
[03:32:28.230 --> 03:32:32.233]  And the enemy's telling you, don't stick your fingers in it, don't block it, everything's fine.
[03:32:32.433 --> 03:32:34.494]  Peaches and cream are on the other side.
[03:32:34.714 --> 03:32:35.294]  No!
[03:32:35.775 --> 03:32:37.596]  You know it's not peaches and cream!
[03:32:37.796 --> 03:32:39.757]  Trump's told you, hell's coming!
[03:32:40.558 --> 03:32:41.478]  One way or another!
[03:32:42.559 --> 03:32:47.742]  Only question is, do we have a president in the middle of the fight against the new world order, or is it going to be us that does it?
[03:32:48.362 --> 03:32:49.603]  But we know we're not giving up!
[03:32:51.621 --> 03:32:54.202]  Get the money to us now so we can operate.
[03:32:54.262 --> 03:32:55.702]  Go to InfoWarsTore.com.
[03:32:55.902 --> 03:32:59.603]  You can also donate at InfoWarsTore.com in the Support Us section.
[03:33:05.065 --> 03:33:10.967]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:33:21.069 --> 03:33:22.331]  The bell is tolling.
[03:33:23.492 --> 03:33:25.635]  Humanity is at the crossroads.
[03:33:25.695 --> 03:33:28.919]  We're going to win.
[03:33:29.279 --> 03:33:30.481]  But it's going to be rough.
[03:33:30.501 --> 03:33:34.265]  I remember David Einstein in 2005 on my show.
[03:33:34.345 --> 03:33:38.571]  He was saying, I think around 2016 will be a giant awakening.
[03:33:40.035 --> 03:33:42.436]  But then by 2020, the real fight will come.
[03:33:43.036 --> 03:33:48.239]  And if humanity can make it through that in the next 5-10 years, I think there's going to be a real, I mean, amazing time after that.
[03:33:48.259 --> 03:33:49.099]  But it's really up to us.
[03:33:49.119 --> 03:33:51.460]  I remember saying, well, why are you coming up with these numbers?
[03:33:51.480 --> 03:33:54.361]  And he said, well, I do a lot of research, but also I'm just hooked into the universe.
[03:33:54.401 --> 03:33:56.162]  Well, that all played out exactly as he said.
[03:33:56.422 --> 03:33:57.362]  Not just here, but around the world.
[03:33:57.382 --> 03:34:00.404]  The big move against globalism, the big awakening, they counterstrike.
[03:34:01.264 --> 03:34:04.827]  Go back to that, David, come on, I've answered this question before and you won't answer it.
[03:34:05.147 --> 03:34:19.359]  Go back to the moment, you're on my show, you said it a bunch of other places too, and you just said, I just envisioned 2016, the global awakening, the tide begins to turn, but then the enemy by 2020 comes back in to be a big fight, but we're going to win.
[03:34:19.919 --> 03:34:21.220]  Go back to that thought process.
[03:34:23.882 --> 03:34:30.588]  Well, it was, if you go back to when I started 30 years ago, I mean, you couldn't get, you couldn't fill a phone box with interest in this stuff.
[03:34:31.505 --> 03:34:46.157]  But as the years have unfolded, what's happened is people's experience, and people's view of the world, and lots of other things that are going on, have started to break down this, if you like, this bubble.
[03:34:46.757 --> 03:34:50.160]  And people have started to see and look at the world in a different way.
[03:34:50.180 --> 03:34:51.902]  And you know, you've seen a difference.
[03:34:52.002 --> 03:34:55.925]  I've seen a staggering difference in the last few years.
[03:34:55.945 --> 03:34:58.947]  And now they tell us openly, you're only safe in the bubble.
[03:34:58.967 --> 03:34:59.488]  Please continue.
[03:35:00.188 --> 03:35:00.368]  Yeah.
[03:35:02.942 --> 03:35:06.284]  It's not just the numbers of people that are waking up.
[03:35:06.765 --> 03:35:13.589]  It's the type of people, system people, are starting to wake up from within the system and realize what they've been part of.
[03:35:13.649 --> 03:35:14.350]  Oh, that's key.
[03:35:14.430 --> 03:35:16.731]  I think I wanted to ask you this when I was trying to get you on a week's ago, but you couldn't.
[03:35:17.412 --> 03:35:18.833]  Bill Gates was on with Anderson Cooper.
[03:35:18.873 --> 03:35:20.134]  I'm sure you saw it about a month ago.
[03:35:20.594 --> 03:35:25.577]  And they go, yeah, millions of people an hour are saying bad things about Bill Gates.
[03:35:26.058 --> 03:35:27.779]  And they go, and it's not the normal types.
[03:35:27.859 --> 03:35:29.220]  You know the ones, don't know about us.
[03:35:29.600 --> 03:35:30.921]  It's like regular people.
[03:35:31.201 --> 03:35:32.522]  It's people in the system.
[03:35:33.162 --> 03:35:35.664]  So what you just said is they're hitting the panic button.
[03:35:36.585 --> 03:35:40.728]  Which is an expression of what I'm talking about.
[03:35:40.828 --> 03:35:48.213]  I know from people who've contacted me, the kind of people that are waking up now are really in the system.
[03:35:48.493 --> 03:35:54.397]  And they've reached the point where they can't just ignore what they're seeing around them anymore.
[03:35:54.437 --> 03:35:55.878]  We've seen that with doctors coming out.
[03:35:56.578 --> 03:36:04.825]  During this pandemic hoax, but what has happened in this period is a lot of people have fallen for fear.
[03:36:04.885 --> 03:36:20.476]  Yes, and an acquiescence, but it's got so many people off the fence because it's very difficult if you have a smear of intelligence on active duty to look at the world and what's happened and not realize that actually the world is not like you thought it was.
[03:36:21.017 --> 03:36:22.438]  And this is one of the great
[03:36:23.178 --> 03:36:23.859]  Benefits
[03:36:40.405 --> 03:36:43.727]  If they said it was going to come and it's come, it can't be random.
[03:36:43.767 --> 03:36:45.868]  Therefore, what's going on, what's behind it?
[03:36:45.988 --> 03:36:57.334]  And so we're at a point now, a fork in the road, where we are choosing which way we're going.
[03:36:57.774 --> 03:37:01.997]  And acquiescence will just take us where this has been heading all along.
[03:37:02.177 --> 03:37:04.098]  And there's a nightmare down that road.
[03:37:05.160 --> 03:37:11.422]  But non-acquiescence can bring an end to this very, very quickly because it's completely dependent on that acquiescence.
[03:37:12.023 --> 03:37:18.025]  And what we need, ladies and gentlemen, is to move people
[03:37:18.780 --> 03:37:34.467]  From that, I can see it now, symbolically you're on the other side of the street, I can see what's coming next, to cross the street and engage with it, or even more powerfully, to disengage with it, the power of no!
[03:37:34.927 --> 03:37:41.310]  The power of no will bring this down, because the power of acquiescence has built it up.
[03:37:42.219 --> 03:37:44.360]  Our power is being used both ways.
[03:37:44.420 --> 03:37:45.580]  And by the way, I agree with you.
[03:37:45.600 --> 03:37:47.641]  I didn't finish that point, but I agree with you.
[03:37:48.061 --> 03:37:49.161]  This shows how weak they are.
[03:37:49.181 --> 03:37:50.562]  They're throwing everything at us.
[03:37:50.622 --> 03:37:51.802]  I can see their body language.
[03:37:52.263 --> 03:37:54.703]  They are in panic-crazy mode.
[03:37:55.524 --> 03:37:57.764]  And our people never look better, never look stronger.
[03:37:57.824 --> 03:38:00.685]  We're glowing, and it looks like they're diminishing.
[03:38:02.126 --> 03:38:04.027]  Yeah, because they're dependent on us.
[03:38:04.567 --> 03:38:07.288]  And when we stop cooperating with them, they're finished.
[03:38:07.308 --> 03:38:08.108]  They have no power.
[03:38:09.451 --> 03:38:16.435]  And all that's happened in the last few months has simply been through acquiescence of the target population.
[03:38:16.995 --> 03:38:21.598]  No one would be wearing masks now if people chose to not wear masks.
[03:38:21.918 --> 03:38:27.001]  There would be no social distancing, unsocial distancing, if people hadn't acquiesced to it.
[03:38:27.381 --> 03:38:28.782]  There'd be none of this stuff.
