[00:00:15.512 --> 00:00:15.992]  We are live.
[02:20:09.921 --> 02:20:13.784]  Just think about it, be hardcore about it, and tell us what you want to say.
[02:20:13.844 --> 02:20:14.304]  Okay, okay.
[02:20:14.884 --> 02:20:17.346]  So, we have the cure in front of our nose.
[02:20:17.955 --> 02:20:18.716]  It's tested.
[02:20:18.756 --> 02:20:34.029]  There's a huge network of classical homeopathy teaching now practicing homeopathy that's working together now all around the world to gather information from doctors and homeopaths and testing remedies.
[02:20:34.668 --> 02:20:35.749]  Right now, it's huge.
[02:20:36.009 --> 02:20:36.669]  It's more than 500.
[02:20:36.989 --> 02:20:38.630]  Oh, you're right.
[02:20:38.871 --> 02:20:43.693]  And they're trying to block everybody, talking about the fact that we have building blocks.
[02:20:43.753 --> 02:20:46.535]  When a vitamin or mineral says essential, it means you die without it.
[02:20:46.855 --> 02:20:49.717]  It means if you don't have what you need, you get sick and die.
[02:20:49.737 --> 02:20:54.620]  But Alex, it's not the same as supplements.
[02:20:54.920 --> 02:20:55.841]  They are not the same.
[02:20:56.081 --> 02:20:58.002]  This is medicine of God.
[02:20:59.628 --> 02:21:00.048]  I understand.
[02:21:00.209 --> 02:21:02.190]  Send me an email at ShowTipsInformers.com, sir.
[02:21:02.210 --> 02:21:04.472]  I really appreciate you calling from Sweden.
[02:21:04.492 --> 02:21:04.973]  God bless you.
[02:21:05.113 --> 02:21:06.074]  Got to move quick to get everybody.
[02:21:06.594 --> 02:21:07.895]  Let's talk to Chris in Kentucky.
[02:21:07.915 --> 02:21:08.656]  Chris, thanks for calling.
[02:21:08.676 --> 02:21:09.096]  You're on the air.
[02:21:10.077 --> 02:21:10.617]  Hey, Alex.
[02:21:10.818 --> 02:21:12.459]  I tell you what, I'm pumped up like you are.
[02:21:12.479 --> 02:21:16.122]  I just had an article out here in Louisville that- I recognize your voice.
[02:21:16.442 --> 02:21:18.084]  You've been calling, like, what, 18 years?
[02:21:18.404 --> 02:21:19.225]  Yeah, it's been a while.
[02:21:19.365 --> 02:21:23.468]  I've been trying to get through to your show, but I respect the first-time callers and let them get through.
[02:21:25.768 --> 02:21:30.312]  The Courier General had an article about putting bracelets on people that have the coronavirus.
[02:21:30.372 --> 02:21:32.734]  If they don't stay there, they have judge orders to be tracked.
[02:21:33.114 --> 02:21:36.637]  Oh, David Knight broke that a month ago, and next they're going to have microchips.
[02:21:36.677 --> 02:21:37.277]  It's all official.
[02:21:37.797 --> 02:21:38.298]  Oh, absolutely.
[02:21:38.418 --> 02:21:41.000]  And they're putting bracelets on them in New York, New Jersey.
[02:21:41.420 --> 02:21:42.601]  I've got the articles right here.
[02:21:43.522 --> 02:21:44.042]  Absolutely.
[02:21:44.062 --> 02:21:48.226]  And they go, oh, our imprisoned-at-home program works quite well.
[02:21:49.193 --> 02:21:54.137]  Oh yeah, this is such freedom, you know, with our Fuhrer, Bashir, our dictators.
[02:21:54.237 --> 02:21:55.898]  I'm in my concentration camp in Louisville.
[02:21:55.918 --> 02:21:56.939]  We're in a concentration camp.
[02:21:56.959 --> 02:21:57.920]  This is Warsaw Ghetto.
[02:21:58.080 --> 02:21:58.821]  That's what it is.
[02:21:59.081 --> 02:22:00.322]  We don't have leaders anymore.
[02:22:00.662 --> 02:22:01.483]  We have a dictator.
[02:22:01.783 --> 02:22:02.684]  Wake up, people!
[02:22:02.924 --> 02:22:04.225]  What's wrong with this country?
[02:22:05.366 --> 02:22:11.131]  Well, there's a virus, and as Fauci said, we cannot let one person die, so no one can leave their houses until no one ever dies again.
[02:22:11.151 --> 02:22:14.073]  And of course, the depression will cause mass death, as Trump said.
[02:22:14.513 --> 02:22:15.074]  God bless you.
[02:22:15.334 --> 02:22:16.475]  Chris, I'm moving quick to get to everybody.
[02:22:18.200 --> 02:22:20.082]  Let's go ahead and go to Ben in Texas.
[02:22:20.142 --> 02:22:20.882]  Ben, you're on the air.
[02:22:20.902 --> 02:22:21.282]  Go ahead.
[02:22:21.303 --> 02:22:24.025]  Hey, how's it going, Alex?
[02:22:24.805 --> 02:22:26.687]  Man, it's all unfolding right now.
[02:22:27.007 --> 02:22:28.588]  The absolute global meltdown.
[02:22:28.909 --> 02:22:32.411]  Kissinger licking his little demon lips, saying he'll never be free again.
[02:22:32.952 --> 02:22:34.333]  Depression for generations.
[02:22:34.353 --> 02:22:35.014]  Ha ha!
[02:22:35.154 --> 02:22:36.395]  We love it!
[02:22:36.415 --> 02:22:37.335]  It's liberal!
[02:22:38.677 --> 02:22:39.177]  Exactly.
[02:22:39.237 --> 02:22:45.162]  I mean, the scientific dictatorship, the technotronic elite, is here.
[02:22:45.342 --> 02:22:47.323]  Fauci, that's our dictator.
[02:22:49.618 --> 02:22:55.442]  And Bill Gates, he's all over the news saying, you don't leave your home till he has a special shot for you.
[02:22:56.926 --> 02:23:03.348]  Yeah, Bill Gates wants to get rid of all the old people and now his top concern is creating a vaccine.
[02:23:03.468 --> 02:23:09.030]  And so everybody better get really active and really loud and get the word out in legal and lawful ways.
[02:23:09.070 --> 02:23:13.551]  But the time for men and women just saying, oh, Alex, you're great or something.
[02:23:13.591 --> 02:23:16.912]  No, everybody better get aggressive in the info war now.
[02:23:17.173 --> 02:23:18.433]  That means at your keyboard.
[02:23:18.473 --> 02:23:19.453]  That's not a better place.
[02:23:20.053 --> 02:23:24.295]  Spreading articles and videos from this broadcast or others that tell the truth to everyone.
[02:23:24.935 --> 02:23:34.240]  With real info that this was a bio-attack, launched by the globalists, with the chi-coms, with all that proof, not, stay in your homes, it's magic, Q, it's so good.
[02:23:34.880 --> 02:23:35.420]  B.S.
[02:23:35.760 --> 02:23:38.082]  David Rockefeller's plan is being launched.
[02:23:38.442 --> 02:23:40.143]  Gates is up there saying, stay in your home.
[02:23:40.463 --> 02:23:42.184]  Q is run by the globalists.
[02:23:44.925 --> 02:23:45.705]  That's right, Alex.
[02:23:45.865 --> 02:23:48.487]  And, uh, I mean, we, the British are here.
[02:23:48.507 --> 02:23:50.868]  I mean, it's too late to, you know, send our homes.
[02:23:51.539 --> 02:23:55.501]  I'll tell you Alex, I feel closer to God right now than I ever have in my whole life.
[02:23:55.781 --> 02:23:56.001]  I know.
[02:23:56.021 --> 02:24:00.963]  Can you feel though that the enemy, when the enemy comes in like a flood, the spirit of the Lord lifts up a standard against it.
[02:24:02.004 --> 02:24:05.485]  Look, the archetype is like the sword sting in Lord of the Rings.
[02:24:05.745 --> 02:24:07.606]  When goblins are near, it starts going blue, man.
[02:24:08.026 --> 02:24:10.047]  It's flaming blue, ladies and gentlemen.
[02:24:11.028 --> 02:24:12.588]  I mean, you hear those drums?
[02:24:12.708 --> 02:24:13.109]  Drums.
[02:24:13.469 --> 02:24:14.269]  It's on, baby.
[02:24:15.049 --> 02:24:15.930]  The war ain't coming.
[02:24:15.990 --> 02:24:16.370]  It's here.
[02:24:16.390 --> 02:24:19.952]  All right.
[02:24:19.972 --> 02:24:20.932]  Well, God bless you, Alex.
[02:24:22.972 --> 02:24:24.653]  God bless you though, that's how I feel right now.
[02:24:24.713 --> 02:24:27.816]  I feel so close to God and my discernment is so incredible now.
[02:24:27.836 --> 02:24:34.681]  And we've just got to just trust in God, be calm, be focused, but get the word out and do what God tells us to do.
[02:24:37.944 --> 02:24:49.413]  Notice the illegal aliens, the pedophile marches, all that's going and they're allowed and the homeless, all the totally, you know, controlled is what the globalists, oh, do whatever you want.
[02:24:50.862 --> 02:24:53.783]  But the hard working, whether you're black, white, old, young, doesn't matter.
[02:24:54.103 --> 02:24:55.443]  You better sit there and do what we say.
[02:24:55.483 --> 02:24:57.044]  It's about you learning you're a criminal.
[02:24:57.344 --> 02:24:58.544]  You learning you don't have rights.
[02:24:58.584 --> 02:24:59.465]  You learning you're a slave.
[02:25:00.625 --> 02:25:02.746]  And getting all the tattletales in your face.
[02:25:04.166 --> 02:25:06.767]  And you see your neighbor call the police on somebody for going out?
[02:25:08.267 --> 02:25:08.887]  You go out.
[02:25:09.928 --> 02:25:11.268]  You see cops at a checkpoint?
[02:25:11.468 --> 02:25:12.288]  Everybody goes out.
[02:25:13.569 --> 02:25:15.129]  They're telling us our churches aren't essential.
[02:25:15.169 --> 02:25:16.390]  But oh, Walmart is.
[02:25:16.670 --> 02:25:17.410]  Target is.
[02:25:21.001 --> 02:25:26.446]  Like they've shut down art stores that are for schools and for people that do their art for a living.
[02:25:26.767 --> 02:25:28.168]  And they're like, oh, that's not essential.
[02:25:28.348 --> 02:25:29.890]  And now Walmart's saying, oh, you don't need seeds.
[02:25:29.930 --> 02:25:30.691]  That's not essential.
[02:25:31.311 --> 02:25:33.594]  That's what the Soviets did, wouldn't let people have seeds.
[02:25:33.814 --> 02:25:34.975]  I told you to get seeds, folks.
[02:25:35.475 --> 02:25:37.157]  And I'm telling you this, I appreciate your call.
[02:25:37.958 --> 02:25:41.682]  If you want stuff at Infowarshore.com, I told you this started two weeks ago, I said, listen,
[02:25:42.827 --> 02:25:43.787]  You better get your orders in.
[02:25:43.807 --> 02:25:45.328]  We're shipping stuff next day.
[02:25:45.688 --> 02:25:46.649]  And we've got food.
[02:25:47.029 --> 02:25:54.012]  We've got things like protein powder and protein bars and a lot of essential food we have that's separate from the storable food that ships within a day.
[02:25:54.392 --> 02:25:56.133]  And that's how we even stay open as a warehouse.
[02:25:56.153 --> 02:25:56.693]  We're essential.
[02:25:57.434 --> 02:26:01.916]  But yeah, they're moving towards only a select list of globalist companies are essential.
[02:26:02.856 --> 02:26:04.737]  And that's how the fascist system works.
[02:26:06.638 --> 02:26:10.143]  And you know they're already saying the media doesn't like the fact that the media is essential.
[02:26:10.183 --> 02:26:12.707]  First Amendment, you can't trump that unless you're, you know, North Korea.
[02:26:13.048 --> 02:26:14.329]  So the media is all staying home.
[02:26:14.370 --> 02:26:15.932]  But their crews are all there at their offices.
[02:26:15.952 --> 02:26:20.218]  The propagandists are all there at ABC, NBC, Fox, CNN, MSNBC.
[02:26:21.630 --> 02:26:23.191]  But they're already, everybody else is remote.
[02:26:23.532 --> 02:26:25.393]  It's that idea that, oh, the media can't be remote.
[02:26:25.574 --> 02:26:27.435]  We don't want reporters out asking questions.
[02:26:27.616 --> 02:26:29.717]  We don't want reporters out showing what the National Guard's doing.
[02:26:29.978 --> 02:26:35.943]  We don't want reporters out showing what the police are doing when they're giving evil, illegal orders coming that won't even be from Trump, but in the commands.
[02:26:36.564 --> 02:26:38.145]  The press is more important than ever.
[02:26:38.165 --> 02:26:42.850]  So I'm going to tell men this right now.
[02:26:42.870 --> 02:26:44.751]  If you
[02:26:48.049 --> 02:26:50.011]  Bow to this crap and bow to fear.
[02:26:50.051 --> 02:26:51.612]  You'll never get your freedom back.
[02:26:51.652 --> 02:26:54.475]  You better be afraid of the tyrants and the test.
[02:26:55.315 --> 02:26:59.239]  And it's all about compliance right now, and it's all about destroying confidence and having a depression.
[02:26:59.980 --> 02:27:03.463]  And they'll still have a lockdown during that, because there'll be all these new viruses and bugs.
[02:27:03.843 --> 02:27:08.207]  Anything killing 10, 20,000 people in your country, hadn't even done that yet, is the end of the world.
[02:27:09.088 --> 02:27:10.909]  Let's put up the map, guys, showing the numbers of deaths.
[02:27:10.929 --> 02:27:11.970]  You can believe the UN.
[02:27:12.250 --> 02:27:13.431]  Most of it dies of a heart attack.
[02:27:14.906 --> 02:27:15.947]  You're positive for COVID.
[02:27:16.407 --> 02:27:17.087]  Die of cancer.
[02:27:17.187 --> 02:27:18.308]  Now you're positive for COVID.
[02:27:18.528 --> 02:27:19.669]  The hospitals have the nurses.
[02:27:20.029 --> 02:27:20.509]  No mask.
[02:27:20.890 --> 02:27:22.050]  Spreading COVID everywhere.
[02:27:22.310 --> 02:27:28.134]  So when people die who are already sick, they can say it's COVID and create the biggest fear-mongering system they can.
[02:27:29.535 --> 02:27:30.855]  Yes, I think it's a serious virus.
[02:27:30.875 --> 02:27:32.837]  Yes, it's a bioweapon, but we're strong.
[02:27:33.937 --> 02:27:34.598]  So let's look at it.
[02:27:34.638 --> 02:27:36.459]  Let's bump the light level up on that for me.
[02:27:37.196 --> 02:27:38.517]  We've got Italy, 15,000 deaths.
[02:27:38.797 --> 02:27:39.317]  Spain, 11,000.
[02:27:39.737 --> 02:27:40.217]  France, 7,000.
[02:27:40.377 --> 02:27:41.078]  United Kingdom, 4,000.
[02:27:42.058 --> 02:27:42.438]  Iran, 3,000.
[02:27:43.158 --> 02:27:45.699]  Where's the United States?
[02:27:47.200 --> 02:27:48.140]  Scroll guys for me, please.
[02:27:49.561 --> 02:27:50.101]  The U.S.
[02:27:50.661 --> 02:27:51.902]  That's not gonna happen in a minute.
[02:27:52.062 --> 02:27:52.742]  I'll just run over here.
[02:27:52.762 --> 02:27:52.742]  8,175.
[02:27:52.782 --> 02:27:56.884]  Blue killed 80,000.
[02:28:02.560 --> 02:28:09.929]  And if you've seen hysteria over 8,000, when it hits 80,000 like the flu in 2018, it will be sacrifice your babies into fire pits!
[02:28:10.469 --> 02:28:11.170]  And people will be like, ah!
[02:28:11.190 --> 02:28:14.654]  You know, because Harvard says breathing spreads it well.
[02:28:14.894 --> 02:28:15.755]  Kill yourselves!
[02:28:17.798 --> 02:28:20.000]  The answer to not having death is no life.
[02:28:20.401 --> 02:28:21.342]  I'm not saying do that, folks.
[02:28:21.382 --> 02:28:22.123]  I'm being sarcastic.
[02:28:23.868 --> 02:28:25.970]  Tim at one of the major epicenters.
[02:28:26.070 --> 02:28:29.594]  Now Biden says close the flights to China is the right thing to do.
[02:28:29.974 --> 02:28:32.597]  Tim in Seattle, because now they've gotten here and done their job.
[02:28:32.837 --> 02:28:33.898]  Tim, give us your view, sir.
[02:28:35.059 --> 02:28:36.180]  Hey Alex, how's it going?
[02:28:36.220 --> 02:28:37.582]  Thanks for the broadcast on Saturday.
[02:28:37.602 --> 02:28:39.604]  I appreciate your effort and diligence today.
[02:28:39.624 --> 02:28:41.646]  Well, who knows how long we'll be able to do this, brother.
[02:28:42.682 --> 02:28:43.122]  Exactly.
[02:28:43.843 --> 02:28:47.866]  In the meantime, how come America is allowing the Georgia Guidestones to stand?
[02:28:47.926 --> 02:28:49.227]  This is a message to us.
[02:28:49.287 --> 02:28:51.768]  We've been marked for death by the global fighting world.
[02:28:51.788 --> 02:28:53.209]  You know, that's a good point you just made.
[02:28:53.329 --> 02:28:54.390]  I'm not saying something.
[02:28:54.410 --> 02:28:56.692]  In fact, do not take a tractor at 3 a.m.
[02:28:56.752 --> 02:28:57.733]  and run those suckers down.
[02:28:58.513 --> 02:29:02.495]  Do not do stunts to stand up to them and let them know we know what they're doing.
[02:29:02.776 --> 02:29:10.860]  Let Ted Turner mark us like in that movie, Chronicles of Riddick, where the evil death cult comes and plants their stone when they kill your planet.
[02:29:11.401 --> 02:29:12.801]  We should worship the stones.
[02:29:13.182 --> 02:29:13.502]  No!
[02:29:13.682 --> 02:29:14.502]  Protect them!
[02:29:14.943 --> 02:29:16.704]  Sacrifice your children on them!
[02:29:17.064 --> 02:29:18.505]  How dare you, Tim!
[02:29:19.909 --> 02:29:20.329]  Exactly.
[02:29:20.910 --> 02:29:29.454]  Also, Alex, I want to mention that I think what's going on is that the virus is, it's basically a binary weapon for the radiation from Fukushima.
[02:29:29.494 --> 02:29:34.997]  I think what we're doing is we're seeing a lot of people succumbing to... You're really, I meant to say that today because it's in the ether.
[02:29:35.217 --> 02:29:36.818]  Radiation lowers immunity.
[02:29:37.158 --> 02:29:41.000]  Every time there's a Chernobyl or you name it, then they have a bunch of people die from the common cold.
[02:29:41.581 --> 02:29:42.061]  Keep talking.
[02:29:43.106 --> 02:29:48.908]  Yes, well, see, the low-dose ionizing radiation has been coming down on America for, like, the last nine years.
[02:29:49.688 --> 02:29:50.448]  We've been charting it.
[02:29:51.469 --> 02:29:56.810]  We've also done a lot of research as far as that the radiation does increase schizophrenic episodes in people.
[02:29:56.870 --> 02:30:05.533]  So, I mean, they've really... This is a mad science playground, and we're all cowards, and we're all full of apathy, and I'm sick to death of it.
[02:30:05.933 --> 02:30:07.434]  I'm absolutely sick to death of it.
[02:30:07.454 --> 02:30:08.114]  No, I hear you.
[02:30:08.134 --> 02:30:09.775]  The apathy of the... Sorry, go ahead.
[02:30:11.977 --> 02:30:19.163]  Well, I just, I mean, I want action and I want to stand against the globalists, but still at the same time, I'm tinned in, I don't want my kids taken from me.
[02:30:19.503 --> 02:30:20.945]  There's so many ways that they've got us.
[02:30:20.965 --> 02:30:22.226]  I hope America realizes that.
[02:30:22.246 --> 02:30:29.111]  But if we don't start taking action on civil disobedience and getting hardcore, they're already taking their lives from them with the invisible weapons like 5G.
[02:30:31.164 --> 02:30:31.985]  Yep, absolutely.
[02:30:32.225 --> 02:30:35.367]  It's immense, but it's not impossible.
[02:30:35.587 --> 02:30:36.688]  It just takes a little bit of effort.
[02:30:36.708 --> 02:30:42.352]  Imagine what it's like being a BuzzFeed or a Media Matters person who knows you're not part of the establishment, who knows you're being killed by this.
[02:30:42.372 --> 02:30:44.514]  Because I've talked to a lot of people off-record.
[02:30:44.554 --> 02:30:47.296]  They actually know the truth, but still stay at their job out of fear.
[02:30:47.676 --> 02:30:48.937]  Killing yourself to live.
[02:30:50.478 --> 02:30:51.939]  Just imagine being those people.
[02:30:53.157 --> 02:31:02.293]  Yeah, it's pretty dark and bleak when you start to look at... When you try to be an empath to our opposition, it's very abysmal.
[02:31:02.794 --> 02:31:05.659]  Also, I got one last final message, and that's to Zach Voorhees.
[02:31:06.292 --> 02:31:20.581]  Alex Jones at Infowars has saved millions upon millions of lives from the eugenics industrial complex by warning us, by keeping us informed and alert to what's going on, and Q has done nothing but just lead us in the dark.
[02:31:20.921 --> 02:31:22.121]  So, Q's garbage.
[02:31:22.982 --> 02:31:24.023]  I hope Zach comes around.
[02:31:24.043 --> 02:31:26.564]  I don't even know what's going on with Zach Voorhees.
[02:31:26.604 --> 02:31:27.965]  We could have a Q discussion.
[02:31:27.985 --> 02:31:32.868]  I mean, look, the Q thing, if you talk about Q, YouTube and Google pushes it.
[02:31:33.308 --> 02:31:34.269]  Now, what does that tell you?
[02:31:35.069 --> 02:31:36.491]  I mean, they are pushing it.
[02:31:36.611 --> 02:31:45.181]  It is, oh, we lied to you for your own good, and we have the secret intel, and then real people jacked into everything that brought the whole movement forward, this audience.
[02:31:45.562 --> 02:31:46.864]  Oh, we're the bad guys, Q says.
[02:31:48.072 --> 02:31:48.292]  Mm-hmm.
[02:31:48.652 --> 02:31:49.293]  Yeah.
[02:31:49.373 --> 02:31:50.054]  It's pretty insane.
[02:31:50.074 --> 02:31:51.655]  But Q never says anything about fluoride.
[02:31:51.675 --> 02:31:52.916]  Q never says anything about GMO.
[02:31:53.376 --> 02:31:55.278]  Q doesn't say, go protest your grocery stores.
[02:31:55.318 --> 02:31:56.759]  Go get the refined sugar off the shelves.
[02:31:57.099 --> 02:32:00.402]  Go make your immune system better.
[02:32:00.482 --> 02:32:01.562]  Q says nothing like that.
[02:32:01.763 --> 02:32:03.644]  Q says, trust the plan and stay in your house.
[02:32:03.724 --> 02:32:04.585]  You'll protect America.
[02:32:05.185 --> 02:32:06.626]  Infowars protects America.
[02:32:07.027 --> 02:32:07.647]  Just flat out.
[02:32:07.947 --> 02:32:10.669]  You know, and I really, really, really appreciate your guys' effort.
[02:32:11.130 --> 02:32:11.950]  It's amazing.
[02:32:12.231 --> 02:32:13.372]  You guys should pat yourselves on the back.
[02:32:13.392 --> 02:32:14.292]  Brother, I'm not... What?
[02:32:14.332 --> 02:32:15.573]  We're all in this vote together.
[02:32:15.593 --> 02:32:16.814]  Hell, I'm just bailing water here.
[02:32:16.854 --> 02:32:17.355]  God bless you.
[02:32:18.533 --> 02:32:20.074]  See, I'm not mad at Collar's thanking us.
[02:32:20.354 --> 02:32:24.195]  Just buy the products, spread the word, and just, that keeps us in the fight.
[02:32:24.215 --> 02:32:25.456]  Because I knew we had to stay on air.
[02:32:25.496 --> 02:32:26.556]  They really wanted us off air.
[02:32:26.876 --> 02:32:28.357]  Man, they tried to plant child porn on us.
[02:32:28.377 --> 02:32:29.357]  They tried to pay people off.
[02:32:29.377 --> 02:32:31.318]  They tried to put me in jail.
[02:32:31.618 --> 02:32:33.179]  They sued us 40-something times.
[02:32:33.219 --> 02:32:34.439]  They just went crazy.
[02:32:35.220 --> 02:32:36.800]  Just did stuff never before seen.
[02:32:37.200 --> 02:32:38.341]  But God kept us on air.
[02:32:38.401 --> 02:32:40.221]  You kept us on air for this time now.
[02:32:41.362 --> 02:32:43.323]  For the time when everyone will be taken off the air.
[02:32:44.683 --> 02:32:46.164]  And then Q will still be left, though.
[02:32:47.179 --> 02:32:50.081]  Probably even after Trump's been assassinated, it'll go, I am Q!
[02:32:50.341 --> 02:32:51.482]  Communism is good!
[02:32:51.762 --> 02:32:52.863]  Give your children to me!
[02:32:53.964 --> 02:32:54.905]  Q, stab your baby!
[02:32:55.926 --> 02:33:01.770]  You know, I mean, it's, it's, it's, it's, it's, it's just so, and people are like, oh, you're jealous of Q, the one that started it all.
[02:33:01.830 --> 02:33:08.035]  It's just like, Q's breaking news this week, that it may be a bioweapon from Wuhan!
[02:33:08.695 --> 02:33:10.997]  Alex, you're not covering it's a bioweapon from Wuhan!
[02:33:11.437 --> 02:33:12.138]  It's a joke!
[02:33:14.369 --> 02:33:17.330]  And so many people want to believe it's okay, especially women.
[02:33:17.790 --> 02:33:22.430]  I'm not putting women down, but a lot of women are like, no, it's Trump, he's doing it all.
[02:33:22.690 --> 02:33:25.611]  It's Q, we're winning, and the hospital ships are taking him away.
[02:33:27.391 --> 02:33:28.752]  No, folks, we're in a fight for our lives.
[02:33:29.572 --> 02:33:32.012]  And admitting we're in deep trouble can get us out of it.
[02:33:32.392 --> 02:33:34.212]  Lying to ourselves will get our gooses cooked.
[02:33:41.714 --> 02:33:42.854]  Shane Stoner gave me a call.
[02:33:44.153 --> 02:33:47.676]  This morning, he was talking to a famous musician who called him last night.
[02:33:49.478 --> 02:33:52.020]  And I got to give him a call, and they were asking, am I Bill Hicks?
[02:33:52.080 --> 02:33:53.481]  Because Shane went to high school with me.
[02:33:54.261 --> 02:34:01.487]  And Shane said, no, when Bill Hicks was on Letterman, like in 1992 and stuff, Alex Jones was in high school with me at Anderson High.
[02:34:02.401 --> 02:34:05.083]  And they go, oh, it's a fake yearbook and all this crap.
[02:34:05.123 --> 02:34:06.124]  I mean, it's insane.
[02:34:06.524 --> 02:34:07.886]  But see, I'm not real.
[02:34:08.486 --> 02:34:09.147]  Q is.
[02:34:09.847 --> 02:34:11.949]  And people go, oh, newspapers don't push that.
[02:34:12.429 --> 02:34:12.689]  Really?
[02:34:12.850 --> 02:34:15.792]  National News, Texas Monthly has pushed that I am Bill Hicks.
[02:34:16.553 --> 02:34:17.313]  As a sick joke.
[02:34:19.195 --> 02:34:22.677]  I'm giving you real documents, real information, proof here.
[02:34:24.439 --> 02:34:28.002]  But the Cuban was like, oh, we don't care about a Rockefeller plan to launch this and admitting it.
[02:34:28.783 --> 02:34:29.343]  Lockstep.
[02:34:29.684 --> 02:34:31.865]  We don't care about Event 201 or Memorandum 200.
[02:34:31.905 --> 02:34:33.747]  This is, you know, 201 now.
[02:34:34.487 --> 02:34:34.828]  No, no.
[02:34:34.888 --> 02:34:38.911]  We just care that everything's alright and Trump's going to arrest the pedophiles.
[02:34:38.971 --> 02:34:39.711]  We told you that.
[02:34:39.951 --> 02:34:41.012]  We exposed the WikiLeaks.
[02:34:41.352 --> 02:34:42.333]  I got attacked for that.
[02:34:42.613 --> 02:34:44.475]  We did that before the cute thing existed.
[02:34:46.260 --> 02:34:47.220]  It's ridiculous!
[02:34:47.260 --> 02:34:52.923]  It's like saying you don't trust your father, but you trust a snakehole with a rattlesnake.
[02:34:52.943 --> 02:34:53.603]  He's like, let me see!
[02:34:53.823 --> 02:34:55.244]  My ruler is in a black hole!
[02:34:55.264 --> 02:34:57.185]  And he's like, bites your hand, you go, oh!
[02:34:57.225 --> 02:34:59.206]  And the snake goes, I have to bite you to protect you!
[02:34:59.666 --> 02:35:01.027]  I have to lie to you to protect you!
[02:35:01.307 --> 02:35:01.947]  I'm Q!
[02:35:02.507 --> 02:35:04.468]  I don't want to end this talking about Q, it doesn't even matter.
[02:35:04.969 --> 02:35:06.649]  I just get these calls, it's Q real.
[02:35:06.669 --> 02:35:10.131]  I have like family call me and go, we never used to think you were right, you're right about it all.
[02:35:10.611 --> 02:35:14.093]  And because I heard you talk about all this years ago, you know, do you know who Q is?
[02:35:15.899 --> 02:35:18.941]  I'm like, yeah, I know who started it and got taken away from him in three days.
[02:35:23.245 --> 02:35:26.808]  And I guess I'll cover it Wednesday.
[02:35:26.828 --> 02:35:27.869]  Oh, God.
[02:35:28.589 --> 02:35:31.412]  It won't even matter because it's a cult.
[02:35:32.452 --> 02:35:36.075]  People can be shown like a blank piece of paper and go, this has the secrets of the universe.
[02:35:36.376 --> 02:35:39.598]  But unless you're part of the secret group and get our initiations, you can't see it.
[02:35:40.439 --> 02:35:41.460]  It's the Emperor's New Clothes.
[02:35:42.688 --> 02:35:45.090]  You've got to go read the parable of the Emperor's New Clothes if you're a Q follower.
[02:35:45.970 --> 02:35:53.336]  And if something's real bonafide, like men and women, they go, no, the two sexes don't exist.
[02:35:53.396 --> 02:35:57.479]  And then everybody fights over, yeah, they don't exist, even though it's like prima facie, that's what exists.
[02:35:59.100 --> 02:36:04.604]  But if it's blank, you can project onto it like a Rorschach blot whatever you want.
[02:36:07.119 --> 02:36:09.300]  Instead of the facts that are right there.
[02:36:09.961 --> 02:36:11.101]  And that's why it's so dangerous.
[02:36:11.701 --> 02:36:14.223]  That's what satanism and the occult and all of this is.
[02:36:14.303 --> 02:36:15.443]  It's gnostic crap.
[02:36:17.104 --> 02:36:19.966]  Instead of just the proof of all the things are there.
[02:36:20.686 --> 02:36:21.366]  Nothing's hidden.
[02:36:23.507 --> 02:36:24.288]  Except scams.
[02:36:29.161 --> 02:36:33.526]  People that have been programmed by the world, once the awakening happens, they can't allow an awakening.
[02:36:33.546 --> 02:36:38.471]  They've got to have a false awakening, so that you're told, sit there and don't do anything, trust the plan.
[02:36:38.491 --> 02:36:43.897]  I mean, and it's meant to be outrageous, as we one go, we all go.
[02:36:43.917 --> 02:36:45.558]  What is this, a Jim Jones cult?
[02:36:46.319 --> 02:36:47.100]  Trust the plan?
[02:36:47.160 --> 02:36:48.121]  What the hell?
[02:36:48.381 --> 02:36:50.724]  Don't trust me, check what I say!
[02:36:57.765 --> 02:37:16.335]  I thought about, just because the reality TV nature of it would be solid awakening gold, actually contact some of the crazies on YouTube that literally think I'm Bill Hicks, and then take them to my house and open up pictures and 8mm videos of me fishing when I'm 5 years old.
[02:37:17.336 --> 02:37:21.858]  And they'll just go, it was so elaborate that he was Bill Hicks.
[02:37:22.058 --> 02:37:23.659]  You can't, they're deceived.
[02:37:24.079 --> 02:37:24.900]  You either have
[02:37:25.905 --> 02:37:29.271]  Discernment, or you are one given over to delusion.
[02:37:31.943 --> 02:37:33.964]  They don't want the proof it's a bio-web.
[02:37:34.024 --> 02:37:37.046]  They don't want us, they want to believe everything's okay.
[02:37:38.607 --> 02:37:40.788]  Everybody said there wasn't a world government, a new world order.
[02:37:41.008 --> 02:37:41.748]  They were delusional.
[02:37:41.788 --> 02:37:48.932]  Now that it's all admitted and they're on the news announcing world government, don't worry, there's a secret good group in the world government that's stopping it all.
[02:37:49.733 --> 02:37:51.714]  It's just the next level of the delusion.
[02:37:52.034 --> 02:37:56.516]  And the very people that exposed it all on target, that is the bad person.
[02:37:57.297 --> 02:37:59.498]  That tells you that, again, that thing is the bad thing.
[02:38:00.660 --> 02:38:04.402]  But you can't ever attack it or face it because you can't face your accuser.
