[00:00:01.101 --> 00:00:04.602]  It's Sunday, October 18th.
[01:06:25.899 --> 01:06:35.794]  Mike Adams, naturalnews.com, whose wife is Taiwanese, speaks Chinese, was able to see the video, add even more context to what's in it from the folks that predicted this would come out three weeks before it did.
[01:06:35.814 --> 01:06:41.242]  And now Biden, lawyer, confirming that, okay, it's a real laptop.
[01:06:44.124 --> 01:06:45.025]  I keep going back to this.
[01:06:45.065 --> 01:06:45.845]  How do they survive it?
[01:06:45.885 --> 01:06:46.566]  Well, we know now.
[01:06:46.626 --> 01:06:49.288]  Here's a clip from just 30 minutes ago, Fox News.
[01:06:50.189 --> 01:06:54.232]  Oh, the FBI is investigating if foreign groups got his material.
[01:06:54.752 --> 01:06:57.234]  Well, we know the FBI got it from the Delaware.
[01:06:58.317 --> 01:06:59.298]  Max Shoppe!
[01:06:59.398 --> 01:07:02.562]  So now, oh, did foreign groups get this?
[01:07:03.062 --> 01:07:06.145]  So see, it changes the subject from what he's actually done.
[01:07:06.246 --> 01:07:07.387]  So what if he's raping kids?
[01:07:07.707 --> 01:07:08.808]  So what if he's a pedophile?
[01:07:09.109 --> 01:07:11.051]  To, oh, was a foreign group involved?
[01:07:11.391 --> 01:07:13.733]  Or is the Democrats selling us out to foreign powers?
[01:07:14.154 --> 01:07:17.197]  This is next level, if it's even true.
[01:07:17.237 --> 01:07:17.578]  Here it is.
[01:07:18.507 --> 01:07:24.714]  They won't let the fact that we caught him in a total corrupt deal, they won't let the news get out.
[01:07:24.874 --> 01:07:29.720]  We know that this whole smear on Joe Biden comes from the Kremlin.
[01:07:30.320 --> 01:07:36.547]  That's been clear for well over a year now that they've been pushing this false narrative about the Vice President and his son.
[01:07:38.905 --> 01:07:42.367]  Those are two contrasting views of the Hunter Biden business saga.
[01:07:42.828 --> 01:07:46.390]  Now the FBI, we're told, has seized the laptop that is said to be central to it.
[01:07:46.430 --> 01:07:51.393]  It's an unverified New York Post story about Biden and his alleged business dealings overseas.
[01:07:51.753 --> 01:08:01.360]  The agency investigating whether or not the emails purportedly contained on that laptop could be linked to a foreign intelligence operation, specifically Russia.
[01:08:01.880 --> 01:08:13.268]  The owner of the shop in Delaware, where the computer was allegedly left for repairs, tells Fox News that he, quote, can't be 100% sure that it was Hunter Biden who did drop it off for repairs.
[01:08:13.908 --> 01:08:18.811]  John Busse, associate editor of the Wall Street Journal and Fox's contributor, joins us now.
[01:08:18.891 --> 01:08:22.234]  So the president, as we heard, and his allies, they've been slamming Hunter and his father.
[01:08:22.654 --> 01:08:31.500]  The former vice president, though, calls this story, like we heard from Adam Schiff, quote, a... Alright, folks, so we are back here breaking this down.
[01:08:32.760 --> 01:08:39.623]  This is on record that his lawyers come out now and said, and the emails have been released, that this was indeed Hunter's laptop.
[01:08:39.643 --> 01:08:41.344]  So now they just want to change the subject.
[01:08:41.424 --> 01:08:42.644]  Oh, maybe it's not his.
[01:08:43.344 --> 01:08:45.525]  And you know, maybe it's the Russians again.
[01:08:45.545 --> 01:08:47.406]  No one is buying this, Mike.
[01:08:48.867 --> 01:08:49.347]  That's right.
[01:08:49.547 --> 01:08:50.327]  This won't fly.
[01:08:50.387 --> 01:08:53.588]  It's the boy who cried wolf or the boy who cried Russia too many times.
[01:08:53.628 --> 01:08:57.790]  In this case, they tried the Russia collusion hoax for the first two years of Trump's term.
[01:08:58.254 --> 01:09:02.598]  And then they tried the Russian conspiracy during impeachment, and that bombed as well.
[01:09:02.638 --> 01:09:04.100]  Now they're crying Russia yet again.
[01:09:04.140 --> 01:09:12.588]  Well, I don't think Russia made Hunter Biden smoke crack and abuse underage teens, reportedly, if that's indeed what's on the videos.
[01:09:12.608 --> 01:09:15.331]  And it appears it is so far from whistleblower accounts.
[01:09:15.371 --> 01:09:17.012]  I guess we'll see in a few days.
[01:09:17.032 --> 01:09:22.578]  But you've got to understand, the way this is being rolled out is to catch Joe Biden and Hunter Biden in lies.
[01:09:23.319 --> 01:09:24.921]  Steve Bannon explained this recently.
[01:09:24.981 --> 01:09:27.024]  Why aren't they rolling out everything all on one day?
[01:09:27.344 --> 01:09:32.432]  They're putting it out piecemeal so that the Biden team can respond and deny everything and then get caught.
[01:09:32.452 --> 01:09:33.914]  That's what Giuliani said in the interview.
[01:09:33.954 --> 01:09:36.037]  He said, no, no, we're giving them a chance to lie.
[01:09:36.637 --> 01:09:38.801]  And that's why they're being so quiet, though, is they don't know what to do.
[01:09:40.444 --> 01:09:49.890]  They are right now trying to paint a gray zone where they're not claiming that the emails and the hard drives are Hunter Biden's, but they're also not denying it.
[01:09:50.570 --> 01:09:52.411]  They're trying to just wait this thing out.
[01:09:52.591 --> 01:09:55.393]  And Joe Biden's refusing to answer any questions on this.
[01:09:56.373 --> 01:10:02.956]  Offering his usual, come on, man, you know, no one's saying that, you know, whatever, whatever he says, he's in a fairytale land.
[01:10:03.396 --> 01:10:09.518]  But while the press is asking him about what flavor of ice cream he ordered instead of the Hunter Biden scandal.
[01:10:09.798 --> 01:10:11.139]  So this is coming out.
[01:10:12.019 --> 01:10:13.920]  Giuliani has got all the goods.
[01:10:14.920 --> 01:10:16.461]  Trump's people have got this nailed.
[01:10:17.041 --> 01:10:18.761]  And the Democrat Party is going down.
[01:10:18.801 --> 01:10:19.962]  I mean, that's the good news here.
[01:10:20.766 --> 01:10:22.489]  The Democrat Party will not survive this.
[01:10:22.529 --> 01:10:36.947]  Now, it may take many months or even years to play out in terms of the arrests that are coming, but the DNC, as we know it today, I predict, Alex, right here on your show, the DNC will not survive the next two years intact because of what's about to happen.
[01:10:38.078 --> 01:10:46.061]  I agree with you, and now here's Fox News again, FBI investigation into Hunter Biden email story tied to Russia, disinformation effort.
[01:10:46.501 --> 01:10:53.824]  So just like Hillary, it's real emails, it's crime she's committing, and they're going to say it's the Russians when it's a Delaware shop.
[01:10:54.404 --> 01:10:57.746]  That's right, and could I mention that during this time you have been
[01:11:22.170 --> 01:11:26.011]  Attacked and smeared as I have, and it has made us tough.
[01:11:26.271 --> 01:11:28.471]  It has made us fighters.
[01:11:29.311 --> 01:11:42.073]  And it is so important, Alex, just on a personal note, that you take every step possible, and I know you are, to stay on the air and for your crew to stay on the air over the next three, four weeks, because they are going to try to take us down.
[01:11:42.093 --> 01:11:43.494]  They're going to DDoS our websites.
[01:11:44.074 --> 01:11:45.874]  They're going to attack us in every way possible.
[01:11:45.914 --> 01:11:48.675]  They're going to probably mess with the domain name system.
[01:11:48.695 --> 01:11:50.055]  They're going to do everything they can.
[01:11:50.135 --> 01:11:50.815]  It is crucial.
[01:11:51.437 --> 01:11:52.818]  That InfoWars stay on the air.
[01:11:53.298 --> 01:12:01.442]  And for all of us who are patriot fighters... And for listeners, while we're still on the air, to download the videos, to magnify them, to repeat it, to start your own.
[01:12:01.462 --> 01:12:02.843]  But look at that photo, Hunter Biden.
[01:12:04.084 --> 01:12:07.546]  If that guy wanted to babysit my children or sell me a car, I would run.
[01:12:07.586 --> 01:12:09.447]  He looks like a psychotic demon.
[01:12:10.347 --> 01:12:11.868]  Put the photo back up you guys are just showing.
[01:12:13.137 --> 01:12:15.578]  But the question is, is he really better than us?
[01:12:16.178 --> 01:12:17.198]  Is he stronger than us?
[01:12:17.378 --> 01:12:18.538]  Is he going to dominate us?
[01:12:19.018 --> 01:12:20.179]  Is he going to get control of us?
[01:12:20.239 --> 01:12:23.180]  Because it's just these people are all the same.
[01:12:23.220 --> 01:12:25.220]  I mean, this is a crackhead.
[01:12:25.860 --> 01:12:32.122]  This is a demon with billions of dollars that no one ever stood up to, that the FBI serves.
[01:12:32.362 --> 01:12:33.982]  It's got to come to an end.
[01:12:34.002 --> 01:12:34.902]  Mike Adams?
[01:12:35.743 --> 01:12:36.263]  They are weak.
[01:12:36.323 --> 01:12:37.063]  They are pathetic.
[01:12:37.203 --> 01:12:39.624]  They are morally vacuous.
[01:12:39.664 --> 01:12:40.964]  They're spiritually bankrupt.
[01:12:41.491 --> 01:12:42.232]  And they can't fight.
[01:12:42.292 --> 01:12:43.193]  They don't know how to fight.
[01:12:43.233 --> 01:12:44.093]  That's the thing, you see.
[01:12:44.474 --> 01:12:46.936]  By censoring us all these years, they've made us tough.
[01:12:46.976 --> 01:12:47.817]  They've made us smart.
[01:12:48.397 --> 01:12:49.418]  They've made us resilient.
[01:12:49.458 --> 01:12:52.601]  They didn't think that you would still be in business, or that I would, all this time.
[01:12:52.641 --> 01:12:57.745]  They wouldn't think that we would be having such a record year in terms of audience.
[01:12:57.765 --> 01:13:00.548]  Because all they do is cash commie checks all day.
[01:13:01.208 --> 01:13:03.731]  They can't even drop a laptop off to remember to get it.
[01:13:04.131 --> 01:13:05.232]  They're just totally dysfunctional.
[01:13:05.252 --> 01:13:06.313]  They don't know how to build anything.
[01:13:07.065 --> 01:13:08.186]  All they do is destroy.
[01:13:08.526 --> 01:13:09.506]  They can't run a business.
[01:13:09.606 --> 01:13:10.687]  They can't run a country.
[01:13:11.067 --> 01:13:13.428]  They can't even allow a country to have entrepreneurs who can kill people.
[01:13:13.508 --> 01:13:18.451]  And they say Trump is inept when he came from nowhere and their whole system and beat them.
[01:13:18.491 --> 01:13:21.492]  Well, if he's so inept, how did this inept nobody beat them?
[01:13:21.692 --> 01:13:23.173]  Because he's not part of your system.
[01:13:24.369 --> 01:13:25.370]  And he's going to beat them again.
[01:13:25.390 --> 01:13:29.252]  And the American people are rising up right now against the Democrats.
[01:13:29.293 --> 01:13:30.133]  They're walking away.
[01:13:30.513 --> 01:13:31.814]  They're tired of the violence.
[01:13:31.854 --> 01:13:35.817]  They're tired of the free speech people being attacked by violent left-wing lunatics.
[01:13:35.837 --> 01:13:37.018]  That's my next question.
[01:13:37.158 --> 01:13:38.979]  What do they do when they lose in 15 days?
[01:13:40.913 --> 01:13:41.754]  They go insane.
[01:13:42.294 --> 01:13:45.157]  They pull out all the weapons that they haven't been using so far.
[01:13:45.317 --> 01:13:49.000]  Notice they've been using frozen water bottles and socks with bricks in them.
[01:13:49.340 --> 01:13:51.102]  Now it's going to be AR-15s, folks.
[01:13:51.342 --> 01:13:54.825]  It's going to be full-auto weapons and AK-47s provided by China.
[01:13:55.105 --> 01:13:55.926]  It's going to be mortars.
[01:13:55.986 --> 01:13:57.047]  It's going to be RPGs.
[01:13:57.347 --> 01:14:05.494]  It's going to be also, by the way, stolen military transport vehicles, armored personnel carriers that have disappeared from National Guard bases across the West Coast.
[01:14:05.754 --> 01:14:06.695]  That's coming too, Alex.
[01:14:07.015 --> 01:14:07.575]  That's coming too.
[01:14:08.436 --> 01:14:11.857]  Folks, get out your 50 Cal Barrett's in defense of your nation.
[01:14:12.237 --> 01:14:20.038]  Don't initiate violence, but be prepared to defend your life, your family, your community, your local law enforcement, and your nation against these radical leftists.
[01:14:20.298 --> 01:14:22.238]  They are going to bring everything to bear against you.
[01:14:22.258 --> 01:14:23.219]  By the way, that isn't hype.
[01:14:23.639 --> 01:14:28.039]  The globalists are making a real run in our country because they've never been held accountable.
[01:14:28.419 --> 01:14:33.960]  After we win this war, Mike, the globalists have to be brought to justice for what they've done, as an example to others.
[01:14:34.040 --> 01:14:36.901]  Or it just keeps, it just keeps making more of them try this.
[01:14:38.755 --> 01:14:40.096]  Yes, they will be defeated.
[01:14:40.116 --> 01:14:41.057]  They will be exposed.
[01:14:41.077 --> 01:14:54.430]  History will show what happened, but it's going to require this defensive action on the part of patriots to defend their president, defend our Constitutional Republic, defend the Electoral College, and defend your own neighbors and also the rule of law.
[01:14:54.771 --> 01:14:56.993]  I mean, Alex, I told you personally, I'll just share it here.
[01:14:58.142 --> 01:15:03.503]  One of the reasons I've been so busy last few months, I've been doing night training, night vision, tactical engagement training.
[01:15:03.883 --> 01:15:11.285]  My primary rifle right now is a SCAR 17 308 medium range battle tactical rifle set up for night vision.
[01:15:11.705 --> 01:15:13.065]  And that's just my go to rifle.
[01:15:13.425 --> 01:15:15.306]  I believe most of this is going to happen at night.
[01:15:15.886 --> 01:15:22.407]  And I believe that we have to be ready to engage in self-defense against these lunatics who are trying to bring down our country.
[01:15:22.807 --> 01:15:26.068]  They have the plans in place and the material in place.
[01:15:26.528 --> 01:15:30.149]  China has stashes of weapons and ammunition and explosives.
[01:15:30.169 --> 01:15:30.910]  There's no doubt, Mike.
[01:15:30.970 --> 01:15:32.150]  I'm glad you're back with us.
[01:15:32.170 --> 01:15:33.110]  Naturalnews.com.
[01:15:33.150 --> 01:15:33.811]  Thank you so much.
[01:15:33.831 --> 01:15:36.232]  I got a final segment that Owen Schroyer takes over.
[01:15:36.252 --> 01:15:36.732]  Thank you, Mike.
[01:15:37.132 --> 01:15:37.392]  Wow.
[01:15:37.472 --> 01:15:39.373]  This is the times that try men's souls.
[01:15:39.413 --> 01:15:41.113]  This is a battle for the Republic.
[01:15:41.173 --> 01:15:41.854]  I'm Alex Jones.
[01:15:41.874 --> 01:15:42.434]  Talk about it, you know.
[01:15:42.454 --> 01:15:42.814]  Tune in now.
[01:15:46.926 --> 01:15:50.788]  All right, I'm going to co-host with Owen Schroyer what we call Sunday Live.
[01:15:51.488 --> 01:15:59.371]  I've been doing my syndicated show for 24 years, been on air 26, almost 27, but for about 16 years we've done Sunday shows.
[01:15:59.391 --> 01:16:01.412]  4 to 6 p.m.
[01:16:01.552 --> 01:16:03.373]  I know you're tuned in, you know that, we appreciate you.
[01:16:04.094 --> 01:16:04.954]  Without you there's nothing.
[01:16:06.315 --> 01:16:09.436]  No resistance, just the enemy having victory after victory against us.
[01:16:09.496 --> 01:16:15.759]  But we've upped the game here with weeknights, 7 to 9 election countdown.
[01:16:16.732 --> 01:16:19.093]  We'll be American Countdown after the election if we're still here.
[01:16:19.113 --> 01:16:21.574]  And I don't say that to be dramatic.
[01:16:21.594 --> 01:16:22.655]  I mean, we may not be here.
[01:16:23.555 --> 01:16:25.996]  There's a good chance if the enemy wins, we will not be here.
[01:16:27.437 --> 01:16:39.142]  Which in a kind of a sick way, it's kind of like I've run the course, I've fought hard, and I'm not defeatist, I'm actually victorious, but if things go bad, and that's God's choice, we kind of deserve to be enslaved, don't we?
[01:16:40.615 --> 01:16:41.455]  That I smell victory.
[01:16:41.515 --> 01:16:42.596]  The enemy smells it as well.
[01:16:43.096 --> 01:16:43.936]  That's why they're so scared.
[01:16:43.976 --> 01:16:44.817]  They smell our victory.
[01:16:44.837 --> 01:16:48.799]  But we now do Sunday live, 6 to 8 p.m.
[01:16:48.939 --> 01:16:51.420]  and there's only six minutes of ads an hour.
[01:16:52.080 --> 01:16:52.980]  That's the local ads.
[01:16:53.421 --> 01:16:54.461]  A lot of stations pick it up.
[01:16:54.921 --> 01:16:58.203]  That way we got more time for calls, more time for news, more time for what's going on.
[01:16:58.223 --> 01:17:01.164]  But I'll just be honest with you, because it's all I can do.
[01:17:02.564 --> 01:17:04.485]  I don't even feel worthy to be in this position.
[01:17:04.885 --> 01:17:05.706]  I mean, I feel
[01:17:06.977 --> 01:17:20.266]  I've been on air 26 years and I used to only last year have trouble like butterflies and anxiety because it's not that I have anxiety being on air, it's that this time is so epic.
[01:17:22.367 --> 01:17:23.208]  Getting chills right now.
[01:17:23.708 --> 01:17:30.933]  This is so big that I'm sitting here during the break looking at the news articles and I'm like, man, you need to go explain to these people how serious this is.
[01:17:30.973 --> 01:17:32.354]  And I'm like, well, I'm doing that.
[01:17:32.694 --> 01:17:35.076]  I'm talking to God, like I'm trying, I'm trying.
[01:17:36.286 --> 01:17:38.027]  So you better get your ass together.
[01:17:38.067 --> 01:17:39.328]  You better warn them to take action.
[01:17:40.689 --> 01:17:41.750]  Well, then what is the action?
[01:17:42.510 --> 01:17:46.273]  Because it's one thing to just tell people what's going on and you can check it out yourself, make your own decision.
[01:17:46.833 --> 01:17:48.214]  But I mean, what do we do?
[01:17:48.835 --> 01:17:49.595]  I'm the same as you.
[01:17:49.615 --> 01:17:50.156]  You call me.
[01:17:50.216 --> 01:17:50.756]  What do we do?
[01:17:50.816 --> 01:17:51.237]  What do we do?
[01:17:52.438 --> 01:17:53.358]  Raise our kids good.
[01:17:53.418 --> 01:17:54.318]  Be good, decent people.
[01:17:54.578 --> 01:18:00.080]  Now they're gonna shut off our bank accounts and lock the cities down and say we're not essential and come force-inoculate us.
[01:18:00.620 --> 01:18:02.460]  They knew we were making the right decision.
[01:18:02.520 --> 01:18:03.920]  They knew we were turning back to God.
[01:18:04.240 --> 01:18:05.481]  They knew we were awakening.
[01:18:06.061 --> 01:18:08.561]  And so they pulled their Antichrist, Margaret the Beast crap.
[01:18:09.601 --> 01:18:11.702]  And all I can say is don't get intimidated by it.
[01:18:12.542 --> 01:18:14.042]  Just get angry and say no to it.
[01:18:16.783 --> 01:18:18.443]  And I know that's been the solution.
[01:18:18.783 --> 01:18:19.904]  It's also been the problem.
[01:18:20.364 --> 01:18:21.864]  Because I've been mighty pissed, man.
[01:18:22.824 --> 01:18:26.026]  I mean, they got Muslims tearing down church crosses everywhere.
[01:18:26.046 --> 01:18:29.609]  I mean, just the eagles on the march, folks.
[01:18:29.669 --> 01:18:32.311]  It's running around with its tongue hanging out.
[01:18:33.671 --> 01:18:37.034]  Just, I mean, the left is just absolutely out of control everywhere.
[01:18:39.736 --> 01:18:44.419]  They are conquering us right now because we have been asleep and because we have been passive.
[01:18:51.854 --> 01:18:53.896]  You know, I haven't even gotten into the COVID-19 news.
[01:18:54.336 --> 01:18:55.537]  Oh, it's, it's incredible.
[01:18:56.658 --> 01:19:00.081]  You know, their whole lockdown system, but look, we'll do an overhead shot of these faces.
[01:19:00.841 --> 01:19:06.726]  Look at how Joe Biden, Hunter Biden, they do these fake smiles all day.
[01:19:06.786 --> 01:19:07.486]  They laugh.
[01:19:07.647 --> 01:19:08.387]  Everything's fine.
[01:19:08.407 --> 01:19:09.648]  It's all a big joke.
[01:19:10.489 --> 01:19:14.072]  You know, you look at the lady that did the debate against Trump, looked like a demon the whole time.
[01:19:14.092 --> 01:19:20.477]  I mean, it's just, these people are obviously demonically influenced.
[01:19:23.447 --> 01:19:29.690]  And so I just want to ask listeners, what is it you're going to do against this here in the homestretch?
[01:19:30.070 --> 01:19:50.679]  Because it's not that Trump's perfect or Trump's going to save the world, but obviously the demonic forces of the new world order, these soulless jerks want to completely take over society and completely take over civilization.
[01:19:55.666 --> 01:20:01.468]  And so all I can say is, now is the time to stop complying with them.
[01:20:01.648 --> 01:20:03.849]  Now is the time to stop bowing to them.
[01:20:04.389 --> 01:20:11.072]  Now is the time to stop going along with their political correctness and their mask wearing and their forced inoculations.
[01:20:11.652 --> 01:20:15.874]  Like you go to any restaurant now, they want you to scan the QR code
[01:20:17.023 --> 01:20:17.383]  Of course!
[01:20:33.985 --> 01:20:41.088]  You try to go to a major park in Austin, and they've got plastic up at the entrance saying you've got to sign a form to go out in this park.
[01:20:41.408 --> 01:20:44.050]  They're just training you that you live under martial law.
[01:20:44.670 --> 01:20:45.650]  It's authoritarian.
[01:20:45.730 --> 01:20:46.210]  It's sick.
[01:20:46.591 --> 01:20:48.892]  And yeah, they'll have some young park worker doing it.
[01:20:48.912 --> 01:20:53.774]  So you don't want to be mean to her, some 20-year-old girl or some, you know, 20-year-old guy.
[01:20:54.054 --> 01:21:02.758]  But you need to be mean to them and the system itself because compliance with this is destruction and enslavement.
[01:21:04.209 --> 01:21:18.176]  And I'll tell listeners again, it's not some pat on the head when I'm here on air and I tell you that when you spread the word about the show and you share the articles and the videos, it bypasses the enemy.
[01:21:18.396 --> 01:21:19.476]  Can we go to Band.Video?
[01:21:19.516 --> 01:21:20.677]  Can I show people something?
[01:21:21.617 --> 01:21:22.358]  Go to Band.Video.
[01:21:23.098 --> 01:21:25.239]  And right up at the top is the headline here.
[01:21:25.259 --> 01:21:26.020]  I'll show you on this.
[01:21:26.120 --> 01:21:26.620]  I've been trying.
[01:21:28.587 --> 01:21:30.729]  We just go to Banned.video, you click right there.
[01:21:31.310 --> 01:21:36.155]  Confirm, Trump has footage of Hunter Biden raping and torturing little girls.
[01:21:36.735 --> 01:21:40.879]  Click that for me.
[01:21:40.899 --> 01:21:44.383]  1,162,000 views since yesterday afternoon we put it up.
[01:21:45.784 --> 01:21:46.245]  That's great!
[01:21:47.853 --> 01:21:49.554]  It needs a hundred million views.
[01:21:49.814 --> 01:22:01.421]  And if you simply go to Band.Video and you simply share that URL on your text message, on your email, on your word of mouth, if you simply tell folks, hey, this is forbidden information, and here's the key.
[01:22:03.242 --> 01:22:06.344]  Watch it, check it out for yourself, and then share it.
[01:22:06.924 --> 01:22:08.125]  That's the last part.
[01:22:10.276 --> 01:22:11.316]  It's game over for these people.
[01:22:11.957 --> 01:22:19.379]  It's so simple, but I can't tell you how many emails I get, how many Twitter comments I see that people send me, where they're like, man, Alex Jones was right about all this.
[01:22:19.799 --> 01:22:28.542]  I wish he was still on air when we're on over 200 radio stations, over 100 TV and cable stations, and in many ways stronger than ever.
[01:22:28.582 --> 01:22:34.044]  But people that don't see us in their Facebook feed or their Twitter feed, they literally don't know we're on air.
[01:22:34.284 --> 01:22:36.565]  But you that are tuned in, you know that.
[01:22:37.278 --> 01:22:38.479]  You're like, well, that's incredibly simple.
[01:22:38.499 --> 01:22:39.799]  Of course, you've got your own show.
[01:22:40.699 --> 01:22:42.700]  They don't think about URLs anymore.
[01:22:42.860 --> 01:22:52.785]  They don't think about radio stations, or TV stations, because the last 20 years, TV stations were all like, follow us on Facebook, follow us on Twitter.
[01:22:53.045 --> 01:22:59.407]  So the radio station made it all about Twitter, all about Facebook, all about Google, until no one went to your radio station site.
[01:22:59.828 --> 01:23:04.790]  Your site didn't have your own apps, didn't have its own functions, didn't have its own social media network.
[01:23:05.580 --> 01:23:09.121]  You could have, me too, we could have all had our own thing.
[01:23:10.721 --> 01:23:13.862]  I figured this out five years ago, about two years before we got banned.
[01:23:14.722 --> 01:23:20.783]  And so we made the exodus over to InfoWars.com, banned that video, all the things we've got now, thanks to your support.
[01:23:20.803 --> 01:23:22.304]  But it took a lot of money to do it.
[01:23:23.184 --> 01:23:28.785]  But now if you're a member of Congress, now if you're the Senate, now if you're these committees trying to put out subpoenas,
[01:23:29.707 --> 01:23:31.089]  To Joe Biden and his son?
[01:23:31.149 --> 01:23:32.752]  They won't even let the subpoenas go out!
[01:23:33.493 --> 01:23:36.137]  Because they said, we decide what you can see.
[01:23:37.318 --> 01:23:38.320]  It's a technocracy.
[01:23:38.700 --> 01:23:40.082]  It's a digital dictatorship.
[01:23:40.423 --> 01:23:41.965]  And it's un-American and it's dangerous.
[01:23:42.776 --> 01:23:44.097]  We're going to start the next two hours.
[01:23:44.157 --> 01:23:46.079]  I'll be here for a while with Owen Schroer.
[01:23:46.780 --> 01:23:47.260]  He's coming in.
[01:23:47.280 --> 01:23:48.121]  We're going to recap.
[01:23:48.642 --> 01:23:55.328]  If you just tuned in, the big, huge breaking news of Hunter Biden and his laptop and his lawyers confirming it's real.
[01:23:55.968 --> 01:23:56.989]  And what are they going to do?
[01:23:57.070 --> 01:24:05.237]  And now Joe Biden in hiding and Giuliani and them have the video, but the New York Post is scared to publish it because it's pedophilia.
[01:24:05.257 --> 01:24:07.960]  And I understand why they won't, but they've got to blur it out.
[01:24:09.636 --> 01:24:19.155]  Let's just tell everybody you know right now to tune in to mfoldwars.com forward slash show and newswars.com forward slash show and the band dot video and then separately.
[01:24:20.424 --> 01:24:21.605]  Go to InfoWars store.
[01:24:21.885 --> 01:24:22.946]  Things are so crazy.
[01:24:23.607 --> 01:24:25.408]  Who knows, we'll be here in three months, six months.
[01:24:25.848 --> 01:24:27.009]  Get an InfoWars t-shirt.
[01:24:27.390 --> 01:24:28.290]  Get a piece of history.
[01:24:28.691 --> 01:24:30.212]  All t-shirts are $17.76.
[01:24:30.853 --> 01:24:31.373]  Free shipping.
[01:24:31.433 --> 01:24:33.275]  It's got to end tomorrow, the sale.
[01:24:33.915 --> 01:24:39.259]  RainForce Plus, the great nootropic, great healthy way to get awake and focused.
[01:24:39.279 --> 01:24:39.920]  50% off free shipping.
[01:24:40.981 --> 01:24:42.822]  Ultimate Krill Oil, massively discounted.
[01:24:42.842 --> 01:24:43.723]  We're about to end the sale.
[01:24:43.863 --> 01:24:44.384]  Free shipping.
[01:24:45.424 --> 01:24:48.747]  HaboChill, documented for such good focus, clarity.
[01:24:48.767 --> 01:24:50.768]  50% off, plus free shipping.
[01:24:51.509 --> 01:24:55.112]  SuperMetal Vitality, the concentrated herbs for libido, stamina, you name it.
[01:24:55.552 --> 01:24:56.453]  50% off, free shipping.
[01:24:56.773 --> 01:25:02.117]  Survival Shield X2, nascent iodine spray, take in the mouth and throat, the essential.
[01:25:02.137 --> 01:25:03.658]  33% off, free shipping.
[01:25:05.180 --> 01:25:13.506]  Knockout, not just melatonin, not just cell tryptophan, but six other compounds known for deep, clean, great restful sleep.
[01:25:13.706 --> 01:25:14.487]  50% off, plus free shipping.
[01:25:16.246 --> 01:25:22.208]  All SRL products are from a special lab, 60% off free shipping, and even more at InfoWarsTore.com.
[01:25:22.228 --> 01:25:30.531]  That sale ends tomorrow, and if you believe in what we're doing and want to experience the products we've got, reach out today, InfoWarsTore.com, and make your order.
[01:25:31.271 --> 01:25:32.671]  Everything we have is in stock.
[01:25:33.332 --> 01:25:40.074]  One day left on the sale, but a lot of stuff we're having to discontinue because the supply chain's broken down in this COVID martial law global depression.
[01:25:40.859 --> 01:25:43.140]  So get the products while you can.
[01:25:43.620 --> 01:25:47.142]  Infowarsstore.com or 888-253-3139.
[01:25:47.162 --> 01:25:50.484]  But whatever you do, share that URL.
[01:25:50.564 --> 01:25:52.285]  Infowars.com.
[01:25:52.765 --> 01:25:54.666]  That's it for the Alex Jones Show Sunday.
[01:25:55.627 --> 01:25:59.929]  Sunday live with Owen Schroer and yours truly coming up in just two minutes on this side of this break.
[01:26:00.409 --> 01:26:01.329]  Please stay with us.
[01:26:02.090 --> 01:26:04.191]  We're going to take calls and break everything down.
[01:26:05.899 --> 01:26:09.984]  You have been charging for months that mail-in balloting is going to be a disaster.
[01:26:10.065 --> 01:26:12.988]  You say it's rigged, that it's going to lead to fraud.
[01:26:13.008 --> 01:26:16.173]  This is going to be a fraud like you've never seen.
[01:26:19.172 --> 01:26:22.193]  This is going to come down to a fight over how many people are awake and how many aren't.
[01:26:22.213 --> 01:26:23.734]  They're going to contest the election.
[01:26:23.754 --> 01:26:25.154]  They're going to say Trump lost.
[01:26:25.494 --> 01:26:27.035]  They're super pissed that I'm on air.
[01:26:27.055 --> 01:26:27.975]  I want them shut down.
[01:26:28.055 --> 01:26:28.935]  I want them silenced.
[01:26:29.015 --> 01:26:29.696]  I want them muted.
[01:26:29.716 --> 01:26:31.636]  I think they are horrible for our society.
[01:26:31.676 --> 01:26:32.597]  You kept us on air.
[01:26:32.717 --> 01:26:34.017]  We did the analysis first.
[01:26:34.277 --> 01:26:35.297]  It's now gone mainstream.
[01:26:35.357 --> 01:26:37.338]  We continue to be the epicenter.
[01:26:37.438 --> 01:26:43.320]  And what they said directly to us is, you continue to be the epicenter of our plans not going the way we want.
[01:26:43.540 --> 01:26:44.981]  And you need to stop right now.
[01:26:45.101 --> 01:26:46.141]  And they're very, very serious.
[01:26:46.281 --> 01:26:48.702]  Well, I'm not signing on with a bunch of devil-worshipping child molesters.
[01:26:48.882 --> 01:26:51.503]  It's not gonna happen, so they are moving now to destroy me.
[01:26:51.983 --> 01:26:54.364]  I used to say, support InfoWars, rescue InfoWars.
[01:26:54.504 --> 01:26:56.145]  Save yourself, save the world.
[01:26:56.465 --> 01:26:57.345]  We're in this together.
[01:26:57.666 --> 01:26:59.386]  Because let me tell you something.
[01:26:59.406 --> 01:27:03.228]  Communism's up here, InfoWars is the dam blocking it, which is all of us together supporting.
[01:27:03.628 --> 01:27:05.429]  And you and I are all down here with our families.
