[00:00:00.409 --> 00:00:03.751]  They're actually admitting day one up front, that's it.
[01:01:27.486 --> 01:01:36.209]  I'm starting to get pissed right now because we're having trouble, you know, uh, operating here, even though we have a little extra money come in, it's still all the issues doesn't pay for it.
[01:01:37.030 --> 01:01:40.951]  And I'm watching this and I'm going to have to pay taxes on that later.
[01:01:41.231 --> 01:01:44.873]  But Jeff Bezos, who just got 24 billion and, and who dumped his stock.
[01:01:46.007 --> 01:01:49.289]  With 200 other CEOs right before the crash.
[01:01:49.429 --> 01:01:53.731]  Remember how many big important CEOs were stepping down in the six months prior to this happening?
[01:01:53.771 --> 01:01:56.372]  Bill Gates stepped down just barely before all of this happened.
[01:01:56.773 --> 01:02:00.695]  And so they then can't be responsible for what happens with their companies, but their stocks are being protected.
[01:02:00.975 --> 01:02:04.917]  In fact, the Fed is committed to buying up everybody's stock to prop it up into perpetuity.
[01:02:05.297 --> 01:02:10.081]  Not only that, the Fed is buying up municipal bonds, which means they could be the main creditor of your local city.
[01:02:10.101 --> 01:02:14.025]  But, mom and pop, lady cutting hair... They're not getting anything.
[01:02:14.145 --> 01:02:15.546]  They're not getting the paycheck protection program.
[01:02:15.606 --> 01:02:16.327]  This is a war.
[01:02:16.587 --> 01:02:21.671]  And after this is all over, folks, remember, start only shopping with little guys in operations that are pro-America.
[01:02:21.691 --> 01:02:22.312]  You cannot get
[01:02:22.332 --> 01:02:26.513]  The problem with non-stop gloom and doom is it gives Trump the chance to play the optimist.
[01:02:26.533 --> 01:02:28.313]  And optimists tend to win American elections.
[01:02:49.844 --> 01:02:53.826]  FDR said the only thing we have to fear is fear itself.
[01:02:55.086 --> 01:02:59.868]  You know, as full of s*** as he is, I could see Trump riding that into a second term.
[01:03:00.729 --> 01:03:02.910]  And then there will be no hope left for you to shame.
[01:03:04.670 --> 01:03:11.433]  So, look, if this insanity happens again, news sources have to rein it in.
[01:03:12.394 --> 01:03:17.496]  Everyone knows corona is no walk in the park, because you literally can't walk in the park.
[01:03:18.683 --> 01:03:24.584]  But at some point, the daily drumbeat of depression and terror veers into panic porn.
[01:03:25.265 --> 01:03:28.325]  Enough with the life-will-never-be-the-same headlines.
[01:03:28.766 --> 01:03:30.126]  And stop showing us this!
[01:03:31.486 --> 01:03:34.927]  You know, everything looks scary when you magnify it a thousand times.
[01:03:35.747 --> 01:03:36.808]  Here's a pubic hair.
[01:03:37.148 --> 01:03:37.548]  Boo!
[01:03:40.028 --> 01:03:46.250]  Last month, the Washington Post ran the headline, It Feels Like a War Zone, with this picture.
[01:03:48.151 --> 01:03:49.232]  This is not a war zone.
[01:03:49.773 --> 01:03:51.494]  This is a man with a box of eggs.
[01:03:52.655 --> 01:03:54.777]  And I've never seen a war zone with this much bacon.
[01:03:55.978 --> 01:03:56.739]  Or how about this one?
[01:03:56.839 --> 01:04:02.264]  Horrifying simulation reveals the dangers of jogging during the coronavirus pandemic.
[01:04:03.465 --> 01:04:10.272]  Look, this virus is easy to catch, but if you can't avoid a jogging, you can't outrun much.
[01:04:11.718 --> 01:04:19.527]  Two weeks ago, Inside Edition said 76,000 in the world had died, so some are making comparisons to the apocalypse.
[01:04:20.448 --> 01:04:21.469]  The apocalypse?
[01:04:22.029 --> 01:04:22.350]  Really?
[01:04:22.370 --> 01:04:28.537]  Because most of us are sitting at home smoking delivery weed and binge-watching a show about a gay zookeeper.
[01:04:29.810 --> 01:04:38.113]  Unless you're a frontline healthcare worker, for whom the phrase, above and beyond the call of duty, doesn't even begin to cover it.
[01:04:38.333 --> 01:04:39.054]  Brother, hit pause.
[01:04:40.054 --> 01:04:41.295]  That's a total virtue signal.
[01:04:41.635 --> 01:04:44.276]  Hospitals in England are four times less empty than ever.
[01:04:44.656 --> 01:04:47.437]  They're more than triple empty here because there's no essential stuff going on.
[01:04:47.457 --> 01:04:48.097]  They're empty!
[01:04:48.617 --> 01:04:49.318]  That's a fact!
[01:04:49.618 --> 01:04:52.479]  They're empty, folks, because it's a hoax.
[01:04:52.899 --> 01:04:54.180]  It's like a bad flu.
[01:04:54.240 --> 01:04:54.840]  Let's continue.
[01:04:56.932 --> 01:05:00.553]  And I know, I know, you expect Inside Edition to be over the top.
[01:05:01.473 --> 01:05:02.513]  But the New York Times?
[01:05:03.013 --> 01:05:04.933]  They used the same word last week.
[01:05:05.653 --> 01:05:10.374]  Braced for apocalyptic surge, New York avoids worst so far.
[01:05:11.635 --> 01:05:15.895]  And this was an article about how much better the city was doing than expected.
[01:05:16.255 --> 01:05:21.836]  Projections had them needing 58,000 hospital beds, and it turned out they needed a quarter of that.
[01:05:22.336 --> 01:05:23.016]  Still bad.
[01:05:23.737 --> 01:05:26.017]  But you don't have to put hot sauce on a jalapeno.
[01:05:27.230 --> 01:05:31.051]  Geez, you sound like Lindsey Graham talking about ISIS when Obama was president.
[01:05:31.531 --> 01:05:36.372]  This president needs to rise to the occasion before we all get killed back here at home.
[01:05:36.932 --> 01:05:40.572]  Another recent Times headline was, it's terrifying.
[01:05:41.452 --> 01:05:42.953]  Millions more out of work.
[01:05:45.213 --> 01:05:48.274]  What the f*** is it's terrifying doing in a headline?
[01:05:48.914 --> 01:05:51.474]  Granted it's a quote, but who are they quoting?
[01:05:52.054 --> 01:05:52.394]  Trump?
[01:05:53.795 --> 01:05:54.315]  Fauci?
[01:05:55.295 --> 01:05:56.015]  Stephen King?
[01:05:57.028 --> 01:05:59.649]  No, they're quoting an event planner in North Hollywood.
[01:06:00.489 --> 01:06:02.669]  No offense to the event planners of the world.
[01:06:02.769 --> 01:06:06.650]  It's amazing what you people can do with pine cones and silver spray paint.
[01:06:07.710 --> 01:06:09.351]  But why are you in my headline?
[01:06:09.371 --> 01:06:10.851]  How about this?
[01:06:11.411 --> 01:06:19.233]  Just tell me, millions are out of work without the flashlight under the chin, and I'll decide how I feel about it.
[01:06:20.213 --> 01:06:22.033]  There was never headlines like this before.
[01:06:22.073 --> 01:06:25.554]  There was no, it's terrifying, planes hit World Trade Center.
[01:06:26.448 --> 01:06:33.351]  There was no, it's sad, Titanic sinks after hitting iceberg, or first atomic bomb dropped.
[01:06:33.932 --> 01:06:34.152]  Ouch!
[01:06:35.732 --> 01:06:40.915]  The media also seems obsessed with finding young people who've died of COVID-19.
[01:06:41.615 --> 01:06:46.137]  The Washington Post says there's 759 under 50 years old.
[01:06:46.597 --> 01:06:47.818]  Horrible, of course.
[01:06:48.899 --> 01:06:52.220]  Then I looked up how many under 50 died of the flu last year.
[01:06:52.700 --> 01:06:52.960]  Almost 3,000.
[01:06:54.983 --> 01:06:59.808]  So all this misery from distancing did some good.
[01:07:00.128 --> 01:07:01.730]  Can I be happy about that?
[01:07:02.691 --> 01:07:05.613]  Death is terrible, of course, no matter how it comes.
[01:07:06.034 --> 01:07:07.916]  I'm against it and I don't care who knows it.
[01:07:08.937 --> 01:07:13.201]  But giving a proper perspective isn't a cover-up of the truth.
[01:07:13.601 --> 01:07:14.322]  It is the truth.
[01:07:15.387 --> 01:07:33.824]  Sudden, dramatic deaths like plane crashes, shark attacks, tornadoes, mass shootings, terrorism, awful as they are, kill far less than seasonal flu, or even hospital-acquired infections, may very well kill more than coronavirus.
[01:07:33.844 --> 01:07:34.744]  99,000 of them last year.
[01:07:34.764 --> 01:07:37.907]  50,000 die of nephritis every year.
[01:07:37.927 --> 01:07:39.609]  I don't even know what that is!
[01:07:41.512 --> 01:07:46.836]  22 million Americans have filed for unemployment, and many will lose their health insurance.
[01:07:47.797 --> 01:07:51.420]  Studies show lacking health insurance kills people.
[01:07:52.520 --> 01:07:54.762]  But it doesn't lead to pictures like this.
[01:07:55.763 --> 01:07:57.244]  And it doesn't happen all at once.
[01:07:57.864 --> 01:08:02.208]  We need the news to calm down and treat us like adults.
[01:08:03.088 --> 01:08:04.829]  Trump calls you fake news.
[01:08:05.650 --> 01:08:06.651]  Don't make him be right.
[01:08:07.597 --> 01:08:17.863]  All right, Robert Barnes is going to be taking over with Owen Schroer and talking about the surge, the protest, federal judges ruling we can protest, of course against the First Amendment and more, and where this is all going.
[01:08:17.903 --> 01:08:19.324]  I'll be back tomorrow, 11 a.m.
[01:08:19.344 --> 01:08:23.286]  Central, The Alex Jones Show, but you'll also respond when you come back briefly to why do you think
[01:08:24.554 --> 01:08:26.056]  Bill Maher is pivoting now.
[01:08:26.096 --> 01:08:27.877]  I guess mission accomplished, economy dead.
[01:08:27.897 --> 01:08:29.920]  Now he can act like he wasn't for it all along.
[01:08:30.180 --> 01:08:30.640]  We'll be back.
[01:08:30.660 --> 01:08:34.985]  Whatever you do, share the live links to Band.Video and Infowars.com forward slash show.
[01:08:35.245 --> 01:08:37.948]  We're an information war and we need you to fight hard.
[01:08:55.902 --> 01:09:05.749]  Ladies and gentlemen, it is Robert Barnes and Owen Troyer with you here at the InfoWars World Headquarters in Austin, Texas.
[01:09:06.630 --> 01:09:10.392]  And we've got a lot to get to here in the next 30 minutes.
[01:09:10.472 --> 01:09:11.273]  Let's start off.
[01:09:12.862 --> 01:09:20.970]  A, with the protests that are happening around America right now, I think that we're seeing kind of the growth curve.
[01:09:20.990 --> 01:09:22.651]  You know, we keep talking about these curves, these curves.
[01:09:22.671 --> 01:09:25.334]  I think we're seeing a growth curve right now of these protests.
[01:09:25.354 --> 01:09:30.458]  I think if we don't get a reopening in full by the end of this week, I think next weekend they're going to be bigger.
[01:09:30.478 --> 01:09:34.342]  I know that Alex wants to have another one next Saturday in Austin, Texas.
[01:09:34.983 --> 01:09:36.764]  I'm not sure how much he's been talking about that today.
[01:09:36.804 --> 01:09:38.386]  I've been around the office cutting ads.
[01:09:39.286 --> 01:09:41.128]  But Alex is saying, hey, let's organize another one.
[01:09:41.148 --> 01:09:42.509]  Let's be out there again Saturday.
[01:09:42.569 --> 01:09:44.050]  So, hey, I'm here in Austin.
[01:09:44.190 --> 01:09:46.972]  I'm going to be out there Saturday again at noon at the Capitol.
[01:09:47.292 --> 01:09:48.393]  I'll bring out the bullhorn again.
[01:09:48.433 --> 01:09:49.314]  I'll give speeches again.
[01:09:49.334 --> 01:09:50.135]  We'll have fun again.
[01:09:50.315 --> 01:09:51.316]  We'll do the live streams again.
[01:09:51.776 --> 01:09:52.136]  Everything.
[01:09:52.196 --> 01:09:52.877]  So there's that.
[01:09:52.957 --> 01:09:55.239]  There's us executing our First Amendment right.
[01:09:56.311 --> 01:10:02.959]  Telling authoritarian governments, hey look, we're still free in this country, we're still sovereign citizens, you can't stop our freedom of expression.
[01:10:03.339 --> 01:10:06.222]  I salute the Austin Police Department and the state troopers yesterday.
[01:10:06.783 --> 01:10:11.288]  Not arresting people, not harassing people for lack of social distancing, or not wearing a mask.
[01:10:11.328 --> 01:10:13.511]  This is good, but, Robert Barnes.
[01:10:14.673 --> 01:10:15.593]  We are going to see this.
[01:10:15.673 --> 01:10:19.534]  We've seen people getting arrested for paddle boarding or having a birthday party or a wedding.
[01:10:19.614 --> 01:10:24.115]  We've now had the threats of government saying, we'll fine you if you open your business or you don't wear a mask.
[01:10:24.835 --> 01:10:26.235]  What are the legal precedents?
[01:10:26.615 --> 01:10:29.636]  Are there any for a business to say, you know what?
[01:10:29.796 --> 01:10:30.516]  I'm going to be open.
[01:10:30.556 --> 01:10:31.456]  I have the right to be open.
[01:10:31.676 --> 01:10:34.217]  And then if you write me a fine or citation, I'm not going to pay that.
[01:10:34.577 --> 01:10:36.937]  Or I'm not going to pay a citation for not wearing a mask.
[01:10:37.417 --> 01:10:38.538]  Is there a legal precedent for this?
[01:10:38.598 --> 01:10:40.338]  Or how do you think about this?
[01:10:40.458 --> 01:10:44.181]  Historically, the closest precedent is the Korematsu case.
[01:10:44.201 --> 01:10:46.522]  It's what happened to the Japanese during World War II.
[01:10:46.902 --> 01:11:07.156]  So that's the only time in our entire history in which we've taken away people's businesses, taken away their profession, their vocation, their occupation without due process of law, deprived them of their property without just compensation, shut down their ability to have free speech, free petitions, to peaceably assemble, to express themselves religiously, to be able to purchase a gun in their self-defense.
[01:11:07.476 --> 01:11:09.998]  The only time this has happened on any kind of scale
[01:11:10.518 --> 01:11:12.119]  Was the Japanese internment camps.
[01:11:12.439 --> 01:11:13.680]  And just two years ago, the U.S.
[01:11:13.700 --> 01:11:20.384]  Supreme Court unanimously said, in Trump v. Hawaii, that that was entirely unconstitutional and never should have been allowed.
[01:11:20.744 --> 01:11:26.668]  The Korematsu decision lives in infamy, much like FDR talked about living in infamy and going into World War II.
[01:11:26.968 --> 01:11:32.692]  Well, the Korematsu decision lives in infamy for the way in which it condemned people's civil rights and civil liberties.
[01:11:32.892 --> 01:11:36.054]  And there's not a judge or justice or legal scholar in this country that will defend it.
[01:11:36.554 --> 01:11:39.336]  And in that context, none of what's happening is constitutional.
[01:11:39.676 --> 01:11:48.485]  Now, in terms of scope, in terms of scale, in terms of severity, we have never experienced anything close to this, what is happening today in America.
[01:11:48.745 --> 01:11:54.611]  What took two centuries to build, our politicians have forfeited in two weeks, or in some cases two days.
[01:11:55.052 --> 01:11:58.896]  They have sacrificed civil liberties and civil rights in ways that have never occurred.
[01:11:59.216 --> 01:12:04.262]  The closest analogy would be the way slaves were treated before the Civil War.
[01:12:04.703 --> 01:12:15.696]  That's the kind of situation we're in, where people don't have the legally protected right of peaceable protest without punishment, or threat of punishment from the state, the legal right of religious expression,
[01:12:15.976 --> 01:12:16.296]  We're good to go.
[01:12:34.378 --> 01:12:49.529]  The studies have shown that sunlight is a disinfectant of this virus, has shown that humidity is a disinfectant of this like it is other flu-like viruses, has shown that the heat can, in certain circumstances, suppress the ability for this virus to transmit.
[01:12:49.850 --> 01:12:52.272]  This virus struggles to transmit in open air.
[01:12:52.552 --> 01:13:01.358]  This virus struggles to transmit unless you are in close continuous contact for at least 15 minutes in either a confined quarters or with someone who's infected.
[01:13:01.679 --> 01:13:03.460]  See, that doesn't happen in a public protest.
[01:13:03.740 --> 01:13:08.924]  So the public protest presents no real risk at all of even spreading the infection.
[01:13:09.224 --> 01:13:17.950]  The people doing the protest are not vulnerable to this infection in the sense of becoming seriously ill, debilitatingly ill, or death, which is almost exclusively elderly people.
[01:13:18.030 --> 01:13:20.331]  Even if there was that risk, it's our right to take it.
[01:13:20.811 --> 01:13:25.435]  And I don't like this notion they're pushing now that people need to be arrested for going out and gathering in public.
[01:13:25.475 --> 01:13:26.735]  That's absolutely absurd.
[01:13:27.016 --> 01:13:33.260]  But if somebody comes to you and says, hey, look, I just got written a citation for not wearing a mask or opening my business.
[01:13:34.020 --> 01:13:34.940]  What do you tell them?
[01:13:35.000 --> 01:13:36.621]  What is the best legal advice for them?
[01:13:36.961 --> 01:13:38.121]  Well, it's even worse than that.
[01:13:38.401 --> 01:13:40.502]  You have businesses that have been literally locked down in Michigan.
[01:13:40.882 --> 01:13:44.283]  So they've literally come and put the locks on the doors and said, you cannot open.
[01:13:44.703 --> 01:13:48.564]  So they're accelerating across the country in what they're doing.
[01:13:49.104 --> 01:13:57.306]  And the other question of this sort of new medical sharia law that's going to require people to wear masks, just weeks after our Surgeon General said, don't wear masks.
[01:13:57.706 --> 01:13:59.367]  So they don't really know the answer on masks.
[01:13:59.387 --> 01:14:00.827]  They're pretending to be flip-flopping on that.
[01:14:01.087 --> 01:14:01.487]  Exactly.
[01:14:01.527 --> 01:14:06.769]  It's because they think maybe, maybe not, maybe, maybe, maybe it only stops transmission, maybe it doesn't stop getting it.
[01:14:06.989 --> 01:14:07.749]  They don't really know.
[01:14:08.069 --> 01:14:13.891]  The same people that told you we need to shut down the beaches in Florida said that we should keep the subways open in New York City.
[01:14:14.271 --> 01:14:15.792]  So there was no logic to that.
[01:14:16.252 --> 01:14:22.974]  In fact, they cut down the number of subways operating to force more people into the same car for a longer time period.
[01:14:23.295 --> 01:14:23.795]  And guess what?
[01:14:23.835 --> 01:14:30.357]  It's the neighborhoods that rely upon that subway travel in places like Queens, which are almost the entire epidemic in the United States.
[01:14:30.717 --> 01:14:35.779]  So their policies created and festered the epidemic by what they did.
[01:14:35.819 --> 01:14:36.779]  They didn't help suppress it.
[01:14:36.999 --> 01:14:38.380]  So why should we trust them on anything else?
[01:14:38.440 --> 01:14:46.663]  And by the way, Cuomo in New York is now saying, well, we're going to have to increase the social distancing and increase the quarantine because summer is around the corner.
[01:14:47.063 --> 01:14:48.304]  It should be the exact opposite.
[01:14:48.344 --> 01:14:51.588]  This is the same guy saying, no, no, no, keep the subways running, but stay inside in the summer.
[01:14:51.968 --> 01:14:59.795]  It's known that sunlight has always been helpful for building your immune system and giving you vitamin D from the sun and killing viruses.
[01:14:59.816 --> 01:15:02.258]  I mean, why are they going against this common knowledge?
[01:15:02.678 --> 01:15:03.278]  It's extraordinary.
[01:15:03.298 --> 01:15:06.859]  I mean, in the same sense that today they arrested somebody for swimming by themselves at the beach.
[01:15:07.319 --> 01:15:09.400]  They've chased people for walking along the beach.
[01:15:09.800 --> 01:15:12.281]  They've gone after, as we saw in Malibu, paddle boarders.
[01:15:12.321 --> 01:15:13.821]  They're going after people that are surfers.
[01:15:13.881 --> 01:15:15.582]  I mean, do we have to have, like, a class action?
[01:15:15.602 --> 01:15:19.983]  Do people have to take up, like, how do you sue in mass to stop this from happening?
[01:15:20.103 --> 01:15:23.988]  So we brought it initially on behalf of businesses in the state of Michigan as our first case.
[01:15:24.308 --> 01:15:28.153]  We're going to be expanding that into a class action for a bunch of other people who have asked to join that.
[01:15:28.553 --> 01:15:35.001]  So that's going to be for every business in the state of Michigan that wants just compensation that hasn't received it for the taking of their property.
[01:15:35.282 --> 01:15:38.185]  People whose professions, vocations, and occupations have been denied.
[01:15:39.146 --> 01:15:43.249]  Without due process of law, people do not have the right to travel within their own state.
[01:15:43.510 --> 01:15:48.273]  I mean, the Fourth Amendment, you are arrested if your freedom of movement is restrained.
[01:15:48.634 --> 01:15:49.454]  That's what this is.
[01:15:49.514 --> 01:15:56.760]  This is mass arrest under the Fourth Amendment without probable cause of a crime, without clear and convincing evidence that this person has a transmittable disease.
[01:15:57.060 --> 01:15:58.441]  That's the requirement of a quarantine.
[01:15:58.701 --> 01:16:00.523]  You quarantine the sick, not the healthy.
[01:16:00.763 --> 01:16:02.544]  You quarantine the people who are deadly.
[01:16:02.725 --> 01:16:04.126]  You don't quarantine the Constitution.
[01:16:04.406 --> 01:16:06.948]  But what our politicians have done is quarantine the Constitution.
[01:16:07.268 --> 01:16:15.210]  And they're doing it as a live Milgram experiment into social control at a degree and scale that only China had tried and the Soviet Union had tried before.
[01:16:15.570 --> 01:16:17.291]  And that's what we're witnessing in live time.
[01:16:17.531 --> 01:16:20.431]  And unless people push back, they're testing to see what the resistance level is.
[01:16:20.752 --> 01:16:23.312]  So, like, I sue the mayor of Chattanooga, he backs off right away.
[01:16:23.672 --> 01:16:26.573]  Harvey Dillon brought suits in California.
[01:16:27.033 --> 01:16:29.794]  Many of the governors and the governor and the mayor are backing off some of those positions.
[01:16:30.194 --> 01:16:32.615]  So, they're looking at how far can we go.
[01:16:32.635 --> 01:16:34.055]  I mean, it's the old Orwellian principle.
[01:16:34.075 --> 01:16:43.018]  You don't really have power, like in 1984, until you can get a person to change their own opinions and flip and do whatever you tell them to do whenever you want them to do it, even if it's contradictory.
[01:16:43.338 --> 01:16:44.818]  No better example of that than the masks.
[01:16:45.098 --> 01:16:47.319]  They're getting to say, okay, we tell people not to wear masks, what happens?
[01:16:47.339 --> 01:16:48.019]  Oh, they don't wear masks.
[01:16:48.219 --> 01:16:49.700]  We tell them they have to wear masks, what happens?
[01:16:49.740 --> 01:16:50.420]  Oh, they do wear masks.
[01:16:50.680 --> 01:16:52.381]  They're going to keep going and going and going and going.
[01:16:52.561 --> 01:16:56.302]  Now you can't even go to a grocery store without wearing a mask, which is just, I mean,
[01:16:57.263 --> 01:16:58.746]  I don't know how this is going to be the new normal.
[01:16:58.786 --> 01:16:59.488]  It's not going to be for me.
[01:16:59.528 --> 01:17:01.693]  I'm not going to wear a mask to a restaurant or a ball game.
[01:17:02.946 --> 01:17:10.531]  It's a form of medical sharia law, and especially when there isn't really... First of all, there's a big difference between advisory guidance, which is what the President has done.
[01:17:10.551 --> 01:17:12.212]  He's refused national lockdown orders.
[01:17:12.552 --> 01:17:15.534]  He's included the Second Amendment within essential services.
[01:17:15.814 --> 01:17:19.377]  Now it's made clear that the First Amendment for religious purposes is protected.
[01:17:19.797 --> 01:17:25.841]  And he's the one who tweeted out everybody this weekend, liberate Michigan, liberate Minnesota, liberate Virginia.
[01:17:26.121 --> 01:17:30.764]  The reason he was doing that is clearly these were states that were under unconstitutional suppression and repression.
[01:17:31.104 --> 01:17:35.706]  The disappointing thing for him is almost everyone around him doesn't share his agenda.
[01:17:35.906 --> 01:17:39.307]  You're seeing the Fed carefully select who's going to be winners and losers.
[01:17:39.547 --> 01:17:41.728]  Oh, it's beyond fascism, what's happening there.
[01:17:42.008 --> 01:17:46.310]  And I think that the President, at least my hopes, is that the President is relying on America to stand up.
[01:17:46.570 --> 01:17:46.670]  Yeah.
[01:18:04.215 --> 01:18:07.118]  You know, implied to say, OK, I'm just tossing all these out.
[01:18:07.138 --> 01:18:08.459]  I can't deal with all these cases.
[01:18:08.479 --> 01:18:09.561]  We're going to reopen America.
[01:18:09.841 --> 01:18:14.365]  And then the next thing, though, if we don't push back now, the next thing is going to be, oh, you don't want to wear a mask?
[01:18:14.626 --> 01:18:18.930]  Well, then we're going to have to test your microbiome and see what's in there and see if COVID-19 is in there.
[01:18:18.950 --> 01:18:24.596]  Because if so, we're going to have to send you into quarantine, even though it's just another bug, just another virus in your microbiome.
[01:18:24.816 --> 01:18:25.757]  There's thousands of them.
[01:18:25.797 --> 01:18:27.519]  Are you going to have to stay inside because you have viruses?
[01:18:30.678 --> 01:18:36.760]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:18:37.240 --> 01:18:40.001]  And now, your host, Owen Troyer.
[01:18:41.721 --> 01:18:49.724]  I mean, we should have been having a live stream during the break here, the conversation Robert Barnes and I were just having, but I want to stay focused and get to this Nancy Pelosi clip so we can respond to this.
[01:18:51.705 --> 01:18:57.426]  But the president needs to understand something, because they keep saying they're monitoring the situation on social media with the censorship.
[01:18:58.307 --> 01:18:59.507]  This is what the president needs to understand.
[01:19:00.745 --> 01:19:07.771]  Mr. President, I have recently been banned from Twitter, and so today I did not receive any tweets from you.
[01:19:07.791 --> 01:19:18.419]  I was not able to view your tweets, and all I was able to do was watch cable news, which didn't feature anything from you today, but did feature Nancy Pelosi.
[01:19:18.459 --> 01:19:22.922]  So, Mr. President, you need to understand, I'm not getting access to you.
[01:19:23.883 --> 01:19:26.884]  I'm only getting access to Pelosi now because of this censorship.
[01:19:27.044 --> 01:19:27.984]  This is very dangerous.
[01:19:28.044 --> 01:19:29.725]  Now I'm informed, I know how to find you anyway.
[01:19:30.045 --> 01:19:31.325]  Other Americans are not.
[01:19:32.045 --> 01:19:41.448]  And I can tune into your press conference tonight, but you know they pull that off air as soon as you go off script and as soon as you say something that they don't want to be heard.
[01:19:42.089 --> 01:19:43.829]  So this is another level of the censorship.
[01:19:43.889 --> 01:19:47.390]  It's directly affecting America from hearing your message.
[01:19:47.430 --> 01:19:53.092]  Now, look at the way Chris Wallace, I don't trust this rat, tees up
[01:19:53.905 --> 01:20:00.454]  The clip of Nancy Pelosi saying come to Chinatown and hear Nancy Pelosi's response today on Fox News.
[01:20:02.418 --> 01:20:06.521]  If the president underplayed the threat in the early days, Speaker Pelosi, didn't you as well?
[01:20:32.415 --> 01:20:40.479]  No, what we're trying to do is to end the discrimination, the stigma that was going out against the Asian American community.
[01:20:40.639 --> 01:20:49.784]  And in fact, if you will look, the record will show that our Chinatown has been a model of containing and preventing the virus.
[01:20:49.864 --> 01:20:53.325]  So I'm confident... What stats does she have to back that up, Nan?
[01:20:53.365 --> 01:21:00.049]  ...to offset some of the things that the president and others were saying about Asian Americans and making them a target
[01:21:01.109 --> 01:21:06.213]  A target of violence across the country.
[01:21:07.654 --> 01:21:18.441]  Don't you think that when you're out walking without any masks, I understand this is February not April when this happened, and saying that there's no threat, it's perfectly safe there.
[01:21:18.821 --> 01:21:23.625]  Weren't you also adding to this perception that there wasn't such a threat generally?
[01:21:24.682 --> 01:21:35.688]  No, I was saying that you should not discriminate against Chinese Americans as some in our administration were doing by the way they were labeling the flu and that.
[01:21:35.788 --> 01:21:36.409]  No, indeed.
[01:21:36.549 --> 01:21:46.354]  And again, I think if you check the record, and it's current, you will see that Chinatown has been a model in all of this.
[01:21:46.414 --> 01:21:47.175]  Well, tell us the record.
[01:21:47.255 --> 01:21:48.095]  That's what we're saying.
[01:21:48.115 --> 01:21:49.436]  Look to them for answers.
[01:21:49.496 --> 01:21:52.518]  Don't look to them to place blame.
[01:21:54.124 --> 01:21:55.525]  And then she twisted to Trump.
[01:21:55.666 --> 01:21:56.326]  Of course.
[01:21:56.366 --> 01:21:57.547]  So, so yeah, pause it right there.
[01:21:57.567 --> 01:21:59.089]  So first of all, let me just say one thing.
[01:21:59.109 --> 01:22:09.159]  Okay, if you're ever in a conversation with anybody that has to force a smile through the whole conversation and is probably wasted, but that's a whole nother issue, you know, maybe don't trust.
[01:22:09.179 --> 01:22:09.860]  She sits up there like.
[01:22:12.036 --> 01:22:12.277]  Yes.
[01:22:12.377 --> 01:22:13.157]  But see what she did.
[01:22:13.197 --> 01:22:14.999]  So Chris Wallace, look, I just don't trust him.
[01:22:15.019 --> 01:22:16.680]  Why would he have her on there to begin with?
[01:22:16.960 --> 01:22:18.321]  Why would she go on there to begin with?
[01:22:18.361 --> 01:22:24.666]  So she can defend herself and call Trump a racist and then in the next clip, we may not get to it, she twists the blame from China and blames Trump.
[01:22:24.967 --> 01:22:25.747]  So that's all it was.
[01:22:25.907 --> 01:22:31.672]  Chris Wallace gave Nancy Pelosi a platform to call Trump racist and blame Trump for the coronavirus.
[01:22:32.012 --> 01:22:41.457]  And the only reason she would go and Chris Wallace is that Democrats feel very comfortable and very confident that he will repeat and broadcast their message, not question it or contest it or challenge it.
[01:22:41.897 --> 01:22:43.538]  So that's why what's happening is happening.
[01:22:43.899 --> 01:22:48.381]  And so the fact that someone like her is going on Fox, remember, I think Obama only went on Fox once in eight years.
[01:22:48.841 --> 01:22:55.785]  So the fact that she's going on it is because the key Democrats now see Fox as an ally in their political war against the president.
[01:22:55.925 --> 01:23:01.592]  And of course, Fox has 10 times the ratings of a CNN or an MSNBC, even more so on a Sunday.
[01:23:01.652 --> 01:23:04.295]  So they know the only time you're going to hear Nancy Pelosi is on Fox News.
[01:23:04.315 --> 01:23:06.838]  But again, I couldn't hear or see Donald Trump today.
[01:23:06.858 --> 01:23:10.643]  I was banned on social media, but I got to see Nancy Pelosi thanks to Chris Wallace and Fox News.
[01:23:10.663 --> 01:23:11.524]  The president needs to know that.
[01:23:11.544 --> 01:23:12.905]  All right, let's continue here.
[01:23:12.945 --> 01:23:14.888]  Nancy Pelosi is now going to blame the president.
[01:23:15.942 --> 01:23:25.349]  ...are growing across the country, people are taking to the streets, pushing back against some of the more stringent restrictions in some states.
[01:23:25.369 --> 01:23:28.832]  Can you understand why they're doing that?
[01:23:28.892 --> 01:23:36.278]  ...a real smile is the eyes, but I don't think her eyes are capable of... She's also like 80-something.
[01:23:36.298 --> 01:23:37.539]  That is really the answer.
[01:23:37.639 --> 01:23:38.239]  Testing.
[01:23:38.619 --> 01:23:39.220]  Tracing.
[01:23:39.880 --> 01:23:40.501]  Treatment.
[01:23:40.781 --> 01:23:41.502]  Oh, tracing!
[01:23:41.702 --> 01:23:42.823]  Shelter in place.
[01:23:43.243 --> 01:23:44.144]  Shelter in place!
[01:23:45.320 --> 01:23:46.141]  It's a little needle in your eye.
[01:23:46.181 --> 01:23:47.361]  We'll make you safe.
