[00:00:08.916 --> 00:00:11.279]  No, he's corrupt.
[03:12:00.000 --> 03:12:00.741]  I guess blow up more?
[03:12:00.741 --> 03:12:03.303]  Sir, I'll be honest, there's a lot of bills.
[03:12:03.303 --> 03:12:05.265]  What bill are you talking about?
[03:12:05.265 --> 03:12:10.029]  Okay, this is Obama's media dissemination bill from 2012.
[03:12:13.581 --> 03:12:15.762]  Where the media can basically disseminate any story they want.
[03:12:35.118 --> 03:12:38.119]  Folks, I can't remember all the bill numbers, but yeah, that was horrible.
[03:12:38.119 --> 03:12:40.979]  Foreign Affairs, the CFR promoted it.
[03:12:40.979 --> 03:12:48.301]  That's why they're able to lie about Trump, because they have these foreign offshore corporations that already got the money when Obama left to do all this.
[03:12:48.301 --> 03:12:51.202]  Yeah, a bill to establish an Orwellian truth ministry.
[03:12:51.202 --> 03:12:53.782]  And the best reports on it are at Zero Hedge.
[03:12:53.782 --> 03:12:56.163]  Obama establishes his own ministry of truth.
[03:12:56.163 --> 03:12:57.383]  We'll bring it up for you.
[03:12:57.383 --> 03:12:58.783]  So thanks for reminding me, brother.
[03:12:58.783 --> 03:13:01.544]  Notice the caller's calling in to ask my advice.
[03:13:01.544 --> 03:13:02.344]  He already knows it all.
[03:13:03.106 --> 03:13:05.128]  Hello sir, it's a pleasure to be talking to you.
[03:13:29.808 --> 03:13:34.329]  I've been listening for about five years since I was like in eighth grade, and I've been with you every step of the way.
[03:13:34.329 --> 03:13:37.710]  I've been trying to wake my family up to everything you're saying.
[03:13:37.710 --> 03:13:38.771]  We love you, brother.
[03:13:38.771 --> 03:13:40.831]  I want to get into it.
[03:13:40.831 --> 03:13:44.312]  So I'm not sure who advised Trump personally.
[03:13:44.312 --> 03:13:45.132]  I don't know if you do.
[03:13:45.132 --> 03:13:47.213]  I just want to say this.
[03:13:47.213 --> 03:13:54.615]  Trump needs to know about the New World Order and the capacity that you and all of us listeners know, because after the election, whether he wins or loses,
[03:13:55.290 --> 03:14:02.353]  The American people, left and right, both deserve to know about who these people really are, and who we're dealing with as a nation.
[03:14:02.353 --> 03:14:07.375]  Because it's from Satan, it's from the Principalities of Darkness, everybody needs to know who these people really are.
[03:14:07.375 --> 03:14:16.358]  Listen, Trump overall is a good person, but he doesn't, I mean, it's the big corporate bureaucracies, it's all these scams, it's agenda 21, it's the New World Order.
[03:14:16.358 --> 03:14:22.960]  I mean, like you say, we need to expose all this.
[03:14:22.960 --> 03:14:24.341]  I think you're exposing it right now, sir.
[03:14:25.486 --> 03:14:29.307]  I just, I just, I just really wanted to blow the lid off the whole thing after the election.
[03:14:29.307 --> 03:14:30.267]  That's all I really want to say.
[03:14:30.267 --> 03:14:31.747]  No, no, I agree with you.
[03:14:31.747 --> 03:14:34.088]  That's a big show we should do with callers.
[03:14:34.088 --> 03:14:36.088]  How does Trump go on the offense?
[03:14:36.088 --> 03:14:39.209]  How do you see Trump going on the offense, Noah?
[03:14:39.209 --> 03:14:43.250]  So I see him, so after the election, I think, sir, I'm trying to be respectful.
[03:14:43.250 --> 03:14:45.291]  I don't want to tell you what to do because you've been doing this for a long time, you know.
[03:14:45.291 --> 03:14:47.851]  No, you tell me what to, no, no, don't worry, sir.
[03:14:47.851 --> 03:14:50.012]  I can, I can handle people telling me what I should do.
[03:14:50.012 --> 03:14:50.732]  What do you think I ought to do?
[03:14:51.860 --> 03:15:09.009]  I think, sir, I really think that you should pray about this yourself, and I think you should call Trump, and you should advise him on the New World Order, who these people really are, and I think Trump should come out after the election, and I think he should tell America, he should brief the nation, and blow the lid off this thing, and name name- I totally agree, he should level-
[03:15:09.429 --> 03:15:12.510]  Which he's been pretty much doing, we see the speeches, but he should be cut and dry.
[03:15:12.510 --> 03:15:14.071]  Well, listen, I did brief him.
[03:15:14.071 --> 03:15:21.534]  And they had big national scandals, and, oh, Jones is banned from briefings, and the number one mission with John Kelly is ban Alex Jones.
[03:15:21.534 --> 03:15:23.735]  Believe me, sir, I did those briefings.
[03:15:23.735 --> 03:15:29.177]  And they caused a literal S-H-D-A-S-T fit.
[03:15:29.177 --> 03:15:30.158]  I love you and I appreciate you.
[03:15:30.158 --> 03:15:31.058]  Thank you, Noah.
[03:15:31.058 --> 03:15:33.819]  Matt in New Hampshire, ahead of Patrick Alley coming up.
[03:15:33.819 --> 03:15:34.860]  Go ahead, Matt, you're on the air.
[03:15:34.860 --> 03:15:35.380]  Thanks for calling.
[03:15:36.809 --> 03:15:39.551]  Hey, Alex Jones, you are the tip of the spear.
[03:15:39.551 --> 03:15:41.092]  You're the tip of the spear, brother.
[03:15:41.092 --> 03:15:41.533]  I love you.
[03:15:41.533 --> 03:15:43.254]  Go ahead.
[03:15:43.254 --> 03:15:52.962]  So today I moved my vote from Massachusetts, where I grew up, to my new residence in New Hampshire to hopefully have a Trump vote count.
[03:15:52.962 --> 03:15:53.682]  You know what I'm saying?
[03:15:53.682 --> 03:15:55.404]  And make America great again.
[03:15:55.404 --> 03:15:55.744]  Yes, sir.
[03:15:55.744 --> 03:15:57.325]  Keep it great.
[03:15:57.325 --> 03:16:04.291]  But, you know, I think I've been listening to your show for a long time and what I'm seeing is like globalist,
[03:16:05.034 --> 03:16:08.536]  People in charge, they're firing their, like, death shots right now.
[03:16:08.536 --> 03:16:23.305]  And if we can somehow weather this storm as it continues to proceed, like, if Trump gets in, he can just completely run amok and let it rip on all the corruption in the swamp.
[03:16:23.305 --> 03:16:25.126]  What do you think about that?
[03:16:25.126 --> 03:16:30.449]  Well, I'm going to take what you just said, and we archive this to Bandit Video and put a minute and a half of it up front.
[03:16:30.449 --> 03:16:30.949]  That's it.
[03:16:30.949 --> 03:16:32.350]  This is death rattles.
[03:16:32.350 --> 03:16:33.451]  This is their full assault.
[03:16:34.414 --> 03:16:37.837]  There's a battle of good and evil, man, and it's real, and it's happening every day.
[03:16:37.837 --> 03:16:38.437]  There's no doubt about it.
[03:16:59.744 --> 03:17:00.686]  And you know that.
[03:17:00.686 --> 03:17:04.352]  So the fact that you know that is interfacing with God, brother.
[03:17:04.352 --> 03:17:05.213]  Isn't that beautiful?
[03:17:05.213 --> 03:17:07.437]  Most of these slaves don't even know there's good and evil.
[03:17:07.437 --> 03:17:08.599]  Thank God you know that, brother.
[03:17:10.618 --> 03:17:15.743]  Alex, so one thing I wanted to talk to you about was using the platform that you have.
[03:17:15.743 --> 03:17:25.793]  One software developer, individual petitions per state, bomb rush, the Senate and the Congress with petitions saying we've got to end big tech censorship.
[03:17:25.793 --> 03:17:27.874]  I'll tell you what, I've got Patrick Valli coming up.
[03:17:27.874 --> 03:17:30.177]  If you want to hold, I'll go to you at the end of the hour.
[03:17:30.177 --> 03:17:30.797]  We'll be right back.
[03:17:30.797 --> 03:17:31.278]  Stay with us.
[03:17:37.774 --> 03:17:43.917]  Vitamin Mineral Fusion and Ultra 12 are now back in stock after being sold out for months.
[03:17:43.917 --> 03:17:53.941]  They're sold out because people know that high-quality B12 and a good mix of vitamins, minerals, especially zinc, boost your body's natural defenses and are critical to your immune system.
[03:17:53.941 --> 03:18:06.546]  Well, both products are back in stock at InfoWarsTore.com just two weeks out from the election, and we're offering them both at 50% off, free shipping, and triple Patriot points in your next order.
[03:18:07.066 --> 03:18:10.507]  Also, if you sign up for auto-ship, you get an additional 10% off.
[03:18:10.507 --> 03:18:13.109]  That makes many of the things we're selling lost liters.
[03:18:13.109 --> 03:18:16.170]  Now, we have had a big clearance sale going, so a lot of stuff sold out.
[03:18:16.170 --> 03:18:18.351]  A lot of the other stuff is close to selling out.
[03:18:18.351 --> 03:18:22.532]  But some of our best sellers are still there, and some of them have actually come back into stock.
[03:18:22.532 --> 03:18:29.715]  And because of your support, we've had the money to reorder and get the other things that have actually sold out, so those should be back in stock as well soon.
[03:18:29.715 --> 03:18:32.296]  Thank you so much for keeping InfoWars on the air.
[03:18:32.296 --> 03:18:35.778]  Obviously, we're critical of the fight, and you've helped win the war against the Globals so far.
[03:18:37.805 --> 03:18:47.614]  Finally, the stagnant Republican establishment understands what Infowars understands, what our listeners understand, what Donald Trump understands.
[03:18:47.614 --> 03:18:50.156]  We are in a digital civil war.
[03:18:50.156 --> 03:18:57.563]  There are giant filters filtering out 99% of communication going on on every major tech platform and now they're doing it.
[03:18:58.223 --> 03:19:00.203]  To the private apps.
[03:19:00.203 --> 03:19:01.524]  They're doing it to text messages.
[03:19:01.524 --> 03:19:03.344]  They're doing it to email.
[03:19:03.344 --> 03:19:06.885]  This is mafia organized crime election meddling.
[03:19:06.885 --> 03:19:17.827]  But finally, when they blocked Hunter Biden and the Burisma information and the Chinese information and the photos of the crack pipes and all the rest of it, it's been confirmed to be real.
[03:19:17.827 --> 03:19:19.387]  Biden hasn't denied it.
[03:19:19.387 --> 03:19:22.548]  Finally, Congress got pissed and said, this is out of control.
[03:19:22.548 --> 03:19:23.488]  You've got to stop it now.
[03:19:23.488 --> 03:19:24.388]  We're taking action.
[03:19:24.388 --> 03:19:26.549]  Oh, and Jack Dorsey went, oh, it's a mistake.
[03:19:26.549 --> 03:19:27.309]  It's an accident.
[03:19:27.309 --> 03:19:27.849]  It's an accident.
[03:19:28.069 --> 03:19:31.816]  But they keep pushing and pushing because no one ever calls their bluff.
[03:19:31.816 --> 03:19:33.860]  Well, InfoWars is calling their bluff.
[03:19:33.860 --> 03:19:35.563]  And I want to thank you all for keeping us on the air.
[03:19:38.404 --> 03:19:40.885]  2020ElectionsCenter.com.
[03:19:40.885 --> 03:19:57.851]  Just type it in one time, you've got it saved right there in your browser, and then you can share it on Twitter, Facebook, YouTube, Apple platforms, but most importantly, via text message, email, or by word of mouth, because they have banned the links to banned.video.
[03:19:57.851 --> 03:20:06.414]  But 2020ElectionsCenter.com is a clone of the site, the exact same links, the exact same videos, where you can comment, you can share them, everything.
[03:20:06.414 --> 03:20:06.934]  The system,
[03:20:07.974 --> 03:20:09.054]  Oh, that really upsets him.
[03:20:09.054 --> 03:20:09.534]  Oh, yeah.
[03:20:40.911 --> 03:20:43.518]  You're listening to The Alex Jones Show!
[03:21:06.616 --> 03:21:08.317]  You want to stop tyranny?
[03:21:08.317 --> 03:21:09.978]  Well, so does he.
[03:21:09.978 --> 03:21:14.502]  Live from the InfoWars.com studios, it's Alex Jones.
[03:21:21.047 --> 03:21:23.249]  Monday, fourth hour.
[03:21:23.249 --> 03:21:27.613]  He understands occasionally we have preempting, not because his info isn't amazing.
[03:21:27.613 --> 03:21:31.317]  We had the power go out last hour, so we're behind about 15 minutes.
[03:21:31.317 --> 03:21:35.020]  So instead of cutting into him, he's welcome to come in and host any hour he wants.
[03:21:35.020 --> 03:21:37.662]  He can host Friday if he wants, whenever we love to have Gerald Celente here.
[03:21:37.662 --> 03:21:42.006]  I always really enjoy and learn a lot from what he has to say, so no diss on him.
[03:21:42.006 --> 03:21:45.670]  But from folks that see him preempted, it's part of what we do.
[03:21:45.670 --> 03:21:46.591]  It happens sometimes.
[03:21:46.591 --> 03:21:46.871]  All right.
[03:21:49.261 --> 03:21:52.745]  Patrick Halley is with nationalfile.com.
[03:21:52.745 --> 03:21:55.487]  He also writes for epictimes.com.
[03:21:55.487 --> 03:21:56.869]  Amazing folks.
[03:21:56.869 --> 03:22:00.272]  And he's got a lot of news about Biden in Texas.
[03:22:00.272 --> 03:22:06.438]  But I want to get his take on the laptop and who's really behind that, what his intel is, and what's about to happen.
[03:22:06.438 --> 03:22:07.519]  Because we know that sex
[03:22:08.706 --> 03:22:16.832]  Blackmail is how the globalist deep state operates with Bill Gates and Jeffrey Epstein and, of course, at the same time, Hunter Biden.
[03:22:16.832 --> 03:22:20.695]  People say, well, why would he just leave a laptop with all this sex video on it?
[03:22:20.695 --> 03:22:24.257]  Because they own the FBI, because they know they're protected.
[03:22:24.257 --> 03:22:25.738]  Because they don't care.
[03:22:25.738 --> 03:22:27.399]  But it'll be their hubris that undoes them.
[03:22:27.399 --> 03:22:33.604]  So Patrick Alley, thanks for joining us on this live October 19th Monday edition.
[03:22:33.604 --> 03:22:36.666]  Where do you want to start first with all the huge news that's happening?
[03:22:38.513 --> 03:22:52.502]  Well, you know, look, I think what we're seeing now with Hunter Biden, first of all, I mean, I don't know if the left thought they were just going to cakewalk to this election with the stupid vote by mail and the drive-through Taco Bell voting, but I don't think they counted on the fact that Patrick Howley, 2016 veteran,
[03:22:53.783 --> 03:22:59.867]  Rudy Giuliani, our super agent, our James Bond for America, Steve Bannon.
[03:22:59.867 --> 03:23:02.128]  I mean, these people are still out here, ladies and gentlemen.
[03:23:02.128 --> 03:23:03.389]  Roger Stone.
[03:23:03.389 --> 03:23:04.270]  We didn't go away.
[03:23:04.270 --> 03:23:05.791]  We didn't all fade away.
[03:23:05.791 --> 03:23:10.454]  They might have put Paul Manafort in solitary and, you know, charged a few of these people.
[03:23:10.454 --> 03:23:12.015]  But we didn't go away.
[03:23:12.015 --> 03:23:16.338]  And I think right now what we're seeing is Joe Biden is compromised.
[03:23:16.338 --> 03:23:20.520]  The entire world is learning that Joe Biden has no business being the President of the United States.
[03:23:20.520 --> 03:23:21.521]  They might object.
[03:23:21.941 --> 03:23:33.769]  If he actually gets elected, the military might object to him even being the President of the United States and taking the oath of office because of the ridiculous leverage and collateral that foreigners have over this guy.
[03:23:33.769 --> 03:23:36.451]  I mean, China, you think about China spying.
[03:23:36.451 --> 03:23:41.195]  I mean, anybody in the world, you know how easy it was for Rudy Giuliani to get his hands on that laptop?
[03:23:41.195 --> 03:23:42.576]  I mean, this guy is compromised.
[03:23:42.576 --> 03:23:50.201]  This guy cannot be the President of the United States or else our country would start to look like a nightmare because any foreign despot could call him up and blackmail him.
[03:23:51.613 --> 03:23:52.814]  Well, that's it.
[03:23:52.814 --> 03:23:57.016]  And notice the lawyers in the emails, they admit this is a real laptop.
[03:23:57.016 --> 03:23:59.017]  The Bidens don't deny it's real.
[03:23:59.017 --> 03:24:01.719]  They're now saying, oh, it's Russian.
[03:24:01.719 --> 03:24:03.700]  The Russians didn't get this.
[03:24:03.700 --> 03:24:05.681]  The Mac store in Delaware got it.
[03:24:05.681 --> 03:24:08.783]  But if it was true, don't change the subject.
[03:24:08.783 --> 03:24:09.403]  It doesn't matter.
[03:24:09.403 --> 03:24:10.644]  What are you doing on the videos?
[03:24:12.338 --> 03:24:13.639]  There's nothing to do with the Russians.
[03:24:13.639 --> 03:24:24.323]  I don't think anyone even believes the Russian stuff anymore except like Bill Kristol and a few of the people who've worked in the Deep State and cat ladies who drink box wine and watch the Rachel Maddow Show.
[03:24:24.323 --> 03:24:26.924]  Otherwise, I don't think anyone believes these Russians.
[03:24:26.924 --> 03:24:27.264]  That's right.
[03:24:27.264 --> 03:24:32.607]  Your grandfather or dad wasn't a Trotskyite kicked out of Russia, so you got a heart on for Russia.
[03:24:32.607 --> 03:24:35.428]  Unless you're a weird Trotskyite, no one buys that Russia's doing this.
[03:24:36.843 --> 03:24:38.525]  Yeah, that's really what it is, right?
[03:24:38.525 --> 03:24:42.890]  It's the Trotskyites who are still angry about Russia.
[03:24:42.890 --> 03:24:48.417]  And thank God Stalin took out Trotsky with that frickin' ice pick.
[03:24:48.417 --> 03:24:50.559]  That ice saw.
[03:24:50.559 --> 03:24:51.761]  Beautiful.
[03:24:51.761 --> 03:24:52.481]  That was a good work.
[03:24:52.481 --> 03:24:54.464]  I mean, I'm not a fan of Stalin, but that was some good work.
[03:24:55.657 --> 03:25:02.580]  Well, it's just too bad that the Russians get credit for all of our work on independent media and on the pro-Trump side.
[03:25:02.580 --> 03:25:04.381]  It's totally sick.
[03:25:04.381 --> 03:25:08.343]  I mean, obviously the Russians have nothing to do with what we're doing.
[03:25:08.343 --> 03:25:09.183]  No, of course not.
[03:25:09.183 --> 03:25:12.265]  And so, look, Joe Biden's extremely compromised.
[03:25:12.265 --> 03:25:23.850]  Now, it wouldn't surprise me if what we see in the Hunter Biden laptop is in fact what everybody thinks it is, considering the fact that the FBI agent who is working the case is a child pornography expert.
[03:25:25.788 --> 03:25:30.109]  That is something that we all need to deal with, and that needs to come out, ladies and gentlemen.
[03:25:30.109 --> 03:25:33.770]  I mean, the New York Post has said that they're not going to go forward with putting out more of this.
[03:25:33.770 --> 03:25:34.390]  Well, that was the next thing.
[03:25:34.390 --> 03:25:35.850]  The New York Post says they can't publish it.
[03:25:35.850 --> 03:25:37.071]  It's child porn.
[03:25:37.071 --> 03:25:41.812]  Well, okay, if it's a crime if you publish it, what about the dude that has it?
[03:25:41.812 --> 03:25:48.994]  Well, look, I have been in contact with people on Rudy Giuliani's team, and I'll say that much.
[03:25:48.994 --> 03:25:50.774]  And look, we need to get this information out there.
[03:25:50.774 --> 03:25:51.894]  There are people already voting.
[03:25:51.894 --> 03:25:54.255]  They're already trying to steal this election with vote-by-mail.
[03:25:55.100 --> 03:25:59.407]  You know, there is a need.
[03:25:59.407 --> 03:26:01.130]  The public has a right to know.
[03:26:01.130 --> 03:26:03.694]  This is what drives my entire journalism career.
[03:26:03.694 --> 03:26:09.002]  The public has a right to know information, and so that supersedes a lot of stuff.
[03:26:09.477 --> 03:26:13.699]  And so, you know, people need to know what's on this laptop without showing it even.
[03:26:13.699 --> 03:26:15.980]  We don't even necessarily need to show it.
[03:26:15.980 --> 03:26:21.283]  But you do need to tell the people what's on it and describe what's on it.
[03:26:21.283 --> 03:26:31.227]  Well, what about the reports that it's not just raping, it's underage girls beating him, the Chinese guy that predicted it three weeks before it broke, says he's torturing little kids.
[03:26:31.227 --> 03:26:35.149]  I mean, what have you heard on this?
[03:26:35.149 --> 03:26:37.030]  I've not seen what's on there.
[03:26:37.461 --> 03:26:39.681]  I do know people who have seen what's on it.
[03:26:39.681 --> 03:26:42.582]  They're shocked, they're disgusted, they're horrified by it.
[03:26:42.582 --> 03:26:44.683]  And that's what I know.
[03:26:44.683 --> 03:26:49.204]  Well, Giuliani said it's so illegal, he can't even talk about it.
[03:26:49.204 --> 03:26:53.004]  Yeah, but I mean, look, we don't have that much time left before Election Day, okay?
[03:26:53.004 --> 03:26:58.426]  We've got November 3rd, and they're trying to steal this thing with vote-by-mail, which is, you know, what I'm working on all over the country.
[03:26:58.426 --> 03:27:00.226]  So, the people are already voting.
[03:27:00.226 --> 03:27:05.247]  You got the Maddow voters who are already out there wearing their masks, lining up, you know, voting like it's Taco Bell.
[03:27:05.743 --> 03:27:11.611]  So the New York Post is a perfectly fine, legitimate newspaper and kudos to them for running the first round of it.
[03:27:11.611 --> 03:27:13.994]  But there's got to be a second round of it now.
[03:27:13.994 --> 03:27:16.297]  There's just no way that we can.
[03:27:16.297 --> 03:27:18.760]  I mean, this is a national security issue.
[03:27:18.760 --> 03:27:22.545]  If Joe Biden gets into the presidency of the United States and then China puts this out?
[03:27:23.100 --> 03:27:24.781]  It's not going to be good for the United States of America.
[03:27:24.781 --> 03:27:26.342]  That could destroy the United States of America.
[03:27:26.342 --> 03:27:28.183]  I was about to say, I mean, literally the U.S.
[03:27:28.183 --> 03:27:31.546]  will be captured by Communist China, if Biden.
[03:27:31.546 --> 03:27:38.110]  What about the emails they admit are real, where they're like, oh, you got to kill the investigation of Burisma, give me 30 million.
[03:27:38.110 --> 03:27:42.773]  I mean, this is open and shut, classic textbook stuff.
[03:27:42.773 --> 03:27:43.414]  Oh, absolutely.
[03:27:43.414 --> 03:27:47.656]  I mean, it's, it's, it goes without saying this man can't be the president of the United States.
[03:27:47.656 --> 03:27:51.279]  And I honestly believe if he is not able to get a security clearance,
[03:27:52.499 --> 03:28:02.361]  I mean, you're going to look at a real constitutional crisis, not only with this election, but God forbid if Biden does get elected and becomes the president-elect, then it's another constitutional crisis.
[03:28:02.361 --> 03:28:05.782]  Because this guy, you could destroy the United States of America.
[03:28:05.782 --> 03:28:09.323]  If you're China, you could destroy the United States of America because they have this.
[03:28:09.323 --> 03:28:15.124]  If they put this out and this guy, when this guy is the president of the United States, we can't have this, okay?
[03:28:15.124 --> 03:28:18.005]  We have to stop this now before the election happens.
[03:28:18.005 --> 03:28:19.965]  We're fighting for the survival of America right now.
[03:28:21.380 --> 03:28:22.481]  By the way, that's not hype.
[03:28:22.481 --> 03:28:23.903]  That's real.
[03:28:23.903 --> 03:28:28.107]  That totally freaks me out that you're talking about that and that's true.
[03:28:29.301 --> 03:28:34.063]  And that the fact that our establishment would even allow this, but it shows they're globalists.
[03:28:34.063 --> 03:28:36.064]  They're all invested all the world.
[03:28:36.064 --> 03:28:39.086]  They just see America as like some big thing they're taking down.
[03:28:39.086 --> 03:28:41.147]  They realize how dangerous that is.
[03:28:41.147 --> 03:28:48.870]  And the chain reaction I see, if the Chi comms with Biden get this coup, there's going to be a rebellion that's super dangerous.
[03:28:48.870 --> 03:28:49.830]  I don't want that.
[03:28:49.830 --> 03:28:51.091]  This is insane.
[03:28:51.091 --> 03:28:52.692]  They must stop now.
[03:28:52.692 --> 03:28:54.052]  I've looked at every angle, Patrick.
[03:28:54.052 --> 03:28:55.073]  This is deadly.
[03:28:56.849 --> 03:29:00.751]  It is one of the worst things we've ever faced before in the United States of America.
[03:29:00.751 --> 03:29:03.452]  This man, Biden, is so dirty and so corrupt.
[03:29:03.452 --> 03:29:06.034]  It defies imagination.
[03:29:06.034 --> 03:29:08.795]  However, we already went through this with Hillary Clinton.
[03:29:08.795 --> 03:29:17.679]  However, what we saw with Hillary Clinton is all the stuff that was on the Wiener laptop and everything else with Huma, that stuff didn't come out over the last four years, did it?
[03:29:17.679 --> 03:29:22.662]  The spooks and Clapper and Brennan and the rest of them didn't allow it to come out.
[03:29:24.003 --> 03:29:27.390]  I mean, do they honestly think they could stonewall through something like this?
[03:29:27.390 --> 03:29:29.053]  Through four years of Biden?
[03:29:29.053 --> 03:29:30.136]  Not gonna happen, ladies and gentlemen.
[03:29:30.136 --> 03:29:32.641]  No, that's the good news, because Trump's having it disseminated everywhere.
[03:29:33.988 --> 03:29:35.909]  Yeah, Trump called it the laptop from hell.
[03:29:35.909 --> 03:29:37.129]  Trump knows what's on it.
[03:29:37.129 --> 03:29:38.390]  People know what's on it.
[03:29:38.390 --> 03:29:44.172]  But, you know, this is potentially World War III if it comes out, or if it doesn't come out.
[03:29:44.172 --> 03:29:47.974]  Well, notice China is saying they may invade Taiwan this week.
[03:29:47.974 --> 03:29:49.555]  They know they're in trouble.
[03:29:49.555 --> 03:29:52.716]  Because if they get embarrassed by this, they're going to have to launch a war.
[03:29:52.716 --> 03:29:55.057]  That's how this works.
[03:29:55.057 --> 03:29:55.517]  Yep.
[03:29:55.517 --> 03:29:56.138]  Oh, they know.
[03:29:56.138 --> 03:29:57.118]  They know what's on it.
[03:29:57.118 --> 03:29:58.139]  Yeah, they know what's on it.
[03:29:59.284 --> 03:30:04.307]  And the only way we have power against them is to admit it and to destroy Biden and the Democrats.
[03:30:04.307 --> 03:30:08.870]  We can't, like, just try to cover it up and play ball with the Chycovs.
[03:30:08.870 --> 03:30:10.211]  I mean, give me a break.
[03:30:10.211 --> 03:30:11.332]  Patrick Howley's our guest.
[03:30:11.332 --> 03:30:13.994]  We'll talk about other big shoes about to drop.
[03:30:13.994 --> 03:30:15.495]  14 days.
[03:30:15.495 --> 03:30:16.836]  We're 13 and a half, folks.
[03:30:16.836 --> 03:30:18.277]  We are game time.
[03:30:18.277 --> 03:30:22.560]  And then the real game starts after Election Day, where they're going to challenge the election.
[03:30:22.560 --> 03:30:24.281]  The 79 days of hell.
[03:30:24.801 --> 03:30:26.823]  Remember, you heard it here first.
[03:30:26.823 --> 03:30:29.667]  I'm Alex Jones, committed to the Republic of Freedom.
[03:30:29.667 --> 03:30:31.569]  The State Web is Patrick Cowley Straight Ahead.
[03:30:36.738 --> 03:30:45.867]  It was 30 months ago that InfoWars, and of course yours truly Alex Jones, was banned on more than 60 major platforms in one day.
[03:30:45.867 --> 03:30:50.371]  Led by the CEO of Apple, Tim Cook, who helps China run giant death camps.
[03:30:50.371 --> 03:30:55.175]  Always just let that be in the back of your mind when we talk about these monsters and where they're taking us.
[03:30:55.896 --> 03:30:57.937]  They have no bottom.
[03:30:57.937 --> 03:30:59.498]  And people said, Jones, how are you taking it?
[03:30:59.498 --> 03:31:00.739]  And I said, I'm taking it just fine.
[03:31:00.739 --> 03:31:02.120]  They're coming for you next.
[03:31:02.120 --> 03:31:03.181]  This is a technocracy.
[03:31:03.181 --> 03:31:04.702]  They're merging with Big Pharma.
[03:31:04.702 --> 03:31:05.763]  They're taking over the media.
[03:31:05.763 --> 03:31:09.705]  This is a digital psychological dictatorship in their own words.
[03:31:09.705 --> 03:31:11.827]  This is a planetary takeover.
[03:31:11.827 --> 03:31:16.330]  They're then going to start locking us in our houses using supposed plague threats.
[03:31:16.330 --> 03:31:21.913]  That's so the wireless system can come into place with the driverless cars and the robot takeover.
[03:31:21.913 --> 03:31:23.274]  How'd I know all this would happen?
[03:31:23.274 --> 03:31:25.136]  Because they've been saying they're gonna do it.
[03:31:25.856 --> 03:31:28.178]  See, it's not that I'm psychic.
[03:31:28.178 --> 03:31:30.700]  I know how to read what these monsters are saying.
[03:31:30.700 --> 03:31:34.403]  So you have to understand, as crazy as all this sounds, it doesn't come from me.
[03:31:34.403 --> 03:31:36.125]  It comes from them.
[03:31:36.125 --> 03:31:38.527]  Black Friday in October.
[03:31:38.527 --> 03:31:44.091]  Last year, that was one of our most popular sales that we ran in the last couple weeks of October.
[03:31:44.091 --> 03:31:45.373]  It was popular for a reason.
[03:31:45.373 --> 03:31:50.237]  Some of the biggest sales of the year in Black Friday comes in October.
[03:31:50.757 --> 03:31:57.081]  And that means 30 to 60% off storewide free shipping, triple Patriot points, that's 15% off your next order.
[03:31:57.081 --> 03:32:00.062]  And everybody that signs up for auto shipping, an additional 10% off.
[03:32:00.062 --> 03:32:02.343]  That makes many of these items lost leaders.
[03:32:02.343 --> 03:32:03.844]  Now, a lot of stuff sold out.
[03:32:03.844 --> 03:32:05.485]  Some of our best sellers are still there.
[03:32:05.485 --> 03:32:06.626]  But some good news.
[03:32:06.626 --> 03:32:13.670]  Vitamin Mineral Fusion with a big dose of zinc and all the other vitamins and minerals and amino acids for adults and children that boost your body's natural defenses.
[03:32:14.250 --> 03:32:19.992]  It is back in stock, back on sale today, which is two weeks to the election, and more good news.
[03:32:19.992 --> 03:32:22.914]  Ultra 12, it's got the name Ultra for a reason.
[03:32:22.914 --> 03:32:25.015]  Highest quality vitamin B12.
[03:32:25.015 --> 03:32:27.836]  Take it under the tongue for full absorption.
[03:32:27.836 --> 03:32:29.036]  It is now back in stock.
[03:32:29.036 --> 03:32:32.598]  Both of those are 50% off at InfoWarsTore.com.
[03:32:32.598 --> 03:32:34.198]  InfoWarsTore.com.
[03:32:34.198 --> 03:32:35.519]  Black Friday comes in October.
[03:32:37.395 --> 03:32:41.056]  A major life lesson just took place last night.
[03:32:41.056 --> 03:32:47.397]  The top story in the country was that Hunter Biden's laptop information had come out.
[03:32:47.397 --> 03:32:52.058]  Him with hookers and shooting porno movies and crackpipes.
[03:32:52.058 --> 03:33:01.759]  But the real news was how he had indeed been bought off by Burisma and had done so at the behest of his father, who was getting large parts of the money.
[03:33:01.759 --> 03:33:05.380]  But you see, Twitter and Facebook and others totally censored the info.
[03:33:05.740 --> 03:33:09.423]  And even censored major news publications, and even censored the President.
[03:33:09.423 --> 03:33:17.408]  But when the President and Congress said they were going to take action, suddenly, Jack of Twitter said he didn't know what had happened and it was wrong.
[03:33:17.408 --> 03:33:19.149]  And that's the big life lesson here.
[03:33:19.149 --> 03:33:24.893]  Standing up and saying no to organized crime, rapid carrying, is the way to stop it.
[03:33:24.893 --> 03:33:31.697]  Groveling to it and letting big tech lie to us and run over us is the way to make these tyrants continue to go absolutely crazy.
[03:33:31.697 --> 03:33:34.759]  Remember, they support Communist China and its death camps.
[03:33:34.759 --> 03:33:35.580]  What will they do to us?
