[00:00:00.209 --> 00:00:01.549]  It was all pre-planned.
[02:12:36.215 --> 02:12:38.538]  This has been a masterfully put together plan.
[02:12:39.018 --> 02:12:47.288]  Shut down the economy, create medical IDs, enforce world government, corrupt the local hospitals, get them to commit crimes, now you control them for the next phase.
[02:12:48.632 --> 02:12:55.195]  And you promote forced inoculations, you ban cash, you teach people to be locked down, you promote the police state.
[02:12:55.755 --> 02:12:57.476]  I mean, it's just, it's the master key.
[02:12:58.396 --> 02:13:06.300]  And then we have the Rockefeller Foundation, Bill and Melinda Gates documents, lockstep, Event 201, detailing the whole plan.
[02:13:06.640 --> 02:13:13.683]  Premeditated, psychopathic planning of the entire architecture of what's now being done.
[02:13:13.703 --> 02:13:17.325]  And they're still killing people in blue states right now with enjoyment.
[02:13:18.140 --> 02:13:23.248]  All right, Millie Weaver is with us for the rest of the hour ahead of the war with Owen Shorter coming up here on the InfoWars Network.
[02:13:23.449 --> 02:13:27.896]  And wow, I was in a grocery store two days ago and people said, we love Millie Weaver.
[02:13:28.817 --> 02:13:29.859]  I was in a gas station.
[02:13:29.919 --> 02:13:32.042]  Somebody brought her up to me yesterday.
[02:13:33.328 --> 02:13:35.130]  And I just see the comments all over InfoWars.
[02:13:35.611 --> 02:13:39.455]  Wow, we love her reports all over Bandot Video.
[02:13:39.935 --> 02:13:44.641]  This morning I was looking at the YouTube video where somebody did a deepfake as me as Fat Bastard.
[02:13:44.661 --> 02:13:47.223]  I was just kind of looking at it like, oh, Millie Weaver's amazing.
[02:13:47.264 --> 02:13:48.585]  We love her new investigative reports.
[02:13:48.925 --> 02:13:49.466]  More of that.
[02:13:49.586 --> 02:13:50.848]  So she's on fire.
[02:13:52.597 --> 02:13:55.199]  Always on fire, but particularly on fire right now.
[02:13:55.539 --> 02:13:57.081]  She's in fuego, in fuego.
[02:13:57.761 --> 02:13:58.962]  Fire that is on fire.
[02:14:00.123 --> 02:14:01.604]  And so where should we start?
[02:14:02.024 --> 02:14:11.212]  She's got this big underground Democrat project with all this hidden undercover video and hacks and leaks of brainwashing of kids.
[02:14:12.132 --> 02:14:15.994]  She's got evidence of the premeditation and the riots in Minneapolis, St.
[02:14:16.014 --> 02:14:16.854]  Paul, Minnesota.
[02:14:17.314 --> 02:14:20.716]  She's got so much, so I've got a bunch of clips here in different points.
[02:14:21.096 --> 02:14:24.857]  Millie, I think it's best if you just kind of direct us here of where you want to go first.
[02:14:24.877 --> 02:14:25.798]  It's good to have you on with us.
[02:14:27.663 --> 02:14:29.505]  Yeah, there's a lot to get into here.
[02:14:30.065 --> 02:14:36.750]  So we've had an undercover deep inside the Sunrise Movement for about two years now.
[02:14:37.671 --> 02:14:45.577]  This has been a huge project that we've been working on and it's because we always suspected that there's something more going on behind the Sunrise Movement.
[02:14:46.078 --> 02:14:52.223]  The Sunrise Movement has been one of the main Green Party groups that has been behind the Green New Deal.
[02:14:52.923 --> 02:14:59.209]  It has pushed up and helped people like AOC, Ilhan Omar, essentially the squad, get into office.
[02:14:59.369 --> 02:15:01.471]  And it interfaces with Antifa, right, too.
[02:15:03.430 --> 02:15:10.914]  They do, they have allyships with Black Lives Matter and with Antifa, so they're kind of close.
[02:15:11.254 --> 02:15:13.836]  There could be people that are members of both organizations.
[02:15:14.536 --> 02:15:16.037]  Their tactics in many ways are pretty similar.
[02:15:16.057 --> 02:15:21.881]  We know about Black Lives Matter and Antifa, but this is like a group even bigger that's academic, but people don't know about it.
[02:15:21.901 --> 02:15:24.202]  So this is really a shadowy group you're exposing.
[02:15:25.407 --> 02:15:33.413]  Yes, and the scary thing about this group is they operate very much like a cult, but they have a lot of very professional, coordinated training.
[02:15:33.833 --> 02:15:42.559]  When they're training people, their teachers are doing these Zoom chats with a bunch of minors, underage high school and middle school kids.
[02:15:43.049 --> 02:15:46.372]  They're literally reading off of scripts, and we have the scripts.
[02:15:46.712 --> 02:15:52.477]  We have all their documents, their chats, their video chats, their private information.
[02:15:52.937 --> 02:15:55.279]  We have it all, and we are going to be releasing it all.
[02:15:55.640 --> 02:16:01.925]  So far, we've been kind of putting it out in parts because we want to make sure that we give the documents, the evidence,
[02:16:03.891 --> 02:16:07.493]  What it needs essentially so people can put it together because there's just so much.
[02:16:07.533 --> 02:16:13.797]  We've got so many gigabytes worth of documents that it would take us days to try to just get this all out on the internet.
[02:16:14.218 --> 02:16:20.822]  So we're putting it out so that people can see it in order and to be able to wrap your head around it because it's very complicated.
[02:16:20.842 --> 02:16:22.923]  Sure, you're giving people time to digest the elephant.
[02:16:22.963 --> 02:16:25.165]  So approximate, who is this group?
[02:16:25.425 --> 02:16:27.086]  This is huge news you're breaking right now.
[02:16:28.467 --> 02:16:30.288]  Okay, this is the Sunrise Movement.
[02:16:30.308 --> 02:16:32.650]  Like I said, they helped get AOC into office.
[02:16:32.690 --> 02:16:34.711]  They work closely with many celebrities.
[02:16:34.751 --> 02:16:36.592]  They're a major green movement.
[02:16:36.872 --> 02:16:42.996]  You see all these young people out thinking that the world is going to end, that climate change is going to cause the world to end in 12 years.
[02:16:43.436 --> 02:16:46.038]  These are the people responsible for that mentality.
[02:16:46.438 --> 02:16:47.218]  They're a cult.
[02:16:47.558 --> 02:16:49.800]  They prey on young school-age children.
[02:16:49.840 --> 02:16:51.101]  They actually have recruits.
[02:16:51.161 --> 02:16:53.162]  They send recruits out to high schools.
[02:16:53.702 --> 02:17:00.506]  That's right, and when children are in a room or in Zoom, elementary students, middle school, high school, being told the world's ending by adult figures, they are being traumatized.
[02:17:00.526 --> 02:17:01.666]  They are believing this.
[02:17:22.190 --> 02:17:27.391]  Oh yeah, and what's weird is they inject all this weird race stuff into it as well.
[02:17:27.411 --> 02:17:27.951]  Of course.
[02:17:27.971 --> 02:17:31.892]  You have a lot of talk of white supremacy being the reason for climate change.
[02:17:31.932 --> 02:17:33.252]  They make little white kids guilty.
[02:17:33.292 --> 02:17:34.433]  This is serious child abuse.
[02:17:34.513 --> 02:17:35.593]  I've seen some of it.
[02:17:35.813 --> 02:17:38.574]  They do, and they actually separate the groups.
[02:17:38.974 --> 02:17:41.174]  They believe in segregation, Alex.
[02:17:41.234 --> 02:17:42.094]  It's the weirdest thing.
[02:17:42.114 --> 02:17:46.295]  They actually have special chats for people of color.
[02:17:47.156 --> 02:17:48.696]  They're called BIPOCs.
[02:17:50.087 --> 02:17:54.009]  Oh yeah, that's what the universities are doing now is bringing back segregation.
[02:17:55.069 --> 02:18:00.011]  Yes, and they have special chats for the white kids and then special chats for all the other race groups.
[02:18:00.492 --> 02:18:03.013]  And that they're separate and they're given separate information.
[02:18:03.033 --> 02:18:04.573]  Well, these people are total white supremacists.
[02:18:04.693 --> 02:18:11.996]  When I had the New York Times here posing as liberals, they saw our diverse crew and they got, they started shaking because they're like literally Hitler.
[02:18:12.016 --> 02:18:15.298]  I mean, folks, we're up against such a cult, but please continue.
[02:18:16.769 --> 02:18:19.051]  Yes, it's really disturbing to see.
[02:18:19.352 --> 02:18:24.537]  And you have the teachers talking about and teaching these high school kids how to go to get arrested by the police.
[02:18:24.838 --> 02:18:26.359]  Intentionally go get arrested.
[02:18:26.680 --> 02:18:27.260]  Stand your ground.
[02:18:27.280 --> 02:18:33.367]  When the police tell you to do something or whatever, resist them and essentially resist arrest or fight back.
[02:18:33.607 --> 02:18:38.693]  They're teaching high school age kids to... Because then they get you in the system and now they quote save you with a lawyer and now they own you.
[02:18:39.522 --> 02:18:48.274]  And they talk about, look, we can use you being arrested as children against the police and against the establishment to run a bunch of hip pieces.
[02:18:48.554 --> 02:18:49.656]  They talk about it all.
[02:18:49.676 --> 02:18:53.261]  Oh, that's just like they bring kids to violent antivadils to get tear gassed.
[02:18:54.460 --> 02:18:57.282]  Exactly, and they already have the bailout funds.
[02:18:57.622 --> 02:18:59.223]  They already have everything set up in place.
[02:18:59.263 --> 02:19:03.206]  The lawyers, the pro bono liberal lawyers, ready to get them out the second they're in.
[02:19:03.666 --> 02:19:04.767]  It's all a big act.
[02:19:04.887 --> 02:19:06.548]  They're doing it for political reasons.
[02:19:06.588 --> 02:19:09.770]  They're very strategic and very organized.
[02:19:09.890 --> 02:19:12.252]  I could not believe how organized it is.
[02:19:12.272 --> 02:19:14.714]  We've been talking months about this, and I've seen a lot of it.
[02:19:15.074 --> 02:19:16.675]  This is so damn organized.
[02:19:16.735 --> 02:19:17.475]  It's so huge.
[02:19:17.616 --> 02:19:24.360]  When it's in every university, most public schools, most public schools for elementary, middle school, and high school.
[02:19:25.321 --> 02:19:32.288]  They've got these spreadsheets, Alex, of just names and names and names of high school kids and their phone numbers and their contacts, and we have it all.
[02:19:33.109 --> 02:19:35.371]  I'm at the point where I'm just going to start calling parents.
[02:19:35.831 --> 02:19:41.397]  I'm going to start contacting the parents and being like, hey, you know, your child is being preyed upon by a brainwashing cult.
[02:19:42.077 --> 02:19:49.478]  A cult that's telling your child to go out and get into it with police, telling your child that burning down buildings is a legitimate form of protest.
[02:19:49.998 --> 02:19:52.379]  I mean, it's disturbing what they're teaching the kids.
[02:19:52.739 --> 02:19:53.979]  It's very methodical.
[02:19:54.279 --> 02:19:57.660]  They teach them about trigger points, how to utilize trigger points.
[02:19:57.720 --> 02:20:07.541]  So they would say that coronavirus is a trigger point to then induct more of their policies, or the George Floyd death is a trigger point that they can utilize politically.
[02:20:07.561 --> 02:20:10.402]  They give them political flashpoints to get people on the call.
[02:20:11.863 --> 02:20:13.104]  Yes, and they train them.
[02:20:13.564 --> 02:20:14.425]  That's what I'm trying to tell you.
[02:20:14.465 --> 02:20:15.166]  They train them.
[02:20:15.926 --> 02:20:20.710]  I mean, these kids sit through courses and courses and they work their way up the ranks.
[02:20:21.150 --> 02:20:27.855]  So our person who infiltrated had to go through all their course material and work their way up the ranks.
[02:20:28.355 --> 02:20:30.097]  And then finally you get to certain ranks.
[02:20:30.117 --> 02:20:31.518]  You know, that's a good place to start, Millie.
[02:20:31.538 --> 02:20:33.039]  Let's start with your whistleblower.
[02:20:33.059 --> 02:20:35.421]  And you've been working on this two years.
[02:20:35.441 --> 02:20:36.722]  I remember you two years ago telling me about it.
[02:20:37.042 --> 02:20:40.484]  You've got all this inside data, how crazy it is.
[02:20:41.519 --> 02:20:43.461]  Talk about your whistleblower, what they had to go through.
[02:20:45.103 --> 02:20:50.448]  The whistleblower had to, like I said, first of all pretended to be a young underage minor.
[02:20:50.468 --> 02:20:56.555]  A person, you know, something that an identity that they would not be suspected as.
[02:20:57.333 --> 02:21:00.055]  And they work their way up through the course material.
[02:21:00.075 --> 02:21:03.857]  There's all these different Sunrise training courses that they have to go to.
[02:21:04.818 --> 02:21:11.983]  And essentially, finally made it to some of the trusted chats where they allow you into Discord chats.
[02:21:12.843 --> 02:21:21.029]  And then through the Discord chats, they give you more passwords and accesses to their Google Docs and their other things.
[02:21:21.049 --> 02:21:22.190]  It's a cult progression.
[02:21:22.350 --> 02:21:24.091]  It's a classic cult progression.
[02:21:24.901 --> 02:21:27.062]  And you have to answer the questions right.
[02:21:27.142 --> 02:21:48.190]  So, based on how subjective you are, and our person who infiltrated knows a lot about NLP, hypnotherapy, psychology, so they knew how to play that naive, suggestible, young person that just buys into everything and regurgitates exactly what they say to them, and that's how they were able to rise up through the ranks.
[02:21:48.770 --> 02:21:49.051]  Yes, we are.
[02:22:02.493 --> 02:22:09.815]  Google Docs and their different boards that they were in, they were able to see that a lot of their stuff was unlocked and just open.
[02:22:10.095 --> 02:22:20.239]  And I think it's so that people could just drop files in and they could be given files from higher ups within Democrat Party or within other maybe military contracting organizations.
[02:22:20.539 --> 02:22:24.580]  They could drop those docs in there and they couldn't be necessarily traced because it was open.
[02:22:25.140 --> 02:22:30.622]  So because of that, they were able to just grab tons of internal documents, just
[02:22:30.822 --> 02:22:32.503]  This is such a giant story.
[02:22:32.523 --> 02:22:33.424]  This is as big as anything.
[02:22:33.464 --> 02:22:34.445]  Veritas is broken.
[02:22:34.465 --> 02:22:35.585]  It's not about competition, folks.
[02:22:35.605 --> 02:22:37.787]  Well, you know, this is ultra huge.
[02:22:38.387 --> 02:22:40.069]  And I've even told Millie she should give this a project.
[02:22:40.089 --> 02:22:40.469]  Veritas.
[02:22:40.489 --> 02:22:41.229]  This is so huge.
[02:22:41.510 --> 02:22:42.070]  We'll be right back.
[02:22:42.090 --> 02:22:42.470]  Stay with us.
[02:22:43.091 --> 02:22:53.238]  Whether it's challenges to the economy or a system of health care or public education or confronting climate change before it is too late within the 10 years that we have left to us to act.
[02:22:53.999 --> 02:23:08.170]  Millennials and people and you know Gen Z and all these folks that come after us are looking up and we're like The world is gonna end in 12 years if we don't address climate change and your biggest issue is
[02:23:11.007 --> 02:23:14.328]  Your biggest issue is how are we going to pay for it?
[02:23:14.788 --> 02:23:17.129]  And like, this is the war.
[02:23:17.149 --> 02:23:18.409]  This is our World War Two.
[02:23:19.550 --> 02:23:30.413]  And I think for younger people, we're looking at this and we're like, how how are we saying let's take it easy when 3000 Americans died last year?
[02:23:30.433 --> 02:23:38.455]  How are we saying let's take it easy when the nth person has just died from from our cruel and unjust criminal justice system?
[02:23:38.595 --> 02:23:44.500]  How are we saying take it easy when the America that we're living in today is so dystopian?
[02:23:46.502 --> 02:23:54.369]  So they're creating the dystopia and telling elementary students, middle school, high school, college, the world's ending.
[02:23:55.353 --> 02:23:58.394]  And then now we know the group programming that and controlling that.
[02:23:58.914 --> 02:24:02.795]  And your parents just turn you over to this and have no idea this is going on.
[02:24:02.855 --> 02:24:05.496]  Millie Weaver, you've got some clips we're going to be playing as well.
[02:24:06.957 --> 02:24:11.638]  What you just heard about Biden in these documents, promoting arson, promoting segregation.
[02:24:12.558 --> 02:24:15.019]  Please continue with infiltrating this organization.
[02:24:16.739 --> 02:24:21.541]  Okay, so our infiltrator, essentially, like I said, very skilled, got
[02:24:22.170 --> 02:24:22.250]  The
[02:24:38.476 --> 02:24:40.738]  Flipped face a couple times.
[02:24:40.818 --> 02:24:43.179]  Essentially, under Obama, it was the U.S.
[02:24:43.239 --> 02:24:44.120]  Climate Plan.
[02:24:44.540 --> 02:24:48.803]  And then some of them splintered off and became the Extinction Rebellion.
[02:24:49.104 --> 02:24:52.366]  But this has been the same group throughout Obama and even now.
[02:24:52.786 --> 02:24:53.587]  It's very skilled.
[02:24:53.607 --> 02:25:00.832]  We have internal communications with the Club of Rome, with the U.N., with the leaders of this organization.
[02:25:00.852 --> 02:25:07.817]  You know, when I first saw this Sunrise Movement, they make it seem like it's a bunch of young kids and it's just some organic thing with a bunch of youth.
[02:25:08.416 --> 02:25:12.322]  They're concerned, and it's the farthest thing from the truth, Alex.
[02:25:12.402 --> 02:25:13.083]  It really is.
[02:25:13.143 --> 02:25:16.728]  These are all young kids that they've preyed upon, like psycho, path...
[02:25:17.711 --> 02:25:36.020]  Predators hunted them down at their high schools without their parents knowledge many of them and Inducted them into a brainwashing cult and when you look what's behind it It's very skilled and crafted people that are pushing this agenda and they're doing things like having some of these young people This is okay.
[02:25:36.060 --> 02:25:42.804]  This is one of the things that we are going to be launching in the next video I will tell you more about it
[02:25:43.766 --> 02:26:00.191]  It is a bunch of these young people inside the Sunrise Movement coming out saying that Joe Biden sexually assaulted them in their internal private Zoom chats and telling other young kids, many of them minors.
[02:26:00.471 --> 02:26:03.912]  That's why you see the faces blurred on the videos that we sent.
[02:26:04.953 --> 02:26:05.613]  They're minors.
[02:26:05.773 --> 02:26:10.614]  And they're talking about how Joe Biden and other prominent Democrats sexually assaulted them.
[02:26:10.994 --> 02:26:12.695]  But instead of going public,
[02:26:13.300 --> 02:26:14.601]  And exposing them.
[02:26:15.081 --> 02:26:34.389]  They've been working to pen letters, essentially an extortion letter, which we have a copy of, okay, to essentially push for Joe Biden to make AOC the leader of his climate... So what you've got is blackmail potentially going on within this environmental Soros death cult against Biden.
[02:26:34.669 --> 02:26:35.770]  Let's go ahead and play a clip.
[02:26:35.850 --> 02:26:38.051]  Biden sexual abuse clip one.
[02:26:38.091 --> 02:26:38.411]  Here it is.
[02:26:39.349 --> 02:26:40.950]  Hi, I'm Sophie.
[02:26:41.790 --> 02:26:44.171]  My pronouns are she, her, hers.
[02:26:44.191 --> 02:26:47.052]  I am currently on the press team here at Sunrise.
[02:26:48.893 --> 02:26:56.456]  And I am also part of a team that's front-loading a movement to make... Let's hit pause again.
[02:26:57.016 --> 02:26:57.817]  Let's start it over.
[02:26:57.977 --> 02:27:04.079]  To be clear for radio listeners, we're looking at one of the controllers, and then the whole top bar is students.
[02:27:04.700 --> 02:27:07.281]  High school and middle school students are blurred out.
[02:27:07.361 --> 02:27:07.701]  Start over.
[02:27:08.716 --> 02:27:10.037]  Hi, I'm Sophie.
[02:27:10.057 --> 02:27:16.763]  I'm also part of a team that's front-loading a movement to make restorative justice for sexual harm.
[02:27:28.689 --> 02:27:39.357]  So in 2016, actually, this movie I was part of went to the Academy Awards for Best Original Song that Lady Gaga wrote and performed.
[02:27:39.875 --> 02:27:45.339]  And I helped organize 50 of us school survivors to get on stage there.
[02:27:46.300 --> 02:27:48.601]  And actually Joe Biden ended up being there.
[02:27:49.282 --> 02:27:55.186]  And afterwards, after the performance, he wanted to meet with each of us and it wasn't a photo op.
[02:27:55.847 --> 02:28:03.532]  And I urgently wanted to talk to him because I had just learned that a student had killed herself at the University of Alabama.
[02:28:04.112 --> 02:28:08.696]  As I was telling him this, he put his forehead to mine, which completely took me aback.
[02:28:09.116 --> 02:28:12.097]  Like, I wondered for a split second if he was going to kiss me.
[02:28:12.117 --> 02:28:19.780]  And my friend took a photo of it, and it later went viral on the Washington Post website.
[02:28:20.721 --> 02:28:24.782]  And at the time, I felt conflicted, but I couldn't explain why.
[02:28:24.922 --> 02:28:26.163]  Like, he was supposed to be
[02:28:27.136 --> 02:28:40.045]  On my side, not just with me, but with Anita Hill first and foremost, and acknowledging that what he did to her and to me and to other women who came forward was wrong and harmful and to stop doing it.
[02:28:40.485 --> 02:28:45.188]  So when Bernie dropped out the other week, I honestly felt really numb.
[02:28:45.989 --> 02:28:48.891]  So holding these things is really hard.
[02:28:49.451 --> 02:28:50.372]  Um, and I want to.
[02:28:51.289 --> 02:29:02.619]  Offer a tool that I learned from Rachel Shregas and it's really helping me think in more of a both and mindset in this moment.
[02:29:03.300 --> 02:29:06.002]  And to honor the contradictions that we're facing.
[02:29:07.824 --> 02:29:16.532]  My story is one that I was assaulted by a currently elected Democrat in local office.
[02:29:18.399 --> 02:29:22.783]  So what's happening for me, it's like triggering at a whole nother level.
[02:29:22.823 --> 02:29:23.744]  It's like, what do I do?
[02:29:24.365 --> 02:29:26.627]  It's a really big, complicated time right now.
[02:29:26.827 --> 02:29:40.761]  And what the organization is committing to do is publicly reckoning with the complexity of all of this in this time and really being an opportunity, an outlift to support young people through understanding this moment.
[02:29:41.361 --> 02:29:51.085]  And right now what we're really trying to lean into is hearing feedback from folks in the movement, hearing about what people think is the most strategic thing for us to do, and we're really not rushing into anything.
[02:29:51.105 --> 02:29:55.787]  We're going to keep pressuring Biden, and we have a lot of leverage right now to do that.
[02:29:56.187 --> 02:29:59.628]  And we have a lot of leverage right now to do that.
[02:30:01.669 --> 02:30:04.290]  All this sounds like cult-like scripts they're reading.
[02:30:04.490 --> 02:30:05.931]  Little kids are listening to this.
[02:30:07.466 --> 02:30:11.309]  What weird, crazy planet are we on here?
[02:30:11.349 --> 02:30:12.590]  What's really going on here, Millie?
[02:30:13.851 --> 02:30:15.532]  Yeah, it really is truly bizarre.
[02:30:15.572 --> 02:30:22.878]  Now, I mean, you have all these people within their movement claiming to have been sexually assaulted by these Democrat politicians.
[02:30:23.338 --> 02:30:26.420]  I don't find it hard to believe, because we know they're a bunch of creeps.
[02:30:26.480 --> 02:30:29.002]  I mean, we've seen Joe Biden touching girls and women inappropriately.
[02:30:29.022 --> 02:30:33.366]  Sure, but it looks very active and synthetic, the way they're talking about it, as if it's an internal front.
[02:30:33.386 --> 02:30:36.148]  I mean, it just, it looks very prepared.
[02:30:37.446 --> 02:30:38.746]  Oh, it's bizarre.
[02:30:39.027 --> 02:30:39.547]  It's bizarre.
[02:30:39.627 --> 02:30:43.048]  And so these young kids are watching this, and what is it teaching them?
[02:30:43.068 --> 02:30:52.411]  It's teaching them to sacrifice their own moral opinions and their own morality so that they can further push a political agenda such as climate change.
[02:30:52.471 --> 02:30:52.751]  Exactly.
[02:30:52.771 --> 02:30:58.153]  They're being told Biden did this, but still, well just like the Democrats said, I don't care if he's cooking babies.
[02:31:00.487 --> 02:31:02.987]  Yeah, they're like, so Biden did this creepy stuff.
[02:31:03.047 --> 02:31:05.588]  These other Democrat politicians did this creepy stuff.
[02:31:05.628 --> 02:31:06.748]  They sexually assaulted us.
[02:31:07.188 --> 02:31:13.689]  We're just gonna go along and use that as ammo and use that as a way to extort them to further push the Green New Deal.
[02:31:13.709 --> 02:31:15.690]  And as you said, you guys have made some calls.
[02:31:15.770 --> 02:31:17.250]  Most parents don't know this is going on.
[02:31:18.430 --> 02:31:21.391]  Yeah, the parents do not know this is going on with their kids.
[02:31:21.411 --> 02:31:22.551]  Their kids are being targeted.
[02:31:22.631 --> 02:31:23.991]  It's disturbing, Alex.
[02:31:24.511 --> 02:31:25.611]  Millie, stay there.
[02:31:25.631 --> 02:31:27.052]  You've really exposed a major cult.
[02:31:27.132 --> 02:31:28.392]  Soldier Whistleblower will be right back.
[02:31:30.396 --> 02:31:32.058]  Children are unformed.
[02:31:32.118 --> 02:31:36.602]  They can be twisted like hot metal into the form of the weapon you want.
[02:31:37.282 --> 02:31:40.565]  And to do that to children is the highest form of Satanism.
[02:31:41.126 --> 02:31:42.167]  God does not like it.
[02:31:45.770 --> 02:31:46.891]  But now it's being done.
[02:31:47.452 --> 02:31:54.779]  And Millie Weaver and her crew have delved deep into the minds of the New World Order and have brought forward
[02:31:55.956 --> 02:31:56.757]  Incredible stuff.
[02:31:56.797 --> 02:31:59.540]  We have Promoting Arts and Promoting Segregation.
[02:31:59.560 --> 02:32:02.704]  We're going to play those clips in a moment, and you're going to host the final segment.
[02:32:03.024 --> 02:32:10.273]  So you have the floor, Millie, coming up here next segment ahead of Owen Schroer in the War Room taking over, but please continue.
[02:32:12.461 --> 02:32:32.228]  One of the things that I want to point out to many parents who have their children in public school is that many of the schools, such as in Oregon, for example, Oregon has made it a mandatory prerequisite to graduate from high school to learn some of the course material that is the environmental curriculum education.
[02:32:32.768 --> 02:32:36.609]  This is learning about things like climate change and
[02:32:36.909 --> 02:32:37.990]  Climate justice.
[02:32:38.130 --> 02:32:47.875]  So many schools, especially in liberal areas, liberal controlled states, cities, they've already started injecting this education material into schools.
[02:32:47.895 --> 02:32:52.998]  I mean, as you document, they sign you up and suddenly you're hooked into a weird Soros cult.
[02:32:54.199 --> 02:32:55.620]  You're an AOC cult.
[02:32:55.660 --> 02:32:57.521]  Like, oh, here, put you in AOC cult.
[02:32:58.621 --> 02:33:08.809]  Exactly, it is a cult, but one of the things I'm pointing out here is that the schools are priming the pump by having this environmental education inside the schools to begin with.
[02:33:09.269 --> 02:33:13.172]  They have already lessened plans where kids learn about climate change and the environment.
[02:33:13.192 --> 02:33:18.136]  So they're all primed, they're all prepared, the kids are greased right into the mouth of the new world order.
[02:33:18.817 --> 02:33:26.603]  Yes, so then when these climate youth organizations come to the school, come to the classes, they have recruiters show up.
[02:33:27.208 --> 02:33:32.191]  The kids are more open to it because they're speaking to something they've already been informed about.
[02:33:32.491 --> 02:33:38.034]  You see all these TV shows now promoting green, promoting environmentalism to kids.
[02:33:38.454 --> 02:33:46.819]  This is all a gateway so that then when these more extreme cult groups come around, they say, hey, want to be part of our organization?
[02:33:46.839 --> 02:33:50.061]  They're all being primed and prepared to be put in the bag in Greece.
[02:33:51.061 --> 02:34:12.047]  Exactly, and then once they get put into this bacon grease, so to speak, into this cult, like our investigator, our person who was inducted into their cult, they had to go through all these different layers of training and classes and seminars and chats and they had to pass tests, course material, Alex.
[02:34:12.625 --> 02:34:19.629]  This is sophisticated, and they make their way up through the cult, and whoever can be the most brainwashed cult member gets more access.
[02:34:19.689 --> 02:34:26.333]  And one of the things that's alluring to these kids is that they actually do have celebrities sometimes popping in on their Zoom chats.
[02:34:26.813 --> 02:34:33.557]  So, yeah, so they'll be talking about it, like, oh, this celebrity, I got to meet this celebrity, because we see all these celebrities going along with it.
[02:34:36.338 --> 02:34:37.398]  So incredible.
[02:34:37.438 --> 02:34:38.119]  Exactly!
[02:34:38.159 --> 02:34:45.381]  They get these special privileges so the other classmates hear about it and they're like, oh my gosh, I want to meet celebrities.
[02:34:45.421 --> 02:34:48.002]  Like they have the little stars in their eyes.
[02:34:48.022 --> 02:34:50.083]  I got to talk to Bill Gates with Jeffrey Epstein.
[02:34:51.183 --> 02:34:52.564]  Yeah, it's creepy.
[02:34:52.724 --> 02:34:54.565]  These people are predators preying on children.
[02:34:57.526 --> 02:34:58.647]  Yeah, it's creepy, Alex.
[02:34:58.727 --> 02:34:59.807]  Creepy stuff, man.
[02:34:59.987 --> 02:35:00.508]  It's bad.
[02:35:00.808 --> 02:35:01.228]  It's bad.
[02:35:01.248 --> 02:35:14.955]  And, you know, the amount of sophistication, like I said, that the fact that they have these well-scripted training lessons where the person that's actually talking is reading off of a script and the young high school kids, they don't know that they're reading off a script.
[02:35:15.496 --> 02:35:19.338]  They think that this is just the person talking to them and that it's genuine and organic.
[02:35:19.558 --> 02:35:20.999]  Well, sorry, we have the documents.
[02:35:21.119 --> 02:35:22.059]  We've got the documents.
[02:35:22.359 --> 02:35:23.420]  We see their scripts.
[02:35:24.858 --> 02:35:25.740]  For their lessons, for their talks.
[02:35:25.761 --> 02:35:26.523]  Let's play another clip then.
[02:35:26.583 --> 02:35:27.846]  Here's promoting arson.
[02:35:28.288 --> 02:35:29.190]  Let's play clip number two.
[02:35:32.236 --> 02:35:42.461]  Less than two days after George Floyd's murder circulated on social media, the Sunrise Movement organizers are already calling their young members to action.
[02:35:42.641 --> 02:35:45.582]  We are currently witnessing, you know, an uprising.
[02:35:45.742 --> 02:35:54.926]  I believe it's extremely important that we come together as a movement to look at the roots of this violence and resistance and what our work has to do with ending white supremacy.
[02:35:55.127 --> 02:35:58.028]  We are here to fight back collectively against that system.
[02:35:58.408 --> 02:36:07.035]  So black organizers and multiracial groups of organizers in Minneapolis have been building power in the city for years now.
[02:36:07.695 --> 02:36:12.960]  And part of what they've been able to do with that power is to bring a lot of people on their side.
[02:36:14.855 --> 02:36:18.598]  What we are seeing is not just chaos, we're actually seeing resistance and organizing.
[02:36:34.629 --> 02:36:49.938]  And what we know is that uprisings, including actions like burning buildings, are legitimate and powerful forms of resistance and are resisting brutal and violent and dehumanizing systems like white supremacy.
[02:36:49.958 --> 02:36:54.181]  And that property is something that can be recovered.
[02:36:54.361 --> 02:37:02.026]  So behind this alleged climate change movement is the goal of abolishing law enforcement and no longer having police.
[02:37:02.646 --> 02:37:17.045]  These are organizations that have built strength and power over the past six years of the Black Lives Matter movement in Minneapolis, running strategic campaigns to defund the Minneapolis Police Department, oriented around a vision of the abolition of police.
[02:37:17.225 --> 02:37:18.387]  So the idea that
[02:37:18.987 --> 02:37:21.268]  We're actually fighting for a world without police.
[02:37:21.889 --> 02:37:25.210]  And these campaigns that folks are running are strategic and they're winnable.
[02:37:25.590 --> 02:37:27.831]  And we can make huge gains toward it.
[02:37:27.851 --> 02:37:37.316]  So they want to disarm you, but there's no police, but actually in areas they control, it's like armed gangs beating you up and robbing you of your phone and money.
[02:37:37.736 --> 02:37:39.417]  But it's beautiful because it's liberal.
[02:37:39.977 --> 02:37:41.258]  Here's promoting segregation.
[02:37:41.298 --> 02:37:41.998]  Here's a clip on that.
[02:37:42.970 --> 02:37:44.750]  Notice they are segregationists.
