[00:00:05.264 --> 00:00:07.305]  Careful what you wish.
[03:22:16.897 --> 03:22:18.978]  The women are wearing hoods over their heads.
[03:22:18.978 --> 03:22:21.099]  I mean, I'm freaking in the Jim Jones cult here.
[03:22:21.099 --> 03:22:21.699]  Am I wrong?
[03:22:22.139 --> 03:22:22.900]  Am I wrong?
[03:22:22.900 --> 03:22:36.254]  My wife and I heard what you said about that over the weekend Alex and we both immediately said that's a spot-on analogy when you said what if they were dragging people around here with chains on their necks because they believe in slavery and that's precisely what it is.
[03:22:36.254 --> 03:22:37.956]  I thought that was a spot-on analogy.
[03:22:37.956 --> 03:22:39.818]  Why are we putting up with this?
[03:22:39.818 --> 03:22:43.542]  Why are we allowing this to overrun our culture and of course
[03:22:44.182 --> 03:22:49.786]  Some of the news that I'm going to talk about here, we see that Obama and the rest of them are openly plotting to replace us.
[03:22:49.786 --> 03:22:55.210]  I mean, are they giving better welfare benefits to people who are not American citizens?
[03:22:55.210 --> 03:22:57.892]  The refugees get more than a Social Security person a year.
[03:22:57.892 --> 03:22:58.873]  Right, exactly.
[03:22:58.873 --> 03:23:01.915]  And it's also welfare, it's also in-state college tuition.
[03:23:01.915 --> 03:23:03.216]  And they're not even thankful for it!
[03:23:03.356 --> 03:23:03.796]  That's right.
[03:23:03.796 --> 03:23:08.058]  They bring in Syrian refugees, give them houses, meanwhile we have homeless veterans sleeping under bridges in Austin.
[03:23:08.058 --> 03:23:08.258]  Right.
[03:23:08.258 --> 03:23:08.998]  All over the country.
[03:23:08.998 --> 03:23:10.658]  Because we put up with it.
[03:23:10.658 --> 03:23:12.759]  I'm telling you David, we're going to go to these calls here.
[03:23:12.759 --> 03:23:16.480]  Alex in Washington, thanks for holding on the air worldwide.
[03:23:16.480 --> 03:23:17.521]  Yes sir, how you doing Alex?
[03:23:17.521 --> 03:23:19.401]  Good, go ahead.
[03:23:19.401 --> 03:23:21.902]  Yes sir, I wanted to call about General Dunford.
[03:23:21.902 --> 03:23:27.684]  I've heard some things about him lately, about he's a new chief of staff or whatever, former commandant of the Marine Corps.
[03:23:28.689 --> 03:23:32.674]  Um, I actually served under him back in 97 when he was in Lejeune as a battalion commander.
[03:23:32.674 --> 03:23:34.256]  He's a Lieutenant Colonel back then.
[03:23:34.256 --> 03:23:34.917]  He's a really good man.
[03:23:34.917 --> 03:23:37.881]  I don't know much about him because I haven't really followed him, but I heard about him lately.
[03:23:37.881 --> 03:23:42.447]  Supposedly, he took over the Federal Reserve, shut it down, and maybe went to the White House.
[03:23:43.911 --> 03:23:45.573]  He's got the Army behind him or something.
[03:23:59.986 --> 03:24:01.287]  We're not going to do this.
[03:24:01.287 --> 03:24:03.808]  We're going to give the Russians the intelligence and you can do whatever you want.
[03:24:03.808 --> 03:24:04.689]  You can fire us.
[03:24:04.689 --> 03:24:06.690]  Dempsey went in and met with Obama.
[03:24:06.690 --> 03:24:13.393]  And so that's why they had a big purge after that of trying to get people in place that will back the Saudi Arabian Jihad force.
[03:24:13.393 --> 03:24:16.054]  And then their side deal is they allow them to start taking over Europe.
[03:24:16.054 --> 03:24:19.776]  They've made a deal with Saudi Arabia in all of this.
[03:24:19.776 --> 03:24:22.078]  So I know that Dunford has
[03:24:22.858 --> 03:24:23.118]  Oh, for sure.
[03:24:23.118 --> 03:24:24.139]  I mean, I'm pretty sure he's a good man.
[03:24:24.139 --> 03:24:25.960]  I mean, he jumped us 26 miles on how many times.
[03:24:52.783 --> 03:24:57.986]  Uh, I've never seen a guy do 26 mile home, grab those officers, and then go run 5 miles with a pack afterwards.
[03:24:57.986 --> 03:25:12.215]  It's like, I'm pretty sure he's a good man, and I think if you could really follow him a little closely, a little more closer, um, because I've heard some other things that they're, they shut the Federal Reserve down, it's not .org anymore, it's .gov now, and they're printing realist dollars.
[03:25:12.215 --> 03:25:14.316]  No, no, I hear you, let me throw this in.
[03:25:17.296 --> 03:25:27.439]  Even people that aren't perfect, when you get down to the point of gutting the country and breaking it forever and outlawing families and forcibly inoculating everybody, you come to a moment where you realize, the globalists are going to screw me over.
[03:25:27.439 --> 03:25:28.900]  Why should I go along with them?
[03:25:28.900 --> 03:25:29.700]  Right.
[03:25:29.700 --> 03:25:32.421]  Why should I go along with the fads of the mainstream media?
[03:25:32.421 --> 03:25:34.522]  Why should I buy into these cosmologies?
[03:25:34.522 --> 03:25:35.362]  Why should I do this?
[03:25:35.922 --> 03:25:39.527]  And you realize it's a delusion to think you can join with this system.
[03:25:39.527 --> 03:25:45.094]  Maybe 50 years ago if you sold out your culture, you'd be rich and powerful now, but you're not.
[03:25:45.094 --> 03:25:47.396]  There's not enough slots in the new world order.
[03:25:47.396 --> 03:25:50.761]  It is a system that's based on the reverse of prosperity.
[03:25:51.909 --> 03:25:52.430]  You guys want to comment?
[03:25:52.430 --> 03:25:53.131]  I'm going to throw the baton here.
[03:25:53.131 --> 03:26:00.941]  Well, it just seems like you see in all the movies when the elite are getting in their ships to go to space or whatever far off planet, and there's never enough room.
[03:26:00.941 --> 03:26:05.307]  And the people who think they're like, oh, I've been doing all your dirty work all these years, let me on.
[03:26:05.307 --> 03:26:06.909]  And they shut the door in their face.
[03:26:06.909 --> 03:26:07.730]  And that's how it's going to be.
[03:26:08.629 --> 03:26:12.392]  Well, traitors always get taken out even faster than the patriots.
[03:26:12.392 --> 03:26:15.614]  Once evil takes over, the first thing it does is take out its minions.
[03:26:15.614 --> 03:26:15.814]  Right.
[03:26:15.814 --> 03:26:17.496]  Because they know where the bodies are buried.
[03:26:17.496 --> 03:26:19.697]  This is such a dishonorable system.
[03:26:19.697 --> 03:26:20.438]  We're going to go to break.
[03:26:20.438 --> 03:26:21.298]  Thank you, Alex.
[03:26:21.298 --> 03:26:23.660]  And if callers want to hold, I'm not sure.
[03:26:23.660 --> 03:26:24.821]  David, do you want to take calls?
[03:26:24.821 --> 03:26:26.102]  I've got a bunch of news to cover.
[03:26:26.102 --> 03:26:26.402]  Sure.
[03:26:26.402 --> 03:26:27.023]  Yeah, I'll take a call.
[03:26:27.023 --> 03:26:27.243]  All right.
[03:26:27.243 --> 03:26:29.044]  Well, cover your news and then go to the folks they can hold.
[03:26:29.044 --> 03:26:32.106]  I appreciate them calling Mark and Greg and Bill and Robert and others.
[03:26:32.106 --> 03:26:32.707]  Call free numbers 800-259-9231.
[03:26:35.609 --> 03:26:38.290]  Briefly, you mentioned Hillary for prison shirts.
[03:26:38.290 --> 03:26:39.751]  We have the limited edition.
[03:26:39.751 --> 03:26:42.111]  I followed, you know, my pledge and stopped having it.
[03:26:42.111 --> 03:26:43.192]  People got so upset.
[03:26:43.192 --> 03:26:47.754]  We brought back a new limited edition that's similar, but a new limited edition of Hillary for prison.
[03:26:47.754 --> 03:26:49.134]  Great way to promote solidarity.
[03:26:49.134 --> 03:26:55.036]  Great way, as we go into the main election, to expose what a criminal this woman is and to be on the news, whether at Trump rallies, Hillary rallies.
[03:26:55.036 --> 03:26:56.257]  You're having a phenomenon.
[03:26:56.257 --> 03:26:59.598]  InfoWars is showing the power of the InfoWarriors.
[03:26:59.598 --> 03:27:01.379]  Bolan Labe shirts are everywhere as well.
[03:27:01.379 --> 03:27:03.079]  And your funding or operation has 4.9 stars.
[03:27:05.836 --> 03:27:09.939]  Out of 191 reviews, InfoWarsTore.com.
[03:27:09.939 --> 03:27:32.417]  Also, we cannot offer the 30 to 40% off on the high quality storable food anymore, but with the four top selling products, the four top selling packages, the four weeks, the six months, it goes on to a year, the highest quality out there at the lowest price, great packaging, very fresh, it's what I've chosen for my family, you can get 40% off
[03:27:34.850 --> 03:27:42.838]  I've been authorized to run this for one week, but on the four-week supply, the three-month supply, the six-month supply, the one-year supply, that is running right now.
[03:27:42.838 --> 03:27:44.960]  And they say 30 to 40 on this.
[03:27:44.960 --> 03:27:48.903]  I guess that's some algorithm or something with the deals, but I told them 40%.
[03:27:48.903 --> 03:27:49.784]  I guess I'm allowed to do that.
[03:27:51.368 --> 03:27:57.654]  It's as good as the other deal, but I can't do it on the entire, because they got special meals and a lot of other packages over 60 different configurations.
[03:27:57.654 --> 03:28:04.861]  But on these four top best sellers, we got 30 to 40% off running at InfoWarsStore.com, InfoWarsLive.com.
[03:28:04.861 --> 03:28:07.063]  The Nutraceuticals, it all ends tonight.
[03:28:07.063 --> 03:28:13.649]  10% off on all the Nutraceuticals as part of preparedness, the non-GMO seeds, the water filtration systems, the crank radio, shortwave
[03:28:13.749 --> 03:28:14.630]  We're good to go.
[03:28:36.408 --> 03:28:37.929]  We are looking for the truth.
[03:28:37.929 --> 03:28:39.070]  We're taking action.
[03:28:39.070 --> 03:28:40.891]  We're defending the human family.
[03:28:40.891 --> 03:28:48.996]  We are having huge effects across the world showing that a resistance can be put up against the tyrants and your funding of the operation is essential.
[03:28:48.996 --> 03:28:52.138]  But just spread the word about our videos, our articles.
[03:28:52.138 --> 03:28:54.760]  Post our stuff on Facebook and Twitter and YouTube.
[03:28:54.760 --> 03:28:56.301]  Repost our videos.
[03:28:56.301 --> 03:28:58.622]  Tell your email list, your friends, your family, your neighbors.
[03:28:58.622 --> 03:29:00.283]  This is a war and say there's a fight.
[03:29:00.283 --> 03:29:01.004]  Do you know?
[03:29:01.004 --> 03:29:02.705]  The modern Paul Revere's are here.
[03:29:02.705 --> 03:29:03.645]  Infowars.com.
[03:29:03.645 --> 03:29:04.326]  We're part of it too.
[03:29:05.974 --> 03:29:11.116]  And there's an excitement, and it's there, and criminal elites always think they're invincible.
[03:29:11.116 --> 03:29:15.298]  But history shows time and time again, they're not when the human spirit of liberty is ignited.
[03:29:15.298 --> 03:29:16.199]  Leigh Ann, 20 seconds.
[03:29:16.199 --> 03:29:17.139]  Joe, a big 20 seconds.
[03:29:17.139 --> 03:29:17.739]  We're going to go to break.
[03:29:17.739 --> 03:29:18.620]  Come back with David Knight.
[03:29:18.620 --> 03:29:20.061]  Well, that's very powerful stuff.
[03:29:20.061 --> 03:29:25.083]  I think even if they do manage to take down the Internet, it's still not going to stop what we've already started.
[03:29:26.038 --> 03:29:27.479]  So we gotta start planting seeds right now.
[03:29:27.479 --> 03:29:29.360]  InfoWars is so popular everywhere we go.
[03:29:29.360 --> 03:29:30.661]  It's so amazing when you go out.
[03:29:30.661 --> 03:29:35.084]  Everyone's coming up to us, with all the nascent iodine, X2 stuff, to show us that they're getting it.
[03:29:35.084 --> 03:29:36.105]  They're supporting us.
[03:29:36.105 --> 03:29:37.466]  They're happy that they're supporting it.
[03:29:37.466 --> 03:29:38.166]  They're behind it.
[03:29:38.166 --> 03:29:39.347]  They love what you guys are doing.
[03:29:39.347 --> 03:29:40.888]  They love everything you do, Alex.
[03:29:40.888 --> 03:29:45.551]  It's amazing to see this whole culture happen like this, sweeping across the country.
[03:29:45.551 --> 03:29:46.131]  Absolutely.
[03:29:46.131 --> 03:29:49.213]  And again, these are great nutraceuticals, you name it, but it's also about a symbol.
[03:29:49.213 --> 03:29:49.934]  We're on the march.
[03:29:49.934 --> 03:29:50.554]  We'll be back.
[03:29:50.554 --> 03:29:51.435]  The empire's on the run.
[03:29:51.435 --> 03:29:51.855]  Stay with us.
[03:29:51.855 --> 03:29:53.096]  They have a nice run ahead.
[03:29:53.096 --> 03:29:55.738]  Alex Jones and the GCN Radio Network.
[03:29:59.760 --> 03:30:10.827]  Astonishing Anti-Federalist, Patrick Henry was opposed to the Constitution, fearing it would become a monster that would take over not only the sovereign states that had created it, but that it would become a tool to destroy individual liberty.
[03:30:10.827 --> 03:30:13.829]  His warnings, ignored, have now come to pass.
[03:30:13.829 --> 03:30:22.394]  He said, you're not to inquire how your trade may be increased, nor how you are to become a great and powerful people, but how your liberties can be secured.
[03:30:22.394 --> 03:30:25.056]  For liberty ought to be the direct end of your government.
[03:30:25.296 --> 03:30:33.444]  Patrick Henry warned us, the liberties of a people never were nor ever will be secure when the transactions of their rulers may be concealed from them.
[03:30:33.444 --> 03:30:37.769]  Today, everything the government does, at every level, is concealed from us.
[03:30:37.769 --> 03:30:42.694]  We have trade deals to manage our economy that not even our elected representatives are allowed to see.
[03:30:42.694 --> 03:30:48.680]  Later in life, Patrick Henry looked back and said, when the American spirit was in its youth, the language of America was different.
[03:30:48.920 --> 03:30:51.103]  Liberty, sir, was the primary object.
[03:30:51.103 --> 03:30:56.951]  Today, our primary concern is safety and comfort, when we should be demanding liberty.
[03:30:56.951 --> 03:30:58.973]  For Infowars.com, I'm David Knight.
[03:30:59.710 --> 03:31:03.232]  When cells become toxic, they die early and aging sets in.
[03:31:03.232 --> 03:31:11.476]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[03:31:11.476 --> 03:31:16.899]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[03:31:16.899 --> 03:31:19.420]  You want the best that's out there at the lowest price anywhere?
[03:31:19.420 --> 03:31:21.521]  We now have the synergistic solution.
[03:31:21.521 --> 03:31:25.724]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[03:31:29.674 --> 03:31:30.574]  Shower filters.
[03:31:30.574 --> 03:31:32.295]  We're introducing the best yet.
[03:31:32.295 --> 03:31:36.376]  The brand new ProPure ProMax High Performance Shower Filter.
[03:31:36.376 --> 03:31:41.197]  It removes and reduces over 200 contaminants while preserving a strong, powerful flow.
[03:31:41.197 --> 03:31:48.259]  This new four-stage filtration process helps protect the largest organ in your body, your skin, from the unhealthy contaminants in the water.
[03:31:48.259 --> 03:31:55.181]  You can find more details on this amazing new filter and free shipping at InfowarsStore.com or call 888-253-3139 to order your ProMax Shower Filter from ProPure today.
[03:31:59.562 --> 03:32:10.105]  You're investing in your health and supporting the InfoWar when you visit InfoWarsLife.com and purchase your supply of Survival Shield X2 Nation Iodine and all the great products at InfoWarsLife.com.
[03:32:10.105 --> 03:32:16.007]  As you know, we've talked to pharmacists, chemists, doctors, researchers, scientists, and the answer is clear.
[03:32:16.007 --> 03:32:18.088]  Iodine is key, is paramount.
[03:32:18.188 --> 03:32:23.251]  And there's still so much new information coming out that we simply can't even keep up with it.
[03:32:23.251 --> 03:32:32.196]  In our quest for the purest iodine, we drill down more than 7,000 feet to gather these purple-blue crystals to extract the ultra-pure iodine.
[03:32:32.196 --> 03:32:36.099]  On top of that, we also screen our iodine for radiation before bottling.
[03:32:36.099 --> 03:32:38.941]  It is the purest, cleanest, strongest out there.
[03:32:38.941 --> 03:32:42.983]  Quite frankly, I'm flattered that with the launch of survival shield nascent iodine,
[03:32:43.143 --> 03:32:43.924]  We're good to go.
[03:33:11.440 --> 03:33:14.105]  Waging war on corruption.
[03:33:14.105 --> 03:33:19.253]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[03:33:22.773 --> 03:33:24.374]  Welcome back to the Alex Jones Show.
[03:33:24.374 --> 03:33:26.936]  I'm David Knight, your host, and I'm going to go to these callers.
[03:33:26.936 --> 03:33:31.238]  I'll tell you what, Bill, I just noticed Bill in Indiana had been holding for a very long time, just dropped off.
[03:33:31.238 --> 03:33:33.960]  Bill, if you want to call back, we can take your call.
[03:33:33.960 --> 03:33:37.763]  I'm going to go also to Robert, to Greg, to Mark in Arizona.
[03:33:37.763 --> 03:33:39.224]  I'm going to take those calls.
[03:33:39.224 --> 03:33:45.528]  I do have some news that I want to cover before I go to those calls, so hang on just a little bit longer, guys, and I'll get to you.
[03:33:45.528 --> 03:33:48.470]  One of the things I want to talk about, because I think it's very important,
[03:33:49.195 --> 03:33:58.219]  We see Bernie Sanders and the massive movement of college students who don't know any better rallying behind Bernie the Socialist.
[03:33:58.219 --> 03:34:05.183]  And we need to look at what these policies that Bernie has supported all of his life, for 35 years, what have they done?
[03:34:05.703 --> 03:34:07.565]  To Central America, for example.
[03:34:07.565 --> 03:34:08.245]  Okay?
[03:34:08.245 --> 03:34:13.530]  We know that he went down and he was absolutely in love with the Sandinistas in Nicaragua.
[03:34:13.530 --> 03:34:22.557]  We've got the recordings of when he went back there and came back and said, well, maybe I'm a dupe, but, you know, I think they're great, you know.
[03:34:22.557 --> 03:34:23.878]  Yeah, he is a dupe.
[03:34:23.878 --> 03:34:28.562]  And he's duped a lot of people into this socialism that he's selling.
[03:34:28.562 --> 03:34:32.185]  But when you look at what they're trying to do in Venezuela as this
[03:34:33.206 --> 03:34:36.388]  country spirals down into the drain, okay?
[03:34:36.388 --> 03:34:43.953]  It mirrors precisely the solutions that we hear coming from Obama, from Hillary, not just from Bernie, okay?
[03:34:43.953 --> 03:34:45.134]  Let me give you an example.
[03:34:45.134 --> 03:34:46.515]  This is a story from WND.
[03:34:46.515 --> 03:34:48.977]  I think it was up on the Drudge Report.
[03:34:48.977 --> 03:34:51.939]  As Venezuela slides closer into the abyss,
[03:34:52.748 --> 03:34:57.071]  The country's socialist leaders have been trying everything to stop the tailspin.
[03:34:57.071 --> 03:35:02.555]  Now, the current president, you know, Hugo Chavez is dead, but he lives on in his policies, okay?
[03:35:02.555 --> 03:35:14.422]  They have raised fuel prices by more than 6,000 percent, and they're trying to conserve electricity by proclaiming holidays for public employees, telling women to stop using hair dryers.
[03:35:14.422 --> 03:35:16.104]  We've covered all this before, right?
[03:35:16.104 --> 03:35:17.465]  They've got rapid inflation.
[03:35:17.465 --> 03:35:19.086]  They've raised the minimum wage.
[03:35:19.086 --> 03:35:21.187]  Okay, what are their solutions?
[03:35:21.187 --> 03:35:22.208]  The same stuff.
[03:35:22.948 --> 03:35:24.069]  We're good to go.
[03:35:41.747 --> 03:35:50.231]  Just like Venezuela, if we have the Obama-Hillary-Bernie people in charge, the Democrats, the people who tell us, no, we've got to go to green power.
[03:35:50.231 --> 03:35:52.012]  How'd that work out for Venezuela?
[03:35:52.012 --> 03:35:53.372]  They went to hydroelectric power.
[03:35:53.372 --> 03:35:53.732]  Guess what?
[03:35:53.732 --> 03:35:54.773]  They got a drought.
[03:35:54.773 --> 03:35:55.353]  Guess what?
[03:35:55.353 --> 03:35:56.234]  It's not very efficient.
[03:35:56.234 --> 03:35:56.914]  Guess what?
[03:35:56.914 --> 03:36:07.619]  They subsidized the electricity prices to an unrealistic level, just like we're going to have Bernie and Hillary give everybody free this, free that, free college education, whatever.
[03:36:07.619 --> 03:36:07.839]  Okay?
[03:36:08.860 --> 03:36:12.081]  This is the way it always rolls.
[03:36:12.081 --> 03:36:16.603]  And they're going to make everybody in Venezuela feel better by giving them a minimum wage increase.
[03:36:16.603 --> 03:36:20.124]  I mean, this would be a joke if it wasn't so serious.
[03:36:20.124 --> 03:36:23.465]  This is precisely what the Democrats want to do to this country.
[03:36:24.215 --> 03:36:28.838]  What Hugo Chavez and Maduro have done to Venezuela.
[03:36:28.838 --> 03:36:33.482]  And then, the title of the World Net Daily article was absolute genius.
[03:36:33.482 --> 03:36:41.968]  It was actually taken from a college professor and author of a book called Take Down from Communists to Progressives, How the Left Has Sabotaged Family and Marriage.
[03:36:41.968 --> 03:36:43.869]  Paul Kinger said this.
[03:36:44.790 --> 03:36:54.477]  Now they're talking about, in the context, what they're saying is they move the country's time zone by 30 minutes to try to save energy by getting different daylight hours.
[03:36:54.477 --> 03:37:02.123]  And he says, instead of the regime moving the country's time ahead by 30 minutes, they should be moving it forward into the horizon of free markets.
[03:37:02.123 --> 03:37:11.269]  Instead, they have looked back to the year 1848, the year of Karl Marx's Communist Manifesto, rather than to a future of economic freedom.
[03:37:11.269 --> 03:37:11.790]  That's just it.
[03:37:12.290 --> 03:37:16.192]  And of course, we've got Bernie Sanders, who is a throwback to the Sandinistas.
[03:37:16.192 --> 03:37:18.913]  That's why I call him Bernie Sandernista.
[03:37:18.913 --> 03:37:24.335]  Because he thinks that the problems were solved back when we had these wonderful guys, you know.
[03:37:24.335 --> 03:37:25.555]  They wrote poetry, he says.
[03:37:25.555 --> 03:37:26.296]  Oh, look it up!
[03:37:26.296 --> 03:37:29.637]  It's absolutely amazing and hilarious, the speech he gave.
[03:37:29.637 --> 03:37:34.419]  Especially when you look back with 20-20 hindsight.
[03:37:34.419 --> 03:37:36.600]  Yet, Bernie hasn't learned a thing.
[03:37:36.600 --> 03:37:37.900]  And neither have his supporters.
[03:37:37.900 --> 03:37:41.682]  They don't want to figure out what happened in Nicaragua.
[03:37:42.674 --> 03:37:50.421]  Daniel Ortega that he praises, the Sandinistas that he praises, were nothing but a bunch of thugs and kleptocrats.
[03:37:50.421 --> 03:37:52.723]  They stole everything from everybody.
[03:37:52.723 --> 03:38:02.893]  And of course they said, oh, it's for the public good until they were being thrown out by not only the conservatives but the liberals, the left and the right threw him out because he was nothing but a thief.
[03:38:04.091 --> 03:38:10.093]  And what he did was then he privatized, he and his cabinet privatized some of the stuff that they had stolen.
[03:38:10.093 --> 03:38:12.413]  Privatized it for themselves.
[03:38:12.413 --> 03:38:22.896]  And of course they talk about the fact that they have fixed, listen to some of the metrics here, they fixed the official price of electricity in Venezuela as three cents per kilowatt hour for businesses.
[03:38:22.896 --> 03:38:27.197]  Now other people, the unofficial rate is a half a cent for individuals.
[03:38:28.206 --> 03:38:31.949]  Now, in the United States, the average price is 10 cents a kilowatt hour.
[03:38:31.949 --> 03:38:33.570]  But, of course, they subsidize that there.
[03:38:33.570 --> 03:38:39.855]  Just like Bernie and Hillary and Obama want to subsidize free college education at an unrealistic price.
[03:38:39.855 --> 03:38:43.478]  Guess what happens when you subsidize stuff at an unrealistic price?
[03:38:43.478 --> 03:38:45.179]  You wind up rationing it.
[03:38:45.179 --> 03:38:46.880]  You wind up losing it.
[03:38:46.880 --> 03:38:49.322]  And that's what's happening with just electricity.
[03:38:49.322 --> 03:38:51.724]  But, of course, we've reported on this multiple times.
[03:38:51.724 --> 03:38:53.646]  It was absolutely amazing that Bloomberg
[03:38:54.266 --> 03:39:04.510]  Was bragging about Wall Street investors saying, hey, and this was 2014, early part of 2014, covered this many times.
[03:39:04.510 --> 03:39:08.232]  They said, look, we've got a 700% return on investment from Venezuela.
[03:39:08.232 --> 03:39:09.112]  This is great.
[03:39:09.112 --> 03:39:14.075]  Even though the people are having to go to adjacent countries in order to get food, medicine, water.
[03:39:14.980 --> 03:39:18.024]  They know they have to pay the bankers first.
[03:39:18.024 --> 03:39:20.808]  And so we're doing good, and we're going to keep doing business in Venezuela.
[03:39:20.808 --> 03:39:25.555]  Because, you know, socialism and communism is good for these bankers.
[03:39:25.555 --> 03:39:29.461]  That's why they financed Lenin to start the Russian Revolution.
[03:39:30.711 --> 03:39:35.834]  They sent him from Switzerland into Russia with 10 million dollars in a train.
[03:39:35.834 --> 03:39:42.238]  And that was a German central banker, brother of the guy who helped establish our own Federal Reserve here in the United States.
[03:39:42.238 --> 03:39:43.619]  It's always been a good deal.
[03:39:43.619 --> 03:39:46.161]  Communism has always been a good deal for these guys.
[03:39:46.161 --> 03:39:47.502]  They love that.
[03:39:47.502 --> 03:39:47.982]  They love that.
[03:39:47.982 --> 03:39:49.943]  It fits perfectly like a hand in the glove.
[03:39:49.943 --> 03:39:54.546]  And guess who the Wall Street bankers are supporting here?
[03:39:54.546 --> 03:39:58.369]  Okay, the closest thing they got to Hugo Chavez, Hillary Clinton.
[03:39:59.411 --> 03:40:02.694]  Hillary Clinton is consolidating her support among Wall Street donors.
[03:40:02.694 --> 03:40:04.857]  This is reported by the Wall Street Journal.
[03:40:04.857 --> 03:40:08.200]  It's part of the Never Trump crowd, okay?
[03:40:08.200 --> 03:40:16.248]  But they're saying Wall Street donors and other businesses ahead of a general election battle with Donald Trump are consolidating their support behind Hillary Clinton.
[03:40:16.248 --> 03:40:20.112]  She has received 53% of the donations from Wall Street in March.
[03:40:20.112 --> 03:40:21.313]  Now this is even before
[03:40:22.054 --> 03:40:25.905]  Everything consolidated under Trump, okay, before he got the nomination.
[03:40:25.905 --> 03:40:29.896]  I'm sure they were still throwing a lot of money Ted Cruz's way back in March.
[03:40:30.967 --> 03:40:37.028]  They say that was up from 32% last year and up from 33% in January through February.
[03:40:37.028 --> 03:40:38.469]  Now, what's happened?
[03:40:38.469 --> 03:40:43.330]  They used to give a lot of their money to people like Jeb Bush and Marco Rubio.
[03:40:43.330 --> 03:40:53.912]  But now that those guys, after they crashed and burned, they gave some money to Ted Cruz, but a lot of the Bush and Rubio supporters start coalescing behind Mrs. Clinton.
[03:40:53.912 --> 03:40:54.692]  Because why?
[03:40:55.683 --> 03:40:59.144]  Because socialism works out great for Wall Street.
[03:40:59.144 --> 03:41:02.165]  They are not polar opposites, folks.
[03:41:02.165 --> 03:41:06.546]  They are business partners, just like they are in Nicaragua.
[03:41:06.546 --> 03:41:09.047]  Just like they are in Venezuela.
[03:41:09.047 --> 03:41:11.288]  Wall Street loves socialism.
[03:41:12.108 --> 03:41:14.110]  It pays really well for them.
[03:41:14.110 --> 03:41:16.231]  700% return on investment in Venezuela.
[03:41:16.231 --> 03:41:18.653]  And look at what's happening to the people there.
[03:41:18.653 --> 03:41:22.056]  And look at the solutions that are being put out there by the socialists.
[03:41:22.056 --> 03:41:25.759]  Minimum wage increase, rationing, and green energy.
[03:41:25.759 --> 03:41:27.140]  That's going to pull them out.
[03:41:27.140 --> 03:41:32.204]  Yeah, just like Hillary Clinton is going to shut down all the coal mines, take all the jobs.
[03:41:32.204 --> 03:41:36.907]  But don't worry, because they're going to have some kind of green energy that they're going to offer them.
[03:41:36.907 --> 03:41:39.049]  Let's go to your phone calls now.
[03:41:39.049 --> 03:41:41.270]  Let's go to Greg in Ohio.
[03:41:41.270 --> 03:41:41.831]  Greg, go ahead.
[03:41:44.500 --> 03:41:46.861]  Thanks for holding such a long time.
[03:41:46.861 --> 03:41:48.542]  Go ahead.
[03:41:48.542 --> 03:41:49.202]  No problem.
[03:41:49.202 --> 03:41:52.243]  Well, you helped prove the point I called in on.
[03:41:52.243 --> 03:42:00.247]  First, I'd like to say I'm a daily listener and a Prison Planet subscriber and a proud owner of an Alexa Pure water filter.
[03:42:00.247 --> 03:42:02.108]  I love the water it puts out.
[03:42:02.108 --> 03:42:03.128]  Oh, thank you.
[03:42:03.128 --> 03:42:05.889]  And X2 and Secret 12 are great products.
[03:42:08.010 --> 03:42:13.618]  I just ordered my Alexa Pure, so I'm anxious to, it's on its way, so I'm anxious to try that as well.
[03:42:13.618 --> 03:42:14.198]  You're gonna love it.
[03:42:14.198 --> 03:42:15.260]  Yeah.
[03:42:15.260 --> 03:42:16.161]  That's great.
[03:42:16.161 --> 03:42:25.614]  My wife had a, had very low B12 levels before she started taking Secret 12, and after about three months, she got her blood tested again, and she's got like
[03:42:26.218 --> 03:42:29.000]  At the top range now for her B12 levels.
[03:42:29.000 --> 03:42:31.442]  Wow.
[03:42:31.442 --> 03:42:34.324]  I gotta say, I'm happy that that happened, but I'm not surprised.
[03:42:34.324 --> 03:42:36.025]  This is the real stuff.
[03:42:36.025 --> 03:42:44.632]  And Alex goes to a great deal of effort to make sure that he has top quality stuff that's very pure, and I'm not surprised to see that.
[03:42:44.632 --> 03:42:50.016]  And as he's mentioned, he wanted to have this product because he himself had had to take
[03:42:52.617 --> 03:43:12.561]  Well, I also wanted to shout out to Biggs because when he was up in the Detroit area where I live doing the Dearborn Mosque interview, I was one of three guys who came down to support him and kind of get his back to make sure that, you know, he didn't get anybody hassling him while he was there.
[03:43:12.561 --> 03:43:14.122]  So, I got my picture taken with Joe.
[03:43:14.122 --> 03:43:16.362]  I put it on my Facebook page, so I'm pretty proud of that.
[03:43:19.648 --> 03:43:20.108]  Sure.
[03:43:20.108 --> 03:43:22.169]  The reason I called, um, you made my case.
[03:43:22.169 --> 03:43:23.909]  I've been on hold for like an hour and a quarter.
[03:43:23.909 --> 03:43:24.609]  I know.
[03:43:24.609 --> 03:43:28.991]  And I'm driving back from my, I'm driving back from my mom's in North Carolina, back to Detroit.
